ENSORLP00000011382	ENSTNIP00000006282
ENSORLP00000020592	ENSTNIP00000013603
ENSORLP00000015408	ENSTNIP00000006951
ENSORLP00000017086	ENSTNIP00000007908
ENSORLP00000023519	ENSTNIP00000017597
ENSORLP00000008485	ENSTNIP00000018164
ENSORLP00000023182	ENSTNIP00000003641
ENSORLP00000011437	ENSTNIP00000002053
ENSORLP00000023340	ENSTNIP00000021244
ENSORLP00000015520	ENSTNIP00000004973
ENSORLP00000015534	ENSTNIP00000011065
ENSORLP00000010069	ENSTNIP00000011013
ENSORLP00000015096	ENSTNIP00000003355
ENSORLP00000015702	ENSTNIP00000007525
ENSORLP00000007357	ENSTNIP00000022288
ENSORLP00000004535	ENSTNIP00000009199
ENSORLP00000004737	ENSTNIP00000019789
ENSORLP00000015793	ENSTNIP00000014312
ENSORLP00000000319	ENSTNIP00000020819
ENSORLP00000007830	ENSTNIP00000011819
ENSORLP00000014437	ENSTNIP00000018047
ENSORLP00000006124	ENSTNIP00000017287
ENSORLP00000015347	ENSTNIP00000007933
ENSORLP00000007433	ENSTNIP00000016323
ENSORLP00000008533	ENSTNIP00000021630
ENSORLP00000008545	ENSTNIP00000021629
ENSORLP00000006101	ENSTNIP00000012857
ENSORLP00000014059	ENSTNIP00000020848
ENSORLP00000021480	ENSTNIP00000013883
ENSORLP00000016621	ENSTNIP00000011552
ENSORLP00000014844	ENSTNIP00000009448
ENSORLP00000010677	ENSTNIP00000008505
ENSORLP00000012015	ENSTNIP00000005439
ENSORLP00000017524	ENSTNIP00000014018
ENSORLP00000019575	ENSTNIP00000017332
ENSORLP00000007236	ENSTNIP00000018205
ENSORLP00000016251	ENSTNIP00000020754
ENSORLP00000017415	ENSTNIP00000016617
ENSORLP00000002293	ENSTNIP00000001883
ENSORLP00000024936	ENSTNIP00000000872
ENSORLP00000009890	ENSTNIP00000002254
ENSORLP00000003500	ENSTNIP00000019904
ENSORLP00000008389	ENSTNIP00000010554
ENSORLP00000020768	ENSTNIP00000009405
ENSORLP00000009579	ENSTNIP00000022243
ENSORLP00000023715	ENSTNIP00000005685
ENSORLP00000002937	ENSTNIP00000005395
ENSORLP00000013468	ENSTNIP00000015602
ENSORLP00000001111	ENSTNIP00000007397
ENSORLP00000008168	ENSTNIP00000011467
ENSORLP00000021520	ENSTNIP00000006356
ENSORLP00000003642	ENSTNIP00000005113
ENSORLP00000021806	ENSTNIP00000003241
ENSORLP00000009508	ENSTNIP00000021598
ENSORLP00000006384	ENSTNIP00000002935
ENSORLP00000021536	ENSTNIP00000020621
ENSORLP00000017085	ENSTNIP00000017040
ENSORLP00000014424	ENSTNIP00000005004
ENSORLP00000003794	ENSTNIP00000010297
ENSORLP00000019353	ENSTNIP00000018409
ENSORLP00000020886	ENSTNIP00000020570
ENSORLP00000024880	ENSTNIP00000016032
ENSORLP00000009819	ENSTNIP00000021835
ENSORLP00000019577	ENSTNIP00000020472
ENSORLP00000011842	ENSTNIP00000013658
ENSORLP00000020026	ENSTNIP00000014348
ENSORLP00000024042	ENSTNIP00000005000
ENSORLP00000021563	ENSTNIP00000009341
ENSORLP00000020327	ENSTNIP00000011199
ENSORLP00000014223	ENSTNIP00000022780
ENSORLP00000011154	ENSTNIP00000011957
ENSORLP00000011199	ENSTNIP00000004574
ENSORLP00000011214	ENSTNIP00000002624
ENSORLP00000007453	ENSTNIP00000010807
ENSORLP00000017104	ENSTNIP00000010106
ENSORLP00000015086	ENSTNIP00000015574
ENSORLP00000019038	ENSTNIP00000011696
ENSORLP00000015587	ENSTNIP00000002085
ENSORLP00000003164	ENSTNIP00000022240
ENSORLP00000003250	ENSTNIP00000019216
ENSORLP00000003274	ENSTNIP00000019215
ENSORLP00000017831	ENSTNIP00000015223
ENSORLP00000014343	ENSTNIP00000000901
ENSORLP00000011596	ENSTNIP00000011971
ENSORLP00000007965	ENSTNIP00000018928
ENSORLP00000009075	ENSTNIP00000008314
ENSORLP00000006705	ENSTNIP00000016704
ENSORLP00000018884	ENSTNIP00000013234
ENSORLP00000010569	ENSTNIP00000012195
ENSORLP00000012135	ENSTNIP00000021503
ENSORLP00000000561	ENSTNIP00000020709
ENSORLP00000025388	ENSTNIP00000009119
ENSORLP00000025683	ENSTNIP00000022266
ENSORLP00000014306	ENSTNIP00000015933
ENSORLP00000008809	ENSTNIP00000013980
ENSORLP00000006522	ENSTNIP00000019276
ENSORLP00000015318	ENSTNIP00000020978
ENSORLP00000023518	ENSTNIP00000014099
ENSORLP00000015121	ENSTNIP00000008805
ENSORLP00000002921	ENSTNIP00000012405
ENSORLP00000018739	ENSTNIP00000019475
ENSORLP00000002487	ENSTNIP00000007588
ENSORLP00000006789	ENSTNIP00000015995
ENSORLP00000020766	ENSTNIP00000020554
ENSORLP00000022035	ENSTNIP00000000629
ENSORLP00000014656	ENSTNIP00000006391
ENSORLP00000012127	ENSTNIP00000022621
ENSORLP00000007060	ENSTNIP00000016336
ENSORLP00000009230	ENSTNIP00000018137
ENSORLP00000001239	ENSTNIP00000016732
ENSORLP00000001350	ENSTNIP00000016739
ENSORLP00000008946	ENSTNIP00000012236
ENSORLP00000008348	ENSTNIP00000018166
ENSORLP00000019579	ENSTNIP00000014364
ENSORLP00000015638	ENSTNIP00000012982
ENSORLP00000016486	ENSTNIP00000009533
ENSORLP00000018751	ENSTNIP00000020439
ENSORLP00000021639	ENSTNIP00000005380
ENSORLP00000005367	ENSTNIP00000009243
ENSORLP00000005898	ENSTNIP00000014262
ENSORLP00000003337	ENSTNIP00000003098
ENSORLP00000013147	ENSTNIP00000009162
ENSORLP00000004343	ENSTNIP00000019804
ENSORLP00000003607	ENSTNIP00000012395
ENSORLP00000004718	ENSTNIP00000009818
ENSORLP00000012866	ENSTNIP00000013702
ENSORLP00000008466	ENSTNIP00000021434
ENSORLP00000004487	ENSTNIP00000014972
ENSORLP00000005154	ENSTNIP00000017909
ENSORLP00000009160	ENSTNIP00000010972
ENSORLP00000022172	ENSTNIP00000017885
ENSORLP00000021620	ENSTNIP00000011362
ENSORLP00000016421	ENSTNIP00000020766
ENSORLP00000024805	ENSTNIP00000005075
ENSORLP00000020677	ENSTNIP00000020546
ENSORLP00000017636	ENSTNIP00000015215
ENSORLP00000006113	ENSTNIP00000009756
ENSORLP00000002792	ENSTNIP00000008605
ENSORLP00000021519	ENSTNIP00000000538
ENSORLP00000007351	ENSTNIP00000012103
ENSORLP00000012642	ENSTNIP00000006185
ENSORLP00000002222	ENSTNIP00000022985
ENSORLP00000012375	ENSTNIP00000010689
ENSORLP00000003668	ENSTNIP00000016440
ENSORLP00000003632	ENSTNIP00000005293
ENSORLP00000003135	ENSTNIP00000012727
ENSORLP00000006645	ENSTNIP00000002124
ENSORLP00000025028	ENSTNIP00000015894
ENSORLP00000006513	ENSTNIP00000021754
ENSORLP00000000559	ENSTNIP00000012764
ENSORLP00000008163	ENSTNIP00000005010
ENSORLP00000016977	ENSTNIP00000019479
ENSORLP00000001776	ENSTNIP00000004707
ENSORLP00000023414	ENSTNIP00000016605
ENSORLP00000014381	ENSTNIP00000019507
ENSORLP00000002277	ENSTNIP00000001026
ENSORLP00000011949	ENSTNIP00000011979
ENSORLP00000016514	ENSTNIP00000006539
ENSORLP00000019537	ENSTNIP00000018362
ENSORLP00000014238	ENSTNIP00000003415
ENSORLP00000022220	ENSTNIP00000019829
ENSORLP00000001447	ENSTNIP00000001271
ENSORLP00000005998	ENSTNIP00000010289
ENSORLP00000008865	ENSTNIP00000012946
ENSORLP00000007028	ENSTNIP00000018609
ENSORLP00000004489	ENSTNIP00000006500
ENSORLP00000008728	ENSTNIP00000009998
ENSORLP00000012835	ENSTNIP00000000956
ENSORLP00000012064	ENSTNIP00000008730
ENSORLP00000012637	ENSTNIP00000021052
ENSORLP00000021825	ENSTNIP00000022851
ENSORLP00000025768	ENSTNIP00000018711
ENSORLP00000003746	ENSTNIP00000016443
ENSORLP00000025765	ENSTNIP00000018710
ENSORLP00000021533	ENSTNIP00000003619
ENSORLP00000006276	ENSTNIP00000009985
ENSORLP00000005169	ENSTNIP00000002229
ENSORLP00000000821	ENSTNIP00000001225
ENSORLP00000015610	ENSTNIP00000014551
ENSORLP00000011634	ENSTNIP00000021175
ENSORLP00000011194	ENSTNIP00000000577
ENSORLP00000019284	ENSTNIP00000015488
ENSORLP00000020349	ENSTNIP00000015416
ENSORLP00000025007	ENSTNIP00000009620
ENSORLP00000021801	ENSTNIP00000020642
ENSORLP00000010969	ENSTNIP00000018064
ENSORLP00000014728	ENSTNIP00000018056
ENSORLP00000019926	ENSTNIP00000010081
ENSORLP00000006329	ENSTNIP00000010019
ENSORLP00000015455	ENSTNIP00000022707
ENSORLP00000000052	ENSTNIP00000013378
ENSORLP00000017308	ENSTNIP00000010110
ENSORLP00000023681	ENSTNIP00000018006
ENSORLP00000002906	ENSTNIP00000011046
ENSORLP00000010950	ENSTNIP00000021146
ENSORLP00000016319	ENSTNIP00000005213
ENSORLP00000001961	ENSTNIP00000020241
ENSORLP00000012954	ENSTNIP00000015744
ENSORLP00000005675	ENSTNIP00000014637
ENSORLP00000017652	ENSTNIP00000014814
ENSORLP00000019189	ENSTNIP00000009279
ENSORLP00000020842	ENSTNIP00000005483
ENSORLP00000000134	ENSTNIP00000006556
ENSORLP00000001955	ENSTNIP00000013302
ENSORLP00000013275	ENSTNIP00000012579
ENSORLP00000015150	ENSTNIP00000019748
ENSORLP00000012459	ENSTNIP00000017376
ENSORLP00000018490	ENSTNIP00000005806
ENSORLP00000002420	ENSTNIP00000004759
ENSORLP00000011156	ENSTNIP00000021152
ENSORLP00000006039	ENSTNIP00000021775
ENSORLP00000012345	ENSTNIP00000011074
ENSORLP00000016900	ENSTNIP00000006569
ENSORLP00000001737	ENSTNIP00000012438
ENSORLP00000020796	ENSTNIP00000015646
ENSORLP00000009279	ENSTNIP00000020875
ENSORLP00000024298	ENSTNIP00000009513
ENSORLP00000025612	ENSTNIP00000009676
ENSORLP00000014641	ENSTNIP00000003163
ENSORLP00000000447	ENSTNIP00000009957
ENSORLP00000018467	ENSTNIP00000014413
ENSORLP00000011274	ENSTNIP00000007048
ENSORLP00000010184	ENSTNIP00000022950
ENSORLP00000003209	ENSTNIP00000019221
ENSORLP00000023087	ENSTNIP00000007776
ENSORLP00000010272	ENSTNIP00000022899
ENSORLP00000024242	ENSTNIP00000003748
ENSORLP00000024772	ENSTNIP00000016727
ENSORLP00000001761	ENSTNIP00000022182
ENSORLP00000021651	ENSTNIP00000013621
ENSORLP00000020121	ENSTNIP00000022456
ENSORLP00000012167	ENSTNIP00000016815
ENSORLP00000013687	ENSTNIP00000015317
ENSORLP00000000973	ENSTNIP00000014225
ENSORLP00000015754	ENSTNIP00000014793
ENSORLP00000009169	ENSTNIP00000013334
ENSORLP00000012181	ENSTNIP00000007237
ENSORLP00000000787	ENSTNIP00000020801
ENSORLP00000024351	ENSTNIP00000011098
ENSORLP00000002580	ENSTNIP00000017966
ENSORLP00000017063	ENSTNIP00000006957
ENSORLP00000004778	ENSTNIP00000015838
ENSORLP00000021717	ENSTNIP00000008719
ENSORLP00000005059	ENSTNIP00000019346
ENSORLP00000001855	ENSTNIP00000014206
ENSORLP00000011718	ENSTNIP00000021522
ENSORLP00000025655	ENSTNIP00000022258
ENSORLP00000018886	ENSTNIP00000015444
ENSORLP00000010070	ENSTNIP00000005498
ENSORLP00000014666	ENSTNIP00000009443
ENSORLP00000010066	ENSTNIP00000014725
ENSORLP00000019895	ENSTNIP00000006269
ENSORLP00000004684	ENSTNIP00000005091
ENSORLP00000024901	ENSTNIP00000017603
ENSORLP00000008720	ENSTNIP00000021353
ENSORLP00000016266	ENSTNIP00000010837
ENSORLP00000002427	ENSTNIP00000009204
ENSORLP00000014301	ENSTNIP00000011370
ENSORLP00000003875	ENSTNIP00000016276
ENSORLP00000007775	ENSTNIP00000010815
ENSORLP00000006281	ENSTNIP00000011581
ENSORLP00000008519	ENSTNIP00000011482
ENSORLP00000001135	ENSTNIP00000019188
ENSORLP00000018848	ENSTNIP00000016154
ENSORLP00000013523	ENSTNIP00000009737
ENSORLP00000004905	ENSTNIP00000019780
ENSORLP00000013264	ENSTNIP00000015758
ENSORLP00000009358	ENSTNIP00000018976
ENSORLP00000015017	ENSTNIP00000011377
ENSORLP00000017559	ENSTNIP00000006233
ENSORLP00000019921	ENSTNIP00000018339
ENSORLP00000011555	ENSTNIP00000017324
ENSORLP00000010086	ENSTNIP00000018869
ENSORLP00000012290	ENSTNIP00000007546
ENSORLP00000008257	ENSTNIP00000018170
ENSORLP00000011087	ENSTNIP00000012091
ENSORLP00000016546	ENSTNIP00000012090
ENSORLP00000017262	ENSTNIP00000016766
ENSORLP00000006401	ENSTNIP00000009765
ENSORLP00000005467	ENSTNIP00000019114
ENSORLP00000010499	ENSTNIP00000009830
ENSORLP00000011983	ENSTNIP00000014783
ENSORLP00000008683	ENSTNIP00000008454
ENSORLP00000002712	ENSTNIP00000008127
ENSORLP00000012140	ENSTNIP00000007236
ENSORLP00000001409	ENSTNIP00000016742
ENSORLP00000024393	ENSTNIP00000007412
ENSORLP00000025052	ENSTNIP00000007146
ENSORLP00000010531	ENSTNIP00000009912
ENSORLP00000005296	ENSTNIP00000012829
ENSORLP00000004312	ENSTNIP00000019369
ENSORLP00000000149	ENSTNIP00000020310
ENSORLP00000022866	ENSTNIP00000020171
ENSORLP00000015323	ENSTNIP00000015566
ENSORLP00000010678	ENSTNIP00000021559
ENSORLP00000003410	ENSTNIP00000012399
ENSORLP00000006803	ENSTNIP00000018601
ENSORLP00000024942	ENSTNIP00000016023
ENSORLP00000015489	ENSTNIP00000007523
ENSORLP00000010541	ENSTNIP00000006607
ENSORLP00000000353	ENSTNIP00000006907
ENSORLP00000008942	ENSTNIP00000003155
ENSORLP00000019455	ENSTNIP00000015965
ENSORLP00000010248	ENSTNIP00000022443
ENSORLP00000000830	ENSTNIP00000016530
ENSORLP00000016350	ENSTNIP00000021680
ENSORLP00000004061	ENSTNIP00000019078
ENSORLP00000013800	ENSTNIP00000010159
ENSORLP00000000250	ENSTNIP00000010964
ENSORLP00000012409	ENSTNIP00000015726
ENSORLP00000011562	ENSTNIP00000010714
ENSORLP00000021607	ENSTNIP00000020049
ENSORLP00000008203	ENSTNIP00000010549
ENSORLP00000024175	ENSTNIP00000005295
ENSORLP00000001822	ENSTNIP00000014205
ENSORLP00000017814	ENSTNIP00000014025
ENSORLP00000009409	ENSTNIP00000010985
ENSORLP00000008158	ENSTNIP00000012913
ENSORLP00000006651	ENSTNIP00000013420
ENSORLP00000007097	ENSTNIP00000018890
ENSORLP00000019726	ENSTNIP00000008920
ENSORLP00000016149	ENSTNIP00000015270
ENSORLP00000018011	ENSTNIP00000008017
ENSORLP00000021436	ENSTNIP00000020611
ENSORLP00000011701	ENSTNIP00000005562
ENSORLP00000009913	ENSTNIP00000011006
ENSORLP00000010034	ENSTNIP00000014065
ENSORLP00000015866	ENSTNIP00000016660
ENSORLP00000010312	ENSTNIP00000005651
ENSORLP00000015841	ENSTNIP00000016661
ENSORLP00000003878	ENSTNIP00000007988
ENSORLP00000019403	ENSTNIP00000011676
ENSORLP00000005660	ENSTNIP00000020746
ENSORLP00000012871	ENSTNIP00000021269
ENSORLP00000014211	ENSTNIP00000013671
ENSORLP00000005902	ENSTNIP00000010284
ENSORLP00000001516	ENSTNIP00000018653
ENSORLP00000000036	ENSTNIP00000013533
ENSORLP00000015505	ENSTNIP00000016880
ENSORLP00000018914	ENSTNIP00000018790
ENSORLP00000004339	ENSTNIP00000015856
ENSORLP00000022148	ENSTNIP00000016982
ENSORLP00000017247	ENSTNIP00000003954
ENSORLP00000012521	ENSTNIP00000007328
ENSORLP00000016917	ENSTNIP00000016085
ENSORLP00000004578	ENSTNIP00000015843
ENSORLP00000017714	ENSTNIP00000007055
ENSORLP00000006128	ENSTNIP00000021773
ENSORLP00000006635	ENSTNIP00000018226
ENSORLP00000009655	ENSTNIP00000022482
ENSORLP00000013369	ENSTNIP00000006581
ENSORLP00000012568	ENSTNIP00000013687
ENSORLP00000023883	ENSTNIP00000020682
ENSORLP00000010300	ENSTNIP00000018994
ENSORLP00000006240	ENSTNIP00000020137
ENSORLP00000017411	ENSTNIP00000015515
ENSORLP00000020456	ENSTNIP00000003916
ENSORLP00000006117	ENSTNIP00000020124
ENSORLP00000013285	ENSTNIP00000013711
ENSORLP00000021266	ENSTNIP00000020600
ENSORLP00000017141	ENSTNIP00000020348
ENSORLP00000012632	ENSTNIP00000020888
ENSORLP00000005596	ENSTNIP00000010275
ENSORLP00000007072	ENSTNIP00000022573
ENSORLP00000013864	ENSTNIP00000019707
ENSORLP00000012819	ENSTNIP00000006195
ENSORLP00000006449	ENSTNIP00000020967
ENSORLP00000023247	ENSTNIP00000007766
ENSORLP00000002883	ENSTNIP00000018461
ENSORLP00000016578	ENSTNIP00000014685
ENSORLP00000015241	ENSTNIP00000007129
ENSORLP00000007696	ENSTNIP00000001435
ENSORLP00000016477	ENSTNIP00000015041
ENSORLP00000022661	ENSTNIP00000007456
ENSORLP00000021327	ENSTNIP00000020602
ENSORLP00000006560	ENSTNIP00000019274
ENSORLP00000012805	ENSTNIP00000016797
ENSORLP00000023946	ENSTNIP00000012051
ENSORLP00000010542	ENSTNIP00000013210
ENSORLP00000012415	ENSTNIP00000021846
ENSORLP00000002371	ENSTNIP00000011288
ENSORLP00000023440	ENSTNIP00000011146
ENSORLP00000021708	ENSTNIP00000008686
ENSORLP00000011411	ENSTNIP00000023043
ENSORLP00000011371	ENSTNIP00000023044
ENSORLP00000015797	ENSTNIP00000005688
ENSORLP00000014384	ENSTNIP00000020106
ENSORLP00000021134	ENSTNIP00000018532
ENSORLP00000018505	ENSTNIP00000018405
ENSORLP00000009588	ENSTNIP00000003000
ENSORLP00000011442	ENSTNIP00000018484
ENSORLP00000021673	ENSTNIP00000019999
ENSORLP00000002945	ENSTNIP00000016471
ENSORLP00000002530	ENSTNIP00000011283
ENSORLP00000014055	ENSTNIP00000018033
ENSORLP00000006836	ENSTNIP00000020162
ENSORLP00000014712	ENSTNIP00000007475
ENSORLP00000019305	ENSTNIP00000017341
ENSORLP00000007110	ENSTNIP00000017539
ENSORLP00000001713	ENSTNIP00000003183
ENSORLP00000014716	ENSTNIP00000010945
ENSORLP00000008358	ENSTNIP00000005111
ENSORLP00000019520	ENSTNIP00000016773
ENSORLP00000005736	ENSTNIP00000010654
ENSORLP00000009048	ENSTNIP00000012950
ENSORLP00000008912	ENSTNIP00000009788
ENSORLP00000016709	ENSTNIP00000006107
ENSORLP00000022469	ENSTNIP00000016938
ENSORLP00000005990	ENSTNIP00000020901
ENSORLP00000020641	ENSTNIP00000014614
ENSORLP00000011359	ENSTNIP00000019445
ENSORLP00000020051	ENSTNIP00000003965
ENSORLP00000004465	ENSTNIP00000019363
ENSORLP00000025383	ENSTNIP00000005740
ENSORLP00000020340	ENSTNIP00000023034
ENSORLP00000001788	ENSTNIP00000019053
ENSORLP00000010395	ENSTNIP00000007980
ENSORLP00000019346	ENSTNIP00000013938
ENSORLP00000014145	ENSTNIP00000010915
ENSORLP00000013909	ENSTNIP00000017469
ENSORLP00000003458	ENSTNIP00000015912
ENSORLP00000003440	ENSTNIP00000004198
ENSORLP00000008342	ENSTNIP00000021347
ENSORLP00000008363	ENSTNIP00000021348
ENSORLP00000006178	ENSTNIP00000009759
ENSORLP00000018203	ENSTNIP00000015019
ENSORLP00000014294	ENSTNIP00000015117
ENSORLP00000000815	ENSTNIP00000013809
ENSORLP00000000067	ENSTNIP00000005886
ENSORLP00000004760	ENSTNIP00000019356
ENSORLP00000024567	ENSTNIP00000014144
ENSORLP00000019971	ENSTNIP00000015385
ENSORLP00000020168	ENSTNIP00000012607
ENSORLP00000014156	ENSTNIP00000020853
ENSORLP00000020166	ENSTNIP00000020512
ENSORLP00000008240	ENSTNIP00000021200
ENSORLP00000008496	ENSTNIP00000011481
ENSORLP00000011429	ENSTNIP00000008279
ENSORLP00000021365	ENSTNIP00000007086
ENSORLP00000002108	ENSTNIP00000012455
ENSORLP00000023485	ENSTNIP00000005230
ENSORLP00000003738	ENSTNIP00000016359
ENSORLP00000011789	ENSTNIP00000013662
ENSORLP00000020393	ENSTNIP00000020527
ENSORLP00000019400	ENSTNIP00000007077
ENSORLP00000015729	ENSTNIP00000005689
ENSORLP00000003623	ENSTNIP00000016284
ENSORLP00000018212	ENSTNIP00000015017
ENSORLP00000010525	ENSTNIP00000013091
ENSORLP00000016845	ENSTNIP00000017028
ENSORLP00000021060	ENSTNIP00000021790
ENSORLP00000005711	ENSTNIP00000012527
ENSORLP00000023232	ENSTNIP00000007132
ENSORLP00000018633	ENSTNIP00000017099
ENSORLP00000008800	ENSTNIP00000013353
ENSORLP00000012669	ENSTNIP00000005876
ENSORLP00000004309	ENSTNIP00000005813
ENSORLP00000009573	ENSTNIP00000015797
ENSORLP00000009837	ENSTNIP00000004088
ENSORLP00000017794	ENSTNIP00000007150
ENSORLP00000012676	ENSTNIP00000005195
ENSORLP00000021628	ENSTNIP00000021902
ENSORLP00000013144	ENSTNIP00000005770
ENSORLP00000020648	ENSTNIP00000019570
ENSORLP00000008851	ENSTNIP00000012238
ENSORLP00000007694	ENSTNIP00000011809
ENSORLP00000006724	ENSTNIP00000017553
ENSORLP00000012589	ENSTNIP00000013637
ENSORLP00000007829	ENSTNIP00000022274
ENSORLP00000007377	ENSTNIP00000018620
ENSORLP00000021750	ENSTNIP00000018575
ENSORLP00000001807	ENSTNIP00000007105
ENSORLP00000004680	ENSTNIP00000013237
ENSORLP00000022379	ENSTNIP00000016950
ENSORLP00000010135	ENSTNIP00000011921
ENSORLP00000009168	ENSTNIP00000018968
ENSORLP00000017375	ENSTNIP00000007443
ENSORLP00000023893	ENSTNIP00000005343
ENSORLP00000025318	ENSTNIP00000014559
ENSORLP00000022620	ENSTNIP00000010007
ENSORLP00000010152	ENSTNIP00000021580
ENSORLP00000017459	ENSTNIP00000022773
ENSORLP00000010205	ENSTNIP00000012203
ENSORLP00000006339	ENSTNIP00000009231
ENSORLP00000004664	ENSTNIP00000019794
ENSORLP00000017403	ENSTNIP00000003221
ENSORLP00000019778	ENSTNIP00000018345
ENSORLP00000024445	ENSTNIP00000014172
ENSORLP00000020660	ENSTNIP00000009994
ENSORLP00000016218	ENSTNIP00000016642
ENSORLP00000023579	ENSTNIP00000011768
ENSORLP00000006666	ENSTNIP00000022316
ENSORLP00000021179	ENSTNIP00000019604
ENSORLP00000012142	ENSTNIP00000022623
ENSORLP00000013971	ENSTNIP00000011396
ENSORLP00000001692	ENSTNIP00000022188
ENSORLP00000003785	ENSTNIP00000019247
ENSORLP00000001046	ENSTNIP00000018676
ENSORLP00000010213	ENSTNIP00000011926
ENSORLP00000022572	ENSTNIP00000013898
ENSORLP00000006959	ENSTNIP00000021910
ENSORLP00000002206	ENSTNIP00000011297
ENSORLP00000020952	ENSTNIP00000007827
ENSORLP00000002979	ENSTNIP00000020725
ENSORLP00000000476	ENSTNIP00000003952
ENSORLP00000011242	ENSTNIP00000016911
ENSORLP00000005639	ENSTNIP00000019320
ENSORLP00000009665	ENSTNIP00000002695
ENSORLP00000003879	ENSTNIP00000014186
ENSORLP00000021846	ENSTNIP00000020066
ENSORLP00000004928	ENSTNIP00000005473
ENSORLP00000002425	ENSTNIP00000010794
ENSORLP00000017275	ENSTNIP00000009019
ENSORLP00000006970	ENSTNIP00000009854
ENSORLP00000004789	ENSTNIP00000014966
ENSORLP00000016859	ENSTNIP00000009893
ENSORLP00000011991	ENSTNIP00000022616
ENSORLP00000001170	ENSTNIP00000019183
ENSORLP00000010462	ENSTNIP00000007979
ENSORLP00000018432	ENSTNIP00000014417
ENSORLP00000022999	ENSTNIP00000013288
ENSORLP00000019470	ENSTNIP00000018364
ENSORLP00000009199	ENSTNIP00000020208
ENSORLP00000013724	ENSTNIP00000022659
ENSORLP00000000399	ENSTNIP00000016595
ENSORLP00000005646	ENSTNIP00000017228
ENSORLP00000006519	ENSTNIP00000020970
ENSORLP00000019506	ENSTNIP00000010441
ENSORLP00000008906	ENSTNIP00000012237
ENSORLP00000015709	ENSTNIP00000010026
ENSORLP00000009827	ENSTNIP00000006922
ENSORLP00000003132	ENSTNIP00000017989
ENSORLP00000006977	ENSTNIP00000009853
ENSORLP00000012551	ENSTNIP00000013684
ENSORLP00000009716	ENSTNIP00000003189
ENSORLP00000004644	ENSTNIP00000014618
ENSORLP00000016943	ENSTNIP00000009891
ENSORLP00000014724	ENSTNIP00000003443
ENSORLP00000012262	ENSTNIP00000017304
ENSORLP00000013914	ENSTNIP00000008901
ENSORLP00000010268	ENSTNIP00000012688
ENSORLP00000024482	ENSTNIP00000009220
ENSORLP00000010926	ENSTNIP00000008118
ENSORLP00000021842	ENSTNIP00000011346
ENSORLP00000001749	ENSTNIP00000012739
ENSORLP00000009282	ENSTNIP00000010977
ENSORLP00000022421	ENSTNIP00000004646
ENSORLP00000023212	ENSTNIP00000013522
ENSORLP00000010299	ENSTNIP00000000701
ENSORLP00000010322	ENSTNIP00000022441
ENSORLP00000015781	ENSTNIP00000014311
ENSORLP00000024665	ENSTNIP00000014508
ENSORLP00000003966	ENSTNIP00000010292
ENSORLP00000014744	ENSTNIP00000017078
ENSORLP00000012986	ENSTNIP00000005879
ENSORLP00000021709	ENSTNIP00000020002
ENSORLP00000005492	ENSTNIP00000012837
ENSORLP00000004250	ENSTNIP00000019372
ENSORLP00000015403	ENSTNIP00000014543
ENSORLP00000025709	ENSTNIP00000014462
ENSORLP00000010818	ENSTNIP00000021142
ENSORLP00000022674	ENSTNIP00000013437
ENSORLP00000005773	ENSTNIP00000012328
ENSORLP00000005909	ENSTNIP00000001417
ENSORLP00000010828	ENSTNIP00000021338
ENSORLP00000005530	ENSTNIP00000003411
ENSORLP00000017537	ENSTNIP00000007124
ENSORLP00000006541	ENSTNIP00000006341
ENSORLP00000001539	ENSTNIP00000008754
ENSORLP00000018965	ENSTNIP00000005390
ENSORLP00000008341	ENSTNIP00000008449
ENSORLP00000004615	ENSTNIP00000017894
ENSORLP00000019717	ENSTNIP00000016784
ENSORLP00000010652	ENSTNIP00000008136
ENSORLP00000021443	ENSTNIP00000018557
ENSORLP00000009138	ENSTNIP00000008316
ENSORLP00000019566	ENSTNIP00000020471
ENSORLP00000010311	ENSTNIP00000021004
ENSORLP00000014323	ENSTNIP00000019504
ENSORLP00000020017	ENSTNIP00000014596
ENSORLP00000007169	ENSTNIP00000012109
ENSORLP00000019437	ENSTNIP00000015966
ENSORLP00000006275	ENSTNIP00000012495
ENSORLP00000014447	ENSTNIP00000010149
ENSORLP00000019458	ENSTNIP00000014370
ENSORLP00000016513	ENSTNIP00000015548
ENSORLP00000021111	ENSTNIP00000001893
ENSORLP00000001051	ENSTNIP00000018828
ENSORLP00000003584	ENSTNIP00000017999
ENSORLP00000006619	ENSTNIP00000022101
ENSORLP00000011558	ENSTNIP00000021529
ENSORLP00000023175	ENSTNIP00000018580
ENSORLP00000022535	ENSTNIP00000001288
ENSORLP00000017442	ENSTNIP00000014827
ENSORLP00000009491	ENSTNIP00000012671
ENSORLP00000022393	ENSTNIP00000016949
ENSORLP00000015085	ENSTNIP00000010750
ENSORLP00000010862	ENSTNIP00000010220
ENSORLP00000024309	ENSTNIP00000012750
ENSORLP00000006310	ENSTNIP00000017865
ENSORLP00000009012	ENSTNIP00000002793
ENSORLP00000012796	ENSTNIP00000011068
ENSORLP00000020351	ENSTNIP00000007522
ENSORLP00000000641	ENSTNIP00000020665
ENSORLP00000006426	ENSTNIP00000009226
ENSORLP00000011863	ENSTNIP00000021290
ENSORLP00000016807	ENSTNIP00000006625
ENSORLP00000003055	ENSTNIP00000005952
