ENSGACP00000024945	ENSLOCP00000011371
ENSGACP00000024535	ENSLOCP00000018453
ENSGACP00000017810	ENSLOCP00000005395
ENSGACP00000004863	ENSLOCP00000014962
ENSGACP00000000649	ENSLOCP00000013744
ENSGACP00000005287	ENSLOCP00000006186
ENSGACP00000019653	ENSLOCP00000016826
ENSGACP00000004652	ENSLOCP00000010167
ENSGACP00000001361	ENSLOCP00000010608
ENSGACP00000007654	ENSLOCP00000014989
ENSGACP00000011773	ENSLOCP00000020803
ENSGACP00000001902	ENSLOCP00000020803
ENSGACP00000020875	ENSLOCP00000016788
ENSGACP00000008119	ENSLOCP00000016788
ENSGACP00000014964	ENSLOCP00000004270
ENSGACP00000005011	ENSLOCP00000014352
ENSGACP00000004483	ENSLOCP00000018319
ENSGACP00000023677	ENSLOCP00000011837
ENSGACP00000022045	ENSLOCP00000002226
ENSGACP00000016946	ENSLOCP00000006978
ENSGACP00000015043	ENSLOCP00000020145
ENSGACP00000005110	ENSLOCP00000018910
ENSGACP00000004505	ENSLOCP00000004867
ENSGACP00000005117	ENSLOCP00000018911
ENSGACP00000009023	ENSLOCP00000022303
ENSGACP00000011266	ENSLOCP00000021624
ENSGACP00000010662	ENSLOCP00000022433
ENSGACP00000019727	ENSLOCP00000021940
ENSGACP00000002940	ENSLOCP00000021940
ENSGACP00000022320	ENSLOCP00000014047
ENSGACP00000016051	ENSLOCP00000006876
ENSGACP00000011864	ENSLOCP00000010676
ENSGACP00000008392	ENSLOCP00000017593
ENSGACP00000021860	ENSLOCP00000017593
ENSGACP00000021277	ENSLOCP00000019065
ENSGACP00000020609	ENSLOCP00000006976
ENSGACP00000010898	ENSLOCP00000006959
ENSGACP00000021496	ENSLOCP00000012508
ENSGACP00000014508	ENSLOCP00000007416
ENSGACP00000014713	ENSLOCP00000011482
ENSGACP00000018767	ENSLOCP00000005428
ENSGACP00000001851	ENSLOCP00000004862
ENSGACP00000017272	ENSLOCP00000021044
ENSGACP00000007140	ENSLOCP00000012581
ENSGACP00000004718	ENSLOCP00000020995
ENSGACP00000025113	ENSLOCP00000020995
ENSGACP00000014491	ENSLOCP00000020013
ENSGACP00000003668	ENSLOCP00000004667
ENSGACP00000003808	ENSLOCP00000005522
ENSGACP00000004396	ENSLOCP00000014034
ENSGACP00000015549	ENSLOCP00000018640
ENSGACP00000006310	ENSLOCP00000012138
ENSGACP00000021189	ENSLOCP00000003676
ENSGACP00000019201	ENSLOCP00000013766
ENSGACP00000020864	ENSLOCP00000016811
ENSGACP00000015057	ENSLOCP00000004303
ENSGACP00000004308	ENSLOCP00000010474
ENSGACP00000010443	ENSLOCP00000015335
ENSGACP00000022735	ENSLOCP00000021597
ENSGACP00000005665	ENSLOCP00000005814
ENSGACP00000020470	ENSLOCP00000020649
ENSGACP00000019099	ENSLOCP00000016137
ENSGACP00000012078	ENSLOCP00000012162
ENSGACP00000019681	ENSLOCP00000010586
ENSGACP00000012185	ENSLOCP00000012795
ENSGACP00000005671	ENSLOCP00000016360
ENSGACP00000025799	ENSLOCP00000020278
ENSGACP00000015027	ENSLOCP00000000547
ENSGACP00000027215	ENSLOCP00000011159
ENSGACP00000023573	ENSLOCP00000022163
ENSGACP00000004951	ENSLOCP00000016009
ENSGACP00000014216	ENSLOCP00000005204
ENSGACP00000003458	ENSLOCP00000010705
ENSGACP00000007960	ENSLOCP00000015659
ENSGACP00000003479	ENSLOCP00000009315
ENSGACP00000006344	ENSLOCP00000002237
ENSGACP00000022496	ENSLOCP00000003786
ENSGACP00000026186	ENSLOCP00000020236
ENSGACP00000005348	ENSLOCP00000017093
ENSGACP00000021898	ENSLOCP00000004602
ENSGACP00000001718	ENSLOCP00000013926
ENSGACP00000016916	ENSLOCP00000018898
ENSGACP00000010406	ENSLOCP00000011380
ENSGACP00000010976	ENSLOCP00000014036
ENSGACP00000022705	ENSLOCP00000010373
ENSGACP00000012071	ENSLOCP00000002078
ENSGACP00000021227	ENSLOCP00000002078
ENSGACP00000005711	ENSLOCP00000007316
ENSGACP00000016377	ENSLOCP00000020528
ENSGACP00000004496	ENSLOCP00000016122
ENSGACP00000004794	ENSLOCP00000015015
ENSGACP00000004818	ENSLOCP00000015000
ENSGACP00000025594	ENSLOCP00000017111
ENSGACP00000020198	ENSLOCP00000012181
ENSGACP00000020186	ENSLOCP00000012208
ENSGACP00000022675	ENSLOCP00000010477
ENSGACP00000018588	ENSLOCP00000002791
ENSGACP00000007404	ENSLOCP00000011261
ENSGACP00000009947	ENSLOCP00000004994
ENSGACP00000023991	ENSLOCP00000016919
ENSGACP00000006246	ENSLOCP00000008909
ENSGACP00000013276	ENSLOCP00000007857
ENSGACP00000023696	ENSLOCP00000013974
ENSGACP00000006151	ENSLOCP00000007593
ENSGACP00000025587	ENSLOCP00000017166
ENSGACP00000025492	ENSLOCP00000017263
ENSGACP00000016872	ENSLOCP00000004060
ENSGACP00000015036	ENSLOCP00000021423
ENSGACP00000013384	ENSLOCP00000011633
ENSGACP00000011576	ENSLOCP00000012848
ENSGACP00000000058	ENSLOCP00000011533
ENSGACP00000015768	ENSLOCP00000007608
ENSGACP00000020536	ENSLOCP00000016894
ENSGACP00000004506	ENSLOCP00000003336
ENSGACP00000005880	ENSLOCP00000019658
ENSGACP00000012787	ENSLOCP00000017941
ENSGACP00000014465	ENSLOCP00000018053
ENSGACP00000024376	ENSLOCP00000011206
ENSGACP00000011540	ENSLOCP00000005922
ENSGACP00000011240	ENSLOCP00000015247
ENSGACP00000002795	ENSLOCP00000016382
ENSGACP00000004027	ENSLOCP00000006129
ENSGACP00000026277	ENSLOCP00000018693
ENSGACP00000012937	ENSLOCP00000011849
ENSGACP00000020479	ENSLOCP00000007545
ENSGACP00000011227	ENSLOCP00000003925
ENSGACP00000005928	ENSLOCP00000009020
ENSGACP00000005731	ENSLOCP00000009020
ENSGACP00000014608	ENSLOCP00000020003
ENSGACP00000010159	ENSLOCP00000004756
ENSGACP00000006116	ENSLOCP00000012494
ENSGACP00000004049	ENSLOCP00000007973
ENSGACP00000008028	ENSLOCP00000000964
ENSGACP00000009057	ENSLOCP00000000964
ENSGACP00000019425	ENSLOCP00000002111
ENSGACP00000006710	ENSLOCP00000002111
ENSGACP00000023901	ENSLOCP00000002065
ENSGACP00000021583	ENSLOCP00000007713
ENSGACP00000013045	ENSLOCP00000011947
ENSGACP00000027369	ENSLOCP00000002553
ENSGACP00000026737	ENSLOCP00000003481
ENSGACP00000016188	ENSLOCP00000007570
ENSGACP00000023247	ENSLOCP00000007570
ENSGACP00000018712	ENSLOCP00000015091
ENSGACP00000025517	ENSLOCP00000020299
ENSGACP00000007442	ENSLOCP00000017510
ENSGACP00000002045	ENSLOCP00000017510
ENSGACP00000016773	ENSLOCP00000019099
ENSGACP00000026147	ENSLOCP00000019099
ENSGACP00000014923	ENSLOCP00000004152
ENSGACP00000003735	ENSLOCP00000015322
ENSGACP00000024331	ENSLOCP00000014596
ENSGACP00000007029	ENSLOCP00000009675
ENSGACP00000021533	ENSLOCP00000014717
ENSGACP00000012372	ENSLOCP00000014717
ENSGACP00000024214	ENSLOCP00000014805
ENSGACP00000009590	ENSLOCP00000014628
ENSGACP00000011090	ENSLOCP00000002247
ENSGACP00000003090	ENSLOCP00000013315
ENSGACP00000026558	ENSLOCP00000006330
ENSGACP00000013855	ENSLOCP00000006330
ENSGACP00000004675	ENSLOCP00000015099
ENSGACP00000003691	ENSLOCP00000004856
ENSGACP00000020069	ENSLOCP00000004740
ENSGACP00000012315	ENSLOCP00000000971
ENSGACP00000027370	ENSLOCP00000002667
ENSGACP00000027344	ENSLOCP00000004156
ENSGACP00000016919	ENSLOCP00000004156
ENSGACP00000017196	ENSLOCP00000017509
ENSGACP00000004820	ENSLOCP00000008672
ENSGACP00000008108	ENSLOCP00000008672
ENSGACP00000005284	ENSLOCP00000014637
ENSGACP00000026695	ENSLOCP00000004749
ENSGACP00000005283	ENSLOCP00000003974
ENSGACP00000017040	ENSLOCP00000003192
ENSGACP00000018082	ENSLOCP00000005842
ENSGACP00000026828	ENSLOCP00000005842
ENSGACP00000006878	ENSLOCP00000017293
ENSGACP00000022333	ENSLOCP00000017293
ENSGACP00000011943	ENSLOCP00000019187
ENSGACP00000018502	ENSLOCP00000019712
ENSGACP00000017683	ENSLOCP00000019712
ENSGACP00000020415	ENSLOCP00000000852
ENSGACP00000017902	ENSLOCP00000000579
ENSGACP00000001265	ENSLOCP00000003733
ENSGACP00000021790	ENSLOCP00000022190
ENSGACP00000023120	ENSLOCP00000015595
ENSGACP00000012072	ENSLOCP00000007661
ENSGACP00000015623	ENSLOCP00000020889
ENSGACP00000023095	ENSLOCP00000018864
ENSGACP00000009306	ENSLOCP00000004595
ENSGACP00000011195	ENSLOCP00000015303
ENSGACP00000026501	ENSLOCP00000019388
ENSGACP00000012169	ENSLOCP00000004426
ENSGACP00000006407	ENSLOCP00000001211
ENSGACP00000001490	ENSLOCP00000009228
ENSGACP00000004841	ENSLOCP00000006630
ENSGACP00000015187	ENSLOCP00000009913
ENSGACP00000027170	ENSLOCP00000009913
ENSGACP00000009575	ENSLOCP00000018494
ENSGACP00000016710	ENSLOCP00000007091
ENSGACP00000022218	ENSLOCP00000012261
ENSGACP00000007461	ENSLOCP00000010356
ENSGACP00000014562	ENSLOCP00000015734
ENSGACP00000012791	ENSLOCP00000015734
ENSGACP00000010469	ENSLOCP00000005624
ENSGACP00000014777	ENSLOCP00000003345
ENSGACP00000013467	ENSLOCP00000008298
ENSGACP00000015486	ENSLOCP00000018818
ENSGACP00000020101	ENSLOCP00000008856
ENSGACP00000011272	ENSLOCP00000008856
ENSGACP00000013031	ENSLOCP00000015033
ENSGACP00000024726	ENSLOCP00000015160
ENSGACP00000021550	ENSLOCP00000014237
ENSGACP00000001962	ENSLOCP00000003799
ENSGACP00000010397	ENSLOCP00000002481
ENSGACP00000021892	ENSLOCP00000004560
ENSGACP00000013764	ENSLOCP00000012139
ENSGACP00000011635	ENSLOCP00000000220
ENSGACP00000027165	ENSLOCP00000000260
ENSGACP00000022321	ENSLOCP00000014033
ENSGACP00000003456	ENSLOCP00000009141
ENSGACP00000002409	ENSLOCP00000018396
ENSGACP00000012853	ENSLOCP00000005416
ENSGACP00000015599	ENSLOCP00000020891
ENSGACP00000009111	ENSLOCP00000020891
ENSGACP00000003655	ENSLOCP00000011485
ENSGACP00000022605	ENSLOCP00000018731
ENSGACP00000027443	ENSLOCP00000001271
ENSGACP00000020380	ENSLOCP00000005500
ENSGACP00000002804	ENSLOCP00000001132
ENSGACP00000017339	ENSLOCP00000016070
ENSGACP00000013285	ENSLOCP00000019160
ENSGACP00000002082	ENSLOCP00000017378
ENSGACP00000022721	ENSLOCP00000019287
ENSGACP00000003871	ENSLOCP00000008596
ENSGACP00000016053	ENSLOCP00000010481
ENSGACP00000019416	ENSLOCP00000002668
ENSGACP00000018866	ENSLOCP00000004201
ENSGACP00000011222	ENSLOCP00000002372
ENSGACP00000006296	ENSLOCP00000020356
ENSGACP00000018030	ENSLOCP00000020522
ENSGACP00000000094	ENSLOCP00000017369
ENSGACP00000002078	ENSLOCP00000017369
ENSGACP00000027458	ENSLOCP00000002093
ENSGACP00000015698	ENSLOCP00000006169
ENSGACP00000020591	ENSLOCP00000022252
ENSGACP00000007913	ENSLOCP00000019368
ENSGACP00000004036	ENSLOCP00000002441
ENSGACP00000009450	ENSLOCP00000002441
ENSGACP00000010655	ENSLOCP00000008414
ENSGACP00000002882	ENSLOCP00000015182
ENSGACP00000020581	ENSLOCP00000006399
ENSGACP00000013745	ENSLOCP00000018985
ENSGACP00000017432	ENSLOCP00000021364
ENSGACP00000014668	ENSLOCP00000016628
ENSGACP00000017756	ENSLOCP00000018167
ENSGACP00000010580	ENSLOCP00000015482
ENSGACP00000005565	ENSLOCP00000015482
ENSGACP00000011109	ENSLOCP00000018720
ENSGACP00000022664	ENSLOCP00000018720
ENSGACP00000020654	ENSLOCP00000013189
ENSGACP00000027493	ENSLOCP00000001584
ENSGACP00000013219	ENSLOCP00000001584
ENSGACP00000010724	ENSLOCP00000010049
ENSGACP00000015861	ENSLOCP00000001574
ENSGACP00000010877	ENSLOCP00000007573
ENSGACP00000025518	ENSLOCP00000011782
ENSGACP00000023167	ENSLOCP00000010066
ENSGACP00000010597	ENSLOCP00000004222
ENSGACP00000010030	ENSLOCP00000004222
ENSGACP00000018698	ENSLOCP00000006741
ENSGACP00000001112	ENSLOCP00000000407
ENSGACP00000006168	ENSLOCP00000001235
ENSGACP00000016481	ENSLOCP00000015806
ENSGACP00000011675	ENSLOCP00000005895
ENSGACP00000010677	ENSLOCP00000005895
ENSGACP00000005875	ENSLOCP00000009224
ENSGACP00000017818	ENSLOCP00000015722
ENSGACP00000027380	ENSLOCP00000016805
ENSGACP00000021416	ENSLOCP00000014029
ENSGACP00000001225	ENSLOCP00000018342
ENSGACP00000005434	ENSLOCP00000001253
ENSGACP00000024965	ENSLOCP00000001253
ENSGACP00000026245	ENSLOCP00000014093
ENSGACP00000002687	ENSLOCP00000007936
ENSGACP00000008820	ENSLOCP00000006929
ENSGACP00000019908	ENSLOCP00000004523
ENSGACP00000013177	ENSLOCP00000004523
ENSGACP00000003850	ENSLOCP00000007652
ENSGACP00000000634	ENSLOCP00000007521
ENSGACP00000022492	ENSLOCP00000003813
ENSGACP00000007706	ENSLOCP00000019252
ENSGACP00000010362	ENSLOCP00000008947
ENSGACP00000015084	ENSLOCP00000002562
ENSGACP00000025366	ENSLOCP00000008495
ENSGACP00000008597	ENSLOCP00000021003
ENSGACP00000023345	ENSLOCP00000016817
ENSGACP00000026093	ENSLOCP00000002127
ENSGACP00000014237	ENSLOCP00000020234
ENSGACP00000022364	ENSLOCP00000004902
ENSGACP00000001393	ENSLOCP00000012547
ENSGACP00000024160	ENSLOCP00000012547
ENSGACP00000018870	ENSLOCP00000007555
ENSGACP00000018447	ENSLOCP00000009216
ENSGACP00000025043	ENSLOCP00000003494
ENSGACP00000006446	ENSLOCP00000013955
ENSGACP00000007859	ENSLOCP00000011641
ENSGACP00000014404	ENSLOCP00000009163
ENSGACP00000018947	ENSLOCP00000011517
ENSGACP00000008704	ENSLOCP00000001355
ENSGACP00000018027	ENSLOCP00000006843
ENSGACP00000005504	ENSLOCP00000006188
ENSGACP00000025471	ENSLOCP00000017237
ENSGACP00000011616	ENSLOCP00000015531
ENSGACP00000008220	ENSLOCP00000015531
ENSGACP00000027573	ENSLOCP00000005811
ENSGACP00000002720	ENSLOCP00000011843
ENSGACP00000020893	ENSLOCP00000016727
ENSGACP00000004065	ENSLOCP00000005907
ENSGACP00000007718	ENSLOCP00000005907
ENSGACP00000008121	ENSLOCP00000019534
ENSGACP00000010818	ENSLOCP00000002246
ENSGACP00000011838	ENSLOCP00000004809
ENSGACP00000023745	ENSLOCP00000003035
ENSGACP00000020990	ENSLOCP00000007670
ENSGACP00000010851	ENSLOCP00000012497
ENSGACP00000016840	ENSLOCP00000020647
ENSGACP00000026488	ENSLOCP00000020647
ENSGACP00000006596	ENSLOCP00000008565
ENSGACP00000010328	ENSLOCP00000005782
ENSGACP00000005725	ENSLOCP00000002339
ENSGACP00000001886	ENSLOCP00000002339
ENSGACP00000004391	ENSLOCP00000014049
ENSGACP00000015991	ENSLOCP00000018180
ENSGACP00000020336	ENSLOCP00000006126
ENSGACP00000020337	ENSLOCP00000006146
ENSGACP00000001358	ENSLOCP00000015421
ENSGACP00000004917	ENSLOCP00000020624
ENSGACP00000022532	ENSLOCP00000018520
ENSGACP00000005923	ENSLOCP00000014929
ENSGACP00000016354	ENSLOCP00000017704
ENSGACP00000007066	ENSLOCP00000020440
ENSGACP00000014802	ENSLOCP00000016706
ENSGACP00000013414	ENSLOCP00000017491
ENSGACP00000002048	ENSLOCP00000017491
ENSGACP00000000923	ENSLOCP00000019154
ENSGACP00000005321	ENSLOCP00000009323
ENSGACP00000014338	ENSLOCP00000018922
ENSGACP00000012187	ENSLOCP00000016260
ENSGACP00000005790	ENSLOCP00000002585
ENSGACP00000019667	ENSLOCP00000003353
ENSGACP00000004025	ENSLOCP00000006453
ENSGACP00000007591	ENSLOCP00000006453
ENSGACP00000019165	ENSLOCP00000006080
ENSGACP00000012584	ENSLOCP00000010284
ENSGACP00000025864	ENSLOCP00000019216
ENSGACP00000003109	ENSLOCP00000016632
ENSGACP00000021934	ENSLOCP00000018622
ENSGACP00000008590	ENSLOCP00000018622
ENSGACP00000015403	ENSLOCP00000007997
ENSGACP00000018732	ENSLOCP00000006140
ENSGACP00000026296	ENSLOCP00000020594
ENSGACP00000018431	ENSLOCP00000004160
ENSGACP00000012707	ENSLOCP00000009919
ENSGACP00000015263	ENSLOCP00000009919
ENSGACP00000026857	ENSLOCP00000018894
ENSGACP00000027082	ENSLOCP00000005422
ENSGACP00000012379	ENSLOCP00000004594
ENSGACP00000020192	ENSLOCP00000007474
ENSGACP00000012188	ENSLOCP00000014090
ENSGACP00000010619	ENSLOCP00000015934
ENSGACP00000018121	ENSLOCP00000015934
ENSGACP00000016299	ENSLOCP00000020360
ENSGACP00000004211	ENSLOCP00000020360
ENSGACP00000022339	ENSLOCP00000001239
ENSGACP00000026795	ENSLOCP00000001239
ENSGACP00000022154	ENSLOCP00000009199
ENSGACP00000026700	ENSLOCP00000004475
ENSGACP00000014059	ENSLOCP00000018015
ENSGACP00000012012	ENSLOCP00000001245
ENSGACP00000002585	ENSLOCP00000007341
ENSGACP00000014322	ENSLOCP00000009636
ENSGACP00000022536	ENSLOCP00000021710
ENSGACP00000017779	ENSLOCP00000019889
ENSGACP00000025405	ENSLOCP00000019889
ENSGACP00000011443	ENSLOCP00000019559
ENSGACP00000015369	ENSLOCP00000012746
ENSGACP00000011296	ENSLOCP00000009739
ENSGACP00000010350	ENSLOCP00000022045
ENSGACP00000001314	ENSLOCP00000022045
ENSGACP00000003979	ENSLOCP00000022360
ENSGACP00000012243	ENSLOCP00000014589
ENSGACP00000016531	ENSLOCP00000014544
ENSGACP00000027318	ENSLOCP00000022418
ENSGACP00000021950	ENSLOCP00000008443
ENSGACP00000019230	ENSLOCP00000002344
ENSGACP00000010263	ENSLOCP00000002344
ENSGACP00000016152	ENSLOCP00000004635
ENSGACP00000024638	ENSLOCP00000018568
ENSGACP00000017721	ENSLOCP00000003991
ENSGACP00000007057	ENSLOCP00000003991
ENSGACP00000021835	ENSLOCP00000004294
ENSGACP00000016111	ENSLOCP00000016333
ENSGACP00000015204	ENSLOCP00000011709
ENSGACP00000023797	ENSLOCP00000011709
ENSGACP00000023169	ENSLOCP00000015119
ENSGACP00000011091	ENSLOCP00000008616
ENSGACP00000021233	ENSLOCP00000001842
ENSGACP00000008655	ENSLOCP00000001822
ENSGACP00000003662	ENSLOCP00000004650
ENSGACP00000025589	ENSLOCP00000019267
ENSGACP00000014881	ENSLOCP00000002316
ENSGACP00000024232	ENSLOCP00000016854
ENSGACP00000000420	ENSLOCP00000016854
ENSGACP00000007992	ENSLOCP00000001573
ENSGACP00000008681	ENSLOCP00000013647
ENSGACP00000014323	ENSLOCP00000017648
ENSGACP00000021759	ENSLOCP00000017648
ENSGACP00000018695	ENSLOCP00000017342
ENSGACP00000024140	ENSLOCP00000018333
ENSGACP00000021335	ENSLOCP00000001196
ENSGACP00000015037	ENSLOCP00000019841
ENSGACP00000024002	ENSLOCP00000019841
ENSGACP00000012570	ENSLOCP00000009130
ENSGACP00000027247	ENSLOCP00000010922
ENSGACP00000021404	ENSLOCP00000001137
ENSGACP00000017347	ENSLOCP00000021986
ENSGACP00000001472	ENSLOCP00000003569
ENSGACP00000022016	ENSLOCP00000003569
ENSGACP00000024775	ENSLOCP00000017779
ENSGACP00000010024	ENSLOCP00000008452
ENSGACP00000019110	ENSLOCP00000013044
ENSGACP00000000737	ENSLOCP00000013044
ENSGACP00000009756	ENSLOCP00000015673
ENSGACP00000021984	ENSLOCP00000003661
ENSGACP00000022508	ENSLOCP00000003661
ENSGACP00000023290	ENSLOCP00000001071
ENSGACP00000012908	ENSLOCP00000018003
ENSGACP00000016048	ENSLOCP00000017306
ENSGACP00000015688	ENSLOCP00000004845
ENSGACP00000000469	ENSLOCP00000015063
ENSGACP00000016688	ENSLOCP00000013876
ENSGACP00000000158	ENSLOCP00000013876
ENSGACP00000026065	ENSLOCP00000019352
ENSGACP00000011907	ENSLOCP00000019352
ENSGACP00000017589	ENSLOCP00000005929
ENSGACP00000016579	ENSLOCP00000008843
ENSGACP00000005850	ENSLOCP00000001247
ENSGACP00000010961	ENSLOCP00000014594
ENSGACP00000009494	ENSLOCP00000014594
ENSGACP00000008874	ENSLOCP00000002337
ENSGACP00000012223	ENSLOCP00000002337
ENSGACP00000011088	ENSLOCP00000021242
ENSGACP00000011789	ENSLOCP00000002665
ENSGACP00000008866	ENSLOCP00000009505
ENSGACP00000021166	ENSLOCP00000009505
ENSGACP00000019132	ENSLOCP00000014138
ENSGACP00000007775	ENSLOCP00000013318
ENSGACP00000017080	ENSLOCP00000013318
ENSGACP00000017165	ENSLOCP00000017516
ENSGACP00000022032	ENSLOCP00000015916
ENSGACP00000022620	ENSLOCP00000015916
ENSGACP00000002384	ENSLOCP00000014043
ENSGACP00000020273	ENSLOCP00000014043
ENSGACP00000026384	ENSLOCP00000018607
ENSGACP00000003238	ENSLOCP00000005065
ENSGACP00000018828	ENSLOCP00000007074
ENSGACP00000017695	ENSLOCP00000007074
ENSGACP00000008818	ENSLOCP00000011015
ENSGACP00000012656	ENSLOCP00000011015
ENSGACP00000001592	ENSLOCP00000008908
ENSGACP00000014577	ENSLOCP00000018425
ENSGACP00000024682	ENSLOCP00000005157
ENSGACP00000011083	ENSLOCP00000012212
ENSGACP00000027389	ENSLOCP00000013302
ENSGACP00000023180	ENSLOCP00000015187
ENSGACP00000013240	ENSLOCP00000004721
ENSGACP00000020064	ENSLOCP00000004721
ENSGACP00000002785	ENSLOCP00000003401
ENSGACP00000006076	ENSLOCP00000012191
ENSGACP00000006810	ENSLOCP00000012191
ENSGACP00000015311	ENSLOCP00000019910
ENSGACP00000006793	ENSLOCP00000010530
ENSGACP00000022667	ENSLOCP00000018729
ENSGACP00000011133	ENSLOCP00000018729
ENSGACP00000003212	ENSLOCP00000006729
ENSGACP00000011073	ENSLOCP00000006729
ENSGACP00000024334	ENSLOCP00000014602
ENSGACP00000000804	ENSLOCP00000004170
ENSGACP00000020894	ENSLOCP00000016711
ENSGACP00000016044	ENSLOCP00000009262
ENSGACP00000005908	ENSLOCP00000009262
ENSGACP00000021537	ENSLOCP00000014076
ENSGACP00000022257	ENSLOCP00000014326
ENSGACP00000022910	ENSLOCP00000016617
ENSGACP00000013076	ENSLOCP00000009406
ENSGACP00000013247	ENSLOCP00000001538
ENSGACP00000002073	ENSLOCP00000001538
ENSGACP00000024014	ENSLOCP00000019829
ENSGACP00000021460	ENSLOCP00000012471
ENSGACP00000022179	ENSLOCP00000016229
ENSGACP00000026098	ENSLOCP00000002557
ENSGACP00000009993	ENSLOCP00000013112
ENSGACP00000008063	ENSLOCP00000000690
ENSGACP00000002739	ENSLOCP00000006869
ENSGACP00000003395	ENSLOCP00000009780
ENSGACP00000012786	ENSLOCP00000009780
ENSGACP00000024847	ENSLOCP00000000917
ENSGACP00000012792	ENSLOCP00000021118
ENSGACP00000012881	ENSLOCP00000004368
ENSGACP00000020693	ENSLOCP00000004368
ENSGACP00000011027	ENSLOCP00000014279
ENSGACP00000026240	ENSLOCP00000018613
ENSGACP00000016312	ENSLOCP00000007389
ENSGACP00000005299	ENSLOCP00000003997
ENSGACP00000004699	ENSLOCP00000012067
ENSGACP00000011985	ENSLOCP00000020909
ENSGACP00000004952	ENSLOCP00000002634
ENSGACP00000004107	ENSLOCP00000002634
ENSGACP00000026674	ENSLOCP00000003323
ENSGACP00000025819	ENSLOCP00000015459
ENSGACP00000008245	ENSLOCP00000010766
ENSGACP00000022110	ENSLOCP00000016378
ENSGACP00000007400	ENSLOCP00000008501
ENSGACP00000022009	ENSLOCP00000002823
ENSGACP00000003311	ENSLOCP00000010938
ENSGACP00000022809	ENSLOCP00000010938
ENSGACP00000023564	ENSLOCP00000010966
ENSGACP00000018770	ENSLOCP00000006544
ENSGACP00000018886	ENSLOCP00000002616
ENSGACP00000021929	ENSLOCP00000005649
ENSGACP00000015872	ENSLOCP00000000903
ENSGACP00000015331	ENSLOCP00000019862
ENSGACP00000020739	ENSLOCP00000006182
ENSGACP00000005829	ENSLOCP00000006182
ENSGACP00000008835	ENSLOCP00000002442
ENSGACP00000011245	ENSLOCP00000002442
ENSGACP00000016371	ENSLOCP00000020530
ENSGACP00000021541	ENSLOCP00000010784
ENSGACP00000025915	ENSLOCP00000019796
ENSGACP00000001268	ENSLOCP00000019796
ENSGACP00000019977	ENSLOCP00000012749
ENSGACP00000024865	ENSLOCP00000001462
ENSGACP00000020283	ENSLOCP00000008504
ENSGACP00000005883	ENSLOCP00000009319
ENSGACP00000018423	ENSLOCP00000009319
ENSGACP00000025479	ENSLOCP00000016594
ENSGACP00000023059	ENSLOCP00000007993
ENSGACP00000011834	ENSLOCP00000005082
ENSGACP00000015024	ENSLOCP00000008191
ENSGACP00000020865	ENSLOCP00000015604
ENSGACP00000013328	ENSLOCP00000020610
ENSGACP00000006184	ENSLOCP00000013910
ENSGACP00000022746	ENSLOCP00000018701
ENSGACP00000015810	ENSLOCP00000018701
ENSGACP00000008501	ENSLOCP00000009590
ENSGACP00000024405	ENSLOCP00000007422
ENSGACP00000019549	ENSLOCP00000007422
ENSGACP00000026246	ENSLOCP00000001510
ENSGACP00000013992	ENSLOCP00000018980
ENSGACP00000027379	ENSLOCP00000017091
ENSGACP00000004180	ENSLOCP00000000571
ENSGACP00000004588	ENSLOCP00000016696
ENSGACP00000020930	ENSLOCP00000014072
ENSGACP00000019224	ENSLOCP00000014058
ENSGACP00000006772	ENSLOCP00000009634
ENSGACP00000025940	ENSLOCP00000014268
ENSGACP00000025488	ENSLOCP00000021866
ENSGACP00000016822	ENSLOCP00000021866
ENSGACP00000015817	ENSLOCP00000010805
ENSGACP00000012051	ENSLOCP00000012347
ENSGACP00000014341	ENSLOCP00000005440
ENSGACP00000015042	ENSLOCP00000019066
ENSGACP00000000258	ENSLOCP00000019066
ENSGACP00000005127	ENSLOCP00000016362
ENSGACP00000013360	ENSLOCP00000016362
ENSGACP00000011876	ENSLOCP00000019951
ENSGACP00000003631	ENSLOCP00000011583
ENSGACP00000001415	ENSLOCP00000019950
ENSGACP00000000440	ENSLOCP00000014779
ENSGACP00000011958	ENSLOCP00000021275
ENSGACP00000002686	ENSLOCP00000001082
ENSGACP00000013318	ENSLOCP00000004997
ENSGACP00000000643	ENSLOCP00000004997
ENSGACP00000006503	ENSLOCP00000011619
ENSGACP00000015303	ENSLOCP00000009840
ENSGACP00000018843	ENSLOCP00000014119
ENSGACP00000004457	ENSLOCP00000016078
ENSGACP00000008273	ENSLOCP00000013238
ENSGACP00000003569	ENSLOCP00000019879
ENSGACP00000008138	ENSLOCP00000010495
ENSGACP00000005041	ENSLOCP00000003878
ENSGACP00000000780	ENSLOCP00000004194
ENSGACP00000014130	ENSLOCP00000004194
ENSGACP00000012921	ENSLOCP00000014442
ENSGACP00000004711	ENSLOCP00000012027
ENSGACP00000009438	ENSLOCP00000017508
ENSGACP00000005963	ENSLOCP00000019669
ENSGACP00000027471	ENSLOCP00000002024
ENSGACP00000024457	ENSLOCP00000016870
ENSGACP00000015460	ENSLOCP00000016870
ENSGACP00000018548	ENSLOCP00000000982
ENSGACP00000003465	ENSLOCP00000009184
ENSGACP00000022712	ENSLOCP00000000018
ENSGACP00000026497	ENSLOCP00000019379
ENSGACP00000005204	ENSLOCP00000016253
ENSGACP00000006900	ENSLOCP00000021087
