ENSP00000262384	ENSACAP00000005936
ENSP00000259667	ENSACAP00000002936
ENSP00000074304	ENSACAP00000012399
ENSP00000425487	ENSACAP00000002724
ENSP00000406490	ENSACAP00000004073
ENSP00000355110	ENSACAP00000004983
ENSP00000303486	ENSACAP00000015014
ENSP00000379773	ENSACAP00000005365
ENSP00000387362	ENSACAP00000007056
ENSP00000342778	ENSACAP00000021362
ENSP00000325548	ENSACAP00000003611
ENSP00000351682	ENSACAP00000003534
ENSP00000306522	ENSACAP00000005015
ENSP00000333019	ENSACAP00000011566
ENSP00000352572	ENSACAP00000009193
ENSP00000358106	ENSACAP00000003794
ENSP00000386543	ENSACAP00000015314
ENSP00000384823	ENSACAP00000013955
ENSP00000403802	ENSACAP00000011862
ENSP00000285871	ENSACAP00000006193
ENSP00000445677	ENSACAP00000002436
ENSP00000269122	ENSACAP00000012536
ENSP00000055682	ENSACAP00000002630
ENSP00000404151	ENSACAP00000011178
ENSP00000281187	ENSACAP00000000916
ENSP00000362480	ENSACAP00000009568
ENSP00000328677	ENSACAP00000008863
ENSP00000389554	ENSACAP00000000482
ENSP00000261722	ENSACAP00000011960
ENSP00000362217	ENSACAP00000013576
ENSP00000304994	ENSACAP00000000470
ENSP00000382269	ENSACAP00000014864
ENSP00000258418	ENSACAP00000002592
ENSP00000382492	ENSACAP00000017305
ENSP00000384371	ENSACAP00000006553
ENSP00000401112	ENSACAP00000009695
ENSP00000399518	ENSACAP00000007834
ENSP00000243440	ENSACAP00000006198
ENSP00000286639	ENSACAP00000016673
ENSP00000283645	ENSACAP00000012147
ENSP00000369071	ENSACAP00000017361
ENSP00000416330	ENSACAP00000001028
ENSP00000369473	ENSACAP00000004404
ENSP00000261435	ENSACAP00000011509
ENSP00000449535	ENSACAP00000014252
ENSP00000308179	ENSACAP00000008105
ENSP00000448165	ENSACAP00000012965
ENSP00000301200	ENSACAP00000018898
ENSP00000338258	ENSACAP00000014319
ENSP00000249014	ENSACAP00000015538
ENSP00000363993	ENSACAP00000019515
ENSP00000412130	ENSACAP00000008585
ENSP00000384491	ENSACAP00000000360
ENSP00000380713	ENSACAP00000014718
ENSP00000432695	ENSACAP00000008644
ENSP00000411471	ENSACAP00000008784
ENSP00000445001	ENSACAP00000013826
ENSP00000343885	ENSACAP00000008404
ENSP00000307746	ENSACAP00000003048
ENSP00000316527	ENSACAP00000006981
ENSP00000335246	ENSACAP00000015999
ENSP00000360266	ENSACAP00000006894
ENSP00000303315	ENSACAP00000018565
ENSP00000252818	ENSACAP00000018263
ENSP00000410768	ENSACAP00000008282
ENSP00000378710	ENSACAP00000011924
ENSP00000368547	ENSACAP00000001647
ENSP00000278919	ENSACAP00000000692
ENSP00000370607	ENSACAP00000012442
ENSP00000351132	ENSACAP00000022966
ENSP00000321971	ENSACAP00000000962
ENSP00000268482	ENSACAP00000008054
ENSP00000384792	ENSACAP00000002528
ENSP00000393099	ENSACAP00000019258
ENSP00000282251	ENSACAP00000010797
ENSP00000406885	ENSACAP00000007745
ENSP00000433126	ENSACAP00000009351
ENSP00000327650	ENSACAP00000004071
ENSP00000253577	ENSACAP00000001218
ENSP00000265316	ENSACAP00000012844
ENSP00000238789	ENSACAP00000011317
ENSP00000287394	ENSACAP00000022731
ENSP00000347444	ENSACAP00000000897
ENSP00000354733	ENSACAP00000010197
ENSP00000235329	ENSACAP00000007819
ENSP00000420617	ENSACAP00000004729
ENSP00000378402	ENSACAP00000020215
ENSP00000357040	ENSACAP00000011832
ENSP00000347672	ENSACAP00000003070
ENSP00000378338	ENSACAP00000012465
ENSP00000387471	ENSACAP00000000975
ENSP00000419765	ENSACAP00000009199
ENSP00000269439	ENSACAP00000012356
ENSP00000247843	ENSACAP00000004328
ENSP00000306983	ENSACAP00000004632
ENSP00000295304	ENSACAP00000012289
ENSP00000398105	ENSACAP00000003416
ENSP00000428054	ENSACAP00000002859
ENSP00000452796	ENSACAP00000011290
ENSP00000379390	ENSACAP00000007296
ENSP00000367841	ENSACAP00000014590
ENSP00000422037	ENSACAP00000006499
ENSP00000265978	ENSACAP00000011170
ENSP00000413196	ENSACAP00000002836
ENSP00000383986	ENSACAP00000013874
ENSP00000258484	ENSACAP00000003300
ENSP00000263062	ENSACAP00000006902
ENSP00000315070	ENSACAP00000001019
ENSP00000318868	ENSACAP00000008951
ENSP00000333667	ENSACAP00000006204
ENSP00000379182	ENSACAP00000015947
ENSP00000358451	ENSACAP00000008174
ENSP00000229328	ENSACAP00000003321
ENSP00000254101	ENSACAP00000012971
ENSP00000265087	ENSACAP00000022645
ENSP00000290271	ENSACAP00000011753
ENSP00000313432	ENSACAP00000011696
ENSP00000430493	ENSACAP00000003923
ENSP00000256079	ENSACAP00000012797
ENSP00000377411	ENSACAP00000006206
ENSP00000341044	ENSACAP00000009205
ENSP00000361795	ENSACAP00000011866
ENSP00000300574	ENSACAP00000008212
ENSP00000272091	ENSACAP00000005887
ENSP00000264705	ENSACAP00000000002
ENSP00000262105	ENSACAP00000012052
ENSP00000368174	ENSACAP00000000722
ENSP00000331897	ENSACAP00000009659
ENSP00000407182	ENSACAP00000003622
ENSP00000286835	ENSACAP00000002626
ENSP00000336587	ENSACAP00000005892
ENSP00000268383	ENSACAP00000012422
ENSP00000326534	ENSACAP00000015031
ENSP00000377027	ENSACAP00000010188
ENSP00000420200	ENSACAP00000013472
ENSP00000396704	ENSACAP00000009044
ENSP00000411532	ENSACAP00000002284
ENSP00000396995	ENSACAP00000013741
ENSP00000360147	ENSACAP00000009086
ENSP00000421566	ENSACAP00000006283
ENSP00000186436	ENSACAP00000012162
ENSP00000386787	ENSACAP00000015624
ENSP00000379457	ENSACAP00000007218
ENSP00000261942	ENSACAP00000006125
ENSP00000316476	ENSACAP00000005332
ENSP00000392217	ENSACAP00000009829
ENSP00000375857	ENSACAP00000015727
ENSP00000231572	ENSACAP00000004891
ENSP00000355428	ENSACAP00000020254
ENSP00000217372	ENSACAP00000004359
ENSP00000279907	ENSACAP00000012549
ENSP00000313851	ENSACAP00000004366
ENSP00000303427	ENSACAP00000011462
ENSP00000379680	ENSACAP00000003855
ENSP00000218516	ENSACAP00000008412
ENSP00000468424	ENSACAP00000007299
ENSP00000367407	ENSACAP00000016166
ENSP00000354387	ENSACAP00000005235
ENSP00000261448	ENSACAP00000003186
ENSP00000357057	ENSACAP00000015569
ENSP00000354251	ENSACAP00000002950
ENSP00000254029	ENSACAP00000004870
ENSP00000379894	ENSACAP00000006246
ENSP00000418648	ENSACAP00000003334
ENSP00000354612	ENSACAP00000012179
ENSP00000356438	ENSACAP00000001254
ENSP00000244571	ENSACAP00000014385
ENSP00000357644	ENSACAP00000008646
ENSP00000376583	ENSACAP00000015055
ENSP00000325941	ENSACAP00000017246
ENSP00000394700	ENSACAP00000015897
ENSP00000389039	ENSACAP00000001326
ENSP00000233615	ENSACAP00000000562
ENSP00000308430	ENSACAP00000003413
ENSP00000338030	ENSACAP00000015701
ENSP00000361731	ENSACAP00000000010
ENSP00000402935	ENSACAP00000007759
ENSP00000312587	ENSACAP00000007381
ENSP00000263960	ENSACAP00000009393
ENSP00000253778	ENSACAP00000016390
ENSP00000313854	ENSACAP00000001137
ENSP00000336994	ENSACAP00000003943
ENSP00000286733	ENSACAP00000012515
ENSP00000371152	ENSACAP00000006714
ENSP00000308976	ENSACAP00000015156
ENSP00000341819	ENSACAP00000008013
ENSP00000347626	ENSACAP00000001940
ENSP00000319664	ENSACAP00000016461
ENSP00000305958	ENSACAP00000000287
ENSP00000233623	ENSACAP00000021372
ENSP00000382163	ENSACAP00000018401
ENSP00000464162	ENSACAP00000007806
ENSP00000370896	ENSACAP00000000284
ENSP00000336721	ENSACAP00000004020
ENSP00000352510	ENSACAP00000000169
ENSP00000344424	ENSACAP00000005018
ENSP00000264047	ENSACAP00000002357
ENSP00000404676	ENSACAP00000007829
ENSP00000249344	ENSACAP00000014046
ENSP00000358810	ENSACAP00000012228
ENSP00000359634	ENSACAP00000021747
ENSP00000375795	ENSACAP00000007785
ENSP00000423933	ENSACAP00000000494
ENSP00000312837	ENSACAP00000009211
ENSP00000262305	ENSACAP00000002607
ENSP00000368341	ENSACAP00000003860
ENSP00000348538	ENSACAP00000015952
ENSP00000222511	ENSACAP00000015584
ENSP00000359859	ENSACAP00000015801
ENSP00000296543	ENSACAP00000002096
ENSP00000368716	ENSACAP00000001052
ENSP00000280800	ENSACAP00000004835
ENSP00000240617	ENSACAP00000010234
ENSP00000311257	ENSACAP00000002916
ENSP00000298596	ENSACAP00000009714
ENSP00000273668	ENSACAP00000004718
ENSP00000225171	ENSACAP00000010407
ENSP00000399259	ENSACAP00000011489
ENSP00000386722	ENSACAP00000002047
ENSP00000324549	ENSACAP00000012403
ENSP00000374484	ENSACAP00000015056
ENSP00000266068	ENSACAP00000011411
ENSP00000294409	ENSACAP00000010724
ENSP00000259457	ENSACAP00000019544
ENSP00000286692	ENSACAP00000021955
ENSP00000258534	ENSACAP00000016300
ENSP00000254663	ENSACAP00000006359
ENSP00000323927	ENSACAP00000003760
ENSP00000366460	ENSACAP00000009165
ENSP00000195654	ENSACAP00000017037
ENSP00000382104	ENSACAP00000012348
ENSP00000256925	ENSACAP00000000148
ENSP00000279101	ENSACAP00000019201
ENSP00000306881	ENSACAP00000015554
ENSP00000415436	ENSACAP00000008602
ENSP00000384198	ENSACAP00000003992
ENSP00000265056	ENSACAP00000007325
ENSP00000335651	ENSACAP00000021412
ENSP00000371420	ENSACAP00000013453
ENSP00000402758	ENSACAP00000005360
ENSP00000262719	ENSACAP00000011740
ENSP00000272771	ENSACAP00000006604
ENSP00000302530	ENSACAP00000012897
ENSP00000287598	ENSACAP00000014201
ENSP00000364976	ENSACAP00000016301
ENSP00000366620	ENSACAP00000008955
ENSP00000377192	ENSACAP00000012329
ENSP00000379619	ENSACAP00000011876
ENSP00000400252	ENSACAP00000014712
ENSP00000362092	ENSACAP00000016743
ENSP00000358423	ENSACAP00000014257
ENSP00000367498	ENSACAP00000008097
ENSP00000356669	ENSACAP00000015064
ENSP00000362774	ENSACAP00000011947
ENSP00000419465	ENSACAP00000007374
ENSP00000352704	ENSACAP00000007679
ENSP00000322439	ENSACAP00000005281
ENSP00000315680	ENSACAP00000016643
ENSP00000360107	ENSACAP00000005011
ENSP00000404232	ENSACAP00000017625
ENSP00000307041	ENSACAP00000013419
ENSP00000370047	ENSACAP00000017473
ENSP00000263966	ENSACAP00000004324
ENSP00000229268	ENSACAP00000005647
ENSP00000309477	ENSACAP00000001847
ENSP00000356634	ENSACAP00000014400
ENSP00000405423	ENSACAP00000006621
ENSP00000295448	ENSACAP00000006888
ENSP00000370031	ENSACAP00000012603
ENSP00000268057	ENSACAP00000006722
ENSP00000341874	ENSACAP00000000166
ENSP00000369162	ENSACAP00000000761
ENSP00000357835	ENSACAP00000017296
ENSP00000298251	ENSACAP00000000418
ENSP00000377980	ENSACAP00000012675
ENSP00000312379	ENSACAP00000006960
ENSP00000298492	ENSACAP00000014189
ENSP00000366225	ENSACAP00000014850
ENSP00000365529	ENSACAP00000008332
ENSP00000345060	ENSACAP00000007243
ENSP00000321636	ENSACAP00000009102
ENSP00000381773	ENSACAP00000001569
ENSP00000262419	ENSACAP00000017077
ENSP00000281772	ENSACAP00000020480
ENSP00000367453	ENSACAP00000016100
ENSP00000419494	ENSACAP00000014504
ENSP00000233099	ENSACAP00000008168
ENSP00000350734	ENSACAP00000017657
ENSP00000262198	ENSACAP00000001256
ENSP00000415203	ENSACAP00000001679
ENSP00000367880	ENSACAP00000011459
ENSP00000226218	ENSACAP00000011754
ENSP00000399679	ENSACAP00000001743
ENSP00000359600	ENSACAP00000021079
ENSP00000436785	ENSACAP00000006141
ENSP00000353557	ENSACAP00000014093
ENSP00000325677	ENSACAP00000011608
ENSP00000265245	ENSACAP00000022182
ENSP00000451261	ENSACAP00000014339
ENSP00000269214	ENSACAP00000007732
ENSP00000308405	ENSACAP00000005903
ENSP00000216259	ENSACAP00000004532
ENSP00000400958	ENSACAP00000006098
ENSP00000358617	ENSACAP00000000151
ENSP00000345206	ENSACAP00000014342
ENSP00000341243	ENSACAP00000012194
ENSP00000456594	ENSACAP00000011103
ENSP00000281961	ENSACAP00000000422
ENSP00000314396	ENSACAP00000003726
ENSP00000266395	ENSACAP00000017920
ENSP00000328412	ENSACAP00000014818
ENSP00000300051	ENSACAP00000006606
ENSP00000264167	ENSACAP00000011951
ENSP00000384262	ENSACAP00000010620
ENSP00000228476	ENSACAP00000015127
ENSP00000357920	ENSACAP00000010709
ENSP00000273480	ENSACAP00000005003
ENSP00000298198	ENSACAP00000003768
ENSP00000271732	ENSACAP00000008493
ENSP00000339207	ENSACAP00000012584
ENSP00000263383	ENSACAP00000015809
ENSP00000389948	ENSACAP00000016856
ENSP00000264779	ENSACAP00000014352
ENSP00000428765	ENSACAP00000017725
ENSP00000359526	ENSACAP00000003588
ENSP00000307854	ENSACAP00000006092
ENSP00000353739	ENSACAP00000017683
ENSP00000264864	ENSACAP00000013311
ENSP00000360687	ENSACAP00000018124
ENSP00000331600	ENSACAP00000017858
ENSP00000297146	ENSACAP00000006845
ENSP00000335261	ENSACAP00000015407
ENSP00000223023	ENSACAP00000022831
ENSP00000365891	ENSACAP00000006165
ENSP00000378364	ENSACAP00000012437
ENSP00000233202	ENSACAP00000001836
ENSP00000295049	ENSACAP00000009197
ENSP00000260270	ENSACAP00000001250
ENSP00000462647	ENSACAP00000008538
ENSP00000280258	ENSACAP00000002622
ENSP00000440870	ENSACAP00000004152
ENSP00000263780	ENSACAP00000013422
ENSP00000258198	ENSACAP00000002683
ENSP00000273130	ENSACAP00000014490
ENSP00000262065	ENSACAP00000017156
ENSP00000251588	ENSACAP00000005681
ENSP00000309899	ENSACAP00000022012
ENSP00000356623	ENSACAP00000020344
ENSP00000313811	ENSACAP00000009257
ENSP00000216117	ENSACAP00000016382
ENSP00000360623	ENSACAP00000008065
ENSP00000304292	ENSACAP00000007329
ENSP00000340836	ENSACAP00000005301
ENSP00000361345	ENSACAP00000015203
ENSP00000261534	ENSACAP00000016915
ENSP00000361302	ENSACAP00000010439
ENSP00000265174	ENSACAP00000008149
ENSP00000349393	ENSACAP00000014275
ENSP00000216446	ENSACAP00000005841
ENSP00000390849	ENSACAP00000014720
ENSP00000414558	ENSACAP00000002956
ENSP00000476668	ENSACAP00000003449
ENSP00000397644	ENSACAP00000008319
ENSP00000290524	ENSACAP00000022587
ENSP00000398076	ENSACAP00000000804
ENSP00000280193	ENSACAP00000005834
ENSP00000297904	ENSACAP00000012204
ENSP00000288266	ENSACAP00000005582
ENSP00000396915	ENSACAP00000005635
ENSP00000376523	ENSACAP00000004672
ENSP00000452746	ENSACAP00000011420
ENSP00000387261	ENSACAP00000012585
ENSP00000365725	ENSACAP00000013995
ENSP00000040738	ENSACAP00000001989
ENSP00000344829	ENSACAP00000001021
ENSP00000012049	ENSACAP00000003581
ENSP00000386414	ENSACAP00000020602
ENSP00000362109	ENSACAP00000002785
ENSP00000309092	ENSACAP00000007382
ENSP00000453129	ENSACAP00000015704
ENSP00000465930	ENSACAP00000007121
ENSP00000367276	ENSACAP00000016538
ENSP00000278174	ENSACAP00000004355
ENSP00000362836	ENSACAP00000016317
ENSP00000355747	ENSACAP00000006363
ENSP00000326366	ENSACAP00000015950
ENSP00000398089	ENSACAP00000007821
ENSP00000291495	ENSACAP00000012889
ENSP00000261883	ENSACAP00000004371
ENSP00000352463	ENSACAP00000003543
ENSP00000323074	ENSACAP00000001362
ENSP00000358541	ENSACAP00000003215
ENSP00000355741	ENSACAP00000006463
ENSP00000296657	ENSACAP00000021213
ENSP00000301190	ENSACAP00000016641
ENSP00000371472	ENSACAP00000002597
ENSP00000278886	ENSACAP00000014018
ENSP00000359698	ENSACAP00000002675
ENSP00000330382	ENSACAP00000023083
ENSP00000346508	ENSACAP00000000392
ENSP00000373610	ENSACAP00000012581
ENSP00000230122	ENSACAP00000006142
ENSP00000392812	ENSACAP00000017428
ENSP00000475670	ENSACAP00000017414
ENSP00000473983	ENSACAP00000001584
ENSP00000340691	ENSACAP00000021940
ENSP00000362314	ENSACAP00000008211
ENSP00000454646	ENSACAP00000000720
ENSP00000299709	ENSACAP00000012602
ENSP00000345361	ENSACAP00000008394
ENSP00000363329	ENSACAP00000014934
ENSP00000269391	ENSACAP00000008024
ENSP00000262370	ENSACAP00000004734
ENSP00000456348	ENSACAP00000006154
ENSP00000281631	ENSACAP00000004446
ENSP00000350425	ENSACAP00000001607
ENSP00000308258	ENSACAP00000013342
ENSP00000430548	ENSACAP00000004160
ENSP00000229583	ENSACAP00000008361
ENSP00000350509	ENSACAP00000008002
ENSP00000436455	ENSACAP00000000045
ENSP00000386862	ENSACAP00000009877
ENSP00000383185	ENSACAP00000011531
ENSP00000330278	ENSACAP00000005563
ENSP00000282406	ENSACAP00000014891
ENSP00000361522	ENSACAP00000009442
ENSP00000411124	ENSACAP00000013297
ENSP00000216468	ENSACAP00000016931
ENSP00000203407	ENSACAP00000000857
ENSP00000355720	ENSACAP00000005071
ENSP00000394085	ENSACAP00000008327
ENSP00000328835	ENSACAP00000001430
ENSP00000294119	ENSACAP00000000496
ENSP00000281047	ENSACAP00000001493
ENSP00000362987	ENSACAP00000001771
ENSP00000415491	ENSACAP00000010384
ENSP00000359699	ENSACAP00000005666
ENSP00000275732	ENSACAP00000003426
ENSP00000317039	ENSACAP00000001366
ENSP00000317327	ENSACAP00000002904
ENSP00000360437	ENSACAP00000015681
ENSP00000323635	ENSACAP00000012928
ENSP00000379441	ENSACAP00000016484
ENSP00000276201	ENSACAP00000003570
ENSP00000435897	ENSACAP00000014329
ENSP00000265271	ENSACAP00000013948
ENSP00000267229	ENSACAP00000015878
ENSP00000256257	ENSACAP00000000772
ENSP00000265840	ENSACAP00000022256
ENSP00000362123	ENSACAP00000022059
ENSP00000261441	ENSACAP00000000145
ENSP00000334040	ENSACAP00000006116
ENSP00000247225	ENSACAP00000015747
ENSP00000315137	ENSACAP00000004845
ENSP00000290291	ENSACAP00000005078
ENSP00000279146	ENSACAP00000009544
ENSP00000278836	ENSACAP00000017415
ENSP00000440626	ENSACAP00000020785
ENSP00000363614	ENSACAP00000005147
ENSP00000403130	ENSACAP00000023376
ENSP00000342518	ENSACAP00000000675
ENSP00000355577	ENSACAP00000001025
ENSP00000268097	ENSACAP00000006578
ENSP00000261416	ENSACAP00000009080
ENSP00000326604	ENSACAP00000010956
ENSP00000267102	ENSACAP00000015364
ENSP00000348888	ENSACAP00000007802
ENSP00000323246	ENSACAP00000005300
ENSP00000434199	ENSACAP00000015481
ENSP00000415899	ENSACAP00000002949
ENSP00000298288	ENSACAP00000000989
ENSP00000295628	ENSACAP00000011276
ENSP00000379568	ENSACAP00000007929
ENSP00000405969	ENSACAP00000000853
ENSP00000230792	ENSACAP00000006617
ENSP00000349874	ENSACAP00000000448
ENSP00000368414	ENSACAP00000014912
ENSP00000373364	ENSACAP00000000355
ENSP00000424544	ENSACAP00000023176
ENSP00000356256	ENSACAP00000004882
ENSP00000379999	ENSACAP00000007639
ENSP00000262144	ENSACAP00000023219
ENSP00000293883	ENSACAP00000011559
ENSP00000296411	ENSACAP00000014015
ENSP00000315152	ENSACAP00000015900
ENSP00000357907	ENSACAP00000010844
ENSP00000243253	ENSACAP00000007146
ENSP00000295887	ENSACAP00000011151
ENSP00000314792	ENSACAP00000009167
ENSP00000362894	ENSACAP00000010690
ENSP00000272430	ENSACAP00000013116
ENSP00000234677	ENSACAP00000010180
ENSP00000369346	ENSACAP00000012834
ENSP00000364765	ENSACAP00000006446
ENSP00000299295	ENSACAP00000014583
ENSP00000354669	ENSACAP00000005751
ENSP00000358120	ENSACAP00000017325
ENSP00000376568	ENSACAP00000022148
ENSP00000285848	ENSACAP00000000914
ENSP00000295890	ENSACAP00000010905
ENSP00000387128	ENSACAP00000000471
ENSP00000339958	ENSACAP00000006820
ENSP00000381436	ENSACAP00000013402
ENSP00000320957	ENSACAP00000013975
ENSP00000356299	ENSACAP00000003372
ENSP00000433361	ENSACAP00000009668
ENSP00000244051	ENSACAP00000003816
ENSP00000348565	ENSACAP00000000597
ENSP00000369863	ENSACAP00000014623
ENSP00000312017	ENSACAP00000015736
ENSP00000310841	ENSACAP00000014300
ENSP00000338171	ENSACAP00000006396
ENSP00000005587	ENSACAP00000010247
ENSP00000370503	ENSACAP00000004369
ENSP00000262659	ENSACAP00000014449
ENSP00000274008	ENSACAP00000011563
ENSP00000305494	ENSACAP00000015462
ENSP00000216780	ENSACAP00000001242
ENSP00000319814	ENSACAP00000016071
ENSP00000319788	ENSACAP00000003582
ENSP00000337773	ENSACAP00000017426
ENSP00000257347	ENSACAP00000006027
ENSP00000342604	ENSACAP00000017438
ENSP00000265018	ENSACAP00000010866
ENSP00000350833	ENSACAP00000019072
ENSP00000367309	ENSACAP00000017642
ENSP00000340684	ENSACAP00000017647
ENSP00000349181	ENSACAP00000001949
ENSP00000367038	ENSACAP00000019760
ENSP00000378725	ENSACAP00000014244
ENSP00000234396	ENSACAP00000007690
ENSP00000263026	ENSACAP00000012251
ENSP00000398048	ENSACAP00000010428
ENSP00000423660	ENSACAP00000019610
ENSP00000231061	ENSACAP00000009740
ENSP00000360366	ENSACAP00000014233
ENSP00000317000	ENSACAP00000013455
ENSP00000391774	ENSACAP00000017461
ENSP00000339449	ENSACAP00000017457
ENSP00000293879	ENSACAP00000018820
ENSP00000396954	ENSACAP00000021020
ENSP00000387654	ENSACAP00000007753
ENSP00000274569	ENSACAP00000015358
ENSP00000337226	ENSACAP00000011582
ENSP00000326933	ENSACAP00000001600
ENSP00000441000	ENSACAP00000018000
ENSP00000304670	ENSACAP00000012818
ENSP00000257575	ENSACAP00000016158
ENSP00000384477	ENSACAP00000006934
ENSP00000398971	ENSACAP00000008641
ENSP00000383936	ENSACAP00000006046
ENSP00000381102	ENSACAP00000007920
ENSP00000285419	ENSACAP00000010427
ENSP00000262715	ENSACAP00000008120
ENSP00000324810	ENSACAP00000004607
ENSP00000354772	ENSACAP00000009652
ENSP00000369141	ENSACAP00000003482
ENSP00000302232	ENSACAP00000000783
ENSP00000212355	ENSACAP00000001391
ENSP00000457962	ENSACAP00000020636
ENSP00000384610	ENSACAP00000018173
ENSP00000368066	ENSACAP00000002994
ENSP00000316339	ENSACAP00000007939
ENSP00000276893	ENSACAP00000004249
ENSP00000348069	ENSACAP00000001306
ENSP00000354476	ENSACAP00000004254
ENSP00000420298	ENSACAP00000014938
ENSP00000320509	ENSACAP00000018255
ENSP00000361557	ENSACAP00000013880
ENSP00000401264	ENSACAP00000011124
ENSP00000249396	ENSACAP00000009519
ENSP00000372191	ENSACAP00000017235
ENSP00000302485	ENSACAP00000004542
ENSP00000442318	ENSACAP00000003781
ENSP00000420270	ENSACAP00000005527
ENSP00000307863	ENSACAP00000015257
ENSP00000409279	ENSACAP00000003427
ENSP00000298746	ENSACAP00000009094
ENSP00000409256	ENSACAP00000015152
ENSP00000257312	ENSACAP00000001881
ENSP00000332148	ENSACAP00000009022
ENSP00000352956	ENSACAP00000001616
ENSP00000470652	ENSACAP00000011493
ENSP00000367931	ENSACAP00000011363
ENSP00000246421	ENSACAP00000021316
ENSP00000226021	ENSACAP00000000192
ENSP00000252729	ENSACAP00000016237
ENSP00000324403	ENSACAP00000015442
ENSP00000362144	ENSACAP00000000791
ENSP00000378145	ENSACAP00000012614
ENSP00000354532	ENSACAP00000007893
ENSP00000442534	ENSACAP00000020653
ENSP00000295324	ENSACAP00000008330
ENSP00000252992	ENSACAP00000017499
ENSP00000274192	ENSACAP00000022678
ENSP00000351138	ENSACAP00000016955
ENSP00000359827	ENSACAP00000006118
ENSP00000262866	ENSACAP00000006415
ENSP00000394049	ENSACAP00000011376
ENSP00000459043	ENSACAP00000010241
ENSP00000380690	ENSACAP00000003523
ENSP00000257787	ENSACAP00000014566
ENSP00000453854	ENSACAP00000005967
ENSP00000364965	ENSACAP00000016332
ENSP00000368758	ENSACAP00000002495
ENSP00000229955	ENSACAP00000002002
ENSP00000258456	ENSACAP00000010120
ENSP00000340176	ENSACAP00000002958
ENSP00000381824	ENSACAP00000003442
ENSP00000360642	ENSACAP00000008015
ENSP00000261844	ENSACAP00000020824
ENSP00000367823	ENSACAP00000011344
ENSP00000354991	ENSACAP00000009814
ENSP00000359333	ENSACAP00000004124
ENSP00000360757	ENSACAP00000007010
ENSP00000393785	ENSACAP00000011073
ENSP00000303580	ENSACAP00000016657
ENSP00000351740	ENSACAP00000007239
ENSP00000341597	ENSACAP00000004246
ENSP00000317224	ENSACAP00000008834
ENSP00000252998	ENSACAP00000004930
ENSP00000371297	ENSACAP00000008217
ENSP00000407118	ENSACAP00000002439
ENSP00000417955	ENSACAP00000012020
ENSP00000374049	ENSACAP00000013743
ENSP00000428205	ENSACAP00000009520
ENSP00000276326	ENSACAP00000022710
ENSP00000305839	ENSACAP00000018108
ENSP00000476603	ENSACAP00000019437
ENSP00000363433	ENSACAP00000021599
ENSP00000379512	ENSACAP00000014245
ENSP00000262301	ENSACAP00000005999
ENSP00000318165	ENSACAP00000007101
ENSP00000185150	ENSACAP00000012166
ENSP00000342609	ENSACAP00000017356
ENSP00000232974	ENSACAP00000006568
ENSP00000324587	ENSACAP00000002022
ENSP00000309548	ENSACAP00000002322
ENSP00000379503	ENSACAP00000003434
ENSP00000258399	ENSACAP00000002401
ENSP00000368253	ENSACAP00000007057
ENSP00000355902	ENSACAP00000014711
ENSP00000367198	ENSACAP00000000492
ENSP00000381302	ENSACAP00000022898
ENSP00000350698	ENSACAP00000010501
ENSP00000354053	ENSACAP00000015855
ENSP00000385730	ENSACAP00000007293
ENSP00000337512	ENSACAP00000014304
ENSP00000299721	ENSACAP00000007443
ENSP00000378464	ENSACAP00000020357
ENSP00000392452	ENSACAP00000005836
ENSP00000350260	ENSACAP00000016829
ENSP00000326063	ENSACAP00000017406
ENSP00000366582	ENSACAP00000015811
ENSP00000429763	ENSACAP00000018495
ENSP00000356574	ENSACAP00000000934
ENSP00000351536	ENSACAP00000020309
ENSP00000356476	ENSACAP00000002310
ENSP00000367879	ENSACAP00000014627
ENSP00000384794	ENSACAP00000015810
ENSP00000236709	ENSACAP00000009025
ENSP00000276461	ENSACAP00000000170
ENSP00000363824	ENSACAP00000004407
ENSP00000274382	ENSACAP00000011729
ENSP00000284486	ENSACAP00000010927
ENSP00000362684	ENSACAP00000022005
ENSP00000438492	ENSACAP00000002998
ENSP00000386935	ENSACAP00000001411
ENSP00000371278	ENSACAP00000003487
ENSP00000315130	ENSACAP00000010515
ENSP00000383449	ENSACAP00000008265
ENSP00000263382	ENSACAP00000012018
ENSP00000229595	ENSACAP00000017422
ENSP00000025301	ENSACAP00000001806
ENSP00000375909	ENSACAP00000014593
ENSP00000270139	ENSACAP00000014482
ENSP00000422464	ENSACAP00000016585
ENSP00000376865	ENSACAP00000011655
ENSP00000160382	ENSACAP00000000473
ENSP00000320076	ENSACAP00000005714
ENSP00000376141	ENSACAP00000000723
ENSP00000330051	ENSACAP00000019694
ENSP00000320924	ENSACAP00000002419
ENSP00000376330	ENSACAP00000005306
ENSP00000356426	ENSACAP00000006862
ENSP00000368215	ENSACAP00000007096
ENSP00000387282	ENSACAP00000004037
ENSP00000300176	ENSACAP00000001904
ENSP00000303222	ENSACAP00000009472
ENSP00000361060	ENSACAP00000002475
ENSP00000404718	ENSACAP00000011325
ENSP00000378313	ENSACAP00000017324
ENSP00000274496	ENSACAP00000013551
ENSP00000332772	ENSACAP00000006933
ENSP00000367172	ENSACAP00000004198
ENSP00000348852	ENSACAP00000014076
ENSP00000307552	ENSACAP00000000030
ENSP00000219345	ENSACAP00000009826
ENSP00000264005	ENSACAP00000010327
ENSP00000384364	ENSACAP00000013150
