ENSTGUP00000008915	ENSMGAP00000004951
ENSTGUP00000006172	ENSMGAP00000008297
ENSTGUP00000004209	ENSMGAP00000009571
ENSTGUP00000005750	ENSMGAP00000005595
ENSTGUP00000011813	ENSMGAP00000016026
ENSTGUP00000001254	ENSMGAP00000005483
ENSTGUP00000008614	ENSMGAP00000017941
ENSTGUP00000010853	ENSMGAP00000011270
ENSTGUP00000012609	ENSMGAP00000014534
ENSTGUP00000005210	ENSMGAP00000004122
ENSTGUP00000015146	ENSMGAP00000016219
ENSTGUP00000010730	ENSMGAP00000007718
ENSTGUP00000015959	ENSMGAP00000003278
ENSTGUP00000007365	ENSMGAP00000007023
ENSTGUP00000000966	ENSMGAP00000000090
ENSTGUP00000010018	ENSMGAP00000018225
ENSTGUP00000010165	ENSMGAP00000010333
ENSTGUP00000015824	ENSMGAP00000010501
ENSTGUP00000007321	ENSMGAP00000016999
ENSTGUP00000005973	ENSMGAP00000009726
ENSTGUP00000002563	ENSMGAP00000010990
ENSTGUP00000000164	ENSMGAP00000002550
ENSTGUP00000001135	ENSMGAP00000006691
ENSTGUP00000001226	ENSMGAP00000007315
ENSTGUP00000000468	ENSMGAP00000003641
ENSTGUP00000008386	ENSMGAP00000010551
ENSTGUP00000006904	ENSMGAP00000005537
ENSTGUP00000010585	ENSMGAP00000013038
ENSTGUP00000009782	ENSMGAP00000007829
ENSTGUP00000007384	ENSMGAP00000015515
ENSTGUP00000006832	ENSMGAP00000006175
ENSTGUP00000012590	ENSMGAP00000014302
ENSTGUP00000001060	ENSMGAP00000009761
ENSTGUP00000011911	ENSMGAP00000012081
ENSTGUP00000012615	ENSMGAP00000015912
ENSTGUP00000009964	ENSMGAP00000009621
ENSTGUP00000009984	ENSMGAP00000009113
ENSTGUP00000012502	ENSMGAP00000012984
ENSTGUP00000013443	ENSMGAP00000014823
ENSTGUP00000005462	ENSMGAP00000001268
ENSTGUP00000005377	ENSMGAP00000002475
ENSTGUP00000005820	ENSMGAP00000019167
ENSTGUP00000010253	ENSMGAP00000019081
ENSTGUP00000011456	ENSMGAP00000011499
ENSTGUP00000010555	ENSMGAP00000015662
ENSTGUP00000002453	ENSMGAP00000003143
ENSTGUP00000011211	ENSMGAP00000006196
ENSTGUP00000009059	ENSMGAP00000000855
ENSTGUP00000005887	ENSMGAP00000000538
ENSTGUP00000011765	ENSMGAP00000012414
ENSTGUP00000010001	ENSMGAP00000012877
ENSTGUP00000007909	ENSMGAP00000017532
ENSTGUP00000010280	ENSMGAP00000012888
ENSTGUP00000005091	ENSMGAP00000000608
ENSTGUP00000003684	ENSMGAP00000004023
ENSTGUP00000000099	ENSMGAP00000002496
ENSTGUP00000015134	ENSMGAP00000014887
ENSTGUP00000008127	ENSMGAP00000007818
ENSTGUP00000009439	ENSMGAP00000018062
ENSTGUP00000005276	ENSMGAP00000002454
ENSTGUP00000002644	ENSMGAP00000000441
ENSTGUP00000008532	ENSMGAP00000012000
ENSTGUP00000013285	ENSMGAP00000014209
ENSTGUP00000014833	ENSMGAP00000000780
ENSTGUP00000012580	ENSMGAP00000014299
ENSTGUP00000003947	ENSMGAP00000010630
ENSTGUP00000006568	ENSMGAP00000007992
ENSTGUP00000005776	ENSMGAP00000004972
ENSTGUP00000010772	ENSMGAP00000011099
ENSTGUP00000002822	ENSMGAP00000006124
ENSTGUP00000009125	ENSMGAP00000019712
ENSTGUP00000012386	ENSMGAP00000014183
ENSTGUP00000005974	ENSMGAP00000005944
ENSTGUP00000008436	ENSMGAP00000012045
ENSTGUP00000013291	ENSMGAP00000014215
ENSTGUP00000000665	ENSMGAP00000001087
ENSTGUP00000004008	ENSMGAP00000004015
ENSTGUP00000013032	ENSMGAP00000013653
ENSTGUP00000011872	ENSMGAP00000012545
ENSTGUP00000003418	ENSMGAP00000003511
ENSTGUP00000005399	ENSMGAP00000012107
ENSTGUP00000007843	ENSMGAP00000003912
ENSTGUP00000013548	ENSMGAP00000014854
ENSTGUP00000000824	ENSMGAP00000019734
ENSTGUP00000002834	ENSMGAP00000004137
ENSTGUP00000011478	ENSMGAP00000013476
ENSTGUP00000002501	ENSMGAP00000004321
ENSTGUP00000012858	ENSMGAP00000015855
ENSTGUP00000008612	ENSMGAP00000005996
ENSTGUP00000005573	ENSMGAP00000003941
ENSTGUP00000012527	ENSMGAP00000015922
ENSTGUP00000007980	ENSMGAP00000003547
ENSTGUP00000009713	ENSMGAP00000007761
ENSTGUP00000010818	ENSMGAP00000007278
ENSTGUP00000003302	ENSMGAP00000011388
ENSTGUP00000012583	ENSMGAP00000013448
ENSTGUP00000004102	ENSMGAP00000008194
ENSTGUP00000012306	ENSMGAP00000015961
ENSTGUP00000008981	ENSMGAP00000012867
ENSTGUP00000007998	ENSMGAP00000011582
ENSTGUP00000013749	ENSMGAP00000015060
ENSTGUP00000010914	ENSMGAP00000013246
ENSTGUP00000015569	ENSMGAP00000007947
ENSTGUP00000006357	ENSMGAP00000008682
ENSTGUP00000012493	ENSMGAP00000014470
ENSTGUP00000008216	ENSMGAP00000005915
ENSTGUP00000012597	ENSMGAP00000014461
ENSTGUP00000010168	ENSMGAP00000009531
ENSTGUP00000007592	ENSMGAP00000012208
ENSTGUP00000010481	ENSMGAP00000009247
ENSTGUP00000013410	ENSMGAP00000014808
ENSTGUP00000008630	ENSMGAP00000011942
ENSTGUP00000013275	ENSMGAP00000014198
ENSTGUP00000003915	ENSMGAP00000006064
ENSTGUP00000004705	ENSMGAP00000005271
ENSTGUP00000001133	ENSMGAP00000004791
ENSTGUP00000004839	ENSMGAP00000000560
ENSTGUP00000005280	ENSMGAP00000007268
ENSTGUP00000012468	ENSMGAP00000013297
ENSTGUP00000012696	ENSMGAP00000015896
ENSTGUP00000013539	ENSMGAP00000014852
ENSTGUP00000012351	ENSMGAP00000012743
ENSTGUP00000009991	ENSMGAP00000012063
ENSTGUP00000013101	ENSMGAP00000000317
ENSTGUP00000012991	ENSMGAP00000013599
ENSTGUP00000000754	ENSMGAP00000000076
ENSTGUP00000006013	ENSMGAP00000007962
ENSTGUP00000003006	ENSMGAP00000008674
ENSTGUP00000005048	ENSMGAP00000017264
ENSTGUP00000003749	ENSMGAP00000010049
ENSTGUP00000008499	ENSMGAP00000017943
ENSTGUP00000007757	ENSMGAP00000007370
ENSTGUP00000011284	ENSMGAP00000011814
ENSTGUP00000014305	ENSMGAP00000016073
ENSTGUP00000007154	ENSMGAP00000001880
ENSTGUP00000008479	ENSMGAP00000006290
ENSTGUP00000006400	ENSMGAP00000004559
ENSTGUP00000006009	ENSMGAP00000005979
ENSTGUP00000005938	ENSMGAP00000012835
ENSTGUP00000001541	ENSMGAP00000008997
ENSTGUP00000005583	ENSMGAP00000003017
ENSTGUP00000000939	ENSMGAP00000003591
ENSTGUP00000011056	ENSMGAP00000010156
ENSTGUP00000000486	ENSMGAP00000005418
ENSTGUP00000004526	ENSMGAP00000011227
ENSTGUP00000013788	ENSMGAP00000015131
ENSTGUP00000006560	ENSMGAP00000005917
ENSTGUP00000009981	ENSMGAP00000006201
ENSTGUP00000004956	ENSMGAP00000008601
ENSTGUP00000012258	ENSMGAP00000017456
ENSTGUP00000006978	ENSMGAP00000001389
ENSTGUP00000008752	ENSMGAP00000004675
ENSTGUP00000006175	ENSMGAP00000005189
ENSTGUP00000001625	ENSMGAP00000000847
ENSTGUP00000005713	ENSMGAP00000000338
ENSTGUP00000004026	ENSMGAP00000002135
ENSTGUP00000003969	ENSMGAP00000005010
ENSTGUP00000001169	ENSMGAP00000006893
ENSTGUP00000012536	ENSMGAP00000019132
ENSTGUP00000008228	ENSMGAP00000006592
ENSTGUP00000007229	ENSMGAP00000011300
ENSTGUP00000008121	ENSMGAP00000010754
ENSTGUP00000010816	ENSMGAP00000010185
ENSTGUP00000007502	ENSMGAP00000002264
ENSTGUP00000000326	ENSMGAP00000001489
ENSTGUP00000005060	ENSMGAP00000009623
ENSTGUP00000003789	ENSMGAP00000017642
ENSTGUP00000005552	ENSMGAP00000012636
ENSTGUP00000005227	ENSMGAP00000002791
ENSTGUP00000006971	ENSMGAP00000015490
ENSTGUP00000011399	ENSMGAP00000013581
ENSTGUP00000010436	ENSMGAP00000013518
ENSTGUP00000010761	ENSMGAP00000011082
ENSTGUP00000007275	ENSMGAP00000009728
ENSTGUP00000008431	ENSMGAP00000012640
ENSTGUP00000000598	ENSMGAP00000005335
ENSTGUP00000005125	ENSMGAP00000004049
ENSTGUP00000008945	ENSMGAP00000010198
ENSTGUP00000002774	ENSMGAP00000010775
ENSTGUP00000012309	ENSMGAP00000013373
ENSTGUP00000000932	ENSMGAP00000005754
ENSTGUP00000007312	ENSMGAP00000004838
ENSTGUP00000011734	ENSMGAP00000012170
ENSTGUP00000009543	ENSMGAP00000009301
ENSTGUP00000017528	ENSMGAP00000004268
ENSTGUP00000000328	ENSMGAP00000003361
ENSTGUP00000004675	ENSMGAP00000000645
ENSTGUP00000006855	ENSMGAP00000001675
ENSTGUP00000007406	ENSMGAP00000009390
ENSTGUP00000007471	ENSMGAP00000012140
ENSTGUP00000000713	ENSMGAP00000005612
ENSTGUP00000008467	ENSMGAP00000006287
ENSTGUP00000011802	ENSMGAP00000014114
ENSTGUP00000012905	ENSMGAP00000015837
ENSTGUP00000008927	ENSMGAP00000012823
ENSTGUP00000008480	ENSMGAP00000008193
ENSTGUP00000006214	ENSMGAP00000019665
ENSTGUP00000005143	ENSMGAP00000003248
ENSTGUP00000005582	ENSMGAP00000004524
ENSTGUP00000001525	ENSMGAP00000019388
ENSTGUP00000004323	ENSMGAP00000008130
ENSTGUP00000014953	ENSMGAP00000014884
ENSTGUP00000011827	ENSMGAP00000003745
ENSTGUP00000011243	ENSMGAP00000011236
ENSTGUP00000016641	ENSMGAP00000004445
ENSTGUP00000009972	ENSMGAP00000009183
ENSTGUP00000011508	ENSMGAP00000013461
ENSTGUP00000009055	ENSMGAP00000009602
ENSTGUP00000009249	ENSMGAP00000008299
ENSTGUP00000011402	ENSMGAP00000011956
ENSTGUP00000007766	ENSMGAP00000017769
ENSTGUP00000013920	ENSMGAP00000015289
ENSTGUP00000002410	ENSMGAP00000018762
ENSTGUP00000008835	ENSMGAP00000004876
ENSTGUP00000008008	ENSMGAP00000018248
ENSTGUP00000010891	ENSMGAP00000011191
ENSTGUP00000013269	ENSMGAP00000017385
ENSTGUP00000010574	ENSMGAP00000015661
ENSTGUP00000005318	ENSMGAP00000000657
ENSTGUP00000008905	ENSMGAP00000011439
ENSTGUP00000000544	ENSMGAP00000004523
ENSTGUP00000013126	ENSMGAP00000014056
ENSTGUP00000004143	ENSMGAP00000008500
ENSTGUP00000003941	ENSMGAP00000002876
ENSTGUP00000012819	ENSMGAP00000014448
ENSTGUP00000001551	ENSMGAP00000001922
ENSTGUP00000004097	ENSMGAP00000018732
ENSTGUP00000006530	ENSMGAP00000002091
ENSTGUP00000006528	ENSMGAP00000007890
ENSTGUP00000009133	ENSMGAP00000012179
ENSTGUP00000012155	ENSMGAP00000015984
ENSTGUP00000010022	ENSMGAP00000017426
ENSTGUP00000006757	ENSMGAP00000009803
ENSTGUP00000002107	ENSMGAP00000000082
ENSTGUP00000001407	ENSMGAP00000008390
ENSTGUP00000007638	ENSMGAP00000007434
ENSTGUP00000001037	ENSMGAP00000000993
ENSTGUP00000004969	ENSMGAP00000008586
ENSTGUP00000005219	ENSMGAP00000002872
ENSTGUP00000013787	ENSMGAP00000015130
ENSTGUP00000015315	ENSMGAP00000001746
ENSTGUP00000011843	ENSMGAP00000013768
ENSTGUP00000003252	ENSMGAP00000002413
ENSTGUP00000003656	ENSMGAP00000010158
ENSTGUP00000009878	ENSMGAP00000012618
ENSTGUP00000007069	ENSMGAP00000008124
ENSTGUP00000003584	ENSMGAP00000000715
ENSTGUP00000005889	ENSMGAP00000001639
ENSTGUP00000008149	ENSMGAP00000011226
ENSTGUP00000008955	ENSMGAP00000004964
ENSTGUP00000014304	ENSMGAP00000003835
ENSTGUP00000007086	ENSMGAP00000002031
ENSTGUP00000011527	ENSMGAP00000013434
ENSTGUP00000012793	ENSMGAP00000015871
ENSTGUP00000013360	ENSMGAP00000018540
ENSTGUP00000003325	ENSMGAP00000010288
ENSTGUP00000004251	ENSMGAP00000002854
ENSTGUP00000016791	ENSMGAP00000008498
ENSTGUP00000010536	ENSMGAP00000010748
ENSTGUP00000009448	ENSMGAP00000008419
ENSTGUP00000008344	ENSMGAP00000008839
ENSTGUP00000004310	ENSMGAP00000004347
ENSTGUP00000003288	ENSMGAP00000011378
ENSTGUP00000006451	ENSMGAP00000018273
ENSTGUP00000004237	ENSMGAP00000005317
ENSTGUP00000004031	ENSMGAP00000000026
ENSTGUP00000008710	ENSMGAP00000007302
ENSTGUP00000010621	ENSMGAP00000012694
ENSTGUP00000003038	ENSMGAP00000006426
ENSTGUP00000001987	ENSMGAP00000003004
ENSTGUP00000008050	ENSMGAP00000007274
ENSTGUP00000002976	ENSMGAP00000003385
ENSTGUP00000008141	ENSMGAP00000006469
ENSTGUP00000003561	ENSMGAP00000006590
ENSTGUP00000001004	ENSMGAP00000000243
ENSTGUP00000005639	ENSMGAP00000015428
ENSTGUP00000000556	ENSMGAP00000000519
ENSTGUP00000013089	ENSMGAP00000014013
ENSTGUP00000013472	ENSMGAP00000014830
ENSTGUP00000000720	ENSMGAP00000005665
ENSTGUP00000009160	ENSMGAP00000007458
ENSTGUP00000011784	ENSMGAP00000012422
ENSTGUP00000002725	ENSMGAP00000009098
ENSTGUP00000009998	ENSMGAP00000015717
ENSTGUP00000013223	ENSMGAP00000016130
ENSTGUP00000010790	ENSMGAP00000012798
ENSTGUP00000001378	ENSMGAP00000002131
ENSTGUP00000001934	ENSMGAP00000002340
ENSTGUP00000000877	ENSMGAP00000001826
ENSTGUP00000010670	ENSMGAP00000007905
ENSTGUP00000002816	ENSMGAP00000010838
ENSTGUP00000005335	ENSMGAP00000001811
ENSTGUP00000001111	ENSMGAP00000003556
ENSTGUP00000010769	ENSMGAP00000010560
ENSTGUP00000013163	ENSMGAP00000007751
ENSTGUP00000000166	ENSMGAP00000009580
ENSTGUP00000012963	ENSMGAP00000015819
ENSTGUP00000009882	ENSMGAP00000008366
ENSTGUP00000003875	ENSMGAP00000019274
ENSTGUP00000006146	ENSMGAP00000002721
ENSTGUP00000008548	ENSMGAP00000009353
ENSTGUP00000004593	ENSMGAP00000005932
ENSTGUP00000001474	ENSMGAP00000008727
ENSTGUP00000008060	ENSMGAP00000005330
ENSTGUP00000009340	ENSMGAP00000010498
ENSTGUP00000009789	ENSMGAP00000012544
ENSTGUP00000003207	ENSMGAP00000001133
ENSTGUP00000003914	ENSMGAP00000004019
ENSTGUP00000004539	ENSMGAP00000012568
ENSTGUP00000006861	ENSMGAP00000002568
ENSTGUP00000013260	ENSMGAP00000016147
ENSTGUP00000007246	ENSMGAP00000009190
ENSTGUP00000015415	ENSMGAP00000001545
ENSTGUP00000013879	ENSMGAP00000016231
ENSTGUP00000010875	ENSMGAP00000015639
ENSTGUP00000000662	ENSMGAP00000005089
ENSTGUP00000005295	ENSMGAP00000001783
ENSTGUP00000005340	ENSMGAP00000006988
ENSTGUP00000007199	ENSMGAP00000007001
ENSTGUP00000000745	ENSMGAP00000001204
ENSTGUP00000007356	ENSMGAP00000008441
ENSTGUP00000001443	ENSMGAP00000005146
ENSTGUP00000011649	ENSMGAP00000013800
ENSTGUP00000003137	ENSMGAP00000001042
ENSTGUP00000007451	ENSMGAP00000017580
ENSTGUP00000016353	ENSMGAP00000005130
ENSTGUP00000001263	ENSMGAP00000007505
ENSTGUP00000012927	ENSMGAP00000014525
ENSTGUP00000004933	ENSMGAP00000015396
ENSTGUP00000010709	ENSMGAP00000010414
ENSTGUP00000015131	ENSMGAP00000004722
ENSTGUP00000012396	ENSMGAP00000013231
ENSTGUP00000005995	ENSMGAP00000006717
ENSTGUP00000011501	ENSMGAP00000013671
ENSTGUP00000002679	ENSMGAP00000001380
ENSTGUP00000017024	ENSMGAP00000005318
ENSTGUP00000016298	ENSMGAP00000002647
ENSTGUP00000010202	ENSMGAP00000008860
ENSTGUP00000005067	ENSMGAP00000004044
ENSTGUP00000006160	ENSMGAP00000004073
ENSTGUP00000008281	ENSMGAP00000007546
ENSTGUP00000012235	ENSMGAP00000014094
ENSTGUP00000003872	ENSMGAP00000004497
ENSTGUP00000008269	ENSMGAP00000018144
ENSTGUP00000009925	ENSMGAP00000009048
ENSTGUP00000008615	ENSMGAP00000009227
ENSTGUP00000002089	ENSMGAP00000004661
ENSTGUP00000008900	ENSMGAP00000007535
ENSTGUP00000011043	ENSMGAP00000006738
ENSTGUP00000007573	ENSMGAP00000002484
ENSTGUP00000000454	ENSMGAP00000001559
ENSTGUP00000010710	ENSMGAP00000012385
ENSTGUP00000013500	ENSMGAP00000014587
ENSTGUP00000003853	ENSMGAP00000003633
ENSTGUP00000017789	ENSMGAP00000006430
ENSTGUP00000006651	ENSMGAP00000009237
ENSTGUP00000003020	ENSMGAP00000006463
ENSTGUP00000001496	ENSMGAP00000002447
ENSTGUP00000012773	ENSMGAP00000014433
ENSTGUP00000009464	ENSMGAP00000009782
ENSTGUP00000008069	ENSMGAP00000017646
ENSTGUP00000002817	ENSMGAP00000001147
ENSTGUP00000011767	ENSMGAP00000011449
ENSTGUP00000011125	ENSMGAP00000011067
ENSTGUP00000008145	ENSMGAP00000007336
ENSTGUP00000011210	ENSMGAP00000013726
ENSTGUP00000006584	ENSMGAP00000007138
ENSTGUP00000013671	ENSMGAP00000015047
ENSTGUP00000007979	ENSMGAP00000007995
ENSTGUP00000012430	ENSMGAP00000014206
ENSTGUP00000013148	ENSMGAP00000014081
ENSTGUP00000010966	ENSMGAP00000010048
ENSTGUP00000011085	ENSMGAP00000015612
ENSTGUP00000011816	ENSMGAP00000011536
ENSTGUP00000005571	ENSMGAP00000007253
ENSTGUP00000002735	ENSMGAP00000003548
ENSTGUP00000001559	ENSMGAP00000009104
ENSTGUP00000003517	ENSMGAP00000003477
ENSTGUP00000013532	ENSMGAP00000014740
ENSTGUP00000017694	ENSMGAP00000001927
ENSTGUP00000003385	ENSMGAP00000002823
ENSTGUP00000003313	ENSMGAP00000010253
ENSTGUP00000008698	ENSMGAP00000012723
ENSTGUP00000000171	ENSMGAP00000009557
ENSTGUP00000006694	ENSMGAP00000005201
ENSTGUP00000012801	ENSMGAP00000013738
ENSTGUP00000010734	ENSMGAP00000010441
ENSTGUP00000002412	ENSMGAP00000003623
ENSTGUP00000009580	ENSMGAP00000015734
ENSTGUP00000008724	ENSMGAP00000006207
ENSTGUP00000011795	ENSMGAP00000012235
ENSTGUP00000000767	ENSMGAP00000000158
ENSTGUP00000003023	ENSMGAP00000006680
ENSTGUP00000008766	ENSMGAP00000008050
ENSTGUP00000011806	ENSMGAP00000012257
ENSTGUP00000002215	ENSMGAP00000008324
ENSTGUP00000007716	ENSMGAP00000002782
ENSTGUP00000001194	ENSMGAP00000007132
ENSTGUP00000007369	ENSMGAP00000004763
ENSTGUP00000008929	ENSMGAP00000000430
ENSTGUP00000001970	ENSMGAP00000001536
ENSTGUP00000011735	ENSMGAP00000003910
ENSTGUP00000001409	ENSMGAP00000008405
ENSTGUP00000011912	ENSMGAP00000012967
ENSTGUP00000010244	ENSMGAP00000009948
ENSTGUP00000005986	ENSMGAP00000009732
ENSTGUP00000009033	ENSMGAP00000011702
ENSTGUP00000012244	ENSMGAP00000013088
ENSTGUP00000017824	ENSMGAP00000004659
ENSTGUP00000005216	ENSMGAP00000009143
ENSTGUP00000006871	ENSMGAP00000001654
ENSTGUP00000008921	ENSMGAP00000009684
ENSTGUP00000000154	ENSMGAP00000007310
ENSTGUP00000001828	ENSMGAP00000002202
ENSTGUP00000006113	ENSMGAP00000005584
ENSTGUP00000003717	ENSMGAP00000000397
ENSTGUP00000013011	ENSMGAP00000016070
ENSTGUP00000012246	ENSMGAP00000014101
ENSTGUP00000006304	ENSMGAP00000015471
ENSTGUP00000007130	ENSMGAP00000009373
ENSTGUP00000017800	ENSMGAP00000000752
ENSTGUP00000009359	ENSMGAP00000007160
ENSTGUP00000004202	ENSMGAP00000002850
ENSTGUP00000012778	ENSMGAP00000014426
ENSTGUP00000010627	ENSMGAP00000010298
ENSTGUP00000006807	ENSMGAP00000016722
ENSTGUP00000013512	ENSMGAP00000014842
ENSTGUP00000011931	ENSMGAP00000013855
ENSTGUP00000003619	ENSMGAP00000011766
ENSTGUP00000004792	ENSMGAP00000008776
ENSTGUP00000010206	ENSMGAP00000012745
ENSTGUP00000009542	ENSMGAP00000013085
ENSTGUP00000005159	ENSMGAP00000018933
ENSTGUP00000010739	ENSMGAP00000011084
ENSTGUP00000007160	ENSMGAP00000003613
ENSTGUP00000001453	ENSMGAP00000004658
ENSTGUP00000012759	ENSMGAP00000014332
ENSTGUP00000009485	ENSMGAP00000012379
ENSTGUP00000016157	ENSMGAP00000006419
ENSTGUP00000009767	ENSMGAP00000009874
ENSTGUP00000007227	ENSMGAP00000005867
ENSTGUP00000012428	ENSMGAP00000014202
ENSTGUP00000010350	ENSMGAP00000012927
ENSTGUP00000008670	ENSMGAP00000006121
ENSTGUP00000009413	ENSMGAP00000013033
ENSTGUP00000001961	ENSMGAP00000002451
ENSTGUP00000003016	ENSMGAP00000003020
ENSTGUP00000003409	ENSMGAP00000007859
ENSTGUP00000007663	ENSMGAP00000012250
ENSTGUP00000003143	ENSMGAP00000011267
ENSTGUP00000014220	ENSMGAP00000007109
ENSTGUP00000005438	ENSMGAP00000017796
ENSTGUP00000002678	ENSMGAP00000009914
ENSTGUP00000002441	ENSMGAP00000005051
ENSTGUP00000005275	ENSMGAP00000005950
ENSTGUP00000010905	ENSMGAP00000013774
ENSTGUP00000001900	ENSMGAP00000012896
ENSTGUP00000004680	ENSMGAP00000000708
ENSTGUP00000011690	ENSMGAP00000013823
ENSTGUP00000011277	ENSMGAP00000011285
ENSTGUP00000009906	ENSMGAP00000010052
ENSTGUP00000009698	ENSMGAP00000013124
ENSTGUP00000005935	ENSMGAP00000001269
ENSTGUP00000005565	ENSMGAP00000005137
ENSTGUP00000004444	ENSMGAP00000008563
ENSTGUP00000005512	ENSMGAP00000012046
ENSTGUP00000002905	ENSMGAP00000000178
ENSTGUP00000011608	ENSMGAP00000016058
ENSTGUP00000011533	ENSMGAP00000019441
ENSTGUP00000013304	ENSMGAP00000016573
ENSTGUP00000012906	ENSMGAP00000016872
ENSTGUP00000013933	ENSMGAP00000015301
ENSTGUP00000010090	ENSMGAP00000006407
ENSTGUP00000003852	ENSMGAP00000011715
ENSTGUP00000007963	ENSMGAP00000003559
ENSTGUP00000009783	ENSMGAP00000008590
ENSTGUP00000009741	ENSMGAP00000009407
ENSTGUP00000003803	ENSMGAP00000005076
ENSTGUP00000012877	ENSMGAP00000019403
ENSTGUP00000002696	ENSMGAP00000010796
ENSTGUP00000007017	ENSMGAP00000005438
ENSTGUP00000000860	ENSMGAP00000016638
ENSTGUP00000011179	ENSMGAP00000013433
ENSTGUP00000004224	ENSMGAP00000009491
ENSTGUP00000009383	ENSMGAP00000005522
ENSTGUP00000000778	ENSMGAP00000006380
ENSTGUP00000005036	ENSMGAP00000005602
ENSTGUP00000005119	ENSMGAP00000018199
ENSTGUP00000005187	ENSMGAP00000001068
ENSTGUP00000004074	ENSMGAP00000005855
ENSTGUP00000008338	ENSMGAP00000008810
ENSTGUP00000011865	ENSMGAP00000018743
ENSTGUP00000002549	ENSMGAP00000004506
ENSTGUP00000007500	ENSMGAP00000015521
ENSTGUP00000011124	ENSMGAP00000016474
ENSTGUP00000010144	ENSMGAP00000012791
ENSTGUP00000009919	ENSMGAP00000006143
ENSTGUP00000011892	ENSMGAP00000012560
ENSTGUP00000003935	ENSMGAP00000011742
ENSTGUP00000011909	ENSMGAP00000012077
ENSTGUP00000009082	ENSMGAP00000004579
ENSTGUP00000001380	ENSMGAP00000004924
ENSTGUP00000015039	ENSMGAP00000014879
ENSTGUP00000006523	ENSMGAP00000005680
ENSTGUP00000008196	ENSMGAP00000016767
ENSTGUP00000011227	ENSMGAP00000016754
ENSTGUP00000006798	ENSMGAP00000001836
ENSTGUP00000008866	ENSMGAP00000009629
ENSTGUP00000006624	ENSMGAP00000007181
ENSTGUP00000008337	ENSMGAP00000015569
ENSTGUP00000007428	ENSMGAP00000006318
ENSTGUP00000003766	ENSMGAP00000003008
ENSTGUP00000001634	ENSMGAP00000019584
ENSTGUP00000005149	ENSMGAP00000003359
ENSTGUP00000010151	ENSMGAP00000013342
ENSTGUP00000000331	ENSMGAP00000003370
ENSTGUP00000008794	ENSMGAP00000011835
ENSTGUP00000016917	ENSMGAP00000009411
ENSTGUP00000012686	ENSMGAP00000013148
ENSTGUP00000007091	ENSMGAP00000008199
ENSTGUP00000007105	ENSMGAP00000011002
ENSTGUP00000017720	ENSMGAP00000006251
ENSTGUP00000005419	ENSMGAP00000002497
ENSTGUP00000006308	ENSMGAP00000011791
ENSTGUP00000007530	ENSMGAP00000007325
ENSTGUP00000008588	ENSMGAP00000004641
ENSTGUP00000003486	ENSMGAP00000019363
ENSTGUP00000012406	ENSMGAP00000017508
ENSTGUP00000016266	ENSMGAP00000005231
ENSTGUP00000000944	ENSMGAP00000002061
ENSTGUP00000004463	ENSMGAP00000005940
ENSTGUP00000000107	ENSMGAP00000019311
ENSTGUP00000013946	ENSMGAP00000015323
ENSTGUP00000001246	ENSMGAP00000005544
ENSTGUP00000002380	ENSMGAP00000003665
ENSTGUP00000008529	ENSMGAP00000009116
ENSTGUP00000009165	ENSMGAP00000008912
ENSTGUP00000007092	ENSMGAP00000018283
ENSTGUP00000009374	ENSMGAP00000009892
ENSTGUP00000009969	ENSMGAP00000012675
ENSTGUP00000007562	ENSMGAP00000004311
ENSTGUP00000000992	ENSMGAP00000005713
ENSTGUP00000004484	ENSMGAP00000005898
ENSTGUP00000007792	ENSMGAP00000005980
ENSTGUP00000003378	ENSMGAP00000008473
ENSTGUP00000013544	ENSMGAP00000014541
ENSTGUP00000010592	ENSMGAP00000014265
ENSTGUP00000008778	ENSMGAP00000001241
ENSTGUP00000009216	ENSMGAP00000008401
ENSTGUP00000012464	ENSMGAP00000014224
ENSTGUP00000002342	ENSMGAP00000003329
ENSTGUP00000016109	ENSMGAP00000002634
ENSTGUP00000004783	ENSMGAP00000003531
ENSTGUP00000006243	ENSMGAP00000004189
ENSTGUP00000004857	ENSMGAP00000001759
ENSTGUP00000006133	ENSMGAP00000001391
ENSTGUP00000006992	ENSMGAP00000000179
ENSTGUP00000003995	ENSMGAP00000000972
ENSTGUP00000007470	ENSMGAP00000008692
ENSTGUP00000007891	ENSMGAP00000007509
ENSTGUP00000002911	ENSMGAP00000008172
ENSTGUP00000002712	ENSMGAP00000001281
ENSTGUP00000003164	ENSMGAP00000002641
ENSTGUP00000005290	ENSMGAP00000000863
ENSTGUP00000003814	ENSMGAP00000011875
ENSTGUP00000001039	ENSMGAP00000006801
ENSTGUP00000000882	ENSMGAP00000004768
ENSTGUP00000008255	ENSMGAP00000004020
ENSTGUP00000004270	ENSMGAP00000009458
ENSTGUP00000004495	ENSMGAP00000001291
ENSTGUP00000002438	ENSMGAP00000003478
ENSTGUP00000006933	ENSMGAP00000002406
ENSTGUP00000012327	ENSMGAP00000012727
ENSTGUP00000011321	ENSMGAP00000013639
ENSTGUP00000003192	ENSMGAP00000002120
ENSTGUP00000002722	ENSMGAP00000011817
ENSTGUP00000011857	ENSMGAP00000012503
ENSTGUP00000003761	ENSMGAP00000010519
ENSTGUP00000009391	ENSMGAP00000011505
ENSTGUP00000013151	ENSMGAP00000014083
ENSTGUP00000004343	ENSMGAP00000008101
ENSTGUP00000012664	ENSMGAP00000013571
ENSTGUP00000007861	ENSMGAP00000006817
