ENSACAP00000005936	ENSCAFP00000014731
ENSACAP00000005887	ENSCAFP00000023750
ENSACAP00000000002	ENSCAFP00000007145
ENSACAP00000000722	ENSCAFP00000008927
ENSACAP00000009659	ENSCAFP00000017751
ENSACAP00000009496	ENSCAFP00000011990
ENSACAP00000003622	ENSCAFP00000025384
ENSACAP00000002626	ENSCAFP00000013024
ENSACAP00000005892	ENSCAFP00000042693
ENSACAP00000012422	ENSCAFP00000026155
ENSACAP00000015031	ENSCAFP00000033030
ENSACAP00000010188	ENSCAFP00000003101
ENSACAP00000000274	ENSCAFP00000041674
ENSACAP00000013472	ENSCAFP00000016206
ENSACAP00000009044	ENSCAFP00000008556
ENSACAP00000002284	ENSCAFP00000023713
ENSACAP00000013741	ENSCAFP00000042345
ENSACAP00000009086	ENSCAFP00000027593
ENSACAP00000006283	ENSCAFP00000015726
ENSACAP00000012162	ENSCAFP00000003436
ENSACAP00000015624	ENSCAFP00000012262
ENSACAP00000007218	ENSCAFP00000005825
ENSACAP00000006125	ENSCAFP00000024535
ENSACAP00000005332	ENSCAFP00000024106
ENSACAP00000009829	ENSCAFP00000032837
ENSACAP00000004891	ENSCAFP00000025127
ENSACAP00000020254	ENSCAFP00000004714
ENSACAP00000004359	ENSCAFP00000011003
ENSACAP00000011462	ENSCAFP00000023472
ENSACAP00000003855	ENSCAFP00000001401
ENSACAP00000008412	ENSCAFP00000026103
ENSACAP00000007299	ENSCAFP00000020455
ENSACAP00000016166	ENSCAFP00000020457
ENSACAP00000005235	ENSCAFP00000002471
ENSACAP00000003186	ENSCAFP00000014348
ENSACAP00000015569	ENSCAFP00000018363
ENSACAP00000002950	ENSCAFP00000021253
ENSACAP00000004870	ENSCAFP00000027022
ENSACAP00000006246	ENSCAFP00000028242
ENSACAP00000003334	ENSCAFP00000006061
ENSACAP00000012179	ENSCAFP00000030067
ENSACAP00000001254	ENSCAFP00000038440
ENSACAP00000014385	ENSCAFP00000002926
ENSACAP00000008646	ENSCAFP00000036697
ENSACAP00000015055	ENSCAFP00000002632
ENSACAP00000017246	ENSCAFP00000009642
ENSACAP00000005476	ENSCAFP00000000769
ENSACAP00000015897	ENSCAFP00000039622
ENSACAP00000001326	ENSCAFP00000017701
ENSACAP00000012683	ENSCAFP00000011683
ENSACAP00000000562	ENSCAFP00000012479
ENSACAP00000015701	ENSCAFP00000031227
ENSACAP00000000010	ENSCAFP00000037498
ENSACAP00000007759	ENSCAFP00000008761
ENSACAP00000007381	ENSCAFP00000040207
ENSACAP00000016390	ENSCAFP00000000662
ENSACAP00000001137	ENSCAFP00000015800
ENSACAP00000003943	ENSCAFP00000006879
ENSACAP00000006714	ENSCAFP00000010673
ENSACAP00000015156	ENSCAFP00000037149
ENSACAP00000008013	ENSCAFP00000004982
ENSACAP00000016461	ENSCAFP00000018051
ENSACAP00000021372	ENSCAFP00000012425
ENSACAP00000017393	ENSCAFP00000014929
ENSACAP00000018401	ENSCAFP00000036223
ENSACAP00000007806	ENSCAFP00000038665
ENSACAP00000004020	ENSCAFP00000026016
ENSACAP00000005018	ENSCAFP00000024385
ENSACAP00000002357	ENSCAFP00000003044
ENSACAP00000007829	ENSCAFP00000000308
ENSACAP00000014046	ENSCAFP00000002188
ENSACAP00000012228	ENSCAFP00000029301
ENSACAP00000021747	ENSCAFP00000041956
ENSACAP00000007785	ENSCAFP00000016844
ENSACAP00000000494	ENSCAFP00000009689
ENSACAP00000009211	ENSCAFP00000027341
ENSACAP00000002607	ENSCAFP00000029106
ENSACAP00000003860	ENSCAFP00000014633
ENSACAP00000015952	ENSCAFP00000040132
ENSACAP00000021105	ENSCAFP00000012855
ENSACAP00000006084	ENSCAFP00000016378
ENSACAP00000015801	ENSCAFP00000018521
ENSACAP00000002096	ENSCAFP00000005555
ENSACAP00000001052	ENSCAFP00000007137
ENSACAP00000004835	ENSCAFP00000013346
ENSACAP00000010234	ENSCAFP00000019292
ENSACAP00000002916	ENSCAFP00000011551
ENSACAP00000009714	ENSCAFP00000020299
ENSACAP00000004718	ENSCAFP00000017129
ENSACAP00000003233	ENSCAFP00000013732
ENSACAP00000010407	ENSCAFP00000019610
ENSACAP00000014176	ENSCAFP00000006373
ENSACAP00000011489	ENSCAFP00000009302
ENSACAP00000002047	ENSCAFP00000008420
ENSACAP00000012403	ENSCAFP00000014294
ENSACAP00000003287	ENSCAFP00000029652
ENSACAP00000011411	ENSCAFP00000019166
ENSACAP00000010724	ENSCAFP00000017230
ENSACAP00000021955	ENSCAFP00000036541
ENSACAP00000016300	ENSCAFP00000010778
ENSACAP00000006359	ENSCAFP00000018228
ENSACAP00000003760	ENSCAFP00000024308
ENSACAP00000009165	ENSCAFP00000006098
ENSACAP00000017037	ENSCAFP00000004305
ENSACAP00000012348	ENSCAFP00000014191
ENSACAP00000000148	ENSCAFP00000026905
ENSACAP00000019201	ENSCAFP00000034692
ENSACAP00000000979	ENSCAFP00000007067
ENSACAP00000003992	ENSCAFP00000019622
ENSACAP00000007325	ENSCAFP00000006027
ENSACAP00000021412	ENSCAFP00000019371
ENSACAP00000013453	ENSCAFP00000004059
ENSACAP00000005360	ENSCAFP00000000115
ENSACAP00000011740	ENSCAFP00000000107
ENSACAP00000001736	ENSCAFP00000003750
ENSACAP00000006604	ENSCAFP00000014865
ENSACAP00000012897	ENSCAFP00000037890
ENSACAP00000014201	ENSCAFP00000013122
ENSACAP00000016301	ENSCAFP00000003198
ENSACAP00000008955	ENSCAFP00000029197
ENSACAP00000012329	ENSCAFP00000028993
ENSACAP00000011876	ENSCAFP00000023352
ENSACAP00000014712	ENSCAFP00000006770
ENSACAP00000016743	ENSCAFP00000004762
ENSACAP00000014257	ENSCAFP00000004617
ENSACAP00000008097	ENSCAFP00000028823
ENSACAP00000015064	ENSCAFP00000021318
ENSACAP00000007374	ENSCAFP00000012278
ENSACAP00000007679	ENSCAFP00000010749
ENSACAP00000005281	ENSCAFP00000025359
ENSACAP00000016643	ENSCAFP00000000364
ENSACAP00000005011	ENSCAFP00000003221
ENSACAP00000013419	ENSCAFP00000019469
ENSACAP00000017473	ENSCAFP00000002262
ENSACAP00000004324	ENSCAFP00000016852
ENSACAP00000005647	ENSCAFP00000021591
ENSACAP00000018600	ENSCAFP00000016371
ENSACAP00000001847	ENSCAFP00000002615
ENSACAP00000011018	ENSCAFP00000020521
ENSACAP00000014400	ENSCAFP00000020996
ENSACAP00000006621	ENSCAFP00000007990
ENSACAP00000006888	ENSCAFP00000002748
ENSACAP00000005385	ENSCAFP00000025342
ENSACAP00000012603	ENSCAFP00000025761
ENSACAP00000006722	ENSCAFP00000026142
ENSACAP00000000166	ENSCAFP00000026892
ENSACAP00000000761	ENSCAFP00000014055
ENSACAP00000017296	ENSCAFP00000035393
ENSACAP00000000418	ENSCAFP00000016213
ENSACAP00000012675	ENSCAFP00000002957
ENSACAP00000006960	ENSCAFP00000006148
ENSACAP00000014189	ENSCAFP00000018773
ENSACAP00000014850	ENSCAFP00000007655
ENSACAP00000008332	ENSCAFP00000032528
ENSACAP00000007243	ENSCAFP00000024475
ENSACAP00000009102	ENSCAFP00000026983
ENSACAP00000001569	ENSCAFP00000022795
ENSACAP00000017077	ENSCAFP00000020198
ENSACAP00000020480	ENSCAFP00000020392
ENSACAP00000009293	ENSCAFP00000036568
ENSACAP00000014504	ENSCAFP00000009640
ENSACAP00000008168	ENSCAFP00000009007
ENSACAP00000017657	ENSCAFP00000020037
ENSACAP00000001256	ENSCAFP00000000007
ENSACAP00000001679	ENSCAFP00000024697
ENSACAP00000011459	ENSCAFP00000002943
ENSACAP00000011754	ENSCAFP00000027547
ENSACAP00000001743	ENSCAFP00000020163
ENSACAP00000021079	ENSCAFP00000030056
ENSACAP00000006141	ENSCAFP00000021636
ENSACAP00000014093	ENSCAFP00000001325
ENSACAP00000017619	ENSCAFP00000021402
ENSACAP00000011608	ENSCAFP00000024560
ENSACAP00000022182	ENSCAFP00000019804
ENSACAP00000014339	ENSCAFP00000004615
ENSACAP00000007732	ENSCAFP00000026960
ENSACAP00000019151	ENSCAFP00000043067
ENSACAP00000004532	ENSCAFP00000001479
ENSACAP00000006098	ENSCAFP00000006473
ENSACAP00000000151	ENSCAFP00000013558
ENSACAP00000014342	ENSCAFP00000024121
ENSACAP00000012194	ENSCAFP00000014219
ENSACAP00000000422	ENSCAFP00000009681
ENSACAP00000003726	ENSCAFP00000011514
ENSACAP00000017920	ENSCAFP00000018954
ENSACAP00000014818	ENSCAFP00000008629
ENSACAP00000006606	ENSCAFP00000029773
ENSACAP00000011951	ENSCAFP00000038589
ENSACAP00000010620	ENSCAFP00000013390
ENSACAP00000015127	ENSCAFP00000016517
ENSACAP00000010709	ENSCAFP00000005787
ENSACAP00000005003	ENSCAFP00000011412
ENSACAP00000003768	ENSCAFP00000008246
ENSACAP00000008493	ENSCAFP00000039007
ENSACAP00000012584	ENSCAFP00000027851
ENSACAP00000015809	ENSCAFP00000023781
ENSACAP00000016856	ENSCAFP00000023338
ENSACAP00000014352	ENSCAFP00000010328
ENSACAP00000007883	ENSCAFP00000022062
ENSACAP00000017725	ENSCAFP00000009069
ENSACAP00000006092	ENSCAFP00000019539
ENSACAP00000017683	ENSCAFP00000010064
ENSACAP00000018124	ENSCAFP00000043090
ENSACAP00000017858	ENSCAFP00000032911
ENSACAP00000006845	ENSCAFP00000004940
ENSACAP00000015407	ENSCAFP00000029053
ENSACAP00000022831	ENSCAFP00000002581
ENSACAP00000006165	ENSCAFP00000022845
ENSACAP00000012437	ENSCAFP00000011707
ENSACAP00000001836	ENSCAFP00000021599
ENSACAP00000009197	ENSCAFP00000016106
ENSACAP00000001250	ENSCAFP00000020973
ENSACAP00000002622	ENSCAFP00000006558
ENSACAP00000004152	ENSCAFP00000038006
ENSACAP00000013422	ENSCAFP00000011522
ENSACAP00000002683	ENSCAFP00000030268
ENSACAP00000014490	ENSCAFP00000008041
ENSACAP00000017156	ENSCAFP00000038931
ENSACAP00000009883	ENSCAFP00000008908
ENSACAP00000005681	ENSCAFP00000029012
ENSACAP00000020344	ENSCAFP00000035991
ENSACAP00000009257	ENSCAFP00000029601
ENSACAP00000016382	ENSCAFP00000002482
ENSACAP00000008065	ENSCAFP00000005581
ENSACAP00000007329	ENSCAFP00000011192
ENSACAP00000005301	ENSCAFP00000040567
ENSACAP00000015203	ENSCAFP00000040113
ENSACAP00000016915	ENSCAFP00000025298
ENSACAP00000010439	ENSCAFP00000029482
ENSACAP00000008149	ENSCAFP00000016469
ENSACAP00000014275	ENSCAFP00000009027
ENSACAP00000002456	ENSCAFP00000040911
ENSACAP00000005841	ENSCAFP00000024134
ENSACAP00000014720	ENSCAFP00000006650
ENSACAP00000002956	ENSCAFP00000016409
ENSACAP00000003449	ENSCAFP00000015343
ENSACAP00000008319	ENSCAFP00000023611
ENSACAP00000022587	ENSCAFP00000018636
ENSACAP00000000804	ENSCAFP00000000013
ENSACAP00000005834	ENSCAFP00000012363
ENSACAP00000012204	ENSCAFP00000017577
ENSACAP00000005582	ENSCAFP00000011780
ENSACAP00000005635	ENSCAFP00000010590
ENSACAP00000004672	ENSCAFP00000016959
ENSACAP00000011420	ENSCAFP00000026707
ENSACAP00000012585	ENSCAFP00000026041
ENSACAP00000013995	ENSCAFP00000006539
ENSACAP00000001989	ENSCAFP00000022679
ENSACAP00000001021	ENSCAFP00000009234
ENSACAP00000003581	ENSCAFP00000006555
ENSACAP00000010827	ENSCAFP00000001178
ENSACAP00000020602	ENSCAFP00000010173
ENSACAP00000002785	ENSCAFP00000042718
ENSACAP00000007382	ENSCAFP00000032143
ENSACAP00000015704	ENSCAFP00000021956
ENSACAP00000007121	ENSCAFP00000007327
ENSACAP00000016538	ENSCAFP00000008831
ENSACAP00000004355	ENSCAFP00000012023
ENSACAP00000016317	ENSCAFP00000002002
ENSACAP00000006363	ENSCAFP00000023632
ENSACAP00000015950	ENSCAFP00000031755
ENSACAP00000007821	ENSCAFP00000029977
ENSACAP00000012889	ENSCAFP00000020958
ENSACAP00000004371	ENSCAFP00000025244
ENSACAP00000003543	ENSCAFP00000001391
ENSACAP00000001362	ENSCAFP00000041985
ENSACAP00000011999	ENSCAFP00000038728
ENSACAP00000003215	ENSCAFP00000040507
ENSACAP00000006463	ENSCAFP00000023606
ENSACAP00000021213	ENSCAFP00000014708
ENSACAP00000016641	ENSCAFP00000010892
ENSACAP00000002597	ENSCAFP00000041305
ENSACAP00000002675	ENSCAFP00000013497
ENSACAP00000023083	ENSCAFP00000001945
ENSACAP00000000392	ENSCAFP00000037879
ENSACAP00000012581	ENSCAFP00000026125
ENSACAP00000006142	ENSCAFP00000005701
ENSACAP00000017428	ENSCAFP00000025622
ENSACAP00000017414	ENSCAFP00000025610
ENSACAP00000001584	ENSCAFP00000019854
ENSACAP00000021940	ENSCAFP00000009244
ENSACAP00000008211	ENSCAFP00000020710
ENSACAP00000000720	ENSCAFP00000012318
ENSACAP00000012602	ENSCAFP00000029589
ENSACAP00000008394	ENSCAFP00000036468
ENSACAP00000014934	ENSCAFP00000004778
ENSACAP00000008024	ENSCAFP00000007536
ENSACAP00000006154	ENSCAFP00000035841
ENSACAP00000004446	ENSCAFP00000027291
ENSACAP00000001607	ENSCAFP00000019615
ENSACAP00000013342	ENSCAFP00000009751
ENSACAP00000004160	ENSCAFP00000013929
ENSACAP00000008002	ENSCAFP00000000419
ENSACAP00000000045	ENSCAFP00000034200
ENSACAP00000009877	ENSCAFP00000017685
ENSACAP00000011531	ENSCAFP00000003667
ENSACAP00000005563	ENSCAFP00000024167
ENSACAP00000014891	ENSCAFP00000003633
ENSACAP00000009442	ENSCAFP00000034065
ENSACAP00000013297	ENSCAFP00000026449
ENSACAP00000016931	ENSCAFP00000025322
ENSACAP00000000857	ENSCAFP00000018204
ENSACAP00000006389	ENSCAFP00000006194
ENSACAP00000005071	ENSCAFP00000001694
ENSACAP00000008327	ENSCAFP00000007665
ENSACAP00000000496	ENSCAFP00000037281
ENSACAP00000001493	ENSCAFP00000005584
ENSACAP00000001771	ENSCAFP00000018265
ENSACAP00000010384	ENSCAFP00000013917
ENSACAP00000005666	ENSCAFP00000030126
ENSACAP00000003426	ENSCAFP00000021015
ENSACAP00000001366	ENSCAFP00000001985
ENSACAP00000002904	ENSCAFP00000015302
ENSACAP00000015681	ENSCAFP00000036764
ENSACAP00000012928	ENSCAFP00000000256
ENSACAP00000004624	ENSCAFP00000019385
ENSACAP00000016484	ENSCAFP00000013312
ENSACAP00000003570	ENSCAFP00000027209
ENSACAP00000001524	ENSCAFP00000009736
ENSACAP00000014329	ENSCAFP00000017813
ENSACAP00000013948	ENSCAFP00000009666
ENSACAP00000015878	ENSCAFP00000007856
ENSACAP00000000772	ENSCAFP00000009453
ENSACAP00000022256	ENSCAFP00000021646
ENSACAP00000022059	ENSCAFP00000039510
ENSACAP00000000145	ENSCAFP00000013585
ENSACAP00000006116	ENSCAFP00000006414
ENSACAP00000015747	ENSCAFP00000038099
ENSACAP00000004845	ENSCAFP00000032157
ENSACAP00000005078	ENSCAFP00000039481
ENSACAP00000009544	ENSCAFP00000016931
ENSACAP00000017415	ENSCAFP00000023668
ENSACAP00000020785	ENSCAFP00000000642
ENSACAP00000005147	ENSCAFP00000019305
ENSACAP00000023376	ENSCAFP00000039838
ENSACAP00000000675	ENSCAFP00000022474
ENSACAP00000001025	ENSCAFP00000016970
ENSACAP00000006578	ENSCAFP00000026129
ENSACAP00000000807	ENSCAFP00000023771
ENSACAP00000010956	ENSCAFP00000007666
ENSACAP00000015364	ENSCAFP00000012757
ENSACAP00000007802	ENSCAFP00000016904
ENSACAP00000005300	ENSCAFP00000008550
ENSACAP00000015481	ENSCAFP00000013888
ENSACAP00000002949	ENSCAFP00000014286
ENSACAP00000000989	ENSCAFP00000020889
ENSACAP00000011276	ENSCAFP00000016423
ENSACAP00000007929	ENSCAFP00000006507
ENSACAP00000000853	ENSCAFP00000020473
ENSACAP00000006617	ENSCAFP00000011099
ENSACAP00000000448	ENSCAFP00000021539
ENSACAP00000014912	ENSCAFP00000005826
ENSACAP00000000355	ENSCAFP00000001937
ENSACAP00000023176	ENSCAFP00000010164
ENSACAP00000004882	ENSCAFP00000015634
ENSACAP00000007639	ENSCAFP00000023020
ENSACAP00000013678	ENSCAFP00000018261
ENSACAP00000023219	ENSCAFP00000029791
ENSACAP00000011559	ENSCAFP00000029025
ENSACAP00000014015	ENSCAFP00000015153
ENSACAP00000015900	ENSCAFP00000019026
ENSACAP00000010844	ENSCAFP00000031804
ENSACAP00000007146	ENSCAFP00000006087
ENSACAP00000011151	ENSCAFP00000009022
ENSACAP00000009167	ENSCAFP00000033145
ENSACAP00000010690	ENSCAFP00000019185
ENSACAP00000013116	ENSCAFP00000012548
ENSACAP00000010180	ENSCAFP00000029393
ENSACAP00000022772	ENSCAFP00000008401
ENSACAP00000012834	ENSCAFP00000011713
ENSACAP00000006446	ENSCAFP00000037075
ENSACAP00000014583	ENSCAFP00000012224
ENSACAP00000005751	ENSCAFP00000018166
ENSACAP00000017325	ENSCAFP00000017280
ENSACAP00000022148	ENSCAFP00000013102
ENSACAP00000000914	ENSCAFP00000016422
ENSACAP00000010905	ENSCAFP00000004390
ENSACAP00000000471	ENSCAFP00000007443
ENSACAP00000006820	ENSCAFP00000013833
ENSACAP00000013402	ENSCAFP00000043137
ENSACAP00000013975	ENSCAFP00000032192
ENSACAP00000009668	ENSCAFP00000010305
ENSACAP00000003816	ENSCAFP00000017036
ENSACAP00000000597	ENSCAFP00000009594
ENSACAP00000015736	ENSCAFP00000028226
ENSACAP00000014300	ENSCAFP00000039424
ENSACAP00000006396	ENSCAFP00000024759
ENSACAP00000004369	ENSCAFP00000004675
ENSACAP00000014449	ENSCAFP00000010561
ENSACAP00000011563	ENSCAFP00000005918
ENSACAP00000015462	ENSCAFP00000020241
ENSACAP00000001242	ENSCAFP00000017488
ENSACAP00000016071	ENSCAFP00000017759
ENSACAP00000003582	ENSCAFP00000030044
ENSACAP00000017426	ENSCAFP00000034949
ENSACAP00000006027	ENSCAFP00000009138
ENSACAP00000017438	ENSCAFP00000001349
ENSACAP00000010866	ENSCAFP00000022219
ENSACAP00000019072	ENSCAFP00000011189
ENSACAP00000017642	ENSCAFP00000021330
ENSACAP00000017647	ENSCAFP00000021307
ENSACAP00000001949	ENSCAFP00000012494
ENSACAP00000019760	ENSCAFP00000034278
ENSACAP00000014244	ENSCAFP00000022380
ENSACAP00000007690	ENSCAFP00000005148
ENSACAP00000012251	ENSCAFP00000026149
ENSACAP00000010428	ENSCAFP00000017153
ENSACAP00000015649	ENSCAFP00000018202
ENSACAP00000019610	ENSCAFP00000027089
ENSACAP00000009740	ENSCAFP00000026348
ENSACAP00000014233	ENSCAFP00000028085
ENSACAP00000013455	ENSCAFP00000019451
ENSACAP00000016227	ENSCAFP00000006902
ENSACAP00000017457	ENSCAFP00000025696
ENSACAP00000018820	ENSCAFP00000029076
ENSACAP00000021020	ENSCAFP00000038726
ENSACAP00000007753	ENSCAFP00000004978
ENSACAP00000015358	ENSCAFP00000027029
ENSACAP00000011582	ENSCAFP00000042195
ENSACAP00000001600	ENSCAFP00000030626
ENSACAP00000018000	ENSCAFP00000000685
ENSACAP00000016158	ENSCAFP00000013656
ENSACAP00000006934	ENSCAFP00000004929
ENSACAP00000006046	ENSCAFP00000005648
ENSACAP00000007920	ENSCAFP00000008075
ENSACAP00000010427	ENSCAFP00000013269
ENSACAP00000008120	ENSCAFP00000008059
ENSACAP00000004607	ENSCAFP00000022592
ENSACAP00000003482	ENSCAFP00000002638
ENSACAP00000000783	ENSCAFP00000009944
ENSACAP00000001391	ENSCAFP00000029923
ENSACAP00000018173	ENSCAFP00000028715
ENSACAP00000002994	ENSCAFP00000008826
ENSACAP00000007939	ENSCAFP00000014757
ENSACAP00000009335	ENSCAFP00000012882
ENSACAP00000008407	ENSCAFP00000027947
ENSACAP00000001306	ENSCAFP00000037612
ENSACAP00000004254	ENSCAFP00000001434
ENSACAP00000014938	ENSCAFP00000015384
ENSACAP00000013880	ENSCAFP00000032766
ENSACAP00000011124	ENSCAFP00000018385
ENSACAP00000009519	ENSCAFP00000008416
ENSACAP00000017235	ENSCAFP00000009649
ENSACAP00000004542	ENSCAFP00000001486
ENSACAP00000003781	ENSCAFP00000000584
ENSACAP00000005527	ENSCAFP00000019303
ENSACAP00000015257	ENSCAFP00000003724
ENSACAP00000003427	ENSCAFP00000011312
ENSACAP00000009094	ENSCAFP00000017180
ENSACAP00000015152	ENSCAFP00000014036
ENSACAP00000001881	ENSCAFP00000008155
ENSACAP00000009022	ENSCAFP00000011133
ENSACAP00000006382	ENSCAFP00000012254
ENSACAP00000001616	ENSCAFP00000040327
ENSACAP00000011493	ENSCAFP00000023005
ENSACAP00000011363	ENSCAFP00000028346
ENSACAP00000000192	ENSCAFP00000016742
ENSACAP00000016237	ENSCAFP00000003952
ENSACAP00000015442	ENSCAFP00000001230
ENSACAP00000000791	ENSCAFP00000021410
ENSACAP00000007893	ENSCAFP00000008083
ENSACAP00000020653	ENSCAFP00000020121
ENSACAP00000008330	ENSCAFP00000031244
ENSACAP00000017499	ENSCAFP00000041190
ENSACAP00000022994	ENSCAFP00000037968
ENSACAP00000022678	ENSCAFP00000033377
ENSACAP00000016955	ENSCAFP00000029641
ENSACAP00000006118	ENSCAFP00000030205
ENSACAP00000006415	ENSCAFP00000012577
ENSACAP00000011376	ENSCAFP00000001590
ENSACAP00000010241	ENSCAFP00000028519
ENSACAP00000003523	ENSCAFP00000014891
ENSACAP00000014566	ENSCAFP00000004585
ENSACAP00000005967	ENSCAFP00000021848
ENSACAP00000002495	ENSCAFP00000000879
ENSACAP00000002002	ENSCAFP00000005127
ENSACAP00000010120	ENSCAFP00000040315
ENSACAP00000002958	ENSCAFP00000009734
ENSACAP00000003442	ENSCAFP00000020626
ENSACAP00000008015	ENSCAFP00000005592
ENSACAP00000020824	ENSCAFP00000023331
ENSACAP00000011344	ENSCAFP00000002963
ENSACAP00000009814	ENSCAFP00000000148
ENSACAP00000004124	ENSCAFP00000029875
ENSACAP00000007010	ENSCAFP00000028939
ENSACAP00000011073	ENSCAFP00000008636
ENSACAP00000016657	ENSCAFP00000039620
ENSACAP00000007239	ENSCAFP00000023830
ENSACAP00000004246	ENSCAFP00000026042
ENSACAP00000008834	ENSCAFP00000008327
ENSACAP00000004930	ENSCAFP00000018676
ENSACAP00000008217	ENSCAFP00000010168
ENSACAP00000002439	ENSCAFP00000001050
ENSACAP00000012020	ENSCAFP00000003426
ENSACAP00000013743	ENSCAFP00000026181
ENSACAP00000009520	ENSCAFP00000034565
ENSACAP00000022710	ENSCAFP00000014977
ENSACAP00000018108	ENSCAFP00000032288
ENSACAP00000019437	ENSCAFP00000014495
ENSACAP00000021599	ENSCAFP00000023719
ENSACAP00000014245	ENSCAFP00000018590
ENSACAP00000005999	ENSCAFP00000028992
ENSACAP00000007101	ENSCAFP00000000376
ENSACAP00000012166	ENSCAFP00000004006
ENSACAP00000017356	ENSCAFP00000036634
ENSACAP00000006568	ENSCAFP00000025553
ENSACAP00000005947	ENSCAFP00000024880
ENSACAP00000002022	ENSCAFP00000021885
ENSACAP00000002322	ENSCAFP00000030250
ENSACAP00000003434	ENSCAFP00000013432
ENSACAP00000002401	ENSCAFP00000021805
ENSACAP00000007057	ENSCAFP00000020117
ENSACAP00000014711	ENSCAFP00000015874
ENSACAP00000000492	ENSCAFP00000007213
ENSACAP00000022898	ENSCAFP00000018134
ENSACAP00000010501	ENSCAFP00000019496
ENSACAP00000015855	ENSCAFP00000011085
ENSACAP00000007293	ENSCAFP00000013157
ENSACAP00000014304	ENSCAFP00000032879
ENSACAP00000007443	ENSCAFP00000000134
ENSACAP00000020357	ENSCAFP00000026516
ENSACAP00000005836	ENSCAFP00000002818
ENSACAP00000016829	ENSCAFP00000026552
ENSACAP00000017406	ENSCAFP00000016089
ENSACAP00000015811	ENSCAFP00000030665
ENSACAP00000018495	ENSCAFP00000019339
ENSACAP00000000934	ENSCAFP00000018728
ENSACAP00000020309	ENSCAFP00000029167
ENSACAP00000002310	ENSCAFP00000019929
ENSACAP00000014627	ENSCAFP00000039412
ENSACAP00000015810	ENSCAFP00000001354
ENSACAP00000009025	ENSCAFP00000036671
ENSACAP00000000170	ENSCAFP00000009309
ENSACAP00000004407	ENSCAFP00000034403
ENSACAP00000011729	ENSCAFP00000011484
ENSACAP00000010927	ENSCAFP00000011791
ENSACAP00000022005	ENSCAFP00000015672
ENSACAP00000017093	ENSCAFP00000036681
ENSACAP00000012373	ENSCAFP00000019348
ENSACAP00000003487	ENSCAFP00000003060
ENSACAP00000010515	ENSCAFP00000012350
ENSACAP00000008265	ENSCAFP00000027095
ENSACAP00000001806	ENSCAFP00000006962
ENSACAP00000014593	ENSCAFP00000015490
ENSACAP00000016585	ENSCAFP00000012624
ENSACAP00000011655	ENSCAFP00000042105
ENSACAP00000000473	ENSCAFP00000021112
ENSACAP00000005714	ENSCAFP00000006930
ENSACAP00000000723	ENSCAFP00000013945
ENSACAP00000019694	ENSCAFP00000025602
ENSACAP00000002419	ENSCAFP00000023769
ENSACAP00000005306	ENSCAFP00000019560
ENSACAP00000006862	ENSCAFP00000000532
ENSACAP00000007096	ENSCAFP00000020263
ENSACAP00000004037	ENSCAFP00000015383
ENSACAP00000001904	ENSCAFP00000021184
ENSACAP00000002475	ENSCAFP00000006400
ENSACAP00000011325	ENSCAFP00000019057
ENSACAP00000017324	ENSCAFP00000023417
ENSACAP00000004600	ENSCAFP00000000636
ENSACAP00000013551	ENSCAFP00000009484
ENSACAP00000006933	ENSCAFP00000002676
ENSACAP00000004198	ENSCAFP00000004854
ENSACAP00000014076	ENSCAFP00000008361
ENSACAP00000000030	ENSCAFP00000023217
ENSACAP00000009826	ENSCAFP00000030134
ENSACAP00000010327	ENSCAFP00000030152
ENSACAP00000013150	ENSCAFP00000004135
ENSACAP00000004338	ENSCAFP00000012364
ENSACAP00000001889	ENSCAFP00000012488
ENSACAP00000022796	ENSCAFP00000013943
ENSACAP00000006377	ENSCAFP00000026810
ENSACAP00000005435	ENSCAFP00000023554
ENSACAP00000010838	ENSCAFP00000012668
ENSACAP00000023195	ENSCAFP00000041623
ENSACAP00000003388	ENSCAFP00000039680
ENSACAP00000014435	ENSCAFP00000008858
ENSACAP00000015163	ENSCAFP00000024626
ENSACAP00000001420	ENSCAFP00000006860
ENSACAP00000001689	ENSCAFP00000037977
ENSACAP00000017280	ENSCAFP00000019317
ENSACAP00000001058	ENSCAFP00000042812
ENSACAP00000000530	ENSCAFP00000007558
ENSACAP00000013420	ENSCAFP00000018978
ENSACAP00000001101	ENSCAFP00000042680
ENSACAP00000000511	ENSCAFP00000012268
ENSACAP00000009979	ENSCAFP00000019117
ENSACAP00000013433	ENSCAFP00000027701
ENSACAP00000000998	ENSCAFP00000030226
ENSACAP00000012661	ENSCAFP00000029132
ENSACAP00000010416	ENSCAFP00000019454
ENSACAP00000013756	ENSCAFP00000032492
ENSACAP00000010278	ENSCAFP00000014831
ENSACAP00000006953	ENSCAFP00000034396
ENSACAP00000013569	ENSCAFP00000031561
ENSACAP00000004728	ENSCAFP00000005745
ENSACAP00000012877	ENSCAFP00000012037
ENSACAP00000007203	ENSCAFP00000007347
ENSACAP00000012670	ENSCAFP00000020042
ENSACAP00000015360	ENSCAFP00000002886
ENSACAP00000018889	ENSCAFP00000018973
ENSACAP00000017082	ENSCAFP00000019165
ENSACAP00000013060	ENSCAFP00000000398
ENSACAP00000004222	ENSCAFP00000010256
ENSACAP00000008591	ENSCAFP00000011250
ENSACAP00000010137	ENSCAFP00000008923
ENSACAP00000016177	ENSCAFP00000041439
ENSACAP00000003174	ENSCAFP00000008241
