ENSORLP00000011382	ENSDARP00000122973
ENSORLP00000019400	ENSDARP00000110449
ENSORLP00000015729	ENSDARP00000006123
ENSORLP00000016528	ENSDARP00000052079
ENSORLP00000012661	ENSDARP00000063911
ENSORLP00000018212	ENSDARP00000109347
ENSORLP00000019447	ENSDARP00000105289
ENSORLP00000023474	ENSDARP00000034339
ENSORLP00000016845	ENSDARP00000078070
ENSORLP00000021060	ENSDARP00000120504
ENSORLP00000005711	ENSDARP00000086731
ENSORLP00000023232	ENSDARP00000109454
ENSORLP00000018633	ENSDARP00000098524
ENSORLP00000008800	ENSDARP00000095385
ENSORLP00000004309	ENSDARP00000051814
ENSORLP00000009573	ENSDARP00000061202
ENSORLP00000009837	ENSDARP00000070535
ENSORLP00000017794	ENSDARP00000092482
ENSORLP00000025736	ENSDARP00000090283
ENSORLP00000021628	ENSDARP00000010750
ENSORLP00000013144	ENSDARP00000108599
ENSORLP00000020648	ENSDARP00000093207
ENSORLP00000008851	ENSDARP00000102085
ENSORLP00000007694	ENSDARP00000085602
ENSORLP00000006724	ENSDARP00000086756
ENSORLP00000012589	ENSDARP00000079851
ENSORLP00000004759	ENSDARP00000101927
ENSORLP00000001116	ENSDARP00000121656
ENSORLP00000009002	ENSDARP00000109661
ENSORLP00000021750	ENSDARP00000084804
ENSORLP00000001807	ENSDARP00000077990
ENSORLP00000022379	ENSDARP00000028523
ENSORLP00000010135	ENSDARP00000099372
ENSORLP00000009168	ENSDARP00000083314
ENSORLP00000017375	ENSDARP00000057695
ENSORLP00000023893	ENSDARP00000127746
ENSORLP00000025318	ENSDARP00000129550
ENSORLP00000022620	ENSDARP00000110821
ENSORLP00000010152	ENSDARP00000023970
ENSORLP00000010205	ENSDARP00000101817
ENSORLP00000006339	ENSDARP00000128952
ENSORLP00000004664	ENSDARP00000099798
ENSORLP00000017403	ENSDARP00000067426
ENSORLP00000019778	ENSDARP00000103910
ENSORLP00000024445	ENSDARP00000100272
ENSORLP00000016218	ENSDARP00000040864
ENSORLP00000023579	ENSDARP00000005394
ENSORLP00000006666	ENSDARP00000018030
ENSORLP00000021179	ENSDARP00000106053
ENSORLP00000012142	ENSDARP00000127340
ENSORLP00000016285	ENSDARP00000066049
ENSORLP00000013971	ENSDARP00000016115
ENSORLP00000001046	ENSDARP00000102690
ENSORLP00000010213	ENSDARP00000080616
ENSORLP00000012691	ENSDARP00000050830
ENSORLP00000022572	ENSDARP00000094107
ENSORLP00000006959	ENSDARP00000107312
ENSORLP00000020952	ENSDARP00000038769
ENSORLP00000000476	ENSDARP00000039362
ENSORLP00000013389	ENSDARP00000012853
ENSORLP00000012909	ENSDARP00000101150
ENSORLP00000009665	ENSDARP00000080991
ENSORLP00000003879	ENSDARP00000110489
ENSORLP00000021846	ENSDARP00000117288
ENSORLP00000004928	ENSDARP00000100481
ENSORLP00000017290	ENSDARP00000016515
ENSORLP00000017275	ENSDARP00000069223
ENSORLP00000006970	ENSDARP00000102802
ENSORLP00000016859	ENSDARP00000015105
ENSORLP00000011991	ENSDARP00000127247
ENSORLP00000001170	ENSDARP00000015887
ENSORLP00000010462	ENSDARP00000030237
ENSORLP00000018432	ENSDARP00000040329
ENSORLP00000022999	ENSDARP00000064865
ENSORLP00000019470	ENSDARP00000088460
ENSORLP00000009199	ENSDARP00000073671
ENSORLP00000013724	ENSDARP00000011199
ENSORLP00000000399	ENSDARP00000075790
ENSORLP00000005646	ENSDARP00000089411
ENSORLP00000006519	ENSDARP00000117985
ENSORLP00000019506	ENSDARP00000016880
ENSORLP00000008906	ENSDARP00000102961
ENSORLP00000015709	ENSDARP00000110587
ENSORLP00000014213	ENSDARP00000095097
ENSORLP00000009827	ENSDARP00000034536
ENSORLP00000006977	ENSDARP00000110466
ENSORLP00000004744	ENSDARP00000117236
ENSORLP00000012551	ENSDARP00000122142
ENSORLP00000009716	ENSDARP00000083511
ENSORLP00000004644	ENSDARP00000071887
ENSORLP00000016943	ENSDARP00000098883
ENSORLP00000012262	ENSDARP00000072488
ENSORLP00000013914	ENSDARP00000037263
ENSORLP00000010268	ENSDARP00000073383
ENSORLP00000024482	ENSDARP00000043773
ENSORLP00000010926	ENSDARP00000127377
ENSORLP00000020044	ENSDARP00000013089
ENSORLP00000021842	ENSDARP00000058563
ENSORLP00000001749	ENSDARP00000128121
ENSORLP00000009282	ENSDARP00000099429
ENSORLP00000022421	ENSDARP00000099673
ENSORLP00000023212	ENSDARP00000107521
ENSORLP00000010299	ENSDARP00000084850
ENSORLP00000010322	ENSDARP00000027389
ENSORLP00000024665	ENSDARP00000023774
ENSORLP00000005492	ENSDARP00000099839
ENSORLP00000004250	ENSDARP00000126734
ENSORLP00000015403	ENSDARP00000105648
ENSORLP00000010818	ENSDARP00000052178
ENSORLP00000022674	ENSDARP00000100792
ENSORLP00000005773	ENSDARP00000082230
ENSORLP00000005909	ENSDARP00000060967
ENSORLP00000010828	ENSDARP00000108088
ENSORLP00000005530	ENSDARP00000096930
ENSORLP00000017537	ENSDARP00000078717
ENSORLP00000001539	ENSDARP00000025816
ENSORLP00000008341	ENSDARP00000100331
ENSORLP00000004615	ENSDARP00000065335
ENSORLP00000019717	ENSDARP00000073126
ENSORLP00000010652	ENSDARP00000116593
ENSORLP00000021443	ENSDARP00000104417
ENSORLP00000009138	ENSDARP00000033367
ENSORLP00000019566	ENSDARP00000110231
ENSORLP00000024312	ENSDARP00000104573
ENSORLP00000014323	ENSDARP00000095377
ENSORLP00000013094	ENSDARP00000113057
ENSORLP00000007169	ENSDARP00000048849
ENSORLP00000019437	ENSDARP00000006892
ENSORLP00000006275	ENSDARP00000031816
ENSORLP00000014447	ENSDARP00000094886
ENSORLP00000019458	ENSDARP00000122870
ENSORLP00000016513	ENSDARP00000103179
ENSORLP00000004547	ENSDARP00000081680
ENSORLP00000021111	ENSDARP00000110400
ENSORLP00000001051	ENSDARP00000114835
ENSORLP00000003584	ENSDARP00000105829
ENSORLP00000006619	ENSDARP00000074254
ENSORLP00000011558	ENSDARP00000024632
ENSORLP00000023175	ENSDARP00000099308
ENSORLP00000022535	ENSDARP00000088524
ENSORLP00000017442	ENSDARP00000074109
ENSORLP00000009491	ENSDARP00000009966
ENSORLP00000022393	ENSDARP00000020399
ENSORLP00000015085	ENSDARP00000056539
ENSORLP00000010862	ENSDARP00000011545
ENSORLP00000024309	ENSDARP00000116328
ENSORLP00000006310	ENSDARP00000080601
ENSORLP00000023115	ENSDARP00000124018
ENSORLP00000009012	ENSDARP00000079110
ENSORLP00000012796	ENSDARP00000086504
ENSORLP00000020351	ENSDARP00000068636
ENSORLP00000000641	ENSDARP00000125770
ENSORLP00000011863	ENSDARP00000003684
ENSORLP00000016807	ENSDARP00000120649
ENSORLP00000025875	ENSDARP00000113382
ENSORLP00000003055	ENSDARP00000096921
ENSORLP00000000886	ENSDARP00000031168
ENSORLP00000013630	ENSDARP00000036714
ENSORLP00000014006	ENSDARP00000012229
ENSORLP00000023022	ENSDARP00000107651
ENSORLP00000021633	ENSDARP00000129213
ENSORLP00000008402	ENSDARP00000003802
ENSORLP00000004897	ENSDARP00000078529
ENSORLP00000004015	ENSDARP00000048448
ENSORLP00000022605	ENSDARP00000044948
ENSORLP00000023830	ENSDARP00000113554
ENSORLP00000014444	ENSDARP00000045839
ENSORLP00000015299	ENSDARP00000126108
ENSORLP00000010851	ENSDARP00000120838
ENSORLP00000024201	ENSDARP00000126898
ENSORLP00000016136	ENSDARP00000044213
ENSORLP00000009076	ENSDARP00000042236
ENSORLP00000004277	ENSDARP00000072492
ENSORLP00000009803	ENSDARP00000070552
ENSORLP00000001145	ENSDARP00000097884
ENSORLP00000011976	ENSDARP00000101040
ENSORLP00000024932	ENSDARP00000100767
ENSORLP00000006040	ENSDARP00000122022
ENSORLP00000002840	ENSDARP00000086210
ENSORLP00000015337	ENSDARP00000096421
ENSORLP00000005210	ENSDARP00000024330
ENSORLP00000025844	ENSDARP00000073037
ENSORLP00000006470	ENSDARP00000071442
ENSORLP00000008520	ENSDARP00000046647
ENSORLP00000009711	ENSDARP00000013110
ENSORLP00000003381	ENSDARP00000113861
ENSORLP00000018263	ENSDARP00000043659
ENSORLP00000010154	ENSDARP00000040433
ENSORLP00000020072	ENSDARP00000115777
ENSORLP00000022200	ENSDARP00000056656
ENSORLP00000001078	ENSDARP00000016035
ENSORLP00000017594	ENSDARP00000005181
ENSORLP00000013612	ENSDARP00000100503
ENSORLP00000009616	ENSDARP00000113359
ENSORLP00000003001	ENSDARP00000059045
ENSORLP00000000535	ENSDARP00000053156
ENSORLP00000014564	ENSDARP00000115127
ENSORLP00000022089	ENSDARP00000122959
ENSORLP00000022474	ENSDARP00000007794
ENSORLP00000001011	ENSDARP00000005003
ENSORLP00000007657	ENSDARP00000095605
ENSORLP00000004073	ENSDARP00000090020
ENSORLP00000006190	ENSDARP00000075946
ENSORLP00000013577	ENSDARP00000128547
ENSORLP00000020377	ENSDARP00000108537
ENSORLP00000004849	ENSDARP00000036397
ENSORLP00000009559	ENSDARP00000114430
ENSORLP00000014373	ENSDARP00000084036
ENSORLP00000011530	ENSDARP00000074845
ENSORLP00000019685	ENSDARP00000111843
ENSORLP00000000832	ENSDARP00000118192
ENSORLP00000002656	ENSDARP00000116341
ENSORLP00000001830	ENSDARP00000125987
ENSORLP00000007551	ENSDARP00000008781
ENSORLP00000005772	ENSDARP00000094499
ENSORLP00000004431	ENSDARP00000125009
ENSORLP00000021353	ENSDARP00000070439
ENSORLP00000009382	ENSDARP00000013205
ENSORLP00000015705	ENSDARP00000100853
ENSORLP00000015205	ENSDARP00000092248
ENSORLP00000015434	ENSDARP00000007528
ENSORLP00000008665	ENSDARP00000096377
ENSORLP00000011794	ENSDARP00000109111
ENSORLP00000014774	ENSDARP00000109087
ENSORLP00000017891	ENSDARP00000086825
ENSORLP00000003423	ENSDARP00000128717
ENSORLP00000004327	ENSDARP00000063424
ENSORLP00000025556	ENSDARP00000102523
ENSORLP00000010063	ENSDARP00000122521
ENSORLP00000009276	ENSDARP00000105242
ENSORLP00000012587	ENSDARP00000005794
ENSORLP00000019413	ENSDARP00000095027
ENSORLP00000021211	ENSDARP00000041745
ENSORLP00000017133	ENSDARP00000105475
ENSORLP00000010507	ENSDARP00000048049
ENSORLP00000023462	ENSDARP00000105367
ENSORLP00000020018	ENSDARP00000095008
ENSORLP00000009830	ENSDARP00000016840
ENSORLP00000000576	ENSDARP00000115155
ENSORLP00000013085	ENSDARP00000055877
ENSORLP00000017070	ENSDARP00000023892
ENSORLP00000022911	ENSDARP00000090716
ENSORLP00000016509	ENSDARP00000055324
ENSORLP00000023276	ENSDARP00000119947
ENSORLP00000019610	ENSDARP00000066996
ENSORLP00000025178	ENSDARP00000084180
ENSORLP00000001391	ENSDARP00000100066
ENSORLP00000014633	ENSDARP00000118141
ENSORLP00000013518	ENSDARP00000078364
ENSORLP00000022419	ENSDARP00000104146
ENSORLP00000002493	ENSDARP00000008633
ENSORLP00000022413	ENSDARP00000072718
ENSORLP00000022119	ENSDARP00000083640
ENSORLP00000018658	ENSDARP00000116145
ENSORLP00000020923	ENSDARP00000034848
ENSORLP00000002612	ENSDARP00000026731
ENSORLP00000012853	ENSDARP00000075586
ENSORLP00000024973	ENSDARP00000116386
ENSORLP00000016577	ENSDARP00000017982
ENSORLP00000000708	ENSDARP00000002886
ENSORLP00000020688	ENSDARP00000073257
ENSORLP00000022051	ENSDARP00000097796
ENSORLP00000025735	ENSDARP00000003302
ENSORLP00000016199	ENSDARP00000055860
ENSORLP00000010781	ENSDARP00000112116
ENSORLP00000003973	ENSDARP00000049625
ENSORLP00000019360	ENSDARP00000115879
ENSORLP00000004161	ENSDARP00000111525
ENSORLP00000002974	ENSDARP00000109976
ENSORLP00000020470	ENSDARP00000128920
ENSORLP00000011399	ENSDARP00000098383
ENSORLP00000003036	ENSDARP00000081773
ENSORLP00000005945	ENSDARP00000085316
ENSORLP00000018803	ENSDARP00000107876
ENSORLP00000020625	ENSDARP00000046267
ENSORLP00000007111	ENSDARP00000020101
ENSORLP00000007171	ENSDARP00000128045
ENSORLP00000009953	ENSDARP00000107791
ENSORLP00000021525	ENSDARP00000129301
ENSORLP00000008289	ENSDARP00000073739
ENSORLP00000004376	ENSDARP00000056440
ENSORLP00000011583	ENSDARP00000117438
ENSORLP00000001627	ENSDARP00000049447
ENSORLP00000024497	ENSDARP00000015478
ENSORLP00000004423	ENSDARP00000124115
ENSORLP00000015542	ENSDARP00000115363
ENSORLP00000013644	ENSDARP00000111616
ENSORLP00000014359	ENSDARP00000006117
ENSORLP00000018472	ENSDARP00000076624
ENSORLP00000009749	ENSDARP00000112180
ENSORLP00000006533	ENSDARP00000125872
ENSORLP00000011462	ENSDARP00000007817
ENSORLP00000020077	ENSDARP00000120777
ENSORLP00000012569	ENSDARP00000086213
ENSORLP00000003377	ENSDARP00000089684
ENSORLP00000025131	ENSDARP00000054760
ENSORLP00000018485	ENSDARP00000114415
ENSORLP00000001703	ENSDARP00000022826
ENSORLP00000014404	ENSDARP00000060204
ENSORLP00000011614	ENSDARP00000062413
ENSORLP00000016268	ENSDARP00000007503
ENSORLP00000017233	ENSDARP00000010992
ENSORLP00000023794	ENSDARP00000103737
ENSORLP00000008983	ENSDARP00000104486
ENSORLP00000017604	ENSDARP00000060431
ENSORLP00000018206	ENSDARP00000109028
ENSORLP00000007150	ENSDARP00000065292
ENSORLP00000015974	ENSDARP00000036699
ENSORLP00000025576	ENSDARP00000041190
ENSORLP00000015395	ENSDARP00000011595
ENSORLP00000012519	ENSDARP00000097305
ENSORLP00000006931	ENSDARP00000122083
ENSORLP00000025589	ENSDARP00000045252
ENSORLP00000002417	ENSDARP00000117448
ENSORLP00000022974	ENSDARP00000067632
ENSORLP00000007465	ENSDARP00000014272
ENSORLP00000016359	ENSDARP00000104154
ENSORLP00000008531	ENSDARP00000077293
ENSORLP00000005097	ENSDARP00000124707
ENSORLP00000014919	ENSDARP00000057020
ENSORLP00000011826	ENSDARP00000117773
ENSORLP00000007534	ENSDARP00000116667
ENSORLP00000004497	ENSDARP00000078091
ENSORLP00000020585	ENSDARP00000065664
ENSORLP00000002011	ENSDARP00000104870
ENSORLP00000004222	ENSDARP00000062744
ENSORLP00000010324	ENSDARP00000022653
ENSORLP00000015817	ENSDARP00000006008
ENSORLP00000012109	ENSDARP00000078992
ENSORLP00000014886	ENSDARP00000039499
ENSORLP00000009458	ENSDARP00000124635
ENSORLP00000018157	ENSDARP00000101252
ENSORLP00000005124	ENSDARP00000081878
ENSORLP00000019951	ENSDARP00000112275
ENSORLP00000012686	ENSDARP00000102894
ENSORLP00000007100	ENSDARP00000129762
ENSORLP00000002737	ENSDARP00000009285
ENSORLP00000012536	ENSDARP00000091063
ENSORLP00000016331	ENSDARP00000101301
ENSORLP00000017374	ENSDARP00000093269
ENSORLP00000021638	ENSDARP00000035935
ENSORLP00000004050	ENSDARP00000112899
ENSORLP00000007442	ENSDARP00000094201
ENSORLP00000024424	ENSDARP00000058456
ENSORLP00000015630	ENSDARP00000032332
ENSORLP00000002322	ENSDARP00000103488
ENSORLP00000017495	ENSDARP00000083553
ENSORLP00000011986	ENSDARP00000055816
ENSORLP00000023525	ENSDARP00000021109
ENSORLP00000010153	ENSDARP00000072202
ENSORLP00000003168	ENSDARP00000070414
ENSORLP00000011688	ENSDARP00000100074
ENSORLP00000017289	ENSDARP00000012078
ENSORLP00000016096	ENSDARP00000020257
ENSORLP00000002220	ENSDARP00000105869
ENSORLP00000018679	ENSDARP00000092501
ENSORLP00000009868	ENSDARP00000070816
ENSORLP00000005950	ENSDARP00000107071
ENSORLP00000009640	ENSDARP00000012550
ENSORLP00000016112	ENSDARP00000082946
ENSORLP00000020407	ENSDARP00000100793
ENSORLP00000014468	ENSDARP00000128651
ENSORLP00000007992	ENSDARP00000004016
ENSORLP00000005946	ENSDARP00000017784
ENSORLP00000020609	ENSDARP00000053541
ENSORLP00000023119	ENSDARP00000054847
ENSORLP00000017791	ENSDARP00000056034
ENSORLP00000017143	ENSDARP00000106718
ENSORLP00000021145	ENSDARP00000074805
ENSORLP00000006154	ENSDARP00000026585
ENSORLP00000008785	ENSDARP00000087012
ENSORLP00000007138	ENSDARP00000088421
ENSORLP00000007676	ENSDARP00000108478
ENSORLP00000018856	ENSDARP00000068099
ENSORLP00000009341	ENSDARP00000053368
ENSORLP00000017731	ENSDARP00000017792
ENSORLP00000012492	ENSDARP00000109783
ENSORLP00000009411	ENSDARP00000073802
ENSORLP00000017295	ENSDARP00000115947
ENSORLP00000023958	ENSDARP00000056720
ENSORLP00000021992	ENSDARP00000062849
ENSORLP00000025218	ENSDARP00000087587
ENSORLP00000017626	ENSDARP00000055431
ENSORLP00000014565	ENSDARP00000072361
ENSORLP00000006759	ENSDARP00000007739
ENSORLP00000025729	ENSDARP00000092712
ENSORLP00000005729	ENSDARP00000075209
ENSORLP00000021529	ENSDARP00000051069
ENSORLP00000012482	ENSDARP00000053025
ENSORLP00000002412	ENSDARP00000122314
ENSORLP00000009206	ENSDARP00000005715
ENSORLP00000018330	ENSDARP00000004404
ENSORLP00000019291	ENSDARP00000124389
ENSORLP00000013271	ENSDARP00000099988
ENSORLP00000021637	ENSDARP00000028305
ENSORLP00000003507	ENSDARP00000122053
ENSORLP00000008172	ENSDARP00000074560
ENSORLP00000004513	ENSDARP00000048482
ENSORLP00000013692	ENSDARP00000090636
ENSORLP00000002828	ENSDARP00000108323
ENSORLP00000021869	ENSDARP00000069627
ENSORLP00000014469	ENSDARP00000112458
ENSORLP00000018016	ENSDARP00000038731
ENSORLP00000008312	ENSDARP00000067592
ENSORLP00000024609	ENSDARP00000063004
ENSORLP00000013168	ENSDARP00000090236
ENSORLP00000001416	ENSDARP00000104888
ENSORLP00000012939	ENSDARP00000102287
ENSORLP00000017737	ENSDARP00000007963
ENSORLP00000019423	ENSDARP00000033139
ENSORLP00000020681	ENSDARP00000106778
ENSORLP00000006151	ENSDARP00000117581
ENSORLP00000025859	ENSDARP00000072961
ENSORLP00000005248	ENSDARP00000113657
ENSORLP00000004713	ENSDARP00000088240
ENSORLP00000004876	ENSDARP00000102992
ENSORLP00000014054	ENSDARP00000008265
ENSORLP00000022363	ENSDARP00000033245
ENSORLP00000002629	ENSDARP00000072648
ENSORLP00000002599	ENSDARP00000018482
ENSORLP00000021273	ENSDARP00000076534
ENSORLP00000015607	ENSDARP00000070582
ENSORLP00000019886	ENSDARP00000055865
ENSORLP00000006871	ENSDARP00000031864
ENSORLP00000004566	ENSDARP00000052858
ENSORLP00000001173	ENSDARP00000059116
ENSORLP00000010246	ENSDARP00000094762
ENSORLP00000021852	ENSDARP00000112668
ENSORLP00000022179	ENSDARP00000081457
ENSORLP00000001782	ENSDARP00000099007
ENSORLP00000011520	ENSDARP00000084112
ENSORLP00000017812	ENSDARP00000031222
ENSORLP00000010316	ENSDARP00000123533
ENSORLP00000012016	ENSDARP00000102688
ENSORLP00000004921	ENSDARP00000014964
ENSORLP00000004280	ENSDARP00000014516
ENSORLP00000013105	ENSDARP00000038993
ENSORLP00000010294	ENSDARP00000104304
ENSORLP00000018940	ENSDARP00000072249
ENSORLP00000000164	ENSDARP00000008736
ENSORLP00000016986	ENSDARP00000110729
ENSORLP00000022915	ENSDARP00000110301
ENSORLP00000005267	ENSDARP00000085864
ENSORLP00000005688	ENSDARP00000086159
ENSORLP00000008232	ENSDARP00000108315
ENSORLP00000020738	ENSDARP00000086435
ENSORLP00000007856	ENSDARP00000105775
ENSORLP00000008587	ENSDARP00000108884
ENSORLP00000014721	ENSDARP00000057422
ENSORLP00000010035	ENSDARP00000118728
ENSORLP00000003090	ENSDARP00000112076
ENSORLP00000003353	ENSDARP00000039266
ENSORLP00000005052	ENSDARP00000080083
ENSORLP00000019054	ENSDARP00000068915
ENSORLP00000013436	ENSDARP00000017163
ENSORLP00000001001	ENSDARP00000025863
ENSORLP00000008017	ENSDARP00000003766
ENSORLP00000012210	ENSDARP00000010322
ENSORLP00000004564	ENSDARP00000100205
ENSORLP00000007011	ENSDARP00000124971
ENSORLP00000015625	ENSDARP00000113963
ENSORLP00000009965	ENSDARP00000116175
ENSORLP00000023677	ENSDARP00000116967
ENSORLP00000021957	ENSDARP00000092492
ENSORLP00000017785	ENSDARP00000101528
ENSORLP00000020451	ENSDARP00000063705
ENSORLP00000010774	ENSDARP00000102179
ENSORLP00000006734	ENSDARP00000097638
ENSORLP00000001557	ENSDARP00000086706
ENSORLP00000014945	ENSDARP00000078621
ENSORLP00000018222	ENSDARP00000097933
ENSORLP00000019005	ENSDARP00000129249
ENSORLP00000011128	ENSDARP00000114850
ENSORLP00000020231	ENSDARP00000108114
ENSORLP00000002709	ENSDARP00000092263
ENSORLP00000021749	ENSDARP00000080303
ENSORLP00000003611	ENSDARP00000101503
ENSORLP00000006301	ENSDARP00000100887
ENSORLP00000011176	ENSDARP00000079072
ENSORLP00000021004	ENSDARP00000079066
ENSORLP00000020975	ENSDARP00000093546
ENSORLP00000009440	ENSDARP00000123929
ENSORLP00000015490	ENSDARP00000070091
ENSORLP00000003468	ENSDARP00000095479
ENSORLP00000000722	ENSDARP00000108229
ENSORLP00000002932	ENSDARP00000051863
ENSORLP00000021741	ENSDARP00000108267
ENSORLP00000008471	ENSDARP00000082680
ENSORLP00000018323	ENSDARP00000074083
ENSORLP00000023676	ENSDARP00000114775
ENSORLP00000002237	ENSDARP00000099964
ENSORLP00000021821	ENSDARP00000022618
ENSORLP00000025416	ENSDARP00000032669
ENSORLP00000006484	ENSDARP00000005687
ENSORLP00000000270	ENSDARP00000121234
ENSORLP00000009223	ENSDARP00000010440
ENSORLP00000025023	ENSDARP00000011791
ENSORLP00000018314	ENSDARP00000012821
ENSORLP00000000713	ENSDARP00000097997
ENSORLP00000009412	ENSDARP00000027752
ENSORLP00000012323	ENSDARP00000103646
ENSORLP00000010024	ENSDARP00000099540
ENSORLP00000000646	ENSDARP00000104300
ENSORLP00000008618	ENSDARP00000083072
ENSORLP00000000863	ENSDARP00000061429
ENSORLP00000007823	ENSDARP00000069881
ENSORLP00000017067	ENSDARP00000111289
ENSORLP00000012037	ENSDARP00000005747
ENSORLP00000000914	ENSDARP00000118187
ENSORLP00000011042	ENSDARP00000115887
ENSORLP00000021445	ENSDARP00000024635
ENSORLP00000024579	ENSDARP00000049616
ENSORLP00000008599	ENSDARP00000075663
ENSORLP00000015980	ENSDARP00000006711
ENSORLP00000009450	ENSDARP00000072494
ENSORLP00000011271	ENSDARP00000125949
ENSORLP00000003401	ENSDARP00000100862
ENSORLP00000002770	ENSDARP00000117284
ENSORLP00000016816	ENSDARP00000055606
ENSORLP00000010621	ENSDARP00000055992
ENSORLP00000013044	ENSDARP00000095859
ENSORLP00000005007	ENSDARP00000089682
ENSORLP00000003891	ENSDARP00000100847
ENSORLP00000003864	ENSDARP00000111599
ENSORLP00000014304	ENSDARP00000062134
ENSORLP00000018170	ENSDARP00000048830
ENSORLP00000010639	ENSDARP00000106726
ENSORLP00000011297	ENSDARP00000068329
ENSORLP00000016171	ENSDARP00000091630
ENSORLP00000011188	ENSDARP00000070819
ENSORLP00000006737	ENSDARP00000057173
ENSORLP00000011905	ENSDARP00000025370
ENSORLP00000011637	ENSDARP00000008006
ENSORLP00000002335	ENSDARP00000104171
ENSORLP00000024394	ENSDARP00000123985
ENSORLP00000007675	ENSDARP00000069092
ENSORLP00000020145	ENSDARP00000044431
ENSORLP00000016561	ENSDARP00000086097
ENSORLP00000023374	ENSDARP00000127427
ENSORLP00000006475	ENSDARP00000072683
ENSORLP00000004822	ENSDARP00000101887
ENSORLP00000012333	ENSDARP00000008722
ENSORLP00000019715	ENSDARP00000112199
ENSORLP00000011531	ENSDARP00000109946
ENSORLP00000002591	ENSDARP00000086456
ENSORLP00000015894	ENSDARP00000052429
ENSORLP00000010068	ENSDARP00000026303
ENSORLP00000002009	ENSDARP00000099955
ENSORLP00000009417	ENSDARP00000082248
ENSORLP00000016952	ENSDARP00000109901
ENSORLP00000023385	ENSDARP00000018086
ENSORLP00000001612	ENSDARP00000052702
ENSORLP00000002161	ENSDARP00000071557
ENSORLP00000000163	ENSDARP00000110108
ENSORLP00000017340	ENSDARP00000092459
ENSORLP00000009093	ENSDARP00000114832
ENSORLP00000010772	ENSDARP00000070420
ENSORLP00000001853	ENSDARP00000059880
ENSORLP00000003995	ENSDARP00000122743
ENSORLP00000014411	ENSDARP00000064129
ENSORLP00000017277	ENSDARP00000062524
ENSORLP00000020438	ENSDARP00000128367
ENSORLP00000021101	ENSDARP00000108798
ENSORLP00000023103	ENSDARP00000008048
ENSORLP00000022027	ENSDARP00000096160
ENSORLP00000023114	ENSDARP00000107901
ENSORLP00000017452	ENSDARP00000065948
ENSORLP00000011680	ENSDARP00000122700
ENSORLP00000019765	ENSDARP00000009334
ENSORLP00000018590	ENSDARP00000094435
ENSORLP00000014524	ENSDARP00000099008
ENSORLP00000020247	ENSDARP00000120160
ENSORLP00000007885	ENSDARP00000098172
ENSORLP00000020864	ENSDARP00000056276
ENSORLP00000006523	ENSDARP00000060656
ENSORLP00000005657	ENSDARP00000030883
ENSORLP00000003837	ENSDARP00000074858
ENSORLP00000020732	ENSDARP00000062506
ENSORLP00000009649	ENSDARP00000117135
ENSORLP00000006980	ENSDARP00000069022
ENSORLP00000003038	ENSDARP00000119835
ENSORLP00000001267	ENSDARP00000011948
ENSORLP00000013686	ENSDARP00000114416
ENSORLP00000008550	ENSDARP00000099345
ENSORLP00000002044	ENSDARP00000124755
ENSORLP00000005565	ENSDARP00000102893
ENSORLP00000007970	ENSDARP00000053680
ENSORLP00000004565	ENSDARP00000087268
ENSORLP00000018666	ENSDARP00000108397
ENSORLP00000009183	ENSDARP00000097886
ENSORLP00000002064	ENSDARP00000104679
ENSORLP00000023713	ENSDARP00000119733
ENSORLP00000022598	ENSDARP00000114128
ENSORLP00000021817	ENSDARP00000102840
ENSORLP00000011346	ENSDARP00000101819
ENSORLP00000002985	ENSDARP00000109333
ENSORLP00000003460	ENSDARP00000108339
ENSORLP00000025096	ENSDARP00000081531
ENSORLP00000014879	ENSDARP00000055133
ENSORLP00000007418	ENSDARP00000015318
ENSORLP00000001856	ENSDARP00000002900
ENSORLP00000010334	ENSDARP00000102483
ENSORLP00000008104	ENSDARP00000104600
ENSORLP00000021835	ENSDARP00000026028
ENSORLP00000012399	ENSDARP00000105104
ENSORLP00000010304	ENSDARP00000110979
ENSORLP00000013386	ENSDARP00000026495
ENSORLP00000020314	ENSDARP00000129039
ENSORLP00000013218	ENSDARP00000123302
ENSORLP00000008994	ENSDARP00000051290
ENSORLP00000004132	ENSDARP00000050270
ENSORLP00000013202	ENSDARP00000044496
ENSORLP00000009552	ENSDARP00000019361
ENSORLP00000015398	ENSDARP00000117568
ENSORLP00000000965	ENSDARP00000074403
ENSORLP00000003311	ENSDARP00000040498
ENSORLP00000022461	ENSDARP00000087316
ENSORLP00000016115	ENSDARP00000117266
ENSORLP00000011978	ENSDARP00000075696
ENSORLP00000023243	ENSDARP00000097583
ENSORLP00000021333	ENSDARP00000063157
ENSORLP00000023165	ENSDARP00000108625
ENSORLP00000010409	ENSDARP00000021469
ENSORLP00000007925	ENSDARP00000101657
ENSORLP00000006765	ENSDARP00000032153
ENSORLP00000025538	ENSDARP00000075309
ENSORLP00000007284	ENSDARP00000044986
ENSORLP00000016402	ENSDARP00000061273
ENSORLP00000023489	ENSDARP00000106181
ENSORLP00000009609	ENSDARP00000008451
ENSORLP00000022074	ENSDARP00000113818
ENSORLP00000017954	ENSDARP00000010471
ENSORLP00000019100	ENSDARP00000095438
ENSORLP00000011144	ENSDARP00000022588
ENSORLP00000019417	ENSDARP00000003167
ENSORLP00000021160	ENSDARP00000026957
