ENSLOCP00000009128	ENSMGAP00000004951
ENSLOCP00000007989	ENSMGAP00000015292
ENSLOCP00000006343	ENSMGAP00000001059
ENSLOCP00000017547	ENSMGAP00000002527
ENSLOCP00000020139	ENSMGAP00000014894
ENSLOCP00000015134	ENSMGAP00000011708
ENSLOCP00000021906	ENSMGAP00000015210
ENSLOCP00000021517	ENSMGAP00000016936
ENSLOCP00000021584	ENSMGAP00000006631
ENSLOCP00000021041	ENSMGAP00000013867
ENSLOCP00000003154	ENSMGAP00000006700
ENSLOCP00000007260	ENSMGAP00000009153
ENSLOCP00000008474	ENSMGAP00000009971
ENSLOCP00000013192	ENSMGAP00000015345
ENSLOCP00000018813	ENSMGAP00000011827
ENSLOCP00000020235	ENSMGAP00000010593
ENSLOCP00000012321	ENSMGAP00000014351
ENSLOCP00000020266	ENSMGAP00000009112
ENSLOCP00000018171	ENSMGAP00000003197
ENSLOCP00000009086	ENSMGAP00000006417
ENSLOCP00000006041	ENSMGAP00000000058
ENSLOCP00000020476	ENSMGAP00000014287
ENSLOCP00000005884	ENSMGAP00000013437
ENSLOCP00000012832	ENSMGAP00000015254
ENSLOCP00000018835	ENSMGAP00000003962
ENSLOCP00000014771	ENSMGAP00000000409
ENSLOCP00000006432	ENSMGAP00000010988
ENSLOCP00000017528	ENSMGAP00000000904
ENSLOCP00000015038	ENSMGAP00000003356
ENSLOCP00000021103	ENSMGAP00000010665
ENSLOCP00000004138	ENSMGAP00000001935
ENSLOCP00000002997	ENSMGAP00000000345
ENSLOCP00000011543	ENSMGAP00000005706
ENSLOCP00000005568	ENSMGAP00000008113
ENSLOCP00000008994	ENSMGAP00000009718
ENSLOCP00000016841	ENSMGAP00000019484
ENSLOCP00000013144	ENSMGAP00000008083
ENSLOCP00000011198	ENSMGAP00000013157
ENSLOCP00000002924	ENSMGAP00000015629
ENSLOCP00000009131	ENSMGAP00000001668
ENSLOCP00000011088	ENSMGAP00000013185
ENSLOCP00000003848	ENSMGAP00000019410
ENSLOCP00000016334	ENSMGAP00000006596
ENSLOCP00000013862	ENSMGAP00000004114
ENSLOCP00000012716	ENSMGAP00000004499
ENSLOCP00000009103	ENSMGAP00000012448
ENSLOCP00000013263	ENSMGAP00000010002
ENSLOCP00000018390	ENSMGAP00000007071
ENSLOCP00000021100	ENSMGAP00000014518
ENSLOCP00000007328	ENSMGAP00000011278
ENSLOCP00000016533	ENSMGAP00000019266
ENSLOCP00000009591	ENSMGAP00000005072
ENSLOCP00000012962	ENSMGAP00000015132
ENSLOCP00000010940	ENSMGAP00000003271
ENSLOCP00000017970	ENSMGAP00000007168
ENSLOCP00000021883	ENSMGAP00000016490
ENSLOCP00000022279	ENSMGAP00000016666
ENSLOCP00000006231	ENSMGAP00000002843
ENSLOCP00000012555	ENSMGAP00000012493
ENSLOCP00000007851	ENSMGAP00000001307
ENSLOCP00000011031	ENSMGAP00000008022
ENSLOCP00000013015	ENSMGAP00000005806
ENSLOCP00000009970	ENSMGAP00000019273
ENSLOCP00000008352	ENSMGAP00000004318
ENSLOCP00000009784	ENSMGAP00000001399
ENSLOCP00000006336	ENSMGAP00000002576
ENSLOCP00000017095	ENSMGAP00000006260
ENSLOCP00000005005	ENSMGAP00000016016
ENSLOCP00000005932	ENSMGAP00000011660
ENSLOCP00000006044	ENSMGAP00000006137
ENSLOCP00000006463	ENSMGAP00000001172
ENSLOCP00000008852	ENSMGAP00000009622
ENSLOCP00000015221	ENSMGAP00000013167
ENSLOCP00000018408	ENSMGAP00000001400
ENSLOCP00000020313	ENSMGAP00000006602
ENSLOCP00000021601	ENSMGAP00000019564
ENSLOCP00000017192	ENSMGAP00000005637
ENSLOCP00000012682	ENSMGAP00000018229
ENSLOCP00000004815	ENSMGAP00000004778
ENSLOCP00000000652	ENSMGAP00000009956
ENSLOCP00000018950	ENSMGAP00000008512
ENSLOCP00000020285	ENSMGAP00000009254
ENSLOCP00000010889	ENSMGAP00000003338
ENSLOCP00000007559	ENSMGAP00000005669
ENSLOCP00000012730	ENSMGAP00000003901
ENSLOCP00000014307	ENSMGAP00000004412
ENSLOCP00000006418	ENSMGAP00000004420
ENSLOCP00000003333	ENSMGAP00000019532
ENSLOCP00000015333	ENSMGAP00000003634
ENSLOCP00000014052	ENSMGAP00000008741
ENSLOCP00000020453	ENSMGAP00000007191
ENSLOCP00000001038	ENSMGAP00000018965
ENSLOCP00000018806	ENSMGAP00000001504
ENSLOCP00000019871	ENSMGAP00000013258
ENSLOCP00000011104	ENSMGAP00000013178
ENSLOCP00000013610	ENSMGAP00000019100
ENSLOCP00000018105	ENSMGAP00000000635
ENSLOCP00000012543	ENSMGAP00000004610
ENSLOCP00000002932	ENSMGAP00000012653
ENSLOCP00000011753	ENSMGAP00000001832
ENSLOCP00000021879	ENSMGAP00000016476
ENSLOCP00000005432	ENSMGAP00000016918
ENSLOCP00000021497	ENSMGAP00000016922
ENSLOCP00000016202	ENSMGAP00000003350
ENSLOCP00000020862	ENSMGAP00000014739
ENSLOCP00000014113	ENSMGAP00000014119
ENSLOCP00000003755	ENSMGAP00000001001
ENSLOCP00000015571	ENSMGAP00000003033
ENSLOCP00000005103	ENSMGAP00000008541
ENSLOCP00000000597	ENSMGAP00000005794
ENSLOCP00000021057	ENSMGAP00000014674
ENSLOCP00000014485	ENSMGAP00000013101
ENSLOCP00000001482	ENSMGAP00000007189
ENSLOCP00000017199	ENSMGAP00000012489
ENSLOCP00000013166	ENSMGAP00000016613
ENSLOCP00000020655	ENSMGAP00000017446
ENSLOCP00000014833	ENSMGAP00000011508
ENSLOCP00000004777	ENSMGAP00000008285
ENSLOCP00000006939	ENSMGAP00000016540
ENSLOCP00000002879	ENSMGAP00000016502
ENSLOCP00000020684	ENSMGAP00000014890
ENSLOCP00000005838	ENSMGAP00000011675
ENSLOCP00000005124	ENSMGAP00000001256
ENSLOCP00000001726	ENSMGAP00000003167
ENSLOCP00000009554	ENSMGAP00000005164
ENSLOCP00000019198	ENSMGAP00000009162
ENSLOCP00000008850	ENSMGAP00000013545
ENSLOCP00000019978	ENSMGAP00000013749
ENSLOCP00000004255	ENSMGAP00000015539
ENSLOCP00000004774	ENSMGAP00000010191
ENSLOCP00000009118	ENSMGAP00000015545
ENSLOCP00000020571	ENSMGAP00000011972
ENSLOCP00000008855	ENSMGAP00000016564
ENSLOCP00000018152	ENSMGAP00000008217
ENSLOCP00000000631	ENSMGAP00000005117
ENSLOCP00000003995	ENSMGAP00000002012
ENSLOCP00000006446	ENSMGAP00000000216
ENSLOCP00000009089	ENSMGAP00000016127
ENSLOCP00000019079	ENSMGAP00000008139
ENSLOCP00000015512	ENSMGAP00000006078
ENSLOCP00000005357	ENSMGAP00000018575
ENSLOCP00000015308	ENSMGAP00000003706
ENSLOCP00000015550	ENSMGAP00000005641
ENSLOCP00000013487	ENSMGAP00000012850
ENSLOCP00000001622	ENSMGAP00000004782
ENSLOCP00000013579	ENSMGAP00000001442
ENSLOCP00000005712	ENSMGAP00000004252
ENSLOCP00000019628	ENSMGAP00000006327
ENSLOCP00000013321	ENSMGAP00000011881
ENSLOCP00000005733	ENSMGAP00000012510
ENSLOCP00000019178	ENSMGAP00000010204
ENSLOCP00000012002	ENSMGAP00000014128
ENSLOCP00000007031	ENSMGAP00000010931
ENSLOCP00000019240	ENSMGAP00000000093
ENSLOCP00000003075	ENSMGAP00000010590
ENSLOCP00000012605	ENSMGAP00000015510
ENSLOCP00000009710	ENSMGAP00000018685
ENSLOCP00000018807	ENSMGAP00000011843
ENSLOCP00000012168	ENSMGAP00000002415
ENSLOCP00000015446	ENSMGAP00000011255
ENSLOCP00000022411	ENSMGAP00000006510
ENSLOCP00000006037	ENSMGAP00000001982
ENSLOCP00000019592	ENSMGAP00000008387
ENSLOCP00000011795	ENSMGAP00000012220
ENSLOCP00000015564	ENSMGAP00000005685
ENSLOCP00000004339	ENSMGAP00000006184
ENSLOCP00000020497	ENSMGAP00000013994
ENSLOCP00000013424	ENSMGAP00000013824
ENSLOCP00000015643	ENSMGAP00000010385
ENSLOCP00000014998	ENSMGAP00000002868
ENSLOCP00000015207	ENSMGAP00000013155
ENSLOCP00000005807	ENSMGAP00000009678
ENSLOCP00000010073	ENSMGAP00000011197
ENSLOCP00000012052	ENSMGAP00000003620
ENSLOCP00000020767	ENSMGAP00000004253
ENSLOCP00000001371	ENSMGAP00000001849
ENSLOCP00000005569	ENSMGAP00000008238
ENSLOCP00000016940	ENSMGAP00000008109
ENSLOCP00000004122	ENSMGAP00000010053
ENSLOCP00000013106	ENSMGAP00000015389
ENSLOCP00000003292	ENSMGAP00000005912
ENSLOCP00000019557	ENSMGAP00000015100
ENSLOCP00000009100	ENSMGAP00000016463
ENSLOCP00000014958	ENSMGAP00000009389
ENSLOCP00000000860	ENSMGAP00000010752
ENSLOCP00000013152	ENSMGAP00000002490
ENSLOCP00000014354	ENSMGAP00000012661
ENSLOCP00000010164	ENSMGAP00000015652
ENSLOCP00000020421	ENSMGAP00000014301
ENSLOCP00000002420	ENSMGAP00000019398
ENSLOCP00000003090	ENSMGAP00000000394
ENSLOCP00000005318	ENSMGAP00000004057
ENSLOCP00000004424	ENSMGAP00000005308
ENSLOCP00000007699	ENSMGAP00000010760
ENSLOCP00000011792	ENSMGAP00000005234
ENSLOCP00000020626	ENSMGAP00000009972
ENSLOCP00000013081	ENSMGAP00000013415
ENSLOCP00000001770	ENSMGAP00000002486
ENSLOCP00000015819	ENSMGAP00000006476
ENSLOCP00000019314	ENSMGAP00000018764
ENSLOCP00000011573	ENSMGAP00000017967
ENSLOCP00000008186	ENSMGAP00000008856
ENSLOCP00000011934	ENSMGAP00000013100
ENSLOCP00000013419	ENSMGAP00000004094
ENSLOCP00000015190	ENSMGAP00000000982
ENSLOCP00000009379	ENSMGAP00000010472
ENSLOCP00000020108	ENSMGAP00000013355
ENSLOCP00000015862	ENSMGAP00000014269
ENSLOCP00000021818	ENSMGAP00000016333
ENSLOCP00000007568	ENSMGAP00000003114
ENSLOCP00000015552	ENSMGAP00000000442
ENSLOCP00000015923	ENSMGAP00000019656
ENSLOCP00000000394	ENSMGAP00000004127
ENSLOCP00000009497	ENSMGAP00000015493
ENSLOCP00000013091	ENSMGAP00000012977
ENSLOCP00000005554	ENSMGAP00000003886
ENSLOCP00000011271	ENSMGAP00000013259
ENSLOCP00000002816	ENSMGAP00000002770
ENSLOCP00000019477	ENSMGAP00000012404
ENSLOCP00000014813	ENSMGAP00000018043
ENSLOCP00000021323	ENSMGAP00000014695
ENSLOCP00000017501	ENSMGAP00000005360
ENSLOCP00000016719	ENSMGAP00000012211
ENSLOCP00000008876	ENSMGAP00000015592
ENSLOCP00000015220	ENSMGAP00000002007
ENSLOCP00000016869	ENSMGAP00000006581
ENSLOCP00000018337	ENSMGAP00000004463
ENSLOCP00000003950	ENSMGAP00000019101
ENSLOCP00000003264	ENSMGAP00000012779
ENSLOCP00000014233	ENSMGAP00000016297
ENSLOCP00000005207	ENSMGAP00000019793
ENSLOCP00000019485	ENSMGAP00000012581
ENSLOCP00000011604	ENSMGAP00000013113
ENSLOCP00000007046	ENSMGAP00000004473
ENSLOCP00000019542	ENSMGAP00000003508
ENSLOCP00000017370	ENSMGAP00000004807
ENSLOCP00000012383	ENSMGAP00000013791
ENSLOCP00000011024	ENSMGAP00000000027
ENSLOCP00000015082	ENSMGAP00000012876
ENSLOCP00000020631	ENSMGAP00000017947
ENSLOCP00000012752	ENSMGAP00000015915
ENSLOCP00000018453	ENSMGAP00000001173
ENSLOCP00000013744	ENSMGAP00000010235
ENSLOCP00000006186	ENSMGAP00000004730
ENSLOCP00000015935	ENSMGAP00000012294
ENSLOCP00000003568	ENSMGAP00000009686
ENSLOCP00000010167	ENSMGAP00000016376
ENSLOCP00000008269	ENSMGAP00000002797
ENSLOCP00000020803	ENSMGAP00000014813
ENSLOCP00000016788	ENSMGAP00000005336
ENSLOCP00000011837	ENSMGAP00000001050
ENSLOCP00000006978	ENSMGAP00000007747
ENSLOCP00000007484	ENSMGAP00000011051
ENSLOCP00000020145	ENSMGAP00000014901
ENSLOCP00000018910	ENSMGAP00000014586
ENSLOCP00000004867	ENSMGAP00000005554
ENSLOCP00000018911	ENSMGAP00000014588
ENSLOCP00000021624	ENSMGAP00000016935
ENSLOCP00000022433	ENSMGAP00000019724
ENSLOCP00000014047	ENSMGAP00000016396
ENSLOCP00000012875	ENSMGAP00000002561
ENSLOCP00000006876	ENSMGAP00000016112
ENSLOCP00000015779	ENSMGAP00000011616
ENSLOCP00000010676	ENSMGAP00000006399
ENSLOCP00000010174	ENSMGAP00000008408
ENSLOCP00000017344	ENSMGAP00000005451
ENSLOCP00000019065	ENSMGAP00000012813
ENSLOCP00000006976	ENSMGAP00000002909
ENSLOCP00000010377	ENSMGAP00000003461
ENSLOCP00000004862	ENSMGAP00000000506
ENSLOCP00000021044	ENSMGAP00000013865
ENSLOCP00000012581	ENSMGAP00000004858
ENSLOCP00000020013	ENSMGAP00000013836
ENSLOCP00000014034	ENSMGAP00000011907
ENSLOCP00000018640	ENSMGAP00000001650
ENSLOCP00000012138	ENSMGAP00000016328
ENSLOCP00000016811	ENSMGAP00000005225
ENSLOCP00000010474	ENSMGAP00000015186
ENSLOCP00000015335	ENSMGAP00000012646
ENSLOCP00000005814	ENSMGAP00000008509
ENSLOCP00000020649	ENSMGAP00000019725
ENSLOCP00000016145	ENSMGAP00000009544
ENSLOCP00000016137	ENSMGAP00000009555
ENSLOCP00000012162	ENSMGAP00000013382
ENSLOCP00000010586	ENSMGAP00000004401
ENSLOCP00000012795	ENSMGAP00000008088
ENSLOCP00000020278	ENSMGAP00000019471
ENSLOCP00000000547	ENSMGAP00000009424
ENSLOCP00000011159	ENSMGAP00000015369
ENSLOCP00000022163	ENSMGAP00000013135
ENSLOCP00000016009	ENSMGAP00000002489
ENSLOCP00000005204	ENSMGAP00000007490
ENSLOCP00000009315	ENSMGAP00000012357
ENSLOCP00000002237	ENSMGAP00000011351
ENSLOCP00000003786	ENSMGAP00000013257
ENSLOCP00000020236	ENSMGAP00000011780
ENSLOCP00000017093	ENSMGAP00000004285
ENSLOCP00000014818	ENSMGAP00000009661
ENSLOCP00000004602	ENSMGAP00000019716
ENSLOCP00000013926	ENSMGAP00000010528
ENSLOCP00000013135	ENSMGAP00000008184
ENSLOCP00000010373	ENSMGAP00000013756
ENSLOCP00000022406	ENSMGAP00000016877
ENSLOCP00000007316	ENSMGAP00000007108
ENSLOCP00000020528	ENSMGAP00000014868
ENSLOCP00000016122	ENSMGAP00000008611
ENSLOCP00000009973	ENSMGAP00000011037
ENSLOCP00000012181	ENSMGAP00000015731
ENSLOCP00000012208	ENSMGAP00000015252
ENSLOCP00000010477	ENSMGAP00000004000
ENSLOCP00000002791	ENSMGAP00000008120
ENSLOCP00000011261	ENSMGAP00000013250
ENSLOCP00000008909	ENSMGAP00000010146
ENSLOCP00000007857	ENSMGAP00000002384
ENSLOCP00000021121	ENSMGAP00000013507
ENSLOCP00000011633	ENSMGAP00000001221
ENSLOCP00000012848	ENSMGAP00000008028
ENSLOCP00000003336	ENSMGAP00000012193
ENSLOCP00000019658	ENSMGAP00000014974
ENSLOCP00000014908	ENSMGAP00000009078
ENSLOCP00000017941	ENSMGAP00000007754
ENSLOCP00000018053	ENSMGAP00000000290
ENSLOCP00000015247	ENSMGAP00000003868
ENSLOCP00000005233	ENSMGAP00000002898
ENSLOCP00000016382	ENSMGAP00000001000
ENSLOCP00000006129	ENSMGAP00000006830
ENSLOCP00000018693	ENSMGAP00000013828
ENSLOCP00000021996	ENSMGAP00000019559
ENSLOCP00000017893	ENSMGAP00000006095
ENSLOCP00000003925	ENSMGAP00000004636
ENSLOCP00000020003	ENSMGAP00000013793
ENSLOCP00000012494	ENSMGAP00000012508
ENSLOCP00000007973	ENSMGAP00000000248
ENSLOCP00000000964	ENSMGAP00000001945
ENSLOCP00000002111	ENSMGAP00000000851
ENSLOCP00000002065	ENSMGAP00000002626
ENSLOCP00000003094	ENSMGAP00000006953
ENSLOCP00000007713	ENSMGAP00000009083
ENSLOCP00000011947	ENSMGAP00000003009
ENSLOCP00000007570	ENSMGAP00000001474
ENSLOCP00000008144	ENSMGAP00000004228
ENSLOCP00000020299	ENSMGAP00000018847
ENSLOCP00000006050	ENSMGAP00000011635
ENSLOCP00000014596	ENSMGAP00000004435
ENSLOCP00000010701	ENSMGAP00000009512
ENSLOCP00000014805	ENSMGAP00000003264
ENSLOCP00000002247	ENSMGAP00000004133
ENSLOCP00000006330	ENSMGAP00000015215
ENSLOCP00000015099	ENSMGAP00000011344
ENSLOCP00000000971	ENSMGAP00000015043
ENSLOCP00000002667	ENSMGAP00000016256
ENSLOCP00000017035	ENSMGAP00000006532
ENSLOCP00000010777	ENSMGAP00000010021
ENSLOCP00000004156	ENSMGAP00000015542
ENSLOCP00000008672	ENSMGAP00000008279
ENSLOCP00000014637	ENSMGAP00000012242
ENSLOCP00000003192	ENSMGAP00000001321
ENSLOCP00000005842	ENSMGAP00000010758
ENSLOCP00000010431	ENSMGAP00000006797
ENSLOCP00000019187	ENSMGAP00000009096
ENSLOCP00000019712	ENSMGAP00000011352
ENSLOCP00000004319	ENSMGAP00000000277
ENSLOCP00000022190	ENSMGAP00000016473
ENSLOCP00000013853	ENSMGAP00000016891
ENSLOCP00000015595	ENSMGAP00000005859
ENSLOCP00000020889	ENSMGAP00000014583
ENSLOCP00000018864	ENSMGAP00000009792
ENSLOCP00000004595	ENSMGAP00000007524
ENSLOCP00000015303	ENSMGAP00000003840
ENSLOCP00000004426	ENSMGAP00000005571
ENSLOCP00000009481	ENSMGAP00000001408
ENSLOCP00000017373	ENSMGAP00000012578
ENSLOCP00000007091	ENSMGAP00000001535
ENSLOCP00000015494	ENSMGAP00000005207
ENSLOCP00000010356	ENSMGAP00000013762
ENSLOCP00000015734	ENSMGAP00000006491
ENSLOCP00000005624	ENSMGAP00000003657
ENSLOCP00000003345	ENSMGAP00000000773
ENSLOCP00000018818	ENSMGAP00000011821
ENSLOCP00000008856	ENSMGAP00000000524
ENSLOCP00000015033	ENSMGAP00000004047
ENSLOCP00000002481	ENSMGAP00000005686
ENSLOCP00000004560	ENSMGAP00000009715
ENSLOCP00000012139	ENSMGAP00000017838
ENSLOCP00000000220	ENSMGAP00000006722
ENSLOCP00000012880	ENSMGAP00000002548
ENSLOCP00000000260	ENSMGAP00000015999
ENSLOCP00000014033	ENSMGAP00000007487
ENSLOCP00000020891	ENSMGAP00000014581
ENSLOCP00000011485	ENSMGAP00000015192
ENSLOCP00000013645	ENSMGAP00000006902
ENSLOCP00000013819	ENSMGAP00000015128
ENSLOCP00000001271	ENSMGAP00000001164
ENSLOCP00000016070	ENSMGAP00000003930
ENSLOCP00000017378	ENSMGAP00000005656
ENSLOCP00000019287	ENSMGAP00000011304
ENSLOCP00000010481	ENSMGAP00000000995
ENSLOCP00000002668	ENSMGAP00000008990
ENSLOCP00000004201	ENSMGAP00000006651
ENSLOCP00000002372	ENSMGAP00000018705
ENSLOCP00000020356	ENSMGAP00000019034
ENSLOCP00000013839	ENSMGAP00000013403
ENSLOCP00000017369	ENSMGAP00000005605
ENSLOCP00000002093	ENSMGAP00000003181
ENSLOCP00000006169	ENSMGAP00000004139
ENSLOCP00000002441	ENSMGAP00000012207
ENSLOCP00000008414	ENSMGAP00000011591
ENSLOCP00000015182	ENSMGAP00000005011
ENSLOCP00000001194	ENSMGAP00000000575
ENSLOCP00000006399	ENSMGAP00000004387
ENSLOCP00000021365	ENSMGAP00000005830
ENSLOCP00000018985	ENSMGAP00000013718
ENSLOCP00000021364	ENSMGAP00000013719
ENSLOCP00000016628	ENSMGAP00000012080
ENSLOCP00000019624	ENSMGAP00000006293
ENSLOCP00000015482	ENSMGAP00000000410
ENSLOCP00000013189	ENSMGAP00000007326
ENSLOCP00000001584	ENSMGAP00000004464
ENSLOCP00000001574	ENSMGAP00000008763
ENSLOCP00000003274	ENSMGAP00000012454
ENSLOCP00000007646	ENSMGAP00000009108
ENSLOCP00000017121	ENSMGAP00000005297
ENSLOCP00000014836	ENSMGAP00000001567
ENSLOCP00000007573	ENSMGAP00000017383
ENSLOCP00000011782	ENSMGAP00000013039
ENSLOCP00000010066	ENSMGAP00000001196
ENSLOCP00000004222	ENSMGAP00000006635
ENSLOCP00000000407	ENSMGAP00000006620
ENSLOCP00000001235	ENSMGAP00000003435
ENSLOCP00000012668	ENSMGAP00000008996
ENSLOCP00000015806	ENSMGAP00000008227
ENSLOCP00000020046	ENSMGAP00000011257
ENSLOCP00000016805	ENSMGAP00000002168
ENSLOCP00000014029	ENSMGAP00000008686
ENSLOCP00000014295	ENSMGAP00000010578
ENSLOCP00000001253	ENSMGAP00000009545
ENSLOCP00000014093	ENSMGAP00000013108
ENSLOCP00000007936	ENSMGAP00000009396
ENSLOCP00000006929	ENSMGAP00000019583
ENSLOCP00000008108	ENSMGAP00000013830
ENSLOCP00000004523	ENSMGAP00000005176
ENSLOCP00000002308	ENSMGAP00000005968
ENSLOCP00000007652	ENSMGAP00000010764
ENSLOCP00000007521	ENSMGAP00000009111
ENSLOCP00000003813	ENSMGAP00000013255
ENSLOCP00000004431	ENSMGAP00000003389
ENSLOCP00000008495	ENSMGAP00000007872
ENSLOCP00000021003	ENSMGAP00000014186
ENSLOCP00000016817	ENSMGAP00000005922
ENSLOCP00000004902	ENSMGAP00000002307
ENSLOCP00000011581	ENSMGAP00000007157
ENSLOCP00000009216	ENSMGAP00000009480
ENSLOCP00000008156	ENSMGAP00000009365
ENSLOCP00000006016	ENSMGAP00000008713
ENSLOCP00000011641	ENSMGAP00000012609
ENSLOCP00000009163	ENSMGAP00000001626
ENSLOCP00000011517	ENSMGAP00000002577
ENSLOCP00000001355	ENSMGAP00000013904
ENSLOCP00000006843	ENSMGAP00000005699
ENSLOCP00000006188	ENSMGAP00000015798
ENSLOCP00000015531	ENSMGAP00000003045
ENSLOCP00000005811	ENSMGAP00000016259
ENSLOCP00000011843	ENSMGAP00000002908
ENSLOCP00000016727	ENSMGAP00000005588
ENSLOCP00000012178	ENSMGAP00000006375
ENSLOCP00000019534	ENSMGAP00000018853
ENSLOCP00000003035	ENSMGAP00000013936
ENSLOCP00000020647	ENSMGAP00000005135
ENSLOCP00000007715	ENSMGAP00000004646
ENSLOCP00000005782	ENSMGAP00000004009
ENSLOCP00000010478	ENSMGAP00000013727
ENSLOCP00000006126	ENSMGAP00000006425
ENSLOCP00000020624	ENSMGAP00000014660
ENSLOCP00000020440	ENSMGAP00000002728
ENSLOCP00000016509	ENSMGAP00000008877
ENSLOCP00000016706	ENSMGAP00000012201
ENSLOCP00000020569	ENSMGAP00000014172
ENSLOCP00000019154	ENSMGAP00000002495
ENSLOCP00000009323	ENSMGAP00000005644
ENSLOCP00000018922	ENSMGAP00000001579
ENSLOCP00000016260	ENSMGAP00000013819
ENSLOCP00000002585	ENSMGAP00000011682
ENSLOCP00000003353	ENSMGAP00000012864
ENSLOCP00000006080	ENSMGAP00000010250
ENSLOCP00000010284	ENSMGAP00000010535
ENSLOCP00000016632	ENSMGAP00000012153
ENSLOCP00000012817	ENSMGAP00000013431
ENSLOCP00000006140	ENSMGAP00000010265
ENSLOCP00000020594	ENSMGAP00000014682
ENSLOCP00000004160	ENSMGAP00000007764
ENSLOCP00000018894	ENSMGAP00000001370
ENSLOCP00000004594	ENSMGAP00000009730
ENSLOCP00000014090	ENSMGAP00000010466
ENSLOCP00000015934	ENSMGAP00000012135
ENSLOCP00000020360	ENSMGAP00000010346
ENSLOCP00000001245	ENSMGAP00000000646
ENSLOCP00000007341	ENSMGAP00000018371
ENSLOCP00000019889	ENSMGAP00000001440
ENSLOCP00000010628	ENSMGAP00000014014
ENSLOCP00000019559	ENSMGAP00000008734
ENSLOCP00000009739	ENSMGAP00000015262
ENSLOCP00000013120	ENSMGAP00000008176
ENSLOCP00000014589	ENSMGAP00000016277
ENSLOCP00000008443	ENSMGAP00000003845
ENSLOCP00000002344	ENSMGAP00000018068
ENSLOCP00000004481	ENSMGAP00000005195
ENSLOCP00000004635	ENSMGAP00000006708
ENSLOCP00000018568	ENSMGAP00000002958
ENSLOCP00000003991	ENSMGAP00000007166
ENSLOCP00000004294	ENSMGAP00000009962
ENSLOCP00000011709	ENSMGAP00000005832
ENSLOCP00000015119	ENSMGAP00000005409
ENSLOCP00000001842	ENSMGAP00000009632
ENSLOCP00000019267	ENSMGAP00000003035
ENSLOCP00000018799	ENSMGAP00000013539
ENSLOCP00000002316	ENSMGAP00000010610
ENSLOCP00000001573	ENSMGAP00000012272
ENSLOCP00000017342	ENSMGAP00000012594
ENSLOCP00000018333	ENSMGAP00000005296
ENSLOCP00000007256	ENSMGAP00000015825
ENSLOCP00000019841	ENSMGAP00000000143
ENSLOCP00000009130	ENSMGAP00000012440
ENSLOCP00000013409	ENSMGAP00000009900
ENSLOCP00000001137	ENSMGAP00000015123
ENSLOCP00000021986	ENSMGAP00000016812
ENSLOCP00000022381	ENSMGAP00000001899
ENSLOCP00000003569	ENSMGAP00000009698
ENSLOCP00000009087	ENSMGAP00000010377
ENSLOCP00000006938	ENSMGAP00000015880
ENSLOCP00000017641	ENSMGAP00000017632
ENSLOCP00000005068	ENSMGAP00000004402
ENSLOCP00000008452	ENSMGAP00000003732
ENSLOCP00000013044	ENSMGAP00000001563
ENSLOCP00000015673	ENSMGAP00000002265
ENSLOCP00000003661	ENSMGAP00000013300
ENSLOCP00000017306	ENSMGAP00000012349
ENSLOCP00000011614	ENSMGAP00000018013
ENSLOCP00000014778	ENSMGAP00000012658
ENSLOCP00000015063	ENSMGAP00000011544
ENSLOCP00000019352	ENSMGAP00000011380
ENSLOCP00000008843	ENSMGAP00000010555
ENSLOCP00000001247	ENSMGAP00000010609
ENSLOCP00000014594	ENSMGAP00000011129
ENSLOCP00000002337	ENSMGAP00000005383
ENSLOCP00000021242	ENSMGAP00000014844
ENSLOCP00000013318	ENSMGAP00000013350
ENSLOCP00000020772	ENSMGAP00000007004
ENSLOCP00000015916	ENSMGAP00000012808
ENSLOCP00000014043	ENSMGAP00000015836
ENSLOCP00000018607	ENSMGAP00000014675
ENSLOCP00000005065	ENSMGAP00000019554
ENSLOCP00000007074	ENSMGAP00000001114
ENSLOCP00000011015	ENSMGAP00000013369
ENSLOCP00000012212	ENSMGAP00000013393
ENSLOCP00000013302	ENSMGAP00000003432
ENSLOCP00000016912	ENSMGAP00000008010
ENSLOCP00000015187	ENSMGAP00000005256
ENSLOCP00000004721	ENSMGAP00000004193
ENSLOCP00000003401	ENSMGAP00000008520
ENSLOCP00000005417	ENSMGAP00000015167
ENSLOCP00000012191	ENSMGAP00000009012
ENSLOCP00000006584	ENSMGAP00000014811
ENSLOCP00000019910	ENSMGAP00000013199
ENSLOCP00000014602	ENSMGAP00000004474
ENSLOCP00000016711	ENSMGAP00000005562
ENSLOCP00000009262	ENSMGAP00000000701
ENSLOCP00000004831	ENSMGAP00000008292
ENSLOCP00000014076	ENSMGAP00000008750
ENSLOCP00000014326	ENSMGAP00000005976
ENSLOCP00000009406	ENSMGAP00000014985
ENSLOCP00000019829	ENSMGAP00000002114
ENSLOCP00000012471	ENSMGAP00000003746
ENSLOCP00000016229	ENSMGAP00000007299
ENSLOCP00000020630	ENSMGAP00000009952
ENSLOCP00000006869	ENSMGAP00000015883
ENSLOCP00000009780	ENSMGAP00000012239
ENSLOCP00000013508	ENSMGAP00000013809
ENSLOCP00000021118	ENSMGAP00000014620
ENSLOCP00000004368	ENSMGAP00000006161
ENSLOCP00000014279	ENSMGAP00000005594
ENSLOCP00000012067	ENSMGAP00000012937
ENSLOCP00000020810	ENSMGAP00000014819
ENSLOCP00000003323	ENSMGAP00000000089
