ENSTNIP00000006282	ENSDARP00000122973
ENSTNIP00000017603	ENSDARP00000099015
ENSTNIP00000021353	ENSDARP00000000514
ENSTNIP00000010837	ENSDARP00000094800
ENSTNIP00000009204	ENSDARP00000092565
ENSTNIP00000011370	ENSDARP00000011656
ENSTNIP00000016276	ENSDARP00000004327
ENSTNIP00000011482	ENSDARP00000041514
ENSTNIP00000019188	ENSDARP00000124511
ENSTNIP00000009737	ENSDARP00000109449
ENSTNIP00000019780	ENSDARP00000007173
ENSTNIP00000022758	ENSDARP00000069028
ENSTNIP00000015758	ENSDARP00000111196
ENSTNIP00000018976	ENSDARP00000083401
ENSTNIP00000011377	ENSDARP00000088345
ENSTNIP00000018339	ENSDARP00000069454
ENSTNIP00000017324	ENSDARP00000126873
ENSTNIP00000018869	ENSDARP00000010373
ENSTNIP00000007546	ENSDARP00000106182
ENSTNIP00000018170	ENSDARP00000116316
ENSTNIP00000012091	ENSDARP00000064699
ENSTNIP00000014783	ENSDARP00000099285
ENSTNIP00000008454	ENSDARP00000102405
ENSTNIP00000008127	ENSDARP00000095194
ENSTNIP00000007236	ENSDARP00000058490
ENSTNIP00000007412	ENSDARP00000088098
ENSTNIP00000007146	ENSDARP00000106936
ENSTNIP00000019369	ENSDARP00000076751
ENSTNIP00000021559	ENSDARP00000010986
ENSTNIP00000005868	ENSDARP00000119262
ENSTNIP00000012399	ENSDARP00000076941
ENSTNIP00000018601	ENSDARP00000121443
ENSTNIP00000006607	ENSDARP00000107739
ENSTNIP00000003155	ENSDARP00000080000
ENSTNIP00000015965	ENSDARP00000043111
ENSTNIP00000022443	ENSDARP00000120378
ENSTNIP00000016530	ENSDARP00000123438
ENSTNIP00000021680	ENSDARP00000030796
ENSTNIP00000010159	ENSDARP00000064877
ENSTNIP00000011566	ENSDARP00000071920
ENSTNIP00000010964	ENSDARP00000098032
ENSTNIP00000010738	ENSDARP00000105520
ENSTNIP00000010714	ENSDARP00000017335
ENSTNIP00000010549	ENSDARP00000027914
ENSTNIP00000005295	ENSDARP00000057600
ENSTNIP00000014205	ENSDARP00000003700
ENSTNIP00000010985	ENSDARP00000065287
ENSTNIP00000012913	ENSDARP00000075641
ENSTNIP00000013420	ENSDARP00000061000
ENSTNIP00000018890	ENSDARP00000115792
ENSTNIP00000015270	ENSDARP00000102537
ENSTNIP00000012690	ENSDARP00000089741
ENSTNIP00000008017	ENSDARP00000015591
ENSTNIP00000020611	ENSDARP00000057265
ENSTNIP00000005562	ENSDARP00000078114
ENSTNIP00000014065	ENSDARP00000107576
ENSTNIP00000005651	ENSDARP00000018348
ENSTNIP00000011676	ENSDARP00000085041
ENSTNIP00000001720	ENSDARP00000109066
ENSTNIP00000020746	ENSDARP00000080329
ENSTNIP00000021269	ENSDARP00000006510
ENSTNIP00000013671	ENSDARP00000064143
ENSTNIP00000010284	ENSDARP00000058694
ENSTNIP00000018653	ENSDARP00000088265
ENSTNIP00000013533	ENSDARP00000091535
ENSTNIP00000016880	ENSDARP00000116716
ENSTNIP00000018790	ENSDARP00000001250
ENSTNIP00000015856	ENSDARP00000099444
ENSTNIP00000016982	ENSDARP00000108742
ENSTNIP00000003954	ENSDARP00000107250
ENSTNIP00000016085	ENSDARP00000071489
ENSTNIP00000006853	ENSDARP00000108925
ENSTNIP00000015843	ENSDARP00000127238
ENSTNIP00000021773	ENSDARP00000003298
ENSTNIP00000018226	ENSDARP00000105688
ENSTNIP00000022482	ENSDARP00000059375
ENSTNIP00000006581	ENSDARP00000102878
ENSTNIP00000013687	ENSDARP00000018669
ENSTNIP00000017409	ENSDARP00000006004
ENSTNIP00000020682	ENSDARP00000120032
ENSTNIP00000018994	ENSDARP00000120643
ENSTNIP00000020137	ENSDARP00000044875
ENSTNIP00000005466	ENSDARP00000124527
ENSTNIP00000015515	ENSDARP00000126517
ENSTNIP00000020124	ENSDARP00000028137
ENSTNIP00000013711	ENSDARP00000118803
ENSTNIP00000010275	ENSDARP00000010838
ENSTNIP00000019707	ENSDARP00000082532
ENSTNIP00000007766	ENSDARP00000091840
ENSTNIP00000021669	ENSDARP00000109536
ENSTNIP00000014685	ENSDARP00000106164
ENSTNIP00000001435	ENSDARP00000047815
ENSTNIP00000015041	ENSDARP00000076280
ENSTNIP00000007456	ENSDARP00000113024
ENSTNIP00000020602	ENSDARP00000103052
ENSTNIP00000003550	ENSDARP00000072251
ENSTNIP00000019274	ENSDARP00000020396
ENSTNIP00000016797	ENSDARP00000072602
ENSTNIP00000012051	ENSDARP00000033600
ENSTNIP00000013210	ENSDARP00000066255
ENSTNIP00000021846	ENSDARP00000057378
ENSTNIP00000011146	ENSDARP00000128573
ENSTNIP00000008686	ENSDARP00000093657
ENSTNIP00000023043	ENSDARP00000005640
ENSTNIP00000023044	ENSDARP00000038520
ENSTNIP00000005688	ENSDARP00000081013
ENSTNIP00000020106	ENSDARP00000105558
ENSTNIP00000018532	ENSDARP00000104354
ENSTNIP00000018405	ENSDARP00000097702
ENSTNIP00000003000	ENSDARP00000082020
ENSTNIP00000018484	ENSDARP00000117451
ENSTNIP00000019999	ENSDARP00000059657
ENSTNIP00000016471	ENSDARP00000107058
ENSTNIP00000011283	ENSDARP00000087095
ENSTNIP00000018033	ENSDARP00000091844
ENSTNIP00000020162	ENSDARP00000008927
ENSTNIP00000007475	ENSDARP00000082000
ENSTNIP00000005157	ENSDARP00000070818
ENSTNIP00000017341	ENSDARP00000105446
ENSTNIP00000017539	ENSDARP00000053239
ENSTNIP00000003183	ENSDARP00000077355
ENSTNIP00000010945	ENSDARP00000128128
ENSTNIP00000005111	ENSDARP00000091581
ENSTNIP00000016773	ENSDARP00000107695
ENSTNIP00000010654	ENSDARP00000074112
ENSTNIP00000009788	ENSDARP00000049706
ENSTNIP00000006107	ENSDARP00000011670
ENSTNIP00000020901	ENSDARP00000056204
ENSTNIP00000014614	ENSDARP00000092405
ENSTNIP00000019445	ENSDARP00000014497
ENSTNIP00000019062	ENSDARP00000109105
ENSTNIP00000003965	ENSDARP00000120432
ENSTNIP00000019363	ENSDARP00000081505
ENSTNIP00000002158	ENSDARP00000018627
ENSTNIP00000005740	ENSDARP00000096711
ENSTNIP00000007847	ENSDARP00000082092
ENSTNIP00000019053	ENSDARP00000002180
ENSTNIP00000013938	ENSDARP00000105810
ENSTNIP00000010915	ENSDARP00000084654
ENSTNIP00000017469	ENSDARP00000127185
ENSTNIP00000015912	ENSDARP00000098932
ENSTNIP00000004198	ENSDARP00000025226
ENSTNIP00000021347	ENSDARP00000001220
ENSTNIP00000021348	ENSDARP00000001845
ENSTNIP00000009759	ENSDARP00000120060
ENSTNIP00000006339	ENSDARP00000129613
ENSTNIP00000015019	ENSDARP00000126186
ENSTNIP00000009723	ENSDARP00000118448
ENSTNIP00000015117	ENSDARP00000067038
ENSTNIP00000013809	ENSDARP00000109564
ENSTNIP00000005886	ENSDARP00000027148
ENSTNIP00000019356	ENSDARP00000003120
ENSTNIP00000014144	ENSDARP00000110864
ENSTNIP00000015385	ENSDARP00000093676
ENSTNIP00000012607	ENSDARP00000035886
ENSTNIP00000020512	ENSDARP00000029733
ENSTNIP00000021200	ENSDARP00000007548
ENSTNIP00000011481	ENSDARP00000040408
ENSTNIP00000008279	ENSDARP00000107231
ENSTNIP00000007086	ENSDARP00000101283
ENSTNIP00000012455	ENSDARP00000108696
ENSTNIP00000016359	ENSDARP00000037620
ENSTNIP00000013662	ENSDARP00000118651
ENSTNIP00000020527	ENSDARP00000069996
ENSTNIP00000007077	ENSDARP00000110449
ENSTNIP00000005689	ENSDARP00000006123
ENSTNIP00000015017	ENSDARP00000109347
ENSTNIP00000017028	ENSDARP00000078070
ENSTNIP00000021790	ENSDARP00000120504
ENSTNIP00000012527	ENSDARP00000086731
ENSTNIP00000007132	ENSDARP00000109454
ENSTNIP00000011587	ENSDARP00000031794
ENSTNIP00000017099	ENSDARP00000098524
ENSTNIP00000013353	ENSDARP00000095385
ENSTNIP00000005813	ENSDARP00000051814
ENSTNIP00000015797	ENSDARP00000061202
ENSTNIP00000004088	ENSDARP00000070535
ENSTNIP00000007150	ENSDARP00000092482
ENSTNIP00000021902	ENSDARP00000010750
ENSTNIP00000005770	ENSDARP00000108599
ENSTNIP00000001356	ENSDARP00000039201
ENSTNIP00000019570	ENSDARP00000093207
ENSTNIP00000012238	ENSDARP00000102085
ENSTNIP00000022739	ENSDARP00000065867
ENSTNIP00000011809	ENSDARP00000085602
ENSTNIP00000017553	ENSDARP00000086756
ENSTNIP00000018723	ENSDARP00000123065
ENSTNIP00000013637	ENSDARP00000079851
ENSTNIP00000005733	ENSDARP00000005097
ENSTNIP00000021232	ENSDARP00000040306
ENSTNIP00000006991	ENSDARP00000123285
ENSTNIP00000018575	ENSDARP00000084804
ENSTNIP00000007105	ENSDARP00000077990
ENSTNIP00000016950	ENSDARP00000028523
ENSTNIP00000011921	ENSDARP00000099372
ENSTNIP00000018968	ENSDARP00000083314
ENSTNIP00000007443	ENSDARP00000057695
ENSTNIP00000012733	ENSDARP00000107862
ENSTNIP00000005343	ENSDARP00000127746
ENSTNIP00000014559	ENSDARP00000129550
ENSTNIP00000010007	ENSDARP00000110821
ENSTNIP00000021580	ENSDARP00000023970
ENSTNIP00000012203	ENSDARP00000101817
ENSTNIP00000009231	ENSDARP00000128952
ENSTNIP00000019794	ENSDARP00000099798
ENSTNIP00000003221	ENSDARP00000067426
ENSTNIP00000018345	ENSDARP00000103910
ENSTNIP00000014172	ENSDARP00000100272
ENSTNIP00000016642	ENSDARP00000040864
ENSTNIP00000011768	ENSDARP00000005394
ENSTNIP00000022316	ENSDARP00000018030
ENSTNIP00000019604	ENSDARP00000106053
ENSTNIP00000016261	ENSDARP00000126238
ENSTNIP00000022623	ENSDARP00000127340
ENSTNIP00000011396	ENSDARP00000016115
ENSTNIP00000018676	ENSDARP00000102690
ENSTNIP00000011926	ENSDARP00000080616
ENSTNIP00000013898	ENSDARP00000094107
ENSTNIP00000021910	ENSDARP00000107312
ENSTNIP00000007827	ENSDARP00000038769
ENSTNIP00000003952	ENSDARP00000039362
ENSTNIP00000015235	ENSDARP00000067481
ENSTNIP00000002695	ENSDARP00000080991
ENSTNIP00000014186	ENSDARP00000110489
ENSTNIP00000020066	ENSDARP00000117288
ENSTNIP00000005473	ENSDARP00000100481
ENSTNIP00000011576	ENSDARP00000066835
ENSTNIP00000009019	ENSDARP00000069223
ENSTNIP00000009854	ENSDARP00000102802
ENSTNIP00000009893	ENSDARP00000015105
ENSTNIP00000022616	ENSDARP00000127247
ENSTNIP00000019183	ENSDARP00000015887
ENSTNIP00000007979	ENSDARP00000030237
ENSTNIP00000019914	ENSDARP00000043750
ENSTNIP00000014417	ENSDARP00000040329
ENSTNIP00000013288	ENSDARP00000064865
ENSTNIP00000018364	ENSDARP00000088460
ENSTNIP00000020208	ENSDARP00000073671
ENSTNIP00000019233	ENSDARP00000111728
ENSTNIP00000022659	ENSDARP00000011199
ENSTNIP00000016595	ENSDARP00000075790
ENSTNIP00000017228	ENSDARP00000089411
ENSTNIP00000020970	ENSDARP00000117985
ENSTNIP00000010441	ENSDARP00000016880
ENSTNIP00000012237	ENSDARP00000102961
ENSTNIP00000010026	ENSDARP00000110587
ENSTNIP00000006922	ENSDARP00000034536
ENSTNIP00000022113	ENSDARP00000055018
ENSTNIP00000009853	ENSDARP00000110466
ENSTNIP00000013684	ENSDARP00000122142
ENSTNIP00000003189	ENSDARP00000083511
ENSTNIP00000014618	ENSDARP00000071887
ENSTNIP00000009891	ENSDARP00000098883
ENSTNIP00000017304	ENSDARP00000072488
ENSTNIP00000008901	ENSDARP00000037263
ENSTNIP00000012688	ENSDARP00000073383
ENSTNIP00000009220	ENSDARP00000043773
ENSTNIP00000008118	ENSDARP00000127377
ENSTNIP00000011346	ENSDARP00000058563
ENSTNIP00000012739	ENSDARP00000128121
ENSTNIP00000010977	ENSDARP00000099429
ENSTNIP00000004646	ENSDARP00000099673
ENSTNIP00000013522	ENSDARP00000107521
ENSTNIP00000000701	ENSDARP00000084850
ENSTNIP00000022441	ENSDARP00000027389
ENSTNIP00000014508	ENSDARP00000023774
ENSTNIP00000012837	ENSDARP00000099839
ENSTNIP00000019372	ENSDARP00000126734
ENSTNIP00000014543	ENSDARP00000105648
ENSTNIP00000008276	ENSDARP00000054362
ENSTNIP00000021142	ENSDARP00000052178
ENSTNIP00000013437	ENSDARP00000100792
ENSTNIP00000012328	ENSDARP00000082230
ENSTNIP00000001417	ENSDARP00000060967
ENSTNIP00000021338	ENSDARP00000108088
ENSTNIP00000003411	ENSDARP00000096930
ENSTNIP00000007124	ENSDARP00000078717
ENSTNIP00000001548	ENSDARP00000083858
ENSTNIP00000008754	ENSDARP00000025816
ENSTNIP00000008449	ENSDARP00000100331
ENSTNIP00000017894	ENSDARP00000065335
ENSTNIP00000003213	ENSDARP00000112986
ENSTNIP00000016784	ENSDARP00000073126
ENSTNIP00000008136	ENSDARP00000116593
ENSTNIP00000018557	ENSDARP00000104417
ENSTNIP00000008316	ENSDARP00000033367
ENSTNIP00000020471	ENSDARP00000110231
ENSTNIP00000016083	ENSDARP00000010867
ENSTNIP00000019504	ENSDARP00000095377
ENSTNIP00000010434	ENSDARP00000107383
ENSTNIP00000012109	ENSDARP00000048849
ENSTNIP00000015966	ENSDARP00000006892
ENSTNIP00000012495	ENSDARP00000031816
ENSTNIP00000010149	ENSDARP00000094886
ENSTNIP00000014370	ENSDARP00000122870
ENSTNIP00000015548	ENSDARP00000103179
ENSTNIP00000007845	ENSDARP00000109877
ENSTNIP00000001893	ENSDARP00000110400
ENSTNIP00000018828	ENSDARP00000114835
ENSTNIP00000017999	ENSDARP00000105829
ENSTNIP00000022101	ENSDARP00000074254
ENSTNIP00000021529	ENSDARP00000024632
ENSTNIP00000003941	ENSDARP00000055258
ENSTNIP00000001210	ENSDARP00000063018
ENSTNIP00000018580	ENSDARP00000099308
ENSTNIP00000001288	ENSDARP00000088524
ENSTNIP00000014827	ENSDARP00000074109
ENSTNIP00000012671	ENSDARP00000009966
ENSTNIP00000016949	ENSDARP00000020399
ENSTNIP00000010750	ENSDARP00000056539
ENSTNIP00000010220	ENSDARP00000011545
ENSTNIP00000012750	ENSDARP00000116328
ENSTNIP00000017865	ENSDARP00000080601
ENSTNIP00000002793	ENSDARP00000079110
ENSTNIP00000011068	ENSDARP00000086504
ENSTNIP00000007522	ENSDARP00000068636
ENSTNIP00000020665	ENSDARP00000125770
ENSTNIP00000021290	ENSDARP00000003684
ENSTNIP00000006625	ENSDARP00000120649
ENSTNIP00000005952	ENSDARP00000096921
ENSTNIP00000016183	ENSDARP00000031168
ENSTNIP00000004766	ENSDARP00000036714
ENSTNIP00000015100	ENSDARP00000012229
ENSTNIP00000017190	ENSDARP00000107651
ENSTNIP00000018249	ENSDARP00000003802
ENSTNIP00000010257	ENSDARP00000078529
ENSTNIP00000020284	ENSDARP00000048448
ENSTNIP00000015343	ENSDARP00000044948
ENSTNIP00000011750	ENSDARP00000113554
ENSTNIP00000015198	ENSDARP00000045839
ENSTNIP00000015303	ENSDARP00000126108
ENSTNIP00000013581	ENSDARP00000120838
ENSTNIP00000018418	ENSDARP00000110215
ENSTNIP00000007918	ENSDARP00000009087
ENSTNIP00000015055	ENSDARP00000044213
ENSTNIP00000011887	ENSDARP00000042236
ENSTNIP00000008519	ENSDARP00000072492
ENSTNIP00000012214	ENSDARP00000070552
ENSTNIP00000004577	ENSDARP00000097884
ENSTNIP00000011980	ENSDARP00000101040
ENSTNIP00000005607	ENSDARP00000100767
ENSTNIP00000003731	ENSDARP00000122022
ENSTNIP00000017723	ENSDARP00000086210
ENSTNIP00000015304	ENSDARP00000096421
ENSTNIP00000014652	ENSDARP00000024330
ENSTNIP00000013413	ENSDARP00000071442
ENSTNIP00000012050	ENSDARP00000008246
ENSTNIP00000010562	ENSDARP00000046647
ENSTNIP00000013403	ENSDARP00000013110
ENSTNIP00000016458	ENSDARP00000113861
ENSTNIP00000018016	ENSDARP00000043659
ENSTNIP00000009931	ENSDARP00000040433
ENSTNIP00000019536	ENSDARP00000115777
ENSTNIP00000017018	ENSDARP00000069981
ENSTNIP00000007325	ENSDARP00000056656
ENSTNIP00000016564	ENSDARP00000016035
ENSTNIP00000008337	ENSDARP00000005181
ENSTNIP00000012798	ENSDARP00000100503
ENSTNIP00000002957	ENSDARP00000113359
ENSTNIP00000019385	ENSDARP00000059045
ENSTNIP00000011114	ENSDARP00000110046
ENSTNIP00000012765	ENSDARP00000053156
ENSTNIP00000008159	ENSDARP00000115127
ENSTNIP00000011307	ENSDARP00000122959
ENSTNIP00000015367	ENSDARP00000007794
ENSTNIP00000019198	ENSDARP00000005003
ENSTNIP00000005721	ENSDARP00000121117
ENSTNIP00000002852	ENSDARP00000111688
ENSTNIP00000005136	ENSDARP00000094999
ENSTNIP00000019486	ENSDARP00000127300
ENSTNIP00000009588	ENSDARP00000102314
ENSTNIP00000005777	ENSDARP00000075946
ENSTNIP00000019558	ENSDARP00000108537
ENSTNIP00000005094	ENSDARP00000036397
ENSTNIP00000011530	ENSDARP00000114430
ENSTNIP00000001019	ENSDARP00000111843
ENSTNIP00000017656	ENSDARP00000118192
ENSTNIP00000012706	ENSDARP00000116341
ENSTNIP00000021371	ENSDARP00000125987
ENSTNIP00000011798	ENSDARP00000008781
ENSTNIP00000005818	ENSDARP00000125009
ENSTNIP00000016995	ENSDARP00000070439
ENSTNIP00000015789	ENSDARP00000013205
ENSTNIP00000012041	ENSDARP00000100853
ENSTNIP00000015571	ENSDARP00000092248
ENSTNIP00000022860	ENSDARP00000007528
ENSTNIP00000012977	ENSDARP00000096377
ENSTNIP00000021519	ENSDARP00000109111
ENSTNIP00000015583	ENSDARP00000109087
ENSTNIP00000006517	ENSDARP00000106396
ENSTNIP00000005759	ENSDARP00000086825
ENSTNIP00000014978	ENSDARP00000063424
ENSTNIP00000008560	ENSDARP00000102523
ENSTNIP00000009935	ENSDARP00000122521
ENSTNIP00000018780	ENSDARP00000005794
ENSTNIP00000015968	ENSDARP00000095027
ENSTNIP00000020598	ENSDARP00000041745
ENSTNIP00000016077	ENSDARP00000105475
ENSTNIP00000006273	ENSDARP00000048049
ENSTNIP00000006314	ENSDARP00000105367
ENSTNIP00000004984	ENSDARP00000095008
ENSTNIP00000005811	ENSDARP00000016840
ENSTNIP00000016197	ENSDARP00000055877
ENSTNIP00000007378	ENSDARP00000023892
ENSTNIP00000006304	ENSDARP00000090716
ENSTNIP00000021349	ENSDARP00000001256
ENSTNIP00000022897	ENSDARP00000055324
ENSTNIP00000004781	ENSDARP00000119947
ENSTNIP00000002117	ENSDARP00000066996
ENSTNIP00000006546	ENSDARP00000084180
ENSTNIP00000009948	ENSDARP00000100066
ENSTNIP00000003269	ENSDARP00000118141
ENSTNIP00000008570	ENSDARP00000078364
ENSTNIP00000008341	ENSDARP00000104146
ENSTNIP00000009670	ENSDARP00000008633
ENSTNIP00000016947	ENSDARP00000072718
ENSTNIP00000015451	ENSDARP00000116145
ENSTNIP00000007550	ENSDARP00000034848
ENSTNIP00000009286	ENSDARP00000026731
ENSTNIP00000021105	ENSDARP00000075586
ENSTNIP00000005140	ENSDARP00000116386
ENSTNIP00000015038	ENSDARP00000017982
ENSTNIP00000006028	ENSDARP00000002886
ENSTNIP00000007084	ENSDARP00000073257
ENSTNIP00000016991	ENSDARP00000097796
ENSTNIP00000017720	ENSDARP00000055860
ENSTNIP00000020635	ENSDARP00000049625
ENSTNIP00000010058	ENSDARP00000115879
ENSTNIP00000001178	ENSDARP00000111525
ENSTNIP00000019916	ENSDARP00000109976
ENSTNIP00000015694	ENSDARP00000098383
ENSTNIP00000003579	ENSDARP00000081773
ENSTNIP00000020905	ENSDARP00000085316
ENSTNIP00000021415	ENSDARP00000107876
ENSTNIP00000003291	ENSDARP00000046267
ENSTNIP00000009847	ENSDARP00000020101
ENSTNIP00000022298	ENSDARP00000128045
ENSTNIP00000012208	ENSDARP00000107791
ENSTNIP00000009467	ENSDARP00000129301
ENSTNIP00000023035	ENSDARP00000073739
ENSTNIP00000009292	ENSDARP00000056440
ENSTNIP00000011732	ENSDARP00000114288
ENSTNIP00000005386	ENSDARP00000117438
ENSTNIP00000007398	ENSDARP00000049447
ENSTNIP00000005406	ENSDARP00000006117
ENSTNIP00000008876	ENSDARP00000092718
ENSTNIP00000011120	ENSDARP00000015934
ENSTNIP00000005007	ENSDARP00000112180
ENSTNIP00000003759	ENSDARP00000125872
ENSTNIP00000017325	ENSDARP00000007817
ENSTNIP00000018328	ENSDARP00000120777
ENSTNIP00000007607	ENSDARP00000086213
ENSTNIP00000022234	ENSDARP00000089684
ENSTNIP00000004776	ENSDARP00000054760
ENSTNIP00000015455	ENSDARP00000114415
ENSTNIP00000005807	ENSDARP00000022826
ENSTNIP00000014576	ENSDARP00000060204
ENSTNIP00000004729	ENSDARP00000101619
ENSTNIP00000015265	ENSDARP00000007503
ENSTNIP00000005990	ENSDARP00000103737
ENSTNIP00000015212	ENSDARP00000060431
ENSTNIP00000020418	ENSDARP00000109028
ENSTNIP00000001136	ENSDARP00000065292
ENSTNIP00000017516	ENSDARP00000041190
ENSTNIP00000022638	ENSDARP00000011595
ENSTNIP00000015729	ENSDARP00000097305
ENSTNIP00000018882	ENSDARP00000122083
ENSTNIP00000007967	ENSDARP00000045252
ENSTNIP00000011286	ENSDARP00000117448
ENSTNIP00000017689	ENSDARP00000067632
ENSTNIP00000007068	ENSDARP00000014272
ENSTNIP00000020764	ENSDARP00000104154
ENSTNIP00000021921	ENSDARP00000077293
ENSTNIP00000010262	ENSDARP00000124707
ENSTNIP00000010745	ENSDARP00000057020
ENSTNIP00000000260	ENSDARP00000117773
ENSTNIP00000008740	ENSDARP00000039222
ENSTNIP00000011797	ENSDARP00000116667
ENSTNIP00000012450	ENSDARP00000104870
ENSTNIP00000004229	ENSDARP00000062744
ENSTNIP00000005650	ENSDARP00000022653
ENSTNIP00000016894	ENSDARP00000006008
ENSTNIP00000022620	ENSDARP00000078992
ENSTNIP00000007363	ENSDARP00000039499
ENSTNIP00000010602	ENSDARP00000124635
ENSTNIP00000010436	ENSDARP00000101252
ENSTNIP00000020922	ENSDARP00000081878
ENSTNIP00000014334	ENSDARP00000112275
ENSTNIP00000005729	ENSDARP00000102894
ENSTNIP00000016334	ENSDARP00000129762
ENSTNIP00000008382	ENSDARP00000063620
ENSTNIP00000019376	ENSDARP00000009285
ENSTNIP00000013641	ENSDARP00000091063
ENSTNIP00000002891	ENSDARP00000024741
ENSTNIP00000016640	ENSDARP00000101301
ENSTNIP00000010710	ENSDARP00000100099
ENSTNIP00000022253	ENSDARP00000038227
ENSTNIP00000019077	ENSDARP00000112899
ENSTNIP00000005156	ENSDARP00000107674
ENSTNIP00000009834	ENSDARP00000094201
ENSTNIP00000002560	ENSDARP00000058456
ENSTNIP00000012034	ENSDARP00000032332
ENSTNIP00000006394	ENSDARP00000103488
ENSTNIP00000010121	ENSDARP00000083553
ENSTNIP00000005180	ENSDARP00000021109
ENSTNIP00000008259	ENSDARP00000072202
ENSTNIP00000001179	ENSDARP00000070414
ENSTNIP00000021287	ENSDARP00000100074
ENSTNIP00000004986	ENSDARP00000105869
ENSTNIP00000006309	ENSDARP00000092501
ENSTNIP00000003847	ENSDARP00000070816
ENSTNIP00000004334	ENSDARP00000107071
ENSTNIP00000018642	ENSDARP00000012550
ENSTNIP00000010839	ENSDARP00000082946
ENSTNIP00000005132	ENSDARP00000100793
ENSTNIP00000020266	ENSDARP00000128651
ENSTNIP00000022362	ENSDARP00000002535
ENSTNIP00000005494	ENSDARP00000004016
ENSTNIP00000010666	ENSDARP00000017784
ENSTNIP00000019422	ENSDARP00000053541
ENSTNIP00000007619	ENSDARP00000056034
ENSTNIP00000021784	ENSDARP00000106718
ENSTNIP00000004680	ENSDARP00000074805
ENSTNIP00000015973	ENSDARP00000087012
ENSTNIP00000007897	ENSDARP00000128811
ENSTNIP00000010034	ENSDARP00000036408
ENSTNIP00000016686	ENSDARP00000088421
ENSTNIP00000005488	ENSDARP00000027372
ENSTNIP00000011705	ENSDARP00000068099
ENSTNIP00000020880	ENSDARP00000053368
ENSTNIP00000012137	ENSDARP00000017792
ENSTNIP00000010039	ENSDARP00000109783
ENSTNIP00000014838	ENSDARP00000115947
ENSTNIP00000000792	ENSDARP00000062849
ENSTNIP00000008379	ENSDARP00000087587
ENSTNIP00000005317	ENSDARP00000098975
ENSTNIP00000007763	ENSDARP00000055431
ENSTNIP00000008722	ENSDARP00000072361
ENSTNIP00000008358	ENSDARP00000007739
ENSTNIP00000014147	ENSDARP00000092712
ENSTNIP00000010359	ENSDARP00000075209
ENSTNIP00000008632	ENSDARP00000053025
ENSTNIP00000020797	ENSDARP00000122314
ENSTNIP00000021607	ENSDARP00000005715
ENSTNIP00000013218	ENSDARP00000004404
ENSTNIP00000007937	ENSDARP00000124389
ENSTNIP00000009745	ENSDARP00000099988
ENSTNIP00000021901	ENSDARP00000028305
ENSTNIP00000015372	ENSDARP00000074011
ENSTNIP00000000519	ENSDARP00000122053
ENSTNIP00000010350	ENSDARP00000074560
ENSTNIP00000016541	ENSDARP00000048482
ENSTNIP00000013738	ENSDARP00000090636
ENSTNIP00000005241	ENSDARP00000022576
ENSTNIP00000011342	ENSDARP00000069627
ENSTNIP00000017089	ENSDARP00000112458
ENSTNIP00000001011	ENSDARP00000038731
ENSTNIP00000012920	ENSDARP00000067592
ENSTNIP00000021694	ENSDARP00000090236
ENSTNIP00000012466	ENSDARP00000104888
ENSTNIP00000013706	ENSDARP00000102287
ENSTNIP00000013316	ENSDARP00000094295
ENSTNIP00000021660	ENSDARP00000005823
ENSTNIP00000003675	ENSDARP00000007963
ENSTNIP00000009880	ENSDARP00000033139
ENSTNIP00000014616	ENSDARP00000106778
ENSTNIP00000012075	ENSDARP00000117581
ENSTNIP00000014484	ENSDARP00000072961
ENSTNIP00000013263	ENSDARP00000113657
ENSTNIP00000000183	ENSDARP00000102992
ENSTNIP00000020252	ENSDARP00000008265
ENSTNIP00000021824	ENSDARP00000033245
ENSTNIP00000000614	ENSDARP00000072648
ENSTNIP00000000899	ENSDARP00000018482
ENSTNIP00000013864	ENSDARP00000076534
ENSTNIP00000012985	ENSDARP00000070582
ENSTNIP00000019521	ENSDARP00000055865
ENSTNIP00000012291	ENSDARP00000031864
ENSTNIP00000009200	ENSDARP00000052858
ENSTNIP00000006601	ENSDARP00000123791
ENSTNIP00000014074	ENSDARP00000094762
ENSTNIP00000013114	ENSDARP00000112668
ENSTNIP00000006533	ENSDARP00000081457
ENSTNIP00000020231	ENSDARP00000099007
ENSTNIP00000003254	ENSDARP00000069477
ENSTNIP00000000685	ENSDARP00000084112
ENSTNIP00000012693	ENSDARP00000123533
ENSTNIP00000010309	ENSDARP00000014964
ENSTNIP00000006594	ENSDARP00000014516
ENSTNIP00000012632	ENSDARP00000104304
ENSTNIP00000009057	ENSDARP00000008736
ENSTNIP00000008231	ENSDARP00000110729
ENSTNIP00000013324	ENSDARP00000110301
ENSTNIP00000009419	ENSDARP00000085864
ENSTNIP00000010652	ENSDARP00000086159
ENSTNIP00000005023	ENSDARP00000086435
ENSTNIP00000011455	ENSDARP00000105775
ENSTNIP00000021191	ENSDARP00000108884
ENSTNIP00000007211	ENSDARP00000039266
ENSTNIP00000013254	ENSDARP00000080083
ENSTNIP00000001322	ENSDARP00000068915
ENSTNIP00000020830	ENSDARP00000017163
ENSTNIP00000004395	ENSDARP00000025863
ENSTNIP00000011463	ENSDARP00000003766
ENSTNIP00000009237	ENSDARP00000100205
ENSTNIP00000012115	ENSDARP00000124971
ENSTNIP00000010777	ENSDARP00000113963
ENSTNIP00000011007	ENSDARP00000116175
