ENSMGAP00000004951	ENSP00000262384
ENSMGAP00000015714	ENSP00000283148
ENSMGAP00000013543	ENSP00000298351
ENSMGAP00000008204	ENSP00000355800
ENSMGAP00000011335	ENSP00000259746
ENSMGAP00000004282	ENSP00000384319
ENSMGAP00000001129	ENSP00000287713
ENSMGAP00000013198	ENSP00000355210
ENSMGAP00000009573	ENSP00000355895
ENSMGAP00000013680	ENSP00000337053
ENSMGAP00000001625	ENSP00000444617
ENSMGAP00000015554	ENSP00000369400
ENSMGAP00000015156	ENSP00000345667
ENSMGAP00000003648	ENSP00000324856
ENSMGAP00000002649	ENSP00000158166
ENSMGAP00000003990	ENSP00000312741
ENSMGAP00000011725	ENSP00000260386
ENSMGAP00000015633	ENSP00000371073
ENSMGAP00000015235	ENSP00000420686
ENSMGAP00000003294	ENSP00000367032
ENSMGAP00000014296	ENSP00000358092
ENSMGAP00000003528	ENSP00000368761
ENSMGAP00000012584	ENSP00000360025
ENSMGAP00000010532	ENSP00000364407
ENSMGAP00000011839	ENSP00000407613
ENSMGAP00000008310	ENSP00000376071
ENSMGAP00000010161	ENSP00000223145
ENSMGAP00000002279	ENSP00000347721
ENSMGAP00000002325	ENSP00000333292
ENSMGAP00000004002	ENSP00000271064
ENSMGAP00000014720	ENSP00000259782
ENSMGAP00000013230	ENSP00000349490
ENSMGAP00000005107	ENSP00000307971
ENSMGAP00000008323	ENSP00000348089
ENSMGAP00000001619	ENSP00000334675
ENSMGAP00000015593	ENSP00000288985
ENSMGAP00000008039	ENSP00000359264
ENSMGAP00000006878	ENSP00000359130
ENSMGAP00000011855	ENSP00000368648
ENSMGAP00000016063	ENSP00000315386
ENSMGAP00000015292	ENSP00000295588
ENSMGAP00000001036	ENSP00000264731
ENSMGAP00000002527	ENSP00000311427
ENSMGAP00000013031	ENSP00000206595
ENSMGAP00000007590	ENSP00000328547
ENSMGAP00000011708	ENSP00000273962
ENSMGAP00000015210	ENSP00000312356
ENSMGAP00000016936	ENSP00000304895
ENSMGAP00000015750	ENSP00000365016
ENSMGAP00000006631	ENSP00000361202
ENSMGAP00000013867	ENSP00000356940
ENSMGAP00000006700	ENSP00000376776
ENSMGAP00000009153	ENSP00000423600
ENSMGAP00000009971	ENSP00000249442
ENSMGAP00000015345	ENSP00000284981
ENSMGAP00000012125	ENSP00000363270
ENSMGAP00000011827	ENSP00000317955
ENSMGAP00000010593	ENSP00000282412
ENSMGAP00000009112	ENSP00000284476
ENSMGAP00000003197	ENSP00000267889
ENSMGAP00000013437	ENSP00000312942
ENSMGAP00000000409	ENSP00000392617
ENSMGAP00000010988	ENSP00000378414
ENSMGAP00000000904	ENSP00000349547
ENSMGAP00000003356	ENSP00000347443
ENSMGAP00000010665	ENSP00000443021
ENSMGAP00000001935	ENSP00000349677
ENSMGAP00000004733	ENSP00000453293
ENSMGAP00000000345	ENSP00000315136
ENSMGAP00000008113	ENSP00000259698
ENSMGAP00000001833	ENSP00000400099
ENSMGAP00000019484	ENSP00000334002
ENSMGAP00000008083	ENSP00000328875
ENSMGAP00000012291	ENSP00000328998
ENSMGAP00000013157	ENSP00000261475
ENSMGAP00000004114	ENSP00000355991
ENSMGAP00000004499	ENSP00000358716
ENSMGAP00000010002	ENSP00000265272
ENSMGAP00000014518	ENSP00000400459
ENSMGAP00000011278	ENSP00000306477
ENSMGAP00000019266	ENSP00000313890
ENSMGAP00000005072	ENSP00000364912
ENSMGAP00000015132	ENSP00000358262
ENSMGAP00000003271	ENSP00000283131
ENSMGAP00000007168	ENSP00000360163
ENSMGAP00000006994	ENSP00000326671
ENSMGAP00000016490	ENSP00000366306
ENSMGAP00000016666	ENSP00000377871
ENSMGAP00000016759	ENSP00000302978
ENSMGAP00000002843	ENSP00000333769
ENSMGAP00000001636	ENSP00000290401
ENSMGAP00000012493	ENSP00000265431
ENSMGAP00000001307	ENSP00000307508
ENSMGAP00000008022	ENSP00000367197
ENSMGAP00000001122	ENSP00000416606
ENSMGAP00000005806	ENSP00000256592
ENSMGAP00000019273	ENSP00000462435
ENSMGAP00000004318	ENSP00000317595
ENSMGAP00000001399	ENSP00000353785
ENSMGAP00000006260	ENSP00000361027
ENSMGAP00000011660	ENSP00000473496
ENSMGAP00000001172	ENSP00000362918
ENSMGAP00000009622	ENSP00000376384
ENSMGAP00000005153	ENSP00000274532
ENSMGAP00000006602	ENSP00000217289
ENSMGAP00000004653	ENSP00000345968
ENSMGAP00000005637	ENSP00000331201
ENSMGAP00000018229	ENSP00000298125
ENSMGAP00000004778	ENSP00000233055
ENSMGAP00000008512	ENSP00000359506
ENSMGAP00000002472	ENSP00000371051
ENSMGAP00000003338	ENSP00000296575
ENSMGAP00000017600	ENSP00000366307
ENSMGAP00000003901	ENSP00000343629
ENSMGAP00000004412	ENSP00000308275
ENSMGAP00000004420	ENSP00000312834
ENSMGAP00000003634	ENSP00000246912
ENSMGAP00000008741	ENSP00000370625
ENSMGAP00000007191	ENSP00000263331
ENSMGAP00000018965	ENSP00000285670
ENSMGAP00000001504	ENSP00000349359
ENSMGAP00000013258	ENSP00000356437
ENSMGAP00000007288	ENSP00000310880
ENSMGAP00000013178	ENSP00000475434
ENSMGAP00000019100	ENSP00000245323
ENSMGAP00000000635	ENSP00000204961
ENSMGAP00000012653	ENSP00000310521
ENSMGAP00000001832	ENSP00000264454
ENSMGAP00000016476	ENSP00000343428
ENSMGAP00000016918	ENSP00000375894
ENSMGAP00000003350	ENSP00000313021
ENSMGAP00000014739	ENSP00000349458
ENSMGAP00000001001	ENSP00000302648
ENSMGAP00000003033	ENSP00000409007
ENSMGAP00000005794	ENSP00000363836
ENSMGAP00000014674	ENSP00000262043
ENSMGAP00000013101	ENSP00000216024
ENSMGAP00000012489	ENSP00000419471
ENSMGAP00000016613	ENSP00000358576
ENSMGAP00000017446	ENSP00000367527
ENSMGAP00000011508	ENSP00000355185
ENSMGAP00000008285	ENSP00000323584
ENSMGAP00000016540	ENSP00000240587
ENSMGAP00000016502	ENSP00000360552
ENSMGAP00000000765	ENSP00000357836
ENSMGAP00000014890	ENSP00000233575
ENSMGAP00000002153	ENSP00000363386
ENSMGAP00000016778	ENSP00000355204
ENSMGAP00000013750	ENSP00000395232
ENSMGAP00000001256	ENSP00000363419
ENSMGAP00000003167	ENSP00000440273
ENSMGAP00000005164	ENSP00000345492
ENSMGAP00000016931	ENSP00000326238
ENSMGAP00000009162	ENSP00000354947
ENSMGAP00000003427	ENSP00000346634
ENSMGAP00000015539	ENSP00000369009
ENSMGAP00000010191	ENSP00000286719
ENSMGAP00000015545	ENSP00000354871
ENSMGAP00000011972	ENSP00000283179
ENSMGAP00000011984	ENSP00000302811
ENSMGAP00000016564	ENSP00000257068
ENSMGAP00000005117	ENSP00000335628
ENSMGAP00000003808	ENSP00000343054
ENSMGAP00000002286	ENSP00000266022
ENSMGAP00000002012	ENSP00000264033
ENSMGAP00000000216	ENSP00000284288
ENSMGAP00000016127	ENSP00000227638
ENSMGAP00000008139	ENSP00000379183
ENSMGAP00000006508	ENSP00000427108
ENSMGAP00000007929	ENSP00000442308
ENSMGAP00000006078	ENSP00000442788
ENSMGAP00000018575	ENSP00000278505
ENSMGAP00000005641	ENSP00000304642
ENSMGAP00000012850	ENSP00000395249
ENSMGAP00000001442	ENSP00000296785
ENSMGAP00000004252	ENSP00000305071
ENSMGAP00000006327	ENSP00000367631
ENSMGAP00000011881	ENSP00000295731
ENSMGAP00000012510	ENSP00000273183
ENSMGAP00000010204	ENSP00000413929
ENSMGAP00000000093	ENSP00000368710
ENSMGAP00000010590	ENSP00000340578
ENSMGAP00000018685	ENSP00000418001
ENSMGAP00000002415	ENSP00000476119
ENSMGAP00000011255	ENSP00000306015
ENSMGAP00000006510	ENSP00000377789
ENSMGAP00000006578	ENSP00000378289
ENSMGAP00000001982	ENSP00000347717
ENSMGAP00000008387	ENSP00000339883
ENSMGAP00000012220	ENSP00000273067
ENSMGAP00000005685	ENSP00000333181
ENSMGAP00000006184	ENSP00000402084
ENSMGAP00000013994	ENSP00000380675
ENSMGAP00000010385	ENSP00000278070
ENSMGAP00000002868	ENSP00000312649
ENSMGAP00000013155	ENSP00000264867
ENSMGAP00000009678	ENSP00000228515
ENSMGAP00000011197	ENSP00000318258
ENSMGAP00000009660	ENSP00000377390
ENSMGAP00000004253	ENSP00000379090
ENSMGAP00000010772	ENSP00000261377
ENSMGAP00000005912	ENSP00000363516
ENSMGAP00000016463	ENSP00000407958
ENSMGAP00000009389	ENSP00000429615
ENSMGAP00000010408	ENSP00000361331
ENSMGAP00000002490	ENSP00000313600
ENSMGAP00000012661	ENSP00000273859
ENSMGAP00000015652	ENSP00000349325
ENSMGAP00000014301	ENSP00000254765
ENSMGAP00000019398	ENSP00000264231
ENSMGAP00000005234	ENSP00000356243
ENSMGAP00000013415	ENSP00000452027
ENSMGAP00000002486	ENSP00000258796
ENSMGAP00000006476	ENSP00000269346
ENSMGAP00000018764	ENSP00000366998
ENSMGAP00000012465	ENSP00000405032
ENSMGAP00000008856	ENSP00000394954
ENSMGAP00000013100	ENSP00000371483
ENSMGAP00000004094	ENSP00000321424
ENSMGAP00000000982	ENSP00000376702
ENSMGAP00000010472	ENSP00000319141
ENSMGAP00000004784	ENSP00000398979
ENSMGAP00000013355	ENSP00000323183
ENSMGAP00000014269	ENSP00000476746
ENSMGAP00000003114	ENSP00000431643
ENSMGAP00000004127	ENSP00000269740
ENSMGAP00000015493	ENSP00000367882
ENSMGAP00000012977	ENSP00000254770
ENSMGAP00000003886	ENSP00000388713
ENSMGAP00000013259	ENSP00000259512
ENSMGAP00000002770	ENSP00000158771
ENSMGAP00000018043	ENSP00000315106
ENSMGAP00000014695	ENSP00000362013
ENSMGAP00000012211	ENSP00000286523
ENSMGAP00000015592	ENSP00000370242
ENSMGAP00000006581	ENSP00000384222
ENSMGAP00000004463	ENSP00000362260
ENSMGAP00000012779	ENSP00000353863
ENSMGAP00000016297	ENSP00000294740
ENSMGAP00000004473	ENSP00000291900
ENSMGAP00000013791	ENSP00000434359
ENSMGAP00000017947	ENSP00000238823
ENSMGAP00000015915	ENSP00000367828
ENSMGAP00000001173	ENSP00000362395
ENSMGAP00000003920	ENSP00000322730
ENSMGAP00000010235	ENSP00000379901
ENSMGAP00000004730	ENSP00000400471
ENSMGAP00000009686	ENSP00000360672
ENSMGAP00000016376	ENSP00000343144
ENSMGAP00000002797	ENSP00000219255
ENSMGAP00000016276	ENSP00000321797
ENSMGAP00000001050	ENSP00000274625
ENSMGAP00000007747	ENSP00000364839
ENSMGAP00000011051	ENSP00000269197
ENSMGAP00000014901	ENSP00000391447
ENSMGAP00000014586	ENSP00000384515
ENSMGAP00000014588	ENSP00000391583
ENSMGAP00000016935	ENSP00000367157
ENSMGAP00000019724	ENSP00000379880
ENSMGAP00000016396	ENSP00000292599
ENSMGAP00000016112	ENSP00000434552
ENSMGAP00000019290	ENSP00000239367
ENSMGAP00000011616	ENSP00000342098
ENSMGAP00000006399	ENSP00000382713
ENSMGAP00000013078	ENSP00000386918
ENSMGAP00000012813	ENSP00000417970
ENSMGAP00000002909	ENSP00000366070
ENSMGAP00000005035	ENSP00000301336
ENSMGAP00000002697	ENSP00000280571
ENSMGAP00000003461	ENSP00000305631
ENSMGAP00000007034	ENSP00000337443
ENSMGAP00000013865	ENSP00000356918
ENSMGAP00000004858	ENSP00000308926
ENSMGAP00000003080	ENSP00000387046
ENSMGAP00000013836	ENSP00000356857
ENSMGAP00000011907	ENSP00000358081
ENSMGAP00000001650	ENSP00000287322
ENSMGAP00000005225	ENSP00000369887
ENSMGAP00000015186	ENSP00000441039
ENSMGAP00000012646	ENSP00000453076
ENSMGAP00000019725	ENSP00000430269
ENSMGAP00000009544	ENSP00000332528
ENSMGAP00000009555	ENSP00000328090
ENSMGAP00000013382	ENSP00000296358
ENSMGAP00000004401	ENSP00000304108
ENSMGAP00000008088	ENSP00000367356
ENSMGAP00000009424	ENSP00000410626
ENSMGAP00000015369	ENSP00000270142
ENSMGAP00000013135	ENSP00000371554
ENSMGAP00000002489	ENSP00000377724
ENSMGAP00000007490	ENSP00000243045
ENSMGAP00000012357	ENSP00000357660
ENSMGAP00000013257	ENSP00000424711
ENSMGAP00000011780	ENSP00000261172
ENSMGAP00000004285	ENSP00000262551
ENSMGAP00000009661	ENSP00000356191
ENSMGAP00000019716	ENSP00000360688
ENSMGAP00000010537	ENSP00000308606
ENSMGAP00000008184	ENSP00000420919
ENSMGAP00000016877	ENSP00000351379
ENSMGAP00000007108	ENSP00000418529
ENSMGAP00000008611	ENSP00000269097
ENSMGAP00000004012	ENSP00000253801
ENSMGAP00000011037	ENSP00000364512
ENSMGAP00000015731	ENSP00000331831
ENSMGAP00000010146	ENSP00000272732
ENSMGAP00000011209	ENSP00000388942
ENSMGAP00000002384	ENSP00000362993
ENSMGAP00000006388	ENSP00000318846
ENSMGAP00000013507	ENSP00000345420
ENSMGAP00000001221	ENSP00000265299
ENSMGAP00000008028	ENSP00000277632
ENSMGAP00000004758	ENSP00000261275
ENSMGAP00000012193	ENSP00000331462
ENSMGAP00000014974	ENSP00000340494
ENSMGAP00000009078	ENSP00000320209
ENSMGAP00000003297	ENSP00000463784
ENSMGAP00000003868	ENSP00000253796
ENSMGAP00000002898	ENSP00000254661
ENSMGAP00000001000	ENSP00000242249
ENSMGAP00000019559	ENSP00000227163
ENSMGAP00000011411	ENSP00000388220
ENSMGAP00000004636	ENSP00000343248
ENSMGAP00000013793	ENSP00000356811
ENSMGAP00000002635	ENSP00000338157
ENSMGAP00000000676	ENSP00000300101
ENSMGAP00000000248	ENSP00000307449
ENSMGAP00000001945	ENSP00000246190
ENSMGAP00000000851	ENSP00000356481
ENSMGAP00000002626	ENSP00000362409
ENSMGAP00000006953	ENSP00000419712
ENSMGAP00000009083	ENSP00000401338
ENSMGAP00000001249	ENSP00000233840
ENSMGAP00000003009	ENSP00000320318
ENSMGAP00000016238	ENSP00000294064
ENSMGAP00000001474	ENSP00000261655
ENSMGAP00000009890	ENSP00000467556
ENSMGAP00000008691	ENSP00000329638
ENSMGAP00000004228	ENSP00000303252
ENSMGAP00000002087	ENSP00000302150
ENSMGAP00000011635	ENSP00000368767
ENSMGAP00000007027	ENSP00000215906
ENSMGAP00000005405	ENSP00000378437
ENSMGAP00000004435	ENSP00000308057
ENSMGAP00000002004	ENSP00000361087
ENSMGAP00000009512	ENSP00000373360
ENSMGAP00000003264	ENSP00000358815
ENSMGAP00000013127	ENSP00000384312
ENSMGAP00000015215	ENSP00000307801
ENSMGAP00000011344	ENSP00000358430
ENSMGAP00000015043	ENSP00000182527
ENSMGAP00000016256	ENSP00000263671
ENSMGAP00000006532	ENSP00000361112
ENSMGAP00000012242	ENSP00000297265
ENSMGAP00000001847	ENSP00000344087
ENSMGAP00000001321	ENSP00000396160
ENSMGAP00000013417	ENSP00000451040
ENSMGAP00000005790	ENSP00000281087
ENSMGAP00000000277	ENSP00000361668
ENSMGAP00000016473	ENSP00000456548
ENSMGAP00000016891	ENSP00000385277
ENSMGAP00000005859	ENSP00000285311
ENSMGAP00000007809	ENSP00000364643
ENSMGAP00000007801	ENSP00000344929
ENSMGAP00000007857	ENSP00000364632
ENSMGAP00000014583	ENSP00000359098
ENSMGAP00000008656	ENSP00000266269
ENSMGAP00000007524	ENSP00000320797
ENSMGAP00000001408	ENSP00000380661
ENSMGAP00000012578	ENSP00000351113
ENSMGAP00000000544	ENSP00000463013
ENSMGAP00000006491	ENSP00000334665
ENSMGAP00000000773	ENSP00000439625
ENSMGAP00000011821	ENSP00000344961
ENSMGAP00000000784	ENSP00000378284
ENSMGAP00000014805	ENSP00000264474
ENSMGAP00000012979	ENSP00000318916
ENSMGAP00000009715	ENSP00000359795
ENSMGAP00000006722	ENSP00000319254
ENSMGAP00000002548	ENSP00000265498
ENSMGAP00000015999	ENSP00000369858
ENSMGAP00000007341	ENSP00000292596
ENSMGAP00000016529	ENSP00000349156
ENSMGAP00000018087	ENSP00000383256
ENSMGAP00000014581	ENSP00000230461
ENSMGAP00000015192	ENSP00000402698
ENSMGAP00000006902	ENSP00000231656
ENSMGAP00000015128	ENSP00000358512
ENSMGAP00000015976	ENSP00000369251
ENSMGAP00000005656	ENSP00000391481
ENSMGAP00000000995	ENSP00000297293
ENSMGAP00000006295	ENSP00000324196
ENSMGAP00000008990	ENSP00000362469
ENSMGAP00000006651	ENSP00000360966
ENSMGAP00000019034	ENSP00000370724
ENSMGAP00000014090	ENSP00000281474
ENSMGAP00000005605	ENSP00000349351
ENSMGAP00000003181	ENSP00000348752
ENSMGAP00000004139	ENSP00000328216
ENSMGAP00000012207	ENSP00000296130
ENSMGAP00000006713	ENSP00000299642
ENSMGAP00000011591	ENSP00000280701
ENSMGAP00000005011	ENSP00000304592
ENSMGAP00000000575	ENSP00000223368
ENSMGAP00000005830	ENSP00000270800
ENSMGAP00000013718	ENSP00000296980
ENSMGAP00000013719	ENSP00000314976
ENSMGAP00000012080	ENSP00000249647
ENSMGAP00000006293	ENSP00000254976
ENSMGAP00000000410	ENSP00000361287
ENSMGAP00000008763	ENSP00000377665
ENSMGAP00000012535	ENSP00000263710
ENSMGAP00000009108	ENSP00000219409
ENSMGAP00000012386	ENSP00000228945
ENSMGAP00000001567	ENSP00000297164
ENSMGAP00000017383	ENSP00000064780
ENSMGAP00000013039	ENSP00000398778
ENSMGAP00000006635	ENSP00000257209
ENSMGAP00000006620	ENSP00000384967
ENSMGAP00000008996	ENSP00000296632
ENSMGAP00000008227	ENSP00000304032
ENSMGAP00000002618	ENSP00000360730
ENSMGAP00000002168	ENSP00000361004
ENSMGAP00000010352	ENSP00000412209
ENSMGAP00000008686	ENSP00000295666
ENSMGAP00000010578	ENSP00000359219
ENSMGAP00000013108	ENSP00000333142
ENSMGAP00000009396	ENSP00000388731
ENSMGAP00000019583	ENSP00000400892
ENSMGAP00000013830	ENSP00000357547
ENSMGAP00000005176	ENSP00000252996
ENSMGAP00000009111	ENSP00000348395
ENSMGAP00000014186	ENSP00000357844
ENSMGAP00000005922	ENSP00000465734
ENSMGAP00000010607	ENSP00000260649
ENSMGAP00000007157	ENSP00000359171
ENSMGAP00000009365	ENSP00000269701
ENSMGAP00000008713	ENSP00000340796
ENSMGAP00000001626	ENSP00000419027
ENSMGAP00000002577	ENSP00000377549
ENSMGAP00000015798	ENSP00000473631
ENSMGAP00000003045	ENSP00000406463
ENSMGAP00000016259	ENSP00000384126
ENSMGAP00000002908	ENSP00000328625
ENSMGAP00000005579	ENSP00000299638
ENSMGAP00000018853	ENSP00000369383
ENSMGAP00000002889	ENSP00000253792
ENSMGAP00000008524	ENSP00000361562
ENSMGAP00000004646	ENSP00000354558
ENSMGAP00000004009	ENSP00000292476
ENSMGAP00000013727	ENSP00000262577
ENSMGAP00000006425	ENSP00000400482
ENSMGAP00000014660	ENSP00000228872
ENSMGAP00000014172	ENSP00000380386
ENSMGAP00000002495	ENSP00000265388
ENSMGAP00000013819	ENSP00000450864
ENSMGAP00000010963	ENSP00000301149
ENSMGAP00000010250	ENSP00000294309
ENSMGAP00000012153	ENSP00000263849
ENSMGAP00000013431	ENSP00000435550
ENSMGAP00000010265	ENSP00000294312
ENSMGAP00000014682	ENSP00000237837
ENSMGAP00000001370	ENSP00000287295
ENSMGAP00000011673	ENSP00000307940
ENSMGAP00000010466	ENSP00000392094
ENSMGAP00000010346	ENSP00000230381
ENSMGAP00000000646	ENSP00000370223
ENSMGAP00000001440	ENSP00000384040
ENSMGAP00000008734	ENSP00000398481
ENSMGAP00000015262	ENSP00000215838
ENSMGAP00000003005	ENSP00000257248
ENSMGAP00000008176	ENSP00000316329
ENSMGAP00000007591	ENSP00000359380
ENSMGAP00000016277	ENSP00000278071
ENSMGAP00000002627	ENSP00000356115
ENSMGAP00000014184	ENSP00000357840
ENSMGAP00000005195	ENSP00000279068
ENSMGAP00000007166	ENSP00000318602
ENSMGAP00000009962	ENSP00000359848
ENSMGAP00000005832	ENSP00000237937
ENSMGAP00000008537	ENSP00000261749
ENSMGAP00000008025	ENSP00000244241
ENSMGAP00000005409	ENSP00000326128
ENSMGAP00000009632	ENSP00000393887
ENSMGAP00000003035	ENSP00000369436
ENSMGAP00000010610	ENSP00000410157
ENSMGAP00000012272	ENSP00000344456
ENSMGAP00000012594	ENSP00000264313
ENSMGAP00000000143	ENSP00000370003
ENSMGAP00000012440	ENSP00000357625
ENSMGAP00000015123	ENSP00000318690
ENSMGAP00000016812	ENSP00000376224
ENSMGAP00000001899	ENSP00000428544
ENSMGAP00000009698	ENSP00000463375
ENSMGAP00000010377	ENSP00000241261
ENSMGAP00000015880	ENSP00000239849
ENSMGAP00000003732	ENSP00000306328
ENSMGAP00000001563	ENSP00000364140
ENSMGAP00000017375	ENSP00000347665
ENSMGAP00000013300	ENSP00000426809
ENSMGAP00000012349	ENSP00000256367
ENSMGAP00000011135	ENSP00000243167
ENSMGAP00000018013	ENSP00000364035
ENSMGAP00000012658	ENSP00000273857
ENSMGAP00000011380	ENSP00000303997
ENSMGAP00000010555	ENSP00000346080
ENSMGAP00000005383	ENSP00000235628
ENSMGAP00000013350	ENSP00000331474
ENSMGAP00000007004	ENSP00000366058
ENSMGAP00000012808	ENSP00000316891
ENSMGAP00000019554	ENSP00000346874
ENSMGAP00000001114	ENSP00000341171
ENSMGAP00000013369	ENSP00000429064
ENSMGAP00000007381	ENSP00000334836
ENSMGAP00000000022	ENSP00000386456
ENSMGAP00000013393	ENSP00000388823
ENSMGAP00000003432	ENSP00000307722
ENSMGAP00000006574	ENSP00000256797
ENSMGAP00000008010	ENSP00000401445
ENSMGAP00000005256	ENSP00000381053
ENSMGAP00000004193	ENSP00000418210
ENSMGAP00000008520	ENSP00000367494
ENSMGAP00000009012	ENSP00000387266
ENSMGAP00000014811	ENSP00000337510
ENSMGAP00000013199	ENSP00000237281
ENSMGAP00000004474	ENSP00000424565
ENSMGAP00000000701	ENSP00000271636
ENSMGAP00000008292	ENSP00000299687
ENSMGAP00000000950	ENSP00000436552
ENSMGAP00000002114	ENSP00000357073
ENSMGAP00000007299	ENSP00000299259
ENSMGAP00000009952	ENSP00000355925
ENSMGAP00000013398	ENSP00000451463
ENSMGAP00000015883	ENSP00000368523
ENSMGAP00000012239	ENSP00000338532
ENSMGAP00000013809	ENSP00000310057
ENSMGAP00000006816	ENSP00000278780
ENSMGAP00000014620	ENSP00000350036
ENSMGAP00000006161	ENSP00000315630
ENSMGAP00000005594	ENSP00000319831
ENSMGAP00000012937	ENSP00000251810
ENSMGAP00000014819	ENSP00000353770
ENSMGAP00000017583	ENSP00000358966
ENSMGAP00000011671	ENSP00000295770
ENSMGAP00000011194	ENSP00000409906
ENSMGAP00000003877	ENSP00000309690
ENSMGAP00000013446	ENSP00000267569
ENSMGAP00000013262	ENSP00000356433
ENSMGAP00000005520	ENSP00000361895
ENSMGAP00000014867	ENSP00000385527
ENSMGAP00000003280	ENSP00000313391
ENSMGAP00000008749	ENSP00000363533
ENSMGAP00000014076	ENSP00000272427
ENSMGAP00000008985	ENSP00000262316
ENSMGAP00000003974	ENSP00000322775
ENSMGAP00000013512	ENSP00000254624
ENSMGAP00000014962	ENSP00000384081
ENSMGAP00000019224	ENSP00000272444
ENSMGAP00000004388	ENSP00000340465
ENSMGAP00000003405	ENSP00000272542
ENSMGAP00000006138	ENSP00000359052
ENSMGAP00000006586	ENSP00000408025
ENSMGAP00000011423	ENSP00000422626
ENSMGAP00000013412	ENSP00000380489
ENSMGAP00000003939	ENSP00000293230
ENSMGAP00000003694	ENSP00000369513
ENSMGAP00000016665	ENSP00000386870
ENSMGAP00000002045	ENSP00000367715
ENSMGAP00000010357	ENSP00000376457
ENSMGAP00000012988	ENSP00000297578
ENSMGAP00000001324	ENSP00000238714
ENSMGAP00000007262	ENSP00000365637
ENSMGAP00000001919	ENSP00000264659
ENSMGAP00000011005	ENSP00000378400
ENSMGAP00000018006	ENSP00000259006
ENSMGAP00000006076	ENSP00000381968
ENSMGAP00000012473	ENSP00000355560
ENSMGAP00000001771	ENSP00000403925
ENSMGAP00000007317	ENSP00000302625
ENSMGAP00000009206	ENSP00000262320
ENSMGAP00000004938	ENSP00000301764
ENSMGAP00000009831	ENSP00000265594
ENSMGAP00000008799	ENSP00000344942
ENSMGAP00000007280	ENSP00000298910
ENSMGAP00000015206	ENSP00000377655
ENSMGAP00000013509	ENSP00000230256
ENSMGAP00000002044	ENSP00000333982
ENSMGAP00000013005	ENSP00000324302
ENSMGAP00000000296	ENSP00000398568
ENSMGAP00000007129	ENSP00000262139
ENSMGAP00000018271	ENSP00000300737
ENSMGAP00000013059	ENSP00000417569
ENSMGAP00000008514	ENSP00000344831
ENSMGAP00000000489	ENSP00000217254
ENSMGAP00000004112	ENSP00000267064
ENSMGAP00000013456	ENSP00000378368
ENSMGAP00000019046	ENSP00000350954
ENSMGAP00000009756	ENSP00000364398
ENSMGAP00000008662	ENSP00000405388
ENSMGAP00000006449	ENSP00000268712
ENSMGAP00000004702	ENSP00000350012
ENSMGAP00000006613	ENSP00000339787
ENSMGAP00000009050	ENSP00000377991
ENSMGAP00000004914	ENSP00000181796
ENSMGAP00000013618	ENSP00000002165
ENSMGAP00000005684	ENSP00000363603
ENSMGAP00000009571	ENSP00000246957
ENSMGAP00000005595	ENSP00000329117
ENSMGAP00000016026	ENSP00000426528
ENSMGAP00000000408	ENSP00000392700
ENSMGAP00000005483	ENSP00000394863
ENSMGAP00000014534	ENSP00000263245
ENSMGAP00000004122	ENSP00000395083
ENSMGAP00000016219	ENSP00000254584
ENSMGAP00000010509	ENSP00000397249
ENSMGAP00000002666	ENSP00000420477
ENSMGAP00000007023	ENSP00000316950
ENSMGAP00000010501	ENSP00000219611
ENSMGAP00000016999	ENSP00000339802
ENSMGAP00000010990	ENSP00000287152
ENSMGAP00000002550	ENSP00000333942
ENSMGAP00000007315	ENSP00000298032
ENSMGAP00000003641	ENSP00000313869
ENSMGAP00000010551	ENSP00000234160
ENSMGAP00000005537	ENSP00000268661
ENSMGAP00000015515	ENSP00000368439
ENSMGAP00000001343	ENSP00000363308
ENSMGAP00000014302	ENSP00000344401
ENSMGAP00000005169	ENSP00000368876
ENSMGAP00000009621	ENSP00000419325
ENSMGAP00000009113	ENSP00000269159
ENSMGAP00000012984	ENSP00000379203
ENSMGAP00000014823	ENSP00000272238
ENSMGAP00000001268	ENSP00000328287
ENSMGAP00000011499	ENSP00000262644
ENSMGAP00000009494	ENSP00000446828
ENSMGAP00000015662	ENSP00000074304
ENSMGAP00000003143	ENSP00000425487
ENSMGAP00000006196	ENSP00000406490
ENSMGAP00000012414	ENSP00000355110
ENSMGAP00000005384	ENSP00000303486
ENSMGAP00000000608	ENSP00000379773
ENSMGAP00000002496	ENSP00000387362
ENSMGAP00000014887	ENSP00000342778
ENSMGAP00000018062	ENSP00000325548
ENSMGAP00000008322	ENSP00000351682
ENSMGAP00000000441	ENSP00000306522
ENSMGAP00000014209	ENSP00000333019
ENSMGAP00000014299	ENSP00000358106
ENSMGAP00000010630	ENSP00000386543
ENSMGAP00000004972	ENSP00000384823
ENSMGAP00000006124	ENSP00000285871
ENSMGAP00000019712	ENSP00000445677
ENSMGAP00000007459	ENSP00000269122
ENSMGAP00000005944	ENSP00000055682
ENSMGAP00000014215	ENSP00000404151
ENSMGAP00000001087	ENSP00000281187
ENSMGAP00000004015	ENSP00000362480
ENSMGAP00000012545	ENSP00000450731
ENSMGAP00000000885	ENSP00000261722
ENSMGAP00000004321	ENSP00000362217
ENSMGAP00000015855	ENSP00000304994
ENSMGAP00000013076	ENSP00000382269
ENSMGAP00000003941	ENSP00000258418
ENSMGAP00000003547	ENSP00000382492
ENSMGAP00000007761	ENSP00000384371
