ENSP00000262384	ENSLOCP00000009128
ENSP00000401089	ENSLOCP00000022052
ENSP00000314103	ENSLOCP00000021786
ENSP00000339802	ENSLOCP00000021628
ENSP00000287152	ENSLOCP00000021227
ENSP00000333942	ENSLOCP00000012451
ENSP00000298032	ENSLOCP00000014573
ENSP00000313869	ENSLOCP00000012099
ENSP00000234160	ENSLOCP00000009487
ENSP00000268661	ENSLOCP00000010857
ENSP00000363308	ENSLOCP00000002763
ENSP00000344401	ENSLOCP00000020425
ENSP00000355045	ENSLOCP00000013858
ENSP00000419325	ENSLOCP00000012442
ENSP00000269159	ENSLOCP00000002495
ENSP00000379203	ENSLOCP00000012157
ENSP00000272238	ENSLOCP00000020582
ENSP00000262644	ENSLOCP00000006413
ENSP00000446828	ENSLOCP00000000343
ENSP00000259667	ENSLOCP00000014735
ENSP00000074304	ENSLOCP00000010503
ENSP00000425487	ENSLOCP00000011027
ENSP00000406490	ENSLOCP00000010720
ENSP00000355110	ENSLOCP00000017505
ENSP00000379773	ENSLOCP00000000681
ENSP00000387362	ENSLOCP00000004788
ENSP00000325548	ENSLOCP00000004935
ENSP00000351682	ENSLOCP00000004854
ENSP00000412886	ENSLOCP00000016918
ENSP00000352572	ENSLOCP00000011635
ENSP00000358106	ENSLOCP00000020418
ENSP00000467024	ENSLOCP00000009697
ENSP00000384823	ENSLOCP00000020111
ENSP00000403802	ENSLOCP00000015835
ENSP00000285871	ENSLOCP00000019693
ENSP00000445677	ENSLOCP00000002760
ENSP00000269122	ENSLOCP00000004653
ENSP00000055682	ENSLOCP00000016821
ENSP00000362480	ENSLOCP00000011155
ENSP00000376792	ENSLOCP00000015045
ENSP00000450731	ENSLOCP00000017475
ENSP00000328677	ENSLOCP00000021743
ENSP00000261722	ENSLOCP00000018484
ENSP00000362217	ENSLOCP00000017578
ENSP00000304994	ENSLOCP00000013859
ENSP00000382269	ENSLOCP00000011731
ENSP00000258418	ENSLOCP00000005375
ENSP00000293805	ENSLOCP00000016386
ENSP00000401112	ENSLOCP00000004819
ENSP00000399518	ENSLOCP00000007888
ENSP00000243440	ENSLOCP00000000932
ENSP00000286639	ENSLOCP00000012904
ENSP00000283645	ENSLOCP00000009915
ENSP00000369071	ENSLOCP00000010390
ENSP00000416330	ENSLOCP00000014156
ENSP00000369473	ENSLOCP00000010003
ENSP00000261435	ENSLOCP00000015978
ENSP00000308179	ENSLOCP00000013577
ENSP00000448165	ENSLOCP00000018656
ENSP00000338258	ENSLOCP00000021863
ENSP00000346442	ENSLOCP00000018877
ENSP00000412130	ENSLOCP00000004589
ENSP00000384491	ENSLOCP00000018862
ENSP00000380713	ENSLOCP00000000634
ENSP00000432695	ENSLOCP00000017245
ENSP00000415885	ENSLOCP00000008266
ENSP00000445001	ENSLOCP00000002556
ENSP00000343885	ENSLOCP00000015523
ENSP00000307746	ENSLOCP00000010458
ENSP00000335246	ENSLOCP00000013482
ENSP00000303315	ENSLOCP00000022398
ENSP00000252818	ENSLOCP00000021733
ENSP00000410768	ENSLOCP00000021127
ENSP00000368547	ENSLOCP00000019328
ENSP00000278919	ENSLOCP00000006115
ENSP00000370607	ENSLOCP00000016270
ENSP00000351132	ENSLOCP00000016963
ENSP00000321971	ENSLOCP00000004100
ENSP00000268482	ENSLOCP00000004993
ENSP00000384792	ENSLOCP00000018262
ENSP00000393099	ENSLOCP00000014400
ENSP00000282251	ENSLOCP00000008293
ENSP00000406885	ENSLOCP00000011704
ENSP00000433126	ENSLOCP00000004254
ENSP00000327650	ENSLOCP00000017422
ENSP00000253577	ENSLOCP00000016832
ENSP00000265316	ENSLOCP00000001078
ENSP00000238789	ENSLOCP00000020525
ENSP00000287394	ENSLOCP00000011342
ENSP00000235329	ENSLOCP00000006501
ENSP00000420617	ENSLOCP00000001358
ENSP00000347672	ENSLOCP00000007934
ENSP00000387471	ENSLOCP00000005941
ENSP00000419765	ENSLOCP00000009850
ENSP00000453872	ENSLOCP00000016827
ENSP00000269439	ENSLOCP00000013737
ENSP00000247843	ENSLOCP00000019959
ENSP00000306983	ENSLOCP00000007327
ENSP00000365388	ENSLOCP00000009267
ENSP00000335060	ENSLOCP00000009719
ENSP00000216144	ENSLOCP00000004344
ENSP00000295304	ENSLOCP00000020070
ENSP00000398105	ENSLOCP00000015133
ENSP00000428054	ENSLOCP00000012253
ENSP00000452796	ENSLOCP00000017553
ENSP00000379390	ENSLOCP00000002902
ENSP00000367841	ENSLOCP00000009544
ENSP00000422037	ENSLOCP00000014764
ENSP00000265978	ENSLOCP00000007893
ENSP00000413196	ENSLOCP00000010433
ENSP00000383986	ENSLOCP00000014169
ENSP00000258484	ENSLOCP00000001636
ENSP00000263062	ENSLOCP00000008666
ENSP00000315070	ENSLOCP00000000552
ENSP00000318868	ENSLOCP00000005885
ENSP00000333667	ENSLOCP00000007323
ENSP00000358451	ENSLOCP00000013607
ENSP00000217246	ENSLOCP00000019682
ENSP00000254101	ENSLOCP00000002257
ENSP00000265087	ENSLOCP00000011161
ENSP00000290271	ENSLOCP00000018490
ENSP00000313432	ENSLOCP00000015818
ENSP00000377411	ENSLOCP00000007290
ENSP00000344789	ENSLOCP00000006045
ENSP00000341044	ENSLOCP00000005340
ENSP00000361795	ENSLOCP00000004252
ENSP00000346300	ENSLOCP00000007898
ENSP00000272091	ENSLOCP00000019248
ENSP00000264705	ENSLOCP00000019547
ENSP00000262105	ENSLOCP00000007283
ENSP00000368174	ENSLOCP00000020317
ENSP00000331897	ENSLOCP00000017646
ENSP00000407182	ENSLOCP00000007473
ENSP00000286835	ENSLOCP00000011180
ENSP00000336587	ENSLOCP00000014109
ENSP00000268383	ENSLOCP00000010087
ENSP00000326534	ENSLOCP00000016431
ENSP00000377027	ENSLOCP00000010637
ENSP00000420200	ENSLOCP00000012840
ENSP00000396704	ENSLOCP00000008359
ENSP00000411532	ENSLOCP00000015892
ENSP00000396995	ENSLOCP00000008997
ENSP00000360147	ENSLOCP00000018800
ENSP00000421566	ENSLOCP00000014777
ENSP00000186436	ENSLOCP00000010303
ENSP00000379457	ENSLOCP00000011466
ENSP00000307126	ENSLOCP00000014293
ENSP00000316476	ENSLOCP00000020640
ENSP00000392217	ENSLOCP00000005879
ENSP00000231572	ENSLOCP00000015234
ENSP00000217372	ENSLOCP00000001740
ENSP00000279907	ENSLOCP00000018634
ENSP00000313851	ENSLOCP00000010017
ENSP00000303427	ENSLOCP00000015991
ENSP00000379680	ENSLOCP00000014681
ENSP00000218516	ENSLOCP00000018861
ENSP00000468424	ENSLOCP00000014150
ENSP00000367407	ENSLOCP00000012783
ENSP00000354387	ENSLOCP00000011940
ENSP00000168977	ENSLOCP00000004748
ENSP00000299866	ENSLOCP00000007440
ENSP00000261448	ENSLOCP00000007956
ENSP00000357057	ENSLOCP00000002452
ENSP00000354251	ENSLOCP00000008041
ENSP00000293373	ENSLOCP00000006113
ENSP00000254029	ENSLOCP00000018966
ENSP00000379894	ENSLOCP00000001224
ENSP00000354612	ENSLOCP00000003585
ENSP00000356438	ENSLOCP00000001845
ENSP00000244571	ENSLOCP00000019298
ENSP00000353826	ENSLOCP00000003688
ENSP00000376583	ENSLOCP00000018781
ENSP00000325941	ENSLOCP00000002837
ENSP00000394700	ENSLOCP00000012455
ENSP00000389039	ENSLOCP00000021235
ENSP00000233615	ENSLOCP00000002726
ENSP00000308430	ENSLOCP00000004966
ENSP00000338030	ENSLOCP00000018714
ENSP00000361731	ENSLOCP00000007032
ENSP00000402935	ENSLOCP00000007854
ENSP00000312587	ENSLOCP00000005551
ENSP00000263960	ENSLOCP00000004684
ENSP00000253778	ENSLOCP00000012335
ENSP00000313854	ENSLOCP00000004144
ENSP00000336994	ENSLOCP00000018281
ENSP00000286733	ENSLOCP00000004998
ENSP00000371152	ENSLOCP00000017115
ENSP00000308976	ENSLOCP00000005361
ENSP00000341819	ENSLOCP00000006027
ENSP00000347626	ENSLOCP00000018830
ENSP00000319664	ENSLOCP00000004627
ENSP00000233623	ENSLOCP00000002173
ENSP00000327436	ENSLOCP00000010592
ENSP00000382163	ENSLOCP00000008174
ENSP00000336721	ENSLOCP00000015337
ENSP00000352510	ENSLOCP00000011983
ENSP00000344424	ENSLOCP00000015316
ENSP00000264047	ENSLOCP00000012748
ENSP00000404676	ENSLOCP00000010929
ENSP00000249344	ENSLOCP00000019648
ENSP00000358810	ENSLOCP00000014348
ENSP00000359634	ENSLOCP00000010852
ENSP00000423933	ENSLOCP00000019385
ENSP00000253814	ENSLOCP00000012932
ENSP00000312837	ENSLOCP00000017027
ENSP00000262305	ENSLOCP00000003849
ENSP00000368341	ENSLOCP00000007540
ENSP00000348538	ENSLOCP00000004094
ENSP00000359859	ENSLOCP00000004412
ENSP00000296543	ENSLOCP00000012929
ENSP00000280800	ENSLOCP00000010099
ENSP00000311257	ENSLOCP00000016923
ENSP00000298596	ENSLOCP00000011328
ENSP00000273668	ENSLOCP00000002632
ENSP00000225171	ENSLOCP00000013838
ENSP00000362935	ENSLOCP00000018395
ENSP00000399259	ENSLOCP00000014850
ENSP00000324549	ENSLOCP00000009950
ENSP00000283206	ENSLOCP00000020431
ENSP00000266068	ENSLOCP00000002015
ENSP00000294409	ENSLOCP00000004155
ENSP00000351314	ENSLOCP00000000768
ENSP00000259457	ENSLOCP00000006276
ENSP00000258534	ENSLOCP00000018681
ENSP00000254663	ENSLOCP00000006687
ENSP00000323927	ENSLOCP00000015780
ENSP00000366460	ENSLOCP00000013241
ENSP00000382104	ENSLOCP00000008237
ENSP00000256925	ENSLOCP00000001985
ENSP00000279101	ENSLOCP00000006574
ENSP00000306881	ENSLOCP00000011495
ENSP00000376258	ENSLOCP00000006119
ENSP00000265056	ENSLOCP00000016756
ENSP00000335651	ENSLOCP00000015964
ENSP00000376458	ENSLOCP00000000991
ENSP00000371420	ENSLOCP00000014231
ENSP00000402758	ENSLOCP00000004947
ENSP00000404700	ENSLOCP00000012213
ENSP00000262719	ENSLOCP00000012268
ENSP00000272771	ENSLOCP00000006139
ENSP00000302530	ENSLOCP00000020635
ENSP00000287598	ENSLOCP00000015810
ENSP00000364976	ENSLOCP00000014425
ENSP00000379042	ENSLOCP00000014835
ENSP00000366620	ENSLOCP00000008487
ENSP00000377192	ENSLOCP00000017573
ENSP00000379619	ENSLOCP00000016548
ENSP00000362092	ENSLOCP00000006979
ENSP00000367498	ENSLOCP00000007129
ENSP00000356669	ENSLOCP00000000308
ENSP00000254730	ENSLOCP00000017891
ENSP00000315680	ENSLOCP00000021362
ENSP00000360107	ENSLOCP00000001002
ENSP00000404232	ENSLOCP00000002270
ENSP00000307041	ENSLOCP00000015885
ENSP00000370047	ENSLOCP00000014630
ENSP00000357928	ENSLOCP00000021196
ENSP00000263966	ENSLOCP00000001521
ENSP00000229268	ENSLOCP00000009499
ENSP00000309477	ENSLOCP00000013614
ENSP00000356634	ENSLOCP00000002669
ENSP00000438468	ENSLOCP00000019186
ENSP00000405423	ENSLOCP00000011820
ENSP00000295448	ENSLOCP00000015274
ENSP00000370031	ENSLOCP00000012788
ENSP00000268057	ENSLOCP00000018404
ENSP00000341874	ENSLOCP00000001944
ENSP00000369162	ENSLOCP00000014421
ENSP00000357835	ENSLOCP00000009809
ENSP00000298251	ENSLOCP00000002610
ENSP00000377980	ENSLOCP00000013159
ENSP00000312379	ENSLOCP00000019058
ENSP00000263354	ENSLOCP00000017507
ENSP00000366225	ENSLOCP00000020339
ENSP00000345060	ENSLOCP00000016949
ENSP00000321636	ENSLOCP00000005943
ENSP00000381773	ENSLOCP00000002387
ENSP00000281772	ENSLOCP00000005622
ENSP00000419494	ENSLOCP00000012204
ENSP00000233099	ENSLOCP00000019605
ENSP00000350734	ENSLOCP00000012656
ENSP00000379346	ENSLOCP00000003503
ENSP00000415203	ENSLOCP00000014971
ENSP00000367880	ENSLOCP00000005274
ENSP00000226218	ENSLOCP00000006549
ENSP00000399679	ENSLOCP00000001719
ENSP00000359600	ENSLOCP00000006382
ENSP00000436785	ENSLOCP00000008176
ENSP00000353557	ENSLOCP00000021327
ENSP00000325677	ENSLOCP00000003888
ENSP00000265245	ENSLOCP00000005914
ENSP00000451261	ENSLOCP00000020943
ENSP00000269214	ENSLOCP00000002198
ENSP00000216259	ENSLOCP00000014300
ENSP00000400958	ENSLOCP00000019721
ENSP00000358617	ENSLOCP00000013244
ENSP00000345206	ENSLOCP00000011883
ENSP00000341243	ENSLOCP00000009272
ENSP00000281961	ENSLOCP00000019392
ENSP00000314396	ENSLOCP00000010669
ENSP00000266395	ENSLOCP00000007692
ENSP00000328412	ENSLOCP00000016042
ENSP00000300051	ENSLOCP00000003929
ENSP00000264167	ENSLOCP00000008419
ENSP00000384262	ENSLOCP00000014869
ENSP00000228476	ENSLOCP00000005484
ENSP00000273480	ENSLOCP00000009793
ENSP00000298198	ENSLOCP00000002738
ENSP00000271732	ENSLOCP00000009596
ENSP00000263383	ENSLOCP00000003422
ENSP00000389948	ENSLOCP00000015590
ENSP00000264779	ENSLOCP00000009192
ENSP00000371517	ENSLOCP00000015156
ENSP00000359526	ENSLOCP00000010994
ENSP00000307854	ENSLOCP00000006283
ENSP00000353739	ENSLOCP00000007143
ENSP00000264864	ENSLOCP00000016227
ENSP00000360687	ENSLOCP00000003938
ENSP00000303149	ENSLOCP00000022346
ENSP00000331600	ENSLOCP00000022078
ENSP00000297146	ENSLOCP00000022010
ENSP00000335261	ENSLOCP00000016904
ENSP00000223023	ENSLOCP00000019530
ENSP00000365891	ENSLOCP00000017780
ENSP00000260270	ENSLOCP00000013169
ENSP00000280258	ENSLOCP00000021907
ENSP00000440870	ENSLOCP00000021977
ENSP00000263780	ENSLOCP00000012920
ENSP00000258198	ENSLOCP00000006086
ENSP00000273130	ENSLOCP00000001652
ENSP00000262065	ENSLOCP00000015053
ENSP00000251588	ENSLOCP00000006236
ENSP00000309899	ENSLOCP00000014461
ENSP00000361721	ENSLOCP00000022377
ENSP00000356623	ENSLOCP00000022213
ENSP00000401764	ENSLOCP00000021585
ENSP00000313811	ENSLOCP00000004806
ENSP00000459214	ENSLOCP00000002881
ENSP00000360623	ENSLOCP00000007589
ENSP00000304292	ENSLOCP00000001928
ENSP00000340836	ENSLOCP00000011963
ENSP00000261534	ENSLOCP00000013197
ENSP00000361302	ENSLOCP00000007530
ENSP00000265174	ENSLOCP00000015592
ENSP00000349393	ENSLOCP00000010836
ENSP00000216446	ENSLOCP00000017455
ENSP00000390849	ENSLOCP00000001332
ENSP00000476668	ENSLOCP00000003085
ENSP00000290524	ENSLOCP00000010306
ENSP00000326244	ENSLOCP00000021715
ENSP00000398076	ENSLOCP00000009547
ENSP00000280193	ENSLOCP00000016807
ENSP00000297904	ENSLOCP00000009438
ENSP00000288266	ENSLOCP00000016400
ENSP00000376523	ENSLOCP00000002724
ENSP00000452746	ENSLOCP00000018080
ENSP00000387261	ENSLOCP00000013695
ENSP00000365725	ENSLOCP00000020724
ENSP00000336693	ENSLOCP00000014686
ENSP00000040738	ENSLOCP00000012079
ENSP00000012049	ENSLOCP00000018267
ENSP00000386414	ENSLOCP00000007205
ENSP00000362109	ENSLOCP00000015639
ENSP00000309092	ENSLOCP00000016477
ENSP00000453129	ENSLOCP00000016224
ENSP00000465930	ENSLOCP00000014092
ENSP00000367276	ENSLOCP00000010771
ENSP00000278174	ENSLOCP00000004752
ENSP00000362836	ENSLOCP00000014167
ENSP00000355747	ENSLOCP00000019637
ENSP00000326366	ENSLOCP00000016468
ENSP00000398089	ENSLOCP00000005220
ENSP00000460825	ENSLOCP00000006905
ENSP00000291495	ENSLOCP00000005978
ENSP00000261883	ENSLOCP00000016982
ENSP00000358541	ENSLOCP00000012758
ENSP00000355741	ENSLOCP00000020742
ENSP00000301190	ENSLOCP00000009223
ENSP00000371472	ENSLOCP00000014658
ENSP00000278886	ENSLOCP00000020708
ENSP00000359698	ENSLOCP00000004574
ENSP00000330382	ENSLOCP00000014057
ENSP00000346508	ENSLOCP00000001783
ENSP00000373610	ENSLOCP00000010155
ENSP00000230122	ENSLOCP00000021205
ENSP00000392812	ENSLOCP00000016340
ENSP00000475670	ENSLOCP00000016321
ENSP00000340691	ENSLOCP00000019805
ENSP00000362314	ENSLOCP00000006167
ENSP00000308472	ENSLOCP00000015383
ENSP00000454646	ENSLOCP00000007744
ENSP00000299709	ENSLOCP00000008002
ENSP00000345361	ENSLOCP00000006094
ENSP00000359370	ENSLOCP00000006486
ENSP00000363329	ENSLOCP00000000562
ENSP00000259392	ENSLOCP00000002044
ENSP00000273986	ENSLOCP00000014814
ENSP00000442954	ENSLOCP00000000775
ENSP00000269391	ENSLOCP00000013784
ENSP00000262370	ENSLOCP00000009257
ENSP00000328426	ENSLOCP00000019263
ENSP00000281631	ENSLOCP00000008198
ENSP00000236850	ENSLOCP00000007525
ENSP00000308258	ENSLOCP00000000926
ENSP00000430548	ENSLOCP00000009999
ENSP00000300404	ENSLOCP00000016083
ENSP00000229583	ENSLOCP00000009656
ENSP00000350509	ENSLOCP00000000747
ENSP00000436455	ENSLOCP00000003469
ENSP00000386862	ENSLOCP00000012797
ENSP00000383185	ENSLOCP00000014037
ENSP00000330278	ENSLOCP00000017229
ENSP00000361522	ENSLOCP00000020657
ENSP00000411124	ENSLOCP00000014235
ENSP00000203407	ENSLOCP00000017924
ENSP00000355720	ENSLOCP00000011278
ENSP00000394085	ENSLOCP00000013846
ENSP00000328835	ENSLOCP00000010219
ENSP00000281047	ENSLOCP00000021981
ENSP00000362987	ENSLOCP00000007905
ENSP00000415491	ENSLOCP00000019816
ENSP00000359699	ENSLOCP00000010112
ENSP00000275732	ENSLOCP00000016580
ENSP00000317039	ENSLOCP00000022069
ENSP00000360437	ENSLOCP00000007752
ENSP00000323635	ENSLOCP00000011683
ENSP00000379441	ENSLOCP00000007128
ENSP00000276201	ENSLOCP00000018751
ENSP00000435897	ENSLOCP00000008535
ENSP00000267229	ENSLOCP00000005468
ENSP00000256257	ENSLOCP00000018630
ENSP00000265840	ENSLOCP00000008197
ENSP00000326342	ENSLOCP00000011139
ENSP00000362123	ENSLOCP00000010416
ENSP00000261441	ENSLOCP00000013514
ENSP00000334040	ENSLOCP00000019709
ENSP00000247225	ENSLOCP00000012530
ENSP00000315137	ENSLOCP00000004972
ENSP00000279146	ENSLOCP00000008334
ENSP00000370521	ENSLOCP00000005524
ENSP00000278836	ENSLOCP00000000440
ENSP00000440626	ENSLOCP00000019990
ENSP00000403130	ENSLOCP00000001737
ENSP00000342518	ENSLOCP00000013668
ENSP00000268097	ENSLOCP00000018433
ENSP00000261416	ENSLOCP00000013521
ENSP00000326604	ENSLOCP00000015352
ENSP00000267102	ENSLOCP00000009361
ENSP00000323246	ENSLOCP00000020082
ENSP00000434199	ENSLOCP00000005801
ENSP00000415899	ENSLOCP00000001831
ENSP00000298288	ENSLOCP00000014005
ENSP00000295628	ENSLOCP00000008478
ENSP00000379568	ENSLOCP00000009209
ENSP00000405969	ENSLOCP00000014172
ENSP00000230792	ENSLOCP00000011152
ENSP00000349874	ENSLOCP00000010382
ENSP00000368414	ENSLOCP00000019467
ENSP00000373364	ENSLOCP00000002811
ENSP00000424544	ENSLOCP00000017220
ENSP00000356256	ENSLOCP00000012330
ENSP00000379999	ENSLOCP00000018191
ENSP00000262144	ENSLOCP00000001634
ENSP00000293883	ENSLOCP00000004159
ENSP00000296411	ENSLOCP00000015024
ENSP00000315152	ENSLOCP00000009246
ENSP00000357907	ENSLOCP00000021010
ENSP00000243253	ENSLOCP00000017782
ENSP00000298428	ENSLOCP00000019338
ENSP00000295887	ENSLOCP00000008570
ENSP00000314792	ENSLOCP00000004776
ENSP00000362894	ENSLOCP00000008246
ENSP00000272430	ENSLOCP00000006225
ENSP00000234677	ENSLOCP00000015462
ENSP00000369346	ENSLOCP00000001703
ENSP00000364765	ENSLOCP00000001416
ENSP00000299295	ENSLOCP00000011730
ENSP00000354669	ENSLOCP00000010228
ENSP00000358120	ENSLOCP00000010437
ENSP00000376568	ENSLOCP00000004549
ENSP00000295890	ENSLOCP00000014020
ENSP00000339958	ENSLOCP00000013001
ENSP00000381436	ENSLOCP00000012933
ENSP00000320957	ENSLOCP00000021178
ENSP00000356299	ENSLOCP00000014266
ENSP00000433361	ENSLOCP00000004104
ENSP00000244051	ENSLOCP00000020844
ENSP00000348565	ENSLOCP00000014263
ENSP00000312017	ENSLOCP00000008288
ENSP00000252674	ENSLOCP00000001136
ENSP00000310841	ENSLOCP00000004146
ENSP00000338171	ENSLOCP00000016556
ENSP00000005587	ENSLOCP00000014498
ENSP00000330572	ENSLOCP00000020709
ENSP00000370503	ENSLOCP00000019483
ENSP00000274008	ENSLOCP00000003252
ENSP00000319814	ENSLOCP00000008641
ENSP00000319788	ENSLOCP00000003285
ENSP00000257347	ENSLOCP00000011032
ENSP00000342604	ENSLOCP00000021332
ENSP00000265018	ENSLOCP00000003863
ENSP00000350833	ENSLOCP00000005642
ENSP00000373594	ENSLOCP00000018126
ENSP00000349181	ENSLOCP00000008902
ENSP00000367038	ENSLOCP00000019307
ENSP00000378725	ENSLOCP00000013788
ENSP00000263026	ENSLOCP00000010038
ENSP00000398048	ENSLOCP00000007947
ENSP00000414856	ENSLOCP00000016680
ENSP00000231061	ENSLOCP00000014340
ENSP00000360366	ENSLOCP00000003926
ENSP00000374014	ENSLOCP00000005604
ENSP00000317000	ENSLOCP00000015903
ENSP00000356967	ENSLOCP00000002251
ENSP00000391774	ENSLOCP00000019956
ENSP00000339449	ENSLOCP00000016374
ENSP00000293879	ENSLOCP00000004051
ENSP00000387654	ENSLOCP00000019278
ENSP00000274569	ENSLOCP00000011225
ENSP00000337226	ENSLOCP00000021821
ENSP00000326933	ENSLOCP00000021466
ENSP00000304670	ENSLOCP00000004527
ENSP00000257575	ENSLOCP00000004183
ENSP00000384477	ENSLOCP00000019615
ENSP00000398971	ENSLOCP00000017595
ENSP00000383936	ENSLOCP00000020518
ENSP00000381102	ENSLOCP00000000735
ENSP00000285419	ENSLOCP00000012479
ENSP00000454836	ENSLOCP00000010781
ENSP00000324810	ENSLOCP00000008249
ENSP00000354772	ENSLOCP00000001442
ENSP00000369141	ENSLOCP00000014197
ENSP00000398181	ENSLOCP00000005378
ENSP00000212355	ENSLOCP00000005863
ENSP00000384610	ENSLOCP00000002371
ENSP00000407509	ENSLOCP00000010584
ENSP00000368066	ENSLOCP00000020305
ENSP00000316339	ENSLOCP00000013496
ENSP00000313050	ENSLOCP00000004942
ENSP00000348069	ENSLOCP00000010673
ENSP00000354476	ENSLOCP00000014623
ENSP00000320509	ENSLOCP00000013908
ENSP00000361557	ENSLOCP00000018417
ENSP00000249396	ENSLOCP00000017602
ENSP00000372191	ENSLOCP00000002849
ENSP00000302485	ENSLOCP00000014288
ENSP00000442318	ENSLOCP00000019925
ENSP00000420270	ENSLOCP00000008689
ENSP00000307863	ENSLOCP00000009781
ENSP00000409279	ENSLOCP00000010831
ENSP00000298746	ENSLOCP00000015986
ENSP00000332148	ENSLOCP00000007469
ENSP00000470652	ENSLOCP00000001801
ENSP00000367931	ENSLOCP00000007499
ENSP00000226021	ENSLOCP00000016802
ENSP00000252729	ENSLOCP00000000199
ENSP00000324403	ENSLOCP00000020423
ENSP00000362144	ENSLOCP00000010452
ENSP00000378145	ENSLOCP00000015102
ENSP00000354532	ENSLOCP00000000998
ENSP00000295324	ENSLOCP00000020469
ENSP00000252992	ENSLOCP00000004755
ENSP00000274192	ENSLOCP00000010646
ENSP00000351138	ENSLOCP00000005019
ENSP00000359827	ENSLOCP00000004422
ENSP00000262866	ENSLOCP00000005015
ENSP00000394049	ENSLOCP00000008866
ENSP00000459043	ENSLOCP00000002212
ENSP00000380690	ENSLOCP00000001865
ENSP00000257787	ENSLOCP00000020932
ENSP00000392678	ENSLOCP00000006887
ENSP00000453854	ENSLOCP00000016239
ENSP00000364965	ENSLOCP00000014439
ENSP00000368758	ENSLOCP00000010270
ENSP00000313226	ENSLOCP00000021737
ENSP00000378548	ENSLOCP00000021805
ENSP00000229955	ENSLOCP00000020972
ENSP00000258456	ENSLOCP00000021900
ENSP00000252338	ENSLOCP00000018112
ENSP00000340176	ENSLOCP00000016261
ENSP00000381824	ENSLOCP00000006875
ENSP00000360642	ENSLOCP00000004665
ENSP00000261844	ENSLOCP00000016529
ENSP00000367823	ENSLOCP00000005320
ENSP00000354991	ENSLOCP00000014593
ENSP00000360757	ENSLOCP00000004389
ENSP00000349364	ENSLOCP00000008370
ENSP00000393785	ENSLOCP00000008201
ENSP00000303580	ENSLOCP00000015521
ENSP00000351740	ENSLOCP00000016081
ENSP00000341597	ENSLOCP00000015290
ENSP00000317224	ENSLOCP00000017978
ENSP00000252998	ENSLOCP00000007114
ENSP00000371297	ENSLOCP00000007216
ENSP00000407118	ENSLOCP00000003475
ENSP00000417955	ENSLOCP00000010263
ENSP00000374049	ENSLOCP00000009979
ENSP00000428205	ENSLOCP00000012226
ENSP00000276326	ENSLOCP00000021307
ENSP00000305839	ENSLOCP00000022414
ENSP00000476603	ENSLOCP00000011147
ENSP00000379512	ENSLOCP00000019892
ENSP00000262301	ENSLOCP00000002092
ENSP00000424381	ENSLOCP00000020794
ENSP00000318165	ENSLOCP00000009140
ENSP00000185150	ENSLOCP00000020065
ENSP00000342609	ENSLOCP00000013634
ENSP00000301452	ENSLOCP00000001152
ENSP00000232974	ENSLOCP00000011791
ENSP00000309548	ENSLOCP00000021696
ENSP00000379503	ENSLOCP00000022444
ENSP00000258399	ENSLOCP00000010864
ENSP00000368253	ENSLOCP00000011386
ENSP00000355902	ENSLOCP00000019783
ENSP00000362122	ENSLOCP00000018886
ENSP00000367198	ENSLOCP00000006400
ENSP00000354053	ENSLOCP00000018500
ENSP00000385730	ENSLOCP00000012909
ENSP00000337512	ENSLOCP00000021700
ENSP00000299721	ENSLOCP00000014659
ENSP00000378464	ENSLOCP00000017992
ENSP00000392452	ENSLOCP00000005671
ENSP00000350260	ENSLOCP00000018643
ENSP00000326063	ENSLOCP00000011775
ENSP00000366582	ENSLOCP00000011905
ENSP00000429763	ENSLOCP00000009440
ENSP00000266556	ENSLOCP00000008276
ENSP00000356574	ENSLOCP00000011287
ENSP00000351536	ENSLOCP00000004608
ENSP00000356476	ENSLOCP00000002063
ENSP00000367879	ENSLOCP00000009512
ENSP00000410964	ENSLOCP00000005283
ENSP00000276461	ENSLOCP00000018876
ENSP00000187762	ENSLOCP00000001777
ENSP00000363824	ENSLOCP00000012222
ENSP00000358314	ENSLOCP00000011083
ENSP00000274382	ENSLOCP00000007805
ENSP00000284486	ENSLOCP00000019478
ENSP00000362684	ENSLOCP00000002930
ENSP00000386935	ENSLOCP00000007353
ENSP00000302413	ENSLOCP00000006364
ENSP00000371278	ENSLOCP00000013822
ENSP00000383449	ENSLOCP00000013475
ENSP00000263382	ENSLOCP00000012223
ENSP00000229595	ENSLOCP00000010192
ENSP00000025301	ENSLOCP00000006980
ENSP00000422464	ENSLOCP00000009975
ENSP00000376865	ENSLOCP00000008493
ENSP00000160382	ENSLOCP00000016657
ENSP00000308772	ENSLOCP00000009855
ENSP00000320076	ENSLOCP00000016152
ENSP00000376141	ENSLOCP00000012121
ENSP00000330051	ENSLOCP00000016314
ENSP00000376330	ENSLOCP00000008829
ENSP00000356426	ENSLOCP00000021012
ENSP00000368215	ENSLOCP00000012559
ENSP00000387282	ENSLOCP00000011803
ENSP00000300176	ENSLOCP00000016417
ENSP00000303222	ENSLOCP00000007465
ENSP00000361060	ENSLOCP00000006892
ENSP00000378313	ENSLOCP00000008476
ENSP00000274496	ENSLOCP00000012870
ENSP00000332772	ENSLOCP00000015282
ENSP00000348852	ENSLOCP00000007551
ENSP00000307552	ENSLOCP00000020939
ENSP00000380779	ENSLOCP00000008887
