ENSP00000262384	ENSGACP00000003450
ENSP00000267287	ENSGACP00000019923
ENSP00000414334	ENSGACP00000003155
ENSP00000264093	ENSGACP00000011268
ENSP00000327104	ENSGACP00000013711
ENSP00000327104	ENSGACP00000007491
ENSP00000356591	ENSGACP00000014495
ENSP00000301466	ENSGACP00000008769
ENSP00000332258	ENSGACP00000005331
ENSP00000332258	ENSGACP00000011841
ENSP00000265276	ENSGACP00000008105
ENSP00000355607	ENSGACP00000009163
ENSP00000337446	ENSGACP00000011794
ENSP00000422031	ENSGACP00000012861
ENSP00000422031	ENSGACP00000006759
ENSP00000467176	ENSGACP00000010604
ENSP00000467176	ENSGACP00000008770
ENSP00000366233	ENSGACP00000017692
ENSP00000366233	ENSGACP00000000605
ENSP00000361185	ENSGACP00000003213
ENSP00000361185	ENSGACP00000011031
ENSP00000469759	ENSGACP00000021779
ENSP00000361177	ENSGACP00000011017
ENSP00000361177	ENSGACP00000003214
ENSP00000259008	ENSGACP00000017925
ENSP00000365280	ENSGACP00000013273
ENSP00000367972	ENSGACP00000004826
ENSP00000391137	ENSGACP00000023724
ENSP00000321388	ENSGACP00000008841
ENSP00000361010	ENSGACP00000010680
ENSP00000323424	ENSGACP00000023472
ENSP00000331944	ENSGACP00000023472
ENSP00000351206	ENSGACP00000017930
ENSP00000351206	ENSGACP00000015542
ENSP00000362711	ENSGACP00000012067
ENSP00000358719	ENSGACP00000006756
ENSP00000440246	ENSGACP00000004225
ENSP00000321070	ENSGACP00000009655
ENSP00000202967	ENSGACP00000001945
ENSP00000354201	ENSGACP00000007399
ENSP00000323687	ENSGACP00000025484
ENSP00000237536	ENSGACP00000007413
ENSP00000362590	ENSGACP00000017473
ENSP00000273980	ENSGACP00000023140
ENSP00000321703	ENSGACP00000011117
ENSP00000321703	ENSGACP00000012616
ENSP00000299927	ENSGACP00000014474
ENSP00000358590	ENSGACP00000016233
ENSP00000358590	ENSGACP00000012111
ENSP00000361857	ENSGACP00000012253
ENSP00000253063	ENSGACP00000007604
ENSP00000393762	ENSGACP00000011747
ENSP00000303077	ENSGACP00000014597
ENSP00000262102	ENSGACP00000024583
ENSP00000262102	ENSGACP00000021734
ENSP00000392057	ENSGACP00000027244
ENSP00000392057	ENSGACP00000015749
ENSP00000296486	ENSGACP00000025927
ENSP00000310978	ENSGACP00000023942
ENSP00000368984	ENSGACP00000024443
ENSP00000265564	ENSGACP00000004061
ENSP00000374354	ENSGACP00000027187
ENSP00000216200	ENSGACP00000011028
ENSP00000363973	ENSGACP00000006043
ENSP00000381581	ENSGACP00000010550
ENSP00000222122	ENSGACP00000014124
ENSP00000302227	ENSGACP00000021110
ENSP00000348234	ENSGACP00000000596
ENSP00000262995	ENSGACP00000022782
ENSP00000399588	ENSGACP00000026874
ENSP00000350199	ENSGACP00000011345
ENSP00000358582	ENSGACP00000017403
ENSP00000346378	ENSGACP00000027640
ENSP00000376372	ENSGACP00000008375
ENSP00000360938	ENSGACP00000022996
ENSP00000255189	ENSGACP00000020821
ENSP00000357005	ENSGACP00000027001
ENSP00000299106	ENSGACP00000026659
ENSP00000299106	ENSGACP00000014114
ENSP00000363001	ENSGACP00000018365
ENSP00000357425	ENSGACP00000016016
ENSP00000340409	ENSGACP00000027235
ENSP00000316589	ENSGACP00000004122
ENSP00000011619	ENSGACP00000023771
ENSP00000362399	ENSGACP00000023898
ENSP00000362399	ENSGACP00000004306
ENSP00000259241	ENSGACP00000013238
ENSP00000290341	ENSGACP00000007037
ENSP00000414019	ENSGACP00000022634
ENSP00000352216	ENSGACP00000015087
ENSP00000275230	ENSGACP00000014513
ENSP00000384398	ENSGACP00000020174
ENSP00000432845	ENSGACP00000017552
ENSP00000385610	ENSGACP00000009935
ENSP00000408395	ENSGACP00000002784
ENSP00000222693	ENSGACP00000012148
ENSP00000339191	ENSGACP00000012139
ENSP00000308219	ENSGACP00000012891
ENSP00000452126	ENSGACP00000017505
ENSP00000297130	ENSGACP00000023819
ENSP00000306997	ENSGACP00000023528
ENSP00000306997	ENSGACP00000025820
ENSP00000352272	ENSGACP00000014446
ENSP00000352272	ENSGACP00000003763
ENSP00000354916	ENSGACP00000017855
ENSP00000354916	ENSGACP00000019205
ENSP00000406751	ENSGACP00000003142
ENSP00000473001	ENSGACP00000009984
ENSP00000279387	ENSGACP00000007237
ENSP00000356708	ENSGACP00000013753
ENSP00000331040	ENSGACP00000002791
ENSP00000240333	ENSGACP00000012810
ENSP00000368981	ENSGACP00000003031
ENSP00000377401	ENSGACP00000017879
ENSP00000454157	ENSGACP00000020655
ENSP00000454157	ENSGACP00000000392
ENSP00000430497	ENSGACP00000003157
ENSP00000413418	ENSGACP00000002828
ENSP00000245541	ENSGACP00000025624
ENSP00000245541	ENSGACP00000016227
ENSP00000341344	ENSGACP00000025318
ENSP00000341344	ENSGACP00000009733
ENSP00000311962	ENSGACP00000025814
ENSP00000356033	ENSGACP00000013206
ENSP00000338343	ENSGACP00000027520
ENSP00000349723	ENSGACP00000017353
ENSP00000349723	ENSGACP00000007319
ENSP00000338774	ENSGACP00000017735
ENSP00000283415	ENSGACP00000011923
ENSP00000283415	ENSGACP00000008743
ENSP00000344648	ENSGACP00000001874
ENSP00000340467	ENSGACP00000018937
ENSP00000340467	ENSGACP00000018824
ENSP00000384197	ENSGACP00000005417
ENSP00000384197	ENSGACP00000024940
ENSP00000263666	ENSGACP00000015565
ENSP00000164640	ENSGACP00000016107
ENSP00000164640	ENSGACP00000000577
ENSP00000413625	ENSGACP00000020989
ENSP00000260385	ENSGACP00000016189
ENSP00000234195	ENSGACP00000003926
ENSP00000386702	ENSGACP00000014699
ENSP00000386702	ENSGACP00000025172
ENSP00000351789	ENSGACP00000025941
ENSP00000360690	ENSGACP00000024768
ENSP00000381298	ENSGACP00000023839
ENSP00000368982	ENSGACP00000023219
ENSP00000424417	ENSGACP00000022260
ENSP00000380921	ENSGACP00000007173
ENSP00000313454	ENSGACP00000021237
ENSP00000290246	ENSGACP00000000535
ENSP00000377566	ENSGACP00000018282
ENSP00000362768	ENSGACP00000000033
ENSP00000262133	ENSGACP00000010370
ENSP00000250416	ENSGACP00000023516
ENSP00000364986	ENSGACP00000014652
ENSP00000294728	ENSGACP00000017877
ENSP00000007969	ENSGACP00000013154
ENSP00000264036	ENSGACP00000011949
ENSP00000264036	ENSGACP00000027451
ENSP00000296755	ENSGACP00000021029
ENSP00000325313	ENSGACP00000017743
ENSP00000325313	ENSGACP00000012899
ENSP00000363621	ENSGACP00000009382
ENSP00000261296	ENSGACP00000018995
ENSP00000298351	ENSGACP00000010396
ENSP00000355800	ENSGACP00000017653
ENSP00000384319	ENSGACP00000020405
ENSP00000287713	ENSGACP00000002181
ENSP00000475750	ENSGACP00000015012
ENSP00000337053	ENSGACP00000017307
ENSP00000369400	ENSGACP00000018450
ENSP00000369400	ENSGACP00000019915
ENSP00000164139	ENSGACP00000001085
ENSP00000164139	ENSGACP00000027314
ENSP00000216392	ENSGACP00000015860
ENSP00000354575	ENSGACP00000016429
ENSP00000345667	ENSGACP00000019957
ENSP00000345667	ENSGACP00000004165
ENSP00000324856	ENSGACP00000020071
ENSP00000312741	ENSGACP00000023162
ENSP00000260386	ENSGACP00000011608
ENSP00000263370	ENSGACP00000013019
ENSP00000263370	ENSGACP00000026891
ENSP00000371073	ENSGACP00000018284
ENSP00000420686	ENSGACP00000003070
ENSP00000367032	ENSGACP00000009145
ENSP00000358217	ENSGACP00000006645
ENSP00000368761	ENSGACP00000022748
ENSP00000215631	ENSGACP00000014176
ENSP00000360025	ENSGACP00000005355
ENSP00000360025	ENSGACP00000020604
ENSP00000364407	ENSGACP00000006633
ENSP00000407613	ENSGACP00000002217
ENSP00000216802	ENSGACP00000002200
ENSP00000376071	ENSGACP00000018240
ENSP00000223145	ENSGACP00000017039
ENSP00000223145	ENSGACP00000000100
ENSP00000332369	ENSGACP00000009047
ENSP00000347721	ENSGACP00000026716
ENSP00000333292	ENSGACP00000026715
ENSP00000309945	ENSGACP00000019784
ENSP00000271064	ENSGACP00000006525
ENSP00000349490	ENSGACP00000000297
ENSP00000307971	ENSGACP00000020302
ENSP00000348089	ENSGACP00000009209
ENSP00000334675	ENSGACP00000001414
ENSP00000288985	ENSGACP00000009280
ENSP00000359264	ENSGACP00000007942
ENSP00000359130	ENSGACP00000017885
ENSP00000368648	ENSGACP00000014804
ENSP00000315386	ENSGACP00000003202
ENSP00000295588	ENSGACP00000018518
ENSP00000311427	ENSGACP00000009919
ENSP00000317332	ENSGACP00000006104
ENSP00000317332	ENSGACP00000023497
ENSP00000273962	ENSGACP00000001155
ENSP00000312356	ENSGACP00000020150
ENSP00000361202	ENSGACP00000024720
ENSP00000376776	ENSGACP00000022999
ENSP00000423600	ENSGACP00000013057
ENSP00000249442	ENSGACP00000015763
ENSP00000284981	ENSGACP00000019895
ENSP00000284981	ENSGACP00000004478
ENSP00000296137	ENSGACP00000022692
ENSP00000317955	ENSGACP00000015502
ENSP00000397050	ENSGACP00000012652
ENSP00000397050	ENSGACP00000026894
ENSP00000284476	ENSGACP00000005789
ENSP00000267889	ENSGACP00000011419
ENSP00000312942	ENSGACP00000018101
ENSP00000312942	ENSGACP00000026829
ENSP00000312550	ENSGACP00000016955
ENSP00000392617	ENSGACP00000009265
ENSP00000378414	ENSGACP00000007600
ENSP00000349547	ENSGACP00000001677
ENSP00000349547	ENSGACP00000002037
ENSP00000347443	ENSGACP00000000491
ENSP00000443021	ENSGACP00000026541
ENSP00000378401	ENSGACP00000023695
ENSP00000349677	ENSGACP00000023820
ENSP00000362201	ENSGACP00000003084
ENSP00000362201	ENSGACP00000011360
ENSP00000315136	ENSGACP00000011142
ENSP00000259698	ENSGACP00000006208
ENSP00000334002	ENSGACP00000024229
ENSP00000328875	ENSGACP00000018699
ENSP00000261475	ENSGACP00000016629
ENSP00000396052	ENSGACP00000026107
ENSP00000265272	ENSGACP00000027432
ENSP00000377015	ENSGACP00000026560
ENSP00000377015	ENSGACP00000013868
ENSP00000400459	ENSGACP00000006776
ENSP00000400459	ENSGACP00000017590
ENSP00000306477	ENSGACP00000008457
ENSP00000313890	ENSGACP00000002059
ENSP00000364912	ENSGACP00000007070
ENSP00000364912	ENSGACP00000001524
ENSP00000358262	ENSGACP00000018536
ENSP00000283131	ENSGACP00000022775
ENSP00000344967	ENSGACP00000027405
ENSP00000302289	ENSGACP00000018207
ENSP00000307508	ENSGACP00000004018
ENSP00000307508	ENSGACP00000020962
ENSP00000367197	ENSGACP00000012709
ENSP00000256592	ENSGACP00000006988
ENSP00000256592	ENSGACP00000013064
ENSP00000469647	ENSGACP00000011035
ENSP00000388402	ENSGACP00000014895
ENSP00000462435	ENSGACP00000023134
ENSP00000353785	ENSGACP00000011358
ENSP00000361027	ENSGACP00000026552
ENSP00000473496	ENSGACP00000003924
ENSP00000362918	ENSGACP00000012672
ENSP00000376384	ENSGACP00000003731
ENSP00000376384	ENSGACP00000020189
ENSP00000217289	ENSGACP00000016502
ENSP00000331201	ENSGACP00000013976
ENSP00000298125	ENSGACP00000000323
ENSP00000233055	ENSGACP00000000293
ENSP00000359506	ENSGACP00000024785
ENSP00000296575	ENSGACP00000022756
ENSP00000246006	ENSGACP00000007510
ENSP00000366307	ENSGACP00000005778
ENSP00000365201	ENSGACP00000003810
ENSP00000308275	ENSGACP00000006808
ENSP00000312834	ENSGACP00000010749
ENSP00000246912	ENSGACP00000018778
ENSP00000370625	ENSGACP00000021461
ENSP00000228347	ENSGACP00000015639
ENSP00000263331	ENSGACP00000003952
ENSP00000349359	ENSGACP00000022936
ENSP00000356437	ENSGACP00000015344
ENSP00000475434	ENSGACP00000008840
ENSP00000226091	ENSGACP00000026315
ENSP00000245323	ENSGACP00000002008
ENSP00000245323	ENSGACP00000020264
ENSP00000204961	ENSGACP00000024487
ENSP00000310521	ENSGACP00000001603
ENSP00000264454	ENSGACP00000004400
ENSP00000343428	ENSGACP00000002449
ENSP00000375894	ENSGACP00000017795
ENSP00000349458	ENSGACP00000008577
ENSP00000302648	ENSGACP00000022211
ENSP00000409007	ENSGACP00000022306
ENSP00000409007	ENSGACP00000010264
ENSP00000216024	ENSGACP00000005959
ENSP00000419471	ENSGACP00000006597
ENSP00000358576	ENSGACP00000010692
ENSP00000367527	ENSGACP00000026519
ENSP00000355185	ENSGACP00000008682
ENSP00000323584	ENSGACP00000005161
ENSP00000323584	ENSGACP00000007388
ENSP00000240587	ENSGACP00000018795
ENSP00000240587	ENSGACP00000017675
ENSP00000360552	ENSGACP00000014721
ENSP00000233575	ENSGACP00000014244
ENSP00000363386	ENSGACP00000017970
ENSP00000354163	ENSGACP00000005675
ENSP00000354163	ENSGACP00000015972
ENSP00000355204	ENSGACP00000019484
ENSP00000363419	ENSGACP00000012200
ENSP00000440273	ENSGACP00000013135
ENSP00000345492	ENSGACP00000008314
ENSP00000354947	ENSGACP00000012097
ENSP00000012443	ENSGACP00000016905
ENSP00000286719	ENSGACP00000021543
ENSP00000286719	ENSGACP00000018244
ENSP00000354871	ENSGACP00000019901
ENSP00000283179	ENSGACP00000006180
ENSP00000302811	ENSGACP00000022296
ENSP00000257068	ENSGACP00000027231
ENSP00000335628	ENSGACP00000017006
ENSP00000366829	ENSGACP00000013149
ENSP00000264033	ENSGACP00000027452
ENSP00000264033	ENSGACP00000011960
ENSP00000270279	ENSGACP00000004441
ENSP00000284288	ENSGACP00000026588
ENSP00000227638	ENSGACP00000025338
ENSP00000379183	ENSGACP00000017793
ENSP00000386869	ENSGACP00000017329
ENSP00000442788	ENSGACP00000023189
ENSP00000304642	ENSGACP00000023779
ENSP00000395249	ENSGACP00000019973
ENSP00000268184	ENSGACP00000023037
ENSP00000296785	ENSGACP00000020897
ENSP00000305071	ENSGACP00000017336
ENSP00000367631	ENSGACP00000005991
ENSP00000266991	ENSGACP00000011961
ENSP00000367965	ENSGACP00000027416
ENSP00000273183	ENSGACP00000012191
ENSP00000327509	ENSGACP00000011751
ENSP00000327509	ENSGACP00000008009
ENSP00000329200	ENSGACP00000008289
ENSP00000413929	ENSGACP00000025880
ENSP00000339692	ENSGACP00000009155
ENSP00000368710	ENSGACP00000007501
ENSP00000340578	ENSGACP00000024109
ENSP00000418001	ENSGACP00000020799
ENSP00000476119	ENSGACP00000006537
ENSP00000306015	ENSGACP00000025821
ENSP00000377789	ENSGACP00000024304
ENSP00000347717	ENSGACP00000018840
ENSP00000339883	ENSGACP00000005377
ENSP00000279263	ENSGACP00000026799
ENSP00000273067	ENSGACP00000008045
ENSP00000266643	ENSGACP00000015512
ENSP00000266643	ENSGACP00000000754
ENSP00000262300	ENSGACP00000009564
ENSP00000402084	ENSGACP00000012896
ENSP00000380675	ENSGACP00000018088
ENSP00000404042	ENSGACP00000017445
ENSP00000278070	ENSGACP00000009690
ENSP00000278070	ENSGACP00000024244
ENSP00000228515	ENSGACP00000014476
ENSP00000379090	ENSGACP00000017021
ENSP00000379090	ENSGACP00000025619
ENSP00000261377	ENSGACP00000025783
ENSP00000363640	ENSGACP00000017361
ENSP00000289248	ENSGACP00000018062
ENSP00000363516	ENSGACP00000012509
ENSP00000407958	ENSGACP00000018471
ENSP00000365503	ENSGACP00000014129
ENSP00000429615	ENSGACP00000026513
ENSP00000273859	ENSGACP00000017404
ENSP00000349325	ENSGACP00000018165
ENSP00000313172	ENSGACP00000018510
ENSP00000254765	ENSGACP00000018515
ENSP00000264231	ENSGACP00000001839
ENSP00000314420	ENSGACP00000025523
ENSP00000356243	ENSGACP00000012970
ENSP00000366452	ENSGACP00000026097
ENSP00000452027	ENSGACP00000009954
ENSP00000258796	ENSGACP00000018668
ENSP00000258796	ENSGACP00000021805
ENSP00000365714	ENSGACP00000014181
ENSP00000269346	ENSGACP00000004299
ENSP00000269346	ENSGACP00000014369
ENSP00000366998	ENSGACP00000006237
ENSP00000371483	ENSGACP00000002260
ENSP00000371483	ENSGACP00000021060
ENSP00000321424	ENSGACP00000023831
ENSP00000376702	ENSGACP00000006965
ENSP00000323183	ENSGACP00000011463
ENSP00000476746	ENSGACP00000018198
ENSP00000269740	ENSGACP00000004301
ENSP00000254770	ENSGACP00000001254
ENSP00000388713	ENSGACP00000019479
ENSP00000259512	ENSGACP00000007449
ENSP00000158771	ENSGACP00000024316
ENSP00000384744	ENSGACP00000019498
ENSP00000411827	ENSGACP00000024755
ENSP00000315106	ENSGACP00000018636
ENSP00000286523	ENSGACP00000014813
ENSP00000286523	ENSGACP00000012940
ENSP00000370242	ENSGACP00000018529
ENSP00000362260	ENSGACP00000024145
ENSP00000294740	ENSGACP00000009087
ENSP00000294740	ENSGACP00000012574
ENSP00000291900	ENSGACP00000024440
ENSP00000434359	ENSGACP00000001938
ENSP00000434359	ENSGACP00000006224
ENSP00000252530	ENSGACP00000011863
ENSP00000367828	ENSGACP00000010599
ENSP00000362395	ENSGACP00000024535
ENSP00000330774	ENSGACP00000004863
ENSP00000379901	ENSGACP00000000649
ENSP00000400471	ENSGACP00000005287
ENSP00000343144	ENSGACP00000004652
ENSP00000352414	ENSGACP00000004483
ENSP00000274625	ENSGACP00000023677
ENSP00000386212	ENSGACP00000002254
ENSP00000355325	ENSGACP00000018806
ENSP00000364839	ENSGACP00000016946
ENSP00000391447	ENSGACP00000015043
ENSP00000384515	ENSGACP00000005110
ENSP00000391583	ENSGACP00000005117
ENSP00000367157	ENSGACP00000011266
ENSP00000379880	ENSGACP00000010662
ENSP00000291592	ENSGACP00000019727
ENSP00000291592	ENSGACP00000002940
ENSP00000292599	ENSGACP00000022320
ENSP00000434552	ENSGACP00000016051
ENSP00000382713	ENSGACP00000011864
ENSP00000386918	ENSGACP00000009673
ENSP00000417970	ENSGACP00000021277
ENSP00000366070	ENSGACP00000020609
ENSP00000301336	ENSGACP00000011319
ENSP00000365014	ENSGACP00000021496
ENSP00000262662	ENSGACP00000014713
ENSP00000377224	ENSGACP00000025761
ENSP00000303437	ENSGACP00000018767
ENSP00000356918	ENSGACP00000017272
ENSP00000308926	ENSGACP00000007140
ENSP00000356857	ENSGACP00000014491
ENSP00000321445	ENSGACP00000003668
ENSP00000296096	ENSGACP00000005501
ENSP00000455444	ENSGACP00000003808
ENSP00000358081	ENSGACP00000004396
ENSP00000287322	ENSGACP00000015549
ENSP00000369887	ENSGACP00000020864
ENSP00000441039	ENSGACP00000004308
ENSP00000453076	ENSGACP00000010443
ENSP00000298110	ENSGACP00000022735
ENSP00000430269	ENSGACP00000020470
ENSP00000328090	ENSGACP00000019099
ENSP00000296358	ENSGACP00000012078
ENSP00000304108	ENSGACP00000019681
ENSP00000367356	ENSGACP00000012185
ENSP00000293443	ENSGACP00000005671
ENSP00000410626	ENSGACP00000015027
ENSP00000436318	ENSGACP00000025152
ENSP00000270142	ENSGACP00000027215
ENSP00000371554	ENSGACP00000023573
ENSP00000377724	ENSGACP00000004951
ENSP00000243045	ENSGACP00000014216
ENSP00000326869	ENSGACP00000003458
ENSP00000269582	ENSGACP00000007960
ENSP00000357660	ENSGACP00000003479
ENSP00000424711	ENSGACP00000022496
ENSP00000261172	ENSGACP00000026186
ENSP00000262551	ENSGACP00000005348
ENSP00000360688	ENSGACP00000021898
ENSP00000387292	ENSGACP00000016916
ENSP00000320757	ENSGACP00000010976
ENSP00000418529	ENSGACP00000005711
ENSP00000269097	ENSGACP00000004496
ENSP00000369816	ENSGACP00000025594
ENSP00000331831	ENSGACP00000020198
ENSP00000290216	ENSGACP00000023991
ENSP00000272732	ENSGACP00000006246
ENSP00000362993	ENSGACP00000013276
ENSP00000266744	ENSGACP00000026483
ENSP00000265299	ENSGACP00000013384
ENSP00000277632	ENSGACP00000011576
ENSP00000257515	ENSGACP00000000058
ENSP00000354958	ENSGACP00000015768
ENSP00000331462	ENSGACP00000004506
ENSP00000340494	ENSGACP00000005880
ENSP00000337731	ENSGACP00000025356
ENSP00000253796	ENSGACP00000011240
ENSP00000242249	ENSGACP00000002795
ENSP00000343248	ENSGACP00000011227
ENSP00000356811	ENSGACP00000014608
ENSP00000376035	ENSGACP00000010159
ENSP00000300101	ENSGACP00000015554
ENSP00000307449	ENSGACP00000004049
ENSP00000246190	ENSGACP00000008028
ENSP00000246190	ENSGACP00000009057
ENSP00000356481	ENSGACP00000019425
ENSP00000356481	ENSGACP00000006710
ENSP00000362409	ENSGACP00000023901
ENSP00000401338	ENSGACP00000021583
ENSP00000320318	ENSGACP00000013045
ENSP00000261655	ENSGACP00000016188
ENSP00000261655	ENSGACP00000023247
ENSP00000215906	ENSGACP00000016650
ENSP00000378437	ENSGACP00000021837
ENSP00000308057	ENSGACP00000024331
ENSP00000364814	ENSGACP00000007029
ENSP00000358795	ENSGACP00000021533
ENSP00000358795	ENSGACP00000012372
ENSP00000358815	ENSGACP00000024214
ENSP00000307801	ENSGACP00000026558
ENSP00000307801	ENSGACP00000013855
ENSP00000358430	ENSGACP00000004675
ENSP00000182527	ENSGACP00000012315
ENSP00000263671	ENSGACP00000027370
ENSP00000297265	ENSGACP00000005284
ENSP00000348489	ENSGACP00000005283
ENSP00000396160	ENSGACP00000017040
ENSP00000311127	ENSGACP00000022453
ENSP00000451040	ENSGACP00000010404
ENSP00000369395	ENSGACP00000001265
ENSP00000456548	ENSGACP00000021790
ENSP00000285311	ENSGACP00000023120
ENSP00000363081	ENSGACP00000012072
ENSP00000359098	ENSGACP00000015623
ENSP00000266269	ENSGACP00000001925
ENSP00000320797	ENSGACP00000009306
ENSP00000387851	ENSGACP00000004841
ENSP00000334665	ENSGACP00000014562
ENSP00000334665	ENSGACP00000012791
ENSP00000439625	ENSGACP00000014777
ENSP00000380185	ENSGACP00000013467
ENSP00000344961	ENSGACP00000015486
ENSP00000359795	ENSGACP00000021892
ENSP00000319254	ENSGACP00000011635
ENSP00000369858	ENSGACP00000027165
ENSP00000450842	ENSGACP00000012853
ENSP00000230461	ENSGACP00000015599
ENSP00000230461	ENSGACP00000009111
ENSP00000402698	ENSGACP00000003655
ENSP00000362613	ENSGACP00000022605
ENSP00000474621	ENSGACP00000020380
ENSP00000380437	ENSGACP00000002804
ENSP00000391481	ENSGACP00000002082
ENSP00000265986	ENSGACP00000003871
ENSP00000346890	ENSGACP00000004729
ENSP00000346890	ENSGACP00000013134
ENSP00000297293	ENSGACP00000016053
ENSP00000362469	ENSGACP00000019416
ENSP00000360966	ENSGACP00000018866
ENSP00000370724	ENSGACP00000006296
ENSP00000349351	ENSGACP00000000094
ENSP00000349351	ENSGACP00000002078
ENSP00000348752	ENSGACP00000027458
ENSP00000328216	ENSGACP00000015698
ENSP00000355799	ENSGACP00000007913
ENSP00000296130	ENSGACP00000004036
ENSP00000296130	ENSGACP00000009450
ENSP00000299642	ENSGACP00000020765
ENSP00000280701	ENSGACP00000010655
ENSP00000304592	ENSGACP00000002882
ENSP00000296980	ENSGACP00000013745
ENSP00000314976	ENSGACP00000017432
ENSP00000249647	ENSGACP00000014668
ENSP00000361287	ENSGACP00000010580
ENSP00000361287	ENSGACP00000005565
ENSP00000303147	ENSGACP00000011109
ENSP00000303147	ENSGACP00000022664
ENSP00000377665	ENSGACP00000015861
ENSP00000064780	ENSGACP00000010877
ENSP00000398778	ENSGACP00000025518
ENSP00000257209	ENSGACP00000010597
ENSP00000257209	ENSGACP00000010030
ENSP00000335038	ENSGACP00000018698
ENSP00000384967	ENSGACP00000001112
ENSP00000304032	ENSGACP00000016481
ENSP00000380524	ENSGACP00000017818
ENSP00000361004	ENSGACP00000027380
ENSP00000295666	ENSGACP00000021416
ENSP00000333142	ENSGACP00000026245
ENSP00000388731	ENSGACP00000002687
ENSP00000400892	ENSGACP00000008820
ENSP00000252996	ENSGACP00000019908
ENSP00000252996	ENSGACP00000013177
ENSP00000348395	ENSGACP00000000634
ENSP00000357844	ENSGACP00000008597
ENSP00000465734	ENSGACP00000023345
ENSP00000367123	ENSGACP00000026093
ENSP00000343657	ENSGACP00000006446
ENSP00000419027	ENSGACP00000014404
ENSP00000377549	ENSGACP00000018947
ENSP00000473631	ENSGACP00000005504
ENSP00000406463	ENSGACP00000011616
ENSP00000406463	ENSGACP00000008220
ENSP00000384126	ENSGACP00000027573
ENSP00000328625	ENSGACP00000002720
ENSP00000310447	ENSGACP00000004065
ENSP00000310447	ENSGACP00000007718
ENSP00000369383	ENSGACP00000008121
ENSP00000469836	ENSGACP00000010818
ENSP00000321271	ENSGACP00000011838
ENSP00000292476	ENSGACP00000010328
ENSP00000400482	ENSGACP00000020336
ENSP00000384849	ENSGACP00000001358
ENSP00000228872	ENSGACP00000004917
ENSP00000378651	ENSGACP00000005923
ENSP00000265388	ENSGACP00000000923
ENSP00000450864	ENSGACP00000012187
ENSP00000294309	ENSGACP00000019165
ENSP00000263849	ENSGACP00000003109
ENSP00000294312	ENSGACP00000018732
ENSP00000471477	ENSGACP00000010703
ENSP00000237837	ENSGACP00000026296
ENSP00000287295	ENSGACP00000026857
ENSP00000392094	ENSGACP00000012188
ENSP00000230381	ENSGACP00000016299
ENSP00000230381	ENSGACP00000004211
ENSP00000278833	ENSGACP00000022339
ENSP00000278833	ENSGACP00000026795
ENSP00000380888	ENSGACP00000026700
ENSP00000370223	ENSGACP00000012012
ENSP00000311695	ENSGACP00000022536
ENSP00000384040	ENSGACP00000017779
ENSP00000384040	ENSGACP00000025405
ENSP00000398481	ENSGACP00000011443
ENSP00000215838	ENSGACP00000011296
ENSP00000359380	ENSGACP00000003149
ENSP00000359380	ENSGACP00000011262
ENSP00000358880	ENSGACP00000010350
ENSP00000358880	ENSGACP00000001314
ENSP00000278071	ENSGACP00000012243
ENSP00000357840	ENSGACP00000008587
ENSP00000318602	ENSGACP00000017721
ENSP00000318602	ENSGACP00000007057
ENSP00000359848	ENSGACP00000021835
ENSP00000237937	ENSGACP00000015204
ENSP00000237937	ENSGACP00000023797
ENSP00000326128	ENSGACP00000023169
ENSP00000393887	ENSGACP00000021233
ENSP00000369436	ENSGACP00000025589
ENSP00000410157	ENSGACP00000014881
ENSP00000344456	ENSGACP00000007992
ENSP00000268154	ENSGACP00000014323
ENSP00000268154	ENSGACP00000021759
ENSP00000264313	ENSGACP00000018695
ENSP00000370003	ENSGACP00000015037
ENSP00000370003	ENSGACP00000024002
ENSP00000357625	ENSGACP00000012570
ENSP00000328992	ENSGACP00000027247
ENSP00000318690	ENSGACP00000021404
ENSP00000376224	ENSGACP00000017347
ENSP00000463375	ENSGACP00000001472
ENSP00000463375	ENSGACP00000022016
ENSP00000306328	ENSGACP00000010024
ENSP00000364140	ENSGACP00000019110
ENSP00000364140	ENSGACP00000000737
ENSP00000426809	ENSGACP00000021984
ENSP00000426809	ENSGACP00000022508
ENSP00000325266	ENSGACP00000023290
ENSP00000311760	ENSGACP00000012908
ENSP00000256367	ENSGACP00000016048
ENSP00000303997	ENSGACP00000026065
ENSP00000303997	ENSGACP00000011907
ENSP00000346080	ENSGACP00000016579
ENSP00000235628	ENSGACP00000008874
ENSP00000235628	ENSGACP00000012223
ENSP00000331474	ENSGACP00000007775
ENSP00000331474	ENSGACP00000017080
ENSP00000375859	ENSGACP00000017165
ENSP00000316891	ENSGACP00000022032
ENSP00000316891	ENSGACP00000022620
ENSP00000346874	ENSGACP00000003238
ENSP00000341171	ENSGACP00000018828
ENSP00000341171	ENSGACP00000017695
ENSP00000429064	ENSGACP00000008818
ENSP00000429064	ENSGACP00000012656
ENSP00000388823	ENSGACP00000011083
ENSP00000307722	ENSGACP00000027389
ENSP00000256797	ENSGACP00000022089
ENSP00000381053	ENSGACP00000023180
ENSP00000418210	ENSGACP00000013240
ENSP00000418210	ENSGACP00000020064
ENSP00000367494	ENSGACP00000002785
ENSP00000387266	ENSGACP00000006076
ENSP00000387266	ENSGACP00000006810
ENSP00000237281	ENSGACP00000015311
ENSP00000377409	ENSGACP00000022667
