ENSMODP00000016222	ENSACAP00000005936
ENSMODP00000017861	ENSACAP00000020680
ENSMODP00000019785	ENSACAP00000010845
ENSMODP00000013715	ENSACAP00000017065
ENSMODP00000002105	ENSACAP00000021596
ENSMODP00000007274	ENSACAP00000009943
ENSMODP00000002115	ENSACAP00000015119
ENSMODP00000003752	ENSACAP00000013146
ENSMODP00000024299	ENSACAP00000015169
ENSMODP00000008475	ENSACAP00000000050
ENSMODP00000014960	ENSACAP00000010893
ENSMODP00000002379	ENSACAP00000015207
ENSMODP00000026022	ENSACAP00000006309
ENSMODP00000022909	ENSACAP00000000038
ENSMODP00000021212	ENSACAP00000011974
ENSMODP00000017819	ENSACAP00000000912
ENSMODP00000025593	ENSACAP00000008907
ENSMODP00000005101	ENSACAP00000017468
ENSMODP00000018263	ENSACAP00000022199
ENSMODP00000014146	ENSACAP00000003085
ENSMODP00000020621	ENSACAP00000013739
ENSMODP00000020966	ENSACAP00000015174
ENSMODP00000024435	ENSACAP00000013626
ENSMODP00000022554	ENSACAP00000014843
ENSMODP00000022491	ENSACAP00000004223
ENSMODP00000002125	ENSACAP00000010164
ENSMODP00000022004	ENSACAP00000019520
ENSMODP00000021415	ENSACAP00000004781
ENSMODP00000021822	ENSACAP00000004556
ENSMODP00000021414	ENSACAP00000011319
ENSMODP00000005123	ENSACAP00000002618
ENSMODP00000021523	ENSACAP00000010385
ENSMODP00000013320	ENSACAP00000003466
ENSMODP00000015379	ENSACAP00000006186
ENSMODP00000011548	ENSACAP00000008191
ENSMODP00000019299	ENSACAP00000008665
ENSMODP00000030807	ENSACAP00000006980
ENSMODP00000016719	ENSACAP00000016608
ENSMODP00000040791	ENSACAP00000003999
ENSMODP00000025787	ENSACAP00000008246
ENSMODP00000011728	ENSACAP00000010163
ENSMODP00000028759	ENSACAP00000008730
ENSMODP00000006780	ENSACAP00000002524
ENSMODP00000021852	ENSACAP00000000330
ENSMODP00000024163	ENSACAP00000006393
ENSMODP00000025563	ENSACAP00000007364
ENSMODP00000028901	ENSACAP00000000699
ENSMODP00000002157	ENSACAP00000009334
ENSMODP00000022841	ENSACAP00000014941
ENSMODP00000021988	ENSACAP00000016656
ENSMODP00000013582	ENSACAP00000010835
ENSMODP00000022436	ENSACAP00000006007
ENSMODP00000000187	ENSACAP00000013695
ENSMODP00000004345	ENSACAP00000003569
ENSMODP00000013530	ENSACAP00000000248
ENSMODP00000039129	ENSACAP00000009915
ENSMODP00000037855	ENSACAP00000006482
ENSMODP00000011440	ENSACAP00000003967
ENSMODP00000019202	ENSACAP00000003520
ENSMODP00000001457	ENSACAP00000008631
ENSMODP00000015719	ENSACAP00000002386
ENSMODP00000025489	ENSACAP00000008533
ENSMODP00000025762	ENSACAP00000012376
ENSMODP00000005094	ENSACAP00000016666
ENSMODP00000023625	ENSACAP00000012500
ENSMODP00000012594	ENSACAP00000017384
ENSMODP00000010237	ENSACAP00000012031
ENSMODP00000000934	ENSACAP00000015971
ENSMODP00000003150	ENSACAP00000011682
ENSMODP00000019976	ENSACAP00000005251
ENSMODP00000006082	ENSACAP00000004686
ENSMODP00000020657	ENSACAP00000004684
ENSMODP00000026055	ENSACAP00000018673
ENSMODP00000002766	ENSACAP00000007629
ENSMODP00000000399	ENSACAP00000002918
ENSMODP00000005825	ENSACAP00000012148
ENSMODP00000011531	ENSACAP00000011691
ENSMODP00000011033	ENSACAP00000009061
ENSMODP00000000838	ENSACAP00000002167
ENSMODP00000014368	ENSACAP00000012892
ENSMODP00000025340	ENSACAP00000022695
ENSMODP00000017239	ENSACAP00000011125
ENSMODP00000008441	ENSACAP00000003273
ENSMODP00000018248	ENSACAP00000010351
ENSMODP00000024624	ENSACAP00000016558
ENSMODP00000026280	ENSACAP00000014653
ENSMODP00000006642	ENSACAP00000000996
ENSMODP00000013456	ENSACAP00000017376
ENSMODP00000022110	ENSACAP00000001503
ENSMODP00000023187	ENSACAP00000012304
ENSMODP00000006952	ENSACAP00000001349
ENSMODP00000034906	ENSACAP00000003529
ENSMODP00000011646	ENSACAP00000018362
ENSMODP00000018743	ENSACAP00000016889
ENSMODP00000029642	ENSACAP00000003761
ENSMODP00000001893	ENSACAP00000008371
ENSMODP00000016281	ENSACAP00000005206
ENSMODP00000023270	ENSACAP00000015691
ENSMODP00000022210	ENSACAP00000023037
ENSMODP00000005227	ENSACAP00000006328
ENSMODP00000023242	ENSACAP00000004846
ENSMODP00000015362	ENSACAP00000006134
ENSMODP00000001219	ENSACAP00000013341
ENSMODP00000003434	ENSACAP00000007904
ENSMODP00000008501	ENSACAP00000002346
ENSMODP00000032729	ENSACAP00000002151
ENSMODP00000006029	ENSACAP00000015029
ENSMODP00000023139	ENSACAP00000008005
ENSMODP00000020292	ENSACAP00000016412
ENSMODP00000021849	ENSACAP00000010115
ENSMODP00000040586	ENSACAP00000013571
ENSMODP00000039503	ENSACAP00000003630
ENSMODP00000013770	ENSACAP00000010055
ENSMODP00000002547	ENSACAP00000015877
ENSMODP00000007208	ENSACAP00000004055
ENSMODP00000007632	ENSACAP00000013204
ENSMODP00000001534	ENSACAP00000014434
ENSMODP00000019745	ENSACAP00000006424
ENSMODP00000019494	ENSACAP00000011574
ENSMODP00000035126	ENSACAP00000000087
ENSMODP00000011937	ENSACAP00000014523
ENSMODP00000023649	ENSACAP00000013188
ENSMODP00000000328	ENSACAP00000009727
ENSMODP00000039408	ENSACAP00000003139
ENSMODP00000012595	ENSACAP00000000517
ENSMODP00000001926	ENSACAP00000015006
ENSMODP00000024807	ENSACAP00000014443
ENSMODP00000002135	ENSACAP00000009380
ENSMODP00000017725	ENSACAP00000002608
ENSMODP00000019585	ENSACAP00000014738
ENSMODP00000010223	ENSACAP00000016556
ENSMODP00000008591	ENSACAP00000003341
ENSMODP00000020321	ENSACAP00000017614
ENSMODP00000038904	ENSACAP00000004858
ENSMODP00000012579	ENSACAP00000008700
ENSMODP00000023619	ENSACAP00000014499
ENSMODP00000038304	ENSACAP00000000995
ENSMODP00000002443	ENSACAP00000010725
ENSMODP00000003794	ENSACAP00000021654
ENSMODP00000033223	ENSACAP00000007249
ENSMODP00000005230	ENSACAP00000007230
ENSMODP00000009029	ENSACAP00000006279
ENSMODP00000001300	ENSACAP00000015534
ENSMODP00000008368	ENSACAP00000013532
ENSMODP00000009421	ENSACAP00000004470
ENSMODP00000010627	ENSACAP00000003754
ENSMODP00000010403	ENSACAP00000002925
ENSMODP00000011986	ENSACAP00000012849
ENSMODP00000002576	ENSACAP00000014874
ENSMODP00000008240	ENSACAP00000011857
ENSMODP00000024362	ENSACAP00000023141
ENSMODP00000021761	ENSACAP00000011310
ENSMODP00000002164	ENSACAP00000008583
ENSMODP00000001721	ENSACAP00000000854
ENSMODP00000026291	ENSACAP00000002833
ENSMODP00000017128	ENSACAP00000012559
ENSMODP00000007108	ENSACAP00000001157
ENSMODP00000004867	ENSACAP00000014673
ENSMODP00000010692	ENSACAP00000011215
ENSMODP00000005945	ENSACAP00000005402
ENSMODP00000000301	ENSACAP00000013467
ENSMODP00000010528	ENSACAP00000008325
ENSMODP00000010073	ENSACAP00000009634
ENSMODP00000032191	ENSACAP00000010067
ENSMODP00000009501	ENSACAP00000013997
ENSMODP00000003910	ENSACAP00000006082
ENSMODP00000010268	ENSACAP00000004023
ENSMODP00000001101	ENSACAP00000001818
ENSMODP00000023734	ENSACAP00000006381
ENSMODP00000002815	ENSACAP00000010058
ENSMODP00000012726	ENSACAP00000003106
ENSMODP00000002854	ENSACAP00000016079
ENSMODP00000004406	ENSACAP00000003603
ENSMODP00000009401	ENSACAP00000017352
ENSMODP00000017551	ENSACAP00000000869
ENSMODP00000001455	ENSACAP00000015452
ENSMODP00000030254	ENSACAP00000013246
ENSMODP00000015519	ENSACAP00000007251
ENSMODP00000025939	ENSACAP00000012888
ENSMODP00000029725	ENSACAP00000002214
ENSMODP00000007595	ENSACAP00000002183
ENSMODP00000000448	ENSACAP00000006840
ENSMODP00000016476	ENSACAP00000016121
ENSMODP00000013976	ENSACAP00000003415
ENSMODP00000000581	ENSACAP00000012684
ENSMODP00000037324	ENSACAP00000011476
ENSMODP00000021756	ENSACAP00000016636
ENSMODP00000014791	ENSACAP00000011424
ENSMODP00000008892	ENSACAP00000008175
ENSMODP00000007535	ENSACAP00000006218
ENSMODP00000029151	ENSACAP00000005959
ENSMODP00000014301	ENSACAP00000004059
ENSMODP00000004279	ENSACAP00000003171
ENSMODP00000017986	ENSACAP00000016840
ENSMODP00000016550	ENSACAP00000002005
ENSMODP00000002057	ENSACAP00000009719
ENSMODP00000022190	ENSACAP00000022743
ENSMODP00000016112	ENSACAP00000005096
ENSMODP00000011712	ENSACAP00000002514
ENSMODP00000003168	ENSACAP00000010322
ENSMODP00000006821	ENSACAP00000023298
ENSMODP00000007341	ENSACAP00000005843
ENSMODP00000023634	ENSACAP00000001494
ENSMODP00000008755	ENSACAP00000005277
ENSMODP00000021714	ENSACAP00000016539
ENSMODP00000022716	ENSACAP00000010437
ENSMODP00000000802	ENSACAP00000003782
ENSMODP00000023352	ENSACAP00000008233
ENSMODP00000011249	ENSACAP00000011240
ENSMODP00000011702	ENSACAP00000021866
ENSMODP00000016105	ENSACAP00000005050
ENSMODP00000005316	ENSACAP00000023397
ENSMODP00000004548	ENSACAP00000017196
ENSMODP00000000178	ENSACAP00000014270
ENSMODP00000027542	ENSACAP00000020004
ENSMODP00000021395	ENSACAP00000011387
ENSMODP00000021711	ENSACAP00000016535
ENSMODP00000008261	ENSACAP00000005124
ENSMODP00000017293	ENSACAP00000009874
ENSMODP00000002996	ENSACAP00000009501
ENSMODP00000022804	ENSACAP00000009866
ENSMODP00000040099	ENSACAP00000013770
ENSMODP00000025661	ENSACAP00000007055
ENSMODP00000000136	ENSACAP00000013607
ENSMODP00000009833	ENSACAP00000013301
ENSMODP00000000410	ENSACAP00000011641
ENSMODP00000022549	ENSACAP00000022969
ENSMODP00000025381	ENSACAP00000010250
ENSMODP00000031211	ENSACAP00000020262
ENSMODP00000022552	ENSACAP00000020284
ENSMODP00000022480	ENSACAP00000005392
ENSMODP00000000623	ENSACAP00000019824
ENSMODP00000000937	ENSACAP00000011605
ENSMODP00000001469	ENSACAP00000011944
ENSMODP00000035585	ENSACAP00000016335
ENSMODP00000012855	ENSACAP00000016587
ENSMODP00000018160	ENSACAP00000002716
ENSMODP00000004313	ENSACAP00000000790
ENSMODP00000004249	ENSACAP00000000608
ENSMODP00000020356	ENSACAP00000004750
ENSMODP00000003924	ENSACAP00000012957
ENSMODP00000014627	ENSACAP00000006616
ENSMODP00000037223	ENSACAP00000010965
ENSMODP00000023811	ENSACAP00000015214
ENSMODP00000019379	ENSACAP00000005706
ENSMODP00000015068	ENSACAP00000014821
ENSMODP00000040581	ENSACAP00000012225
ENSMODP00000023432	ENSACAP00000016473
ENSMODP00000000143	ENSACAP00000008659
ENSMODP00000003046	ENSACAP00000011492
ENSMODP00000003297	ENSACAP00000012724
ENSMODP00000006859	ENSACAP00000006747
ENSMODP00000005883	ENSACAP00000005316
ENSMODP00000004209	ENSACAP00000003014
ENSMODP00000019311	ENSACAP00000000948
ENSMODP00000007439	ENSACAP00000002835
ENSMODP00000022689	ENSACAP00000013553
ENSMODP00000018831	ENSACAP00000000376
ENSMODP00000010999	ENSACAP00000003954
ENSMODP00000024289	ENSACAP00000015240
ENSMODP00000021901	ENSACAP00000015684
ENSMODP00000024261	ENSACAP00000009682
ENSMODP00000026362	ENSACAP00000023478
ENSMODP00000025903	ENSACAP00000011929
ENSMODP00000003590	ENSACAP00000011921
ENSMODP00000037274	ENSACAP00000020027
ENSMODP00000035224	ENSACAP00000003729
ENSMODP00000014386	ENSACAP00000012384
ENSMODP00000021896	ENSACAP00000020649
ENSMODP00000016277	ENSACAP00000014734
ENSMODP00000024593	ENSACAP00000016355
ENSMODP00000021325	ENSACAP00000002246
ENSMODP00000012015	ENSACAP00000006385
ENSMODP00000026268	ENSACAP00000014509
ENSMODP00000014292	ENSACAP00000019794
ENSMODP00000019360	ENSACAP00000022435
ENSMODP00000011856	ENSACAP00000012305
ENSMODP00000000810	ENSACAP00000015250
ENSMODP00000010718	ENSACAP00000014928
ENSMODP00000005938	ENSACAP00000002362
ENSMODP00000000563	ENSACAP00000013799
ENSMODP00000017785	ENSACAP00000017492
ENSMODP00000024110	ENSACAP00000017699
ENSMODP00000027725	ENSACAP00000014025
ENSMODP00000021221	ENSACAP00000013500
ENSMODP00000021193	ENSACAP00000000522
ENSMODP00000032514	ENSACAP00000017645
ENSMODP00000018198	ENSACAP00000008491
ENSMODP00000003004	ENSACAP00000015876
ENSMODP00000037026	ENSACAP00000001347
ENSMODP00000000717	ENSACAP00000008888
ENSMODP00000003457	ENSACAP00000001073
ENSMODP00000014686	ENSACAP00000002117
ENSMODP00000007235	ENSACAP00000000931
ENSMODP00000018316	ENSACAP00000017629
ENSMODP00000018999	ENSACAP00000001540
ENSMODP00000013909	ENSACAP00000004257
ENSMODP00000016150	ENSACAP00000001985
ENSMODP00000000153	ENSACAP00000011135
ENSMODP00000015953	ENSACAP00000001526
ENSMODP00000019118	ENSACAP00000004118
ENSMODP00000000274	ENSACAP00000002773
ENSMODP00000003057	ENSACAP00000005772
ENSMODP00000019700	ENSACAP00000012097
ENSMODP00000002973	ENSACAP00000010610
ENSMODP00000001583	ENSACAP00000006167
ENSMODP00000003418	ENSACAP00000014727
ENSMODP00000016915	ENSACAP00000007864
ENSMODP00000007245	ENSACAP00000014612
ENSMODP00000020592	ENSACAP00000011654
ENSMODP00000032798	ENSACAP00000002298
ENSMODP00000029853	ENSACAP00000004142
ENSMODP00000018200	ENSACAP00000002377
ENSMODP00000041124	ENSACAP00000022254
ENSMODP00000000781	ENSACAP00000012821
ENSMODP00000040777	ENSACAP00000022166
ENSMODP00000014920	ENSACAP00000007519
ENSMODP00000031808	ENSACAP00000013541
ENSMODP00000007343	ENSACAP00000010828
ENSMODP00000008182	ENSACAP00000012258
ENSMODP00000010973	ENSACAP00000015980
ENSMODP00000023332	ENSACAP00000017452
ENSMODP00000000470	ENSACAP00000003087
ENSMODP00000016503	ENSACAP00000011357
ENSMODP00000013742	ENSACAP00000001192
ENSMODP00000013826	ENSACAP00000015662
ENSMODP00000001945	ENSACAP00000015783
ENSMODP00000038091	ENSACAP00000011486
ENSMODP00000038015	ENSACAP00000015410
ENSMODP00000031529	ENSACAP00000013178
ENSMODP00000008086	ENSACAP00000013611
ENSMODP00000025350	ENSACAP00000011045
ENSMODP00000012346	ENSACAP00000007037
ENSMODP00000009468	ENSACAP00000010338
ENSMODP00000014909	ENSACAP00000001457
ENSMODP00000017212	ENSACAP00000013082
ENSMODP00000011901	ENSACAP00000001902
ENSMODP00000005917	ENSACAP00000003285
ENSMODP00000000486	ENSACAP00000014465
ENSMODP00000007356	ENSACAP00000002258
ENSMODP00000008291	ENSACAP00000011145
ENSMODP00000000841	ENSACAP00000009224
ENSMODP00000006275	ENSACAP00000008337
ENSMODP00000016942	ENSACAP00000003867
ENSMODP00000000638	ENSACAP00000008417
ENSMODP00000011165	ENSACAP00000003130
ENSMODP00000010254	ENSACAP00000016581
ENSMODP00000021020	ENSACAP00000005432
ENSMODP00000013732	ENSACAP00000010650
ENSMODP00000000696	ENSACAP00000001158
ENSMODP00000010615	ENSACAP00000023137
ENSMODP00000004802	ENSACAP00000003194
ENSMODP00000016293	ENSACAP00000020697
ENSMODP00000036056	ENSACAP00000022234
ENSMODP00000018255	ENSACAP00000019951
ENSMODP00000021736	ENSACAP00000000024
ENSMODP00000003405	ENSACAP00000016553
ENSMODP00000013195	ENSACAP00000011885
ENSMODP00000026495	ENSACAP00000004440
ENSMODP00000008904	ENSACAP00000020282
ENSMODP00000026620	ENSACAP00000003925
ENSMODP00000006868	ENSACAP00000007816
ENSMODP00000038840	ENSACAP00000016897
ENSMODP00000027204	ENSACAP00000000864
ENSMODP00000016357	ENSACAP00000022896
ENSMODP00000000517	ENSACAP00000003245
ENSMODP00000007712	ENSACAP00000019387
ENSMODP00000041276	ENSACAP00000014600
ENSMODP00000019641	ENSACAP00000012378
ENSMODP00000004636	ENSACAP00000021898
ENSMODP00000009652	ENSACAP00000007447
ENSMODP00000019164	ENSACAP00000004368
ENSMODP00000015248	ENSACAP00000011300
ENSMODP00000017234	ENSACAP00000007531
ENSMODP00000018653	ENSACAP00000013439
ENSMODP00000040055	ENSACAP00000002204
ENSMODP00000002305	ENSACAP00000015211
ENSMODP00000008158	ENSACAP00000005636
ENSMODP00000026206	ENSACAP00000001057
ENSMODP00000016543	ENSACAP00000009010
ENSMODP00000021028	ENSACAP00000006942
ENSMODP00000008944	ENSACAP00000012733
ENSMODP00000008959	ENSACAP00000014272
ENSMODP00000004935	ENSACAP00000008310
ENSMODP00000009157	ENSACAP00000009760
ENSMODP00000006875	ENSACAP00000002567
ENSMODP00000013643	ENSACAP00000008835
ENSMODP00000023317	ENSACAP00000013445
ENSMODP00000022857	ENSACAP00000010829
ENSMODP00000027851	ENSACAP00000006519
ENSMODP00000009797	ENSACAP00000016514
ENSMODP00000034873	ENSACAP00000022906
ENSMODP00000023457	ENSACAP00000008611
ENSMODP00000016662	ENSACAP00000000162
ENSMODP00000003680	ENSACAP00000014020
ENSMODP00000025432	ENSACAP00000009629
ENSMODP00000019909	ENSACAP00000009581
ENSMODP00000008380	ENSACAP00000001003
ENSMODP00000021008	ENSACAP00000005362
ENSMODP00000023311	ENSACAP00000009082
ENSMODP00000029407	ENSACAP00000020749
ENSMODP00000012067	ENSACAP00000007974
ENSMODP00000018294	ENSACAP00000010810
ENSMODP00000012669	ENSACAP00000005463
ENSMODP00000025713	ENSACAP00000007201
ENSMODP00000000804	ENSACAP00000002186
ENSMODP00000021122	ENSACAP00000001328
ENSMODP00000012356	ENSACAP00000020222
ENSMODP00000015429	ENSACAP00000005197
ENSMODP00000015514	ENSACAP00000012024
ENSMODP00000029130	ENSACAP00000021444
ENSMODP00000023571	ENSACAP00000008596
ENSMODP00000007764	ENSACAP00000016180
ENSMODP00000017809	ENSACAP00000005217
ENSMODP00000011099	ENSACAP00000005176
ENSMODP00000010129	ENSACAP00000016507
ENSMODP00000017529	ENSACAP00000017549
ENSMODP00000031395	ENSACAP00000018806
ENSMODP00000017003	ENSACAP00000014804
ENSMODP00000031686	ENSACAP00000002297
ENSMODP00000022297	ENSACAP00000017341
ENSMODP00000001228	ENSACAP00000017661
ENSMODP00000019731	ENSACAP00000008128
ENSMODP00000034085	ENSACAP00000011289
ENSMODP00000010160	ENSACAP00000012342
ENSMODP00000011522	ENSACAP00000016482
ENSMODP00000023987	ENSACAP00000012510
ENSMODP00000021381	ENSACAP00000011524
ENSMODP00000009881	ENSACAP00000000852
ENSMODP00000008088	ENSACAP00000004382
ENSMODP00000006150	ENSACAP00000006891
ENSMODP00000001206	ENSACAP00000014377
ENSMODP00000015407	ENSACAP00000008519
ENSMODP00000013327	ENSACAP00000005675
ENSMODP00000015423	ENSACAP00000008374
ENSMODP00000021460	ENSACAP00000016767
ENSMODP00000016553	ENSACAP00000002150
ENSMODP00000039257	ENSACAP00000008993
ENSMODP00000004501	ENSACAP00000000191
ENSMODP00000000334	ENSACAP00000013977
ENSMODP00000006782	ENSACAP00000002235
ENSMODP00000040798	ENSACAP00000006815
ENSMODP00000032061	ENSACAP00000022773
ENSMODP00000027954	ENSACAP00000001548
ENSMODP00000037282	ENSACAP00000008438
ENSMODP00000000192	ENSACAP00000013706
ENSMODP00000036805	ENSACAP00000000303
ENSMODP00000019134	ENSACAP00000021843
ENSMODP00000002174	ENSACAP00000009292
ENSMODP00000005870	ENSACAP00000001938
ENSMODP00000019154	ENSACAP00000005052
ENSMODP00000006183	ENSACAP00000010850
ENSMODP00000014821	ENSACAP00000012211
ENSMODP00000002716	ENSACAP00000010008
ENSMODP00000015896	ENSACAP00000017201
ENSMODP00000003265	ENSACAP00000016135
ENSMODP00000040727	ENSACAP00000013378
ENSMODP00000028807	ENSACAP00000006009
ENSMODP00000026540	ENSACAP00000004951
ENSMODP00000017421	ENSACAP00000022172
ENSMODP00000023652	ENSACAP00000013197
ENSMODP00000011928	ENSACAP00000014541
ENSMODP00000000347	ENSACAP00000009708
ENSMODP00000009129	ENSACAP00000015560
ENSMODP00000035176	ENSACAP00000005592
ENSMODP00000012657	ENSACAP00000010705
ENSMODP00000035948	ENSACAP00000009378
ENSMODP00000026679	ENSACAP00000012963
ENSMODP00000004216	ENSACAP00000000272
ENSMODP00000036511	ENSACAP00000018310
ENSMODP00000034567	ENSACAP00000006742
ENSMODP00000009872	ENSACAP00000009118
ENSMODP00000017019	ENSACAP00000011307
ENSMODP00000014333	ENSACAP00000012168
ENSMODP00000012383	ENSACAP00000015471
ENSMODP00000000664	ENSACAP00000000888
ENSMODP00000008004	ENSACAP00000012615
ENSMODP00000026653	ENSACAP00000014118
ENSMODP00000007138	ENSACAP00000007245
ENSMODP00000008758	ENSACAP00000009591
ENSMODP00000024495	ENSACAP00000020140
ENSMODP00000017656	ENSACAP00000002510
ENSMODP00000006119	ENSACAP00000005650
ENSMODP00000022074	ENSACAP00000016709
ENSMODP00000023936	ENSACAP00000009617
ENSMODP00000020893	ENSACAP00000000216
ENSMODP00000026325	ENSACAP00000004979
ENSMODP00000016382	ENSACAP00000017570
ENSMODP00000023743	ENSACAP00000002810
ENSMODP00000008720	ENSACAP00000009527
ENSMODP00000003205	ENSACAP00000014459
ENSMODP00000009840	ENSACAP00000006148
ENSMODP00000025789	ENSACAP00000006936
ENSMODP00000001116	ENSACAP00000011765
ENSMODP00000022486	ENSACAP00000003840
ENSMODP00000022485	ENSACAP00000018770
ENSMODP00000022700	ENSACAP00000003461
ENSMODP00000013356	ENSACAP00000002744
ENSMODP00000009651	ENSACAP00000004695
ENSMODP00000020837	ENSACAP00000015864
ENSMODP00000026870	ENSACAP00000001941
ENSMODP00000016973	ENSACAP00000000871
ENSMODP00000000779	ENSACAP00000022759
ENSMODP00000032836	ENSACAP00000003421
ENSMODP00000007554	ENSACAP00000016512
ENSMODP00000000167	ENSACAP00000008612
ENSMODP00000030329	ENSACAP00000016686
ENSMODP00000008314	ENSACAP00000014672
ENSMODP00000006785	ENSACAP00000013916
ENSMODP00000040912	ENSACAP00000002455
ENSMODP00000035664	ENSACAP00000010380
ENSMODP00000019345	ENSACAP00000016160
ENSMODP00000005525	ENSACAP00000006271
ENSMODP00000010861	ENSACAP00000016363
ENSMODP00000025460	ENSACAP00000017472
ENSMODP00000020914	ENSACAP00000006169
ENSMODP00000011787	ENSACAP00000015507
ENSMODP00000032320	ENSACAP00000015501
ENSMODP00000023701	ENSACAP00000007522
ENSMODP00000031602	ENSACAP00000020502
ENSMODP00000002024	ENSACAP00000005692
ENSMODP00000008460	ENSACAP00000007685
ENSMODP00000021591	ENSACAP00000010210
ENSMODP00000026396	ENSACAP00000014635
ENSMODP00000011185	ENSACAP00000017193
ENSMODP00000019716	ENSACAP00000010434
ENSMODP00000002650	ENSACAP00000009252
ENSMODP00000020770	ENSACAP00000014879
ENSMODP00000008321	ENSACAP00000010627
ENSMODP00000018098	ENSACAP00000006874
ENSMODP00000023766	ENSACAP00000001113
ENSMODP00000010925	ENSACAP00000019326
ENSMODP00000008252	ENSACAP00000015764
ENSMODP00000021769	ENSACAP00000000798
ENSMODP00000005146	ENSACAP00000006919
ENSMODP00000017934	ENSACAP00000013769
ENSMODP00000022913	ENSACAP00000009901
ENSMODP00000016067	ENSACAP00000006145
ENSMODP00000002590	ENSACAP00000001211
ENSMODP00000002934	ENSACAP00000007739
ENSMODP00000010989	ENSACAP00000002737
ENSMODP00000009910	ENSACAP00000013478
ENSMODP00000021979	ENSACAP00000002501
ENSMODP00000038118	ENSACAP00000022057
ENSMODP00000010496	ENSACAP00000003660
ENSMODP00000011432	ENSACAP00000001620
ENSMODP00000023398	ENSACAP00000009831
ENSMODP00000001384	ENSACAP00000015647
ENSMODP00000016487	ENSACAP00000002341
ENSMODP00000019259	ENSACAP00000009278
ENSMODP00000013997	ENSACAP00000014514
ENSMODP00000005214	ENSACAP00000000904
ENSMODP00000013292	ENSACAP00000002532
ENSMODP00000033556	ENSACAP00000013079
ENSMODP00000017726	ENSACAP00000013196
ENSMODP00000035619	ENSACAP00000004293
ENSMODP00000014936	ENSACAP00000001316
ENSMODP00000007058	ENSACAP00000001212
ENSMODP00000010872	ENSACAP00000014756
ENSMODP00000014675	ENSACAP00000011668
ENSMODP00000008043	ENSACAP00000019366
ENSMODP00000017955	ENSACAP00000006320
ENSMODP00000034162	ENSACAP00000001855
ENSMODP00000006356	ENSACAP00000001848
ENSMODP00000024271	ENSACAP00000008395
ENSMODP00000013522	ENSACAP00000017608
ENSMODP00000019752	ENSACAP00000019628
ENSMODP00000010678	ENSACAP00000004692
ENSMODP00000007589	ENSACAP00000015553
ENSMODP00000033092	ENSACAP00000003165
ENSMODP00000032479	ENSACAP00000005802
ENSMODP00000030977	ENSACAP00000015924
ENSMODP00000000150	ENSACAP00000002165
ENSMODP00000000110	ENSACAP00000013302
ENSMODP00000000251	ENSACAP00000003323
ENSMODP00000016414	ENSACAP00000018036
ENSMODP00000039215	ENSACAP00000000674
ENSMODP00000009737	ENSACAP00000012628
ENSMODP00000012111	ENSACAP00000008076
ENSMODP00000000295	ENSACAP00000016039
ENSMODP00000026123	ENSACAP00000011998
ENSMODP00000040478	ENSACAP00000002589
ENSMODP00000015628	ENSACAP00000020093
ENSMODP00000013013	ENSACAP00000021792
ENSMODP00000016735	ENSACAP00000016244
ENSMODP00000005472	ENSACAP00000004774
ENSMODP00000001431	ENSACAP00000007234
ENSMODP00000007209	ENSACAP00000015680
ENSMODP00000040930	ENSACAP00000021840
ENSMODP00000013400	ENSACAP00000017417
ENSMODP00000021893	ENSACAP00000010430
ENSMODP00000017903	ENSACAP00000000459
ENSMODP00000014570	ENSACAP00000006515
ENSMODP00000021853	ENSACAP00000010135
ENSMODP00000008954	ENSACAP00000001091
ENSMODP00000036380	ENSACAP00000016173
ENSMODP00000010909	ENSACAP00000016763
ENSMODP00000031856	ENSACAP00000010403
ENSMODP00000003488	ENSACAP00000010563
ENSMODP00000000748	ENSACAP00000014332
ENSMODP00000019904	ENSACAP00000002267
ENSMODP00000008751	ENSACAP00000005726
ENSMODP00000008778	ENSACAP00000005746
ENSMODP00000038341	ENSACAP00000010701
ENSMODP00000013357	ENSACAP00000001208
ENSMODP00000012606	ENSACAP00000016198
ENSMODP00000014422	ENSACAP00000011995
ENSMODP00000029758	ENSACAP00000013746
ENSMODP00000013694	ENSACAP00000014763
ENSMODP00000010048	ENSACAP00000019407
ENSMODP00000026310	ENSACAP00000002450
ENSMODP00000000562	ENSACAP00000000349
ENSMODP00000016163	ENSACAP00000003163
ENSMODP00000016024	ENSACAP00000003699
ENSMODP00000008565	ENSACAP00000007292
ENSMODP00000026597	ENSACAP00000007632
ENSMODP00000001031	ENSACAP00000010974
ENSMODP00000012103	ENSACAP00000012095
ENSMODP00000039126	ENSACAP00000008985
ENSMODP00000001327	ENSACAP00000002027
ENSMODP00000038058	ENSACAP00000007902
ENSMODP00000001883	ENSACAP00000012375
ENSMODP00000001870	ENSACAP00000012322
ENSMODP00000019497	ENSACAP00000017777
ENSMODP00000014952	ENSACAP00000021860
ENSMODP00000003915	ENSACAP00000022563
ENSMODP00000040550	ENSACAP00000001792
ENSMODP00000024398	ENSACAP00000008142
ENSMODP00000011040	ENSACAP00000005211
ENSMODP00000002593	ENSACAP00000011364
ENSMODP00000032786	ENSACAP00000004481
ENSMODP00000038514	ENSACAP00000020739
ENSMODP00000004449	ENSACAP00000000748
ENSMODP00000021186	ENSACAP00000000756
ENSMODP00000001156	ENSACAP00000002905
ENSMODP00000003896	ENSACAP00000003027
