ENSTGUP00000008915	ENSCAFP00000014731
ENSTGUP00000005906	ENSCAFP00000023707
ENSTGUP00000000301	ENSCAFP00000024740
ENSTGUP00000010852	ENSCAFP00000002123
ENSTGUP00000014018	ENSCAFP00000014212
ENSTGUP00000011067	ENSCAFP00000016036
ENSTGUP00000013674	ENSCAFP00000003227
ENSTGUP00000013851	ENSCAFP00000008187
ENSTGUP00000010702	ENSCAFP00000018962
ENSTGUP00000012039	ENSCAFP00000012493
ENSTGUP00000003608	ENSCAFP00000016549
ENSTGUP00000008426	ENSCAFP00000038426
ENSTGUP00000012552	ENSCAFP00000025015
ENSTGUP00000004509	ENSCAFP00000016671
ENSTGUP00000005994	ENSCAFP00000014389
ENSTGUP00000008244	ENSCAFP00000018044
ENSTGUP00000000838	ENSCAFP00000038061
ENSTGUP00000004044	ENSCAFP00000016333
ENSTGUP00000016739	ENSCAFP00000022864
ENSTGUP00000013017	ENSCAFP00000040725
ENSTGUP00000010060	ENSCAFP00000019277
ENSTGUP00000007874	ENSCAFP00000033984
ENSTGUP00000008701	ENSCAFP00000009533
ENSTGUP00000003690	ENSCAFP00000011896
ENSTGUP00000008300	ENSCAFP00000002915
ENSTGUP00000004849	ENSCAFP00000025177
ENSTGUP00000000324	ENSCAFP00000028695
ENSTGUP00000015065	ENSCAFP00000008588
ENSTGUP00000007888	ENSCAFP00000023586
ENSTGUP00000002680	ENSCAFP00000028990
ENSTGUP00000014950	ENSCAFP00000001941
ENSTGUP00000013738	ENSCAFP00000017483
ENSTGUP00000011925	ENSCAFP00000007326
ENSTGUP00000000799	ENSCAFP00000015474
ENSTGUP00000007023	ENSCAFP00000036530
ENSTGUP00000000170	ENSCAFP00000028339
ENSTGUP00000012068	ENSCAFP00000009849
ENSTGUP00000001072	ENSCAFP00000000503
ENSTGUP00000008918	ENSCAFP00000014740
ENSTGUP00000012669	ENSCAFP00000038271
ENSTGUP00000013015	ENSCAFP00000003965
ENSTGUP00000014043	ENSCAFP00000013591
ENSTGUP00000011960	ENSCAFP00000010063
ENSTGUP00000000961	ENSCAFP00000026906
ENSTGUP00000013784	ENSCAFP00000014374
ENSTGUP00000012213	ENSCAFP00000009391
ENSTGUP00000002625	ENSCAFP00000011781
ENSTGUP00000007005	ENSCAFP00000012705
ENSTGUP00000003837	ENSCAFP00000004913
ENSTGUP00000009245	ENSCAFP00000011097
ENSTGUP00000008989	ENSCAFP00000022728
ENSTGUP00000005751	ENSCAFP00000029276
ENSTGUP00000013498	ENSCAFP00000005546
ENSTGUP00000011838	ENSCAFP00000015632
ENSTGUP00000003670	ENSCAFP00000003325
ENSTGUP00000004595	ENSCAFP00000020205
ENSTGUP00000006197	ENSCAFP00000012095
ENSTGUP00000009409	ENSCAFP00000029682
ENSTGUP00000003639	ENSCAFP00000008477
ENSTGUP00000003991	ENSCAFP00000009039
ENSTGUP00000003151	ENSCAFP00000019299
ENSTGUP00000001191	ENSCAFP00000042783
ENSTGUP00000011220	ENSCAFP00000000373
ENSTGUP00000011215	ENSCAFP00000000368
ENSTGUP00000015604	ENSCAFP00000011509
ENSTGUP00000007539	ENSCAFP00000029939
ENSTGUP00000009506	ENSCAFP00000018985
ENSTGUP00000015412	ENSCAFP00000009284
ENSTGUP00000013875	ENSCAFP00000008375
ENSTGUP00000009416	ENSCAFP00000023960
ENSTGUP00000008253	ENSCAFP00000042838
ENSTGUP00000009212	ENSCAFP00000011305
ENSTGUP00000008234	ENSCAFP00000005143
ENSTGUP00000001027	ENSCAFP00000035847
ENSTGUP00000002071	ENSCAFP00000027655
ENSTGUP00000003326	ENSCAFP00000030717
ENSTGUP00000007688	ENSCAFP00000026935
ENSTGUP00000010508	ENSCAFP00000008981
ENSTGUP00000003046	ENSCAFP00000003380
ENSTGUP00000010351	ENSCAFP00000039731
ENSTGUP00000010770	ENSCAFP00000002050
ENSTGUP00000009781	ENSCAFP00000020984
ENSTGUP00000012392	ENSCAFP00000005836
ENSTGUP00000005463	ENSCAFP00000029676
ENSTGUP00000000481	ENSCAFP00000003396
ENSTGUP00000016134	ENSCAFP00000023700
ENSTGUP00000006382	ENSCAFP00000029952
ENSTGUP00000007343	ENSCAFP00000010760
ENSTGUP00000000199	ENSCAFP00000031910
ENSTGUP00000006030	ENSCAFP00000040289
ENSTGUP00000014376	ENSCAFP00000023995
ENSTGUP00000001047	ENSCAFP00000022024
ENSTGUP00000002543	ENSCAFP00000023291
ENSTGUP00000006306	ENSCAFP00000014432
ENSTGUP00000007781	ENSCAFP00000022180
ENSTGUP00000013121	ENSCAFP00000001858
ENSTGUP00000010103	ENSCAFP00000030283
ENSTGUP00000011542	ENSCAFP00000037897
ENSTGUP00000013074	ENSCAFP00000019502
ENSTGUP00000011547	ENSCAFP00000024814
ENSTGUP00000012977	ENSCAFP00000023361
ENSTGUP00000012910	ENSCAFP00000025919
ENSTGUP00000003703	ENSCAFP00000012187
ENSTGUP00000005495	ENSCAFP00000015788
ENSTGUP00000012575	ENSCAFP00000025063
ENSTGUP00000005527	ENSCAFP00000015731
ENSTGUP00000012632	ENSCAFP00000022622
ENSTGUP00000006453	ENSCAFP00000029108
ENSTGUP00000001031	ENSCAFP00000028268
ENSTGUP00000002150	ENSCAFP00000020765
ENSTGUP00000003461	ENSCAFP00000002506
ENSTGUP00000007057	ENSCAFP00000004330
ENSTGUP00000004598	ENSCAFP00000005288
ENSTGUP00000002919	ENSCAFP00000041914
ENSTGUP00000007924	ENSCAFP00000014205
ENSTGUP00000006359	ENSCAFP00000013574
ENSTGUP00000010762	ENSCAFP00000034237
ENSTGUP00000009716	ENSCAFP00000031761
ENSTGUP00000017798	ENSCAFP00000014887
ENSTGUP00000012388	ENSCAFP00000005847
ENSTGUP00000001675	ENSCAFP00000008573
ENSTGUP00000008132	ENSCAFP00000029357
ENSTGUP00000001198	ENSCAFP00000006330
ENSTGUP00000007248	ENSCAFP00000041314
ENSTGUP00000000844	ENSCAFP00000002637
ENSTGUP00000007941	ENSCAFP00000029450
ENSTGUP00000010764	ENSCAFP00000019983
ENSTGUP00000010774	ENSCAFP00000020007
ENSTGUP00000005869	ENSCAFP00000010389
ENSTGUP00000004945	ENSCAFP00000007783
ENSTGUP00000010321	ENSCAFP00000017723
ENSTGUP00000008330	ENSCAFP00000002876
ENSTGUP00000011996	ENSCAFP00000033658
ENSTGUP00000013981	ENSCAFP00000034617
ENSTGUP00000013594	ENSCAFP00000012019
ENSTGUP00000012060	ENSCAFP00000001575
ENSTGUP00000000753	ENSCAFP00000017148
ENSTGUP00000011151	ENSCAFP00000022642
ENSTGUP00000012735	ENSCAFP00000006955
ENSTGUP00000003846	ENSCAFP00000033509
ENSTGUP00000010064	ENSCAFP00000022493
ENSTGUP00000011713	ENSCAFP00000034787
ENSTGUP00000008598	ENSCAFP00000006320
ENSTGUP00000004299	ENSCAFP00000016859
ENSTGUP00000009489	ENSCAFP00000002822
ENSTGUP00000002705	ENSCAFP00000038283
ENSTGUP00000001301	ENSCAFP00000004570
ENSTGUP00000012489	ENSCAFP00000024888
ENSTGUP00000006219	ENSCAFP00000006402
ENSTGUP00000008887	ENSCAFP00000002607
ENSTGUP00000006238	ENSCAFP00000037226
ENSTGUP00000012854	ENSCAFP00000001484
ENSTGUP00000001563	ENSCAFP00000013011
ENSTGUP00000003961	ENSCAFP00000004903
ENSTGUP00000010248	ENSCAFP00000023059
ENSTGUP00000000343	ENSCAFP00000036009
ENSTGUP00000006263	ENSCAFP00000026025
ENSTGUP00000005660	ENSCAFP00000015830
ENSTGUP00000009904	ENSCAFP00000027805
ENSTGUP00000011112	ENSCAFP00000000458
ENSTGUP00000000527	ENSCAFP00000024505
ENSTGUP00000017676	ENSCAFP00000018714
ENSTGUP00000009403	ENSCAFP00000000034
ENSTGUP00000014237	ENSCAFP00000016897
ENSTGUP00000000678	ENSCAFP00000014433
ENSTGUP00000016533	ENSCAFP00000017426
ENSTGUP00000002230	ENSCAFP00000027158
ENSTGUP00000007510	ENSCAFP00000021903
ENSTGUP00000003063	ENSCAFP00000018326
ENSTGUP00000012534	ENSCAFP00000024995
ENSTGUP00000012726	ENSCAFP00000006944
ENSTGUP00000011797	ENSCAFP00000018761
ENSTGUP00000010968	ENSCAFP00000022131
ENSTGUP00000006069	ENSCAFP00000008136
ENSTGUP00000012208	ENSCAFP00000001188
ENSTGUP00000008370	ENSCAFP00000011038
ENSTGUP00000001797	ENSCAFP00000001876
ENSTGUP00000012459	ENSCAFP00000000854
ENSTGUP00000012987	ENSCAFP00000004093
ENSTGUP00000001949	ENSCAFP00000018338
ENSTGUP00000017832	ENSCAFP00000000248
ENSTGUP00000012582	ENSCAFP00000025087
ENSTGUP00000006496	ENSCAFP00000038734
ENSTGUP00000001276	ENSCAFP00000004495
ENSTGUP00000013578	ENSCAFP00000005874
ENSTGUP00000002234	ENSCAFP00000027482
ENSTGUP00000010317	ENSCAFP00000033833
ENSTGUP00000008150	ENSCAFP00000007595
ENSTGUP00000012908	ENSCAFP00000001542
ENSTGUP00000004241	ENSCAFP00000012927
ENSTGUP00000009321	ENSCAFP00000012397
ENSTGUP00000004428	ENSCAFP00000008202
ENSTGUP00000003539	ENSCAFP00000010724
ENSTGUP00000004741	ENSCAFP00000029529
ENSTGUP00000014088	ENSCAFP00000009308
ENSTGUP00000000597	ENSCAFP00000001869
ENSTGUP00000000605	ENSCAFP00000039590
ENSTGUP00000008231	ENSCAFP00000034314
ENSTGUP00000001860	ENSCAFP00000017237
ENSTGUP00000011155	ENSCAFP00000002477
ENSTGUP00000008090	ENSCAFP00000007616
ENSTGUP00000007138	ENSCAFP00000034469
ENSTGUP00000007064	ENSCAFP00000000608
ENSTGUP00000006561	ENSCAFP00000015063
ENSTGUP00000010397	ENSCAFP00000001614
ENSTGUP00000006973	ENSCAFP00000004417
ENSTGUP00000001213	ENSCAFP00000006292
ENSTGUP00000017432	ENSCAFP00000024450
ENSTGUP00000003626	ENSCAFP00000012106
ENSTGUP00000002013	ENSCAFP00000019039
ENSTGUP00000010600	ENSCAFP00000016621
ENSTGUP00000004330	ENSCAFP00000016564
ENSTGUP00000004469	ENSCAFP00000029128
ENSTGUP00000006282	ENSCAFP00000029880
ENSTGUP00000006648	ENSCAFP00000023980
ENSTGUP00000008737	ENSCAFP00000036247
ENSTGUP00000002737	ENSCAFP00000011467
ENSTGUP00000010843	ENSCAFP00000017309
ENSTGUP00000009927	ENSCAFP00000015309
ENSTGUP00000003512	ENSCAFP00000014627
ENSTGUP00000014029	ENSCAFP00000014090
ENSTGUP00000011755	ENSCAFP00000006102
ENSTGUP00000005251	ENSCAFP00000010692
ENSTGUP00000009863	ENSCAFP00000001226
ENSTGUP00000007698	ENSCAFP00000016495
ENSTGUP00000005821	ENSCAFP00000042548
ENSTGUP00000016631	ENSCAFP00000003183
ENSTGUP00000012154	ENSCAFP00000036476
ENSTGUP00000004240	ENSCAFP00000016288
ENSTGUP00000000564	ENSCAFP00000008827
ENSTGUP00000009468	ENSCAFP00000024080
ENSTGUP00000007002	ENSCAFP00000010275
ENSTGUP00000016625	ENSCAFP00000000650
ENSTGUP00000006414	ENSCAFP00000027777
ENSTGUP00000010415	ENSCAFP00000018450
ENSTGUP00000000518	ENSCAFP00000001717
ENSTGUP00000016113	ENSCAFP00000036841
ENSTGUP00000006980	ENSCAFP00000026698
ENSTGUP00000005230	ENSCAFP00000010374
ENSTGUP00000008129	ENSCAFP00000042393
ENSTGUP00000004473	ENSCAFP00000026704
ENSTGUP00000009534	ENSCAFP00000030967
ENSTGUP00000002389	ENSCAFP00000007031
ENSTGUP00000011344	ENSCAFP00000000430
ENSTGUP00000001230	ENSCAFP00000019256
ENSTGUP00000004209	ENSCAFP00000028421
ENSTGUP00000005750	ENSCAFP00000024342
ENSTGUP00000011813	ENSCAFP00000039926
ENSTGUP00000001254	ENSCAFP00000034569
ENSTGUP00000012609	ENSCAFP00000001348
ENSTGUP00000005210	ENSCAFP00000012048
ENSTGUP00000015146	ENSCAFP00000009675
ENSTGUP00000007365	ENSCAFP00000020680
ENSTGUP00000015824	ENSCAFP00000029102
ENSTGUP00000014658	ENSCAFP00000037992
ENSTGUP00000007321	ENSCAFP00000035935
ENSTGUP00000002563	ENSCAFP00000002258
ENSTGUP00000000164	ENSCAFP00000019698
ENSTGUP00000001226	ENSCAFP00000006250
ENSTGUP00000000468	ENSCAFP00000007572
ENSTGUP00000008386	ENSCAFP00000018596
ENSTGUP00000007384	ENSCAFP00000019864
ENSTGUP00000012590	ENSCAFP00000005361
ENSTGUP00000009964	ENSCAFP00000009920
ENSTGUP00000009984	ENSCAFP00000027751
ENSTGUP00000012502	ENSCAFP00000000918
ENSTGUP00000013443	ENSCAFP00000005172
ENSTGUP00000005462	ENSCAFP00000016641
ENSTGUP00000005377	ENSCAFP00000012941
ENSTGUP00000011456	ENSCAFP00000010505
ENSTGUP00000001881	ENSCAFP00000003255
ENSTGUP00000010555	ENSCAFP00000003402
ENSTGUP00000002453	ENSCAFP00000005396
ENSTGUP00000011211	ENSCAFP00000013832
ENSTGUP00000009059	ENSCAFP00000022924
ENSTGUP00000011765	ENSCAFP00000024414
ENSTGUP00000005091	ENSCAFP00000027849
ENSTGUP00000000099	ENSCAFP00000033703
ENSTGUP00000015134	ENSCAFP00000007353
ENSTGUP00000009439	ENSCAFP00000000037
ENSTGUP00000002644	ENSCAFP00000029075
ENSTGUP00000013285	ENSCAFP00000027097
ENSTGUP00000012580	ENSCAFP00000005460
ENSTGUP00000003947	ENSCAFP00000032218
ENSTGUP00000015328	ENSCAFP00000025166
ENSTGUP00000005776	ENSCAFP00000003895
ENSTGUP00000002822	ENSCAFP00000006378
ENSTGUP00000009125	ENSCAFP00000021810
ENSTGUP00000005974	ENSCAFP00000025340
ENSTGUP00000013291	ENSCAFP00000027149
ENSTGUP00000000665	ENSCAFP00000040692
ENSTGUP00000004008	ENSCAFP00000020377
ENSTGUP00000011134	ENSCAFP00000036127
ENSTGUP00000011872	ENSCAFP00000038268
ENSTGUP00000000608	ENSCAFP00000029193
ENSTGUP00000002501	ENSCAFP00000025671
ENSTGUP00000012858	ENSCAFP00000007405
ENSTGUP00000005573	ENSCAFP00000015811
ENSTGUP00000007980	ENSCAFP00000023710
ENSTGUP00000003302	ENSCAFP00000008750
ENSTGUP00000003141	ENSCAFP00000036121
ENSTGUP00000012583	ENSCAFP00000025088
ENSTGUP00000004112	ENSCAFP00000000983
ENSTGUP00000012306	ENSCAFP00000009139
ENSTGUP00000008981	ENSCAFP00000023429
ENSTGUP00000007998	ENSCAFP00000008704
ENSTGUP00000013749	ENSCAFP00000014618
ENSTGUP00000016119	ENSCAFP00000006737
ENSTGUP00000010914	ENSCAFP00000036924
ENSTGUP00000012493	ENSCAFP00000016834
ENSTGUP00000008216	ENSCAFP00000011285
ENSTGUP00000012597	ENSCAFP00000016767
ENSTGUP00000010168	ENSCAFP00000009769
ENSTGUP00000007592	ENSCAFP00000010088
ENSTGUP00000010481	ENSCAFP00000018279
ENSTGUP00000003915	ENSCAFP00000016012
ENSTGUP00000001133	ENSCAFP00000000807
ENSTGUP00000004839	ENSCAFP00000025175
ENSTGUP00000012468	ENSCAFP00000034922
ENSTGUP00000009991	ENSCAFP00000027875
ENSTGUP00000013101	ENSCAFP00000003784
ENSTGUP00000012991	ENSCAFP00000001671
ENSTGUP00000008910	ENSCAFP00000008843
ENSTGUP00000003006	ENSCAFP00000041161
ENSTGUP00000005048	ENSCAFP00000027254
ENSTGUP00000003749	ENSCAFP00000029062
ENSTGUP00000008499	ENSCAFP00000030010
ENSTGUP00000011284	ENSCAFP00000014253
ENSTGUP00000014305	ENSCAFP00000021703
ENSTGUP00000007154	ENSCAFP00000019492
ENSTGUP00000008479	ENSCAFP00000010741
ENSTGUP00000006400	ENSCAFP00000011731
ENSTGUP00000006009	ENSCAFP00000025362
ENSTGUP00000005938	ENSCAFP00000022311
ENSTGUP00000005583	ENSCAFP00000011150
ENSTGUP00000011056	ENSCAFP00000016667
ENSTGUP00000000486	ENSCAFP00000022963
ENSTGUP00000003881	ENSCAFP00000026624
ENSTGUP00000004526	ENSCAFP00000018506
ENSTGUP00000013788	ENSCAFP00000030553
ENSTGUP00000006560	ENSCAFP00000027951
ENSTGUP00000009981	ENSCAFP00000030245
ENSTGUP00000006978	ENSCAFP00000015985
ENSTGUP00000006175	ENSCAFP00000024438
ENSTGUP00000001625	ENSCAFP00000026008
ENSTGUP00000005713	ENSCAFP00000017553
ENSTGUP00000004026	ENSCAFP00000017689
ENSTGUP00000001169	ENSCAFP00000006434
ENSTGUP00000008121	ENSCAFP00000006895
ENSTGUP00000010816	ENSCAFP00000018165
ENSTGUP00000007502	ENSCAFP00000003988
ENSTGUP00000011115	ENSCAFP00000013862
ENSTGUP00000005060	ENSCAFP00000037401
ENSTGUP00000003789	ENSCAFP00000037536
ENSTGUP00000005552	ENSCAFP00000004759
ENSTGUP00000006971	ENSCAFP00000020551
ENSTGUP00000008431	ENSCAFP00000002814
ENSTGUP00000000598	ENSCAFP00000009571
ENSTGUP00000005125	ENSCAFP00000039973
ENSTGUP00000002774	ENSCAFP00000004011
ENSTGUP00000012309	ENSCAFP00000008325
ENSTGUP00000007312	ENSCAFP00000026966
ENSTGUP00000016200	ENSCAFP00000000282
ENSTGUP00000009543	ENSCAFP00000014700
ENSTGUP00000017528	ENSCAFP00000015988
ENSTGUP00000000328	ENSCAFP00000038967
ENSTGUP00000004675	ENSCAFP00000013392
ENSTGUP00000007406	ENSCAFP00000003445
ENSTGUP00000000713	ENSCAFP00000025982
ENSTGUP00000008467	ENSCAFP00000010873
ENSTGUP00000011802	ENSCAFP00000015868
ENSTGUP00000008480	ENSCAFP00000026669
ENSTGUP00000005143	ENSCAFP00000014234
ENSTGUP00000005582	ENSCAFP00000028257
ENSTGUP00000004323	ENSCAFP00000023750
ENSTGUP00000014953	ENSCAFP00000007145
ENSTGUP00000016641	ENSCAFP00000017751
ENSTGUP00000005916	ENSCAFP00000011990
ENSTGUP00000015734	ENSCAFP00000025384
ENSTGUP00000009055	ENSCAFP00000042693
ENSTGUP00000009249	ENSCAFP00000026155
ENSTGUP00000011402	ENSCAFP00000033030
ENSTGUP00000013920	ENSCAFP00000016206
ENSTGUP00000002410	ENSCAFP00000023713
ENSTGUP00000008835	ENSCAFP00000042345
ENSTGUP00000010891	ENSCAFP00000015726
ENSTGUP00000010574	ENSCAFP00000003436
ENSTGUP00000005318	ENSCAFP00000012262
ENSTGUP00000008905	ENSCAFP00000005825
ENSTGUP00000000544	ENSCAFP00000024535
ENSTGUP00000004143	ENSCAFP00000024106
ENSTGUP00000001551	ENSCAFP00000025127
ENSTGUP00000006528	ENSCAFP00000011003
ENSTGUP00000010022	ENSCAFP00000001401
ENSTGUP00000006757	ENSCAFP00000026103
ENSTGUP00000002107	ENSCAFP00000020455
ENSTGUP00000001407	ENSCAFP00000020457
ENSTGUP00000000781	ENSCAFP00000002471
ENSTGUP00000004969	ENSCAFP00000027959
ENSTGUP00000013787	ENSCAFP00000014348
ENSTGUP00000015315	ENSCAFP00000009656
ENSTGUP00000003252	ENSCAFP00000027022
ENSTGUP00000003656	ENSCAFP00000028242
ENSTGUP00000009878	ENSCAFP00000006061
ENSTGUP00000007069	ENSCAFP00000030067
ENSTGUP00000003584	ENSCAFP00000038440
ENSTGUP00000008149	ENSCAFP00000002926
ENSTGUP00000014304	ENSCAFP00000021062
ENSTGUP00000015900	ENSCAFP00000036697
ENSTGUP00000007086	ENSCAFP00000009642
ENSTGUP00000011527	ENSCAFP00000000769
ENSTGUP00000013360	ENSCAFP00000039622
ENSTGUP00000003325	ENSCAFP00000017701
ENSTGUP00000004310	ENSCAFP00000037498
ENSTGUP00000003288	ENSCAFP00000008761
ENSTGUP00000004031	ENSCAFP00000004897
ENSTGUP00000008710	ENSCAFP00000015800
ENSTGUP00000002976	ENSCAFP00000037149
ENSTGUP00000008141	ENSCAFP00000004982
ENSTGUP00000001004	ENSCAFP00000018051
ENSTGUP00000005639	ENSCAFP00000015009
ENSTGUP00000000556	ENSCAFP00000014929
ENSTGUP00000013089	ENSCAFP00000026294
ENSTGUP00000004875	ENSCAFP00000036223
ENSTGUP00000000720	ENSCAFP00000026016
ENSTGUP00000011784	ENSCAFP00000024385
ENSTGUP00000009998	ENSCAFP00000003044
ENSTGUP00000001378	ENSCAFP00000000308
ENSTGUP00000001934	ENSCAFP00000002188
ENSTGUP00000000877	ENSCAFP00000029301
ENSTGUP00000002816	ENSCAFP00000004026
ENSTGUP00000001111	ENSCAFP00000016830
ENSTGUP00000013163	ENSCAFP00000009689
ENSTGUP00000000166	ENSCAFP00000009369
ENSTGUP00000009882	ENSCAFP00000027341
ENSTGUP00000003875	ENSCAFP00000029106
ENSTGUP00000006146	ENSCAFP00000014633
ENSTGUP00000008548	ENSCAFP00000040132
ENSTGUP00000004593	ENSCAFP00000016378
ENSTGUP00000008060	ENSCAFP00000018521
ENSTGUP00000009340	ENSCAFP00000013346
ENSTGUP00000009789	ENSCAFP00000019292
ENSTGUP00000003914	ENSCAFP00000020299
ENSTGUP00000004539	ENSCAFP00000017129
ENSTGUP00000006861	ENSCAFP00000013732
ENSTGUP00000003577	ENSCAFP00000019610
ENSTGUP00000013260	ENSCAFP00000006373
ENSTGUP00000007246	ENSCAFP00000025152
ENSTGUP00000015415	ENSCAFP00000009302
ENSTGUP00000013879	ENSCAFP00000008420
ENSTGUP00000010875	ENSCAFP00000014294
ENSTGUP00000005340	ENSCAFP00000029652
ENSTGUP00000007199	ENSCAFP00000019166
ENSTGUP00000000745	ENSCAFP00000017230
ENSTGUP00000001443	ENSCAFP00000036541
ENSTGUP00000011649	ENSCAFP00000010778
ENSTGUP00000007451	ENSCAFP00000018228
ENSTGUP00000016353	ENSCAFP00000024308
ENSTGUP00000001263	ENSCAFP00000006098
ENSTGUP00000012927	ENSCAFP00000004305
ENSTGUP00000004933	ENSCAFP00000014191
ENSTGUP00000010709	ENSCAFP00000026905
ENSTGUP00000002348	ENSCAFP00000007067
ENSTGUP00000010202	ENSCAFP00000019622
ENSTGUP00000005067	ENSCAFP00000027060
ENSTGUP00000008281	ENSCAFP00000006027
ENSTGUP00000003872	ENSCAFP00000000115
ENSTGUP00000009925	ENSCAFP00000027795
ENSTGUP00000008615	ENSCAFP00000029944
ENSTGUP00000002089	ENSCAFP00000000107
ENSTGUP00000008900	ENSCAFP00000003750
ENSTGUP00000011043	ENSCAFP00000014865
ENSTGUP00000007573	ENSCAFP00000037890
ENSTGUP00000000454	ENSCAFP00000003198
ENSTGUP00000013500	ENSCAFP00000021768
ENSTGUP00000003853	ENSCAFP00000029197
ENSTGUP00000003020	ENSCAFP00000006770
ENSTGUP00000001496	ENSCAFP00000004762
ENSTGUP00000012773	ENSCAFP00000004617
ENSTGUP00000002817	ENSCAFP00000028823
ENSTGUP00000011767	ENSCAFP00000012278
ENSTGUP00000011210	ENSCAFP00000000364
ENSTGUP00000013671	ENSCAFP00000003221
ENSTGUP00000007979	ENSCAFP00000019469
ENSTGUP00000004611	ENSCAFP00000002262
ENSTGUP00000012430	ENSCAFP00000005771
ENSTGUP00000010966	ENSCAFP00000016852
ENSTGUP00000011085	ENSCAFP00000016371
ENSTGUP00000001559	ENSCAFP00000002615
ENSTGUP00000013532	ENSCAFP00000020521
ENSTGUP00000017694	ENSCAFP00000020996
ENSTGUP00000003313	ENSCAFP00000017724
ENSTGUP00000000270	ENSCAFP00000007990
ENSTGUP00000008698	ENSCAFP00000002748
ENSTGUP00000012801	ENSCAFP00000025761
ENSTGUP00000010734	ENSCAFP00000026892
ENSTGUP00000002412	ENSCAFP00000014055
ENSTGUP00000011795	ENSCAFP00000035393
ENSTGUP00000000767	ENSCAFP00000016213
ENSTGUP00000003023	ENSCAFP00000006148
ENSTGUP00000011806	ENSCAFP00000018773
ENSTGUP00000007716	ENSCAFP00000007655
ENSTGUP00000001194	ENSCAFP00000032528
ENSTGUP00000017421	ENSCAFP00000024475
ENSTGUP00000007369	ENSCAFP00000026983
ENSTGUP00000008929	ENSCAFP00000022795
ENSTGUP00000001970	ENSCAFP00000020198
ENSTGUP00000011735	ENSCAFP00000020392
ENSTGUP00000011912	ENSCAFP00000036568
ENSTGUP00000010244	ENSCAFP00000009640
ENSTGUP00000009033	ENSCAFP00000009007
ENSTGUP00000017824	ENSCAFP00000020037
ENSTGUP00000006871	ENSCAFP00000000007
ENSTGUP00000008921	ENSCAFP00000039409
ENSTGUP00000000154	ENSCAFP00000024697
ENSTGUP00000001828	ENSCAFP00000002943
ENSTGUP00000006113	ENSCAFP00000027547
ENSTGUP00000003717	ENSCAFP00000020163
ENSTGUP00000013011	ENSCAFP00000021636
ENSTGUP00000012246	ENSCAFP00000001325
ENSTGUP00000006304	ENSCAFP00000021402
ENSTGUP00000009359	ENSCAFP00000019804
ENSTGUP00000012778	ENSCAFP00000004615
ENSTGUP00000010627	ENSCAFP00000026960
ENSTGUP00000006807	ENSCAFP00000043067
ENSTGUP00000010206	ENSCAFP00000001479
ENSTGUP00000009542	ENSCAFP00000024121
ENSTGUP00000005159	ENSCAFP00000014219
ENSTGUP00000009485	ENSCAFP00000018954
ENSTGUP00000016157	ENSCAFP00000008629
ENSTGUP00000007227	ENSCAFP00000016517
ENSTGUP00000012428	ENSCAFP00000005787
ENSTGUP00000008670	ENSCAFP00000011412
ENSTGUP00000013855	ENSCAFP00000008246
ENSTGUP00000014220	ENSCAFP00000023338
ENSTGUP00000002678	ENSCAFP00000010328
ENSTGUP00000010905	ENSCAFP00000022062
ENSTGUP00000002006	ENSCAFP00000027774
ENSTGUP00000007593	ENSCAFP00000019539
ENSTGUP00000011277	ENSCAFP00000010064
ENSTGUP00000005565	ENSCAFP00000029053
ENSTGUP00000004444	ENSCAFP00000002581
ENSTGUP00000005512	ENSCAFP00000021599
ENSTGUP00000010846	ENSCAFP00000016106
ENSTGUP00000011608	ENSCAFP00000020973
ENSTGUP00000013304	ENSCAFP00000006558
ENSTGUP00000012906	ENSCAFP00000038006
ENSTGUP00000013933	ENSCAFP00000011522
ENSTGUP00000010090	ENSCAFP00000030268
ENSTGUP00000003852	ENSCAFP00000008041
ENSTGUP00000009783	ENSCAFP00000038931
ENSTGUP00000003803	ENSCAFP00000008908
ENSTGUP00000007017	ENSCAFP00000029012
ENSTGUP00000000860	ENSCAFP00000037203
ENSTGUP00000011276	ENSCAFP00000035991
ENSTGUP00000011179	ENSCAFP00000002482
ENSTGUP00000004224	ENSCAFP00000028330
ENSTGUP00000009383	ENSCAFP00000011192
ENSTGUP00000000778	ENSCAFP00000040567
ENSTGUP00000005036	ENSCAFP00000040113
ENSTGUP00000005119	ENSCAFP00000029482
ENSTGUP00000004074	ENSCAFP00000016469
ENSTGUP00000007500	ENSCAFP00000040317
ENSTGUP00000011124	ENSCAFP00000009027
ENSTGUP00000010144	ENSCAFP00000040911
ENSTGUP00000011892	ENSCAFP00000024134
ENSTGUP00000003935	ENSCAFP00000006650
ENSTGUP00000001380	ENSCAFP00000015343
ENSTGUP00000006523	ENSCAFP00000023611
ENSTGUP00000006798	ENSCAFP00000000013
ENSTGUP00000006624	ENSCAFP00000012363
ENSTGUP00000008337	ENSCAFP00000017577
ENSTGUP00000007428	ENSCAFP00000011780
ENSTGUP00000003766	ENSCAFP00000026707
ENSTGUP00000001634	ENSCAFP00000026041
ENSTGUP00000005149	ENSCAFP00000006539
ENSTGUP00000010151	ENSCAFP00000022679
ENSTGUP00000008794	ENSCAFP00000009234
ENSTGUP00000016917	ENSCAFP00000006555
ENSTGUP00000012686	ENSCAFP00000001178
ENSTGUP00000007091	ENSCAFP00000010173
ENSTGUP00000017720	ENSCAFP00000042718
ENSTGUP00000005419	ENSCAFP00000032143
