ENSMGAP00000004951	ENSCAFP00000014731
ENSMGAP00000003540	ENSCAFP00000011467
ENSMGAP00000009831	ENSCAFP00000017309
ENSMGAP00000008799	ENSCAFP00000015309
ENSMGAP00000007280	ENSCAFP00000014627
ENSMGAP00000015206	ENSCAFP00000014090
ENSMGAP00000013509	ENSCAFP00000001226
ENSMGAP00000003769	ENSCAFP00000016495
ENSMGAP00000002044	ENSCAFP00000042548
ENSMGAP00000013005	ENSCAFP00000036476
ENSMGAP00000000296	ENSCAFP00000020751
ENSMGAP00000007129	ENSCAFP00000016288
ENSMGAP00000018271	ENSCAFP00000008827
ENSMGAP00000013059	ENSCAFP00000024080
ENSMGAP00000008514	ENSCAFP00000002690
ENSMGAP00000000489	ENSCAFP00000010275
ENSMGAP00000000910	ENSCAFP00000019375
ENSMGAP00000004112	ENSCAFP00000000152
ENSMGAP00000013456	ENSCAFP00000027777
ENSMGAP00000008472	ENSCAFP00000018450
ENSMGAP00000019046	ENSCAFP00000008252
ENSMGAP00000009756	ENSCAFP00000001717
ENSMGAP00000008662	ENSCAFP00000036841
ENSMGAP00000006449	ENSCAFP00000026698
ENSMGAP00000004702	ENSCAFP00000042393
ENSMGAP00000006613	ENSCAFP00000026704
ENSMGAP00000009050	ENSCAFP00000030967
ENSMGAP00000004914	ENSCAFP00000007031
ENSMGAP00000013618	ENSCAFP00000000430
ENSMGAP00000005684	ENSCAFP00000019256
ENSMGAP00000009571	ENSCAFP00000028421
ENSMGAP00000005595	ENSCAFP00000024342
ENSMGAP00000016026	ENSCAFP00000039926
ENSMGAP00000000408	ENSCAFP00000006243
ENSMGAP00000005483	ENSCAFP00000034569
ENSMGAP00000014534	ENSCAFP00000001348
ENSMGAP00000004122	ENSCAFP00000012048
ENSMGAP00000016219	ENSCAFP00000009675
ENSMGAP00000010509	ENSCAFP00000003526
ENSMGAP00000007023	ENSCAFP00000020680
ENSMGAP00000010501	ENSCAFP00000029102
ENSMGAP00000016999	ENSCAFP00000035935
ENSMGAP00000010990	ENSCAFP00000002258
ENSMGAP00000002550	ENSCAFP00000019698
ENSMGAP00000007315	ENSCAFP00000006250
ENSMGAP00000003641	ENSCAFP00000007572
ENSMGAP00000010551	ENSCAFP00000018596
ENSMGAP00000015515	ENSCAFP00000019864
ENSMGAP00000014302	ENSCAFP00000005361
ENSMGAP00000005169	ENSCAFP00000007861
ENSMGAP00000009621	ENSCAFP00000009920
ENSMGAP00000012231	ENSCAFP00000041757
ENSMGAP00000009113	ENSCAFP00000027751
ENSMGAP00000012984	ENSCAFP00000000918
ENSMGAP00000014823	ENSCAFP00000005172
ENSMGAP00000001268	ENSCAFP00000016641
ENSMGAP00000002475	ENSCAFP00000012941
ENSMGAP00000011499	ENSCAFP00000010505
ENSMGAP00000009494	ENSCAFP00000016088
ENSMGAP00000015662	ENSCAFP00000003402
ENSMGAP00000003143	ENSCAFP00000005396
ENSMGAP00000006196	ENSCAFP00000013832
ENSMGAP00000000855	ENSCAFP00000022924
ENSMGAP00000012414	ENSCAFP00000024414
ENSMGAP00000005384	ENSCAFP00000008571
ENSMGAP00000000608	ENSCAFP00000027849
ENSMGAP00000002496	ENSCAFP00000033703
ENSMGAP00000014887	ENSCAFP00000007353
ENSMGAP00000018062	ENSCAFP00000000037
ENSMGAP00000008322	ENSCAFP00000000036
ENSMGAP00000000441	ENSCAFP00000029075
ENSMGAP00000014209	ENSCAFP00000027097
ENSMGAP00000014299	ENSCAFP00000005460
ENSMGAP00000010630	ENSCAFP00000032218
ENSMGAP00000004972	ENSCAFP00000003895
ENSMGAP00000006124	ENSCAFP00000006378
ENSMGAP00000019712	ENSCAFP00000021810
ENSMGAP00000007459	ENSCAFP00000026045
ENSMGAP00000005944	ENSCAFP00000025340
ENSMGAP00000014215	ENSCAFP00000027149
ENSMGAP00000001087	ENSCAFP00000040692
ENSMGAP00000004015	ENSCAFP00000020377
ENSMGAP00000012545	ENSCAFP00000038268
ENSMGAP00000004321	ENSCAFP00000025671
ENSMGAP00000015855	ENSCAFP00000007405
ENSMGAP00000013076	ENSCAFP00000019037
ENSMGAP00000003941	ENSCAFP00000015811
ENSMGAP00000003547	ENSCAFP00000023710
ENSMGAP00000011388	ENSCAFP00000008750
ENSMGAP00000013448	ENSCAFP00000025088
ENSMGAP00000015961	ENSCAFP00000009139
ENSMGAP00000008266	ENSCAFP00000001531
ENSMGAP00000015989	ENSCAFP00000009553
ENSMGAP00000012867	ENSCAFP00000023429
ENSMGAP00000011582	ENSCAFP00000008704
ENSMGAP00000015060	ENSCAFP00000014618
ENSMGAP00000013246	ENSCAFP00000036924
ENSMGAP00000014470	ENSCAFP00000016834
ENSMGAP00000005915	ENSCAFP00000011285
ENSMGAP00000014461	ENSCAFP00000016767
ENSMGAP00000009531	ENSCAFP00000009769
ENSMGAP00000012208	ENSCAFP00000010088
ENSMGAP00000016072	ENSCAFP00000021685
ENSMGAP00000009247	ENSCAFP00000018279
ENSMGAP00000002541	ENSCAFP00000028463
ENSMGAP00000006064	ENSCAFP00000016012
ENSMGAP00000004791	ENSCAFP00000000807
ENSMGAP00000000560	ENSCAFP00000025175
ENSMGAP00000013297	ENSCAFP00000034922
ENSMGAP00000012063	ENSCAFP00000027875
ENSMGAP00000000317	ENSCAFP00000003784
ENSMGAP00000013599	ENSCAFP00000001671
ENSMGAP00000008674	ENSCAFP00000041161
ENSMGAP00000017264	ENSCAFP00000027254
ENSMGAP00000010049	ENSCAFP00000029062
ENSMGAP00000017943	ENSCAFP00000030010
ENSMGAP00000018707	ENSCAFP00000009932
ENSMGAP00000011814	ENSCAFP00000014253
ENSMGAP00000016073	ENSCAFP00000021703
ENSMGAP00000001880	ENSCAFP00000019492
ENSMGAP00000006290	ENSCAFP00000010741
ENSMGAP00000011160	ENSCAFP00000017865
ENSMGAP00000004559	ENSCAFP00000011731
ENSMGAP00000005979	ENSCAFP00000025362
ENSMGAP00000012835	ENSCAFP00000022311
ENSMGAP00000013274	ENSCAFP00000001411
ENSMGAP00000003017	ENSCAFP00000011150
ENSMGAP00000006052	ENSCAFP00000024267
ENSMGAP00000010156	ENSCAFP00000016667
ENSMGAP00000005418	ENSCAFP00000022963
ENSMGAP00000011227	ENSCAFP00000018506
ENSMGAP00000015131	ENSCAFP00000030553
ENSMGAP00000006488	ENSCAFP00000015836
ENSMGAP00000005917	ENSCAFP00000027951
ENSMGAP00000006201	ENSCAFP00000030245
ENSMGAP00000001389	ENSCAFP00000015985
ENSMGAP00000005189	ENSCAFP00000024438
ENSMGAP00000000847	ENSCAFP00000026008
ENSMGAP00000010993	ENSCAFP00000000622
ENSMGAP00000000338	ENSCAFP00000017553
ENSMGAP00000002135	ENSCAFP00000017689
ENSMGAP00000006893	ENSCAFP00000006434
ENSMGAP00000010754	ENSCAFP00000006895
ENSMGAP00000010185	ENSCAFP00000018165
ENSMGAP00000002264	ENSCAFP00000003988
ENSMGAP00000009623	ENSCAFP00000037401
ENSMGAP00000017642	ENSCAFP00000037536
ENSMGAP00000012636	ENSCAFP00000004759
ENSMGAP00000015490	ENSCAFP00000020551
ENSMGAP00000012640	ENSCAFP00000002814
ENSMGAP00000005335	ENSCAFP00000009571
ENSMGAP00000004049	ENSCAFP00000039973
ENSMGAP00000010775	ENSCAFP00000004011
ENSMGAP00000013373	ENSCAFP00000008325
ENSMGAP00000006254	ENSCAFP00000006083
ENSMGAP00000004838	ENSCAFP00000026966
ENSMGAP00000009379	ENSCAFP00000017740
ENSMGAP00000008602	ENSCAFP00000001412
ENSMGAP00000015059	ENSCAFP00000014553
ENSMGAP00000009301	ENSCAFP00000014700
ENSMGAP00000004268	ENSCAFP00000015988
ENSMGAP00000003361	ENSCAFP00000038967
ENSMGAP00000000645	ENSCAFP00000013392
ENSMGAP00000009390	ENSCAFP00000003445
ENSMGAP00000005612	ENSCAFP00000025982
ENSMGAP00000006287	ENSCAFP00000010873
ENSMGAP00000014114	ENSCAFP00000015868
ENSMGAP00000008193	ENSCAFP00000026669
ENSMGAP00000006083	ENSCAFP00000016357
ENSMGAP00000003248	ENSCAFP00000014234
ENSMGAP00000004524	ENSCAFP00000028257
ENSMGAP00000007828	ENSCAFP00000022395
ENSMGAP00000008130	ENSCAFP00000023750
ENSMGAP00000014884	ENSCAFP00000007145
ENSMGAP00000007880	ENSCAFP00000008927
ENSMGAP00000004445	ENSCAFP00000017751
ENSMGAP00000015368	ENSCAFP00000013024
ENSMGAP00000009602	ENSCAFP00000042693
ENSMGAP00000008299	ENSCAFP00000026155
ENSMGAP00000011956	ENSCAFP00000033030
ENSMGAP00000015738	ENSCAFP00000041674
ENSMGAP00000015289	ENSCAFP00000016206
ENSMGAP00000011579	ENSCAFP00000008556
ENSMGAP00000018762	ENSCAFP00000023713
ENSMGAP00000004876	ENSCAFP00000042345
ENSMGAP00000001528	ENSCAFP00000027593
ENSMGAP00000011191	ENSCAFP00000015726
ENSMGAP00000015661	ENSCAFP00000003436
ENSMGAP00000000657	ENSCAFP00000012262
ENSMGAP00000011439	ENSCAFP00000005825
ENSMGAP00000004523	ENSCAFP00000024535
ENSMGAP00000008500	ENSCAFP00000024106
ENSMGAP00000012801	ENSCAFP00000032837
ENSMGAP00000001922	ENSCAFP00000025127
ENSMGAP00000007890	ENSCAFP00000011003
ENSMGAP00000018335	ENSCAFP00000023472
ENSMGAP00000017426	ENSCAFP00000001401
ENSMGAP00000009803	ENSCAFP00000026103
ENSMGAP00000000082	ENSCAFP00000020455
ENSMGAP00000008390	ENSCAFP00000020457
ENSMGAP00000008586	ENSCAFP00000027959
ENSMGAP00000015130	ENSCAFP00000014348
ENSMGAP00000006258	ENSCAFP00000018363
ENSMGAP00000004188	ENSCAFP00000021253
ENSMGAP00000001746	ENSCAFP00000009656
ENSMGAP00000002413	ENSCAFP00000027022
ENSMGAP00000010158	ENSCAFP00000028242
ENSMGAP00000012618	ENSCAFP00000006061
ENSMGAP00000008124	ENSCAFP00000030067
ENSMGAP00000000715	ENSCAFP00000038440
ENSMGAP00000011226	ENSCAFP00000002926
ENSMGAP00000000208	ENSCAFP00000027714
ENSMGAP00000003835	ENSCAFP00000021062
ENSMGAP00000013563	ENSCAFP00000002632
ENSMGAP00000002031	ENSCAFP00000009642
ENSMGAP00000013434	ENSCAFP00000000769
ENSMGAP00000018540	ENSCAFP00000039622
ENSMGAP00000010288	ENSCAFP00000017701
ENSMGAP00000005380	ENSCAFP00000011683
ENSMGAP00000004347	ENSCAFP00000037498
ENSMGAP00000011378	ENSCAFP00000008761
ENSMGAP00000000977	ENSCAFP00000040207
ENSMGAP00000000026	ENSCAFP00000004897
ENSMGAP00000007659	ENSCAFP00000000662
ENSMGAP00000007302	ENSCAFP00000015800
ENSMGAP00000010337	ENSCAFP00000006879
ENSMGAP00000012019	ENSCAFP00000010673
ENSMGAP00000003385	ENSCAFP00000037149
ENSMGAP00000006469	ENSCAFP00000004982
ENSMGAP00000000243	ENSCAFP00000018051
ENSMGAP00000015428	ENSCAFP00000015009
ENSMGAP00000000519	ENSCAFP00000014929
ENSMGAP00000014013	ENSCAFP00000026294
ENSMGAP00000010274	ENSCAFP00000038665
ENSMGAP00000005665	ENSCAFP00000026016
ENSMGAP00000012422	ENSCAFP00000024385
ENSMGAP00000015717	ENSCAFP00000003044
ENSMGAP00000002131	ENSCAFP00000000308
ENSMGAP00000002340	ENSCAFP00000002188
ENSMGAP00000001826	ENSCAFP00000029301
ENSMGAP00000010838	ENSCAFP00000004026
ENSMGAP00000010018	ENSCAFP00000041956
ENSMGAP00000003556	ENSCAFP00000016830
ENSMGAP00000007751	ENSCAFP00000009689
ENSMGAP00000009580	ENSCAFP00000009369
ENSMGAP00000008366	ENSCAFP00000027341
ENSMGAP00000019274	ENSCAFP00000029106
ENSMGAP00000002721	ENSCAFP00000014633
ENSMGAP00000009353	ENSCAFP00000040132
ENSMGAP00000005932	ENSCAFP00000016378
ENSMGAP00000005330	ENSCAFP00000018521
ENSMGAP00000010498	ENSCAFP00000013346
ENSMGAP00000012544	ENSCAFP00000019292
ENSMGAP00000006398	ENSCAFP00000011551
ENSMGAP00000004019	ENSCAFP00000020299
ENSMGAP00000012568	ENSCAFP00000017129
ENSMGAP00000002568	ENSCAFP00000013732
ENSMGAP00000016147	ENSCAFP00000006373
ENSMGAP00000009190	ENSCAFP00000025152
ENSMGAP00000001545	ENSCAFP00000009302
ENSMGAP00000016231	ENSCAFP00000008420
ENSMGAP00000015639	ENSCAFP00000014294
ENSMGAP00000006988	ENSCAFP00000029652
ENSMGAP00000007001	ENSCAFP00000019166
ENSMGAP00000001204	ENSCAFP00000017230
ENSMGAP00000005146	ENSCAFP00000036541
ENSMGAP00000013800	ENSCAFP00000010778
ENSMGAP00000017580	ENSCAFP00000018228
ENSMGAP00000005130	ENSCAFP00000024308
ENSMGAP00000007505	ENSCAFP00000006098
ENSMGAP00000014525	ENSCAFP00000004305
ENSMGAP00000015396	ENSCAFP00000014191
ENSMGAP00000010414	ENSCAFP00000026905
ENSMGAP00000005651	ENSCAFP00000034692
ENSMGAP00000008860	ENSCAFP00000019622
ENSMGAP00000004044	ENSCAFP00000027060
ENSMGAP00000007546	ENSCAFP00000006027
ENSMGAP00000007814	ENSCAFP00000019371
ENSMGAP00000010896	ENSCAFP00000004059
ENSMGAP00000004497	ENSCAFP00000000115
ENSMGAP00000009048	ENSCAFP00000027795
ENSMGAP00000009227	ENSCAFP00000029944
ENSMGAP00000004661	ENSCAFP00000000107
ENSMGAP00000007535	ENSCAFP00000003750
ENSMGAP00000006738	ENSCAFP00000014865
ENSMGAP00000002484	ENSCAFP00000037890
ENSMGAP00000003415	ENSCAFP00000013122
ENSMGAP00000001559	ENSCAFP00000003198
ENSMGAP00000014587	ENSCAFP00000021768
ENSMGAP00000003633	ENSCAFP00000029197
ENSMGAP00000006114	ENSCAFP00000023352
ENSMGAP00000006463	ENSCAFP00000006770
ENSMGAP00000002447	ENSCAFP00000004762
ENSMGAP00000014433	ENSCAFP00000004617
ENSMGAP00000001147	ENSCAFP00000028823
ENSMGAP00000001591	ENSCAFP00000021318
ENSMGAP00000011449	ENSCAFP00000012278
ENSMGAP00000013726	ENSCAFP00000000364
ENSMGAP00000015047	ENSCAFP00000003221
ENSMGAP00000007995	ENSCAFP00000019469
ENSMGAP00000014206	ENSCAFP00000005771
ENSMGAP00000010048	ENSCAFP00000016852
ENSMGAP00000014943	ENSCAFP00000021591
ENSMGAP00000015612	ENSCAFP00000016371
ENSMGAP00000009104	ENSCAFP00000002615
ENSMGAP00000014740	ENSCAFP00000020521
ENSMGAP00000001927	ENSCAFP00000020996
ENSMGAP00000010253	ENSCAFP00000017724
ENSMGAP00000012723	ENSCAFP00000002748
ENSMGAP00000013738	ENSCAFP00000025761
ENSMGAP00000001390	ENSCAFP00000026142
ENSMGAP00000010441	ENSCAFP00000026892
ENSMGAP00000003623	ENSCAFP00000014055
ENSMGAP00000012235	ENSCAFP00000035393
ENSMGAP00000000158	ENSCAFP00000016213
ENSMGAP00000009079	ENSCAFP00000002957
ENSMGAP00000006680	ENSCAFP00000006148
ENSMGAP00000012257	ENSCAFP00000018773
ENSMGAP00000002782	ENSCAFP00000007655
ENSMGAP00000007132	ENSCAFP00000032528
ENSMGAP00000004763	ENSCAFP00000026983
ENSMGAP00000000430	ENSCAFP00000022795
ENSMGAP00000001536	ENSCAFP00000020198
ENSMGAP00000003910	ENSCAFP00000020392
ENSMGAP00000012967	ENSCAFP00000036568
ENSMGAP00000009948	ENSCAFP00000009640
ENSMGAP00000011702	ENSCAFP00000009007
ENSMGAP00000004659	ENSCAFP00000020037
ENSMGAP00000001654	ENSCAFP00000000007
ENSMGAP00000009684	ENSCAFP00000039409
ENSMGAP00000007310	ENSCAFP00000024697
ENSMGAP00000002202	ENSCAFP00000002943
ENSMGAP00000005584	ENSCAFP00000027547
ENSMGAP00000000397	ENSCAFP00000020163
ENSMGAP00000008982	ENSCAFP00000030056
ENSMGAP00000016070	ENSCAFP00000021636
ENSMGAP00000014101	ENSCAFP00000001325
ENSMGAP00000015471	ENSCAFP00000021402
ENSMGAP00000007160	ENSCAFP00000019804
ENSMGAP00000014426	ENSCAFP00000004615
ENSMGAP00000010298	ENSCAFP00000026960
ENSMGAP00000016722	ENSCAFP00000043067
ENSMGAP00000012745	ENSCAFP00000001479
ENSMGAP00000005987	ENSCAFP00000006473
ENSMGAP00000004980	ENSCAFP00000013558
ENSMGAP00000013085	ENSCAFP00000024121
ENSMGAP00000018933	ENSCAFP00000014219
ENSMGAP00000003735	ENSCAFP00000011514
ENSMGAP00000012379	ENSCAFP00000018954
ENSMGAP00000006419	ENSCAFP00000008629
ENSMGAP00000000694	ENSCAFP00000029773
ENSMGAP00000009832	ENSCAFP00000038589
ENSMGAP00000008278	ENSCAFP00000013390
ENSMGAP00000005867	ENSCAFP00000016517
ENSMGAP00000014202	ENSCAFP00000005787
ENSMGAP00000006121	ENSCAFP00000011412
ENSMGAP00000000117	ENSCAFP00000039007
ENSMGAP00000003000	ENSCAFP00000027851
ENSMGAP00000007109	ENSCAFP00000023338
ENSMGAP00000009914	ENSCAFP00000010328
ENSMGAP00000013774	ENSCAFP00000022062
ENSMGAP00000001539	ENSCAFP00000009069
ENSMGAP00000019494	ENSCAFP00000018592
ENSMGAP00000011285	ENSCAFP00000010064
ENSMGAP00000000157	ENSCAFP00000043090
ENSMGAP00000009380	ENSCAFP00000004940
ENSMGAP00000005137	ENSCAFP00000029053
ENSMGAP00000008563	ENSCAFP00000002581
ENSMGAP00000012046	ENSCAFP00000021599
ENSMGAP00000016058	ENSCAFP00000020973
ENSMGAP00000016573	ENSCAFP00000006558
ENSMGAP00000016872	ENSCAFP00000038006
ENSMGAP00000015301	ENSCAFP00000011522
ENSMGAP00000006407	ENSCAFP00000030268
ENSMGAP00000011715	ENSCAFP00000008041
ENSMGAP00000008590	ENSCAFP00000038931
ENSMGAP00000005076	ENSCAFP00000008908
ENSMGAP00000005438	ENSCAFP00000029012
ENSMGAP00000016638	ENSCAFP00000037203
ENSMGAP00000005073	ENSCAFP00000029601
ENSMGAP00000013433	ENSCAFP00000002482
ENSMGAP00000009491	ENSCAFP00000028330
ENSMGAP00000011663	ENSCAFP00000005581
ENSMGAP00000005522	ENSCAFP00000011192
ENSMGAP00000006380	ENSCAFP00000040567
ENSMGAP00000005602	ENSCAFP00000040113
ENSMGAP00000013561	ENSCAFP00000025298
ENSMGAP00000018199	ENSCAFP00000029482
ENSMGAP00000005855	ENSCAFP00000016469
ENSMGAP00000015521	ENSCAFP00000040317
ENSMGAP00000016474	ENSCAFP00000009027
ENSMGAP00000012791	ENSCAFP00000040911
ENSMGAP00000012560	ENSCAFP00000024134
ENSMGAP00000011742	ENSCAFP00000006650
ENSMGAP00000004924	ENSCAFP00000015343
ENSMGAP00000005680	ENSCAFP00000023611
ENSMGAP00000000523	ENSCAFP00000018636
ENSMGAP00000001836	ENSCAFP00000000013
ENSMGAP00000007181	ENSCAFP00000012363
ENSMGAP00000015569	ENSCAFP00000017577
ENSMGAP00000006318	ENSCAFP00000011780
ENSMGAP00000001361	ENSCAFP00000016959
ENSMGAP00000003008	ENSCAFP00000026707
ENSMGAP00000019584	ENSCAFP00000026041
ENSMGAP00000003359	ENSCAFP00000006539
ENSMGAP00000014546	ENSCAFP00000021503
ENSMGAP00000013342	ENSCAFP00000022679
ENSMGAP00000011835	ENSCAFP00000009234
ENSMGAP00000009411	ENSCAFP00000006555
ENSMGAP00000013148	ENSCAFP00000001178
ENSMGAP00000008199	ENSCAFP00000010173
ENSMGAP00000006251	ENSCAFP00000042718
ENSMGAP00000002497	ENSCAFP00000032143
ENSMGAP00000011791	ENSCAFP00000022880
ENSMGAP00000007325	ENSCAFP00000021956
ENSMGAP00000004641	ENSCAFP00000007327
ENSMGAP00000017508	ENSCAFP00000008831
ENSMGAP00000005231	ENSCAFP00000012023
ENSMGAP00000002061	ENSCAFP00000002002
ENSMGAP00000005940	ENSCAFP00000023632
ENSMGAP00000012263	ENSCAFP00000031755
ENSMGAP00000009116	ENSCAFP00000029977
ENSMGAP00000008912	ENSCAFP00000022793
ENSMGAP00000003054	ENSCAFP00000020958
ENSMGAP00000009892	ENSCAFP00000025244
ENSMGAP00000012675	ENSCAFP00000001391
ENSMGAP00000004311	ENSCAFP00000041985
ENSMGAP00000014491	ENSCAFP00000038728
ENSMGAP00000005713	ENSCAFP00000040507
ENSMGAP00000005898	ENSCAFP00000023606
ENSMGAP00000005980	ENSCAFP00000014708
ENSMGAP00000008473	ENSCAFP00000010892
ENSMGAP00000014541	ENSCAFP00000041305
ENSMGAP00000014265	ENSCAFP00000001945
ENSMGAP00000001241	ENSCAFP00000037879
ENSMGAP00000008401	ENSCAFP00000026125
ENSMGAP00000014224	ENSCAFP00000005701
ENSMGAP00000002634	ENSCAFP00000025610
ENSMGAP00000003531	ENSCAFP00000019854
ENSMGAP00000001759	ENSCAFP00000009244
ENSMGAP00000001391	ENSCAFP00000012318
ENSMGAP00000000179	ENSCAFP00000029589
ENSMGAP00000000972	ENSCAFP00000019669
ENSMGAP00000008692	ENSCAFP00000036468
ENSMGAP00000007509	ENSCAFP00000014239
ENSMGAP00000001281	ENSCAFP00000004778
ENSMGAP00000002641	ENSCAFP00000038976
ENSMGAP00000011875	ENSCAFP00000015869
ENSMGAP00000004020	ENSCAFP00000007536
ENSMGAP00000001291	ENSCAFP00000035841
ENSMGAP00000003478	ENSCAFP00000027291
ENSMGAP00000002830	ENSCAFP00000019630
ENSMGAP00000002809	ENSCAFP00000019615
ENSMGAP00000002406	ENSCAFP00000009751
ENSMGAP00000012727	ENSCAFP00000013929
ENSMGAP00000013639	ENSCAFP00000000419
ENSMGAP00000007021	ENSCAFP00000034200
ENSMGAP00000002120	ENSCAFP00000017685
ENSMGAP00000011817	ENSCAFP00000003667
ENSMGAP00000012503	ENSCAFP00000024167
ENSMGAP00000010519	ENSCAFP00000003633
ENSMGAP00000011505	ENSCAFP00000034065
ENSMGAP00000014083	ENSCAFP00000026449
ENSMGAP00000013571	ENSCAFP00000025322
ENSMGAP00000006817	ENSCAFP00000018204
ENSMGAP00000006241	ENSCAFP00000006194
ENSMGAP00000002289	ENSCAFP00000001694
ENSMGAP00000003880	ENSCAFP00000007665
ENSMGAP00000017542	ENSCAFP00000005584
ENSMGAP00000002398	ENSCAFP00000018265
ENSMGAP00000009519	ENSCAFP00000030126
ENSMGAP00000016992	ENSCAFP00000001985
ENSMGAP00000015438	ENSCAFP00000015302
ENSMGAP00000009505	ENSCAFP00000036764
ENSMGAP00000017676	ENSCAFP00000000256
ENSMGAP00000017494	ENSCAFP00000019385
ENSMGAP00000001524	ENSCAFP00000013312
ENSMGAP00000007884	ENSCAFP00000027209
ENSMGAP00000015728	ENSCAFP00000009736
ENSMGAP00000009248	ENSCAFP00000017813
ENSMGAP00000009783	ENSCAFP00000009666
ENSMGAP00000015822	ENSCAFP00000007856
ENSMGAP00000016071	ENSCAFP00000021646
ENSMGAP00000002733	ENSCAFP00000040611
ENSMGAP00000005462	ENSCAFP00000039510
ENSMGAP00000005017	ENSCAFP00000013585
ENSMGAP00000019365	ENSCAFP00000006414
ENSMGAP00000014305	ENSCAFP00000038099
ENSMGAP00000004476	ENSCAFP00000032157
ENSMGAP00000005813	ENSCAFP00000039481
ENSMGAP00000003638	ENSCAFP00000016931
ENSMGAP00000004608	ENSCAFP00000023668
ENSMGAP00000011021	ENSCAFP00000000642
ENSMGAP00000014398	ENSCAFP00000022474
ENSMGAP00000012526	ENSCAFP00000016970
ENSMGAP00000000969	ENSCAFP00000026129
ENSMGAP00000004909	ENSCAFP00000007666
ENSMGAP00000008245	ENSCAFP00000012757
ENSMGAP00000003258	ENSCAFP00000016904
ENSMGAP00000011412	ENSCAFP00000008550
ENSMGAP00000001872	ENSCAFP00000013888
ENSMGAP00000009811	ENSCAFP00000014286
ENSMGAP00000014485	ENSCAFP00000020889
ENSMGAP00000015108	ENSCAFP00000016423
ENSMGAP00000006814	ENSCAFP00000006507
ENSMGAP00000005558	ENSCAFP00000021539
ENSMGAP00000018563	ENSCAFP00000005826
ENSMGAP00000012166	ENSCAFP00000010164
ENSMGAP00000005303	ENSCAFP00000015634
ENSMGAP00000000725	ENSCAFP00000029791
ENSMGAP00000010084	ENSCAFP00000029025
ENSMGAP00000011681	ENSCAFP00000015153
ENSMGAP00000010365	ENSCAFP00000019026
ENSMGAP00000014200	ENSCAFP00000031804
ENSMGAP00000007424	ENSCAFP00000006087
ENSMGAP00000004511	ENSCAFP00000007188
ENSMGAP00000000056	ENSCAFP00000009018
ENSMGAP00000008457	ENSCAFP00000009022
ENSMGAP00000003364	ENSCAFP00000019185
ENSMGAP00000014313	ENSCAFP00000029393
ENSMGAP00000007768	ENSCAFP00000008401
ENSMGAP00000008282	ENSCAFP00000011713
ENSMGAP00000015326	ENSCAFP00000012224
ENSMGAP00000000513	ENSCAFP00000018166
ENSMGAP00000000021	ENSCAFP00000017280
ENSMGAP00000011078	ENSCAFP00000013102
ENSMGAP00000002249	ENSCAFP00000016422
ENSMGAP00000010473	ENSCAFP00000004390
ENSMGAP00000013072	ENSCAFP00000007443
ENSMGAP00000000581	ENSCAFP00000013833
ENSMGAP00000015303	ENSCAFP00000043137
ENSMGAP00000014123	ENSCAFP00000032192
ENSMGAP00000006383	ENSCAFP00000010305
ENSMGAP00000012048	ENSCAFP00000009594
ENSMGAP00000007103	ENSCAFP00000028226
ENSMGAP00000001193	ENSCAFP00000027570
ENSMGAP00000007506	ENSCAFP00000039424
ENSMGAP00000002205	ENSCAFP00000024759
ENSMGAP00000002688	ENSCAFP00000004675
ENSMGAP00000010966	ENSCAFP00000005918
ENSMGAP00000007360	ENSCAFP00000020241
ENSMGAP00000009330	ENSCAFP00000017759
ENSMGAP00000008896	ENSCAFP00000030044
ENSMGAP00000004326	ENSCAFP00000034949
ENSMGAP00000015759	ENSCAFP00000009138
ENSMGAP00000014092	ENSCAFP00000001349
ENSMGAP00000013248	ENSCAFP00000022219
ENSMGAP00000001086	ENSCAFP00000011189
ENSMGAP00000015473	ENSCAFP00000021330
ENSMGAP00000015475	ENSCAFP00000021307
ENSMGAP00000003176	ENSCAFP00000026813
ENSMGAP00000004941	ENSCAFP00000012494
ENSMGAP00000006899	ENSCAFP00000034278
ENSMGAP00000014446	ENSCAFP00000022380
ENSMGAP00000008249	ENSCAFP00000026149
ENSMGAP00000011446	ENSCAFP00000017153
ENSMGAP00000002917	ENSCAFP00000018202
ENSMGAP00000003136	ENSCAFP00000027089
ENSMGAP00000007665	ENSCAFP00000014022
ENSMGAP00000017273	ENSCAFP00000026348
ENSMGAP00000011932	ENSCAFP00000028085
ENSMGAP00000003707	ENSCAFP00000021142
ENSMGAP00000007975	ENSCAFP00000019451
ENSMGAP00000004742	ENSCAFP00000023810
ENSMGAP00000002753	ENSCAFP00000025696
ENSMGAP00000009998	ENSCAFP00000029076
ENSMGAP00000003266	ENSCAFP00000004978
ENSMGAP00000002993	ENSCAFP00000027029
ENSMGAP00000014226	ENSCAFP00000042195
ENSMGAP00000016851	ENSCAFP00000030626
ENSMGAP00000008171	ENSCAFP00000000685
ENSMGAP00000010360	ENSCAFP00000013656
ENSMGAP00000009423	ENSCAFP00000004929
ENSMGAP00000014238	ENSCAFP00000005648
ENSMGAP00000012519	ENSCAFP00000013269
ENSMGAP00000005255	ENSCAFP00000022592
ENSMGAP00000005667	ENSCAFP00000002638
ENSMGAP00000005943	ENSCAFP00000016410
ENSMGAP00000008600	ENSCAFP00000029923
ENSMGAP00000019279	ENSCAFP00000028715
ENSMGAP00000006559	ENSCAFP00000008826
ENSMGAP00000015051	ENSCAFP00000014757
ENSMGAP00000012326	ENSCAFP00000012882
