ENSLOCP00000009128	ENSGALP00000006197
ENSLOCP00000019658	ENSGALP00000026776
ENSLOCP00000014908	ENSGALP00000042772
ENSLOCP00000017941	ENSGALP00000041476
ENSLOCP00000018053	ENSGALP00000003966
ENSLOCP00000015247	ENSGALP00000040567
ENSLOCP00000005233	ENSGALP00000006047
ENSLOCP00000016382	ENSGALP00000041215
ENSLOCP00000006129	ENSGALP00000021432
ENSLOCP00000018693	ENSGALP00000040769
ENSLOCP00000021996	ENSGALP00000013176
ENSLOCP00000017893	ENSGALP00000021249
ENSLOCP00000003925	ENSGALP00000022893
ENSLOCP00000020003	ENSGALP00000022592
ENSLOCP00000012494	ENSGALP00000025609
ENSLOCP00000007973	ENSGALP00000005234
ENSLOCP00000000964	ENSGALP00000004831
ENSLOCP00000002111	ENSGALP00000007671
ENSLOCP00000002065	ENSGALP00000039286
ENSLOCP00000003094	ENSGALP00000034141
ENSLOCP00000011947	ENSGALP00000010268
ENSLOCP00000007570	ENSGALP00000004056
ENSLOCP00000008144	ENSGALP00000039355
ENSLOCP00000020299	ENSGALP00000015633
ENSLOCP00000006050	ENSGALP00000024919
ENSLOCP00000014596	ENSGALP00000040085
ENSLOCP00000010701	ENSGALP00000039032
ENSLOCP00000014805	ENSGALP00000004480
ENSLOCP00000002247	ENSGALP00000007644
ENSLOCP00000006330	ENSGALP00000024722
ENSLOCP00000015099	ENSGALP00000014293
ENSLOCP00000000971	ENSGALP00000026854
ENSLOCP00000002667	ENSGALP00000027915
ENSLOCP00000017035	ENSGALP00000013090
ENSLOCP00000010777	ENSGALP00000041768
ENSLOCP00000004156	ENSGALP00000026457
ENSLOCP00000008672	ENSGALP00000003263
ENSLOCP00000014637	ENSGALP00000025413
ENSLOCP00000003192	ENSGALP00000003447
ENSLOCP00000000015	ENSGALP00000042954
ENSLOCP00000005842	ENSGALP00000038853
ENSLOCP00000010431	ENSGALP00000008869
ENSLOCP00000019187	ENSGALP00000015166
ENSLOCP00000019712	ENSGALP00000016723
ENSLOCP00000009692	ENSGALP00000020756
ENSLOCP00000004005	ENSGALP00000040703
ENSLOCP00000004319	ENSGALP00000000940
ENSLOCP00000003733	ENSGALP00000042492
ENSLOCP00000022190	ENSGALP00000006684
ENSLOCP00000013853	ENSGALP00000020319
ENSLOCP00000015595	ENSGALP00000041711
ENSLOCP00000007661	ENSGALP00000006037
ENSLOCP00000020889	ENSGALP00000031018
ENSLOCP00000018864	ENSGALP00000007927
ENSLOCP00000004595	ENSGALP00000008290
ENSLOCP00000015303	ENSGALP00000004979
ENSLOCP00000004426	ENSGALP00000009605
ENSLOCP00000012399	ENSGALP00000040616
ENSLOCP00000009481	ENSGALP00000002726
ENSLOCP00000017373	ENSGALP00000022788
ENSLOCP00000009913	ENSGALP00000027526
ENSLOCP00000007091	ENSGALP00000040427
ENSLOCP00000015494	ENSGALP00000011804
ENSLOCP00000010356	ENSGALP00000025936
ENSLOCP00000015734	ENSGALP00000037676
ENSLOCP00000005624	ENSGALP00000033359
ENSLOCP00000003345	ENSGALP00000040875
ENSLOCP00000018818	ENSGALP00000018379
ENSLOCP00000015033	ENSGALP00000004532
ENSLOCP00000002481	ENSGALP00000038829
ENSLOCP00000004560	ENSGALP00000014459
ENSLOCP00000000220	ENSGALP00000043100
ENSLOCP00000012880	ENSGALP00000015927
ENSLOCP00000000260	ENSGALP00000041581
ENSLOCP00000014033	ENSGALP00000009556
ENSLOCP00000020891	ENSGALP00000025582
ENSLOCP00000011485	ENSGALP00000024586
ENSLOCP00000005112	ENSGALP00000042142
ENSLOCP00000013645	ENSGALP00000009094
ENSLOCP00000013819	ENSGALP00000024153
ENSLOCP00000001271	ENSGALP00000001366
ENSLOCP00000016070	ENSGALP00000020879
ENSLOCP00000017378	ENSGALP00000008498
ENSLOCP00000019287	ENSGALP00000041609
ENSLOCP00000010481	ENSGALP00000005497
ENSLOCP00000002668	ENSGALP00000001249
ENSLOCP00000004201	ENSGALP00000004710
ENSLOCP00000002372	ENSGALP00000006084
ENSLOCP00000020356	ENSGALP00000026511
ENSLOCP00000013839	ENSGALP00000030147
ENSLOCP00000017369	ENSGALP00000008419
ENSLOCP00000002093	ENSGALP00000002837
ENSLOCP00000006169	ENSGALP00000006734
ENSLOCP00000002441	ENSGALP00000019363
ENSLOCP00000008414	ENSGALP00000018434
ENSLOCP00000015182	ENSGALP00000004327
ENSLOCP00000001194	ENSGALP00000041694
ENSLOCP00000006399	ENSGALP00000006973
ENSLOCP00000021365	ENSGALP00000006701
ENSLOCP00000018985	ENSGALP00000022452
ENSLOCP00000021364	ENSGALP00000022453
ENSLOCP00000016628	ENSGALP00000014793
ENSLOCP00000019624	ENSGALP00000014636
ENSLOCP00000015482	ENSGALP00000003899
ENSLOCP00000013189	ENSGALP00000024750
ENSLOCP00000001584	ENSGALP00000004113
ENSLOCP00000001574	ENSGALP00000001464
ENSLOCP00000003274	ENSGALP00000019543
ENSLOCP00000007646	ENSGALP00000042948
ENSLOCP00000017121	ENSGALP00000013738
ENSLOCP00000014836	ENSGALP00000042776
ENSLOCP00000007573	ENSGALP00000029389
ENSLOCP00000011782	ENSGALP00000023120
ENSLOCP00000004222	ENSGALP00000036276
ENSLOCP00000000407	ENSGALP00000041901
ENSLOCP00000001235	ENSGALP00000010969
ENSLOCP00000012668	ENSGALP00000000319
ENSLOCP00000015806	ENSGALP00000033490
ENSLOCP00000015722	ENSGALP00000021782
ENSLOCP00000020046	ENSGALP00000016579
ENSLOCP00000016805	ENSGALP00000031763
ENSLOCP00000014029	ENSGALP00000018480
ENSLOCP00000014295	ENSGALP00000012705
ENSLOCP00000001253	ENSGALP00000015455
ENSLOCP00000014093	ENSGALP00000020042
ENSLOCP00000007936	ENSGALP00000014460
ENSLOCP00000008108	ENSGALP00000021990
ENSLOCP00000004523	ENSGALP00000008211
ENSLOCP00000007652	ENSGALP00000024358
ENSLOCP00000007521	ENSGALP00000012170
ENSLOCP00000003813	ENSGALP00000028055
ENSLOCP00000004431	ENSGALP00000001302
ENSLOCP00000008495	ENSGALP00000010942
ENSLOCP00000021003	ENSGALP00000024210
ENSLOCP00000016817	ENSGALP00000012547
ENSLOCP00000004902	ENSGALP00000002007
ENSLOCP00000011581	ENSGALP00000008535
ENSLOCP00000009216	ENSGALP00000012332
ENSLOCP00000006016	ENSGALP00000009853
ENSLOCP00000013955	ENSGALP00000003974
ENSLOCP00000011641	ENSGALP00000018342
ENSLOCP00000009163	ENSGALP00000001845
ENSLOCP00000011517	ENSGALP00000002196
ENSLOCP00000001355	ENSGALP00000025639
ENSLOCP00000006843	ENSGALP00000006574
ENSLOCP00000006188	ENSGALP00000027249
ENSLOCP00000015531	ENSGALP00000005453
ENSLOCP00000005811	ENSGALP00000001190
ENSLOCP00000011843	ENSGALP00000032932
ENSLOCP00000016727	ENSGALP00000033782
ENSLOCP00000012178	ENSGALP00000012199
ENSLOCP00000019534	ENSGALP00000042472
ENSLOCP00000002246	ENSGALP00000042331
ENSLOCP00000003035	ENSGALP00000031379
ENSLOCP00000020647	ENSGALP00000010650
ENSLOCP00000007715	ENSGALP00000005274
ENSLOCP00000005782	ENSGALP00000007498
ENSLOCP00000010478	ENSGALP00000042829
ENSLOCP00000006126	ENSGALP00000038432
ENSLOCP00000006146	ENSGALP00000008424
ENSLOCP00000015421	ENSGALP00000043020
ENSLOCP00000020624	ENSGALP00000036494
ENSLOCP00000020440	ENSGALP00000013443
ENSLOCP00000016509	ENSGALP00000025278
ENSLOCP00000016706	ENSGALP00000031994
ENSLOCP00000020569	ENSGALP00000021182
ENSLOCP00000019154	ENSGALP00000022392
ENSLOCP00000009323	ENSGALP00000007680
ENSLOCP00000016260	ENSGALP00000017444
ENSLOCP00000002585	ENSGALP00000018695
ENSLOCP00000003353	ENSGALP00000019678
ENSLOCP00000006080	ENSGALP00000012194
ENSLOCP00000010284	ENSGALP00000013593
ENSLOCP00000016632	ENSGALP00000025328
ENSLOCP00000012817	ENSGALP00000016751
ENSLOCP00000006140	ENSGALP00000043371
ENSLOCP00000020594	ENSGALP00000042002
ENSLOCP00000004160	ENSGALP00000003014
ENSLOCP00000009919	ENSGALP00000003914
ENSLOCP00000018894	ENSGALP00000006366
ENSLOCP00000004594	ENSGALP00000012503
ENSLOCP00000014090	ENSGALP00000001456
ENSLOCP00000015934	ENSGALP00000014944
ENSLOCP00000020360	ENSGALP00000016098
ENSLOCP00000001245	ENSGALP00000042526
ENSLOCP00000007341	ENSGALP00000021030
ENSLOCP00000019889	ENSGALP00000039539
ENSLOCP00000010628	ENSGALP00000018146
ENSLOCP00000019559	ENSGALP00000014492
ENSLOCP00000009739	ENSGALP00000015506
ENSLOCP00000020263	ENSGALP00000015833
ENSLOCP00000014589	ENSGALP00000042292
ENSLOCP00000021647	ENSGALP00000042771
ENSLOCP00000008443	ENSGALP00000005425
ENSLOCP00000002344	ENSGALP00000007884
ENSLOCP00000004481	ENSGALP00000008218
ENSLOCP00000004635	ENSGALP00000008592
ENSLOCP00000018568	ENSGALP00000009829
ENSLOCP00000003991	ENSGALP00000012455
ENSLOCP00000004294	ENSGALP00000014651
ENSLOCP00000011709	ENSGALP00000024389
ENSLOCP00000015119	ENSGALP00000010777
ENSLOCP00000001842	ENSGALP00000013991
ENSLOCP00000019267	ENSGALP00000041043
ENSLOCP00000018799	ENSGALP00000020594
ENSLOCP00000002316	ENSGALP00000018936
ENSLOCP00000001573	ENSGALP00000019402
ENSLOCP00000017648	ENSGALP00000042166
ENSLOCP00000017342	ENSGALP00000022807
ENSLOCP00000018333	ENSGALP00000040953
ENSLOCP00000007256	ENSGALP00000027290
ENSLOCP00000019841	ENSGALP00000000309
ENSLOCP00000009130	ENSGALP00000017040
ENSLOCP00000013409	ENSGALP00000037229
ENSLOCP00000010922	ENSGALP00000025633
ENSLOCP00000021986	ENSGALP00000003577
ENSLOCP00000022381	ENSGALP00000040299
ENSLOCP00000003569	ENSGALP00000042741
ENSLOCP00000009087	ENSGALP00000038659
ENSLOCP00000006938	ENSGALP00000040713
ENSLOCP00000017641	ENSGALP00000011699
ENSLOCP00000005068	ENSGALP00000008458
ENSLOCP00000008452	ENSGALP00000003960
ENSLOCP00000013044	ENSGALP00000020568
ENSLOCP00000015673	ENSGALP00000038609
ENSLOCP00000003661	ENSGALP00000041684
ENSLOCP00000017306	ENSGALP00000028292
ENSLOCP00000011614	ENSGALP00000042500
ENSLOCP00000014778	ENSGALP00000022844
ENSLOCP00000015063	ENSGALP00000019783
ENSLOCP00000019352	ENSGALP00000016774
ENSLOCP00000008843	ENSGALP00000032433
ENSLOCP00000001247	ENSGALP00000002822
ENSLOCP00000014594	ENSGALP00000043234
ENSLOCP00000002337	ENSGALP00000006041
ENSLOCP00000021242	ENSGALP00000026524
ENSLOCP00000002665	ENSGALP00000010653
ENSLOCP00000009505	ENSGALP00000042683
ENSLOCP00000014138	ENSGALP00000016509
ENSLOCP00000013318	ENSGALP00000016615
ENSLOCP00000020772	ENSGALP00000042035
ENSLOCP00000015916	ENSGALP00000023016
ENSLOCP00000014043	ENSGALP00000027304
ENSLOCP00000018607	ENSGALP00000027893
ENSLOCP00000005065	ENSGALP00000039164
ENSLOCP00000007074	ENSGALP00000003885
ENSLOCP00000011015	ENSGALP00000026298
ENSLOCP00000012212	ENSGALP00000024159
ENSLOCP00000013302	ENSGALP00000041037
ENSLOCP00000016912	ENSGALP00000005493
ENSLOCP00000015187	ENSGALP00000010636
ENSLOCP00000004721	ENSGALP00000007220
ENSLOCP00000003401	ENSGALP00000000716
ENSLOCP00000005417	ENSGALP00000024440
ENSLOCP00000012191	ENSGALP00000022437
ENSLOCP00000006584	ENSGALP00000022640
ENSLOCP00000019910	ENSGALP00000020039
ENSLOCP00000014602	ENSGALP00000005187
ENSLOCP00000016711	ENSGALP00000006826
ENSLOCP00000009262	ENSGALP00000001352
ENSLOCP00000004831	ENSGALP00000022203
ENSLOCP00000014076	ENSGALP00000018557
ENSLOCP00000014326	ENSGALP00000006604
ENSLOCP00000009406	ENSGALP00000023615
ENSLOCP00000019829	ENSGALP00000035402
ENSLOCP00000012471	ENSGALP00000023673
ENSLOCP00000016229	ENSGALP00000000549
ENSLOCP00000020630	ENSGALP00000015910
ENSLOCP00000000690	ENSGALP00000014367
ENSLOCP00000006869	ENSGALP00000027365
ENSLOCP00000009780	ENSGALP00000015801
ENSLOCP00000013508	ENSGALP00000036368
ENSLOCP00000021118	ENSGALP00000022963
ENSLOCP00000004368	ENSGALP00000009219
ENSLOCP00000014279	ENSGALP00000004108
ENSLOCP00000012067	ENSGALP00000025808
ENSLOCP00000020810	ENSGALP00000026474
ENSLOCP00000003323	ENSGALP00000001483
ENSLOCP00000015459	ENSGALP00000019532
ENSLOCP00000002191	ENSGALP00000026095
ENSLOCP00000002823	ENSGALP00000028374
ENSLOCP00000006544	ENSGALP00000006600
ENSLOCP00000012898	ENSGALP00000016784
ENSLOCP00000019862	ENSGALP00000020141
ENSLOCP00000006182	ENSGALP00000042738
ENSLOCP00000002442	ENSGALP00000006158
ENSLOCP00000020530	ENSGALP00000026564
ENSLOCP00000010784	ENSGALP00000032354
ENSLOCP00000013973	ENSGALP00000006023
ENSLOCP00000019796	ENSGALP00000014374
ENSLOCP00000012749	ENSGALP00000013910
ENSLOCP00000008504	ENSGALP00000010925
ENSLOCP00000016594	ENSGALP00000003004
ENSLOCP00000007993	ENSGALP00000042645
ENSLOCP00000005082	ENSGALP00000003920
ENSLOCP00000008191	ENSGALP00000035959
ENSLOCP00000015604	ENSGALP00000026183
ENSLOCP00000020934	ENSGALP00000025411
ENSLOCP00000013910	ENSGALP00000031600
ENSLOCP00000018701	ENSGALP00000022289
ENSLOCP00000007422	ENSGALP00000008118
ENSLOCP00000012435	ENSGALP00000042026
ENSLOCP00000011796	ENSGALP00000023121
ENSLOCP00000019924	ENSGALP00000016069
ENSLOCP00000014058	ENSGALP00000020562
ENSLOCP00000009634	ENSGALP00000015735
ENSLOCP00000014268	ENSGALP00000019653
ENSLOCP00000021866	ENSGALP00000038356
ENSLOCP00000012347	ENSGALP00000025667
ENSLOCP00000005440	ENSGALP00000029073
ENSLOCP00000016362	ENSGALP00000025131
ENSLOCP00000019950	ENSGALP00000016144
ENSLOCP00000014779	ENSGALP00000000906
ENSLOCP00000002814	ENSGALP00000005116
ENSLOCP00000010860	ENSGALP00000036541
ENSLOCP00000014826	ENSGALP00000019134
ENSLOCP00000001082	ENSGALP00000014900
ENSLOCP00000004997	ENSGALP00000002312
ENSLOCP00000011619	ENSGALP00000025846
ENSLOCP00000014119	ENSGALP00000019576
ENSLOCP00000016078	ENSGALP00000042931
ENSLOCP00000019879	ENSGALP00000012736
ENSLOCP00000010495	ENSGALP00000036764
ENSLOCP00000004194	ENSGALP00000009946
ENSLOCP00000014442	ENSGALP00000039699
ENSLOCP00000011123	ENSGALP00000024592
ENSLOCP00000017508	ENSGALP00000013649
ENSLOCP00000019669	ENSGALP00000014693
ENSLOCP00000019574	ENSGALP00000022566
ENSLOCP00000016870	ENSGALP00000006394
ENSLOCP00000016253	ENSGALP00000011491
ENSLOCP00000021087	ENSGALP00000025531
ENSLOCP00000000870	ENSGALP00000032512
ENSLOCP00000006644	ENSGALP00000005783
ENSLOCP00000019678	ENSGALP00000013413
ENSLOCP00000014490	ENSGALP00000012838
ENSLOCP00000019838	ENSGALP00000011585
ENSLOCP00000019585	ENSGALP00000017886
ENSLOCP00000010989	ENSGALP00000026303
ENSLOCP00000011612	ENSGALP00000036118
ENSLOCP00000020922	ENSGALP00000020850
ENSLOCP00000005209	ENSGALP00000019590
ENSLOCP00000016256	ENSGALP00000001751
ENSLOCP00000000914	ENSGALP00000006218
ENSLOCP00000017294	ENSGALP00000022336
ENSLOCP00000018307	ENSGALP00000038759
ENSLOCP00000014961	ENSGALP00000015991
ENSLOCP00000015306	ENSGALP00000006690
ENSLOCP00000009702	ENSGALP00000027982
ENSLOCP00000011845	ENSGALP00000023141
ENSLOCP00000016373	ENSGALP00000039598
ENSLOCP00000012691	ENSGALP00000030590
ENSLOCP00000002636	ENSGALP00000009982
ENSLOCP00000003858	ENSGALP00000038884
ENSLOCP00000012502	ENSGALP00000013788
ENSLOCP00000015089	ENSGALP00000010894
ENSLOCP00000008606	ENSGALP00000018295
ENSLOCP00000011222	ENSGALP00000020585
ENSLOCP00000015313	ENSGALP00000037894
ENSLOCP00000004899	ENSGALP00000008346
ENSLOCP00000012852	ENSGALP00000011549
ENSLOCP00000020669	ENSGALP00000042363
ENSLOCP00000000848	ENSGALP00000022328
ENSLOCP00000002113	ENSGALP00000006529
ENSLOCP00000005603	ENSGALP00000009511
ENSLOCP00000018492	ENSGALP00000020744
ENSLOCP00000003227	ENSGALP00000012445
ENSLOCP00000017980	ENSGALP00000038731
ENSLOCP00000021518	ENSGALP00000043289
ENSLOCP00000000950	ENSGALP00000006259
ENSLOCP00000003960	ENSGALP00000009552
ENSLOCP00000006542	ENSGALP00000013410
ENSLOCP00000018626	ENSGALP00000022839
ENSLOCP00000010374	ENSGALP00000016414
ENSLOCP00000010533	ENSGALP00000035598
ENSLOCP00000013905	ENSGALP00000017553
ENSLOCP00000012905	ENSGALP00000032837
ENSLOCP00000006926	ENSGALP00000038278
ENSLOCP00000019077	ENSGALP00000042855
ENSLOCP00000016317	ENSGALP00000007834
ENSLOCP00000005330	ENSGALP00000000509
ENSLOCP00000003724	ENSGALP00000036514
ENSLOCP00000015654	ENSGALP00000012348
ENSLOCP00000010968	ENSGALP00000003137
ENSLOCP00000002084	ENSGALP00000018823
ENSLOCP00000022052	ENSGALP00000013442
ENSLOCP00000021628	ENSGALP00000025075
ENSLOCP00000001549	ENSGALP00000015499
ENSLOCP00000012180	ENSGALP00000012646
ENSLOCP00000021227	ENSGALP00000016333
ENSLOCP00000012451	ENSGALP00000008837
ENSLOCP00000009029	ENSGALP00000011983
ENSLOCP00000014573	ENSGALP00000012748
ENSLOCP00000012099	ENSGALP00000009699
ENSLOCP00000009487	ENSGALP00000015596
ENSLOCP00000019692	ENSGALP00000041366
ENSLOCP00000010857	ENSGALP00000008744
ENSLOCP00000013777	ENSGALP00000029968
ENSLOCP00000010446	ENSGALP00000012069
ENSLOCP00000011923	ENSGALP00000000170
ENSLOCP00000002763	ENSGALP00000014375
ENSLOCP00000009545	ENSGALP00000042251
ENSLOCP00000020425	ENSGALP00000040862
ENSLOCP00000003958	ENSGALP00000000528
ENSLOCP00000008106	ENSGALP00000042469
ENSLOCP00000004399	ENSGALP00000030243
ENSLOCP00000012442	ENSGALP00000012380
ENSLOCP00000002495	ENSGALP00000022380
ENSLOCP00000012157	ENSGALP00000025836
ENSLOCP00000020582	ENSGALP00000026483
ENSLOCP00000011436	ENSGALP00000024137
ENSLOCP00000008053	ENSGALP00000017926
ENSLOCP00000006413	ENSGALP00000024827
ENSLOCP00000000343	ENSGALP00000037772
ENSLOCP00000014735	ENSGALP00000041243
ENSLOCP00000010503	ENSGALP00000026998
ENSLOCP00000011027	ENSGALP00000016043
ENSLOCP00000010720	ENSGALP00000003693
ENSLOCP00000010346	ENSGALP00000005417
ENSLOCP00000006262	ENSGALP00000027247
ENSLOCP00000008202	ENSGALP00000040466
ENSLOCP00000017505	ENSGALP00000015318
ENSLOCP00000000681	ENSGALP00000004959
ENSLOCP00000004788	ENSGALP00000011182
ENSLOCP00000006171	ENSGALP00000008491
ENSLOCP00000004935	ENSGALP00000022235
ENSLOCP00000004854	ENSGALP00000022230
ENSLOCP00000010094	ENSGALP00000015502
ENSLOCP00000011635	ENSGALP00000011342
ENSLOCP00000020418	ENSGALP00000024803
ENSLOCP00000012200	ENSGALP00000025005
ENSLOCP00000009697	ENSGALP00000043242
ENSLOCP00000020111	ENSGALP00000014526
ENSLOCP00000014736	ENSGALP00000013696
ENSLOCP00000002760	ENSGALP00000001981
ENSLOCP00000004653	ENSGALP00000008236
ENSLOCP00000016821	ENSGALP00000012561
ENSLOCP00000018937	ENSGALP00000017440
ENSLOCP00000011155	ENSGALP00000006624
ENSLOCP00000009384	ENSGALP00000026015
ENSLOCP00000015045	ENSGALP00000014415
ENSLOCP00000017475	ENSGALP00000015493
ENSLOCP00000018518	ENSGALP00000043388
ENSLOCP00000011132	ENSGALP00000018640
ENSLOCP00000005437	ENSGALP00000039995
ENSLOCP00000021255	ENSGALP00000026539
ENSLOCP00000006277	ENSGALP00000000832
ENSLOCP00000021743	ENSGALP00000001940
ENSLOCP00000022059	ENSGALP00000005762
ENSLOCP00000009514	ENSGALP00000032234
ENSLOCP00000020831	ENSGALP00000022157
ENSLOCP00000018484	ENSGALP00000003331
ENSLOCP00000017578	ENSGALP00000011141
ENSLOCP00000013859	ENSGALP00000027322
ENSLOCP00000009968	ENSGALP00000004614
ENSLOCP00000011731	ENSGALP00000016152
ENSLOCP00000005375	ENSGALP00000041816
ENSLOCP00000011227	ENSGALP00000027417
ENSLOCP00000008527	ENSGALP00000029838
ENSLOCP00000004819	ENSGALP00000043071
ENSLOCP00000007888	ENSGALP00000041108
ENSLOCP00000000932	ENSGALP00000031296
ENSLOCP00000012904	ENSGALP00000016785
ENSLOCP00000010390	ENSGALP00000035686
ENSLOCP00000014156	ENSGALP00000010201
ENSLOCP00000009987	ENSGALP00000027522
ENSLOCP00000010003	ENSGALP00000027523
ENSLOCP00000015978	ENSGALP00000023052
ENSLOCP00000002252	ENSGALP00000004568
ENSLOCP00000013577	ENSGALP00000023833
ENSLOCP00000018656	ENSGALP00000037437
ENSLOCP00000021863	ENSGALP00000037704
ENSLOCP00000005951	ENSGALP00000009832
ENSLOCP00000000626	ENSGALP00000040227
ENSLOCP00000018877	ENSGALP00000022657
ENSLOCP00000004589	ENSGALP00000009023
ENSLOCP00000018862	ENSGALP00000022696
ENSLOCP00000000634	ENSGALP00000011120
ENSLOCP00000017245	ENSGALP00000042657
ENSLOCP00000008266	ENSGALP00000027679
ENSLOCP00000002556	ENSGALP00000002583
ENSLOCP00000020566	ENSGALP00000017330
ENSLOCP00000015908	ENSGALP00000018883
ENSLOCP00000015523	ENSGALP00000017202
ENSLOCP00000006254	ENSGALP00000007055
ENSLOCP00000010458	ENSGALP00000008018
ENSLOCP00000020751	ENSGALP00000013932
ENSLOCP00000013482	ENSGALP00000016566
ENSLOCP00000006625	ENSGALP00000042618
ENSLOCP00000021251	ENSGALP00000026537
ENSLOCP00000012044	ENSGALP00000041648
ENSLOCP00000021127	ENSGALP00000025684
ENSLOCP00000019328	ENSGALP00000017221
ENSLOCP00000006115	ENSGALP00000016953
ENSLOCP00000009756	ENSGALP00000009263
ENSLOCP00000016270	ENSGALP00000018477
ENSLOCP00000016963	ENSGALP00000005362
ENSLOCP00000004100	ENSGALP00000003923
ENSLOCP00000004993	ENSGALP00000037931
ENSLOCP00000004682	ENSGALP00000008220
ENSLOCP00000014400	ENSGALP00000014129
ENSLOCP00000021055	ENSGALP00000005129
ENSLOCP00000008293	ENSGALP00000027682
ENSLOCP00000011704	ENSGALP00000010742
ENSLOCP00000004254	ENSGALP00000009322
ENSLOCP00000017422	ENSGALP00000001108
ENSLOCP00000006460	ENSGALP00000007052
ENSLOCP00000016832	ENSGALP00000012615
ENSLOCP00000001078	ENSGALP00000037478
ENSLOCP00000020525	ENSGALP00000026558
ENSLOCP00000011342	ENSGALP00000026359
ENSLOCP00000006501	ENSGALP00000007187
ENSLOCP00000001358	ENSGALP00000014578
ENSLOCP00000000100	ENSGALP00000005972
ENSLOCP00000007934	ENSGALP00000024186
ENSLOCP00000005941	ENSGALP00000008227
ENSLOCP00000017323	ENSGALP00000013268
ENSLOCP00000007424	ENSGALP00000011700
ENSLOCP00000009850	ENSGALP00000020415
ENSLOCP00000008916	ENSGALP00000005996
ENSLOCP00000016827	ENSGALP00000006621
ENSLOCP00000013737	ENSGALP00000002707
ENSLOCP00000019959	ENSGALP00000041034
ENSLOCP00000007327	ENSGALP00000040443
ENSLOCP00000000977	ENSGALP00000001997
ENSLOCP00000006647	ENSGALP00000042034
ENSLOCP00000009267	ENSGALP00000012210
ENSLOCP00000020492	ENSGALP00000036474
ENSLOCP00000001053	ENSGALP00000021359
ENSLOCP00000010180	ENSGALP00000017999
ENSLOCP00000009719	ENSGALP00000037663
ENSLOCP00000006299	ENSGALP00000006919
ENSLOCP00000004799	ENSGALP00000001689
ENSLOCP00000004344	ENSGALP00000021766
ENSLOCP00000020070	ENSGALP00000013307
ENSLOCP00000015133	ENSGALP00000042685
ENSLOCP00000012253	ENSGALP00000029342
ENSLOCP00000017553	ENSGALP00000004348
ENSLOCP00000002902	ENSGALP00000019816
ENSLOCP00000009504	ENSGALP00000001850
ENSLOCP00000009544	ENSGALP00000026170
ENSLOCP00000020052	ENSGALP00000031152
ENSLOCP00000012457	ENSGALP00000025015
ENSLOCP00000007111	ENSGALP00000008736
ENSLOCP00000014599	ENSGALP00000013682
ENSLOCP00000014764	ENSGALP00000022832
ENSLOCP00000007893	ENSGALP00000005392
ENSLOCP00000010433	ENSGALP00000016394
ENSLOCP00000009059	ENSGALP00000017586
ENSLOCP00000014169	ENSGALP00000037084
ENSLOCP00000001636	ENSGALP00000020328
ENSLOCP00000008666	ENSGALP00000011596
ENSLOCP00000000552	ENSGALP00000011428
ENSLOCP00000005885	ENSGALP00000008079
ENSLOCP00000009926	ENSGALP00000015741
ENSLOCP00000013607	ENSGALP00000023837
ENSLOCP00000002257	ENSGALP00000002564
ENSLOCP00000011161	ENSGALP00000040201
ENSLOCP00000018490	ENSGALP00000000495
ENSLOCP00000015818	ENSGALP00000008696
ENSLOCP00000017183	ENSGALP00000022159
ENSLOCP00000004276	ENSGALP00000009312
ENSLOCP00000014015	ENSGALP00000027305
ENSLOCP00000015930	ENSGALP00000023022
ENSLOCP00000014371	ENSGALP00000041318
ENSLOCP00000006045	ENSGALP00000034072
ENSLOCP00000005340	ENSGALP00000008073
ENSLOCP00000010110	ENSGALP00000030426
ENSLOCP00000004252	ENSGALP00000006237
ENSLOCP00000007898	ENSGALP00000010305
ENSLOCP00000003875	ENSGALP00000002338
ENSLOCP00000019248	ENSGALP00000015045
ENSLOCP00000019547	ENSGALP00000026615
ENSLOCP00000007283	ENSGALP00000021034
ENSLOCP00000020317	ENSGALP00000014959
ENSLOCP00000014229	ENSGALP00000036782
ENSLOCP00000005909	ENSGALP00000041152
ENSLOCP00000017646	ENSGALP00000035366
ENSLOCP00000005059	ENSGALP00000014317
ENSLOCP00000013631	ENSGALP00000024167
ENSLOCP00000011180	ENSGALP00000025508
ENSLOCP00000014109	ENSGALP00000042044
ENSLOCP00000010087	ENSGALP00000041646
ENSLOCP00000016431	ENSGALP00000014608
ENSLOCP00000012066	ENSGALP00000027115
ENSLOCP00000012840	ENSGALP00000029762
ENSLOCP00000008359	ENSGALP00000018410
ENSLOCP00000015892	ENSGALP00000039270
ENSLOCP00000008997	ENSGALP00000006115
ENSLOCP00000010622	ENSGALP00000021290
ENSLOCP00000018800	ENSGALP00000042060
ENSLOCP00000014777	ENSGALP00000013870
ENSLOCP00000020860	ENSGALP00000030997
ENSLOCP00000010303	ENSGALP00000035804
ENSLOCP00000011466	ENSGALP00000017131
ENSLOCP00000020640	ENSGALP00000015178
ENSLOCP00000005879	ENSGALP00000020011
ENSLOCP00000020927	ENSGALP00000025439
ENSLOCP00000015234	ENSGALP00000002862
ENSLOCP00000002112	ENSGALP00000018816
ENSLOCP00000010879	ENSGALP00000020659
ENSLOCP00000001740	ENSGALP00000010883
ENSLOCP00000018634	ENSGALP00000018826
ENSLOCP00000010017	ENSGALP00000027519
ENSLOCP00000015991	ENSGALP00000023059
ENSLOCP00000014681	ENSGALP00000019396
ENSLOCP00000018861	ENSGALP00000007923
ENSLOCP00000014150	ENSGALP00000001254
