ENSP00000262384	ENSGALP00000006197
ENSP00000266269	ENSGALP00000011217
ENSP00000320797	ENSGALP00000008290
ENSP00000380661	ENSGALP00000002726
ENSP00000351113	ENSGALP00000022788
ENSP00000463013	ENSGALP00000003704
ENSP00000334665	ENSGALP00000037676
ENSP00000439625	ENSGALP00000040875
ENSP00000344961	ENSGALP00000018379
ENSP00000378284	ENSGALP00000003898
ENSP00000264474	ENSGALP00000023241
ENSP00000318916	ENSGALP00000037101
ENSP00000263576	ENSGALP00000000631
ENSP00000359795	ENSGALP00000014459
ENSP00000319254	ENSGALP00000043100
ENSP00000265498	ENSGALP00000015927
ENSP00000369858	ENSGALP00000041581
ENSP00000292596	ENSGALP00000033663
ENSP00000349156	ENSGALP00000006226
ENSP00000383256	ENSGALP00000042636
ENSP00000322457	ENSGALP00000016911
ENSP00000230461	ENSGALP00000025582
ENSP00000402698	ENSGALP00000024586
ENSP00000370408	ENSGALP00000042142
ENSP00000231656	ENSGALP00000009094
ENSP00000358512	ENSGALP00000024153
ENSP00000369251	ENSGALP00000027507
ENSP00000324701	ENSGALP00000042247
ENSP00000391481	ENSGALP00000008498
ENSP00000297293	ENSGALP00000005497
ENSP00000324196	ENSGALP00000011162
ENSP00000362469	ENSGALP00000001249
ENSP00000360966	ENSGALP00000004710
ENSP00000370724	ENSGALP00000026511
ENSP00000281474	ENSGALP00000021066
ENSP00000349351	ENSGALP00000008419
ENSP00000348752	ENSGALP00000002837
ENSP00000328216	ENSGALP00000006734
ENSP00000296130	ENSGALP00000019363
ENSP00000299642	ENSGALP00000021566
ENSP00000280701	ENSGALP00000018434
ENSP00000304592	ENSGALP00000004327
ENSP00000223368	ENSGALP00000041694
ENSP00000270800	ENSGALP00000006701
ENSP00000296980	ENSGALP00000022452
ENSP00000314976	ENSGALP00000022453
ENSP00000249647	ENSGALP00000014793
ENSP00000254976	ENSGALP00000014636
ENSP00000361287	ENSGALP00000003899
ENSP00000377665	ENSGALP00000001464
ENSP00000263710	ENSGALP00000019007
ENSP00000219409	ENSGALP00000042948
ENSP00000228945	ENSGALP00000029993
ENSP00000297164	ENSGALP00000042776
ENSP00000064780	ENSGALP00000029389
ENSP00000398778	ENSGALP00000023120
ENSP00000257209	ENSGALP00000036276
ENSP00000384967	ENSGALP00000041901
ENSP00000296632	ENSGALP00000000319
ENSP00000304032	ENSGALP00000033490
ENSP00000380524	ENSGALP00000021782
ENSP00000360730	ENSGALP00000009697
ENSP00000361004	ENSGALP00000031763
ENSP00000412209	ENSGALP00000042767
ENSP00000295666	ENSGALP00000018480
ENSP00000359219	ENSGALP00000012705
ENSP00000333142	ENSGALP00000020042
ENSP00000388731	ENSGALP00000014460
ENSP00000357547	ENSGALP00000021990
ENSP00000252996	ENSGALP00000008211
ENSP00000348395	ENSGALP00000012170
ENSP00000357844	ENSGALP00000024210
ENSP00000465734	ENSGALP00000012547
ENSP00000260649	ENSGALP00000016193
ENSP00000359171	ENSGALP00000008535
ENSP00000340796	ENSGALP00000009853
ENSP00000343657	ENSGALP00000003974
ENSP00000419027	ENSGALP00000001845
ENSP00000377549	ENSGALP00000002196
ENSP00000473631	ENSGALP00000027249
ENSP00000406463	ENSGALP00000005453
ENSP00000384126	ENSGALP00000001190
ENSP00000328625	ENSGALP00000032932
ENSP00000369383	ENSGALP00000042472
ENSP00000469836	ENSGALP00000042331
ENSP00000253792	ENSGALP00000039157
ENSP00000361562	ENSGALP00000011124
ENSP00000354558	ENSGALP00000005274
ENSP00000343900	ENSGALP00000007054
ENSP00000292476	ENSGALP00000007498
ENSP00000262577	ENSGALP00000042829
ENSP00000400482	ENSGALP00000038432
ENSP00000384849	ENSGALP00000043020
ENSP00000228872	ENSGALP00000036494
ENSP00000380386	ENSGALP00000021182
ENSP00000265388	ENSGALP00000022392
ENSP00000450864	ENSGALP00000017444
ENSP00000301149	ENSGALP00000028211
ENSP00000294309	ENSGALP00000012194
ENSP00000263849	ENSGALP00000025328
ENSP00000435550	ENSGALP00000016751
ENSP00000294312	ENSGALP00000043371
ENSP00000237837	ENSGALP00000042002
ENSP00000287295	ENSGALP00000006366
ENSP00000307940	ENSGALP00000042519
ENSP00000392094	ENSGALP00000001456
ENSP00000230381	ENSGALP00000016098
ENSP00000370223	ENSGALP00000042526
ENSP00000384040	ENSGALP00000039539
ENSP00000398481	ENSGALP00000014492
ENSP00000215838	ENSGALP00000015506
ENSP00000257248	ENSGALP00000043143
ENSP00000359380	ENSGALP00000009207
ENSP00000266581	ENSGALP00000015833
ENSP00000439268	ENSGALP00000042544
ENSP00000278071	ENSGALP00000042292
ENSP00000356115	ENSGALP00000000981
ENSP00000357840	ENSGALP00000024202
ENSP00000332706	ENSGALP00000042475
ENSP00000279068	ENSGALP00000008218
ENSP00000318602	ENSGALP00000012455
ENSP00000359848	ENSGALP00000014651
ENSP00000237937	ENSGALP00000024389
ENSP00000261749	ENSGALP00000010498
ENSP00000244241	ENSGALP00000043267
ENSP00000326128	ENSGALP00000010777
ENSP00000393887	ENSGALP00000013991
ENSP00000265029	ENSGALP00000038974
ENSP00000369436	ENSGALP00000041043
ENSP00000410157	ENSGALP00000018936
ENSP00000344456	ENSGALP00000019402
ENSP00000268154	ENSGALP00000042166
ENSP00000264313	ENSGALP00000022807
ENSP00000370003	ENSGALP00000000309
ENSP00000357625	ENSGALP00000017040
ENSP00000328992	ENSGALP00000025633
ENSP00000376224	ENSGALP00000003577
ENSP00000428544	ENSGALP00000040299
ENSP00000463375	ENSGALP00000042741
ENSP00000241261	ENSGALP00000038659
ENSP00000239849	ENSGALP00000040713
ENSP00000306328	ENSGALP00000003960
ENSP00000364140	ENSGALP00000020568
ENSP00000347665	ENSGALP00000006909
ENSP00000426809	ENSGALP00000041684
ENSP00000256367	ENSGALP00000028292
ENSP00000243167	ENSGALP00000016970
ENSP00000364035	ENSGALP00000042500
ENSP00000273857	ENSGALP00000022844
ENSP00000303997	ENSGALP00000016774
ENSP00000346080	ENSGALP00000032433
ENSP00000235628	ENSGALP00000006041
ENSP00000331474	ENSGALP00000016615
ENSP00000366058	ENSGALP00000042035
ENSP00000316891	ENSGALP00000023016
ENSP00000346874	ENSGALP00000039164
ENSP00000341171	ENSGALP00000003885
ENSP00000429064	ENSGALP00000026298
ENSP00000334836	ENSGALP00000017672
ENSP00000386456	ENSGALP00000000025
ENSP00000388823	ENSGALP00000024159
ENSP00000307722	ENSGALP00000041037
ENSP00000256797	ENSGALP00000040818
ENSP00000401445	ENSGALP00000005493
ENSP00000381053	ENSGALP00000010636
ENSP00000418210	ENSGALP00000007220
ENSP00000367494	ENSGALP00000000716
ENSP00000387266	ENSGALP00000022437
ENSP00000337510	ENSGALP00000022640
ENSP00000237281	ENSGALP00000020039
ENSP00000424565	ENSGALP00000005187
ENSP00000271636	ENSGALP00000001352
ENSP00000299687	ENSGALP00000022203
ENSP00000436552	ENSGALP00000002203
ENSP00000357073	ENSGALP00000035402
ENSP00000261712	ENSGALP00000039931
ENSP00000299259	ENSGALP00000000549
ENSP00000355925	ENSGALP00000015910
ENSP00000451463	ENSGALP00000036955
ENSP00000368523	ENSGALP00000027365
ENSP00000338532	ENSGALP00000015801
ENSP00000310057	ENSGALP00000036368
ENSP00000278780	ENSGALP00000014145
ENSP00000350036	ENSGALP00000022963
ENSP00000315630	ENSGALP00000009219
ENSP00000319831	ENSGALP00000004108
ENSP00000251810	ENSGALP00000025808
ENSP00000353770	ENSGALP00000026474
ENSP00000358966	ENSGALP00000025572
ENSP00000295770	ENSGALP00000018671
ENSP00000409906	ENSGALP00000019532
ENSP00000345216	ENSGALP00000008393
ENSP00000309690	ENSGALP00000003481
ENSP00000267569	ENSGALP00000016784
ENSP00000356433	ENSGALP00000020141
ENSP00000361895	ENSGALP00000006158
ENSP00000385527	ENSGALP00000026564
ENSP00000313391	ENSGALP00000006023
ENSP00000363533	ENSGALP00000013910
ENSP00000272427	ENSGALP00000025892
ENSP00000322775	ENSGALP00000003004
ENSP00000418428	ENSGALP00000042645
ENSP00000254624	ENSGALP00000026183
ENSP00000384081	ENSGALP00000026747
ENSP00000272444	ENSGALP00000000018
ENSP00000340465	ENSGALP00000031600
ENSP00000272542	ENSGALP00000022289
ENSP00000408025	ENSGALP00000020563
ENSP00000364486	ENSGALP00000020562
ENSP00000422626	ENSGALP00000019653
ENSP00000380489	ENSGALP00000020457
ENSP00000293230	ENSGALP00000038356
ENSP00000369513	ENSGALP00000025131
ENSP00000386870	ENSGALP00000005116
ENSP00000367715	ENSGALP00000036541
ENSP00000376457	ENSGALP00000014900
ENSP00000297578	ENSGALP00000025846
ENSP00000390722	ENSGALP00000019576
ENSP00000426022	ENSGALP00000042931
ENSP00000238714	ENSGALP00000012736
ENSP00000365637	ENSGALP00000012584
ENSP00000264659	ENSGALP00000015788
ENSP00000378400	ENSGALP00000009946
ENSP00000259006	ENSGALP00000039699
ENSP00000381968	ENSGALP00000014693
ENSP00000355560	ENSGALP00000022566
ENSP00000403925	ENSGALP00000029054
ENSP00000302625	ENSGALP00000006394
ENSP00000301764	ENSGALP00000008338
ENSP00000265594	ENSGALP00000032512
ENSP00000344942	ENSGALP00000040735
ENSP00000298910	ENSGALP00000011585
ENSP00000377655	ENSGALP00000036118
ENSP00000416040	ENSGALP00000020850
ENSP00000315295	ENSGALP00000019590
ENSP00000230256	ENSGALP00000018482
ENSP00000333982	ENSGALP00000001751
ENSP00000324302	ENSGALP00000015991
ENSP00000398568	ENSGALP00000033517
ENSP00000262139	ENSGALP00000006690
ENSP00000300737	ENSGALP00000027982
ENSP00000417569	ENSGALP00000023141
ENSP00000344831	ENSGALP00000030590
ENSP00000217254	ENSGALP00000009982
ENSP00000378368	ENSGALP00000038884
ENSP00000350954	ENSGALP00000010894
ENSP00000364398	ENSGALP00000020585
ENSP00000268712	ENSGALP00000007118
ENSP00000384018	ENSGALP00000004924
ENSP00000350012	ENSGALP00000008346
ENSP00000339787	ENSGALP00000013111
ENSP00000377991	ENSGALP00000011549
ENSP00000181796	ENSGALP00000042363
ENSP00000002165	ENSGALP00000022328
ENSP00000363603	ENSGALP00000006529
ENSP00000246957	ENSGALP00000012445
ENSP00000329117	ENSGALP00000038731
ENSP00000426528	ENSGALP00000043401
ENSP00000392700	ENSGALP00000043289
ENSP00000394863	ENSGALP00000006259
ENSP00000263245	ENSGALP00000022839
ENSP00000395083	ENSGALP00000016414
ENSP00000254584	ENSGALP00000035598
ENSP00000397249	ENSGALP00000017553
ENSP00000420477	ENSGALP00000038278
ENSP00000316950	ENSGALP00000007834
ENSP00000219611	ENSGALP00000003137
ENSP00000401089	ENSGALP00000013442
ENSP00000339802	ENSGALP00000025075
ENSP00000287152	ENSGALP00000016333
ENSP00000333942	ENSGALP00000008837
ENSP00000298032	ENSGALP00000012748
ENSP00000313869	ENSGALP00000009699
ENSP00000234160	ENSGALP00000015596
ENSP00000268661	ENSGALP00000008744
ENSP00000368439	ENSGALP00000026277
ENSP00000363308	ENSGALP00000014375
ENSP00000344401	ENSGALP00000040862
ENSP00000368876	ENSGALP00000014621
ENSP00000419325	ENSGALP00000012380
ENSP00000269159	ENSGALP00000022380
ENSP00000379203	ENSGALP00000025836
ENSP00000272238	ENSGALP00000026483
ENSP00000328287	ENSGALP00000003908
ENSP00000262644	ENSGALP00000024827
ENSP00000446828	ENSGALP00000037772
ENSP00000259667	ENSGALP00000041243
ENSP00000074304	ENSGALP00000026998
ENSP00000425487	ENSGALP00000016043
ENSP00000406490	ENSGALP00000003693
ENSP00000355110	ENSGALP00000015318
ENSP00000303486	ENSGALP00000042781
ENSP00000379773	ENSGALP00000004959
ENSP00000387362	ENSGALP00000011182
ENSP00000342778	ENSGALP00000026595
ENSP00000325548	ENSGALP00000022235
ENSP00000351682	ENSGALP00000022230
ENSP00000306522	ENSGALP00000000860
ENSP00000333019	ENSGALP00000018960
ENSP00000352572	ENSGALP00000011342
ENSP00000358106	ENSGALP00000024803
ENSP00000386543	ENSGALP00000040816
ENSP00000467024	ENSGALP00000043242
ENSP00000384823	ENSGALP00000014526
ENSP00000445677	ENSGALP00000001981
ENSP00000269122	ENSGALP00000008236
ENSP00000055682	ENSGALP00000012561
ENSP00000404151	ENSGALP00000018995
ENSP00000281187	ENSGALP00000002310
ENSP00000362480	ENSGALP00000006624
ENSP00000376792	ENSGALP00000014415
ENSP00000450731	ENSGALP00000015493
ENSP00000328677	ENSGALP00000001940
ENSP00000261722	ENSGALP00000003331
ENSP00000362217	ENSGALP00000011141
ENSP00000304994	ENSGALP00000027322
ENSP00000382269	ENSGALP00000016152
ENSP00000258418	ENSGALP00000041816
ENSP00000382492	ENSGALP00000007164
ENSP00000384371	ENSGALP00000011884
ENSP00000401112	ENSGALP00000043071
ENSP00000399518	ENSGALP00000041108
ENSP00000243440	ENSGALP00000031296
ENSP00000286639	ENSGALP00000016785
ENSP00000369071	ENSGALP00000035686
ENSP00000416330	ENSGALP00000010201
ENSP00000369473	ENSGALP00000027523
ENSP00000261435	ENSGALP00000023052
ENSP00000449535	ENSGALP00000037606
ENSP00000308179	ENSGALP00000023833
ENSP00000448165	ENSGALP00000037437
ENSP00000338258	ENSGALP00000037704
ENSP00000249014	ENSGALP00000041543
ENSP00000346442	ENSGALP00000022657
ENSP00000412130	ENSGALP00000009023
ENSP00000384491	ENSGALP00000022696
ENSP00000380713	ENSGALP00000011120
ENSP00000432695	ENSGALP00000042657
ENSP00000415885	ENSGALP00000027679
ENSP00000411471	ENSGALP00000013803
ENSP00000445001	ENSGALP00000002583
ENSP00000343885	ENSGALP00000017202
ENSP00000307746	ENSGALP00000008018
ENSP00000316527	ENSGALP00000003682
ENSP00000335246	ENSGALP00000016566
ENSP00000360266	ENSGALP00000037247
ENSP00000410768	ENSGALP00000025684
ENSP00000378710	ENSGALP00000026064
ENSP00000368547	ENSGALP00000017221
ENSP00000278919	ENSGALP00000016953
ENSP00000370607	ENSGALP00000018477
ENSP00000351132	ENSGALP00000005362
ENSP00000321971	ENSGALP00000003923
ENSP00000268482	ENSGALP00000037931
ENSP00000393099	ENSGALP00000014129
ENSP00000282251	ENSGALP00000027682
ENSP00000406885	ENSGALP00000010742
ENSP00000433126	ENSGALP00000009322
ENSP00000327650	ENSGALP00000001108
ENSP00000253577	ENSGALP00000012615
ENSP00000265316	ENSGALP00000037478
ENSP00000238789	ENSGALP00000026558
ENSP00000287394	ENSGALP00000026359
ENSP00000347444	ENSGALP00000020149
ENSP00000387361	ENSGALP00000005353
ENSP00000235329	ENSGALP00000007187
ENSP00000420617	ENSGALP00000014578
ENSP00000378402	ENSGALP00000002508
ENSP00000357040	ENSGALP00000039941
ENSP00000347672	ENSGALP00000024186
ENSP00000347464	ENSGALP00000008267
ENSP00000378338	ENSGALP00000038832
ENSP00000387471	ENSGALP00000008227
ENSP00000419765	ENSGALP00000020415
ENSP00000453872	ENSGALP00000006621
ENSP00000269439	ENSGALP00000002707
ENSP00000247843	ENSGALP00000041034
ENSP00000306983	ENSGALP00000040443
ENSP00000365388	ENSGALP00000012210
ENSP00000335060	ENSGALP00000037663
ENSP00000216144	ENSGALP00000021766
ENSP00000295304	ENSGALP00000013307
ENSP00000398105	ENSGALP00000042685
ENSP00000428054	ENSGALP00000029342
ENSP00000452796	ENSGALP00000004348
ENSP00000379390	ENSGALP00000019816
ENSP00000367841	ENSGALP00000026170
ENSP00000422037	ENSGALP00000022832
ENSP00000265978	ENSGALP00000005392
ENSP00000413196	ENSGALP00000016394
ENSP00000383986	ENSGALP00000037084
ENSP00000258484	ENSGALP00000020328
ENSP00000263062	ENSGALP00000011596
ENSP00000315070	ENSGALP00000011428
ENSP00000318868	ENSGALP00000008079
ENSP00000379182	ENSGALP00000012383
ENSP00000358451	ENSGALP00000023837
ENSP00000229328	ENSGALP00000011911
ENSP00000254101	ENSGALP00000002564
ENSP00000265087	ENSGALP00000040201
ENSP00000290271	ENSGALP00000000495
ENSP00000313432	ENSGALP00000008696
ENSP00000430493	ENSGALP00000006287
ENSP00000256079	ENSGALP00000021094
ENSP00000344789	ENSGALP00000034072
ENSP00000341044	ENSGALP00000008073
ENSP00000361795	ENSGALP00000006237
ENSP00000300574	ENSGALP00000004174
ENSP00000346300	ENSGALP00000010305
ENSP00000272091	ENSGALP00000015045
ENSP00000264705	ENSGALP00000026615
ENSP00000262105	ENSGALP00000021034
ENSP00000368174	ENSGALP00000014959
ENSP00000331897	ENSGALP00000035366
ENSP00000286835	ENSGALP00000025508
ENSP00000336587	ENSGALP00000042044
ENSP00000268383	ENSGALP00000041646
ENSP00000326534	ENSGALP00000014608
ENSP00000420200	ENSGALP00000029762
ENSP00000396704	ENSGALP00000018410
ENSP00000411532	ENSGALP00000039270
ENSP00000396995	ENSGALP00000006115
ENSP00000360147	ENSGALP00000042060
ENSP00000421566	ENSGALP00000013870
ENSP00000186436	ENSGALP00000035804
ENSP00000386787	ENSGALP00000015005
ENSP00000379457	ENSGALP00000017131
ENSP00000261942	ENSGALP00000005262
ENSP00000316476	ENSGALP00000015178
ENSP00000392217	ENSGALP00000020011
ENSP00000375857	ENSGALP00000006137
ENSP00000231572	ENSGALP00000002862
ENSP00000217372	ENSGALP00000010883
ENSP00000279907	ENSGALP00000018826
ENSP00000313851	ENSGALP00000027519
ENSP00000303427	ENSGALP00000023059
ENSP00000379680	ENSGALP00000019396
ENSP00000218516	ENSGALP00000007923
ENSP00000468424	ENSGALP00000001254
ENSP00000367407	ENSGALP00000014278
ENSP00000354387	ENSGALP00000032179
ENSP00000168977	ENSGALP00000042202
ENSP00000299866	ENSGALP00000011668
ENSP00000261448	ENSGALP00000036165
ENSP00000354251	ENSGALP00000004335
ENSP00000293373	ENSGALP00000040974
ENSP00000254029	ENSGALP00000031757
ENSP00000379894	ENSGALP00000041413
ENSP00000418648	ENSGALP00000019313
ENSP00000354612	ENSGALP00000034260
ENSP00000356438	ENSGALP00000040835
ENSP00000244571	ENSGALP00000016505
ENSP00000353826	ENSGALP00000000670
ENSP00000353463	ENSGALP00000042671
ENSP00000357644	ENSGALP00000042641
ENSP00000376583	ENSGALP00000020604
ENSP00000325941	ENSGALP00000006648
ENSP00000394700	ENSGALP00000019323
ENSP00000389039	ENSGALP00000016050
ENSP00000308430	ENSGALP00000000933
ENSP00000402935	ENSGALP00000018335
ENSP00000263960	ENSGALP00000013042
ENSP00000349860	ENSGALP00000000114
ENSP00000253778	ENSGALP00000022312
ENSP00000313854	ENSGALP00000021513
ENSP00000286733	ENSGALP00000037111
ENSP00000371152	ENSGALP00000041373
ENSP00000308976	ENSGALP00000039153
ENSP00000341819	ENSGALP00000021328
ENSP00000347626	ENSGALP00000022856
ENSP00000319664	ENSGALP00000001315
ENSP00000305958	ENSGALP00000042479
ENSP00000233623	ENSGALP00000041427
ENSP00000382163	ENSGALP00000025766
ENSP00000464162	ENSGALP00000024043
ENSP00000370896	ENSGALP00000026495
ENSP00000336721	ENSGALP00000006364
ENSP00000352510	ENSGALP00000018530
ENSP00000344424	ENSGALP00000015334
ENSP00000264047	ENSGALP00000027076
ENSP00000404676	ENSGALP00000013334
ENSP00000249344	ENSGALP00000042365
ENSP00000358810	ENSGALP00000043243
ENSP00000403396	ENSGALP00000017753
ENSP00000359634	ENSGALP00000042234
ENSP00000343000	ENSGALP00000001338
ENSP00000423933	ENSGALP00000014829
ENSP00000312837	ENSGALP00000005100
ENSP00000262305	ENSGALP00000004190
ENSP00000368341	ENSGALP00000042563
ENSP00000348538	ENSGALP00000042182
ENSP00000222511	ENSGALP00000014689
ENSP00000359859	ENSGALP00000008280
ENSP00000280800	ENSGALP00000013527
ENSP00000240617	ENSGALP00000019276
ENSP00000311257	ENSGALP00000017299
ENSP00000298596	ENSGALP00000006542
ENSP00000273668	ENSGALP00000032339
ENSP00000225171	ENSGALP00000004363
ENSP00000362935	ENSGALP00000008805
ENSP00000399259	ENSGALP00000040448
ENSP00000386722	ENSGALP00000027951
ENSP00000324549	ENSGALP00000026957
ENSP00000374484	ENSGALP00000014656
ENSP00000266068	ENSGALP00000042139
ENSP00000294409	ENSGALP00000001447
ENSP00000259457	ENSGALP00000001655
ENSP00000258534	ENSGALP00000020794
ENSP00000254663	ENSGALP00000041050
ENSP00000323927	ENSGALP00000039342
ENSP00000366460	ENSGALP00000012907
ENSP00000195654	ENSGALP00000025521
ENSP00000382104	ENSGALP00000025787
ENSP00000256925	ENSGALP00000024140
ENSP00000279101	ENSGALP00000008556
ENSP00000306881	ENSGALP00000016481
ENSP00000415436	ENSGALP00000043425
ENSP00000384198	ENSGALP00000014006
ENSP00000326170	ENSGALP00000003479
ENSP00000265056	ENSGALP00000009709
ENSP00000335651	ENSGALP00000009632
ENSP00000371420	ENSGALP00000017800
ENSP00000402758	ENSGALP00000023540
ENSP00000404700	ENSGALP00000022405
ENSP00000457991	ENSGALP00000001287
ENSP00000262719	ENSGALP00000036383
ENSP00000272771	ENSGALP00000012565
ENSP00000302530	ENSGALP00000013385
ENSP00000287598	ENSGALP00000039721
ENSP00000379042	ENSGALP00000020229
ENSP00000366620	ENSGALP00000003917
ENSP00000379619	ENSGALP00000007225
ENSP00000400252	ENSGALP00000007149
ENSP00000362092	ENSGALP00000002254
ENSP00000358423	ENSGALP00000042542
ENSP00000367498	ENSGALP00000001446
ENSP00000356669	ENSGALP00000007286
ENSP00000362774	ENSGALP00000001900
ENSP00000419465	ENSGALP00000016933
ENSP00000261592	ENSGALP00000043210
ENSP00000315680	ENSGALP00000022459
ENSP00000360107	ENSGALP00000026855
ENSP00000404232	ENSGALP00000026102
ENSP00000307041	ENSGALP00000009716
ENSP00000370047	ENSGALP00000024317
ENSP00000357928	ENSGALP00000024253
ENSP00000263966	ENSGALP00000014471
ENSP00000229268	ENSGALP00000023395
ENSP00000309477	ENSGALP00000003381
ENSP00000356634	ENSGALP00000007134
ENSP00000438468	ENSGALP00000016047
ENSP00000405423	ENSGALP00000008480
ENSP00000295448	ENSGALP00000022938
ENSP00000370031	ENSGALP00000017328
ENSP00000268057	ENSGALP00000002771
ENSP00000341874	ENSGALP00000024151
ENSP00000369162	ENSGALP00000020848
ENSP00000357835	ENSGALP00000040803
ENSP00000298251	ENSGALP00000000573
ENSP00000377980	ENSGALP00000037338
ENSP00000312379	ENSGALP00000013244
ENSP00000298492	ENSGALP00000032348
ENSP00000366225	ENSGALP00000013516
ENSP00000365529	ENSGALP00000012415
ENSP00000321636	ENSGALP00000008036
ENSP00000381773	ENSGALP00000002248
ENSP00000262419	ENSGALP00000042673
ENSP00000281772	ENSGALP00000004513
ENSP00000367453	ENSGALP00000030591
ENSP00000419494	ENSGALP00000042794
ENSP00000233099	ENSGALP00000017181
ENSP00000350734	ENSGALP00000039408
ENSP00000262198	ENSGALP00000020593
ENSP00000379346	ENSGALP00000012954
ENSP00000415203	ENSGALP00000024724
ENSP00000367880	ENSGALP00000003142
ENSP00000226218	ENSGALP00000005668
ENSP00000399679	ENSGALP00000008204
ENSP00000359600	ENSGALP00000038046
ENSP00000436785	ENSGALP00000027674
ENSP00000353557	ENSGALP00000041009
ENSP00000265245	ENSGALP00000039544
ENSP00000451261	ENSGALP00000025396
ENSP00000269214	ENSGALP00000024046
ENSP00000216259	ENSGALP00000019456
ENSP00000400958	ENSGALP00000038897
ENSP00000358617	ENSGALP00000002853
ENSP00000345206	ENSGALP00000023161
ENSP00000341243	ENSGALP00000006289
ENSP00000456594	ENSGALP00000041982
ENSP00000314396	ENSGALP00000016259
ENSP00000266395	ENSGALP00000043463
ENSP00000328412	ENSGALP00000007177
ENSP00000300051	ENSGALP00000039149
ENSP00000264167	ENSGALP00000015016
ENSP00000384262	ENSGALP00000018245
ENSP00000357920	ENSGALP00000024242
ENSP00000273480	ENSGALP00000033343
ENSP00000298198	ENSGALP00000035573
ENSP00000271732	ENSGALP00000023549
ENSP00000339207	ENSGALP00000009847
ENSP00000263383	ENSGALP00000041633
ENSP00000389948	ENSGALP00000005776
ENSP00000264779	ENSGALP00000023701
ENSP00000428765	ENSGALP00000005229
ENSP00000357900	ENSGALP00000037902
ENSP00000371517	ENSGALP00000038409
ENSP00000359526	ENSGALP00000012074
ENSP00000307854	ENSGALP00000009480
ENSP00000353739	ENSGALP00000024559
ENSP00000264864	ENSGALP00000023196
ENSP00000360687	ENSGALP00000014659
ENSP00000303149	ENSGALP00000042485
ENSP00000297146	ENSGALP00000015353
ENSP00000335261	ENSGALP00000012029
ENSP00000223023	ENSGALP00000014285
ENSP00000233202	ENSGALP00000018625
ENSP00000295049	ENSGALP00000013162
ENSP00000260270	ENSGALP00000040794
ENSP00000462647	ENSGALP00000023931
ENSP00000280258	ENSGALP00000027822
ENSP00000440870	ENSGALP00000025504
ENSP00000263780	ENSGALP00000024944
ENSP00000273130	ENSGALP00000018705
ENSP00000262065	ENSGALP00000004856
ENSP00000251588	ENSGALP00000008600
ENSP00000309899	ENSGALP00000002430
ENSP00000361721	ENSGALP00000000958
ENSP00000356623	ENSGALP00000022385
ENSP00000313811	ENSGALP00000006575
ENSP00000216117	ENSGALP00000036970
ENSP00000459214	ENSGALP00000012344
ENSP00000360623	ENSGALP00000017266
ENSP00000304292	ENSGALP00000007432
ENSP00000340836	ENSGALP00000028084
ENSP00000361345	ENSGALP00000006003
ENSP00000261534	ENSGALP00000016954
ENSP00000361302	ENSGALP00000005954
ENSP00000265174	ENSGALP00000017139
ENSP00000349393	ENSGALP00000027179
ENSP00000216446	ENSGALP00000015553
ENSP00000390849	ENSGALP00000030511
ENSP00000476668	ENSGALP00000005640
ENSP00000397644	ENSGALP00000001026
ENSP00000290524	ENSGALP00000001224
ENSP00000398076	ENSGALP00000020629
ENSP00000280193	ENSGALP00000017608
ENSP00000297904	ENSGALP00000026669
ENSP00000288266	ENSGALP00000008851
ENSP00000376523	ENSGALP00000010476
ENSP00000452746	ENSGALP00000004390
ENSP00000387261	ENSGALP00000038786
ENSP00000365725	ENSGALP00000013877
ENSP00000336693	ENSGALP00000031809
ENSP00000040738	ENSGALP00000042774
ENSP00000344829	ENSGALP00000017254
ENSP00000012049	ENSGALP00000028262
ENSP00000386414	ENSGALP00000038610
ENSP00000362109	ENSGALP00000005451
ENSP00000309092	ENSGALP00000003934
ENSP00000350949	ENSGALP00000003798
ENSP00000453129	ENSGALP00000000715
ENSP00000465930	ENSGALP00000003627
ENSP00000367276	ENSGALP00000027457
ENSP00000278174	ENSGALP00000041722
ENSP00000362836	ENSGALP00000000699
ENSP00000355747	ENSGALP00000014749
ENSP00000326366	ENSGALP00000031992
ENSP00000398089	ENSGALP00000001189
ENSP00000460825	ENSGALP00000009448
ENSP00000291495	ENSGALP00000042713
ENSP00000261883	ENSGALP00000011886
ENSP00000352463	ENSGALP00000019357
ENSP00000323074	ENSGALP00000007794
ENSP00000358541	ENSGALP00000039233
ENSP00000355741	ENSGALP00000014761
ENSP00000296657	ENSGALP00000041240
ENSP00000371472	ENSGALP00000020163
ENSP00000359698	ENSGALP00000041160
ENSP00000330382	ENSGALP00000037083
ENSP00000346508	ENSGALP00000033634
ENSP00000373610	ENSGALP00000011435
ENSP00000230122	ENSGALP00000024534
ENSP00000475670	ENSGALP00000001859
ENSP00000473983	ENSGALP00000003065
ENSP00000340691	ENSGALP00000005068
ENSP00000454646	ENSGALP00000003630
ENSP00000299709	ENSGALP00000005223
ENSP00000345361	ENSGALP00000001494
ENSP00000359370	ENSGALP00000039343
ENSP00000363329	ENSGALP00000014356
ENSP00000273986	ENSGALP00000043162
ENSP00000269391	ENSGALP00000003123
ENSP00000262370	ENSGALP00000012301
ENSP00000456348	ENSGALP00000003081
ENSP00000281631	ENSGALP00000023963
ENSP00000236850	ENSGALP00000011510
ENSP00000350425	ENSGALP00000011502
ENSP00000308258	ENSGALP00000006841
ENSP00000430548	ENSGALP00000025730
