ENSACAP00000008923	ENSLOCP00000011371
ENSACAP00000015756	ENSLOCP00000018624
ENSACAP00000015599	ENSLOCP00000012190
ENSACAP00000012122	ENSLOCP00000013987
ENSACAP00000023392	ENSLOCP00000016999
ENSACAP00000003583	ENSLOCP00000009137
ENSACAP00000005286	ENSLOCP00000014129
ENSACAP00000017212	ENSLOCP00000014931
ENSACAP00000015232	ENSLOCP00000015917
ENSACAP00000016360	ENSLOCP00000000012
ENSACAP00000001831	ENSLOCP00000010552
ENSACAP00000008324	ENSLOCP00000014081
ENSACAP00000013075	ENSLOCP00000008337
ENSACAP00000015451	ENSLOCP00000021429
ENSACAP00000009071	ENSLOCP00000021090
ENSACAP00000003352	ENSLOCP00000022026
ENSACAP00000001825	ENSLOCP00000012280
ENSACAP00000015252	ENSLOCP00000018659
ENSACAP00000002708	ENSLOCP00000005298
ENSACAP00000012527	ENSLOCP00000013893
ENSACAP00000009938	ENSLOCP00000014241
ENSACAP00000010722	ENSLOCP00000018978
ENSACAP00000017815	ENSLOCP00000019891
ENSACAP00000009062	ENSLOCP00000015980
ENSACAP00000007884	ENSLOCP00000005381
ENSACAP00000012247	ENSLOCP00000013432
ENSACAP00000008255	ENSLOCP00000005097
ENSACAP00000002602	ENSLOCP00000012580
ENSACAP00000015633	ENSLOCP00000006953
ENSACAP00000000537	ENSLOCP00000003565
ENSACAP00000004499	ENSLOCP00000003318
ENSACAP00000008329	ENSLOCP00000021144
ENSACAP00000006795	ENSLOCP00000010429
ENSACAP00000015278	ENSLOCP00000021837
ENSACAP00000011055	ENSLOCP00000008438
ENSACAP00000002685	ENSLOCP00000022197
ENSACAP00000006709	ENSLOCP00000007387
ENSACAP00000016371	ENSLOCP00000018686
ENSACAP00000011004	ENSLOCP00000017619
ENSACAP00000000977	ENSLOCP00000007069
ENSACAP00000013007	ENSLOCP00000001710
ENSACAP00000011348	ENSLOCP00000012600
ENSACAP00000001870	ENSLOCP00000012292
ENSACAP00000005624	ENSLOCP00000016783
ENSACAP00000014494	ENSLOCP00000002721
ENSACAP00000019240	ENSLOCP00000019996
ENSACAP00000000984	ENSLOCP00000014995
ENSACAP00000014063	ENSLOCP00000005102
ENSACAP00000005993	ENSLOCP00000009686
ENSACAP00000008112	ENSLOCP00000001440
ENSACAP00000015449	ENSLOCP00000015017
ENSACAP00000004057	ENSLOCP00000014924
ENSACAP00000005689	ENSLOCP00000008774
ENSACAP00000014961	ENSLOCP00000014791
ENSACAP00000006995	ENSLOCP00000014651
ENSACAP00000011308	ENSLOCP00000008744
ENSACAP00000016172	ENSLOCP00000004775
ENSACAP00000014888	ENSLOCP00000004912
ENSACAP00000000770	ENSLOCP00000019570
ENSACAP00000017718	ENSLOCP00000006513
ENSACAP00000002967	ENSLOCP00000012804
ENSACAP00000008791	ENSLOCP00000004513
ENSACAP00000012319	ENSLOCP00000014622
ENSACAP00000015625	ENSLOCP00000018521
ENSACAP00000013710	ENSLOCP00000016935
ENSACAP00000017131	ENSLOCP00000003354
ENSACAP00000011839	ENSLOCP00000006590
ENSACAP00000008104	ENSLOCP00000013208
ENSACAP00000005828	ENSLOCP00000008798
ENSACAP00000011187	ENSLOCP00000007383
ENSACAP00000017311	ENSLOCP00000015516
ENSACAP00000016202	ENSLOCP00000015556
ENSACAP00000009515	ENSLOCP00000005158
ENSACAP00000016946	ENSLOCP00000008254
ENSACAP00000000957	ENSLOCP00000000642
ENSACAP00000000557	ENSLOCP00000012380
ENSACAP00000016469	ENSLOCP00000007170
ENSACAP00000004662	ENSLOCP00000015944
ENSACAP00000012859	ENSLOCP00000009691
ENSACAP00000003472	ENSLOCP00000018038
ENSACAP00000001246	ENSLOCP00000021343
ENSACAP00000007643	ENSLOCP00000011711
ENSACAP00000008009	ENSLOCP00000015118
ENSACAP00000002636	ENSLOCP00000010911
ENSACAP00000019516	ENSLOCP00000020687
ENSACAP00000008364	ENSLOCP00000018481
ENSACAP00000004649	ENSLOCP00000020035
ENSACAP00000015369	ENSLOCP00000005614
ENSACAP00000017589	ENSLOCP00000014978
ENSACAP00000017594	ENSLOCP00000014986
ENSACAP00000006594	ENSLOCP00000005829
ENSACAP00000014580	ENSLOCP00000005394
ENSACAP00000016992	ENSLOCP00000007087
ENSACAP00000002228	ENSLOCP00000000498
ENSACAP00000013096	ENSLOCP00000017221
ENSACAP00000005404	ENSLOCP00000020871
ENSACAP00000002786	ENSLOCP00000002017
ENSACAP00000006035	ENSLOCP00000017200
ENSACAP00000001468	ENSLOCP00000012161
ENSACAP00000019736	ENSLOCP00000018328
ENSACAP00000011958	ENSLOCP00000015840
ENSACAP00000006749	ENSLOCP00000000060
ENSACAP00000009047	ENSLOCP00000019334
ENSACAP00000014481	ENSLOCP00000009595
ENSACAP00000010030	ENSLOCP00000002053
ENSACAP00000006130	ENSLOCP00000015241
ENSACAP00000005830	ENSLOCP00000018848
ENSACAP00000002374	ENSLOCP00000015507
ENSACAP00000008018	ENSLOCP00000009280
ENSACAP00000012696	ENSLOCP00000013534
ENSACAP00000014814	ENSLOCP00000018148
ENSACAP00000002063	ENSLOCP00000013277
ENSACAP00000013130	ENSLOCP00000001226
ENSACAP00000003771	ENSLOCP00000004742
ENSACAP00000010109	ENSLOCP00000001048
ENSACAP00000016750	ENSLOCP00000014026
ENSACAP00000005383	ENSLOCP00000003984
ENSACAP00000009618	ENSLOCP00000016021
ENSACAP00000001532	ENSLOCP00000012499
ENSACAP00000000317	ENSLOCP00000020600
ENSACAP00000009031	ENSLOCP00000013635
ENSACAP00000003841	ENSLOCP00000001128
ENSACAP00000012771	ENSLOCP00000006646
ENSACAP00000016060	ENSLOCP00000008048
ENSACAP00000018066	ENSLOCP00000006680
ENSACAP00000003869	ENSLOCP00000010757
ENSACAP00000014429	ENSLOCP00000009442
ENSACAP00000001106	ENSLOCP00000016407
ENSACAP00000007441	ENSLOCP00000009355
ENSACAP00000003479	ENSLOCP00000005141
ENSACAP00000003057	ENSLOCP00000007790
ENSACAP00000012969	ENSLOCP00000001294
ENSACAP00000006667	ENSLOCP00000004307
ENSACAP00000001956	ENSLOCP00000001946
ENSACAP00000022146	ENSLOCP00000005364
ENSACAP00000013861	ENSLOCP00000018421
ENSACAP00000014647	ENSLOCP00000012394
ENSACAP00000006068	ENSLOCP00000009385
ENSACAP00000012201	ENSLOCP00000003957
ENSACAP00000018507	ENSLOCP00000008503
ENSACAP00000007068	ENSLOCP00000014610
ENSACAP00000006207	ENSLOCP00000016620
ENSACAP00000005659	ENSLOCP00000021285
ENSACAP00000006146	ENSLOCP00000006312
ENSACAP00000017685	ENSLOCP00000007097
ENSACAP00000020674	ENSLOCP00000006314
ENSACAP00000009403	ENSLOCP00000018542
ENSACAP00000001011	ENSLOCP00000004312
ENSACAP00000022986	ENSLOCP00000002395
ENSACAP00000023242	ENSLOCP00000019794
ENSACAP00000016028	ENSLOCP00000015390
ENSACAP00000012748	ENSLOCP00000014209
ENSACAP00000016873	ENSLOCP00000014074
ENSACAP00000006458	ENSLOCP00000014940
ENSACAP00000022750	ENSLOCP00000011939
ENSACAP00000013337	ENSLOCP00000009227
ENSACAP00000014598	ENSLOCP00000020249
ENSACAP00000003397	ENSLOCP00000014690
ENSACAP00000001635	ENSLOCP00000009564
ENSACAP00000001558	ENSLOCP00000013439
ENSACAP00000017164	ENSLOCP00000010880
ENSACAP00000014074	ENSLOCP00000020092
ENSACAP00000017177	ENSLOCP00000010906
ENSACAP00000009970	ENSLOCP00000015127
ENSACAP00000002410	ENSLOCP00000019424
ENSACAP00000003764	ENSLOCP00000015684
ENSACAP00000017386	ENSLOCP00000014045
ENSACAP00000003546	ENSLOCP00000011994
ENSACAP00000009483	ENSLOCP00000002555
ENSACAP00000011263	ENSLOCP00000008498
ENSACAP00000012773	ENSLOCP00000019471
ENSACAP00000017581	ENSLOCP00000003232
ENSACAP00000017065	ENSLOCP00000016288
ENSACAP00000021596	ENSLOCP00000006752
ENSACAP00000009943	ENSLOCP00000014493
ENSACAP00000015119	ENSLOCP00000006776
ENSACAP00000002287	ENSLOCP00000011554
ENSACAP00000013146	ENSLOCP00000004686
ENSACAP00000015169	ENSLOCP00000002982
ENSACAP00000000050	ENSLOCP00000002435
ENSACAP00000003711	ENSLOCP00000002142
ENSACAP00000015207	ENSLOCP00000007528
ENSACAP00000006309	ENSLOCP00000004486
ENSACAP00000000038	ENSLOCP00000020865
ENSACAP00000000912	ENSLOCP00000006073
ENSACAP00000008907	ENSLOCP00000004216
ENSACAP00000003085	ENSLOCP00000011779
ENSACAP00000016894	ENSLOCP00000014801
ENSACAP00000010221	ENSLOCP00000005780
ENSACAP00000013739	ENSLOCP00000013444
ENSACAP00000015174	ENSLOCP00000009818
ENSACAP00000004223	ENSLOCP00000006935
ENSACAP00000019520	ENSLOCP00000002410
ENSACAP00000011139	ENSLOCP00000020353
ENSACAP00000004781	ENSLOCP00000001422
ENSACAP00000004556	ENSLOCP00000002766
ENSACAP00000011319	ENSLOCP00000008981
ENSACAP00000004426	ENSLOCP00000021105
ENSACAP00000002618	ENSLOCP00000011756
ENSACAP00000010385	ENSLOCP00000013852
ENSACAP00000006186	ENSLOCP00000016630
ENSACAP00000008191	ENSLOCP00000016613
ENSACAP00000006980	ENSLOCP00000006720
ENSACAP00000016608	ENSLOCP00000013580
ENSACAP00000003999	ENSLOCP00000019771
ENSACAP00000008246	ENSLOCP00000015574
ENSACAP00000008730	ENSLOCP00000018581
ENSACAP00000000330	ENSLOCP00000020012
ENSACAP00000006393	ENSLOCP00000018060
ENSACAP00000007926	ENSLOCP00000004617
ENSACAP00000014941	ENSLOCP00000020918
ENSACAP00000016656	ENSLOCP00000005197
ENSACAP00000010835	ENSLOCP00000006147
ENSACAP00000006007	ENSLOCP00000020514
ENSACAP00000013695	ENSLOCP00000009204
ENSACAP00000011013	ENSLOCP00000018363
ENSACAP00000000248	ENSLOCP00000018416
ENSACAP00000000810	ENSLOCP00000007825
ENSACAP00000009915	ENSLOCP00000014420
ENSACAP00000006482	ENSLOCP00000017138
ENSACAP00000003967	ENSLOCP00000010866
ENSACAP00000003520	ENSLOCP00000013813
ENSACAP00000008631	ENSLOCP00000008268
ENSACAP00000002386	ENSLOCP00000006833
ENSACAP00000008533	ENSLOCP00000014521
ENSACAP00000012376	ENSLOCP00000013780
ENSACAP00000016666	ENSLOCP00000011952
ENSACAP00000012500	ENSLOCP00000003536
ENSACAP00000017384	ENSLOCP00000010352
ENSACAP00000012031	ENSLOCP00000010399
ENSACAP00000005251	ENSLOCP00000004103
ENSACAP00000004686	ENSLOCP00000016785
ENSACAP00000017153	ENSLOCP00000015046
ENSACAP00000001244	ENSLOCP00000006063
ENSACAP00000007629	ENSLOCP00000003268
ENSACAP00000002918	ENSLOCP00000010961
ENSACAP00000012148	ENSLOCP00000006952
ENSACAP00000011691	ENSLOCP00000017973
ENSACAP00000009061	ENSLOCP00000009824
ENSACAP00000002167	ENSLOCP00000012553
ENSACAP00000012892	ENSLOCP00000013557
ENSACAP00000022695	ENSLOCP00000002415
ENSACAP00000011125	ENSLOCP00000015732
ENSACAP00000003273	ENSLOCP00000018931
ENSACAP00000016558	ENSLOCP00000007073
ENSACAP00000014653	ENSLOCP00000013157
ENSACAP00000000996	ENSLOCP00000005891
ENSACAP00000017376	ENSLOCP00000004021
ENSACAP00000001503	ENSLOCP00000021346
ENSACAP00000012304	ENSLOCP00000011692
ENSACAP00000001349	ENSLOCP00000008192
ENSACAP00000003529	ENSLOCP00000014152
ENSACAP00000009385	ENSLOCP00000004829
ENSACAP00000018362	ENSLOCP00000022344
ENSACAP00000005833	ENSLOCP00000009493
ENSACAP00000003761	ENSLOCP00000002091
ENSACAP00000008371	ENSLOCP00000013821
ENSACAP00000005206	ENSLOCP00000006865
ENSACAP00000004846	ENSLOCP00000008158
ENSACAP00000001051	ENSLOCP00000006282
ENSACAP00000006134	ENSLOCP00000016647
ENSACAP00000013341	ENSLOCP00000014265
ENSACAP00000002346	ENSLOCP00000001088
ENSACAP00000002151	ENSLOCP00000007972
ENSACAP00000015029	ENSLOCP00000018707
ENSACAP00000008005	ENSLOCP00000019836
ENSACAP00000016412	ENSLOCP00000002490
ENSACAP00000010115	ENSLOCP00000020010
ENSACAP00000003630	ENSLOCP00000010775
ENSACAP00000010055	ENSLOCP00000015853
ENSACAP00000015877	ENSLOCP00000015109
ENSACAP00000004055	ENSLOCP00000008065
ENSACAP00000013204	ENSLOCP00000017193
ENSACAP00000014434	ENSLOCP00000020327
ENSACAP00000006449	ENSLOCP00000019206
ENSACAP00000006424	ENSLOCP00000019204
ENSACAP00000011574	ENSLOCP00000007720
ENSACAP00000000087	ENSLOCP00000017719
ENSACAP00000014523	ENSLOCP00000013469
ENSACAP00000013188	ENSLOCP00000015453
ENSACAP00000009727	ENSLOCP00000015435
ENSACAP00000003139	ENSLOCP00000000119
ENSACAP00000000517	ENSLOCP00000021274
ENSACAP00000018406	ENSLOCP00000011203
ENSACAP00000004493	ENSLOCP00000014097
ENSACAP00000015006	ENSLOCP00000018793
ENSACAP00000014443	ENSLOCP00000018047
ENSACAP00000021844	ENSLOCP00000003171
ENSACAP00000023069	ENSLOCP00000011980
ENSACAP00000011046	ENSLOCP00000008415
ENSACAP00000009380	ENSLOCP00000013613
ENSACAP00000002608	ENSLOCP00000012528
ENSACAP00000003169	ENSLOCP00000013203
ENSACAP00000017614	ENSLOCP00000004066
ENSACAP00000004858	ENSLOCP00000014382
ENSACAP00000008700	ENSLOCP00000016275
ENSACAP00000014499	ENSLOCP00000020250
ENSACAP00000014353	ENSLOCP00000019502
ENSACAP00000021654	ENSLOCP00000001476
ENSACAP00000006279	ENSLOCP00000016439
ENSACAP00000015534	ENSLOCP00000014508
ENSACAP00000013532	ENSLOCP00000004843
ENSACAP00000004470	ENSLOCP00000020210
ENSACAP00000003506	ENSLOCP00000018032
ENSACAP00000003754	ENSLOCP00000015259
ENSACAP00000002925	ENSLOCP00000001966
ENSACAP00000012849	ENSLOCP00000010567
ENSACAP00000014874	ENSLOCP00000019881
ENSACAP00000011857	ENSLOCP00000007611
ENSACAP00000016361	ENSLOCP00000008548
ENSACAP00000000854	ENSLOCP00000010811
ENSACAP00000002833	ENSLOCP00000004796
ENSACAP00000012559	ENSLOCP00000021114
ENSACAP00000001157	ENSLOCP00000008320
ENSACAP00000016133	ENSLOCP00000001519
ENSACAP00000014673	ENSLOCP00000012127
ENSACAP00000011215	ENSLOCP00000018204
ENSACAP00000013467	ENSLOCP00000015645
ENSACAP00000008325	ENSLOCP00000020466
ENSACAP00000009634	ENSLOCP00000012680
ENSACAP00000016067	ENSLOCP00000022322
ENSACAP00000010067	ENSLOCP00000021861
ENSACAP00000013997	ENSLOCP00000013769
ENSACAP00000006082	ENSLOCP00000019778
ENSACAP00000001818	ENSLOCP00000001896
ENSACAP00000006381	ENSLOCP00000007225
ENSACAP00000010058	ENSLOCP00000005698
ENSACAP00000007977	ENSLOCP00000013022
ENSACAP00000003106	ENSLOCP00000018225
ENSACAP00000008692	ENSLOCP00000017251
ENSACAP00000009186	ENSLOCP00000012008
ENSACAP00000003603	ENSLOCP00000003166
ENSACAP00000017352	ENSLOCP00000016220
ENSACAP00000000869	ENSLOCP00000007447
ENSACAP00000015452	ENSLOCP00000010214
ENSACAP00000013246	ENSLOCP00000020386
ENSACAP00000012317	ENSLOCP00000004230
ENSACAP00000018347	ENSLOCP00000003508
ENSACAP00000005284	ENSLOCP00000017652
ENSACAP00000012888	ENSLOCP00000015394
ENSACAP00000002214	ENSLOCP00000003200
ENSACAP00000002183	ENSLOCP00000007566
ENSACAP00000006840	ENSLOCP00000008944
ENSACAP00000016121	ENSLOCP00000008720
ENSACAP00000003415	ENSLOCP00000010825
ENSACAP00000012684	ENSLOCP00000011246
ENSACAP00000016636	ENSLOCP00000021363
ENSACAP00000011424	ENSLOCP00000013066
ENSACAP00000008175	ENSLOCP00000000301
ENSACAP00000006218	ENSLOCP00000019452
ENSACAP00000005622	ENSLOCP00000017482
ENSACAP00000003690	ENSLOCP00000002700
ENSACAP00000005959	ENSLOCP00000007576
ENSACAP00000006715	ENSLOCP00000005772
ENSACAP00000003171	ENSLOCP00000000144
ENSACAP00000016840	ENSLOCP00000019239
ENSACAP00000014480	ENSLOCP00000016664
ENSACAP00000006290	ENSLOCP00000006291
ENSACAP00000002005	ENSLOCP00000004055
ENSACAP00000009719	ENSLOCP00000013687
ENSACAP00000022743	ENSLOCP00000017492
ENSACAP00000005096	ENSLOCP00000002058
ENSACAP00000023298	ENSLOCP00000013578
ENSACAP00000005843	ENSLOCP00000019728
ENSACAP00000001494	ENSLOCP00000019243
ENSACAP00000003394	ENSLOCP00000005171
ENSACAP00000005277	ENSLOCP00000002359
ENSACAP00000016539	ENSLOCP00000019429
ENSACAP00000004829	ENSLOCP00000019554
ENSACAP00000004076	ENSLOCP00000013928
ENSACAP00000008233	ENSLOCP00000014391
ENSACAP00000011240	ENSLOCP00000001548
ENSACAP00000021866	ENSLOCP00000006866
ENSACAP00000005050	ENSLOCP00000001179
ENSACAP00000023397	ENSLOCP00000019606
ENSACAP00000017196	ENSLOCP00000016175
ENSACAP00000014270	ENSLOCP00000011913
ENSACAP00000020004	ENSLOCP00000017772
ENSACAP00000011387	ENSLOCP00000009259
ENSACAP00000016535	ENSLOCP00000019431
ENSACAP00000005124	ENSLOCP00000002463
ENSACAP00000009874	ENSLOCP00000006246
ENSACAP00000009501	ENSLOCP00000011812
ENSACAP00000009866	ENSLOCP00000011790
ENSACAP00000013770	ENSLOCP00000006110
ENSACAP00000013607	ENSLOCP00000018147
ENSACAP00000006294	ENSLOCP00000020745
ENSACAP00000013301	ENSLOCP00000018048
ENSACAP00000008553	ENSLOCP00000003987
ENSACAP00000011641	ENSLOCP00000009799
ENSACAP00000022969	ENSLOCP00000004751
ENSACAP00000010250	ENSLOCP00000009694
ENSACAP00000020284	ENSLOCP00000021112
ENSACAP00000005392	ENSLOCP00000020417
ENSACAP00000019824	ENSLOCP00000010780
ENSACAP00000011605	ENSLOCP00000005421
ENSACAP00000016335	ENSLOCP00000009414
ENSACAP00000002716	ENSLOCP00000002148
ENSACAP00000000790	ENSLOCP00000001181
ENSACAP00000004750	ENSLOCP00000012466
ENSACAP00000012957	ENSLOCP00000013666
ENSACAP00000010965	ENSLOCP00000017902
ENSACAP00000014821	ENSLOCP00000000855
ENSACAP00000012225	ENSLOCP00000001511
ENSACAP00000008659	ENSLOCP00000007365
ENSACAP00000023073	ENSLOCP00000015217
ENSACAP00000011492	ENSLOCP00000004990
ENSACAP00000012724	ENSLOCP00000011269
ENSACAP00000005316	ENSLOCP00000011596
ENSACAP00000016125	ENSLOCP00000012872
ENSACAP00000003014	ENSLOCP00000000179
ENSACAP00000000948	ENSLOCP00000019104
ENSACAP00000002835	ENSLOCP00000010577
ENSACAP00000005183	ENSLOCP00000002368
ENSACAP00000013553	ENSLOCP00000007989
ENSACAP00000001746	ENSLOCP00000006343
ENSACAP00000003954	ENSLOCP00000017547
ENSACAP00000015240	ENSLOCP00000008470
ENSACAP00000007951	ENSLOCP00000020139
ENSACAP00000011929	ENSLOCP00000015134
ENSACAP00000011921	ENSLOCP00000015669
ENSACAP00000020027	ENSLOCP00000021906
ENSACAP00000003729	ENSLOCP00000021517
ENSACAP00000012384	ENSLOCP00000021584
ENSACAP00000018222	ENSLOCP00000020755
ENSACAP00000020649	ENSLOCP00000021041
ENSACAP00000014734	ENSLOCP00000003154
ENSACAP00000016355	ENSLOCP00000007260
ENSACAP00000006385	ENSLOCP00000008474
ENSACAP00000016285	ENSLOCP00000004747
ENSACAP00000014509	ENSLOCP00000013192
ENSACAP00000019794	ENSLOCP00000015949
ENSACAP00000012305	ENSLOCP00000018813
ENSACAP00000015250	ENSLOCP00000020235
ENSACAP00000014928	ENSLOCP00000012321
ENSACAP00000010637	ENSLOCP00000018323
ENSACAP00000002362	ENSLOCP00000020266
ENSACAP00000013799	ENSLOCP00000018171
ENSACAP00000016188	ENSLOCP00000009086
ENSACAP00000017492	ENSLOCP00000006041
ENSACAP00000009027	ENSLOCP00000006102
ENSACAP00000017699	ENSLOCP00000005884
ENSACAP00000000522	ENSLOCP00000012832
ENSACAP00000007778	ENSLOCP00000018835
ENSACAP00000017645	ENSLOCP00000014771
ENSACAP00000016784	ENSLOCP00000006432
ENSACAP00000008491	ENSLOCP00000017528
ENSACAP00000007551	ENSLOCP00000015038
ENSACAP00000003275	ENSLOCP00000021103
ENSACAP00000015876	ENSLOCP00000004138
ENSACAP00000001347	ENSLOCP00000006321
ENSACAP00000008888	ENSLOCP00000002997
ENSACAP00000001073	ENSLOCP00000011543
ENSACAP00000002117	ENSLOCP00000005568
ENSACAP00000003788	ENSLOCP00000008994
ENSACAP00000017629	ENSLOCP00000016841
ENSACAP00000001540	ENSLOCP00000013144
ENSACAP00000001985	ENSLOCP00000011198
ENSACAP00000011135	ENSLOCP00000002924
ENSACAP00000007159	ENSLOCP00000009131
ENSACAP00000001526	ENSLOCP00000011088
ENSACAP00000004118	ENSLOCP00000003848
ENSACAP00000002773	ENSLOCP00000016334
ENSACAP00000005772	ENSLOCP00000013862
ENSACAP00000006167	ENSLOCP00000012716
ENSACAP00000007864	ENSLOCP00000009103
ENSACAP00000014612	ENSLOCP00000013263
ENSACAP00000011654	ENSLOCP00000018390
ENSACAP00000002298	ENSLOCP00000006356
ENSACAP00000004142	ENSLOCP00000021100
ENSACAP00000002377	ENSLOCP00000007328
ENSACAP00000022254	ENSLOCP00000008346
ENSACAP00000007519	ENSLOCP00000016533
ENSACAP00000013541	ENSLOCP00000009591
ENSACAP00000010828	ENSLOCP00000020728
ENSACAP00000017452	ENSLOCP00000012962
ENSACAP00000003087	ENSLOCP00000010940
ENSACAP00000011357	ENSLOCP00000017970
ENSACAP00000015783	ENSLOCP00000021883
ENSACAP00000011486	ENSLOCP00000022279
ENSACAP00000013611	ENSLOCP00000006231
ENSACAP00000011045	ENSLOCP00000014705
ENSACAP00000010338	ENSLOCP00000012555
ENSACAP00000001457	ENSLOCP00000011031
ENSACAP00000013082	ENSLOCP00000018965
ENSACAP00000003285	ENSLOCP00000013015
ENSACAP00000014465	ENSLOCP00000020311
ENSACAP00000002258	ENSLOCP00000009970
ENSACAP00000011145	ENSLOCP00000008352
ENSACAP00000009224	ENSLOCP00000009784
ENSACAP00000009443	ENSLOCP00000006336
ENSACAP00000008337	ENSLOCP00000017095
ENSACAP00000008417	ENSLOCP00000007446
ENSACAP00000003130	ENSLOCP00000005005
ENSACAP00000016581	ENSLOCP00000005932
ENSACAP00000005432	ENSLOCP00000006044
ENSACAP00000010650	ENSLOCP00000006463
ENSACAP00000001158	ENSLOCP00000015221
ENSACAP00000000209	ENSLOCP00000018408
ENSACAP00000003194	ENSLOCP00000020313
ENSACAP00000010613	ENSLOCP00000021601
ENSACAP00000006239	ENSLOCP00000009123
ENSACAP00000016553	ENSLOCP00000017192
ENSACAP00000011885	ENSLOCP00000012682
ENSACAP00000004440	ENSLOCP00000004815
ENSACAP00000003925	ENSLOCP00000000652
ENSACAP00000007816	ENSLOCP00000018950
ENSACAP00000002059	ENSLOCP00000020285
ENSACAP00000003245	ENSLOCP00000010889
ENSACAP00000021898	ENSLOCP00000012730
ENSACAP00000007447	ENSLOCP00000014307
ENSACAP00000016432	ENSLOCP00000003922
ENSACAP00000011300	ENSLOCP00000006418
ENSACAP00000007531	ENSLOCP00000003333
ENSACAP00000013439	ENSLOCP00000015333
ENSACAP00000002204	ENSLOCP00000014052
ENSACAP00000015211	ENSLOCP00000018771
ENSACAP00000005636	ENSLOCP00000020453
ENSACAP00000001057	ENSLOCP00000001038
ENSACAP00000009010	ENSLOCP00000018806
ENSACAP00000006942	ENSLOCP00000019871
ENSACAP00000008310	ENSLOCP00000011104
ENSACAP00000009760	ENSLOCP00000016558
ENSACAP00000002567	ENSLOCP00000013610
ENSACAP00000008835	ENSLOCP00000018105
ENSACAP00000013445	ENSLOCP00000012543
ENSACAP00000010829	ENSLOCP00000002932
ENSACAP00000006519	ENSLOCP00000011753
ENSACAP00000016514	ENSLOCP00000021879
ENSACAP00000022906	ENSLOCP00000016202
ENSACAP00000008611	ENSLOCP00000020862
ENSACAP00000000162	ENSLOCP00000014113
ENSACAP00000014020	ENSLOCP00000005057
ENSACAP00000015230	ENSLOCP00000007678
ENSACAP00000009629	ENSLOCP00000015571
ENSACAP00000009581	ENSLOCP00000005103
ENSACAP00000001003	ENSLOCP00000000597
ENSACAP00000009082	ENSLOCP00000021057
ENSACAP00000007974	ENSLOCP00000014485
ENSACAP00000010810	ENSLOCP00000001482
ENSACAP00000005463	ENSLOCP00000017199
ENSACAP00000002186	ENSLOCP00000013166
ENSACAP00000001328	ENSLOCP00000020655
ENSACAP00000020222	ENSLOCP00000014833
ENSACAP00000005197	ENSLOCP00000004777
ENSACAP00000012024	ENSLOCP00000006939
ENSACAP00000021444	ENSLOCP00000002879
ENSACAP00000016180	ENSLOCP00000011836
ENSACAP00000010891	ENSLOCP00000007334
ENSACAP00000016507	ENSLOCP00000005838
ENSACAP00000017549	ENSLOCP00000005124
ENSACAP00000011048	ENSLOCP00000017874
ENSACAP00000014804	ENSLOCP00000001726
ENSACAP00000002297	ENSLOCP00000009554
ENSACAP00000008128	ENSLOCP00000019198
ENSACAP00000011289	ENSLOCP00000008850
ENSACAP00000016752	ENSLOCP00000019978
ENSACAP00000012342	ENSLOCP00000004255
ENSACAP00000016482	ENSLOCP00000018258
ENSACAP00000012510	ENSLOCP00000004774
ENSACAP00000011524	ENSLOCP00000009118
ENSACAP00000003758	ENSLOCP00000017535
ENSACAP00000000852	ENSLOCP00000001131
ENSACAP00000004382	ENSLOCP00000020571
ENSACAP00000009798	ENSLOCP00000014362
ENSACAP00000014377	ENSLOCP00000008855
ENSACAP00000013022	ENSLOCP00000018152
ENSACAP00000009139	ENSLOCP00000000631
ENSACAP00000002150	ENSLOCP00000003995
ENSACAP00000008993	ENSLOCP00000005167
ENSACAP00000000191	ENSLOCP00000006446
ENSACAP00000013977	ENSLOCP00000009089
ENSACAP00000002235	ENSLOCP00000019079
ENSACAP00000022773	ENSLOCP00000012505
ENSACAP00000001548	ENSLOCP00000019811
ENSACAP00000008438	ENSLOCP00000015512
ENSACAP00000013706	ENSLOCP00000005357
ENSACAP00000013492	ENSLOCP00000015308
ENSACAP00000000303	ENSLOCP00000015550
ENSACAP00000021843	ENSLOCP00000013487
ENSACAP00000009292	ENSLOCP00000013579
ENSACAP00000001938	ENSLOCP00000019628
ENSACAP00000015281	ENSLOCP00000009345
ENSACAP00000005052	ENSLOCP00000013321
ENSACAP00000012211	ENSLOCP00000004529
ENSACAP00000022419	ENSLOCP00000021600
ENSACAP00000010008	ENSLOCP00000005733
ENSACAP00000017201	ENSLOCP00000015735
ENSACAP00000006228	ENSLOCP00000007251
ENSACAP00000016135	ENSLOCP00000019178
ENSACAP00000012172	ENSLOCP00000002097
ENSACAP00000000188	ENSLOCP00000012002
ENSACAP00000019753	ENSLOCP00000009430
ENSACAP00000013378	ENSLOCP00000009568
ENSACAP00000015478	ENSLOCP00000007031
ENSACAP00000006009	ENSLOCP00000019240
ENSACAP00000007084	ENSLOCP00000012605
ENSACAP00000004951	ENSLOCP00000009710
ENSACAP00000012308	ENSLOCP00000018807
ENSACAP00000022172	ENSLOCP00000012168
ENSACAP00000013197	ENSLOCP00000015446
ENSACAP00000014541	ENSLOCP00000022411
ENSACAP00000015560	ENSLOCP00000006037
ENSACAP00000005592	ENSLOCP00000019592
ENSACAP00000009378	ENSLOCP00000011795
ENSACAP00000012963	ENSLOCP00000004674
ENSACAP00000000272	ENSLOCP00000015564
ENSACAP00000018310	ENSLOCP00000021575
