ENSGALP00000006197	ENSMGAP00000004951
ENSGALP00000009161	ENSMGAP00000006112
ENSGALP00000017478	ENSMGAP00000018073
ENSGALP00000016142	ENSMGAP00000001623
ENSGALP00000020819	ENSMGAP00000003413
ENSGALP00000016521	ENSMGAP00000011238
ENSGALP00000035454	ENSMGAP00000009391
ENSGALP00000020312	ENSMGAP00000013319
ENSGALP00000011738	ENSMGAP00000006401
ENSGALP00000001007	ENSMGAP00000009014
ENSGALP00000012961	ENSMGAP00000010125
ENSGALP00000009899	ENSMGAP00000017387
ENSGALP00000022298	ENSMGAP00000013600
ENSGALP00000027647	ENSMGAP00000016055
ENSGALP00000022210	ENSMGAP00000012180
ENSGALP00000027609	ENSMGAP00000016032
ENSGALP00000012750	ENSMGAP00000001342
ENSGALP00000001660	ENSMGAP00000002152
ENSGALP00000023697	ENSMGAP00000019209
ENSGALP00000043276	ENSMGAP00000012530
ENSGALP00000005649	ENSMGAP00000004099
ENSGALP00000021516	ENSMGAP00000007270
ENSGALP00000000478	ENSMGAP00000000153
ENSGALP00000026030	ENSMGAP00000015442
ENSGALP00000020927	ENSMGAP00000013941
ENSGALP00000022096	ENSMGAP00000008081
ENSGALP00000033974	ENSMGAP00000018453
ENSGALP00000042361	ENSMGAP00000008706
ENSGALP00000030056	ENSMGAP00000009711
ENSGALP00000012678	ENSMGAP00000010028
ENSGALP00000006494	ENSMGAP00000005094
ENSGALP00000009387	ENSMGAP00000008117
ENSGALP00000007102	ENSMGAP00000002629
ENSGALP00000017154	ENSMGAP00000011659
ENSGALP00000035850	ENSMGAP00000012353
ENSGALP00000041603	ENSMGAP00000016536
ENSGALP00000019779	ENSMGAP00000014449
ENSGALP00000038747	ENSMGAP00000004587
ENSGALP00000019969	ENSMGAP00000013142
ENSGALP00000023145	ENSMGAP00000007260
ENSGALP00000019650	ENSMGAP00000017419
ENSGALP00000027022	ENSMGAP00000015682
ENSGALP00000014376	ENSMGAP00000015681
ENSGALP00000022268	ENSMGAP00000012213
ENSGALP00000006474	ENSMGAP00000005786
ENSGALP00000020777	ENSMGAP00000013763
ENSGALP00000002331	ENSMGAP00000000507
ENSGALP00000020364	ENSMGAP00000013416
ENSGALP00000002014	ENSMGAP00000002837
ENSGALP00000039652	ENSMGAP00000003265
ENSGALP00000015051	ENSMGAP00000000775
ENSGALP00000035888	ENSMGAP00000015116
ENSGALP00000026438	ENSMGAP00000017953
ENSGALP00000003964	ENSMGAP00000003011
ENSGALP00000019178	ENSMGAP00000010765
ENSGALP00000032687	ENSMGAP00000007785
ENSGALP00000019726	ENSMGAP00000012574
ENSGALP00000011711	ENSMGAP00000008918
ENSGALP00000002699	ENSMGAP00000002093
ENSGALP00000002030	ENSMGAP00000000511
ENSGALP00000038901	ENSMGAP00000004442
ENSGALP00000027407	ENSMGAP00000015916
ENSGALP00000018103	ENSMGAP00000012542
ENSGALP00000007181	ENSMGAP00000003712
ENSGALP00000015000	ENSMGAP00000019530
ENSGALP00000015485	ENSMGAP00000012539
ENSGALP00000022199	ENSMGAP00000005435
ENSGALP00000006398	ENSMGAP00000001296
ENSGALP00000010910	ENSMGAP00000003936
ENSGALP00000022580	ENSMGAP00000009215
ENSGALP00000010140	ENSMGAP00000007916
ENSGALP00000008427	ENSMGAP00000006945
ENSGALP00000008546	ENSMGAP00000002197
ENSGALP00000013710	ENSMGAP00000010629
ENSGALP00000010929	ENSMGAP00000019699
ENSGALP00000024142	ENSMGAP00000004549
ENSGALP00000013709	ENSMGAP00000017863
ENSGALP00000041636	ENSMGAP00000003563
ENSGALP00000006431	ENSMGAP00000005606
ENSGALP00000027264	ENSMGAP00000015805
ENSGALP00000027072	ENSMGAP00000015714
ENSGALP00000009505	ENSMGAP00000007343
ENSGALP00000016926	ENSMGAP00000013543
ENSGALP00000015071	ENSMGAP00000008204
ENSGALP00000016706	ENSMGAP00000011335
ENSGALP00000041185	ENSMGAP00000004282
ENSGALP00000040722	ENSMGAP00000003898
ENSGALP00000007382	ENSMGAP00000001129
ENSGALP00000007317	ENSMGAP00000001484
ENSGALP00000019231	ENSMGAP00000012449
ENSGALP00000020344	ENSMGAP00000014612
ENSGALP00000016253	ENSMGAP00000003716
ENSGALP00000020022	ENSMGAP00000013198
ENSGALP00000006671	ENSMGAP00000002266
ENSGALP00000043246	ENSMGAP00000011390
ENSGALP00000006365	ENSMGAP00000005599
ENSGALP00000041702	ENSMGAP00000009573
ENSGALP00000017201	ENSMGAP00000013680
ENSGALP00000023169	ENSMGAP00000013095
ENSGALP00000035839	ENSMGAP00000015554
ENSGALP00000040812	ENSMGAP00000013685
ENSGALP00000039140	ENSMGAP00000003306
ENSGALP00000020169	ENSMGAP00000014556
ENSGALP00000024878	ENSMGAP00000015282
ENSGALP00000024377	ENSMGAP00000015156
ENSGALP00000002465	ENSMGAP00000002649
ENSGALP00000006378	ENSMGAP00000003990
ENSGALP00000013993	ENSMGAP00000011725
ENSGALP00000014741	ENSMGAP00000005957
ENSGALP00000040377	ENSMGAP00000002101
ENSGALP00000026933	ENSMGAP00000015633
ENSGALP00000024760	ENSMGAP00000015235
ENSGALP00000023916	ENSMGAP00000003294
ENSGALP00000015350	ENSMGAP00000010735
ENSGALP00000001588	ENSMGAP00000001381
ENSGALP00000024778	ENSMGAP00000014296
ENSGALP00000016204	ENSMGAP00000003528
ENSGALP00000041380	ENSMGAP00000012584
ENSGALP00000015559	ENSMGAP00000010532
ENSGALP00000000540	ENSMGAP00000000672
ENSGALP00000018802	ENSMGAP00000011839
ENSGALP00000023381	ENSMGAP00000013336
ENSGALP00000038984	ENSMGAP00000004005
ENSGALP00000013782	ENSMGAP00000008310
ENSGALP00000016146	ENSMGAP00000001577
ENSGALP00000017392	ENSMGAP00000010161
ENSGALP00000035503	ENSMGAP00000002874
ENSGALP00000002144	ENSMGAP00000002279
ENSGALP00000002109	ENSMGAP00000002325
ENSGALP00000035933	ENSMGAP00000015037
ENSGALP00000028353	ENSMGAP00000004002
ENSGALP00000026245	ENSMGAP00000014720
ENSGALP00000006798	ENSMGAP00000002399
ENSGALP00000020315	ENSMGAP00000013230
ENSGALP00000004473	ENSMGAP00000005107
ENSGALP00000010093	ENSMGAP00000008323
ENSGALP00000006162	ENSMGAP00000001619
ENSGALP00000020574	ENSMGAP00000015593
ENSGALP00000008061	ENSMGAP00000003501
ENSGALP00000009323	ENSMGAP00000008039
ENSGALP00000023825	ENSMGAP00000004480
ENSGALP00000032851	ENSMGAP00000006878
ENSGALP00000017255	ENSMGAP00000011855
ENSGALP00000027189	ENSMGAP00000015770
ENSGALP00000027658	ENSMGAP00000016063
ENSGALP00000024921	ENSMGAP00000015292
ENSGALP00000011836	ENSMGAP00000001036
ENSGALP00000001485	ENSMGAP00000001059
ENSGALP00000022252	ENSMGAP00000013532
ENSGALP00000043116	ENSMGAP00000002527
ENSGALP00000025045	ENSMGAP00000003914
ENSGALP00000028263	ENSMGAP00000003695
ENSGALP00000021090	ENSMGAP00000005541
ENSGALP00000016094	ENSMGAP00000013031
ENSGALP00000010704	ENSMGAP00000007590
ENSGALP00000006352	ENSMGAP00000014894
ENSGALP00000020005	ENSMGAP00000011708
ENSGALP00000024696	ENSMGAP00000015210
ENSGALP00000007937	ENSMGAP00000016936
ENSGALP00000027143	ENSMGAP00000015750
ENSGALP00000013147	ENSMGAP00000006631
ENSGALP00000004609	ENSMGAP00000006700
ENSGALP00000023859	ENSMGAP00000009153
ENSGALP00000015059	ENSMGAP00000009971
ENSGALP00000001896	ENSMGAP00000000502
ENSGALP00000036014	ENSMGAP00000015345
ENSGALP00000041000	ENSMGAP00000012125
ENSGALP00000018382	ENSMGAP00000011827
ENSGALP00000031284	ENSMGAP00000010593
ENSGALP00000019417	ENSMGAP00000014351
ENSGALP00000015303	ENSMGAP00000009112
ENSGALP00000007553	ENSMGAP00000003197
ENSGALP00000007415	ENSMGAP00000006417
ENSGALP00000000694	ENSMGAP00000000058
ENSGALP00000036465	ENSMGAP00000014287
ENSGALP00000036078	ENSMGAP00000017396
ENSGALP00000041070	ENSMGAP00000013437
ENSGALP00000009835	ENSMGAP00000006891
ENSGALP00000024815	ENSMGAP00000015254
ENSGALP00000010707	ENSMGAP00000003962
ENSGALP00000021267	ENSMGAP00000011155
ENSGALP00000000494	ENSMGAP00000000409
ENSGALP00000010010	ENSMGAP00000010988
ENSGALP00000001221	ENSMGAP00000003356
ENSGALP00000015985	ENSMGAP00000010665
ENSGALP00000010101	ENSMGAP00000008132
ENSGALP00000015568	ENSMGAP00000001935
ENSGALP00000006252	ENSMGAP00000004733
ENSGALP00000001055	ENSMGAP00000000345
ENSGALP00000024333	ENSMGAP00000005706
ENSGALP00000022126	ENSMGAP00000008113
ENSGALP00000002794	ENSMGAP00000001833
ENSGALP00000012980	ENSMGAP00000009718
ENSGALP00000039222	ENSMGAP00000019484
ENSGALP00000013618	ENSMGAP00000008083
ENSGALP00000019447	ENSMGAP00000012291
ENSGALP00000016315	ENSMGAP00000013157
ENSGALP00000026904	ENSMGAP00000015629
ENSGALP00000001832	ENSMGAP00000001668
ENSGALP00000016398	ENSMGAP00000013185
ENSGALP00000011947	ENSMGAP00000019410
ENSGALP00000033069	ENSMGAP00000006596
ENSGALP00000002091	ENSMGAP00000004114
ENSGALP00000039428	ENSMGAP00000004499
ENSGALP00000024989	ENSMGAP00000013472
ENSGALP00000017056	ENSMGAP00000012448
ENSGALP00000012264	ENSMGAP00000010002
ENSGALP00000013675	ENSMGAP00000007071
ENSGALP00000025502	ENSMGAP00000014518
ENSGALP00000018269	ENSMGAP00000011278
ENSGALP00000022631	ENSMGAP00000013859
ENSGALP00000022629	ENSMGAP00000013862
ENSGALP00000017934	ENSMGAP00000011030
ENSGALP00000003731	ENSMGAP00000019266
ENSGALP00000005794	ENSMGAP00000005072
ENSGALP00000024208	ENSMGAP00000015132
ENSGALP00000016102	ENSMGAP00000003271
ENSGALP00000013722	ENSMGAP00000007168
ENSGALP00000007617	ENSMGAP00000006994
ENSGALP00000038601	ENSMGAP00000007025
ENSGALP00000027276	ENSMGAP00000016490
ENSGALP00000012035	ENSMGAP00000016759
ENSGALP00000002020	ENSMGAP00000002843
ENSGALP00000002670	ENSMGAP00000001636
ENSGALP00000026395	ENSMGAP00000012493
ENSGALP00000041715	ENSMGAP00000001307
ENSGALP00000022085	ENSMGAP00000008022
ENSGALP00000019805	ENSMGAP00000001122
ENSGALP00000004015	ENSMGAP00000005806
ENSGALP00000003277	ENSMGAP00000019273
ENSGALP00000024504	ENSMGAP00000004318
ENSGALP00000020417	ENSMGAP00000001399
ENSGALP00000010467	ENSMGAP00000002576
ENSGALP00000012899	ENSMGAP00000006260
ENSGALP00000003418	ENSMGAP00000009082
ENSGALP00000027569	ENSMGAP00000016016
ENSGALP00000010128	ENSMGAP00000007778
ENSGALP00000028782	ENSMGAP00000007957
ENSGALP00000024954	ENSMGAP00000011660
ENSGALP00000009213	ENSMGAP00000006137
ENSGALP00000001412	ENSMGAP00000001172
ENSGALP00000011399	ENSMGAP00000009622
ENSGALP00000023225	ENSMGAP00000013167
ENSGALP00000004917	ENSMGAP00000001400
ENSGALP00000027993	ENSMGAP00000005142
ENSGALP00000006155	ENSMGAP00000005153
ENSGALP00000014328	ENSMGAP00000006602
ENSGALP00000020282	ENSMGAP00000014594
ENSGALP00000043439	ENSMGAP00000004653
ENSGALP00000013850	ENSMGAP00000019564
ENSGALP00000015853	ENSMGAP00000010089
ENSGALP00000011677	ENSMGAP00000005637
ENSGALP00000027438	ENSMGAP00000018229
ENSGALP00000008268	ENSMGAP00000004778
ENSGALP00000014383	ENSMGAP00000009956
ENSGALP00000014935	ENSMGAP00000008512
ENSGALP00000002636	ENSMGAP00000001693
ENSGALP00000002368	ENSMGAP00000002678
ENSGALP00000002348	ENSMGAP00000002472
ENSGALP00000018159	ENSMGAP00000014016
ENSGALP00000015358	ENSMGAP00000009254
ENSGALP00000016156	ENSMGAP00000003338
ENSGALP00000013601	ENSMGAP00000017600
ENSGALP00000005982	ENSMGAP00000005669
ENSGALP00000005199	ENSMGAP00000003901
ENSGALP00000003428	ENSMGAP00000004412
ENSGALP00000011961	ENSMGAP00000009455
ENSGALP00000006999	ENSMGAP00000004420
ENSGALP00000005059	ENSMGAP00000003634
ENSGALP00000037170	ENSMGAP00000008741
ENSGALP00000014001	ENSMGAP00000007191
ENSGALP00000025245	ENSMGAP00000018965
ENSGALP00000039758	ENSMGAP00000001504
ENSGALP00000020138	ENSMGAP00000013258
ENSGALP00000039345	ENSMGAP00000002338
ENSGALP00000013914	ENSMGAP00000007288
ENSGALP00000030175	ENSMGAP00000013178
ENSGALP00000042161	ENSMGAP00000019100
ENSGALP00000039891	ENSMGAP00000000635
ENSGALP00000041744	ENSMGAP00000004610
ENSGALP00000019095	ENSMGAP00000012653
ENSGALP00000008440	ENSMGAP00000001832
ENSGALP00000035739	ENSMGAP00000016476
ENSGALP00000008879	ENSMGAP00000016918
ENSGALP00000008878	ENSMGAP00000016922
ENSGALP00000008881	ENSMGAP00000016912
ENSGALP00000033080	ENSMGAP00000016909
ENSGALP00000020807	ENSMGAP00000003350
ENSGALP00000026281	ENSMGAP00000014739
ENSGALP00000018518	ENSMGAP00000014119
ENSGALP00000034451	ENSMGAP00000001001
ENSGALP00000005887	ENSMGAP00000003033
ENSGALP00000013813	ENSMGAP00000008541
ENSGALP00000011451	ENSMGAP00000005794
ENSGALP00000026180	ENSMGAP00000014674
ENSGALP00000019952	ENSMGAP00000013101
ENSGALP00000015437	ENSMGAP00000012489
ENSGALP00000000205	ENSMGAP00000012949
ENSGALP00000041920	ENSMGAP00000016613
ENSGALP00000022533	ENSMGAP00000017446
ENSGALP00000032457	ENSMGAP00000011508
ENSGALP00000022193	ENSMGAP00000008285
ENSGALP00000007200	ENSMGAP00000016540
ENSGALP00000012655	ENSMGAP00000016502
ENSGALP00000001411	ENSMGAP00000000765
ENSGALP00000026600	ENSMGAP00000014890
ENSGALP00000002206	ENSMGAP00000002153
ENSGALP00000024834	ENSMGAP00000016778
ENSGALP00000022544	ENSMGAP00000013750
ENSGALP00000007799	ENSMGAP00000011675
ENSGALP00000001472	ENSMGAP00000001256
ENSGALP00000019027	ENSMGAP00000019194
ENSGALP00000002825	ENSMGAP00000003167
ENSGALP00000007323	ENSMGAP00000005164
ENSGALP00000021396	ENSMGAP00000016931
ENSGALP00000002349	ENSMGAP00000004711
ENSGALP00000015277	ENSMGAP00000009162
ENSGALP00000026127	ENSMGAP00000013545
ENSGALP00000003357	ENSMGAP00000003427
ENSGALP00000022545	ENSMGAP00000013749
ENSGALP00000026433	ENSMGAP00000015539
ENSGALP00000018767	ENSMGAP00000010191
ENSGALP00000026611	ENSMGAP00000015545
ENSGALP00000017341	ENSMGAP00000011972
ENSGALP00000022058	ENSMGAP00000011984
ENSGALP00000027791	ENSMGAP00000016564
ENSGALP00000014739	ENSMGAP00000008217
ENSGALP00000028027	ENSMGAP00000005117
ENSGALP00000007358	ENSMGAP00000003808
ENSGALP00000035504	ENSMGAP00000002286
ENSGALP00000026660	ENSMGAP00000015563
ENSGALP00000010935	ENSMGAP00000002012
ENSGALP00000024726	ENSMGAP00000015217
ENSGALP00000001381	ENSMGAP00000000216
ENSGALP00000027769	ENSMGAP00000016127
ENSGALP00000000002	ENSMGAP00000008139
ENSGALP00000017326	ENSMGAP00000006508
ENSGALP00000014069	ENSMGAP00000007929
ENSGALP00000006468	ENSMGAP00000003928
ENSGALP00000017216	ENSMGAP00000006078
ENSGALP00000043422	ENSMGAP00000003713
ENSGALP00000027758	ENSMGAP00000018575
ENSGALP00000004993	ENSMGAP00000003706
ENSGALP00000042047	ENSMGAP00000005641
ENSGALP00000018472	ENSMGAP00000012850
ENSGALP00000005227	ENSMGAP00000004782
ENSGALP00000035061	ENSMGAP00000001442
ENSGALP00000042643	ENSMGAP00000004252
ENSGALP00000014616	ENSMGAP00000006327
ENSGALP00000042937	ENSMGAP00000000624
ENSGALP00000018493	ENSMGAP00000011881
ENSGALP00000019662	ENSMGAP00000012510
ENSGALP00000016032	ENSMGAP00000010204
ENSGALP00000018546	ENSMGAP00000014128
ENSGALP00000035594	ENSMGAP00000016222
ENSGALP00000037592	ENSMGAP00000010931
ENSGALP00000000272	ENSMGAP00000000093
ENSGALP00000019045	ENSMGAP00000010590
ENSGALP00000026206	ENSMGAP00000015510
ENSGALP00000004298	ENSMGAP00000018685
ENSGALP00000018391	ENSMGAP00000011843
ENSGALP00000004459	ENSMGAP00000002415
ENSGALP00000019540	ENSMGAP00000011255
ENSGALP00000041810	ENSMGAP00000006510
ENSGALP00000039554	ENSMGAP00000006578
ENSGALP00000006521	ENSMGAP00000001982
ENSGALP00000015128	ENSMGAP00000008387
ENSGALP00000041244	ENSMGAP00000000625
ENSGALP00000018692	ENSMGAP00000012220
ENSGALP00000028721	ENSMGAP00000005685
ENSGALP00000042443	ENSMGAP00000006184
ENSGALP00000020972	ENSMGAP00000013994
ENSGALP00000025312	ENSMGAP00000013824
ENSGALP00000011997	ENSMGAP00000010385
ENSGALP00000001890	ENSMGAP00000002868
ENSGALP00000023218	ENSMGAP00000013155
ENSGALP00000041330	ENSMGAP00000009678
ENSGALP00000017852	ENSMGAP00000011197
ENSGALP00000043238	ENSMGAP00000003620
ENSGALP00000032046	ENSMGAP00000009660
ENSGALP00000021949	ENSMGAP00000004253
ENSGALP00000003498	ENSMGAP00000010772
ENSGALP00000001555	ENSMGAP00000001849
ENSGALP00000002418	ENSMGAP00000003133
ENSGALP00000009493	ENSMGAP00000008238
ENSGALP00000005409	ENSMGAP00000008109
ENSGALP00000041455	ENSMGAP00000010053
ENSGALP00000025753	ENSMGAP00000015389
ENSGALP00000006796	ENSMGAP00000005912
ENSGALP00000026914	ENSMGAP00000015100
ENSGALP00000018646	ENSMGAP00000009389
ENSGALP00000040798	ENSMGAP00000010752
ENSGALP00000016416	ENSMGAP00000010408
ENSGALP00000002536	ENSMGAP00000002490
ENSGALP00000022913	ENSMGAP00000012661
ENSGALP00000026980	ENSMGAP00000015652
ENSGALP00000036460	ENSMGAP00000014301
ENSGALP00000029836	ENSMGAP00000019398
ENSGALP00000000796	ENSMGAP00000000394
ENSGALP00000008844	ENSMGAP00000004057
ENSGALP00000008248	ENSMGAP00000005308
ENSGALP00000024352	ENSMGAP00000010760
ENSGALP00000000140	ENSMGAP00000005234
ENSGALP00000031301	ENSMGAP00000009972
ENSGALP00000016730	ENSMGAP00000013415
ENSGALP00000006852	ENSMGAP00000002486
ENSGALP00000041228	ENSMGAP00000006476
ENSGALP00000032624	ENSMGAP00000018764
ENSGALP00000016263	ENSMGAP00000017967
ENSGALP00000019237	ENSMGAP00000012465
ENSGALP00000021478	ENSMGAP00000008856
ENSGALP00000023177	ENSMGAP00000013100
ENSGALP00000004850	ENSMGAP00000004094
ENSGALP00000039752	ENSMGAP00000000982
ENSGALP00000043280	ENSMGAP00000010472
ENSGALP00000008402	ENSMGAP00000004784
ENSGALP00000021121	ENSMGAP00000013355
ENSGALP00000042551	ENSMGAP00000014269
ENSGALP00000036623	ENSMGAP00000016333
ENSGALP00000011778	ENSMGAP00000003114
ENSGALP00000025812	ENSMGAP00000018957
ENSGALP00000024830	ENSMGAP00000007702
ENSGALP00000040476	ENSMGAP00000000442
ENSGALP00000003709	ENSMGAP00000019656
ENSGALP00000032253	ENSMGAP00000004127
ENSGALP00000035860	ENSMGAP00000015493
ENSGALP00000020160	ENSMGAP00000012977
ENSGALP00000004601	ENSMGAP00000003886
ENSGALP00000026381	ENSMGAP00000013259
ENSGALP00000002514	ENSMGAP00000002770
ENSGALP00000017604	ENSMGAP00000012404
ENSGALP00000036411	ENSMGAP00000018043
ENSGALP00000016071	ENSMGAP00000014695
ENSGALP00000035420	ENSMGAP00000005360
ENSGALP00000015086	ENSMGAP00000012211
ENSGALP00000026759	ENSMGAP00000015592
ENSGALP00000002819	ENSMGAP00000002007
ENSGALP00000017336	ENSMGAP00000006581
ENSGALP00000009548	ENSMGAP00000010160
ENSGALP00000011212	ENSMGAP00000004463
ENSGALP00000026288	ENSMGAP00000019101
ENSGALP00000019655	ENSMGAP00000012779
ENSGALP00000028008	ENSMGAP00000016297
ENSGALP00000007612	ENSMGAP00000017660
ENSGALP00000001243	ENSMGAP00000019793
ENSGALP00000017976	ENSMGAP00000012581
ENSGALP00000016230	ENSMGAP00000013113
ENSGALP00000017295	ENSMGAP00000011705
ENSGALP00000007412	ENSMGAP00000004473
ENSGALP00000013937	ENSMGAP00000003508
ENSGALP00000004554	ENSMGAP00000004807
ENSGALP00000022772	ENSMGAP00000013791
ENSGALP00000021749	ENSMGAP00000000027
ENSGALP00000015840	ENSMGAP00000012876
ENSGALP00000016963	ENSMGAP00000017947
ENSGALP00000029511	ENSMGAP00000015915
ENSGALP00000006522	ENSMGAP00000001173
ENSGALP00000008871	ENSMGAP00000003920
ENSGALP00000022073	ENSMGAP00000004730
ENSGALP00000019452	ENSMGAP00000012294
ENSGALP00000012963	ENSMGAP00000009686
ENSGALP00000022081	ENSMGAP00000016376
ENSGALP00000001840	ENSMGAP00000002797
ENSGALP00000030970	ENSMGAP00000014813
ENSGALP00000033816	ENSMGAP00000005336
ENSGALP00000032574	ENSMGAP00000016276
ENSGALP00000003444	ENSMGAP00000001050
ENSGALP00000010661	ENSMGAP00000007747
ENSGALP00000024470	ENSMGAP00000011051
ENSGALP00000036004	ENSMGAP00000014901
ENSGALP00000022924	ENSMGAP00000014586
ENSGALP00000008717	ENSMGAP00000005554
ENSGALP00000022928	ENSMGAP00000014588
ENSGALP00000042301	ENSMGAP00000016935
ENSGALP00000018435	ENSMGAP00000019724
ENSGALP00000009525	ENSMGAP00000016396
ENSGALP00000015937	ENSMGAP00000002561
ENSGALP00000027746	ENSMGAP00000016112
ENSGALP00000031163	ENSMGAP00000013312
ENSGALP00000013785	ENSMGAP00000011616
ENSGALP00000004722	ENSMGAP00000003259
ENSGALP00000043464	ENSMGAP00000006656
ENSGALP00000011467	ENSMGAP00000008408
ENSGALP00000019982	ENSMGAP00000013078
ENSGALP00000008299	ENSMGAP00000005451
ENSGALP00000018206	ENSMGAP00000012813
ENSGALP00000005241	ENSMGAP00000002909
ENSGALP00000004475	ENSMGAP00000005035
ENSGALP00000038678	ENSMGAP00000002697
ENSGALP00000021693	ENSMGAP00000003461
ENSGALP00000007638	ENSMGAP00000007034
ENSGALP00000001024	ENSMGAP00000000506
ENSGALP00000036655	ENSMGAP00000013865
ENSGALP00000002437	ENSMGAP00000004858
ENSGALP00000015930	ENSMGAP00000010522
ENSGALP00000006357	ENSMGAP00000003080
ENSGALP00000043006	ENSMGAP00000013836
ENSGALP00000015342	ENSMGAP00000011907
ENSGALP00000005141	ENSMGAP00000001650
ENSGALP00000018771	ENSMGAP00000016328
ENSGALP00000011278	ENSMGAP00000003085
ENSGALP00000019199	ENSMGAP00000004352
ENSGALP00000006652	ENSMGAP00000005225
ENSGALP00000003011	ENSMGAP00000000492
ENSGALP00000021769	ENSMGAP00000000541
ENSGALP00000024554	ENSMGAP00000015186
ENSGALP00000015655	ENSMGAP00000012646
ENSGALP00000009676	ENSMGAP00000008509
ENSGALP00000026689	ENSMGAP00000019725
ENSGALP00000012620	ENSMGAP00000009544
ENSGALP00000042554	ENSMGAP00000009555
ENSGALP00000024129	ENSMGAP00000013382
ENSGALP00000004163	ENSMGAP00000004401
ENSGALP00000014240	ENSMGAP00000008088
ENSGALP00000041989	ENSMGAP00000019471
ENSGALP00000038228	ENSMGAP00000009424
ENSGALP00000035996	ENSMGAP00000015369
ENSGALP00000023211	ENSMGAP00000013135
ENSGALP00000042461	ENSMGAP00000002489
ENSGALP00000003712	ENSMGAP00000006156
ENSGALP00000015904	ENSMGAP00000012357
ENSGALP00000016895	ENSMGAP00000011351
ENSGALP00000042103	ENSMGAP00000013257
ENSGALP00000018368	ENSMGAP00000011780
ENSGALP00000043060	ENSMGAP00000004285
ENSGALP00000005614	ENSMGAP00000009661
ENSGALP00000017179	ENSMGAP00000019716
ENSGALP00000017578	ENSMGAP00000010528
ENSGALP00000017577	ENSMGAP00000010537
ENSGALP00000009048	ENSMGAP00000007163
ENSGALP00000018196	ENSMGAP00000008184
ENSGALP00000013968	ENSMGAP00000008787
ENSGALP00000025937	ENSMGAP00000013756
ENSGALP00000015374	ENSMGAP00000016877
ENSGALP00000038130	ENSMGAP00000011418
ENSGALP00000038618	ENSMGAP00000007108
ENSGALP00000024843	ENSMGAP00000011506
ENSGALP00000026563	ENSMGAP00000014868
ENSGALP00000042862	ENSMGAP00000008611
ENSGALP00000017702	ENSMGAP00000011037
ENSGALP00000027103	ENSMGAP00000015731
ENSGALP00000024809	ENSMGAP00000015252
ENSGALP00000016361	ENSMGAP00000004000
ENSGALP00000000894	ENSMGAP00000008120
ENSGALP00000026394	ENSMGAP00000013250
ENSGALP00000019457	ENSMGAP00000008202
ENSGALP00000023039	ENSMGAP00000010146
ENSGALP00000037005	ENSMGAP00000011209
ENSGALP00000042134	ENSMGAP00000002384
ENSGALP00000009341	ENSMGAP00000017684
ENSGALP00000035846	ENSMGAP00000015522
ENSGALP00000029937	ENSMGAP00000013507
ENSGALP00000008319	ENSMGAP00000001221
ENSGALP00000014205	ENSMGAP00000008028
ENSGALP00000024332	ENSMGAP00000001985
ENSGALP00000006280	ENSMGAP00000004758
ENSGALP00000025363	ENSMGAP00000012193
ENSGALP00000026776	ENSMGAP00000014974
ENSGALP00000042772	ENSMGAP00000009078
ENSGALP00000041476	ENSMGAP00000007754
ENSGALP00000003966	ENSMGAP00000000290
ENSGALP00000040567	ENSMGAP00000003868
ENSGALP00000006047	ENSMGAP00000002898
ENSGALP00000041215	ENSMGAP00000001000
ENSGALP00000021432	ENSMGAP00000006830
ENSGALP00000015369	ENSMGAP00000009275
ENSGALP00000040769	ENSMGAP00000013828
ENSGALP00000013176	ENSMGAP00000019559
ENSGALP00000021249	ENSMGAP00000006095
ENSGALP00000042346	ENSMGAP00000011411
ENSGALP00000022893	ENSMGAP00000004636
ENSGALP00000040337	ENSMGAP00000000295
ENSGALP00000022592	ENSMGAP00000013793
ENSGALP00000011332	ENSMGAP00000002635
ENSGALP00000025609	ENSMGAP00000012508
ENSGALP00000005234	ENSMGAP00000000248
ENSGALP00000004831	ENSMGAP00000001945
ENSGALP00000007671	ENSMGAP00000000851
ENSGALP00000039286	ENSMGAP00000002626
ENSGALP00000003747	ENSMGAP00000003729
ENSGALP00000034141	ENSMGAP00000006953
ENSGALP00000002307	ENSMGAP00000001249
ENSGALP00000010268	ENSMGAP00000003009
ENSGALP00000041437	ENSMGAP00000016238
ENSGALP00000001510	ENSMGAP00000001456
ENSGALP00000004056	ENSMGAP00000001474
ENSGALP00000039929	ENSMGAP00000009890
ENSGALP00000014637	ENSMGAP00000008691
ENSGALP00000039355	ENSMGAP00000004228
ENSGALP00000020651	ENSMGAP00000002087
ENSGALP00000015633	ENSMGAP00000018847
ENSGALP00000035506	ENSMGAP00000002519
ENSGALP00000039055	ENSMGAP00000008074
ENSGALP00000024919	ENSMGAP00000011635
ENSGALP00000037834	ENSMGAP00000007027
ENSGALP00000016889	ENSMGAP00000005405
ENSGALP00000040085	ENSMGAP00000004435
ENSGALP00000003131	ENSMGAP00000002004
ENSGALP00000023627	ENSMGAP00000015007
ENSGALP00000039032	ENSMGAP00000009512
ENSGALP00000041933	ENSMGAP00000018426
ENSGALP00000004480	ENSMGAP00000003264
ENSGALP00000007644	ENSMGAP00000004133
ENSGALP00000024722	ENSMGAP00000015215
ENSGALP00000014293	ENSMGAP00000011344
ENSGALP00000025152	ENSMGAP00000011989
ENSGALP00000026854	ENSMGAP00000015043
ENSGALP00000027915	ENSMGAP00000016256
