ENSTNIP00000004863	ENSGALP00000006197
ENSTNIP00000017319	ENSGALP00000008268
ENSTNIP00000006390	ENSGALP00000014383
ENSTNIP00000020869	ENSGALP00000016156
ENSTNIP00000011748	ENSGALP00000013598
ENSTNIP00000008739	ENSGALP00000013601
ENSTNIP00000018905	ENSGALP00000006999
ENSTNIP00000014639	ENSGALP00000005059
ENSTNIP00000007558	ENSGALP00000037170
ENSTNIP00000004053	ENSGALP00000020620
ENSTNIP00000005280	ENSGALP00000014001
ENSTNIP00000008753	ENSGALP00000039758
ENSTNIP00000003867	ENSGALP00000020138
ENSTNIP00000022513	ENSGALP00000020138
ENSTNIP00000012501	ENSGALP00000030175
ENSTNIP00000020981	ENSGALP00000042161
ENSTNIP00000012308	ENSGALP00000042161
ENSTNIP00000009416	ENSGALP00000041744
ENSTNIP00000018773	ENSGALP00000019095
ENSTNIP00000015709	ENSGALP00000008440
ENSTNIP00000018032	ENSGALP00000035739
ENSTNIP00000001586	ENSGALP00000008879
ENSTNIP00000019658	ENSGALP00000026281
ENSTNIP00000020389	ENSGALP00000018518
ENSTNIP00000017932	ENSGALP00000034451
ENSTNIP00000011915	ENSGALP00000005887
ENSTNIP00000018880	ENSGALP00000005887
ENSTNIP00000008243	ENSGALP00000013813
ENSTNIP00000011166	ENSGALP00000013813
ENSTNIP00000004424	ENSGALP00000011451
ENSTNIP00000002686	ENSGALP00000026180
ENSTNIP00000015907	ENSGALP00000019952
ENSTNIP00000018177	ENSGALP00000041920
ENSTNIP00000015657	ENSGALP00000022533
ENSTNIP00000022081	ENSGALP00000032457
ENSTNIP00000003875	ENSGALP00000022193
ENSTNIP00000022264	ENSGALP00000022193
ENSTNIP00000007390	ENSGALP00000007200
ENSTNIP00000011204	ENSGALP00000007200
ENSTNIP00000015428	ENSGALP00000012655
ENSTNIP00000019436	ENSGALP00000026600
ENSTNIP00000015203	ENSGALP00000026342
ENSTNIP00000015068	ENSGALP00000002206
ENSTNIP00000002065	ENSGALP00000040717
ENSTNIP00000005998	ENSGALP00000024834
ENSTNIP00000015670	ENSGALP00000007799
ENSTNIP00000020429	ENSGALP00000001472
ENSTNIP00000010537	ENSGALP00000002825
ENSTNIP00000000543	ENSGALP00000007323
ENSTNIP00000019149	ENSGALP00000015277
ENSTNIP00000005197	ENSGALP00000026127
ENSTNIP00000010347	ENSGALP00000018767
ENSTNIP00000018657	ENSGALP00000018767
ENSTNIP00000002445	ENSGALP00000026611
ENSTNIP00000022207	ENSGALP00000041323
ENSTNIP00000004635	ENSGALP00000017341
ENSTNIP00000009927	ENSGALP00000022058
ENSTNIP00000001829	ENSGALP00000027791
ENSTNIP00000011836	ENSGALP00000014739
ENSTNIP00000011758	ENSGALP00000028027
ENSTNIP00000013181	ENSGALP00000010935
ENSTNIP00000010607	ENSGALP00000010935
ENSTNIP00000011448	ENSGALP00000001381
ENSTNIP00000008995	ENSGALP00000027769
ENSTNIP00000011195	ENSGALP00000000002
ENSTNIP00000019883	ENSGALP00000020656
ENSTNIP00000021201	ENSGALP00000017216
ENSTNIP00000014641	ENSGALP00000004993
ENSTNIP00000010821	ENSGALP00000042047
ENSTNIP00000017551	ENSGALP00000018472
ENSTNIP00000014003	ENSGALP00000005227
ENSTNIP00000016430	ENSGALP00000035061
ENSTNIP00000016177	ENSGALP00000042643
ENSTNIP00000022373	ENSGALP00000014616
ENSTNIP00000011794	ENSGALP00000042723
ENSTNIP00000021365	ENSGALP00000042723
ENSTNIP00000005705	ENSGALP00000037124
ENSTNIP00000017519	ENSGALP00000042644
ENSTNIP00000019525	ENSGALP00000042644
ENSTNIP00000020430	ENSGALP00000019662
ENSTNIP00000007733	ENSGALP00000016032
ENSTNIP00000005137	ENSGALP00000018546
ENSTNIP00000019815	ENSGALP00000000272
ENSTNIP00000002616	ENSGALP00000019045
ENSTNIP00000013165	ENSGALP00000026206
ENSTNIP00000020991	ENSGALP00000026206
ENSTNIP00000010660	ENSGALP00000004298
ENSTNIP00000021650	ENSGALP00000018391
ENSTNIP00000015111	ENSGALP00000018391
ENSTNIP00000004702	ENSGALP00000004459
ENSTNIP00000014264	ENSGALP00000019540
ENSTNIP00000015331	ENSGALP00000019540
ENSTNIP00000013025	ENSGALP00000006521
ENSTNIP00000019565	ENSGALP00000018692
ENSTNIP00000010823	ENSGALP00000028721
ENSTNIP00000016740	ENSGALP00000042443
ENSTNIP00000011643	ENSGALP00000020972
ENSTNIP00000010200	ENSGALP00000025312
ENSTNIP00000006092	ENSGALP00000042650
ENSTNIP00000019616	ENSGALP00000011997
ENSTNIP00000015498	ENSGALP00000041330
ENSTNIP00000015724	ENSGALP00000043238
ENSTNIP00000010739	ENSGALP00000043238
ENSTNIP00000003245	ENSGALP00000021949
ENSTNIP00000011081	ENSGALP00000003498
ENSTNIP00000013065	ENSGALP00000001555
ENSTNIP00000009767	ENSGALP00000009493
ENSTNIP00000015799	ENSGALP00000041455
ENSTNIP00000016241	ENSGALP00000025753
ENSTNIP00000020412	ENSGALP00000006796
ENSTNIP00000015654	ENSGALP00000018646
ENSTNIP00000011080	ENSGALP00000040798
ENSTNIP00000011787	ENSGALP00000002536
ENSTNIP00000009612	ENSGALP00000022913
ENSTNIP00000007856	ENSGALP00000026980
ENSTNIP00000018741	ENSGALP00000029836
ENSTNIP00000010077	ENSGALP00000000796
ENSTNIP00000018296	ENSGALP00000008844
ENSTNIP00000017339	ENSGALP00000008844
ENSTNIP00000015582	ENSGALP00000008248
ENSTNIP00000002314	ENSGALP00000024352
ENSTNIP00000013432	ENSGALP00000007897
ENSTNIP00000018079	ENSGALP00000000140
ENSTNIP00000019474	ENSGALP00000031301
ENSTNIP00000020557	ENSGALP00000016730
ENSTNIP00000008257	ENSGALP00000006852
ENSTNIP00000011087	ENSGALP00000006852
ENSTNIP00000017472	ENSGALP00000041228
ENSTNIP00000012682	ENSGALP00000041228
ENSTNIP00000019738	ENSGALP00000032624
ENSTNIP00000005144	ENSGALP00000016263
ENSTNIP00000013779	ENSGALP00000019237
ENSTNIP00000009655	ENSGALP00000034599
ENSTNIP00000014194	ENSGALP00000034599
ENSTNIP00000022970	ENSGALP00000023177
ENSTNIP00000008400	ENSGALP00000023177
ENSTNIP00000017009	ENSGALP00000039752
ENSTNIP00000020053	ENSGALP00000043280
ENSTNIP00000015230	ENSGALP00000021121
ENSTNIP00000007452	ENSGALP00000042551
ENSTNIP00000007453	ENSGALP00000036623
ENSTNIP00000012899	ENSGALP00000040476
ENSTNIP00000001141	ENSGALP00000040476
ENSTNIP00000012763	ENSGALP00000003709
ENSTNIP00000005571	ENSGALP00000032253
ENSTNIP00000016913	ENSGALP00000035860
ENSTNIP00000022140	ENSGALP00000020160
ENSTNIP00000011154	ENSGALP00000004601
ENSTNIP00000022269	ENSGALP00000026381
ENSTNIP00000022800	ENSGALP00000037711
ENSTNIP00000013251	ENSGALP00000036411
ENSTNIP00000022471	ENSGALP00000015086
ENSTNIP00000006262	ENSGALP00000015086
ENSTNIP00000007565	ENSGALP00000026759
ENSTNIP00000010432	ENSGALP00000002819
ENSTNIP00000011820	ENSGALP00000011212
ENSTNIP00000012919	ENSGALP00000026288
ENSTNIP00000022104	ENSGALP00000028008
ENSTNIP00000001431	ENSGALP00000001243
ENSTNIP00000019769	ENSGALP00000017976
ENSTNIP00000005411	ENSGALP00000016230
ENSTNIP00000022547	ENSGALP00000004554
ENSTNIP00000005641	ENSGALP00000022772
ENSTNIP00000012017	ENSGALP00000021749
ENSTNIP00000019984	ENSGALP00000006522
ENSTNIP00000000553	ENSGALP00000022081
ENSTNIP00000009798	ENSGALP00000001840
ENSTNIP00000020454	ENSGALP00000030970
ENSTNIP00000005056	ENSGALP00000030970
ENSTNIP00000012200	ENSGALP00000033816
ENSTNIP00000016702	ENSGALP00000033816
ENSTNIP00000006018	ENSGALP00000003444
ENSTNIP00000006989	ENSGALP00000010661
ENSTNIP00000022490	ENSGALP00000036004
ENSTNIP00000019058	ENSGALP00000022924
ENSTNIP00000011709	ENSGALP00000008717
ENSTNIP00000019059	ENSGALP00000022928
ENSTNIP00000015822	ENSGALP00000042301
ENSTNIP00000021335	ENSGALP00000018435
ENSTNIP00000015942	ENSGALP00000009525
ENSTNIP00000005603	ENSGALP00000015937
ENSTNIP00000013759	ENSGALP00000019982
ENSTNIP00000008543	ENSGALP00000018206
ENSTNIP00000016503	ENSGALP00000005241
ENSTNIP00000006046	ENSGALP00000004475
ENSTNIP00000010353	ENSGALP00000041632
ENSTNIP00000018558	ENSGALP00000017133
ENSTNIP00000005749	ENSGALP00000001024
ENSTNIP00000013890	ENSGALP00000036655
ENSTNIP00000021445	ENSGALP00000002437
ENSTNIP00000019420	ENSGALP00000043006
ENSTNIP00000011014	ENSGALP00000030247
ENSTNIP00000016071	ENSGALP00000015342
ENSTNIP00000000933	ENSGALP00000005141
ENSTNIP00000015358	ENSGALP00000018771
ENSTNIP00000012202	ENSGALP00000006652
ENSTNIP00000016908	ENSGALP00000024554
ENSTNIP00000015176	ENSGALP00000015655
ENSTNIP00000016763	ENSGALP00000009676
ENSTNIP00000013158	ENSGALP00000026689
ENSTNIP00000014823	ENSGALP00000042554
ENSTNIP00000014042	ENSGALP00000024129
ENSTNIP00000011723	ENSGALP00000004163
ENSTNIP00000020318	ENSGALP00000004163
ENSTNIP00000021530	ENSGALP00000014240
ENSTNIP00000016873	ENSGALP00000041989
ENSTNIP00000014327	ENSGALP00000038228
ENSTNIP00000012838	ENSGALP00000035996
ENSTNIP00000015335	ENSGALP00000023211
ENSTNIP00000013280	ENSGALP00000015904
ENSTNIP00000014135	ENSGALP00000016895
ENSTNIP00000000034	ENSGALP00000018368
ENSTNIP00000005226	ENSGALP00000043060
ENSTNIP00000008333	ENSGALP00000017578
ENSTNIP00000011062	ENSGALP00000025937
ENSTNIP00000021803	ENSGALP00000025937
ENSTNIP00000005323	ENSGALP00000038618
ENSTNIP00000006186	ENSGALP00000026563
ENSTNIP00000017453	ENSGALP00000042862
ENSTNIP00000012321	ENSGALP00000027103
ENSTNIP00000012320	ENSGALP00000024809
ENSTNIP00000005962	ENSGALP00000016361
ENSTNIP00000009983	ENSGALP00000000894
ENSTNIP00000022267	ENSGALP00000026394
ENSTNIP00000020070	ENSGALP00000023039
ENSTNIP00000018606	ENSGALP00000008319
ENSTNIP00000021565	ENSGALP00000014205
ENSTNIP00000021037	ENSGALP00000043380
ENSTNIP00000020934	ENSGALP00000025363
ENSTNIP00000014046	ENSGALP00000041476
ENSTNIP00000008743	ENSGALP00000020536
ENSTNIP00000022451	ENSGALP00000003966
ENSTNIP00000002500	ENSGALP00000041215
ENSTNIP00000002982	ENSGALP00000021432
ENSTNIP00000003559	ENSGALP00000040769
ENSTNIP00000015792	ENSGALP00000022893
ENSTNIP00000001091	ENSGALP00000022592
ENSTNIP00000020946	ENSGALP00000025609
ENSTNIP00000005576	ENSGALP00000005234
ENSTNIP00000017874	ENSGALP00000004831
ENSTNIP00000007061	ENSGALP00000004831
ENSTNIP00000008234	ENSGALP00000007671
ENSTNIP00000022579	ENSGALP00000039286
ENSTNIP00000007169	ENSGALP00000039286
ENSTNIP00000019848	ENSGALP00000034141
ENSTNIP00000010544	ENSGALP00000010268
ENSTNIP00000003164	ENSGALP00000004056
ENSTNIP00000019329	ENSGALP00000035077
ENSTNIP00000004177	ENSGALP00000015633
ENSTNIP00000009465	ENSGALP00000024919
ENSTNIP00000014423	ENSGALP00000037834
ENSTNIP00000003705	ENSGALP00000016889
ENSTNIP00000008313	ENSGALP00000040085
ENSTNIP00000010871	ENSGALP00000023627
ENSTNIP00000000781	ENSGALP00000039032
ENSTNIP00000011837	ENSGALP00000004480
ENSTNIP00000011433	ENSGALP00000024722
ENSTNIP00000019264	ENSGALP00000024722
ENSTNIP00000017435	ENSGALP00000014293
ENSTNIP00000015266	ENSGALP00000026854
ENSTNIP00000003879	ENSGALP00000027915
ENSTNIP00000001665	ENSGALP00000041768
ENSTNIP00000012917	ENSGALP00000026457
ENSTNIP00000007208	ENSGALP00000026457
ENSTNIP00000009347	ENSGALP00000003263
ENSTNIP00000014973	ENSGALP00000003263
ENSTNIP00000008572	ENSGALP00000025413
ENSTNIP00000019863	ENSGALP00000003447
ENSTNIP00000004844	ENSGALP00000042954
ENSTNIP00000007647	ENSGALP00000038853
ENSTNIP00000014792	ENSGALP00000038853
ENSTNIP00000019153	ENSGALP00000015166
ENSTNIP00000009165	ENSGALP00000016723
ENSTNIP00000012002	ENSGALP00000016723
ENSTNIP00000013665	ENSGALP00000042015
ENSTNIP00000011084	ENSGALP00000006684
ENSTNIP00000009805	ENSGALP00000006684
ENSTNIP00000021192	ENSGALP00000041711
ENSTNIP00000011461	ENSGALP00000006037
ENSTNIP00000013623	ENSGALP00000031018
ENSTNIP00000017746	ENSGALP00000011217
ENSTNIP00000018827	ENSGALP00000007927
ENSTNIP00000005922	ENSGALP00000008290
ENSTNIP00000014642	ENSGALP00000004979
ENSTNIP00000018113	ENSGALP00000009605
ENSTNIP00000017625	ENSGALP00000009605
ENSTNIP00000020816	ENSGALP00000022788
ENSTNIP00000019354	ENSGALP00000027526
ENSTNIP00000012806	ENSGALP00000027526
ENSTNIP00000008354	ENSGALP00000040427
ENSTNIP00000011061	ENSGALP00000025936
ENSTNIP00000012666	ENSGALP00000037676
ENSTNIP00000015845	ENSGALP00000037676
ENSTNIP00000015421	ENSGALP00000040875
ENSTNIP00000015113	ENSGALP00000018379
ENSTNIP00000015834	ENSGALP00000004532
ENSTNIP00000008507	ENSGALP00000038829
ENSTNIP00000008883	ENSGALP00000014459
ENSTNIP00000012972	ENSGALP00000043100
ENSTNIP00000012802	ENSGALP00000041581
ENSTNIP00000015943	ENSGALP00000009556
ENSTNIP00000019997	ENSGALP00000025582
ENSTNIP00000005445	ENSGALP00000024586
ENSTNIP00000000805	ENSGALP00000042142
ENSTNIP00000010463	ENSGALP00000001366
ENSTNIP00000018253	ENSGALP00000020879
ENSTNIP00000017713	ENSGALP00000008498
ENSTNIP00000011977	ENSGALP00000041609
ENSTNIP00000014910	ENSGALP00000005497
ENSTNIP00000019849	ENSGALP00000001249
ENSTNIP00000014570	ENSGALP00000004710
ENSTNIP00000012106	ENSGALP00000006084
ENSTNIP00000012602	ENSGALP00000026511
ENSTNIP00000021094	ENSGALP00000008419
ENSTNIP00000017714	ENSGALP00000008419
ENSTNIP00000012526	ENSGALP00000019363
ENSTNIP00000012224	ENSGALP00000021566
ENSTNIP00000021336	ENSGALP00000018434
ENSTNIP00000008616	ENSGALP00000004327
ENSTNIP00000016508	ENSGALP00000006973
ENSTNIP00000020130	ENSGALP00000022452
ENSTNIP00000002967	ENSGALP00000022453
ENSTNIP00000022461	ENSGALP00000014793
ENSTNIP00000011512	ENSGALP00000003899
ENSTNIP00000014805	ENSGALP00000003899
ENSTNIP00000016496	ENSGALP00000024750
ENSTNIP00000011677	ENSGALP00000004113
ENSTNIP00000010534	ENSGALP00000004113
ENSTNIP00000009812	ENSGALP00000001464
ENSTNIP00000004511	ENSGALP00000019007
ENSTNIP00000004520	ENSGALP00000019543
ENSTNIP00000013193	ENSGALP00000029389
ENSTNIP00000009999	ENSGALP00000023120
ENSTNIP00000021617	ENSGALP00000036276
ENSTNIP00000012098	ENSGALP00000036276
ENSTNIP00000022144	ENSGALP00000041901
ENSTNIP00000006784	ENSGALP00000010969
ENSTNIP00000021887	ENSGALP00000010969
ENSTNIP00000009481	ENSGALP00000033490
ENSTNIP00000013287	ENSGALP00000021782
ENSTNIP00000004163	ENSGALP00000031763
ENSTNIP00000007559	ENSGALP00000018480
ENSTNIP00000019082	ENSGALP00000015455
ENSTNIP00000021685	ENSGALP00000015455
ENSTNIP00000022028	ENSGALP00000020042
ENSTNIP00000000446	ENSGALP00000008211
ENSTNIP00000004874	ENSGALP00000008211
ENSTNIP00000007815	ENSGALP00000024358
ENSTNIP00000006928	ENSGALP00000028055
ENSTNIP00000015032	ENSGALP00000010942
ENSTNIP00000006697	ENSGALP00000024210
ENSTNIP00000019897	ENSGALP00000012547
ENSTNIP00000017948	ENSGALP00000002007
ENSTNIP00000021757	ENSGALP00000012332
ENSTNIP00000019045	ENSGALP00000003974
ENSTNIP00000015293	ENSGALP00000018342
ENSTNIP00000009450	ENSGALP00000001845
ENSTNIP00000020759	ENSGALP00000002196
ENSTNIP00000002290	ENSGALP00000025639
ENSTNIP00000004943	ENSGALP00000006574
ENSTNIP00000014286	ENSGALP00000005453
ENSTNIP00000009398	ENSGALP00000005453
ENSTNIP00000011834	ENSGALP00000007113
ENSTNIP00000000833	ENSGALP00000001190
ENSTNIP00000003178	ENSGALP00000032932
ENSTNIP00000012196	ENSGALP00000033782
ENSTNIP00000008115	ENSGALP00000042472
ENSTNIP00000005202	ENSGALP00000031379
ENSTNIP00000022400	ENSGALP00000010650
ENSTNIP00000015643	ENSGALP00000010650
ENSTNIP00000009018	ENSGALP00000007498
ENSTNIP00000007405	ENSGALP00000042829
ENSTNIP00000012289	ENSGALP00000038432
ENSTNIP00000017672	ENSGALP00000043020
ENSTNIP00000003848	ENSGALP00000036494
ENSTNIP00000019713	ENSGALP00000013443
ENSTNIP00000016859	ENSGALP00000025278
ENSTNIP00000019007	ENSGALP00000007680
ENSTNIP00000015261	ENSGALP00000017444
ENSTNIP00000013537	ENSGALP00000019678
ENSTNIP00000009169	ENSGALP00000012194
ENSTNIP00000001868	ENSGALP00000013593
ENSTNIP00000007111	ENSGALP00000025328
ENSTNIP00000014355	ENSGALP00000042002
ENSTNIP00000015848	ENSGALP00000003914
ENSTNIP00000021143	ENSGALP00000003914
ENSTNIP00000014785	ENSGALP00000006366
ENSTNIP00000018986	ENSGALP00000012503
ENSTNIP00000008028	ENSGALP00000001456
ENSTNIP00000020510	ENSGALP00000014944
ENSTNIP00000007459	ENSGALP00000014944
ENSTNIP00000016377	ENSGALP00000016098
ENSTNIP00000017479	ENSGALP00000016098
ENSTNIP00000014038	ENSGALP00000042526
ENSTNIP00000010060	ENSGALP00000021030
ENSTNIP00000015039	ENSGALP00000039539
ENSTNIP00000012576	ENSGALP00000018146
ENSTNIP00000013320	ENSGALP00000014492
ENSTNIP00000018934	ENSGALP00000015506
ENSTNIP00000022600	ENSGALP00000009207
ENSTNIP00000002814	ENSGALP00000009207
ENSTNIP00000008038	ENSGALP00000024202
ENSTNIP00000001585	ENSGALP00000042771
ENSTNIP00000008472	ENSGALP00000009956
ENSTNIP00000013433	ENSGALP00000007884
ENSTNIP00000015073	ENSGALP00000008592
ENSTNIP00000008631	ENSGALP00000009829
ENSTNIP00000018290	ENSGALP00000012455
ENSTNIP00000016635	ENSGALP00000012455
ENSTNIP00000005470	ENSGALP00000014651
ENSTNIP00000013603	ENSGALP00000023475
ENSTNIP00000006951	ENSGALP00000024389
ENSTNIP00000007908	ENSGALP00000024389
ENSTNIP00000002053	ENSGALP00000013991
ENSTNIP00000003355	ENSGALP00000041043
ENSTNIP00000022288	ENSGALP00000019402
ENSTNIP00000014312	ENSGALP00000042166
ENSTNIP00000020819	ENSGALP00000022807
ENSTNIP00000011819	ENSGALP00000040953
ENSTNIP00000007933	ENSGALP00000000309
ENSTNIP00000016323	ENSGALP00000017040
ENSTNIP00000012857	ENSGALP00000025633
ENSTNIP00000013883	ENSGALP00000003577
ENSTNIP00000014509	ENSGALP00000040713
ENSTNIP00000008505	ENSGALP00000011699
ENSTNIP00000018205	ENSGALP00000003960
ENSTNIP00000020754	ENSGALP00000020568
ENSTNIP00000016617	ENSGALP00000020568
ENSTNIP00000000872	ENSGALP00000041684
ENSTNIP00000002254	ENSGALP00000041684
ENSTNIP00000022552	ENSGALP00000028292
ENSTNIP00000022243	ENSGALP00000042500
ENSTNIP00000005685	ENSGALP00000022844
ENSTNIP00000005395	ENSGALP00000019783
ENSTNIP00000007397	ENSGALP00000016774
ENSTNIP00000011467	ENSGALP00000016774
ENSTNIP00000005113	ENSGALP00000032433
ENSTNIP00000003241	ENSGALP00000002822
ENSTNIP00000021598	ENSGALP00000043234
ENSTNIP00000002935	ENSGALP00000043234
ENSTNIP00000020621	ENSGALP00000006041
ENSTNIP00000017040	ENSGALP00000006041
ENSTNIP00000005004	ENSGALP00000026524
ENSTNIP00000018409	ENSGALP00000042683
ENSTNIP00000007185	ENSGALP00000042683
ENSTNIP00000020570	ENSGALP00000016615
ENSTNIP00000016032	ENSGALP00000023016
ENSTNIP00000021835	ENSGALP00000023016
ENSTNIP00000012304	ENSGALP00000027304
ENSTNIP00000014348	ENSGALP00000027893
ENSTNIP00000005000	ENSGALP00000039164
ENSTNIP00000011199	ENSGALP00000003885
ENSTNIP00000009522	ENSGALP00000017672
ENSTNIP00000013932	ENSGALP00000024159
ENSTNIP00000021386	ENSGALP00000041037
ENSTNIP00000004574	ENSGALP00000040818
ENSTNIP00000010807	ENSGALP00000010636
ENSTNIP00000010106	ENSGALP00000007220
ENSTNIP00000015574	ENSGALP00000007220
ENSTNIP00000011696	ENSGALP00000000716
ENSTNIP00000002085	ENSGALP00000022437
ENSTNIP00000022506	ENSGALP00000020039
ENSTNIP00000008314	ENSGALP00000005187
ENSTNIP00000012195	ENSGALP00000006826
ENSTNIP00000021503	ENSGALP00000001352
ENSTNIP00000020709	ENSGALP00000001352
ENSTNIP00000009119	ENSGALP00000018557
ENSTNIP00000015933	ENSGALP00000006604
ENSTNIP00000020978	ENSGALP00000035402
ENSTNIP00000012405	ENSGALP00000000549
ENSTNIP00000006391	ENSGALP00000014367
ENSTNIP00000022621	ENSGALP00000015801
ENSTNIP00000016336	ENSGALP00000015801
ENSTNIP00000016732	ENSGALP00000022963
ENSTNIP00000016739	ENSGALP00000009219
ENSTNIP00000012236	ENSGALP00000009219
ENSTNIP00000018166	ENSGALP00000004108
ENSTNIP00000009533	ENSGALP00000025808
ENSTNIP00000014262	ENSGALP00000019532
ENSTNIP00000017909	ENSGALP00000028374
ENSTNIP00000022785	ENSGALP00000006600
ENSTNIP00000015215	ENSGALP00000020141
ENSTNIP00000009756	ENSGALP00000042738
ENSTNIP00000008605	ENSGALP00000042738
ENSTNIP00000000538	ENSGALP00000006158
ENSTNIP00000012103	ENSGALP00000006158
ENSTNIP00000006185	ENSGALP00000026564
ENSTNIP00000022985	ENSGALP00000032354
ENSTNIP00000010689	ENSGALP00000032354
ENSTNIP00000005293	ENSGALP00000014374
ENSTNIP00000012727	ENSGALP00000014374
ENSTNIP00000002124	ENSGALP00000013910
ENSTNIP00000007320	ENSGALP00000010925
ENSTNIP00000012764	ENSGALP00000035959
ENSTNIP00000005010	ENSGALP00000026183
ENSTNIP00000019507	ENSGALP00000025411
ENSTNIP00000001026	ENSGALP00000031600
ENSTNIP00000011979	ENSGALP00000022289
ENSTNIP00000006539	ENSGALP00000022289
ENSTNIP00000019829	ENSGALP00000008118
ENSTNIP00000009998	ENSGALP00000023121
ENSTNIP00000019665	ENSGALP00000010397
ENSTNIP00000018710	ENSGALP00000020562
ENSTNIP00000003619	ENSGALP00000015735
ENSTNIP00000009985	ENSGALP00000019653
ENSTNIP00000002229	ENSGALP00000020457
ENSTNIP00000001225	ENSGALP00000038356
ENSTNIP00000014551	ENSGALP00000038356
ENSTNIP00000000577	ENSGALP00000025667
ENSTNIP00000015488	ENSGALP00000029073
ENSTNIP00000020642	ENSGALP00000025131
ENSTNIP00000018064	ENSGALP00000025131
ENSTNIP00000010081	ENSGALP00000000906
ENSTNIP00000010019	ENSGALP00000036541
ENSTNIP00000013378	ENSGALP00000014900
ENSTNIP00000010110	ENSGALP00000002312
ENSTNIP00000018006	ENSGALP00000002312
ENSTNIP00000011046	ENSGALP00000025846
ENSTNIP00000005213	ENSGALP00000019576
ENSTNIP00000017456	ENSGALP00000042931
ENSTNIP00000020241	ENSGALP00000012736
ENSTNIP00000009279	ENSGALP00000009946
ENSTNIP00000005483	ENSGALP00000009946
ENSTNIP00000006556	ENSGALP00000013649
ENSTNIP00000013302	ENSGALP00000013649
ENSTNIP00000019748	ENSGALP00000014693
ENSTNIP00000004759	ENSGALP00000006394
ENSTNIP00000021152	ENSGALP00000006394
ENSTNIP00000009513	ENSGALP00000011491
ENSTNIP00000009676	ENSGALP00000025531
ENSTNIP00000022950	ENSGALP00000005783
ENSTNIP00000019221	ENSGALP00000005783
ENSTNIP00000007776	ENSGALP00000013413
ENSTNIP00000016727	ENSGALP00000011585
ENSTNIP00000019760	ENSGALP00000017886
ENSTNIP00000007596	ENSGALP00000026303
ENSTNIP00000018054	ENSGALP00000036118
ENSTNIP00000022456	ENSGALP00000020850
ENSTNIP00000006043	ENSGALP00000020850
ENSTNIP00000016815	ENSGALP00000019590
ENSTNIP00000022338	ENSGALP00000018482
ENSTNIP00000014225	ENSGALP00000010488
ENSTNIP00000014793	ENSGALP00000001751
ENSTNIP00000013334	ENSGALP00000001751
ENSTNIP00000007237	ENSGALP00000006218
ENSTNIP00000020801	ENSGALP00000022336
ENSTNIP00000020371	ENSGALP00000015991
ENSTNIP00000015838	ENSGALP00000006690
ENSTNIP00000008719	ENSGALP00000006690
ENSTNIP00000019346	ENSGALP00000027982
ENSTNIP00000014206	ENSGALP00000039598
ENSTNIP00000021522	ENSGALP00000030590
ENSTNIP00000015444	ENSGALP00000009982
ENSTNIP00000009204	ENSGALP00000038884
ENSTNIP00000011370	ENSGALP00000038884
ENSTNIP00000016276	ENSGALP00000013788
ENSTNIP00000016154	ENSGALP00000018295
ENSTNIP00000009737	ENSGALP00000018295
ENSTNIP00000019780	ENSGALP00000020585
ENSTNIP00000015758	ENSGALP00000037894
ENSTNIP00000018339	ENSGALP00000008346
ENSTNIP00000017324	ENSGALP00000008346
ENSTNIP00000007546	ENSGALP00000011549
ENSTNIP00000012091	ENSGALP00000022328
ENSTNIP00000012090	ENSGALP00000006529
ENSTNIP00000012092	ENSGALP00000006529
ENSTNIP00000019114	ENSGALP00000020744
ENSTNIP00000009830	ENSGALP00000012445
ENSTNIP00000014783	ENSGALP00000038731
ENSTNIP00000008454	ENSGALP00000043401
ENSTNIP00000007236	ENSGALP00000006259
ENSTNIP00000016742	ENSGALP00000009552
ENSTNIP00000007412	ENSGALP00000013410
ENSTNIP00000007146	ENSGALP00000016414
ENSTNIP00000009912	ENSGALP00000016414
ENSTNIP00000021559	ENSGALP00000038278
ENSTNIP00000005868	ENSGALP00000042855
ENSTNIP00000012399	ENSGALP00000007834
ENSTNIP00000018601	ENSGALP00000000509
ENSTNIP00000023027	ENSGALP00000036514
ENSTNIP00000007523	ENSGALP00000012348
ENSTNIP00000006607	ENSGALP00000012348
ENSTNIP00000006907	ENSGALP00000003137
ENSTNIP00000003155	ENSGALP00000003137
ENSTNIP00000015965	ENSGALP00000018823
ENSTNIP00000022443	ENSGALP00000013442
ENSTNIP00000016530	ENSGALP00000025075
ENSTNIP00000010159	ENSGALP00000012646
ENSTNIP00000011566	ENSGALP00000011983
ENSTNIP00000010964	ENSGALP00000012748
ENSTNIP00000010738	ENSGALP00000009699
ENSTNIP00000015726	ENSGALP00000009699
ENSTNIP00000010714	ENSGALP00000015596
ENSTNIP00000020049	ENSGALP00000015596
ENSTNIP00000005295	ENSGALP00000041366
ENSTNIP00000021172	ENSGALP00000008744
ENSTNIP00000014205	ENSGALP00000029968
ENSTNIP00000014025	ENSGALP00000012069
ENSTNIP00000013420	ENSGALP00000000170
ENSTNIP00000018890	ENSGALP00000014375
ENSTNIP00000008920	ENSGALP00000042251
ENSTNIP00000015270	ENSGALP00000040862
ENSTNIP00000012690	ENSGALP00000000528
ENSTNIP00000008017	ENSGALP00000000528
ENSTNIP00000001358	ENSGALP00000014621
ENSTNIP00000005562	ENSGALP00000042469
ENSTNIP00000011006	ENSGALP00000030243
ENSTNIP00000007126	ENSGALP00000027401
