ENSMODP00000016222	ENSCAFP00000014731
ENSMODP00000021849	ENSCAFP00000000305
ENSMODP00000005066	ENSCAFP00000032037
ENSMODP00000039503	ENSCAFP00000020283
ENSMODP00000035382	ENSCAFP00000036030
ENSMODP00000013770	ENSCAFP00000000237
ENSMODP00000002547	ENSCAFP00000008287
ENSMODP00000007208	ENSCAFP00000028152
ENSMODP00000007632	ENSCAFP00000007434
ENSMODP00000019745	ENSCAFP00000005060
ENSMODP00000005749	ENSCAFP00000008308
ENSMODP00000019494	ENSCAFP00000039695
ENSMODP00000035126	ENSCAFP00000016162
ENSMODP00000023382	ENSCAFP00000016789
ENSMODP00000011937	ENSCAFP00000037526
ENSMODP00000023649	ENSCAFP00000018306
ENSMODP00000000328	ENSCAFP00000021870
ENSMODP00000039408	ENSCAFP00000029644
ENSMODP00000001926	ENSCAFP00000002620
ENSMODP00000024807	ENSCAFP00000013814
ENSMODP00000001225	ENSCAFP00000027404
ENSMODP00000002135	ENSCAFP00000012039
ENSMODP00000019585	ENSCAFP00000025167
ENSMODP00000021741	ENSCAFP00000000380
ENSMODP00000026347	ENSCAFP00000041269
ENSMODP00000026346	ENSCAFP00000041648
ENSMODP00000020321	ENSCAFP00000021457
ENSMODP00000039297	ENSCAFP00000036631
ENSMODP00000038904	ENSCAFP00000024921
ENSMODP00000012579	ENSCAFP00000014125
ENSMODP00000023619	ENSCAFP00000038197
ENSMODP00000038304	ENSCAFP00000010221
ENSMODP00000003794	ENSCAFP00000008225
ENSMODP00000033223	ENSCAFP00000005968
ENSMODP00000003157	ENSCAFP00000030025
ENSMODP00000008393	ENSCAFP00000012211
ENSMODP00000005230	ENSCAFP00000017107
ENSMODP00000009029	ENSCAFP00000007064
ENSMODP00000001300	ENSCAFP00000002156
ENSMODP00000008368	ENSCAFP00000031044
ENSMODP00000009421	ENSCAFP00000000946
ENSMODP00000010627	ENSCAFP00000025939
ENSMODP00000011986	ENSCAFP00000026270
ENSMODP00000002576	ENSCAFP00000004380
ENSMODP00000008240	ENSCAFP00000029202
ENSMODP00000024362	ENSCAFP00000010304
ENSMODP00000016539	ENSCAFP00000013854
ENSMODP00000002164	ENSCAFP00000011566
ENSMODP00000001721	ENSCAFP00000015442
ENSMODP00000026291	ENSCAFP00000015379
ENSMODP00000014890	ENSCAFP00000015510
ENSMODP00000004867	ENSCAFP00000038623
ENSMODP00000008673	ENSCAFP00000029584
ENSMODP00000005945	ENSCAFP00000036321
ENSMODP00000000301	ENSCAFP00000013678
ENSMODP00000010528	ENSCAFP00000009247
ENSMODP00000032191	ENSCAFP00000008859
ENSMODP00000009501	ENSCAFP00000022404
ENSMODP00000003910	ENSCAFP00000004720
ENSMODP00000010268	ENSCAFP00000042927
ENSMODP00000002815	ENSCAFP00000007086
ENSMODP00000012726	ENSCAFP00000027128
ENSMODP00000017551	ENSCAFP00000012718
ENSMODP00000001455	ENSCAFP00000012356
ENSMODP00000015519	ENSCAFP00000016471
ENSMODP00000025939	ENSCAFP00000004107
ENSMODP00000029725	ENSCAFP00000015214
ENSMODP00000007595	ENSCAFP00000030219
ENSMODP00000000448	ENSCAFP00000012808
ENSMODP00000016476	ENSCAFP00000014197
ENSMODP00000013976	ENSCAFP00000006618
ENSMODP00000008892	ENSCAFP00000008035
ENSMODP00000007535	ENSCAFP00000023715
ENSMODP00000004307	ENSCAFP00000023918
ENSMODP00000005078	ENSCAFP00000029438
ENSMODP00000017356	ENSCAFP00000010457
ENSMODP00000014301	ENSCAFP00000009322
ENSMODP00000004279	ENSCAFP00000029643
ENSMODP00000022632	ENSCAFP00000021434
ENSMODP00000017986	ENSCAFP00000041457
ENSMODP00000037302	ENSCAFP00000014280
ENSMODP00000016550	ENSCAFP00000017804
ENSMODP00000002057	ENSCAFP00000011771
ENSMODP00000022190	ENSCAFP00000041079
ENSMODP00000023903	ENSCAFP00000022440
ENSMODP00000016112	ENSCAFP00000019424
ENSMODP00000011712	ENSCAFP00000007947
ENSMODP00000006821	ENSCAFP00000025284
ENSMODP00000007341	ENSCAFP00000023813
ENSMODP00000023634	ENSCAFP00000002849
ENSMODP00000008755	ENSCAFP00000038683
ENSMODP00000021714	ENSCAFP00000000386
ENSMODP00000000802	ENSCAFP00000011500
ENSMODP00000023352	ENSCAFP00000002039
ENSMODP00000011249	ENSCAFP00000024250
ENSMODP00000011702	ENSCAFP00000010363
ENSMODP00000005316	ENSCAFP00000015946
ENSMODP00000004548	ENSCAFP00000025521
ENSMODP00000006431	ENSCAFP00000008314
ENSMODP00000027542	ENSCAFP00000032890
ENSMODP00000021395	ENSCAFP00000018805
ENSMODP00000008261	ENSCAFP00000021097
ENSMODP00000017293	ENSCAFP00000010522
ENSMODP00000022804	ENSCAFP00000017270
ENSMODP00000040099	ENSCAFP00000028888
ENSMODP00000025661	ENSCAFP00000028628
ENSMODP00000015049	ENSCAFP00000012271
ENSMODP00000011683	ENSCAFP00000017349
ENSMODP00000000136	ENSCAFP00000014052
ENSMODP00000009833	ENSCAFP00000007593
ENSMODP00000013828	ENSCAFP00000039945
ENSMODP00000000410	ENSCAFP00000016094
ENSMODP00000022549	ENSCAFP00000015248
ENSMODP00000025381	ENSCAFP00000027436
ENSMODP00000031211	ENSCAFP00000028796
ENSMODP00000022552	ENSCAFP00000031095
ENSMODP00000022480	ENSCAFP00000005506
ENSMODP00000000623	ENSCAFP00000011429
ENSMODP00000005965	ENSCAFP00000028654
ENSMODP00000000937	ENSCAFP00000036046
ENSMODP00000001469	ENSCAFP00000003178
ENSMODP00000035585	ENSCAFP00000018620
ENSMODP00000012855	ENSCAFP00000019703
ENSMODP00000004249	ENSCAFP00000017612
ENSMODP00000020356	ENSCAFP00000018360
ENSMODP00000003924	ENSCAFP00000040776
ENSMODP00000037223	ENSCAFP00000021115
ENSMODP00000023811	ENSCAFP00000002114
ENSMODP00000019379	ENSCAFP00000025517
ENSMODP00000015068	ENSCAFP00000011755
ENSMODP00000040581	ENSCAFP00000030943
ENSMODP00000023432	ENSCAFP00000003367
ENSMODP00000000708	ENSCAFP00000002164
ENSMODP00000003046	ENSCAFP00000009895
ENSMODP00000013666	ENSCAFP00000040084
ENSMODP00000003297	ENSCAFP00000001757
ENSMODP00000005883	ENSCAFP00000029839
ENSMODP00000004209	ENSCAFP00000029636
ENSMODP00000019311	ENSCAFP00000008605
ENSMODP00000022689	ENSCAFP00000016160
ENSMODP00000009014	ENSCAFP00000024579
ENSMODP00000018831	ENSCAFP00000020585
ENSMODP00000010999	ENSCAFP00000026656
ENSMODP00000024289	ENSCAFP00000027162
ENSMODP00000014361	ENSCAFP00000013977
ENSMODP00000021901	ENSCAFP00000018565
ENSMODP00000024261	ENSCAFP00000010821
ENSMODP00000026362	ENSCAFP00000015781
ENSMODP00000025903	ENSCAFP00000015483
ENSMODP00000003590	ENSCAFP00000037628
ENSMODP00000037274	ENSCAFP00000038890
ENSMODP00000035224	ENSCAFP00000015285
ENSMODP00000036763	ENSCAFP00000009098
ENSMODP00000014386	ENSCAFP00000026634
ENSMODP00000021896	ENSCAFP00000000263
ENSMODP00000016277	ENSCAFP00000029281
ENSMODP00000024593	ENSCAFP00000039968
ENSMODP00000012015	ENSCAFP00000019775
ENSMODP00000031535	ENSCAFP00000010004
ENSMODP00000026268	ENSCAFP00000012583
ENSMODP00000014292	ENSCAFP00000020432
ENSMODP00000019360	ENSCAFP00000033862
ENSMODP00000011856	ENSCAFP00000009251
ENSMODP00000000810	ENSCAFP00000003697
ENSMODP00000010718	ENSCAFP00000022940
ENSMODP00000005938	ENSCAFP00000016718
ENSMODP00000024110	ENSCAFP00000027819
ENSMODP00000027725	ENSCAFP00000025014
ENSMODP00000032514	ENSCAFP00000018718
ENSMODP00000018198	ENSCAFP00000015650
ENSMODP00000018796	ENSCAFP00000040503
ENSMODP00000003004	ENSCAFP00000013148
ENSMODP00000037026	ENSCAFP00000021263
ENSMODP00000014822	ENSCAFP00000015268
ENSMODP00000000717	ENSCAFP00000028310
ENSMODP00000014686	ENSCAFP00000015388
ENSMODP00000007235	ENSCAFP00000038578
ENSMODP00000020428	ENSCAFP00000016989
ENSMODP00000018316	ENSCAFP00000023416
ENSMODP00000018999	ENSCAFP00000018072
ENSMODP00000013909	ENSCAFP00000007828
ENSMODP00000016150	ENSCAFP00000019700
ENSMODP00000018836	ENSCAFP00000041250
ENSMODP00000003057	ENSCAFP00000017575
ENSMODP00000001583	ENSCAFP00000020134
ENSMODP00000007245	ENSCAFP00000009924
ENSMODP00000020592	ENSCAFP00000029045
ENSMODP00000029853	ENSCAFP00000004375
ENSMODP00000018200	ENSCAFP00000008880
ENSMODP00000014920	ENSCAFP00000015065
ENSMODP00000031808	ENSCAFP00000023775
ENSMODP00000007343	ENSCAFP00000038748
ENSMODP00000008182	ENSCAFP00000029186
ENSMODP00000010973	ENSCAFP00000026682
ENSMODP00000023332	ENSCAFP00000016192
ENSMODP00000000470	ENSCAFP00000011181
ENSMODP00000016503	ENSCAFP00000027555
ENSMODP00000013742	ENSCAFP00000026814
ENSMODP00000013843	ENSCAFP00000026885
ENSMODP00000001945	ENSCAFP00000007862
ENSMODP00000038091	ENSCAFP00000005905
ENSMODP00000031529	ENSCAFP00000009370
ENSMODP00000008086	ENSCAFP00000029180
ENSMODP00000025350	ENSCAFP00000027304
ENSMODP00000012346	ENSCAFP00000026276
ENSMODP00000009468	ENSCAFP00000013256
ENSMODP00000028132	ENSCAFP00000032856
ENSMODP00000014909	ENSCAFP00000015524
ENSMODP00000017212	ENSCAFP00000005719
ENSMODP00000011901	ENSCAFP00000015157
ENSMODP00000005917	ENSCAFP00000014272
ENSMODP00000016878	ENSCAFP00000008265
ENSMODP00000000486	ENSCAFP00000037474
ENSMODP00000012674	ENSCAFP00000024272
ENSMODP00000018275	ENSCAFP00000042429
ENSMODP00000040672	ENSCAFP00000038487
ENSMODP00000018273	ENSCAFP00000027238
ENSMODP00000007356	ENSCAFP00000030200
ENSMODP00000008291	ENSCAFP00000008175
ENSMODP00000000841	ENSCAFP00000016005
ENSMODP00000000209	ENSCAFP00000006142
ENSMODP00000023079	ENSCAFP00000010017
ENSMODP00000006275	ENSCAFP00000026921
ENSMODP00000028555	ENSCAFP00000008018
ENSMODP00000010254	ENSCAFP00000039259
ENSMODP00000021020	ENSCAFP00000018790
ENSMODP00000013732	ENSCAFP00000030532
ENSMODP00000018665	ENSCAFP00000020190
ENSMODP00000013584	ENSCAFP00000036234
ENSMODP00000038866	ENSCAFP00000031372
ENSMODP00000040769	ENSCAFP00000025920
ENSMODP00000010615	ENSCAFP00000037173
ENSMODP00000004802	ENSCAFP00000008898
ENSMODP00000016293	ENSCAFP00000021879
ENSMODP00000018255	ENSCAFP00000023495
ENSMODP00000026899	ENSCAFP00000037535
ENSMODP00000003405	ENSCAFP00000008677
ENSMODP00000013195	ENSCAFP00000006361
ENSMODP00000026495	ENSCAFP00000023878
ENSMODP00000008904	ENSCAFP00000024539
ENSMODP00000006868	ENSCAFP00000028164
ENSMODP00000027204	ENSCAFP00000022430
ENSMODP00000005785	ENSCAFP00000020070
ENSMODP00000000517	ENSCAFP00000011227
ENSMODP00000007712	ENSCAFP00000007697
ENSMODP00000041276	ENSCAFP00000040456
ENSMODP00000028571	ENSCAFP00000007702
ENSMODP00000019641	ENSCAFP00000000801
ENSMODP00000004636	ENSCAFP00000022037
ENSMODP00000009652	ENSCAFP00000007381
ENSMODP00000011528	ENSCAFP00000013615
ENSMODP00000015248	ENSCAFP00000011793
ENSMODP00000018653	ENSCAFP00000022009
ENSMODP00000040055	ENSCAFP00000003370
ENSMODP00000002305	ENSCAFP00000002728
ENSMODP00000008158	ENSCAFP00000010651
ENSMODP00000004072	ENSCAFP00000013132
ENSMODP00000003962	ENSCAFP00000013118
ENSMODP00000026206	ENSCAFP00000038199
ENSMODP00000016543	ENSCAFP00000027597
ENSMODP00000021028	ENSCAFP00000000523
ENSMODP00000008959	ENSCAFP00000010473
ENSMODP00000004935	ENSCAFP00000001204
ENSMODP00000009157	ENSCAFP00000035853
ENSMODP00000006875	ENSCAFP00000009014
ENSMODP00000013643	ENSCAFP00000024607
ENSMODP00000023317	ENSCAFP00000015809
ENSMODP00000022857	ENSCAFP00000017765
ENSMODP00000027851	ENSCAFP00000007888
ENSMODP00000009797	ENSCAFP00000035502
ENSMODP00000013278	ENSCAFP00000015819
ENSMODP00000013249	ENSCAFP00000032170
ENSMODP00000034873	ENSCAFP00000014313
ENSMODP00000023457	ENSCAFP00000003279
ENSMODP00000003680	ENSCAFP00000042535
ENSMODP00000027120	ENSCAFP00000030865
ENSMODP00000025432	ENSCAFP00000042228
ENSMODP00000008380	ENSCAFP00000005478
ENSMODP00000021008	ENSCAFP00000018742
ENSMODP00000023311	ENSCAFP00000003632
ENSMODP00000029407	ENSCAFP00000015915
ENSMODP00000012067	ENSCAFP00000001990
ENSMODP00000012669	ENSCAFP00000024255
ENSMODP00000000804	ENSCAFP00000013629
ENSMODP00000021122	ENSCAFP00000006994
ENSMODP00000012356	ENSCAFP00000016459
ENSMODP00000015429	ENSCAFP00000031768
ENSMODP00000015514	ENSCAFP00000011262
ENSMODP00000029130	ENSCAFP00000017362
ENSMODP00000023571	ENSCAFP00000018780
ENSMODP00000007764	ENSCAFP00000000797
ENSMODP00000019547	ENSCAFP00000007312
ENSMODP00000017809	ENSCAFP00000034814
ENSMODP00000011099	ENSCAFP00000034902
ENSMODP00000021780	ENSCAFP00000000345
ENSMODP00000017529	ENSCAFP00000018766
ENSMODP00000009469	ENSCAFP00000042302
ENSMODP00000031395	ENSCAFP00000007982
ENSMODP00000027740	ENSCAFP00000025367
ENSMODP00000017003	ENSCAFP00000042944
ENSMODP00000031686	ENSCAFP00000012613
ENSMODP00000022297	ENSCAFP00000018414
ENSMODP00000019731	ENSCAFP00000005070
ENSMODP00000010160	ENSCAFP00000019287
ENSMODP00000011522	ENSCAFP00000006422
ENSMODP00000023987	ENSCAFP00000012487
ENSMODP00000021381	ENSCAFP00000018934
ENSMODP00000009881	ENSCAFP00000023048
ENSMODP00000008088	ENSCAFP00000023283
ENSMODP00000001206	ENSCAFP00000006305
ENSMODP00000007121	ENSCAFP00000028239
ENSMODP00000012610	ENSCAFP00000042968
ENSMODP00000015407	ENSCAFP00000016020
ENSMODP00000013327	ENSCAFP00000021924
ENSMODP00000015423	ENSCAFP00000016079
ENSMODP00000017514	ENSCAFP00000010223
ENSMODP00000016553	ENSCAFP00000017824
ENSMODP00000039257	ENSCAFP00000006923
ENSMODP00000004501	ENSCAFP00000016524
ENSMODP00000000334	ENSCAFP00000006202
ENSMODP00000006782	ENSCAFP00000030405
ENSMODP00000040798	ENSCAFP00000011669
ENSMODP00000027954	ENSCAFP00000012834
ENSMODP00000037282	ENSCAFP00000015986
ENSMODP00000000192	ENSCAFP00000006121
ENSMODP00000036805	ENSCAFP00000028176
ENSMODP00000019134	ENSCAFP00000022237
ENSMODP00000013470	ENSCAFP00000018294
ENSMODP00000002174	ENSCAFP00000031216
ENSMODP00000008681	ENSCAFP00000021154
ENSMODP00000005870	ENSCAFP00000008466
ENSMODP00000006183	ENSCAFP00000038369
ENSMODP00000017355	ENSCAFP00000001297
ENSMODP00000014821	ENSCAFP00000012711
ENSMODP00000002716	ENSCAFP00000007104
ENSMODP00000015896	ENSCAFP00000024254
ENSMODP00000003265	ENSCAFP00000017840
ENSMODP00000033936	ENSCAFP00000006199
ENSMODP00000012517	ENSCAFP00000010409
ENSMODP00000028807	ENSCAFP00000009096
ENSMODP00000023937	ENSCAFP00000004511
ENSMODP00000026540	ENSCAFP00000011487
ENSMODP00000017421	ENSCAFP00000001726
ENSMODP00000023652	ENSCAFP00000018286
ENSMODP00000011928	ENSCAFP00000041711
ENSMODP00000000347	ENSCAFP00000021872
ENSMODP00000009129	ENSCAFP00000015326
ENSMODP00000035176	ENSCAFP00000023948
ENSMODP00000012657	ENSCAFP00000020557
ENSMODP00000038523	ENSCAFP00000042810
ENSMODP00000023726	ENSCAFP00000019123
ENSMODP00000023663	ENSCAFP00000030385
ENSMODP00000023841	ENSCAFP00000019157
ENSMODP00000035948	ENSCAFP00000021261
ENSMODP00000026679	ENSCAFP00000040391
ENSMODP00000004216	ENSCAFP00000028190
ENSMODP00000005030	ENSCAFP00000021976
ENSMODP00000034567	ENSCAFP00000028562
ENSMODP00000009872	ENSCAFP00000011018
ENSMODP00000017019	ENSCAFP00000005790
ENSMODP00000005420	ENSCAFP00000024552
ENSMODP00000014333	ENSCAFP00000014772
ENSMODP00000012383	ENSCAFP00000027002
ENSMODP00000000664	ENSCAFP00000031277
ENSMODP00000008004	ENSCAFP00000038496
ENSMODP00000026653	ENSCAFP00000015967
ENSMODP00000007138	ENSCAFP00000000882
ENSMODP00000008758	ENSCAFP00000026476
ENSMODP00000005300	ENSCAFP00000002486
ENSMODP00000024495	ENSCAFP00000005324
ENSMODP00000017656	ENSCAFP00000001419
ENSMODP00000022074	ENSCAFP00000004755
ENSMODP00000026325	ENSCAFP00000014048
ENSMODP00000016382	ENSCAFP00000019069
ENSMODP00000005885	ENSCAFP00000027790
ENSMODP00000023743	ENSCAFP00000009967
ENSMODP00000003205	ENSCAFP00000007177
ENSMODP00000009840	ENSCAFP00000025430
ENSMODP00000025789	ENSCAFP00000002797
ENSMODP00000001116	ENSCAFP00000014827
ENSMODP00000022486	ENSCAFP00000005369
ENSMODP00000022485	ENSCAFP00000036666
ENSMODP00000022700	ENSCAFP00000038621
ENSMODP00000009651	ENSCAFP00000025009
ENSMODP00000000779	ENSCAFP00000015455
ENSMODP00000011806	ENSCAFP00000040182
ENSMODP00000032836	ENSCAFP00000020641
ENSMODP00000007554	ENSCAFP00000025013
ENSMODP00000000167	ENSCAFP00000040257
ENSMODP00000030329	ENSCAFP00000003872
ENSMODP00000008314	ENSCAFP00000006750
ENSMODP00000011469	ENSCAFP00000019549
ENSMODP00000006785	ENSCAFP00000008171
ENSMODP00000035664	ENSCAFP00000019442
ENSMODP00000019345	ENSCAFP00000035859
ENSMODP00000021461	ENSCAFP00000028785
ENSMODP00000005525	ENSCAFP00000024163
ENSMODP00000012633	ENSCAFP00000019177
ENSMODP00000010861	ENSCAFP00000042254
ENSMODP00000025460	ENSCAFP00000023842
ENSMODP00000020914	ENSCAFP00000000611
ENSMODP00000011787	ENSCAFP00000023609
ENSMODP00000017157	ENSCAFP00000019332
ENSMODP00000006553	ENSCAFP00000014371
ENSMODP00000006003	ENSCAFP00000037303
ENSMODP00000021591	ENSCAFP00000025629
ENSMODP00000026396	ENSCAFP00000020460
ENSMODP00000011185	ENSCAFP00000005173
ENSMODP00000019716	ENSCAFP00000020684
ENSMODP00000002650	ENSCAFP00000001384
ENSMODP00000020770	ENSCAFP00000041590
ENSMODP00000024764	ENSCAFP00000020782
ENSMODP00000008321	ENSCAFP00000034454
ENSMODP00000018098	ENSCAFP00000021710
ENSMODP00000023766	ENSCAFP00000002395
ENSMODP00000008252	ENSCAFP00000024807
ENSMODP00000021769	ENSCAFP00000016916
ENSMODP00000009162	ENSCAFP00000025165
ENSMODP00000005146	ENSCAFP00000011757
ENSMODP00000017934	ENSCAFP00000025633
ENSMODP00000022913	ENSCAFP00000018539
ENSMODP00000004686	ENSCAFP00000017039
ENSMODP00000009910	ENSCAFP00000007568
ENSMODP00000021979	ENSCAFP00000042074
ENSMODP00000038118	ENSCAFP00000028327
ENSMODP00000007973	ENSCAFP00000029690
ENSMODP00000010496	ENSCAFP00000019131
ENSMODP00000011432	ENSCAFP00000040466
ENSMODP00000016487	ENSCAFP00000008865
ENSMODP00000013997	ENSCAFP00000006631
ENSMODP00000013292	ENSCAFP00000037880
ENSMODP00000033556	ENSCAFP00000021491
ENSMODP00000014936	ENSCAFP00000000006
ENSMODP00000007058	ENSCAFP00000040187
ENSMODP00000004538	ENSCAFP00000006947
ENSMODP00000033503	ENSCAFP00000021681
ENSMODP00000014675	ENSCAFP00000014598
ENSMODP00000012088	ENSCAFP00000014330
ENSMODP00000008043	ENSCAFP00000024864
ENSMODP00000017955	ENSCAFP00000001185
ENSMODP00000034162	ENSCAFP00000016648
ENSMODP00000006356	ENSCAFP00000016630
ENSMODP00000024271	ENSCAFP00000010728
ENSMODP00000013522	ENSCAFP00000026563
ENSMODP00000019752	ENSCAFP00000006300
ENSMODP00000007589	ENSCAFP00000001248
ENSMODP00000033092	ENSCAFP00000033578
ENSMODP00000032479	ENSCAFP00000008470
ENSMODP00000030977	ENSCAFP00000034146
ENSMODP00000000110	ENSCAFP00000006055
ENSMODP00000020958	ENSCAFP00000000573
ENSMODP00000000251	ENSCAFP00000013796
ENSMODP00000016414	ENSCAFP00000008919
ENSMODP00000039215	ENSCAFP00000041357
ENSMODP00000012111	ENSCAFP00000002013
ENSMODP00000010937	ENSCAFP00000003291
ENSMODP00000040478	ENSCAFP00000006093
ENSMODP00000015628	ENSCAFP00000011107
ENSMODP00000013013	ENSCAFP00000028323
ENSMODP00000016735	ENSCAFP00000031885
ENSMODP00000005472	ENSCAFP00000040389
ENSMODP00000001431	ENSCAFP00000037876
ENSMODP00000040930	ENSCAFP00000001801
ENSMODP00000021893	ENSCAFP00000000264
ENSMODP00000014570	ENSCAFP00000014491
ENSMODP00000021853	ENSCAFP00000000296
ENSMODP00000008954	ENSCAFP00000011719
ENSMODP00000019606	ENSCAFP00000038096
ENSMODP00000036380	ENSCAFP00000042455
ENSMODP00000010909	ENSCAFP00000017970
ENSMODP00000030289	ENSCAFP00000005299
ENSMODP00000003488	ENSCAFP00000022573
ENSMODP00000000748	ENSCAFP00000012860
ENSMODP00000017542	ENSCAFP00000037611
ENSMODP00000014869	ENSCAFP00000041506
ENSMODP00000019904	ENSCAFP00000012415
ENSMODP00000008778	ENSCAFP00000006957
ENSMODP00000038341	ENSCAFP00000023021
ENSMODP00000013357	ENSCAFP00000042521
ENSMODP00000012606	ENSCAFP00000006969
ENSMODP00000014422	ENSCAFP00000020864
ENSMODP00000029758	ENSCAFP00000005365
ENSMODP00000013694	ENSCAFP00000009790
ENSMODP00000010048	ENSCAFP00000042403
ENSMODP00000026310	ENSCAFP00000013012
ENSMODP00000000562	ENSCAFP00000024271
ENSMODP00000016163	ENSCAFP00000039760
ENSMODP00000016024	ENSCAFP00000024099
ENSMODP00000017407	ENSCAFP00000041155
ENSMODP00000008565	ENSCAFP00000019352
ENSMODP00000001031	ENSCAFP00000022263
ENSMODP00000012103	ENSCAFP00000009203
ENSMODP00000039126	ENSCAFP00000003355
ENSMODP00000001327	ENSCAFP00000013921
ENSMODP00000038058	ENSCAFP00000039403
ENSMODP00000019497	ENSCAFP00000011391
ENSMODP00000014952	ENSCAFP00000013187
ENSMODP00000003915	ENSCAFP00000003775
ENSMODP00000024398	ENSCAFP00000010130
ENSMODP00000011040	ENSCAFP00000010519
ENSMODP00000032786	ENSCAFP00000021204
ENSMODP00000038514	ENSCAFP00000024547
ENSMODP00000004449	ENSCAFP00000009630
ENSMODP00000026049	ENSCAFP00000004163
ENSMODP00000015604	ENSCAFP00000024719
ENSMODP00000011669	ENSCAFP00000019512
ENSMODP00000020139	ENSCAFP00000018180
ENSMODP00000008939	ENSCAFP00000024518
ENSMODP00000040054	ENSCAFP00000031210
ENSMODP00000034739	ENSCAFP00000033251
ENSMODP00000002860	ENSCAFP00000010864
ENSMODP00000036319	ENSCAFP00000036165
ENSMODP00000026099	ENSCAFP00000004612
ENSMODP00000003485	ENSCAFP00000002787
ENSMODP00000033872	ENSCAFP00000024984
ENSMODP00000014839	ENSCAFP00000015271
ENSMODP00000038777	ENSCAFP00000019226
ENSMODP00000008148	ENSCAFP00000012381
ENSMODP00000010794	ENSCAFP00000012191
ENSMODP00000026771	ENSCAFP00000031933
ENSMODP00000024166	ENSCAFP00000019075
ENSMODP00000031188	ENSCAFP00000037108
ENSMODP00000012835	ENSCAFP00000004688
ENSMODP00000005720	ENSCAFP00000016677
ENSMODP00000003698	ENSCAFP00000010400
ENSMODP00000024837	ENSCAFP00000012822
ENSMODP00000040973	ENSCAFP00000040571
ENSMODP00000019368	ENSCAFP00000025547
ENSMODP00000021834	ENSCAFP00000000327
ENSMODP00000017683	ENSCAFP00000019943
ENSMODP00000003613	ENSCAFP00000011032
ENSMODP00000005410	ENSCAFP00000022495
ENSMODP00000009134	ENSCAFP00000019862
ENSMODP00000039809	ENSCAFP00000029838
ENSMODP00000016245	ENSCAFP00000029279
ENSMODP00000020806	ENSCAFP00000029122
ENSMODP00000013109	ENSCAFP00000041570
ENSMODP00000034356	ENSCAFP00000025777
ENSMODP00000019472	ENSCAFP00000010020
ENSMODP00000014303	ENSCAFP00000020830
ENSMODP00000013024	ENSCAFP00000002731
ENSMODP00000013281	ENSCAFP00000021323
ENSMODP00000014194	ENSCAFP00000015048
ENSMODP00000016220	ENSCAFP00000016864
ENSMODP00000021208	ENSCAFP00000009423
ENSMODP00000010382	ENSCAFP00000035754
ENSMODP00000019614	ENSCAFP00000025040
ENSMODP00000013353	ENSCAFP00000017245
ENSMODP00000038590	ENSCAFP00000024492
ENSMODP00000038735	ENSCAFP00000023707
ENSMODP00000004059	ENSCAFP00000041192
ENSMODP00000002989	ENSCAFP00000018711
ENSMODP00000013800	ENSCAFP00000015378
ENSMODP00000007728	ENSCAFP00000024740
ENSMODP00000010700	ENSCAFP00000009791
ENSMODP00000036187	ENSCAFP00000002123
ENSMODP00000005784	ENSCAFP00000027324
ENSMODP00000002285	ENSCAFP00000014212
ENSMODP00000012896	ENSCAFP00000016036
ENSMODP00000023469	ENSCAFP00000003227
ENSMODP00000008898	ENSCAFP00000008187
ENSMODP00000028298	ENSCAFP00000018962
ENSMODP00000010623	ENSCAFP00000007451
ENSMODP00000007711	ENSCAFP00000012493
ENSMODP00000008495	ENSCAFP00000016549
ENSMODP00000001958	ENSCAFP00000024476
ENSMODP00000019088	ENSCAFP00000038426
ENSMODP00000031310	ENSCAFP00000017140
ENSMODP00000012780	ENSCAFP00000021479
ENSMODP00000007526	ENSCAFP00000025015
ENSMODP00000013239	ENSCAFP00000014389
ENSMODP00000020733	ENSCAFP00000018044
ENSMODP00000041143	ENSCAFP00000038061
ENSMODP00000005233	ENSCAFP00000002483
ENSMODP00000025781	ENSCAFP00000016333
ENSMODP00000020512	ENSCAFP00000022864
ENSMODP00000012746	ENSCAFP00000008237
ENSMODP00000030653	ENSCAFP00000010902
ENSMODP00000030650	ENSCAFP00000010887
ENSMODP00000000058	ENSCAFP00000010910
ENSMODP00000038592	ENSCAFP00000010879
ENSMODP00000023072	ENSCAFP00000040725
ENSMODP00000012094	ENSCAFP00000019277
ENSMODP00000034327	ENSCAFP00000041955
ENSMODP00000038374	ENSCAFP00000037721
ENSMODP00000017902	ENSCAFP00000033984
ENSMODP00000010154	ENSCAFP00000009533
ENSMODP00000031647	ENSCAFP00000001744
ENSMODP00000002186	ENSCAFP00000011896
ENSMODP00000019949	ENSCAFP00000037445
ENSMODP00000025818	ENSCAFP00000002915
ENSMODP00000013150	ENSCAFP00000025177
ENSMODP00000023586	ENSCAFP00000018906
ENSMODP00000003807	ENSCAFP00000008848
ENSMODP00000007361	ENSCAFP00000023787
ENSMODP00000003230	ENSCAFP00000008588
ENSMODP00000001222	ENSCAFP00000023586
ENSMODP00000034421	ENSCAFP00000002505
ENSMODP00000022509	ENSCAFP00000022410
ENSMODP00000018887	ENSCAFP00000021594
ENSMODP00000014946	ENSCAFP00000001941
ENSMODP00000023795	ENSCAFP00000010184
ENSMODP00000029017	ENSCAFP00000012281
ENSMODP00000000516	ENSCAFP00000007326
ENSMODP00000005267	ENSCAFP00000015474
ENSMODP00000026016	ENSCAFP00000036530
ENSMODP00000008514	ENSCAFP00000028339
ENSMODP00000038318	ENSCAFP00000005514
