ENSMODP00000016222	ENSP00000262384
ENSMODP00000007807	ENSP00000366058
ENSMODP00000025733	ENSP00000316891
ENSMODP00000001318	ENSP00000433352
ENSMODP00000010987	ENSP00000346874
ENSMODP00000028140	ENSP00000341171
ENSMODP00000002234	ENSP00000429064
ENSMODP00000026025	ENSP00000334836
ENSMODP00000014793	ENSP00000386456
ENSMODP00000001849	ENSP00000388823
ENSMODP00000007432	ENSP00000307722
ENSMODP00000035405	ENSP00000256797
ENSMODP00000011681	ENSP00000401445
ENSMODP00000006897	ENSP00000381053
ENSMODP00000020299	ENSP00000418210
ENSMODP00000004207	ENSP00000367494
ENSMODP00000026766	ENSP00000387266
ENSMODP00000022803	ENSP00000337510
ENSMODP00000021099	ENSP00000237281
ENSMODP00000019526	ENSP00000377409
ENSMODP00000002100	ENSP00000361189
ENSMODP00000006309	ENSP00000424565
ENSMODP00000023555	ENSP00000271636
ENSMODP00000015449	ENSP00000299687
ENSMODP00000026625	ENSP00000419975
ENSMODP00000006614	ENSP00000436552
ENSMODP00000012555	ENSP00000357073
ENSMODP00000024321	ENSP00000230640
ENSMODP00000023942	ENSP00000261712
ENSMODP00000002997	ENSP00000299259
ENSMODP00000003908	ENSP00000355925
ENSMODP00000007604	ENSP00000451463
ENSMODP00000014203	ENSP00000253410
ENSMODP00000018603	ENSP00000368523
ENSMODP00000012770	ENSP00000338532
ENSMODP00000005310	ENSP00000310057
ENSMODP00000031512	ENSP00000262637
ENSMODP00000006812	ENSP00000278780
ENSMODP00000011914	ENSP00000337862
ENSMODP00000008992	ENSP00000350036
ENSMODP00000009951	ENSP00000315630
ENSMODP00000017240	ENSP00000319831
ENSMODP00000031933	ENSP00000374212
ENSMODP00000020205	ENSP00000262518
ENSMODP00000007415	ENSP00000251810
ENSMODP00000037268	ENSP00000193391
ENSMODP00000023048	ENSP00000358966
ENSMODP00000018949	ENSP00000295770
ENSMODP00000005046	ENSP00000376472
ENSMODP00000023644	ENSP00000409906
ENSMODP00000000313	ENSP00000345216
ENSMODP00000038056	ENSP00000309690
ENSMODP00000002509	ENSP00000441858
ENSMODP00000013734	ENSP00000378408
ENSMODP00000001983	ENSP00000356849
ENSMODP00000007308	ENSP00000267569
ENSMODP00000021014	ENSP00000356433
ENSMODP00000022003	ENSP00000361895
ENSMODP00000027261	ENSP00000385527
ENSMODP00000035867	ENSP00000313391
ENSMODP00000019968	ENSP00000363533
ENSMODP00000023949	ENSP00000272427
ENSMODP00000020743	ENSP00000262316
ENSMODP00000032484	ENSP00000322775
ENSMODP00000019783	ENSP00000384081
ENSMODP00000013254	ENSP00000272444
ENSMODP00000028732	ENSP00000340465
ENSMODP00000017371	ENSP00000272542
ENSMODP00000014310	ENSP00000254963
ENSMODP00000011868	ENSP00000358211
ENSMODP00000018697	ENSP00000428579
ENSMODP00000003429	ENSP00000364486
ENSMODP00000007024	ENSP00000422626
ENSMODP00000011608	ENSP00000293230
ENSMODP00000020092	ENSP00000456566
ENSMODP00000011047	ENSP00000358777
ENSMODP00000025336	ENSP00000369513
ENSMODP00000028873	ENSP00000403984
ENSMODP00000029400	ENSP00000386870
ENSMODP00000014410	ENSP00000367715
ENSMODP00000026648	ENSP00000376457
ENSMODP00000016305	ENSP00000390722
ENSMODP00000015325	ENSP00000426022
ENSMODP00000002629	ENSP00000238714
ENSMODP00000011097	ENSP00000365637
ENSMODP00000032997	ENSP00000264659
ENSMODP00000005373	ENSP00000378400
ENSMODP00000012453	ENSP00000259006
ENSMODP00000033174	ENSP00000400887
ENSMODP00000006518	ENSP00000216484
ENSMODP00000006171	ENSP00000381968
ENSMODP00000010327	ENSP00000355560
ENSMODP00000016316	ENSP00000403925
ENSMODP00000005251	ENSP00000302625
ENSMODP00000020797	ENSP00000262320
ENSMODP00000028143	ENSP00000305790
ENSMODP00000025457	ENSP00000301764
ENSMODP00000035555	ENSP00000265594
ENSMODP00000003665	ENSP00000344942
ENSMODP00000023144	ENSP00000298910
ENSMODP00000026904	ENSP00000307265
ENSMODP00000023058	ENSP00000402527
ENSMODP00000002395	ENSP00000377655
ENSMODP00000017233	ENSP00000416040
ENSMODP00000012251	ENSP00000315295
ENSMODP00000009982	ENSP00000333982
ENSMODP00000025877	ENSP00000370695
ENSMODP00000002276	ENSP00000324302
ENSMODP00000015196	ENSP00000398568
ENSMODP00000034018	ENSP00000288828
ENSMODP00000032254	ENSP00000262139
ENSMODP00000010377	ENSP00000300737
ENSMODP00000012897	ENSP00000344831
ENSMODP00000019645	ENSP00000342793
ENSMODP00000006850	ENSP00000263088
ENSMODP00000019794	ENSP00000365569
ENSMODP00000024100	ENSP00000378368
ENSMODP00000007871	ENSP00000350954
ENSMODP00000037686	ENSP00000364398
ENSMODP00000015705	ENSP00000405388
ENSMODP00000017625	ENSP00000084798
ENSMODP00000014014	ENSP00000268712
ENSMODP00000015809	ENSP00000384018
ENSMODP00000017679	ENSP00000219301
ENSMODP00000026491	ENSP00000350012
ENSMODP00000014342	ENSP00000339787
ENSMODP00000021108	ENSP00000181796
ENSMODP00000021539	ENSP00000002165
ENSMODP00000040188	ENSP00000246957
ENSMODP00000008938	ENSP00000329117
ENSMODP00000010630	ENSP00000426528
ENSMODP00000023229	ENSP00000392700
ENSMODP00000021995	ENSP00000394863
ENSMODP00000008518	ENSP00000263245
ENSMODP00000001294	ENSP00000395083
ENSMODP00000023176	ENSP00000254584
ENSMODP00000001929	ENSP00000397249
ENSMODP00000003337	ENSP00000316950
ENSMODP00000034465	ENSP00000219611
ENSMODP00000024245	ENSP00000401089
ENSMODP00000023379	ENSP00000314103
ENSMODP00000036852	ENSP00000381666
ENSMODP00000016430	ENSP00000287152
ENSMODP00000017590	ENSP00000333942
ENSMODP00000011219	ENSP00000298032
ENSMODP00000016810	ENSP00000313869
ENSMODP00000040859	ENSP00000234160
ENSMODP00000020104	ENSP00000268661
ENSMODP00000022985	ENSP00000292823
ENSMODP00000009154	ENSP00000368439
ENSMODP00000005438	ENSP00000363308
ENSMODP00000022487	ENSP00000344401
ENSMODP00000019397	ENSP00000368876
ENSMODP00000009295	ENSP00000355045
ENSMODP00000004026	ENSP00000419325
ENSMODP00000035234	ENSP00000269159
ENSMODP00000016182	ENSP00000328287
ENSMODP00000011174	ENSP00000262644
ENSMODP00000005436	ENSP00000446828
ENSMODP00000008613	ENSP00000259667
ENSMODP00000001421	ENSP00000074304
ENSMODP00000000364	ENSP00000425487
ENSMODP00000014430	ENSP00000406490
ENSMODP00000008985	ENSP00000355110
ENSMODP00000003199	ENSP00000303486
ENSMODP00000020653	ENSP00000345793
ENSMODP00000035609	ENSP00000379773
ENSMODP00000016874	ENSP00000387362
ENSMODP00000019531	ENSP00000342778
ENSMODP00000015494	ENSP00000325548
ENSMODP00000035135	ENSP00000351682
ENSMODP00000006433	ENSP00000412886
ENSMODP00000017092	ENSP00000333019
ENSMODP00000013265	ENSP00000348573
ENSMODP00000010433	ENSP00000352572
ENSMODP00000022483	ENSP00000358106
ENSMODP00000000884	ENSP00000386543
ENSMODP00000014438	ENSP00000467024
ENSMODP00000001385	ENSP00000384823
ENSMODP00000012659	ENSP00000445677
ENSMODP00000018054	ENSP00000269122
ENSMODP00000014979	ENSP00000055682
ENSMODP00000031899	ENSP00000404151
ENSMODP00000006693	ENSP00000281187
ENSMODP00000013352	ENSP00000362480
ENSMODP00000012720	ENSP00000376792
ENSMODP00000012509	ENSP00000450731
ENSMODP00000012262	ENSP00000338173
ENSMODP00000008194	ENSP00000328677
ENSMODP00000039675	ENSP00000389554
ENSMODP00000038409	ENSP00000199320
ENSMODP00000002419	ENSP00000261722
ENSMODP00000000199	ENSP00000304994
ENSMODP00000021945	ENSP00000382269
ENSMODP00000013322	ENSP00000258418
ENSMODP00000036358	ENSP00000382492
ENSMODP00000030918	ENSP00000293805
ENSMODP00000022711	ENSP00000324806
ENSMODP00000015474	ENSP00000401112
ENSMODP00000018464	ENSP00000399518
ENSMODP00000003716	ENSP00000243440
ENSMODP00000007304	ENSP00000286639
ENSMODP00000000633	ENSP00000283645
ENSMODP00000012703	ENSP00000369071
ENSMODP00000032141	ENSP00000416330
ENSMODP00000011897	ENSP00000369473
ENSMODP00000025628	ENSP00000449535
ENSMODP00000006461	ENSP00000308179
ENSMODP00000009538	ENSP00000448165
ENSMODP00000032300	ENSP00000338258
ENSMODP00000000659	ENSP00000249014
ENSMODP00000017932	ENSP00000363993
ENSMODP00000015101	ENSP00000359469
ENSMODP00000021803	ENSP00000346442
ENSMODP00000010247	ENSP00000412130
ENSMODP00000020656	ENSP00000384491
ENSMODP00000013792	ENSP00000380713
ENSMODP00000023814	ENSP00000432695
ENSMODP00000018402	ENSP00000415885
ENSMODP00000004084	ENSP00000411471
ENSMODP00000019912	ENSP00000313603
ENSMODP00000007806	ENSP00000445001
ENSMODP00000039713	ENSP00000388241
ENSMODP00000025812	ENSP00000343885
ENSMODP00000001307	ENSP00000307746
ENSMODP00000034840	ENSP00000316527
ENSMODP00000008132	ENSP00000335246
ENSMODP00000004058	ENSP00000360266
ENSMODP00000004210	ENSP00000252818
ENSMODP00000023165	ENSP00000410768
ENSMODP00000001056	ENSP00000378710
ENSMODP00000019212	ENSP00000368547
ENSMODP00000004980	ENSP00000278919
ENSMODP00000025925	ENSP00000370607
ENSMODP00000028833	ENSP00000351132
ENSMODP00000020887	ENSP00000321971
ENSMODP00000003098	ENSP00000268482
ENSMODP00000017708	ENSP00000384792
ENSMODP00000018360	ENSP00000282251
ENSMODP00000003293	ENSP00000406885
ENSMODP00000009692	ENSP00000433126
ENSMODP00000024327	ENSP00000327650
ENSMODP00000014967	ENSP00000253577
ENSMODP00000019124	ENSP00000265316
ENSMODP00000019116	ENSP00000238789
ENSMODP00000002476	ENSP00000287394
ENSMODP00000003772	ENSP00000347444
ENSMODP00000040424	ENSP00000387361
ENSMODP00000026631	ENSP00000420617
ENSMODP00000037361	ENSP00000378402
ENSMODP00000011825	ENSP00000357040
ENSMODP00000006014	ENSP00000347672
ENSMODP00000005375	ENSP00000347464
ENSMODP00000008345	ENSP00000387471
ENSMODP00000000954	ENSP00000419765
ENSMODP00000034544	ENSP00000453872
ENSMODP00000003978	ENSP00000269439
ENSMODP00000025485	ENSP00000247843
ENSMODP00000016813	ENSP00000306983
ENSMODP00000010609	ENSP00000365388
ENSMODP00000037730	ENSP00000335060
ENSMODP00000008298	ENSP00000216144
ENSMODP00000001947	ENSP00000295304
ENSMODP00000000223	ENSP00000398105
ENSMODP00000023815	ENSP00000428054
ENSMODP00000015164	ENSP00000452796
ENSMODP00000026456	ENSP00000379390
ENSMODP00000026391	ENSP00000367841
ENSMODP00000013573	ENSP00000345023
ENSMODP00000004911	ENSP00000368856
ENSMODP00000025793	ENSP00000422037
ENSMODP00000023195	ENSP00000265978
ENSMODP00000001214	ENSP00000413196
ENSMODP00000001552	ENSP00000383986
ENSMODP00000004219	ENSP00000258484
ENSMODP00000009442	ENSP00000263062
ENSMODP00000008361	ENSP00000315070
ENSMODP00000017113	ENSP00000318868
ENSMODP00000020548	ENSP00000379182
ENSMODP00000006423	ENSP00000358451
ENSMODP00000019073	ENSP00000229328
ENSMODP00000028969	ENSP00000254101
ENSMODP00000007617	ENSP00000265087
ENSMODP00000020948	ENSP00000290271
ENSMODP00000003476	ENSP00000313432
ENSMODP00000010707	ENSP00000430493
ENSMODP00000015766	ENSP00000256079
ENSMODP00000001183	ENSP00000366819
ENSMODP00000003965	ENSP00000344789
ENSMODP00000011057	ENSP00000341044
ENSMODP00000020221	ENSP00000361795
ENSMODP00000012751	ENSP00000300574
ENSMODP00000021994	ENSP00000346300
ENSMODP00000007388	ENSP00000272091
ENSMODP00000019587	ENSP00000264705
ENSMODP00000012786	ENSP00000262105
ENSMODP00000004733	ENSP00000368174
ENSMODP00000024347	ENSP00000331897
ENSMODP00000008536	ENSP00000407182
ENSMODP00000026309	ENSP00000286835
ENSMODP00000008834	ENSP00000336587
ENSMODP00000009642	ENSP00000268383
ENSMODP00000033400	ENSP00000326534
ENSMODP00000003030	ENSP00000377027
ENSMODP00000022695	ENSP00000420200
ENSMODP00000018703	ENSP00000396704
ENSMODP00000016461	ENSP00000411532
ENSMODP00000016288	ENSP00000396995
ENSMODP00000016538	ENSP00000360147
ENSMODP00000013377	ENSP00000421566
ENSMODP00000001273	ENSP00000186436
ENSMODP00000036351	ENSP00000386787
ENSMODP00000001492	ENSP00000379457
ENSMODP00000006374	ENSP00000261942
ENSMODP00000006319	ENSP00000316476
ENSMODP00000016670	ENSP00000392217
ENSMODP00000011128	ENSP00000375857
ENSMODP00000011412	ENSP00000355428
ENSMODP00000000202	ENSP00000217372
ENSMODP00000006382	ENSP00000279907
ENSMODP00000017384	ENSP00000192788
ENSMODP00000012039	ENSP00000313851
ENSMODP00000025717	ENSP00000303427
ENSMODP00000008741	ENSP00000379680
ENSMODP00000014062	ENSP00000468424
ENSMODP00000012628	ENSP00000367407
ENSMODP00000002397	ENSP00000354387
ENSMODP00000000850	ENSP00000168977
ENSMODP00000006372	ENSP00000299866
ENSMODP00000006048	ENSP00000261448
ENSMODP00000012053	ENSP00000357057
ENSMODP00000013229	ENSP00000354251
ENSMODP00000024247	ENSP00000293373
ENSMODP00000021808	ENSP00000356774
ENSMODP00000014118	ENSP00000254029
ENSMODP00000007532	ENSP00000379894
ENSMODP00000014688	ENSP00000356438
ENSMODP00000023615	ENSP00000244571
ENSMODP00000001578	ENSP00000353826
ENSMODP00000008912	ENSP00000353463
ENSMODP00000021635	ENSP00000357644
ENSMODP00000001994	ENSP00000376583
ENSMODP00000010923	ENSP00000394700
ENSMODP00000003162	ENSP00000389039
ENSMODP00000020683	ENSP00000360994
ENSMODP00000006116	ENSP00000233615
ENSMODP00000010328	ENSP00000338030
ENSMODP00000008003	ENSP00000361731
ENSMODP00000032537	ENSP00000402935
ENSMODP00000014406	ENSP00000417132
ENSMODP00000015375	ENSP00000263960
ENSMODP00000014778	ENSP00000349860
ENSMODP00000004882	ENSP00000253778
ENSMODP00000001181	ENSP00000313854
ENSMODP00000026081	ENSP00000336994
ENSMODP00000023755	ENSP00000371152
ENSMODP00000019511	ENSP00000308976
ENSMODP00000011628	ENSP00000341819
ENSMODP00000020179	ENSP00000347626
ENSMODP00000017992	ENSP00000319664
ENSMODP00000016232	ENSP00000327436
ENSMODP00000026318	ENSP00000382163
ENSMODP00000035476	ENSP00000464162
ENSMODP00000013995	ENSP00000370896
ENSMODP00000010779	ENSP00000336721
ENSMODP00000016679	ENSP00000352510
ENSMODP00000008153	ENSP00000265967
ENSMODP00000014201	ENSP00000344424
ENSMODP00000003217	ENSP00000264047
ENSMODP00000019604	ENSP00000404676
ENSMODP00000018332	ENSP00000249344
ENSMODP00000002197	ENSP00000358810
ENSMODP00000038725	ENSP00000359634
ENSMODP00000035551	ENSP00000343000
ENSMODP00000002572	ENSP00000356065
ENSMODP00000038489	ENSP00000375795
ENSMODP00000011381	ENSP00000423933
ENSMODP00000013016	ENSP00000253814
ENSMODP00000036400	ENSP00000218652
ENSMODP00000023985	ENSP00000312837
ENSMODP00000020813	ENSP00000262305
ENSMODP00000013647	ENSP00000368341
ENSMODP00000020553	ENSP00000348538
ENSMODP00000013103	ENSP00000222511
ENSMODP00000020843	ENSP00000359859
ENSMODP00000018507	ENSP00000296543
ENSMODP00000018506	ENSP00000368716
ENSMODP00000004266	ENSP00000280800
ENSMODP00000022691	ENSP00000240617
ENSMODP00000035741	ENSP00000371201
ENSMODP00000005305	ENSP00000311257
ENSMODP00000013463	ENSP00000298596
ENSMODP00000021522	ENSP00000225171
ENSMODP00000005499	ENSP00000362935
ENSMODP00000013266	ENSP00000399259
ENSMODP00000000669	ENSP00000324549
ENSMODP00000031325	ENSP00000430904
ENSMODP00000022348	ENSP00000374484
ENSMODP00000028606	ENSP00000283206
ENSMODP00000021171	ENSP00000266068
ENSMODP00000006698	ENSP00000351314
ENSMODP00000024644	ENSP00000259457
ENSMODP00000001887	ENSP00000286692
ENSMODP00000019858	ENSP00000254663
ENSMODP00000015840	ENSP00000323927
ENSMODP00000011529	ENSP00000366460
ENSMODP00000022938	ENSP00000195654
ENSMODP00000026269	ENSP00000382104
ENSMODP00000026854	ENSP00000256925
ENSMODP00000020927	ENSP00000279101
ENSMODP00000015028	ENSP00000306881
ENSMODP00000007049	ENSP00000338844
ENSMODP00000026447	ENSP00000415436
ENSMODP00000020002	ENSP00000384198
ENSMODP00000023892	ENSP00000326170
ENSMODP00000019978	ENSP00000376258
ENSMODP00000009819	ENSP00000265056
ENSMODP00000024170	ENSP00000335651
ENSMODP00000005552	ENSP00000376458
ENSMODP00000001241	ENSP00000371420
ENSMODP00000026767	ENSP00000404700
ENSMODP00000002804	ENSP00000457991
ENSMODP00000006426	ENSP00000262719
ENSMODP00000009759	ENSP00000377725
ENSMODP00000014926	ENSP00000272771
ENSMODP00000028612	ENSP00000302530
ENSMODP00000000684	ENSP00000287598
ENSMODP00000016714	ENSP00000364976
ENSMODP00000021379	ENSP00000471505
ENSMODP00000021087	ENSP00000311083
ENSMODP00000032097	ENSP00000379042
ENSMODP00000029287	ENSP00000366620
ENSMODP00000011422	ENSP00000377192
ENSMODP00000033761	ENSP00000379619
ENSMODP00000000424	ENSP00000294664
ENSMODP00000008335	ENSP00000400252
ENSMODP00000022081	ENSP00000362092
ENSMODP00000022790	ENSP00000358423
ENSMODP00000035346	ENSP00000386647
ENSMODP00000000875	ENSP00000339587
ENSMODP00000008131	ENSP00000367498
ENSMODP00000005284	ENSP00000356669
ENSMODP00000024621	ENSP00000362774
ENSMODP00000026582	ENSP00000419465
ENSMODP00000013489	ENSP00000261592
ENSMODP00000009998	ENSP00000254730
ENSMODP00000019426	ENSP00000322439
ENSMODP00000021759	ENSP00000315680
ENSMODP00000023470	ENSP00000360107
ENSMODP00000026369	ENSP00000404232
ENSMODP00000024180	ENSP00000307041
ENSMODP00000018633	ENSP00000370047
ENSMODP00000022372	ENSP00000357928
ENSMODP00000026626	ENSP00000263966
ENSMODP00000022630	ENSP00000229268
ENSMODP00000026569	ENSP00000340736
ENSMODP00000037165	ENSP00000309477
ENSMODP00000026787	ENSP00000258886
ENSMODP00000006968	ENSP00000356634
ENSMODP00000003182	ENSP00000438468
ENSMODP00000017001	ENSP00000405423
ENSMODP00000025757	ENSP00000295448
ENSMODP00000015308	ENSP00000366843
ENSMODP00000003720	ENSP00000370031
ENSMODP00000012464	ENSP00000268057
ENSMODP00000026855	ENSP00000341874
ENSMODP00000012483	ENSP00000369162
ENSMODP00000020707	ENSP00000357835
ENSMODP00000004768	ENSP00000298251
ENSMODP00000021650	ENSP00000312379
ENSMODP00000012791	ENSP00000298492
ENSMODP00000010976	ENSP00000263354
ENSMODP00000007791	ENSP00000366225
ENSMODP00000010838	ENSP00000365529
ENSMODP00000015722	ENSP00000345060
ENSMODP00000017120	ENSP00000321636
ENSMODP00000022073	ENSP00000381773
ENSMODP00000013687	ENSP00000262419
ENSMODP00000019743	ENSP00000281772
ENSMODP00000012648	ENSP00000367453
ENSMODP00000004805	ENSP00000419494
ENSMODP00000019187	ENSP00000233099
ENSMODP00000033024	ENSP00000371903
ENSMODP00000001395	ENSP00000350734
ENSMODP00000014951	ENSP00000262198
ENSMODP00000020435	ENSP00000379346
ENSMODP00000007438	ENSP00000415203
ENSMODP00000009625	ENSP00000367880
ENSMODP00000024023	ENSP00000226218
ENSMODP00000036128	ENSP00000399679
ENSMODP00000007545	ENSP00000403453
ENSMODP00000000063	ENSP00000359600
ENSMODP00000018345	ENSP00000436785
ENSMODP00000022188	ENSP00000353557
ENSMODP00000002041	ENSP00000325677
ENSMODP00000024746	ENSP00000265245
ENSMODP00000026846	ENSP00000269214
ENSMODP00000020077	ENSP00000308405
ENSMODP00000020692	ENSP00000216259
ENSMODP00000021402	ENSP00000400958
ENSMODP00000000146	ENSP00000345206
ENSMODP00000020231	ENSP00000341243
ENSMODP00000011371	ENSP00000281961
ENSMODP00000000827	ENSP00000314396
ENSMODP00000022368	ENSP00000266395
ENSMODP00000003284	ENSP00000328412
ENSMODP00000018339	ENSP00000300051
ENSMODP00000012113	ENSP00000264167
ENSMODP00000038765	ENSP00000384262
ENSMODP00000003389	ENSP00000228476
ENSMODP00000022363	ENSP00000357920
ENSMODP00000009104	ENSP00000298198
ENSMODP00000025541	ENSP00000265070
ENSMODP00000023454	ENSP00000271732
ENSMODP00000018982	ENSP00000339207
ENSMODP00000018143	ENSP00000263383
ENSMODP00000018406	ENSP00000389948
ENSMODP00000013345	ENSP00000428765
ENSMODP00000009783	ENSP00000357900
ENSMODP00000025519	ENSP00000371517
ENSMODP00000032890	ENSP00000312054
ENSMODP00000004301	ENSP00000359526
ENSMODP00000021310	ENSP00000307854
ENSMODP00000012054	ENSP00000353739
ENSMODP00000021675	ENSP00000313833
ENSMODP00000041000	ENSP00000386162
ENSMODP00000021598	ENSP00000360687
ENSMODP00000004780	ENSP00000303149
ENSMODP00000012211	ENSP00000331600
ENSMODP00000034569	ENSP00000297146
ENSMODP00000007596	ENSP00000335261
ENSMODP00000012933	ENSP00000365891
ENSMODP00000006316	ENSP00000378364
ENSMODP00000019331	ENSP00000233202
ENSMODP00000034849	ENSP00000295049
ENSMODP00000018154	ENSP00000260270
ENSMODP00000026833	ENSP00000462647
ENSMODP00000032823	ENSP00000280258
ENSMODP00000021128	ENSP00000263780
ENSMODP00000008520	ENSP00000258198
ENSMODP00000019002	ENSP00000273130
ENSMODP00000018575	ENSP00000262065
ENSMODP00000020977	ENSP00000251588
ENSMODP00000008851	ENSP00000309899
ENSMODP00000029365	ENSP00000361721
ENSMODP00000029358	ENSP00000356623
ENSMODP00000008574	ENSP00000313811
ENSMODP00000008228	ENSP00000459214
ENSMODP00000016403	ENSP00000209728
ENSMODP00000038078	ENSP00000360623
ENSMODP00000015436	ENSP00000304292
ENSMODP00000002384	ENSP00000340836
ENSMODP00000015529	ENSP00000361345
ENSMODP00000006753	ENSP00000261534
ENSMODP00000015583	ENSP00000361302
ENSMODP00000025779	ENSP00000265174
ENSMODP00000036738	ENSP00000349393
ENSMODP00000012425	ENSP00000216446
ENSMODP00000019037	ENSP00000390849
ENSMODP00000006946	ENSP00000414558
ENSMODP00000021708	ENSP00000476668
ENSMODP00000010115	ENSP00000397644
ENSMODP00000023540	ENSP00000290524
ENSMODP00000010386	ENSP00000326244
ENSMODP00000023617	ENSP00000393161
ENSMODP00000015303	ENSP00000398076
ENSMODP00000004650	ENSP00000280193
ENSMODP00000021499	ENSP00000297904
ENSMODP00000000103	ENSP00000288266
ENSMODP00000031608	ENSP00000396915
ENSMODP00000016185	ENSP00000376523
ENSMODP00000015143	ENSP00000452746
ENSMODP00000003886	ENSP00000387261
ENSMODP00000007992	ENSP00000365725
ENSMODP00000010363	ENSP00000344829
ENSMODP00000026910	ENSP00000012049
ENSMODP00000030234	ENSP00000386414
ENSMODP00000016075	ENSP00000362109
ENSMODP00000016151	ENSP00000309092
ENSMODP00000018851	ENSP00000350949
ENSMODP00000002948	ENSP00000453129
ENSMODP00000009475	ENSP00000465930
ENSMODP00000010860	ENSP00000278174
ENSMODP00000016958	ENSP00000362836
ENSMODP00000007575	ENSP00000355747
ENSMODP00000008410	ENSP00000326366
ENSMODP00000002952	ENSP00000398089
ENSMODP00000034484	ENSP00000460825
ENSMODP00000008961	ENSP00000291495
ENSMODP00000012903	ENSP00000261883
ENSMODP00000008669	ENSP00000352463
ENSMODP00000017608	ENSP00000323074
ENSMODP00000005790	ENSP00000358541
ENSMODP00000035115	ENSP00000355741
ENSMODP00000002985	ENSP00000296657
ENSMODP00000039163	ENSP00000371472
ENSMODP00000011942	ENSP00000330382
ENSMODP00000010591	ENSP00000346508
ENSMODP00000009706	ENSP00000373610
ENSMODP00000022401	ENSP00000230122
ENSMODP00000010607	ENSP00000392812
ENSMODP00000013493	ENSP00000340691
ENSMODP00000015232	ENSP00000362314
ENSMODP00000017793	ENSP00000454646
ENSMODP00000028270	ENSP00000299709
ENSMODP00000011653	ENSP00000294742
ENSMODP00000024658	ENSP00000345361
ENSMODP00000024154	ENSP00000359370
ENSMODP00000015096	ENSP00000378721
ENSMODP00000029663	ENSP00000363329
ENSMODP00000005622	ENSP00000259392
ENSMODP00000025849	ENSP00000273986
ENSMODP00000006294	ENSP00000442954
ENSMODP00000010366	ENSP00000269391
ENSMODP00000023073	ENSP00000328426
ENSMODP00000015489	ENSP00000417509
ENSMODP00000002290	ENSP00000456348
ENSMODP00000024248	ENSP00000281631
ENSMODP00000017245	ENSP00000236850
ENSMODP00000017253	ENSP00000350425
ENSMODP00000008602	ENSP00000430548
ENSMODP00000013209	ENSP00000229583
ENSMODP00000021550	ENSP00000350509
ENSMODP00000008697	ENSP00000436455
ENSMODP00000003483	ENSP00000386862
ENSMODP00000001683	ENSP00000383185
ENSMODP00000032274	ENSP00000330278
ENSMODP00000000617	ENSP00000282406
ENSMODP00000023670	ENSP00000361522
ENSMODP00000016460	ENSP00000411124
ENSMODP00000006695	ENSP00000216468
ENSMODP00000016854	ENSP00000203407
ENSMODP00000017318	ENSP00000355720
ENSMODP00000032069	ENSP00000394085
ENSMODP00000014989	ENSP00000294119
ENSMODP00000035226	ENSP00000342392
ENSMODP00000004986	ENSP00000281047
ENSMODP00000020122	ENSP00000362987
ENSMODP00000011870	ENSP00000415491
ENSMODP00000014359	ENSP00000222219
ENSMODP00000000612	ENSP00000359699
ENSMODP00000005743	ENSP00000275732
ENSMODP00000035169	ENSP00000317039
ENSMODP00000016256	ENSP00000284273
ENSMODP00000026289	ENSP00000317327
ENSMODP00000020523	ENSP00000360437
ENSMODP00000026753	ENSP00000323635
ENSMODP00000024616	ENSP00000379441
ENSMODP00000038186	ENSP00000276201
ENSMODP00000020646	ENSP00000435897
ENSMODP00000012747	ENSP00000265271
ENSMODP00000001919	ENSP00000267229
ENSMODP00000019275	ENSP00000388550
ENSMODP00000013847	ENSP00000256257
ENSMODP00000018382	ENSP00000265840
ENSMODP00000036183	ENSP00000326342
ENSMODP00000000108	ENSP00000362123
ENSMODP00000023875	ENSP00000391101
ENSMODP00000000890	ENSP00000261441
ENSMODP00000021405	ENSP00000334040
ENSMODP00000011302	ENSP00000247225
ENSMODP00000035152	ENSP00000315137
ENSMODP00000006146	ENSP00000304467
ENSMODP00000023152	ENSP00000359464
ENSMODP00000033105	ENSP00000279146
ENSMODP00000020750	ENSP00000370521
ENSMODP00000025497	ENSP00000440626
ENSMODP00000016125	ENSP00000363614
ENSMODP00000040015	ENSP00000403130
ENSMODP00000009661	ENSP00000342518
ENSMODP00000010599	ENSP00000355577
ENSMODP00000002170	ENSP00000268097
ENSMODP00000002282	ENSP00000261416
ENSMODP00000006255	ENSP00000326604
ENSMODP00000023516	ENSP00000267102
ENSMODP00000002580	ENSP00000356058
ENSMODP00000002603	ENSP00000348888
ENSMODP00000025609	ENSP00000323246
ENSMODP00000011256	ENSP00000434199
ENSMODP00000014235	ENSP00000298288
ENSMODP00000022720	ENSP00000295628
ENSMODP00000010533	ENSP00000379568
ENSMODP00000013998	ENSP00000405969
ENSMODP00000024122	ENSP00000230792
ENSMODP00000000163	ENSP00000349874
ENSMODP00000010317	ENSP00000392330
ENSMODP00000010121	ENSP00000373364
ENSMODP00000023801	ENSP00000424544
ENSMODP00000000614	ENSP00000356256
ENSMODP00000018318	ENSP00000262144
ENSMODP00000020908	ENSP00000293883
ENSMODP00000025913	ENSP00000296411
ENSMODP00000011073	ENSP00000315152
ENSMODP00000022354	ENSP00000357907
ENSMODP00000009941	ENSP00000243253
ENSMODP00000020997	ENSP00000298428
ENSMODP00000014626	ENSP00000419879
ENSMODP00000025992	ENSP00000295887
ENSMODP00000016730	ENSP00000472474
ENSMODP00000015438	ENSP00000314792
