ENSORLP00000011382	ENSGACP00000024945
ENSORLP00000007120	ENSGACP00000026211
ENSORLP00000014043	ENSGACP00000010359
ENSORLP00000019446	ENSGACP00000008822
ENSORLP00000011375	ENSGACP00000009155
ENSORLP00000003554	ENSGACP00000007501
ENSORLP00000015073	ENSGACP00000024109
ENSORLP00000004075	ENSGACP00000018128
ENSORLP00000010125	ENSGACP00000002043
ENSORLP00000005894	ENSGACP00000020799
ENSORLP00000016965	ENSGACP00000024862
ENSORLP00000005907	ENSGACP00000025821
ENSORLP00000005126	ENSGACP00000014426
ENSORLP00000013193	ENSGACP00000003767
ENSORLP00000019315	ENSGACP00000018840
ENSORLP00000024717	ENSGACP00000005377
ENSORLP00000013410	ENSGACP00000026799
ENSORLP00000005334	ENSGACP00000014953
ENSORLP00000011443	ENSGACP00000026898
ENSORLP00000017053	ENSGACP00000002536
ENSORLP00000020586	ENSGACP00000008045
ENSORLP00000020760	ENSGACP00000015512
ENSORLP00000019029	ENSGACP00000000754
ENSORLP00000008361	ENSGACP00000007274
ENSORLP00000023906	ENSGACP00000014739
ENSORLP00000001371	ENSGACP00000012896
ENSORLP00000019923	ENSGACP00000018088
ENSORLP00000000360	ENSGACP00000021688
ENSORLP00000002647	ENSGACP00000017445
ENSORLP00000010561	ENSGACP00000009690
ENSORLP00000015469	ENSGACP00000024244
ENSORLP00000006027	ENSGACP00000025838
ENSORLP00000019596	ENSGACP00000014476
ENSORLP00000021284	ENSGACP00000007110
ENSORLP00000012400	ENSGACP00000004716
ENSORLP00000014703	ENSGACP00000016729
ENSORLP00000023093	ENSGACP00000003302
ENSORLP00000011560	ENSGACP00000017021
ENSORLP00000015154	ENSGACP00000025619
ENSORLP00000012214	ENSGACP00000025783
ENSORLP00000011268	ENSGACP00000010233
ENSORLP00000000531	ENSGACP00000018317
ENSORLP00000022012	ENSGACP00000014147
ENSORLP00000020274	ENSGACP00000017361
ENSORLP00000006459	ENSGACP00000020670
ENSORLP00000018488	ENSGACP00000018062
ENSORLP00000004180	ENSGACP00000025655
ENSORLP00000009583	ENSGACP00000011918
ENSORLP00000025629	ENSGACP00000020130
ENSORLP00000018144	ENSGACP00000012509
ENSORLP00000016376	ENSGACP00000003032
ENSORLP00000001190	ENSGACP00000019057
ENSORLP00000006400	ENSGACP00000018471
ENSORLP00000014285	ENSGACP00000014129
ENSORLP00000020878	ENSGACP00000026513
ENSORLP00000012263	ENSGACP00000025784
ENSORLP00000022644	ENSGACP00000017404
ENSORLP00000019787	ENSGACP00000018165
ENSORLP00000024448	ENSGACP00000018510
ENSORLP00000024453	ENSGACP00000018515
ENSORLP00000010822	ENSGACP00000001839
ENSORLP00000020793	ENSGACP00000017830
ENSORLP00000019352	ENSGACP00000007489
ENSORLP00000008703	ENSGACP00000025523
ENSORLP00000014795	ENSGACP00000019920
ENSORLP00000021237	ENSGACP00000017503
ENSORLP00000017699	ENSGACP00000019685
ENSORLP00000010606	ENSGACP00000012970
ENSORLP00000014142	ENSGACP00000015526
ENSORLP00000006785	ENSGACP00000026097
ENSORLP00000018783	ENSGACP00000013402
ENSORLP00000020810	ENSGACP00000009954
ENSORLP00000005808	ENSGACP00000018668
ENSORLP00000012156	ENSGACP00000021805
ENSORLP00000014236	ENSGACP00000014181
ENSORLP00000013816	ENSGACP00000004299
ENSORLP00000009296	ENSGACP00000014369
ENSORLP00000014946	ENSGACP00000006237
ENSORLP00000012931	ENSGACP00000005443
ENSORLP00000018289	ENSGACP00000000827
ENSORLP00000016582	ENSGACP00000025393
ENSORLP00000020360	ENSGACP00000002260
ENSORLP00000005426	ENSGACP00000021060
ENSORLP00000006343	ENSGACP00000023831
ENSORLP00000021224	ENSGACP00000006965
ENSORLP00000020286	ENSGACP00000007154
ENSORLP00000018138	ENSGACP00000011463
ENSORLP00000019690	ENSGACP00000018198
ENSORLP00000019696	ENSGACP00000018201
ENSORLP00000017783	ENSGACP00000027491
ENSORLP00000017801	ENSGACP00000027488
ENSORLP00000007661	ENSGACP00000027317
ENSORLP00000012128	ENSGACP00000024692
ENSORLP00000002892	ENSGACP00000004301
ENSORLP00000002782	ENSGACP00000022286
ENSORLP00000024597	ENSGACP00000001254
ENSORLP00000002994	ENSGACP00000019479
ENSORLP00000025687	ENSGACP00000007449
ENSORLP00000015770	ENSGACP00000024316
ENSORLP00000011728	ENSGACP00000024755
ENSORLP00000015885	ENSGACP00000005525
ENSORLP00000004907	ENSGACP00000018636
ENSORLP00000014019	ENSGACP00000014813
ENSORLP00000015646	ENSGACP00000012940
ENSORLP00000004667	ENSGACP00000018529
ENSORLP00000007841	ENSGACP00000024145
ENSORLP00000008284	ENSGACP00000027346
ENSORLP00000006671	ENSGACP00000009087
ENSORLP00000003490	ENSGACP00000012574
ENSORLP00000010075	ENSGACP00000012476
ENSORLP00000015421	ENSGACP00000018760
ENSORLP00000007009	ENSGACP00000007924
ENSORLP00000010019	ENSGACP00000020842
ENSORLP00000015895	ENSGACP00000005505
ENSORLP00000008744	ENSGACP00000012500
ENSORLP00000018377	ENSGACP00000019238
ENSORLP00000012749	ENSGACP00000021452
ENSORLP00000010276	ENSGACP00000025142
ENSORLP00000011716	ENSGACP00000015946
ENSORLP00000003820	ENSGACP00000005037
ENSORLP00000016280	ENSGACP00000013924
ENSORLP00000009679	ENSGACP00000011863
ENSORLP00000010356	ENSGACP00000010599
ENSORLP00000012995	ENSGACP00000024535
ENSORLP00000020812	ENSGACP00000017810
ENSORLP00000023550	ENSGACP00000004863
ENSORLP00000020782	ENSGACP00000017012
ENSORLP00000001882	ENSGACP00000005287
ENSORLP00000001506	ENSGACP00000019653
ENSORLP00000016444	ENSGACP00000004652
ENSORLP00000005061	ENSGACP00000001361
ENSORLP00000021864	ENSGACP00000007654
ENSORLP00000019187	ENSGACP00000011773
ENSORLP00000022679	ENSGACP00000001902
ENSORLP00000010320	ENSGACP00000020875
ENSORLP00000006688	ENSGACP00000008119
ENSORLP00000021298	ENSGACP00000014964
ENSORLP00000001121	ENSGACP00000005011
ENSORLP00000016103	ENSGACP00000024159
ENSORLP00000005305	ENSGACP00000023677
ENSORLP00000020385	ENSGACP00000002254
ENSORLP00000024974	ENSGACP00000016946
ENSORLP00000003387	ENSGACP00000005110
ENSORLP00000023999	ENSGACP00000004505
ENSORLP00000006446	ENSGACP00000009023
ENSORLP00000010863	ENSGACP00000010662
ENSORLP00000000069	ENSGACP00000019727
ENSORLP00000018084	ENSGACP00000002940
ENSORLP00000003379	ENSGACP00000016051
ENSORLP00000022137	ENSGACP00000009611
ENSORLP00000021343	ENSGACP00000008429
ENSORLP00000019747	ENSGACP00000018218
ENSORLP00000017949	ENSGACP00000011864
ENSORLP00000006140	ENSGACP00000008392
ENSORLP00000016419	ENSGACP00000021860
ENSORLP00000016243	ENSGACP00000020057
ENSORLP00000010789	ENSGACP00000015226
ENSORLP00000018328	ENSGACP00000009673
ENSORLP00000020899	ENSGACP00000013961
ENSORLP00000013259	ENSGACP00000021277
ENSORLP00000001922	ENSGACP00000020609
ENSORLP00000007702	ENSGACP00000010892
ENSORLP00000007711	ENSGACP00000010898
ENSORLP00000006918	ENSGACP00000021496
ENSORLP00000021985	ENSGACP00000024829
ENSORLP00000005918	ENSGACP00000014508
ENSORLP00000021449	ENSGACP00000014713
ENSORLP00000004798	ENSGACP00000025761
ENSORLP00000010130	ENSGACP00000001851
ENSORLP00000022618	ENSGACP00000017272
ENSORLP00000002665	ENSGACP00000004718
ENSORLP00000014416	ENSGACP00000025113
ENSORLP00000020645	ENSGACP00000014491
ENSORLP00000010073	ENSGACP00000003668
ENSORLP00000017319	ENSGACP00000004396
ENSORLP00000015833	ENSGACP00000015549
ENSORLP00000005561	ENSGACP00000021189
ENSORLP00000019457	ENSGACP00000020007
ENSORLP00000010249	ENSGACP00000020864
ENSORLP00000021256	ENSGACP00000015057
ENSORLP00000011378	ENSGACP00000004308
ENSORLP00000013201	ENSGACP00000007742
ENSORLP00000002058	ENSGACP00000022735
ENSORLP00000017386	ENSGACP00000005665
ENSORLP00000002021	ENSGACP00000020470
ENSORLP00000010413	ENSGACP00000012078
ENSORLP00000000115	ENSGACP00000019681
ENSORLP00000011519	ENSGACP00000012185
ENSORLP00000017738	ENSGACP00000005671
ENSORLP00000010084	ENSGACP00000025152
ENSORLP00000005499	ENSGACP00000027215
ENSORLP00000024188	ENSGACP00000023573
ENSORLP00000019051	ENSGACP00000014216
ENSORLP00000018921	ENSGACP00000003458
ENSORLP00000010438	ENSGACP00000007960
ENSORLP00000012428	ENSGACP00000003479
ENSORLP00000009922	ENSGACP00000022496
ENSORLP00000019196	ENSGACP00000026186
ENSORLP00000024687	ENSGACP00000005348
ENSORLP00000004490	ENSGACP00000021898
ENSORLP00000009265	ENSGACP00000010525
ENSORLP00000018660	ENSGACP00000016916
ENSORLP00000024142	ENSGACP00000010406
ENSORLP00000023183	ENSGACP00000020313
ENSORLP00000022216	ENSGACP00000022705
ENSORLP00000009170	ENSGACP00000012071
ENSORLP00000011417	ENSGACP00000021227
ENSORLP00000003107	ENSGACP00000005711
ENSORLP00000012600	ENSGACP00000016377
ENSORLP00000014199	ENSGACP00000004496
ENSORLP00000023377	ENSGACP00000004794
ENSORLP00000023397	ENSGACP00000004818
ENSORLP00000008096	ENSGACP00000025594
ENSORLP00000005987	ENSGACP00000020198
ENSORLP00000006077	ENSGACP00000020186
ENSORLP00000009623	ENSGACP00000022675
ENSORLP00000018630	ENSGACP00000018588
ENSORLP00000025685	ENSGACP00000007404
ENSORLP00000007932	ENSGACP00000009947
ENSORLP00000003518	ENSGACP00000023991
ENSORLP00000021884	ENSGACP00000006246
ENSORLP00000006699	ENSGACP00000013276
ENSORLP00000005444	ENSGACP00000023696
ENSORLP00000002774	ENSGACP00000006151
ENSORLP00000008263	ENSGACP00000025587
ENSORLP00000008828	ENSGACP00000025492
ENSORLP00000009724	ENSGACP00000027009
ENSORLP00000003319	ENSGACP00000016872
ENSORLP00000015162	ENSGACP00000015036
ENSORLP00000020661	ENSGACP00000026483
ENSORLP00000010489	ENSGACP00000011576
ENSORLP00000012557	ENSGACP00000015768
ENSORLP00000007939	ENSGACP00000020536
ENSORLP00000016253	ENSGACP00000004506
ENSORLP00000020264	ENSGACP00000005880
ENSORLP00000009320	ENSGACP00000025356
ENSORLP00000021076	ENSGACP00000012787
ENSORLP00000010096	ENSGACP00000014465
ENSORLP00000009243	ENSGACP00000024376
ENSORLP00000008459	ENSGACP00000011540
ENSORLP00000005336	ENSGACP00000011240
ENSORLP00000022680	ENSGACP00000002846
ENSORLP00000002951	ENSGACP00000019442
ENSORLP00000007549	ENSGACP00000002795
ENSORLP00000017973	ENSGACP00000004027
ENSORLP00000019755	ENSGACP00000026277
ENSORLP00000007126	ENSGACP00000007866
ENSORLP00000007654	ENSGACP00000020479
ENSORLP00000009437	ENSGACP00000011227
ENSORLP00000001694	ENSGACP00000019147
ENSORLP00000017076	ENSGACP00000003048
ENSORLP00000003582	ENSGACP00000005928
ENSORLP00000020730	ENSGACP00000014608
ENSORLP00000008146	ENSGACP00000010159
ENSORLP00000006460	ENSGACP00000014195
ENSORLP00000020784	ENSGACP00000015554
ENSORLP00000016013	ENSGACP00000006116
ENSORLP00000005949	ENSGACP00000009057
ENSORLP00000016890	ENSGACP00000006710
ENSORLP00000017549	ENSGACP00000023901
ENSORLP00000012224	ENSGACP00000021583
ENSORLP00000008101	ENSGACP00000013045
ENSORLP00000008734	ENSGACP00000027369
ENSORLP00000013897	ENSGACP00000026737
ENSORLP00000017211	ENSGACP00000016188
ENSORLP00000013572	ENSGACP00000023247
ENSORLP00000021175	ENSGACP00000008721
ENSORLP00000015801	ENSGACP00000025517
ENSORLP00000003350	ENSGACP00000007442
ENSORLP00000002865	ENSGACP00000002045
ENSORLP00000011961	ENSGACP00000016773
ENSORLP00000018896	ENSGACP00000026147
ENSORLP00000018299	ENSGACP00000016650
ENSORLP00000013896	ENSGACP00000016941
ENSORLP00000013076	ENSGACP00000003735
ENSORLP00000009052	ENSGACP00000024331
ENSORLP00000015153	ENSGACP00000013671
ENSORLP00000007719	ENSGACP00000002565
ENSORLP00000020708	ENSGACP00000017875
ENSORLP00000002871	ENSGACP00000021533
ENSORLP00000007584	ENSGACP00000012372
ENSORLP00000008216	ENSGACP00000024214
ENSORLP00000018448	ENSGACP00000009590
ENSORLP00000005114	ENSGACP00000021130
ENSORLP00000001690	ENSGACP00000019140
ENSORLP00000009194	ENSGACP00000011090
ENSORLP00000017051	ENSGACP00000003090
ENSORLP00000006712	ENSGACP00000013900
ENSORLP00000006833	ENSGACP00000026558
ENSORLP00000006764	ENSGACP00000013855
ENSORLP00000014650	ENSGACP00000004675
ENSORLP00000010141	ENSGACP00000003691
ENSORLP00000015117	ENSGACP00000020069
ENSORLP00000016255	ENSGACP00000012315
ENSORLP00000008757	ENSGACP00000027370
ENSORLP00000008262	ENSGACP00000027344
ENSORLP00000003223	ENSGACP00000016919
ENSORLP00000002679	ENSGACP00000017196
ENSORLP00000016085	ENSGACP00000004820
ENSORLP00000004439	ENSGACP00000008108
ENSORLP00000013553	ENSGACP00000005284
ENSORLP00000015576	ENSGACP00000026695
ENSORLP00000018778	ENSGACP00000017040
ENSORLP00000012357	ENSGACP00000026828
ENSORLP00000002554	ENSGACP00000022333
ENSORLP00000024331	ENSGACP00000011943
ENSORLP00000021121	ENSGACP00000017683
ENSORLP00000024405	ENSGACP00000020415
ENSORLP00000010557	ENSGACP00000010229
ENSORLP00000012193	ENSGACP00000021790
ENSORLP00000023607	ENSGACP00000000993
ENSORLP00000013551	ENSGACP00000016736
ENSORLP00000008524	ENSGACP00000023120
ENSORLP00000007971	ENSGACP00000012072
ENSORLP00000010825	ENSGACP00000022155
ENSORLP00000021902	ENSGACP00000015623
ENSORLP00000000262	ENSGACP00000019598
ENSORLP00000007783	ENSGACP00000010050
ENSORLP00000012162	ENSGACP00000026827
ENSORLP00000001035	ENSGACP00000023095
ENSORLP00000015867	ENSGACP00000009306
ENSORLP00000005556	ENSGACP00000011195
ENSORLP00000020836	ENSGACP00000026501
ENSORLP00000009639	ENSGACP00000012169
ENSORLP00000022792	ENSGACP00000006407
ENSORLP00000022962	ENSGACP00000001490
ENSORLP00000001327	ENSGACP00000004841
ENSORLP00000004896	ENSGACP00000015187
ENSORLP00000004443	ENSGACP00000027170
ENSORLP00000006347	ENSGACP00000016710
ENSORLP00000009405	ENSGACP00000022218
ENSORLP00000009826	ENSGACP00000014714
ENSORLP00000015626	ENSGACP00000007461
ENSORLP00000009648	ENSGACP00000014562
ENSORLP00000004552	ENSGACP00000012791
ENSORLP00000017138	ENSGACP00000010469
ENSORLP00000012062	ENSGACP00000021819
ENSORLP00000024023	ENSGACP00000014777
ENSORLP00000015348	ENSGACP00000013467
ENSORLP00000014183	ENSGACP00000015486
ENSORLP00000015313	ENSGACP00000020101
ENSORLP00000005093	ENSGACP00000013031
ENSORLP00000025450	ENSGACP00000021550
ENSORLP00000002726	ENSGACP00000021622
ENSORLP00000020297	ENSGACP00000010397
ENSORLP00000019944	ENSGACP00000014926
ENSORLP00000004472	ENSGACP00000021892
ENSORLP00000008756	ENSGACP00000013764
ENSORLP00000008559	ENSGACP00000011635
ENSORLP00000004240	ENSGACP00000027165
ENSORLP00000015829	ENSGACP00000012853
ENSORLP00000021660	ENSGACP00000009111
ENSORLP00000002441	ENSGACP00000022605
ENSORLP00000016396	ENSGACP00000002311
ENSORLP00000009585	ENSGACP00000022697
ENSORLP00000018020	ENSGACP00000027443
ENSORLP00000007201	ENSGACP00000020380
ENSORLP00000007687	ENSGACP00000002804
ENSORLP00000021415	ENSGACP00000017339
ENSORLP00000010898	ENSGACP00000013285
ENSORLP00000003041	ENSGACP00000002082
ENSORLP00000011839	ENSGACP00000022721
ENSORLP00000004326	ENSGACP00000004729
ENSORLP00000017619	ENSGACP00000013134
ENSORLP00000012004	ENSGACP00000016053
ENSORLP00000009386	ENSGACP00000014399
ENSORLP00000025684	ENSGACP00000018981
ENSORLP00000021309	ENSGACP00000019416
ENSORLP00000016155	ENSGACP00000018866
ENSORLP00000023073	ENSGACP00000005932
ENSORLP00000009406	ENSGACP00000002346
ENSORLP00000007265	ENSGACP00000011222
ENSORLP00000019983	ENSGACP00000006296
ENSORLP00000020006	ENSGACP00000018030
ENSORLP00000014044	ENSGACP00000000094
ENSORLP00000002939	ENSGACP00000002078
ENSORLP00000017597	ENSGACP00000016272
ENSORLP00000018283	ENSGACP00000027458
ENSORLP00000010663	ENSGACP00000022479
ENSORLP00000016228	ENSGACP00000015698
ENSORLP00000007554	ENSGACP00000007562
ENSORLP00000002778	ENSGACP00000004036
ENSORLP00000005721	ENSGACP00000009450
ENSORLP00000009414	ENSGACP00000020765
ENSORLP00000010856	ENSGACP00000010655
ENSORLP00000016015	ENSGACP00000006708
ENSORLP00000016010	ENSGACP00000006694
ENSORLP00000016949	ENSGACP00000002882
ENSORLP00000014465	ENSGACP00000010118
ENSORLP00000023762	ENSGACP00000013745
ENSORLP00000021407	ENSGACP00000017432
ENSORLP00000014274	ENSGACP00000014668
ENSORLP00000000648	ENSGACP00000017756
ENSORLP00000020177	ENSGACP00000006059
ENSORLP00000009255	ENSGACP00000010580
ENSORLP00000016105	ENSGACP00000005565
ENSORLP00000007913	ENSGACP00000011109
ENSORLP00000011580	ENSGACP00000022664
ENSORLP00000002211	ENSGACP00000020654
ENSORLP00000017697	ENSGACP00000027493
ENSORLP00000007918	ENSGACP00000013219
ENSORLP00000007429	ENSGACP00000010724
ENSORLP00000001616	ENSGACP00000020453
ENSORLP00000002026	ENSGACP00000024016
ENSORLP00000015425	ENSGACP00000017608
ENSORLP00000012918	ENSGACP00000010877
ENSORLP00000008716	ENSGACP00000025518
ENSORLP00000023290	ENSGACP00000023167
ENSORLP00000008854	ENSGACP00000010597
ENSORLP00000017267	ENSGACP00000010030
ENSORLP00000024782	ENSGACP00000001112
ENSORLP00000001099	ENSGACP00000006168
ENSORLP00000011045	ENSGACP00000011675
ENSORLP00000007373	ENSGACP00000010677
ENSORLP00000000521	ENSGACP00000005875
ENSORLP00000024385	ENSGACP00000017818
ENSORLP00000008876	ENSGACP00000027380
ENSORLP00000021989	ENSGACP00000001225
ENSORLP00000004202	ENSGACP00000005434
ENSORLP00000012753	ENSGACP00000024965
ENSORLP00000013079	ENSGACP00000026245
ENSORLP00000013238	ENSGACP00000002687
ENSORLP00000006554	ENSGACP00000008820
ENSORLP00000014270	ENSGACP00000000083
ENSORLP00000014852	ENSGACP00000019908
ENSORLP00000016972	ENSGACP00000013177
ENSORLP00000000324	ENSGACP00000010254
ENSORLP00000003815	ENSGACP00000003850
ENSORLP00000018436	ENSGACP00000000634
ENSORLP00000009950	ENSGACP00000022492
ENSORLP00000003706	ENSGACP00000007706
ENSORLP00000008490	ENSGACP00000010362
ENSORLP00000015608	ENSGACP00000004269
ENSORLP00000000087	ENSGACP00000020769
ENSORLP00000019008	ENSGACP00000008597
ENSORLP00000003649	ENSGACP00000023345
ENSORLP00000006767	ENSGACP00000026093
ENSORLP00000005633	ENSGACP00000014237
ENSORLP00000022527	ENSGACP00000022364
ENSORLP00000024583	ENSGACP00000001393
ENSORLP00000019090	ENSGACP00000024160
ENSORLP00000011414	ENSGACP00000018870
ENSORLP00000006451	ENSGACP00000018447
ENSORLP00000014581	ENSGACP00000025043
ENSORLP00000012976	ENSGACP00000026254
ENSORLP00000007920	ENSGACP00000023611
ENSORLP00000002037	ENSGACP00000006446
ENSORLP00000015102	ENSGACP00000007859
ENSORLP00000014887	ENSGACP00000014404
ENSORLP00000006868	ENSGACP00000023968
ENSORLP00000015807	ENSGACP00000018947
ENSORLP00000004752	ENSGACP00000008704
ENSORLP00000009645	ENSGACP00000002910
ENSORLP00000018544	ENSGACP00000018027
ENSORLP00000022167	ENSGACP00000005504
ENSORLP00000008970	ENSGACP00000025471
ENSORLP00000004716	ENSGACP00000011616
ENSORLP00000017458	ENSGACP00000008220
ENSORLP00000008188	ENSGACP00000024206
ENSORLP00000018971	ENSGACP00000027573
ENSORLP00000007333	ENSGACP00000002720
ENSORLP00000010496	ENSGACP00000020893
ENSORLP00000000547	ENSGACP00000005886
ENSORLP00000012101	ENSGACP00000016065
ENSORLP00000015644	ENSGACP00000004065
ENSORLP00000018998	ENSGACP00000003491
ENSORLP00000000181	ENSGACP00000020585
ENSORLP00000010956	ENSGACP00000008121
ENSORLP00000010480	ENSGACP00000010818
ENSORLP00000008957	ENSGACP00000011838
ENSORLP00000007663	ENSGACP00000023745
ENSORLP00000017406	ENSGACP00000008249
ENSORLP00000004628	ENSGACP00000011639
ENSORLP00000011756	ENSGACP00000004248
ENSORLP00000011327	ENSGACP00000020990
ENSORLP00000008212	ENSGACP00000010851
ENSORLP00000011793	ENSGACP00000016840
ENSORLP00000020754	ENSGACP00000026488
ENSORLP00000017236	ENSGACP00000010328
ENSORLP00000004302	ENSGACP00000005725
ENSORLP00000013017	ENSGACP00000001886
ENSORLP00000017391	ENSGACP00000004391
ENSORLP00000018246	ENSGACP00000015991
ENSORLP00000006905	ENSGACP00000020336
ENSORLP00000000343	ENSGACP00000001358
ENSORLP00000013814	ENSGACP00000025058
ENSORLP00000014473	ENSGACP00000014706
ENSORLP00000011088	ENSGACP00000022532
ENSORLP00000002465	ENSGACP00000005923
ENSORLP00000014024	ENSGACP00000007066
ENSORLP00000014042	ENSGACP00000014802
ENSORLP00000011100	ENSGACP00000013414
ENSORLP00000002904	ENSGACP00000002048
ENSORLP00000013149	ENSGACP00000016015
ENSORLP00000018484	ENSGACP00000019216
ENSORLP00000012813	ENSGACP00000021433
ENSORLP00000024969	ENSGACP00000000923
ENSORLP00000005488	ENSGACP00000014338
ENSORLP00000016411	ENSGACP00000012187
ENSORLP00000002413	ENSGACP00000019667
ENSORLP00000015568	ENSGACP00000004025
ENSORLP00000008605	ENSGACP00000007591
ENSORLP00000010255	ENSGACP00000012584
ENSORLP00000016742	ENSGACP00000025864
ENSORLP00000008538	ENSGACP00000003109
ENSORLP00000016641	ENSGACP00000021934
ENSORLP00000006224	ENSGACP00000008590
ENSORLP00000013356	ENSGACP00000015403
ENSORLP00000000352	ENSGACP00000018732
ENSORLP00000019815	ENSGACP00000026296
ENSORLP00000000673	ENSGACP00000018431
ENSORLP00000004493	ENSGACP00000012707
ENSORLP00000010882	ENSGACP00000015263
ENSORLP00000012070	ENSGACP00000026857
ENSORLP00000003241	ENSGACP00000027082
ENSORLP00000010037	ENSGACP00000011210
ENSORLP00000009976	ENSGACP00000012379
ENSORLP00000018810	ENSGACP00000020192
ENSORLP00000005813	ENSGACP00000016980
ENSORLP00000003876	ENSGACP00000012188
ENSORLP00000020126	ENSGACP00000010619
ENSORLP00000004175	ENSGACP00000016299
ENSORLP00000023475	ENSGACP00000004211
ENSORLP00000003204	ENSGACP00000022339
ENSORLP00000013513	ENSGACP00000026795
ENSORLP00000009152	ENSGACP00000022154
ENSORLP00000015443	ENSGACP00000026700
ENSORLP00000020890	ENSGACP00000014059
ENSORLP00000008916	ENSGACP00000011512
ENSORLP00000010582	ENSGACP00000012012
ENSORLP00000006867	ENSGACP00000002585
ENSORLP00000015251	ENSGACP00000014322
ENSORLP00000002539	ENSGACP00000022536
ENSORLP00000016525	ENSGACP00000025405
ENSORLP00000012776	ENSGACP00000015369
ENSORLP00000008268	ENSGACP00000011296
ENSORLP00000011565	ENSGACP00000003149
ENSORLP00000008592	ENSGACP00000011262
ENSORLP00000000538	ENSGACP00000001314
ENSORLP00000013620	ENSGACP00000003979
ENSORLP00000007799	ENSGACP00000012243
ENSORLP00000016323	ENSGACP00000025435
ENSORLP00000017218	ENSGACP00000016531
ENSORLP00000015283	ENSGACP00000014510
ENSORLP00000019004	ENSGACP00000008587
ENSORLP00000007668	ENSGACP00000027318
ENSORLP00000016818	ENSGACP00000021950
ENSORLP00000007232	ENSGACP00000020385
ENSORLP00000017739	ENSGACP00000019230
ENSORLP00000016957	ENSGACP00000013170
ENSORLP00000013021	ENSGACP00000016152
ENSORLP00000012441	ENSGACP00000024638
ENSORLP00000020910	ENSGACP00000017721
ENSORLP00000016386	ENSGACP00000007057
ENSORLP00000004125	ENSGACP00000021835
ENSORLP00000011955	ENSGACP00000016111
ENSORLP00000020592	ENSGACP00000016287
ENSORLP00000015408	ENSGACP00000015204
ENSORLP00000017086	ENSGACP00000023797
ENSORLP00000007642	ENSGACP00000023169
ENSORLP00000023519	ENSGACP00000000876
ENSORLP00000008485	ENSGACP00000011091
ENSORLP00000011437	ENSGACP00000021233
ENSORLP00000023340	ENSGACP00000008655
ENSORLP00000015534	ENSGACP00000007502
ENSORLP00000010069	ENSGACP00000003662
ENSORLP00000015096	ENSGACP00000025589
ENSORLP00000020497	ENSGACP00000017813
ENSORLP00000020564	ENSGACP00000026472
ENSORLP00000015702	ENSGACP00000024232
ENSORLP00000007357	ENSGACP00000007992
ENSORLP00000004535	ENSGACP00000007918
ENSORLP00000004737	ENSGACP00000008681
ENSORLP00000010332	ENSGACP00000014323
ENSORLP00000015793	ENSGACP00000021759
ENSORLP00000000319	ENSGACP00000018695
ENSORLP00000007830	ENSGACP00000024140
ENSORLP00000014437	ENSGACP00000002259
ENSORLP00000002346	ENSGACP00000018112
ENSORLP00000006124	ENSGACP00000021335
ENSORLP00000015175	ENSGACP00000015037
ENSORLP00000015347	ENSGACP00000024002
ENSORLP00000007433	ENSGACP00000012570
ENSORLP00000008533	ENSGACP00000010401
ENSORLP00000006101	ENSGACP00000027247
ENSORLP00000014059	ENSGACP00000021404
ENSORLP00000021480	ENSGACP00000017347
ENSORLP00000005262	ENSGACP00000022016
ENSORLP00000014844	ENSGACP00000014440
ENSORLP00000012015	ENSGACP00000024775
ENSORLP00000017524	ENSGACP00000020416
ENSORLP00000019575	ENSGACP00000007371
ENSORLP00000007236	ENSGACP00000010024
ENSORLP00000016251	ENSGACP00000019110
ENSORLP00000017415	ENSGACP00000000737
ENSORLP00000002293	ENSGACP00000019842
ENSORLP00000010512	ENSGACP00000009756
ENSORLP00000024936	ENSGACP00000021984
ENSORLP00000009890	ENSGACP00000022508
ENSORLP00000003500	ENSGACP00000023290
ENSORLP00000008389	ENSGACP00000012908
ENSORLP00000020768	ENSGACP00000015688
ENSORLP00000002937	ENSGACP00000000469
ENSORLP00000013468	ENSGACP00000016688
ENSORLP00000001111	ENSGACP00000026065
ENSORLP00000008168	ENSGACP00000011907
ENSORLP00000021520	ENSGACP00000005776
ENSORLP00000003642	ENSGACP00000016579
ENSORLP00000021806	ENSGACP00000005850
ENSORLP00000009508	ENSGACP00000010961
ENSORLP00000006384	ENSGACP00000009494
ENSORLP00000021536	ENSGACP00000008874
ENSORLP00000017085	ENSGACP00000012223
ENSORLP00000014424	ENSGACP00000011088
ENSORLP00000024101	ENSGACP00000011789
ENSORLP00000003794	ENSGACP00000020933
ENSORLP00000019353	ENSGACP00000008866
ENSORLP00000025785	ENSGACP00000019132
ENSORLP00000020886	ENSGACP00000007775
ENSORLP00000001200	ENSGACP00000017165
ENSORLP00000024880	ENSGACP00000022032
ENSORLP00000009819	ENSGACP00000022620
ENSORLP00000014224	ENSGACP00000002384
ENSORLP00000019577	ENSGACP00000011347
ENSORLP00000011842	ENSGACP00000016646
ENSORLP00000020026	ENSGACP00000026384
ENSORLP00000024042	ENSGACP00000003238
ENSORLP00000019333	ENSGACP00000018828
ENSORLP00000020327	ENSGACP00000017695
ENSORLP00000006228	ENSGACP00000008818
ENSORLP00000000819	ENSGACP00000012656
ENSORLP00000022286	ENSGACP00000001592
ENSORLP00000014223	ENSGACP00000014577
ENSORLP00000011154	ENSGACP00000022564
ENSORLP00000023109	ENSGACP00000024682
ENSORLP00000011199	ENSGACP00000022089
