ENSCAFP00000014731	ENSLOCP00000009128
ENSCAFP00000008827	ENSLOCP00000009702
ENSCAFP00000024080	ENSLOCP00000011845
ENSCAFP00000002690	ENSLOCP00000012691
ENSCAFP00000010275	ENSLOCP00000002636
ENSCAFP00000023309	ENSLOCP00000016616
ENSCAFP00000027777	ENSLOCP00000003858
ENSCAFP00000018450	ENSLOCP00000012502
ENSCAFP00000008252	ENSLOCP00000015089
ENSCAFP00000001717	ENSLOCP00000011222
ENSCAFP00000042393	ENSLOCP00000004899
ENSCAFP00000030967	ENSLOCP00000012852
ENSCAFP00000007031	ENSLOCP00000020669
ENSCAFP00000000430	ENSLOCP00000000848
ENSCAFP00000019256	ENSLOCP00000002113
ENSCAFP00000028421	ENSLOCP00000003227
ENSCAFP00000024342	ENSLOCP00000017980
ENSCAFP00000006243	ENSLOCP00000021518
ENSCAFP00000034569	ENSLOCP00000000950
ENSCAFP00000001348	ENSLOCP00000018626
ENSCAFP00000012048	ENSLOCP00000010374
ENSCAFP00000009675	ENSLOCP00000010533
ENSCAFP00000003526	ENSLOCP00000013905
ENSCAFP00000020680	ENSLOCP00000016317
ENSCAFP00000029102	ENSLOCP00000010968
ENSCAFP00000037992	ENSLOCP00000022052
ENSCAFP00000016745	ENSLOCP00000021786
ENSCAFP00000035935	ENSLOCP00000021628
ENSCAFP00000002258	ENSLOCP00000021227
ENSCAFP00000019698	ENSLOCP00000012451
ENSCAFP00000006250	ENSLOCP00000014573
ENSCAFP00000007572	ENSLOCP00000012099
ENSCAFP00000018596	ENSLOCP00000009487
ENSCAFP00000005361	ENSLOCP00000020425
ENSCAFP00000020635	ENSLOCP00000013858
ENSCAFP00000009920	ENSLOCP00000012442
ENSCAFP00000027751	ENSLOCP00000002495
ENSCAFP00000000918	ENSLOCP00000012157
ENSCAFP00000005172	ENSLOCP00000020582
ENSCAFP00000010505	ENSLOCP00000006413
ENSCAFP00000016088	ENSLOCP00000000343
ENSCAFP00000003255	ENSLOCP00000014735
ENSCAFP00000003402	ENSLOCP00000010503
ENSCAFP00000005396	ENSLOCP00000011027
ENSCAFP00000013832	ENSLOCP00000010720
ENSCAFP00000022924	ENSLOCP00000010346
ENSCAFP00000024414	ENSLOCP00000017505
ENSCAFP00000027849	ENSLOCP00000000681
ENSCAFP00000033703	ENSLOCP00000004788
ENSCAFP00000000037	ENSLOCP00000004935
ENSCAFP00000000036	ENSLOCP00000004854
ENSCAFP00000023054	ENSLOCP00000016918
ENSCAFP00000017731	ENSLOCP00000011635
ENSCAFP00000005460	ENSLOCP00000020418
ENSCAFP00000025166	ENSLOCP00000009697
ENSCAFP00000003895	ENSLOCP00000020111
ENSCAFP00000003455	ENSLOCP00000015835
ENSCAFP00000006378	ENSLOCP00000019693
ENSCAFP00000021810	ENSLOCP00000002760
ENSCAFP00000026045	ENSLOCP00000004653
ENSCAFP00000025340	ENSLOCP00000016821
ENSCAFP00000020377	ENSLOCP00000011155
ENSCAFP00000036127	ENSLOCP00000015045
ENSCAFP00000038268	ENSLOCP00000017475
ENSCAFP00000029193	ENSLOCP00000021743
ENSCAFP00000025671	ENSLOCP00000017578
ENSCAFP00000007405	ENSLOCP00000013859
ENSCAFP00000019037	ENSLOCP00000011731
ENSCAFP00000015811	ENSLOCP00000005375
ENSCAFP00000005823	ENSLOCP00000009845
ENSCAFP00000023501	ENSLOCP00000016386
ENSCAFP00000008750	ENSLOCP00000007888
ENSCAFP00000036121	ENSLOCP00000000932
ENSCAFP00000025088	ENSLOCP00000012904
ENSCAFP00000014083	ENSLOCP00000009915
ENSCAFP00000009139	ENSLOCP00000010390
ENSCAFP00000001531	ENSLOCP00000014156
ENSCAFP00000009549	ENSLOCP00000009987
ENSCAFP00000009553	ENSLOCP00000010003
ENSCAFP00000023429	ENSLOCP00000015978
ENSCAFP00000014618	ENSLOCP00000013577
ENSCAFP00000006737	ENSLOCP00000021863
ENSCAFP00000016834	ENSLOCP00000018877
ENSCAFP00000011285	ENSLOCP00000004589
ENSCAFP00000016767	ENSLOCP00000018862
ENSCAFP00000009769	ENSLOCP00000000634
ENSCAFP00000010088	ENSLOCP00000017245
ENSCAFP00000021685	ENSLOCP00000008266
ENSCAFP00000028463	ENSLOCP00000002556
ENSCAFP00000016012	ENSLOCP00000015523
ENSCAFP00000000807	ENSLOCP00000010458
ENSCAFP00000034922	ENSLOCP00000013482
ENSCAFP00000036269	ENSLOCP00000022398
ENSCAFP00000031140	ENSLOCP00000021733
ENSCAFP00000003784	ENSLOCP00000021127
ENSCAFP00000008843	ENSLOCP00000019328
ENSCAFP00000041161	ENSLOCP00000016270
ENSCAFP00000027254	ENSLOCP00000016963
ENSCAFP00000029062	ENSLOCP00000004100
ENSCAFP00000030010	ENSLOCP00000004993
ENSCAFP00000009932	ENSLOCP00000018262
ENSCAFP00000014253	ENSLOCP00000014400
ENSCAFP00000021703	ENSLOCP00000008293
ENSCAFP00000019492	ENSLOCP00000011704
ENSCAFP00000010741	ENSLOCP00000004254
ENSCAFP00000017865	ENSLOCP00000017422
ENSCAFP00000011731	ENSLOCP00000006460
ENSCAFP00000025362	ENSLOCP00000016832
ENSCAFP00000022311	ENSLOCP00000001078
ENSCAFP00000005846	ENSLOCP00000020525
ENSCAFP00000001411	ENSLOCP00000011342
ENSCAFP00000024267	ENSLOCP00000006501
ENSCAFP00000016667	ENSLOCP00000001358
ENSCAFP00000022963	ENSLOCP00000000100
ENSCAFP00000030553	ENSLOCP00000007934
ENSCAFP00000030245	ENSLOCP00000005941
ENSCAFP00000015985	ENSLOCP00000009850
ENSCAFP00000024438	ENSLOCP00000016827
ENSCAFP00000026008	ENSLOCP00000013737
ENSCAFP00000000622	ENSLOCP00000019959
ENSCAFP00000017553	ENSLOCP00000007327
ENSCAFP00000017689	ENSLOCP00000000977
ENSCAFP00000006434	ENSLOCP00000009267
ENSCAFP00000006895	ENSLOCP00000009719
ENSCAFP00000018165	ENSLOCP00000004344
ENSCAFP00000003988	ENSLOCP00000020070
ENSCAFP00000013862	ENSLOCP00000015133
ENSCAFP00000037401	ENSLOCP00000012253
ENSCAFP00000037536	ENSLOCP00000017553
ENSCAFP00000004759	ENSLOCP00000002902
ENSCAFP00000020551	ENSLOCP00000009544
ENSCAFP00000002814	ENSLOCP00000014764
ENSCAFP00000009571	ENSLOCP00000007893
ENSCAFP00000039973	ENSLOCP00000010433
ENSCAFP00000004011	ENSLOCP00000014169
ENSCAFP00000008325	ENSLOCP00000001636
ENSCAFP00000006083	ENSLOCP00000008666
ENSCAFP00000026966	ENSLOCP00000005885
ENSCAFP00000000282	ENSLOCP00000007323
ENSCAFP00000014553	ENSLOCP00000013607
ENSCAFP00000015988	ENSLOCP00000002257
ENSCAFP00000038967	ENSLOCP00000011161
ENSCAFP00000013392	ENSLOCP00000018490
ENSCAFP00000003445	ENSLOCP00000015818
ENSCAFP00000010873	ENSLOCP00000004276
ENSCAFP00000000288	ENSLOCP00000007290
ENSCAFP00000026669	ENSLOCP00000006045
ENSCAFP00000016357	ENSLOCP00000005340
ENSCAFP00000014234	ENSLOCP00000004252
ENSCAFP00000022395	ENSLOCP00000007898
ENSCAFP00000023750	ENSLOCP00000019248
ENSCAFP00000007145	ENSLOCP00000019547
ENSCAFP00000008927	ENSLOCP00000020317
ENSCAFP00000017751	ENSLOCP00000017646
ENSCAFP00000011990	ENSLOCP00000013631
ENSCAFP00000025384	ENSLOCP00000007473
ENSCAFP00000013024	ENSLOCP00000011180
ENSCAFP00000042693	ENSLOCP00000014109
ENSCAFP00000026155	ENSLOCP00000010087
ENSCAFP00000033030	ENSLOCP00000016431
ENSCAFP00000003101	ENSLOCP00000010637
ENSCAFP00000041674	ENSLOCP00000012066
ENSCAFP00000016206	ENSLOCP00000012840
ENSCAFP00000008556	ENSLOCP00000008359
ENSCAFP00000023713	ENSLOCP00000015892
ENSCAFP00000042345	ENSLOCP00000008997
ENSCAFP00000027593	ENSLOCP00000018800
ENSCAFP00000015726	ENSLOCP00000014777
ENSCAFP00000003436	ENSLOCP00000010303
ENSCAFP00000005825	ENSLOCP00000011466
ENSCAFP00000026402	ENSLOCP00000014293
ENSCAFP00000024106	ENSLOCP00000020640
ENSCAFP00000032837	ENSLOCP00000005879
ENSCAFP00000025127	ENSLOCP00000015234
ENSCAFP00000011003	ENSLOCP00000001740
ENSCAFP00000023472	ENSLOCP00000015991
ENSCAFP00000001401	ENSLOCP00000014681
ENSCAFP00000026103	ENSLOCP00000018861
ENSCAFP00000020455	ENSLOCP00000014150
ENSCAFP00000020457	ENSLOCP00000012783
ENSCAFP00000002471	ENSLOCP00000011940
ENSCAFP00000027959	ENSLOCP00000007440
ENSCAFP00000014348	ENSLOCP00000007956
ENSCAFP00000018363	ENSLOCP00000002452
ENSCAFP00000021253	ENSLOCP00000008041
ENSCAFP00000009656	ENSLOCP00000006113
ENSCAFP00000027022	ENSLOCP00000018966
ENSCAFP00000028242	ENSLOCP00000001224
ENSCAFP00000030067	ENSLOCP00000003585
ENSCAFP00000038440	ENSLOCP00000001845
ENSCAFP00000002926	ENSLOCP00000019298
ENSCAFP00000027714	ENSLOCP00000003688
ENSCAFP00000002632	ENSLOCP00000018781
ENSCAFP00000009642	ENSLOCP00000002837
ENSCAFP00000000769	ENSLOCP00000019080
ENSCAFP00000039622	ENSLOCP00000012455
ENSCAFP00000017701	ENSLOCP00000021235
ENSCAFP00000012479	ENSLOCP00000002726
ENSCAFP00000031227	ENSLOCP00000018714
ENSCAFP00000037498	ENSLOCP00000007032
ENSCAFP00000008761	ENSLOCP00000007854
ENSCAFP00000040207	ENSLOCP00000005551
ENSCAFP00000000662	ENSLOCP00000012335
ENSCAFP00000015800	ENSLOCP00000004144
ENSCAFP00000006879	ENSLOCP00000018281
ENSCAFP00000010673	ENSLOCP00000017115
ENSCAFP00000037149	ENSLOCP00000005361
ENSCAFP00000004982	ENSLOCP00000006027
ENSCAFP00000018051	ENSLOCP00000004627
ENSCAFP00000012425	ENSLOCP00000002173
ENSCAFP00000015009	ENSLOCP00000005520
ENSCAFP00000014929	ENSLOCP00000001114
ENSCAFP00000026294	ENSLOCP00000010592
ENSCAFP00000036223	ENSLOCP00000008174
ENSCAFP00000026016	ENSLOCP00000015337
ENSCAFP00000024385	ENSLOCP00000015316
ENSCAFP00000003044	ENSLOCP00000012748
ENSCAFP00000000308	ENSLOCP00000010929
ENSCAFP00000002188	ENSLOCP00000019648
ENSCAFP00000029301	ENSLOCP00000014348
ENSCAFP00000041956	ENSLOCP00000010852
ENSCAFP00000009689	ENSLOCP00000019385
ENSCAFP00000009369	ENSLOCP00000012932
ENSCAFP00000027341	ENSLOCP00000017027
ENSCAFP00000029106	ENSLOCP00000003849
ENSCAFP00000014633	ENSLOCP00000007540
ENSCAFP00000040132	ENSLOCP00000004094
ENSCAFP00000012855	ENSLOCP00000008960
ENSCAFP00000016378	ENSLOCP00000009360
ENSCAFP00000018521	ENSLOCP00000004412
ENSCAFP00000005555	ENSLOCP00000012929
ENSCAFP00000013346	ENSLOCP00000010099
ENSCAFP00000011551	ENSLOCP00000016923
ENSCAFP00000020299	ENSLOCP00000011328
ENSCAFP00000017129	ENSLOCP00000002632
ENSCAFP00000013732	ENSLOCP00000015657
ENSCAFP00000019610	ENSLOCP00000013838
ENSCAFP00000006373	ENSLOCP00000008768
ENSCAFP00000025152	ENSLOCP00000018395
ENSCAFP00000009302	ENSLOCP00000014850
ENSCAFP00000014294	ENSLOCP00000009950
ENSCAFP00000031545	ENSLOCP00000020431
ENSCAFP00000029652	ENSLOCP00000000108
ENSCAFP00000019166	ENSLOCP00000002015
ENSCAFP00000017230	ENSLOCP00000004155
ENSCAFP00000030153	ENSLOCP00000000768
ENSCAFP00000010778	ENSLOCP00000018681
ENSCAFP00000018228	ENSLOCP00000006687
ENSCAFP00000024308	ENSLOCP00000015780
ENSCAFP00000006098	ENSLOCP00000013241
ENSCAFP00000014191	ENSLOCP00000008237
ENSCAFP00000026905	ENSLOCP00000001985
ENSCAFP00000034692	ENSLOCP00000006574
ENSCAFP00000012198	ENSLOCP00000006119
ENSCAFP00000006027	ENSLOCP00000016756
ENSCAFP00000019371	ENSLOCP00000015964
ENSCAFP00000015458	ENSLOCP00000000991
ENSCAFP00000004059	ENSLOCP00000014231
ENSCAFP00000000115	ENSLOCP00000004947
ENSCAFP00000027795	ENSLOCP00000012213
ENSCAFP00000000107	ENSLOCP00000012268
ENSCAFP00000003750	ENSLOCP00000015687
ENSCAFP00000014865	ENSLOCP00000006139
ENSCAFP00000037890	ENSLOCP00000020635
ENSCAFP00000013122	ENSLOCP00000015810
ENSCAFP00000003198	ENSLOCP00000014425
ENSCAFP00000021768	ENSLOCP00000014835
ENSCAFP00000029197	ENSLOCP00000008487
ENSCAFP00000028993	ENSLOCP00000017573
ENSCAFP00000023352	ENSLOCP00000016548
ENSCAFP00000004762	ENSLOCP00000006979
ENSCAFP00000028823	ENSLOCP00000007129
ENSCAFP00000021318	ENSLOCP00000000308
ENSCAFP00000006134	ENSLOCP00000017891
ENSCAFP00000000364	ENSLOCP00000021362
ENSCAFP00000003221	ENSLOCP00000001002
ENSCAFP00000019469	ENSLOCP00000015885
ENSCAFP00000002262	ENSLOCP00000014630
ENSCAFP00000005771	ENSLOCP00000021196
ENSCAFP00000016852	ENSLOCP00000001521
ENSCAFP00000021591	ENSLOCP00000009499
ENSCAFP00000002615	ENSLOCP00000013614
ENSCAFP00000020521	ENSLOCP00000009888
ENSCAFP00000020996	ENSLOCP00000002669
ENSCAFP00000017724	ENSLOCP00000019186
ENSCAFP00000007990	ENSLOCP00000011820
ENSCAFP00000002748	ENSLOCP00000015274
ENSCAFP00000025761	ENSLOCP00000012788
ENSCAFP00000026142	ENSLOCP00000018404
ENSCAFP00000026892	ENSLOCP00000001944
ENSCAFP00000014055	ENSLOCP00000014421
ENSCAFP00000035393	ENSLOCP00000009809
ENSCAFP00000016213	ENSLOCP00000002610
ENSCAFP00000002957	ENSLOCP00000013159
ENSCAFP00000006148	ENSLOCP00000019058
ENSCAFP00000006101	ENSLOCP00000017507
ENSCAFP00000007655	ENSLOCP00000020339
ENSCAFP00000024475	ENSLOCP00000016949
ENSCAFP00000026983	ENSLOCP00000005943
ENSCAFP00000022795	ENSLOCP00000002387
ENSCAFP00000020392	ENSLOCP00000005622
ENSCAFP00000009640	ENSLOCP00000012204
ENSCAFP00000009007	ENSLOCP00000019605
ENSCAFP00000020037	ENSLOCP00000012656
ENSCAFP00000039409	ENSLOCP00000003503
ENSCAFP00000024697	ENSLOCP00000014971
ENSCAFP00000002943	ENSLOCP00000005274
ENSCAFP00000027547	ENSLOCP00000006549
ENSCAFP00000020163	ENSLOCP00000001719
ENSCAFP00000030056	ENSLOCP00000006382
ENSCAFP00000021636	ENSLOCP00000008176
ENSCAFP00000001325	ENSLOCP00000021327
ENSCAFP00000021402	ENSLOCP00000002228
ENSCAFP00000024560	ENSLOCP00000003888
ENSCAFP00000019804	ENSLOCP00000005914
ENSCAFP00000004615	ENSLOCP00000020943
ENSCAFP00000026960	ENSLOCP00000002198
ENSCAFP00000001479	ENSLOCP00000014300
ENSCAFP00000006473	ENSLOCP00000019721
ENSCAFP00000013558	ENSLOCP00000013244
ENSCAFP00000024121	ENSLOCP00000011883
ENSCAFP00000014219	ENSLOCP00000009272
ENSCAFP00000009681	ENSLOCP00000019392
ENSCAFP00000011514	ENSLOCP00000010669
ENSCAFP00000018954	ENSLOCP00000007692
ENSCAFP00000008629	ENSLOCP00000016042
ENSCAFP00000029773	ENSLOCP00000003929
ENSCAFP00000038589	ENSLOCP00000008419
ENSCAFP00000013390	ENSLOCP00000014869
ENSCAFP00000016517	ENSLOCP00000005484
ENSCAFP00000011412	ENSLOCP00000009793
ENSCAFP00000008246	ENSLOCP00000002738
ENSCAFP00000039007	ENSLOCP00000009596
ENSCAFP00000023781	ENSLOCP00000003422
ENSCAFP00000023338	ENSLOCP00000015590
ENSCAFP00000010328	ENSLOCP00000009192
ENSCAFP00000022062	ENSLOCP00000008499
ENSCAFP00000027774	ENSLOCP00000015156
ENSCAFP00000019539	ENSLOCP00000006283
ENSCAFP00000010064	ENSLOCP00000007143
ENSCAFP00000043090	ENSLOCP00000003938
ENSCAFP00000032911	ENSLOCP00000022078
ENSCAFP00000004940	ENSLOCP00000022010
ENSCAFP00000029053	ENSLOCP00000016904
ENSCAFP00000002581	ENSLOCP00000019530
ENSCAFP00000022845	ENSLOCP00000017780
ENSCAFP00000020973	ENSLOCP00000013169
ENSCAFP00000006558	ENSLOCP00000021907
ENSCAFP00000038006	ENSLOCP00000021977
ENSCAFP00000011522	ENSLOCP00000012920
ENSCAFP00000030268	ENSLOCP00000006086
ENSCAFP00000008041	ENSLOCP00000001652
ENSCAFP00000038931	ENSLOCP00000015053
ENSCAFP00000008908	ENSLOCP00000015211
ENSCAFP00000029012	ENSLOCP00000006236
ENSCAFP00000037203	ENSLOCP00000022377
ENSCAFP00000035991	ENSLOCP00000022213
ENSCAFP00000025268	ENSLOCP00000021585
ENSCAFP00000029601	ENSLOCP00000004806
ENSCAFP00000028330	ENSLOCP00000002881
ENSCAFP00000005581	ENSLOCP00000007589
ENSCAFP00000011192	ENSLOCP00000001928
ENSCAFP00000040567	ENSLOCP00000011963
ENSCAFP00000025298	ENSLOCP00000013197
ENSCAFP00000029482	ENSLOCP00000007530
ENSCAFP00000016469	ENSLOCP00000015592
ENSCAFP00000040317	ENSLOCP00000004038
ENSCAFP00000009027	ENSLOCP00000010836
ENSCAFP00000040911	ENSLOCP00000019050
ENSCAFP00000024134	ENSLOCP00000017455
ENSCAFP00000006650	ENSLOCP00000001332
ENSCAFP00000015343	ENSLOCP00000003085
ENSCAFP00000018636	ENSLOCP00000010306
ENSCAFP00000018844	ENSLOCP00000021715
ENSCAFP00000000013	ENSLOCP00000009547
ENSCAFP00000012363	ENSLOCP00000016807
ENSCAFP00000017577	ENSLOCP00000009438
ENSCAFP00000011780	ENSLOCP00000016400
ENSCAFP00000016959	ENSLOCP00000002724
ENSCAFP00000026707	ENSLOCP00000018080
ENSCAFP00000026041	ENSLOCP00000013695
ENSCAFP00000006539	ENSLOCP00000020724
ENSCAFP00000021503	ENSLOCP00000014686
ENSCAFP00000022679	ENSLOCP00000012079
ENSCAFP00000006555	ENSLOCP00000018267
ENSCAFP00000001178	ENSLOCP00000003869
ENSCAFP00000010173	ENSLOCP00000007205
ENSCAFP00000042718	ENSLOCP00000015639
ENSCAFP00000032143	ENSLOCP00000016477
ENSCAFP00000021956	ENSLOCP00000016224
ENSCAFP00000007327	ENSLOCP00000014092
ENSCAFP00000008831	ENSLOCP00000010771
ENSCAFP00000012023	ENSLOCP00000004752
ENSCAFP00000002002	ENSLOCP00000014167
ENSCAFP00000023632	ENSLOCP00000019637
ENSCAFP00000031755	ENSLOCP00000016468
ENSCAFP00000029977	ENSLOCP00000005220
ENSCAFP00000022793	ENSLOCP00000006905
ENSCAFP00000020958	ENSLOCP00000005978
ENSCAFP00000025244	ENSLOCP00000016982
ENSCAFP00000038728	ENSLOCP00000018719
ENSCAFP00000040507	ENSLOCP00000012758
ENSCAFP00000023606	ENSLOCP00000020742
ENSCAFP00000010892	ENSLOCP00000009223
ENSCAFP00000041305	ENSLOCP00000014658
ENSCAFP00000013497	ENSLOCP00000004574
ENSCAFP00000001945	ENSLOCP00000014057
ENSCAFP00000037879	ENSLOCP00000001783
ENSCAFP00000026125	ENSLOCP00000010155
ENSCAFP00000005701	ENSLOCP00000021205
ENSCAFP00000025622	ENSLOCP00000016340
ENSCAFP00000025610	ENSLOCP00000016321
ENSCAFP00000009244	ENSLOCP00000019805
ENSCAFP00000020710	ENSLOCP00000006167
ENSCAFP00000012318	ENSLOCP00000007744
ENSCAFP00000029589	ENSLOCP00000008002
ENSCAFP00000036468	ENSLOCP00000006094
ENSCAFP00000014239	ENSLOCP00000006486
ENSCAFP00000004778	ENSLOCP00000000562
ENSCAFP00000038976	ENSLOCP00000002044
ENSCAFP00000015869	ENSLOCP00000014814
ENSCAFP00000028862	ENSLOCP00000000775
ENSCAFP00000007536	ENSLOCP00000013784
ENSCAFP00000007809	ENSLOCP00000019263
ENSCAFP00000027291	ENSLOCP00000008198
ENSCAFP00000019630	ENSLOCP00000007525
ENSCAFP00000009751	ENSLOCP00000000926
ENSCAFP00000013929	ENSLOCP00000009999
ENSCAFP00000024871	ENSLOCP00000016083
ENSCAFP00000000419	ENSLOCP00000000747
ENSCAFP00000034200	ENSLOCP00000003469
ENSCAFP00000017685	ENSLOCP00000012797
ENSCAFP00000003667	ENSLOCP00000014037
ENSCAFP00000024167	ENSLOCP00000017229
ENSCAFP00000034065	ENSLOCP00000020657
ENSCAFP00000026449	ENSLOCP00000014235
ENSCAFP00000018204	ENSLOCP00000017924
ENSCAFP00000006194	ENSLOCP00000019681
ENSCAFP00000001694	ENSLOCP00000011278
ENSCAFP00000007665	ENSLOCP00000013846
ENSCAFP00000005584	ENSLOCP00000021981
ENSCAFP00000018265	ENSLOCP00000007905
ENSCAFP00000013917	ENSLOCP00000019816
ENSCAFP00000030126	ENSLOCP00000010112
ENSCAFP00000021015	ENSLOCP00000016580
ENSCAFP00000001985	ENSLOCP00000022069
ENSCAFP00000018418	ENSLOCP00000012477
ENSCAFP00000036764	ENSLOCP00000007752
ENSCAFP00000000256	ENSLOCP00000011683
ENSCAFP00000013312	ENSLOCP00000007128
ENSCAFP00000027209	ENSLOCP00000018751
ENSCAFP00000009736	ENSLOCP00000003142
ENSCAFP00000017813	ENSLOCP00000008535
ENSCAFP00000007856	ENSLOCP00000005468
ENSCAFP00000009453	ENSLOCP00000018630
ENSCAFP00000021646	ENSLOCP00000008197
ENSCAFP00000040611	ENSLOCP00000011139
ENSCAFP00000039510	ENSLOCP00000010416
ENSCAFP00000013585	ENSLOCP00000013514
ENSCAFP00000006414	ENSLOCP00000019709
ENSCAFP00000038099	ENSLOCP00000012530
ENSCAFP00000032157	ENSLOCP00000004972
ENSCAFP00000016931	ENSLOCP00000008334
ENSCAFP00000022785	ENSLOCP00000005524
ENSCAFP00000023668	ENSLOCP00000000440
ENSCAFP00000000642	ENSLOCP00000019990
ENSCAFP00000039838	ENSLOCP00000001737
ENSCAFP00000022474	ENSLOCP00000013668
ENSCAFP00000026129	ENSLOCP00000018433
ENSCAFP00000023771	ENSLOCP00000017034
ENSCAFP00000007666	ENSLOCP00000015352
ENSCAFP00000012757	ENSLOCP00000009361
ENSCAFP00000008550	ENSLOCP00000020082
ENSCAFP00000013888	ENSLOCP00000005801
ENSCAFP00000014286	ENSLOCP00000001831
ENSCAFP00000020889	ENSLOCP00000014005
ENSCAFP00000016423	ENSLOCP00000008478
ENSCAFP00000006507	ENSLOCP00000009209
ENSCAFP00000020473	ENSLOCP00000014172
ENSCAFP00000011099	ENSLOCP00000011152
ENSCAFP00000021539	ENSLOCP00000010382
ENSCAFP00000005826	ENSLOCP00000019467
ENSCAFP00000001937	ENSLOCP00000002811
ENSCAFP00000010164	ENSLOCP00000017220
ENSCAFP00000015634	ENSLOCP00000012330
ENSCAFP00000023020	ENSLOCP00000018191
ENSCAFP00000029791	ENSLOCP00000001634
ENSCAFP00000029025	ENSLOCP00000004159
ENSCAFP00000015153	ENSLOCP00000015024
ENSCAFP00000019026	ENSLOCP00000009246
ENSCAFP00000031804	ENSLOCP00000021010
ENSCAFP00000006087	ENSLOCP00000017782
ENSCAFP00000007188	ENSLOCP00000019338
ENSCAFP00000009022	ENSLOCP00000008570
ENSCAFP00000033145	ENSLOCP00000004776
ENSCAFP00000019185	ENSLOCP00000008246
ENSCAFP00000012548	ENSLOCP00000006225
ENSCAFP00000029393	ENSLOCP00000015462
ENSCAFP00000008401	ENSLOCP00000017483
ENSCAFP00000011713	ENSLOCP00000001703
ENSCAFP00000037075	ENSLOCP00000001416
ENSCAFP00000012224	ENSLOCP00000011730
ENSCAFP00000018166	ENSLOCP00000010228
ENSCAFP00000017280	ENSLOCP00000010437
ENSCAFP00000013102	ENSLOCP00000004549
ENSCAFP00000004390	ENSLOCP00000014020
ENSCAFP00000013833	ENSLOCP00000013001
ENSCAFP00000043137	ENSLOCP00000012933
ENSCAFP00000032192	ENSLOCP00000021178
ENSCAFP00000010305	ENSLOCP00000004104
ENSCAFP00000017036	ENSLOCP00000020844
ENSCAFP00000009594	ENSLOCP00000014263
ENSCAFP00000028226	ENSLOCP00000008288
ENSCAFP00000027570	ENSLOCP00000001136
ENSCAFP00000039424	ENSLOCP00000004146
ENSCAFP00000024759	ENSLOCP00000016556
ENSCAFP00000000806	ENSLOCP00000020709
ENSCAFP00000004675	ENSLOCP00000019483
ENSCAFP00000005918	ENSLOCP00000003252
ENSCAFP00000017759	ENSLOCP00000008641
ENSCAFP00000030044	ENSLOCP00000003285
ENSCAFP00000009138	ENSLOCP00000011032
ENSCAFP00000001349	ENSLOCP00000021332
ENSCAFP00000022219	ENSLOCP00000003863
ENSCAFP00000011189	ENSLOCP00000005642
ENSCAFP00000026813	ENSLOCP00000018126
ENSCAFP00000012494	ENSLOCP00000008902
ENSCAFP00000034278	ENSLOCP00000019307
ENSCAFP00000022380	ENSLOCP00000013788
ENSCAFP00000026149	ENSLOCP00000010038
ENSCAFP00000017153	ENSLOCP00000007947
ENSCAFP00000018202	ENSLOCP00000005214
ENSCAFP00000014022	ENSLOCP00000016680
ENSCAFP00000026348	ENSLOCP00000014340
ENSCAFP00000028085	ENSLOCP00000003926
ENSCAFP00000021142	ENSLOCP00000005604
ENSCAFP00000019451	ENSLOCP00000015903
ENSCAFP00000019014	ENSLOCP00000002251
ENSCAFP00000006902	ENSLOCP00000005228
ENSCAFP00000025696	ENSLOCP00000016374
ENSCAFP00000029076	ENSLOCP00000004051
ENSCAFP00000004978	ENSLOCP00000019278
ENSCAFP00000027029	ENSLOCP00000011225
ENSCAFP00000042195	ENSLOCP00000021821
ENSCAFP00000030626	ENSLOCP00000021466
ENSCAFP00000013656	ENSLOCP00000004183
ENSCAFP00000004929	ENSLOCP00000019615
ENSCAFP00000005648	ENSLOCP00000020518
ENSCAFP00000008075	ENSLOCP00000000735
ENSCAFP00000013269	ENSLOCP00000012479
ENSCAFP00000028736	ENSLOCP00000010781
ENSCAFP00000022592	ENSLOCP00000008249
ENSCAFP00000002638	ENSLOCP00000014197
ENSCAFP00000016410	ENSLOCP00000005378
ENSCAFP00000029923	ENSLOCP00000005863
ENSCAFP00000028715	ENSLOCP00000002371
ENSCAFP00000026996	ENSLOCP00000010584
ENSCAFP00000008826	ENSLOCP00000020305
ENSCAFP00000014757	ENSLOCP00000013496
ENSCAFP00000012882	ENSLOCP00000012655
ENSCAFP00000030689	ENSLOCP00000004942
ENSCAFP00000027947	ENSLOCP00000000111
ENSCAFP00000036993	ENSLOCP00000001686
ENSCAFP00000037612	ENSLOCP00000010673
ENSCAFP00000001434	ENSLOCP00000014623
ENSCAFP00000039114	ENSLOCP00000001246
ENSCAFP00000032766	ENSLOCP00000018417
ENSCAFP00000008416	ENSLOCP00000017602
ENSCAFP00000009649	ENSLOCP00000002849
ENSCAFP00000001486	ENSLOCP00000014288
ENSCAFP00000004834	ENSLOCP00000003945
ENSCAFP00000000584	ENSLOCP00000019925
ENSCAFP00000019303	ENSLOCP00000008689
ENSCAFP00000003724	ENSLOCP00000009781
ENSCAFP00000011312	ENSLOCP00000010831
ENSCAFP00000017180	ENSLOCP00000015986
ENSCAFP00000011133	ENSLOCP00000007469
ENSCAFP00000012254	ENSLOCP00000007927
ENSCAFP00000023005	ENSLOCP00000001801
ENSCAFP00000028346	ENSLOCP00000007499
ENSCAFP00000016742	ENSLOCP00000016802
ENSCAFP00000003952	ENSLOCP00000000199
ENSCAFP00000001230	ENSLOCP00000020423
