ENSACAP00000005936	ENSMUSP00000034074
ENSACAP00000006692	ENSMUSP00000037971
ENSACAP00000007941	ENSMUSP00000001092
ENSACAP00000021732	ENSMUSP00000112498
ENSACAP00000006620	ENSMUSP00000043279
ENSACAP00000006016	ENSMUSP00000027897
ENSACAP00000008386	ENSMUSP00000073911
ENSACAP00000000332	ENSMUSP00000026972
ENSACAP00000012949	ENSMUSP00000020938
ENSACAP00000012891	ENSMUSP00000112534
ENSACAP00000016042	ENSMUSP00000104872
ENSACAP00000015060	ENSMUSP00000137523
ENSACAP00000003322	ENSMUSP00000043167
ENSACAP00000014603	ENSMUSP00000101651
ENSACAP00000014414	ENSMUSP00000109175
ENSACAP00000018929	ENSMUSP00000093183
ENSACAP00000010559	ENSMUSP00000097699
ENSACAP00000015463	ENSMUSP00000029252
ENSACAP00000008189	ENSMUSP00000002081
ENSACAP00000015580	ENSMUSP00000129513
ENSACAP00000015505	ENSMUSP00000101857
ENSACAP00000015210	ENSMUSP00000057849
ENSACAP00000008969	ENSMUSP00000048969
ENSACAP00000016005	ENSMUSP00000040168
ENSACAP00000014735	ENSMUSP00000096769
ENSACAP00000000961	ENSMUSP00000108961
ENSACAP00000015659	ENSMUSP00000028728
ENSACAP00000008418	ENSMUSP00000051709
ENSACAP00000005880	ENSMUSP00000033920
ENSACAP00000000990	ENSMUSP00000039546
ENSACAP00000017504	ENSMUSP00000085264
ENSACAP00000007523	ENSMUSP00000063762
ENSACAP00000015500	ENSMUSP00000047980
ENSACAP00000006158	ENSMUSP00000096415
ENSACAP00000013012	ENSMUSP00000125274
ENSACAP00000000293	ENSMUSP00000100009
ENSACAP00000006127	ENSMUSP00000092900
ENSACAP00000004744	ENSMUSP00000058254
ENSACAP00000007155	ENSMUSP00000088227
ENSACAP00000007102	ENSMUSP00000028469
ENSACAP00000000267	ENSMUSP00000034015
ENSACAP00000005579	ENSMUSP00000042464
ENSACAP00000006748	ENSMUSP00000025127
ENSACAP00000017126	ENSMUSP00000064839
ENSACAP00000016616	ENSMUSP00000102554
ENSACAP00000013120	ENSMUSP00000027839
ENSACAP00000018517	ENSMUSP00000002625
ENSACAP00000011730	ENSMUSP00000047393
ENSACAP00000001927	ENSMUSP00000020768
ENSACAP00000020361	ENSMUSP00000099342
ENSACAP00000023034	ENSMUSP00000100063
ENSACAP00000013359	ENSMUSP00000118588
ENSACAP00000015296	ENSMUSP00000069850
ENSACAP00000007123	ENSMUSP00000068927
ENSACAP00000009994	ENSMUSP00000109938
ENSACAP00000001253	ENSMUSP00000113395
ENSACAP00000006080	ENSMUSP00000113051
ENSACAP00000001578	ENSMUSP00000027370
ENSACAP00000009400	ENSMUSP00000105797
ENSACAP00000009203	ENSMUSP00000094164
ENSACAP00000011192	ENSMUSP00000099401
ENSACAP00000007206	ENSMUSP00000079929
ENSACAP00000004469	ENSMUSP00000058754
ENSACAP00000010484	ENSMUSP00000069457
ENSACAP00000007347	ENSMUSP00000039443
ENSACAP00000016751	ENSMUSP00000107890
ENSACAP00000016753	ENSMUSP00000107899
ENSACAP00000011274	ENSMUSP00000102891
ENSACAP00000016466	ENSMUSP00000026649
ENSACAP00000011840	ENSMUSP00000007236
ENSACAP00000021885	ENSMUSP00000047035
ENSACAP00000014374	ENSMUSP00000057355
ENSACAP00000003336	ENSMUSP00000000349
ENSACAP00000015337	ENSMUSP00000015435
ENSACAP00000003049	ENSMUSP00000062996
ENSACAP00000009895	ENSMUSP00000031281
ENSACAP00000015439	ENSMUSP00000023464
ENSACAP00000012253	ENSMUSP00000033769
ENSACAP00000014667	ENSMUSP00000055073
ENSACAP00000002933	ENSMUSP00000074471
ENSACAP00000010353	ENSMUSP00000037561
ENSACAP00000010296	ENSMUSP00000101050
ENSACAP00000015944	ENSMUSP00000101951
ENSACAP00000011749	ENSMUSP00000091595
ENSACAP00000013249	ENSMUSP00000058077
ENSACAP00000002473	ENSMUSP00000129166
ENSACAP00000021035	ENSMUSP00000067964
ENSACAP00000006103	ENSMUSP00000003274
ENSACAP00000013879	ENSMUSP00000100026
ENSACAP00000016986	ENSMUSP00000107551
ENSACAP00000008495	ENSMUSP00000076856
ENSACAP00000016460	ENSMUSP00000017961
ENSACAP00000012836	ENSMUSP00000039072
ENSACAP00000007906	ENSMUSP00000022819
ENSACAP00000008089	ENSMUSP00000087713
ENSACAP00000008448	ENSMUSP00000022292
ENSACAP00000003264	ENSMUSP00000040647
ENSACAP00000014741	ENSMUSP00000004770
ENSACAP00000011189	ENSMUSP00000006151
ENSACAP00000014204	ENSMUSP00000004133
ENSACAP00000002091	ENSMUSP00000074201
ENSACAP00000012824	ENSMUSP00000124673
ENSACAP00000011677	ENSMUSP00000033652
ENSACAP00000003114	ENSMUSP00000106981
ENSACAP00000015599	ENSMUSP00000044168
ENSACAP00000012122	ENSMUSP00000038430
ENSACAP00000015176	ENSMUSP00000130116
ENSACAP00000003583	ENSMUSP00000009713
ENSACAP00000017212	ENSMUSP00000104335
ENSACAP00000008324	ENSMUSP00000127816
ENSACAP00000013075	ENSMUSP00000057916
ENSACAP00000015451	ENSMUSP00000057989
ENSACAP00000009071	ENSMUSP00000107863
ENSACAP00000003352	ENSMUSP00000102538
ENSACAP00000015252	ENSMUSP00000020223
ENSACAP00000002708	ENSMUSP00000106747
ENSACAP00000010722	ENSMUSP00000077532
ENSACAP00000004395	ENSMUSP00000028781
ENSACAP00000009062	ENSMUSP00000076514
ENSACAP00000008255	ENSMUSP00000041202
ENSACAP00000002602	ENSMUSP00000058941
ENSACAP00000015633	ENSMUSP00000030464
ENSACAP00000016070	ENSMUSP00000056774
ENSACAP00000000537	ENSMUSP00000125700
ENSACAP00000003939	ENSMUSP00000093962
ENSACAP00000015278	ENSMUSP00000052243
ENSACAP00000011055	ENSMUSP00000112019
ENSACAP00000008824	ENSMUSP00000118368
ENSACAP00000016371	ENSMUSP00000112708
ENSACAP00000004503	ENSMUSP00000065743
ENSACAP00000011004	ENSMUSP00000006341
ENSACAP00000000977	ENSMUSP00000075429
ENSACAP00000013007	ENSMUSP00000028332
ENSACAP00000021650	ENSMUSP00000074538
ENSACAP00000011294	ENSMUSP00000110411
ENSACAP00000001870	ENSMUSP00000107848
ENSACAP00000014073	ENSMUSP00000033800
ENSACAP00000022544	ENSMUSP00000085234
ENSACAP00000014494	ENSMUSP00000076160
ENSACAP00000022340	ENSMUSP00000020362
ENSACAP00000004894	ENSMUSP00000113234
ENSACAP00000019240	ENSMUSP00000065384
ENSACAP00000000984	ENSMUSP00000047157
ENSACAP00000005993	ENSMUSP00000108046
ENSACAP00000008112	ENSMUSP00000101686
ENSACAP00000004057	ENSMUSP00000026209
ENSACAP00000008131	ENSMUSP00000120456
ENSACAP00000014961	ENSMUSP00000132922
ENSACAP00000006995	ENSMUSP00000038532
ENSACAP00000011308	ENSMUSP00000058521
ENSACAP00000016172	ENSMUSP00000085416
ENSACAP00000000770	ENSMUSP00000082971
ENSACAP00000017718	ENSMUSP00000003369
ENSACAP00000011965	ENSMUSP00000103571
ENSACAP00000011484	ENSMUSP00000099698
ENSACAP00000002967	ENSMUSP00000088217
ENSACAP00000008791	ENSMUSP00000005829
ENSACAP00000012319	ENSMUSP00000083747
ENSACAP00000015625	ENSMUSP00000036690
ENSACAP00000009463	ENSMUSP00000031655
ENSACAP00000017131	ENSMUSP00000030081
ENSACAP00000011839	ENSMUSP00000001126
ENSACAP00000008104	ENSMUSP00000117030
ENSACAP00000005828	ENSMUSP00000059801
ENSACAP00000008819	ENSMUSP00000020522
ENSACAP00000017311	ENSMUSP00000108371
ENSACAP00000009515	ENSMUSP00000059973
ENSACAP00000000957	ENSMUSP00000121233
ENSACAP00000013248	ENSMUSP00000067164
ENSACAP00000012425	ENSMUSP00000072617
ENSACAP00000012859	ENSMUSP00000048904
ENSACAP00000003472	ENSMUSP00000114018
ENSACAP00000007643	ENSMUSP00000023559
ENSACAP00000008516	ENSMUSP00000120976
ENSACAP00000008009	ENSMUSP00000029610
ENSACAP00000002636	ENSMUSP00000109366
ENSACAP00000019516	ENSMUSP00000110238
ENSACAP00000004649	ENSMUSP00000034787
ENSACAP00000015369	ENSMUSP00000104837
ENSACAP00000017589	ENSMUSP00000058251
ENSACAP00000006594	ENSMUSP00000014614
ENSACAP00000014580	ENSMUSP00000062782
ENSACAP00000001255	ENSMUSP00000036270
ENSACAP00000016992	ENSMUSP00000060721
ENSACAP00000006556	ENSMUSP00000045110
ENSACAP00000003289	ENSMUSP00000075453
ENSACAP00000003870	ENSMUSP00000035642
ENSACAP00000013096	ENSMUSP00000000449
ENSACAP00000008803	ENSMUSP00000094986
ENSACAP00000002786	ENSMUSP00000022543
ENSACAP00000001468	ENSMUSP00000107775
ENSACAP00000019736	ENSMUSP00000042515
ENSACAP00000011958	ENSMUSP00000103434
ENSACAP00000001761	ENSMUSP00000091041
ENSACAP00000009047	ENSMUSP00000092769
ENSACAP00000014481	ENSMUSP00000047926
ENSACAP00000010030	ENSMUSP00000097097
ENSACAP00000005130	ENSMUSP00000109979
ENSACAP00000006130	ENSMUSP00000107370
ENSACAP00000005830	ENSMUSP00000032069
ENSACAP00000002374	ENSMUSP00000030784
ENSACAP00000008018	ENSMUSP00000132499
ENSACAP00000012696	ENSMUSP00000080342
ENSACAP00000002063	ENSMUSP00000022507
ENSACAP00000013130	ENSMUSP00000030623
ENSACAP00000016750	ENSMUSP00000101833
ENSACAP00000005383	ENSMUSP00000040005
ENSACAP00000009618	ENSMUSP00000107210
ENSACAP00000015308	ENSMUSP00000113286
ENSACAP00000001532	ENSMUSP00000067779
ENSACAP00000000317	ENSMUSP00000070583
ENSACAP00000009031	ENSMUSP00000118610
ENSACAP00000011318	ENSMUSP00000105082
ENSACAP00000003841	ENSMUSP00000044693
ENSACAP00000011196	ENSMUSP00000040596
ENSACAP00000012771	ENSMUSP00000038801
ENSACAP00000016060	ENSMUSP00000004683
ENSACAP00000018066	ENSMUSP00000011152
ENSACAP00000014429	ENSMUSP00000013851
ENSACAP00000001106	ENSMUSP00000096356
ENSACAP00000013063	ENSMUSP00000036962
ENSACAP00000007441	ENSMUSP00000008297
ENSACAP00000003479	ENSMUSP00000035027
ENSACAP00000003057	ENSMUSP00000088297
ENSACAP00000012969	ENSMUSP00000099412
ENSACAP00000006667	ENSMUSP00000043618
ENSACAP00000004543	ENSMUSP00000047589
ENSACAP00000001956	ENSMUSP00000083806
ENSACAP00000022146	ENSMUSP00000028593
ENSACAP00000013861	ENSMUSP00000038947
ENSACAP00000014647	ENSMUSP00000109659
ENSACAP00000006068	ENSMUSP00000041920
ENSACAP00000018507	ENSMUSP00000125993
ENSACAP00000007068	ENSMUSP00000079548
ENSACAP00000001279	ENSMUSP00000023818
ENSACAP00000005659	ENSMUSP00000058264
ENSACAP00000006146	ENSMUSP00000079900
ENSACAP00000017685	ENSMUSP00000118322
ENSACAP00000014147	ENSMUSP00000032924
ENSACAP00000020674	ENSMUSP00000103912
ENSACAP00000009403	ENSMUSP00000110526
ENSACAP00000001011	ENSMUSP00000085763
ENSACAP00000022986	ENSMUSP00000096686
ENSACAP00000023242	ENSMUSP00000014698
ENSACAP00000012748	ENSMUSP00000031311
ENSACAP00000006458	ENSMUSP00000084577
ENSACAP00000022750	ENSMUSP00000058344
ENSACAP00000013337	ENSMUSP00000023214
ENSACAP00000003397	ENSMUSP00000055254
ENSACAP00000016099	ENSMUSP00000024970
ENSACAP00000014074	ENSMUSP00000067027
ENSACAP00000017177	ENSMUSP00000053908
ENSACAP00000009970	ENSMUSP00000057635
ENSACAP00000002410	ENSMUSP00000034466
ENSACAP00000003764	ENSMUSP00000018311
ENSACAP00000017386	ENSMUSP00000037991
ENSACAP00000003546	ENSMUSP00000137093
ENSACAP00000016567	ENSMUSP00000071704
ENSACAP00000002178	ENSMUSP00000103378
ENSACAP00000010759	ENSMUSP00000025338
ENSACAP00000017581	ENSMUSP00000050353
ENSACAP00000020680	ENSMUSP00000035055
ENSACAP00000017065	ENSMUSP00000097919
ENSACAP00000021596	ENSMUSP00000056642
ENSACAP00000009943	ENSMUSP00000136912
ENSACAP00000015119	ENSMUSP00000113964
ENSACAP00000013146	ENSMUSP00000006565
ENSACAP00000015169	ENSMUSP00000104867
ENSACAP00000000050	ENSMUSP00000009667
ENSACAP00000015207	ENSMUSP00000007814
ENSACAP00000011974	ENSMUSP00000053120
ENSACAP00000000912	ENSMUSP00000043108
ENSACAP00000008907	ENSMUSP00000110636
ENSACAP00000017468	ENSMUSP00000100979
ENSACAP00000022199	ENSMUSP00000020974
ENSACAP00000003085	ENSMUSP00000021810
ENSACAP00000010221	ENSMUSP00000084095
ENSACAP00000013739	ENSMUSP00000040331
ENSACAP00000015174	ENSMUSP00000059783
ENSACAP00000013626	ENSMUSP00000103048
ENSACAP00000014843	ENSMUSP00000075672
ENSACAP00000004781	ENSMUSP00000044936
ENSACAP00000004556	ENSMUSP00000081285
ENSACAP00000004426	ENSMUSP00000034989
ENSACAP00000002618	ENSMUSP00000032856
ENSACAP00000010385	ENSMUSP00000112595
ENSACAP00000002561	ENSMUSP00000107697
ENSACAP00000006186	ENSMUSP00000098097
ENSACAP00000008191	ENSMUSP00000080791
ENSACAP00000008665	ENSMUSP00000024879
ENSACAP00000006980	ENSMUSP00000066556
ENSACAP00000016608	ENSMUSP00000046877
ENSACAP00000003999	ENSMUSP00000065721
ENSACAP00000008246	ENSMUSP00000129205
ENSACAP00000010163	ENSMUSP00000059978
ENSACAP00000008730	ENSMUSP00000081043
ENSACAP00000002524	ENSMUSP00000124317
ENSACAP00000006393	ENSMUSP00000102976
ENSACAP00000007364	ENSMUSP00000036582
ENSACAP00000000699	ENSMUSP00000019482
ENSACAP00000014941	ENSMUSP00000037233
ENSACAP00000016656	ENSMUSP00000127068
ENSACAP00000010835	ENSMUSP00000030724
ENSACAP00000006007	ENSMUSP00000097515
ENSACAP00000013695	ENSMUSP00000034507
ENSACAP00000003569	ENSMUSP00000026196
ENSACAP00000000248	ENSMUSP00000041337
ENSACAP00000009915	ENSMUSP00000054840
ENSACAP00000006482	ENSMUSP00000059503
ENSACAP00000003967	ENSMUSP00000082694
ENSACAP00000008631	ENSMUSP00000102559
ENSACAP00000002386	ENSMUSP00000073789
ENSACAP00000008533	ENSMUSP00000022858
ENSACAP00000012376	ENSMUSP00000072121
ENSACAP00000016666	ENSMUSP00000132190
ENSACAP00000012500	ENSMUSP00000029269
ENSACAP00000017384	ENSMUSP00000029316
ENSACAP00000012031	ENSMUSP00000031622
ENSACAP00000015971	ENSMUSP00000005860
ENSACAP00000005251	ENSMUSP00000030551
ENSACAP00000004686	ENSMUSP00000033547
ENSACAP00000015396	ENSMUSP00000079693
ENSACAP00000004684	ENSMUSP00000023024
ENSACAP00000006705	ENSMUSP00000104072
ENSACAP00000007629	ENSMUSP00000001720
ENSACAP00000002918	ENSMUSP00000034150
ENSACAP00000011691	ENSMUSP00000041951
ENSACAP00000009061	ENSMUSP00000009234
ENSACAP00000002167	ENSMUSP00000044262
ENSACAP00000012892	ENSMUSP00000001415
ENSACAP00000011125	ENSMUSP00000067002
ENSACAP00000003273	ENSMUSP00000069326
ENSACAP00000016558	ENSMUSP00000039663
ENSACAP00000000996	ENSMUSP00000034472
ENSACAP00000017376	ENSMUSP00000030709
ENSACAP00000001503	ENSMUSP00000020022
ENSACAP00000012304	ENSMUSP00000042187
ENSACAP00000001349	ENSMUSP00000040045
ENSACAP00000003529	ENSMUSP00000130636
ENSACAP00000009385	ENSMUSP00000121493
ENSACAP00000018362	ENSMUSP00000096874
ENSACAP00000016889	ENSMUSP00000125405
ENSACAP00000003761	ENSMUSP00000089051
ENSACAP00000015691	ENSMUSP00000026547
ENSACAP00000023037	ENSMUSP00000044049
ENSACAP00000006328	ENSMUSP00000000776
ENSACAP00000004846	ENSMUSP00000085499
ENSACAP00000006134	ENSMUSP00000013559
ENSACAP00000015029	ENSMUSP00000019503
ENSACAP00000008005	ENSMUSP00000104906
ENSACAP00000016412	ENSMUSP00000029196
ENSACAP00000010115	ENSMUSP00000043962
ENSACAP00000003630	ENSMUSP00000134222
ENSACAP00000010055	ENSMUSP00000089463
ENSACAP00000015877	ENSMUSP00000017576
ENSACAP00000004055	ENSMUSP00000049970
ENSACAP00000013204	ENSMUSP00000009538
ENSACAP00000006449	ENSMUSP00000000058
ENSACAP00000006424	ENSMUSP00000007799
ENSACAP00000011574	ENSMUSP00000126177
ENSACAP00000000087	ENSMUSP00000091870
ENSACAP00000014523	ENSMUSP00000063108
ENSACAP00000013188	ENSMUSP00000029761
ENSACAP00000009727	ENSMUSP00000087955
ENSACAP00000003139	ENSMUSP00000087950
ENSACAP00000018406	ENSMUSP00000046003
ENSACAP00000015006	ENSMUSP00000020227
ENSACAP00000014443	ENSMUSP00000088047
ENSACAP00000009380	ENSMUSP00000042959
ENSACAP00000014738	ENSMUSP00000032936
ENSACAP00000016556	ENSMUSP00000026120
ENSACAP00000003341	ENSMUSP00000091846
ENSACAP00000017614	ENSMUSP00000137584
ENSACAP00000004858	ENSMUSP00000021243
ENSACAP00000008700	ENSMUSP00000021870
ENSACAP00000014499	ENSMUSP00000037834
ENSACAP00000000995	ENSMUSP00000022257
ENSACAP00000021654	ENSMUSP00000069685
ENSACAP00000007249	ENSMUSP00000025081
ENSACAP00000007230	ENSMUSP00000045156
ENSACAP00000006279	ENSMUSP00000019135
ENSACAP00000015534	ENSMUSP00000035992
ENSACAP00000013532	ENSMUSP00000033160
ENSACAP00000003754	ENSMUSP00000076459
ENSACAP00000012849	ENSMUSP00000068258
ENSACAP00000014874	ENSMUSP00000105140
ENSACAP00000011857	ENSMUSP00000059864
ENSACAP00000023141	ENSMUSP00000104895
ENSACAP00000008583	ENSMUSP00000028554
ENSACAP00000000854	ENSMUSP00000022099
ENSACAP00000000518	ENSMUSP00000124569
ENSACAP00000002833	ENSMUSP00000128223
ENSACAP00000008052	ENSMUSP00000075587
ENSACAP00000016133	ENSMUSP00000133159
ENSACAP00000014673	ENSMUSP00000075376
ENSACAP00000011215	ENSMUSP00000002080
ENSACAP00000005402	ENSMUSP00000124947
ENSACAP00000013467	ENSMUSP00000092283
ENSACAP00000008325	ENSMUSP00000044543
ENSACAP00000010067	ENSMUSP00000026134
ENSACAP00000013997	ENSMUSP00000072894
ENSACAP00000006082	ENSMUSP00000099018
ENSACAP00000004023	ENSMUSP00000025834
ENSACAP00000010058	ENSMUSP00000107503
ENSACAP00000003106	ENSMUSP00000016383
ENSACAP00000008692	ENSMUSP00000066403
ENSACAP00000000869	ENSMUSP00000034239
ENSACAP00000015452	ENSMUSP00000114968
ENSACAP00000012317	ENSMUSP00000108075
ENSACAP00000007251	ENSMUSP00000035216
ENSACAP00000012888	ENSMUSP00000035328
ENSACAP00000017442	ENSMUSP00000072334
ENSACAP00000002214	ENSMUSP00000071619
ENSACAP00000002183	ENSMUSP00000105000
ENSACAP00000006840	ENSMUSP00000029170
ENSACAP00000016121	ENSMUSP00000034091
ENSACAP00000003415	ENSMUSP00000022701
ENSACAP00000008175	ENSMUSP00000048877
ENSACAP00000006218	ENSMUSP00000027777
ENSACAP00000005622	ENSMUSP00000021550
ENSACAP00000004059	ENSMUSP00000028794
ENSACAP00000003171	ENSMUSP00000029574
ENSACAP00000006734	ENSMUSP00000127566
ENSACAP00000016840	ENSMUSP00000065146
ENSACAP00000000403	ENSMUSP00000003061
ENSACAP00000002005	ENSMUSP00000034650
ENSACAP00000009719	ENSMUSP00000068374
ENSACAP00000022743	ENSMUSP00000092223
ENSACAP00000005096	ENSMUSP00000099599
ENSACAP00000002514	ENSMUSP00000022727
ENSACAP00000010322	ENSMUSP00000119939
ENSACAP00000023298	ENSMUSP00000119872
ENSACAP00000005843	ENSMUSP00000027800
ENSACAP00000001494	ENSMUSP00000109151
ENSACAP00000005277	ENSMUSP00000041110
ENSACAP00000016539	ENSMUSP00000020000
ENSACAP00000003782	ENSMUSP00000034030
ENSACAP00000008233	ENSMUSP00000074518
ENSACAP00000023397	ENSMUSP00000048229
ENSACAP00000017196	ENSMUSP00000021347
ENSACAP00000020004	ENSMUSP00000098893
ENSACAP00000011387	ENSMUSP00000080280
ENSACAP00000005124	ENSMUSP00000047564
ENSACAP00000009874	ENSMUSP00000001279
ENSACAP00000009866	ENSMUSP00000112539
ENSACAP00000013770	ENSMUSP00000003152
ENSACAP00000007055	ENSMUSP00000090613
ENSACAP00000013607	ENSMUSP00000028758
ENSACAP00000013301	ENSMUSP00000003850
ENSACAP00000011641	ENSMUSP00000083892
ENSACAP00000022969	ENSMUSP00000114852
ENSACAP00000010250	ENSMUSP00000053553
ENSACAP00000020262	ENSMUSP00000030902
ENSACAP00000020284	ENSMUSP00000092761
ENSACAP00000005392	ENSMUSP00000101129
ENSACAP00000019824	ENSMUSP00000096214
ENSACAP00000011605	ENSMUSP00000044034
ENSACAP00000011944	ENSMUSP00000021903
ENSACAP00000016335	ENSMUSP00000107804
ENSACAP00000016587	ENSMUSP00000021030
ENSACAP00000002716	ENSMUSP00000077138
ENSACAP00000004750	ENSMUSP00000041671
ENSACAP00000012957	ENSMUSP00000069444
ENSACAP00000010965	ENSMUSP00000066040
ENSACAP00000015214	ENSMUSP00000006544
ENSACAP00000006978	ENSMUSP00000090617
ENSACAP00000005706	ENSMUSP00000032994
ENSACAP00000014821	ENSMUSP00000006235
ENSACAP00000012225	ENSMUSP00000101620
ENSACAP00000016473	ENSMUSP00000034911
ENSACAP00000023073	ENSMUSP00000026156
ENSACAP00000011492	ENSMUSP00000066256
ENSACAP00000012724	ENSMUSP00000069488
ENSACAP00000005316	ENSMUSP00000029766
ENSACAP00000003014	ENSMUSP00000065254
ENSACAP00000000948	ENSMUSP00000136503
ENSACAP00000005183	ENSMUSP00000039313
ENSACAP00000013553	ENSMUSP00000038166
ENSACAP00000000376	ENSMUSP00000110965
ENSACAP00000003954	ENSMUSP00000060225
ENSACAP00000015240	ENSMUSP00000104864
ENSACAP00000015684	ENSMUSP00000113270
ENSACAP00000009682	ENSMUSP00000051830
ENSACAP00000023478	ENSMUSP00000121562
ENSACAP00000011929	ENSMUSP00000125749
ENSACAP00000011921	ENSMUSP00000041052
ENSACAP00000020027	ENSMUSP00000058954
ENSACAP00000003729	ENSMUSP00000063795
ENSACAP00000007901	ENSMUSP00000060844
ENSACAP00000012384	ENSMUSP00000067085
ENSACAP00000020649	ENSMUSP00000093460
ENSACAP00000014734	ENSMUSP00000000910
ENSACAP00000016355	ENSMUSP00000075526
ENSACAP00000006385	ENSMUSP00000028511
ENSACAP00000014509	ENSMUSP00000005406
ENSACAP00000019794	ENSMUSP00000133222
ENSACAP00000022435	ENSMUSP00000115873
ENSACAP00000012305	ENSMUSP00000061493
ENSACAP00000015250	ENSMUSP00000079107
ENSACAP00000014928	ENSMUSP00000021514
ENSACAP00000010637	ENSMUSP00000032560
ENSACAP00000002362	ENSMUSP00000003035
ENSACAP00000013799	ENSMUSP00000037136
ENSACAP00000009027	ENSMUSP00000137452
ENSACAP00000017699	ENSMUSP00000091532
ENSACAP00000014025	ENSMUSP00000101940
ENSACAP00000017645	ENSMUSP00000021052
ENSACAP00000016784	ENSMUSP00000023759
ENSACAP00000008491	ENSMUSP00000091301
ENSACAP00000007551	ENSMUSP00000027688
ENSACAP00000003275	ENSMUSP00000026902
ENSACAP00000015876	ENSMUSP00000112930
ENSACAP00000001347	ENSMUSP00000113115
ENSACAP00000008888	ENSMUSP00000050995
ENSACAP00000002117	ENSMUSP00000106013
ENSACAP00000000931	ENSMUSP00000039966
ENSACAP00000017629	ENSMUSP00000133356
ENSACAP00000001540	ENSMUSP00000027186
ENSACAP00000004257	ENSMUSP00000044482
ENSACAP00000001985	ENSMUSP00000021410
ENSACAP00000005772	ENSMUSP00000040977
ENSACAP00000006167	ENSMUSP00000088176
ENSACAP00000014612	ENSMUSP00000080881
ENSACAP00000002298	ENSMUSP00000051092
ENSACAP00000004142	ENSMUSP00000074066
ENSACAP00000002377	ENSMUSP00000087608
ENSACAP00000022254	ENSMUSP00000028430
ENSACAP00000007519	ENSMUSP00000059330
ENSACAP00000013541	ENSMUSP00000101412
ENSACAP00000010828	ENSMUSP00000053112
ENSACAP00000017271	ENSMUSP00000026555
ENSACAP00000012258	ENSMUSP00000093117
ENSACAP00000015980	ENSMUSP00000060418
ENSACAP00000017452	ENSMUSP00000029730
ENSACAP00000003087	ENSMUSP00000044361
ENSACAP00000011357	ENSMUSP00000086366
ENSACAP00000015662	ENSMUSP00000090710
ENSACAP00000015783	ENSMUSP00000022709
ENSACAP00000011486	ENSMUSP00000103742
ENSACAP00000015410	ENSMUSP00000076219
ENSACAP00000013178	ENSMUSP00000025295
ENSACAP00000013611	ENSMUSP00000070751
ENSACAP00000011045	ENSMUSP00000022242
ENSACAP00000007037	ENSMUSP00000082793
ENSACAP00000010338	ENSMUSP00000029876
ENSACAP00000001457	ENSMUSP00000021770
ENSACAP00000013082	ENSMUSP00000072276
ENSACAP00000001902	ENSMUSP00000028533
ENSACAP00000003285	ENSMUSP00000029450
ENSACAP00000014465	ENSMUSP00000050820
ENSACAP00000000825	ENSMUSP00000136807
ENSACAP00000002258	ENSMUSP00000135040
ENSACAP00000011145	ENSMUSP00000008957
ENSACAP00000009224	ENSMUSP00000022057
ENSACAP00000008337	ENSMUSP00000108455
ENSACAP00000016581	ENSMUSP00000103983
ENSACAP00000005432	ENSMUSP00000037808
ENSACAP00000010650	ENSMUSP00000120414
ENSACAP00000023137	ENSMUSP00000069456
ENSACAP00000003194	ENSMUSP00000047616
ENSACAP00000020697	ENSMUSP00000044554
ENSACAP00000019951	ENSMUSP00000129964
ENSACAP00000016553	ENSMUSP00000026900
ENSACAP00000011885	ENSMUSP00000014691
ENSACAP00000004440	ENSMUSP00000109140
ENSACAP00000020282	ENSMUSP00000018909
ENSACAP00000007816	ENSMUSP00000085906
ENSACAP00000000864	ENSMUSP00000068790
ENSACAP00000003245	ENSMUSP00000078047
ENSACAP00000019387	ENSMUSP00000096876
ENSACAP00000014600	ENSMUSP00000070847
ENSACAP00000018549	ENSMUSP00000054451
ENSACAP00000012378	ENSMUSP00000025253
ENSACAP00000021898	ENSMUSP00000138433
ENSACAP00000007447	ENSMUSP00000102047
ENSACAP00000011300	ENSMUSP00000064943
ENSACAP00000013439	ENSMUSP00000017945
ENSACAP00000002204	ENSMUSP00000031167
ENSACAP00000015211	ENSMUSP00000076418
ENSACAP00000005636	ENSMUSP00000099494
ENSACAP00000001057	ENSMUSP00000109877
ENSACAP00000009010	ENSMUSP00000033427
ENSACAP00000006942	ENSMUSP00000015449
ENSACAP00000014272	ENSMUSP00000028854
ENSACAP00000008310	ENSMUSP00000025356
ENSACAP00000009760	ENSMUSP00000004036
ENSACAP00000002567	ENSMUSP00000001319
ENSACAP00000008835	ENSMUSP00000050716
ENSACAP00000013445	ENSMUSP00000029476
ENSACAP00000010829	ENSMUSP00000039568
ENSACAP00000006519	ENSMUSP00000077628
ENSACAP00000016514	ENSMUSP00000061410
ENSACAP00000022906	ENSMUSP00000129615
ENSACAP00000008611	ENSMUSP00000048234
ENSACAP00000014020	ENSMUSP00000064521
ENSACAP00000015230	ENSMUSP00000002740
ENSACAP00000009629	ENSMUSP00000022744
ENSACAP00000001003	ENSMUSP00000050001
ENSACAP00000009082	ENSMUSP00000085650
ENSACAP00000020749	ENSMUSP00000081284
ENSACAP00000007974	ENSMUSP00000023065
ENSACAP00000005463	ENSMUSP00000078490
ENSACAP00000002186	ENSMUSP00000029435
ENSACAP00000001328	ENSMUSP00000100053
ENSACAP00000020222	ENSMUSP00000138290
ENSACAP00000005197	ENSMUSP00000089388
ENSACAP00000012024	ENSMUSP00000021641
ENSACAP00000021444	ENSMUSP00000104785
