ENSACAP00000008923	ENSORLP00000011382
ENSACAP00000000053	ENSORLP00000000856
ENSACAP00000003007	ENSORLP00000011104
ENSACAP00000017556	ENSORLP00000013868
ENSACAP00000010533	ENSORLP00000017542
ENSACAP00000008568	ENSORLP00000011522
ENSACAP00000014636	ENSORLP00000020139
ENSACAP00000019791	ENSORLP00000007378
ENSACAP00000017696	ENSORLP00000022301
ENSACAP00000004966	ENSORLP00000005476
ENSACAP00000014777	ENSORLP00000009173
ENSACAP00000002477	ENSORLP00000011617
ENSACAP00000018228	ENSORLP00000014847
ENSACAP00000002190	ENSORLP00000011808
ENSACAP00000017486	ENSORLP00000021279
ENSACAP00000012806	ENSORLP00000022038
ENSACAP00000009007	ENSORLP00000016107
ENSACAP00000006132	ENSORLP00000009246
ENSACAP00000015742	ENSORLP00000011772
ENSACAP00000015845	ENSORLP00000006584
ENSACAP00000019518	ENSORLP00000022361
ENSACAP00000005266	ENSORLP00000017378
ENSACAP00000005257	ENSORLP00000020232
ENSACAP00000016825	ENSORLP00000020770
ENSACAP00000001182	ENSORLP00000021155
ENSACAP00000001182	ENSORLP00000001583
ENSACAP00000013733	ENSORLP00000004124
ENSACAP00000012152	ENSORLP00000006939
ENSACAP00000022765	ENSORLP00000008136
ENSACAP00000011309	ENSORLP00000010284
ENSACAP00000011309	ENSORLP00000011055
ENSACAP00000011562	ENSORLP00000013591
ENSACAP00000007659	ENSORLP00000000969
ENSACAP00000005370	ENSORLP00000005195
ENSACAP00000016318	ENSORLP00000011506
ENSACAP00000022223	ENSORLP00000019605
ENSACAP00000018095	ENSORLP00000013402
ENSACAP00000016945	ENSORLP00000018367
ENSACAP00000022122	ENSORLP00000007233
ENSACAP00000009991	ENSORLP00000025645
ENSACAP00000000458	ENSORLP00000019356
ENSACAP00000003739	ENSORLP00000009734
ENSACAP00000007328	ENSORLP00000019924
ENSACAP00000008970	ENSORLP00000022355
ENSACAP00000005137	ENSORLP00000000392
ENSACAP00000005137	ENSORLP00000003060
ENSACAP00000013247	ENSORLP00000005597
ENSACAP00000014470	ENSORLP00000011559
ENSACAP00000014174	ENSORLP00000002483
ENSACAP00000008305	ENSORLP00000012244
ENSACAP00000020635	ENSORLP00000001134
ENSACAP00000015726	ENSORLP00000014278
ENSACAP00000007530	ENSORLP00000000586
ENSACAP00000017663	ENSORLP00000017990
ENSACAP00000017663	ENSORLP00000005108
ENSACAP00000010097	ENSORLP00000000321
ENSACAP00000006908	ENSORLP00000006778
ENSACAP00000015638	ENSORLP00000003058
ENSACAP00000004903	ENSORLP00000008918
ENSACAP00000006814	ENSORLP00000019108
ENSACAP00000002631	ENSORLP00000015471
ENSACAP00000002631	ENSORLP00000012283
ENSACAP00000011134	ENSORLP00000015248
ENSACAP00000008867	ENSORLP00000025663
ENSACAP00000009046	ENSORLP00000000095
ENSACAP00000015515	ENSORLP00000007427
ENSACAP00000014179	ENSORLP00000020350
ENSACAP00000013021	ENSORLP00000021471
ENSACAP00000004329	ENSORLP00000002326
ENSACAP00000013085	ENSORLP00000013414
ENSACAP00000008957	ENSORLP00000018808
ENSACAP00000014686	ENSORLP00000008000
ENSACAP00000012157	ENSORLP00000005807
ENSACAP00000017179	ENSORLP00000005965
ENSACAP00000012426	ENSORLP00000021050
ENSACAP00000015565	ENSORLP00000012223
ENSACAP00000007154	ENSORLP00000008777
ENSACAP00000005788	ENSORLP00000005718
ENSACAP00000017714	ENSORLP00000006732
ENSACAP00000006718	ENSORLP00000008470
ENSACAP00000005875	ENSORLP00000019355
ENSACAP00000007647	ENSORLP00000008083
ENSACAP00000005572	ENSORLP00000008344
ENSACAP00000015815	ENSORLP00000022122
ENSACAP00000002216	ENSORLP00000015067
ENSACAP00000007027	ENSORLP00000006841
ENSACAP00000007219	ENSORLP00000006505
ENSACAP00000007219	ENSORLP00000008924
ENSACAP00000013224	ENSORLP00000006095
ENSACAP00000007714	ENSORLP00000013174
ENSACAP00000005826	ENSORLP00000005746
ENSACAP00000002632	ENSORLP00000010721
ENSACAP00000002632	ENSORLP00000014578
ENSACAP00000014805	ENSORLP00000017304
ENSACAP00000014805	ENSORLP00000009425
ENSACAP00000002279	ENSORLP00000024319
ENSACAP00000000073	ENSORLP00000023671
ENSACAP00000006808	ENSORLP00000015211
ENSACAP00000012010	ENSORLP00000019398
ENSACAP00000005202	ENSORLP00000025676
ENSACAP00000004220	ENSORLP00000025725
ENSACAP00000014368	ENSORLP00000008779
ENSACAP00000018788	ENSORLP00000021065
ENSACAP00000018788	ENSORLP00000017874
ENSACAP00000006159	ENSORLP00000016372
ENSACAP00000014210	ENSORLP00000023037
ENSACAP00000023043	ENSORLP00000011094
ENSACAP00000015417	ENSORLP00000000982
ENSACAP00000014439	ENSORLP00000015440
ENSACAP00000003915	ENSORLP00000010365
ENSACAP00000003915	ENSORLP00000008926
ENSACAP00000003597	ENSORLP00000008781
ENSACAP00000003597	ENSORLP00000010456
ENSACAP00000004211	ENSORLP00000012791
ENSACAP00000012197	ENSORLP00000003723
ENSACAP00000002742	ENSORLP00000002991
ENSACAP00000001671	ENSORLP00000021336
ENSACAP00000006692	ENSORLP00000007366
ENSACAP00000007941	ENSORLP00000019150
ENSACAP00000016701	ENSORLP00000020736
ENSACAP00000021732	ENSORLP00000000940
ENSACAP00000006016	ENSORLP00000013764
ENSACAP00000008386	ENSORLP00000014049
ENSACAP00000008386	ENSORLP00000004843
ENSACAP00000012949	ENSORLP00000004830
ENSACAP00000012891	ENSORLP00000018247
ENSACAP00000015060	ENSORLP00000010258
ENSACAP00000012955	ENSORLP00000001052
ENSACAP00000003322	ENSORLP00000021062
ENSACAP00000014414	ENSORLP00000014951
ENSACAP00000018929	ENSORLP00000020815
ENSACAP00000015463	ENSORLP00000003416
ENSACAP00000011293	ENSORLP00000020203
ENSACAP00000007007	ENSORLP00000003275
ENSACAP00000016818	ENSORLP00000020171
ENSACAP00000016818	ENSORLP00000008093
ENSACAP00000008189	ENSORLP00000017828
ENSACAP00000022031	ENSORLP00000001536
ENSACAP00000013091	ENSORLP00000009165
ENSACAP00000015580	ENSORLP00000018059
ENSACAP00000015210	ENSORLP00000019553
ENSACAP00000015210	ENSORLP00000017528
ENSACAP00000008969	ENSORLP00000007206
ENSACAP00000016005	ENSORLP00000007341
ENSACAP00000011086	ENSORLP00000020904
ENSACAP00000014735	ENSORLP00000025607
ENSACAP00000000961	ENSORLP00000004167
ENSACAP00000008418	ENSORLP00000025091
ENSACAP00000005880	ENSORLP00000025244
ENSACAP00000017504	ENSORLP00000013954
ENSACAP00000015500	ENSORLP00000020113
ENSACAP00000006158	ENSORLP00000024533
ENSACAP00000013012	ENSORLP00000012904
ENSACAP00000013012	ENSORLP00000020740
ENSACAP00000006127	ENSORLP00000006934
ENSACAP00000003589	ENSORLP00000000201
ENSACAP00000007155	ENSORLP00000002633
ENSACAP00000007155	ENSORLP00000004575
ENSACAP00000007102	ENSORLP00000004437
ENSACAP00000007102	ENSORLP00000000013
ENSACAP00000003932	ENSORLP00000001027
ENSACAP00000000379	ENSORLP00000024169
ENSACAP00000000267	ENSORLP00000010006
ENSACAP00000002535	ENSORLP00000001605
ENSACAP00000001448	ENSORLP00000012762
ENSACAP00000005579	ENSORLP00000023452
ENSACAP00000006748	ENSORLP00000021810
ENSACAP00000011741	ENSORLP00000011005
ENSACAP00000018517	ENSORLP00000005282
ENSACAP00000011730	ENSORLP00000004570
ENSACAP00000001927	ENSORLP00000013984
ENSACAP00000002053	ENSORLP00000009518
ENSACAP00000001574	ENSORLP00000021348
ENSACAP00000020361	ENSORLP00000012188
ENSACAP00000013359	ENSORLP00000023313
ENSACAP00000015296	ENSORLP00000018839
ENSACAP00000011756	ENSORLP00000021814
ENSACAP00000009994	ENSORLP00000002469
ENSACAP00000001253	ENSORLP00000021765
ENSACAP00000006080	ENSORLP00000011556
ENSACAP00000001578	ENSORLP00000025404
ENSACAP00000004214	ENSORLP00000019059
ENSACAP00000009400	ENSORLP00000001270
ENSACAP00000009203	ENSORLP00000025686
ENSACAP00000009203	ENSORLP00000001251
ENSACAP00000007206	ENSORLP00000015294
ENSACAP00000008682	ENSORLP00000007443
ENSACAP00000008682	ENSORLP00000000408
ENSACAP00000007347	ENSORLP00000017499
ENSACAP00000013267	ENSORLP00000019597
ENSACAP00000012980	ENSORLP00000005366
ENSACAP00000016753	ENSORLP00000020452
ENSACAP00000016466	ENSORLP00000009772
ENSACAP00000016466	ENSORLP00000015383
ENSACAP00000019958	ENSORLP00000013491
ENSACAP00000011840	ENSORLP00000010775
ENSACAP00000011840	ENSORLP00000016398
ENSACAP00000009903	ENSORLP00000014167
ENSACAP00000003336	ENSORLP00000004165
ENSACAP00000015337	ENSORLP00000020362
ENSACAP00000003049	ENSORLP00000015081
ENSACAP00000013715	ENSORLP00000016222
ENSACAP00000009895	ENSORLP00000022267
ENSACAP00000009895	ENSORLP00000014358
ENSACAP00000015439	ENSORLP00000014067
ENSACAP00000009871	ENSORLP00000020672
ENSACAP00000019684	ENSORLP00000024770
ENSACAP00000002933	ENSORLP00000003907
ENSACAP00000010296	ENSORLP00000008130
ENSACAP00000011749	ENSORLP00000016025
ENSACAP00000005926	ENSORLP00000019607
ENSACAP00000005926	ENSORLP00000013726
ENSACAP00000007298	ENSORLP00000015015
ENSACAP00000000936	ENSORLP00000009275
ENSACAP00000016986	ENSORLP00000024324
ENSACAP00000008495	ENSORLP00000011703
ENSACAP00000008495	ENSORLP00000002673
ENSACAP00000016460	ENSORLP00000020568
ENSACAP00000012836	ENSORLP00000009895
ENSACAP00000008089	ENSORLP00000002837
ENSACAP00000014986	ENSORLP00000007882
ENSACAP00000003264	ENSORLP00000005664
ENSACAP00000022442	ENSORLP00000011430
ENSACAP00000014741	ENSORLP00000013681
ENSACAP00000014741	ENSORLP00000005706
ENSACAP00000002600	ENSORLP00000022234
ENSACAP00000011189	ENSORLP00000005420
ENSACAP00000011189	ENSORLP00000005954
ENSACAP00000006020	ENSORLP00000000818
ENSACAP00000013847	ENSORLP00000018948
ENSACAP00000011677	ENSORLP00000004436
ENSACAP00000003114	ENSORLP00000024488
ENSACAP00000005111	ENSORLP00000002437
ENSACAP00000005111	ENSORLP00000009928
ENSACAP00000015756	ENSORLP00000019529
ENSACAP00000015599	ENSORLP00000009131
ENSACAP00000015599	ENSORLP00000016553
ENSACAP00000012122	ENSORLP00000005025
ENSACAP00000023392	ENSORLP00000011185
ENSACAP00000015176	ENSORLP00000018684
ENSACAP00000003583	ENSORLP00000006425
ENSACAP00000003583	ENSORLP00000003719
ENSACAP00000005286	ENSORLP00000016631
ENSACAP00000005286	ENSORLP00000003007
ENSACAP00000017212	ENSORLP00000016352
ENSACAP00000015232	ENSORLP00000025679
ENSACAP00000015232	ENSORLP00000009348
ENSACAP00000016360	ENSORLP00000013955
ENSACAP00000001831	ENSORLP00000004169
ENSACAP00000001831	ENSORLP00000011904
ENSACAP00000008324	ENSORLP00000013216
ENSACAP00000013075	ENSORLP00000001987
ENSACAP00000003352	ENSORLP00000010673
ENSACAP00000003352	ENSORLP00000008065
ENSACAP00000001825	ENSORLP00000009237
ENSACAP00000015252	ENSORLP00000019308
ENSACAP00000002708	ENSORLP00000015439
ENSACAP00000010722	ENSORLP00000020174
ENSACAP00000007884	ENSORLP00000016963
ENSACAP00000012247	ENSORLP00000023722
ENSACAP00000002602	ENSORLP00000005089
ENSACAP00000000537	ENSORLP00000018231
ENSACAP00000008329	ENSORLP00000025103
ENSACAP00000003939	ENSORLP00000007043
ENSACAP00000016371	ENSORLP00000019656
ENSACAP00000011004	ENSORLP00000010680
ENSACAP00000000977	ENSORLP00000003549
ENSACAP00000013007	ENSORLP00000022202
ENSACAP00000001870	ENSORLP00000022298
ENSACAP00000005624	ENSORLP00000025518
ENSACAP00000014494	ENSORLP00000016339
ENSACAP00000019240	ENSORLP00000021718
ENSACAP00000000984	ENSORLP00000016527
ENSACAP00000005993	ENSORLP00000008652
ENSACAP00000005993	ENSORLP00000016076
ENSACAP00000008112	ENSORLP00000005074
ENSACAP00000015449	ENSORLP00000013994
ENSACAP00000004057	ENSORLP00000005951
ENSACAP00000005689	ENSORLP00000025446
ENSACAP00000014961	ENSORLP00000008246
ENSACAP00000006995	ENSORLP00000009415
ENSACAP00000011308	ENSORLP00000021917
ENSACAP00000016172	ENSORLP00000015195
ENSACAP00000016172	ENSORLP00000017196
ENSACAP00000014888	ENSORLP00000010164
ENSACAP00000014888	ENSORLP00000007267
ENSACAP00000008545	ENSORLP00000024968
ENSACAP00000017718	ENSORLP00000024190
ENSACAP00000002967	ENSORLP00000000811
ENSACAP00000008791	ENSORLP00000001309
ENSACAP00000008791	ENSORLP00000009062
ENSACAP00000012319	ENSORLP00000015151
ENSACAP00000015625	ENSORLP00000014956
ENSACAP00000015625	ENSORLP00000020549
ENSACAP00000013710	ENSORLP00000001423
ENSACAP00000017131	ENSORLP00000014558
ENSACAP00000011839	ENSORLP00000010179
ENSACAP00000008104	ENSORLP00000007223
ENSACAP00000008104	ENSORLP00000006215
ENSACAP00000005828	ENSORLP00000008462
ENSACAP00000005828	ENSORLP00000002140
ENSACAP00000016946	ENSORLP00000023781
ENSACAP00000000557	ENSORLP00000022345
ENSACAP00000016469	ENSORLP00000003075
ENSACAP00000004662	ENSORLP00000004228
ENSACAP00000012859	ENSORLP00000017264
ENSACAP00000001246	ENSORLP00000019407
ENSACAP00000007643	ENSORLP00000020634
ENSACAP00000008009	ENSORLP00000008656
ENSACAP00000002636	ENSORLP00000018617
ENSACAP00000012812	ENSORLP00000008908
ENSACAP00000008364	ENSORLP00000011752
ENSACAP00000015369	ENSORLP00000011918
ENSACAP00000006594	ENSORLP00000024013
ENSACAP00000014580	ENSORLP00000015274
ENSACAP00000016992	ENSORLP00000018303
ENSACAP00000006556	ENSORLP00000020795
ENSACAP00000003870	ENSORLP00000000482
ENSACAP00000002228	ENSORLP00000008302
ENSACAP00000013096	ENSORLP00000012328
ENSACAP00000005404	ENSORLP00000021805
ENSACAP00000002786	ENSORLP00000000609
ENSACAP00000006035	ENSORLP00000025764
ENSACAP00000001468	ENSORLP00000005920
ENSACAP00000019736	ENSORLP00000007794
ENSACAP00000011958	ENSORLP00000002434
ENSACAP00000009047	ENSORLP00000004900
ENSACAP00000014481	ENSORLP00000011295
ENSACAP00000010030	ENSORLP00000016872
ENSACAP00000006130	ENSORLP00000018989
ENSACAP00000006130	ENSORLP00000007550
ENSACAP00000002374	ENSORLP00000004914
ENSACAP00000002374	ENSORLP00000020994
ENSACAP00000008018	ENSORLP00000001994
ENSACAP00000012696	ENSORLP00000022813
ENSACAP00000012696	ENSORLP00000006691
ENSACAP00000014814	ENSORLP00000016028
ENSACAP00000002063	ENSORLP00000005300
ENSACAP00000013130	ENSORLP00000009352
ENSACAP00000010109	ENSORLP00000003074
ENSACAP00000016750	ENSORLP00000017306
ENSACAP00000005383	ENSORLP00000004209
ENSACAP00000009618	ENSORLP00000006146
ENSACAP00000001532	ENSORLP00000025739
ENSACAP00000000317	ENSORLP00000014649
ENSACAP00000000317	ENSORLP00000021007
ENSACAP00000009031	ENSORLP00000014179
ENSACAP00000012771	ENSORLP00000022184
ENSACAP00000012771	ENSORLP00000013690
ENSACAP00000016060	ENSORLP00000000431
ENSACAP00000016060	ENSORLP00000020468
ENSACAP00000018066	ENSORLP00000007520
ENSACAP00000014429	ENSORLP00000019825
ENSACAP00000001106	ENSORLP00000003691
ENSACAP00000007441	ENSORLP00000015858
ENSACAP00000003479	ENSORLP00000019546
ENSACAP00000003057	ENSORLP00000012957
ENSACAP00000003057	ENSORLP00000003293
ENSACAP00000012969	ENSORLP00000004933
ENSACAP00000006667	ENSORLP00000014930
ENSACAP00000001956	ENSORLP00000005418
ENSACAP00000022585	ENSORLP00000021616
ENSACAP00000022146	ENSORLP00000012322
ENSACAP00000006068	ENSORLP00000008642
ENSACAP00000006068	ENSORLP00000019662
ENSACAP00000012201	ENSORLP00000000843
ENSACAP00000012201	ENSORLP00000006602
ENSACAP00000018507	ENSORLP00000007590
ENSACAP00000009980	ENSORLP00000020221
ENSACAP00000009980	ENSORLP00000002080
ENSACAP00000007068	ENSORLP00000009476
ENSACAP00000007068	ENSORLP00000006431
ENSACAP00000006207	ENSORLP00000015538
ENSACAP00000005659	ENSORLP00000022342
ENSACAP00000005659	ENSORLP00000022706
ENSACAP00000006146	ENSORLP00000002798
ENSACAP00000006146	ENSORLP00000024992
ENSACAP00000017685	ENSORLP00000021882
ENSACAP00000014147	ENSORLP00000014029
ENSACAP00000009403	ENSORLP00000002711
ENSACAP00000001011	ENSORLP00000006825
ENSACAP00000016028	ENSORLP00000016003
ENSACAP00000012748	ENSORLP00000003874
ENSACAP00000016873	ENSORLP00000017437
ENSACAP00000006458	ENSORLP00000016652
ENSACAP00000006458	ENSORLP00000019293
ENSACAP00000022750	ENSORLP00000021565
ENSACAP00000013337	ENSORLP00000023996
ENSACAP00000013337	ENSORLP00000010826
ENSACAP00000014598	ENSORLP00000014899
ENSACAP00000003397	ENSORLP00000005145
ENSACAP00000001635	ENSORLP00000010185
ENSACAP00000001558	ENSORLP00000013350
ENSACAP00000017164	ENSORLP00000013438
ENSACAP00000014074	ENSORLP00000013701
ENSACAP00000009970	ENSORLP00000005572
ENSACAP00000002410	ENSORLP00000021994
ENSACAP00000003764	ENSORLP00000004265
ENSACAP00000000450	ENSORLP00000007835
ENSACAP00000003546	ENSORLP00000007929
ENSACAP00000009483	ENSORLP00000024452
ENSACAP00000009483	ENSORLP00000000839
ENSACAP00000016567	ENSORLP00000008583
ENSACAP00000016567	ENSORLP00000021000
ENSACAP00000010759	ENSORLP00000020059
ENSACAP00000010759	ENSORLP00000013116
ENSACAP00000017065	ENSORLP00000016114
ENSACAP00000021596	ENSORLP00000011790
ENSACAP00000021596	ENSORLP00000008666
ENSACAP00000009943	ENSORLP00000025515
ENSACAP00000015119	ENSORLP00000008677
ENSACAP00000015119	ENSORLP00000011801
ENSACAP00000008582	ENSORLP00000002617
ENSACAP00000002287	ENSORLP00000012943
ENSACAP00000013146	ENSORLP00000020595
ENSACAP00000000050	ENSORLP00000020709
ENSACAP00000003711	ENSORLP00000022185
ENSACAP00000000038	ENSORLP00000011208
ENSACAP00000011974	ENSORLP00000024089
ENSACAP00000000912	ENSORLP00000018580
ENSACAP00000003085	ENSORLP00000003195
ENSACAP00000016894	ENSORLP00000003261
ENSACAP00000013739	ENSORLP00000005559
ENSACAP00000004223	ENSORLP00000019074
ENSACAP00000019520	ENSORLP00000007306
ENSACAP00000019520	ENSORLP00000021528
ENSACAP00000011139	ENSORLP00000016330
ENSACAP00000004781	ENSORLP00000011650
ENSACAP00000004781	ENSORLP00000011106
ENSACAP00000004556	ENSORLP00000017701
ENSACAP00000011319	ENSORLP00000023625
ENSACAP00000004426	ENSORLP00000002640
ENSACAP00000002618	ENSORLP00000004314
ENSACAP00000010385	ENSORLP00000017142
ENSACAP00000003466	ENSORLP00000016113
ENSACAP00000003466	ENSORLP00000021505
ENSACAP00000002561	ENSORLP00000024755
ENSACAP00000006186	ENSORLP00000021295
ENSACAP00000008191	ENSORLP00000000884
ENSACAP00000006980	ENSORLP00000003248
ENSACAP00000006980	ENSORLP00000018535
ENSACAP00000016608	ENSORLP00000002745
ENSACAP00000008246	ENSORLP00000008465
ENSACAP00000008730	ENSORLP00000020987
ENSACAP00000008730	ENSORLP00000010315
ENSACAP00000000330	ENSORLP00000020664
ENSACAP00000006393	ENSORLP00000010060
ENSACAP00000014941	ENSORLP00000022287
ENSACAP00000014941	ENSORLP00000018553
ENSACAP00000016656	ENSORLP00000018341
ENSACAP00000010835	ENSORLP00000013944
ENSACAP00000006007	ENSORLP00000016911
ENSACAP00000011013	ENSORLP00000002703
ENSACAP00000000810	ENSORLP00000011267
ENSACAP00000006482	ENSORLP00000012825
ENSACAP00000006482	ENSORLP00000023289
ENSACAP00000003967	ENSORLP00000003945
ENSACAP00000003520	ENSORLP00000013053
ENSACAP00000008631	ENSORLP00000012532
ENSACAP00000002386	ENSORLP00000020802
ENSACAP00000012376	ENSORLP00000006196
ENSACAP00000016666	ENSORLP00000006735
ENSACAP00000012500	ENSORLP00000002480
ENSACAP00000017384	ENSORLP00000005030
ENSACAP00000012031	ENSORLP00000012040
ENSACAP00000022848	ENSORLP00000012009
ENSACAP00000015971	ENSORLP00000016800
ENSACAP00000015971	ENSORLP00000013232
ENSACAP00000005251	ENSORLP00000021360
ENSACAP00000015396	ENSORLP00000014290
ENSACAP00000001244	ENSORLP00000020441
ENSACAP00000007629	ENSORLP00000019233
ENSACAP00000002918	ENSORLP00000009186
ENSACAP00000012148	ENSORLP00000003414
ENSACAP00000011691	ENSORLP00000012019
ENSACAP00000009061	ENSORLP00000008398
ENSACAP00000002167	ENSORLP00000002603
ENSACAP00000012892	ENSORLP00000016152
ENSACAP00000022695	ENSORLP00000012319
ENSACAP00000011125	ENSORLP00000021330
ENSACAP00000016558	ENSORLP00000002988
ENSACAP00000014653	ENSORLP00000024633
ENSACAP00000014653	ENSORLP00000015744
ENSACAP00000000996	ENSORLP00000000363
ENSACAP00000000996	ENSORLP00000006545
ENSACAP00000017376	ENSORLP00000017968
ENSACAP00000001503	ENSORLP00000013508
ENSACAP00000012304	ENSORLP00000005827
ENSACAP00000001349	ENSORLP00000015906
ENSACAP00000003529	ENSORLP00000007911
ENSACAP00000005833	ENSORLP00000014421
ENSACAP00000003761	ENSORLP00000017492
ENSACAP00000003761	ENSORLP00000022178
ENSACAP00000008371	ENSORLP00000023350
ENSACAP00000008371	ENSORLP00000001513
ENSACAP00000004846	ENSORLP00000017310
ENSACAP00000001051	ENSORLP00000004432
ENSACAP00000013341	ENSORLP00000005929
ENSACAP00000002346	ENSORLP00000017922
ENSACAP00000002346	ENSORLP00000000768
ENSACAP00000002151	ENSORLP00000002339
ENSACAP00000015029	ENSORLP00000002342
ENSACAP00000010115	ENSORLP00000020670
ENSACAP00000010055	ENSORLP00000006290
ENSACAP00000015877	ENSORLP00000001106
ENSACAP00000020876	ENSORLP00000014121
ENSACAP00000014434	ENSORLP00000011541
ENSACAP00000006424	ENSORLP00000024539
ENSACAP00000011574	ENSORLP00000010889
ENSACAP00000000087	ENSORLP00000010565
ENSACAP00000014523	ENSORLP00000006291
ENSACAP00000013188	ENSORLP00000024234
ENSACAP00000013188	ENSORLP00000022019
ENSACAP00000009727	ENSORLP00000005117
ENSACAP00000009727	ENSORLP00000013171
ENSACAP00000003139	ENSORLP00000017084
ENSACAP00000000517	ENSORLP00000011114
ENSACAP00000018406	ENSORLP00000004919
ENSACAP00000014443	ENSORLP00000018428
ENSACAP00000021844	ENSORLP00000015604
ENSACAP00000023069	ENSORLP00000012255
ENSACAP00000011046	ENSORLP00000012362
ENSACAP00000014738	ENSORLP00000021689
ENSACAP00000004858	ENSORLP00000003122
ENSACAP00000008700	ENSORLP00000008261
ENSACAP00000014499	ENSORLP00000014926
ENSACAP00000021654	ENSORLP00000000120
ENSACAP00000021654	ENSORLP00000025012
ENSACAP00000006279	ENSORLP00000004063
ENSACAP00000006279	ENSORLP00000012205
ENSACAP00000015534	ENSORLP00000018253
ENSACAP00000013532	ENSORLP00000012582
ENSACAP00000004470	ENSORLP00000015190
ENSACAP00000002925	ENSORLP00000016389
ENSACAP00000012849	ENSORLP00000013576
ENSACAP00000012849	ENSORLP00000013143
ENSACAP00000014874	ENSORLP00000002119
ENSACAP00000016361	ENSORLP00000017107
ENSACAP00000000854	ENSORLP00000006458
ENSACAP00000002833	ENSORLP00000025807
ENSACAP00000012559	ENSORLP00000013861
ENSACAP00000001157	ENSORLP00000022991
ENSACAP00000008052	ENSORLP00000002521
ENSACAP00000008052	ENSORLP00000015545
ENSACAP00000016133	ENSORLP00000004082
ENSACAP00000016133	ENSORLP00000016341
ENSACAP00000014673	ENSORLP00000013831
ENSACAP00000011215	ENSORLP00000017916
ENSACAP00000013467	ENSORLP00000022302
ENSACAP00000016067	ENSORLP00000024554
ENSACAP00000010067	ENSORLP00000009810
ENSACAP00000010067	ENSORLP00000015279
ENSACAP00000013997	ENSORLP00000020248
ENSACAP00000006082	ENSORLP00000003080
ENSACAP00000006082	ENSORLP00000003735
ENSACAP00000001818	ENSORLP00000005383
ENSACAP00000006381	ENSORLP00000006928
ENSACAP00000007977	ENSORLP00000011655
ENSACAP00000003106	ENSORLP00000011589
ENSACAP00000008692	ENSORLP00000007458
ENSACAP00000009186	ENSORLP00000009686
ENSACAP00000003603	ENSORLP00000023555
ENSACAP00000000869	ENSORLP00000023091
ENSACAP00000015452	ENSORLP00000010421
ENSACAP00000013246	ENSORLP00000019580
ENSACAP00000012317	ENSORLP00000017680
ENSACAP00000018347	ENSORLP00000018214
ENSACAP00000005284	ENSORLP00000010788
ENSACAP00000012888	ENSORLP00000006577
ENSACAP00000002214	ENSORLP00000019615
ENSACAP00000002183	ENSORLP00000019638
ENSACAP00000006840	ENSORLP00000023819
ENSACAP00000012684	ENSORLP00000004888
ENSACAP00000016636	ENSORLP00000011632
ENSACAP00000011424	ENSORLP00000000924
ENSACAP00000008175	ENSORLP00000003778
ENSACAP00000005622	ENSORLP00000012464
ENSACAP00000006715	ENSORLP00000000496
ENSACAP00000003171	ENSORLP00000017742
ENSACAP00000006290	ENSORLP00000006574
ENSACAP00000006290	ENSORLP00000006790
ENSACAP00000000403	ENSORLP00000017617
ENSACAP00000002005	ENSORLP00000009555
ENSACAP00000002005	ENSORLP00000018186
ENSACAP00000009719	ENSORLP00000004806
ENSACAP00000005096	ENSORLP00000021819
ENSACAP00000002514	ENSORLP00000025339
ENSACAP00000023298	ENSORLP00000020353
ENSACAP00000005843	ENSORLP00000021165
ENSACAP00000005277	ENSORLP00000009375
ENSACAP00000016539	ENSORLP00000017309
ENSACAP00000010437	ENSORLP00000018641
ENSACAP00000011240	ENSORLP00000005890
ENSACAP00000021866	ENSORLP00000014414
ENSACAP00000005050	ENSORLP00000009360
ENSACAP00000017196	ENSORLP00000022641
ENSACAP00000014270	ENSORLP00000020384
ENSACAP00000020004	ENSORLP00000011990
ENSACAP00000011387	ENSORLP00000020466
ENSACAP00000011387	ENSORLP00000004514
ENSACAP00000016535	ENSORLP00000017296
ENSACAP00000005124	ENSORLP00000014905
ENSACAP00000005124	ENSORLP00000007598
ENSACAP00000009874	ENSORLP00000019172
ENSACAP00000009501	ENSORLP00000015939
ENSACAP00000009501	ENSORLP00000004581
ENSACAP00000009866	ENSORLP00000004596
ENSACAP00000009866	ENSORLP00000015948
ENSACAP00000013770	ENSORLP00000019300
ENSACAP00000013607	ENSORLP00000019334
ENSACAP00000006294	ENSORLP00000021446
ENSACAP00000013301	ENSORLP00000008162
ENSACAP00000008973	ENSORLP00000003068
ENSACAP00000011641	ENSORLP00000020101
ENSACAP00000022969	ENSORLP00000008423
ENSACAP00000010250	ENSORLP00000005238
ENSACAP00000020284	ENSORLP00000002644
ENSACAP00000019824	ENSORLP00000009270
ENSACAP00000011605	ENSORLP00000006614
ENSACAP00000016335	ENSORLP00000021635
ENSACAP00000002716	ENSORLP00000019425
ENSACAP00000000790	ENSORLP00000007844
ENSACAP00000000608	ENSORLP00000016814
ENSACAP00000004750	ENSORLP00000003806
ENSACAP00000004889	ENSORLP00000003105
ENSACAP00000004889	ENSORLP00000007049
ENSACAP00000012957	ENSORLP00000020722
ENSACAP00000010965	ENSORLP00000005923
ENSACAP00000015214	ENSORLP00000013215
ENSACAP00000006978	ENSORLP00000014476
ENSACAP00000005706	ENSORLP00000024763
ENSACAP00000014821	ENSORLP00000013899
ENSACAP00000014821	ENSORLP00000021694
ENSACAP00000012225	ENSORLP00000015144
ENSACAP00000008659	ENSORLP00000005778
ENSACAP00000023073	ENSORLP00000018137
