ENSGACP00000003450	ENSGALP00000006197
ENSGACP00000005718	ENSGALP00000017886
ENSGACP00000005254	ENSGALP00000016899
ENSGACP00000012588	ENSGALP00000026303
ENSGACP00000003618	ENSGALP00000036118
ENSGACP00000020341	ENSGALP00000036118
ENSGACP00000017899	ENSGALP00000020850
ENSGACP00000000852	ENSGALP00000020850
ENSGACP00000021104	ENSGALP00000019590
ENSGACP00000004378	ENSGALP00000019590
ENSGACP00000008899	ENSGALP00000018482
ENSGACP00000019750	ENSGALP00000010488
ENSGACP00000025341	ENSGALP00000010488
ENSGACP00000005402	ENSGALP00000001751
ENSGACP00000014294	ENSGALP00000001751
ENSGACP00000003475	ENSGALP00000006218
ENSGACP00000007106	ENSGALP00000020731
ENSGACP00000018898	ENSGALP00000022336
ENSGACP00000013756	ENSGALP00000015991
ENSGACP00000007473	ENSGALP00000015991
ENSGACP00000012849	ENSGALP00000006690
ENSGACP00000006054	ENSGALP00000006690
ENSGACP00000015080	ENSGALP00000027982
ENSGACP00000019283	ENSGALP00000039598
ENSGACP00000016304	ENSGALP00000030590
ENSGACP00000015607	ENSGALP00000009982
ENSGACP00000017642	ENSGALP00000038884
ENSGACP00000026757	ENSGALP00000038884
ENSGACP00000018233	ENSGALP00000013788
ENSGACP00000019162	ENSGALP00000018295
ENSGACP00000021302	ENSGALP00000018295
ENSGACP00000008904	ENSGALP00000020585
ENSGACP00000005172	ENSGALP00000037894
ENSGACP00000018521	ENSGALP00000008346
ENSGACP00000000329	ENSGALP00000008346
ENSGACP00000004459	ENSGALP00000011549
ENSGACP00000016861	ENSGALP00000042363
ENSGACP00000015529	ENSGALP00000022328
ENSGACP00000009913	ENSGALP00000006529
ENSGACP00000009922	ENSGALP00000006529
ENSGACP00000013300	ENSGALP00000020744
ENSGACP00000015006	ENSGALP00000012445
ENSGACP00000026873	ENSGALP00000038731
ENSGACP00000003151	ENSGALP00000043401
ENSGACP00000003468	ENSGALP00000006259
ENSGACP00000008642	ENSGALP00000009552
ENSGACP00000022802	ENSGALP00000013410
ENSGACP00000022217	ENSGALP00000016414
ENSGACP00000011757	ENSGALP00000038278
ENSGACP00000022128	ENSGALP00000007834
ENSGACP00000013576	ENSGALP00000000509
ENSGACP00000024241	ENSGALP00000012348
ENSGACP00000009705	ENSGALP00000012348
ENSGACP00000002238	ENSGALP00000018823
ENSGACP00000014367	ENSGALP00000013442
ENSGACP00000000467	ENSGALP00000025075
ENSGACP00000015586	ENSGALP00000012646
ENSGACP00000017651	ENSGALP00000016333
ENSGACP00000006256	ENSGALP00000008837
ENSGACP00000002204	ENSGALP00000011983
ENSGACP00000003243	ENSGALP00000012748
ENSGACP00000016726	ENSGALP00000009699
ENSGACP00000017170	ENSGALP00000015596
ENSGACP00000006661	ENSGALP00000015596
ENSGACP00000026013	ENSGALP00000041366
ENSGACP00000015734	ENSGALP00000008744
ENSGACP00000019268	ENSGALP00000029968
ENSGACP00000020367	ENSGALP00000012069
ENSGACP00000023926	ENSGALP00000000170
ENSGACP00000010352	ENSGALP00000014375
ENSGACP00000021813	ENSGALP00000038292
ENSGACP00000017857	ENSGALP00000042251
ENSGACP00000012430	ENSGALP00000040862
ENSGACP00000010372	ENSGALP00000000528
ENSGACP00000018348	ENSGALP00000000528
ENSGACP00000004323	ENSGALP00000042469
ENSGACP00000003604	ENSGALP00000030243
ENSGACP00000012380	ENSGALP00000012380
ENSGACP00000017213	ENSGALP00000026483
ENSGACP00000009412	ENSGALP00000024137
ENSGACP00000019707	ENSGALP00000024827
ENSGACP00000010755	ENSGALP00000037772
ENSGACP00000019776	ENSGALP00000026998
ENSGACP00000003866	ENSGALP00000026998
ENSGACP00000022795	ENSGALP00000016043
ENSGACP00000003454	ENSGALP00000003693
ENSGACP00000012526	ENSGALP00000005417
ENSGACP00000005539	ENSGALP00000027247
ENSGACP00000013294	ENSGALP00000040466
ENSGACP00000016408	ENSGALP00000015318
ENSGACP00000018537	ENSGALP00000004959
ENSGACP00000011885	ENSGALP00000011182
ENSGACP00000026833	ENSGALP00000008491
ENSGACP00000017916	ENSGALP00000008491
ENSGACP00000005391	ENSGALP00000022235
ENSGACP00000013668	ENSGALP00000015502
ENSGACP00000015929	ENSGALP00000015502
ENSGACP00000013887	ENSGALP00000017386
ENSGACP00000012412	ENSGALP00000024803
ENSGACP00000021844	ENSGALP00000025005
ENSGACP00000026606	ENSGALP00000013696
ENSGACP00000005537	ENSGALP00000001981
ENSGACP00000024116	ENSGALP00000012561
ENSGACP00000014052	ENSGALP00000017440
ENSGACP00000025413	ENSGALP00000017440
ENSGACP00000021207	ENSGALP00000006624
ENSGACP00000005247	ENSGALP00000026015
ENSGACP00000002728	ENSGALP00000014415
ENSGACP00000016313	ENSGALP00000015493
ENSGACP00000009797	ENSGALP00000043388
ENSGACP00000019213	ENSGALP00000018640
ENSGACP00000021990	ENSGALP00000039995
ENSGACP00000012762	ENSGALP00000026539
ENSGACP00000007558	ENSGALP00000000832
ENSGACP00000020269	ENSGALP00000001940
ENSGACP00000014115	ENSGALP00000005762
ENSGACP00000013155	ENSGALP00000032234
ENSGACP00000009134	ENSGALP00000022157
ENSGACP00000009636	ENSGALP00000003331
ENSGACP00000002443	ENSGALP00000027322
ENSGACP00000013063	ENSGALP00000027322
ENSGACP00000009953	ENSGALP00000004614
ENSGACP00000017004	ENSGALP00000016152
ENSGACP00000007536	ENSGALP00000041816
ENSGACP00000019652	ENSGALP00000027417
ENSGACP00000004754	ENSGALP00000029838
ENSGACP00000017211	ENSGALP00000041108
ENSGACP00000014008	ENSGALP00000016785
ENSGACP00000015401	ENSGALP00000035686
ENSGACP00000027192	ENSGALP00000035686
ENSGACP00000021567	ENSGALP00000010201
ENSGACP00000015209	ENSGALP00000027522
ENSGACP00000018097	ENSGALP00000004568
ENSGACP00000010916	ENSGALP00000023833
ENSGACP00000026214	ENSGALP00000037437
ENSGACP00000004339	ENSGALP00000037704
ENSGACP00000014321	ENSGALP00000037704
ENSGACP00000005721	ENSGALP00000009832
ENSGACP00000025233	ENSGALP00000022657
ENSGACP00000020716	ENSGALP00000009023
ENSGACP00000024858	ENSGALP00000022696
ENSGACP00000015446	ENSGALP00000022696
ENSGACP00000015014	ENSGALP00000011120
ENSGACP00000023291	ENSGALP00000011120
ENSGACP00000010829	ENSGALP00000027679
ENSGACP00000014908	ENSGALP00000002583
ENSGACP00000010583	ENSGALP00000018883
ENSGACP00000018228	ENSGALP00000018883
ENSGACP00000023181	ENSGALP00000017202
ENSGACP00000011516	ENSGALP00000007055
ENSGACP00000003061	ENSGALP00000007055
ENSGACP00000017864	ENSGALP00000008018
ENSGACP00000016076	ENSGALP00000013932
ENSGACP00000016724	ENSGALP00000016566
ENSGACP00000010307	ENSGALP00000016566
ENSGACP00000009112	ENSGALP00000042618
ENSGACP00000012807	ENSGALP00000026537
ENSGACP00000004571	ENSGALP00000041648
ENSGACP00000004743	ENSGALP00000041648
ENSGACP00000017738	ENSGALP00000017221
ENSGACP00000009460	ENSGALP00000017221
ENSGACP00000026604	ENSGALP00000016953
ENSGACP00000002626	ENSGALP00000009263
ENSGACP00000016386	ENSGALP00000005362
ENSGACP00000025657	ENSGALP00000005362
ENSGACP00000011976	ENSGALP00000003923
ENSGACP00000020822	ENSGALP00000037931
ENSGACP00000008339	ENSGALP00000008220
ENSGACP00000016603	ENSGALP00000014129
ENSGACP00000005166	ENSGALP00000014129
ENSGACP00000000962	ENSGALP00000005129
ENSGACP00000010819	ENSGALP00000027682
ENSGACP00000015789	ENSGALP00000010742
ENSGACP00000008007	ENSGALP00000010742
ENSGACP00000020684	ENSGALP00000009322
ENSGACP00000023006	ENSGALP00000001108
ENSGACP00000014974	ENSGALP00000007052
ENSGACP00000024113	ENSGALP00000012615
ENSGACP00000019953	ENSGALP00000037478
ENSGACP00000011113	ENSGALP00000037478
ENSGACP00000016384	ENSGALP00000026558
ENSGACP00000017010	ENSGALP00000007187
ENSGACP00000014262	ENSGALP00000005972
ENSGACP00000023429	ENSGALP00000039941
ENSGACP00000025094	ENSGALP00000039941
ENSGACP00000018547	ENSGALP00000024186
ENSGACP00000004914	ENSGALP00000024186
ENSGACP00000015813	ENSGALP00000008227
ENSGACP00000010658	ENSGALP00000013268
ENSGACP00000018972	ENSGALP00000011700
ENSGACP00000011339	ENSGALP00000020415
ENSGACP00000020862	ENSGALP00000006621
ENSGACP00000021289	ENSGALP00000002707
ENSGACP00000008614	ENSGALP00000002707
ENSGACP00000026015	ENSGALP00000041034
ENSGACP00000019861	ENSGALP00000040443
ENSGACP00000005961	ENSGALP00000001997
ENSGACP00000010618	ENSGALP00000042034
ENSGACP00000006773	ENSGALP00000012210
ENSGACP00000016878	ENSGALP00000036474
ENSGACP00000008527	ENSGALP00000021359
ENSGACP00000007228	ENSGALP00000017999
ENSGACP00000003396	ENSGALP00000037663
ENSGACP00000015716	ENSGALP00000006919
ENSGACP00000003555	ENSGALP00000013307
ENSGACP00000017105	ENSGALP00000042685
ENSGACP00000007820	ENSGALP00000042685
ENSGACP00000021854	ENSGALP00000029342
ENSGACP00000016803	ENSGALP00000019816
ENSGACP00000004174	ENSGALP00000019816
ENSGACP00000001241	ENSGALP00000025015
ENSGACP00000014749	ENSGALP00000008736
ENSGACP00000012264	ENSGALP00000013682
ENSGACP00000002787	ENSGALP00000005392
ENSGACP00000022646	ENSGALP00000016394
ENSGACP00000024633	ENSGALP00000016394
ENSGACP00000006311	ENSGALP00000017586
ENSGACP00000008592	ENSGALP00000037084
ENSGACP00000000400	ENSGALP00000020328
ENSGACP00000000746	ENSGALP00000011596
ENSGACP00000002113	ENSGALP00000011596
ENSGACP00000010323	ENSGALP00000008079
ENSGACP00000003304	ENSGALP00000015741
ENSGACP00000010934	ENSGALP00000023837
ENSGACP00000020004	ENSGALP00000002564
ENSGACP00000024367	ENSGALP00000040201
ENSGACP00000014284	ENSGALP00000000495
ENSGACP00000020471	ENSGALP00000000495
ENSGACP00000023727	ENSGALP00000008696
ENSGACP00000024594	ENSGALP00000022159
ENSGACP00000020688	ENSGALP00000009312
ENSGACP00000002423	ENSGALP00000027305
ENSGACP00000022615	ENSGALP00000023022
ENSGACP00000012767	ENSGALP00000041318
ENSGACP00000009376	ENSGALP00000041318
ENSGACP00000026831	ENSGALP00000034072
ENSGACP00000012212	ENSGALP00000008073
ENSGACP00000005239	ENSGALP00000030426
ENSGACP00000004618	ENSGALP00000030426
ENSGACP00000013164	ENSGALP00000006237
ENSGACP00000019940	ENSGALP00000006237
ENSGACP00000023350	ENSGALP00000010305
ENSGACP00000010505	ENSGALP00000002338
ENSGACP00000026339	ENSGALP00000015045
ENSGACP00000008038	ENSGALP00000026615
ENSGACP00000023684	ENSGALP00000021034
ENSGACP00000015657	ENSGALP00000014959
ENSGACP00000003339	ENSGALP00000036782
ENSGACP00000022478	ENSGALP00000036782
ENSGACP00000014348	ENSGALP00000035366
ENSGACP00000021754	ENSGALP00000035366
ENSGACP00000012105	ENSGALP00000014317
ENSGACP00000020908	ENSGALP00000024167
ENSGACP00000027214	ENSGALP00000025508
ENSGACP00000017568	ENSGALP00000042044
ENSGACP00000006650	ENSGALP00000042044
ENSGACP00000003809	ENSGALP00000041646
ENSGACP00000015239	ENSGALP00000041646
ENSGACP00000007118	ENSGALP00000014608
ENSGACP00000020232	ENSGALP00000027115
ENSGACP00000010617	ENSGALP00000018410
ENSGACP00000011260	ENSGALP00000039270
ENSGACP00000022085	ENSGALP00000006115
ENSGACP00000008634	ENSGALP00000021290
ENSGACP00000011827	ENSGALP00000021290
ENSGACP00000022944	ENSGALP00000042060
ENSGACP00000024763	ENSGALP00000013870
ENSGACP00000008622	ENSGALP00000030997
ENSGACP00000018130	ENSGALP00000035804
ENSGACP00000014730	ENSGALP00000017131
ENSGACP00000003189	ENSGALP00000015178
ENSGACP00000004761	ENSGALP00000020011
ENSGACP00000010890	ENSGALP00000025439
ENSGACP00000027516	ENSGALP00000002862
ENSGACP00000002225	ENSGALP00000018816
ENSGACP00000008771	ENSGALP00000020659
ENSGACP00000014198	ENSGALP00000010883
ENSGACP00000026222	ENSGALP00000018826
ENSGACP00000027173	ENSGALP00000027519
ENSGACP00000021361	ENSGALP00000023059
ENSGACP00000017699	ENSGALP00000019396
ENSGACP00000018624	ENSGALP00000019396
ENSGACP00000023094	ENSGALP00000007923
ENSGACP00000012443	ENSGALP00000001254
ENSGACP00000012201	ENSGALP00000014278
ENSGACP00000008407	ENSGALP00000032179
ENSGACP00000022252	ENSGALP00000009194
ENSGACP00000014089	ENSGALP00000042202
ENSGACP00000015293	ENSGALP00000011668
ENSGACP00000019071	ENSGALP00000002039
ENSGACP00000014497	ENSGALP00000002039
ENSGACP00000018543	ENSGALP00000036165
ENSGACP00000004907	ENSGALP00000036165
ENSGACP00000015379	ENSGALP00000004335
ENSGACP00000009200	ENSGALP00000040974
ENSGACP00000015190	ENSGALP00000022567
ENSGACP00000027384	ENSGALP00000031757
ENSGACP00000025853	ENSGALP00000041413
ENSGACP00000009851	ENSGALP00000040835
ENSGACP00000003515	ENSGALP00000003043
ENSGACP00000026414	ENSGALP00000016505
ENSGACP00000002611	ENSGALP00000000670
ENSGACP00000003459	ENSGALP00000006273
ENSGACP00000015652	ENSGALP00000020604
ENSGACP00000003289	ENSGALP00000006648
ENSGACP00000001694	ENSGALP00000022101
ENSGACP00000018137	ENSGALP00000027347
ENSGACP00000014361	ENSGALP00000019323
ENSGACP00000007546	ENSGALP00000016050
ENSGACP00000011098	ENSGALP00000016050
ENSGACP00000011753	ENSGALP00000043300
ENSGACP00000018998	ENSGALP00000006735
ENSGACP00000004958	ENSGALP00000042802
ENSGACP00000024153	ENSGALP00000042802
ENSGACP00000002650	ENSGALP00000022250
ENSGACP00000020818	ENSGALP00000000933
ENSGACP00000019027	ENSGALP00000004887
ENSGACP00000009251	ENSGALP00000018335
ENSGACP00000002041	ENSGALP00000006954
ENSGACP00000007751	ENSGALP00000003968
ENSGACP00000011681	ENSGALP00000013042
ENSGACP00000023874	ENSGALP00000022312
ENSGACP00000012346	ENSGALP00000018421
ENSGACP00000023592	ENSGALP00000018421
ENSGACP00000015832	ENSGALP00000037111
ENSGACP00000022356	ENSGALP00000041373
ENSGACP00000008583	ENSGALP00000039153
ENSGACP00000003986	ENSGALP00000021328
ENSGACP00000002484	ENSGALP00000022856
ENSGACP00000010172	ENSGALP00000001315
ENSGACP00000026788	ENSGALP00000042479
ENSGACP00000026688	ENSGALP00000025970
ENSGACP00000014973	ENSGALP00000025766
ENSGACP00000006092	ENSGALP00000016578
ENSGACP00000005753	ENSGALP00000018530
ENSGACP00000007460	ENSGALP00000010114
ENSGACP00000010402	ENSGALP00000015334
ENSGACP00000007937	ENSGALP00000015334
ENSGACP00000021824	ENSGALP00000018552
ENSGACP00000009805	ENSGALP00000013334
ENSGACP00000025041	ENSGALP00000042365
ENSGACP00000001338	ENSGALP00000043243
ENSGACP00000008241	ENSGALP00000032826
ENSGACP00000010154	ENSGALP00000042234
ENSGACP00000025010	ENSGALP00000042234
ENSGACP00000007253	ENSGALP00000005501
ENSGACP00000011215	ENSGALP00000005501
ENSGACP00000001207	ENSGALP00000013659
ENSGACP00000019811	ENSGALP00000027279
ENSGACP00000025702	ENSGALP00000005100
ENSGACP00000007047	ENSGALP00000005100
ENSGACP00000011186	ENSGALP00000004190
ENSGACP00000011205	ENSGALP00000042563
ENSGACP00000007112	ENSGALP00000042563
ENSGACP00000013043	ENSGALP00000042182
ENSGACP00000020075	ENSGALP00000042182
ENSGACP00000011705	ENSGALP00000003384
ENSGACP00000019927	ENSGALP00000008280
ENSGACP00000012531	ENSGALP00000013527
ENSGACP00000009958	ENSGALP00000019276
ENSGACP00000006119	ENSGALP00000019276
ENSGACP00000008002	ENSGALP00000001307
ENSGACP00000021398	ENSGALP00000023031
ENSGACP00000025891	ENSGALP00000017299
ENSGACP00000022404	ENSGALP00000017299
ENSGACP00000010488	ENSGALP00000006542
ENSGACP00000019218	ENSGALP00000032339
ENSGACP00000002208	ENSGALP00000018789
ENSGACP00000008182	ENSGALP00000039621
ENSGACP00000004461	ENSGALP00000004363
ENSGACP00000027227	ENSGALP00000041804
ENSGACP00000018242	ENSGALP00000026957
ENSGACP00000023096	ENSGALP00000024184
ENSGACP00000017849	ENSGALP00000008450
ENSGACP00000004744	ENSGALP00000042139
ENSGACP00000024213	ENSGALP00000001655
ENSGACP00000004786	ENSGALP00000041050
ENSGACP00000004665	ENSGALP00000039342
ENSGACP00000012359	ENSGALP00000039342
ENSGACP00000005267	ENSGALP00000012907
ENSGACP00000022482	ENSGALP00000012907
ENSGACP00000004866	ENSGALP00000025787
ENSGACP00000022843	ENSGALP00000024140
ENSGACP00000015765	ENSGALP00000008556
ENSGACP00000013908	ENSGALP00000008556
ENSGACP00000005495	ENSGALP00000016481
ENSGACP00000025402	ENSGALP00000014280
ENSGACP00000025562	ENSGALP00000020733
ENSGACP00000023106	ENSGALP00000039553
ENSGACP00000000041	ENSGALP00000009709
ENSGACP00000007710	ENSGALP00000023968
ENSGACP00000019846	ENSGALP00000009632
ENSGACP00000013065	ENSGALP00000042049
ENSGACP00000010262	ENSGALP00000018041
ENSGACP00000009211	ENSGALP00000017800
ENSGACP00000000701	ENSGALP00000023540
ENSGACP00000015350	ENSGALP00000023540
ENSGACP00000008396	ENSGALP00000022404
ENSGACP00000008247	ENSGALP00000022404
ENSGACP00000008146	ENSGALP00000022405
ENSGACP00000017208	ENSGALP00000036383
ENSGACP00000020840	ENSGALP00000021551
ENSGACP00000017945	ENSGALP00000013385
ENSGACP00000008455	ENSGALP00000039721
ENSGACP00000005964	ENSGALP00000043450
ENSGACP00000016154	ENSGALP00000003917
ENSGACP00000008740	ENSGALP00000014139
ENSGACP00000017248	ENSGALP00000042542
ENSGACP00000011108	ENSGALP00000041860
ENSGACP00000009554	ENSGALP00000041860
ENSGACP00000000340	ENSGALP00000008398
ENSGACP00000007344	ENSGALP00000001446
ENSGACP00000018300	ENSGALP00000007286
ENSGACP00000016062	ENSGALP00000027721
ENSGACP00000027285	ENSGALP00000027721
ENSGACP00000017938	ENSGALP00000022459
ENSGACP00000021777	ENSGALP00000017565
ENSGACP00000012241	ENSGALP00000026855
ENSGACP00000012319	ENSGALP00000026102
ENSGACP00000018944	ENSGALP00000009716
ENSGACP00000022991	ENSGALP00000024317
ENSGACP00000015300	ENSGALP00000024253
ENSGACP00000012407	ENSGALP00000043393
ENSGACP00000013232	ENSGALP00000014471
ENSGACP00000013007	ENSGALP00000023395
ENSGACP00000014248	ENSGALP00000016983
ENSGACP00000004746	ENSGALP00000016983
ENSGACP00000002197	ENSGALP00000003381
ENSGACP00000009765	ENSGALP00000038943
ENSGACP00000001494	ENSGALP00000005931
ENSGACP00000013952	ENSGALP00000023114
ENSGACP00000018900	ENSGALP00000007134
ENSGACP00000014452	ENSGALP00000016047
ENSGACP00000016947	ENSGALP00000008480
ENSGACP00000004442	ENSGALP00000008480
ENSGACP00000002535	ENSGALP00000022938
ENSGACP00000010178	ENSGALP00000017328
ENSGACP00000022485	ENSGALP00000002771
ENSGACP00000001147	ENSGALP00000024151
ENSGACP00000003274	ENSGALP00000020848
ENSGACP00000004070	ENSGALP00000027109
ENSGACP00000003376	ENSGALP00000040803
ENSGACP00000023559	ENSGALP00000041826
ENSGACP00000012022	ENSGALP00000000573
ENSGACP00000027449	ENSGALP00000000573
ENSGACP00000008352	ENSGALP00000037338
ENSGACP00000026393	ENSGALP00000013244
ENSGACP00000015026	ENSGALP00000010604
ENSGACP00000001542	ENSGALP00000018259
ENSGACP00000016428	ENSGALP00000013516
ENSGACP00000015627	ENSGALP00000013516
ENSGACP00000010270	ENSGALP00000008036
ENSGACP00000005014	ENSGALP00000002248
ENSGACP00000015619	ENSGALP00000042794
ENSGACP00000005396	ENSGALP00000015510
ENSGACP00000024936	ENSGALP00000015510
ENSGACP00000005798	ENSGALP00000017181
ENSGACP00000008079	ENSGALP00000039408
ENSGACP00000012005	ENSGALP00000015265
ENSGACP00000005602	ENSGALP00000012954
ENSGACP00000013466	ENSGALP00000012954
ENSGACP00000024715	ENSGALP00000024724
ENSGACP00000024064	ENSGALP00000003142
ENSGACP00000011340	ENSGALP00000005668
ENSGACP00000027074	ENSGALP00000005668
ENSGACP00000019616	ENSGALP00000008204
ENSGACP00000009961	ENSGALP00000042675
ENSGACP00000024326	ENSGALP00000007591
ENSGACP00000019521	ENSGALP00000007591
ENSGACP00000022755	ENSGALP00000038046
ENSGACP00000017602	ENSGALP00000027674
ENSGACP00000027483	ENSGALP00000027674
ENSGACP00000005275	ENSGALP00000041009
ENSGACP00000019872	ENSGALP00000043419
ENSGACP00000012303	ENSGALP00000039544
ENSGACP00000012894	ENSGALP00000042468
ENSGACP00000010467	ENSGALP00000002860
ENSGACP00000005748	ENSGALP00000024046
ENSGACP00000002941	ENSGALP00000005724
ENSGACP00000011702	ENSGALP00000026521
ENSGACP00000001128	ENSGALP00000028277
ENSGACP00000021753	ENSGALP00000029360
ENSGACP00000009992	ENSGALP00000019456
ENSGACP00000025980	ENSGALP00000038897
ENSGACP00000006223	ENSGALP00000002853
ENSGACP00000000032	ENSGALP00000006289
ENSGACP00000020496	ENSGALP00000041345
ENSGACP00000002913	ENSGALP00000001157
ENSGACP00000022731	ENSGALP00000016259
ENSGACP00000012059	ENSGALP00000005271
ENSGACP00000001458	ENSGALP00000021343
ENSGACP00000019038	ENSGALP00000007177
ENSGACP00000003059	ENSGALP00000039149
ENSGACP00000001535	ENSGALP00000018245
ENSGACP00000009978	ENSGALP00000012123
ENSGACP00000015386	ENSGALP00000024242
ENSGACP00000010155	ENSGALP00000019539
ENSGACP00000010071	ENSGALP00000033343
ENSGACP00000021269	ENSGALP00000000666
ENSGACP00000010719	ENSGALP00000018260
ENSGACP00000008635	ENSGALP00000041633
ENSGACP00000011679	ENSGALP00000005776
ENSGACP00000002240	ENSGALP00000019881
ENSGACP00000021329	ENSGALP00000016692
ENSGACP00000014056	ENSGALP00000043200
ENSGACP00000005998	ENSGALP00000043101
ENSGACP00000021509	ENSGALP00000038409
ENSGACP00000014256	ENSGALP00000000517
ENSGACP00000017499	ENSGALP00000009480
ENSGACP00000023706	ENSGALP00000024559
ENSGACP00000025021	ENSGALP00000009910
ENSGACP00000024297	ENSGALP00000023196
ENSGACP00000015632	ENSGALP00000042485
ENSGACP00000025008	ENSGALP00000015353
ENSGACP00000022666	ENSGALP00000021676
ENSGACP00000026816	ENSGALP00000012029
ENSGACP00000009277	ENSGALP00000043108
ENSGACP00000018747	ENSGALP00000040794
ENSGACP00000001687	ENSGALP00000040805
ENSGACP00000019962	ENSGALP00000027822
ENSGACP00000022491	ENSGALP00000009215
ENSGACP00000006758	ENSGALP00000025504
ENSGACP00000017584	ENSGALP00000025504
ENSGACP00000008873	ENSGALP00000024944
ENSGACP00000007927	ENSGALP00000018705
ENSGACP00000021998	ENSGALP00000007203
ENSGACP00000010535	ENSGALP00000007203
ENSGACP00000019042	ENSGALP00000004856
ENSGACP00000005655	ENSGALP00000004453
ENSGACP00000016656	ENSGALP00000017354
ENSGACP00000003408	ENSGALP00000016255
ENSGACP00000015671	ENSGALP00000008600
ENSGACP00000006969	ENSGALP00000002430
ENSGACP00000018438	ENSGALP00000000958
ENSGACP00000010355	ENSGALP00000000958
ENSGACP00000021056	ENSGALP00000006575
ENSGACP00000021863	ENSGALP00000014582
ENSGACP00000025739	ENSGALP00000036970
ENSGACP00000008966	ENSGALP00000036970
ENSGACP00000014925	ENSGALP00000012344
ENSGACP00000001331	ENSGALP00000042839
ENSGACP00000007193	ENSGALP00000017266
ENSGACP00000008402	ENSGALP00000028084
ENSGACP00000016510	ENSGALP00000004794
ENSGACP00000021103	ENSGALP00000004794
ENSGACP00000007728	ENSGALP00000016954
ENSGACP00000014243	ENSGALP00000005954
ENSGACP00000012173	ENSGALP00000005834
ENSGACP00000023115	ENSGALP00000017139
ENSGACP00000021525	ENSGALP00000000930
ENSGACP00000003648	ENSGALP00000030246
ENSGACP00000024508	ENSGALP00000011291
ENSGACP00000023352	ENSGALP00000026316
ENSGACP00000016827	ENSGALP00000026316
ENSGACP00000018659	ENSGALP00000027179
ENSGACP00000021301	ENSGALP00000018188
ENSGACP00000010775	ENSGALP00000028895
ENSGACP00000012049	ENSGALP00000014229
ENSGACP00000016237	ENSGALP00000015553
ENSGACP00000005022	ENSGALP00000030511
ENSGACP00000010979	ENSGALP00000030511
ENSGACP00000003611	ENSGALP00000025177
ENSGACP00000001761	ENSGALP00000007531
ENSGACP00000009829	ENSGALP00000005640
ENSGACP00000011996	ENSGALP00000005640
ENSGACP00000014286	ENSGALP00000026581
ENSGACP00000017845	ENSGALP00000016515
ENSGACP00000016867	ENSGALP00000016515
ENSGACP00000011636	ENSGALP00000014042
ENSGACP00000003328	ENSGALP00000020629
ENSGACP00000014704	ENSGALP00000012834
ENSGACP00000021634	ENSGALP00000017608
ENSGACP00000019947	ENSGALP00000026669
ENSGACP00000005045	ENSGALP00000008851
ENSGACP00000012042	ENSGALP00000010476
ENSGACP00000013866	ENSGALP00000004390
ENSGACP00000021669	ENSGALP00000004390
ENSGACP00000021427	ENSGALP00000038786
ENSGACP00000016087	ENSGALP00000013877
ENSGACP00000015708	ENSGALP00000031809
ENSGACP00000004037	ENSGALP00000031809
ENSGACP00000027054	ENSGALP00000004573
ENSGACP00000009221	ENSGALP00000017254
ENSGACP00000012839	ENSGALP00000028262
ENSGACP00000003907	ENSGALP00000025921
ENSGACP00000008313	ENSGALP00000025921
ENSGACP00000010074	ENSGALP00000016181
ENSGACP00000001953	ENSGALP00000005451
ENSGACP00000005150	ENSGALP00000003934
ENSGACP00000008267	ENSGALP00000000715
ENSGACP00000020159	ENSGALP00000003627
ENSGACP00000020733	ENSGALP00000041722
ENSGACP00000026286	ENSGALP00000014749
ENSGACP00000007055	ENSGALP00000031992
ENSGACP00000027459	ENSGALP00000011273
ENSGACP00000002713	ENSGALP00000039734
ENSGACP00000008412	ENSGALP00000031000
ENSGACP00000000675	ENSGALP00000036443
ENSGACP00000020845	ENSGALP00000001189
ENSGACP00000026628	ENSGALP00000009448
ENSGACP00000011578	ENSGALP00000007729
ENSGACP00000017238	ENSGALP00000042713
ENSGACP00000020508	ENSGALP00000011886
ENSGACP00000025813	ENSGALP00000022765
ENSGACP00000006028	ENSGALP00000039233
ENSGACP00000017388	ENSGALP00000014761
ENSGACP00000015496	ENSGALP00000014761
ENSGACP00000015704	ENSGALP00000020163
ENSGACP00000027047	ENSGALP00000004434
ENSGACP00000009541	ENSGALP00000041160
ENSGACP00000006485	ENSGALP00000041160
ENSGACP00000010992	ENSGALP00000037083
ENSGACP00000001561	ENSGALP00000037083
ENSGACP00000015079	ENSGALP00000033634
ENSGACP00000015393	ENSGALP00000024534
ENSGACP00000009051	ENSGALP00000023933
ENSGACP00000009075	ENSGALP00000001859
ENSGACP00000020979	ENSGALP00000003630
ENSGACP00000004066	ENSGALP00000005223
ENSGACP00000020958	ENSGALP00000005223
ENSGACP00000003156	ENSGALP00000039343
ENSGACP00000020414	ENSGALP00000014356
ENSGACP00000023688	ENSGALP00000043162
ENSGACP00000004064	ENSGALP00000003123
ENSGACP00000018440	ENSGALP00000012301
ENSGACP00000008005	ENSGALP00000011510
ENSGACP00000004646	ENSGALP00000006841
ENSGACP00000007139	ENSGALP00000025730
ENSGACP00000011276	ENSGALP00000025730
ENSGACP00000020611	ENSGALP00000038782
ENSGACP00000008999	ENSGALP00000038782
ENSGACP00000020600	ENSGALP00000006573
ENSGACP00000010779	ENSGALP00000006573
ENSGACP00000010674	ENSGALP00000017646
ENSGACP00000014915	ENSGALP00000015460
ENSGACP00000016212	ENSGALP00000016897
