ENSTNIP00000006282	ENSLOCP00000011371
ENSTNIP00000005842	ENSLOCP00000007843
ENSTNIP00000008387	ENSLOCP00000001085
ENSTNIP00000020758	ENSLOCP00000003484
ENSTNIP00000005555	ENSLOCP00000008187
ENSTNIP00000000293	ENSLOCP00000007673
ENSTNIP00000010150	ENSLOCP00000001761
ENSTNIP00000020258	ENSLOCP00000013704
ENSTNIP00000004897	ENSLOCP00000012506
ENSTNIP00000021558	ENSLOCP00000006906
ENSTNIP00000020041	ENSLOCP00000009732
ENSTNIP00000014352	ENSLOCP00000020119
ENSTNIP00000010082	ENSLOCP00000013138
ENSTNIP00000001960	ENSLOCP00000002524
ENSTNIP00000021976	ENSLOCP00000002524
ENSTNIP00000015690	ENSLOCP00000004941
ENSTNIP00000020111	ENSLOCP00000005592
ENSTNIP00000015211	ENSLOCP00000021197
ENSTNIP00000006001	ENSLOCP00000020619
ENSTNIP00000000328	ENSLOCP00000004847
ENSTNIP00000018485	ENSLOCP00000009498
ENSTNIP00000018305	ENSLOCP00000002996
ENSTNIP00000018901	ENSLOCP00000005953
ENSTNIP00000014280	ENSLOCP00000006462
ENSTNIP00000021813	ENSLOCP00000006910
ENSTNIP00000000214	ENSLOCP00000012258
ENSTNIP00000013207	ENSLOCP00000010198
ENSTNIP00000005364	ENSLOCP00000002343
ENSTNIP00000019255	ENSLOCP00000007801
ENSTNIP00000018963	ENSLOCP00000022246
ENSTNIP00000011523	ENSLOCP00000011499
ENSTNIP00000021174	ENSLOCP00000010821
ENSTNIP00000017957	ENSLOCP00000008742
ENSTNIP00000007359	ENSLOCP00000015271
ENSTNIP00000004739	ENSLOCP00000004223
ENSTNIP00000012231	ENSLOCP00000004673
ENSTNIP00000016721	ENSLOCP00000004673
ENSTNIP00000022870	ENSLOCP00000003496
ENSTNIP00000013291	ENSLOCP00000001376
ENSTNIP00000012474	ENSLOCP00000001376
ENSTNIP00000014721	ENSLOCP00000016638
ENSTNIP00000007692	ENSLOCP00000011257
ENSTNIP00000022345	ENSLOCP00000021340
ENSTNIP00000009346	ENSLOCP00000008690
ENSTNIP00000005960	ENSLOCP00000009740
ENSTNIP00000018845	ENSLOCP00000018767
ENSTNIP00000000274	ENSLOCP00000006961
ENSTNIP00000017535	ENSLOCP00000013748
ENSTNIP00000016954	ENSLOCP00000013729
ENSTNIP00000011527	ENSLOCP00000010788
ENSTNIP00000022048	ENSLOCP00000018993
ENSTNIP00000018560	ENSLOCP00000011531
ENSTNIP00000003541	ENSLOCP00000009773
ENSTNIP00000018282	ENSLOCP00000007891
ENSTNIP00000005846	ENSLOCP00000007891
ENSTNIP00000016264	ENSLOCP00000010267
ENSTNIP00000012087	ENSLOCP00000001991
ENSTNIP00000018866	ENSLOCP00000017936
ENSTNIP00000000215	ENSLOCP00000017936
ENSTNIP00000004627	ENSLOCP00000002876
ENSTNIP00000006684	ENSLOCP00000012621
ENSTNIP00000022544	ENSLOCP00000014502
ENSTNIP00000013718	ENSLOCP00000002606
ENSTNIP00000022293	ENSLOCP00000020398
ENSTNIP00000013869	ENSLOCP00000020398
ENSTNIP00000006962	ENSLOCP00000007012
ENSTNIP00000006858	ENSLOCP00000007195
ENSTNIP00000006271	ENSLOCP00000002960
ENSTNIP00000021950	ENSLOCP00000017397
ENSTNIP00000001688	ENSLOCP00000019918
ENSTNIP00000017167	ENSLOCP00000019918
ENSTNIP00000022866	ENSLOCP00000017605
ENSTNIP00000006253	ENSLOCP00000001849
ENSTNIP00000018990	ENSLOCP00000010068
ENSTNIP00000016946	ENSLOCP00000008264
ENSTNIP00000019894	ENSLOCP00000018420
ENSTNIP00000017848	ENSLOCP00000017196
ENSTNIP00000004801	ENSLOCP00000015631
ENSTNIP00000009712	ENSLOCP00000020336
ENSTNIP00000001443	ENSLOCP00000017289
ENSTNIP00000018523	ENSLOCP00000007535
ENSTNIP00000011989	ENSLOCP00000015142
ENSTNIP00000018835	ENSLOCP00000018742
ENSTNIP00000004991	ENSLOCP00000007303
ENSTNIP00000000714	ENSLOCP00000013225
ENSTNIP00000020223	ENSLOCP00000009050
ENSTNIP00000007713	ENSLOCP00000015396
ENSTNIP00000014656	ENSLOCP00000015396
ENSTNIP00000001055	ENSLOCP00000015678
ENSTNIP00000001772	ENSLOCP00000015678
ENSTNIP00000011731	ENSLOCP00000006159
ENSTNIP00000010202	ENSLOCP00000013457
ENSTNIP00000013424	ENSLOCP00000011701
ENSTNIP00000020042	ENSLOCP00000009685
ENSTNIP00000013945	ENSLOCP00000019450
ENSTNIP00000016812	ENSLOCP00000005312
ENSTNIP00000003231	ENSLOCP00000011689
ENSTNIP00000022260	ENSLOCP00000009365
ENSTNIP00000005851	ENSLOCP00000021043
ENSTNIP00000001154	ENSLOCP00000001851
ENSTNIP00000011779	ENSLOCP00000001851
ENSTNIP00000000194	ENSLOCP00000000350
ENSTNIP00000014350	ENSLOCP00000020122
ENSTNIP00000019943	ENSLOCP00000018702
ENSTNIP00000021254	ENSLOCP00000007667
ENSTNIP00000004533	ENSLOCP00000000672
ENSTNIP00000005087	ENSLOCP00000004246
ENSTNIP00000004199	ENSLOCP00000007288
ENSTNIP00000017235	ENSLOCP00000009894
ENSTNIP00000018522	ENSLOCP00000006977
ENSTNIP00000021940	ENSLOCP00000014410
ENSTNIP00000021499	ENSLOCP00000009297
ENSTNIP00000011868	ENSLOCP00000005937
ENSTNIP00000009153	ENSLOCP00000004321
ENSTNIP00000021915	ENSLOCP00000004528
ENSTNIP00000010653	ENSLOCP00000012478
ENSTNIP00000011601	ENSLOCP00000006559
ENSTNIP00000012929	ENSLOCP00000011739
ENSTNIP00000013283	ENSLOCP00000000030
ENSTNIP00000016386	ENSLOCP00000000030
ENSTNIP00000012428	ENSLOCP00000017258
ENSTNIP00000016320	ENSLOCP00000015223
ENSTNIP00000001879	ENSLOCP00000018852
ENSTNIP00000021208	ENSLOCP00000002689
ENSTNIP00000011843	ENSLOCP00000014733
ENSTNIP00000019989	ENSLOCP00000011238
ENSTNIP00000019494	ENSLOCP00000020279
ENSTNIP00000013426	ENSLOCP00000011676
ENSTNIP00000007322	ENSLOCP00000008323
ENSTNIP00000022096	ENSLOCP00000007102
ENSTNIP00000011503	ENSLOCP00000007102
ENSTNIP00000022036	ENSLOCP00000018472
ENSTNIP00000023010	ENSLOCP00000015164
ENSTNIP00000022025	ENSLOCP00000021950
ENSTNIP00000021136	ENSLOCP00000003412
ENSTNIP00000002031	ENSLOCP00000003412
ENSTNIP00000014832	ENSLOCP00000016068
ENSTNIP00000012676	ENSLOCP00000016068
ENSTNIP00000021222	ENSLOCP00000016976
ENSTNIP00000012093	ENSLOCP00000002145
ENSTNIP00000001853	ENSLOCP00000001957
ENSTNIP00000008224	ENSLOCP00000020071
ENSTNIP00000005516	ENSLOCP00000006901
ENSTNIP00000010228	ENSLOCP00000002910
ENSTNIP00000015427	ENSLOCP00000002913
ENSTNIP00000005944	ENSLOCP00000022019
ENSTNIP00000016934	ENSLOCP00000010802
ENSTNIP00000013256	ENSLOCP00000010802
ENSTNIP00000015972	ENSLOCP00000011873
ENSTNIP00000018524	ENSLOCP00000007574
ENSTNIP00000020327	ENSLOCP00000007574
ENSTNIP00000000405	ENSLOCP00000017581
ENSTNIP00000020707	ENSLOCP00000008284
ENSTNIP00000021502	ENSLOCP00000008284
ENSTNIP00000005491	ENSLOCP00000019451
ENSTNIP00000010641	ENSLOCP00000000951
ENSTNIP00000018087	ENSLOCP00000011944
ENSTNIP00000009580	ENSLOCP00000011944
ENSTNIP00000013969	ENSLOCP00000020881
ENSTNIP00000018086	ENSLOCP00000011974
ENSTNIP00000000204	ENSLOCP00000006233
ENSTNIP00000020894	ENSLOCP00000004049
ENSTNIP00000008668	ENSLOCP00000009317
ENSTNIP00000018161	ENSLOCP00000008299
ENSTNIP00000017595	ENSLOCP00000008299
ENSTNIP00000003222	ENSLOCP00000012103
ENSTNIP00000013872	ENSLOCP00000021356
ENSTNIP00000000104	ENSLOCP00000006205
ENSTNIP00000008870	ENSLOCP00000008512
ENSTNIP00000011690	ENSLOCP00000003447
ENSTNIP00000019831	ENSLOCP00000007330
ENSTNIP00000004556	ENSLOCP00000005766
ENSTNIP00000007797	ENSLOCP00000020078
ENSTNIP00000019629	ENSLOCP00000004804
ENSTNIP00000003315	ENSLOCP00000020565
ENSTNIP00000020841	ENSLOCP00000020636
ENSTNIP00000004558	ENSLOCP00000001383
ENSTNIP00000019786	ENSLOCP00000001383
ENSTNIP00000015836	ENSLOCP00000015270
ENSTNIP00000013782	ENSLOCP00000012876
ENSTNIP00000011866	ENSLOCP00000014942
ENSTNIP00000010108	ENSLOCP00000004813
ENSTNIP00000004307	ENSLOCP00000004813
ENSTNIP00000006883	ENSLOCP00000005023
ENSTNIP00000016562	ENSLOCP00000018801
ENSTNIP00000015618	ENSLOCP00000021097
ENSTNIP00000019896	ENSLOCP00000017017
ENSTNIP00000012862	ENSLOCP00000009061
ENSTNIP00000003738	ENSLOCP00000001924
ENSTNIP00000019491	ENSLOCP00000020253
ENSTNIP00000020562	ENSLOCP00000013056
ENSTNIP00000012904	ENSLOCP00000001341
ENSTNIP00000007567	ENSLOCP00000012993
ENSTNIP00000008528	ENSLOCP00000019060
ENSTNIP00000009581	ENSLOCP00000013725
ENSTNIP00000018174	ENSLOCP00000013725
ENSTNIP00000010133	ENSLOCP00000018040
ENSTNIP00000007256	ENSLOCP00000017094
ENSTNIP00000017333	ENSLOCP00000005091
ENSTNIP00000014019	ENSLOCP00000005091
ENSTNIP00000018206	ENSLOCP00000008469
ENSTNIP00000022157	ENSLOCP00000011861
ENSTNIP00000019403	ENSLOCP00000020351
ENSTNIP00000000689	ENSLOCP00000013350
ENSTNIP00000002950	ENSLOCP00000020375
ENSTNIP00000020509	ENSLOCP00000015956
ENSTNIP00000009372	ENSLOCP00000019457
ENSTNIP00000020311	ENSLOCP00000012838
ENSTNIP00000012777	ENSLOCP00000019960
ENSTNIP00000000285	ENSLOCP00000021035
ENSTNIP00000016011	ENSLOCP00000016824
ENSTNIP00000019746	ENSLOCP00000019672
ENSTNIP00000020953	ENSLOCP00000009952
ENSTNIP00000022566	ENSLOCP00000017178
ENSTNIP00000008967	ENSLOCP00000013694
ENSTNIP00000014603	ENSLOCP00000013694
ENSTNIP00000013915	ENSLOCP00000001161
ENSTNIP00000001404	ENSLOCP00000007342
ENSTNIP00000001896	ENSLOCP00000014345
ENSTNIP00000018494	ENSLOCP00000006700
ENSTNIP00000012702	ENSLOCP00000017462
ENSTNIP00000015315	ENSLOCP00000009703
ENSTNIP00000000023	ENSLOCP00000009703
ENSTNIP00000009650	ENSLOCP00000008519
ENSTNIP00000016112	ENSLOCP00000009741
ENSTNIP00000019197	ENSLOCP00000015354
ENSTNIP00000016477	ENSLOCP00000021634
ENSTNIP00000006931	ENSLOCP00000009571
ENSTNIP00000022494	ENSLOCP00000020134
ENSTNIP00000011348	ENSLOCP00000007415
ENSTNIP00000009618	ENSLOCP00000006810
ENSTNIP00000020050	ENSLOCP00000009460
ENSTNIP00000010713	ENSLOCP00000009460
ENSTNIP00000010320	ENSLOCP00000007504
ENSTNIP00000019086	ENSLOCP00000000961
ENSTNIP00000008899	ENSLOCP00000019290
ENSTNIP00000001554	ENSLOCP00000021352
ENSTNIP00000020105	ENSLOCP00000006318
ENSTNIP00000008562	ENSLOCP00000006082
ENSTNIP00000002214	ENSLOCP00000021692
ENSTNIP00000005674	ENSLOCP00000021691
ENSTNIP00000003283	ENSLOCP00000021920
ENSTNIP00000017005	ENSLOCP00000000829
ENSTNIP00000018975	ENSLOCP00000000446
ENSTNIP00000017403	ENSLOCP00000006458
ENSTNIP00000019225	ENSLOCP00000006458
ENSTNIP00000008895	ENSLOCP00000019434
ENSTNIP00000019109	ENSLOCP00000019434
ENSTNIP00000009333	ENSLOCP00000016311
ENSTNIP00000003313	ENSLOCP00000019085
ENSTNIP00000009639	ENSLOCP00000001807
ENSTNIP00000010581	ENSLOCP00000018369
ENSTNIP00000020007	ENSLOCP00000020846
ENSTNIP00000021169	ENSLOCP00000006151
ENSTNIP00000013922	ENSLOCP00000000919
ENSTNIP00000010310	ENSLOCP00000000599
ENSTNIP00000022273	ENSLOCP00000011317
ENSTNIP00000004542	ENSLOCP00000011317
ENSTNIP00000002674	ENSLOCP00000022440
ENSTNIP00000006921	ENSLOCP00000005504
ENSTNIP00000004150	ENSLOCP00000011830
ENSTNIP00000004152	ENSLOCP00000009798
ENSTNIP00000004151	ENSLOCP00000009798
ENSTNIP00000004154	ENSLOCP00000014539
ENSTNIP00000004153	ENSLOCP00000014539
ENSTNIP00000004147	ENSLOCP00000000540
ENSTNIP00000022820	ENSLOCP00000000540
ENSTNIP00000016621	ENSLOCP00000004563
ENSTNIP00000017895	ENSLOCP00000002598
ENSTNIP00000015829	ENSLOCP00000015174
ENSTNIP00000012378	ENSLOCP00000009362
ENSTNIP00000001119	ENSLOCP00000009326
ENSTNIP00000005408	ENSLOCP00000010362
ENSTNIP00000003807	ENSLOCP00000010362
ENSTNIP00000012192	ENSLOCP00000016687
ENSTNIP00000012650	ENSLOCP00000015593
ENSTNIP00000008139	ENSLOCP00000007291
ENSTNIP00000005211	ENSLOCP00000007291
ENSTNIP00000015931	ENSLOCP00000014355
ENSTNIP00000012894	ENSLOCP00000001728
ENSTNIP00000007377	ENSLOCP00000000326
ENSTNIP00000015415	ENSLOCP00000019051
ENSTNIP00000008095	ENSLOCP00000019265
ENSTNIP00000017698	ENSLOCP00000017731
ENSTNIP00000010422	ENSLOCP00000017566
ENSTNIP00000019623	ENSLOCP00000004632
ENSTNIP00000007355	ENSLOCP00000004632
ENSTNIP00000011958	ENSLOCP00000018440
ENSTNIP00000000838	ENSLOCP00000008782
ENSTNIP00000016208	ENSLOCP00000008782
ENSTNIP00000008808	ENSLOCP00000001716
ENSTNIP00000020342	ENSLOCP00000008137
ENSTNIP00000018297	ENSLOCP00000011931
ENSTNIP00000016992	ENSLOCP00000011931
ENSTNIP00000017751	ENSLOCP00000001677
ENSTNIP00000007783	ENSLOCP00000018135
ENSTNIP00000019071	ENSLOCP00000001866
ENSTNIP00000017503	ENSLOCP00000001913
ENSTNIP00000000928	ENSLOCP00000011416
ENSTNIP00000015910	ENSLOCP00000014372
ENSTNIP00000020907	ENSLOCP00000014284
ENSTNIP00000015772	ENSLOCP00000010918
ENSTNIP00000009806	ENSLOCP00000002136
ENSTNIP00000018359	ENSLOCP00000009461
ENSTNIP00000021245	ENSLOCP00000009461
ENSTNIP00000004149	ENSLOCP00000007554
ENSTNIP00000004162	ENSLOCP00000015210
ENSTNIP00000004161	ENSLOCP00000015218
ENSTNIP00000003031	ENSLOCP00000007388
ENSTNIP00000012769	ENSLOCP00000007597
ENSTNIP00000018489	ENSLOCP00000006576
ENSTNIP00000016481	ENSLOCP00000006576
ENSTNIP00000002597	ENSLOCP00000002353
ENSTNIP00000006031	ENSLOCP00000004327
ENSTNIP00000011005	ENSLOCP00000004327
ENSTNIP00000004185	ENSLOCP00000004189
ENSTNIP00000007688	ENSLOCP00000004189
ENSTNIP00000005414	ENSLOCP00000015581
ENSTNIP00000011458	ENSLOCP00000007560
ENSTNIP00000016147	ENSLOCP00000005498
ENSTNIP00000020075	ENSLOCP00000008724
ENSTNIP00000012297	ENSLOCP00000008724
ENSTNIP00000002653	ENSLOCP00000016625
ENSTNIP00000012529	ENSLOCP00000004732
ENSTNIP00000016907	ENSLOCP00000010462
ENSTNIP00000017923	ENSLOCP00000002838
ENSTNIP00000008359	ENSLOCP00000008705
ENSTNIP00000012844	ENSLOCP00000008705
ENSTNIP00000001461	ENSLOCP00000005850
ENSTNIP00000014259	ENSLOCP00000016350
ENSTNIP00000015307	ENSLOCP00000008822
ENSTNIP00000009732	ENSLOCP00000008802
ENSTNIP00000021916	ENSLOCP00000004492
ENSTNIP00000000426	ENSLOCP00000011786
ENSTNIP00000003337	ENSLOCP00000000295
ENSTNIP00000002759	ENSLOCP00000008739
ENSTNIP00000014846	ENSLOCP00000006421
ENSTNIP00000012370	ENSLOCP00000009064
ENSTNIP00000021982	ENSLOCP00000006580
ENSTNIP00000014367	ENSLOCP00000018624
ENSTNIP00000021476	ENSLOCP00000012190
ENSTNIP00000015546	ENSLOCP00000012190
ENSTNIP00000020928	ENSLOCP00000013987
ENSTNIP00000000009	ENSLOCP00000016999
ENSTNIP00000021760	ENSLOCP00000009137
ENSTNIP00000015898	ENSLOCP00000009137
ENSTNIP00000006861	ENSLOCP00000014129
ENSTNIP00000014479	ENSLOCP00000014931
ENSTNIP00000014840	ENSLOCP00000015917
ENSTNIP00000002801	ENSLOCP00000015917
ENSTNIP00000010904	ENSLOCP00000000012
ENSTNIP00000015865	ENSLOCP00000010552
ENSTNIP00000014913	ENSLOCP00000010552
ENSTNIP00000014448	ENSLOCP00000014081
ENSTNIP00000022023	ENSLOCP00000014081
ENSTNIP00000008910	ENSLOCP00000008337
ENSTNIP00000006887	ENSLOCP00000021429
ENSTNIP00000004913	ENSLOCP00000021090
ENSTNIP00000018073	ENSLOCP00000022026
ENSTNIP00000021453	ENSLOCP00000022026
ENSTNIP00000013939	ENSLOCP00000018659
ENSTNIP00000006115	ENSLOCP00000005298
ENSTNIP00000008378	ENSLOCP00000018978
ENSTNIP00000022050	ENSLOCP00000018978
ENSTNIP00000017787	ENSLOCP00000013432
ENSTNIP00000009414	ENSLOCP00000012580
ENSTNIP00000016196	ENSLOCP00000002029
ENSTNIP00000022692	ENSLOCP00000012884
ENSTNIP00000013096	ENSLOCP00000001757
ENSTNIP00000013217	ENSLOCP00000003565
ENSTNIP00000012775	ENSLOCP00000021144
ENSTNIP00000015140	ENSLOCP00000010429
ENSTNIP00000009740	ENSLOCP00000008438
ENSTNIP00000012572	ENSLOCP00000019936
ENSTNIP00000014360	ENSLOCP00000018686
ENSTNIP00000006544	ENSLOCP00000014145
ENSTNIP00000017317	ENSLOCP00000004769
ENSTNIP00000017343	ENSLOCP00000017619
ENSTNIP00000005625	ENSLOCP00000007069
ENSTNIP00000005889	ENSLOCP00000001710
ENSTNIP00000002835	ENSLOCP00000008611
ENSTNIP00000016941	ENSLOCP00000008461
ENSTNIP00000016021	ENSLOCP00000009712
ENSTNIP00000019180	ENSLOCP00000012600
ENSTNIP00000016965	ENSLOCP00000012292
ENSTNIP00000011830	ENSLOCP00000018248
ENSTNIP00000017118	ENSLOCP00000016783
ENSTNIP00000016006	ENSLOCP00000016783
ENSTNIP00000005992	ENSLOCP00000008998
ENSTNIP00000020617	ENSLOCP00000002589
ENSTNIP00000020763	ENSLOCP00000002721
ENSTNIP00000010636	ENSLOCP00000001323
ENSTNIP00000010638	ENSLOCP00000001229
ENSTNIP00000005047	ENSLOCP00000019996
ENSTNIP00000007059	ENSLOCP00000004532
ENSTNIP00000009869	ENSLOCP00000003106
ENSTNIP00000020374	ENSLOCP00000014995
ENSTNIP00000002415	ENSLOCP00000009686
ENSTNIP00000010840	ENSLOCP00000009686
ENSTNIP00000017825	ENSLOCP00000001440
ENSTNIP00000003278	ENSLOCP00000015017
ENSTNIP00000022074	ENSLOCP00000014924
ENSTNIP00000021199	ENSLOCP00000015533
ENSTNIP00000009344	ENSLOCP00000008774
ENSTNIP00000015090	ENSLOCP00000018602
ENSTNIP00000011839	ENSLOCP00000014791
ENSTNIP00000021601	ENSLOCP00000014651
ENSTNIP00000018162	ENSLOCP00000008326
ENSTNIP00000020074	ENSLOCP00000008744
ENSTNIP00000015572	ENSLOCP00000004775
ENSTNIP00000010107	ENSLOCP00000004775
ENSTNIP00000011019	ENSLOCP00000004912
ENSTNIP00000010803	ENSLOCP00000004912
ENSTNIP00000022339	ENSLOCP00000019570
ENSTNIP00000007656	ENSLOCP00000007048
ENSTNIP00000007225	ENSLOCP00000006513
ENSTNIP00000006578	ENSLOCP00000006332
ENSTNIP00000017666	ENSLOCP00000015212
ENSTNIP00000018199	ENSLOCP00000015212
ENSTNIP00000013810	ENSLOCP00000012804
ENSTNIP00000016737	ENSLOCP00000004513
ENSTNIP00000012234	ENSLOCP00000004513
ENSTNIP00000010182	ENSLOCP00000014622
ENSTNIP00000005252	ENSLOCP00000018521
ENSTNIP00000011187	ENSLOCP00000018521
ENSTNIP00000008167	ENSLOCP00000016935
ENSTNIP00000012831	ENSLOCP00000011285
ENSTNIP00000011579	ENSLOCP00000013208
ENSTNIP00000018165	ENSLOCP00000008798
ENSTNIP00000017600	ENSLOCP00000008798
ENSTNIP00000017594	ENSLOCP00000008254
ENSTNIP00000016958	ENSLOCP00000012380
ENSTNIP00000013725	ENSLOCP00000001200
ENSTNIP00000015937	ENSLOCP00000014270
ENSTNIP00000016467	ENSLOCP00000007170
ENSTNIP00000014012	ENSLOCP00000002497
ENSTNIP00000012364	ENSLOCP00000015944
ENSTNIP00000021323	ENSLOCP00000008999
ENSTNIP00000005550	ENSLOCP00000009691
ENSTNIP00000019569	ENSLOCP00000011711
ENSTNIP00000022488	ENSLOCP00000020160
ENSTNIP00000021189	ENSLOCP00000015118
ENSTNIP00000021907	ENSLOCP00000012210
ENSTNIP00000018719	ENSLOCP00000010911
ENSTNIP00000007632	ENSLOCP00000001862
ENSTNIP00000014771	ENSLOCP00000018481
ENSTNIP00000021025	ENSLOCP00000005614
ENSTNIP00000007071	ENSLOCP00000005829
ENSTNIP00000020980	ENSLOCP00000005394
ENSTNIP00000003196	ENSLOCP00000009649
ENSTNIP00000011096	ENSLOCP00000008787
ENSTNIP00000021951	ENSLOCP00000021213
ENSTNIP00000000663	ENSLOCP00000007087
ENSTNIP00000015992	ENSLOCP00000021713
ENSTNIP00000000403	ENSLOCP00000003259
ENSTNIP00000007482	ENSLOCP00000003259
ENSTNIP00000003623	ENSLOCP00000019877
ENSTNIP00000002237	ENSLOCP00000000498
ENSTNIP00000007547	ENSLOCP00000017221
ENSTNIP00000019986	ENSLOCP00000011149
ENSTNIP00000001732	ENSLOCP00000003605
ENSTNIP00000022565	ENSLOCP00000017200
ENSTNIP00000019722	ENSLOCP00000010468
ENSTNIP00000017572	ENSLOCP00000012161
ENSTNIP00000022869	ENSLOCP00000018328
ENSTNIP00000007253	ENSLOCP00000015840
ENSTNIP00000017227	ENSLOCP00000015840
ENSTNIP00000018939	ENSLOCP00000009861
ENSTNIP00000006668	ENSLOCP00000001858
ENSTNIP00000014242	ENSLOCP00000000060
ENSTNIP00000019099	ENSLOCP00000019334
ENSTNIP00000016910	ENSLOCP00000009595
ENSTNIP00000019977	ENSLOCP00000018814
ENSTNIP00000001711	ENSLOCP00000002053
ENSTNIP00000011992	ENSLOCP00000015472
ENSTNIP00000010323	ENSLOCP00000014323
ENSTNIP00000016319	ENSLOCP00000015241
ENSTNIP00000019887	ENSLOCP00000018848
ENSTNIP00000016537	ENSLOCP00000015507
ENSTNIP00000018286	ENSLOCP00000015507
ENSTNIP00000017618	ENSLOCP00000009280
ENSTNIP00000018721	ENSLOCP00000013534
ENSTNIP00000017552	ENSLOCP00000013534
ENSTNIP00000013264	ENSLOCP00000013277
ENSTNIP00000014274	ENSLOCP00000001226
ENSTNIP00000009103	ENSLOCP00000001048
ENSTNIP00000018803	ENSLOCP00000016092
ENSTNIP00000016072	ENSLOCP00000014026
ENSTNIP00000014620	ENSLOCP00000003984
ENSTNIP00000002925	ENSLOCP00000016021
ENSTNIP00000021402	ENSLOCP00000011462
ENSTNIP00000020189	ENSLOCP00000011462
ENSTNIP00000007645	ENSLOCP00000012499
ENSTNIP00000003422	ENSLOCP00000001496
ENSTNIP00000007308	ENSLOCP00000020600
ENSTNIP00000019399	ENSLOCP00000020600
ENSTNIP00000003244	ENSLOCP00000013635
ENSTNIP00000001590	ENSLOCP00000001128
ENSTNIP00000017888	ENSLOCP00000006646
ENSTNIP00000021246	ENSLOCP00000006646
ENSTNIP00000017129	ENSLOCP00000008048
ENSTNIP00000018623	ENSLOCP00000006680
ENSTNIP00000018582	ENSLOCP00000004797
ENSTNIP00000008914	ENSLOCP00000009442
ENSTNIP00000012392	ENSLOCP00000016407
ENSTNIP00000003250	ENSLOCP00000008315
ENSTNIP00000007177	ENSLOCP00000005141
ENSTNIP00000014020	ENSLOCP00000005141
ENSTNIP00000010883	ENSLOCP00000007790
ENSTNIP00000020691	ENSLOCP00000007790
ENSTNIP00000014960	ENSLOCP00000001294
ENSTNIP00000020091	ENSLOCP00000004307
ENSTNIP00000006632	ENSLOCP00000008687
ENSTNIP00000019566	ENSLOCP00000011781
ENSTNIP00000013269	ENSLOCP00000001946
ENSTNIP00000016810	ENSLOCP00000005364
ENSTNIP00000011425	ENSLOCP00000018421
ENSTNIP00000023023	ENSLOCP00000012394
ENSTNIP00000012976	ENSLOCP00000009385
ENSTNIP00000000505	ENSLOCP00000009385
ENSTNIP00000018666	ENSLOCP00000003957
ENSTNIP00000021929	ENSLOCP00000003957
ENSTNIP00000021730	ENSLOCP00000008503
ENSTNIP00000010175	ENSLOCP00000005724
ENSTNIP00000002502	ENSLOCP00000013965
ENSTNIP00000001120	ENSLOCP00000014610
ENSTNIP00000012065	ENSLOCP00000014610
ENSTNIP00000018101	ENSLOCP00000007561
ENSTNIP00000021958	ENSLOCP00000021285
ENSTNIP00000013634	ENSLOCP00000021285
ENSTNIP00000005677	ENSLOCP00000006312
ENSTNIP00000006988	ENSLOCP00000006312
ENSTNIP00000011341	ENSLOCP00000007097
ENSTNIP00000018977	ENSLOCP00000005246
ENSTNIP00000017399	ENSLOCP00000006314
ENSTNIP00000019926	ENSLOCP00000018542
ENSTNIP00000001951	ENSLOCP00000004312
ENSTNIP00000017557	ENSLOCP00000004312
ENSTNIP00000000677	ENSLOCP00000006166
ENSTNIP00000018933	ENSLOCP00000019794
ENSTNIP00000010294	ENSLOCP00000014209
ENSTNIP00000016068	ENSLOCP00000014074
ENSTNIP00000018996	ENSLOCP00000018579
ENSTNIP00000020369	ENSLOCP00000014940
ENSTNIP00000018566	ENSLOCP00000011939
ENSTNIP00000009864	ENSLOCP00000006985
ENSTNIP00000020687	ENSLOCP00000009227
ENSTNIP00000004752	ENSLOCP00000009227
ENSTNIP00000015187	ENSLOCP00000020249
ENSTNIP00000013905	ENSLOCP00000014151
ENSTNIP00000008218	ENSLOCP00000014690
ENSTNIP00000015816	ENSLOCP00000009564
ENSTNIP00000015605	ENSLOCP00000013439
ENSTNIP00000012583	ENSLOCP00000010880
ENSTNIP00000019703	ENSLOCP00000020092
ENSTNIP00000007655	ENSLOCP00000015127
ENSTNIP00000001740	ENSLOCP00000019257
ENSTNIP00000019400	ENSLOCP00000001272
ENSTNIP00000022358	ENSLOCP00000019424
ENSTNIP00000006665	ENSLOCP00000018657
ENSTNIP00000000545	ENSLOCP00000006052
ENSTNIP00000014671	ENSLOCP00000015684
ENSTNIP00000001128	ENSLOCP00000011994
ENSTNIP00000015632	ENSLOCP00000021998
ENSTNIP00000021974	ENSLOCP00000002555
ENSTNIP00000005371	ENSLOCP00000002555
ENSTNIP00000019084	ENSLOCP00000001033
ENSTNIP00000000801	ENSLOCP00000008498
ENSTNIP00000020123	ENSLOCP00000008700
ENSTNIP00000001333	ENSLOCP00000013480
ENSTNIP00000006441	ENSLOCP00000010528
ENSTNIP00000019533	ENSLOCP00000005641
ENSTNIP00000014806	ENSLOCP00000016288
ENSTNIP00000022608	ENSLOCP00000006752
ENSTNIP00000003799	ENSLOCP00000006752
ENSTNIP00000001978	ENSLOCP00000014493
ENSTNIP00000011494	ENSLOCP00000006776
ENSTNIP00000022607	ENSLOCP00000006776
ENSTNIP00000003347	ENSLOCP00000011554
ENSTNIP00000018379	ENSLOCP00000001555
ENSTNIP00000010676	ENSLOCP00000013024
ENSTNIP00000009425	ENSLOCP00000002435
ENSTNIP00000011510	ENSLOCP00000015518
