ENSTGUP00000008915	ENSACAP00000005936
ENSTGUP00000002248	ENSACAP00000014272
ENSTGUP00000012710	ENSACAP00000008310
ENSTGUP00000011135	ENSACAP00000002567
ENSTGUP00000002777	ENSACAP00000008835
ENSTGUP00000017506	ENSACAP00000013445
ENSTGUP00000004464	ENSACAP00000010829
ENSTGUP00000018050	ENSACAP00000016514
ENSTGUP00000005600	ENSACAP00000002440
ENSTGUP00000005911	ENSACAP00000022906
ENSTGUP00000013257	ENSACAP00000008611
ENSTGUP00000002177	ENSACAP00000009629
ENSTGUP00000010375	ENSACAP00000009581
ENSTGUP00000000937	ENSACAP00000001003
ENSTGUP00000013154	ENSACAP00000009082
ENSTGUP00000011847	ENSACAP00000005463
ENSTGUP00000009153	ENSACAP00000007201
ENSTGUP00000001610	ENSACAP00000002186
ENSTGUP00000011209	ENSACAP00000020222
ENSTGUP00000009384	ENSACAP00000005197
ENSTGUP00000009284	ENSACAP00000012024
ENSTGUP00000008805	ENSACAP00000021444
ENSTGUP00000004541	ENSACAP00000008596
ENSTGUP00000013329	ENSACAP00000005217
ENSTGUP00000011460	ENSACAP00000005176
ENSTGUP00000011607	ENSACAP00000016507
ENSTGUP00000001110	ENSACAP00000017549
ENSTGUP00000000009	ENSACAP00000003467
ENSTGUP00000004571	ENSACAP00000014804
ENSTGUP00000006667	ENSACAP00000002297
ENSTGUP00000017817	ENSACAP00000017661
ENSTGUP00000012933	ENSACAP00000011289
ENSTGUP00000001660	ENSACAP00000002149
ENSTGUP00000011175	ENSACAP00000016752
ENSTGUP00000007767	ENSACAP00000012342
ENSTGUP00000007985	ENSACAP00000011524
ENSTGUP00000008611	ENSACAP00000004382
ENSTGUP00000007185	ENSACAP00000006891
ENSTGUP00000013253	ENSACAP00000014377
ENSTGUP00000004693	ENSACAP00000013022
ENSTGUP00000005637	ENSACAP00000009139
ENSTGUP00000006630	ENSACAP00000008519
ENSTGUP00000005165	ENSACAP00000008374
ENSTGUP00000008211	ENSACAP00000016767
ENSTGUP00000014016	ENSACAP00000006362
ENSTGUP00000013207	ENSACAP00000013977
ENSTGUP00000004068	ENSACAP00000002235
ENSTGUP00000006749	ENSACAP00000006815
ENSTGUP00000017600	ENSACAP00000001548
ENSTGUP00000003897	ENSACAP00000008438
ENSTGUP00000002070	ENSACAP00000005274
ENSTGUP00000002802	ENSACAP00000013492
ENSTGUP00000007590	ENSACAP00000000303
ENSTGUP00000005902	ENSACAP00000021843
ENSTGUP00000006059	ENSACAP00000009292
ENSTGUP00000006333	ENSACAP00000001938
ENSTGUP00000005861	ENSACAP00000005052
ENSTGUP00000000707	ENSACAP00000010850
ENSTGUP00000001758	ENSACAP00000012211
ENSTGUP00000001746	ENSACAP00000010008
ENSTGUP00000014629	ENSACAP00000006228
ENSTGUP00000003293	ENSACAP00000016135
ENSTGUP00000013200	ENSACAP00000000188
ENSTGUP00000008318	ENSACAP00000015478
ENSTGUP00000007274	ENSACAP00000007084
ENSTGUP00000008744	ENSACAP00000004951
ENSTGUP00000008505	ENSACAP00000012308
ENSTGUP00000001843	ENSACAP00000022172
ENSTGUP00000001940	ENSACAP00000013197
ENSTGUP00000000885	ENSACAP00000014541
ENSTGUP00000007226	ENSACAP00000009708
ENSTGUP00000005417	ENSACAP00000015560
ENSTGUP00000004208	ENSACAP00000005592
ENSTGUP00000005218	ENSACAP00000009378
ENSTGUP00000007613	ENSACAP00000000272
ENSTGUP00000008396	ENSACAP00000009118
ENSTGUP00000011968	ENSACAP00000011307
ENSTGUP00000010160	ENSACAP00000012168
ENSTGUP00000000240	ENSACAP00000015471
ENSTGUP00000009798	ENSACAP00000000888
ENSTGUP00000007483	ENSACAP00000012615
ENSTGUP00000000465	ENSACAP00000009555
ENSTGUP00000010304	ENSACAP00000014118
ENSTGUP00000016558	ENSACAP00000007245
ENSTGUP00000009507	ENSACAP00000009591
ENSTGUP00000016048	ENSACAP00000020140
ENSTGUP00000006728	ENSACAP00000018499
ENSTGUP00000004987	ENSACAP00000009617
ENSTGUP00000001179	ENSACAP00000017570
ENSTGUP00000009526	ENSACAP00000009527
ENSTGUP00000007842	ENSACAP00000014459
ENSTGUP00000001470	ENSACAP00000006148
ENSTGUP00000008536	ENSACAP00000006936
ENSTGUP00000010665	ENSACAP00000011765
ENSTGUP00000012587	ENSACAP00000018770
ENSTGUP00000013778	ENSACAP00000003461
ENSTGUP00000008095	ENSACAP00000015864
ENSTGUP00000010926	ENSACAP00000001941
ENSTGUP00000009826	ENSACAP00000000871
ENSTGUP00000001455	ENSACAP00000022759
ENSTGUP00000003086	ENSACAP00000006059
ENSTGUP00000012550	ENSACAP00000016512
ENSTGUP00000008364	ENSACAP00000008612
ENSTGUP00000003030	ENSACAP00000014672
ENSTGUP00000006119	ENSACAP00000013916
ENSTGUP00000009726	ENSACAP00000010380
ENSTGUP00000007752	ENSACAP00000022801
ENSTGUP00000004682	ENSACAP00000016160
ENSTGUP00000000400	ENSACAP00000006271
ENSTGUP00000008469	ENSACAP00000016363
ENSTGUP00000006683	ENSACAP00000017472
ENSTGUP00000011625	ENSACAP00000006169
ENSTGUP00000013317	ENSACAP00000015507
ENSTGUP00000013315	ENSACAP00000015501
ENSTGUP00000000290	ENSACAP00000007522
ENSTGUP00000001673	ENSACAP00000020502
ENSTGUP00000006261	ENSACAP00000005692
ENSTGUP00000007049	ENSACAP00000014635
ENSTGUP00000011790	ENSACAP00000010434
ENSTGUP00000010705	ENSACAP00000002257
ENSTGUP00000013502	ENSACAP00000006874
ENSTGUP00000003353	ENSACAP00000001113
ENSTGUP00000008707	ENSACAP00000000798
ENSTGUP00000001542	ENSACAP00000004802
ENSTGUP00000006743	ENSACAP00000006919
ENSTGUP00000011061	ENSACAP00000004737
ENSTGUP00000002542	ENSACAP00000013769
ENSTGUP00000007443	ENSACAP00000019982
ENSTGUP00000004134	ENSACAP00000009901
ENSTGUP00000004560	ENSACAP00000006145
ENSTGUP00000008574	ENSACAP00000007739
ENSTGUP00000010404	ENSACAP00000002737
ENSTGUP00000012276	ENSACAP00000002501
ENSTGUP00000009362	ENSACAP00000008244
ENSTGUP00000005035	ENSACAP00000005143
ENSTGUP00000017505	ENSACAP00000013418
ENSTGUP00000004597	ENSACAP00000009831
ENSTGUP00000012101	ENSACAP00000015647
ENSTGUP00000009335	ENSACAP00000009278
ENSTGUP00000012595	ENSACAP00000014514
ENSTGUP00000005595	ENSACAP00000002532
ENSTGUP00000002488	ENSACAP00000013196
ENSTGUP00000008924	ENSACAP00000003793
ENSTGUP00000009158	ENSACAP00000001316
ENSTGUP00000005205	ENSACAP00000001212
ENSTGUP00000013420	ENSACAP00000001499
ENSTGUP00000006279	ENSACAP00000014756
ENSTGUP00000010279	ENSACAP00000011668
ENSTGUP00000006670	ENSACAP00000008395
ENSTGUP00000011114	ENSACAP00000017608
ENSTGUP00000014898	ENSACAP00000019628
ENSTGUP00000012346	ENSACAP00000020265
ENSTGUP00000016363	ENSACAP00000004692
ENSTGUP00000012338	ENSACAP00000015553
ENSTGUP00000002318	ENSACAP00000003165
ENSTGUP00000003640	ENSACAP00000005802
ENSTGUP00000006185	ENSACAP00000008185
ENSTGUP00000001076	ENSACAP00000015924
ENSTGUP00000002350	ENSACAP00000002165
ENSTGUP00000011676	ENSACAP00000019104
ENSTGUP00000008048	ENSACAP00000000674
ENSTGUP00000010733	ENSACAP00000008076
ENSTGUP00000010106	ENSACAP00000002589
ENSTGUP00000005509	ENSACAP00000020093
ENSTGUP00000005802	ENSACAP00000021792
ENSTGUP00000005514	ENSACAP00000015149
ENSTGUP00000000473	ENSACAP00000016244
ENSTGUP00000008908	ENSACAP00000007234
ENSTGUP00000013076	ENSACAP00000021840
ENSTGUP00000000866	ENSACAP00000017417
ENSTGUP00000011967	ENSACAP00000010430
ENSTGUP00000017812	ENSACAP00000017666
ENSTGUP00000006529	ENSACAP00000000459
ENSTGUP00000006289	ENSACAP00000006515
ENSTGUP00000011905	ENSACAP00000010135
ENSTGUP00000011852	ENSACAP00000001091
ENSTGUP00000011506	ENSACAP00000016763
ENSTGUP00000013249	ENSACAP00000010403
ENSTGUP00000006202	ENSACAP00000014882
ENSTGUP00000013835	ENSACAP00000010563
ENSTGUP00000006275	ENSACAP00000021742
ENSTGUP00000010222	ENSACAP00000010701
ENSTGUP00000011440	ENSACAP00000001208
ENSTGUP00000001396	ENSACAP00000016198
ENSTGUP00000006262	ENSACAP00000002281
ENSTGUP00000010163	ENSACAP00000014763
ENSTGUP00000013862	ENSACAP00000002450
ENSTGUP00000009732	ENSACAP00000000349
ENSTGUP00000002324	ENSACAP00000003163
ENSTGUP00000002302	ENSACAP00000003699
ENSTGUP00000011908	ENSACAP00000007292
ENSTGUP00000011715	ENSACAP00000007632
ENSTGUP00000009982	ENSACAP00000010974
ENSTGUP00000008417	ENSACAP00000012095
ENSTGUP00000005558	ENSACAP00000008985
ENSTGUP00000009162	ENSACAP00000007902
ENSTGUP00000002649	ENSACAP00000012375
ENSTGUP00000002654	ENSACAP00000012322
ENSTGUP00000007704	ENSACAP00000023444
ENSTGUP00000002923	ENSACAP00000021860
ENSTGUP00000010265	ENSACAP00000001356
ENSTGUP00000013147	ENSACAP00000001792
ENSTGUP00000007161	ENSACAP00000008142
ENSTGUP00000013577	ENSACAP00000011364
ENSTGUP00000007832	ENSACAP00000001041
ENSTGUP00000009636	ENSACAP00000000748
ENSTGUP00000005765	ENSACAP00000001826
ENSTGUP00000007520	ENSACAP00000007295
ENSTGUP00000008571	ENSACAP00000009670
ENSTGUP00000011294	ENSACAP00000014617
ENSTGUP00000000358	ENSACAP00000005662
ENSTGUP00000011716	ENSACAP00000007622
ENSTGUP00000001371	ENSACAP00000016377
ENSTGUP00000012004	ENSACAP00000013266
ENSTGUP00000007935	ENSACAP00000008628
ENSTGUP00000003225	ENSACAP00000001360
ENSTGUP00000005094	ENSACAP00000006286
ENSTGUP00000006587	ENSACAP00000007801
ENSTGUP00000002853	ENSACAP00000014120
ENSTGUP00000007341	ENSACAP00000007740
ENSTGUP00000008402	ENSACAP00000006972
ENSTGUP00000011697	ENSACAP00000016534
ENSTGUP00000010747	ENSACAP00000002390
ENSTGUP00000007849	ENSACAP00000010776
ENSTGUP00000003895	ENSACAP00000001303
ENSTGUP00000005313	ENSACAP00000003981
ENSTGUP00000011868	ENSACAP00000009992
ENSTGUP00000015977	ENSACAP00000007187
ENSTGUP00000012190	ENSACAP00000010395
ENSTGUP00000007029	ENSACAP00000000771
ENSTGUP00000003877	ENSACAP00000008559
ENSTGUP00000003206	ENSACAP00000011305
ENSTGUP00000001875	ENSACAP00000013488
ENSTGUP00000004491	ENSACAP00000015016
ENSTGUP00000006063	ENSACAP00000000394
ENSTGUP00000003391	ENSACAP00000005177
ENSTGUP00000004908	ENSACAP00000014010
ENSTGUP00000002232	ENSACAP00000012270
ENSTGUP00000001466	ENSACAP00000015644
ENSTGUP00000011498	ENSACAP00000003633
ENSTGUP00000006544	ENSACAP00000002897
ENSTGUP00000005239	ENSACAP00000018659
ENSTGUP00000011577	ENSACAP00000005958
ENSTGUP00000003173	ENSACAP00000022252
ENSTGUP00000000521	ENSACAP00000006905
ENSTGUP00000005906	ENSACAP00000014476
ENSTGUP00000013628	ENSACAP00000007006
ENSTGUP00000000301	ENSACAP00000014985
ENSTGUP00000010852	ENSACAP00000015271
ENSTGUP00000014018	ENSACAP00000011939
ENSTGUP00000011067	ENSACAP00000009813
ENSTGUP00000011831	ENSACAP00000014714
ENSTGUP00000013674	ENSACAP00000004984
ENSTGUP00000013851	ENSACAP00000013989
ENSTGUP00000010700	ENSACAP00000002705
ENSTGUP00000007894	ENSACAP00000012035
ENSTGUP00000003848	ENSACAP00000008728
ENSTGUP00000012039	ENSACAP00000013544
ENSTGUP00000003608	ENSACAP00000008498
ENSTGUP00000008426	ENSACAP00000007484
ENSTGUP00000006452	ENSACAP00000012840
ENSTGUP00000007851	ENSACAP00000011261
ENSTGUP00000010081	ENSACAP00000014061
ENSTGUP00000005099	ENSACAP00000007874
ENSTGUP00000008385	ENSACAP00000001610
ENSTGUP00000012552	ENSACAP00000016515
ENSTGUP00000004509	ENSACAP00000022690
ENSTGUP00000005994	ENSACAP00000008302
ENSTGUP00000008244	ENSACAP00000003605
ENSTGUP00000000838	ENSACAP00000000238
ENSTGUP00000007301	ENSACAP00000020229
ENSTGUP00000015679	ENSACAP00000020321
ENSTGUP00000010942	ENSACAP00000015635
ENSTGUP00000004044	ENSACAP00000008158
ENSTGUP00000016739	ENSACAP00000005466
ENSTGUP00000006558	ENSACAP00000020900
ENSTGUP00000003536	ENSACAP00000014164
ENSTGUP00000006766	ENSACAP00000008333
ENSTGUP00000007874	ENSACAP00000012671
ENSTGUP00000008701	ENSACAP00000013935
ENSTGUP00000015509	ENSACAP00000004955
ENSTGUP00000006470	ENSACAP00000014666
ENSTGUP00000000106	ENSACAP00000017436
ENSTGUP00000003690	ENSACAP00000005625
ENSTGUP00000008300	ENSACAP00000006199
ENSTGUP00000004849	ENSACAP00000006986
ENSTGUP00000003683	ENSACAP00000010203
ENSTGUP00000013150	ENSACAP00000001745
ENSTGUP00000015065	ENSACAP00000014953
ENSTGUP00000007888	ENSACAP00000011441
ENSTGUP00000015955	ENSACAP00000008971
ENSTGUP00000014950	ENSACAP00000016025
ENSTGUP00000013739	ENSACAP00000000389
ENSTGUP00000011925	ENSACAP00000006266
ENSTGUP00000000799	ENSACAP00000000174
ENSTGUP00000007023	ENSACAP00000006367
ENSTGUP00000012068	ENSACAP00000004945
ENSTGUP00000001072	ENSACAP00000022630
ENSTGUP00000008918	ENSACAP00000014121
ENSTGUP00000012669	ENSACAP00000007619
ENSTGUP00000013015	ENSACAP00000004941
ENSTGUP00000011960	ENSACAP00000003220
ENSTGUP00000000961	ENSACAP00000015068
ENSTGUP00000013784	ENSACAP00000003281
ENSTGUP00000012213	ENSACAP00000004056
ENSTGUP00000007005	ENSACAP00000010793
ENSTGUP00000003837	ENSACAP00000009743
ENSTGUP00000008989	ENSACAP00000012118
ENSTGUP00000005751	ENSACAP00000014823
ENSTGUP00000001297	ENSACAP00000002321
ENSTGUP00000013498	ENSACAP00000000926
ENSTGUP00000012887	ENSACAP00000010204
ENSTGUP00000011838	ENSACAP00000012513
ENSTGUP00000003670	ENSACAP00000001507
ENSTGUP00000006197	ENSACAP00000001840
ENSTGUP00000009831	ENSACAP00000009444
ENSTGUP00000009910	ENSACAP00000009318
ENSTGUP00000009409	ENSACAP00000010146
ENSTGUP00000010869	ENSACAP00000015379
ENSTGUP00000003639	ENSACAP00000008650
ENSTGUP00000003991	ENSACAP00000009733
ENSTGUP00000003151	ENSACAP00000011069
ENSTGUP00000006318	ENSACAP00000011232
ENSTGUP00000001191	ENSACAP00000005505
ENSTGUP00000006316	ENSACAP00000001859
ENSTGUP00000015604	ENSACAP00000012804
ENSTGUP00000007539	ENSACAP00000000558
ENSTGUP00000009506	ENSACAP00000010625
ENSTGUP00000003610	ENSACAP00000010362
ENSTGUP00000015412	ENSACAP00000011539
ENSTGUP00000013875	ENSACAP00000002648
ENSTGUP00000009416	ENSACAP00000006871
ENSTGUP00000008253	ENSACAP00000020058
ENSTGUP00000009212	ENSACAP00000014589
ENSTGUP00000008234	ENSACAP00000012352
ENSTGUP00000006404	ENSACAP00000012898
ENSTGUP00000001027	ENSACAP00000007186
ENSTGUP00000002071	ENSACAP00000023366
ENSTGUP00000015313	ENSACAP00000015090
ENSTGUP00000003046	ENSACAP00000002003
ENSTGUP00000010351	ENSACAP00000010943
ENSTGUP00000005783	ENSACAP00000000005
ENSTGUP00000010770	ENSACAP00000008308
ENSTGUP00000009781	ENSACAP00000003527
ENSTGUP00000010932	ENSACAP00000002009
ENSTGUP00000006977	ENSACAP00000011137
ENSTGUP00000004888	ENSACAP00000008289
ENSTGUP00000012392	ENSACAP00000011163
ENSTGUP00000003936	ENSACAP00000015259
ENSTGUP00000005463	ENSACAP00000003507
ENSTGUP00000000481	ENSACAP00000016219
ENSTGUP00000016134	ENSACAP00000017030
ENSTGUP00000006382	ENSACAP00000001118
ENSTGUP00000001582	ENSACAP00000009786
ENSTGUP00000010557	ENSACAP00000011378
ENSTGUP00000007343	ENSACAP00000007539
ENSTGUP00000000199	ENSACAP00000003156
ENSTGUP00000011195	ENSACAP00000008292
ENSTGUP00000001212	ENSACAP00000005218
ENSTGUP00000006030	ENSACAP00000015998
ENSTGUP00000006401	ENSACAP00000014347
ENSTGUP00000014376	ENSACAP00000018216
ENSTGUP00000017678	ENSACAP00000011564
ENSTGUP00000011166	ENSACAP00000005755
ENSTGUP00000001047	ENSACAP00000019207
ENSTGUP00000011240	ENSACAP00000000384
ENSTGUP00000002543	ENSACAP00000016810
ENSTGUP00000006306	ENSACAP00000013885
ENSTGUP00000001480	ENSACAP00000010057
ENSTGUP00000009755	ENSACAP00000001105
ENSTGUP00000007781	ENSACAP00000012704
ENSTGUP00000010103	ENSACAP00000002725
ENSTGUP00000011542	ENSACAP00000016370
ENSTGUP00000013074	ENSACAP00000004216
ENSTGUP00000002209	ENSACAP00000011002
ENSTGUP00000007701	ENSACAP00000005708
ENSTGUP00000001330	ENSACAP00000012760
ENSTGUP00000011547	ENSACAP00000015740
ENSTGUP00000007292	ENSACAP00000005842
ENSTGUP00000007731	ENSACAP00000014031
ENSTGUP00000012910	ENSACAP00000009450
ENSTGUP00000004065	ENSACAP00000009630
ENSTGUP00000003703	ENSACAP00000016797
ENSTGUP00000005495	ENSACAP00000015712
ENSTGUP00000009398	ENSACAP00000004764
ENSTGUP00000012575	ENSACAP00000016572
ENSTGUP00000004535	ENSACAP00000011269
ENSTGUP00000005527	ENSACAP00000015782
ENSTGUP00000012632	ENSACAP00000009255
ENSTGUP00000006453	ENSACAP00000015931
ENSTGUP00000009366	ENSACAP00000008622
ENSTGUP00000005877	ENSACAP00000014484
ENSTGUP00000010972	ENSACAP00000010903
ENSTGUP00000002150	ENSACAP00000007670
ENSTGUP00000011504	ENSACAP00000015567
ENSTGUP00000003461	ENSACAP00000000644
ENSTGUP00000009265	ENSACAP00000016497
ENSTGUP00000007959	ENSACAP00000020340
ENSTGUP00000014172	ENSACAP00000005757
ENSTGUP00000007057	ENSACAP00000003881
ENSTGUP00000004598	ENSACAP00000006531
ENSTGUP00000017230	ENSACAP00000002538
ENSTGUP00000007924	ENSACAP00000010645
ENSTGUP00000006359	ENSACAP00000001624
ENSTGUP00000010762	ENSACAP00000005093
ENSTGUP00000009716	ENSACAP00000019705
ENSTGUP00000017798	ENSACAP00000014002
ENSTGUP00000012388	ENSACAP00000011183
ENSTGUP00000001818	ENSACAP00000003116
ENSTGUP00000007273	ENSACAP00000009511
ENSTGUP00000008132	ENSACAP00000016906
ENSTGUP00000009825	ENSACAP00000019965
ENSTGUP00000008123	ENSACAP00000015920
ENSTGUP00000003045	ENSACAP00000006370
ENSTGUP00000001198	ENSACAP00000008389
ENSTGUP00000007248	ENSACAP00000005760
ENSTGUP00000012965	ENSACAP00000008929
ENSTGUP00000000844	ENSACAP00000012441
ENSTGUP00000008322	ENSACAP00000011621
ENSTGUP00000007941	ENSACAP00000006438
ENSTGUP00000003607	ENSACAP00000016872
ENSTGUP00000010764	ENSACAP00000007726
ENSTGUP00000010774	ENSACAP00000007661
ENSTGUP00000011334	ENSACAP00000014893
ENSTGUP00000005869	ENSACAP00000013212
ENSTGUP00000002491	ENSACAP00000017621
ENSTGUP00000004945	ENSACAP00000004430
ENSTGUP00000010321	ENSACAP00000009699
ENSTGUP00000008330	ENSACAP00000006263
ENSTGUP00000005623	ENSACAP00000015526
ENSTGUP00000012941	ENSACAP00000000833
ENSTGUP00000004349	ENSACAP00000006002
ENSTGUP00000011996	ENSACAP00000007888
ENSTGUP00000013981	ENSACAP00000003129
ENSTGUP00000012060	ENSACAP00000013941
ENSTGUP00000000753	ENSACAP00000003769
ENSTGUP00000010288	ENSACAP00000009686
ENSTGUP00000011151	ENSACAP00000016126
ENSTGUP00000012735	ENSACAP00000001868
ENSTGUP00000005543	ENSACAP00000006055
ENSTGUP00000004932	ENSACAP00000014354
ENSTGUP00000007877	ENSACAP00000013744
ENSTGUP00000003846	ENSACAP00000009003
ENSTGUP00000010180	ENSACAP00000020292
ENSTGUP00000010064	ENSACAP00000012207
ENSTGUP00000008598	ENSACAP00000002032
ENSTGUP00000008567	ENSACAP00000022195
ENSTGUP00000005077	ENSACAP00000000372
ENSTGUP00000010681	ENSACAP00000007935
ENSTGUP00000009489	ENSACAP00000009888
ENSTGUP00000002705	ENSACAP00000002628
ENSTGUP00000003237	ENSACAP00000006188
ENSTGUP00000001301	ENSACAP00000002424
ENSTGUP00000013520	ENSACAP00000006922
ENSTGUP00000009710	ENSACAP00000009245
ENSTGUP00000005661	ENSACAP00000002825
ENSTGUP00000012489	ENSACAP00000016191
ENSTGUP00000006219	ENSACAP00000001419
ENSTGUP00000008887	ENSACAP00000020102
ENSTGUP00000012916	ENSACAP00000002294
ENSTGUP00000013130	ENSACAP00000013168
ENSTGUP00000006238	ENSACAP00000001702
ENSTGUP00000012854	ENSACAP00000009896
ENSTGUP00000001563	ENSACAP00000006274
ENSTGUP00000003961	ENSACAP00000009537
ENSTGUP00000010248	ENSACAP00000010804
ENSTGUP00000000343	ENSACAP00000014748
ENSTGUP00000006263	ENSACAP00000012116
ENSTGUP00000005660	ENSACAP00000016345
ENSTGUP00000013816	ENSACAP00000021036
ENSTGUP00000011112	ENSACAP00000007232
ENSTGUP00000004295	ENSACAP00000016201
ENSTGUP00000006206	ENSACAP00000015160
ENSTGUP00000000527	ENSACAP00000006010
ENSTGUP00000006429	ENSACAP00000014292
ENSTGUP00000009403	ENSACAP00000003513
ENSTGUP00000004882	ENSACAP00000019511
ENSTGUP00000009395	ENSACAP00000020330
ENSTGUP00000000779	ENSACAP00000009675
ENSTGUP00000001617	ENSACAP00000008706
ENSTGUP00000013643	ENSACAP00000007600
ENSTGUP00000005257	ENSACAP00000005315
ENSTGUP00000002627	ENSACAP00000014445
ENSTGUP00000000678	ENSACAP00000015890
ENSTGUP00000016533	ENSACAP00000008949
ENSTGUP00000002593	ENSACAP00000015046
ENSTGUP00000002230	ENSACAP00000016294
ENSTGUP00000007510	ENSACAP00000015711
ENSTGUP00000003063	ENSACAP00000006026
ENSTGUP00000012534	ENSACAP00000016433
ENSTGUP00000000263	ENSACAP00000006349
ENSTGUP00000010886	ENSACAP00000003801
ENSTGUP00000012726	ENSACAP00000001913
ENSTGUP00000011797	ENSACAP00000014115
ENSTGUP00000006069	ENSACAP00000013960
ENSTGUP00000012208	ENSACAP00000014703
ENSTGUP00000008370	ENSACAP00000009049
ENSTGUP00000001797	ENSACAP00000002104
ENSTGUP00000008354	ENSACAP00000020825
ENSTGUP00000012459	ENSACAP00000008780
ENSTGUP00000013430	ENSACAP00000000118
ENSTGUP00000014030	ENSACAP00000011571
ENSTGUP00000012987	ENSACAP00000004701
ENSTGUP00000000819	ENSACAP00000000146
ENSTGUP00000001949	ENSACAP00000013171
ENSTGUP00000017832	ENSACAP00000004036
ENSTGUP00000007262	ENSACAP00000002313
ENSTGUP00000008439	ENSACAP00000014501
ENSTGUP00000010076	ENSACAP00000003659
ENSTGUP00000009105	ENSACAP00000013328
ENSTGUP00000012210	ENSACAP00000014192
ENSTGUP00000017692	ENSACAP00000014363
ENSTGUP00000003145	ENSACAP00000006210
ENSTGUP00000012582	ENSACAP00000016670
ENSTGUP00000011010	ENSACAP00000006884
ENSTGUP00000006496	ENSACAP00000001593
ENSTGUP00000001276	ENSACAP00000004794
ENSTGUP00000013578	ENSACAP00000023112
ENSTGUP00000002234	ENSACAP00000010003
ENSTGUP00000010317	ENSACAP00000009383
ENSTGUP00000009183	ENSACAP00000023380
ENSTGUP00000008150	ENSACAP00000008204
ENSTGUP00000004241	ENSACAP00000001768
ENSTGUP00000012796	ENSACAP00000014532
ENSTGUP00000004428	ENSACAP00000009088
ENSTGUP00000004741	ENSACAP00000005552
ENSTGUP00000014088	ENSACAP00000004138
ENSTGUP00000011379	ENSACAP00000009931
ENSTGUP00000011234	ENSACAP00000016575
ENSTGUP00000011232	ENSACAP00000023418
ENSTGUP00000009422	ENSACAP00000006850
ENSTGUP00000008650	ENSACAP00000013176
ENSTGUP00000006870	ENSACAP00000003701
ENSTGUP00000000597	ENSACAP00000013044
ENSTGUP00000008231	ENSACAP00000016761
ENSTGUP00000001860	ENSACAP00000010496
ENSTGUP00000011155	ENSACAP00000016314
ENSTGUP00000008090	ENSACAP00000023416
ENSTGUP00000012253	ENSACAP00000022532
ENSTGUP00000004468	ENSACAP00000006352
ENSTGUP00000007138	ENSACAP00000010913
ENSTGUP00000000654	ENSACAP00000010500
ENSTGUP00000012025	ENSACAP00000002596
ENSTGUP00000007064	ENSACAP00000004192
ENSTGUP00000006561	ENSACAP00000002816
ENSTGUP00000003180	ENSACAP00000006412
ENSTGUP00000010397	ENSACAP00000005207
ENSTGUP00000001561	ENSACAP00000013032
ENSTGUP00000013072	ENSACAP00000013355
ENSTGUP00000017432	ENSACAP00000007406
ENSTGUP00000003626	ENSACAP00000016850
ENSTGUP00000002013	ENSACAP00000012345
ENSTGUP00000000968	ENSACAP00000007046
ENSTGUP00000010632	ENSACAP00000005026
ENSTGUP00000012697	ENSACAP00000016997
ENSTGUP00000010600	ENSACAP00000001516
ENSTGUP00000004330	ENSACAP00000001511
ENSTGUP00000006282	ENSACAP00000001863
ENSTGUP00000006648	ENSACAP00000017490
ENSTGUP00000008737	ENSACAP00000013798
ENSTGUP00000012944	ENSACAP00000017076
ENSTGUP00000010843	ENSACAP00000007324
ENSTGUP00000011257	ENSACAP00000003564
ENSTGUP00000009927	ENSACAP00000003068
ENSTGUP00000006183	ENSACAP00000011972
ENSTGUP00000001247	ENSACAP00000008886
ENSTGUP00000009202	ENSACAP00000011850
ENSTGUP00000003512	ENSACAP00000008041
ENSTGUP00000010543	ENSACAP00000021070
ENSTGUP00000012845	ENSACAP00000009811
ENSTGUP00000014029	ENSACAP00000011610
ENSTGUP00000011755	ENSACAP00000016735
ENSTGUP00000005251	ENSACAP00000003077
ENSTGUP00000007698	ENSACAP00000008695
ENSTGUP00000005526	ENSACAP00000021459
ENSTGUP00000005821	ENSACAP00000017300
ENSTGUP00000001261	ENSACAP00000004864
ENSTGUP00000006144	ENSACAP00000003959
ENSTGUP00000007706	ENSACAP00000009097
ENSTGUP00000012154	ENSACAP00000001117
ENSTGUP00000004240	ENSACAP00000013055
ENSTGUP00000000564	ENSACAP00000022231
ENSTGUP00000009468	ENSACAP00000014544
ENSTGUP00000001963	ENSACAP00000017038
ENSTGUP00000007002	ENSACAP00000010930
ENSTGUP00000011205	ENSACAP00000016017
ENSTGUP00000017735	ENSACAP00000016017
ENSTGUP00000016625	ENSACAP00000016956
ENSTGUP00000006414	ENSACAP00000007849
ENSTGUP00000010415	ENSACAP00000004723
ENSTGUP00000004664	ENSACAP00000001433
ENSTGUP00000000518	ENSACAP00000012668
ENSTGUP00000009733	ENSACAP00000017111
ENSTGUP00000000728	ENSACAP00000011171
ENSTGUP00000006980	ENSACAP00000014637
ENSTGUP00000005230	ENSACAP00000014806
ENSTGUP00000013711	ENSACAP00000009864
ENSTGUP00000008129	ENSACAP00000004612
ENSTGUP00000004473	ENSACAP00000012627
ENSTGUP00000009534	ENSACAP00000011147
ENSTGUP00000002389	ENSACAP00000000831
ENSTGUP00000011344	ENSACAP00000007912
ENSTGUP00000001230	ENSACAP00000005186
ENSTGUP00000004209	ENSACAP00000012640
ENSTGUP00000005750	ENSACAP00000002898
ENSTGUP00000011813	ENSACAP00000003213
ENSTGUP00000001254	ENSACAP00000004923
ENSTGUP00000012609	ENSACAP00000015804
