ENSCAFP00000014731	ENSORLP00000017023
ENSCAFP00000017476	ENSORLP00000021351
ENSCAFP00000024547	ENSORLP00000008096
ENSCAFP00000009630	ENSORLP00000005987
ENSCAFP00000024719	ENSORLP00000003518
ENSCAFP00000019512	ENSORLP00000021884
ENSCAFP00000018180	ENSORLP00000006699
ENSCAFP00000010864	ENSORLP00000020661
ENSCAFP00000036165	ENSORLP00000013811
ENSCAFP00000006878	ENSORLP00000010489
ENSCAFP00000024984	ENSORLP00000012557
ENSCAFP00000012381	ENSORLP00000016253
ENSCAFP00000012191	ENSORLP00000022988
ENSCAFP00000012191	ENSORLP00000020264
ENSCAFP00000031933	ENSORLP00000004340
ENSCAFP00000004688	ENSORLP00000007549
ENSCAFP00000010400	ENSORLP00000019755
ENSCAFP00000004379	ENSORLP00000007126
ENSCAFP00000012822	ENSORLP00000019754
ENSCAFP00000025547	ENSORLP00000009437
ENSCAFP00000000327	ENSORLP00000020730
ENSCAFP00000011032	ENSORLP00000005949
ENSCAFP00000019862	ENSORLP00000016890
ENSCAFP00000029838	ENSORLP00000022125
ENSCAFP00000029838	ENSORLP00000017549
ENSCAFP00000029279	ENSORLP00000021246
ENSCAFP00000029122	ENSORLP00000012224
ENSCAFP00000010020	ENSORLP00000017211
ENSCAFP00000010020	ENSORLP00000013572
ENSCAFP00000035754	ENSORLP00000004032
ENSCAFP00000017245	ENSORLP00000018299
ENSCAFP00000024492	ENSORLP00000009052
ENSCAFP00000018711	ENSORLP00000011883
ENSCAFP00000015378	ENSORLP00000002871
ENSCAFP00000015378	ENSORLP00000007584
ENSCAFP00000024740	ENSORLP00000008216
ENSCAFP00000027324	ENSORLP00000009194
ENSCAFP00000014212	ENSORLP00000006833
ENSCAFP00000014212	ENSORLP00000006764
ENSCAFP00000016036	ENSORLP00000014650
ENSCAFP00000003227	ENSORLP00000016255
ENSCAFP00000008187	ENSORLP00000008757
ENSCAFP00000007451	ENSORLP00000002679
ENSCAFP00000012493	ENSORLP00000013553
ENSCAFP00000038426	ENSORLP00000018778
ENSCAFP00000014389	ENSORLP00000011633
ENSCAFP00000018044	ENSORLP00000011814
ENSCAFP00000016333	ENSORLP00000008524
ENSCAFP00000022864	ENSORLP00000007971
ENSCAFP00000040725	ENSORLP00000021902
ENSCAFP00000033984	ENSORLP00000015867
ENSCAFP00000037445	ENSORLP00000001327
ENSCAFP00000002915	ENSORLP00000000301
ENSCAFP00000028695	ENSORLP00000006347
ENSCAFP00000008588	ENSORLP00000009648
ENSCAFP00000008588	ENSORLP00000004552
ENSCAFP00000023586	ENSORLP00000017138
ENSCAFP00000028990	ENSORLP00000024023
ENSCAFP00000022410	ENSORLP00000015348
ENSCAFP00000036530	ENSORLP00000004472
ENSCAFP00000028339	ENSORLP00000008559
ENSCAFP00000009849	ENSORLP00000004240
ENSCAFP00000023013	ENSORLP00000015829
ENSCAFP00000003965	ENSORLP00000021660
ENSCAFP00000025318	ENSORLP00000002441
ENSCAFP00000029391	ENSORLP00000007201
ENSCAFP00000016960	ENSORLP00000007687
ENSCAFP00000012705	ENSORLP00000003041
ENSCAFP00000004913	ENSORLP00000011839
ENSCAFP00000005711	ENSORLP00000004326
ENSCAFP00000005711	ENSORLP00000017619
ENSCAFP00000022728	ENSORLP00000012004
ENSCAFP00000029861	ENSORLP00000021309
ENSCAFP00000029276	ENSORLP00000016155
ENSCAFP00000005546	ENSORLP00000019983
ENSCAFP00000003325	ENSORLP00000014044
ENSCAFP00000003325	ENSORLP00000002939
ENSCAFP00000020205	ENSORLP00000018283
ENSCAFP00000012095	ENSORLP00000016228
ENSCAFP00000004325	ENSORLP00000022025
ENSCAFP00000020709	ENSORLP00000002778
ENSCAFP00000020709	ENSORLP00000005721
ENSCAFP00000029682	ENSORLP00000009414
ENSCAFP00000008477	ENSORLP00000010856
ENSCAFP00000009039	ENSORLP00000016949
ENSCAFP00000000373	ENSORLP00000023762
ENSCAFP00000000368	ENSORLP00000021407
ENSCAFP00000016365	ENSORLP00000014274
ENSCAFP00000008460	ENSORLP00000020177
ENSCAFP00000023298	ENSORLP00000009255
ENSCAFP00000023298	ENSORLP00000016105
ENSCAFP00000011509	ENSORLP00000007913
ENSCAFP00000011509	ENSORLP00000011580
ENSCAFP00000029939	ENSORLP00000016589
ENSCAFP00000022628	ENSORLP00000016286
ENSCAFP00000008375	ENSORLP00000012918
ENSCAFP00000023960	ENSORLP00000008716
ENSCAFP00000042838	ENSORLP00000008854
ENSCAFP00000042838	ENSORLP00000017267
ENSCAFP00000005143	ENSORLP00000024782
ENSCAFP00000027655	ENSORLP00000024385
ENSCAFP00000026935	ENSORLP00000008876
ENSCAFP00000002050	ENSORLP00000013079
ENSCAFP00000020984	ENSORLP00000013238
ENSCAFP00000009511	ENSORLP00000006554
ENSCAFP00000018423	ENSORLP00000014852
ENSCAFP00000018423	ENSORLP00000016972
ENSCAFP00000017898	ENSORLP00000018436
ENSCAFP00000005836	ENSORLP00000019008
ENSCAFP00000025324	ENSORLP00000003649
ENSCAFP00000022829	ENSORLP00000006767
ENSCAFP00000003396	ENSORLP00000024583
ENSCAFP00000003396	ENSORLP00000019090
ENSCAFP00000010760	ENSORLP00000014887
ENSCAFP00000031910	ENSORLP00000015807
ENSCAFP00000008195	ENSORLP00000022167
ENSCAFP00000023160	ENSORLP00000004716
ENSCAFP00000023160	ENSORLP00000017458
ENSCAFP00000007837	ENSORLP00000018971
ENSCAFP00000040289	ENSORLP00000007333
ENSCAFP00000000194	ENSORLP00000015644
ENSCAFP00000042559	ENSORLP00000010956
ENSCAFP00000022024	ENSORLP00000010480
ENSCAFP00000009201	ENSORLP00000008957
ENSCAFP00000004493	ENSORLP00000009387
ENSCAFP00000022180	ENSORLP00000017236
ENSCAFP00000030283	ENSORLP00000006905
ENSCAFP00000037897	ENSORLP00000000343
ENSCAFP00000013453	ENSORLP00000002465
ENSCAFP00000013453	ENSORLP00000024657
ENSCAFP00000024814	ENSORLP00000014042
ENSCAFP00000002231	ENSORLP00000024969
ENSCAFP00000025919	ENSORLP00000016411
ENSCAFP00000012288	ENSORLP00000008538
ENSCAFP00000015731	ENSORLP00000000352
ENSCAFP00000022622	ENSORLP00000019815
ENSCAFP00000029108	ENSORLP00000000673
ENSCAFP00000027660	ENSORLP00000012070
ENSCAFP00000020765	ENSORLP00000003876
ENSCAFP00000002506	ENSORLP00000004175
ENSCAFP00000002506	ENSORLP00000023475
ENSCAFP00000023214	ENSORLP00000003204
ENSCAFP00000023214	ENSORLP00000013513
ENSCAFP00000019367	ENSORLP00000002539
ENSCAFP00000004330	ENSORLP00000016525
ENSCAFP00000018873	ENSORLP00000008268
ENSCAFP00000014205	ENSORLP00000011565
ENSCAFP00000014205	ENSORLP00000008592
ENSCAFP00000030590	ENSORLP00000000538
ENSCAFP00000034237	ENSORLP00000007799
ENSCAFP00000005847	ENSORLP00000019004
ENSCAFP00000029357	ENSORLP00000007232
ENSCAFP00000006330	ENSORLP00000020910
ENSCAFP00000006330	ENSORLP00000016386
ENSCAFP00000041314	ENSORLP00000004125
ENSCAFP00000002637	ENSORLP00000015408
ENSCAFP00000002637	ENSORLP00000017086
ENSCAFP00000019983	ENSORLP00000011437
ENSCAFP00000007804	ENSORLP00000015096
ENSCAFP00000010389	ENSORLP00000000077
ENSCAFP00000007783	ENSORLP00000007357
ENSCAFP00000017723	ENSORLP00000010332
ENSCAFP00000017723	ENSORLP00000015793
ENSCAFP00000002876	ENSORLP00000000319
ENSCAFP00000033658	ENSORLP00000007433
ENSCAFP00000034617	ENSORLP00000006101
ENSCAFP00000012019	ENSORLP00000014059
ENSCAFP00000001575	ENSORLP00000021480
ENSCAFP00000033509	ENSORLP00000007236
ENSCAFP00000003680	ENSORLP00000016251
ENSCAFP00000003680	ENSORLP00000017415
ENSCAFP00000022493	ENSORLP00000024936
ENSCAFP00000022493	ENSORLP00000009890
ENSCAFP00000023012	ENSORLP00000003500
ENSCAFP00000038177	ENSORLP00000008389
ENSCAFP00000002806	ENSORLP00000023715
ENSCAFP00000016859	ENSORLP00000002937
ENSCAFP00000002822	ENSORLP00000001111
ENSCAFP00000002822	ENSORLP00000008168
ENSCAFP00000004570	ENSORLP00000021536
ENSCAFP00000004570	ENSORLP00000017085
ENSCAFP00000024888	ENSORLP00000020886
ENSCAFP00000006402	ENSORLP00000003803
ENSCAFP00000002607	ENSORLP00000024880
ENSCAFP00000002607	ENSORLP00000009819
ENSCAFP00000012214	ENSORLP00000024042
ENSCAFP00000037226	ENSORLP00000019333
ENSCAFP00000037226	ENSORLP00000020327
ENSCAFP00000001484	ENSORLP00000006228
ENSCAFP00000001484	ENSORLP00000000819
ENSCAFP00000026025	ENSORLP00000011199
ENSCAFP00000008483	ENSORLP00000007453
ENSCAFP00000015830	ENSORLP00000017104
ENSCAFP00000015830	ENSORLP00000015086
ENSCAFP00000029335	ENSORLP00000019038
ENSCAFP00000027805	ENSORLP00000003933
ENSCAFP00000027805	ENSORLP00000015587
ENSCAFP00000011357	ENSORLP00000011596
ENSCAFP00000011357	ENSORLP00000007965
ENSCAFP00000024505	ENSORLP00000009075
ENSCAFP00000018714	ENSORLP00000012135
ENSCAFP00000018714	ENSORLP00000000561
ENSCAFP00000017426	ENSORLP00000015258
ENSCAFP00000017426	ENSORLP00000015318
ENSCAFP00000021903	ENSORLP00000002921
ENSCAFP00000006944	ENSORLP00000013095
ENSCAFP00000018761	ENSORLP00000012127
ENSCAFP00000018761	ENSORLP00000007060
ENSCAFP00000009873	ENSORLP00000006783
ENSCAFP00000001188	ENSORLP00000001239
ENSCAFP00000011038	ENSORLP00000001350
ENSCAFP00000011038	ENSORLP00000008946
ENSCAFP00000001876	ENSORLP00000008348
ENSCAFP00000024485	ENSORLP00000015638
ENSCAFP00000000854	ENSORLP00000016486
ENSCAFP00000018338	ENSORLP00000005898
ENSCAFP00000002409	ENSORLP00000009160
ENSCAFP00000002409	ENSORLP00000022172
ENSCAFP00000038734	ENSORLP00000006113
ENSCAFP00000038734	ENSORLP00000002792
ENSCAFP00000004495	ENSORLP00000021519
ENSCAFP00000004495	ENSORLP00000007351
ENSCAFP00000005874	ENSORLP00000012642
ENSCAFP00000031562	ENSORLP00000003632
ENSCAFP00000031562	ENSORLP00000003135
ENSCAFP00000033833	ENSORLP00000006645
ENSCAFP00000007595	ENSORLP00000000928
ENSCAFP00000001542	ENSORLP00000008163
ENSCAFP00000008202	ENSORLP00000002277
ENSCAFP00000010724	ENSORLP00000011949
ENSCAFP00000010724	ENSORLP00000016514
ENSCAFP00000009308	ENSORLP00000007349
ENSCAFP00000038836	ENSORLP00000005998
ENSCAFP00000022970	ENSORLP00000004489
ENSCAFP00000039590	ENSORLP00000025765
ENSCAFP00000034314	ENSORLP00000021533
ENSCAFP00000017237	ENSORLP00000006276
ENSCAFP00000002477	ENSORLP00000005169
ENSCAFP00000007616	ENSORLP00000000821
ENSCAFP00000007616	ENSORLP00000015610
ENSCAFP00000028784	ENSORLP00000011634
ENSCAFP00000034469	ENSORLP00000021801
ENSCAFP00000034469	ENSORLP00000010969
ENSCAFP00000000608	ENSORLP00000021473
ENSCAFP00000015063	ENSORLP00000006329
ENSCAFP00000022777	ENSORLP00000000052
ENSCAFP00000038707	ENSORLP00000002906
ENSCAFP00000001614	ENSORLP00000016319
ENSCAFP00000004417	ENSORLP00000001961
ENSCAFP00000012106	ENSORLP00000019189
ENSCAFP00000012106	ENSORLP00000020842
ENSCAFP00000008376	ENSORLP00000015150
ENSCAFP00000016621	ENSORLP00000001541
ENSCAFP00000016564	ENSORLP00000002420
ENSCAFP00000016564	ENSORLP00000011156
ENSCAFP00000014627	ENSORLP00000024772
ENSCAFP00000003969	ENSORLP00000021651
ENSCAFP00000006102	ENSORLP00000020121
ENSCAFP00000010692	ENSORLP00000012167
ENSCAFP00000010692	ENSORLP00000015366
ENSCAFP00000042548	ENSORLP00000015754
ENSCAFP00000042548	ENSORLP00000009169
ENSCAFP00000036476	ENSORLP00000019275
ENSCAFP00000016288	ENSORLP00000004778
ENSCAFP00000016288	ENSORLP00000021717
ENSCAFP00000008827	ENSORLP00000005059
ENSCAFP00000024080	ENSORLP00000006163
ENSCAFP00000002690	ENSORLP00000011718
ENSCAFP00000010275	ENSORLP00000018886
ENSCAFP00000023309	ENSORLP00000010066
ENSCAFP00000000152	ENSORLP00000024901
ENSCAFP00000000650	ENSORLP00000008720
ENSCAFP00000000650	ENSORLP00000016266
ENSCAFP00000027777	ENSORLP00000002427
ENSCAFP00000027777	ENSORLP00000014301
ENSCAFP00000018450	ENSORLP00000003875
ENSCAFP00000001717	ENSORLP00000004905
ENSCAFP00000042393	ENSORLP00000019921
ENSCAFP00000042393	ENSORLP00000011555
ENSCAFP00000030967	ENSORLP00000012290
ENSCAFP00000007031	ENSORLP00000011732
ENSCAFP00000000430	ENSORLP00000011087
ENSCAFP00000019256	ENSORLP00000016546
ENSCAFP00000028421	ENSORLP00000010499
ENSCAFP00000024342	ENSORLP00000011983
ENSCAFP00000039926	ENSORLP00000008683
ENSCAFP00000034569	ENSORLP00000012140
ENSCAFP00000012048	ENSORLP00000025052
ENSCAFP00000012048	ENSORLP00000010531
ENSCAFP00000020680	ENSORLP00000003410
ENSCAFP00000029102	ENSORLP00000000353
ENSCAFP00000029102	ENSORLP00000008942
ENSCAFP00000037992	ENSORLP00000010248
ENSCAFP00000035935	ENSORLP00000021588
ENSCAFP00000035935	ENSORLP00000000830
ENSCAFP00000002258	ENSORLP00000022255
ENSCAFP00000006250	ENSORLP00000000250
ENSCAFP00000007572	ENSORLP00000012409
ENSCAFP00000018596	ENSORLP00000011562
ENSCAFP00000018596	ENSORLP00000021607
ENSCAFP00000005361	ENSORLP00000016149
ENSCAFP00000020635	ENSORLP00000021436
ENSCAFP00000009920	ENSORLP00000010034
ENSCAFP00000010505	ENSORLP00000016670
ENSCAFP00000016088	ENSORLP00000014211
ENSCAFP00000003255	ENSORLP00000001516
ENSCAFP00000003402	ENSORLP00000000036
ENSCAFP00000003402	ENSORLP00000015505
ENSCAFP00000013832	ENSORLP00000018914
ENSCAFP00000022924	ENSORLP00000004339
ENSCAFP00000024414	ENSORLP00000012521
ENSCAFP00000027849	ENSORLP00000006128
ENSCAFP00000033703	ENSORLP00000009655
ENSCAFP00000000037	ENSORLP00000023883
ENSCAFP00000017731	ENSORLP00000017141
ENSCAFP00000005460	ENSORLP00000016213
ENSCAFP00000003455	ENSORLP00000006449
ENSCAFP00000021810	ENSORLP00000002883
ENSCAFP00000025340	ENSORLP00000007696
ENSCAFP00000020377	ENSORLP00000012805
ENSCAFP00000036127	ENSORLP00000010542
ENSCAFP00000038268	ENSORLP00000012415
ENSCAFP00000029193	ENSORLP00000021134
ENSCAFP00000029193	ENSORLP00000018505
ENSCAFP00000007405	ENSORLP00000014055
ENSCAFP00000007405	ENSORLP00000006836
ENSCAFP00000015811	ENSORLP00000019305
ENSCAFP00000005823	ENSORLP00000014716
ENSCAFP00000023501	ENSORLP00000008358
ENSCAFP00000007287	ENSORLP00000008912
ENSCAFP00000007287	ENSORLP00000016709
ENSCAFP00000008750	ENSORLP00000020641
ENSCAFP00000020658	ENSORLP00000006994
ENSCAFP00000025088	ENSORLP00000011359
ENSCAFP00000014083	ENSORLP00000020051
ENSCAFP00000009139	ENSORLP00000004465
ENSCAFP00000001531	ENSORLP00000025383
ENSCAFP00000014618	ENSORLP00000010395
ENSCAFP00000037549	ENSORLP00000014145
ENSCAFP00000006737	ENSORLP00000013909
ENSCAFP00000006737	ENSORLP00000009242
ENSCAFP00000038071	ENSORLP00000008342
ENSCAFP00000011285	ENSORLP00000009089
ENSCAFP00000016767	ENSORLP00000016982
ENSCAFP00000016767	ENSORLP00000014294
ENSCAFP00000009769	ENSORLP00000000067
ENSCAFP00000021685	ENSORLP00000013082
ENSCAFP00000028463	ENSORLP00000019971
ENSCAFP00000016012	ENSORLP00000008240
ENSCAFP00000000807	ENSORLP00000021365
ENSCAFP00000034922	ENSORLP00000011789
ENSCAFP00000034922	ENSORLP00000020393
ENSCAFP00000036269	ENSORLP00000018212
ENSCAFP00000036269	ENSORLP00000019447
ENSCAFP00000031140	ENSORLP00000010525
ENSCAFP00000008843	ENSORLP00000021060
ENSCAFP00000008843	ENSORLP00000005711
ENSCAFP00000027254	ENSORLP00000012669
ENSCAFP00000027254	ENSORLP00000004309
ENSCAFP00000029062	ENSORLP00000009573
ENSCAFP00000030010	ENSORLP00000009837
ENSCAFP00000009932	ENSORLP00000025736
ENSCAFP00000014253	ENSORLP00000011952
ENSCAFP00000014253	ENSORLP00000012676
ENSCAFP00000021703	ENSORLP00000013144
ENSCAFP00000019492	ENSORLP00000020648
ENSCAFP00000010741	ENSORLP00000008851
ENSCAFP00000011731	ENSORLP00000015092
ENSCAFP00000025362	ENSORLP00000007694
ENSCAFP00000022311	ENSORLP00000006724
ENSCAFP00000005846	ENSORLP00000012589
ENSCAFP00000022963	ENSORLP00000021750
ENSCAFP00000030553	ENSORLP00000004680
ENSCAFP00000030553	ENSORLP00000022379
ENSCAFP00000015985	ENSORLP00000010152
ENSCAFP00000024438	ENSORLP00000010205
ENSCAFP00000026008	ENSORLP00000006339
ENSCAFP00000026008	ENSORLP00000004664
ENSCAFP00000000622	ENSORLP00000017403
ENSCAFP00000017553	ENSORLP00000019778
ENSCAFP00000017689	ENSORLP00000024445
ENSCAFP00000006434	ENSORLP00000016218
ENSCAFP00000006895	ENSORLP00000012142
ENSCAFP00000003988	ENSORLP00000012691
ENSCAFP00000013862	ENSORLP00000022572
ENSCAFP00000037401	ENSORLP00000006959
ENSCAFP00000037536	ENSORLP00000002206
ENSCAFP00000004759	ENSORLP00000020952
ENSCAFP00000004759	ENSORLP00000002979
ENSCAFP00000009571	ENSORLP00000012909
ENSCAFP00000039973	ENSORLP00000009665
ENSCAFP00000039973	ENSORLP00000003879
ENSCAFP00000004011	ENSORLP00000004928
ENSCAFP00000008325	ENSORLP00000017290
ENSCAFP00000006083	ENSORLP00000002425
ENSCAFP00000026966	ENSORLP00000017275
ENSCAFP00000000282	ENSORLP00000006970
ENSCAFP00000000282	ENSORLP00000004789
ENSCAFP00000014553	ENSORLP00000010462
ENSCAFP00000015988	ENSORLP00000019470
ENSCAFP00000038967	ENSORLP00000009199
ENSCAFP00000013392	ENSORLP00000013724
ENSCAFP00000013392	ENSORLP00000000399
ENSCAFP00000003445	ENSORLP00000005646
ENSCAFP00000010873	ENSORLP00000008906
ENSCAFP00000000288	ENSORLP00000006977
ENSCAFP00000000288	ENSORLP00000004744
ENSCAFP00000026669	ENSORLP00000012551
ENSCAFP00000016357	ENSORLP00000009716
ENSCAFP00000014234	ENSORLP00000016943
ENSCAFP00000014234	ENSORLP00000014724
ENSCAFP00000022395	ENSORLP00000013914
ENSCAFP00000023750	ENSORLP00000024482
ENSCAFP00000007145	ENSORLP00000010926
ENSCAFP00000008927	ENSORLP00000001749
ENSCAFP00000017751	ENSORLP00000010322
ENSCAFP00000017751	ENSORLP00000015781
ENSCAFP00000011990	ENSORLP00000003966
ENSCAFP00000013024	ENSORLP00000005492
ENSCAFP00000042693	ENSORLP00000015403
ENSCAFP00000042693	ENSORLP00000025709
ENSCAFP00000026155	ENSORLP00000010818
ENSCAFP00000033030	ENSORLP00000022674
ENSCAFP00000003101	ENSORLP00000005773
ENSCAFP00000041674	ENSORLP00000005909
ENSCAFP00000008556	ENSORLP00000010828
ENSCAFP00000023713	ENSORLP00000005530
ENSCAFP00000042345	ENSORLP00000017537
ENSCAFP00000027593	ENSORLP00000001539
ENSCAFP00000015726	ENSORLP00000018965
ENSCAFP00000003436	ENSORLP00000019717
ENSCAFP00000005825	ENSORLP00000021443
ENSCAFP00000026402	ENSORLP00000019566
ENSCAFP00000024106	ENSORLP00000024312
ENSCAFP00000011003	ENSORLP00000014447
ENSCAFP00000001401	ENSORLP00000021111
ENSCAFP00000026103	ENSORLP00000001051
ENSCAFP00000020455	ENSORLP00000003584
ENSCAFP00000020457	ENSORLP00000011558
ENSCAFP00000027959	ENSORLP00000014674
ENSCAFP00000014348	ENSORLP00000022393
ENSCAFP00000018363	ENSORLP00000015085
ENSCAFP00000018363	ENSORLP00000010862
ENSCAFP00000021253	ENSORLP00000024309
ENSCAFP00000009656	ENSORLP00000006310
ENSCAFP00000027022	ENSORLP00000009012
ENSCAFP00000028242	ENSORLP00000012796
ENSCAFP00000038440	ENSORLP00000011863
ENSCAFP00000002926	ENSORLP00000025875
ENSCAFP00000027714	ENSORLP00000003055
ENSCAFP00000002632	ENSORLP00000014006
ENSCAFP00000009642	ENSORLP00000023022
ENSCAFP00000000769	ENSORLP00000004897
ENSCAFP00000039622	ENSORLP00000022605
ENSCAFP00000017701	ENSORLP00000023830
ENSCAFP00000017701	ENSORLP00000014444
ENSCAFP00000011683	ENSORLP00000010851
ENSCAFP00000012479	ENSORLP00000008064
ENSCAFP00000031227	ENSORLP00000011976
ENSCAFP00000037498	ENSORLP00000024932
ENSCAFP00000008761	ENSORLP00000006040
ENSCAFP00000040207	ENSORLP00000019341
ENSCAFP00000000662	ENSORLP00000006470
ENSCAFP00000006879	ENSORLP00000008520
ENSCAFP00000010673	ENSORLP00000010154
ENSCAFP00000037149	ENSORLP00000020072
ENSCAFP00000018051	ENSORLP00000017594
ENSCAFP00000015009	ENSORLP00000015690
ENSCAFP00000014929	ENSORLP00000003001
ENSCAFP00000036223	ENSORLP00000000535
ENSCAFP00000026016	ENSORLP00000001011
ENSCAFP00000024385	ENSORLP00000021056
ENSCAFP00000000308	ENSORLP00000006190
ENSCAFP00000002188	ENSORLP00000013577
ENSCAFP00000029301	ENSORLP00000000490
ENSCAFP00000041956	ENSORLP00000009559
ENSCAFP00000041956	ENSORLP00000014373
ENSCAFP00000009689	ENSORLP00000002656
ENSCAFP00000009369	ENSORLP00000001830
ENSCAFP00000009369	ENSORLP00000007551
ENSCAFP00000027341	ENSORLP00000004431
ENSCAFP00000027341	ENSORLP00000021353
ENSCAFP00000029106	ENSORLP00000009382
ENSCAFP00000014633	ENSORLP00000009929
ENSCAFP00000014633	ENSORLP00000015705
ENSCAFP00000040132	ENSORLP00000016802
ENSCAFP00000040132	ENSORLP00000015205
ENSCAFP00000012855	ENSORLP00000015434
ENSCAFP00000016378	ENSORLP00000008665
ENSCAFP00000018521	ENSORLP00000014774
ENSCAFP00000013346	ENSORLP00000010165
ENSCAFP00000019292	ENSORLP00000017891
ENSCAFP00000019292	ENSORLP00000003423
ENSCAFP00000011551	ENSORLP00000025556
ENSCAFP00000011551	ENSORLP00000010063
ENSCAFP00000020299	ENSORLP00000009276
ENSCAFP00000017129	ENSORLP00000012587
ENSCAFP00000013732	ENSORLP00000021211
ENSCAFP00000019610	ENSORLP00000017133
ENSCAFP00000006373	ENSORLP00000005722
ENSCAFP00000025152	ENSORLP00000010507
ENSCAFP00000009302	ENSORLP00000013460
ENSCAFP00000014294	ENSORLP00000020018
ENSCAFP00000031545	ENSORLP00000014065
ENSCAFP00000029652	ENSORLP00000017070
ENSCAFP00000017230	ENSORLP00000025710
ENSCAFP00000030153	ENSORLP00000022911
ENSCAFP00000010778	ENSORLP00000019610
ENSCAFP00000018228	ENSORLP00000001391
ENSCAFP00000024308	ENSORLP00000014633
ENSCAFP00000006098	ENSORLP00000013518
ENSCAFP00000006098	ENSORLP00000022419
ENSCAFP00000014191	ENSORLP00000022413
ENSCAFP00000026905	ENSORLP00000022119
ENSCAFP00000034692	ENSORLP00000018658
ENSCAFP00000034692	ENSORLP00000020923
ENSCAFP00000012198	ENSORLP00000016199
ENSCAFP00000012198	ENSORLP00000010781
ENSCAFP00000006027	ENSORLP00000003973
ENSCAFP00000019371	ENSORLP00000004161
ENSCAFP00000015458	ENSORLP00000003036
ENSCAFP00000004059	ENSORLP00000005945
ENSCAFP00000000115	ENSORLP00000018803
ENSCAFP00000000115	ENSORLP00000020625
ENSCAFP00000027795	ENSORLP00000007171
ENSCAFP00000000107	ENSORLP00000021525
ENSCAFP00000003750	ENSORLP00000008289
ENSCAFP00000003750	ENSORLP00000004376
ENSCAFP00000037890	ENSORLP00000011583
ENSCAFP00000021768	ENSORLP00000024497
ENSCAFP00000029197	ENSORLP00000004423
ENSCAFP00000028993	ENSORLP00000008829
ENSCAFP00000028993	ENSORLP00000015542
ENSCAFP00000028823	ENSORLP00000003149
ENSCAFP00000021318	ENSORLP00000020077
ENSCAFP00000006134	ENSORLP00000001703
ENSCAFP00000025359	ENSORLP00000014404
ENSCAFP00000000364	ENSORLP00000011614
ENSCAFP00000003221	ENSORLP00000016268
ENSCAFP00000019469	ENSORLP00000023794
ENSCAFP00000002262	ENSORLP00000008983
ENSCAFP00000005771	ENSORLP00000017604
ENSCAFP00000016852	ENSORLP00000007150
ENSCAFP00000021591	ENSORLP00000015974
ENSCAFP00000002615	ENSORLP00000025589
ENSCAFP00000020521	ENSORLP00000014644
ENSCAFP00000020521	ENSORLP00000007465
ENSCAFP00000020996	ENSORLP00000016359
ENSCAFP00000017724	ENSORLP00000005097
ENSCAFP00000007990	ENSORLP00000014919
ENSCAFP00000007990	ENSORLP00000011826
ENSCAFP00000025342	ENSORLP00000007615
ENSCAFP00000025761	ENSORLP00000020585
ENSCAFP00000026142	ENSORLP00000002011
ENSCAFP00000026892	ENSORLP00000004222
ENSCAFP00000014055	ENSORLP00000010324
ENSCAFP00000035393	ENSORLP00000012109
ENSCAFP00000016213	ENSORLP00000009458
ENSCAFP00000016213	ENSORLP00000018157
ENSCAFP00000002957	ENSORLP00000005124
ENSCAFP00000006148	ENSORLP00000019951
ENSCAFP00000006101	ENSORLP00000002737
ENSCAFP00000007655	ENSORLP00000012536
ENSCAFP00000026983	ENSORLP00000017374
ENSCAFP00000022795	ENSORLP00000021638
ENSCAFP00000009007	ENSORLP00000015523
ENSCAFP00000020037	ENSORLP00000007442
ENSCAFP00000039409	ENSORLP00000002322
ENSCAFP00000039409	ENSORLP00000017495
ENSCAFP00000024697	ENSORLP00000011986
ENSCAFP00000002943	ENSORLP00000023525
ENSCAFP00000027547	ENSORLP00000010153
ENSCAFP00000027547	ENSORLP00000003168
ENSCAFP00000020163	ENSORLP00000011688
ENSCAFP00000020163	ENSORLP00000017289
ENSCAFP00000030056	ENSORLP00000022188
ENSCAFP00000021636	ENSORLP00000002220
ENSCAFP00000021636	ENSORLP00000018679
ENSCAFP00000024560	ENSORLP00000009868
ENSCAFP00000019804	ENSORLP00000009640
ENSCAFP00000026960	ENSORLP00000014468
ENSCAFP00000043067	ENSORLP00000007992
ENSCAFP00000001479	ENSORLP00000017791
ENSCAFP00000006473	ENSORLP00000017143
ENSCAFP00000013558	ENSORLP00000021145
ENSCAFP00000024121	ENSORLP00000008785
ENSCAFP00000011514	ENSORLP00000009341
ENSCAFP00000008629	ENSORLP00000017295
ENSCAFP00000029773	ENSORLP00000023958
ENSCAFP00000013390	ENSORLP00000025218
ENSCAFP00000016517	ENSORLP00000008866
ENSCAFP00000011412	ENSORLP00000014565
ENSCAFP00000008246	ENSORLP00000025729
ENSCAFP00000023781	ENSORLP00000018330
ENSCAFP00000023338	ENSORLP00000004496
ENSCAFP00000027774	ENSORLP00000008172
ENSCAFP00000019539	ENSORLP00000002828
ENSCAFP00000010064	ENSORLP00000021869
ENSCAFP00000032911	ENSORLP00000024609
ENSCAFP00000032911	ENSORLP00000017821
ENSCAFP00000004940	ENSORLP00000013168
ENSCAFP00000029053	ENSORLP00000012939
ENSCAFP00000022845	ENSORLP00000017737
ENSCAFP00000020973	ENSORLP00000005248
ENSCAFP00000006558	ENSORLP00000004641
ENSCAFP00000038006	ENSORLP00000002599
ENSCAFP00000038006	ENSORLP00000021273
ENSCAFP00000011522	ENSORLP00000019886
