ENSDARP00000122973	ENSACAP00000008923
ENSDARP00000025776	ENSACAP00000009047
ENSDARP00000023792	ENSACAP00000014481
ENSDARP00000000005	ENSACAP00000010030
ENSDARP00000040034	ENSACAP00000010030
ENSDARP00000040537	ENSACAP00000006130
ENSDARP00000107582	ENSACAP00000006130
ENSDARP00000099313	ENSACAP00000005830
ENSDARP00000109004	ENSACAP00000002374
ENSDARP00000122431	ENSACAP00000002374
ENSDARP00000016733	ENSACAP00000008018
ENSDARP00000114828	ENSACAP00000012696
ENSDARP00000112412	ENSACAP00000012696
ENSDARP00000014106	ENSACAP00000014814
ENSDARP00000093111	ENSACAP00000002063
ENSDARP00000020522	ENSACAP00000013130
ENSDARP00000089001	ENSACAP00000003771
ENSDARP00000127037	ENSACAP00000010109
ENSDARP00000122887	ENSACAP00000016750
ENSDARP00000058379	ENSACAP00000005383
ENSDARP00000092857	ENSACAP00000009618
ENSDARP00000107378	ENSACAP00000001532
ENSDARP00000129564	ENSACAP00000000317
ENSDARP00000116133	ENSACAP00000000317
ENSDARP00000114217	ENSACAP00000009031
ENSDARP00000092205	ENSACAP00000017133
ENSDARP00000013643	ENSACAP00000003841
ENSDARP00000109017	ENSACAP00000003841
ENSDARP00000098991	ENSACAP00000012771
ENSDARP00000063174	ENSACAP00000012771
ENSDARP00000118341	ENSACAP00000016060
ENSDARP00000076235	ENSACAP00000016060
ENSDARP00000003485	ENSACAP00000018066
ENSDARP00000067853	ENSACAP00000014429
ENSDARP00000093501	ENSACAP00000014429
ENSDARP00000112471	ENSACAP00000001106
ENSDARP00000104134	ENSACAP00000007441
ENSDARP00000080111	ENSACAP00000003479
ENSDARP00000080110	ENSACAP00000003479
ENSDARP00000102111	ENSACAP00000003057
ENSDARP00000075341	ENSACAP00000003057
ENSDARP00000055563	ENSACAP00000012969
ENSDARP00000080391	ENSACAP00000006667
ENSDARP00000111588	ENSACAP00000022585
ENSDARP00000125700	ENSACAP00000022146
ENSDARP00000100475	ENSACAP00000013861
ENSDARP00000105604	ENSACAP00000014647
ENSDARP00000084002	ENSACAP00000006068
ENSDARP00000078392	ENSACAP00000006068
ENSDARP00000118745	ENSACAP00000012201
ENSDARP00000093418	ENSACAP00000012201
ENSDARP00000077150	ENSACAP00000018507
ENSDARP00000076047	ENSACAP00000009980
ENSDARP00000076200	ENSACAP00000009980
ENSDARP00000040726	ENSACAP00000007068
ENSDARP00000095151	ENSACAP00000007068
ENSDARP00000127186	ENSACAP00000006207
ENSDARP00000047088	ENSACAP00000005659
ENSDARP00000106742	ENSACAP00000005659
ENSDARP00000109320	ENSACAP00000006146
ENSDARP00000120661	ENSACAP00000006146
ENSDARP00000105074	ENSACAP00000017685
ENSDARP00000065806	ENSACAP00000014147
ENSDARP00000060934	ENSACAP00000020674
ENSDARP00000101753	ENSACAP00000009403
ENSDARP00000107016	ENSACAP00000001011
ENSDARP00000004823	ENSACAP00000016028
ENSDARP00000089270	ENSACAP00000012748
ENSDARP00000081987	ENSACAP00000016873
ENSDARP00000110364	ENSACAP00000006458
ENSDARP00000053840	ENSACAP00000006458
ENSDARP00000084303	ENSACAP00000022750
ENSDARP00000042516	ENSACAP00000013337
ENSDARP00000071653	ENSACAP00000013337
ENSDARP00000014978	ENSACAP00000014598
ENSDARP00000072775	ENSACAP00000001635
ENSDARP00000092027	ENSACAP00000001558
ENSDARP00000015974	ENSACAP00000017164
ENSDARP00000087679	ENSACAP00000014074
ENSDARP00000074579	ENSACAP00000017177
ENSDARP00000103821	ENSACAP00000009970
ENSDARP00000103920	ENSACAP00000002410
ENSDARP00000007948	ENSACAP00000003764
ENSDARP00000066788	ENSACAP00000017386
ENSDARP00000124963	ENSACAP00000003546
ENSDARP00000043700	ENSACAP00000003546
ENSDARP00000055306	ENSACAP00000016567
ENSDARP00000123809	ENSACAP00000011263
ENSDARP00000096167	ENSACAP00000012773
ENSDARP00000069236	ENSACAP00000017581
ENSDARP00000105066	ENSACAP00000017065
ENSDARP00000106770	ENSACAP00000017065
ENSDARP00000036969	ENSACAP00000021596
ENSDARP00000072289	ENSACAP00000009943
ENSDARP00000114768	ENSACAP00000015119
ENSDARP00000110288	ENSACAP00000015119
ENSDARP00000023177	ENSACAP00000008582
ENSDARP00000006783	ENSACAP00000002287
ENSDARP00000104974	ENSACAP00000000050
ENSDARP00000102025	ENSACAP00000003711
ENSDARP00000081631	ENSACAP00000003711
ENSDARP00000032748	ENSACAP00000015207
ENSDARP00000075883	ENSACAP00000006309
ENSDARP00000025514	ENSACAP00000000038
ENSDARP00000105420	ENSACAP00000011974
ENSDARP00000102589	ENSACAP00000000912
ENSDARP00000108298	ENSACAP00000008907
ENSDARP00000089498	ENSACAP00000008907
ENSDARP00000066371	ENSACAP00000003085
ENSDARP00000120787	ENSACAP00000016894
ENSDARP00000059212	ENSACAP00000010221
ENSDARP00000048437	ENSACAP00000013739
ENSDARP00000107614	ENSACAP00000015174
ENSDARP00000107835	ENSACAP00000004223
ENSDARP00000094300	ENSACAP00000019520
ENSDARP00000011307	ENSACAP00000019520
ENSDARP00000026640	ENSACAP00000011139
ENSDARP00000115010	ENSACAP00000004781
ENSDARP00000017195	ENSACAP00000004781
ENSDARP00000026470	ENSACAP00000004556
ENSDARP00000094918	ENSACAP00000011319
ENSDARP00000006882	ENSACAP00000002618
ENSDARP00000088981	ENSACAP00000010385
ENSDARP00000104727	ENSACAP00000003466
ENSDARP00000103388	ENSACAP00000003466
ENSDARP00000027611	ENSACAP00000002561
ENSDARP00000128495	ENSACAP00000006186
ENSDARP00000086285	ENSACAP00000006980
ENSDARP00000113718	ENSACAP00000016608
ENSDARP00000066923	ENSACAP00000003999
ENSDARP00000109057	ENSACAP00000008246
ENSDARP00000085589	ENSACAP00000008730
ENSDARP00000053533	ENSACAP00000000330
ENSDARP00000080685	ENSACAP00000006393
ENSDARP00000095560	ENSACAP00000014941
ENSDARP00000005233	ENSACAP00000014941
ENSDARP00000087373	ENSACAP00000016656
ENSDARP00000093160	ENSACAP00000010835
ENSDARP00000127233	ENSACAP00000006007
ENSDARP00000081388	ENSACAP00000013695
ENSDARP00000096631	ENSACAP00000011013
ENSDARP00000070190	ENSACAP00000000248
ENSDARP00000102765	ENSACAP00000009915
ENSDARP00000108041	ENSACAP00000006482
ENSDARP00000048854	ENSACAP00000006482
ENSDARP00000084492	ENSACAP00000003967
ENSDARP00000100524	ENSACAP00000003967
ENSDARP00000116187	ENSACAP00000003520
ENSDARP00000118870	ENSACAP00000008631
ENSDARP00000043095	ENSACAP00000002386
ENSDARP00000109106	ENSACAP00000008533
ENSDARP00000051523	ENSACAP00000012376
ENSDARP00000059368	ENSACAP00000016666
ENSDARP00000005262	ENSACAP00000012500
ENSDARP00000090326	ENSACAP00000017384
ENSDARP00000055063	ENSACAP00000012031
ENSDARP00000096752	ENSACAP00000012031
ENSDARP00000114656	ENSACAP00000022848
ENSDARP00000119857	ENSACAP00000015971
ENSDARP00000113048	ENSACAP00000015971
ENSDARP00000117214	ENSACAP00000005251
ENSDARP00000054848	ENSACAP00000004686
ENSDARP00000086140	ENSACAP00000015396
ENSDARP00000120819	ENSACAP00000015396
ENSDARP00000127301	ENSACAP00000017153
ENSDARP00000092246	ENSACAP00000007629
ENSDARP00000116730	ENSACAP00000002918
ENSDARP00000099426	ENSACAP00000012148
ENSDARP00000122116	ENSACAP00000009061
ENSDARP00000104864	ENSACAP00000002167
ENSDARP00000070289	ENSACAP00000012892
ENSDARP00000074483	ENSACAP00000022695
ENSDARP00000097744	ENSACAP00000022695
ENSDARP00000003841	ENSACAP00000016558
ENSDARP00000076426	ENSACAP00000014653
ENSDARP00000102441	ENSACAP00000014653
ENSDARP00000082979	ENSACAP00000000996
ENSDARP00000105236	ENSACAP00000000996
ENSDARP00000124218	ENSACAP00000017376
ENSDARP00000069581	ENSACAP00000001503
ENSDARP00000124101	ENSACAP00000012304
ENSDARP00000123657	ENSACAP00000001349
ENSDARP00000081043	ENSACAP00000003529
ENSDARP00000102628	ENSACAP00000009385
ENSDARP00000044775	ENSACAP00000005833
ENSDARP00000012776	ENSACAP00000003761
ENSDARP00000074623	ENSACAP00000008371
ENSDARP00000096363	ENSACAP00000008371
ENSDARP00000096556	ENSACAP00000004846
ENSDARP00000065928	ENSACAP00000001051
ENSDARP00000095919	ENSACAP00000001051
ENSDARP00000082159	ENSACAP00000006134
ENSDARP00000098433	ENSACAP00000002346
ENSDARP00000099233	ENSACAP00000002346
ENSDARP00000104323	ENSACAP00000002151
ENSDARP00000100472	ENSACAP00000015029
ENSDARP00000104821	ENSACAP00000016412
ENSDARP00000053530	ENSACAP00000010115
ENSDARP00000126317	ENSACAP00000013571
ENSDARP00000098515	ENSACAP00000003630
ENSDARP00000090749	ENSACAP00000010055
ENSDARP00000126058	ENSACAP00000015877
ENSDARP00000107099	ENSACAP00000004055
ENSDARP00000016637	ENSACAP00000020876
ENSDARP00000095297	ENSACAP00000011653
ENSDARP00000068216	ENSACAP00000006449
ENSDARP00000061075	ENSACAP00000006424
ENSDARP00000069695	ENSACAP00000019018
ENSDARP00000027966	ENSACAP00000000087
ENSDARP00000097622	ENSACAP00000014523
ENSDARP00000107490	ENSACAP00000014523
ENSDARP00000120440	ENSACAP00000013188
ENSDARP00000049927	ENSACAP00000013188
ENSDARP00000060575	ENSACAP00000009727
ENSDARP00000096413	ENSACAP00000009727
ENSDARP00000096458	ENSACAP00000003139
ENSDARP00000010568	ENSACAP00000003139
ENSDARP00000011527	ENSACAP00000000517
ENSDARP00000111211	ENSACAP00000000517
ENSDARP00000124791	ENSACAP00000018406
ENSDARP00000109008	ENSACAP00000004493
ENSDARP00000108464	ENSACAP00000014443
ENSDARP00000015621	ENSACAP00000021844
ENSDARP00000121988	ENSACAP00000023069
ENSDARP00000129552	ENSACAP00000011046
ENSDARP00000042420	ENSACAP00000002608
ENSDARP00000062145	ENSACAP00000003169
ENSDARP00000125087	ENSACAP00000008700
ENSDARP00000020170	ENSACAP00000014499
ENSDARP00000084452	ENSACAP00000021654
ENSDARP00000105699	ENSACAP00000021654
ENSDARP00000109910	ENSACAP00000007230
ENSDARP00000121593	ENSACAP00000006279
ENSDARP00000076415	ENSACAP00000006279
ENSDARP00000038214	ENSACAP00000015534
ENSDARP00000106388	ENSACAP00000004470
ENSDARP00000115296	ENSACAP00000004470
ENSDARP00000116874	ENSACAP00000003506
ENSDARP00000105530	ENSACAP00000003754
ENSDARP00000127735	ENSACAP00000012849
ENSDARP00000088314	ENSACAP00000012849
ENSDARP00000081860	ENSACAP00000014874
ENSDARP00000096327	ENSACAP00000011857
ENSDARP00000069449	ENSACAP00000016361
ENSDARP00000094631	ENSACAP00000000854
ENSDARP00000012087	ENSACAP00000000854
ENSDARP00000105876	ENSACAP00000002833
ENSDARP00000087964	ENSACAP00000012559
ENSDARP00000123542	ENSACAP00000001157
ENSDARP00000106132	ENSACAP00000008052
ENSDARP00000067167	ENSACAP00000016133
ENSDARP00000003380	ENSACAP00000011215
ENSDARP00000112128	ENSACAP00000011215
ENSDARP00000060701	ENSACAP00000013467
ENSDARP00000103159	ENSACAP00000008325
ENSDARP00000101059	ENSACAP00000009634
ENSDARP00000104777	ENSACAP00000016067
ENSDARP00000056532	ENSACAP00000016067
ENSDARP00000070556	ENSACAP00000010067
ENSDARP00000049502	ENSACAP00000013997
ENSDARP00000086415	ENSACAP00000001818
ENSDARP00000123393	ENSACAP00000007977
ENSDARP00000123656	ENSACAP00000008692
ENSDARP00000098117	ENSACAP00000009186
ENSDARP00000085308	ENSACAP00000003603
ENSDARP00000112164	ENSACAP00000017352
ENSDARP00000024623	ENSACAP00000000869
ENSDARP00000054234	ENSACAP00000015452
ENSDARP00000093386	ENSACAP00000013246
ENSDARP00000120586	ENSACAP00000012317
ENSDARP00000104932	ENSACAP00000018347
ENSDARP00000054690	ENSACAP00000005284
ENSDARP00000129827	ENSACAP00000012888
ENSDARP00000087335	ENSACAP00000002214
ENSDARP00000061737	ENSACAP00000002183
ENSDARP00000068355	ENSACAP00000006840
ENSDARP00000067923	ENSACAP00000016121
ENSDARP00000021737	ENSACAP00000003415
ENSDARP00000108605	ENSACAP00000012684
ENSDARP00000091836	ENSACAP00000016636
ENSDARP00000026625	ENSACAP00000011424
ENSDARP00000118376	ENSACAP00000008175
ENSDARP00000008364	ENSACAP00000006218
ENSDARP00000057376	ENSACAP00000005622
ENSDARP00000099291	ENSACAP00000003690
ENSDARP00000104183	ENSACAP00000005959
ENSDARP00000101429	ENSACAP00000006715
ENSDARP00000084823	ENSACAP00000003171
ENSDARP00000092387	ENSACAP00000016840
ENSDARP00000060004	ENSACAP00000014480
ENSDARP00000090957	ENSACAP00000006290
ENSDARP00000091978	ENSACAP00000006290
ENSDARP00000104288	ENSACAP00000002005
ENSDARP00000079577	ENSACAP00000009719
ENSDARP00000117350	ENSACAP00000005096
ENSDARP00000017119	ENSACAP00000002514
ENSDARP00000128675	ENSACAP00000023298
ENSDARP00000104030	ENSACAP00000005843
ENSDARP00000004144	ENSACAP00000005277
ENSDARP00000058796	ENSACAP00000016539
ENSDARP00000087188	ENSACAP00000004076
ENSDARP00000055153	ENSACAP00000011240
ENSDARP00000112058	ENSACAP00000021866
ENSDARP00000120420	ENSACAP00000005050
ENSDARP00000129811	ENSACAP00000023397
ENSDARP00000007196	ENSACAP00000017196
ENSDARP00000109081	ENSACAP00000014270
ENSDARP00000076899	ENSACAP00000020004
ENSDARP00000103061	ENSACAP00000011387
ENSDARP00000103566	ENSACAP00000011387
ENSDARP00000062531	ENSACAP00000016535
ENSDARP00000071210	ENSACAP00000016535
ENSDARP00000111947	ENSACAP00000005124
ENSDARP00000072337	ENSACAP00000005124
ENSDARP00000004943	ENSACAP00000009874
ENSDARP00000106640	ENSACAP00000009501
ENSDARP00000127004	ENSACAP00000009501
ENSDARP00000109804	ENSACAP00000009866
ENSDARP00000059954	ENSACAP00000009866
ENSDARP00000067735	ENSACAP00000013770
ENSDARP00000062899	ENSACAP00000013607
ENSDARP00000012557	ENSACAP00000006294
ENSDARP00000088337	ENSACAP00000013301
ENSDARP00000119462	ENSACAP00000013301
ENSDARP00000070007	ENSACAP00000008973
ENSDARP00000128208	ENSACAP00000011641
ENSDARP00000075472	ENSACAP00000022969
ENSDARP00000071521	ENSACAP00000010250
ENSDARP00000104230	ENSACAP00000020284
ENSDARP00000004889	ENSACAP00000005392
ENSDARP00000029203	ENSACAP00000019824
ENSDARP00000124409	ENSACAP00000011605
ENSDARP00000063995	ENSACAP00000011605
ENSDARP00000003665	ENSACAP00000016335
ENSDARP00000093347	ENSACAP00000002716
ENSDARP00000012691	ENSACAP00000000790
ENSDARP00000049166	ENSACAP00000000608
ENSDARP00000113461	ENSACAP00000004750
ENSDARP00000084498	ENSACAP00000004750
ENSDARP00000103558	ENSACAP00000004889
ENSDARP00000098069	ENSACAP00000004889
ENSDARP00000035581	ENSACAP00000012957
ENSDARP00000005771	ENSACAP00000006616
ENSDARP00000056419	ENSACAP00000010965
ENSDARP00000020361	ENSACAP00000015214
ENSDARP00000051391	ENSACAP00000006978
ENSDARP00000009970	ENSACAP00000005706
ENSDARP00000071885	ENSACAP00000014821
ENSDARP00000088034	ENSACAP00000014821
ENSDARP00000109124	ENSACAP00000012225
ENSDARP00000031031	ENSACAP00000008659
ENSDARP00000022107	ENSACAP00000023073
ENSDARP00000099262	ENSACAP00000011492
ENSDARP00000109375	ENSACAP00000012724
ENSDARP00000104233	ENSACAP00000005316
ENSDARP00000068124	ENSACAP00000016125
ENSDARP00000005251	ENSACAP00000003014
ENSDARP00000060344	ENSACAP00000000948
ENSDARP00000042296	ENSACAP00000002835
ENSDARP00000003564	ENSACAP00000005183
ENSDARP00000069982	ENSACAP00000013553
ENSDARP00000109674	ENSACAP00000001746
ENSDARP00000006712	ENSACAP00000003954
ENSDARP00000088296	ENSACAP00000015240
ENSDARP00000064965	ENSACAP00000015240
ENSDARP00000126446	ENSACAP00000007951
ENSDARP00000029456	ENSACAP00000007951
ENSDARP00000109893	ENSACAP00000011929
ENSDARP00000078938	ENSACAP00000011921
ENSDARP00000060953	ENSACAP00000020027
ENSDARP00000070706	ENSACAP00000003729
ENSDARP00000003269	ENSACAP00000007901
ENSDARP00000117614	ENSACAP00000007901
ENSDARP00000022483	ENSACAP00000012384
ENSDARP00000110181	ENSACAP00000012384
ENSDARP00000113999	ENSACAP00000018222
ENSDARP00000105872	ENSACAP00000020649
ENSDARP00000091863	ENSACAP00000014734
ENSDARP00000041857	ENSACAP00000006385
ENSDARP00000028067	ENSACAP00000016285
ENSDARP00000029449	ENSACAP00000014509
ENSDARP00000072374	ENSACAP00000014509
ENSDARP00000101724	ENSACAP00000019794
ENSDARP00000085782	ENSACAP00000012305
ENSDARP00000123249	ENSACAP00000015250
ENSDARP00000011459	ENSACAP00000015250
ENSDARP00000011222	ENSACAP00000010637
ENSDARP00000074081	ENSACAP00000010637
ENSDARP00000068639	ENSACAP00000002362
ENSDARP00000105116	ENSACAP00000013799
ENSDARP00000053767	ENSACAP00000016188
ENSDARP00000022315	ENSACAP00000017492
ENSDARP00000099634	ENSACAP00000017699
ENSDARP00000102572	ENSACAP00000017699
ENSDARP00000098597	ENSACAP00000014025
ENSDARP00000092960	ENSACAP00000000522
ENSDARP00000120899	ENSACAP00000007778
ENSDARP00000104597	ENSACAP00000017645
ENSDARP00000009407	ENSACAP00000016784
ENSDARP00000115000	ENSACAP00000008491
ENSDARP00000074501	ENSACAP00000007551
ENSDARP00000129617	ENSACAP00000003275
ENSDARP00000093744	ENSACAP00000015876
ENSDARP00000100863	ENSACAP00000001347
ENSDARP00000099375	ENSACAP00000008888
ENSDARP00000122491	ENSACAP00000002117
ENSDARP00000119471	ENSACAP00000003788
ENSDARP00000128414	ENSACAP00000022286
ENSDARP00000099219	ENSACAP00000017629
ENSDARP00000098390	ENSACAP00000001540
ENSDARP00000064553	ENSACAP00000001985
ENSDARP00000104429	ENSACAP00000011135
ENSDARP00000103598	ENSACAP00000007159
ENSDARP00000009633	ENSACAP00000001526
ENSDARP00000008214	ENSACAP00000001526
ENSDARP00000103896	ENSACAP00000004118
ENSDARP00000095217	ENSACAP00000002773
ENSDARP00000109055	ENSACAP00000005772
ENSDARP00000052354	ENSACAP00000012097
ENSDARP00000118603	ENSACAP00000006167
ENSDARP00000054592	ENSACAP00000007864
ENSDARP00000114621	ENSACAP00000014612
ENSDARP00000036958	ENSACAP00000011654
ENSDARP00000041938	ENSACAP00000011654
ENSDARP00000021165	ENSACAP00000002298
ENSDARP00000104119	ENSACAP00000002298
ENSDARP00000041034	ENSACAP00000004142
ENSDARP00000118861	ENSACAP00000004142
ENSDARP00000011585	ENSACAP00000002377
ENSDARP00000034555	ENSACAP00000022254
ENSDARP00000121933	ENSACAP00000012821
ENSDARP00000114195	ENSACAP00000007519
ENSDARP00000098999	ENSACAP00000013541
ENSDARP00000100192	ENSACAP00000013541
ENSDARP00000108259	ENSACAP00000010828
ENSDARP00000022305	ENSACAP00000017452
ENSDARP00000107618	ENSACAP00000003087
ENSDARP00000023313	ENSACAP00000011357
ENSDARP00000052422	ENSACAP00000015783
ENSDARP00000097465	ENSACAP00000011486
ENSDARP00000090302	ENSACAP00000013178
ENSDARP00000117091	ENSACAP00000011045
ENSDARP00000045189	ENSACAP00000010338
ENSDARP00000051786	ENSACAP00000013082
ENSDARP00000009358	ENSACAP00000001902
ENSDARP00000108432	ENSACAP00000003285
ENSDARP00000117760	ENSACAP00000002258
ENSDARP00000031737	ENSACAP00000011145
ENSDARP00000088060	ENSACAP00000009224
ENSDARP00000083347	ENSACAP00000009443
ENSDARP00000114222	ENSACAP00000009443
ENSDARP00000103338	ENSACAP00000008337
ENSDARP00000009052	ENSACAP00000008417
ENSDARP00000049330	ENSACAP00000003130
ENSDARP00000096703	ENSACAP00000003130
ENSDARP00000109970	ENSACAP00000016581
ENSDARP00000005746	ENSACAP00000005432
ENSDARP00000107692	ENSACAP00000010650
ENSDARP00000109414	ENSACAP00000022312
ENSDARP00000101958	ENSACAP00000001158
ENSDARP00000103078	ENSACAP00000000209
ENSDARP00000069034	ENSACAP00000003194
ENSDARP00000052788	ENSACAP00000010613
ENSDARP00000056621	ENSACAP00000016553
ENSDARP00000059208	ENSACAP00000011885
ENSDARP00000006309	ENSACAP00000004440
ENSDARP00000124192	ENSACAP00000003925
ENSDARP00000104665	ENSACAP00000007816
ENSDARP00000078537	ENSACAP00000002059
ENSDARP00000079486	ENSACAP00000003245
ENSDARP00000099105	ENSACAP00000019387
ENSDARP00000043775	ENSACAP00000012378
ENSDARP00000074739	ENSACAP00000021898
ENSDARP00000057982	ENSACAP00000007447
ENSDARP00000112865	ENSACAP00000016432
ENSDARP00000077137	ENSACAP00000011300
ENSDARP00000108974	ENSACAP00000007531
ENSDARP00000126347	ENSACAP00000013439
ENSDARP00000105846	ENSACAP00000002204
ENSDARP00000085899	ENSACAP00000015211
ENSDARP00000100185	ENSACAP00000005636
ENSDARP00000008665	ENSACAP00000009010
ENSDARP00000046840	ENSACAP00000006942
ENSDARP00000076236	ENSACAP00000006942
ENSDARP00000010432	ENSACAP00000002567
ENSDARP00000024428	ENSACAP00000008835
ENSDARP00000114891	ENSACAP00000013445
ENSDARP00000098887	ENSACAP00000010829
ENSDARP00000087023	ENSACAP00000006519
ENSDARP00000129797	ENSACAP00000016514
ENSDARP00000126242	ENSACAP00000014020
ENSDARP00000124666	ENSACAP00000009629
ENSDARP00000084282	ENSACAP00000009581
ENSDARP00000091125	ENSACAP00000009082
ENSDARP00000072746	ENSACAP00000007974
ENSDARP00000122101	ENSACAP00000010810
ENSDARP00000053846	ENSACAP00000005463
ENSDARP00000090466	ENSACAP00000002186
ENSDARP00000067187	ENSACAP00000001328
ENSDARP00000070357	ENSACAP00000020222
ENSDARP00000023365	ENSACAP00000005197
ENSDARP00000029663	ENSACAP00000012024
ENSDARP00000112946	ENSACAP00000012024
ENSDARP00000097577	ENSACAP00000021444
ENSDARP00000127760	ENSACAP00000005217
ENSDARP00000084963	ENSACAP00000017512
ENSDARP00000009879	ENSACAP00000010891
ENSDARP00000104632	ENSACAP00000005176
ENSDARP00000108672	ENSACAP00000016507
ENSDARP00000018738	ENSACAP00000017549
ENSDARP00000059038	ENSACAP00000011048
ENSDARP00000115931	ENSACAP00000020484
ENSDARP00000068132	ENSACAP00000014804
ENSDARP00000121820	ENSACAP00000002297
ENSDARP00000018938	ENSACAP00000011289
ENSDARP00000092872	ENSACAP00000016482
ENSDARP00000104278	ENSACAP00000012510
ENSDARP00000009463	ENSACAP00000011524
ENSDARP00000098055	ENSACAP00000003758
ENSDARP00000059359	ENSACAP00000003758
ENSDARP00000073841	ENSACAP00000000852
ENSDARP00000054673	ENSACAP00000006891
ENSDARP00000053915	ENSACAP00000006891
ENSDARP00000124268	ENSACAP00000009798
ENSDARP00000106863	ENSACAP00000013022
ENSDARP00000105848	ENSACAP00000009139
ENSDARP00000101483	ENSACAP00000005675
ENSDARP00000108901	ENSACAP00000002150
ENSDARP00000099237	ENSACAP00000008993
ENSDARP00000120825	ENSACAP00000000191
ENSDARP00000034149	ENSACAP00000013977
ENSDARP00000088509	ENSACAP00000013977
ENSDARP00000101872	ENSACAP00000002235
ENSDARP00000126262	ENSACAP00000022773
ENSDARP00000115297	ENSACAP00000001548
ENSDARP00000101295	ENSACAP00000008438
ENSDARP00000105943	ENSACAP00000013492
ENSDARP00000099481	ENSACAP00000000303
ENSDARP00000086709	ENSACAP00000021843
ENSDARP00000123268	ENSACAP00000009292
ENSDARP00000127243	ENSACAP00000001938
ENSDARP00000129098	ENSACAP00000001938
ENSDARP00000053870	ENSACAP00000015281
ENSDARP00000110269	ENSACAP00000022419
ENSDARP00000100359	ENSACAP00000010008
ENSDARP00000100517	ENSACAP00000006228
ENSDARP00000095271	ENSACAP00000016135
ENSDARP00000026854	ENSACAP00000012172
ENSDARP00000094994	ENSACAP00000000188
ENSDARP00000098284	ENSACAP00000019753
ENSDARP00000129640	ENSACAP00000013378
ENSDARP00000124947	ENSACAP00000007084
ENSDARP00000085784	ENSACAP00000004951
ENSDARP00000116836	ENSACAP00000012308
ENSDARP00000067433	ENSACAP00000012308
ENSDARP00000061734	ENSACAP00000022172
ENSDARP00000061712	ENSACAP00000022172
ENSDARP00000098708	ENSACAP00000013197
ENSDARP00000113396	ENSACAP00000013197
ENSDARP00000112197	ENSACAP00000014541
ENSDARP00000101967	ENSACAP00000015560
ENSDARP00000015055	ENSACAP00000005592
ENSDARP00000042161	ENSACAP00000010705
ENSDARP00000073397	ENSACAP00000009378
ENSDARP00000081369	ENSACAP00000009378
ENSDARP00000112667	ENSACAP00000000272
ENSDARP00000098162	ENSACAP00000018310
ENSDARP00000100899	ENSACAP00000006742
ENSDARP00000109848	ENSACAP00000011307
ENSDARP00000004205	ENSACAP00000006436
ENSDARP00000107880	ENSACAP00000012168
ENSDARP00000073535	ENSACAP00000015471
ENSDARP00000088481	ENSACAP00000000888
ENSDARP00000098109	ENSACAP00000012185
ENSDARP00000103050	ENSACAP00000012615
ENSDARP00000098740	ENSACAP00000009555
ENSDARP00000041876	ENSACAP00000009555
ENSDARP00000092287	ENSACAP00000007245
ENSDARP00000066960	ENSACAP00000007245
ENSDARP00000074509	ENSACAP00000002510
ENSDARP00000109280	ENSACAP00000005650
ENSDARP00000123618	ENSACAP00000016709
ENSDARP00000093819	ENSACAP00000009617
ENSDARP00000106338	ENSACAP00000000216
ENSDARP00000109831	ENSACAP00000004979
ENSDARP00000017482	ENSACAP00000004979
ENSDARP00000050201	ENSACAP00000017570
ENSDARP00000114015	ENSACAP00000015739
ENSDARP00000084810	ENSACAP00000015739
ENSDARP00000065670	ENSACAP00000002810
ENSDARP00000100145	ENSACAP00000006148
ENSDARP00000080960	ENSACAP00000006936
ENSDARP00000080968	ENSACAP00000011765
ENSDARP00000075860	ENSACAP00000003840
ENSDARP00000075872	ENSACAP00000018770
ENSDARP00000092923	ENSACAP00000003461
ENSDARP00000124374	ENSACAP00000002744
ENSDARP00000007258	ENSACAP00000004695
ENSDARP00000091241	ENSACAP00000004695
ENSDARP00000005954	ENSACAP00000001941
ENSDARP00000058159	ENSACAP00000000871
ENSDARP00000107045	ENSACAP00000022759
ENSDARP00000015938	ENSACAP00000003421
ENSDARP00000097617	ENSACAP00000006059
ENSDARP00000100510	ENSACAP00000016512
ENSDARP00000077546	ENSACAP00000008612
ENSDARP00000108518	ENSACAP00000008612
ENSDARP00000117502	ENSACAP00000016686
ENSDARP00000019488	ENSACAP00000014672
ENSDARP00000018866	ENSACAP00000014672
ENSDARP00000018231	ENSACAP00000013916
ENSDARP00000123712	ENSACAP00000002455
ENSDARP00000109939	ENSACAP00000010380
ENSDARP00000127650	ENSACAP00000022801
ENSDARP00000117424	ENSACAP00000015692
ENSDARP00000117457	ENSACAP00000015692
ENSDARP00000054407	ENSACAP00000016160
ENSDARP00000103592	ENSACAP00000014198
ENSDARP00000023797	ENSACAP00000014198
ENSDARP00000123760	ENSACAP00000006271
ENSDARP00000123811	ENSACAP00000006271
ENSDARP00000093650	ENSACAP00000016363
ENSDARP00000062147	ENSACAP00000015507
ENSDARP00000021226	ENSACAP00000015501
ENSDARP00000109319	ENSACAP00000020502
ENSDARP00000108874	ENSACAP00000020502
ENSDARP00000108451	ENSACAP00000005692
ENSDARP00000024699	ENSACAP00000010210
ENSDARP00000114912	ENSACAP00000017193
ENSDARP00000018694	ENSACAP00000010434
ENSDARP00000036613	ENSACAP00000009252
ENSDARP00000062174	ENSACAP00000014879
ENSDARP00000054182	ENSACAP00000010627
ENSDARP00000071038	ENSACAP00000010627
ENSDARP00000066603	ENSACAP00000006874
ENSDARP00000111755	ENSACAP00000001113
