ENSMGAP00000004951	ENSTNIP00000004863
ENSMGAP00000000936	ENSTNIP00000018006
ENSMGAP00000012988	ENSTNIP00000011046
ENSMGAP00000001324	ENSTNIP00000020241
ENSMGAP00000011005	ENSTNIP00000009279
ENSMGAP00000011005	ENSTNIP00000005483
ENSMGAP00000011105	ENSTNIP00000006556
ENSMGAP00000011105	ENSTNIP00000013302
ENSMGAP00000006076	ENSTNIP00000019748
ENSMGAP00000007317	ENSTNIP00000004759
ENSMGAP00000007317	ENSTNIP00000021152
ENSMGAP00000008652	ENSTNIP00000009513
ENSMGAP00000014538	ENSTNIP00000009676
ENSMGAP00000005696	ENSTNIP00000022950
ENSMGAP00000005696	ENSTNIP00000019221
ENSMGAP00000006319	ENSTNIP00000007776
ENSMGAP00000007280	ENSTNIP00000016727
ENSMGAP00000013357	ENSTNIP00000007596
ENSMGAP00000015206	ENSTNIP00000018054
ENSMGAP00000013509	ENSTNIP00000022338
ENSMGAP00000007099	ENSTNIP00000014225
ENSMGAP00000002044	ENSTNIP00000014793
ENSMGAP00000002044	ENSTNIP00000013334
ENSMGAP00000005591	ENSTNIP00000007237
ENSMGAP00000012297	ENSTNIP00000020801
ENSMGAP00000013005	ENSTNIP00000020371
ENSMGAP00000007129	ENSTNIP00000015838
ENSMGAP00000007129	ENSTNIP00000008719
ENSMGAP00000018271	ENSTNIP00000019346
ENSMGAP00000000896	ENSTNIP00000014206
ENSMGAP00000008514	ENSTNIP00000021522
ENSMGAP00000000489	ENSTNIP00000015444
ENSMGAP00000004112	ENSTNIP00000017603
ENSMGAP00000013456	ENSTNIP00000009204
ENSMGAP00000013456	ENSTNIP00000011370
ENSMGAP00000008472	ENSTNIP00000016276
ENSMGAP00000012577	ENSTNIP00000016154
ENSMGAP00000012577	ENSTNIP00000009737
ENSMGAP00000009756	ENSTNIP00000019780
ENSMGAP00000008662	ENSTNIP00000008826
ENSMGAP00000004981	ENSTNIP00000015758
ENSMGAP00000004702	ENSTNIP00000018339
ENSMGAP00000004702	ENSTNIP00000017324
ENSMGAP00000009050	ENSTNIP00000007546
ENSMGAP00000013618	ENSTNIP00000012091
ENSMGAP00000005684	ENSTNIP00000012090
ENSMGAP00000005684	ENSTNIP00000012092
ENSMGAP00000013729	ENSTNIP00000019114
ENSMGAP00000009571	ENSTNIP00000009830
ENSMGAP00000005595	ENSTNIP00000014783
ENSMGAP00000016026	ENSTNIP00000008454
ENSMGAP00000005483	ENSTNIP00000007236
ENSMGAP00000017941	ENSTNIP00000016742
ENSMGAP00000011270	ENSTNIP00000007412
ENSMGAP00000004122	ENSTNIP00000007146
ENSMGAP00000004122	ENSTNIP00000009912
ENSMGAP00000002666	ENSTNIP00000021559
ENSMGAP00000007023	ENSTNIP00000012399
ENSMGAP00000000090	ENSTNIP00000018601
ENSMGAP00000018225	ENSTNIP00000023027
ENSMGAP00000010333	ENSTNIP00000007523
ENSMGAP00000010333	ENSTNIP00000006607
ENSMGAP00000010501	ENSTNIP00000006907
ENSMGAP00000010501	ENSTNIP00000003155
ENSMGAP00000011872	ENSTNIP00000015965
ENSMGAP00000016999	ENSTNIP00000016530
ENSMGAP00000009990	ENSTNIP00000010159
ENSMGAP00000006691	ENSTNIP00000011566
ENSMGAP00000007315	ENSTNIP00000010964
ENSMGAP00000003641	ENSTNIP00000010738
ENSMGAP00000003641	ENSTNIP00000015726
ENSMGAP00000010551	ENSTNIP00000010714
ENSMGAP00000010551	ENSTNIP00000020049
ENSMGAP00000006130	ENSTNIP00000005295
ENSMGAP00000005537	ENSTNIP00000021172
ENSMGAP00000013038	ENSTNIP00000014205
ENSMGAP00000007829	ENSTNIP00000014025
ENSMGAP00000000006	ENSTNIP00000013420
ENSMGAP00000001343	ENSTNIP00000018890
ENSMGAP00000000112	ENSTNIP00000008920
ENSMGAP00000014302	ENSTNIP00000015270
ENSMGAP00000009761	ENSTNIP00000012690
ENSMGAP00000009761	ENSTNIP00000008017
ENSMGAP00000005169	ENSTNIP00000001358
ENSMGAP00000008234	ENSTNIP00000005562
ENSMGAP00000012081	ENSTNIP00000011006
ENSMGAP00000015912	ENSTNIP00000007126
ENSMGAP00000009621	ENSTNIP00000014065
ENSMGAP00000001820	ENSTNIP00000001720
ENSMGAP00000019167	ENSTNIP00000020746
ENSMGAP00000009494	ENSTNIP00000013671
ENSMGAP00000015662	ENSTNIP00000013533
ENSMGAP00000015662	ENSTNIP00000016880
ENSMGAP00000006196	ENSTNIP00000018790
ENSMGAP00000000855	ENSTNIP00000015856
ENSMGAP00000000538	ENSTNIP00000003954
ENSMGAP00000012414	ENSTNIP00000007328
ENSMGAP00000000608	ENSTNIP00000021773
ENSMGAP00000002496	ENSTNIP00000022482
ENSMGAP00000007818	ENSTNIP00000013687
ENSMGAP00000007818	ENSTNIP00000017409
ENSMGAP00000018062	ENSTNIP00000020682
ENSMGAP00000012084	ENSTNIP00000020137
ENSMGAP00000012084	ENSTNIP00000005466
ENSMGAP00000012000	ENSTNIP00000020124
ENSMGAP00000007992	ENSTNIP00000022573
ENSMGAP00000011099	ENSTNIP00000007766
ENSMGAP00000006124	ENSTNIP00000021669
ENSMGAP00000019712	ENSTNIP00000018461
ENSMGAP00000005944	ENSTNIP00000001435
ENSMGAP00000012045	ENSTNIP00000015041
ENSMGAP00000004015	ENSTNIP00000016797
ENSMGAP00000013653	ENSTNIP00000012051
ENSMGAP00000012545	ENSTNIP00000021846
ENSMGAP00000003511	ENSTNIP00000011288
ENSMGAP00000012107	ENSTNIP00000011146
ENSMGAP00000003912	ENSTNIP00000023043
ENSMGAP00000014854	ENSTNIP00000005688
ENSMGAP00000019734	ENSTNIP00000020106
ENSMGAP00000004137	ENSTNIP00000018484
ENSMGAP00000013476	ENSTNIP00000019999
ENSMGAP00000000885	ENSTNIP00000011283
ENSMGAP00000015855	ENSTNIP00000018033
ENSMGAP00000015855	ENSTNIP00000020162
ENSMGAP00000005996	ENSTNIP00000007475
ENSMGAP00000013076	ENSTNIP00000005157
ENSMGAP00000003941	ENSTNIP00000017341
ENSMGAP00000015922	ENSTNIP00000017539
ENSMGAP00000011388	ENSTNIP00000014614
ENSMGAP00000013448	ENSTNIP00000019445
ENSMGAP00000015961	ENSTNIP00000019363
ENSMGAP00000015961	ENSTNIP00000002158
ENSMGAP00000008266	ENSTNIP00000005740
ENSMGAP00000012867	ENSTNIP00000007847
ENSMGAP00000002214	ENSTNIP00000019053
ENSMGAP00000015060	ENSTNIP00000007980
ENSMGAP00000012149	ENSTNIP00000013938
ENSMGAP00000018065	ENSTNIP00000006339
ENSMGAP00000018547	ENSTNIP00000004383
ENSMGAP00000014470	ENSTNIP00000009723
ENSMGAP00000005915	ENSTNIP00000012233
ENSMGAP00000014461	ENSTNIP00000015117
ENSMGAP00000009531	ENSTNIP00000014328
ENSMGAP00000009531	ENSTNIP00000005886
ENSMGAP00000002541	ENSTNIP00000015385
ENSMGAP00000014198	ENSTNIP00000020512
ENSMGAP00000006064	ENSTNIP00000021200
ENSMGAP00000005271	ENSTNIP00000011481
ENSMGAP00000005271	ENSTNIP00000008279
ENSMGAP00000004791	ENSTNIP00000007086
ENSMGAP00000007268	ENSTNIP00000016359
ENSMGAP00000013297	ENSTNIP00000013662
ENSMGAP00000013297	ENSTNIP00000020527
ENSMGAP00000015896	ENSTNIP00000007077
ENSMGAP00000014852	ENSTNIP00000005689
ENSMGAP00000012743	ENSTNIP00000016284
ENSMGAP00000000076	ENSTNIP00000007132
ENSMGAP00000007962	ENSTNIP00000011587
ENSMGAP00000017264	ENSTNIP00000005876
ENSMGAP00000017264	ENSTNIP00000005813
ENSMGAP00000010049	ENSTNIP00000015797
ENSMGAP00000017943	ENSTNIP00000004088
ENSMGAP00000007370	ENSTNIP00000007150
ENSMGAP00000011814	ENSTNIP00000005195
ENSMGAP00000001627	ENSTNIP00000021902
ENSMGAP00000016073	ENSTNIP00000005770
ENSMGAP00000001880	ENSTNIP00000001356
ENSMGAP00000001880	ENSTNIP00000019570
ENSMGAP00000006290	ENSTNIP00000012238
ENSMGAP00000011160	ENSTNIP00000022739
ENSMGAP00000005979	ENSTNIP00000011809
ENSMGAP00000012835	ENSTNIP00000017553
ENSMGAP00000012835	ENSTNIP00000018723
ENSMGAP00000006052	ENSTNIP00000006991
ENSMGAP00000005418	ENSTNIP00000018575
ENSMGAP00000011227	ENSTNIP00000007243
ENSMGAP00000015131	ENSTNIP00000013237
ENSMGAP00000015131	ENSTNIP00000016950
ENSMGAP00000006201	ENSTNIP00000012733
ENSMGAP00000008601	ENSTNIP00000014559
ENSMGAP00000001389	ENSTNIP00000021580
ENSMGAP00000005189	ENSTNIP00000012203
ENSMGAP00000000847	ENSTNIP00000009231
ENSMGAP00000000847	ENSTNIP00000019794
ENSMGAP00000010993	ENSTNIP00000003221
ENSMGAP00000000338	ENSTNIP00000018345
ENSMGAP00000002135	ENSTNIP00000014172
ENSMGAP00000005010	ENSTNIP00000009994
ENSMGAP00000006893	ENSTNIP00000016642
ENSMGAP00000019132	ENSTNIP00000011768
ENSMGAP00000006592	ENSTNIP00000022316
ENSMGAP00000011300	ENSTNIP00000019604
ENSMGAP00000011300	ENSTNIP00000016261
ENSMGAP00000010754	ENSTNIP00000022623
ENSMGAP00000009623	ENSTNIP00000021910
ENSMGAP00000017642	ENSTNIP00000011297
ENSMGAP00000012636	ENSTNIP00000007827
ENSMGAP00000012636	ENSTNIP00000020725
ENSMGAP00000002791	ENSTNIP00000003952
ENSMGAP00000013581	ENSTNIP00000015235
ENSMGAP00000008222	ENSTNIP00000019320
ENSMGAP00000011082	ENSTNIP00000000174
ENSMGAP00000001415	ENSTNIP00000020275
ENSMGAP00000004049	ENSTNIP00000002695
ENSMGAP00000004049	ENSTNIP00000014186
ENSMGAP00000010198	ENSTNIP00000020066
ENSMGAP00000010775	ENSTNIP00000005473
ENSMGAP00000006254	ENSTNIP00000016616
ENSMGAP00000006254	ENSTNIP00000010794
ENSMGAP00000005754	ENSTNIP00000011576
ENSMGAP00000004838	ENSTNIP00000009019
ENSMGAP00000012170	ENSTNIP00000022616
ENSMGAP00000015059	ENSTNIP00000007979
ENSMGAP00000004268	ENSTNIP00000018364
ENSMGAP00000003361	ENSTNIP00000020208
ENSMGAP00000003361	ENSTNIP00000019233
ENSMGAP00000000645	ENSTNIP00000022659
ENSMGAP00000000645	ENSTNIP00000016595
ENSMGAP00000009390	ENSTNIP00000017228
ENSMGAP00000006287	ENSTNIP00000012237
ENSMGAP00000012823	ENSTNIP00000006922
ENSMGAP00000010183	ENSTNIP00000017989
ENSMGAP00000010183	ENSTNIP00000022113
ENSMGAP00000008193	ENSTNIP00000013684
ENSMGAP00000006083	ENSTNIP00000003189
ENSMGAP00000019665	ENSTNIP00000014618
ENSMGAP00000003248	ENSTNIP00000009891
ENSMGAP00000003248	ENSTNIP00000003443
ENSMGAP00000007828	ENSTNIP00000008901
ENSMGAP00000019388	ENSTNIP00000012688
ENSMGAP00000008130	ENSTNIP00000009220
ENSMGAP00000014884	ENSTNIP00000008118
ENSMGAP00000011236	ENSTNIP00000011346
ENSMGAP00000007880	ENSTNIP00000012739
ENSMGAP00000012311	ENSTNIP00000010977
ENSMGAP00000012311	ENSTNIP00000004646
ENSMGAP00000002780	ENSTNIP00000013522
ENSMGAP00000002780	ENSTNIP00000000701
ENSMGAP00000004445	ENSTNIP00000022441
ENSMGAP00000004445	ENSTNIP00000014311
ENSMGAP00000009183	ENSTNIP00000014508
ENSMGAP00000015368	ENSTNIP00000012837
ENSMGAP00000009602	ENSTNIP00000014543
ENSMGAP00000009602	ENSTNIP00000014462
ENSMGAP00000008299	ENSTNIP00000008276
ENSMGAP00000008299	ENSTNIP00000021142
ENSMGAP00000011956	ENSTNIP00000013437
ENSMGAP00000015738	ENSTNIP00000001417
ENSMGAP00000011579	ENSTNIP00000021338
ENSMGAP00000018762	ENSTNIP00000003411
ENSMGAP00000004876	ENSTNIP00000007124
ENSMGAP00000018248	ENSTNIP00000006341
ENSMGAP00000018248	ENSTNIP00000001548
ENSMGAP00000001528	ENSTNIP00000008754
ENSMGAP00000011191	ENSTNIP00000005390
ENSMGAP00000017385	ENSTNIP00000003213
ENSMGAP00000015661	ENSTNIP00000016784
ENSMGAP00000011439	ENSTNIP00000018557
ENSMGAP00000012801	ENSTNIP00000016083
ENSMGAP00000014448	ENSTNIP00000019504
ENSMGAP00000001922	ENSTNIP00000010434
ENSMGAP00000018732	ENSTNIP00000015966
ENSMGAP00000002091	ENSTNIP00000012495
ENSMGAP00000007890	ENSTNIP00000010149
ENSMGAP00000012179	ENSTNIP00000014370
ENSMGAP00000018335	ENSTNIP00000007845
ENSMGAP00000017426	ENSTNIP00000001893
ENSMGAP00000009803	ENSTNIP00000018828
ENSMGAP00000000082	ENSTNIP00000017999
ENSMGAP00000008390	ENSTNIP00000021529
ENSMGAP00000007434	ENSTNIP00000001210
ENSMGAP00000000993	ENSTNIP00000018580
ENSMGAP00000000993	ENSTNIP00000001288
ENSMGAP00000002872	ENSTNIP00000014827
ENSMGAP00000002872	ENSTNIP00000012671
ENSMGAP00000015130	ENSTNIP00000013238
ENSMGAP00000015130	ENSTNIP00000016949
ENSMGAP00000004188	ENSTNIP00000012750
ENSMGAP00000001746	ENSTNIP00000017865
ENSMGAP00000002413	ENSTNIP00000002793
ENSMGAP00000010158	ENSTNIP00000011068
ENSMGAP00000000715	ENSTNIP00000021290
ENSMGAP00000001639	ENSTNIP00000006625
ENSMGAP00000000208	ENSTNIP00000005952
ENSMGAP00000004964	ENSTNIP00000006571
ENSMGAP00000013563	ENSTNIP00000015100
ENSMGAP00000002031	ENSTNIP00000017190
ENSMGAP00000013434	ENSTNIP00000010257
ENSMGAP00000015871	ENSTNIP00000020284
ENSMGAP00000018540	ENSTNIP00000015343
ENSMGAP00000010288	ENSTNIP00000011750
ENSMGAP00000010288	ENSTNIP00000015198
ENSMGAP00000005380	ENSTNIP00000013581
ENSMGAP00000002854	ENSTNIP00000018418
ENSMGAP00000010748	ENSTNIP00000007918
ENSMGAP00000010748	ENSTNIP00000015055
ENSMGAP00000008419	ENSTNIP00000008519
ENSMGAP00000008839	ENSTNIP00000012214
ENSMGAP00000008574	ENSTNIP00000004577
ENSMGAP00000004347	ENSTNIP00000005607
ENSMGAP00000011378	ENSTNIP00000003731
ENSMGAP00000018273	ENSTNIP00000017723
ENSMGAP00000005317	ENSTNIP00000015304
ENSMGAP00000000977	ENSTNIP00000015490
ENSMGAP00000007659	ENSTNIP00000013413
ENSMGAP00000010337	ENSTNIP00000010562
ENSMGAP00000012694	ENSTNIP00000013403
ENSMGAP00000012694	ENSTNIP00000011354
ENSMGAP00000006426	ENSTNIP00000016458
ENSMGAP00000010194	ENSTNIP00000010142
ENSMGAP00000012019	ENSTNIP00000009931
ENSMGAP00000003385	ENSTNIP00000019536
ENSMGAP00000006590	ENSTNIP00000016564
ENSMGAP00000000243	ENSTNIP00000008337
ENSMGAP00000014013	ENSTNIP00000011114
ENSMGAP00000004666	ENSTNIP00000015367
ENSMGAP00000005665	ENSTNIP00000019198
ENSMGAP00000014127	ENSTNIP00000005136
ENSMGAP00000012422	ENSTNIP00000019486
ENSMGAP00000012422	ENSTNIP00000020581
ENSMGAP00000002131	ENSTNIP00000005777
ENSMGAP00000001826	ENSTNIP00000017668
ENSMGAP00000007905	ENSTNIP00000019558
ENSMGAP00000010018	ENSTNIP00000011530
ENSMGAP00000010560	ENSTNIP00000017656
ENSMGAP00000007751	ENSTNIP00000012706
ENSMGAP00000009580	ENSTNIP00000021371
ENSMGAP00000009580	ENSTNIP00000011798
ENSMGAP00000008366	ENSTNIP00000005818
ENSMGAP00000008366	ENSTNIP00000016995
ENSMGAP00000019274	ENSTNIP00000015789
ENSMGAP00000002721	ENSTNIP00000021586
ENSMGAP00000002721	ENSTNIP00000012041
ENSMGAP00000009353	ENSTNIP00000009894
ENSMGAP00000009353	ENSTNIP00000015571
ENSMGAP00000005932	ENSTNIP00000012977
ENSMGAP00000005330	ENSTNIP00000015583
ENSMGAP00000010498	ENSTNIP00000018989
ENSMGAP00000012544	ENSTNIP00000005759
ENSMGAP00000001133	ENSTNIP00000014978
ENSMGAP00000012845	ENSTNIP00000003198
ENSMGAP00000006398	ENSTNIP00000008560
ENSMGAP00000006398	ENSTNIP00000009935
ENSMGAP00000012568	ENSTNIP00000018780
ENSMGAP00000011830	ENSTNIP00000015968
ENSMGAP00000002568	ENSTNIP00000020598
ENSMGAP00000016147	ENSTNIP00000012845
ENSMGAP00000009190	ENSTNIP00000006273
ENSMGAP00000015639	ENSTNIP00000004984
ENSMGAP00000001783	ENSTNIP00000016197
ENSMGAP00000006988	ENSTNIP00000007378
ENSMGAP00000007001	ENSTNIP00000005079
ENSMGAP00000008441	ENSTNIP00000022897
ENSMGAP00000013800	ENSTNIP00000002117
ENSMGAP00000001042	ENSTNIP00000006546
ENSMGAP00000017580	ENSTNIP00000009948
ENSMGAP00000005130	ENSTNIP00000003269
ENSMGAP00000005130	ENSTNIP00000005586
ENSMGAP00000007505	ENSTNIP00000008570
ENSMGAP00000007505	ENSTNIP00000008341
ENSMGAP00000015396	ENSTNIP00000016947
ENSMGAP00000005651	ENSTNIP00000015451
ENSMGAP00000005651	ENSTNIP00000007550
ENSMGAP00000013231	ENSTNIP00000005140
ENSMGAP00000006717	ENSTNIP00000015038
ENSMGAP00000013671	ENSTNIP00000008101
ENSMGAP00000001380	ENSTNIP00000006028
ENSMGAP00000007546	ENSTNIP00000020635
ENSMGAP00000014094	ENSTNIP00000010058
ENSMGAP00000007814	ENSTNIP00000001178
ENSMGAP00000010896	ENSTNIP00000020905
ENSMGAP00000004497	ENSTNIP00000021415
ENSMGAP00000004497	ENSTNIP00000003291
ENSMGAP00000018144	ENSTNIP00000009847
ENSMGAP00000018144	ENSTNIP00000014969
ENSMGAP00000009048	ENSTNIP00000022298
ENSMGAP00000004661	ENSTNIP00000009467
ENSMGAP00000007535	ENSTNIP00000023035
ENSMGAP00000007535	ENSTNIP00000009292
ENSMGAP00000002484	ENSTNIP00000005386
ENSMGAP00000014433	ENSTNIP00000011120
ENSMGAP00000018129	ENSTNIP00000005007
ENSMGAP00000018129	ENSTNIP00000003759
ENSMGAP00000017646	ENSTNIP00000017325
ENSMGAP00000001147	ENSTNIP00000013853
ENSMGAP00000001591	ENSTNIP00000018328
ENSMGAP00000016098	ENSTNIP00000022234
ENSMGAP00000016098	ENSTNIP00000012882
ENSMGAP00000007138	ENSTNIP00000004729
ENSMGAP00000015047	ENSTNIP00000015265
ENSMGAP00000007995	ENSTNIP00000005990
ENSMGAP00000014206	ENSTNIP00000015212
ENSMGAP00000014081	ENSTNIP00000020418
ENSMGAP00000010048	ENSTNIP00000001136
ENSMGAP00000011536	ENSTNIP00000022638
ENSMGAP00000011536	ENSTNIP00000015729
ENSMGAP00000007253	ENSTNIP00000021318
ENSMGAP00000009104	ENSTNIP00000007967
ENSMGAP00000003477	ENSTNIP00000011286
ENSMGAP00000004839	ENSTNIP00000017689
ENSMGAP00000014740	ENSTNIP00000010942
ENSMGAP00000014740	ENSTNIP00000007068
ENSMGAP00000001927	ENSTNIP00000020764
ENSMGAP00000010253	ENSTNIP00000010262
ENSMGAP00000012723	ENSTNIP00000008740
ENSMGAP00000009557	ENSTNIP00000011797
ENSMGAP00000001390	ENSTNIP00000012450
ENSMGAP00000010441	ENSTNIP00000004229
ENSMGAP00000003623	ENSTNIP00000005650
ENSMGAP00000015734	ENSTNIP00000016894
ENSMGAP00000012235	ENSTNIP00000022620
ENSMGAP00000000158	ENSTNIP00000010602
ENSMGAP00000000158	ENSTNIP00000010436
ENSMGAP00000009079	ENSTNIP00000020922
ENSMGAP00000006680	ENSTNIP00000014334
ENSMGAP00000008050	ENSTNIP00000005729
ENSMGAP00000008324	ENSTNIP00000008382
ENSMGAP00000002782	ENSTNIP00000013641
ENSMGAP00000002782	ENSTNIP00000002891
ENSMGAP00000009948	ENSTNIP00000010161
ENSMGAP00000009732	ENSTNIP00000019077
ENSMGAP00000009732	ENSTNIP00000021679
ENSMGAP00000011702	ENSTNIP00000019758
ENSMGAP00000013088	ENSTNIP00000005156
ENSMGAP00000004659	ENSTNIP00000009834
ENSMGAP00000009143	ENSTNIP00000002560
ENSMGAP00000009684	ENSTNIP00000006394
ENSMGAP00000009684	ENSTNIP00000010121
ENSMGAP00000002202	ENSTNIP00000005180
ENSMGAP00000005584	ENSTNIP00000008259
ENSMGAP00000005584	ENSTNIP00000001179
ENSMGAP00000000397	ENSTNIP00000021287
ENSMGAP00000008982	ENSTNIP00000017889
ENSMGAP00000016070	ENSTNIP00000004986
ENSMGAP00000016070	ENSTNIP00000006309
ENSMGAP00000015471	ENSTNIP00000017566
ENSMGAP00000007160	ENSTNIP00000018642
ENSMGAP00000002850	ENSTNIP00000005132
ENSMGAP00000010298	ENSTNIP00000020266
ENSMGAP00000016722	ENSTNIP00000005494
ENSMGAP00000014842	ENSTNIP00000015239
ENSMGAP00000011766	ENSTNIP00000005766
ENSMGAP00000012745	ENSTNIP00000007619
ENSMGAP00000005987	ENSTNIP00000021784
ENSMGAP00000004980	ENSTNIP00000004680
ENSMGAP00000013085	ENSTNIP00000015973
ENSMGAP00000018933	ENSTNIP00000007897
ENSMGAP00000003613	ENSTNIP00000011705
ENSMGAP00000003735	ENSTNIP00000020880
ENSMGAP00000004658	ENSTNIP00000012137
ENSMGAP00000014332	ENSTNIP00000010039
ENSMGAP00000006419	ENSTNIP00000014838
ENSMGAP00000008278	ENSTNIP00000008379
ENSMGAP00000009874	ENSTNIP00000005317
ENSMGAP00000005867	ENSTNIP00000018957
ENSMGAP00000014202	ENSTNIP00000022514
ENSMGAP00000012927	ENSTNIP00000007763
ENSMGAP00000006121	ENSTNIP00000008722
ENSMGAP00000013033	ENSTNIP00000008358
ENSMGAP00000011267	ENSTNIP00000021607
ENSMGAP00000007109	ENSTNIP00000005168
ENSMGAP00000017796	ENSTNIP00000007937
ENSMGAP00000005051	ENSTNIP00000021901
ENSMGAP00000005950	ENSTNIP00000005030
ENSMGAP00000013774	ENSTNIP00000015372
ENSMGAP00000000708	ENSTNIP00000013738
ENSMGAP00000013823	ENSTNIP00000005241
ENSMGAP00000011285	ENSTNIP00000011342
ENSMGAP00000010052	ENSTNIP00000017089
ENSMGAP00000013124	ENSTNIP00000001011
ENSMGAP00000009380	ENSTNIP00000021694
ENSMGAP00000001269	ENSTNIP00000012466
ENSMGAP00000005137	ENSTNIP00000013706
ENSMGAP00000011322	ENSTNIP00000014616
ENSMGAP00000011322	ENSTNIP00000012075
ENSMGAP00000016058	ENSTNIP00000013263
ENSMGAP00000019441	ENSTNIP00000000183
ENSMGAP00000016573	ENSTNIP00000012356
ENSMGAP00000018054	ENSTNIP00000000614
ENSMGAP00000016872	ENSTNIP00000000899
ENSMGAP00000016872	ENSTNIP00000013864
ENSMGAP00000015301	ENSTNIP00000019521
ENSMGAP00000006407	ENSTNIP00000012291
ENSMGAP00000011715	ENSTNIP00000009200
ENSMGAP00000003559	ENSTNIP00000006601
ENSMGAP00000005076	ENSTNIP00000013114
ENSMGAP00000019403	ENSTNIP00000006533
ENSMGAP00000010796	ENSTNIP00000020231
ENSMGAP00000005438	ENSTNIP00000000685
ENSMGAP00000003509	ENSTNIP00000014470
ENSMGAP00000016638	ENSTNIP00000012693
ENSMGAP00000005073	ENSTNIP00000010309
ENSMGAP00000009884	ENSTNIP00000006594
ENSMGAP00000013433	ENSTNIP00000008880
ENSMGAP00000009491	ENSTNIP00000012632
ENSMGAP00000011663	ENSTNIP00000008231
ENSMGAP00000005522	ENSTNIP00000013324
ENSMGAP00000006380	ENSTNIP00000019800
ENSMGAP00000018199	ENSTNIP00000005023
ENSMGAP00000001068	ENSTNIP00000011455
ENSMGAP00000005855	ENSTNIP00000021191
ENSMGAP00000004506	ENSTNIP00000018854
ENSMGAP00000015521	ENSTNIP00000007211
ENSMGAP00000016474	ENSTNIP00000013254
ENSMGAP00000012791	ENSTNIP00000020830
ENSMGAP00000006143	ENSTNIP00000004395
ENSMGAP00000004240	ENSTNIP00000011463
ENSMGAP00000011742	ENSTNIP00000009237
ENSMGAP00000011742	ENSTNIP00000012115
ENSMGAP00000012077	ENSTNIP00000011007
ENSMGAP00000004579	ENSTNIP00000017768
ENSMGAP00000004924	ENSTNIP00000011774
ENSMGAP00000004924	ENSTNIP00000012135
ENSMGAP00000014879	ENSTNIP00000019432
ENSMGAP00000014879	ENSTNIP00000000742
ENSMGAP00000000523	ENSTNIP00000008071
ENSMGAP00000016767	ENSTNIP00000019490
ENSMGAP00000016767	ENSTNIP00000011769
ENSMGAP00000016754	ENSTNIP00000020459
ENSMGAP00000001836	ENSTNIP00000005763
ENSMGAP00000001836	ENSTNIP00000002095
ENSMGAP00000009629	ENSTNIP00000015431
ENSMGAP00000007181	ENSTNIP00000006486
ENSMGAP00000015569	ENSTNIP00000003509
ENSMGAP00000013613	ENSTNIP00000019063
ENSMGAP00000001361	ENSTNIP00000010599
ENSMGAP00000003008	ENSTNIP00000011214
ENSMGAP00000003008	ENSTNIP00000014303
ENSMGAP00000019584	ENSTNIP00000010358
ENSMGAP00000003359	ENSTNIP00000016356
ENSMGAP00000014546	ENSTNIP00000022533
ENSMGAP00000013342	ENSTNIP00000018806
ENSMGAP00000003370	ENSTNIP00000019232
ENSMGAP00000011835	ENSTNIP00000020005
ENSMGAP00000009411	ENSTNIP00000010558
ENSMGAP00000013148	ENSTNIP00000022304
ENSMGAP00000008199	ENSTNIP00000015465
ENSMGAP00000006251	ENSTNIP00000004930
ENSMGAP00000007325	ENSTNIP00000016694
ENSMGAP00000004641	ENSTNIP00000005307
ENSMGAP00000019363	ENSTNIP00000018705
ENSMGAP00000005231	ENSTNIP00000012229
ENSMGAP00000005940	ENSTNIP00000005492
ENSMGAP00000012263	ENSTNIP00000005614
ENSMGAP00000019311	ENSTNIP00000002023
ENSMGAP00000005544	ENSTNIP00000014276
ENSMGAP00000014724	ENSTNIP00000019663
ENSMGAP00000003665	ENSTNIP00000007627
ENSMGAP00000009116	ENSTNIP00000012206
ENSMGAP00000018283	ENSTNIP00000018949
ENSMGAP00000003054	ENSTNIP00000016185
ENSMGAP00000009892	ENSTNIP00000012270
ENSMGAP00000014491	ENSTNIP00000012699
ENSMGAP00000005713	ENSTNIP00000013807
ENSMGAP00000005898	ENSTNIP00000013880
ENSMGAP00000005898	ENSTNIP00000022523
ENSMGAP00000008473	ENSTNIP00000018125
ENSMGAP00000014541	ENSTNIP00000022534
ENSMGAP00000003157	ENSTNIP00000019242
ENSMGAP00000014265	ENSTNIP00000022020
ENSMGAP00000001241	ENSTNIP00000021134
ENSMGAP00000001241	ENSTNIP00000022029
ENSMGAP00000014224	ENSTNIP00000022515
ENSMGAP00000003329	ENSTNIP00000019772
ENSMGAP00000001391	ENSTNIP00000012167
ENSMGAP00000000179	ENSTNIP00000012171
ENSMGAP00000007509	ENSTNIP00000022601
ENSMGAP00000001281	ENSTNIP00000013797
ENSMGAP00000004020	ENSTNIP00000006407
ENSMGAP00000009458	ENSTNIP00000021756
ENSMGAP00000002830	ENSTNIP00000017370
ENSMGAP00000002406	ENSTNIP00000011300
ENSMGAP00000012727	ENSTNIP00000012043
ENSMGAP00000012727	ENSTNIP00000021584
ENSMGAP00000013639	ENSTNIP00000006494
ENSMGAP00000007021	ENSTNIP00000012254
ENSMGAP00000007021	ENSTNIP00000005671
ENSMGAP00000002120	ENSTNIP00000006014
ENSMGAP00000002120	ENSTNIP00000014505
ENSMGAP00000011817	ENSTNIP00000021611
ENSMGAP00000012503	ENSTNIP00000022484
ENSMGAP00000011505	ENSTNIP00000016372
ENSMGAP00000014083	ENSTNIP00000020419
