ENSTGUP00000008915	ENSGACP00000003450
ENSTGUP00000003037	ENSGACP00000021461
ENSTGUP00000011390	ENSGACP00000015639
ENSTGUP00000005426	ENSGACP00000003952
ENSTGUP00000011026	ENSGACP00000015344
ENSTGUP00000012710	ENSGACP00000008840
ENSTGUP00000011135	ENSGACP00000002008
ENSTGUP00000011135	ENSGACP00000020264
ENSTGUP00000002777	ENSGACP00000024487
ENSTGUP00000017506	ENSGACP00000016443
ENSTGUP00000004464	ENSGACP00000001603
ENSTGUP00000018050	ENSGACP00000002449
ENSTGUP00000005598	ENSGACP00000017795
ENSTGUP00000013257	ENSGACP00000008577
ENSTGUP00000001042	ENSGACP00000022211
ENSTGUP00000002177	ENSGACP00000022306
ENSTGUP00000002177	ENSGACP00000010264
ENSTGUP00000010375	ENSGACP00000002753
ENSTGUP00000010375	ENSGACP00000018974
ENSTGUP00000011847	ENSGACP00000006597
ENSTGUP00000001610	ENSGACP00000010692
ENSTGUP00000011209	ENSGACP00000008682
ENSTGUP00000009384	ENSGACP00000005161
ENSTGUP00000009384	ENSGACP00000007388
ENSTGUP00000009284	ENSGACP00000018795
ENSTGUP00000009284	ENSGACP00000017675
ENSTGUP00000008805	ENSGACP00000014721
ENSTGUP00000015174	ENSGACP00000014244
ENSTGUP00000011460	ENSGACP00000019484
ENSTGUP00000011607	ENSGACP00000003903
ENSTGUP00000001110	ENSGACP00000012200
ENSTGUP00000004571	ENSGACP00000013135
ENSTGUP00000006667	ENSGACP00000008314
ENSTGUP00000012933	ENSGACP00000001169
ENSTGUP00000007985	ENSGACP00000019901
ENSTGUP00000008611	ENSGACP00000006180
ENSTGUP00000007185	ENSGACP00000022296
ENSTGUP00000013253	ENSGACP00000027231
ENSTGUP00000004693	ENSGACP00000024211
ENSTGUP00000005637	ENSGACP00000017006
ENSTGUP00000006029	ENSGACP00000004520
ENSTGUP00000013207	ENSGACP00000025338
ENSTGUP00000004068	ENSGACP00000017793
ENSTGUP00000017600	ENSGACP00000017329
ENSTGUP00000003897	ENSGACP00000023189
ENSTGUP00000002802	ENSGACP00000011177
ENSTGUP00000007590	ENSGACP00000023779
ENSTGUP00000005902	ENSGACP00000019973
ENSTGUP00000001096	ENSGACP00000020489
ENSTGUP00000006059	ENSGACP00000020897
ENSTGUP00000006333	ENSGACP00000005991
ENSTGUP00000001746	ENSGACP00000012191
ENSTGUP00000014629	ENSGACP00000008289
ENSTGUP00000003293	ENSGACP00000025880
ENSTGUP00000011493	ENSGACP00000024109
ENSTGUP00000007274	ENSGACP00000018128
ENSTGUP00000007274	ENSGACP00000002043
ENSTGUP00000008744	ENSGACP00000020799
ENSTGUP00000008505	ENSGACP00000024862
ENSTGUP00000008505	ENSGACP00000015504
ENSTGUP00000001843	ENSGACP00000006537
ENSTGUP00000001940	ENSGACP00000025821
ENSTGUP00000000885	ENSGACP00000024304
ENSTGUP00000005417	ENSGACP00000018840
ENSTGUP00000004208	ENSGACP00000005377
ENSTGUP00000005218	ENSGACP00000008045
ENSTGUP00000008396	ENSGACP00000012896
ENSTGUP00000011968	ENSGACP00000018088
ENSTGUP00000011012	ENSGACP00000021688
ENSTGUP00000016561	ENSGACP00000017445
ENSTGUP00000010160	ENSGACP00000009690
ENSTGUP00000010160	ENSGACP00000024244
ENSTGUP00000000465	ENSGACP00000004716
ENSTGUP00000000465	ENSGACP00000016729
ENSTGUP00000016558	ENSGACP00000017021
ENSTGUP00000016558	ENSGACP00000025619
ENSTGUP00000009507	ENSGACP00000025783
ENSTGUP00000000260	ENSGACP00000010233
ENSTGUP00000004987	ENSGACP00000025655
ENSTGUP00000001179	ENSGACP00000012509
ENSTGUP00000005215	ENSGACP00000018471
ENSTGUP00000009526	ENSGACP00000025784
ENSTGUP00000008536	ENSGACP00000017404
ENSTGUP00000010665	ENSGACP00000018165
ENSTGUP00000012587	ENSGACP00000018515
ENSTGUP00000013778	ENSGACP00000001839
ENSTGUP00000008095	ENSGACP00000019920
ENSTGUP00000010926	ENSGACP00000017503
ENSTGUP00000009826	ENSGACP00000019685
ENSTGUP00000001455	ENSGACP00000012970
ENSTGUP00000003086	ENSGACP00000013402
ENSTGUP00000012550	ENSGACP00000009954
ENSTGUP00000008364	ENSGACP00000018668
ENSTGUP00000008364	ENSGACP00000021805
ENSTGUP00000003030	ENSGACP00000004299
ENSTGUP00000003030	ENSGACP00000014369
ENSTGUP00000006119	ENSGACP00000006237
ENSTGUP00000000400	ENSGACP00000023831
ENSTGUP00000002033	ENSGACP00000006965
ENSTGUP00000011625	ENSGACP00000011463
ENSTGUP00000013317	ENSGACP00000018198
ENSTGUP00000013315	ENSGACP00000018201
ENSTGUP00000005070	ENSGACP00000027491
ENSTGUP00000001673	ENSGACP00000027317
ENSTGUP00000001673	ENSGACP00000024692
ENSTGUP00000006261	ENSGACP00000024629
ENSTGUP00000000843	ENSGACP00000004301
ENSTGUP00000011790	ENSGACP00000019479
ENSTGUP00000010615	ENSGACP00000019498
ENSTGUP00000013502	ENSGACP00000018636
ENSTGUP00000008707	ENSGACP00000018529
ENSTGUP00000001542	ENSGACP00000027515
ENSTGUP00000002542	ENSGACP00000024145
ENSTGUP00000007443	ENSGACP00000027346
ENSTGUP00000004560	ENSGACP00000009087
ENSTGUP00000004560	ENSGACP00000012574
ENSTGUP00000008574	ENSGACP00000020842
ENSTGUP00000010404	ENSGACP00000005505
ENSTGUP00000004290	ENSGACP00000024440
ENSTGUP00000005035	ENSGACP00000026276
ENSTGUP00000017505	ENSGACP00000015946
ENSTGUP00000004597	ENSGACP00000005037
ENSTGUP00000012101	ENSGACP00000013924
ENSTGUP00000012595	ENSGACP00000010599
ENSTGUP00000002488	ENSGACP00000000649
ENSTGUP00000009158	ENSGACP00000004652
ENSTGUP00000013420	ENSGACP00000011773
ENSTGUP00000013420	ENSGACP00000001902
ENSTGUP00000006279	ENSGACP00000020875
ENSTGUP00000006279	ENSGACP00000008119
ENSTGUP00000006670	ENSGACP00000016946
ENSTGUP00000014898	ENSGACP00000015043
ENSTGUP00000012346	ENSGACP00000005110
ENSTGUP00000016363	ENSGACP00000004505
ENSTGUP00000012338	ENSGACP00000005117
ENSTGUP00000002318	ENSGACP00000011266
ENSTGUP00000003640	ENSGACP00000010662
ENSTGUP00000006185	ENSGACP00000019727
ENSTGUP00000006185	ENSGACP00000002940
ENSTGUP00000001076	ENSGACP00000022320
ENSTGUP00000008048	ENSGACP00000011864
ENSTGUP00000010733	ENSGACP00000009673
ENSTGUP00000010106	ENSGACP00000021277
ENSTGUP00000005509	ENSGACP00000020609
ENSTGUP00000005802	ENSGACP00000011319
ENSTGUP00000000473	ENSGACP00000021496
ENSTGUP00000008908	ENSGACP00000014713
ENSTGUP00000013076	ENSGACP00000018767
ENSTGUP00000000866	ENSGACP00000001851
ENSTGUP00000011967	ENSGACP00000017272
ENSTGUP00000017812	ENSGACP00000007140
ENSTGUP00000011905	ENSGACP00000014491
ENSTGUP00000011852	ENSGACP00000003668
ENSTGUP00000011506	ENSGACP00000004396
ENSTGUP00000013249	ENSGACP00000006310
ENSTGUP00000017524	ENSGACP00000021189
ENSTGUP00000006202	ENSGACP00000020864
ENSTGUP00000013835	ENSGACP00000004308
ENSTGUP00000006275	ENSGACP00000005665
ENSTGUP00000010222	ENSGACP00000012078
ENSTGUP00000011440	ENSGACP00000019681
ENSTGUP00000001396	ENSGACP00000012185
ENSTGUP00000006262	ENSGACP00000025799
ENSTGUP00000010163	ENSGACP00000015027
ENSTGUP00000013862	ENSGACP00000027215
ENSTGUP00000009732	ENSGACP00000023573
ENSTGUP00000002324	ENSGACP00000004951
ENSTGUP00000002302	ENSGACP00000007960
ENSTGUP00000011908	ENSGACP00000003479
ENSTGUP00000011715	ENSGACP00000006344
ENSTGUP00000009982	ENSGACP00000022496
ENSTGUP00000008417	ENSGACP00000026186
ENSTGUP00000005558	ENSGACP00000005348
ENSTGUP00000009162	ENSGACP00000021898
ENSTGUP00000002649	ENSGACP00000001718
ENSTGUP00000013147	ENSGACP00000022705
ENSTGUP00000007161	ENSGACP00000005711
ENSTGUP00000013577	ENSGACP00000016377
ENSTGUP00000009636	ENSGACP00000020198
ENSTGUP00000005765	ENSGACP00000013276
ENSTGUP00000000358	ENSGACP00000013384
ENSTGUP00000001371	ENSGACP00000011576
ENSTGUP00000016950	ENSGACP00000015768
ENSTGUP00000012004	ENSGACP00000004506
ENSTGUP00000007935	ENSGACP00000012787
ENSTGUP00000005094	ENSGACP00000014465
ENSTGUP00000002853	ENSGACP00000011240
ENSTGUP00000007341	ENSGACP00000002795
ENSTGUP00000008402	ENSGACP00000004027
ENSTGUP00000011697	ENSGACP00000026277
ENSTGUP00000003895	ENSGACP00000011227
ENSTGUP00000011868	ENSGACP00000014608
ENSTGUP00000015977	ENSGACP00000015554
ENSTGUP00000012190	ENSGACP00000006116
ENSTGUP00000007029	ENSGACP00000004049
ENSTGUP00000003877	ENSGACP00000008028
ENSTGUP00000003877	ENSGACP00000009057
ENSTGUP00000003206	ENSGACP00000023901
ENSTGUP00000004491	ENSGACP00000021583
ENSTGUP00000006063	ENSGACP00000013045
ENSTGUP00000004908	ENSGACP00000016188
ENSTGUP00000004908	ENSGACP00000023247
ENSTGUP00000006179	ENSGACP00000025517
ENSTGUP00000015213	ENSGACP00000015793
ENSTGUP00000007905	ENSGACP00000016650
ENSTGUP00000003173	ENSGACP00000021837
ENSTGUP00000000521	ENSGACP00000024331
ENSTGUP00000013628	ENSGACP00000013671
ENSTGUP00000013628	ENSGACP00000002565
ENSTGUP00000000301	ENSGACP00000024214
ENSTGUP00000014018	ENSGACP00000026558
ENSTGUP00000014018	ENSGACP00000013855
ENSTGUP00000011067	ENSGACP00000004675
ENSTGUP00000013674	ENSGACP00000012315
ENSTGUP00000013851	ENSGACP00000027370
ENSTGUP00000007894	ENSGACP00000027344
ENSTGUP00000007894	ENSGACP00000016919
ENSTGUP00000003848	ENSGACP00000004820
ENSTGUP00000003848	ENSGACP00000008108
ENSTGUP00000012039	ENSGACP00000005284
ENSTGUP00000008426	ENSGACP00000017040
ENSTGUP00000006452	ENSGACP00000018082
ENSTGUP00000006452	ENSGACP00000026828
ENSTGUP00000005099	ENSGACP00000011943
ENSTGUP00000008385	ENSGACP00000018502
ENSTGUP00000008385	ENSGACP00000017683
ENSTGUP00000012552	ENSGACP00000010404
ENSTGUP00000015679	ENSGACP00000021790
ENSTGUP00000004044	ENSGACP00000023120
ENSTGUP00000016739	ENSGACP00000012072
ENSTGUP00000013017	ENSGACP00000015623
ENSTGUP00000010060	ENSGACP00000001925
ENSTGUP00000006766	ENSGACP00000023095
ENSTGUP00000007874	ENSGACP00000009306
ENSTGUP00000002807	ENSGACP00000011195
ENSTGUP00000015509	ENSGACP00000012169
ENSTGUP00000000324	ENSGACP00000016710
ENSTGUP00000013150	ENSGACP00000007461
ENSTGUP00000015065	ENSGACP00000014562
ENSTGUP00000015065	ENSGACP00000012791
ENSTGUP00000007888	ENSGACP00000010469
ENSTGUP00000002680	ENSGACP00000014777
ENSTGUP00000015955	ENSGACP00000020101
ENSTGUP00000015955	ENSGACP00000011272
ENSTGUP00000017382	ENSGACP00000010397
ENSTGUP00000007023	ENSGACP00000021892
ENSTGUP00000000170	ENSGACP00000011635
ENSTGUP00000012068	ENSGACP00000027165
ENSTGUP00000001109	ENSGACP00000022321
ENSTGUP00000013015	ENSGACP00000015599
ENSTGUP00000013015	ENSGACP00000009111
ENSTGUP00000014043	ENSGACP00000003655
ENSTGUP00000003218	ENSGACP00000027443
ENSTGUP00000002268	ENSGACP00000017339
ENSTGUP00000007005	ENSGACP00000002082
ENSTGUP00000003837	ENSGACP00000022721
ENSTGUP00000009245	ENSGACP00000003871
ENSTGUP00000008989	ENSGACP00000016053
ENSTGUP00000005751	ENSGACP00000018866
ENSTGUP00000001297	ENSGACP00000011222
ENSTGUP00000013498	ENSGACP00000006296
ENSTGUP00000003670	ENSGACP00000000094
ENSTGUP00000003670	ENSGACP00000002078
ENSTGUP00000004595	ENSGACP00000027458
ENSTGUP00000006197	ENSGACP00000015698
ENSTGUP00000009910	ENSGACP00000007562
ENSTGUP00000009409	ENSGACP00000020765
ENSTGUP00000003639	ENSGACP00000010655
ENSTGUP00000003991	ENSGACP00000002882
ENSTGUP00000006318	ENSGACP00000020581
ENSTGUP00000011220	ENSGACP00000013745
ENSTGUP00000011215	ENSGACP00000017432
ENSTGUP00000015604	ENSGACP00000011109
ENSTGUP00000015604	ENSGACP00000022664
ENSTGUP00000005535	ENSGACP00000027493
ENSTGUP00000005535	ENSGACP00000013219
ENSTGUP00000007539	ENSGACP00000015861
ENSTGUP00000013875	ENSGACP00000010877
ENSTGUP00000009416	ENSGACP00000025518
ENSTGUP00000006019	ENSGACP00000023167
ENSTGUP00000008253	ENSGACP00000010597
ENSTGUP00000008253	ENSGACP00000010030
ENSTGUP00000009212	ENSGACP00000018698
ENSTGUP00000008234	ENSGACP00000001112
ENSTGUP00000006404	ENSGACP00000006168
ENSTGUP00000002071	ENSGACP00000017818
ENSTGUP00000007688	ENSGACP00000027380
ENSTGUP00000003046	ENSGACP00000021416
ENSTGUP00000005783	ENSGACP00000005434
ENSTGUP00000005783	ENSGACP00000024965
ENSTGUP00000010770	ENSGACP00000026245
ENSTGUP00000009781	ENSGACP00000002687
ENSTGUP00000010932	ENSGACP00000003850
ENSTGUP00000006048	ENSGACP00000025366
ENSTGUP00000012392	ENSGACP00000008597
ENSTGUP00000000619	ENSGACP00000022364
ENSTGUP00000000481	ENSGACP00000001393
ENSTGUP00000000481	ENSGACP00000024160
ENSTGUP00000004231	ENSGACP00000018447
ENSTGUP00000001582	ENSGACP00000006446
ENSTGUP00000010557	ENSGACP00000007859
ENSTGUP00000007343	ENSGACP00000014404
ENSTGUP00000000199	ENSGACP00000018947
ENSTGUP00000011195	ENSGACP00000008704
ENSTGUP00000001212	ENSGACP00000018027
ENSTGUP00000002758	ENSGACP00000024206
ENSTGUP00000006030	ENSGACP00000002720
ENSTGUP00000006401	ENSGACP00000020893
ENSTGUP00000001047	ENSGACP00000010818
ENSTGUP00000011240	ENSGACP00000023745
ENSTGUP00000007781	ENSGACP00000010328
ENSTGUP00000010103	ENSGACP00000020336
ENSTGUP00000011542	ENSGACP00000001358
ENSTGUP00000013074	ENSGACP00000004917
ENSTGUP00000007701	ENSGACP00000007066
ENSTGUP00000011547	ENSGACP00000014802
ENSTGUP00000006975	ENSGACP00000005321
ENSTGUP00000012910	ENSGACP00000012187
ENSTGUP00000004065	ENSGACP00000019667
ENSTGUP00000005495	ENSGACP00000019165
ENSTGUP00000009398	ENSGACP00000012584
ENSTGUP00000005527	ENSGACP00000018732
ENSTGUP00000012632	ENSGACP00000026296
ENSTGUP00000006453	ENSGACP00000018431
ENSTGUP00000009366	ENSGACP00000012707
ENSTGUP00000009366	ENSGACP00000015263
ENSTGUP00000010972	ENSGACP00000012379
ENSTGUP00000002150	ENSGACP00000012188
ENSTGUP00000011504	ENSGACP00000010619
ENSTGUP00000011504	ENSGACP00000018121
ENSTGUP00000003461	ENSGACP00000016299
ENSTGUP00000003461	ENSGACP00000004211
ENSTGUP00000014172	ENSGACP00000012012
ENSTGUP00000007057	ENSGACP00000017779
ENSTGUP00000007057	ENSGACP00000025405
ENSTGUP00000004598	ENSGACP00000011443
ENSTGUP00000007924	ENSGACP00000003149
ENSTGUP00000007924	ENSGACP00000011262
ENSTGUP00000010762	ENSGACP00000012243
ENSTGUP00000012388	ENSGACP00000008587
ENSTGUP00000007273	ENSGACP00000021950
ENSTGUP00000008132	ENSGACP00000020385
ENSTGUP00000009825	ENSGACP00000019230
ENSTGUP00000009825	ENSGACP00000010263
ENSTGUP00000003045	ENSGACP00000024638
ENSTGUP00000001198	ENSGACP00000017721
ENSTGUP00000001198	ENSGACP00000007057
ENSTGUP00000007248	ENSGACP00000021835
ENSTGUP00000000267	ENSGACP00000016287
ENSTGUP00000000844	ENSGACP00000015204
ENSTGUP00000000844	ENSGACP00000023797
ENSTGUP00000010764	ENSGACP00000021233
ENSTGUP00000005869	ENSGACP00000014881
ENSTGUP00000004945	ENSGACP00000007992
ENSTGUP00000010321	ENSGACP00000014323
ENSTGUP00000010321	ENSGACP00000021759
ENSTGUP00000008330	ENSGACP00000018695
ENSTGUP00000005623	ENSGACP00000024140
ENSTGUP00000011396	ENSGACP00000021335
ENSTGUP00000004349	ENSGACP00000015037
ENSTGUP00000004349	ENSGACP00000024002
ENSTGUP00000011996	ENSGACP00000012570
ENSTGUP00000013981	ENSGACP00000027247
ENSTGUP00000013594	ENSGACP00000021404
ENSTGUP00000012060	ENSGACP00000017347
ENSTGUP00000010288	ENSGACP00000001472
ENSTGUP00000010288	ENSGACP00000022016
ENSTGUP00000003846	ENSGACP00000010024
ENSTGUP00000010180	ENSGACP00000009756
ENSTGUP00000010064	ENSGACP00000021984
ENSTGUP00000010064	ENSGACP00000022508
ENSTGUP00000011713	ENSGACP00000016048
ENSTGUP00000004299	ENSGACP00000000469
ENSTGUP00000009489	ENSGACP00000026065
ENSTGUP00000009489	ENSGACP00000011907
ENSTGUP00000003237	ENSGACP00000005850
ENSTGUP00000001301	ENSGACP00000008874
ENSTGUP00000001301	ENSGACP00000012223
ENSTGUP00000013520	ENSGACP00000011088
ENSTGUP00000009710	ENSGACP00000011789
ENSTGUP00000015636	ENSGACP00000020933
ENSTGUP00000005661	ENSGACP00000019132
ENSTGUP00000012489	ENSGACP00000007775
ENSTGUP00000012489	ENSGACP00000017080
ENSTGUP00000008887	ENSGACP00000022032
ENSTGUP00000008887	ENSGACP00000022620
ENSTGUP00000012916	ENSGACP00000002384
ENSTGUP00000012916	ENSGACP00000020273
ENSTGUP00000012239	ENSGACP00000026384
ENSTGUP00000006238	ENSGACP00000018828
ENSTGUP00000006238	ENSGACP00000017695
ENSTGUP00000012854	ENSGACP00000008818
ENSTGUP00000012854	ENSGACP00000012656
ENSTGUP00000010248	ENSGACP00000011083
ENSTGUP00000000343	ENSGACP00000027389
ENSTGUP00000006263	ENSGACP00000022089
ENSTGUP00000005660	ENSGACP00000013240
ENSTGUP00000005660	ENSGACP00000020064
ENSTGUP00000009904	ENSGACP00000006076
ENSTGUP00000009904	ENSGACP00000006810
ENSTGUP00000011112	ENSGACP00000015311
ENSTGUP00000000527	ENSGACP00000024334
ENSTGUP00000006429	ENSGACP00000020894
ENSTGUP00000017676	ENSGACP00000016044
ENSTGUP00000017676	ENSGACP00000005908
ENSTGUP00000004882	ENSGACP00000021537
ENSTGUP00000009395	ENSGACP00000007396
ENSTGUP00000000779	ENSGACP00000022257
ENSTGUP00000013643	ENSGACP00000013076
ENSTGUP00000016533	ENSGACP00000024014
ENSTGUP00000002593	ENSGACP00000021460
ENSTGUP00000007510	ENSGACP00000022179
ENSTGUP00000010886	ENSGACP00000008063
ENSTGUP00000012726	ENSGACP00000002739
ENSTGUP00000011797	ENSGACP00000003395
ENSTGUP00000011797	ENSGACP00000012786
ENSTGUP00000012208	ENSGACP00000012792
ENSTGUP00000008370	ENSGACP00000012881
ENSTGUP00000008370	ENSGACP00000020693
ENSTGUP00000001797	ENSGACP00000011027
ENSTGUP00000012459	ENSGACP00000004699
ENSTGUP00000000819	ENSGACP00000026674
ENSTGUP00000001949	ENSGACP00000025819
ENSTGUP00000010076	ENSGACP00000022009
ENSTGUP00000009105	ENSGACP00000018770
ENSTGUP00000011010	ENSGACP00000015331
ENSTGUP00000006496	ENSGACP00000020739
ENSTGUP00000006496	ENSGACP00000005829
ENSTGUP00000001276	ENSGACP00000008835
ENSTGUP00000001276	ENSGACP00000011245
ENSTGUP00000013578	ENSGACP00000016371
ENSTGUP00000009950	ENSGACP00000021541
ENSTGUP00000010317	ENSGACP00000019977
ENSTGUP00000009183	ENSGACP00000020283
ENSTGUP00000008150	ENSGACP00000025479
ENSTGUP00000005385	ENSGACP00000011834
ENSTGUP00000004889	ENSGACP00000015024
ENSTGUP00000012908	ENSGACP00000020865
ENSTGUP00000004428	ENSGACP00000006184
ENSTGUP00000003539	ENSGACP00000022746
ENSTGUP00000003539	ENSGACP00000015810
ENSTGUP00000014088	ENSGACP00000026246
ENSTGUP00000000605	ENSGACP00000019224
ENSTGUP00000008231	ENSGACP00000006772
ENSTGUP00000001860	ENSGACP00000025940
ENSTGUP00000008090	ENSGACP00000025488
ENSTGUP00000008090	ENSGACP00000016822
ENSTGUP00000012253	ENSGACP00000012051
ENSTGUP00000007138	ENSGACP00000005127
ENSTGUP00000007138	ENSGACP00000013360
ENSTGUP00000007064	ENSGACP00000001415
ENSTGUP00000017766	ENSGACP00000000440
ENSTGUP00000003180	ENSGACP00000013318
ENSTGUP00000003180	ENSGACP00000000643
ENSTGUP00000010397	ENSGACP00000018843
ENSTGUP00000006973	ENSGACP00000003569
ENSTGUP00000013072	ENSGACP00000008138
ENSTGUP00000003626	ENSGACP00000000780
ENSTGUP00000003626	ENSGACP00000014130
ENSTGUP00000002013	ENSGACP00000012921
ENSTGUP00000010632	ENSGACP00000009438
ENSTGUP00000004330	ENSGACP00000024457
ENSTGUP00000004330	ENSGACP00000015460
ENSTGUP00000012944	ENSGACP00000006900
ENSTGUP00000006183	ENSGACP00000011379
ENSTGUP00000006183	ENSGACP00000027076
ENSTGUP00000003512	ENSGACP00000012659
ENSTGUP00000010543	ENSGACP00000005718
ENSTGUP00000012635	ENSGACP00000005254
ENSTGUP00000012845	ENSGACP00000012588
ENSTGUP00000014029	ENSGACP00000003618
ENSTGUP00000014029	ENSGACP00000020341
ENSTGUP00000011755	ENSGACP00000017899
ENSTGUP00000011755	ENSGACP00000000852
ENSTGUP00000005251	ENSGACP00000021104
ENSTGUP00000005251	ENSGACP00000004378
ENSTGUP00000009863	ENSGACP00000008899
ENSTGUP00000005526	ENSGACP00000019750
ENSTGUP00000005526	ENSGACP00000025341
ENSTGUP00000005821	ENSGACP00000005402
ENSTGUP00000005821	ENSGACP00000014294
ENSTGUP00000001261	ENSGACP00000003475
ENSTGUP00000006144	ENSGACP00000007106
ENSTGUP00000007706	ENSGACP00000018898
ENSTGUP00000012154	ENSGACP00000013756
ENSTGUP00000012154	ENSGACP00000007473
ENSTGUP00000004240	ENSGACP00000012849
ENSTGUP00000004240	ENSGACP00000006054
ENSTGUP00000000564	ENSGACP00000015080
ENSTGUP00000001963	ENSGACP00000019283
ENSTGUP00000007002	ENSGACP00000015607
ENSTGUP00000016625	ENSGACP00000002462
ENSTGUP00000016625	ENSGACP00000012868
ENSTGUP00000006414	ENSGACP00000017642
ENSTGUP00000006414	ENSGACP00000026757
ENSTGUP00000010415	ENSGACP00000018233
ENSTGUP00000010519	ENSGACP00000019162
ENSTGUP00000010519	ENSGACP00000021302
ENSTGUP00000000518	ENSGACP00000008904
ENSTGUP00000000728	ENSGACP00000005172
ENSTGUP00000008129	ENSGACP00000018521
ENSTGUP00000008129	ENSGACP00000000329
ENSTGUP00000009534	ENSGACP00000004459
ENSTGUP00000002389	ENSGACP00000016861
ENSTGUP00000011344	ENSGACP00000015529
ENSTGUP00000001230	ENSGACP00000009913
ENSTGUP00000001230	ENSGACP00000009922
ENSTGUP00000004209	ENSGACP00000015006
ENSTGUP00000005750	ENSGACP00000026873
ENSTGUP00000011813	ENSGACP00000003151
ENSTGUP00000001254	ENSGACP00000003468
ENSTGUP00000008614	ENSGACP00000008642
ENSTGUP00000010853	ENSGACP00000022802
ENSTGUP00000005210	ENSGACP00000022217
ENSTGUP00000007365	ENSGACP00000022128
ENSTGUP00000000966	ENSGACP00000013576
ENSTGUP00000010165	ENSGACP00000024241
ENSTGUP00000010165	ENSGACP00000009705
ENSTGUP00000014658	ENSGACP00000014367
ENSTGUP00000007321	ENSGACP00000000467
ENSTGUP00000002563	ENSGACP00000017651
ENSTGUP00000000164	ENSGACP00000006256
ENSTGUP00000001135	ENSGACP00000002204
ENSTGUP00000001226	ENSGACP00000003243
ENSTGUP00000000468	ENSGACP00000016726
ENSTGUP00000008386	ENSGACP00000017170
ENSTGUP00000008386	ENSGACP00000006661
ENSTGUP00000006904	ENSGACP00000015734
ENSTGUP00000010585	ENSGACP00000019268
ENSTGUP00000009782	ENSGACP00000020367
ENSTGUP00000006832	ENSGACP00000021813
ENSTGUP00000012590	ENSGACP00000012430
ENSTGUP00000001060	ENSGACP00000010372
ENSTGUP00000001060	ENSGACP00000018348
ENSTGUP00000011911	ENSGACP00000003604
ENSTGUP00000009964	ENSGACP00000012380
ENSTGUP00000013443	ENSGACP00000017213
ENSTGUP00000005820	ENSGACP00000009412
ENSTGUP00000011456	ENSGACP00000019707
ENSTGUP00000000404	ENSGACP00000014058
ENSTGUP00000010555	ENSGACP00000019776
ENSTGUP00000010555	ENSGACP00000003866
ENSTGUP00000002453	ENSGACP00000022795
ENSTGUP00000011211	ENSGACP00000003454
ENSTGUP00000009059	ENSGACP00000012526
ENSTGUP00000005887	ENSGACP00000013294
ENSTGUP00000011765	ENSGACP00000016408
ENSTGUP00000005091	ENSGACP00000018537
ENSTGUP00000000099	ENSGACP00000011885
ENSTGUP00000008127	ENSGACP00000026833
ENSTGUP00000008127	ENSGACP00000017916
ENSTGUP00000009439	ENSGACP00000005391
ENSTGUP00000008532	ENSGACP00000013887
ENSTGUP00000012580	ENSGACP00000012412
ENSTGUP00000006568	ENSGACP00000021844
ENSTGUP00000010772	ENSGACP00000026606
ENSTGUP00000002822	ENSGACP00000024915
ENSTGUP00000009125	ENSGACP00000005537
ENSTGUP00000005974	ENSGACP00000024116
ENSTGUP00000008436	ENSGACP00000014052
ENSTGUP00000008436	ENSGACP00000025413
ENSTGUP00000004008	ENSGACP00000021207
ENSTGUP00000013032	ENSGACP00000005247
ENSTGUP00000011134	ENSGACP00000002728
ENSTGUP00000011872	ENSGACP00000016313
ENSTGUP00000003418	ENSGACP00000009797
ENSTGUP00000005399	ENSGACP00000019213
ENSTGUP00000007843	ENSGACP00000021990
ENSTGUP00000013548	ENSGACP00000012762
ENSTGUP00000000824	ENSGACP00000007558
ENSTGUP00000000608	ENSGACP00000020269
ENSTGUP00000002834	ENSGACP00000013155
ENSTGUP00000011478	ENSGACP00000009134
ENSTGUP00000012858	ENSGACP00000002443
ENSTGUP00000012858	ENSGACP00000013063
ENSTGUP00000008612	ENSGACP00000009953
ENSTGUP00000005573	ENSGACP00000007536
ENSTGUP00000012527	ENSGACP00000019652
ENSTGUP00000013775	ENSGACP00000004754
ENSTGUP00000003302	ENSGACP00000017211
ENSTGUP00000012583	ENSGACP00000014008
ENSTGUP00000012306	ENSGACP00000015401
ENSTGUP00000012306	ENSGACP00000027192
ENSTGUP00000013749	ENSGACP00000010916
ENSTGUP00000016119	ENSGACP00000004339
ENSTGUP00000016119	ENSGACP00000014321
ENSTGUP00000014828	ENSGACP00000001487
ENSTGUP00000015569	ENSGACP00000008274
ENSTGUP00000006357	ENSGACP00000005721
ENSTGUP00000012493	ENSGACP00000025233
ENSTGUP00000008216	ENSGACP00000020716
ENSTGUP00000012597	ENSGACP00000024858
ENSTGUP00000012597	ENSGACP00000015446
ENSTGUP00000010168	ENSGACP00000015014
ENSTGUP00000010168	ENSGACP00000023291
ENSTGUP00000015555	ENSGACP00000001821
ENSTGUP00000013275	ENSGACP00000010583
ENSTGUP00000013275	ENSGACP00000018228
ENSTGUP00000003915	ENSGACP00000023181
ENSTGUP00000004705	ENSGACP00000011516
ENSTGUP00000004705	ENSGACP00000003061
ENSTGUP00000001133	ENSGACP00000017864
ENSTGUP00000005280	ENSGACP00000016076
ENSTGUP00000012468	ENSGACP00000016724
ENSTGUP00000012468	ENSGACP00000010307
ENSTGUP00000012696	ENSGACP00000009112
ENSTGUP00000013539	ENSGACP00000012807
ENSTGUP00000012351	ENSGACP00000004571
