ENSDARP00000074624	ENSMODP00000016222
ENSDARP00000052365	ENSMODP00000015233
ENSDARP00000112432	ENSMODP00000013188
ENSDARP00000024947	ENSMODP00000018821
ENSDARP00000046217	ENSMODP00000018821
ENSDARP00000067933	ENSMODP00000010847
ENSDARP00000101844	ENSMODP00000010341
ENSDARP00000034038	ENSMODP00000020125
ENSDARP00000095538	ENSMODP00000019344
ENSDARP00000042099	ENSMODP00000034155
ENSDARP00000034858	ENSMODP00000034155
ENSDARP00000111484	ENSMODP00000025486
ENSDARP00000067540	ENSMODP00000025486
ENSDARP00000008510	ENSMODP00000009701
ENSDARP00000115181	ENSMODP00000030251
ENSDARP00000061036	ENSMODP00000021469
ENSDARP00000071406	ENSMODP00000023550
ENSDARP00000023845	ENSMODP00000020056
ENSDARP00000107652	ENSMODP00000020056
ENSDARP00000057971	ENSMODP00000001145
ENSDARP00000023098	ENSMODP00000018020
ENSDARP00000058661	ENSMODP00000004384
ENSDARP00000079802	ENSMODP00000026009
ENSDARP00000120305	ENSMODP00000026009
ENSDARP00000082836	ENSMODP00000027349
ENSDARP00000118154	ENSMODP00000014557
ENSDARP00000067130	ENSMODP00000011339
ENSDARP00000109755	ENSMODP00000023115
ENSDARP00000077740	ENSMODP00000003743
ENSDARP00000049464	ENSMODP00000026955
ENSDARP00000100679	ENSMODP00000020434
ENSDARP00000085375	ENSMODP00000000944
ENSDARP00000070155	ENSMODP00000032676
ENSDARP00000121575	ENSMODP00000009813
ENSDARP00000114970	ENSMODP00000009933
ENSDARP00000094033	ENSMODP00000033980
ENSDARP00000073572	ENSMODP00000012354
ENSDARP00000124594	ENSMODP00000002565
ENSDARP00000101759	ENSMODP00000002565
ENSDARP00000043428	ENSMODP00000020280
ENSDARP00000089852	ENSMODP00000008619
ENSDARP00000075936	ENSMODP00000008619
ENSDARP00000048613	ENSMODP00000005464
ENSDARP00000077277	ENSMODP00000005464
ENSDARP00000118703	ENSMODP00000025778
ENSDARP00000125103	ENSMODP00000025778
ENSDARP00000103191	ENSMODP00000001039
ENSDARP00000072885	ENSMODP00000015401
ENSDARP00000099567	ENSMODP00000018053
ENSDARP00000097750	ENSMODP00000003470
ENSDARP00000070393	ENSMODP00000012022
ENSDARP00000089792	ENSMODP00000003356
ENSDARP00000003459	ENSMODP00000011738
ENSDARP00000050527	ENSMODP00000018820
ENSDARP00000073055	ENSMODP00000018820
ENSDARP00000100708	ENSMODP00000024477
ENSDARP00000108179	ENSMODP00000038322
ENSDARP00000103850	ENSMODP00000030082
ENSDARP00000072664	ENSMODP00000021354
ENSDARP00000089068	ENSMODP00000034131
ENSDARP00000107643	ENSMODP00000017409
ENSDARP00000057421	ENSMODP00000017409
ENSDARP00000021266	ENSMODP00000001778
ENSDARP00000099485	ENSMODP00000006007
ENSDARP00000128445	ENSMODP00000038040
ENSDARP00000127385	ENSMODP00000038040
ENSDARP00000126876	ENSMODP00000010172
ENSDARP00000079958	ENSMODP00000003064
ENSDARP00000085613	ENSMODP00000003064
ENSDARP00000128910	ENSMODP00000027239
ENSDARP00000122562	ENSMODP00000027239
ENSDARP00000098656	ENSMODP00000017220
ENSDARP00000010990	ENSMODP00000011818
ENSDARP00000076483	ENSMODP00000035890
ENSDARP00000096012	ENSMODP00000005986
ENSDARP00000065032	ENSMODP00000005986
ENSDARP00000028958	ENSMODP00000002334
ENSDARP00000045658	ENSMODP00000012158
ENSDARP00000074466	ENSMODP00000011779
ENSDARP00000121481	ENSMODP00000011779
ENSDARP00000037677	ENSMODP00000002275
ENSDARP00000100688	ENSMODP00000009126
ENSDARP00000040333	ENSMODP00000002600
ENSDARP00000059343	ENSMODP00000006925
ENSDARP00000050302	ENSMODP00000023154
ENSDARP00000109627	ENSMODP00000009691
ENSDARP00000057501	ENSMODP00000001148
ENSDARP00000003481	ENSMODP00000003121
ENSDARP00000077802	ENSMODP00000032776
ENSDARP00000028345	ENSMODP00000021504
ENSDARP00000065082	ENSMODP00000017677
ENSDARP00000110639	ENSMODP00000021594
ENSDARP00000124776	ENSMODP00000004536
ENSDARP00000058502	ENSMODP00000004536
ENSDARP00000086420	ENSMODP00000026635
ENSDARP00000102401	ENSMODP00000020364
ENSDARP00000110866	ENSMODP00000001657
ENSDARP00000000618	ENSMODP00000022572
ENSDARP00000084183	ENSMODP00000041088
ENSDARP00000080722	ENSMODP00000041088
ENSDARP00000096817	ENSMODP00000012818
ENSDARP00000127379	ENSMODP00000036499
ENSDARP00000055510	ENSMODP00000002162
ENSDARP00000105911	ENSMODP00000007706
ENSDARP00000094406	ENSMODP00000019151
ENSDARP00000062291	ENSMODP00000011885
ENSDARP00000102117	ENSMODP00000020305
ENSDARP00000045947	ENSMODP00000029006
ENSDARP00000109040	ENSMODP00000036139
ENSDARP00000053508	ENSMODP00000024282
ENSDARP00000107088	ENSMODP00000011356
ENSDARP00000042754	ENSMODP00000005643
ENSDARP00000093644	ENSMODP00000002270
ENSDARP00000100886	ENSMODP00000002561
ENSDARP00000100747	ENSMODP00000002561
ENSDARP00000100545	ENSMODP00000005927
ENSDARP00000032054	ENSMODP00000024027
ENSDARP00000056279	ENSMODP00000008095
ENSDARP00000029635	ENSMODP00000008095
ENSDARP00000027919	ENSMODP00000024313
ENSDARP00000079570	ENSMODP00000021801
ENSDARP00000103729	ENSMODP00000024609
ENSDARP00000110330	ENSMODP00000024173
ENSDARP00000111022	ENSMODP00000028249
ENSDARP00000069555	ENSMODP00000022136
ENSDARP00000093211	ENSMODP00000003242
ENSDARP00000050602	ENSMODP00000025773
ENSDARP00000116080	ENSMODP00000036015
ENSDARP00000114236	ENSMODP00000005304
ENSDARP00000015024	ENSMODP00000020382
ENSDARP00000112509	ENSMODP00000013602
ENSDARP00000016210	ENSMODP00000007792
ENSDARP00000101097	ENSMODP00000015990
ENSDARP00000128780	ENSMODP00000002562
ENSDARP00000088447	ENSMODP00000010334
ENSDARP00000102225	ENSMODP00000021643
ENSDARP00000098126	ENSMODP00000002723
ENSDARP00000099487	ENSMODP00000003570
ENSDARP00000093187	ENSMODP00000023866
ENSDARP00000055339	ENSMODP00000002300
ENSDARP00000099212	ENSMODP00000036542
ENSDARP00000025776	ENSMODP00000020972
ENSDARP00000023792	ENSMODP00000026388
ENSDARP00000045808	ENSMODP00000014831
ENSDARP00000000005	ENSMODP00000022588
ENSDARP00000040034	ENSMODP00000022588
ENSDARP00000040537	ENSMODP00000013307
ENSDARP00000107582	ENSMODP00000013307
ENSDARP00000099313	ENSMODP00000028789
ENSDARP00000109004	ENSMODP00000033491
ENSDARP00000122431	ENSMODP00000033491
ENSDARP00000016733	ENSMODP00000019616
ENSDARP00000114828	ENSMODP00000019188
ENSDARP00000112412	ENSMODP00000019188
ENSDARP00000014106	ENSMODP00000005475
ENSDARP00000093111	ENSMODP00000009994
ENSDARP00000020522	ENSMODP00000022371
ENSDARP00000089001	ENSMODP00000003194
ENSDARP00000127037	ENSMODP00000011041
ENSDARP00000122887	ENSMODP00000011039
ENSDARP00000092857	ENSMODP00000012196
ENSDARP00000107378	ENSMODP00000003656
ENSDARP00000129564	ENSMODP00000013054
ENSDARP00000116133	ENSMODP00000013054
ENSDARP00000114217	ENSMODP00000035379
ENSDARP00000092205	ENSMODP00000005922
ENSDARP00000013643	ENSMODP00000004736
ENSDARP00000109017	ENSMODP00000004736
ENSDARP00000098991	ENSMODP00000000452
ENSDARP00000063174	ENSMODP00000000452
ENSDARP00000118341	ENSMODP00000018859
ENSDARP00000076235	ENSMODP00000018859
ENSDARP00000003485	ENSMODP00000000469
ENSDARP00000119527	ENSMODP00000001220
ENSDARP00000067853	ENSMODP00000028908
ENSDARP00000093501	ENSMODP00000028908
ENSDARP00000112471	ENSMODP00000002563
ENSDARP00000104134	ENSMODP00000035688
ENSDARP00000080111	ENSMODP00000023213
ENSDARP00000080110	ENSMODP00000023213
ENSDARP00000102111	ENSMODP00000023428
ENSDARP00000075341	ENSMODP00000023428
ENSDARP00000055563	ENSMODP00000000249
ENSDARP00000080391	ENSMODP00000000479
ENSDARP00000105604	ENSMODP00000026397
ENSDARP00000084002	ENSMODP00000016123
ENSDARP00000078392	ENSMODP00000016123
ENSDARP00000118745	ENSMODP00000021880
ENSDARP00000093418	ENSMODP00000021880
ENSDARP00000077150	ENSMODP00000018797
ENSDARP00000076047	ENSMODP00000023334
ENSDARP00000076200	ENSMODP00000023334
ENSDARP00000047088	ENSMODP00000017975
ENSDARP00000106742	ENSMODP00000017975
ENSDARP00000109320	ENSMODP00000021307
ENSDARP00000120661	ENSMODP00000021307
ENSDARP00000105074	ENSMODP00000012044
ENSDARP00000122490	ENSMODP00000030207
ENSDARP00000065806	ENSMODP00000019613
ENSDARP00000060934	ENSMODP00000024010
ENSDARP00000101753	ENSMODP00000019109
ENSDARP00000107016	ENSMODP00000010652
ENSDARP00000124191	ENSMODP00000008555
ENSDARP00000089270	ENSMODP00000023830
ENSDARP00000081987	ENSMODP00000010813
ENSDARP00000103209	ENSMODP00000013424
ENSDARP00000110364	ENSMODP00000016279
ENSDARP00000053840	ENSMODP00000016279
ENSDARP00000042516	ENSMODP00000013384
ENSDARP00000071653	ENSMODP00000013384
ENSDARP00000015974	ENSMODP00000004565
ENSDARP00000087679	ENSMODP00000028423
ENSDARP00000074579	ENSMODP00000004558
ENSDARP00000103821	ENSMODP00000012942
ENSDARP00000103920	ENSMODP00000011716
ENSDARP00000023907	ENSMODP00000013466
ENSDARP00000007948	ENSMODP00000016015
ENSDARP00000066788	ENSMODP00000041197
ENSDARP00000124963	ENSMODP00000000437
ENSDARP00000043700	ENSMODP00000000437
ENSDARP00000123809	ENSMODP00000022719
ENSDARP00000096167	ENSMODP00000026322
ENSDARP00000069236	ENSMODP00000017431
ENSDARP00000105066	ENSMODP00000013715
ENSDARP00000106770	ENSMODP00000013715
ENSDARP00000036969	ENSMODP00000002105
ENSDARP00000072289	ENSMODP00000007274
ENSDARP00000114768	ENSMODP00000002115
ENSDARP00000110288	ENSMODP00000002115
ENSDARP00000104974	ENSMODP00000008475
ENSDARP00000032748	ENSMODP00000002379
ENSDARP00000075883	ENSMODP00000026022
ENSDARP00000025514	ENSMODP00000022909
ENSDARP00000105420	ENSMODP00000021212
ENSDARP00000102589	ENSMODP00000017819
ENSDARP00000108298	ENSMODP00000025593
ENSDARP00000089498	ENSMODP00000025593
ENSDARP00000059731	ENSMODP00000024318
ENSDARP00000066371	ENSMODP00000014146
ENSDARP00000119345	ENSMODP00000005376
ENSDARP00000048437	ENSMODP00000020621
ENSDARP00000109366	ENSMODP00000016034
ENSDARP00000107614	ENSMODP00000020966
ENSDARP00000107835	ENSMODP00000022491
ENSDARP00000094300	ENSMODP00000022004
ENSDARP00000011307	ENSMODP00000022004
ENSDARP00000115010	ENSMODP00000021415
ENSDARP00000017195	ENSMODP00000021415
ENSDARP00000026470	ENSMODP00000021822
ENSDARP00000094918	ENSMODP00000021414
ENSDARP00000006882	ENSMODP00000005123
ENSDARP00000088981	ENSMODP00000021523
ENSDARP00000104727	ENSMODP00000013320
ENSDARP00000103388	ENSMODP00000013320
ENSDARP00000128495	ENSMODP00000015379
ENSDARP00000129239	ENSMODP00000022037
ENSDARP00000123551	ENSMODP00000022037
ENSDARP00000086285	ENSMODP00000030807
ENSDARP00000113718	ENSMODP00000016719
ENSDARP00000066923	ENSMODP00000040791
ENSDARP00000109057	ENSMODP00000025787
ENSDARP00000085589	ENSMODP00000028759
ENSDARP00000053533	ENSMODP00000021852
ENSDARP00000080685	ENSMODP00000024163
ENSDARP00000095560	ENSMODP00000022841
ENSDARP00000005233	ENSMODP00000022841
ENSDARP00000087373	ENSMODP00000021988
ENSDARP00000093160	ENSMODP00000013582
ENSDARP00000127233	ENSMODP00000022436
ENSDARP00000081388	ENSMODP00000000187
ENSDARP00000070190	ENSMODP00000013530
ENSDARP00000102765	ENSMODP00000039129
ENSDARP00000108041	ENSMODP00000037855
ENSDARP00000048854	ENSMODP00000037855
ENSDARP00000084492	ENSMODP00000011440
ENSDARP00000100524	ENSMODP00000011440
ENSDARP00000116187	ENSMODP00000019202
ENSDARP00000118870	ENSMODP00000001457
ENSDARP00000043095	ENSMODP00000015719
ENSDARP00000109106	ENSMODP00000025489
ENSDARP00000051523	ENSMODP00000025762
ENSDARP00000059368	ENSMODP00000005094
ENSDARP00000005262	ENSMODP00000023625
ENSDARP00000063617	ENSMODP00000014093
ENSDARP00000090326	ENSMODP00000012594
ENSDARP00000055063	ENSMODP00000010237
ENSDARP00000096752	ENSMODP00000010237
ENSDARP00000119857	ENSMODP00000000934
ENSDARP00000113048	ENSMODP00000000934
ENSDARP00000117214	ENSMODP00000019976
ENSDARP00000054848	ENSMODP00000006082
ENSDARP00000108316	ENSMODP00000040702
ENSDARP00000092246	ENSMODP00000002766
ENSDARP00000116730	ENSMODP00000000399
ENSDARP00000099426	ENSMODP00000005825
ENSDARP00000122116	ENSMODP00000011033
ENSDARP00000104864	ENSMODP00000000838
ENSDARP00000070289	ENSMODP00000014368
ENSDARP00000074483	ENSMODP00000025340
ENSDARP00000097744	ENSMODP00000025340
ENSDARP00000075348	ENSMODP00000016300
ENSDARP00000003841	ENSMODP00000024624
ENSDARP00000076426	ENSMODP00000026280
ENSDARP00000102441	ENSMODP00000026280
ENSDARP00000082979	ENSMODP00000006642
ENSDARP00000105236	ENSMODP00000006642
ENSDARP00000124218	ENSMODP00000013456
ENSDARP00000069581	ENSMODP00000022110
ENSDARP00000124101	ENSMODP00000023187
ENSDARP00000123657	ENSMODP00000006952
ENSDARP00000081043	ENSMODP00000034906
ENSDARP00000012776	ENSMODP00000029642
ENSDARP00000074623	ENSMODP00000001893
ENSDARP00000096363	ENSMODP00000001893
ENSDARP00000096556	ENSMODP00000023242
ENSDARP00000082159	ENSMODP00000015362
ENSDARP00000098433	ENSMODP00000008501
ENSDARP00000099233	ENSMODP00000008501
ENSDARP00000104323	ENSMODP00000032729
ENSDARP00000100472	ENSMODP00000006029
ENSDARP00000008105	ENSMODP00000013337
ENSDARP00000104821	ENSMODP00000020292
ENSDARP00000053530	ENSMODP00000021849
ENSDARP00000126317	ENSMODP00000040586
ENSDARP00000109215	ENSMODP00000005066
ENSDARP00000098515	ENSMODP00000039503
ENSDARP00000090749	ENSMODP00000013770
ENSDARP00000126058	ENSMODP00000002547
ENSDARP00000107099	ENSMODP00000007208
ENSDARP00000061075	ENSMODP00000019745
ENSDARP00000027966	ENSMODP00000035126
ENSDARP00000097622	ENSMODP00000011937
ENSDARP00000107490	ENSMODP00000011937
ENSDARP00000120440	ENSMODP00000023649
ENSDARP00000049927	ENSMODP00000023649
ENSDARP00000060575	ENSMODP00000000328
ENSDARP00000096413	ENSMODP00000000328
ENSDARP00000096458	ENSMODP00000039408
ENSDARP00000010568	ENSMODP00000039408
ENSDARP00000011527	ENSMODP00000012595
ENSDARP00000111211	ENSMODP00000012595
ENSDARP00000108464	ENSMODP00000024807
ENSDARP00000042420	ENSMODP00000017725
ENSDARP00000060005	ENSMODP00000026347
ENSDARP00000114921	ENSMODP00000026346
ENSDARP00000054735	ENSMODP00000029187
ENSDARP00000126818	ENSMODP00000005513
ENSDARP00000128178	ENSMODP00000011626
ENSDARP00000125087	ENSMODP00000012579
ENSDARP00000020170	ENSMODP00000023619
ENSDARP00000084452	ENSMODP00000003794
ENSDARP00000105699	ENSMODP00000003794
ENSDARP00000122306	ENSMODP00000008393
ENSDARP00000109910	ENSMODP00000005230
ENSDARP00000121593	ENSMODP00000009029
ENSDARP00000076415	ENSMODP00000009029
ENSDARP00000038214	ENSMODP00000001300
ENSDARP00000106388	ENSMODP00000009421
ENSDARP00000115296	ENSMODP00000009421
ENSDARP00000105530	ENSMODP00000010627
ENSDARP00000127735	ENSMODP00000011986
ENSDARP00000088314	ENSMODP00000011986
ENSDARP00000081860	ENSMODP00000002576
ENSDARP00000089751	ENSMODP00000026078
ENSDARP00000096327	ENSMODP00000008240
ENSDARP00000094631	ENSMODP00000001721
ENSDARP00000012087	ENSMODP00000001721
ENSDARP00000105876	ENSMODP00000026291
ENSDARP00000087964	ENSMODP00000017128
ENSDARP00000123542	ENSMODP00000007108
ENSDARP00000003380	ENSMODP00000010692
ENSDARP00000112128	ENSMODP00000010692
ENSDARP00000086185	ENSMODP00000008673
ENSDARP00000105597	ENSMODP00000002763
ENSDARP00000055106	ENSMODP00000002763
ENSDARP00000060701	ENSMODP00000000301
ENSDARP00000103159	ENSMODP00000010528
ENSDARP00000101059	ENSMODP00000010073
ENSDARP00000070556	ENSMODP00000032191
ENSDARP00000049502	ENSMODP00000009501
ENSDARP00000086415	ENSMODP00000001101
ENSDARP00000085308	ENSMODP00000004406
ENSDARP00000112164	ENSMODP00000009401
ENSDARP00000024623	ENSMODP00000017551
ENSDARP00000054234	ENSMODP00000001455
ENSDARP00000093386	ENSMODP00000030254
ENSDARP00000129827	ENSMODP00000025939
ENSDARP00000087335	ENSMODP00000029725
ENSDARP00000061737	ENSMODP00000007595
ENSDARP00000068355	ENSMODP00000000448
ENSDARP00000067923	ENSMODP00000016476
ENSDARP00000021737	ENSMODP00000013976
ENSDARP00000108605	ENSMODP00000000581
ENSDARP00000091836	ENSMODP00000021756
ENSDARP00000026625	ENSMODP00000014791
ENSDARP00000118376	ENSMODP00000008892
ENSDARP00000008364	ENSMODP00000007535
ENSDARP00000077706	ENSMODP00000004307
ENSDARP00000104183	ENSMODP00000029151
ENSDARP00000084823	ENSMODP00000004279
ENSDARP00000004624	ENSMODP00000022632
ENSDARP00000092387	ENSMODP00000017986
ENSDARP00000104288	ENSMODP00000016550
ENSDARP00000079577	ENSMODP00000002057
ENSDARP00000080499	ENSMODP00000023903
ENSDARP00000111239	ENSMODP00000023903
ENSDARP00000117350	ENSMODP00000016112
ENSDARP00000017119	ENSMODP00000011712
ENSDARP00000128675	ENSMODP00000006821
ENSDARP00000104030	ENSMODP00000007341
ENSDARP00000102719	ENSMODP00000036418
ENSDARP00000120270	ENSMODP00000031883
ENSDARP00000004144	ENSMODP00000008755
ENSDARP00000058796	ENSMODP00000021714
ENSDARP00000055153	ENSMODP00000011249
ENSDARP00000112058	ENSMODP00000011702
ENSDARP00000120420	ENSMODP00000016105
ENSDARP00000129811	ENSMODP00000005316
ENSDARP00000007196	ENSMODP00000004548
ENSDARP00000109081	ENSMODP00000000178
ENSDARP00000076899	ENSMODP00000027542
ENSDARP00000103061	ENSMODP00000021395
ENSDARP00000103566	ENSMODP00000021395
ENSDARP00000062531	ENSMODP00000021711
ENSDARP00000071210	ENSMODP00000021711
ENSDARP00000111947	ENSMODP00000008261
ENSDARP00000072337	ENSMODP00000008261
ENSDARP00000004943	ENSMODP00000017293
ENSDARP00000106640	ENSMODP00000002996
ENSDARP00000127004	ENSMODP00000002996
ENSDARP00000109804	ENSMODP00000022804
ENSDARP00000059954	ENSMODP00000022804
ENSDARP00000067735	ENSMODP00000040099
ENSDARP00000062899	ENSMODP00000000136
ENSDARP00000088337	ENSMODP00000009833
ENSDARP00000119462	ENSMODP00000009833
ENSDARP00000128208	ENSMODP00000000410
ENSDARP00000075472	ENSMODP00000022549
ENSDARP00000071521	ENSMODP00000025381
ENSDARP00000104230	ENSMODP00000022552
ENSDARP00000004889	ENSMODP00000022480
ENSDARP00000029203	ENSMODP00000000623
ENSDARP00000028333	ENSMODP00000005965
ENSDARP00000007424	ENSMODP00000005965
ENSDARP00000124409	ENSMODP00000000937
ENSDARP00000063995	ENSMODP00000000937
ENSDARP00000003665	ENSMODP00000035585
ENSDARP00000093347	ENSMODP00000018160
ENSDARP00000012691	ENSMODP00000004313
ENSDARP00000049166	ENSMODP00000004249
ENSDARP00000113461	ENSMODP00000020356
ENSDARP00000084498	ENSMODP00000020356
ENSDARP00000035581	ENSMODP00000003924
ENSDARP00000005771	ENSMODP00000014627
ENSDARP00000056419	ENSMODP00000037223
ENSDARP00000020361	ENSMODP00000023811
ENSDARP00000080999	ENSMODP00000013896
ENSDARP00000009970	ENSMODP00000019379
ENSDARP00000071885	ENSMODP00000015068
ENSDARP00000088034	ENSMODP00000015068
ENSDARP00000109124	ENSMODP00000040581
ENSDARP00000031031	ENSMODP00000000143
ENSDARP00000063007	ENSMODP00000000708
ENSDARP00000099262	ENSMODP00000003046
ENSDARP00000012447	ENSMODP00000013666
ENSDARP00000109375	ENSMODP00000003297
ENSDARP00000111201	ENSMODP00000032532
ENSDARP00000104233	ENSMODP00000005883
ENSDARP00000005251	ENSMODP00000004209
ENSDARP00000060344	ENSMODP00000019311
ENSDARP00000042296	ENSMODP00000007439
ENSDARP00000069982	ENSMODP00000022689
ENSDARP00000051548	ENSMODP00000009014
ENSDARP00000006712	ENSMODP00000010999
ENSDARP00000088296	ENSMODP00000024289
ENSDARP00000064965	ENSMODP00000024289
ENSDARP00000109893	ENSMODP00000025903
ENSDARP00000078938	ENSMODP00000003590
ENSDARP00000060953	ENSMODP00000037274
ENSDARP00000070706	ENSMODP00000035224
ENSDARP00000022483	ENSMODP00000014386
ENSDARP00000110181	ENSMODP00000014386
ENSDARP00000105872	ENSMODP00000021896
ENSDARP00000091863	ENSMODP00000016277
ENSDARP00000041857	ENSMODP00000012015
ENSDARP00000029449	ENSMODP00000026268
ENSDARP00000072374	ENSMODP00000026268
ENSDARP00000101724	ENSMODP00000014292
ENSDARP00000085782	ENSMODP00000011856
ENSDARP00000123249	ENSMODP00000000810
ENSDARP00000011459	ENSMODP00000000810
ENSDARP00000068639	ENSMODP00000005938
ENSDARP00000105116	ENSMODP00000000563
ENSDARP00000022315	ENSMODP00000017785
ENSDARP00000099634	ENSMODP00000024110
ENSDARP00000102572	ENSMODP00000024110
ENSDARP00000098597	ENSMODP00000027725
ENSDARP00000099601	ENSMODP00000013246
ENSDARP00000092960	ENSMODP00000021193
ENSDARP00000104597	ENSMODP00000032514
ENSDARP00000115000	ENSMODP00000018198
ENSDARP00000101212	ENSMODP00000018796
ENSDARP00000093744	ENSMODP00000003004
ENSDARP00000100863	ENSMODP00000037026
ENSDARP00000099375	ENSMODP00000000717
ENSDARP00000122491	ENSMODP00000014686
ENSDARP00000099219	ENSMODP00000018316
ENSDARP00000098390	ENSMODP00000018999
ENSDARP00000064553	ENSMODP00000016150
ENSDARP00000104429	ENSMODP00000000153
ENSDARP00000009633	ENSMODP00000015953
ENSDARP00000008214	ENSMODP00000015953
ENSDARP00000103896	ENSMODP00000019118
ENSDARP00000095217	ENSMODP00000000274
ENSDARP00000109055	ENSMODP00000003057
ENSDARP00000052354	ENSMODP00000019700
ENSDARP00000118603	ENSMODP00000001583
ENSDARP00000054592	ENSMODP00000016915
ENSDARP00000114621	ENSMODP00000007245
ENSDARP00000036958	ENSMODP00000020592
ENSDARP00000041938	ENSMODP00000020592
ENSDARP00000021165	ENSMODP00000032798
ENSDARP00000104119	ENSMODP00000032798
ENSDARP00000041034	ENSMODP00000029853
ENSDARP00000118861	ENSMODP00000029853
ENSDARP00000011585	ENSMODP00000018200
ENSDARP00000034555	ENSMODP00000041124
ENSDARP00000121933	ENSMODP00000000781
ENSDARP00000114195	ENSMODP00000014920
ENSDARP00000100758	ENSMODP00000002092
ENSDARP00000098999	ENSMODP00000031808
ENSDARP00000100192	ENSMODP00000031808
ENSDARP00000108259	ENSMODP00000007343
ENSDARP00000022305	ENSMODP00000023332
ENSDARP00000107618	ENSMODP00000000470
ENSDARP00000023313	ENSMODP00000016503
ENSDARP00000052422	ENSMODP00000001945
ENSDARP00000097465	ENSMODP00000038091
ENSDARP00000090302	ENSMODP00000031529
ENSDARP00000117091	ENSMODP00000025350
ENSDARP00000045189	ENSMODP00000009468
ENSDARP00000060159	ENSMODP00000028132
ENSDARP00000052801	ENSMODP00000028132
ENSDARP00000051786	ENSMODP00000017212
ENSDARP00000009358	ENSMODP00000011901
ENSDARP00000108432	ENSMODP00000005917
ENSDARP00000065198	ENSMODP00000016878
ENSDARP00000011150	ENSMODP00000012674
ENSDARP00000025205	ENSMODP00000012674
ENSDARP00000117760	ENSMODP00000007356
ENSDARP00000031737	ENSMODP00000008291
ENSDARP00000088060	ENSMODP00000000841
ENSDARP00000103338	ENSMODP00000006275
ENSDARP00000009052	ENSMODP00000000638
ENSDARP00000049330	ENSMODP00000011165
ENSDARP00000096703	ENSMODP00000011165
ENSDARP00000109970	ENSMODP00000010254
ENSDARP00000005746	ENSMODP00000021020
ENSDARP00000107692	ENSMODP00000013732
ENSDARP00000127308	ENSMODP00000018665
ENSDARP00000101958	ENSMODP00000000696
ENSDARP00000069034	ENSMODP00000004802
ENSDARP00000056621	ENSMODP00000003405
ENSDARP00000059208	ENSMODP00000013195
ENSDARP00000006309	ENSMODP00000026495
ENSDARP00000124192	ENSMODP00000026620
ENSDARP00000104665	ENSMODP00000006868
ENSDARP00000079486	ENSMODP00000000517
ENSDARP00000099105	ENSMODP00000007712
ENSDARP00000124069	ENSMODP00000028571
ENSDARP00000098351	ENSMODP00000015558
ENSDARP00000043775	ENSMODP00000019641
ENSDARP00000074739	ENSMODP00000004636
ENSDARP00000057982	ENSMODP00000009652
ENSDARP00000110998	ENSMODP00000011528
ENSDARP00000077137	ENSMODP00000015248
ENSDARP00000108974	ENSMODP00000017234
ENSDARP00000126347	ENSMODP00000018653
ENSDARP00000105846	ENSMODP00000040055
ENSDARP00000085899	ENSMODP00000002305
ENSDARP00000100185	ENSMODP00000008158
ENSDARP00000008665	ENSMODP00000016543
ENSDARP00000046840	ENSMODP00000021028
ENSDARP00000076236	ENSMODP00000021028
ENSDARP00000010432	ENSMODP00000006875
ENSDARP00000024428	ENSMODP00000013643
ENSDARP00000114891	ENSMODP00000023317
ENSDARP00000098887	ENSMODP00000022857
ENSDARP00000087023	ENSMODP00000027851
ENSDARP00000129797	ENSMODP00000009797
ENSDARP00000126242	ENSMODP00000003680
ENSDARP00000101151	ENSMODP00000027120
ENSDARP00000124666	ENSMODP00000025432
ENSDARP00000084282	ENSMODP00000019909
ENSDARP00000091125	ENSMODP00000023311
ENSDARP00000072746	ENSMODP00000012067
ENSDARP00000122101	ENSMODP00000018294
ENSDARP00000053846	ENSMODP00000012669
ENSDARP00000090466	ENSMODP00000000804
ENSDARP00000067187	ENSMODP00000021122
ENSDARP00000070357	ENSMODP00000012356
ENSDARP00000023365	ENSMODP00000015429
ENSDARP00000029663	ENSMODP00000015514
ENSDARP00000112946	ENSMODP00000015514
ENSDARP00000097577	ENSMODP00000029130
ENSDARP00000040190	ENSMODP00000019547
ENSDARP00000127760	ENSMODP00000017809
ENSDARP00000104632	ENSMODP00000011099
ENSDARP00000108672	ENSMODP00000010129
ENSDARP00000018738	ENSMODP00000017529
ENSDARP00000068132	ENSMODP00000017003
ENSDARP00000121820	ENSMODP00000031686
ENSDARP00000018938	ENSMODP00000034085
ENSDARP00000092872	ENSMODP00000011522
ENSDARP00000104278	ENSMODP00000023987
ENSDARP00000009463	ENSMODP00000021381
ENSDARP00000073841	ENSMODP00000009881
ENSDARP00000054673	ENSMODP00000006150
ENSDARP00000053915	ENSMODP00000006150
ENSDARP00000101483	ENSMODP00000013327
ENSDARP00000108901	ENSMODP00000016553
ENSDARP00000099237	ENSMODP00000039257
ENSDARP00000120825	ENSMODP00000004501
ENSDARP00000034149	ENSMODP00000000334
ENSDARP00000088509	ENSMODP00000000334
ENSDARP00000101872	ENSMODP00000006782
ENSDARP00000126262	ENSMODP00000032061
ENSDARP00000115297	ENSMODP00000027954
ENSDARP00000101295	ENSMODP00000037282
ENSDARP00000099481	ENSMODP00000036805
ENSDARP00000086709	ENSMODP00000019134
ENSDARP00000101531	ENSMODP00000004409
ENSDARP00000068393	ENSMODP00000013470
ENSDARP00000123268	ENSMODP00000002174
ENSDARP00000005892	ENSMODP00000008681
ENSDARP00000127243	ENSMODP00000005870
