ENSTNIP00000006282	ENSGACP00000024945
ENSTNIP00000007178	ENSGACP00000021130
ENSTNIP00000019267	ENSGACP00000013900
ENSTNIP00000011433	ENSGACP00000026558
ENSTNIP00000019264	ENSGACP00000013855
ENSTNIP00000017435	ENSGACP00000004675
ENSTNIP00000011018	ENSGACP00000003691
ENSTNIP00000015573	ENSGACP00000020069
ENSTNIP00000015266	ENSGACP00000012315
ENSTNIP00000003879	ENSGACP00000027370
ENSTNIP00000012917	ENSGACP00000027344
ENSTNIP00000007208	ENSGACP00000016919
ENSTNIP00000019374	ENSGACP00000017196
ENSTNIP00000009347	ENSGACP00000004820
ENSTNIP00000014973	ENSGACP00000008108
ENSTNIP00000008572	ENSGACP00000005284
ENSTNIP00000007065	ENSGACP00000026695
ENSTNIP00000001096	ENSGACP00000005283
ENSTNIP00000019863	ENSGACP00000017040
ENSTNIP00000007647	ENSGACP00000018082
ENSTNIP00000014792	ENSGACP00000026828
ENSTNIP00000011271	ENSGACP00000006878
ENSTNIP00000012424	ENSGACP00000022333
ENSTNIP00000013241	ENSGACP00000018496
ENSTNIP00000019153	ENSGACP00000011943
ENSTNIP00000019921	ENSGACP00000022453
ENSTNIP00000009165	ENSGACP00000018502
ENSTNIP00000012002	ENSGACP00000017683
ENSTNIP00000013798	ENSGACP00000020415
ENSTNIP00000017045	ENSGACP00000010229
ENSTNIP00000011084	ENSGACP00000021790
ENSTNIP00000002437	ENSGACP00000000993
ENSTNIP00000015600	ENSGACP00000016736
ENSTNIP00000021192	ENSGACP00000023120
ENSTNIP00000011461	ENSGACP00000012072
ENSTNIP00000008141	ENSGACP00000022155
ENSTNIP00000014112	ENSGACP00000006550
ENSTNIP00000013623	ENSGACP00000015623
ENSTNIP00000017746	ENSGACP00000001925
ENSTNIP00000003427	ENSGACP00000010050
ENSTNIP00000014790	ENSGACP00000026827
ENSTNIP00000018827	ENSGACP00000023095
ENSTNIP00000005922	ENSGACP00000009306
ENSTNIP00000014642	ENSGACP00000011195
ENSTNIP00000015649	ENSGACP00000026501
ENSTNIP00000001034	ENSGACP00000006033
ENSTNIP00000018113	ENSGACP00000012169
ENSTNIP00000013464	ENSGACP00000006407
ENSTNIP00000017688	ENSGACP00000001490
ENSTNIP00000019354	ENSGACP00000015187
ENSTNIP00000012806	ENSGACP00000027170
ENSTNIP00000011279	ENSGACP00000009575
ENSTNIP00000008354	ENSGACP00000016710
ENSTNIP00000000565	ENSGACP00000022218
ENSTNIP00000012655	ENSGACP00000014714
ENSTNIP00000011061	ENSGACP00000007461
ENSTNIP00000012666	ENSGACP00000014562
ENSTNIP00000015845	ENSGACP00000012791
ENSTNIP00000011089	ENSGACP00000021819
ENSTNIP00000015421	ENSGACP00000014777
ENSTNIP00000010861	ENSGACP00000013467
ENSTNIP00000015113	ENSGACP00000015486
ENSTNIP00000015567	ENSGACP00000020101
ENSTNIP00000018155	ENSGACP00000011272
ENSTNIP00000015834	ENSGACP00000013031
ENSTNIP00000013495	ENSGACP00000024726
ENSTNIP00000005742	ENSGACP00000021550
ENSTNIP00000008507	ENSGACP00000010397
ENSTNIP00000015387	ENSGACP00000014926
ENSTNIP00000008883	ENSGACP00000021892
ENSTNIP00000013355	ENSGACP00000013764
ENSTNIP00000012972	ENSGACP00000011635
ENSTNIP00000012802	ENSGACP00000027165
ENSTNIP00000015943	ENSGACP00000022321
ENSTNIP00000010489	ENSGACP00000002409
ENSTNIP00000020392	ENSGACP00000012853
ENSTNIP00000019997	ENSGACP00000009111
ENSTNIP00000005445	ENSGACP00000003655
ENSTNIP00000010463	ENSGACP00000027443
ENSTNIP00000008473	ENSGACP00000020380
ENSTNIP00000011607	ENSGACP00000002804
ENSTNIP00000018253	ENSGACP00000017339
ENSTNIP00000007372	ENSGACP00000013285
ENSTNIP00000017713	ENSGACP00000002082
ENSTNIP00000011977	ENSGACP00000022721
ENSTNIP00000005217	ENSGACP00000003871
ENSTNIP00000008229	ENSGACP00000004729
ENSTNIP00000000282	ENSGACP00000013134
ENSTNIP00000014910	ENSGACP00000016053
ENSTNIP00000012679	ENSGACP00000014399
ENSTNIP00000014839	ENSGACP00000018981
ENSTNIP00000019849	ENSGACP00000019416
ENSTNIP00000014570	ENSGACP00000018866
ENSTNIP00000020272	ENSGACP00000005932
ENSTNIP00000012106	ENSGACP00000011222
ENSTNIP00000012602	ENSGACP00000006296
ENSTNIP00000011638	ENSGACP00000018030
ENSTNIP00000021094	ENSGACP00000000094
ENSTNIP00000017714	ENSGACP00000002078
ENSTNIP00000015481	ENSGACP00000016272
ENSTNIP00000011945	ENSGACP00000022479
ENSTNIP00000007660	ENSGACP00000018631
ENSTNIP00000016506	ENSGACP00000020591
ENSTNIP00000012622	ENSGACP00000007913
ENSTNIP00000012526	ENSGACP00000009450
ENSTNIP00000012224	ENSGACP00000020765
ENSTNIP00000021998	ENSGACP00000000153
ENSTNIP00000021336	ENSGACP00000010655
ENSTNIP00000016649	ENSGACP00000006708
ENSTNIP00000016650	ENSGACP00000006694
ENSTNIP00000008616	ENSGACP00000002882
ENSTNIP00000000123	ENSGACP00000010118
ENSTNIP00000016508	ENSGACP00000020581
ENSTNIP00000020130	ENSGACP00000013745
ENSTNIP00000002967	ENSGACP00000017432
ENSTNIP00000022461	ENSGACP00000014668
ENSTNIP00000014106	ENSGACP00000017756
ENSTNIP00000012609	ENSGACP00000006059
ENSTNIP00000014882	ENSGACP00000019436
ENSTNIP00000011512	ENSGACP00000010580
ENSTNIP00000014805	ENSGACP00000005565
ENSTNIP00000018925	ENSGACP00000011109
ENSTNIP00000011970	ENSGACP00000022664
ENSTNIP00000016496	ENSGACP00000020654
ENSTNIP00000011677	ENSGACP00000027493
ENSTNIP00000010534	ENSGACP00000013219
ENSTNIP00000008760	ENSGACP00000010724
ENSTNIP00000013154	ENSGACP00000020453
ENSTNIP00000001354	ENSGACP00000002023
ENSTNIP00000017145	ENSGACP00000024016
ENSTNIP00000014544	ENSGACP00000017608
ENSTNIP00000013193	ENSGACP00000010877
ENSTNIP00000009999	ENSGACP00000025518
ENSTNIP00000021617	ENSGACP00000010597
ENSTNIP00000012098	ENSGACP00000010030
ENSTNIP00000022144	ENSGACP00000001112
ENSTNIP00000006784	ENSGACP00000006168
ENSTNIP00000009481	ENSGACP00000016481
ENSTNIP00000018900	ENSGACP00000010677
ENSTNIP00000020713	ENSGACP00000005875
ENSTNIP00000013287	ENSGACP00000017818
ENSTNIP00000004163	ENSGACP00000027380
ENSTNIP00000007559	ENSGACP00000021416
ENSTNIP00000008790	ENSGACP00000001225
ENSTNIP00000019082	ENSGACP00000005434
ENSTNIP00000021685	ENSGACP00000024965
ENSTNIP00000022028	ENSGACP00000026245
ENSTNIP00000002905	ENSGACP00000008820
ENSTNIP00000021098	ENSGACP00000000083
ENSTNIP00000000446	ENSGACP00000019908
ENSTNIP00000004874	ENSGACP00000013177
ENSTNIP00000022930	ENSGACP00000010254
ENSTNIP00000007815	ENSGACP00000003850
ENSTNIP00000006928	ENSGACP00000022492
ENSTNIP00000018433	ENSGACP00000007706
ENSTNIP00000021631	ENSGACP00000010362
ENSTNIP00000006402	ENSGACP00000015084
ENSTNIP00000006482	ENSGACP00000004269
ENSTNIP00000006697	ENSGACP00000008597
ENSTNIP00000019897	ENSGACP00000023345
ENSTNIP00000015997	ENSGACP00000026093
ENSTNIP00000010276	ENSGACP00000014237
ENSTNIP00000017948	ENSGACP00000022364
ENSTNIP00000005702	ENSGACP00000024160
ENSTNIP00000023042	ENSGACP00000018870
ENSTNIP00000021757	ENSGACP00000018447
ENSTNIP00000017085	ENSGACP00000025043
ENSTNIP00000000627	ENSGACP00000026254
ENSTNIP00000013485	ENSGACP00000023611
ENSTNIP00000019045	ENSGACP00000006446
ENSTNIP00000015293	ENSGACP00000007859
ENSTNIP00000009450	ENSGACP00000014404
ENSTNIP00000007305	ENSGACP00000023968
ENSTNIP00000020759	ENSGACP00000018947
ENSTNIP00000002290	ENSGACP00000008704
ENSTNIP00000004943	ENSGACP00000018027
ENSTNIP00000015979	ENSGACP00000025471
ENSTNIP00000014286	ENSGACP00000011616
ENSTNIP00000009398	ENSGACP00000008220
ENSTNIP00000011834	ENSGACP00000024206
ENSTNIP00000000833	ENSGACP00000027573
ENSTNIP00000003178	ENSGACP00000002720
ENSTNIP00000012196	ENSGACP00000020893
ENSTNIP00000020710	ENSGACP00000005886
ENSTNIP00000021504	ENSGACP00000016065
ENSTNIP00000015560	ENSGACP00000004065
ENSTNIP00000018795	ENSGACP00000003491
ENSTNIP00000020298	ENSGACP00000020585
ENSTNIP00000008115	ENSGACP00000008121
ENSTNIP00000018962	ENSGACP00000011838
ENSTNIP00000005202	ENSGACP00000023745
ENSTNIP00000009397	ENSGACP00000008249
ENSTNIP00000002784	ENSGACP00000004248
ENSTNIP00000012166	ENSGACP00000020990
ENSTNIP00000018172	ENSGACP00000010851
ENSTNIP00000022400	ENSGACP00000016840
ENSTNIP00000015643	ENSGACP00000026488
ENSTNIP00000013816	ENSGACP00000006458
ENSTNIP00000017200	ENSGACP00000006596
ENSTNIP00000009018	ENSGACP00000010328
ENSTNIP00000016070	ENSGACP00000004391
ENSTNIP00000012289	ENSGACP00000020336
ENSTNIP00000017672	ENSGACP00000001358
ENSTNIP00000003848	ENSGACP00000004917
ENSTNIP00000009043	ENSGACP00000014706
ENSTNIP00000019020	ENSGACP00000005923
ENSTNIP00000016427	ENSGACP00000016354
ENSTNIP00000019713	ENSGACP00000007066
ENSTNIP00000018059	ENSGACP00000013414
ENSTNIP00000017721	ENSGACP00000002048
ENSTNIP00000008416	ENSGACP00000025991
ENSTNIP00000015077	ENSGACP00000016015
ENSTNIP00000013790	ENSGACP00000019216
ENSTNIP00000010677	ENSGACP00000021433
ENSTNIP00000019007	ENSGACP00000005321
ENSTNIP00000010269	ENSGACP00000014338
ENSTNIP00000015261	ENSGACP00000012187
ENSTNIP00000013537	ENSGACP00000019667
ENSTNIP00000015563	ENSGACP00000004025
ENSTNIP00000021430	ENSGACP00000007591
ENSTNIP00000009169	ENSGACP00000019165
ENSTNIP00000001868	ENSGACP00000012584
ENSTNIP00000007111	ENSGACP00000003109
ENSTNIP00000002656	ENSGACP00000021934
ENSTNIP00000016713	ENSGACP00000008590
ENSTNIP00000010893	ENSGACP00000015403
ENSTNIP00000014355	ENSGACP00000026296
ENSTNIP00000015848	ENSGACP00000012707
ENSTNIP00000021143	ENSGACP00000015263
ENSTNIP00000014785	ENSGACP00000026857
ENSTNIP00000019217	ENSGACP00000027082
ENSTNIP00000021125	ENSGACP00000011210
ENSTNIP00000018986	ENSGACP00000012379
ENSTNIP00000013544	ENSGACP00000016980
ENSTNIP00000008028	ENSGACP00000012188
ENSTNIP00000020510	ENSGACP00000010619
ENSTNIP00000007459	ENSGACP00000018121
ENSTNIP00000016377	ENSGACP00000016299
ENSTNIP00000017479	ENSGACP00000004211
ENSTNIP00000019912	ENSGACP00000022339
ENSTNIP00000011890	ENSGACP00000022154
ENSTNIP00000005872	ENSGACP00000013744
ENSTNIP00000018143	ENSGACP00000011512
ENSTNIP00000014038	ENSGACP00000012012
ENSTNIP00000010060	ENSGACP00000002585
ENSTNIP00000022640	ENSGACP00000014322
ENSTNIP00000015039	ENSGACP00000025405
ENSTNIP00000013320	ENSGACP00000011443
ENSTNIP00000002013	ENSGACP00000015369
ENSTNIP00000018934	ENSGACP00000011296
ENSTNIP00000022600	ENSGACP00000003149
ENSTNIP00000002814	ENSGACP00000011262
ENSTNIP00000018193	ENSGACP00000010350
ENSTNIP00000006439	ENSGACP00000003979
ENSTNIP00000008490	ENSGACP00000025794
ENSTNIP00000015519	ENSGACP00000016531
ENSTNIP00000010185	ENSGACP00000014510
ENSTNIP00000008038	ENSGACP00000008587
ENSTNIP00000018704	ENSGACP00000019288
ENSTNIP00000007290	ENSGACP00000024691
ENSTNIP00000008472	ENSGACP00000020385
ENSTNIP00000013433	ENSGACP00000019230
ENSTNIP00000004974	ENSGACP00000013170
ENSTNIP00000015581	ENSGACP00000019918
ENSTNIP00000015073	ENSGACP00000016152
ENSTNIP00000008631	ENSGACP00000024638
ENSTNIP00000018290	ENSGACP00000017721
ENSTNIP00000016635	ENSGACP00000007057
ENSTNIP00000005470	ENSGACP00000021835
ENSTNIP00000022555	ENSGACP00000016111
ENSTNIP00000013603	ENSGACP00000016287
ENSTNIP00000006951	ENSGACP00000015204
ENSTNIP00000007908	ENSGACP00000023797
ENSTNIP00000017597	ENSGACP00000000876
ENSTNIP00000018164	ENSGACP00000011091
ENSTNIP00000002053	ENSGACP00000021233
ENSTNIP00000021244	ENSGACP00000008655
ENSTNIP00000011065	ENSGACP00000007502
ENSTNIP00000011013	ENSGACP00000003662
ENSTNIP00000003355	ENSGACP00000025589
ENSTNIP00000007525	ENSGACP00000024232
ENSTNIP00000000864	ENSGACP00000000420
ENSTNIP00000022288	ENSGACP00000007992
ENSTNIP00000009199	ENSGACP00000007918
ENSTNIP00000019789	ENSGACP00000008681
ENSTNIP00000014312	ENSGACP00000021759
ENSTNIP00000020819	ENSGACP00000018695
ENSTNIP00000011819	ENSGACP00000024140
ENSTNIP00000018047	ENSGACP00000002259
ENSTNIP00000017287	ENSGACP00000021335
ENSTNIP00000007933	ENSGACP00000024002
ENSTNIP00000016323	ENSGACP00000012570
ENSTNIP00000021630	ENSGACP00000010401
ENSTNIP00000012857	ENSGACP00000027247
ENSTNIP00000020848	ENSGACP00000021404
ENSTNIP00000013883	ENSGACP00000017347
ENSTNIP00000009448	ENSGACP00000014440
ENSTNIP00000005439	ENSGACP00000024775
ENSTNIP00000014018	ENSGACP00000020416
ENSTNIP00000017332	ENSGACP00000007371
ENSTNIP00000018205	ENSGACP00000010024
ENSTNIP00000020754	ENSGACP00000019110
ENSTNIP00000016617	ENSGACP00000000737
ENSTNIP00000001883	ENSGACP00000019842
ENSTNIP00000011726	ENSGACP00000002957
ENSTNIP00000000872	ENSGACP00000021984
ENSTNIP00000002254	ENSGACP00000022508
ENSTNIP00000019904	ENSGACP00000023290
ENSTNIP00000010554	ENSGACP00000012908
ENSTNIP00000022552	ENSGACP00000016048
ENSTNIP00000009405	ENSGACP00000015688
ENSTNIP00000005395	ENSGACP00000000469
ENSTNIP00000015602	ENSGACP00000016688
ENSTNIP00000021997	ENSGACP00000000158
ENSTNIP00000007397	ENSGACP00000026065
ENSTNIP00000011467	ENSGACP00000011907
ENSTNIP00000006356	ENSGACP00000005776
ENSTNIP00000005113	ENSGACP00000016579
ENSTNIP00000003241	ENSGACP00000005850
ENSTNIP00000021598	ENSGACP00000010961
ENSTNIP00000002935	ENSGACP00000009494
ENSTNIP00000020621	ENSGACP00000008874
ENSTNIP00000017040	ENSGACP00000012223
ENSTNIP00000005004	ENSGACP00000011088
ENSTNIP00000010297	ENSGACP00000020933
ENSTNIP00000018409	ENSGACP00000008866
ENSTNIP00000007185	ENSGACP00000021166
ENSTNIP00000020570	ENSGACP00000007775
ENSTNIP00000016032	ENSGACP00000022032
ENSTNIP00000021835	ENSGACP00000022620
ENSTNIP00000012304	ENSGACP00000020273
ENSTNIP00000020472	ENSGACP00000011347
ENSTNIP00000013658	ENSGACP00000016646
ENSTNIP00000014348	ENSGACP00000026384
ENSTNIP00000005000	ENSGACP00000003238
ENSTNIP00000011199	ENSGACP00000017695
ENSTNIP00000022780	ENSGACP00000014577
ENSTNIP00000011957	ENSGACP00000022564
ENSTNIP00000013932	ENSGACP00000011083
ENSTNIP00000021386	ENSGACP00000027389
ENSTNIP00000004574	ENSGACP00000022089
ENSTNIP00000002624	ENSGACP00000015474
ENSTNIP00000010807	ENSGACP00000023180
ENSTNIP00000010106	ENSGACP00000013240
ENSTNIP00000015574	ENSGACP00000020064
ENSTNIP00000011696	ENSGACP00000002785
ENSTNIP00000002085	ENSGACP00000006810
ENSTNIP00000022240	ENSGACP00000016173
ENSTNIP00000019216	ENSGACP00000027085
ENSTNIP00000019215	ENSGACP00000027086
ENSTNIP00000015223	ENSGACP00000015410
ENSTNIP00000022506	ENSGACP00000015311
ENSTNIP00000000901	ENSGACP00000006793
ENSTNIP00000011971	ENSGACP00000022667
ENSTNIP00000018928	ENSGACP00000011133
ENSTNIP00000008314	ENSGACP00000024334
ENSTNIP00000016704	ENSGACP00000008095
ENSTNIP00000013234	ENSGACP00000000804
ENSTNIP00000012195	ENSGACP00000020894
ENSTNIP00000021503	ENSGACP00000016044
ENSTNIP00000020709	ENSGACP00000005908
ENSTNIP00000009119	ENSGACP00000021537
ENSTNIP00000022266	ENSGACP00000007396
ENSTNIP00000015933	ENSGACP00000022257
ENSTNIP00000013980	ENSGACP00000022910
ENSTNIP00000018614	ENSGACP00000013247
ENSTNIP00000020978	ENSGACP00000024014
ENSTNIP00000014099	ENSGACP00000006751
ENSTNIP00000006753	ENSGACP00000004982
ENSTNIP00000012405	ENSGACP00000022179
ENSTNIP00000019475	ENSGACP00000013387
ENSTNIP00000007588	ENSGACP00000018928
ENSTNIP00000015995	ENSGACP00000026098
ENSTNIP00000020554	ENSGACP00000009993
ENSTNIP00000019450	ENSGACP00000013935
ENSTNIP00000000629	ENSGACP00000023008
ENSTNIP00000006391	ENSGACP00000008063
ENSTNIP00000022621	ENSGACP00000003395
ENSTNIP00000016336	ENSGACP00000012786
ENSTNIP00000008194	ENSGACP00000024847
ENSTNIP00000018137	ENSGACP00000011743
ENSTNIP00000016732	ENSGACP00000012792
ENSTNIP00000016739	ENSGACP00000012881
ENSTNIP00000012236	ENSGACP00000020693
ENSTNIP00000018166	ENSGACP00000011027
ENSTNIP00000014364	ENSGACP00000026240
ENSTNIP00000012982	ENSGACP00000005299
ENSTNIP00000009533	ENSGACP00000004699
ENSTNIP00000018055	ENSGACP00000003623
ENSTNIP00000009376	ENSGACP00000020335
ENSTNIP00000020439	ENSGACP00000011985
ENSTNIP00000005380	ENSGACP00000015515
ENSTNIP00000009243	ENSGACP00000004952
ENSTNIP00000014262	ENSGACP00000025819
ENSTNIP00000015329	ENSGACP00000023523
ENSTNIP00000003098	ENSGACP00000014539
ENSTNIP00000009162	ENSGACP00000003754
ENSTNIP00000019804	ENSGACP00000008245
ENSTNIP00000012395	ENSGACP00000022110
ENSTNIP00000009818	ENSGACP00000026313
ENSTNIP00000013702	ENSGACP00000026854
ENSTNIP00000021434	ENSGACP00000007400
ENSTNIP00000014972	ENSGACP00000008143
ENSTNIP00000017909	ENSGACP00000022009
ENSTNIP00000010972	ENSGACP00000003311
ENSTNIP00000017885	ENSGACP00000022809
ENSTNIP00000011362	ENSGACP00000023564
ENSTNIP00000022785	ENSGACP00000018770
ENSTNIP00000020766	ENSGACP00000018886
ENSTNIP00000021918	ENSGACP00000021929
ENSTNIP00000005075	ENSGACP00000015872
ENSTNIP00000020546	ENSGACP00000010094
ENSTNIP00000015215	ENSGACP00000015331
ENSTNIP00000009756	ENSGACP00000020739
ENSTNIP00000008605	ENSGACP00000005829
ENSTNIP00000000538	ENSGACP00000008835
ENSTNIP00000012103	ENSGACP00000011245
ENSTNIP00000006185	ENSGACP00000016371
ENSTNIP00000010689	ENSGACP00000021541
ENSTNIP00000016440	ENSGACP00000020925
ENSTNIP00000005293	ENSGACP00000025915
ENSTNIP00000012727	ENSGACP00000001268
ENSTNIP00000002124	ENSGACP00000019977
ENSTNIP00000008190	ENSGACP00000024865
ENSTNIP00000007320	ENSGACP00000020283
ENSTNIP00000015894	ENSGACP00000005883
ENSTNIP00000021754	ENSGACP00000018423
ENSTNIP00000012764	ENSGACP00000015024
ENSTNIP00000005010	ENSGACP00000020865
ENSTNIP00000019479	ENSGACP00000013328
ENSTNIP00000016605	ENSGACP00000002476
ENSTNIP00000001026	ENSGACP00000006184
ENSTNIP00000011979	ENSGACP00000022746
ENSTNIP00000006539	ENSGACP00000015810
ENSTNIP00000018362	ENSGACP00000019994
ENSTNIP00000003415	ENSGACP00000008501
ENSTNIP00000019829	ENSGACP00000019549
ENSTNIP00000001271	ENSGACP00000019311
ENSTNIP00000010289	ENSGACP00000013992
ENSTNIP00000012946	ENSGACP00000027379
ENSTNIP00000018609	ENSGACP00000013341
ENSTNIP00000016277	ENSGACP00000020020
ENSTNIP00000006500	ENSGACP00000004180
ENSTNIP00000008730	ENSGACP00000004588
ENSTNIP00000021052	ENSGACP00000003550
ENSTNIP00000005429	ENSGACP00000000231
ENSTNIP00000016443	ENSGACP00000020930
ENSTNIP00000018710	ENSGACP00000019224
ENSTNIP00000003619	ENSGACP00000006772
ENSTNIP00000009985	ENSGACP00000025940
ENSTNIP00000001225	ENSGACP00000025488
ENSTNIP00000014551	ENSGACP00000016822
ENSTNIP00000021175	ENSGACP00000015817
ENSTNIP00000000577	ENSGACP00000012051
ENSTNIP00000015488	ENSGACP00000014341
ENSTNIP00000015416	ENSGACP00000015042
ENSTNIP00000009620	ENSGACP00000000258
ENSTNIP00000020642	ENSGACP00000005127
ENSTNIP00000018064	ENSGACP00000013360
ENSTNIP00000018056	ENSGACP00000003631
ENSTNIP00000020994	ENSGACP00000002067
ENSTNIP00000010081	ENSGACP00000000440
ENSTNIP00000016672	ENSGACP00000006277
ENSTNIP00000013378	ENSGACP00000002686
ENSTNIP00000010110	ENSGACP00000013318
ENSTNIP00000018006	ENSGACP00000000643
ENSTNIP00000011046	ENSGACP00000006503
ENSTNIP00000021146	ENSGACP00000015303
ENSTNIP00000005213	ENSGACP00000018843
ENSTNIP00000017456	ENSGACP00000004457
ENSTNIP00000020241	ENSGACP00000003569
ENSTNIP00000015744	ENSGACP00000005041
ENSTNIP00000014637	ENSGACP00000018753
ENSTNIP00000014814	ENSGACP00000005784
ENSTNIP00000009279	ENSGACP00000000780
ENSTNIP00000005483	ENSGACP00000014130
ENSTNIP00000013302	ENSGACP00000009438
ENSTNIP00000012579	ENSGACP00000007132
ENSTNIP00000019748	ENSGACP00000005963
ENSTNIP00000017376	ENSGACP00000006676
ENSTNIP00000005806	ENSGACP00000027471
ENSTNIP00000004759	ENSGACP00000024457
ENSTNIP00000021152	ENSGACP00000015460
ENSTNIP00000021775	ENSGACP00000018548
ENSTNIP00000011074	ENSGACP00000025791
ENSTNIP00000012438	ENSGACP00000022712
ENSTNIP00000015646	ENSGACP00000026497
ENSTNIP00000020875	ENSGACP00000022745
ENSTNIP00000009513	ENSGACP00000005204
ENSTNIP00000009676	ENSGACP00000006900
ENSTNIP00000009957	ENSGACP00000003056
ENSTNIP00000014413	ENSGACP00000016789
ENSTNIP00000007048	ENSGACP00000011438
ENSTNIP00000022950	ENSGACP00000011379
ENSTNIP00000019221	ENSGACP00000027076
ENSTNIP00000007776	ENSGACP00000025668
ENSTNIP00000022899	ENSGACP00000003327
ENSTNIP00000003748	ENSGACP00000018592
ENSTNIP00000016727	ENSGACP00000012659
ENSTNIP00000022182	ENSGACP00000016682
ENSTNIP00000019760	ENSGACP00000005718
ENSTNIP00000003714	ENSGACP00000026638
ENSTNIP00000007596	ENSGACP00000012588
ENSTNIP00000018054	ENSGACP00000003618
ENSTNIP00000022456	ENSGACP00000017899
ENSTNIP00000006043	ENSGACP00000000852
ENSTNIP00000016815	ENSGACP00000021104
ENSTNIP00000022338	ENSGACP00000008899
ENSTNIP00000015317	ENSGACP00000024392
ENSTNIP00000014225	ENSGACP00000019750
ENSTNIP00000014793	ENSGACP00000005402
ENSTNIP00000013334	ENSGACP00000014294
ENSTNIP00000007237	ENSGACP00000003475
ENSTNIP00000020801	ENSGACP00000018898
ENSTNIP00000020371	ENSGACP00000013756
ENSTNIP00000020732	ENSGACP00000009706
ENSTNIP00000017966	ENSGACP00000017940
ENSTNIP00000006957	ENSGACP00000010518
ENSTNIP00000015838	ENSGACP00000012849
ENSTNIP00000008719	ENSGACP00000006054
ENSTNIP00000019346	ENSGACP00000015080
ENSTNIP00000014206	ENSGACP00000019283
ENSTNIP00000021522	ENSGACP00000016304
ENSTNIP00000022258	ENSGACP00000007229
ENSTNIP00000015444	ENSGACP00000015607
ENSTNIP00000005498	ENSGACP00000003347
ENSTNIP00000009443	ENSGACP00000014504
ENSTNIP00000014725	ENSGACP00000026957
ENSTNIP00000006269	ENSGACP00000016727
ENSTNIP00000005091	ENSGACP00000008001
ENSTNIP00000017603	ENSGACP00000000897
ENSTNIP00000021353	ENSGACP00000002462
ENSTNIP00000010837	ENSGACP00000012868
ENSTNIP00000009204	ENSGACP00000017642
ENSTNIP00000011370	ENSGACP00000026757
ENSTNIP00000016276	ENSGACP00000018233
ENSTNIP00000010815	ENSGACP00000023093
ENSTNIP00000011581	ENSGACP00000002353
ENSTNIP00000011482	ENSGACP00000011380
ENSTNIP00000019188	ENSGACP00000001916
ENSTNIP00000016154	ENSGACP00000019162
ENSTNIP00000009737	ENSGACP00000021302
ENSTNIP00000019780	ENSGACP00000008904
ENSTNIP00000022758	ENSGACP00000020102
ENSTNIP00000015758	ENSGACP00000005172
ENSTNIP00000018976	ENSGACP00000012130
ENSTNIP00000011377	ENSGACP00000026772
ENSTNIP00000018339	ENSGACP00000018521
ENSTNIP00000017324	ENSGACP00000000329
ENSTNIP00000018869	ENSGACP00000024465
ENSTNIP00000007546	ENSGACP00000004459
ENSTNIP00000018170	ENSGACP00000010893
ENSTNIP00000012091	ENSGACP00000015529
ENSTNIP00000012090	ENSGACP00000009913
ENSTNIP00000012092	ENSGACP00000009922
ENSTNIP00000009765	ENSGACP00000020677
ENSTNIP00000019114	ENSGACP00000013300
ENSTNIP00000009830	ENSGACP00000015006
ENSTNIP00000014783	ENSGACP00000026873
ENSTNIP00000008454	ENSGACP00000003151
ENSTNIP00000008127	ENSGACP00000003711
ENSTNIP00000007236	ENSGACP00000003468
ENSTNIP00000016742	ENSGACP00000008642
ENSTNIP00000007412	ENSGACP00000022802
ENSTNIP00000009912	ENSGACP00000022217
ENSTNIP00000012829	ENSGACP00000027201
ENSTNIP00000019369	ENSGACP00000015461
ENSTNIP00000020310	ENSGACP00000020646
ENSTNIP00000020171	ENSGACP00000010041
ENSTNIP00000015566	ENSGACP00000020104
ENSTNIP00000021559	ENSGACP00000011757
ENSTNIP00000012399	ENSGACP00000022128
ENSTNIP00000018601	ENSGACP00000013576
ENSTNIP00000016023	ENSGACP00000021973
ENSTNIP00000007523	ENSGACP00000024241
ENSTNIP00000006607	ENSGACP00000009705
ENSTNIP00000015768	ENSGACP00000010905
ENSTNIP00000015965	ENSGACP00000002238
ENSTNIP00000022443	ENSGACP00000014367
ENSTNIP00000016530	ENSGACP00000000467
ENSTNIP00000021680	ENSGACP00000024938
ENSTNIP00000019078	ENSGACP00000005404
ENSTNIP00000010159	ENSGACP00000015586
ENSTNIP00000011566	ENSGACP00000002204
ENSTNIP00000010964	ENSGACP00000003243
ENSTNIP00000010738	ENSGACP00000016726
ENSTNIP00000010714	ENSGACP00000017170
ENSTNIP00000020049	ENSGACP00000006661
ENSTNIP00000010549	ENSGACP00000013006
ENSTNIP00000005295	ENSGACP00000026013
ENSTNIP00000021172	ENSGACP00000015734
ENSTNIP00000014205	ENSGACP00000019268
ENSTNIP00000014025	ENSGACP00000020367
ENSTNIP00000010985	ENSGACP00000003404
ENSTNIP00000012913	ENSGACP00000027338
ENSTNIP00000013420	ENSGACP00000023926
ENSTNIP00000018890	ENSGACP00000010352
ENSTNIP00000008920	ENSGACP00000017857
ENSTNIP00000015270	ENSGACP00000012430
ENSTNIP00000012690	ENSGACP00000010372
ENSTNIP00000008017	ENSGACP00000018348
ENSTNIP00000020611	ENSGACP00000008640
ENSTNIP00000005562	ENSGACP00000004323
ENSTNIP00000011006	ENSGACP00000003604
ENSTNIP00000014065	ENSGACP00000012380
ENSTNIP00000016660	ENSGACP00000006493
ENSTNIP00000005651	ENSGACP00000003295
ENSTNIP00000016661	ENSGACP00000006465
