ENSGACP00000003450	ENSMUSP00000034074
ENSGACP00000012870	ENSMUSP00000020938
ENSGACP00000019276	ENSMUSP00000112534
ENSGACP00000003716	ENSMUSP00000137523
ENSGACP00000026543	ENSMUSP00000043167
ENSGACP00000027254	ENSMUSP00000124518
ENSGACP00000017842	ENSMUSP00000109175
ENSGACP00000009943	ENSMUSP00000093183
ENSGACP00000018696	ENSMUSP00000097699
ENSGACP00000016745	ENSMUSP00000029252
ENSGACP00000027325	ENSMUSP00000042313
ENSGACP00000016008	ENSMUSP00000002081
ENSGACP00000010574	ENSMUSP00000082941
ENSGACP00000009861	ENSMUSP00000129513
ENSGACP00000020412	ENSMUSP00000057849
ENSGACP00000009980	ENSMUSP00000048969
ENSGACP00000002724	ENSMUSP00000040168
ENSGACP00000020209	ENSMUSP00000096769
ENSGACP00000016332	ENSMUSP00000108961
ENSGACP00000005262	ENSMUSP00000051709
ENSGACP00000021845	ENSMUSP00000033920
ENSGACP00000021463	ENSMUSP00000085264
ENSGACP00000027576	ENSMUSP00000063762
ENSGACP00000006876	ENSMUSP00000047980
ENSGACP00000024671	ENSMUSP00000096415
ENSGACP00000000089	ENSMUSP00000125274
ENSGACP00000017018	ENSMUSP00000125274
ENSGACP00000009719	ENSMUSP00000100009
ENSGACP00000008279	ENSMUSP00000092900
ENSGACP00000024408	ENSMUSP00000088227
ENSGACP00000023575	ENSMUSP00000088227
ENSGACP00000023542	ENSMUSP00000028469
ENSGACP00000021565	ENSMUSP00000028469
ENSGACP00000017547	ENSMUSP00000049683
ENSGACP00000022432	ENSMUSP00000034015
ENSGACP00000024289	ENSMUSP00000042464
ENSGACP00000023670	ENSMUSP00000025127
ENSGACP00000021158	ENSMUSP00000002625
ENSGACP00000005556	ENSMUSP00000047393
ENSGACP00000023372	ENSMUSP00000020768
ENSGACP00000007534	ENSMUSP00000101614
ENSGACP00000003416	ENSMUSP00000099342
ENSGACP00000023175	ENSMUSP00000118588
ENSGACP00000015638	ENSMUSP00000069850
ENSGACP00000000834	ENSMUSP00000087960
ENSGACP00000013412	ENSMUSP00000087960
ENSGACP00000009247	ENSMUSP00000113395
ENSGACP00000015711	ENSMUSP00000113051
ENSGACP00000009444	ENSMUSP00000027370
ENSGACP00000007497	ENSMUSP00000105797
ENSGACP00000002653	ENSMUSP00000105797
ENSGACP00000007409	ENSMUSP00000094164
ENSGACP00000026584	ENSMUSP00000094164
ENSGACP00000018727	ENSMUSP00000079929
ENSGACP00000007264	ENSMUSP00000039443
ENSGACP00000014667	ENSMUSP00000026649
ENSGACP00000025204	ENSMUSP00000026649
ENSGACP00000022170	ENSMUSP00000007236
ENSGACP00000018835	ENSMUSP00000007236
ENSGACP00000017827	ENSMUSP00000000349
ENSGACP00000015070	ENSMUSP00000015435
ENSGACP00000025588	ENSMUSP00000062996
ENSGACP00000000277	ENSMUSP00000031281
ENSGACP00000023485	ENSMUSP00000031281
ENSGACP00000008232	ENSMUSP00000023464
ENSGACP00000001480	ENSMUSP00000033769
ENSGACP00000025500	ENSMUSP00000020448
ENSGACP00000005326	ENSMUSP00000074471
ENSGACP00000020155	ENSMUSP00000037561
ENSGACP00000019127	ENSMUSP00000101050
ENSGACP00000018912	ENSMUSP00000091595
ENSGACP00000013158	ENSMUSP00000003274
ENSGACP00000023601	ENSMUSP00000100026
ENSGACP00000015363	ENSMUSP00000107551
ENSGACP00000013224	ENSMUSP00000076856
ENSGACP00000020786	ENSMUSP00000076856
ENSGACP00000015231	ENSMUSP00000017961
ENSGACP00000019451	ENSMUSP00000039072
ENSGACP00000003594	ENSMUSP00000039072
ENSGACP00000004183	ENSMUSP00000026357
ENSGACP00000020759	ENSMUSP00000026357
ENSGACP00000023110	ENSMUSP00000087713
ENSGACP00000000456	ENSMUSP00000087713
ENSGACP00000009491	ENSMUSP00000040647
ENSGACP00000010548	ENSMUSP00000004770
ENSGACP00000027226	ENSMUSP00000004770
ENSGACP00000025795	ENSMUSP00000006151
ENSGACP00000021010	ENSMUSP00000006151
ENSGACP00000021923	ENSMUSP00000030036
ENSGACP00000023208	ENSMUSP00000128473
ENSGACP00000019894	ENSMUSP00000033652
ENSGACP00000022896	ENSMUSP00000106981
ENSGACP00000006501	ENSMUSP00000044168
ENSGACP00000004337	ENSMUSP00000044168
ENSGACP00000008486	ENSMUSP00000038430
ENSGACP00000012032	ENSMUSP00000130116
ENSGACP00000018469	ENSMUSP00000009713
ENSGACP00000005860	ENSMUSP00000009713
ENSGACP00000002984	ENSMUSP00000104335
ENSGACP00000011041	ENSMUSP00000127816
ENSGACP00000026223	ENSMUSP00000127816
ENSGACP00000020452	ENSMUSP00000057989
ENSGACP00000025364	ENSMUSP00000107863
ENSGACP00000012989	ENSMUSP00000102538
ENSGACP00000006918	ENSMUSP00000102538
ENSGACP00000026210	ENSMUSP00000020223
ENSGACP00000004346	ENSMUSP00000106747
ENSGACP00000001534	ENSMUSP00000077532
ENSGACP00000006856	ENSMUSP00000077532
ENSGACP00000016387	ENSMUSP00000058941
ENSGACP00000008570	ENSMUSP00000125700
ENSGACP00000026197	ENSMUSP00000093962
ENSGACP00000021313	ENSMUSP00000112019
ENSGACP00000026258	ENSMUSP00000112708
ENSGACP00000007555	ENSMUSP00000006341
ENSGACP00000015943	ENSMUSP00000075429
ENSGACP00000004350	ENSMUSP00000028332
ENSGACP00000005191	ENSMUSP00000107848
ENSGACP00000018902	ENSMUSP00000076160
ENSGACP00000021210	ENSMUSP00000130177
ENSGACP00000007994	ENSMUSP00000049404
ENSGACP00000013858	ENSMUSP00000047157
ENSGACP00000002435	ENSMUSP00000108046
ENSGACP00000012902	ENSMUSP00000108046
ENSGACP00000009888	ENSMUSP00000101686
ENSGACP00000022188	ENSMUSP00000130560
ENSGACP00000008602	ENSMUSP00000026209
ENSGACP00000024217	ENSMUSP00000132922
ENSGACP00000010864	ENSMUSP00000038532
ENSGACP00000006083	ENSMUSP00000058521
ENSGACP00000020073	ENSMUSP00000085416
ENSGACP00000013262	ENSMUSP00000085416
ENSGACP00000008920	ENSMUSP00000082971
ENSGACP00000005950	ENSMUSP00000088217
ENSGACP00000012855	ENSMUSP00000005829
ENSGACP00000020715	ENSMUSP00000005829
ENSGACP00000014479	ENSMUSP00000083747
ENSGACP00000025558	ENSMUSP00000036690
ENSGACP00000017841	ENSMUSP00000036690
ENSGACP00000023507	ENSMUSP00000030081
ENSGACP00000011362	ENSMUSP00000001126
ENSGACP00000023220	ENSMUSP00000117030
ENSGACP00000002330	ENSMUSP00000117030
ENSGACP00000011066	ENSMUSP00000059801
ENSGACP00000000892	ENSMUSP00000059801
ENSGACP00000018474	ENSMUSP00000048904
ENSGACP00000008013	ENSMUSP00000023559
ENSGACP00000003321	ENSMUSP00000109366
ENSGACP00000003334	ENSMUSP00000014614
ENSGACP00000024019	ENSMUSP00000062782
ENSGACP00000021893	ENSMUSP00000005889
ENSGACP00000018126	ENSMUSP00000060721
ENSGACP00000014692	ENSMUSP00000045110
ENSGACP00000026646	ENSMUSP00000035642
ENSGACP00000004454	ENSMUSP00000000449
ENSGACP00000016532	ENSMUSP00000106315
ENSGACP00000026637	ENSMUSP00000022543
ENSGACP00000019854	ENSMUSP00000107775
ENSGACP00000024131	ENSMUSP00000042515
ENSGACP00000024454	ENSMUSP00000103434
ENSGACP00000005898	ENSMUSP00000092769
ENSGACP00000004369	ENSMUSP00000047926
ENSGACP00000022914	ENSMUSP00000108928
ENSGACP00000012261	ENSMUSP00000097097
ENSGACP00000024745	ENSMUSP00000107370
ENSGACP00000012472	ENSMUSP00000107370
ENSGACP00000017442	ENSMUSP00000032069
ENSGACP00000007439	ENSMUSP00000030784
ENSGACP00000017670	ENSMUSP00000030784
ENSGACP00000000939	ENSMUSP00000132499
ENSGACP00000011081	ENSMUSP00000080342
ENSGACP00000019964	ENSMUSP00000080342
ENSGACP00000019668	ENSMUSP00000022507
ENSGACP00000002654	ENSMUSP00000030623
ENSGACP00000021647	ENSMUSP00000019638
ENSGACP00000004414	ENSMUSP00000101833
ENSGACP00000005484	ENSMUSP00000040005
ENSGACP00000008735	ENSMUSP00000107210
ENSGACP00000001247	ENSMUSP00000067779
ENSGACP00000021495	ENSMUSP00000070583
ENSGACP00000017769	ENSMUSP00000070583
ENSGACP00000005533	ENSMUSP00000118610
ENSGACP00000000139	ENSMUSP00000044693
ENSGACP00000022788	ENSMUSP00000038801
ENSGACP00000008723	ENSMUSP00000038801
ENSGACP00000025535	ENSMUSP00000004683
ENSGACP00000008253	ENSMUSP00000004683
ENSGACP00000012968	ENSMUSP00000011152
ENSGACP00000014025	ENSMUSP00000076961
ENSGACP00000017926	ENSMUSP00000013851
ENSGACP00000022100	ENSMUSP00000096356
ENSGACP00000013085	ENSMUSP00000008297
ENSGACP00000007386	ENSMUSP00000035027
ENSGACP00000020410	ENSMUSP00000035027
ENSGACP00000015584	ENSMUSP00000088297
ENSGACP00000004298	ENSMUSP00000088297
ENSGACP00000008353	ENSMUSP00000099412
ENSGACP00000006370	ENSMUSP00000043618
ENSGACP00000019698	ENSMUSP00000083806
ENSGACP00000021124	ENSMUSP00000028593
ENSGACP00000013336	ENSMUSP00000109659
ENSGACP00000011690	ENSMUSP00000041920
ENSGACP00000019948	ENSMUSP00000041920
ENSGACP00000013169	ENSMUSP00000125993
ENSGACP00000010876	ENSMUSP00000079548
ENSGACP00000009505	ENSMUSP00000079548
ENSGACP00000017522	ENSMUSP00000058264
ENSGACP00000015823	ENSMUSP00000058264
ENSGACP00000017495	ENSMUSP00000079900
ENSGACP00000016935	ENSMUSP00000079900
ENSGACP00000023711	ENSMUSP00000118322
ENSGACP00000012145	ENSMUSP00000001125
ENSGACP00000016966	ENSMUSP00000032924
ENSGACP00000007036	ENSMUSP00000103912
ENSGACP00000022469	ENSMUSP00000110526
ENSGACP00000005555	ENSMUSP00000085763
ENSGACP00000019923	ENSMUSP00000085763
ENSGACP00000003155	ENSMUSP00000053616
ENSGACP00000011268	ENSMUSP00000014698
ENSGACP00000020940	ENSMUSP00000031311
ENSGACP00000013711	ENSMUSP00000084577
ENSGACP00000007491	ENSMUSP00000084577
ENSGACP00000014495	ENSMUSP00000058344
ENSGACP00000008769	ENSMUSP00000023806
ENSGACP00000005331	ENSMUSP00000023214
ENSGACP00000011841	ENSMUSP00000023214
ENSGACP00000021125	ENSMUSP00000055254
ENSGACP00000007323	ENSMUSP00000067027
ENSGACP00000008105	ENSMUSP00000057635
ENSGACP00000009163	ENSMUSP00000034466
ENSGACP00000015592	ENSMUSP00000033979
ENSGACP00000011794	ENSMUSP00000018311
ENSGACP00000012861	ENSMUSP00000137093
ENSGACP00000006759	ENSMUSP00000137093
ENSGACP00000010604	ENSMUSP00000071704
ENSGACP00000008770	ENSMUSP00000071704
ENSGACP00000017692	ENSMUSP00000025338
ENSGACP00000000605	ENSMUSP00000025338
ENSGACP00000003213	ENSMUSP00000056642
ENSGACP00000011031	ENSMUSP00000056642
ENSGACP00000021779	ENSMUSP00000136912
ENSGACP00000011017	ENSMUSP00000113964
ENSGACP00000003214	ENSMUSP00000113964
ENSGACP00000018020	ENSMUSP00000006565
ENSGACP00000014576	ENSMUSP00000009667
ENSGACP00000017614	ENSMUSP00000053120
ENSGACP00000017925	ENSMUSP00000043108
ENSGACP00000013273	ENSMUSP00000092019
ENSGACP00000004826	ENSMUSP00000021810
ENSGACP00000023724	ENSMUSP00000041539
ENSGACP00000008841	ENSMUSP00000040331
ENSGACP00000010680	ENSMUSP00000109653
ENSGACP00000023472	ENSMUSP00000059783
ENSGACP00000023472	ENSMUSP00000103048
ENSGACP00000017930	ENSMUSP00000044936
ENSGACP00000015542	ENSMUSP00000044936
ENSGACP00000012067	ENSMUSP00000081285
ENSGACP00000006756	ENSMUSP00000034989
ENSGACP00000004225	ENSMUSP00000032856
ENSGACP00000009655	ENSMUSP00000025439
ENSGACP00000001945	ENSMUSP00000107697
ENSGACP00000007399	ENSMUSP00000098097
ENSGACP00000025484	ENSMUSP00000080791
ENSGACP00000008103	ENSMUSP00000090293
ENSGACP00000017540	ENSMUSP00000090293
ENSGACP00000007413	ENSMUSP00000066556
ENSGACP00000017473	ENSMUSP00000046877
ENSGACP00000023140	ENSMUSP00000129205
ENSGACP00000011117	ENSMUSP00000081043
ENSGACP00000012616	ENSMUSP00000081043
ENSGACP00000014474	ENSMUSP00000102976
ENSGACP00000016233	ENSMUSP00000037233
ENSGACP00000012111	ENSMUSP00000037233
ENSGACP00000012253	ENSMUSP00000127068
ENSGACP00000007604	ENSMUSP00000030724
ENSGACP00000011747	ENSMUSP00000097515
ENSGACP00000014597	ENSMUSP00000041337
ENSGACP00000024583	ENSMUSP00000059503
ENSGACP00000021734	ENSMUSP00000059503
ENSGACP00000027244	ENSMUSP00000082694
ENSGACP00000015749	ENSMUSP00000082694
ENSGACP00000009498	ENSMUSP00000102559
ENSGACP00000025927	ENSMUSP00000072121
ENSGACP00000023942	ENSMUSP00000132190
ENSGACP00000024443	ENSMUSP00000029269
ENSGACP00000004061	ENSMUSP00000026891
ENSGACP00000027187	ENSMUSP00000029316
ENSGACP00000016121	ENSMUSP00000031622
ENSGACP00000012475	ENSMUSP00000031622
ENSGACP00000011028	ENSMUSP00000005860
ENSGACP00000006043	ENSMUSP00000030551
ENSGACP00000010550	ENSMUSP00000116271
ENSGACP00000014124	ENSMUSP00000079693
ENSGACP00000021110	ENSMUSP00000109291
ENSGACP00000000596	ENSMUSP00000001720
ENSGACP00000022782	ENSMUSP00000034150
ENSGACP00000026874	ENSMUSP00000041951
ENSGACP00000011345	ENSMUSP00000009234
ENSGACP00000017403	ENSMUSP00000044262
ENSGACP00000027640	ENSMUSP00000001415
ENSGACP00000016598	ENSMUSP00000059039
ENSGACP00000013193	ENSMUSP00000059039
ENSGACP00000008375	ENSMUSP00000067002
ENSGACP00000022996	ENSMUSP00000099950
ENSGACP00000020821	ENSMUSP00000039663
ENSGACP00000027001	ENSMUSP00000041907
ENSGACP00000026659	ENSMUSP00000034472
ENSGACP00000014114	ENSMUSP00000034472
ENSGACP00000018365	ENSMUSP00000030709
ENSGACP00000016016	ENSMUSP00000020022
ENSGACP00000027235	ENSMUSP00000042187
ENSGACP00000004122	ENSMUSP00000040045
ENSGACP00000023771	ENSMUSP00000130636
ENSGACP00000023898	ENSMUSP00000089051
ENSGACP00000004306	ENSMUSP00000089051
ENSGACP00000013238	ENSMUSP00000085499
ENSGACP00000007037	ENSMUSP00000013559
ENSGACP00000022634	ENSMUSP00000019503
ENSGACP00000015087	ENSMUSP00000029196
ENSGACP00000014513	ENSMUSP00000043962
ENSGACP00000020174	ENSMUSP00000057962
ENSGACP00000017552	ENSMUSP00000134222
ENSGACP00000009935	ENSMUSP00000089463
ENSGACP00000002784	ENSMUSP00000017576
ENSGACP00000012148	ENSMUSP00000000058
ENSGACP00000012139	ENSMUSP00000007799
ENSGACP00000012891	ENSMUSP00000126177
ENSGACP00000017505	ENSMUSP00000091870
ENSGACP00000023819	ENSMUSP00000063108
ENSGACP00000023528	ENSMUSP00000029761
ENSGACP00000025820	ENSMUSP00000029761
ENSGACP00000014446	ENSMUSP00000087955
ENSGACP00000003763	ENSMUSP00000087955
ENSGACP00000017855	ENSMUSP00000087950
ENSGACP00000019205	ENSMUSP00000087950
ENSGACP00000008937	ENSMUSP00000046003
ENSGACP00000003142	ENSMUSP00000088047
ENSGACP00000009984	ENSMUSP00000091151
ENSGACP00000007237	ENSMUSP00000032936
ENSGACP00000013753	ENSMUSP00000057106
ENSGACP00000002791	ENSMUSP00000036797
ENSGACP00000015148	ENSMUSP00000106128
ENSGACP00000012810	ENSMUSP00000021243
ENSGACP00000003031	ENSMUSP00000021870
ENSGACP00000017879	ENSMUSP00000037834
ENSGACP00000020655	ENSMUSP00000069685
ENSGACP00000000392	ENSMUSP00000069685
ENSGACP00000003157	ENSMUSP00000026284
ENSGACP00000002828	ENSMUSP00000045156
ENSGACP00000025624	ENSMUSP00000019135
ENSGACP00000016227	ENSMUSP00000019135
ENSGACP00000025318	ENSMUSP00000035992
ENSGACP00000009733	ENSMUSP00000035992
ENSGACP00000025814	ENSMUSP00000033160
ENSGACP00000027520	ENSMUSP00000076459
ENSGACP00000017353	ENSMUSP00000068258
ENSGACP00000007319	ENSMUSP00000068258
ENSGACP00000017735	ENSMUSP00000105140
ENSGACP00000011923	ENSMUSP00000022099
ENSGACP00000008743	ENSMUSP00000022099
ENSGACP00000001874	ENSMUSP00000128223
ENSGACP00000018937	ENSMUSP00000075587
ENSGACP00000018824	ENSMUSP00000075587
ENSGACP00000005417	ENSMUSP00000133159
ENSGACP00000024940	ENSMUSP00000133159
ENSGACP00000015565	ENSMUSP00000075376
ENSGACP00000016107	ENSMUSP00000002080
ENSGACP00000000577	ENSMUSP00000002080
ENSGACP00000020989	ENSMUSP00000109190
ENSGACP00000016189	ENSMUSP00000092283
ENSGACP00000003926	ENSMUSP00000044543
ENSGACP00000014699	ENSMUSP00000026134
ENSGACP00000025172	ENSMUSP00000026134
ENSGACP00000025941	ENSMUSP00000099018
ENSGACP00000024768	ENSMUSP00000016383
ENSGACP00000023839	ENSMUSP00000066403
ENSGACP00000023219	ENSMUSP00000034239
ENSGACP00000022260	ENSMUSP00000114968
ENSGACP00000007173	ENSMUSP00000108075
ENSGACP00000021237	ENSMUSP00000035328
ENSGACP00000000535	ENSMUSP00000071619
ENSGACP00000018282	ENSMUSP00000105000
ENSGACP00000000033	ENSMUSP00000029170
ENSGACP00000010370	ENSMUSP00000034091
ENSGACP00000023516	ENSMUSP00000048877
ENSGACP00000016382	ENSMUSP00000021550
ENSGACP00000014652	ENSMUSP00000040853
ENSGACP00000017877	ENSMUSP00000029574
ENSGACP00000013154	ENSMUSP00000032218
ENSGACP00000011949	ENSMUSP00000034650
ENSGACP00000027451	ENSMUSP00000034650
ENSGACP00000021029	ENSMUSP00000068374
ENSGACP00000017743	ENSMUSP00000019405
ENSGACP00000012899	ENSMUSP00000019405
ENSGACP00000009382	ENSMUSP00000099599
ENSGACP00000018995	ENSMUSP00000022727
ENSGACP00000010396	ENSMUSP00000119872
ENSGACP00000017653	ENSMUSP00000027800
ENSGACP00000020405	ENSMUSP00000035031
ENSGACP00000002181	ENSMUSP00000041110
ENSGACP00000015012	ENSMUSP00000020000
ENSGACP00000017307	ENSMUSP00000021347
ENSGACP00000018450	ENSMUSP00000080280
ENSGACP00000019915	ENSMUSP00000080280
ENSGACP00000001085	ENSMUSP00000047564
ENSGACP00000027314	ENSMUSP00000047564
ENSGACP00000015860	ENSMUSP00000071231
ENSGACP00000016429	ENSMUSP00000001279
ENSGACP00000019957	ENSMUSP00000112539
ENSGACP00000004165	ENSMUSP00000112539
ENSGACP00000020071	ENSMUSP00000003152
ENSGACP00000023162	ENSMUSP00000107297
ENSGACP00000011608	ENSMUSP00000028758
ENSGACP00000013019	ENSMUSP00000003850
ENSGACP00000026891	ENSMUSP00000003850
ENSGACP00000018284	ENSMUSP00000083892
ENSGACP00000003070	ENSMUSP00000114852
ENSGACP00000009145	ENSMUSP00000053553
ENSGACP00000006645	ENSMUSP00000092761
ENSGACP00000022748	ENSMUSP00000096214
ENSGACP00000014176	ENSMUSP00000015456
ENSGACP00000005355	ENSMUSP00000044034
ENSGACP00000020604	ENSMUSP00000044034
ENSGACP00000006633	ENSMUSP00000107804
ENSGACP00000002217	ENSMUSP00000077138
ENSGACP00000018240	ENSMUSP00000041671
ENSGACP00000017039	ENSMUSP00000069444
ENSGACP00000000100	ENSMUSP00000069444
ENSGACP00000009047	ENSMUSP00000066040
ENSGACP00000026716	ENSMUSP00000090617
ENSGACP00000026715	ENSMUSP00000044418
ENSGACP00000019784	ENSMUSP00000032994
ENSGACP00000021380	ENSMUSP00000006235
ENSGACP00000013558	ENSMUSP00000006235
ENSGACP00000006525	ENSMUSP00000101620
ENSGACP00000000297	ENSMUSP00000018313
ENSGACP00000020302	ENSMUSP00000026156
ENSGACP00000009209	ENSMUSP00000066256
ENSGACP00000001414	ENSMUSP00000050592
ENSGACP00000009280	ENSMUSP00000069488
ENSGACP00000007942	ENSMUSP00000029766
ENSGACP00000017885	ENSMUSP00000065254
ENSGACP00000014804	ENSMUSP00000136503
ENSGACP00000003202	ENSMUSP00000039313
ENSGACP00000018518	ENSMUSP00000038166
ENSGACP00000009919	ENSMUSP00000060225
ENSGACP00000006104	ENSMUSP00000104864
ENSGACP00000023497	ENSMUSP00000104864
ENSGACP00000001155	ENSMUSP00000125749
ENSGACP00000025226	ENSMUSP00000041052
ENSGACP00000020150	ENSMUSP00000058954
ENSGACP00000026964	ENSMUSP00000060844
ENSGACP00000024720	ENSMUSP00000067085
ENSGACP00000022999	ENSMUSP00000000910
ENSGACP00000013057	ENSMUSP00000075526
ENSGACP00000015763	ENSMUSP00000028511
ENSGACP00000019895	ENSMUSP00000005406
ENSGACP00000004478	ENSMUSP00000005406
ENSGACP00000022692	ENSMUSP00000133222
ENSGACP00000015502	ENSMUSP00000061493
ENSGACP00000011134	ENSMUSP00000021514
ENSGACP00000012652	ENSMUSP00000032560
ENSGACP00000026894	ENSMUSP00000032560
ENSGACP00000005789	ENSMUSP00000003035
ENSGACP00000011419	ENSMUSP00000037136
ENSGACP00000018101	ENSMUSP00000091532
ENSGACP00000026829	ENSMUSP00000091532
ENSGACP00000016955	ENSMUSP00000101940
ENSGACP00000009265	ENSMUSP00000021052
ENSGACP00000007600	ENSMUSP00000023759
ENSGACP00000001677	ENSMUSP00000091301
ENSGACP00000002037	ENSMUSP00000091301
ENSGACP00000000491	ENSMUSP00000027688
ENSGACP00000026541	ENSMUSP00000026902
ENSGACP00000023695	ENSMUSP00000128840
ENSGACP00000023820	ENSMUSP00000112930
ENSGACP00000003084	ENSMUSP00000113115
ENSGACP00000011360	ENSMUSP00000113115
ENSGACP00000011142	ENSMUSP00000050995
ENSGACP00000006208	ENSMUSP00000106013
ENSGACP00000024229	ENSMUSP00000133356
ENSGACP00000018699	ENSMUSP00000027186
ENSGACP00000016629	ENSMUSP00000021410
ENSGACP00000026107	ENSMUSP00000112266
ENSGACP00000027432	ENSMUSP00000080881
ENSGACP00000026560	ENSMUSP00000051092
ENSGACP00000013868	ENSMUSP00000051092
ENSGACP00000006776	ENSMUSP00000074066
ENSGACP00000017590	ENSMUSP00000074066
ENSGACP00000008457	ENSMUSP00000087608
ENSGACP00000002059	ENSMUSP00000059330
ENSGACP00000007070	ENSMUSP00000101412
ENSGACP00000001524	ENSMUSP00000101412
ENSGACP00000018536	ENSMUSP00000029730
ENSGACP00000022775	ENSMUSP00000044361
ENSGACP00000027405	ENSMUSP00000025295
ENSGACP00000018207	ENSMUSP00000022242
ENSGACP00000004018	ENSMUSP00000003754
ENSGACP00000020962	ENSMUSP00000003754
ENSGACP00000012709	ENSMUSP00000021770
ENSGACP00000015181	ENSMUSP00000072276
ENSGACP00000006988	ENSMUSP00000029450
ENSGACP00000013064	ENSMUSP00000029450
ENSGACP00000011035	ENSMUSP00000057815
ENSGACP00000014895	ENSMUSP00000021552
ENSGACP00000023134	ENSMUSP00000135040
ENSGACP00000011358	ENSMUSP00000022057
ENSGACP00000026552	ENSMUSP00000108455
ENSGACP00000003924	ENSMUSP00000103983
ENSGACP00000015892	ENSMUSP00000037808
ENSGACP00000003433	ENSMUSP00000037808
ENSGACP00000012672	ENSMUSP00000120414
ENSGACP00000003731	ENSMUSP00000026548
ENSGACP00000020189	ENSMUSP00000026548
ENSGACP00000016502	ENSMUSP00000047616
ENSGACP00000013976	ENSMUSP00000026900
ENSGACP00000000323	ENSMUSP00000014691
ENSGACP00000000293	ENSMUSP00000109140
ENSGACP00000024785	ENSMUSP00000085906
ENSGACP00000022756	ENSMUSP00000078047
ENSGACP00000007510	ENSMUSP00000096876
ENSGACP00000005778	ENSMUSP00000096877
ENSGACP00000003810	ENSMUSP00000025253
ENSGACP00000006808	ENSMUSP00000102047
ENSGACP00000010749	ENSMUSP00000064943
ENSGACP00000018778	ENSMUSP00000017945
ENSGACP00000021461	ENSMUSP00000031167
ENSGACP00000015639	ENSMUSP00000076418
ENSGACP00000003952	ENSMUSP00000099494
ENSGACP00000022936	ENSMUSP00000033427
ENSGACP00000015344	ENSMUSP00000015449
ENSGACP00000008840	ENSMUSP00000025356
ENSGACP00000026315	ENSMUSP00000004036
ENSGACP00000002008	ENSMUSP00000001319
ENSGACP00000020264	ENSMUSP00000001319
ENSGACP00000024487	ENSMUSP00000050716
ENSGACP00000016443	ENSMUSP00000029476
ENSGACP00000001603	ENSMUSP00000039568
ENSGACP00000004400	ENSMUSP00000077628
ENSGACP00000002449	ENSMUSP00000061410
ENSGACP00000017795	ENSMUSP00000084196
ENSGACP00000008577	ENSMUSP00000048234
ENSGACP00000022211	ENSMUSP00000046512
ENSGACP00000022306	ENSMUSP00000022744
ENSGACP00000010264	ENSMUSP00000022744
ENSGACP00000005959	ENSMUSP00000023065
ENSGACP00000006597	ENSMUSP00000078490
ENSGACP00000010692	ENSMUSP00000029435
ENSGACP00000026519	ENSMUSP00000100053
ENSGACP00000008682	ENSMUSP00000138290
ENSGACP00000005161	ENSMUSP00000089388
ENSGACP00000007388	ENSMUSP00000089388
ENSGACP00000018795	ENSMUSP00000021641
ENSGACP00000017675	ENSMUSP00000021641
ENSGACP00000014721	ENSMUSP00000104785
ENSGACP00000014244	ENSMUSP00000031029
ENSGACP00000017970	ENSMUSP00000060143
ENSGACP00000005675	ENSMUSP00000105491
ENSGACP00000015972	ENSMUSP00000105491
ENSGACP00000019484	ENSMUSP00000062734
ENSGACP00000012200	ENSMUSP00000099609
ENSGACP00000013135	ENSMUSP00000005188
ENSGACP00000008314	ENSMUSP00000083490
ENSGACP00000012097	ENSMUSP00000015877
ENSGACP00000016905	ENSMUSP00000003183
ENSGACP00000021543	ENSMUSP00000031359
ENSGACP00000018244	ENSMUSP00000031359
ENSGACP00000019901	ENSMUSP00000071191
ENSGACP00000022460	ENSMUSP00000094515
ENSGACP00000006180	ENSMUSP00000047571
ENSGACP00000022296	ENSMUSP00000069872
ENSGACP00000027231	ENSMUSP00000053086
ENSGACP00000017006	ENSMUSP00000125912
ENSGACP00000013149	ENSMUSP00000111032
ENSGACP00000027452	ENSMUSP00000041902
ENSGACP00000011960	ENSMUSP00000041902
ENSGACP00000004441	ENSMUSP00000039955
ENSGACP00000026588	ENSMUSP00000011262
ENSGACP00000025338	ENSMUSP00000126405
ENSGACP00000017793	ENSMUSP00000124354
ENSGACP00000017329	ENSMUSP00000087049
ENSGACP00000023189	ENSMUSP00000096203
ENSGACP00000023779	ENSMUSP00000022881
ENSGACP00000019973	ENSMUSP00000095300
ENSGACP00000020489	ENSMUSP00000075916
ENSGACP00000023037	ENSMUSP00000113540
ENSGACP00000020897	ENSMUSP00000022164
ENSGACP00000017336	ENSMUSP00000075140
ENSGACP00000005991	ENSMUSP00000113881
ENSGACP00000011961	ENSMUSP00000023737
ENSGACP00000027416	ENSMUSP00000100561
ENSGACP00000012191	ENSMUSP00000035083
ENSGACP00000011751	ENSMUSP00000017544
ENSGACP00000008009	ENSMUSP00000017544
ENSGACP00000008289	ENSMUSP00000048148
ENSGACP00000025880	ENSMUSP00000073004
ENSGACP00000009155	ENSMUSP00000048267
ENSGACP00000007501	ENSMUSP00000028814
ENSGACP00000024109	ENSMUSP00000031317
ENSGACP00000020799	ENSMUSP00000112717
ENSGACP00000006537	ENSMUSP00000025050
ENSGACP00000025821	ENSMUSP00000102034
ENSGACP00000024304	ENSMUSP00000095174
ENSGACP00000018840	ENSMUSP00000073541
ENSGACP00000005377	ENSMUSP00000005003
ENSGACP00000026799	ENSMUSP00000025713
ENSGACP00000008045	ENSMUSP00000042803
ENSGACP00000015512	ENSMUSP00000041581
