ENSP00000371994	ENSMUSP00000129557
ENSP00000237837	ENSMUSP00000000186
ENSP00000287295	ENSMUSP00000041104
ENSP00000382120	ENSMUSP00000023448
ENSP00000307940	ENSMUSP00000046101
ENSP00000392094	ENSMUSP00000021306
ENSP00000230381	ENSMUSP00000024773
ENSP00000278833	ENSMUSP00000093961
ENSP00000281928	ENSMUSP00000098379
ENSP00000380888	ENSMUSP00000044268
ENSP00000370223	ENSMUSP00000028892
ENSP00000343741	ENSMUSP00000034980
ENSP00000313420	ENSMUSP00000023352
ENSP00000311695	ENSMUSP00000137537
ENSP00000384040	ENSMUSP00000090941
ENSP00000369592	ENSMUSP00000125757
ENSP00000398481	ENSMUSP00000018122
ENSP00000215838	ENSMUSP00000105620
ENSP00000257248	ENSMUSP00000025585
ENSP00000266581	ENSMUSP00000059913
ENSP00000358880	ENSMUSP00000102267
ENSP00000439268	ENSMUSP00000082137
ENSP00000278071	ENSMUSP00000093697
ENSP00000355121	ENSMUSP00000106016
ENSP00000370849	ENSMUSP00000136409
ENSP00000356115	ENSMUSP00000116282
ENSP00000379051	ENSMUSP00000136957
ENSP00000332706	ENSMUSP00000059404
ENSP00000412549	ENSMUSP00000080659
ENSP00000268793	ENSMUSP00000034371
ENSP00000376807	ENSMUSP00000019422
ENSP00000279068	ENSMUSP00000055036
ENSP00000298556	ENSMUSP00000026723
ENSP00000359848	ENSMUSP00000045351
ENSP00000376911	ENSMUSP00000021607
ENSP00000237937	ENSMUSP00000025659
ENSP00000261749	ENSMUSP00000069228
ENSP00000344192	ENSMUSP00000027061
ENSP00000337432	ENSMUSP00000046960
ENSP00000244241	ENSMUSP00000056008
ENSP00000326128	ENSMUSP00000089437
ENSP00000381490	ENSMUSP00000097780
ENSP00000393887	ENSMUSP00000023583
ENSP00000265029	ENSMUSP00000023587
ENSP00000262209	ENSMUSP00000043594
ENSP00000369436	ENSMUSP00000052056
ENSP00000410157	ENSMUSP00000075566
ENSP00000377508	ENSMUSP00000001592
ENSP00000344456	ENSMUSP00000007130
ENSP00000268154	ENSMUSP00000050577
ENSP00000313158	ENSMUSP00000060040
ENSP00000264313	ENSMUSP00000115871
ENSP00000418707	ENSMUSP00000070592
ENSP00000370003	ENSMUSP00000022634
ENSP00000357625	ENSMUSP00000101718
ENSP00000222572	ENSMUSP00000062670
ENSP00000265627	ENSMUSP00000031773
ENSP00000222381	ENSMUSP00000002663
ENSP00000433209	ENSMUSP00000023238
ENSP00000328992	ENSMUSP00000113835
ENSP00000318690	ENSMUSP00000035644
ENSP00000376224	ENSMUSP00000064080
ENSP00000428544	ENSMUSP00000092253
ENSP00000463375	ENSMUSP00000137246
ENSP00000241261	ENSMUSP00000040271
ENSP00000239849	ENSMUSP00000022592
ENSP00000362744	ENSMUSP00000033683
ENSP00000306328	ENSMUSP00000101311
ENSP00000364140	ENSMUSP00000099981
ENSP00000347665	ENSMUSP00000101049
ENSP00000318270	ENSMUSP00000028855
ENSP00000426809	ENSMUSP00000073751
ENSP00000325266	ENSMUSP00000094513
ENSP00000311760	ENSMUSP00000008088
ENSP00000256367	ENSMUSP00000048590
ENSP00000243167	ENSMUSP00000041543
ENSP00000273857	ENSMUSP00000005352
ENSP00000216044	ENSMUSP00000043575
ENSP00000303997	ENSMUSP00000024748
ENSP00000346080	ENSMUSP00000043111
ENSP00000322716	ENSMUSP00000111510
ENSP00000265395	ENSMUSP00000031788
ENSP00000235628	ENSMUSP00000069422
ENSP00000395654	ENSMUSP00000096547
ENSP00000371638	ENSMUSP00000025862
ENSP00000331474	ENSMUSP00000093206
ENSP00000375859	ENSMUSP00000078407
ENSP00000366058	ENSMUSP00000105560
ENSP00000316891	ENSMUSP00000098723
ENSP00000433352	ENSMUSP00000097910
ENSP00000262238	ENSMUSP00000021692
ENSP00000317686	ENSMUSP00000080765
ENSP00000389381	ENSMUSP00000137233
ENSP00000270459	ENSMUSP00000092468
ENSP00000455585	ENSMUSP00000137494
ENSP00000346874	ENSMUSP00000033018
ENSP00000341171	ENSMUSP00000050211
ENSP00000429064	ENSMUSP00000079239
ENSP00000334836	ENSMUSP00000037970
ENSP00000386456	ENSMUSP00000086948
ENSP00000388823	ENSMUSP00000031009
ENSP00000307722	ENSMUSP00000020537
ENSP00000252939	ENSMUSP00000130779
ENSP00000256797	ENSMUSP00000033153
ENSP00000401445	ENSMUSP00000001059
ENSP00000381053	ENSMUSP00000106266
ENSP00000418210	ENSMUSP00000104889
ENSP00000367494	ENSMUSP00000010298
ENSP00000387266	ENSMUSP00000049336
ENSP00000337510	ENSMUSP00000075266
ENSP00000237281	ENSMUSP00000117687
ENSP00000378394	ENSMUSP00000137476
ENSP00000317445	ENSMUSP00000100594
ENSP00000377409	ENSMUSP00000066805
ENSP00000361189	ENSMUSP00000022337
ENSP00000424565	ENSMUSP00000043596
ENSP00000281282	ENSMUSP00000072672
ENSP00000271636	ENSMUSP00000102894
ENSP00000299687	ENSMUSP00000118361
ENSP00000419975	ENSMUSP00000077353
ENSP00000436552	ENSMUSP00000117017
ENSP00000357073	ENSMUSP00000106866
ENSP00000377344	ENSMUSP00000091197
ENSP00000230640	ENSMUSP00000022281
ENSP00000261712	ENSMUSP00000017572
ENSP00000299259	ENSMUSP00000028635
ENSP00000355925	ENSMUSP00000135703
ENSP00000451463	ENSMUSP00000135881
ENSP00000381473	ENSMUSP00000134848
ENSP00000253410	ENSMUSP00000021302
ENSP00000368523	ENSMUSP00000022590
ENSP00000239906	ENSMUSP00000037034
ENSP00000338532	ENSMUSP00000095608
ENSP00000310057	ENSMUSP00000045539
ENSP00000278780	ENSMUSP00000044026
ENSP00000337862	ENSMUSP00000025861
ENSP00000323421	ENSMUSP00000044645
ENSP00000350036	ENSMUSP00000023068
ENSP00000315630	ENSMUSP00000033325
ENSP00000319831	ENSMUSP00000002327
ENSP00000374212	ENSMUSP00000049038
ENSP00000251810	ENSMUSP00000022901
ENSP00000353770	ENSMUSP00000020980
ENSP00000193391	ENSMUSP00000063648
ENSP00000358966	ENSMUSP00000108876
ENSP00000295770	ENSMUSP00000035010
ENSP00000376472	ENSMUSP00000113116
ENSP00000409906	ENSMUSP00000087857
ENSP00000345216	ENSMUSP00000036214
ENSP00000309690	ENSMUSP00000137871
ENSP00000441858	ENSMUSP00000113705
ENSP00000367203	ENSMUSP00000061539
ENSP00000328939	ENSMUSP00000070012
ENSP00000254846	ENSMUSP00000091620
ENSP00000378408	ENSMUSP00000023203
ENSP00000356849	ENSMUSP00000127395
ENSP00000354536	ENSMUSP00000039711
ENSP00000354504	ENSMUSP00000065786
ENSP00000344352	ENSMUSP00000027941
ENSP00000267569	ENSMUSP00000059724
ENSP00000356433	ENSMUSP00000052017
ENSP00000361895	ENSMUSP00000030408
ENSP00000385527	ENSMUSP00000045315
ENSP00000360280	ENSMUSP00000102443
ENSP00000313391	ENSMUSP00000079689
ENSP00000363533	ENSMUSP00000109728
ENSP00000272427	ENSMUSP00000125312
ENSP00000260762	ENSMUSP00000064332
ENSP00000262316	ENSMUSP00000020524
ENSP00000322775	ENSMUSP00000099317
ENSP00000417587	ENSMUSP00000134963
ENSP00000316794	ENSMUSP00000060157
ENSP00000340590	ENSMUSP00000108462
ENSP00000418428	ENSMUSP00000059575
ENSP00000290354	ENSMUSP00000047712
ENSP00000254624	ENSMUSP00000015146
ENSP00000384081	ENSMUSP00000106809
ENSP00000272444	ENSMUSP00000032071
ENSP00000340465	ENSMUSP00000065935
ENSP00000272542	ENSMUSP00000028880
ENSP00000359052	ENSMUSP00000131904
ENSP00000362187	ENSMUSP00000044731
ENSP00000254963	ENSMUSP00000096950
ENSP00000358211	ENSMUSP00000066860
ENSP00000428579	ENSMUSP00000124804
ENSP00000309501	ENSMUSP00000124712
ENSP00000381098	ENSMUSP00000123234
ENSP00000408025	ENSMUSP00000090564
ENSP00000364486	ENSMUSP00000021907
ENSP00000380489	ENSMUSP00000125995
ENSP00000293230	ENSMUSP00000021166
ENSP00000456566	ENSMUSP00000008626
ENSP00000358777	ENSMUSP00000019231
ENSP00000369513	ENSMUSP00000105168
ENSP00000297267	ENSMUSP00000095036
ENSP00000417281	ENSMUSP00000020408
ENSP00000403984	ENSMUSP00000020963
ENSP00000386870	ENSMUSP00000135913
ENSP00000367715	ENSMUSP00000063650
ENSP00000260810	ENSMUSP00000035164
ENSP00000363124	ENSMUSP00000043138
ENSP00000378784	ENSMUSP00000035682
ENSP00000297578	ENSMUSP00000022908
ENSP00000390722	ENSMUSP00000023040
ENSP00000426022	ENSMUSP00000047586
ENSP00000248564	ENSMUSP00000031670
ENSP00000248572	ENSMUSP00000031673
ENSP00000238714	ENSMUSP00000020513
ENSP00000216277	ENSMUSP00000105527
ENSP00000384700	ENSMUSP00000100595
ENSP00000365637	ENSMUSP00000110274
ENSP00000264659	ENSMUSP00000103222
ENSP00000378400	ENSMUSP00000073371
ENSP00000259006	ENSMUSP00000045357
ENSP00000400887	ENSMUSP00000057632
ENSP00000216484	ENSMUSP00000021424
ENSP00000381968	ENSMUSP00000048313
ENSP00000355560	ENSMUSP00000047880
ENSP00000403925	ENSMUSP00000067882
ENSP00000302625	ENSMUSP00000051331
ENSP00000262320	ENSMUSP00000073974
ENSP00000305790	ENSMUSP00000045073
ENSP00000301764	ENSMUSP00000025649
ENSP00000266735	ENSMUSP00000020203
ENSP00000307241	ENSMUSP00000022268
ENSP00000265594	ENSMUSP00000029259
ENSP00000365462	ENSMUSP00000038763
ENSP00000344942	ENSMUSP00000055475
ENSP00000337040	ENSMUSP00000002127
ENSP00000366179	ENSMUSP00000126321
ENSP00000373600	ENSMUSP00000015277
ENSP00000298910	ENSMUSP00000052584
ENSP00000355568	ENSMUSP00000062753
ENSP00000307265	ENSMUSP00000061234
ENSP00000276692	ENSMUSP00000105783
ENSP00000402527	ENSMUSP00000047220
ENSP00000377655	ENSMUSP00000086779
ENSP00000416040	ENSMUSP00000130121
ENSP00000315295	ENSMUSP00000106756
ENSP00000333982	ENSMUSP00000018880
ENSP00000361883	ENSMUSP00000101864
ENSP00000370695	ENSMUSP00000109121
ENSP00000324302	ENSMUSP00000112551
ENSP00000398568	ENSMUSP00000041483
ENSP00000288828	ENSMUSP00000045201
ENSP00000262139	ENSMUSP00000099349
ENSP00000300737	ENSMUSP00000033289
ENSP00000417569	ENSMUSP00000113174
ENSP00000344831	ENSMUSP00000067611
ENSP00000217254	ENSMUSP00000072961
ENSP00000342793	ENSMUSP00000113810
ENSP00000263088	ENSMUSP00000018429
ENSP00000267064	ENSMUSP00000100868
ENSP00000365569	ENSMUSP00000001569
ENSP00000378368	ENSMUSP00000072136
ENSP00000350954	ENSMUSP00000062174
ENSP00000364398	ENSMUSP00000021929
ENSP00000405388	ENSMUSP00000103495
ENSP00000084798	ENSMUSP00000003360
ENSP00000309198	ENSMUSP00000045998
ENSP00000340596	ENSMUSP00000073652
ENSP00000268712	ENSMUSP00000018645
ENSP00000384018	ENSMUSP00000083250
ENSP00000333003	ENSMUSP00000086752
ENSP00000219301	ENSMUSP00000137577
ENSP00000350012	ENSMUSP00000045291
ENSP00000339787	ENSMUSP00000033634
ENSP00000377991	ENSMUSP00000114015
ENSP00000181796	ENSMUSP00000027965
ENSP00000002165	ENSMUSP00000113499
ENSP00000363603	ENSMUSP00000030434
ENSP00000246957	ENSMUSP00000006137
ENSP00000329117	ENSMUSP00000109502
ENSP00000426528	ENSMUSP00000022561
ENSP00000392700	ENSMUSP00000054748
ENSP00000354608	ENSMUSP00000131243
ENSP00000394863	ENSMUSP00000030412
ENSP00000434442	ENSMUSP00000028691
ENSP00000263245	ENSMUSP00000064893
ENSP00000395083	ENSMUSP00000122964
ENSP00000254584	ENSMUSP00000120387
ENSP00000397249	ENSMUSP00000020856
ENSP00000394316	ENSMUSP00000051935
ENSP00000420477	ENSMUSP00000049490
ENSP00000325376	ENSMUSP00000120115
ENSP00000306772	ENSMUSP00000067737
ENSP00000392466	ENSMUSP00000118546
ENSP00000219611	ENSMUSP00000039528
ENSP00000253693	ENSMUSP00000022451
ENSP00000401089	ENSMUSP00000056787
ENSP00000314103	ENSMUSP00000102707
ENSP00000339802	ENSMUSP00000054330
ENSP00000361791	ENSMUSP00000101887
ENSP00000381666	ENSMUSP00000047281
ENSP00000287152	ENSMUSP00000124674
ENSP00000333942	ENSMUSP00000057896
ENSP00000306410	ENSMUSP00000080028
ENSP00000298032	ENSMUSP00000110287
ENSP00000313869	ENSMUSP00000035099
ENSP00000234160	ENSMUSP00000028509
ENSP00000268661	ENSMUSP00000129325
ENSP00000292823	ENSMUSP00000130056
ENSP00000368439	ENSMUSP00000044280
ENSP00000363308	ENSMUSP00000112719
ENSP00000344401	ENSMUSP00000078361
ENSP00000368876	ENSMUSP00000094886
ENSP00000355045	ENSMUSP00000070382
ENSP00000348838	ENSMUSP00000085581
ENSP00000397453	ENSMUSP00000112741
ENSP00000419325	ENSMUSP00000078774
ENSP00000269159	ENSMUSP00000025403
ENSP00000379203	ENSMUSP00000022904
ENSP00000272238	ENSMUSP00000020884
ENSP00000328287	ENSMUSP00000124548
ENSP00000443176	ENSMUSP00000057275
ENSP00000360124	ENSMUSP00000061227
ENSP00000262644	ENSMUSP00000082013
ENSP00000446828	ENSMUSP00000027916
ENSP00000259667	ENSMUSP00000030192
ENSP00000074304	ENSMUSP00000027287
ENSP00000425487	ENSMUSP00000044466
ENSP00000406490	ENSMUSP00000027267
ENSP00000365938	ENSMUSP00000121249
ENSP00000259253	ENSMUSP00000037930
ENSP00000355110	ENSMUSP00000105976
ENSP00000346537	ENSMUSP00000024660
ENSP00000303486	ENSMUSP00000043643
ENSP00000345793	ENSMUSP00000105181
ENSP00000379773	ENSMUSP00000041308
ENSP00000343001	ENSMUSP00000099501
ENSP00000387362	ENSMUSP00000113346
ENSP00000342778	ENSMUSP00000031032
ENSP00000325548	ENSMUSP00000128696
ENSP00000351682	ENSMUSP00000069699
ENSP00000393860	ENSMUSP00000066546
ENSP00000306522	ENSMUSP00000054804
ENSP00000412886	ENSMUSP00000043792
ENSP00000355493	ENSMUSP00000016105
ENSP00000333019	ENSMUSP00000021726
ENSP00000348573	ENSMUSP00000046129
ENSP00000352572	ENSMUSP00000001179
ENSP00000358106	ENSMUSP00000097444
ENSP00000386543	ENSMUSP00000130967
ENSP00000467024	ENSMUSP00000003911
ENSP00000384823	ENSMUSP00000005504
ENSP00000403802	ENSMUSP00000058233
ENSP00000358718	ENSMUSP00000070533
ENSP00000285871	ENSMUSP00000110900
ENSP00000340434	ENSMUSP00000069947
ENSP00000441366	ENSMUSP00000109261
ENSP00000359557	ENSMUSP00000075366
ENSP00000269122	ENSMUSP00000099475
ENSP00000351697	ENSMUSP00000019986
ENSP00000055682	ENSMUSP00000085187
ENSP00000404151	ENSMUSP00000098580
ENSP00000281187	ENSMUSP00000034470
ENSP00000362480	ENSMUSP00000090130
ENSP00000376792	ENSMUSP00000093644
ENSP00000450731	ENSMUSP00000057462
ENSP00000267973	ENSMUSP00000113560
ENSP00000389631	ENSMUSP00000082822
ENSP00000338173	ENSMUSP00000128292
ENSP00000391723	ENSMUSP00000030315
ENSP00000328677	ENSMUSP00000059433
ENSP00000389554	ENSMUSP00000128182
ENSP00000199320	ENSMUSP00000022203
ENSP00000255194	ENSMUSP00000022196
ENSP00000261722	ENSMUSP00000080739
ENSP00000362217	ENSMUSP00000064393
ENSP00000304994	ENSMUSP00000071464
ENSP00000283943	ENSMUSP00000027421
ENSP00000382269	ENSMUSP00000046766
ENSP00000258418	ENSMUSP00000108987
ENSP00000348113	ENSMUSP00000022553
ENSP00000439017	ENSMUSP00000111224
ENSP00000382492	ENSMUSP00000064539
ENSP00000293805	ENSMUSP00000000326
ENSP00000384371	ENSMUSP00000023151
ENSP00000324806	ENSMUSP00000023507
ENSP00000401112	ENSMUSP00000110057
ENSP00000399518	ENSMUSP00000116006
ENSP00000301887	ENSMUSP00000045744
ENSP00000243440	ENSMUSP00000027943
ENSP00000286639	ENSMUSP00000040706
ENSP00000248846	ENSMUSP00000104977
ENSP00000283645	ENSMUSP00000032627
ENSP00000369071	ENSMUSP00000072773
ENSP00000416330	ENSMUSP00000037719
ENSP00000369473	ENSMUSP00000016279
ENSP00000261435	ENSMUSP00000109367
ENSP00000449535	ENSMUSP00000128209
ENSP00000308179	ENSMUSP00000060613
ENSP00000448165	ENSMUSP00000020157
ENSP00000301200	ENSMUSP00000092508
ENSP00000338258	ENSMUSP00000102227
ENSP00000249014	ENSMUSP00000060930
ENSP00000270586	ENSMUSP00000018430
ENSP00000363993	ENSMUSP00000133499
ENSP00000359469	ENSMUSP00000108318
ENSP00000263381	ENSMUSP00000069443
ENSP00000346442	ENSMUSP00000032396
ENSP00000412130	ENSMUSP00000114578
ENSP00000384491	ENSMUSP00000107333
ENSP00000380713	ENSMUSP00000038444
ENSP00000432695	ENSMUSP00000119912
ENSP00000415885	ENSMUSP00000061511
ENSP00000411471	ENSMUSP00000003319
ENSP00000313603	ENSMUSP00000036881
ENSP00000238112	ENSMUSP00000068148
ENSP00000445001	ENSMUSP00000030901
ENSP00000385545	ENSMUSP00000124462
ENSP00000388241	ENSMUSP00000119482
ENSP00000343885	ENSMUSP00000029644
ENSP00000307746	ENSMUSP00000068192
ENSP00000316527	ENSMUSP00000124089
ENSP00000365840	ENSMUSP00000092038
ENSP00000335246	ENSMUSP00000071939
ENSP00000175091	ENSMUSP00000020909
ENSP00000402301	ENSMUSP00000022867
ENSP00000360266	ENSMUSP00000102711
ENSP00000303315	ENSMUSP00000064680
ENSP00000252818	ENSMUSP00000092901
ENSP00000410768	ENSMUSP00000027337
ENSP00000378710	ENSMUSP00000022953
ENSP00000368547	ENSMUSP00000068987
ENSP00000278919	ENSMUSP00000034630
ENSP00000215567	ENSMUSP00000019382
ENSP00000370607	ENSMUSP00000062122
ENSP00000351132	ENSMUSP00000057669
ENSP00000268482	ENSMUSP00000047865
ENSP00000251241	ENSMUSP00000018569
ENSP00000384792	ENSMUSP00000103825
ENSP00000393099	ENSMUSP00000068516
ENSP00000326411	ENSMUSP00000026218
ENSP00000282251	ENSMUSP00000027027
ENSP00000406885	ENSMUSP00000023562
ENSP00000433126	ENSMUSP00000091641
ENSP00000327650	ENSMUSP00000032749
ENSP00000253577	ENSMUSP00000033695
ENSP00000265316	ENSMUSP00000027396
ENSP00000238789	ENSMUSP00000047445
ENSP00000287394	ENSMUSP00000043691
ENSP00000357812	ENSMUSP00000129635
ENSP00000347444	ENSMUSP00000099993
ENSP00000387361	ENSMUSP00000066808
ENSP00000354733	ENSMUSP00000041635
ENSP00000235329	ENSMUSP00000030884
ENSP00000420617	ENSMUSP00000088801
ENSP00000378402	ENSMUSP00000130221
ENSP00000357040	ENSMUSP00000106894
ENSP00000347672	ENSMUSP00000125043
ENSP00000347464	ENSMUSP00000107803
ENSP00000378338	ENSMUSP00000037210
ENSP00000387471	ENSMUSP00000132725
ENSP00000283027	ENSMUSP00000023146
ENSP00000281081	ENSMUSP00000044292
ENSP00000419765	ENSMUSP00000096982
ENSP00000453872	ENSMUSP00000034739
ENSP00000269439	ENSMUSP00000026494
ENSP00000247843	ENSMUSP00000020382
ENSP00000306983	ENSMUSP00000111222
ENSP00000265753	ENSMUSP00000048833
ENSP00000365388	ENSMUSP00000055689
ENSP00000358033	ENSMUSP00000093393
ENSP00000265136	ENSMUSP00000045693
ENSP00000341360	ENSMUSP00000099787
ENSP00000335060	ENSMUSP00000062327
ENSP00000216144	ENSMUSP00000009219
ENSP00000295304	ENSMUSP00000098942
ENSP00000398105	ENSMUSP00000028780
ENSP00000428054	ENSMUSP00000106118
ENSP00000452796	ENSMUSP00000109901
ENSP00000379390	ENSMUSP00000008573
ENSP00000367841	ENSMUSP00000033519
ENSP00000308022	ENSMUSP00000031097
ENSP00000377918	ENSMUSP00000018795
ENSP00000345023	ENSMUSP00000052592
ENSP00000368856	ENSMUSP00000095747
ENSP00000422037	ENSMUSP00000084467
ENSP00000265978	ENSMUSP00000137163
ENSP00000413196	ENSMUSP00000113235
ENSP00000383986	ENSMUSP00000021592
ENSP00000258484	ENSMUSP00000089758
ENSP00000263062	ENSMUSP00000028100
ENSP00000315070	ENSMUSP00000035472
ENSP00000318868	ENSMUSP00000018744
ENSP00000333667	ENSMUSP00000026470
ENSP00000358451	ENSMUSP00000029459
ENSP00000255681	ENSMUSP00000039507
ENSP00000217246	ENSMUSP00000105691
ENSP00000229328	ENSMUSP00000031486
ENSP00000254101	ENSMUSP00000036410
ENSP00000265087	ENSMUSP00000020546
ENSP00000290271	ENSMUSP00000014957
ENSP00000313432	ENSMUSP00000047218
ENSP00000430493	ENSMUSP00000104471
ENSP00000256079	ENSMUSP00000046759
ENSP00000377411	ENSMUSP00000042185
ENSP00000344789	ENSMUSP00000099490
ENSP00000341044	ENSMUSP00000099642
ENSP00000341680	ENSMUSP00000072170
ENSP00000361795	ENSMUSP00000104973
ENSP00000300574	ENSMUSP00000017920
ENSP00000346300	ENSMUSP00000006293
ENSP00000272091	ENSMUSP00000037890
ENSP00000264705	ENSMUSP00000013773
ENSP00000402608	ENSMUSP00000027144
ENSP00000262105	ENSMUSP00000023353
ENSP00000368174	ENSMUSP00000066842
ENSP00000264605	ENSMUSP00000027528
ENSP00000331897	ENSMUSP00000103007
ENSP00000390265	ENSMUSP00000095316
ENSP00000407182	ENSMUSP00000133076
ENSP00000356146	ENSMUSP00000076024
ENSP00000286835	ENSMUSP00000044472
ENSP00000336587	ENSMUSP00000052096
ENSP00000268383	ENSMUSP00000033169
ENSP00000326534	ENSMUSP00000099559
ENSP00000377027	ENSMUSP00000092624
ENSP00000420200	ENSMUSP00000002923
ENSP00000396704	ENSMUSP00000017629
ENSP00000411532	ENSMUSP00000068896
ENSP00000396995	ENSMUSP00000112766
ENSP00000360147	ENSMUSP00000076951
ENSP00000421566	ENSMUSP00000070946
ENSP00000211314	ENSMUSP00000027065
ENSP00000186436	ENSMUSP00000027290
ENSP00000386787	ENSMUSP00000049808
ENSP00000379457	ENSMUSP00000099785
ENSP00000261942	ENSMUSP00000121182
ENSP00000307126	ENSMUSP00000021691
ENSP00000392217	ENSMUSP00000035078
ENSP00000375857	ENSMUSP00000095254
ENSP00000231572	ENSMUSP00000018992
ENSP00000355428	ENSMUSP00000112077
ENSP00000373301	ENSMUSP00000089517
ENSP00000217372	ENSMUSP00000105353
ENSP00000279907	ENSMUSP00000020112
ENSP00000192788	ENSMUSP00000110499
ENSP00000313851	ENSMUSP00000016569
ENSP00000303427	ENSMUSP00000031104
ENSP00000379680	ENSMUSP00000023088
ENSP00000218516	ENSMUSP00000033621
ENSP00000468424	ENSMUSP00000021314
ENSP00000367407	ENSMUSP00000080600
ENSP00000354387	ENSMUSP00000125384
ENSP00000168977	ENSMUSP00000005069
ENSP00000299866	ENSMUSP00000052922
ENSP00000261448	ENSMUSP00000029454
ENSP00000357057	ENSMUSP00000003554
ENSP00000354251	ENSMUSP00000028386
ENSP00000293373	ENSMUSP00000035400
ENSP00000356774	ENSMUSP00000101164
ENSP00000254029	ENSMUSP00000044616
ENSP00000379894	ENSMUSP00000061843
ENSP00000418648	ENSMUSP00000124043
ENSP00000354612	ENSMUSP00000059977
ENSP00000356438	ENSMUSP00000035065
ENSP00000261772	ENSMUSP00000034441
ENSP00000244571	ENSMUSP00000024733
ENSP00000353826	ENSMUSP00000041814
ENSP00000285737	ENSMUSP00000034141
ENSP00000353463	ENSMUSP00000070229
ENSP00000357644	ENSMUSP00000041370
ENSP00000376583	ENSMUSP00000046981
ENSP00000325941	ENSMUSP00000026558
ENSP00000368793	ENSMUSP00000022600
ENSP00000394700	ENSMUSP00000106081
ENSP00000389039	ENSMUSP00000016344
ENSP00000360994	ENSMUSP00000059927
ENSP00000414721	ENSMUSP00000096975
ENSP00000233615	ENSMUSP00000032111
ENSP00000341625	ENSMUSP00000124480
ENSP00000308430	ENSMUSP00000034400
ENSP00000268896	ENSMUSP00000020864
ENSP00000338030	ENSMUSP00000106004
ENSP00000361731	ENSMUSP00000048426
ENSP00000402935	ENSMUSP00000024717
ENSP00000312587	ENSMUSP00000036213
ENSP00000263960	ENSMUSP00000027125
ENSP00000349860	ENSMUSP00000109288
ENSP00000253778	ENSMUSP00000020629
ENSP00000313854	ENSMUSP00000022102
ENSP00000336994	ENSMUSP00000051293
ENSP00000325002	ENSMUSP00000109237
ENSP00000286733	ENSMUSP00000108726
ENSP00000371152	ENSMUSP00000034000
ENSP00000308976	ENSMUSP00000058142
ENSP00000341819	ENSMUSP00000105303
ENSP00000347626	ENSMUSP00000064668
ENSP00000319664	ENSMUSP00000030665
ENSP00000305958	ENSMUSP00000025918
ENSP00000351686	ENSMUSP00000074104
ENSP00000327436	ENSMUSP00000066413
ENSP00000382163	ENSMUSP00000109584
ENSP00000464162	ENSMUSP00000049003
ENSP00000370896	ENSMUSP00000124348
ENSP00000336721	ENSMUSP00000136673
ENSP00000352510	ENSMUSP00000126749
ENSP00000265967	ENSMUSP00000014562
ENSP00000344424	ENSMUSP00000064961
ENSP00000344219	ENSMUSP00000082873
ENSP00000264047	ENSMUSP00000093379
ENSP00000404676	ENSMUSP00000025354
ENSP00000249344	ENSMUSP00000036477
ENSP00000358810	ENSMUSP00000068587
ENSP00000393667	ENSMUSP00000123728
ENSP00000403396	ENSMUSP00000030849
ENSP00000359634	ENSMUSP00000112575
ENSP00000343000	ENSMUSP00000016668
ENSP00000356065	ENSMUSP00000027673
ENSP00000375795	ENSMUSP00000113064
ENSP00000423933	ENSMUSP00000025093
ENSP00000253814	ENSMUSP00000025293
ENSP00000218652	ENSMUSP00000137875
ENSP00000312837	ENSMUSP00000017783
ENSP00000262305	ENSMUSP00000113521
ENSP00000368341	ENSMUSP00000043120
ENSP00000348538	ENSMUSP00000133816
ENSP00000222511	ENSMUSP00000111101
ENSP00000359859	ENSMUSP00000104529
ENSP00000296543	ENSMUSP00000029303
ENSP00000368716	ENSMUSP00000022597
ENSP00000280800	ENSMUSP00000031597
ENSP00000240617	ENSMUSP00000032336
ENSP00000309126	ENSMUSP00000000940
ENSP00000371201	ENSMUSP00000031109
ENSP00000311257	ENSMUSP00000078190
ENSP00000298596	ENSMUSP00000114652
ENSP00000273668	ENSMUSP00000110477
ENSP00000225171	ENSMUSP00000041298
ENSP00000362935	ENSMUSP00000033674
ENSP00000399259	ENSMUSP00000047878
ENSP00000386722	ENSMUSP00000032931
ENSP00000324549	ENSMUSP00000032629
ENSP00000430904	ENSMUSP00000127586
ENSP00000374484	ENSMUSP00000087500
ENSP00000283206	ENSMUSP00000105954
ENSP00000371169	ENSMUSP00000067579
ENSP00000266068	ENSMUSP00000037075
ENSP00000294409	ENSMUSP00000131331
ENSP00000351314	ENSMUSP00000034369
ENSP00000259457	ENSMUSP00000028083
ENSP00000286692	ENSMUSP00000063510
ENSP00000258534	ENSMUSP00000020249
ENSP00000363205	ENSMUSP00000029147
ENSP00000254663	ENSMUSP00000027532
ENSP00000323927	ENSMUSP00000103191
ENSP00000366460	ENSMUSP00000028081
ENSP00000195654	ENSMUSP00000034987
ENSP00000382104	ENSMUSP00000044437
ENSP00000256925	ENSMUSP00000129463
ENSP00000279101	ENSMUSP00000104519
ENSP00000426234	ENSMUSP00000081009
ENSP00000306881	ENSMUSP00000021375
ENSP00000338844	ENSMUSP00000028916
ENSP00000240055	ENSMUSP00000122403
ENSP00000415436	ENSMUSP00000112101
ENSP00000384198	ENSMUSP00000130864
ENSP00000326170	ENSMUSP00000071150
ENSP00000376258	ENSMUSP00000031434
ENSP00000265056	ENSMUSP00000061923
ENSP00000335651	ENSMUSP00000047775
ENSP00000394770	ENSMUSP00000050408
ENSP00000366475	ENSMUSP00000046412
ENSP00000418663	ENSMUSP00000023370
