ENSGACP00000003450	ENSMODP00000016222
ENSGACP00000007558	ENSMODP00000021295
ENSGACP00000020269	ENSMODP00000008194
ENSGACP00000014115	ENSMODP00000014119
ENSGACP00000009134	ENSMODP00000010148
ENSGACP00000009636	ENSMODP00000002419
ENSGACP00000002443	ENSMODP00000000199
ENSGACP00000013063	ENSMODP00000000199
ENSGACP00000009953	ENSMODP00000026529
ENSGACP00000017004	ENSMODP00000021945
ENSGACP00000007536	ENSMODP00000013322
ENSGACP00000013889	ENSMODP00000039872
ENSGACP00000025574	ENSMODP00000030918
ENSGACP00000017211	ENSMODP00000018464
ENSGACP00000014008	ENSMODP00000007304
ENSGACP00000018263	ENSMODP00000000633
ENSGACP00000015401	ENSMODP00000012703
ENSGACP00000027192	ENSMODP00000012703
ENSGACP00000021567	ENSMODP00000032141
ENSGACP00000018097	ENSMODP00000019559
ENSGACP00000010916	ENSMODP00000006461
ENSGACP00000026214	ENSMODP00000009538
ENSGACP00000004339	ENSMODP00000032300
ENSGACP00000014321	ENSMODP00000032300
ENSGACP00000025233	ENSMODP00000021803
ENSGACP00000020716	ENSMODP00000010247
ENSGACP00000024858	ENSMODP00000020656
ENSGACP00000015446	ENSMODP00000020656
ENSGACP00000015014	ENSMODP00000013792
ENSGACP00000023291	ENSMODP00000013792
ENSGACP00000010829	ENSMODP00000018402
ENSGACP00000014908	ENSMODP00000007806
ENSGACP00000023181	ENSMODP00000025812
ENSGACP00000011516	ENSMODP00000015249
ENSGACP00000003061	ENSMODP00000015249
ENSGACP00000017864	ENSMODP00000001307
ENSGACP00000016724	ENSMODP00000008132
ENSGACP00000010307	ENSMODP00000008132
ENSGACP00000012807	ENSMODP00000012268
ENSGACP00000004571	ENSMODP00000008484
ENSGACP00000004743	ENSMODP00000008484
ENSGACP00000020461	ENSMODP00000004210
ENSGACP00000017738	ENSMODP00000019212
ENSGACP00000009460	ENSMODP00000019212
ENSGACP00000026604	ENSMODP00000004980
ENSGACP00000002626	ENSMODP00000029171
ENSGACP00000024895	ENSMODP00000003145
ENSGACP00000013803	ENSMODP00000003145
ENSGACP00000016386	ENSMODP00000028833
ENSGACP00000025657	ENSMODP00000028833
ENSGACP00000011976	ENSMODP00000020887
ENSGACP00000020822	ENSMODP00000003098
ENSGACP00000008339	ENSMODP00000018083
ENSGACP00000005976	ENSMODP00000017708
ENSGACP00000000962	ENSMODP00000013245
ENSGACP00000010819	ENSMODP00000018360
ENSGACP00000015789	ENSMODP00000003293
ENSGACP00000008007	ENSMODP00000003293
ENSGACP00000020684	ENSMODP00000009692
ENSGACP00000023006	ENSMODP00000024327
ENSGACP00000014974	ENSMODP00000015299
ENSGACP00000024113	ENSMODP00000014967
ENSGACP00000019953	ENSMODP00000019124
ENSGACP00000011113	ENSMODP00000019124
ENSGACP00000016384	ENSMODP00000019116
ENSGACP00000014262	ENSMODP00000018748
ENSGACP00000023429	ENSMODP00000011825
ENSGACP00000025094	ENSMODP00000011825
ENSGACP00000018547	ENSMODP00000006014
ENSGACP00000004914	ENSMODP00000006014
ENSGACP00000015813	ENSMODP00000008345
ENSGACP00000010658	ENSMODP00000013660
ENSGACP00000018972	ENSMODP00000006473
ENSGACP00000011339	ENSMODP00000000954
ENSGACP00000020862	ENSMODP00000034544
ENSGACP00000021289	ENSMODP00000003978
ENSGACP00000008614	ENSMODP00000003978
ENSGACP00000026015	ENSMODP00000025485
ENSGACP00000019861	ENSMODP00000016813
ENSGACP00000005961	ENSMODP00000017322
ENSGACP00000006773	ENSMODP00000010609
ENSGACP00000016878	ENSMODP00000022466
ENSGACP00000008527	ENSMODP00000011489
ENSGACP00000003396	ENSMODP00000037730
ENSGACP00000003555	ENSMODP00000001947
ENSGACP00000017105	ENSMODP00000000223
ENSGACP00000007820	ENSMODP00000000223
ENSGACP00000021854	ENSMODP00000023815
ENSGACP00000016803	ENSMODP00000026456
ENSGACP00000004174	ENSMODP00000026456
ENSGACP00000001241	ENSMODP00000039032
ENSGACP00000014749	ENSMODP00000003113
ENSGACP00000002787	ENSMODP00000023195
ENSGACP00000022646	ENSMODP00000001214
ENSGACP00000024633	ENSMODP00000001214
ENSGACP00000006311	ENSMODP00000011431
ENSGACP00000008592	ENSMODP00000001552
ENSGACP00000000400	ENSMODP00000004219
ENSGACP00000000746	ENSMODP00000009442
ENSGACP00000002113	ENSMODP00000009442
ENSGACP00000010323	ENSMODP00000017113
ENSGACP00000010934	ENSMODP00000006423
ENSGACP00000020004	ENSMODP00000028969
ENSGACP00000024367	ENSMODP00000007617
ENSGACP00000014284	ENSMODP00000020948
ENSGACP00000020471	ENSMODP00000020948
ENSGACP00000023727	ENSMODP00000003476
ENSGACP00000024594	ENSMODP00000023789
ENSGACP00000020688	ENSMODP00000009743
ENSGACP00000022615	ENSMODP00000025726
ENSGACP00000012767	ENSMODP00000017637
ENSGACP00000009376	ENSMODP00000017637
ENSGACP00000026831	ENSMODP00000003965
ENSGACP00000012212	ENSMODP00000011057
ENSGACP00000005239	ENSMODP00000013484
ENSGACP00000004618	ENSMODP00000013484
ENSGACP00000013164	ENSMODP00000020221
ENSGACP00000019940	ENSMODP00000020221
ENSGACP00000023350	ENSMODP00000021994
ENSGACP00000026339	ENSMODP00000007388
ENSGACP00000008038	ENSMODP00000019587
ENSGACP00000023684	ENSMODP00000012786
ENSGACP00000015657	ENSMODP00000004733
ENSGACP00000003339	ENSMODP00000013834
ENSGACP00000022478	ENSMODP00000013834
ENSGACP00000014348	ENSMODP00000024347
ENSGACP00000021754	ENSMODP00000024347
ENSGACP00000012105	ENSMODP00000019879
ENSGACP00000020908	ENSMODP00000002110
ENSGACP00000027214	ENSMODP00000026309
ENSGACP00000017568	ENSMODP00000008834
ENSGACP00000006650	ENSMODP00000008834
ENSGACP00000003809	ENSMODP00000009642
ENSGACP00000015239	ENSMODP00000009642
ENSGACP00000007118	ENSMODP00000033400
ENSGACP00000020257	ENSMODP00000003030
ENSGACP00000020232	ENSMODP00000004716
ENSGACP00000010617	ENSMODP00000018703
ENSGACP00000011260	ENSMODP00000016461
ENSGACP00000022085	ENSMODP00000016288
ENSGACP00000022944	ENSMODP00000016538
ENSGACP00000024763	ENSMODP00000013377
ENSGACP00000003044	ENSMODP00000038434
ENSGACP00000008622	ENSMODP00000023466
ENSGACP00000018130	ENSMODP00000001273
ENSGACP00000014730	ENSMODP00000001492
ENSGACP00000003189	ENSMODP00000006319
ENSGACP00000004761	ENSMODP00000016670
ENSGACP00000010890	ENSMODP00000022825
ENSGACP00000002225	ENSMODP00000018156
ENSGACP00000014198	ENSMODP00000000202
ENSGACP00000026222	ENSMODP00000006382
ENSGACP00000027173	ENSMODP00000012039
ENSGACP00000021361	ENSMODP00000025717
ENSGACP00000017699	ENSMODP00000008741
ENSGACP00000018624	ENSMODP00000008741
ENSGACP00000012443	ENSMODP00000014062
ENSGACP00000012201	ENSMODP00000012628
ENSGACP00000008407	ENSMODP00000002397
ENSGACP00000014089	ENSMODP00000000850
ENSGACP00000015293	ENSMODP00000006372
ENSGACP00000019071	ENSMODP00000038505
ENSGACP00000014497	ENSMODP00000038505
ENSGACP00000018543	ENSMODP00000006048
ENSGACP00000004907	ENSMODP00000006048
ENSGACP00000018651	ENSMODP00000012053
ENSGACP00000000240	ENSMODP00000012053
ENSGACP00000015379	ENSMODP00000013229
ENSGACP00000009200	ENSMODP00000024247
ENSGACP00000027384	ENSMODP00000014118
ENSGACP00000025853	ENSMODP00000007532
ENSGACP00000009851	ENSMODP00000014688
ENSGACP00000003515	ENSMODP00000018141
ENSGACP00000026414	ENSMODP00000023615
ENSGACP00000002611	ENSMODP00000001578
ENSGACP00000003459	ENSMODP00000016213
ENSGACP00000015652	ENSMODP00000001994
ENSGACP00000001694	ENSMODP00000010552
ENSGACP00000018137	ENSMODP00000018475
ENSGACP00000014361	ENSMODP00000010923
ENSGACP00000007546	ENSMODP00000003162
ENSGACP00000011098	ENSMODP00000003162
ENSGACP00000007760	ENSMODP00000015289
ENSGACP00000011753	ENSMODP00000040427
ENSGACP00000018998	ENSMODP00000027961
ENSGACP00000004958	ENSMODP00000014025
ENSGACP00000024153	ENSMODP00000014025
ENSGACP00000023255	ENSMODP00000006116
ENSGACP00000000404	ENSMODP00000006116
ENSGACP00000019027	ENSMODP00000018564
ENSGACP00000022754	ENSMODP00000010328
ENSGACP00000024447	ENSMODP00000008003
ENSGACP00000009251	ENSMODP00000032537
ENSGACP00000007751	ENSMODP00000015190
ENSGACP00000011681	ENSMODP00000015375
ENSGACP00000023874	ENSMODP00000004882
ENSGACP00000012779	ENSMODP00000026081
ENSGACP00000012346	ENSMODP00000000674
ENSGACP00000023592	ENSMODP00000000674
ENSGACP00000022356	ENSMODP00000023755
ENSGACP00000008583	ENSMODP00000019511
ENSGACP00000003986	ENSMODP00000011628
ENSGACP00000002484	ENSMODP00000020179
ENSGACP00000010172	ENSMODP00000017992
ENSGACP00000016253	ENSMODP00000041264
ENSGACP00000017360	ENSMODP00000016232
ENSGACP00000014973	ENSMODP00000026318
ENSGACP00000006092	ENSMODP00000015406
ENSGACP00000005753	ENSMODP00000016679
ENSGACP00000010402	ENSMODP00000014201
ENSGACP00000007937	ENSMODP00000014201
ENSGACP00000021824	ENSMODP00000023829
ENSGACP00000009805	ENSMODP00000019604
ENSGACP00000025041	ENSMODP00000018332
ENSGACP00000001338	ENSMODP00000002197
ENSGACP00000008241	ENSMODP00000018863
ENSGACP00000010154	ENSMODP00000038725
ENSGACP00000025010	ENSMODP00000038725
ENSGACP00000007253	ENSMODP00000013127
ENSGACP00000011215	ENSMODP00000013127
ENSGACP00000027406	ENSMODP00000013016
ENSGACP00000025702	ENSMODP00000023985
ENSGACP00000007047	ENSMODP00000023985
ENSGACP00000011186	ENSMODP00000020813
ENSGACP00000011205	ENSMODP00000013647
ENSGACP00000007112	ENSMODP00000013647
ENSGACP00000013043	ENSMODP00000020553
ENSGACP00000020075	ENSMODP00000020553
ENSGACP00000003970	ENSMODP00000012490
ENSGACP00000011705	ENSMODP00000016104
ENSGACP00000019927	ENSMODP00000020843
ENSGACP00000012531	ENSMODP00000004266
ENSGACP00000009958	ENSMODP00000022691
ENSGACP00000006119	ENSMODP00000022691
ENSGACP00000008002	ENSMODP00000017194
ENSGACP00000025891	ENSMODP00000005305
ENSGACP00000022404	ENSMODP00000005305
ENSGACP00000010488	ENSMODP00000013463
ENSGACP00000004461	ENSMODP00000021522
ENSGACP00000027227	ENSMODP00000003922
ENSGACP00000018242	ENSMODP00000000669
ENSGACP00000007042	ENSMODP00000028606
ENSGACP00000017849	ENSMODP00000004346
ENSGACP00000004744	ENSMODP00000021171
ENSGACP00000024531	ENSMODP00000006698
ENSGACP00000024213	ENSMODP00000024644
ENSGACP00000005523	ENSMODP00000001935
ENSGACP00000004786	ENSMODP00000019858
ENSGACP00000004665	ENSMODP00000015840
ENSGACP00000012359	ENSMODP00000015840
ENSGACP00000005267	ENSMODP00000011529
ENSGACP00000022482	ENSMODP00000011529
ENSGACP00000004866	ENSMODP00000026269
ENSGACP00000022843	ENSMODP00000026854
ENSGACP00000015765	ENSMODP00000020927
ENSGACP00000013908	ENSMODP00000020927
ENSGACP00000005495	ENSMODP00000015028
ENSGACP00000025562	ENSMODP00000002628
ENSGACP00000023106	ENSMODP00000005367
ENSGACP00000015669	ENSMODP00000019978
ENSGACP00000022498	ENSMODP00000019978
ENSGACP00000000041	ENSMODP00000009819
ENSGACP00000007710	ENSMODP00000022175
ENSGACP00000019846	ENSMODP00000024170
ENSGACP00000010262	ENSMODP00000016027
ENSGACP00000016246	ENSMODP00000005552
ENSGACP00000009211	ENSMODP00000001241
ENSGACP00000008396	ENSMODP00000020729
ENSGACP00000008247	ENSMODP00000020729
ENSGACP00000008146	ENSMODP00000026767
ENSGACP00000017208	ENSMODP00000006426
ENSGACP00000020840	ENSMODP00000004094
ENSGACP00000017945	ENSMODP00000028612
ENSGACP00000008455	ENSMODP00000000684
ENSGACP00000016154	ENSMODP00000029287
ENSGACP00000011373	ENSMODP00000011422
ENSGACP00000004014	ENSMODP00000011422
ENSGACP00000017248	ENSMODP00000022790
ENSGACP00000000340	ENSMODP00000041110
ENSGACP00000007344	ENSMODP00000008131
ENSGACP00000018300	ENSMODP00000005284
ENSGACP00000016062	ENSMODP00000000690
ENSGACP00000027285	ENSMODP00000000690
ENSGACP00000001019	ENSMODP00000009998
ENSGACP00000017152	ENSMODP00000019426
ENSGACP00000017938	ENSMODP00000021759
ENSGACP00000021777	ENSMODP00000004570
ENSGACP00000012241	ENSMODP00000023470
ENSGACP00000012319	ENSMODP00000026369
ENSGACP00000018944	ENSMODP00000024180
ENSGACP00000022991	ENSMODP00000018633
ENSGACP00000015300	ENSMODP00000022372
ENSGACP00000012407	ENSMODP00000016455
ENSGACP00000013232	ENSMODP00000026626
ENSGACP00000013007	ENSMODP00000022630
ENSGACP00000002197	ENSMODP00000037165
ENSGACP00000001494	ENSMODP00000003784
ENSGACP00000013952	ENSMODP00000022407
ENSGACP00000018900	ENSMODP00000006968
ENSGACP00000014452	ENSMODP00000003182
ENSGACP00000016947	ENSMODP00000017001
ENSGACP00000004442	ENSMODP00000017001
ENSGACP00000002535	ENSMODP00000025757
ENSGACP00000009883	ENSMODP00000027735
ENSGACP00000010178	ENSMODP00000003720
ENSGACP00000022485	ENSMODP00000012464
ENSGACP00000001147	ENSMODP00000026855
ENSGACP00000003274	ENSMODP00000012483
ENSGACP00000004070	ENSMODP00000004575
ENSGACP00000003376	ENSMODP00000020707
ENSGACP00000023559	ENSMODP00000037209
ENSGACP00000012022	ENSMODP00000004768
ENSGACP00000027449	ENSMODP00000004768
ENSGACP00000026393	ENSMODP00000021650
ENSGACP00000015026	ENSMODP00000005891
ENSGACP00000017204	ENSMODP00000010976
ENSGACP00000016428	ENSMODP00000007791
ENSGACP00000015627	ENSMODP00000007791
ENSGACP00000010270	ENSMODP00000017120
ENSGACP00000005014	ENSMODP00000022073
ENSGACP00000015619	ENSMODP00000004805
ENSGACP00000005396	ENSMODP00000011098
ENSGACP00000024936	ENSMODP00000011098
ENSGACP00000005798	ENSMODP00000019187
ENSGACP00000008079	ENSMODP00000001395
ENSGACP00000012005	ENSMODP00000019719
ENSGACP00000005602	ENSMODP00000020435
ENSGACP00000013466	ENSMODP00000020435
ENSGACP00000024715	ENSMODP00000007438
ENSGACP00000024064	ENSMODP00000009625
ENSGACP00000011340	ENSMODP00000024023
ENSGACP00000027074	ENSMODP00000024023
ENSGACP00000019616	ENSMODP00000036128
ENSGACP00000022755	ENSMODP00000000063
ENSGACP00000017602	ENSMODP00000018345
ENSGACP00000027483	ENSMODP00000018345
ENSGACP00000005275	ENSMODP00000022188
ENSGACP00000019872	ENSMODP00000026366
ENSGACP00000011602	ENSMODP00000002041
ENSGACP00000012303	ENSMODP00000024746
ENSGACP00000012894	ENSMODP00000019924
ENSGACP00000010467	ENSMODP00000020546
ENSGACP00000005748	ENSMODP00000026846
ENSGACP00000002941	ENSMODP00000027077
ENSGACP00000001128	ENSMODP00000025879
ENSGACP00000009992	ENSMODP00000020692
ENSGACP00000025980	ENSMODP00000021402
ENSGACP00000000032	ENSMODP00000020231
ENSGACP00000026435	ENSMODP00000011371
ENSGACP00000022731	ENSMODP00000000827
ENSGACP00000012059	ENSMODP00000021812
ENSGACP00000001458	ENSMODP00000022340
ENSGACP00000019038	ENSMODP00000003284
ENSGACP00000003059	ENSMODP00000018339
ENSGACP00000001535	ENSMODP00000038765
ENSGACP00000011722	ENSMODP00000003389
ENSGACP00000015386	ENSMODP00000022363
ENSGACP00000010155	ENSMODP00000016335
ENSGACP00000010719	ENSMODP00000032561
ENSGACP00000008635	ENSMODP00000018143
ENSGACP00000011679	ENSMODP00000018406
ENSGACP00000002240	ENSMODP00000026929
ENSGACP00000021329	ENSMODP00000002729
ENSGACP00000014056	ENSMODP00000015693
ENSGACP00000005998	ENSMODP00000005236
ENSGACP00000021509	ENSMODP00000025519
ENSGACP00000017499	ENSMODP00000021310
ENSGACP00000023706	ENSMODP00000012054
ENSGACP00000025021	ENSMODP00000004817
ENSGACP00000015632	ENSMODP00000004780
ENSGACP00000016887	ENSMODP00000012211
ENSGACP00000016150	ENSMODP00000012211
ENSGACP00000025008	ENSMODP00000034569
ENSGACP00000022666	ENSMODP00000011772
ENSGACP00000026816	ENSMODP00000007596
ENSGACP00000016207	ENSMODP00000012933
ENSGACP00000009277	ENSMODP00000018250
ENSGACP00000018747	ENSMODP00000018154
ENSGACP00000025744	ENSMODP00000006864
ENSGACP00000001687	ENSMODP00000010583
ENSGACP00000019962	ENSMODP00000032823
ENSGACP00000008873	ENSMODP00000021128
ENSGACP00000020331	ENSMODP00000008520
ENSGACP00000007927	ENSMODP00000019002
ENSGACP00000021998	ENSMODP00000036354
ENSGACP00000010535	ENSMODP00000036354
ENSGACP00000019042	ENSMODP00000018575
ENSGACP00000005655	ENSMODP00000004074
ENSGACP00000015671	ENSMODP00000020977
ENSGACP00000006969	ENSMODP00000008851
ENSGACP00000018438	ENSMODP00000029365
ENSGACP00000010355	ENSMODP00000029365
ENSGACP00000021056	ENSMODP00000008574
ENSGACP00000014925	ENSMODP00000008228
ENSGACP00000007193	ENSMODP00000038078
ENSGACP00000008402	ENSMODP00000002384
ENSGACP00000016510	ENSMODP00000001645
ENSGACP00000021103	ENSMODP00000001645
ENSGACP00000007728	ENSMODP00000006753
ENSGACP00000014243	ENSMODP00000015583
ENSGACP00000012173	ENSMODP00000038120
ENSGACP00000023115	ENSMODP00000025779
ENSGACP00000021525	ENSMODP00000028344
ENSGACP00000024508	ENSMODP00000017909
ENSGACP00000018659	ENSMODP00000036738
ENSGACP00000021301	ENSMODP00000006772
ENSGACP00000010775	ENSMODP00000014961
ENSGACP00000012049	ENSMODP00000004471
ENSGACP00000016237	ENSMODP00000012425
ENSGACP00000005022	ENSMODP00000019037
ENSGACP00000010979	ENSMODP00000019037
ENSGACP00000019055	ENSMODP00000006946
ENSGACP00000003611	ENSMODP00000008825
ENSGACP00000001761	ENSMODP00000020350
ENSGACP00000009829	ENSMODP00000021708
ENSGACP00000011996	ENSMODP00000021708
ENSGACP00000014286	ENSMODP00000019484
ENSGACP00000026044	ENSMODP00000010386
ENSGACP00000003328	ENSMODP00000015303
ENSGACP00000014704	ENSMODP00000020473
ENSGACP00000021634	ENSMODP00000004650
ENSGACP00000019947	ENSMODP00000021499
ENSGACP00000005045	ENSMODP00000000103
ENSGACP00000005181	ENSMODP00000002413
ENSGACP00000012042	ENSMODP00000016185
ENSGACP00000013866	ENSMODP00000015143
ENSGACP00000021669	ENSMODP00000015143
ENSGACP00000021427	ENSMODP00000003886
ENSGACP00000016087	ENSMODP00000007992
ENSGACP00000027054	ENSMODP00000007497
ENSGACP00000009221	ENSMODP00000010363
ENSGACP00000012839	ENSMODP00000026910
ENSGACP00000003907	ENSMODP00000005086
ENSGACP00000008313	ENSMODP00000005086
ENSGACP00000010074	ENSMODP00000025488
ENSGACP00000001953	ENSMODP00000016075
ENSGACP00000005150	ENSMODP00000016151
ENSGACP00000008267	ENSMODP00000002948
ENSGACP00000020159	ENSMODP00000009475
ENSGACP00000020733	ENSMODP00000010860
ENSGACP00000026286	ENSMODP00000007575
ENSGACP00000007055	ENSMODP00000008410
ENSGACP00000027459	ENSMODP00000017739
ENSGACP00000008412	ENSMODP00000023441
ENSGACP00000000675	ENSMODP00000012384
ENSGACP00000020845	ENSMODP00000002952
ENSGACP00000026628	ENSMODP00000034484
ENSGACP00000017238	ENSMODP00000008961
ENSGACP00000020508	ENSMODP00000012903
ENSGACP00000006028	ENSMODP00000005790
ENSGACP00000007739	ENSMODP00000009810
ENSGACP00000017388	ENSMODP00000035115
ENSGACP00000015496	ENSMODP00000035115
ENSGACP00000015704	ENSMODP00000039163
ENSGACP00000027047	ENSMODP00000007869
ENSGACP00000010992	ENSMODP00000011942
ENSGACP00000001561	ENSMODP00000011942
ENSGACP00000015079	ENSMODP00000010591
ENSGACP00000015393	ENSMODP00000022401
ENSGACP00000025604	ENSMODP00000010607
ENSGACP00000009090	ENSMODP00000010607
ENSGACP00000011524	ENSMODP00000015232
ENSGACP00000020979	ENSMODP00000017793
ENSGACP00000004066	ENSMODP00000028270
ENSGACP00000020958	ENSMODP00000028270
ENSGACP00000003156	ENSMODP00000024154
ENSGACP00000020414	ENSMODP00000029663
ENSGACP00000023906	ENSMODP00000005622
ENSGACP00000023688	ENSMODP00000025849
ENSGACP00000004331	ENSMODP00000006294
ENSGACP00000004064	ENSMODP00000010366
ENSGACP00000008005	ENSMODP00000017245
ENSGACP00000007139	ENSMODP00000008602
ENSGACP00000011276	ENSMODP00000008602
ENSGACP00000020611	ENSMODP00000008697
ENSGACP00000008999	ENSMODP00000008697
ENSGACP00000016898	ENSMODP00000017145
ENSGACP00000020600	ENSMODP00000003483
ENSGACP00000010779	ENSMODP00000003483
ENSGACP00000010674	ENSMODP00000001683
ENSGACP00000014915	ENSMODP00000032274
ENSGACP00000016212	ENSMODP00000023670
ENSGACP00000012397	ENSMODP00000016460
ENSGACP00000011052	ENSMODP00000016460
ENSGACP00000010272	ENSMODP00000006695
ENSGACP00000012781	ENSMODP00000016854
ENSGACP00000025693	ENSMODP00000021485
ENSGACP00000023025	ENSMODP00000017318
ENSGACP00000019814	ENSMODP00000032069
ENSGACP00000023261	ENSMODP00000014989
ENSGACP00000001992	ENSMODP00000001129
ENSGACP00000014746	ENSMODP00000011870
ENSGACP00000017337	ENSMODP00000014359
ENSGACP00000012758	ENSMODP00000000612
ENSGACP00000026322	ENSMODP00000005743
ENSGACP00000010103	ENSMODP00000035169
ENSGACP00000018237	ENSMODP00000020353
ENSGACP00000008463	ENSMODP00000020523
ENSGACP00000004892	ENSMODP00000026753
ENSGACP00000020827	ENSMODP00000024616
ENSGACP00000013116	ENSMODP00000024616
ENSGACP00000023042	ENSMODP00000038186
ENSGACP00000002562	ENSMODP00000003848
ENSGACP00000007468	ENSMODP00000020646
ENSGACP00000020118	ENSMODP00000001919
ENSGACP00000022839	ENSMODP00000036183
ENSGACP00000023999	ENSMODP00000000108
ENSGACP00000006906	ENSMODP00000000108
ENSGACP00000023046	ENSMODP00000007328
ENSGACP00000014591	ENSMODP00000000890
ENSGACP00000014365	ENSMODP00000011302
ENSGACP00000020961	ENSMODP00000037817
ENSGACP00000023864	ENSMODP00000033105
ENSGACP00000011527	ENSMODP00000020750
ENSGACP00000011508	ENSMODP00000012473
ENSGACP00000010419	ENSMODP00000009661
ENSGACP00000006288	ENSMODP00000002170
ENSGACP00000020965	ENSMODP00000002282
ENSGACP00000005135	ENSMODP00000006255
ENSGACP00000011988	ENSMODP00000023516
ENSGACP00000025735	ENSMODP00000025609
ENSGACP00000022563	ENSMODP00000011256
ENSGACP00000011654	ENSMODP00000014235
ENSGACP00000004775	ENSMODP00000022720
ENSGACP00000006742	ENSMODP00000010533
ENSGACP00000021660	ENSMODP00000010533
ENSGACP00000020173	ENSMODP00000013998
ENSGACP00000019432	ENSMODP00000024122
ENSGACP00000013649	ENSMODP00000000163
ENSGACP00000020531	ENSMODP00000022094
ENSGACP00000010182	ENSMODP00000010121
ENSGACP00000024557	ENSMODP00000023801
ENSGACP00000025869	ENSMODP00000004840
ENSGACP00000008224	ENSMODP00000000614
ENSGACP00000023182	ENSMODP00000018318
ENSGACP00000011902	ENSMODP00000020908
ENSGACP00000007290	ENSMODP00000025913
ENSGACP00000020339	ENSMODP00000011073
ENSGACP00000008759	ENSMODP00000022354
ENSGACP00000004137	ENSMODP00000033372
ENSGACP00000012898	ENSMODP00000009941
ENSGACP00000001075	ENSMODP00000009941
ENSGACP00000018910	ENSMODP00000025992
ENSGACP00000019047	ENSMODP00000015438
ENSGACP00000009272	ENSMODP00000039175
ENSGACP00000014033	ENSMODP00000021342
ENSGACP00000013988	ENSMODP00000006135
ENSGACP00000020915	ENSMODP00000006135
ENSGACP00000005358	ENSMODP00000002618
ENSGACP00000013833	ENSMODP00000025117
ENSGACP00000027296	ENSMODP00000018110
ENSGACP00000012118	ENSMODP00000018110
ENSGACP00000001512	ENSMODP00000026254
ENSGACP00000013129	ENSMODP00000023480
ENSGACP00000004171	ENSMODP00000023406
ENSGACP00000013176	ENSMODP00000023406
ENSGACP00000013279	ENSMODP00000022579
ENSGACP00000012193	ENSMODP00000034907
ENSGACP00000025397	ENSMODP00000006597
ENSGACP00000021408	ENSMODP00000023897
ENSGACP00000005277	ENSMODP00000014306
ENSGACP00000008843	ENSMODP00000021123
ENSGACP00000007733	ENSMODP00000022201
ENSGACP00000011792	ENSMODP00000000210
ENSGACP00000020664	ENSMODP00000009359
ENSGACP00000009233	ENSMODP00000029122
ENSGACP00000005010	ENSMODP00000014606
ENSGACP00000010040	ENSMODP00000019594
ENSGACP00000007075	ENSMODP00000012584
ENSGACP00000010108	ENSMODP00000002307
ENSGACP00000015374	ENSMODP00000005563
ENSGACP00000005163	ENSMODP00000015481
ENSGACP00000011001	ENSMODP00000000625
ENSGACP00000022600	ENSMODP00000024802
ENSGACP00000018603	ENSMODP00000024802
ENSGACP00000016402	ENSMODP00000007503
ENSGACP00000014397	ENSMODP00000013288
ENSGACP00000022092	ENSMODP00000023574
ENSGACP00000002900	ENSMODP00000004399
ENSGACP00000004885	ENSMODP00000020614
ENSGACP00000023129	ENSMODP00000003283
ENSGACP00000022826	ENSMODP00000008756
ENSGACP00000020177	ENSMODP00000036998
ENSGACP00000008947	ENSMODP00000022170
ENSGACP00000019036	ENSMODP00000022170
ENSGACP00000022550	ENSMODP00000011932
ENSGACP00000021659	ENSMODP00000014958
ENSGACP00000014036	ENSMODP00000014958
ENSGACP00000001300	ENSMODP00000014429
ENSGACP00000006254	ENSMODP00000006724
ENSGACP00000010516	ENSMODP00000032468
ENSGACP00000003864	ENSMODP00000009601
ENSGACP00000002856	ENSMODP00000011008
ENSGACP00000022248	ENSMODP00000011253
ENSGACP00000020021	ENSMODP00000031628
ENSGACP00000017422	ENSMODP00000031628
ENSGACP00000019873	ENSMODP00000024178
ENSGACP00000027299	ENSMODP00000006292
ENSGACP00000003163	ENSMODP00000026085
ENSGACP00000004470	ENSMODP00000026085
ENSGACP00000026020	ENSMODP00000008836
ENSGACP00000020575	ENSMODP00000033409
ENSGACP00000025618	ENSMODP00000010392
ENSGACP00000011995	ENSMODP00000034452
ENSGACP00000026215	ENSMODP00000011720
ENSGACP00000010811	ENSMODP00000011720
ENSGACP00000022733	ENSMODP00000014407
ENSGACP00000027057	ENSMODP00000007184
ENSGACP00000006149	ENSMODP00000018393
ENSGACP00000005187	ENSMODP00000028493
ENSGACP00000001900	ENSMODP00000019773
ENSGACP00000026701	ENSMODP00000017872
ENSGACP00000018628	ENSMODP00000019229
ENSGACP00000025015	ENSMODP00000019861
ENSGACP00000007684	ENSMODP00000015247
ENSGACP00000012300	ENSMODP00000000144
ENSGACP00000011738	ENSMODP00000022431
ENSGACP00000023356	ENSMODP00000034365
ENSGACP00000024894	ENSMODP00000034365
ENSGACP00000006038	ENSMODP00000009381
ENSGACP00000015863	ENSMODP00000027702
ENSGACP00000023510	ENSMODP00000008927
ENSGACP00000024815	ENSMODP00000005485
ENSGACP00000024237	ENSMODP00000024698
ENSGACP00000015889	ENSMODP00000024698
ENSGACP00000023635	ENSMODP00000004116
ENSGACP00000007829	ENSMODP00000016757
ENSGACP00000011793	ENSMODP00000024146
ENSGACP00000005710	ENSMODP00000015037
ENSGACP00000021916	ENSMODP00000006956
ENSGACP00000004784	ENSMODP00000021410
ENSGACP00000023151	ENSMODP00000021410
ENSGACP00000024694	ENSMODP00000018839
ENSGACP00000006554	ENSMODP00000004954
ENSGACP00000021141	ENSMODP00000010130
ENSGACP00000018679	ENSMODP00000011220
