ENSP00000262384	ENSTNIP00000004863
ENSP00000417970	ENSTNIP00000008543
ENSP00000366070	ENSTNIP00000016503
ENSP00000301336	ENSTNIP00000006046
ENSP00000365014	ENSTNIP00000010353
ENSP00000262662	ENSTNIP00000018558
ENSP00000377224	ENSTNIP00000007188
ENSP00000356918	ENSTNIP00000013890
ENSP00000308926	ENSTNIP00000021445
ENSP00000356857	ENSTNIP00000019420
ENSP00000321445	ENSTNIP00000011014
ENSP00000358081	ENSTNIP00000016071
ENSP00000287322	ENSTNIP00000000933
ENSP00000369887	ENSTNIP00000012202
ENSP00000441039	ENSTNIP00000016908
ENSP00000453076	ENSTNIP00000015176
ENSP00000298110	ENSTNIP00000019955
ENSP00000430269	ENSTNIP00000013158
ENSP00000328090	ENSTNIP00000014823
ENSP00000296358	ENSTNIP00000014042
ENSP00000304108	ENSTNIP00000011723
ENSP00000304108	ENSTNIP00000020318
ENSP00000367356	ENSTNIP00000021530
ENSP00000293443	ENSTNIP00000014809
ENSP00000353769	ENSTNIP00000005600
ENSP00000410626	ENSTNIP00000014327
ENSP00000436318	ENSTNIP00000009636
ENSP00000270142	ENSTNIP00000012838
ENSP00000371554	ENSTNIP00000015335
ENSP00000243045	ENSTNIP00000015505
ENSP00000326869	ENSTNIP00000018791
ENSP00000357660	ENSTNIP00000013280
ENSP00000261172	ENSTNIP00000000034
ENSP00000262551	ENSTNIP00000005226
ENSP00000387292	ENSTNIP00000014406
ENSP00000418529	ENSTNIP00000005323
ENSP00000269097	ENSTNIP00000017453
ENSP00000369816	ENSTNIP00000008055
ENSP00000331831	ENSTNIP00000012321
ENSP00000290216	ENSTNIP00000017151
ENSP00000272732	ENSTNIP00000020070
ENSP00000265299	ENSTNIP00000018606
ENSP00000277632	ENSTNIP00000021565
ENSP00000266077	ENSTNIP00000021037
ENSP00000331462	ENSTNIP00000020934
ENSP00000242249	ENSTNIP00000002500
ENSP00000343248	ENSTNIP00000015792
ENSP00000356811	ENSTNIP00000001091
ENSP00000376035	ENSTNIP00000021640
ENSP00000300101	ENSTNIP00000005478
ENSP00000307449	ENSTNIP00000005576
ENSP00000246190	ENSTNIP00000017874
ENSP00000246190	ENSTNIP00000007061
ENSP00000356481	ENSTNIP00000008234
ENSP00000362409	ENSTNIP00000022579
ENSP00000362409	ENSTNIP00000007169
ENSP00000419712	ENSTNIP00000019848
ENSP00000401338	ENSTNIP00000010693
ENSP00000320318	ENSTNIP00000010544
ENSP00000261655	ENSTNIP00000003164
ENSP00000368767	ENSTNIP00000009465
ENSP00000215906	ENSTNIP00000014423
ENSP00000378437	ENSTNIP00000003705
ENSP00000308057	ENSTNIP00000008313
ENSP00000364814	ENSTNIP00000013835
ENSP00000373360	ENSTNIP00000000781
ENSP00000358795	ENSTNIP00000017174
ENSP00000358795	ENSTNIP00000016315
ENSP00000358815	ENSTNIP00000011837
ENSP00000379156	ENSTNIP00000015780
ENSP00000307801	ENSTNIP00000011433
ENSP00000307801	ENSTNIP00000019264
ENSP00000358430	ENSTNIP00000017435
ENSP00000182527	ENSTNIP00000015266
ENSP00000263671	ENSTNIP00000003879
ENSP00000297265	ENSTNIP00000008572
ENSP00000348489	ENSTNIP00000001096
ENSP00000396160	ENSTNIP00000019863
ENSP00000311127	ENSTNIP00000019921
ENSP00000451040	ENSTNIP00000013665
ENSP00000456548	ENSTNIP00000011084
ENSP00000456548	ENSTNIP00000009805
ENSP00000285311	ENSTNIP00000021192
ENSP00000363081	ENSTNIP00000011461
ENSP00000359098	ENSTNIP00000013623
ENSP00000266269	ENSTNIP00000017746
ENSP00000320797	ENSTNIP00000005922
ENSP00000351113	ENSTNIP00000020816
ENSP00000334665	ENSTNIP00000012666
ENSP00000334665	ENSTNIP00000015845
ENSP00000439625	ENSTNIP00000015421
ENSP00000380185	ENSTNIP00000010861
ENSP00000344961	ENSTNIP00000015113
ENSP00000359795	ENSTNIP00000008883
ENSP00000319254	ENSTNIP00000012972
ENSP00000369858	ENSTNIP00000012802
ENSP00000450842	ENSTNIP00000020392
ENSP00000230461	ENSTNIP00000019997
ENSP00000402698	ENSTNIP00000005445
ENSP00000370408	ENSTNIP00000000805
ENSP00000474621	ENSTNIP00000008473
ENSP00000380437	ENSTNIP00000011607
ENSP00000391481	ENSTNIP00000017713
ENSP00000265986	ENSTNIP00000005217
ENSP00000346890	ENSTNIP00000008229
ENSP00000346890	ENSTNIP00000000282
ENSP00000297293	ENSTNIP00000014910
ENSP00000270238	ENSTNIP00000010909
ENSP00000362469	ENSTNIP00000019849
ENSP00000360966	ENSTNIP00000014570
ENSP00000370724	ENSTNIP00000012602
ENSP00000349351	ENSTNIP00000021094
ENSP00000349351	ENSTNIP00000017714
ENSP00000355799	ENSTNIP00000001911
ENSP00000355799	ENSTNIP00000012622
ENSP00000250340	ENSTNIP00000022352
ENSP00000296130	ENSTNIP00000012526
ENSP00000299642	ENSTNIP00000012224
ENSP00000280701	ENSTNIP00000021336
ENSP00000304592	ENSTNIP00000008616
ENSP00000296980	ENSTNIP00000020130
ENSP00000314976	ENSTNIP00000002967
ENSP00000249647	ENSTNIP00000022461
ENSP00000361287	ENSTNIP00000011512
ENSP00000361287	ENSTNIP00000014805
ENSP00000303147	ENSTNIP00000018925
ENSP00000303147	ENSTNIP00000011970
ENSP00000377665	ENSTNIP00000009812
ENSP00000263710	ENSTNIP00000004511
ENSP00000064780	ENSTNIP00000013193
ENSP00000398778	ENSTNIP00000009999
ENSP00000257209	ENSTNIP00000021617
ENSP00000257209	ENSTNIP00000012098
ENSP00000384967	ENSTNIP00000022144
ENSP00000304032	ENSTNIP00000009481
ENSP00000380524	ENSTNIP00000013287
ENSP00000361004	ENSTNIP00000004163
ENSP00000295666	ENSTNIP00000007559
ENSP00000333142	ENSTNIP00000022028
ENSP00000400892	ENSTNIP00000002905
ENSP00000252996	ENSTNIP00000000446
ENSP00000252996	ENSTNIP00000004874
ENSP00000357844	ENSTNIP00000006697
ENSP00000465734	ENSTNIP00000019897
ENSP00000367123	ENSTNIP00000015997
ENSP00000343657	ENSTNIP00000019045
ENSP00000419027	ENSTNIP00000009450
ENSP00000377549	ENSTNIP00000020759
ENSP00000406463	ENSTNIP00000014286
ENSP00000406463	ENSTNIP00000009398
ENSP00000384126	ENSTNIP00000000833
ENSP00000328625	ENSTNIP00000003178
ENSP00000310447	ENSTNIP00000015560
ENSP00000369383	ENSTNIP00000008115
ENSP00000321271	ENSTNIP00000018962
ENSP00000387164	ENSTNIP00000021602
ENSP00000292476	ENSTNIP00000009018
ENSP00000262577	ENSTNIP00000007405
ENSP00000400482	ENSTNIP00000012289
ENSP00000413720	ENSTNIP00000011299
ENSP00000384849	ENSTNIP00000017672
ENSP00000228872	ENSTNIP00000003848
ENSP00000378651	ENSTNIP00000019020
ENSP00000378651	ENSTNIP00000008383
ENSP00000450864	ENSTNIP00000015261
ENSP00000294309	ENSTNIP00000009169
ENSP00000263849	ENSTNIP00000007111
ENSP00000237837	ENSTNIP00000014355
ENSP00000287295	ENSTNIP00000014785
ENSP00000392094	ENSTNIP00000008028
ENSP00000230381	ENSTNIP00000016377
ENSP00000230381	ENSTNIP00000017479
ENSP00000278833	ENSTNIP00000019912
ENSP00000370223	ENSTNIP00000014038
ENSP00000384040	ENSTNIP00000015039
ENSP00000398481	ENSTNIP00000013320
ENSP00000215838	ENSTNIP00000018934
ENSP00000359380	ENSTNIP00000022600
ENSP00000359380	ENSTNIP00000002814
ENSP00000358880	ENSTNIP00000018193
ENSP00000357840	ENSTNIP00000008038
ENSP00000318602	ENSTNIP00000018290
ENSP00000318602	ENSTNIP00000016635
ENSP00000359848	ENSTNIP00000005470
ENSP00000237937	ENSTNIP00000006951
ENSP00000237937	ENSTNIP00000007908
ENSP00000393887	ENSTNIP00000002053
ENSP00000369436	ENSTNIP00000003355
ENSP00000344456	ENSTNIP00000022288
ENSP00000268154	ENSTNIP00000014312
ENSP00000264313	ENSTNIP00000020819
ENSP00000370003	ENSTNIP00000007933
ENSP00000357625	ENSTNIP00000016323
ENSP00000328992	ENSTNIP00000012857
ENSP00000318690	ENSTNIP00000020848
ENSP00000376224	ENSTNIP00000013883
ENSP00000239849	ENSTNIP00000014509
ENSP00000306328	ENSTNIP00000018205
ENSP00000364140	ENSTNIP00000020754
ENSP00000364140	ENSTNIP00000016617
ENSP00000426809	ENSTNIP00000000872
ENSP00000426809	ENSTNIP00000002254
ENSP00000325266	ENSTNIP00000019904
ENSP00000311760	ENSTNIP00000010554
ENSP00000256367	ENSTNIP00000022552
ENSP00000364035	ENSTNIP00000022243
ENSP00000273857	ENSTNIP00000005685
ENSP00000303997	ENSTNIP00000007397
ENSP00000303997	ENSTNIP00000011467
ENSP00000346080	ENSTNIP00000005113
ENSP00000235628	ENSTNIP00000020621
ENSP00000235628	ENSTNIP00000017040
ENSP00000331474	ENSTNIP00000020570
ENSP00000316891	ENSTNIP00000016032
ENSP00000316891	ENSTNIP00000021835
ENSP00000346874	ENSTNIP00000005000
ENSP00000341171	ENSTNIP00000011199
ENSP00000334836	ENSTNIP00000009522
ENSP00000388823	ENSTNIP00000013932
ENSP00000307722	ENSTNIP00000021386
ENSP00000256797	ENSTNIP00000004574
ENSP00000381053	ENSTNIP00000010807
ENSP00000418210	ENSTNIP00000010106
ENSP00000418210	ENSTNIP00000015574
ENSP00000367494	ENSTNIP00000011696
ENSP00000387266	ENSTNIP00000002085
ENSP00000237281	ENSTNIP00000022506
ENSP00000377409	ENSTNIP00000011971
ENSP00000377409	ENSTNIP00000018928
ENSP00000424565	ENSTNIP00000008314
ENSP00000271636	ENSTNIP00000021503
ENSP00000271636	ENSTNIP00000020709
ENSP00000357073	ENSTNIP00000020978
ENSP00000299259	ENSTNIP00000012405
ENSP00000338532	ENSTNIP00000022621
ENSP00000338532	ENSTNIP00000016336
ENSP00000350036	ENSTNIP00000016732
ENSP00000315630	ENSTNIP00000016739
ENSP00000315630	ENSTNIP00000012236
ENSP00000319831	ENSTNIP00000018166
ENSP00000262518	ENSTNIP00000012982
ENSP00000251810	ENSTNIP00000009533
ENSP00000409906	ENSTNIP00000014262
ENSP00000378408	ENSTNIP00000010972
ENSP00000378408	ENSTNIP00000017885
ENSP00000356433	ENSTNIP00000015215
ENSP00000361895	ENSTNIP00000000538
ENSP00000361895	ENSTNIP00000012103
ENSP00000385527	ENSTNIP00000006185
ENSP00000363533	ENSTNIP00000002124
ENSP00000254624	ENSTNIP00000005010
ENSP00000340465	ENSTNIP00000001026
ENSP00000272542	ENSTNIP00000011979
ENSP00000272542	ENSTNIP00000006539
ENSP00000428579	ENSTNIP00000006500
ENSP00000364486	ENSTNIP00000018710
ENSP00000422626	ENSTNIP00000009985
ENSP00000380489	ENSTNIP00000002229
ENSP00000293230	ENSTNIP00000001225
ENSP00000293230	ENSTNIP00000014551
ENSP00000456566	ENSTNIP00000021175
ENSP00000369513	ENSTNIP00000020642
ENSP00000369513	ENSTNIP00000018064
ENSP00000367715	ENSTNIP00000010019
ENSP00000376457	ENSTNIP00000013378
ENSP00000297578	ENSTNIP00000011046
ENSP00000390722	ENSTNIP00000005213
ENSP00000426022	ENSTNIP00000017456
ENSP00000238714	ENSTNIP00000020241
ENSP00000378400	ENSTNIP00000009279
ENSP00000378400	ENSTNIP00000005483
ENSP00000381968	ENSTNIP00000019748
ENSP00000302625	ENSTNIP00000004759
ENSP00000302625	ENSTNIP00000021152
ENSP00000298910	ENSTNIP00000016727
ENSP00000307265	ENSTNIP00000003714
ENSP00000402527	ENSTNIP00000013621
ENSP00000377655	ENSTNIP00000018054
ENSP00000416040	ENSTNIP00000022456
ENSP00000416040	ENSTNIP00000006043
ENSP00000315295	ENSTNIP00000016815
ENSP00000230256	ENSTNIP00000022338
ENSP00000333982	ENSTNIP00000014793
ENSP00000333982	ENSTNIP00000013334
ENSP00000324302	ENSTNIP00000020371
ENSP00000262139	ENSTNIP00000015838
ENSP00000262139	ENSTNIP00000008719
ENSP00000300737	ENSTNIP00000019346
ENSP00000344831	ENSTNIP00000021522
ENSP00000217254	ENSTNIP00000015444
ENSP00000263088	ENSTNIP00000014725
ENSP00000267064	ENSTNIP00000017603
ENSP00000365569	ENSTNIP00000021353
ENSP00000365569	ENSTNIP00000010837
ENSP00000378368	ENSTNIP00000009204
ENSP00000378368	ENSTNIP00000011370
ENSP00000364398	ENSTNIP00000019780
ENSP00000405388	ENSTNIP00000008826
ENSP00000350012	ENSTNIP00000018339
ENSP00000350012	ENSTNIP00000017324
ENSP00000377991	ENSTNIP00000007546
ENSP00000002165	ENSTNIP00000012091
ENSP00000363603	ENSTNIP00000012090
ENSP00000363603	ENSTNIP00000012092
ENSP00000246957	ENSTNIP00000009830
ENSP00000329117	ENSTNIP00000014783
ENSP00000426528	ENSTNIP00000008454
ENSP00000394863	ENSTNIP00000007236
ENSP00000395083	ENSTNIP00000007146
ENSP00000395083	ENSTNIP00000009912
ENSP00000420477	ENSTNIP00000021559
ENSP00000316950	ENSTNIP00000012399
ENSP00000219611	ENSTNIP00000006907
ENSP00000219611	ENSTNIP00000003155
ENSP00000401089	ENSTNIP00000022443
ENSP00000339802	ENSTNIP00000016530
ENSP00000298032	ENSTNIP00000010964
ENSP00000313869	ENSTNIP00000010738
ENSP00000313869	ENSTNIP00000015726
ENSP00000234160	ENSTNIP00000010714
ENSP00000234160	ENSTNIP00000020049
ENSP00000268661	ENSTNIP00000021172
ENSP00000363308	ENSTNIP00000018890
ENSP00000344401	ENSTNIP00000015270
ENSP00000368876	ENSTNIP00000001358
ENSP00000355045	ENSTNIP00000020611
ENSP00000419325	ENSTNIP00000014065
ENSP00000446828	ENSTNIP00000013671
ENSP00000259667	ENSTNIP00000018653
ENSP00000074304	ENSTNIP00000013533
ENSP00000074304	ENSTNIP00000016880
ENSP00000406490	ENSTNIP00000018790
ENSP00000355110	ENSTNIP00000007328
ENSP00000379773	ENSTNIP00000021773
ENSP00000387362	ENSTNIP00000022482
ENSP00000325548	ENSTNIP00000020682
ENSP00000352572	ENSTNIP00000020348
ENSP00000403802	ENSTNIP00000020967
ENSP00000285871	ENSTNIP00000021669
ENSP00000445677	ENSTNIP00000018461
ENSP00000055682	ENSTNIP00000001435
ENSP00000362480	ENSTNIP00000016797
ENSP00000376792	ENSTNIP00000013210
ENSP00000450731	ENSTNIP00000021846
ENSP00000328677	ENSTNIP00000018532
ENSP00000328677	ENSTNIP00000018405
ENSP00000261722	ENSTNIP00000011283
ENSP00000304994	ENSTNIP00000018033
ENSP00000304994	ENSTNIP00000020162
ENSP00000382269	ENSTNIP00000005157
ENSP00000258418	ENSTNIP00000017341
ENSP00000293805	ENSTNIP00000005111
ENSP00000399518	ENSTNIP00000014614
ENSP00000286639	ENSTNIP00000019445
ENSP00000283645	ENSTNIP00000003965
ENSP00000369071	ENSTNIP00000019363
ENSP00000369071	ENSTNIP00000002158
ENSP00000416330	ENSTNIP00000005740
ENSP00000261435	ENSTNIP00000007847
ENSP00000308179	ENSTNIP00000007980
ENSP00000448165	ENSTNIP00000013938
ENSP00000301200	ENSTNIP00000010915
ENSP00000338258	ENSTNIP00000017469
ENSP00000363993	ENSTNIP00000021347
ENSP00000346442	ENSTNIP00000009723
ENSP00000412130	ENSTNIP00000012233
ENSP00000384491	ENSTNIP00000015117
ENSP00000380713	ENSTNIP00000014328
ENSP00000380713	ENSTNIP00000005886
ENSP00000445001	ENSTNIP00000015385
ENSP00000343885	ENSTNIP00000021200
ENSP00000307746	ENSTNIP00000007086
ENSP00000335246	ENSTNIP00000013662
ENSP00000335246	ENSTNIP00000020527
ENSP00000303315	ENSTNIP00000015017
ENSP00000252818	ENSTNIP00000013091
ENSP00000368547	ENSTNIP00000021790
ENSP00000368547	ENSTNIP00000012527
ENSP00000278919	ENSTNIP00000007132
ENSP00000351132	ENSTNIP00000005876
ENSP00000351132	ENSTNIP00000005813
ENSP00000321971	ENSTNIP00000015797
ENSP00000268482	ENSTNIP00000004088
ENSP00000393099	ENSTNIP00000005195
ENSP00000282251	ENSTNIP00000005770
ENSP00000406885	ENSTNIP00000001356
ENSP00000406885	ENSTNIP00000019570
ENSP00000433126	ENSTNIP00000012238
ENSP00000327650	ENSTNIP00000022739
ENSP00000253577	ENSTNIP00000011809
ENSP00000265316	ENSTNIP00000017553
ENSP00000265316	ENSTNIP00000018723
ENSP00000238789	ENSTNIP00000013637
ENSP00000235329	ENSTNIP00000006991
ENSP00000357040	ENSTNIP00000007243
ENSP00000347672	ENSTNIP00000013237
ENSP00000347672	ENSTNIP00000016950
ENSP00000387471	ENSTNIP00000012733
ENSP00000419765	ENSTNIP00000021580
ENSP00000453872	ENSTNIP00000012203
ENSP00000269439	ENSTNIP00000009231
ENSP00000269439	ENSTNIP00000019794
ENSP00000247843	ENSTNIP00000003221
ENSP00000306983	ENSTNIP00000018345
ENSP00000365388	ENSTNIP00000016642
ENSP00000335060	ENSTNIP00000022623
ENSP00000398105	ENSTNIP00000013898
ENSP00000398105	ENSTNIP00000020574
ENSP00000428054	ENSTNIP00000021910
ENSP00000452796	ENSTNIP00000011297
ENSP00000379390	ENSTNIP00000007827
ENSP00000379390	ENSTNIP00000020725
ENSP00000413196	ENSTNIP00000002695
ENSP00000413196	ENSTNIP00000014186
ENSP00000383986	ENSTNIP00000005473
ENSP00000263062	ENSTNIP00000016616
ENSP00000263062	ENSTNIP00000010794
ENSP00000315070	ENSTNIP00000011576
ENSP00000318868	ENSTNIP00000009019
ENSP00000333667	ENSTNIP00000009854
ENSP00000333667	ENSTNIP00000014966
ENSP00000358451	ENSTNIP00000007979
ENSP00000254101	ENSTNIP00000018364
ENSP00000265087	ENSTNIP00000020208
ENSP00000265087	ENSTNIP00000019233
ENSP00000290271	ENSTNIP00000022659
ENSP00000290271	ENSTNIP00000016595
ENSP00000313432	ENSTNIP00000017228
ENSP00000377411	ENSTNIP00000009853
ENSP00000344789	ENSTNIP00000013684
ENSP00000341044	ENSTNIP00000003189
ENSP00000361795	ENSTNIP00000009891
ENSP00000361795	ENSTNIP00000003443
ENSP00000346300	ENSTNIP00000008901
ENSP00000272091	ENSTNIP00000009220
ENSP00000264705	ENSTNIP00000008118
ENSP00000262105	ENSTNIP00000011346
ENSP00000368174	ENSTNIP00000012739
ENSP00000331897	ENSTNIP00000022441
ENSP00000331897	ENSTNIP00000014311
ENSP00000286835	ENSTNIP00000012837
ENSP00000336587	ENSTNIP00000014543
ENSP00000336587	ENSTNIP00000014462
ENSP00000268383	ENSTNIP00000008276
ENSP00000268383	ENSTNIP00000021142
ENSP00000326534	ENSTNIP00000013437
ENSP00000377027	ENSTNIP00000012328
ENSP00000396704	ENSTNIP00000021338
ENSP00000411532	ENSTNIP00000003411
ENSP00000396995	ENSTNIP00000007124
ENSP00000360147	ENSTNIP00000008754
ENSP00000421566	ENSTNIP00000005390
ENSP00000186436	ENSTNIP00000016784
ENSP00000379457	ENSTNIP00000018557
ENSP00000307126	ENSTNIP00000020471
ENSP00000392217	ENSTNIP00000016083
ENSP00000231572	ENSTNIP00000010434
ENSP00000217372	ENSTNIP00000010149
ENSP00000279907	ENSTNIP00000014370
ENSP00000303427	ENSTNIP00000007845
ENSP00000379680	ENSTNIP00000001893
ENSP00000218516	ENSTNIP00000018828
ENSP00000468424	ENSTNIP00000017999
ENSP00000367407	ENSTNIP00000021529
ENSP00000354387	ENSTNIP00000003941
ENSP00000168977	ENSTNIP00000018580
ENSP00000168977	ENSTNIP00000001288
ENSP00000261448	ENSTNIP00000013238
ENSP00000261448	ENSTNIP00000016949
ENSP00000357057	ENSTNIP00000010750
ENSP00000357057	ENSTNIP00000010220
ENSP00000354251	ENSTNIP00000012750
ENSP00000293373	ENSTNIP00000017865
ENSP00000254029	ENSTNIP00000002793
ENSP00000379894	ENSTNIP00000011068
ENSP00000356438	ENSTNIP00000021290
ENSP00000353826	ENSTNIP00000005952
ENSP00000376583	ENSTNIP00000015100
ENSP00000325941	ENSTNIP00000017190
ENSP00000394700	ENSTNIP00000015343
ENSP00000389039	ENSTNIP00000011750
ENSP00000389039	ENSTNIP00000015198
ENSP00000233615	ENSTNIP00000021209
ENSP00000308430	ENSTNIP00000012214
ENSP00000338030	ENSTNIP00000011980
ENSP00000361731	ENSTNIP00000005607
ENSP00000402935	ENSTNIP00000003731
ENSP00000312587	ENSTNIP00000015490
ENSP00000253778	ENSTNIP00000013413
ENSP00000336994	ENSTNIP00000010562
ENSP00000286733	ENSTNIP00000010142
ENSP00000371152	ENSTNIP00000009931
ENSP00000308976	ENSTNIP00000019536
ENSP00000347626	ENSTNIP00000016564
ENSP00000319664	ENSTNIP00000008337
ENSP00000305958	ENSTNIP00000012798
ENSP00000327436	ENSTNIP00000011114
ENSP00000382163	ENSTNIP00000012765
ENSP00000336721	ENSTNIP00000019198
ENSP00000352510	ENSTNIP00000005136
ENSP00000344424	ENSTNIP00000019486
ENSP00000344424	ENSTNIP00000020581
ENSP00000404676	ENSTNIP00000005777
ENSP00000358810	ENSTNIP00000017668
ENSP00000359634	ENSTNIP00000011530
ENSP00000423933	ENSTNIP00000012706
ENSP00000253814	ENSTNIP00000021371
ENSP00000253814	ENSTNIP00000011798
ENSP00000312837	ENSTNIP00000005818
ENSP00000312837	ENSTNIP00000016995
ENSP00000262305	ENSTNIP00000015789
ENSP00000368341	ENSTNIP00000021586
ENSP00000368341	ENSTNIP00000012041
ENSP00000348538	ENSTNIP00000009894
ENSP00000348538	ENSTNIP00000015571
ENSP00000359859	ENSTNIP00000015583
ENSP00000280800	ENSTNIP00000018989
ENSP00000240617	ENSTNIP00000005759
ENSP00000311257	ENSTNIP00000008560
ENSP00000311257	ENSTNIP00000009935
ENSP00000273668	ENSTNIP00000018780
ENSP00000225171	ENSTNIP00000016077
ENSP00000362935	ENSTNIP00000006273
ENSP00000324549	ENSTNIP00000004984
ENSP00000283206	ENSTNIP00000019715
ENSP00000266068	ENSTNIP00000005079
ENSP00000351314	ENSTNIP00000006304
ENSP00000259457	ENSTNIP00000022897
ENSP00000258534	ENSTNIP00000002117
ENSP00000254663	ENSTNIP00000009948
ENSP00000323927	ENSTNIP00000003269
ENSP00000323927	ENSTNIP00000005586
ENSP00000366460	ENSTNIP00000008570
ENSP00000366460	ENSTNIP00000008341
ENSP00000382104	ENSTNIP00000016947
ENSP00000279101	ENSTNIP00000015451
ENSP00000279101	ENSTNIP00000007550
ENSP00000306881	ENSTNIP00000005140
ENSP00000376258	ENSTNIP00000017720
ENSP00000265056	ENSTNIP00000020635
ENSP00000335651	ENSTNIP00000001178
ENSP00000376458	ENSTNIP00000003579
ENSP00000371420	ENSTNIP00000020905
ENSP00000402758	ENSTNIP00000021415
ENSP00000402758	ENSTNIP00000003291
ENSP00000404700	ENSTNIP00000022298
ENSP00000262719	ENSTNIP00000009467
ENSP00000302530	ENSTNIP00000005386
ENSP00000377192	ENSTNIP00000018149
ENSP00000358423	ENSTNIP00000011120
ENSP00000367498	ENSTNIP00000013853
ENSP00000356669	ENSTNIP00000018328
ENSP00000254730	ENSTNIP00000005807
ENSP00000322439	ENSTNIP00000014576
ENSP00000360107	ENSTNIP00000015265
ENSP00000307041	ENSTNIP00000005990
ENSP00000357928	ENSTNIP00000015212
ENSP00000263966	ENSTNIP00000001136
ENSP00000309477	ENSTNIP00000007967
ENSP00000356634	ENSTNIP00000020764
ENSP00000438468	ENSTNIP00000010262
ENSP00000405423	ENSTNIP00000010745
ENSP00000405423	ENSTNIP00000000260
ENSP00000295448	ENSTNIP00000008740
ENSP00000268057	ENSTNIP00000012450
ENSP00000341874	ENSTNIP00000004229
ENSP00000369162	ENSTNIP00000005650
ENSP00000357835	ENSTNIP00000022620
ENSP00000298251	ENSTNIP00000010602
ENSP00000298251	ENSTNIP00000010436
ENSP00000377980	ENSTNIP00000020922
ENSP00000312379	ENSTNIP00000014334
ENSP00000263354	ENSTNIP00000019376
ENSP00000366225	ENSTNIP00000013641
ENSP00000366225	ENSTNIP00000002891
ENSP00000345060	ENSTNIP00000009052
ENSP00000419494	ENSTNIP00000010161
ENSP00000233099	ENSTNIP00000019758
ENSP00000350734	ENSTNIP00000009834
ENSP00000379346	ENSTNIP00000006394
ENSP00000379346	ENSTNIP00000010121
ENSP00000367880	ENSTNIP00000005180
ENSP00000226218	ENSTNIP00000008259
ENSP00000226218	ENSTNIP00000001179
ENSP00000399679	ENSTNIP00000021287
ENSP00000359600	ENSTNIP00000017889
ENSP00000436785	ENSTNIP00000004986
ENSP00000436785	ENSTNIP00000006309
ENSP00000325677	ENSTNIP00000003847
ENSP00000265245	ENSTNIP00000018642
ENSP00000269214	ENSTNIP00000020266
ENSP00000216259	ENSTNIP00000007619
ENSP00000400958	ENSTNIP00000021784
ENSP00000358617	ENSTNIP00000004680
ENSP00000345206	ENSTNIP00000015973
ENSP00000341243	ENSTNIP00000007897
ENSP00000281961	ENSTNIP00000005488
ENSP00000314396	ENSTNIP00000020880
ENSP00000328412	ENSTNIP00000014838
ENSP00000384262	ENSTNIP00000008379
ENSP00000228476	ENSTNIP00000018957
ENSP00000357920	ENSTNIP00000022514
ENSP00000273480	ENSTNIP00000008722
ENSP00000298198	ENSTNIP00000014147
ENSP00000263383	ENSTNIP00000013218
ENSP00000389948	ENSTNIP00000005168
ENSP00000371517	ENSTNIP00000010350
ENSP00000353739	ENSTNIP00000011342
ENSP00000264864	ENSTNIP00000001011
ENSP00000331600	ENSTNIP00000015479
ENSP00000297146	ENSTNIP00000021694
ENSP00000335261	ENSTNIP00000013706
ENSP00000365891	ENSTNIP00000003675
ENSP00000378364	ENSTNIP00000005475
ENSP00000260270	ENSTNIP00000013263
ENSP00000280258	ENSTNIP00000012356
ENSP00000440870	ENSTNIP00000000899
ENSP00000440870	ENSTNIP00000013864
ENSP00000263780	ENSTNIP00000019521
ENSP00000258198	ENSTNIP00000012291
ENSP00000273130	ENSTNIP00000009200
ENSP00000251588	ENSTNIP00000000685
ENSP00000309899	ENSTNIP00000014470
ENSP00000361721	ENSTNIP00000012693
ENSP00000313811	ENSTNIP00000010309
ENSP00000216117	ENSTNIP00000008880
ENSP00000459214	ENSTNIP00000012632
ENSP00000360623	ENSTNIP00000008231
ENSP00000304292	ENSTNIP00000013324
ENSP00000340836	ENSTNIP00000019800
ENSP00000361302	ENSTNIP00000005023
ENSP00000265174	ENSTNIP00000021191
ENSP00000349393	ENSTNIP00000013254
ENSP00000390849	ENSTNIP00000009237
ENSP00000390849	ENSTNIP00000012115
ENSP00000414558	ENSTNIP00000010777
ENSP00000476668	ENSTNIP00000011774
ENSP00000476668	ENSTNIP00000012135
ENSP00000290524	ENSTNIP00000008071
ENSP00000326244	ENSTNIP00000007279
ENSP00000398076	ENSTNIP00000005763
ENSP00000398076	ENSTNIP00000002095
ENSP00000280193	ENSTNIP00000006486
ENSP00000297904	ENSTNIP00000003509
ENSP00000376523	ENSTNIP00000010599
ENSP00000452746	ENSTNIP00000011214
ENSP00000452746	ENSTNIP00000014303
ENSP00000387261	ENSTNIP00000010358
ENSP00000365725	ENSTNIP00000016356
ENSP00000336693	ENSTNIP00000022533
ENSP00000040738	ENSTNIP00000018806
ENSP00000344829	ENSTNIP00000020005
ENSP00000012049	ENSTNIP00000010558
ENSP00000386414	ENSTNIP00000015465
ENSP00000362109	ENSTNIP00000004930
ENSP00000453129	ENSTNIP00000016694
ENSP00000465930	ENSTNIP00000005307
ENSP00000278174	ENSTNIP00000012229
ENSP00000355747	ENSTNIP00000005492
ENSP00000326366	ENSTNIP00000005614
ENSP00000398089	ENSTNIP00000012206
ENSP00000291495	ENSTNIP00000016185
ENSP00000261883	ENSTNIP00000012270
ENSP00000358541	ENSTNIP00000013807
ENSP00000355741	ENSTNIP00000013880
ENSP00000355741	ENSTNIP00000022523
