ENSMGAP00000004951	ENSACAP00000005936
ENSMGAP00000013382	ENSACAP00000010701
ENSMGAP00000004401	ENSACAP00000001208
ENSMGAP00000008088	ENSACAP00000016198
ENSMGAP00000019471	ENSACAP00000002281
ENSMGAP00000009424	ENSACAP00000014763
ENSMGAP00000015369	ENSACAP00000002450
ENSMGAP00000013135	ENSACAP00000000349
ENSMGAP00000002489	ENSACAP00000003163
ENSMGAP00000007490	ENSACAP00000015178
ENSMGAP00000012357	ENSACAP00000007292
ENSMGAP00000011351	ENSACAP00000007632
ENSMGAP00000013257	ENSACAP00000010974
ENSMGAP00000011780	ENSACAP00000012095
ENSMGAP00000004285	ENSACAP00000008985
ENSMGAP00000009661	ENSACAP00000002027
ENSMGAP00000019716	ENSACAP00000007902
ENSMGAP00000010528	ENSACAP00000012375
ENSMGAP00000010537	ENSACAP00000012322
ENSMGAP00000007163	ENSACAP00000023444
ENSMGAP00000008184	ENSACAP00000021860
ENSMGAP00000008787	ENSACAP00000001356
ENSMGAP00000013756	ENSACAP00000001792
ENSMGAP00000016877	ENSACAP00000001830
ENSMGAP00000007108	ENSACAP00000008142
ENSMGAP00000011506	ENSACAP00000005211
ENSMGAP00000014868	ENSACAP00000011364
ENSMGAP00000008611	ENSACAP00000004481
ENSMGAP00000011037	ENSACAP00000001041
ENSMGAP00000015731	ENSACAP00000000748
ENSMGAP00000015252	ENSACAP00000000756
ENSMGAP00000004000	ENSACAP00000002905
ENSMGAP00000008120	ENSACAP00000003027
ENSMGAP00000010146	ENSACAP00000005377
ENSMGAP00000011209	ENSACAP00000000834
ENSMGAP00000002384	ENSACAP00000001826
ENSMGAP00000015522	ENSACAP00000007295
ENSMGAP00000006388	ENSACAP00000009670
ENSMGAP00000013507	ENSACAP00000014617
ENSMGAP00000001221	ENSACAP00000005662
ENSMGAP00000008028	ENSACAP00000016377
ENSMGAP00000012193	ENSACAP00000013266
ENSMGAP00000014974	ENSACAP00000001699
ENSMGAP00000007754	ENSACAP00000008628
ENSMGAP00000000290	ENSACAP00000006286
ENSMGAP00000003868	ENSACAP00000014120
ENSMGAP00000002898	ENSACAP00000015650
ENSMGAP00000001000	ENSACAP00000007740
ENSMGAP00000006830	ENSACAP00000006972
ENSMGAP00000009275	ENSACAP00000023322
ENSMGAP00000013828	ENSACAP00000016534
ENSMGAP00000019559	ENSACAP00000002390
ENSMGAP00000006095	ENSACAP00000010776
ENSMGAP00000011411	ENSACAP00000022706
ENSMGAP00000004636	ENSACAP00000001303
ENSMGAP00000000295	ENSACAP00000003981
ENSMGAP00000013793	ENSACAP00000009992
ENSMGAP00000002635	ENSACAP00000009089
ENSMGAP00000000676	ENSACAP00000007187
ENSMGAP00000012508	ENSACAP00000010395
ENSMGAP00000000248	ENSACAP00000000771
ENSMGAP00000001945	ENSACAP00000008559
ENSMGAP00000000851	ENSACAP00000002421
ENSMGAP00000002626	ENSACAP00000011305
ENSMGAP00000003729	ENSACAP00000013488
ENSMGAP00000006953	ENSACAP00000006351
ENSMGAP00000009083	ENSACAP00000015016
ENSMGAP00000003009	ENSACAP00000000394
ENSMGAP00000001456	ENSACAP00000005177
ENSMGAP00000001474	ENSACAP00000014010
ENSMGAP00000009890	ENSACAP00000012270
ENSMGAP00000008691	ENSACAP00000015644
ENSMGAP00000004228	ENSACAP00000003633
ENSMGAP00000002087	ENSACAP00000002897
ENSMGAP00000002519	ENSACAP00000018659
ENSMGAP00000011635	ENSACAP00000005958
ENSMGAP00000005405	ENSACAP00000022252
ENSMGAP00000004435	ENSACAP00000006905
ENSMGAP00000002004	ENSACAP00000014476
ENSMGAP00000015007	ENSACAP00000007006
ENSMGAP00000009512	ENSACAP00000021584
ENSMGAP00000003264	ENSACAP00000014985
ENSMGAP00000013127	ENSACAP00000015271
ENSMGAP00000004133	ENSACAP00000001313
ENSMGAP00000015215	ENSACAP00000011939
ENSMGAP00000011344	ENSACAP00000009813
ENSMGAP00000011989	ENSACAP00000014714
ENSMGAP00000015043	ENSACAP00000004984
ENSMGAP00000016256	ENSACAP00000013989
ENSMGAP00000006532	ENSACAP00000012750
ENSMGAP00000010021	ENSACAP00000002705
ENSMGAP00000015542	ENSACAP00000012035
ENSMGAP00000008279	ENSACAP00000008728
ENSMGAP00000012242	ENSACAP00000013544
ENSMGAP00000001847	ENSACAP00000008498
ENSMGAP00000001321	ENSACAP00000007484
ENSMGAP00000010758	ENSACAP00000012840
ENSMGAP00000006797	ENSACAP00000011261
ENSMGAP00000017867	ENSACAP00000014061
ENSMGAP00000009096	ENSACAP00000007874
ENSMGAP00000011352	ENSACAP00000001610
ENSMGAP00000013417	ENSACAP00000016515
ENSMGAP00000018132	ENSACAP00000003663
ENSMGAP00000005790	ENSACAP00000022690
ENSMGAP00000000277	ENSACAP00000000238
ENSMGAP00000010039	ENSACAP00000020229
ENSMGAP00000016473	ENSACAP00000020321
ENSMGAP00000016891	ENSACAP00000015635
ENSMGAP00000005859	ENSACAP00000008158
ENSMGAP00000007809	ENSACAP00000021120
ENSMGAP00000007857	ENSACAP00000004202
ENSMGAP00000007759	ENSACAP00000020900
ENSMGAP00000010378	ENSACAP00000014164
ENSMGAP00000008395	ENSACAP00000005399
ENSMGAP00000009792	ENSACAP00000008333
ENSMGAP00000007524	ENSACAP00000012671
ENSMGAP00000011959	ENSACAP00000013935
ENSMGAP00000005571	ENSACAP00000004955
ENSMGAP00000008426	ENSACAP00000014666
ENSMGAP00000000996	ENSACAP00000017436
ENSMGAP00000001408	ENSACAP00000005625
ENSMGAP00000012578	ENSACAP00000006199
ENSMGAP00000000544	ENSACAP00000006986
ENSMGAP00000005207	ENSACAP00000010203
ENSMGAP00000013762	ENSACAP00000001745
ENSMGAP00000006491	ENSACAP00000014953
ENSMGAP00000003657	ENSACAP00000011441
ENSMGAP00000011821	ENSACAP00000012188
ENSMGAP00000000524	ENSACAP00000008971
ENSMGAP00000004047	ENSACAP00000013336
ENSMGAP00000000784	ENSACAP00000016025
ENSMGAP00000014803	ENSACAP00000000389
ENSMGAP00000014935	ENSACAP00000013833
ENSMGAP00000012979	ENSACAP00000006266
ENSMGAP00000009715	ENSACAP00000006367
ENSMGAP00000017838	ENSACAP00000016741
ENSMGAP00000015999	ENSACAP00000004945
ENSMGAP00000007341	ENSACAP00000022630
ENSMGAP00000016529	ENSACAP00000014121
ENSMGAP00000018087	ENSACAP00000007619
ENSMGAP00000014581	ENSACAP00000004941
ENSMGAP00000006902	ENSACAP00000015068
ENSMGAP00000015128	ENSACAP00000003281
ENSMGAP00000015976	ENSACAP00000004056
ENSMGAP00000005656	ENSACAP00000010793
ENSMGAP00000011304	ENSACAP00000009743
ENSMGAP00000000995	ENSACAP00000012118
ENSMGAP00000006295	ENSACAP00000015134
ENSMGAP00000008990	ENSACAP00000004353
ENSMGAP00000006651	ENSACAP00000014823
ENSMGAP00000018705	ENSACAP00000002321
ENSMGAP00000019034	ENSACAP00000000926
ENSMGAP00000013403	ENSACAP00000010204
ENSMGAP00000014090	ENSACAP00000012513
ENSMGAP00000005605	ENSACAP00000001507
ENSMGAP00000004139	ENSACAP00000001840
ENSMGAP00000008881	ENSACAP00000009444
ENSMGAP00000009002	ENSACAP00000009318
ENSMGAP00000012207	ENSACAP00000003937
ENSMGAP00000006713	ENSACAP00000010146
ENSMGAP00000013202	ENSACAP00000015379
ENSMGAP00000011591	ENSACAP00000008650
ENSMGAP00000005011	ENSACAP00000009733
ENSMGAP00000000575	ENSACAP00000011069
ENSMGAP00000004387	ENSACAP00000011232
ENSMGAP00000005830	ENSACAP00000005505
ENSMGAP00000006293	ENSACAP00000001859
ENSMGAP00000000410	ENSACAP00000004790
ENSMGAP00000008763	ENSACAP00000000558
ENSMGAP00000012535	ENSACAP00000004620
ENSMGAP00000012454	ENSACAP00000013313
ENSMGAP00000012386	ENSACAP00000010625
ENSMGAP00000005297	ENSACAP00000010362
ENSMGAP00000001567	ENSACAP00000011539
ENSMGAP00000017383	ENSACAP00000002648
ENSMGAP00000013039	ENSACAP00000006871
ENSMGAP00000006635	ENSACAP00000020058
ENSMGAP00000006620	ENSACAP00000012352
ENSMGAP00000003435	ENSACAP00000012898
ENSMGAP00000008996	ENSACAP00000007186
ENSMGAP00000008227	ENSACAP00000011007
ENSMGAP00000013812	ENSACAP00000014219
ENSMGAP00000011257	ENSACAP00000007565
ENSMGAP00000001349	ENSACAP00000015090
ENSMGAP00000008686	ENSACAP00000002003
ENSMGAP00000010578	ENSACAP00000010943
ENSMGAP00000009545	ENSACAP00000000005
ENSMGAP00000013108	ENSACAP00000008308
ENSMGAP00000009396	ENSACAP00000003527
ENSMGAP00000019583	ENSACAP00000014621
ENSMGAP00000005233	ENSACAP00000012664
ENSMGAP00000013830	ENSACAP00000011633
ENSMGAP00000005176	ENSACAP00000015945
ENSMGAP00000010764	ENSACAP00000002009
ENSMGAP00000009111	ENSACAP00000005906
ENSMGAP00000013255	ENSACAP00000010958
ENSMGAP00000007709	ENSACAP00000011137
ENSMGAP00000003389	ENSACAP00000008289
ENSMGAP00000014186	ENSACAP00000011163
ENSMGAP00000005922	ENSACAP00000002610
ENSMGAP00000010607	ENSACAP00000015259
ENSMGAP00000007157	ENSACAP00000003507
ENSMGAP00000009365	ENSACAP00000017030
ENSMGAP00000009329	ENSACAP00000017036
ENSMGAP00000008713	ENSACAP00000001118
ENSMGAP00000012609	ENSACAP00000011378
ENSMGAP00000001626	ENSACAP00000007539
ENSMGAP00000002577	ENSACAP00000003156
ENSMGAP00000013904	ENSACAP00000008292
ENSMGAP00000005699	ENSACAP00000005218
ENSMGAP00000015798	ENSACAP00000001827
ENSMGAP00000003045	ENSACAP00000016702
ENSMGAP00000016259	ENSACAP00000016827
ENSMGAP00000002908	ENSACAP00000015998
ENSMGAP00000005588	ENSACAP00000014347
ENSMGAP00000005579	ENSACAP00000018216
ENSMGAP00000000746	ENSACAP00000011564
ENSMGAP00000006375	ENSACAP00000005755
ENSMGAP00000013936	ENSACAP00000000384
ENSMGAP00000002889	ENSACAP00000016810
ENSMGAP00000008524	ENSACAP00000013885
ENSMGAP00000014309	ENSACAP00000010057
ENSMGAP00000005135	ENSACAP00000016299
ENSMGAP00000004646	ENSACAP00000000462
ENSMGAP00000008024	ENSACAP00000001105
ENSMGAP00000004009	ENSACAP00000012704
ENSMGAP00000012160	ENSACAP00000014253
ENSMGAP00000006425	ENSACAP00000002725
ENSMGAP00000014659	ENSACAP00000021191
ENSMGAP00000014660	ENSACAP00000004216
ENSMGAP00000008389	ENSACAP00000011002
ENSMGAP00000002728	ENSACAP00000005708
ENSMGAP00000008877	ENSACAP00000012760
ENSMGAP00000012201	ENSACAP00000015740
ENSMGAP00000010272	ENSACAP00000014031
ENSMGAP00000002495	ENSACAP00000013319
ENSMGAP00000001579	ENSACAP00000003577
ENSMGAP00000013819	ENSACAP00000009450
ENSMGAP00000011682	ENSACAP00000014366
ENSMGAP00000012864	ENSACAP00000009630
ENSMGAP00000010963	ENSACAP00000016797
ENSMGAP00000010250	ENSACAP00000015712
ENSMGAP00000010535	ENSACAP00000004764
ENSMGAP00000002452	ENSACAP00000021248
ENSMGAP00000012153	ENSACAP00000013147
ENSMGAP00000013431	ENSACAP00000016572
ENSMGAP00000001167	ENSACAP00000011269
ENSMGAP00000010265	ENSACAP00000015782
ENSMGAP00000014682	ENSACAP00000009255
ENSMGAP00000007764	ENSACAP00000015931
ENSMGAP00000001370	ENSACAP00000008812
ENSMGAP00000005102	ENSACAP00000014484
ENSMGAP00000009730	ENSACAP00000010903
ENSMGAP00000010466	ENSACAP00000007670
ENSMGAP00000012135	ENSACAP00000015567
ENSMGAP00000010346	ENSACAP00000000644
ENSMGAP00000010413	ENSACAP00000016497
ENSMGAP00000007655	ENSACAP00000020340
ENSMGAP00000000646	ENSACAP00000005757
ENSMGAP00000006286	ENSACAP00000004848
ENSMGAP00000018371	ENSACAP00000011890
ENSMGAP00000001440	ENSACAP00000003881
ENSMGAP00000014014	ENSACAP00000012805
ENSMGAP00000008734	ENSACAP00000006531
ENSMGAP00000015262	ENSACAP00000009560
ENSMGAP00000003005	ENSACAP00000009767
ENSMGAP00000007591	ENSACAP00000010645
ENSMGAP00000016277	ENSACAP00000005093
ENSMGAP00000002627	ENSACAP00000014002
ENSMGAP00000014184	ENSACAP00000011183
ENSMGAP00000003845	ENSACAP00000009511
ENSMGAP00000008267	ENSACAP00000016906
ENSMGAP00000018068	ENSACAP00000019965
ENSMGAP00000005195	ENSACAP00000015920
ENSMGAP00000002958	ENSACAP00000006370
ENSMGAP00000007166	ENSACAP00000008389
ENSMGAP00000009962	ENSACAP00000005760
ENSMGAP00000013863	ENSACAP00000008929
ENSMGAP00000005832	ENSACAP00000012441
ENSMGAP00000008537	ENSACAP00000011621
ENSMGAP00000008025	ENSACAP00000006438
ENSMGAP00000005409	ENSACAP00000002827
ENSMGAP00000011017	ENSACAP00000016872
ENSMGAP00000009632	ENSACAP00000007726
ENSMGAP00000003035	ENSACAP00000002903
ENSMGAP00000013539	ENSACAP00000014893
ENSMGAP00000010610	ENSACAP00000013212
ENSMGAP00000012272	ENSACAP00000004430
ENSMGAP00000012594	ENSACAP00000006263
ENSMGAP00000005296	ENSACAP00000015526
ENSMGAP00000015825	ENSACAP00000000833
ENSMGAP00000000143	ENSACAP00000006002
ENSMGAP00000012440	ENSACAP00000007888
ENSMGAP00000009900	ENSACAP00000013713
ENSMGAP00000002515	ENSACAP00000019602
ENSMGAP00000016812	ENSACAP00000013941
ENSMGAP00000001899	ENSACAP00000003769
ENSMGAP00000009698	ENSACAP00000009686
ENSMGAP00000010377	ENSACAP00000016126
ENSMGAP00000015880	ENSACAP00000001868
ENSMGAP00000017632	ENSACAP00000006055
ENSMGAP00000004402	ENSACAP00000013744
ENSMGAP00000014983	ENSACAP00000007486
ENSMGAP00000003732	ENSACAP00000009003
ENSMGAP00000001563	ENSACAP00000009104
ENSMGAP00000017375	ENSACAP00000010265
ENSMGAP00000002265	ENSACAP00000020292
ENSMGAP00000000121	ENSACAP00000003446
ENSMGAP00000013300	ENSACAP00000012207
ENSMGAP00000011135	ENSACAP00000002032
ENSMGAP00000011097	ENSACAP00000022195
ENSMGAP00000018013	ENSACAP00000000372
ENSMGAP00000012658	ENSACAP00000006597
ENSMGAP00000013070	ENSACAP00000007935
ENSMGAP00000011380	ENSACAP00000009888
ENSMGAP00000010555	ENSACAP00000019046
ENSMGAP00000010609	ENSACAP00000006188
ENSMGAP00000011129	ENSACAP00000007099
ENSMGAP00000005383	ENSACAP00000002424
ENSMGAP00000014844	ENSACAP00000006922
ENSMGAP00000013350	ENSACAP00000016191
ENSMGAP00000007004	ENSACAP00000001419
ENSMGAP00000012808	ENSACAP00000020102
ENSMGAP00000015836	ENSACAP00000002294
ENSMGAP00000014059	ENSACAP00000013168
ENSMGAP00000001114	ENSACAP00000001702
ENSMGAP00000013369	ENSACAP00000009896
ENSMGAP00000007381	ENSACAP00000006274
ENSMGAP00000000022	ENSACAP00000009537
ENSMGAP00000013393	ENSACAP00000010804
ENSMGAP00000003432	ENSACAP00000014748
ENSMGAP00000006574	ENSACAP00000012116
ENSMGAP00000008010	ENSACAP00000016488
ENSMGAP00000005256	ENSACAP00000002373
ENSMGAP00000004193	ENSACAP00000016345
ENSMGAP00000008520	ENSACAP00000014760
ENSMGAP00000015167	ENSACAP00000021036
ENSMGAP00000014811	ENSACAP00000006251
ENSMGAP00000013199	ENSACAP00000007232
ENSMGAP00000004613	ENSACAP00000016201
ENSMGAP00000004474	ENSACAP00000006010
ENSMGAP00000005562	ENSACAP00000014292
ENSMGAP00000008292	ENSACAP00000003513
ENSMGAP00000008289	ENSACAP00000005178
ENSMGAP00000008750	ENSACAP00000019511
ENSMGAP00000017378	ENSACAP00000020330
ENSMGAP00000005976	ENSACAP00000009675
ENSMGAP00000007347	ENSACAP00000008706
ENSMGAP00000014985	ENSACAP00000007600
ENSMGAP00000010044	ENSACAP00000004175
ENSMGAP00000015415	ENSACAP00000005315
ENSMGAP00000004689	ENSACAP00000014445
ENSMGAP00000000950	ENSACAP00000015890
ENSMGAP00000002114	ENSACAP00000008949
ENSMGAP00000003746	ENSACAP00000015046
ENSMGAP00000007299	ENSACAP00000015711
ENSMGAP00000009952	ENSACAP00000006026
ENSMGAP00000013398	ENSACAP00000016433
ENSMGAP00000001988	ENSACAP00000006349
ENSMGAP00000015883	ENSACAP00000001913
ENSMGAP00000012239	ENSACAP00000014115
ENSMGAP00000006816	ENSACAP00000013960
ENSMGAP00000014620	ENSACAP00000014703
ENSMGAP00000006161	ENSACAP00000009049
ENSMGAP00000005594	ENSACAP00000002104
ENSMGAP00000001465	ENSACAP00000020825
ENSMGAP00000012937	ENSACAP00000008780
ENSMGAP00000014819	ENSACAP00000000118
ENSMGAP00000015204	ENSACAP00000011571
ENSMGAP00000017583	ENSACAP00000004701
ENSMGAP00000011671	ENSACAP00000014242
ENSMGAP00000000089	ENSACAP00000000146
ENSMGAP00000011194	ENSACAP00000013171
ENSMGAP00000003877	ENSACAP00000004036
ENSMGAP00000006702	ENSACAP00000002313
ENSMGAP00000009276	ENSACAP00000014501
ENSMGAP00000009291	ENSACAP00000003659
ENSMGAP00000005121	ENSACAP00000013328
ENSMGAP00000012565	ENSACAP00000014192
ENSMGAP00000010032	ENSACAP00000006210
ENSMGAP00000013446	ENSACAP00000016670
ENSMGAP00000013262	ENSACAP00000006884
ENSMGAP00000008847	ENSACAP00000001593
ENSMGAP00000005520	ENSACAP00000004794
ENSMGAP00000014867	ENSACAP00000023112
ENSMGAP00000003280	ENSACAP00000010003
ENSMGAP00000004774	ENSACAP00000005795
ENSMGAP00000008749	ENSACAP00000009383
ENSMGAP00000014074	ENSACAP00000023380
ENSMGAP00000003974	ENSACAP00000008204
ENSMGAP00000019224	ENSACAP00000001768
ENSMGAP00000014438	ENSACAP00000014532
ENSMGAP00000004388	ENSACAP00000009088
ENSMGAP00000006138	ENSACAP00000005552
ENSMGAP00000003320	ENSACAP00000014784
ENSMGAP00000011721	ENSACAP00000009931
ENSMGAP00000018927	ENSACAP00000016575
ENSMGAP00000013711	ENSACAP00000023418
ENSMGAP00000015502	ENSACAP00000015799
ENSMGAP00000013043	ENSACAP00000006850
ENSMGAP00000007960	ENSACAP00000013176
ENSMGAP00000010763	ENSACAP00000003701
ENSMGAP00000006586	ENSACAP00000013044
ENSMGAP00000010737	ENSACAP00000016761
ENSMGAP00000011423	ENSACAP00000010496
ENSMGAP00000013412	ENSACAP00000016314
ENSMGAP00000003939	ENSACAP00000023416
ENSMGAP00000012630	ENSACAP00000022532
ENSMGAP00000006984	ENSACAP00000007541
ENSMGAP00000008653	ENSACAP00000006352
ENSMGAP00000003694	ENSACAP00000010913
ENSMGAP00000004678	ENSACAP00000010500
ENSMGAP00000013067	ENSACAP00000002596
ENSMGAP00000010938	ENSACAP00000004192
ENSMGAP00000016665	ENSACAP00000019525
ENSMGAP00000002045	ENSACAP00000002816
ENSMGAP00000010357	ENSACAP00000016197
ENSMGAP00000000936	ENSACAP00000006412
ENSMGAP00000013542	ENSACAP00000010902
ENSMGAP00000012988	ENSACAP00000009246
ENSMGAP00000001919	ENSACAP00000007406
ENSMGAP00000011005	ENSACAP00000016850
ENSMGAP00000018006	ENSACAP00000012345
ENSMGAP00000006952	ENSACAP00000007046
ENSMGAP00000011105	ENSACAP00000005026
ENSMGAP00000013607	ENSACAP00000016997
ENSMGAP00000012473	ENSACAP00000001516
ENSMGAP00000001771	ENSACAP00000002723
ENSMGAP00000007317	ENSACAP00000001511
ENSMGAP00000001084	ENSACAP00000001863
ENSMGAP00000004938	ENSACAP00000017490
ENSMGAP00000011977	ENSACAP00000013798
ENSMGAP00000008652	ENSACAP00000011451
ENSMGAP00000014538	ENSACAP00000017076
ENSMGAP00000009831	ENSACAP00000007324
ENSMGAP00000008799	ENSACAP00000003068
ENSMGAP00000005696	ENSACAP00000011972
ENSMGAP00000006319	ENSACAP00000006508
ENSMGAP00000007419	ENSACAP00000008886
ENSMGAP00000009710	ENSACAP00000011850
ENSMGAP00000007280	ENSACAP00000008041
ENSMGAP00000013357	ENSACAP00000009811
ENSMGAP00000015206	ENSACAP00000011610
ENSMGAP00000003769	ENSACAP00000008695
ENSMGAP00000007099	ENSACAP00000021459
ENSMGAP00000002044	ENSACAP00000017300
ENSMGAP00000005591	ENSACAP00000004864
ENSMGAP00000002776	ENSACAP00000003959
ENSMGAP00000012297	ENSACAP00000009097
ENSMGAP00000013005	ENSACAP00000001117
ENSMGAP00000007129	ENSACAP00000013055
ENSMGAP00000018271	ENSACAP00000022231
ENSMGAP00000013059	ENSACAP00000014544
ENSMGAP00000000896	ENSACAP00000017038
ENSMGAP00000008514	ENSACAP00000022117
ENSMGAP00000000489	ENSACAP00000010930
ENSMGAP00000010491	ENSACAP00000016017
ENSMGAP00000000910	ENSACAP00000010151
ENSMGAP00000004112	ENSACAP00000010133
ENSMGAP00000013456	ENSACAP00000007849
ENSMGAP00000008472	ENSACAP00000004723
ENSMGAP00000019046	ENSACAP00000003099
ENSMGAP00000005289	ENSACAP00000001433
ENSMGAP00000008562	ENSACAP00000001780
ENSMGAP00000009756	ENSACAP00000012668
ENSMGAP00000004981	ENSACAP00000011171
ENSMGAP00000006449	ENSACAP00000014637
ENSMGAP00000015011	ENSACAP00000009864
ENSMGAP00000004702	ENSACAP00000004612
ENSMGAP00000006613	ENSACAP00000012627
ENSMGAP00000009050	ENSACAP00000011147
ENSMGAP00000004914	ENSACAP00000000831
ENSMGAP00000013618	ENSACAP00000007912
ENSMGAP00000005684	ENSACAP00000005186
ENSMGAP00000013729	ENSACAP00000015990
ENSMGAP00000009571	ENSACAP00000012640
ENSMGAP00000005595	ENSACAP00000002898
ENSMGAP00000016026	ENSACAP00000003213
ENSMGAP00000000408	ENSACAP00000004703
ENSMGAP00000005483	ENSACAP00000004923
ENSMGAP00000014534	ENSACAP00000015804
ENSMGAP00000004122	ENSACAP00000015743
ENSMGAP00000016219	ENSACAP00000010034
ENSMGAP00000010509	ENSACAP00000012505
ENSMGAP00000007718	ENSACAP00000016681
ENSMGAP00000003278	ENSACAP00000009008
ENSMGAP00000002666	ENSACAP00000004385
ENSMGAP00000000016	ENSACAP00000011442
ENSMGAP00000007023	ENSACAP00000004760
ENSMGAP00000018225	ENSACAP00000008234
ENSMGAP00000010333	ENSACAP00000012144
ENSMGAP00000010501	ENSACAP00000003254
ENSMGAP00000011872	ENSACAP00000002621
ENSMGAP00000009726	ENSACAP00000016146
ENSMGAP00000009990	ENSACAP00000014563
ENSMGAP00000010990	ENSACAP00000002098
ENSMGAP00000002550	ENSACAP00000005338
ENSMGAP00000006691	ENSACAP00000007654
ENSMGAP00000007315	ENSACAP00000008569
ENSMGAP00000003641	ENSACAP00000009356
ENSMGAP00000010551	ENSACAP00000016239
ENSMGAP00000006130	ENSACAP00000000516
ENSMGAP00000005537	ENSACAP00000008715
ENSMGAP00000013038	ENSACAP00000007597
ENSMGAP00000007829	ENSACAP00000006828
ENSMGAP00000015515	ENSACAP00000006895
ENSMGAP00000000006	ENSACAP00000011818
ENSMGAP00000000112	ENSACAP00000019695
ENSMGAP00000014302	ENSACAP00000003851
ENSMGAP00000009761	ENSACAP00000017489
ENSMGAP00000005169	ENSACAP00000009052
ENSMGAP00000009621	ENSACAP00000014924
ENSMGAP00000012231	ENSACAP00000013508
ENSMGAP00000012984	ENSACAP00000009142
ENSMGAP00000014823	ENSACAP00000012728
ENSMGAP00000001268	ENSACAP00000007572
ENSMGAP00000002475	ENSACAP00000006574
ENSMGAP00000019167	ENSACAP00000001538
ENSMGAP00000019081	ENSACAP00000008107
ENSMGAP00000011499	ENSACAP00000006375
ENSMGAP00000009494	ENSACAP00000001450
ENSMGAP00000015662	ENSACAP00000012399
ENSMGAP00000003143	ENSACAP00000002724
ENSMGAP00000006196	ENSACAP00000004073
ENSMGAP00000000855	ENSACAP00000013064
ENSMGAP00000000538	ENSACAP00000005048
ENSMGAP00000012414	ENSACAP00000004983
ENSMGAP00000005384	ENSACAP00000015014
ENSMGAP00000017532	ENSACAP00000014365
ENSMGAP00000012888	ENSACAP00000004809
ENSMGAP00000000608	ENSACAP00000005365
ENSMGAP00000002496	ENSACAP00000007056
ENSMGAP00000014887	ENSACAP00000021362
ENSMGAP00000007818	ENSACAP00000015081
ENSMGAP00000018062	ENSACAP00000003611
ENSMGAP00000008322	ENSACAP00000003534
ENSMGAP00000002454	ENSACAP00000008801
ENSMGAP00000012084	ENSACAP00000017086
ENSMGAP00000000441	ENSACAP00000005015
ENSMGAP00000012000	ENSACAP00000004286
ENSMGAP00000014209	ENSACAP00000011566
ENSMGAP00000014299	ENSACAP00000003794
ENSMGAP00000010630	ENSACAP00000015314
ENSMGAP00000007992	ENSACAP00000003594
ENSMGAP00000004972	ENSACAP00000013955
ENSMGAP00000011099	ENSACAP00000005102
ENSMGAP00000006124	ENSACAP00000006193
ENSMGAP00000019712	ENSACAP00000002436
ENSMGAP00000007459	ENSACAP00000012536
ENSMGAP00000014183	ENSACAP00000011298
ENSMGAP00000005944	ENSACAP00000002630
ENSMGAP00000012045	ENSACAP00000005107
ENSMGAP00000014215	ENSACAP00000011178
ENSMGAP00000001087	ENSACAP00000000916
ENSMGAP00000004015	ENSACAP00000009568
ENSMGAP00000013653	ENSACAP00000000190
ENSMGAP00000003511	ENSACAP00000005864
ENSMGAP00000003912	ENSACAP00000012571
ENSMGAP00000014854	ENSACAP00000010404
ENSMGAP00000019734	ENSACAP00000000820
ENSMGAP00000004137	ENSACAP00000008315
ENSMGAP00000013476	ENSACAP00000005139
ENSMGAP00000000885	ENSACAP00000011960
ENSMGAP00000004321	ENSACAP00000013576
ENSMGAP00000015855	ENSACAP00000000470
ENSMGAP00000005996	ENSACAP00000005555
ENSMGAP00000013076	ENSACAP00000014864
ENSMGAP00000003941	ENSACAP00000002592
ENSMGAP00000003547	ENSACAP00000017305
ENSMGAP00000007761	ENSACAP00000006553
ENSMGAP00000007278	ENSACAP00000009695
ENSMGAP00000011388	ENSACAP00000007834
ENSMGAP00000013448	ENSACAP00000016673
ENSMGAP00000008194	ENSACAP00000002107
ENSMGAP00000015961	ENSACAP00000017361
ENSMGAP00000008266	ENSACAP00000001028
ENSMGAP00000015989	ENSACAP00000004404
ENSMGAP00000012867	ENSACAP00000011509
ENSMGAP00000011582	ENSACAP00000014252
ENSMGAP00000002214	ENSACAP00000014345
ENSMGAP00000015060	ENSACAP00000008105
ENSMGAP00000012149	ENSACAP00000012965
ENSMGAP00000013246	ENSACAP00000015538
ENSMGAP00000008682	ENSACAP00000001529
ENSMGAP00000018065	ENSACAP00000017052
ENSMGAP00000005915	ENSACAP00000008585
ENSMGAP00000014461	ENSACAP00000000360
ENSMGAP00000009531	ENSACAP00000014718
ENSMGAP00000012208	ENSACAP00000008644
ENSMGAP00000009247	ENSACAP00000008784
ENSMGAP00000014808	ENSACAP00000001878
ENSMGAP00000002541	ENSACAP00000013826
ENSMGAP00000011942	ENSACAP00000011602
ENSMGAP00000014198	ENSACAP00000010883
ENSMGAP00000006064	ENSACAP00000008404
ENSMGAP00000005271	ENSACAP00000001535
ENSMGAP00000004791	ENSACAP00000003048
ENSMGAP00000000560	ENSACAP00000006981
ENSMGAP00000013297	ENSACAP00000015999
ENSMGAP00000015896	ENSACAP00000006414
ENSMGAP00000014852	ENSACAP00000014250
ENSMGAP00000012743	ENSACAP00000015714
ENSMGAP00000012063	ENSACAP00000006894
ENSMGAP00000000317	ENSACAP00000008282
ENSMGAP00000013599	ENSACAP00000011924
ENSMGAP00000000076	ENSACAP00000000692
ENSMGAP00000007962	ENSACAP00000005169
ENSMGAP00000008674	ENSACAP00000012442
