ENSDARP00000074624	ENSMUSP00000034074
ENSDARP00000025816	ENSMUSP00000076951
ENSDARP00000100331	ENSMUSP00000021790
ENSDARP00000065335	ENSMUSP00000021790
ENSDARP00000073126	ENSMUSP00000027290
ENSDARP00000104417	ENSMUSP00000099785
ENSDARP00000110231	ENSMUSP00000021691
ENSDARP00000010867	ENSMUSP00000035078
ENSDARP00000107383	ENSMUSP00000018992
ENSDARP00000094886	ENSMUSP00000105353
ENSDARP00000122870	ENSMUSP00000020112
ENSDARP00000081680	ENSMUSP00000016569
ENSDARP00000109877	ENSMUSP00000031104
ENSDARP00000110400	ENSMUSP00000023088
ENSDARP00000114835	ENSMUSP00000033621
ENSDARP00000105829	ENSMUSP00000021314
ENSDARP00000024632	ENSMUSP00000080600
ENSDARP00000055258	ENSMUSP00000125384
ENSDARP00000099308	ENSMUSP00000005069
ENSDARP00000088524	ENSMUSP00000005069
ENSDARP00000020399	ENSMUSP00000029454
ENSDARP00000056539	ENSMUSP00000003554
ENSDARP00000011545	ENSMUSP00000003554
ENSDARP00000116328	ENSMUSP00000028386
ENSDARP00000080601	ENSMUSP00000035400
ENSDARP00000079110	ENSMUSP00000044616
ENSDARP00000086504	ENSMUSP00000061843
ENSDARP00000104772	ENSMUSP00000059977
ENSDARP00000003684	ENSMUSP00000035065
ENSDARP00000022450	ENSMUSP00000035065
ENSDARP00000113382	ENSMUSP00000024733
ENSDARP00000096921	ENSMUSP00000041814
ENSDARP00000112132	ENSMUSP00000041370
ENSDARP00000012229	ENSMUSP00000046981
ENSDARP00000107651	ENSMUSP00000026558
ENSDARP00000078529	ENSMUSP00000019908
ENSDARP00000044948	ENSMUSP00000106081
ENSDARP00000113554	ENSMUSP00000016344
ENSDARP00000045839	ENSMUSP00000016344
ENSDARP00000120838	ENSMUSP00000022082
ENSDARP00000118699	ENSMUSP00000032111
ENSDARP00000070552	ENSMUSP00000034400
ENSDARP00000101040	ENSMUSP00000106004
ENSDARP00000100767	ENSMUSP00000048426
ENSDARP00000122022	ENSMUSP00000024717
ENSDARP00000073037	ENSMUSP00000027125
ENSDARP00000071442	ENSMUSP00000020629
ENSDARP00000046647	ENSMUSP00000051293
ENSDARP00000040433	ENSMUSP00000034000
ENSDARP00000007893	ENSMUSP00000034000
ENSDARP00000115777	ENSMUSP00000058142
ENSDARP00000115654	ENSMUSP00000105303
ENSDARP00000016035	ENSMUSP00000064668
ENSDARP00000005181	ENSMUSP00000030665
ENSDARP00000100503	ENSMUSP00000025918
ENSDARP00000110046	ENSMUSP00000066413
ENSDARP00000053156	ENSMUSP00000109584
ENSDARP00000005003	ENSMUSP00000136673
ENSDARP00000094999	ENSMUSP00000126749
ENSDARP00000127300	ENSMUSP00000064961
ENSDARP00000075946	ENSMUSP00000025354
ENSDARP00000128547	ENSMUSP00000036477
ENSDARP00000114430	ENSMUSP00000112575
ENSDARP00000084036	ENSMUSP00000112575
ENSDARP00000116341	ENSMUSP00000025093
ENSDARP00000125987	ENSMUSP00000025293
ENSDARP00000008781	ENSMUSP00000025293
ENSDARP00000125009	ENSMUSP00000017783
ENSDARP00000070439	ENSMUSP00000017783
ENSDARP00000013205	ENSMUSP00000113521
ENSDARP00000100853	ENSMUSP00000043120
ENSDARP00000092248	ENSMUSP00000133816
ENSDARP00000007528	ENSMUSP00000003450
ENSDARP00000109087	ENSMUSP00000104529
ENSDARP00000086825	ENSMUSP00000032336
ENSDARP00000128717	ENSMUSP00000032336
ENSDARP00000102523	ENSMUSP00000078190
ENSDARP00000122521	ENSMUSP00000078190
ENSDARP00000105242	ENSMUSP00000114652
ENSDARP00000005794	ENSMUSP00000110477
ENSDARP00000041745	ENSMUSP00000041841
ENSDARP00000105475	ENSMUSP00000041298
ENSDARP00000048049	ENSMUSP00000033674
ENSDARP00000095008	ENSMUSP00000032629
ENSDARP00000023892	ENSMUSP00000000348
ENSDARP00000125781	ENSMUSP00000131331
ENSDARP00000090716	ENSMUSP00000034369
ENSDARP00000055324	ENSMUSP00000028083
ENSDARP00000066996	ENSMUSP00000020249
ENSDARP00000100066	ENSMUSP00000027532
ENSDARP00000118141	ENSMUSP00000103191
ENSDARP00000078364	ENSMUSP00000028081
ENSDARP00000104146	ENSMUSP00000028081
ENSDARP00000072718	ENSMUSP00000044437
ENSDARP00000083640	ENSMUSP00000129463
ENSDARP00000116145	ENSMUSP00000104519
ENSDARP00000034848	ENSMUSP00000104519
ENSDARP00000116386	ENSMUSP00000021375
ENSDARP00000055860	ENSMUSP00000031434
ENSDARP00000112116	ENSMUSP00000031434
ENSDARP00000049625	ENSMUSP00000061923
ENSDARP00000111525	ENSMUSP00000047775
ENSDARP00000081773	ENSMUSP00000113977
ENSDARP00000085316	ENSMUSP00000031840
ENSDARP00000107876	ENSMUSP00000051869
ENSDARP00000046267	ENSMUSP00000051869
ENSDARP00000128045	ENSMUSP00000025411
ENSDARP00000129301	ENSMUSP00000056530
ENSDARP00000073739	ENSMUSP00000030032
ENSDARP00000056440	ENSMUSP00000030032
ENSDARP00000117438	ENSMUSP00000028858
ENSDARP00000099195	ENSMUSP00000037126
ENSDARP00000015478	ENSMUSP00000022378
ENSDARP00000124115	ENSMUSP00000030830
ENSDARP00000015934	ENSMUSP00000095792
ENSDARP00000007817	ENSMUSP00000069508
ENSDARP00000120777	ENSMUSP00000124871
ENSDARP00000085027	ENSMUSP00000124871
ENSDARP00000022826	ENSMUSP00000131207
ENSDARP00000062413	ENSMUSP00000020182
ENSDARP00000007503	ENSMUSP00000042343
ENSDARP00000010992	ENSMUSP00000026014
ENSDARP00000103737	ENSMUSP00000026096
ENSDARP00000104486	ENSMUSP00000135375
ENSDARP00000060431	ENSMUSP00000044305
ENSDARP00000065292	ENSMUSP00000072155
ENSDARP00000036699	ENSMUSP00000041299
ENSDARP00000045252	ENSMUSP00000100038
ENSDARP00000014272	ENSMUSP00000032477
ENSDARP00000104154	ENSMUSP00000124022
ENSDARP00000124707	ENSMUSP00000046686
ENSDARP00000057020	ENSMUSP00000035110
ENSDARP00000117773	ENSMUSP00000035110
ENSDARP00000039222	ENSMUSP00000031117
ENSDARP00000115477	ENSMUSP00000035415
ENSDARP00000065664	ENSMUSP00000078148
ENSDARP00000104870	ENSMUSP00000026265
ENSDARP00000062744	ENSMUSP00000025270
ENSDARP00000022653	ENSMUSP00000021866
ENSDARP00000078992	ENSMUSP00000033241
ENSDARP00000124635	ENSMUSP00000054105
ENSDARP00000101252	ENSMUSP00000054105
ENSDARP00000081878	ENSMUSP00000058882
ENSDARP00000112275	ENSMUSP00000110781
ENSDARP00000009285	ENSMUSP00000006181
ENSDARP00000088108	ENSMUSP00000006181
ENSDARP00000091063	ENSMUSP00000028926
ENSDARP00000024741	ENSMUSP00000028926
ENSDARP00000093269	ENSMUSP00000002891
ENSDARP00000035935	ENSMUSP00000023465
ENSDARP00000103738	ENSMUSP00000063843
ENSDARP00000046208	ENSMUSP00000110741
ENSDARP00000094201	ENSMUSP00000058455
ENSDARP00000103488	ENSMUSP00000085316
ENSDARP00000083553	ENSMUSP00000085316
ENSDARP00000055816	ENSMUSP00000031189
ENSDARP00000021109	ENSMUSP00000095713
ENSDARP00000072202	ENSMUSP00000017488
ENSDARP00000070414	ENSMUSP00000017488
ENSDARP00000100074	ENSMUSP00000128943
ENSDARP00000012078	ENSMUSP00000128943
ENSDARP00000105869	ENSMUSP00000046528
ENSDARP00000092501	ENSMUSP00000046528
ENSDARP00000069445	ENSMUSP00000101113
ENSDARP00000070816	ENSMUSP00000033088
ENSDARP00000012550	ENSMUSP00000112860
ENSDARP00000043217	ENSMUSP00000118333
ENSDARP00000128651	ENSMUSP00000025142
ENSDARP00000004016	ENSMUSP00000117246
ENSDARP00000056034	ENSMUSP00000023112
ENSDARP00000106718	ENSMUSP00000114087
ENSDARP00000074805	ENSMUSP00000066607
ENSDARP00000087012	ENSMUSP00000040694
ENSDARP00000128811	ENSMUSP00000017151
ENSDARP00000027372	ENSMUSP00000025092
ENSDARP00000053368	ENSMUSP00000050181
ENSDARP00000115947	ENSMUSP00000026452
ENSDARP00000056720	ENSMUSP00000068086
ENSDARP00000087587	ENSMUSP00000044072
ENSDARP00000092712	ENSMUSP00000081998
ENSDARP00000122107	ENSMUSP00000134799
ENSDARP00000004404	ENSMUSP00000101023
ENSDARP00000074560	ENSMUSP00000066915
ENSDARP00000108323	ENSMUSP00000029116
ENSDARP00000070398	ENSMUSP00000029116
ENSDARP00000069627	ENSMUSP00000059261
ENSDARP00000038731	ENSMUSP00000031081
ENSDARP00000019274	ENSMUSP00000098680
ENSDARP00000063004	ENSMUSP00000065533
ENSDARP00000090236	ENSMUSP00000053837
ENSDARP00000102287	ENSMUSP00000111624
ENSDARP00000007963	ENSMUSP00000033505
ENSDARP00000039217	ENSMUSP00000033505
ENSDARP00000113657	ENSMUSP00000034552
ENSDARP00000018482	ENSMUSP00000137445
ENSDARP00000076534	ENSMUSP00000137445
ENSDARP00000055865	ENSMUSP00000004965
ENSDARP00000008354	ENSMUSP00000004965
ENSDARP00000031864	ENSMUSP00000045480
ENSDARP00000052858	ENSMUSP00000035366
ENSDARP00000059116	ENSMUSP00000004050
ENSDARP00000112668	ENSMUSP00000133855
ENSDARP00000084112	ENSMUSP00000002350
ENSDARP00000031222	ENSMUSP00000092408
ENSDARP00000123533	ENSMUSP00000092408
ENSDARP00000046715	ENSMUSP00000038405
ENSDARP00000102688	ENSMUSP00000098890
ENSDARP00000014964	ENSMUSP00000099913
ENSDARP00000038993	ENSMUSP00000005548
ENSDARP00000104304	ENSMUSP00000004172
ENSDARP00000072249	ENSMUSP00000004172
ENSDARP00000110729	ENSMUSP00000099805
ENSDARP00000110301	ENSMUSP00000041751
ENSDARP00000111637	ENSMUSP00000035260
ENSDARP00000086435	ENSMUSP00000038722
ENSDARP00000108884	ENSMUSP00000029666
ENSDARP00000080083	ENSMUSP00000093130
ENSDARP00000017163	ENSMUSP00000052523
ENSDARP00000025863	ENSMUSP00000002710
ENSDARP00000010322	ENSMUSP00000021544
ENSDARP00000100205	ENSMUSP00000122274
ENSDARP00000124971	ENSMUSP00000122274
ENSDARP00000113963	ENSMUSP00000044134
ENSDARP00000116967	ENSMUSP00000104861
ENSDARP00000092492	ENSMUSP00000099660
ENSDARP00000101528	ENSMUSP00000099660
ENSDARP00000086706	ENSMUSP00000117963
ENSDARP00000114850	ENSMUSP00000089394
ENSDARP00000092263	ENSMUSP00000033919
ENSDARP00000121602	ENSMUSP00000033751
ENSDARP00000080303	ENSMUSP00000042875
ENSDARP00000123929	ENSMUSP00000110606
ENSDARP00000070091	ENSMUSP00000055823
ENSDARP00000095479	ENSMUSP00000053558
ENSDARP00000108229	ENSMUSP00000058618
ENSDARP00000108267	ENSMUSP00000038732
ENSDARP00000082680	ENSMUSP00000032566
ENSDARP00000084331	ENSMUSP00000032566
ENSDARP00000122549	ENSMUSP00000022927
ENSDARP00000074083	ENSMUSP00000094174
ENSDARP00000099964	ENSMUSP00000108921
ENSDARP00000022618	ENSMUSP00000107914
ENSDARP00000005687	ENSMUSP00000028636
ENSDARP00000037286	ENSMUSP00000021114
ENSDARP00000107497	ENSMUSP00000039518
ENSDARP00000010440	ENSMUSP00000048530
ENSDARP00000076925	ENSMUSP00000112957
ENSDARP00000011791	ENSMUSP00000106735
ENSDARP00000030180	ENSMUSP00000098786
ENSDARP00000099540	ENSMUSP00000034163
ENSDARP00000104300	ENSMUSP00000104150
ENSDARP00000061429	ENSMUSP00000061544
ENSDARP00000069881	ENSMUSP00000036631
ENSDARP00000005747	ENSMUSP00000107292
ENSDARP00000118187	ENSMUSP00000029447
ENSDARP00000024635	ENSMUSP00000027766
ENSDARP00000049616	ENSMUSP00000027766
ENSDARP00000072494	ENSMUSP00000067028
ENSDARP00000020482	ENSMUSP00000067028
ENSDARP00000125949	ENSMUSP00000082422
ENSDARP00000100862	ENSMUSP00000105522
ENSDARP00000055606	ENSMUSP00000000500
ENSDARP00000055992	ENSMUSP00000075463
ENSDARP00000095859	ENSMUSP00000075463
ENSDARP00000100847	ENSMUSP00000021283
ENSDARP00000111599	ENSMUSP00000052522
ENSDARP00000109865	ENSMUSP00000052522
ENSDARP00000064031	ENSMUSP00000033880
ENSDARP00000040925	ENSMUSP00000020288
ENSDARP00000068329	ENSMUSP00000037023
ENSDARP00000091630	ENSMUSP00000038438
ENSDARP00000070819	ENSMUSP00000038438
ENSDARP00000008006	ENSMUSP00000064900
ENSDARP00000123985	ENSMUSP00000081574
ENSDARP00000128224	ENSMUSP00000081578
ENSDARP00000099418	ENSMUSP00000043559
ENSDARP00000069092	ENSMUSP00000029815
ENSDARP00000086097	ENSMUSP00000020349
ENSDARP00000127427	ENSMUSP00000097776
ENSDARP00000072683	ENSMUSP00000023159
ENSDARP00000068493	ENSMUSP00000023159
ENSDARP00000101887	ENSMUSP00000093774
ENSDARP00000112689	ENSMUSP00000022239
ENSDARP00000112199	ENSMUSP00000034588
ENSDARP00000025613	ENSMUSP00000034588
ENSDARP00000086456	ENSMUSP00000026568
ENSDARP00000052429	ENSMUSP00000021990
ENSDARP00000026303	ENSMUSP00000021990
ENSDARP00000109901	ENSMUSP00000071899
ENSDARP00000018086	ENSMUSP00000019942
ENSDARP00000052702	ENSMUSP00000032895
ENSDARP00000110108	ENSMUSP00000067581
ENSDARP00000092459	ENSMUSP00000067581
ENSDARP00000114832	ENSMUSP00000042955
ENSDARP00000070420	ENSMUSP00000049460
ENSDARP00000122743	ENSMUSP00000130710
ENSDARP00000064129	ENSMUSP00000072899
ENSDARP00000128367	ENSMUSP00000043742
ENSDARP00000108798	ENSMUSP00000026743
ENSDARP00000008048	ENSMUSP00000030882
ENSDARP00000096160	ENSMUSP00000104407
ENSDARP00000107901	ENSMUSP00000047570
ENSDARP00000094435	ENSMUSP00000055001
ENSDARP00000099008	ENSMUSP00000003561
ENSDARP00000120160	ENSMUSP00000003910
ENSDARP00000098172	ENSMUSP00000029836
ENSDARP00000074858	ENSMUSP00000027172
ENSDARP00000069022	ENSMUSP00000028995
ENSDARP00000119835	ENSMUSP00000070339
ENSDARP00000011948	ENSMUSP00000075614
ENSDARP00000114416	ENSMUSP00000037354
ENSDARP00000102893	ENSMUSP00000097901
ENSDARP00000108397	ENSMUSP00000046191
ENSDARP00000097886	ENSMUSP00000137044
ENSDARP00000104679	ENSMUSP00000009790
ENSDARP00000100550	ENSMUSP00000069246
ENSDARP00000114128	ENSMUSP00000021450
ENSDARP00000101819	ENSMUSP00000036656
ENSDARP00000015318	ENSMUSP00000113807
ENSDARP00000102483	ENSMUSP00000036279
ENSDARP00000104600	ENSMUSP00000085329
ENSDARP00000120873	ENSMUSP00000061634
ENSDARP00000111709	ENSMUSP00000107628
ENSDARP00000129039	ENSMUSP00000073972
ENSDARP00000051290	ENSMUSP00000026262
ENSDARP00000050270	ENSMUSP00000022169
ENSDARP00000044496	ENSMUSP00000058405
ENSDARP00000019361	ENSMUSP00000023736
ENSDARP00000117568	ENSMUSP00000073453
ENSDARP00000074403	ENSMUSP00000056778
ENSDARP00000092588	ENSMUSP00000044075
ENSDARP00000098310	ENSMUSP00000077779
ENSDARP00000087316	ENSMUSP00000077779
ENSDARP00000117266	ENSMUSP00000110175
ENSDARP00000075696	ENSMUSP00000110175
ENSDARP00000097583	ENSMUSP00000024492
ENSDARP00000063157	ENSMUSP00000025065
ENSDARP00000021469	ENSMUSP00000020979
ENSDARP00000032153	ENSMUSP00000093410
ENSDARP00000044986	ENSMUSP00000079883
ENSDARP00000078852	ENSMUSP00000033498
ENSDARP00000106181	ENSMUSP00000043671
ENSDARP00000008451	ENSMUSP00000026833
ENSDARP00000113818	ENSMUSP00000029804
ENSDARP00000010471	ENSMUSP00000048190
ENSDARP00000095438	ENSMUSP00000040936
ENSDARP00000022588	ENSMUSP00000031640
ENSDARP00000026957	ENSMUSP00000031273
ENSDARP00000112959	ENSMUSP00000101077
ENSDARP00000069502	ENSMUSP00000065571
ENSDARP00000107276	ENSMUSP00000065571
ENSDARP00000015775	ENSMUSP00000099685
ENSDARP00000002126	ENSMUSP00000092216
ENSDARP00000077752	ENSMUSP00000113274
ENSDARP00000050944	ENSMUSP00000096379
ENSDARP00000128287	ENSMUSP00000096379
ENSDARP00000041334	ENSMUSP00000023568
ENSDARP00000116319	ENSMUSP00000102805
ENSDARP00000097627	ENSMUSP00000015889
ENSDARP00000081436	ENSMUSP00000015889
ENSDARP00000102352	ENSMUSP00000058596
ENSDARP00000091530	ENSMUSP00000000985
ENSDARP00000096244	ENSMUSP00000113353
ENSDARP00000067425	ENSMUSP00000022469
ENSDARP00000090213	ENSMUSP00000131500
ENSDARP00000061048	ENSMUSP00000124091
ENSDARP00000062402	ENSMUSP00000128185
ENSDARP00000036199	ENSMUSP00000033333
ENSDARP00000013020	ENSMUSP00000096670
ENSDARP00000128713	ENSMUSP00000035166
ENSDARP00000063399	ENSMUSP00000025053
ENSDARP00000090508	ENSMUSP00000025053
ENSDARP00000084075	ENSMUSP00000057573
ENSDARP00000127292	ENSMUSP00000099443
ENSDARP00000052659	ENSMUSP00000077342
ENSDARP00000086466	ENSMUSP00000023291
ENSDARP00000022543	ENSMUSP00000000388
ENSDARP00000109662	ENSMUSP00000103747
ENSDARP00000005448	ENSMUSP00000038555
ENSDARP00000018261	ENSMUSP00000029017
ENSDARP00000118370	ENSMUSP00000003947
ENSDARP00000103031	ENSMUSP00000046453
ENSDARP00000122466	ENSMUSP00000020003
ENSDARP00000025098	ENSMUSP00000020003
ENSDARP00000071861	ENSMUSP00000016023
ENSDARP00000009564	ENSMUSP00000106692
ENSDARP00000050477	ENSMUSP00000106692
ENSDARP00000111213	ENSMUSP00000034862
ENSDARP00000059027	ENSMUSP00000098312
ENSDARP00000118039	ENSMUSP00000016072
ENSDARP00000061116	ENSMUSP00000016072
ENSDARP00000107134	ENSMUSP00000022391
ENSDARP00000124692	ENSMUSP00000046595
ENSDARP00000092575	ENSMUSP00000029662
ENSDARP00000078028	ENSMUSP00000031249
ENSDARP00000039659	ENSMUSP00000018737
ENSDARP00000050823	ENSMUSP00000046114
ENSDARP00000118571	ENSMUSP00000046114
ENSDARP00000053324	ENSMUSP00000032555
ENSDARP00000003894	ENSMUSP00000032555
ENSDARP00000076726	ENSMUSP00000068408
ENSDARP00000060548	ENSMUSP00000021287
ENSDARP00000101029	ENSMUSP00000078426
ENSDARP00000029873	ENSMUSP00000032065
ENSDARP00000127309	ENSMUSP00000058901
ENSDARP00000072365	ENSMUSP00000090981
ENSDARP00000013898	ENSMUSP00000020827
ENSDARP00000069465	ENSMUSP00000112903
ENSDARP00000090241	ENSMUSP00000001672
ENSDARP00000053446	ENSMUSP00000010192
ENSDARP00000048536	ENSMUSP00000019951
ENSDARP00000115253	ENSMUSP00000124782
ENSDARP00000029568	ENSMUSP00000124782
ENSDARP00000072921	ENSMUSP00000029875
ENSDARP00000068663	ENSMUSP00000120911
ENSDARP00000109861	ENSMUSP00000048901
ENSDARP00000116123	ENSMUSP00000048901
ENSDARP00000035368	ENSMUSP00000124264
ENSDARP00000118624	ENSMUSP00000056043
ENSDARP00000126180	ENSMUSP00000031224
ENSDARP00000112616	ENSMUSP00000044078
ENSDARP00000027364	ENSMUSP00000044078
ENSDARP00000122326	ENSMUSP00000106699
ENSDARP00000029912	ENSMUSP00000028704
ENSDARP00000106007	ENSMUSP00000029464
ENSDARP00000106906	ENSMUSP00000083211
ENSDARP00000112425	ENSMUSP00000025739
ENSDARP00000110751	ENSMUSP00000025739
ENSDARP00000113555	ENSMUSP00000033049
ENSDARP00000087097	ENSMUSP00000020846
ENSDARP00000087122	ENSMUSP00000023100
ENSDARP00000070715	ENSMUSP00000108631
ENSDARP00000003412	ENSMUSP00000072732
ENSDARP00000051972	ENSMUSP00000026559
ENSDARP00000073408	ENSMUSP00000066000
ENSDARP00000011017	ENSMUSP00000020315
ENSDARP00000077375	ENSMUSP00000027979
ENSDARP00000070369	ENSMUSP00000026073
ENSDARP00000070145	ENSMUSP00000055899
ENSDARP00000103743	ENSMUSP00000108506
ENSDARP00000013733	ENSMUSP00000115754
ENSDARP00000041465	ENSMUSP00000101233
ENSDARP00000068688	ENSMUSP00000021065
ENSDARP00000028126	ENSMUSP00000021065
ENSDARP00000122169	ENSMUSP00000138622
ENSDARP00000067740	ENSMUSP00000138622
ENSDARP00000108433	ENSMUSP00000020312
ENSDARP00000070562	ENSMUSP00000059883
ENSDARP00000069193	ENSMUSP00000067217
ENSDARP00000119133	ENSMUSP00000039889
ENSDARP00000094674	ENSMUSP00000089097
ENSDARP00000109341	ENSMUSP00000097787
ENSDARP00000027051	ENSMUSP00000072836
ENSDARP00000121867	ENSMUSP00000029164
ENSDARP00000070990	ENSMUSP00000131865
ENSDARP00000108853	ENSMUSP00000053808
ENSDARP00000076084	ENSMUSP00000081322
ENSDARP00000104170	ENSMUSP00000099696
ENSDARP00000107522	ENSMUSP00000055772
ENSDARP00000119406	ENSMUSP00000045740
ENSDARP00000041584	ENSMUSP00000089507
ENSDARP00000129342	ENSMUSP00000057115
ENSDARP00000110744	ENSMUSP00000057115
ENSDARP00000124273	ENSMUSP00000039312
ENSDARP00000086969	ENSMUSP00000135986
ENSDARP00000078899	ENSMUSP00000094090
ENSDARP00000106087	ENSMUSP00000033995
ENSDARP00000096054	ENSMUSP00000109161
ENSDARP00000100662	ENSMUSP00000030320
ENSDARP00000059207	ENSMUSP00000080442
ENSDARP00000123502	ENSMUSP00000103592
ENSDARP00000122327	ENSMUSP00000048752
ENSDARP00000078196	ENSMUSP00000073860
ENSDARP00000083819	ENSMUSP00000056373
ENSDARP00000086048	ENSMUSP00000056373
ENSDARP00000043219	ENSMUSP00000121496
ENSDARP00000076500	ENSMUSP00000031080
ENSDARP00000120692	ENSMUSP00000104478
ENSDARP00000122644	ENSMUSP00000047237
ENSDARP00000101592	ENSMUSP00000105501
ENSDARP00000100802	ENSMUSP00000105501
ENSDARP00000104835	ENSMUSP00000087511
ENSDARP00000107851	ENSMUSP00000033180
ENSDARP00000058937	ENSMUSP00000022986
ENSDARP00000102730	ENSMUSP00000039544
ENSDARP00000108308	ENSMUSP00000115539
ENSDARP00000116939	ENSMUSP00000051805
ENSDARP00000102518	ENSMUSP00000112340
ENSDARP00000106339	ENSMUSP00000023283
ENSDARP00000120218	ENSMUSP00000128914
ENSDARP00000101048	ENSMUSP00000040048
ENSDARP00000120885	ENSMUSP00000062037
ENSDARP00000122576	ENSMUSP00000091286
ENSDARP00000114519	ENSMUSP00000091286
ENSDARP00000084356	ENSMUSP00000103345
ENSDARP00000106512	ENSMUSP00000092821
ENSDARP00000101519	ENSMUSP00000103934
ENSDARP00000108006	ENSMUSP00000035445
ENSDARP00000105523	ENSMUSP00000026036
ENSDARP00000120123	ENSMUSP00000065009
ENSDARP00000068994	ENSMUSP00000033602
ENSDARP00000031692	ENSMUSP00000032326
ENSDARP00000075148	ENSMUSP00000020485
ENSDARP00000058734	ENSMUSP00000022476
ENSDARP00000052804	ENSMUSP00000060558
ENSDARP00000078446	ENSMUSP00000025397
ENSDARP00000123091	ENSMUSP00000025397
ENSDARP00000105392	ENSMUSP00000046748
ENSDARP00000002156	ENSMUSP00000103687
ENSDARP00000007855	ENSMUSP00000103687
ENSDARP00000034489	ENSMUSP00000109838
ENSDARP00000105757	ENSMUSP00000002924
ENSDARP00000112258	ENSMUSP00000129183
ENSDARP00000101241	ENSMUSP00000129222
ENSDARP00000075651	ENSMUSP00000047105
ENSDARP00000057644	ENSMUSP00000035658
ENSDARP00000102457	ENSMUSP00000037128
ENSDARP00000114812	ENSMUSP00000068309
ENSDARP00000073605	ENSMUSP00000015486
ENSDARP00000015815	ENSMUSP00000071618
ENSDARP00000037150	ENSMUSP00000034244
ENSDARP00000060929	ENSMUSP00000030127
ENSDARP00000086671	ENSMUSP00000057623
ENSDARP00000114322	ENSMUSP00000111239
ENSDARP00000116823	ENSMUSP00000113962
ENSDARP00000127741	ENSMUSP00000050531
ENSDARP00000062184	ENSMUSP00000101713
ENSDARP00000068459	ENSMUSP00000027981
ENSDARP00000025374	ENSMUSP00000099989
ENSDARP00000101352	ENSMUSP00000035614
ENSDARP00000012302	ENSMUSP00000031287
ENSDARP00000110971	ENSMUSP00000060421
ENSDARP00000124874	ENSMUSP00000022593
ENSDARP00000069196	ENSMUSP00000029652
ENSDARP00000100961	ENSMUSP00000128388
ENSDARP00000124307	ENSMUSP00000119356
ENSDARP00000053493	ENSMUSP00000033201
ENSDARP00000099245	ENSMUSP00000099326
ENSDARP00000007488	ENSMUSP00000099326
ENSDARP00000120762	ENSMUSP00000122881
ENSDARP00000063028	ENSMUSP00000122881
ENSDARP00000010172	ENSMUSP00000061601
ENSDARP00000075985	ENSMUSP00000046991
ENSDARP00000011930	ENSMUSP00000046991
ENSDARP00000125711	ENSMUSP00000092268
ENSDARP00000056122	ENSMUSP00000092268
ENSDARP00000019647	ENSMUSP00000121266
ENSDARP00000083707	ENSMUSP00000039668
ENSDARP00000105335	ENSMUSP00000070250
ENSDARP00000087114	ENSMUSP00000070250
ENSDARP00000113970	ENSMUSP00000031736
ENSDARP00000016602	ENSMUSP00000121851
ENSDARP00000111366	ENSMUSP00000112751
ENSDARP00000094716	ENSMUSP00000126303
ENSDARP00000128020	ENSMUSP00000126303
ENSDARP00000025634	ENSMUSP00000108786
ENSDARP00000059403	ENSMUSP00000020375
ENSDARP00000009453	ENSMUSP00000025364
ENSDARP00000109656	ENSMUSP00000031045
ENSDARP00000125326	ENSMUSP00000108331
ENSDARP00000111645	ENSMUSP00000034377
ENSDARP00000084606	ENSMUSP00000038232
ENSDARP00000126906	ENSMUSP00000017455
ENSDARP00000104299	ENSMUSP00000107367
ENSDARP00000128305	ENSMUSP00000058111
ENSDARP00000115967	ENSMUSP00000037082
ENSDARP00000119593	ENSMUSP00000021016
ENSDARP00000066893	ENSMUSP00000108397
ENSDARP00000002228	ENSMUSP00000022535
ENSDARP00000012146	ENSMUSP00000023856
ENSDARP00000122154	ENSMUSP00000089781
ENSDARP00000067261	ENSMUSP00000038665
ENSDARP00000053472	ENSMUSP00000099816
ENSDARP00000094590	ENSMUSP00000020677
ENSDARP00000065562	ENSMUSP00000032842
ENSDARP00000041804	ENSMUSP00000127275
ENSDARP00000068919	ENSMUSP00000038126
ENSDARP00000021463	ENSMUSP00000038126
ENSDARP00000005405	ENSMUSP00000108311
ENSDARP00000104110	ENSMUSP00000023105
ENSDARP00000054395	ENSMUSP00000035248
ENSDARP00000120219	ENSMUSP00000030626
ENSDARP00000127401	ENSMUSP00000020308
ENSDARP00000072863	ENSMUSP00000055208
ENSDARP00000007148	ENSMUSP00000002413
ENSDARP00000103735	ENSMUSP00000068699
ENSDARP00000023708	ENSMUSP00000068699
ENSDARP00000092693	ENSMUSP00000086022
ENSDARP00000077265	ENSMUSP00000128530
ENSDARP00000096423	ENSMUSP00000110639
ENSDARP00000084079	ENSMUSP00000107546
ENSDARP00000016087	ENSMUSP00000028950
ENSDARP00000107808	ENSMUSP00000029912
ENSDARP00000111927	ENSMUSP00000039094
ENSDARP00000060425	ENSMUSP00000072518
ENSDARP00000070246	ENSMUSP00000095198
ENSDARP00000043944	ENSMUSP00000003964
ENSDARP00000113431	ENSMUSP00000026879
ENSDARP00000115842	ENSMUSP00000021116
ENSDARP00000115626	ENSMUSP00000025728
ENSDARP00000110167	ENSMUSP00000078985
ENSDARP00000100388	ENSMUSP00000093197
ENSDARP00000112490	ENSMUSP00000093813
ENSDARP00000126974	ENSMUSP00000026173
ENSDARP00000120882	ENSMUSP00000020896
ENSDARP00000090549	ENSMUSP00000020896
ENSDARP00000103343	ENSMUSP00000057751
ENSDARP00000127635	ENSMUSP00000005218
