ENSMGAP00000004951	ENSMUSP00000034074
ENSMGAP00000000851	ENSMUSP00000115822
ENSMGAP00000002626	ENSMUSP00000028135
ENSMGAP00000006953	ENSMUSP00000009358
ENSMGAP00000009083	ENSMUSP00000025010
ENSMGAP00000001249	ENSMUSP00000131409
ENSMGAP00000003009	ENSMUSP00000051151
ENSMGAP00000016238	ENSMUSP00000045222
ENSMGAP00000001474	ENSMUSP00000106978
ENSMGAP00000009890	ENSMUSP00000120649
ENSMGAP00000008691	ENSMUSP00000130571
ENSMGAP00000004228	ENSMUSP00000041941
ENSMGAP00000011635	ENSMUSP00000077273
ENSMGAP00000007027	ENSMUSP00000031291
ENSMGAP00000005405	ENSMUSP00000109907
ENSMGAP00000004435	ENSMUSP00000043074
ENSMGAP00000002004	ENSMUSP00000023826
ENSMGAP00000009512	ENSMUSP00000060194
ENSMGAP00000003264	ENSMUSP00000051481
ENSMGAP00000013127	ENSMUSP00000105312
ENSMGAP00000015215	ENSMUSP00000119774
ENSMGAP00000011344	ENSMUSP00000025936
ENSMGAP00000015043	ENSMUSP00000047992
ENSMGAP00000016256	ENSMUSP00000032977
ENSMGAP00000006532	ENSMUSP00000108499
ENSMGAP00000012242	ENSMUSP00000029049
ENSMGAP00000001847	ENSMUSP00000124027
ENSMGAP00000001321	ENSMUSP00000063879
ENSMGAP00000013417	ENSMUSP00000004913
ENSMGAP00000005790	ENSMUSP00000027643
ENSMGAP00000000277	ENSMUSP00000030384
ENSMGAP00000016473	ENSMUSP00000053869
ENSMGAP00000016891	ENSMUSP00000085960
ENSMGAP00000005859	ENSMUSP00000029665
ENSMGAP00000007809	ENSMUSP00000086342
ENSMGAP00000007801	ENSMUSP00000086347
ENSMGAP00000007857	ENSMUSP00000105379
ENSMGAP00000014583	ENSMUSP00000034881
ENSMGAP00000008656	ENSMUSP00000050684
ENSMGAP00000008395	ENSMUSP00000018521
ENSMGAP00000007524	ENSMUSP00000020821
ENSMGAP00000011959	ENSMUSP00000048285
ENSMGAP00000001408	ENSMUSP00000105248
ENSMGAP00000012578	ENSMUSP00000098687
ENSMGAP00000000544	ENSMUSP00000136914
ENSMGAP00000001535	ENSMUSP00000137400
ENSMGAP00000006491	ENSMUSP00000026445
ENSMGAP00000003657	ENSMUSP00000031565
ENSMGAP00000000773	ENSMUSP00000081132
ENSMGAP00000000784	ENSMUSP00000125761
ENSMGAP00000012979	ENSMUSP00000027639
ENSMGAP00000009715	ENSMUSP00000037328
ENSMGAP00000006722	ENSMUSP00000049236
ENSMGAP00000002548	ENSMUSP00000096705
ENSMGAP00000015999	ENSMUSP00000071130
ENSMGAP00000007341	ENSMUSP00000099833
ENSMGAP00000018087	ENSMUSP00000130827
ENSMGAP00000015192	ENSMUSP00000023434
ENSMGAP00000006902	ENSMUSP00000025521
ENSMGAP00000015128	ENSMUSP00000059212
ENSMGAP00000015976	ENSMUSP00000074878
ENSMGAP00000005656	ENSMUSP00000022529
ENSMGAP00000011304	ENSMUSP00000001185
ENSMGAP00000000995	ENSMUSP00000048238
ENSMGAP00000006295	ENSMUSP00000067181
ENSMGAP00000008990	ENSMUSP00000028129
ENSMGAP00000006651	ENSMUSP00000049103
ENSMGAP00000019034	ENSMUSP00000065613
ENSMGAP00000014090	ENSMUSP00000084039
ENSMGAP00000005605	ENSMUSP00000039394
ENSMGAP00000003181	ENSMUSP00000037137
ENSMGAP00000004139	ENSMUSP00000113097
ENSMGAP00000008881	ENSMUSP00000039699
ENSMGAP00000009002	ENSMUSP00000026590
ENSMGAP00000012207	ENSMUSP00000026890
ENSMGAP00000006713	ENSMUSP00000009018
ENSMGAP00000011591	ENSMUSP00000022311
ENSMGAP00000005011	ENSMUSP00000052872
ENSMGAP00000000575	ENSMUSP00000031692
ENSMGAP00000005830	ENSMUSP00000099605
ENSMGAP00000013718	ENSMUSP00000042642
ENSMGAP00000013719	ENSMUSP00000020185
ENSMGAP00000012080	ENSMUSP00000112138
ENSMGAP00000006293	ENSMUSP00000028727
ENSMGAP00000000410	ENSMUSP00000044288
ENSMGAP00000008763	ENSMUSP00000099864
ENSMGAP00000012535	ENSMUSP00000042266
ENSMGAP00000009108	ENSMUSP00000025019
ENSMGAP00000012386	ENSMUSP00000032344
ENSMGAP00000001567	ENSMUSP00000135556
ENSMGAP00000017383	ENSMUSP00000008462
ENSMGAP00000013039	ENSMUSP00000118125
ENSMGAP00000006635	ENSMUSP00000041361
ENSMGAP00000006620	ENSMUSP00000105272
ENSMGAP00000008996	ENSMUSP00000025236
ENSMGAP00000008227	ENSMUSP00000074872
ENSMGAP00000002618	ENSMUSP00000033418
ENSMGAP00000002168	ENSMUSP00000033646
ENSMGAP00000010352	ENSMUSP00000129781
ENSMGAP00000008686	ENSMUSP00000128318
ENSMGAP00000010578	ENSMUSP00000107579
ENSMGAP00000013108	ENSMUSP00000134672
ENSMGAP00000009396	ENSMUSP00000107415
ENSMGAP00000019583	ENSMUSP00000047284
ENSMGAP00000013830	ENSMUSP00000029548
ENSMGAP00000005176	ENSMUSP00000038610
ENSMGAP00000009111	ENSMUSP00000042808
ENSMGAP00000014186	ENSMUSP00000090227
ENSMGAP00000005922	ENSMUSP00000037629
ENSMGAP00000010607	ENSMUSP00000024944
ENSMGAP00000007157	ENSMUSP00000029570
ENSMGAP00000009365	ENSMUSP00000002699
ENSMGAP00000008713	ENSMUSP00000031227
ENSMGAP00000001626	ENSMUSP00000035116
ENSMGAP00000002577	ENSMUSP00000020672
ENSMGAP00000015798	ENSMUSP00000022734
ENSMGAP00000003045	ENSMUSP00000014339
ENSMGAP00000016259	ENSMUSP00000133205
ENSMGAP00000002908	ENSMUSP00000110817
ENSMGAP00000005579	ENSMUSP00000034720
ENSMGAP00000018853	ENSMUSP00000115292
ENSMGAP00000002889	ENSMUSP00000103012
ENSMGAP00000008524	ENSMUSP00000017904
ENSMGAP00000004646	ENSMUSP00000099510
ENSMGAP00000004009	ENSMUSP00000069243
ENSMGAP00000006425	ENSMUSP00000034343
ENSMGAP00000014660	ENSMUSP00000065832
ENSMGAP00000012201	ENSMUSP00000115704
ENSMGAP00000014172	ENSMUSP00000139031
ENSMGAP00000002495	ENSMUSP00000012679
ENSMGAP00000013819	ENSMUSP00000129654
ENSMGAP00000010963	ENSMUSP00000023760
ENSMGAP00000010250	ENSMUSP00000061308
ENSMGAP00000012153	ENSMUSP00000054734
ENSMGAP00000013431	ENSMUSP00000051664
ENSMGAP00000010265	ENSMUSP00000033389
ENSMGAP00000014682	ENSMUSP00000000186
ENSMGAP00000007764	ENSMUSP00000075762
ENSMGAP00000001370	ENSMUSP00000041104
ENSMGAP00000011673	ENSMUSP00000046101
ENSMGAP00000010466	ENSMUSP00000021306
ENSMGAP00000010346	ENSMUSP00000024773
ENSMGAP00000000646	ENSMUSP00000028892
ENSMGAP00000001440	ENSMUSP00000090941
ENSMGAP00000008734	ENSMUSP00000018122
ENSMGAP00000015262	ENSMUSP00000105620
ENSMGAP00000003005	ENSMUSP00000025585
ENSMGAP00000016277	ENSMUSP00000093697
ENSMGAP00000002627	ENSMUSP00000116282
ENSMGAP00000005195	ENSMUSP00000055036
ENSMGAP00000009962	ENSMUSP00000045351
ENSMGAP00000005832	ENSMUSP00000025659
ENSMGAP00000008537	ENSMUSP00000069228
ENSMGAP00000008025	ENSMUSP00000056008
ENSMGAP00000005409	ENSMUSP00000089437
ENSMGAP00000009632	ENSMUSP00000023583
ENSMGAP00000003035	ENSMUSP00000052056
ENSMGAP00000010610	ENSMUSP00000075566
ENSMGAP00000012272	ENSMUSP00000007130
ENSMGAP00000012594	ENSMUSP00000115871
ENSMGAP00000000143	ENSMUSP00000022634
ENSMGAP00000012440	ENSMUSP00000101718
ENSMGAP00000015123	ENSMUSP00000035644
ENSMGAP00000016812	ENSMUSP00000064080
ENSMGAP00000001899	ENSMUSP00000092253
ENSMGAP00000009698	ENSMUSP00000137246
ENSMGAP00000010377	ENSMUSP00000040271
ENSMGAP00000015880	ENSMUSP00000022592
ENSMGAP00000003732	ENSMUSP00000101311
ENSMGAP00000001563	ENSMUSP00000099981
ENSMGAP00000017375	ENSMUSP00000101049
ENSMGAP00000013300	ENSMUSP00000073751
ENSMGAP00000012349	ENSMUSP00000048590
ENSMGAP00000011135	ENSMUSP00000041543
ENSMGAP00000012658	ENSMUSP00000005352
ENSMGAP00000011544	ENSMUSP00000077074
ENSMGAP00000011380	ENSMUSP00000024748
ENSMGAP00000010555	ENSMUSP00000043111
ENSMGAP00000005383	ENSMUSP00000069422
ENSMGAP00000013350	ENSMUSP00000093206
ENSMGAP00000007004	ENSMUSP00000105560
ENSMGAP00000012808	ENSMUSP00000098723
ENSMGAP00000019554	ENSMUSP00000033018
ENSMGAP00000001114	ENSMUSP00000050211
ENSMGAP00000013369	ENSMUSP00000079239
ENSMGAP00000007381	ENSMUSP00000037970
ENSMGAP00000000022	ENSMUSP00000086948
ENSMGAP00000013393	ENSMUSP00000031009
ENSMGAP00000003432	ENSMUSP00000020537
ENSMGAP00000006574	ENSMUSP00000033153
ENSMGAP00000008010	ENSMUSP00000001059
ENSMGAP00000005256	ENSMUSP00000106266
ENSMGAP00000004193	ENSMUSP00000104889
ENSMGAP00000008520	ENSMUSP00000010298
ENSMGAP00000009012	ENSMUSP00000049336
ENSMGAP00000014811	ENSMUSP00000075266
ENSMGAP00000013199	ENSMUSP00000117687
ENSMGAP00000004474	ENSMUSP00000043596
ENSMGAP00000000701	ENSMUSP00000102894
ENSMGAP00000008292	ENSMUSP00000118361
ENSMGAP00000000950	ENSMUSP00000117017
ENSMGAP00000002114	ENSMUSP00000106866
ENSMGAP00000007299	ENSMUSP00000028635
ENSMGAP00000009952	ENSMUSP00000135703
ENSMGAP00000013398	ENSMUSP00000135881
ENSMGAP00000015883	ENSMUSP00000022590
ENSMGAP00000012239	ENSMUSP00000095608
ENSMGAP00000013809	ENSMUSP00000045539
ENSMGAP00000006816	ENSMUSP00000044026
ENSMGAP00000014620	ENSMUSP00000023068
ENSMGAP00000006161	ENSMUSP00000033325
ENSMGAP00000005594	ENSMUSP00000002327
ENSMGAP00000012937	ENSMUSP00000022901
ENSMGAP00000014819	ENSMUSP00000020980
ENSMGAP00000017583	ENSMUSP00000108876
ENSMGAP00000011671	ENSMUSP00000035010
ENSMGAP00000011194	ENSMUSP00000087857
ENSMGAP00000003877	ENSMUSP00000137871
ENSMGAP00000013446	ENSMUSP00000059724
ENSMGAP00000013262	ENSMUSP00000052017
ENSMGAP00000008847	ENSMUSP00000043066
ENSMGAP00000005520	ENSMUSP00000030408
ENSMGAP00000014867	ENSMUSP00000045315
ENSMGAP00000003280	ENSMUSP00000079689
ENSMGAP00000004774	ENSMUSP00000099938
ENSMGAP00000008749	ENSMUSP00000109728
ENSMGAP00000014076	ENSMUSP00000125312
ENSMGAP00000008985	ENSMUSP00000020524
ENSMGAP00000003974	ENSMUSP00000099317
ENSMGAP00000013512	ENSMUSP00000015146
ENSMGAP00000014962	ENSMUSP00000106809
ENSMGAP00000019224	ENSMUSP00000032071
ENSMGAP00000004388	ENSMUSP00000065935
ENSMGAP00000003405	ENSMUSP00000028880
ENSMGAP00000006138	ENSMUSP00000131904
ENSMGAP00000006586	ENSMUSP00000090564
ENSMGAP00000010737	ENSMUSP00000130313
ENSMGAP00000013412	ENSMUSP00000125995
ENSMGAP00000003939	ENSMUSP00000021166
ENSMGAP00000003694	ENSMUSP00000105168
ENSMGAP00000016665	ENSMUSP00000135913
ENSMGAP00000002045	ENSMUSP00000063650
ENSMGAP00000012988	ENSMUSP00000022908
ENSMGAP00000001324	ENSMUSP00000020513
ENSMGAP00000007262	ENSMUSP00000110274
ENSMGAP00000001919	ENSMUSP00000103222
ENSMGAP00000011005	ENSMUSP00000073371
ENSMGAP00000018006	ENSMUSP00000045357
ENSMGAP00000006076	ENSMUSP00000048313
ENSMGAP00000012473	ENSMUSP00000047880
ENSMGAP00000001771	ENSMUSP00000067882
ENSMGAP00000007317	ENSMUSP00000051331
ENSMGAP00000009206	ENSMUSP00000073974
ENSMGAP00000004938	ENSMUSP00000025649
ENSMGAP00000003540	ENSMUSP00000119841
ENSMGAP00000009831	ENSMUSP00000029259
ENSMGAP00000008799	ENSMUSP00000055475
ENSMGAP00000007280	ENSMUSP00000052584
ENSMGAP00000015206	ENSMUSP00000086779
ENSMGAP00000003769	ENSMUSP00000124272
ENSMGAP00000002044	ENSMUSP00000018880
ENSMGAP00000013005	ENSMUSP00000112551
ENSMGAP00000000296	ENSMUSP00000041483
ENSMGAP00000007129	ENSMUSP00000099349
ENSMGAP00000018271	ENSMUSP00000033289
ENSMGAP00000013059	ENSMUSP00000113174
ENSMGAP00000008514	ENSMUSP00000067611
ENSMGAP00000000489	ENSMUSP00000072961
ENSMGAP00000000910	ENSMUSP00000086094
ENSMGAP00000004112	ENSMUSP00000100868
ENSMGAP00000013456	ENSMUSP00000072136
ENSMGAP00000008472	ENSMUSP00000113494
ENSMGAP00000019046	ENSMUSP00000062174
ENSMGAP00000009756	ENSMUSP00000021929
ENSMGAP00000008662	ENSMUSP00000103495
ENSMGAP00000006449	ENSMUSP00000018645
ENSMGAP00000004702	ENSMUSP00000045291
ENSMGAP00000006613	ENSMUSP00000033634
ENSMGAP00000009050	ENSMUSP00000114015
ENSMGAP00000004914	ENSMUSP00000027965
ENSMGAP00000013618	ENSMUSP00000113499
ENSMGAP00000005684	ENSMUSP00000030434
ENSMGAP00000009571	ENSMUSP00000006137
ENSMGAP00000005595	ENSMUSP00000109502
ENSMGAP00000016026	ENSMUSP00000022561
ENSMGAP00000000408	ENSMUSP00000054748
ENSMGAP00000005483	ENSMUSP00000030412
ENSMGAP00000014534	ENSMUSP00000064893
ENSMGAP00000004122	ENSMUSP00000122964
ENSMGAP00000016219	ENSMUSP00000120387
ENSMGAP00000010509	ENSMUSP00000020856
ENSMGAP00000003278	ENSMUSP00000089680
ENSMGAP00000002666	ENSMUSP00000049490
ENSMGAP00000010501	ENSMUSP00000039528
ENSMGAP00000016999	ENSMUSP00000054330
ENSMGAP00000010990	ENSMUSP00000124674
ENSMGAP00000002550	ENSMUSP00000057896
ENSMGAP00000007315	ENSMUSP00000110287
ENSMGAP00000003641	ENSMUSP00000035099
ENSMGAP00000010551	ENSMUSP00000028509
ENSMGAP00000005537	ENSMUSP00000129325
ENSMGAP00000015515	ENSMUSP00000044280
ENSMGAP00000000006	ENSMUSP00000020640
ENSMGAP00000001343	ENSMUSP00000112719
ENSMGAP00000014302	ENSMUSP00000078361
ENSMGAP00000005169	ENSMUSP00000094886
ENSMGAP00000009621	ENSMUSP00000078774
ENSMGAP00000012231	ENSMUSP00000068174
ENSMGAP00000009113	ENSMUSP00000025403
ENSMGAP00000012984	ENSMUSP00000022904
ENSMGAP00000014823	ENSMUSP00000020884
ENSMGAP00000001268	ENSMUSP00000124548
ENSMGAP00000011499	ENSMUSP00000082013
ENSMGAP00000009494	ENSMUSP00000027916
ENSMGAP00000015662	ENSMUSP00000027287
ENSMGAP00000003143	ENSMUSP00000044466
ENSMGAP00000006196	ENSMUSP00000027267
ENSMGAP00000000855	ENSMUSP00000119875
ENSMGAP00000012414	ENSMUSP00000105976
ENSMGAP00000005384	ENSMUSP00000043643
ENSMGAP00000000608	ENSMUSP00000041308
ENSMGAP00000002496	ENSMUSP00000113346
ENSMGAP00000014887	ENSMUSP00000031032
ENSMGAP00000018062	ENSMUSP00000128696
ENSMGAP00000008322	ENSMUSP00000069699
ENSMGAP00000000441	ENSMUSP00000054804
ENSMGAP00000014209	ENSMUSP00000021726
ENSMGAP00000014299	ENSMUSP00000097444
ENSMGAP00000010630	ENSMUSP00000130967
ENSMGAP00000004972	ENSMUSP00000005504
ENSMGAP00000006124	ENSMUSP00000110900
ENSMGAP00000007459	ENSMUSP00000099475
ENSMGAP00000005944	ENSMUSP00000085187
ENSMGAP00000014215	ENSMUSP00000098580
ENSMGAP00000001087	ENSMUSP00000034470
ENSMGAP00000004015	ENSMUSP00000090130
ENSMGAP00000012545	ENSMUSP00000057462
ENSMGAP00000000885	ENSMUSP00000080739
ENSMGAP00000004321	ENSMUSP00000064393
ENSMGAP00000015855	ENSMUSP00000071464
ENSMGAP00000013076	ENSMUSP00000046766
ENSMGAP00000003941	ENSMUSP00000108987
ENSMGAP00000003547	ENSMUSP00000064539
ENSMGAP00000007761	ENSMUSP00000023151
ENSMGAP00000007278	ENSMUSP00000110057
ENSMGAP00000011388	ENSMUSP00000116006
ENSMGAP00000013448	ENSMUSP00000040706
ENSMGAP00000015961	ENSMUSP00000072773
ENSMGAP00000008266	ENSMUSP00000037719
ENSMGAP00000015989	ENSMUSP00000016279
ENSMGAP00000012867	ENSMUSP00000109367
ENSMGAP00000011582	ENSMUSP00000128209
ENSMGAP00000002214	ENSMUSP00000031445
ENSMGAP00000015060	ENSMUSP00000060613
ENSMGAP00000012149	ENSMUSP00000020157
ENSMGAP00000013246	ENSMUSP00000060930
ENSMGAP00000014470	ENSMUSP00000032396
ENSMGAP00000005915	ENSMUSP00000114578
ENSMGAP00000014461	ENSMUSP00000107333
ENSMGAP00000009531	ENSMUSP00000038444
ENSMGAP00000012208	ENSMUSP00000119912
ENSMGAP00000016072	ENSMUSP00000061511
ENSMGAP00000009247	ENSMUSP00000003319
ENSMGAP00000002541	ENSMUSP00000030901
ENSMGAP00000006064	ENSMUSP00000029644
ENSMGAP00000004791	ENSMUSP00000068192
ENSMGAP00000000560	ENSMUSP00000124089
ENSMGAP00000013297	ENSMUSP00000071939
ENSMGAP00000012063	ENSMUSP00000102711
ENSMGAP00000000317	ENSMUSP00000027337
ENSMGAP00000013599	ENSMUSP00000022953
ENSMGAP00000000076	ENSMUSP00000034630
ENSMGAP00000008674	ENSMUSP00000062122
ENSMGAP00000017264	ENSMUSP00000057669
ENSMGAP00000017943	ENSMUSP00000047865
ENSMGAP00000018707	ENSMUSP00000103825
ENSMGAP00000011814	ENSMUSP00000068516
ENSMGAP00000016073	ENSMUSP00000027027
ENSMGAP00000001880	ENSMUSP00000023562
ENSMGAP00000006290	ENSMUSP00000091641
ENSMGAP00000011160	ENSMUSP00000032749
ENSMGAP00000004559	ENSMUSP00000031388
ENSMGAP00000005979	ENSMUSP00000033695
ENSMGAP00000012835	ENSMUSP00000027396
ENSMGAP00000013274	ENSMUSP00000043691
ENSMGAP00000008997	ENSMUSP00000099993
ENSMGAP00000003017	ENSMUSP00000066808
ENSMGAP00000006052	ENSMUSP00000030884
ENSMGAP00000010156	ENSMUSP00000088801
ENSMGAP00000005418	ENSMUSP00000004494
ENSMGAP00000011227	ENSMUSP00000106894
ENSMGAP00000015131	ENSMUSP00000125043
ENSMGAP00000006488	ENSMUSP00000107803
ENSMGAP00000005917	ENSMUSP00000037210
ENSMGAP00000006201	ENSMUSP00000132725
ENSMGAP00000001389	ENSMUSP00000096982
ENSMGAP00000004675	ENSMUSP00000034085
ENSMGAP00000005189	ENSMUSP00000034739
ENSMGAP00000000847	ENSMUSP00000026494
ENSMGAP00000010993	ENSMUSP00000020382
ENSMGAP00000000338	ENSMUSP00000111222
ENSMGAP00000006893	ENSMUSP00000055689
ENSMGAP00000010754	ENSMUSP00000062327
ENSMGAP00000010185	ENSMUSP00000009219
ENSMGAP00000002264	ENSMUSP00000098942
ENSMGAP00000009623	ENSMUSP00000106118
ENSMGAP00000017642	ENSMUSP00000109901
ENSMGAP00000012636	ENSMUSP00000008573
ENSMGAP00000015490	ENSMUSP00000033519
ENSMGAP00000012640	ENSMUSP00000084467
ENSMGAP00000005335	ENSMUSP00000137163
ENSMGAP00000004049	ENSMUSP00000113235
ENSMGAP00000010198	ENSMUSP00000099752
ENSMGAP00000010775	ENSMUSP00000021592
ENSMGAP00000013373	ENSMUSP00000089758
ENSMGAP00000006254	ENSMUSP00000028100
ENSMGAP00000005754	ENSMUSP00000035472
ENSMGAP00000004838	ENSMUSP00000018744
ENSMGAP00000015059	ENSMUSP00000029459
ENSMGAP00000009301	ENSMUSP00000031486
ENSMGAP00000004268	ENSMUSP00000036410
ENSMGAP00000003361	ENSMUSP00000020546
ENSMGAP00000000645	ENSMUSP00000014957
ENSMGAP00000009390	ENSMUSP00000047218
ENSMGAP00000005612	ENSMUSP00000104471
ENSMGAP00000006287	ENSMUSP00000081782
ENSMGAP00000014114	ENSMUSP00000046759
ENSMGAP00000008193	ENSMUSP00000099490
ENSMGAP00000006083	ENSMUSP00000099642
ENSMGAP00000003248	ENSMUSP00000104973
ENSMGAP00000004524	ENSMUSP00000017920
ENSMGAP00000007828	ENSMUSP00000006293
ENSMGAP00000019388	ENSMUSP00000030734
ENSMGAP00000008130	ENSMUSP00000037890
ENSMGAP00000014884	ENSMUSP00000013773
ENSMGAP00000011236	ENSMUSP00000023353
ENSMGAP00000007880	ENSMUSP00000066842
ENSMGAP00000004445	ENSMUSP00000103007
ENSMGAP00000015368	ENSMUSP00000044472
ENSMGAP00000009602	ENSMUSP00000052096
ENSMGAP00000008299	ENSMUSP00000033169
ENSMGAP00000011956	ENSMUSP00000099559
ENSMGAP00000015289	ENSMUSP00000002923
ENSMGAP00000011579	ENSMUSP00000017629
ENSMGAP00000018762	ENSMUSP00000068896
ENSMGAP00000004876	ENSMUSP00000112766
ENSMGAP00000001528	ENSMUSP00000076951
ENSMGAP00000011191	ENSMUSP00000070946
ENSMGAP00000015661	ENSMUSP00000027290
ENSMGAP00000000657	ENSMUSP00000049808
ENSMGAP00000011439	ENSMUSP00000099785
ENSMGAP00000004523	ENSMUSP00000121182
ENSMGAP00000012801	ENSMUSP00000035078
ENSMGAP00000002876	ENSMUSP00000095254
ENSMGAP00000001922	ENSMUSP00000018992
ENSMGAP00000007890	ENSMUSP00000105353
ENSMGAP00000012179	ENSMUSP00000020112
ENSMGAP00000015984	ENSMUSP00000016569
ENSMGAP00000018335	ENSMUSP00000031104
ENSMGAP00000017426	ENSMUSP00000023088
ENSMGAP00000009803	ENSMUSP00000033621
ENSMGAP00000000082	ENSMUSP00000021314
ENSMGAP00000008390	ENSMUSP00000080600
ENSMGAP00000000993	ENSMUSP00000005069
ENSMGAP00000008586	ENSMUSP00000052922
ENSMGAP00000015130	ENSMUSP00000029454
ENSMGAP00000006258	ENSMUSP00000003554
ENSMGAP00000004188	ENSMUSP00000028386
ENSMGAP00000001746	ENSMUSP00000035400
ENSMGAP00000002413	ENSMUSP00000044616
ENSMGAP00000010158	ENSMUSP00000061843
ENSMGAP00000012618	ENSMUSP00000124043
ENSMGAP00000008124	ENSMUSP00000059977
ENSMGAP00000000715	ENSMUSP00000035065
ENSMGAP00000011226	ENSMUSP00000024733
ENSMGAP00000000208	ENSMUSP00000041814
ENSMGAP00000003835	ENSMUSP00000070229
ENSMGAP00000013563	ENSMUSP00000046981
ENSMGAP00000002031	ENSMUSP00000026558
ENSMGAP00000013434	ENSMUSP00000019908
ENSMGAP00000018540	ENSMUSP00000106081
ENSMGAP00000010288	ENSMUSP00000016344
ENSMGAP00000005380	ENSMUSP00000022082
ENSMGAP00000008839	ENSMUSP00000034400
ENSMGAP00000004347	ENSMUSP00000048426
ENSMGAP00000011378	ENSMUSP00000024717
ENSMGAP00000000977	ENSMUSP00000036213
ENSMGAP00000007153	ENSMUSP00000027125
ENSMGAP00000000026	ENSMUSP00000109288
ENSMGAP00000007659	ENSMUSP00000020629
ENSMGAP00000007302	ENSMUSP00000022102
ENSMGAP00000010337	ENSMUSP00000051293
ENSMGAP00000010194	ENSMUSP00000108726
ENSMGAP00000012019	ENSMUSP00000034000
ENSMGAP00000003385	ENSMUSP00000058142
ENSMGAP00000006469	ENSMUSP00000105303
ENSMGAP00000006590	ENSMUSP00000064668
ENSMGAP00000000243	ENSMUSP00000030665
ENSMGAP00000015428	ENSMUSP00000093533
ENSMGAP00000014013	ENSMUSP00000066413
ENSMGAP00000010274	ENSMUSP00000049003
ENSMGAP00000014830	ENSMUSP00000124348
ENSMGAP00000005665	ENSMUSP00000136673
ENSMGAP00000014127	ENSMUSP00000126749
ENSMGAP00000012422	ENSMUSP00000064961
ENSMGAP00000015717	ENSMUSP00000093379
ENSMGAP00000002131	ENSMUSP00000025354
ENSMGAP00000002340	ENSMUSP00000036477
ENSMGAP00000001826	ENSMUSP00000068587
ENSMGAP00000010838	ENSMUSP00000030849
ENSMGAP00000010018	ENSMUSP00000112575
ENSMGAP00000003556	ENSMUSP00000016668
ENSMGAP00000007751	ENSMUSP00000025093
ENSMGAP00000009580	ENSMUSP00000025293
ENSMGAP00000008366	ENSMUSP00000017783
ENSMGAP00000019274	ENSMUSP00000113521
ENSMGAP00000002721	ENSMUSP00000043120
ENSMGAP00000009353	ENSMUSP00000133816
ENSMGAP00000008727	ENSMUSP00000111101
ENSMGAP00000005330	ENSMUSP00000104529
ENSMGAP00000010498	ENSMUSP00000031597
ENSMGAP00000012544	ENSMUSP00000032336
ENSMGAP00000006398	ENSMUSP00000078190
ENSMGAP00000004019	ENSMUSP00000114652
ENSMGAP00000012568	ENSMUSP00000110477
ENSMGAP00000002568	ENSMUSP00000041841
ENSMGAP00000016147	ENSMUSP00000001825
ENSMGAP00000009190	ENSMUSP00000033674
ENSMGAP00000001545	ENSMUSP00000047878
ENSMGAP00000016231	ENSMUSP00000032931
ENSMGAP00000015639	ENSMUSP00000032629
ENSMGAP00000011967	ENSMUSP00000087500
ENSMGAP00000006988	ENSMUSP00000000348
ENSMGAP00000007001	ENSMUSP00000037075
ENSMGAP00000001204	ENSMUSP00000131331
ENSMGAP00000008441	ENSMUSP00000028083
ENSMGAP00000005146	ENSMUSP00000063510
ENSMGAP00000013800	ENSMUSP00000020249
ENSMGAP00000017580	ENSMUSP00000027532
ENSMGAP00000005130	ENSMUSP00000103191
ENSMGAP00000007505	ENSMUSP00000028081
ENSMGAP00000014525	ENSMUSP00000034987
ENSMGAP00000015396	ENSMUSP00000044437
ENSMGAP00000010414	ENSMUSP00000129463
ENSMGAP00000005651	ENSMUSP00000104519
ENSMGAP00000013231	ENSMUSP00000021375
ENSMGAP00000005318	ENSMUSP00000112101
ENSMGAP00000008860	ENSMUSP00000130864
ENSMGAP00000004044	ENSMUSP00000071150
ENSMGAP00000007546	ENSMUSP00000061923
ENSMGAP00000007814	ENSMUSP00000047775
ENSMGAP00000010896	ENSMUSP00000031840
ENSMGAP00000004497	ENSMUSP00000051869
ENSMGAP00000009048	ENSMUSP00000025411
ENSMGAP00000009227	ENSMUSP00000136166
ENSMGAP00000004661	ENSMUSP00000056530
ENSMGAP00000007535	ENSMUSP00000030032
ENSMGAP00000006738	ENSMUSP00000080533
ENSMGAP00000002484	ENSMUSP00000028858
ENSMGAP00000003415	ENSMUSP00000037126
ENSMGAP00000001559	ENSMUSP00000075250
ENSMGAP00000014587	ENSMUSP00000022378
ENSMGAP00000003633	ENSMUSP00000030830
ENSMGAP00000006114	ENSMUSP00000057320
ENSMGAP00000006463	ENSMUSP00000065787
ENSMGAP00000002447	ENSMUSP00000030399
ENSMGAP00000014433	ENSMUSP00000095792
ENSMGAP00000017646	ENSMUSP00000069508
ENSMGAP00000001147	ENSMUSP00000030894
ENSMGAP00000001591	ENSMUSP00000124871
ENSMGAP00000008182	ENSMUSP00000097721
ENSMGAP00000011449	ENSMUSP00000113040
ENSMGAP00000013726	ENSMUSP00000020182
ENSMGAP00000015047	ENSMUSP00000042343
ENSMGAP00000015472	ENSMUSP00000026014
ENSMGAP00000007995	ENSMUSP00000026096
ENSMGAP00000014206	ENSMUSP00000044305
ENSMGAP00000010048	ENSMUSP00000072155
ENSMGAP00000014943	ENSMUSP00000041299
ENSMGAP00000009104	ENSMUSP00000100038
ENSMGAP00000014740	ENSMUSP00000032477
ENSMGAP00000001927	ENSMUSP00000124022
ENSMGAP00000010253	ENSMUSP00000046686
