ENSGALP00000006197	ENSCAFP00000014731
ENSGALP00000021740	ENSCAFP00000007169
ENSGALP00000006353	ENSCAFP00000017909
ENSGALP00000015756	ENSCAFP00000003112
ENSGALP00000005007	ENSCAFP00000029255
ENSGALP00000010880	ENSCAFP00000016934
ENSGALP00000024765	ENSCAFP00000015282
ENSGALP00000022390	ENSCAFP00000000403
ENSGALP00000005123	ENSCAFP00000015779
ENSGALP00000025506	ENSCAFP00000030483
ENSGALP00000027827	ENSCAFP00000006606
ENSGALP00000004350	ENSCAFP00000019617
ENSGALP00000011706	ENSCAFP00000015057
ENSGALP00000002001	ENSCAFP00000024843
ENSGALP00000003058	ENSCAFP00000007577
ENSGALP00000017138	ENSCAFP00000008679
ENSGALP00000023887	ENSCAFP00000001504
ENSGALP00000005381	ENSCAFP00000012674
ENSGALP00000001096	ENSCAFP00000002112
ENSGALP00000017170	ENSCAFP00000016211
ENSGALP00000015127	ENSCAFP00000017650
ENSGALP00000042450	ENSCAFP00000018425
ENSGALP00000039913	ENSCAFP00000008798
ENSGALP00000036925	ENSCAFP00000006103
ENSGALP00000003891	ENSCAFP00000019018
ENSGALP00000041204	ENSCAFP00000004540
ENSGALP00000001262	ENSCAFP00000004467
ENSGALP00000040623	ENSCAFP00000017449
ENSGALP00000024627	ENSCAFP00000030785
ENSGALP00000027757	ENSCAFP00000006120
ENSGALP00000012086	ENSCAFP00000013922
ENSGALP00000006934	ENSCAFP00000041321
ENSGALP00000022108	ENSCAFP00000010402
ENSGALP00000027552	ENSCAFP00000009979
ENSGALP00000021824	ENSCAFP00000029454
ENSGALP00000005423	ENSCAFP00000027717
ENSGALP00000017115	ENSCAFP00000016665
ENSGALP00000023190	ENSCAFP00000000346
ENSGALP00000036966	ENSCAFP00000006144
ENSGALP00000019366	ENSCAFP00000020720
ENSGALP00000027492	ENSCAFP00000009188
ENSGALP00000005475	ENSCAFP00000022743
ENSGALP00000020426	ENSCAFP00000030624
ENSGALP00000038334	ENSCAFP00000021891
ENSGALP00000009526	ENSCAFP00000031764
ENSGALP00000027391	ENSCAFP00000035137
ENSGALP00000037167	ENSCAFP00000001535
ENSGALP00000007314	ENSCAFP00000029678
ENSGALP00000001312	ENSCAFP00000037136
ENSGALP00000016076	ENSCAFP00000005384
ENSGALP00000013681	ENSCAFP00000029008
ENSGALP00000013190	ENSCAFP00000017800
ENSGALP00000039305	ENSCAFP00000013620
ENSGALP00000001702	ENSCAFP00000040405
ENSGALP00000023025	ENSCAFP00000031402
ENSGALP00000017502	ENSCAFP00000028110
ENSGALP00000019012	ENSCAFP00000027161
ENSGALP00000017453	ENSCAFP00000023187
ENSGALP00000004490	ENSCAFP00000029306
ENSGALP00000007139	ENSCAFP00000013457
ENSGALP00000002228	ENSCAFP00000014414
ENSGALP00000001051	ENSCAFP00000017615
ENSGALP00000023938	ENSCAFP00000038422
ENSGALP00000041541	ENSCAFP00000009604
ENSGALP00000002189	ENSCAFP00000030150
ENSGALP00000020696	ENSCAFP00000030151
ENSGALP00000041101	ENSCAFP00000010537
ENSGALP00000043364	ENSCAFP00000035678
ENSGALP00000011635	ENSCAFP00000029837
ENSGALP00000013911	ENSCAFP00000018247
ENSGALP00000003371	ENSCAFP00000006275
ENSGALP00000001973	ENSCAFP00000024866
ENSGALP00000043342	ENSCAFP00000004102
ENSGALP00000027436	ENSCAFP00000027907
ENSGALP00000042241	ENSCAFP00000014687
ENSGALP00000007155	ENSCAFP00000015678
ENSGALP00000022613	ENSCAFP00000000305
ENSGALP00000001658	ENSCAFP00000032037
ENSGALP00000022667	ENSCAFP00000020283
ENSGALP00000041630	ENSCAFP00000008287
ENSGALP00000011899	ENSCAFP00000028152
ENSGALP00000007931	ENSCAFP00000007434
ENSGALP00000015290	ENSCAFP00000005057
ENSGALP00000015287	ENSCAFP00000005060
ENSGALP00000013584	ENSCAFP00000008308
ENSGALP00000024623	ENSCAFP00000039695
ENSGALP00000042077	ENSCAFP00000016162
ENSGALP00000007246	ENSCAFP00000037526
ENSGALP00000019534	ENSCAFP00000018306
ENSGALP00000008383	ENSCAFP00000021870
ENSGALP00000008417	ENSCAFP00000029644
ENSGALP00000042481	ENSCAFP00000001713
ENSGALP00000020598	ENSCAFP00000002620
ENSGALP00000013730	ENSCAFP00000013814
ENSGALP00000022444	ENSCAFP00000000380
ENSGALP00000043426	ENSCAFP00000041269
ENSGALP00000016142	ENSCAFP00000024921
ENSGALP00000020819	ENSCAFP00000014125
ENSGALP00000016521	ENSCAFP00000038197
ENSGALP00000035454	ENSCAFP00000010221
ENSGALP00000020312	ENSCAFP00000008225
ENSGALP00000011738	ENSCAFP00000005968
ENSGALP00000025229	ENSCAFP00000012211
ENSGALP00000012961	ENSCAFP00000007064
ENSGALP00000009899	ENSCAFP00000031044
ENSGALP00000022298	ENSCAFP00000000946
ENSGALP00000006172	ENSCAFP00000025939
ENSGALP00000012750	ENSCAFP00000004380
ENSGALP00000001660	ENSCAFP00000029202
ENSGALP00000021516	ENSCAFP00000015442
ENSGALP00000000478	ENSCAFP00000016164
ENSGALP00000026030	ENSCAFP00000015379
ENSGALP00000042361	ENSCAFP00000017194
ENSGALP00000030056	ENSCAFP00000036795
ENSGALP00000012678	ENSCAFP00000038623
ENSGALP00000006494	ENSCAFP00000029584
ENSGALP00000009387	ENSCAFP00000036321
ENSGALP00000007102	ENSCAFP00000013678
ENSGALP00000017154	ENSCAFP00000009247
ENSGALP00000019779	ENSCAFP00000022404
ENSGALP00000038747	ENSCAFP00000004720
ENSGALP00000019650	ENSCAFP00000007086
ENSGALP00000014376	ENSCAFP00000027128
ENSGALP00000022268	ENSCAFP00000040146
ENSGALP00000039652	ENSCAFP00000012718
ENSGALP00000015051	ENSCAFP00000012356
ENSGALP00000003964	ENSCAFP00000016471
ENSGALP00000019178	ENSCAFP00000004107
ENSGALP00000032687	ENSCAFP00000019444
ENSGALP00000019726	ENSCAFP00000004864
ENSGALP00000011711	ENSCAFP00000015214
ENSGALP00000002699	ENSCAFP00000030219
ENSGALP00000002030	ENSCAFP00000012808
ENSGALP00000038901	ENSCAFP00000014197
ENSGALP00000027407	ENSCAFP00000006618
ENSGALP00000015000	ENSCAFP00000023715
ENSGALP00000015485	ENSCAFP00000024185
ENSGALP00000022199	ENSCAFP00000023918
ENSGALP00000008427	ENSCAFP00000029643
ENSGALP00000008546	ENSCAFP00000001672
ENSGALP00000010929	ENSCAFP00000017804
ENSGALP00000024142	ENSCAFP00000011771
ENSGALP00000013709	ENSCAFP00000041079
ENSGALP00000041636	ENSCAFP00000022440
ENSGALP00000006431	ENSCAFP00000019424
ENSGALP00000027264	ENSCAFP00000007947
ENSGALP00000016926	ENSCAFP00000025284
ENSGALP00000015071	ENSCAFP00000023813
ENSGALP00000016706	ENSCAFP00000002849
ENSGALP00000007382	ENSCAFP00000038683
ENSGALP00000016253	ENSCAFP00000011500
ENSGALP00000020022	ENSCAFP00000002039
ENSGALP00000006671	ENSCAFP00000024250
ENSGALP00000043246	ENSCAFP00000010363
ENSGALP00000041702	ENSCAFP00000015946
ENSGALP00000017201	ENSCAFP00000025521
ENSGALP00000035839	ENSCAFP00000018805
ENSGALP00000024377	ENSCAFP00000017270
ENSGALP00000002465	ENSCAFP00000028628
ENSGALP00000006378	ENSCAFP00000012271
ENSGALP00000013993	ENSCAFP00000014052
ENSGALP00000026933	ENSCAFP00000016094
ENSGALP00000024760	ENSCAFP00000015248
ENSGALP00000023916	ENSCAFP00000027436
ENSGALP00000024778	ENSCAFP00000005506
ENSGALP00000016204	ENSCAFP00000011429
ENSGALP00000042038	ENSCAFP00000028654
ENSGALP00000041380	ENSCAFP00000036046
ENSGALP00000041129	ENSCAFP00000003178
ENSGALP00000015559	ENSCAFP00000018620
ENSGALP00000000540	ENSCAFP00000019703
ENSGALP00000013782	ENSCAFP00000018360
ENSGALP00000017392	ENSCAFP00000040776
ENSGALP00000002144	ENSCAFP00000022465
ENSGALP00000035933	ENSCAFP00000011755
ENSGALP00000028353	ENSCAFP00000030943
ENSGALP00000026245	ENSCAFP00000003367
ENSGALP00000020315	ENSCAFP00000002164
ENSGALP00000004473	ENSCAFP00000008897
ENSGALP00000010093	ENSCAFP00000009895
ENSGALP00000006162	ENSCAFP00000040084
ENSGALP00000020574	ENSCAFP00000001757
ENSGALP00000009323	ENSCAFP00000029839
ENSGALP00000032851	ENSCAFP00000029636
ENSGALP00000017255	ENSCAFP00000008605
ENSGALP00000027658	ENSCAFP00000021166
ENSGALP00000024921	ENSCAFP00000016160
ENSGALP00000011836	ENSCAFP00000020585
ENSGALP00000043116	ENSCAFP00000026656
ENSGALP00000024006	ENSCAFP00000027162
ENSGALP00000016094	ENSCAFP00000018565
ENSGALP00000010704	ENSCAFP00000010821
ENSGALP00000020005	ENSCAFP00000015483
ENSGALP00000043142	ENSCAFP00000037628
ENSGALP00000024696	ENSCAFP00000038890
ENSGALP00000007937	ENSCAFP00000015285
ENSGALP00000027143	ENSCAFP00000009098
ENSGALP00000013147	ENSCAFP00000026634
ENSGALP00000004609	ENSCAFP00000029281
ENSGALP00000023859	ENSCAFP00000039968
ENSGALP00000015059	ENSCAFP00000019775
ENSGALP00000036014	ENSCAFP00000012583
ENSGALP00000036811	ENSCAFP00000020432
ENSGALP00000041000	ENSCAFP00000033862
ENSGALP00000018382	ENSCAFP00000009251
ENSGALP00000031284	ENSCAFP00000003697
ENSGALP00000019417	ENSCAFP00000022940
ENSGALP00000015303	ENSCAFP00000016718
ENSGALP00000041070	ENSCAFP00000027819
ENSGALP00000000494	ENSCAFP00000018718
ENSGALP00000010010	ENSCAFP00000039272
ENSGALP00000001221	ENSCAFP00000037417
ENSGALP00000015985	ENSCAFP00000036581
ENSGALP00000015568	ENSCAFP00000013148
ENSGALP00000041851	ENSCAFP00000021263
ENSGALP00000006252	ENSCAFP00000015268
ENSGALP00000001055	ENSCAFP00000028310
ENSGALP00000022126	ENSCAFP00000015388
ENSGALP00000002794	ENSCAFP00000038578
ENSGALP00000039222	ENSCAFP00000023416
ENSGALP00000013618	ENSCAFP00000018072
ENSGALP00000019447	ENSCAFP00000007828
ENSGALP00000016315	ENSCAFP00000019700
ENSGALP00000002091	ENSCAFP00000017575
ENSGALP00000039428	ENSCAFP00000020134
ENSGALP00000012264	ENSCAFP00000009924
ENSGALP00000013675	ENSCAFP00000029045
ENSGALP00000025502	ENSCAFP00000004375
ENSGALP00000018269	ENSCAFP00000008880
ENSGALP00000003731	ENSCAFP00000015065
ENSGALP00000005794	ENSCAFP00000023775
ENSGALP00000024208	ENSCAFP00000016192
ENSGALP00000016102	ENSCAFP00000011181
ENSGALP00000013722	ENSCAFP00000027555
ENSGALP00000007617	ENSCAFP00000026814
ENSGALP00000027276	ENSCAFP00000007862
ENSGALP00000002020	ENSCAFP00000029180
ENSGALP00000038139	ENSCAFP00000027304
ENSGALP00000002670	ENSCAFP00000026276
ENSGALP00000026395	ENSCAFP00000013256
ENSGALP00000041715	ENSCAFP00000032856
ENSGALP00000022085	ENSCAFP00000015524
ENSGALP00000019805	ENSCAFP00000015157
ENSGALP00000004015	ENSCAFP00000014272
ENSGALP00000003277	ENSCAFP00000030200
ENSGALP00000024504	ENSCAFP00000008175
ENSGALP00000020417	ENSCAFP00000016005
ENSGALP00000012899	ENSCAFP00000026921
ENSGALP00000024954	ENSCAFP00000039259
ENSGALP00000009213	ENSCAFP00000018790
ENSGALP00000001412	ENSCAFP00000030532
ENSGALP00000011399	ENSCAFP00000020190
ENSGALP00000006155	ENSCAFP00000037173
ENSGALP00000014328	ENSCAFP00000008898
ENSGALP00000043439	ENSCAFP00000023495
ENSGALP00000011677	ENSCAFP00000008677
ENSGALP00000027438	ENSCAFP00000006361
ENSGALP00000008268	ENSCAFP00000023878
ENSGALP00000014935	ENSCAFP00000028164
ENSGALP00000002348	ENSCAFP00000022430
ENSGALP00000016156	ENSCAFP00000011227
ENSGALP00000013598	ENSCAFP00000007697
ENSGALP00000013601	ENSCAFP00000007702
ENSGALP00000005199	ENSCAFP00000022037
ENSGALP00000003428	ENSCAFP00000007381
ENSGALP00000006999	ENSCAFP00000011793
ENSGALP00000005059	ENSCAFP00000022009
ENSGALP00000037170	ENSCAFP00000003370
ENSGALP00000020620	ENSCAFP00000002728
ENSGALP00000014001	ENSCAFP00000010651
ENSGALP00000025245	ENSCAFP00000038199
ENSGALP00000039758	ENSCAFP00000027597
ENSGALP00000020138	ENSCAFP00000000523
ENSGALP00000013914	ENSCAFP00000010473
ENSGALP00000030175	ENSCAFP00000001204
ENSGALP00000042161	ENSCAFP00000009014
ENSGALP00000039891	ENSCAFP00000024607
ENSGALP00000041744	ENSCAFP00000015809
ENSGALP00000019095	ENSCAFP00000017765
ENSGALP00000008440	ENSCAFP00000007888
ENSGALP00000035739	ENSCAFP00000035502
ENSGALP00000008879	ENSCAFP00000015819
ENSGALP00000020807	ENSCAFP00000014313
ENSGALP00000026281	ENSCAFP00000003279
ENSGALP00000034451	ENSCAFP00000030865
ENSGALP00000005887	ENSCAFP00000042228
ENSGALP00000011451	ENSCAFP00000005478
ENSGALP00000026180	ENSCAFP00000003632
ENSGALP00000019952	ENSCAFP00000001990
ENSGALP00000015437	ENSCAFP00000024255
ENSGALP00000041920	ENSCAFP00000013629
ENSGALP00000022533	ENSCAFP00000006994
ENSGALP00000032457	ENSCAFP00000016459
ENSGALP00000022193	ENSCAFP00000031768
ENSGALP00000007200	ENSCAFP00000011262
ENSGALP00000012655	ENSCAFP00000017362
ENSGALP00000001411	ENSCAFP00000018780
ENSGALP00000026600	ENSCAFP00000007312
ENSGALP00000026342	ENSCAFP00000034814
ENSGALP00000002206	ENSCAFP00000018618
ENSGALP00000040717	ENSCAFP00000034783
ENSGALP00000024834	ENSCAFP00000034902
ENSGALP00000022544	ENSCAFP00000000345
ENSGALP00000001472	ENSCAFP00000018766
ENSGALP00000002825	ENSCAFP00000042944
ENSGALP00000007323	ENSCAFP00000012613
ENSGALP00000021396	ENSCAFP00000018414
ENSGALP00000015277	ENSCAFP00000005070
ENSGALP00000003357	ENSCAFP00000005033
ENSGALP00000022545	ENSCAFP00000030955
ENSGALP00000026433	ENSCAFP00000019287
ENSGALP00000018767	ENSCAFP00000012487
ENSGALP00000026611	ENSCAFP00000018934
ENSGALP00000017341	ENSCAFP00000023283
ENSGALP00000027791	ENSCAFP00000006305
ENSGALP00000028027	ENSCAFP00000042127
ENSGALP00000007358	ENSCAFP00000016020
ENSGALP00000035504	ENSCAFP00000016079
ENSGALP00000010935	ENSCAFP00000017824
ENSGALP00000001381	ENSCAFP00000016524
ENSGALP00000027769	ENSCAFP00000006202
ENSGALP00000000002	ENSCAFP00000030405
ENSGALP00000017326	ENSCAFP00000011669
ENSGALP00000014069	ENSCAFP00000027192
ENSGALP00000020656	ENSCAFP00000012834
ENSGALP00000017216	ENSCAFP00000015986
ENSGALP00000027758	ENSCAFP00000006121
ENSGALP00000042047	ENSCAFP00000028176
ENSGALP00000018472	ENSCAFP00000022237
ENSGALP00000035061	ENSCAFP00000031216
ENSGALP00000042643	ENSCAFP00000021154
ENSGALP00000014616	ENSCAFP00000008466
ENSGALP00000010292	ENSCAFP00000038369
ENSGALP00000042723	ENSCAFP00000001297
ENSGALP00000037124	ENSCAFP00000012711
ENSGALP00000042644	ENSCAFP00000031335
ENSGALP00000019662	ENSCAFP00000007104
ENSGALP00000016032	ENSCAFP00000017840
ENSGALP00000000272	ENSCAFP00000009096
ENSGALP00000019045	ENSCAFP00000004511
ENSGALP00000004298	ENSCAFP00000011487
ENSGALP00000004459	ENSCAFP00000001726
ENSGALP00000019540	ENSCAFP00000018286
ENSGALP00000041810	ENSCAFP00000041711
ENSGALP00000039554	ENSCAFP00000021872
ENSGALP00000006521	ENSCAFP00000015326
ENSGALP00000015128	ENSCAFP00000023948
ENSGALP00000018692	ENSCAFP00000021261
ENSGALP00000028721	ENSCAFP00000028190
ENSGALP00000042443	ENSCAFP00000011018
ENSGALP00000020972	ENSCAFP00000005790
ENSGALP00000025312	ENSCAFP00000024552
ENSGALP00000042650	ENSCAFP00000041939
ENSGALP00000011997	ENSCAFP00000014772
ENSGALP00000001890	ENSCAFP00000027002
ENSGALP00000023218	ENSCAFP00000031277
ENSGALP00000041330	ENSCAFP00000011620
ENSGALP00000017852	ENSCAFP00000038496
ENSGALP00000032046	ENSCAFP00000015967
ENSGALP00000021949	ENSCAFP00000000882
ENSGALP00000003498	ENSCAFP00000026476
ENSGALP00000025753	ENSCAFP00000014048
ENSGALP00000006796	ENSCAFP00000019069
ENSGALP00000001726	ENSCAFP00000025941
ENSGALP00000018646	ENSCAFP00000009967
ENSGALP00000016416	ENSCAFP00000007177
ENSGALP00000002536	ENSCAFP00000025430
ENSGALP00000022913	ENSCAFP00000002797
ENSGALP00000026980	ENSCAFP00000014827
ENSGALP00000036453	ENSCAFP00000005369
ENSGALP00000036460	ENSCAFP00000036666
ENSGALP00000029836	ENSCAFP00000038621
ENSGALP00000000140	ENSCAFP00000015455
ENSGALP00000016730	ENSCAFP00000025013
ENSGALP00000006852	ENSCAFP00000040257
ENSGALP00000041228	ENSCAFP00000006750
ENSGALP00000032624	ENSCAFP00000008171
ENSGALP00000019237	ENSCAFP00000019442
ENSGALP00000021478	ENSCAFP00000035859
ENSGALP00000023177	ENSCAFP00000024164
ENSGALP00000004850	ENSCAFP00000024163
ENSGALP00000039752	ENSCAFP00000019177
ENSGALP00000043280	ENSCAFP00000042254
ENSGALP00000008402	ENSCAFP00000023842
ENSGALP00000021121	ENSCAFP00000000611
ENSGALP00000042551	ENSCAFP00000023609
ENSGALP00000011778	ENSCAFP00000019332
ENSGALP00000025812	ENSCAFP00000014371
ENSGALP00000032253	ENSCAFP00000037303
ENSGALP00000035860	ENSCAFP00000020460
ENSGALP00000020160	ENSCAFP00000005173
ENSGALP00000004601	ENSCAFP00000020684
ENSGALP00000026381	ENSCAFP00000001384
ENSGALP00000002514	ENSCAFP00000041590
ENSGALP00000037711	ENSCAFP00000020782
ENSGALP00000036411	ENSCAFP00000021710
ENSGALP00000016071	ENSCAFP00000002395
ENSGALP00000015086	ENSCAFP00000024807
ENSGALP00000026759	ENSCAFP00000016916
ENSGALP00000017336	ENSCAFP00000011757
ENSGALP00000011212	ENSCAFP00000025633
ENSGALP00000019655	ENSCAFP00000018539
ENSGALP00000042962	ENSCAFP00000010501
ENSGALP00000016230	ENSCAFP00000042074
ENSGALP00000007412	ENSCAFP00000029690
ENSGALP00000022772	ENSCAFP00000040466
ENSGALP00000029511	ENSCAFP00000006631
ENSGALP00000008871	ENSCAFP00000037880
ENSGALP00000022073	ENSCAFP00000013335
ENSGALP00000012963	ENSCAFP00000016994
ENSGALP00000022081	ENSCAFP00000000006
ENSGALP00000001840	ENSCAFP00000040187
ENSGALP00000032574	ENSCAFP00000014598
ENSGALP00000003444	ENSCAFP00000024864
ENSGALP00000010661	ENSCAFP00000010728
ENSGALP00000024470	ENSCAFP00000026563
ENSGALP00000036004	ENSCAFP00000006300
ENSGALP00000022928	ENSCAFP00000001248
ENSGALP00000042301	ENSCAFP00000033578
ENSGALP00000018435	ENSCAFP00000008470
ENSGALP00000009525	ENSCAFP00000034146
ENSGALP00000027746	ENSCAFP00000006055
ENSGALP00000013785	ENSCAFP00000013796
ENSGALP00000019982	ENSCAFP00000002013
ENSGALP00000018206	ENSCAFP00000006093
ENSGALP00000005241	ENSCAFP00000011107
ENSGALP00000004475	ENSCAFP00000028323
ENSGALP00000038678	ENSCAFP00000011120
ENSGALP00000041632	ENSCAFP00000031885
ENSGALP00000021693	ENSCAFP00000040389
ENSGALP00000017133	ENSCAFP00000037876
ENSGALP00000025993	ENSCAFP00000001801
ENSGALP00000036655	ENSCAFP00000000264
ENSGALP00000006357	ENSCAFP00000014491
ENSGALP00000043006	ENSCAFP00000000296
ENSGALP00000030247	ENSCAFP00000011719
ENSGALP00000015342	ENSCAFP00000017970
ENSGALP00000024554	ENSCAFP00000022573
ENSGALP00000015655	ENSCAFP00000012860
ENSGALP00000026689	ENSCAFP00000012415
ENSGALP00000042554	ENSCAFP00000006957
ENSGALP00000024129	ENSCAFP00000023021
ENSGALP00000004163	ENSCAFP00000042521
ENSGALP00000014240	ENSCAFP00000006969
ENSGALP00000038228	ENSCAFP00000009790
ENSGALP00000035996	ENSCAFP00000013012
ENSGALP00000023211	ENSCAFP00000024271
ENSGALP00000042461	ENSCAFP00000039760
ENSGALP00000041899	ENSCAFP00000024099
ENSGALP00000015904	ENSCAFP00000019352
ENSGALP00000042103	ENSCAFP00000022263
ENSGALP00000018368	ENSCAFP00000009203
ENSGALP00000043060	ENSCAFP00000003355
ENSGALP00000005614	ENSCAFP00000013921
ENSGALP00000017179	ENSCAFP00000039403
ENSGALP00000018196	ENSCAFP00000013187
ENSGALP00000015374	ENSCAFP00000024132
ENSGALP00000038618	ENSCAFP00000010130
ENSGALP00000024843	ENSCAFP00000010519
ENSGALP00000042862	ENSCAFP00000021204
ENSGALP00000017702	ENSCAFP00000017476
ENSGALP00000027103	ENSCAFP00000009630
ENSGALP00000023039	ENSCAFP00000019512
ENSGALP00000042134	ENSCAFP00000018180
ENSGALP00000018564	ENSCAFP00000014850
ENSGALP00000029937	ENSCAFP00000036165
ENSGALP00000008319	ENSCAFP00000004612
ENSGALP00000038161	ENSCAFP00000042563
ENSGALP00000014205	ENSCAFP00000006878
ENSGALP00000006280	ENSCAFP00000015271
ENSGALP00000043380	ENSCAFP00000019226
ENSGALP00000025363	ENSCAFP00000012381
ENSGALP00000026776	ENSCAFP00000012191
ENSGALP00000042772	ENSCAFP00000031933
ENSGALP00000004515	ENSCAFP00000037108
ENSGALP00000006047	ENSCAFP00000032174
ENSGALP00000041215	ENSCAFP00000004688
ENSGALP00000040769	ENSCAFP00000010400
ENSGALP00000013176	ENSCAFP00000012822
ENSGALP00000042346	ENSCAFP00000040571
ENSGALP00000022893	ENSCAFP00000025547
ENSGALP00000022592	ENSCAFP00000000327
ENSGALP00000011332	ENSCAFP00000019943
ENSGALP00000004831	ENSCAFP00000011032
ENSGALP00000007671	ENSCAFP00000019862
ENSGALP00000039286	ENSCAFP00000029838
ENSGALP00000034141	ENSCAFP00000029279
ENSGALP00000002307	ENSCAFP00000041570
ENSGALP00000041437	ENSCAFP00000008141
ENSGALP00000004056	ENSCAFP00000010020
ENSGALP00000039929	ENSCAFP00000020830
ENSGALP00000014637	ENSCAFP00000002731
ENSGALP00000039355	ENSCAFP00000021323
ENSGALP00000020651	ENSCAFP00000015048
ENSGALP00000024919	ENSCAFP00000035754
ENSGALP00000037834	ENSCAFP00000017245
ENSGALP00000016889	ENSCAFP00000014518
ENSGALP00000040085	ENSCAFP00000024492
ENSGALP00000003131	ENSCAFP00000023707
ENSGALP00000039032	ENSCAFP00000018711
ENSGALP00000004480	ENSCAFP00000024740
ENSGALP00000007644	ENSCAFP00000027324
ENSGALP00000024722	ENSCAFP00000014212
ENSGALP00000014293	ENSCAFP00000016036
ENSGALP00000026854	ENSCAFP00000003227
ENSGALP00000027915	ENSCAFP00000008187
ENSGALP00000013090	ENSCAFP00000026779
ENSGALP00000025413	ENSCAFP00000012493
ENSGALP00000001729	ENSCAFP00000016549
ENSGALP00000003447	ENSCAFP00000038426
ENSGALP00000042015	ENSCAFP00000025015
ENSGALP00000003451	ENSCAFP00000016671
ENSGALP00000020756	ENSCAFP00000014389
ENSGALP00000040703	ENSCAFP00000018044
ENSGALP00000000940	ENSCAFP00000038061
ENSGALP00000042492	ENSCAFP00000002483
ENSGALP00000041711	ENSCAFP00000016333
ENSGALP00000006037	ENSCAFP00000022864
ENSGALP00000033072	ENSCAFP00000010902
ENSGALP00000010780	ENSCAFP00000010887
ENSGALP00000033070	ENSCAFP00000010910
ENSGALP00000031018	ENSCAFP00000040725
ENSGALP00000011217	ENSCAFP00000019277
ENSGALP00000038259	ENSCAFP00000041955
ENSGALP00000008290	ENSCAFP00000033984
ENSGALP00000018537	ENSCAFP00000009533
ENSGALP00000002726	ENSCAFP00000011896
ENSGALP00000022788	ENSCAFP00000002915
ENSGALP00000003704	ENSCAFP00000025177
ENSGALP00000040427	ENSCAFP00000028695
ENSGALP00000037676	ENSCAFP00000008588
ENSGALP00000033359	ENSCAFP00000023586
ENSGALP00000040875	ENSCAFP00000028990
ENSGALP00000003898	ENSCAFP00000001941
ENSGALP00000023241	ENSCAFP00000017483
ENSGALP00000037101	ENSCAFP00000007326
ENSGALP00000000631	ENSCAFP00000015474
ENSGALP00000014459	ENSCAFP00000036530
ENSGALP00000043100	ENSCAFP00000028339
ENSGALP00000015927	ENSCAFP00000005514
ENSGALP00000041581	ENSCAFP00000009849
ENSGALP00000033663	ENSCAFP00000000503
ENSGALP00000006226	ENSCAFP00000014740
ENSGALP00000042636	ENSCAFP00000038271
ENSGALP00000025582	ENSCAFP00000003965
ENSGALP00000024586	ENSCAFP00000013591
ENSGALP00000042142	ENSCAFP00000010063
ENSGALP00000009094	ENSCAFP00000026906
ENSGALP00000024153	ENSCAFP00000014374
ENSGALP00000027507	ENSCAFP00000009391
ENSGALP00000042247	ENSCAFP00000011781
ENSGALP00000008498	ENSCAFP00000012705
ENSGALP00000041609	ENSCAFP00000004913
ENSGALP00000005497	ENSCAFP00000022728
ENSGALP00000011162	ENSCAFP00000008530
ENSGALP00000001249	ENSCAFP00000029861
ENSGALP00000004710	ENSCAFP00000029276
ENSGALP00000026511	ENSCAFP00000005546
ENSGALP00000021066	ENSCAFP00000015632
ENSGALP00000008419	ENSCAFP00000003325
ENSGALP00000002837	ENSCAFP00000020205
ENSGALP00000006734	ENSCAFP00000012095
ENSGALP00000019363	ENSCAFP00000020709
ENSGALP00000021566	ENSCAFP00000029682
ENSGALP00000018434	ENSCAFP00000008477
ENSGALP00000004327	ENSCAFP00000009039
ENSGALP00000041694	ENSCAFP00000019299
ENSGALP00000006701	ENSCAFP00000042783
ENSGALP00000022452	ENSCAFP00000000373
ENSGALP00000022453	ENSCAFP00000000368
ENSGALP00000014793	ENSCAFP00000016365
ENSGALP00000003899	ENSCAFP00000023298
ENSGALP00000001464	ENSCAFP00000029939
ENSGALP00000019007	ENSCAFP00000007108
ENSGALP00000042948	ENSCAFP00000022628
ENSGALP00000029993	ENSCAFP00000018985
ENSGALP00000042776	ENSCAFP00000009284
ENSGALP00000029389	ENSCAFP00000008375
ENSGALP00000023120	ENSCAFP00000023960
ENSGALP00000036276	ENSCAFP00000042838
ENSGALP00000041901	ENSCAFP00000005143
ENSGALP00000000319	ENSCAFP00000035847
ENSGALP00000033490	ENSCAFP00000020342
ENSGALP00000021782	ENSCAFP00000027655
ENSGALP00000009697	ENSCAFP00000030717
ENSGALP00000031763	ENSCAFP00000026935
ENSGALP00000042767	ENSCAFP00000008981
ENSGALP00000018480	ENSCAFP00000003380
ENSGALP00000012705	ENSCAFP00000039731
ENSGALP00000020042	ENSCAFP00000002050
ENSGALP00000014460	ENSCAFP00000020984
ENSGALP00000021990	ENSCAFP00000025596
ENSGALP00000008211	ENSCAFP00000018423
ENSGALP00000012170	ENSCAFP00000017898
ENSGALP00000024210	ENSCAFP00000005836
ENSGALP00000012547	ENSCAFP00000025324
ENSGALP00000008535	ENSCAFP00000029676
ENSGALP00000009853	ENSCAFP00000029952
ENSGALP00000001845	ENSCAFP00000010760
ENSGALP00000002196	ENSCAFP00000031910
ENSGALP00000027249	ENSCAFP00000008195
ENSGALP00000005453	ENSCAFP00000023160
ENSGALP00000001190	ENSCAFP00000007837
ENSGALP00000032932	ENSCAFP00000040289
ENSGALP00000042472	ENSCAFP00000042559
ENSGALP00000042331	ENSCAFP00000022024
ENSGALP00000039157	ENSCAFP00000023291
ENSGALP00000011124	ENSCAFP00000014432
