ENSCAFP00000018255	ENSP00000371994
ENSCAFP00000028268	ENSP00000307940
ENSCAFP00000020765	ENSP00000392094
ENSCAFP00000002506	ENSP00000230381
ENSCAFP00000023214	ENSP00000278833
ENSCAFP00000036035	ENSP00000281928
ENSCAFP00000011639	ENSP00000343741
ENSCAFP00000019367	ENSP00000311695
ENSCAFP00000004330	ENSP00000384040
ENSCAFP00000005288	ENSP00000398481
ENSCAFP00000010559	ENSP00000373215
ENSCAFP00000018873	ENSP00000215838
ENSCAFP00000015184	ENSP00000257248
ENSCAFP00000041914	ENSP00000316329
ENSCAFP00000014205	ENSP00000359380
ENSCAFP00000013574	ENSP00000266581
ENSCAFP00000030590	ENSP00000358880
ENSCAFP00000016570	ENSP00000439268
ENSCAFP00000034237	ENSP00000278071
ENSCAFP00000040259	ENSP00000355121
ENSCAFP00000031761	ENSP00000370849
ENSCAFP00000014887	ENSP00000356115
ENSCAFP00000005847	ENSP00000357840
ENSCAFP00000009643	ENSP00000418721
ENSCAFP00000008573	ENSP00000332706
ENSCAFP00000030146	ENSP00000268793
ENSCAFP00000006330	ENSP00000318602
ENSCAFP00000041314	ENSP00000359848
ENSCAFP00000016239	ENSP00000376911
ENSCAFP00000002637	ENSP00000237937
ENSCAFP00000037538	ENSP00000344192
ENSCAFP00000003184	ENSP00000337432
ENSCAFP00000029450	ENSP00000244241
ENSCAFP00000012043	ENSP00000381490
ENSCAFP00000019983	ENSP00000393887
ENSCAFP00000020007	ENSP00000265029
ENSCAFP00000007804	ENSP00000369436
ENSCAFP00000010389	ENSP00000410157
ENSCAFP00000023403	ENSP00000377508
ENSCAFP00000007783	ENSP00000344456
ENSCAFP00000017723	ENSP00000268154
ENSCAFP00000011808	ENSP00000313158
ENSCAFP00000002876	ENSP00000264313
ENSCAFP00000007740	ENSP00000418707
ENSCAFP00000033658	ENSP00000357625
ENSCAFP00000003109	ENSP00000222572
ENSCAFP00000003105	ENSP00000265627
ENSCAFP00000003099	ENSP00000222381
ENSCAFP00000001525	ENSP00000276708
ENSCAFP00000033873	ENSP00000433209
ENSCAFP00000023974	ENSP00000301659
ENSCAFP00000034617	ENSP00000328992
ENSCAFP00000012019	ENSP00000318690
ENSCAFP00000001575	ENSP00000376224
ENSCAFP00000017148	ENSP00000428544
ENSCAFP00000022642	ENSP00000241261
ENSCAFP00000006955	ENSP00000239849
ENSCAFP00000025264	ENSP00000362744
ENSCAFP00000041637	ENSP00000320688
ENSCAFP00000033509	ENSP00000306328
ENSCAFP00000003680	ENSP00000364140
ENSCAFP00000042002	ENSP00000347665
ENSCAFP00000022493	ENSP00000426809
ENSCAFP00000023012	ENSP00000325266
ENSCAFP00000038177	ENSP00000311760
ENSCAFP00000034787	ENSP00000256367
ENSCAFP00000006320	ENSP00000243167
ENSCAFP00000002806	ENSP00000273857
ENSCAFP00000002822	ENSP00000303997
ENSCAFP00000028259	ENSP00000322716
ENSCAFP00000041162	ENSP00000265395
ENSCAFP00000004570	ENSP00000235628
ENSCAFP00000025953	ENSP00000395654
ENSCAFP00000040971	ENSP00000371638
ENSCAFP00000024888	ENSP00000331474
ENSCAFP00000006402	ENSP00000366058
ENSCAFP00000002607	ENSP00000316891
ENSCAFP00000007545	ENSP00000433352
ENSCAFP00000026407	ENSP00000262238
ENSCAFP00000034884	ENSP00000317686
ENSCAFP00000003619	ENSP00000270459
ENSCAFP00000040604	ENSP00000455585
ENSCAFP00000016101	ENSP00000443291
ENSCAFP00000012214	ENSP00000346874
ENSCAFP00000037226	ENSP00000341171
ENSCAFP00000001484	ENSP00000429064
ENSCAFP00000013011	ENSP00000334836
ENSCAFP00000004903	ENSP00000386456
ENSCAFP00000023059	ENSP00000388823
ENSCAFP00000036009	ENSP00000307722
ENSCAFP00000019779	ENSP00000252939
ENSCAFP00000026025	ENSP00000256797
ENSCAFP00000017341	ENSP00000401445
ENSCAFP00000008483	ENSP00000381053
ENSCAFP00000015830	ENSP00000418210
ENSCAFP00000029335	ENSP00000367494
ENSCAFP00000027805	ENSP00000387266
ENSCAFP00000016912	ENSP00000337510
ENSCAFP00000000458	ENSP00000237281
ENSCAFP00000021252	ENSP00000378394
ENSCAFP00000032489	ENSP00000317445
ENSCAFP00000011357	ENSP00000377409
ENSCAFP00000023410	ENSP00000361189
ENSCAFP00000024505	ENSP00000424565
ENSCAFP00000023957	ENSP00000281282
ENSCAFP00000018714	ENSP00000271636
ENSCAFP00000000034	ENSP00000299687
ENSCAFP00000012321	ENSP00000352738
ENSCAFP00000016897	ENSP00000419975
ENSCAFP00000014433	ENSP00000436552
ENSCAFP00000017426	ENSP00000357073
ENSCAFP00000013244	ENSP00000377344
ENSCAFP00000010181	ENSP00000230640
ENSCAFP00000027158	ENSP00000261712
ENSCAFP00000021903	ENSP00000299259
ENSCAFP00000018326	ENSP00000355925
ENSCAFP00000024995	ENSP00000451463
ENSCAFP00000020773	ENSP00000253410
ENSCAFP00000040918	ENSP00000372005
ENSCAFP00000006944	ENSP00000368523
ENSCAFP00000001754	ENSP00000239906
ENSCAFP00000018761	ENSP00000338532
ENSCAFP00000022131	ENSP00000310057
ENSCAFP00000009873	ENSP00000262637
ENSCAFP00000008136	ENSP00000278780
ENSCAFP00000019570	ENSP00000337862
ENSCAFP00000003542	ENSP00000452398
ENSCAFP00000023956	ENSP00000323421
ENSCAFP00000001188	ENSP00000350036
ENSCAFP00000011038	ENSP00000315630
ENSCAFP00000001876	ENSP00000319831
ENSCAFP00000009610	ENSP00000374212
ENSCAFP00000024485	ENSP00000262518
ENSCAFP00000000854	ENSP00000251810
ENSCAFP00000014040	ENSP00000193391
ENSCAFP00000004093	ENSP00000358966
ENSCAFP00000008096	ENSP00000295770
ENSCAFP00000015961	ENSP00000376472
ENSCAFP00000018338	ENSP00000409906
ENSCAFP00000031371	ENSP00000345216
ENSCAFP00000000248	ENSP00000309690
ENSCAFP00000022779	ENSP00000441858
ENSCAFP00000021603	ENSP00000367203
ENSCAFP00000024733	ENSP00000254846
ENSCAFP00000002409	ENSP00000378408
ENSCAFP00000022948	ENSP00000356849
ENSCAFP00000020913	ENSP00000354536
ENSCAFP00000025087	ENSP00000267569
ENSCAFP00000004495	ENSP00000361895
ENSCAFP00000005874	ENSP00000385527
ENSCAFP00000027929	ENSP00000360280
ENSCAFP00000027482	ENSP00000313391
ENSCAFP00000033833	ENSP00000363533
ENSCAFP00000013212	ENSP00000272427
ENSCAFP00000011202	ENSP00000260762
ENSCAFP00000007595	ENSP00000322775
ENSCAFP00000041426	ENSP00000417587
ENSCAFP00000026909	ENSP00000340590
ENSCAFP00000020814	ENSP00000418428
ENSCAFP00000014164	ENSP00000290354
ENSCAFP00000001542	ENSP00000254624
ENSCAFP00000006149	ENSP00000384081
ENSCAFP00000012927	ENSP00000272444
ENSCAFP00000004594	ENSP00000358497
ENSCAFP00000008202	ENSP00000340465
ENSCAFP00000010724	ENSP00000272542
ENSCAFP00000029529	ENSP00000359052
ENSCAFP00000029782	ENSP00000362187
ENSCAFP00000009308	ENSP00000254963
ENSCAFP00000017486	ENSP00000358211
ENSCAFP00000022970	ENSP00000428579
ENSCAFP00000000554	ENSP00000381098
ENSCAFP00000001869	ENSP00000408025
ENSCAFP00000039590	ENSP00000364486
ENSCAFP00000017237	ENSP00000422626
ENSCAFP00000002477	ENSP00000380489
ENSCAFP00000007616	ENSP00000293230
ENSCAFP00000028784	ENSP00000456566
ENSCAFP00000028961	ENSP00000358777
ENSCAFP00000034469	ENSP00000369513
ENSCAFP00000000948	ENSP00000297267
ENSCAFP00000004871	ENSP00000403984
ENSCAFP00000030881	ENSP00000386870
ENSCAFP00000015063	ENSP00000367715
ENSCAFP00000009662	ENSP00000260810
ENSCAFP00000022777	ENSP00000376457
ENSCAFP00000001584	ENSP00000378784
ENSCAFP00000038707	ENSP00000297578
ENSCAFP00000001614	ENSP00000390722
ENSCAFP00000024872	ENSP00000426022
ENSCAFP00000003008	ENSP00000248564
ENSCAFP00000004417	ENSP00000238714
ENSCAFP00000026244	ENSP00000216277
ENSCAFP00000006292	ENSP00000365637
ENSCAFP00000024450	ENSP00000264659
ENSCAFP00000012106	ENSP00000378400
ENSCAFP00000019039	ENSP00000259006
ENSCAFP00000011174	ENSP00000313070
ENSCAFP00000039339	ENSP00000400887
ENSCAFP00000025377	ENSP00000216484
ENSCAFP00000008376	ENSP00000381968
ENSCAFP00000016621	ENSP00000355560
ENSCAFP00000017451	ENSP00000403925
ENSCAFP00000016564	ENSP00000302625
ENSCAFP00000029128	ENSP00000262320
ENSCAFP00000023980	ENSP00000301764
ENSCAFP00000017309	ENSP00000265594
ENSCAFP00000008753	ENSP00000365462
ENSCAFP00000015309	ENSP00000344942
ENSCAFP00000027605	ENSP00000337040
ENSCAFP00000006171	ENSP00000366179
ENSCAFP00000014627	ENSP00000298910
ENSCAFP00000033839	ENSP00000355568
ENSCAFP00000032307	ENSP00000307265
ENSCAFP00000001472	ENSP00000276692
ENSCAFP00000003969	ENSP00000402527
ENSCAFP00000014090	ENSP00000377655
ENSCAFP00000006102	ENSP00000416040
ENSCAFP00000010692	ENSP00000315295
ENSCAFP00000001226	ENSP00000230256
ENSCAFP00000027620	ENSP00000379643
ENSCAFP00000042548	ENSP00000333982
ENSCAFP00000032545	ENSP00000361883
ENSCAFP00000003183	ENSP00000370695
ENSCAFP00000036476	ENSP00000324302
ENSCAFP00000020751	ENSP00000398568
ENSCAFP00000016288	ENSP00000262139
ENSCAFP00000008827	ENSP00000300737
ENSCAFP00000024080	ENSP00000417569
ENSCAFP00000002690	ENSP00000344831
ENSCAFP00000010275	ENSP00000217254
ENSCAFP00000039362	ENSP00000342793
ENSCAFP00000023309	ENSP00000263088
ENSCAFP00000000152	ENSP00000267064
ENSCAFP00000000650	ENSP00000365569
ENSCAFP00000027777	ENSP00000378368
ENSCAFP00000008252	ENSP00000350954
ENSCAFP00000001717	ENSP00000364398
ENSCAFP00000036841	ENSP00000405388
ENSCAFP00000005855	ENSP00000084798
ENSCAFP00000007711	ENSP00000309198
ENSCAFP00000016008	ENSP00000340596
ENSCAFP00000026698	ENSP00000268712
ENSCAFP00000010374	ENSP00000384018
ENSCAFP00000011962	ENSP00000333003
ENSCAFP00000041758	ENSP00000219301
ENSCAFP00000042393	ENSP00000350012
ENSCAFP00000026704	ENSP00000339787
ENSCAFP00000030967	ENSP00000377991
ENSCAFP00000007031	ENSP00000181796
ENSCAFP00000000430	ENSP00000002165
ENSCAFP00000019256	ENSP00000363603
ENSCAFP00000028421	ENSP00000246957
ENSCAFP00000024342	ENSP00000329117
ENSCAFP00000039926	ENSP00000426528
ENSCAFP00000006243	ENSP00000392700
ENSCAFP00000043146	ENSP00000457534
ENSCAFP00000034569	ENSP00000394863
ENSCAFP00000001348	ENSP00000263245
ENSCAFP00000012048	ENSP00000395083
ENSCAFP00000009675	ENSP00000254584
ENSCAFP00000003526	ENSP00000397249
ENSCAFP00000017510	ENSP00000394316
ENSCAFP00000037341	ENSP00000279544
ENSCAFP00000020030	ENSP00000229402
ENSCAFP00000043112	ENSP00000298283
ENSCAFP00000020680	ENSP00000316950
ENSCAFP00000014734	ENSP00000392466
ENSCAFP00000029102	ENSP00000219611
ENSCAFP00000009031	ENSP00000253693
ENSCAFP00000037992	ENSP00000401089
ENSCAFP00000016745	ENSP00000314103
ENSCAFP00000035935	ENSP00000339802
ENSCAFP00000042418	ENSP00000295208
ENSCAFP00000038005	ENSP00000399664
ENSCAFP00000041649	ENSP00000375589
ENSCAFP00000041185	ENSP00000381666
ENSCAFP00000009613	ENSP00000374268
ENSCAFP00000002258	ENSP00000287152
ENSCAFP00000019698	ENSP00000333942
ENSCAFP00000006250	ENSP00000298032
ENSCAFP00000007572	ENSP00000313869
ENSCAFP00000018596	ENSP00000234160
ENSCAFP00000038012	ENSP00000243563
ENSCAFP00000019102	ENSP00000292823
ENSCAFP00000019864	ENSP00000368439
ENSCAFP00000005361	ENSP00000344401
ENSCAFP00000007861	ENSP00000368876
ENSCAFP00000020635	ENSP00000355045
ENSCAFP00000009920	ENSP00000419325
ENSCAFP00000027751	ENSP00000269159
ENSCAFP00000000918	ENSP00000379203
ENSCAFP00000005172	ENSP00000272238
ENSCAFP00000016641	ENSP00000328287
ENSCAFP00000027564	ENSP00000360124
ENSCAFP00000010505	ENSP00000262644
ENSCAFP00000016088	ENSP00000446828
ENSCAFP00000003255	ENSP00000259667
ENSCAFP00000003402	ENSP00000074304
ENSCAFP00000005396	ENSP00000425487
ENSCAFP00000013832	ENSP00000406490
ENSCAFP00000008240	ENSP00000365938
ENSCAFP00000006337	ENSP00000259253
ENSCAFP00000024414	ENSP00000355110
ENSCAFP00000008571	ENSP00000303486
ENSCAFP00000027849	ENSP00000379773
ENSCAFP00000033703	ENSP00000387362
ENSCAFP00000007353	ENSP00000342778
ENSCAFP00000000037	ENSP00000325548
ENSCAFP00000000036	ENSP00000351682
ENSCAFP00000038332	ENSP00000393860
ENSCAFP00000029075	ENSP00000306522
ENSCAFP00000023054	ENSP00000412886
ENSCAFP00000027097	ENSP00000333019
ENSCAFP00000002847	ENSP00000348573
ENSCAFP00000017731	ENSP00000352572
ENSCAFP00000005460	ENSP00000358106
ENSCAFP00000032218	ENSP00000386543
ENSCAFP00000025166	ENSP00000467024
ENSCAFP00000003895	ENSP00000384823
ENSCAFP00000003455	ENSP00000403802
ENSCAFP00000015612	ENSP00000358718
ENSCAFP00000006378	ENSP00000285871
ENSCAFP00000001244	ENSP00000340434
ENSCAFP00000037515	ENSP00000441366
ENSCAFP00000028082	ENSP00000359557
ENSCAFP00000021810	ENSP00000445677
ENSCAFP00000026045	ENSP00000269122
ENSCAFP00000025340	ENSP00000055682
ENSCAFP00000023223	ENSP00000355500
ENSCAFP00000027149	ENSP00000404151
ENSCAFP00000040692	ENSP00000281187
ENSCAFP00000020377	ENSP00000362480
ENSCAFP00000036127	ENSP00000376792
ENSCAFP00000038268	ENSP00000450731
ENSCAFP00000021562	ENSP00000248450
ENSCAFP00000022252	ENSP00000262942
ENSCAFP00000022228	ENSP00000389631
ENSCAFP00000005724	ENSP00000338173
ENSCAFP00000029193	ENSP00000328677
ENSCAFP00000000817	ENSP00000356134
ENSCAFP00000025671	ENSP00000362217
ENSCAFP00000007405	ENSP00000304994
ENSCAFP00000019037	ENSP00000382269
ENSCAFP00000015811	ENSP00000258418
ENSCAFP00000006581	ENSP00000348113
ENSCAFP00000023710	ENSP00000382492
ENSCAFP00000023501	ENSP00000293805
ENSCAFP00000034412	ENSP00000324806
ENSCAFP00000008750	ENSP00000399518
ENSCAFP00000020658	ENSP00000301887
ENSCAFP00000036121	ENSP00000243440
ENSCAFP00000025088	ENSP00000286639
ENSCAFP00000000983	ENSP00000248846
ENSCAFP00000014083	ENSP00000283645
ENSCAFP00000009139	ENSP00000369071
ENSCAFP00000001531	ENSP00000416330
ENSCAFP00000009553	ENSP00000369473
ENSCAFP00000023429	ENSP00000261435
ENSCAFP00000008704	ENSP00000449535
ENSCAFP00000014618	ENSP00000308179
ENSCAFP00000037549	ENSP00000301200
ENSCAFP00000006737	ENSP00000338258
ENSCAFP00000036924	ENSP00000249014
ENSCAFP00000038071	ENSP00000363993
ENSCAFP00000040530	ENSP00000359469
ENSCAFP00000023590	ENSP00000263381
ENSCAFP00000016834	ENSP00000346442
ENSCAFP00000011285	ENSP00000412130
ENSCAFP00000016767	ENSP00000384491
ENSCAFP00000009769	ENSP00000380713
ENSCAFP00000010088	ENSP00000432695
ENSCAFP00000021685	ENSP00000415885
ENSCAFP00000018279	ENSP00000411471
ENSCAFP00000000577	ENSP00000313603
ENSCAFP00000005019	ENSP00000238112
ENSCAFP00000028463	ENSP00000445001
ENSCAFP00000023308	ENSP00000385545
ENSCAFP00000027067	ENSP00000388241
ENSCAFP00000016012	ENSP00000343885
ENSCAFP00000000807	ENSP00000307746
ENSCAFP00000025175	ENSP00000316527
ENSCAFP00000034922	ENSP00000335246
ENSCAFP00000005704	ENSP00000175091
ENSCAFP00000000679	ENSP00000402301
ENSCAFP00000027875	ENSP00000360266
ENSCAFP00000036269	ENSP00000303315
ENSCAFP00000031140	ENSP00000252818
ENSCAFP00000003784	ENSP00000410768
ENSCAFP00000001671	ENSP00000378710
ENSCAFP00000008843	ENSP00000368547
ENSCAFP00000041161	ENSP00000370607
ENSCAFP00000027254	ENSP00000351132
ENSCAFP00000029062	ENSP00000321971
ENSCAFP00000030010	ENSP00000268482
ENSCAFP00000009932	ENSP00000384792
ENSCAFP00000014253	ENSP00000393099
ENSCAFP00000014152	ENSP00000326411
ENSCAFP00000021703	ENSP00000282251
ENSCAFP00000019492	ENSP00000406885
ENSCAFP00000010741	ENSP00000433126
ENSCAFP00000017865	ENSP00000327650
ENSCAFP00000025362	ENSP00000253577
ENSCAFP00000022311	ENSP00000265316
ENSCAFP00000005846	ENSP00000238789
ENSCAFP00000001411	ENSP00000287394
ENSCAFP00000018935	ENSP00000357812
ENSCAFP00000011150	ENSP00000387361
ENSCAFP00000028899	ENSP00000354733
ENSCAFP00000024267	ENSP00000235329
ENSCAFP00000016667	ENSP00000420617
ENSCAFP00000026624	ENSP00000378402
ENSCAFP00000018506	ENSP00000357040
ENSCAFP00000030553	ENSP00000347672
ENSCAFP00000015836	ENSP00000347464
ENSCAFP00000027951	ENSP00000378338
ENSCAFP00000030245	ENSP00000387471
ENSCAFP00000027969	ENSP00000283027
ENSCAFP00000015985	ENSP00000419765
ENSCAFP00000024438	ENSP00000453872
ENSCAFP00000026008	ENSP00000269439
ENSCAFP00000000622	ENSP00000247843
ENSCAFP00000017553	ENSP00000306983
ENSCAFP00000006434	ENSP00000365388
ENSCAFP00000037912	ENSP00000358033
ENSCAFP00000006895	ENSP00000335060
ENSCAFP00000016370	ENSP00000378690
ENSCAFP00000018165	ENSP00000216144
ENSCAFP00000003988	ENSP00000295304
ENSCAFP00000013862	ENSP00000398105
ENSCAFP00000037401	ENSP00000428054
ENSCAFP00000037536	ENSP00000452796
ENSCAFP00000004759	ENSP00000379390
ENSCAFP00000013204	ENSP00000409555
ENSCAFP00000020551	ENSP00000367841
ENSCAFP00000000928	ENSP00000356056
ENSCAFP00000026800	ENSP00000377918
ENSCAFP00000015586	ENSP00000345023
ENSCAFP00000002702	ENSP00000368856
ENSCAFP00000002814	ENSP00000422037
ENSCAFP00000009571	ENSP00000265978
ENSCAFP00000039973	ENSP00000413196
ENSCAFP00000004011	ENSP00000383986
ENSCAFP00000008325	ENSP00000258484
ENSCAFP00000006083	ENSP00000263062
ENSCAFP00000021948	ENSP00000325775
ENSCAFP00000026966	ENSP00000318868
ENSCAFP00000000282	ENSP00000333667
ENSCAFP00000017740	ENSP00000379182
ENSCAFP00000014553	ENSP00000358451
ENSCAFP00000021704	ENSP00000255681
ENSCAFP00000014700	ENSP00000229328
ENSCAFP00000015988	ENSP00000254101
ENSCAFP00000038967	ENSP00000265087
ENSCAFP00000013392	ENSP00000290271
ENSCAFP00000003445	ENSP00000313432
ENSCAFP00000025982	ENSP00000430493
ENSCAFP00000015868	ENSP00000256079
ENSCAFP00000034757	ENSP00000366819
ENSCAFP00000000288	ENSP00000377411
ENSCAFP00000026669	ENSP00000344789
ENSCAFP00000016357	ENSP00000341044
ENSCAFP00000014562	ENSP00000341680
ENSCAFP00000014234	ENSP00000361795
ENSCAFP00000028257	ENSP00000300574
ENSCAFP00000022395	ENSP00000346300
ENSCAFP00000023750	ENSP00000272091
ENSCAFP00000007145	ENSP00000264705
ENSCAFP00000020636	ENSP00000402608
ENSCAFP00000008927	ENSP00000368174
ENSCAFP00000007618	ENSP00000301972
ENSCAFP00000018038	ENSP00000264605
ENSCAFP00000017751	ENSP00000331897
ENSCAFP00000020046	ENSP00000390265
ENSCAFP00000025384	ENSP00000407182
ENSCAFP00000000804	ENSP00000356146
ENSCAFP00000013024	ENSP00000286835
ENSCAFP00000042693	ENSP00000336587
ENSCAFP00000026155	ENSP00000268383
ENSCAFP00000033030	ENSP00000326534
ENSCAFP00000003101	ENSP00000377027
ENSCAFP00000016206	ENSP00000420200
ENSCAFP00000008556	ENSP00000396704
ENSCAFP00000023713	ENSP00000411532
ENSCAFP00000042345	ENSP00000396995
ENSCAFP00000027593	ENSP00000360147
ENSCAFP00000015726	ENSP00000421566
ENSCAFP00000003230	ENSP00000211314
ENSCAFP00000003436	ENSP00000186436
ENSCAFP00000012262	ENSP00000386787
ENSCAFP00000005825	ENSP00000379457
ENSCAFP00000024535	ENSP00000261942
ENSCAFP00000026402	ENSP00000307126
ENSCAFP00000024106	ENSP00000316476
ENSCAFP00000032837	ENSP00000392217
ENSCAFP00000004577	ENSP00000358549
ENSCAFP00000025127	ENSP00000231572
ENSCAFP00000004714	ENSP00000355428
ENSCAFP00000015024	ENSP00000274695
ENSCAFP00000011003	ENSP00000217372
ENSCAFP00000001770	ENSP00000192788
ENSCAFP00000023472	ENSP00000303427
ENSCAFP00000001401	ENSP00000379680
ENSCAFP00000026103	ENSP00000218516
ENSCAFP00000020455	ENSP00000468424
ENSCAFP00000020457	ENSP00000367407
ENSCAFP00000002471	ENSP00000354387
ENSCAFP00000027959	ENSP00000299866
ENSCAFP00000014348	ENSP00000261448
ENSCAFP00000018363	ENSP00000357057
ENSCAFP00000021253	ENSP00000354251
ENSCAFP00000009656	ENSP00000293373
ENSCAFP00000000339	ENSP00000356774
ENSCAFP00000027022	ENSP00000254029
ENSCAFP00000028242	ENSP00000379894
ENSCAFP00000006061	ENSP00000418648
ENSCAFP00000030067	ENSP00000354612
ENSCAFP00000038440	ENSP00000356438
ENSCAFP00000029842	ENSP00000261772
ENSCAFP00000002926	ENSP00000244571
ENSCAFP00000027714	ENSP00000353826
ENSCAFP00000021062	ENSP00000353463
ENSCAFP00000036697	ENSP00000357644
ENSCAFP00000002632	ENSP00000376583
ENSCAFP00000009642	ENSP00000325941
ENSCAFP00000007157	ENSP00000368793
ENSCAFP00000039622	ENSP00000394700
ENSCAFP00000017701	ENSP00000389039
ENSCAFP00000023076	ENSP00000360994
ENSCAFP00000015062	ENSP00000414721
ENSCAFP00000012479	ENSP00000233615
ENSCAFP00000025585	ENSP00000268896
ENSCAFP00000031227	ENSP00000338030
ENSCAFP00000037498	ENSP00000361731
ENSCAFP00000008761	ENSP00000402935
ENSCAFP00000014002	ENSP00000417132
ENSCAFP00000040207	ENSP00000312587
ENSCAFP00000004897	ENSP00000349860
ENSCAFP00000000662	ENSP00000253778
ENSCAFP00000015800	ENSP00000313854
ENSCAFP00000006879	ENSP00000336994
ENSCAFP00000030291	ENSP00000359988
ENSCAFP00000039045	ENSP00000334538
ENSCAFP00000006404	ENSP00000325002
ENSCAFP00000010673	ENSP00000371152
ENSCAFP00000037149	ENSP00000308976
ENSCAFP00000004982	ENSP00000341819
ENSCAFP00000018051	ENSP00000319664
ENSCAFP00000012425	ENSP00000233623
ENSCAFP00000026294	ENSP00000327436
ENSCAFP00000036223	ENSP00000382163
ENSCAFP00000038665	ENSP00000464162
ENSCAFP00000005714	ENSP00000321997
ENSCAFP00000026016	ENSP00000336721
ENSCAFP00000013475	ENSP00000265967
ENSCAFP00000024385	ENSP00000344424
ENSCAFP00000003044	ENSP00000264047
ENSCAFP00000000308	ENSP00000404676
ENSCAFP00000002188	ENSP00000249344
ENSCAFP00000029301	ENSP00000358810
ENSCAFP00000004026	ENSP00000403396
ENSCAFP00000041956	ENSP00000359634
ENSCAFP00000008575	ENSP00000350378
ENSCAFP00000016830	ENSP00000343000
ENSCAFP00000016837	ENSP00000356065
ENSCAFP00000016844	ENSP00000375795
ENSCAFP00000009689	ENSP00000423933
ENSCAFP00000009369	ENSP00000253814
ENSCAFP00000007860	ENSP00000218652
ENSCAFP00000027341	ENSP00000312837
ENSCAFP00000029106	ENSP00000262305
ENSCAFP00000014633	ENSP00000368341
ENSCAFP00000040132	ENSP00000348538
ENSCAFP00000018521	ENSP00000359859
ENSCAFP00000005555	ENSP00000296543
ENSCAFP00000007137	ENSP00000368716
ENSCAFP00000013346	ENSP00000280800
ENSCAFP00000019292	ENSP00000240617
ENSCAFP00000019518	ENSP00000309126
ENSCAFP00000023384	ENSP00000371201
ENSCAFP00000011551	ENSP00000311257
ENSCAFP00000020299	ENSP00000298596
ENSCAFP00000017129	ENSP00000273668
ENSCAFP00000009006	ENSP00000380054
ENSCAFP00000019610	ENSP00000225171
ENSCAFP00000025152	ENSP00000362935
ENSCAFP00000009302	ENSP00000399259
ENSCAFP00000008420	ENSP00000386722
ENSCAFP00000014294	ENSP00000324549
ENSCAFP00000025820	ENSP00000430904
ENSCAFP00000031545	ENSP00000283206
ENSCAFP00000003072	ENSP00000371169
ENSCAFP00000019166	ENSP00000266068
ENSCAFP00000017230	ENSP00000294409
ENSCAFP00000030153	ENSP00000351314
ENSCAFP00000036541	ENSP00000286692
ENSCAFP00000010778	ENSP00000258534
ENSCAFP00000012221	ENSP00000363205
ENSCAFP00000018228	ENSP00000254663
ENSCAFP00000024308	ENSP00000323927
ENSCAFP00000006098	ENSP00000366460
ENSCAFP00000004305	ENSP00000195654
ENSCAFP00000014191	ENSP00000382104
ENSCAFP00000026905	ENSP00000256925
ENSCAFP00000034692	ENSP00000279101
ENSCAFP00000008061	ENSP00000338844
ENSCAFP00000039219	ENSP00000363286
ENSCAFP00000019622	ENSP00000384198
ENSCAFP00000027060	ENSP00000326170
ENSCAFP00000012198	ENSP00000376258
ENSCAFP00000006027	ENSP00000265056
ENSCAFP00000019371	ENSP00000335651
ENSCAFP00000013279	ENSP00000394770
ENSCAFP00000020801	ENSP00000366475
ENSCAFP00000026167	ENSP00000353010
ENSCAFP00000015593	ENSP00000418663
ENSCAFP00000015458	ENSP00000376458
ENSCAFP00000004059	ENSP00000371420
ENSCAFP00000000115	ENSP00000402758
ENSCAFP00000018024	ENSP00000348206
ENSCAFP00000027795	ENSP00000404700
ENSCAFP00000029944	ENSP00000457991
ENSCAFP00000000107	ENSP00000262719
ENSCAFP00000022074	ENSP00000377725
ENSCAFP00000003610	ENSP00000338860
ENSCAFP00000014865	ENSP00000272771
ENSCAFP00000037890	ENSP00000302530
ENSCAFP00000013122	ENSP00000287598
ENSCAFP00000003198	ENSP00000364976
ENSCAFP00000021768	ENSP00000379042
ENSCAFP00000029197	ENSP00000366620
ENSCAFP00000028993	ENSP00000377192
ENSCAFP00000000199	ENSP00000254442
ENSCAFP00000023352	ENSP00000379619
ENSCAFP00000030091	ENSP00000294664
ENSCAFP00000006770	ENSP00000400252
ENSCAFP00000004762	ENSP00000362092
ENSCAFP00000004617	ENSP00000358423
ENSCAFP00000033060	ENSP00000386647
ENSCAFP00000004173	ENSP00000339587
ENSCAFP00000028823	ENSP00000367498
ENSCAFP00000021318	ENSP00000356669
ENSCAFP00000012278	ENSP00000419465
ENSCAFP00000010749	ENSP00000352704
ENSCAFP00000026554	ENSP00000261592
ENSCAFP00000006134	ENSP00000254730
ENSCAFP00000025359	ENSP00000322439
ENSCAFP00000000364	ENSP00000315680
ENSCAFP00000003221	ENSP00000360107
ENSCAFP00000019469	ENSP00000307041
ENSCAFP00000002262	ENSP00000370047
ENSCAFP00000005771	ENSP00000357928
ENSCAFP00000026439	ENSP00000334148
ENSCAFP00000016852	ENSP00000263966
ENSCAFP00000021591	ENSP00000229268
ENSCAFP00000012120	ENSP00000340736
ENSCAFP00000029708	ENSP00000287474
ENSCAFP00000002615	ENSP00000309477
ENSCAFP00000002577	ENSP00000258886
ENSCAFP00000023387	ENSP00000391942
ENSCAFP00000020996	ENSP00000356634
ENSCAFP00000017724	ENSP00000438468
ENSCAFP00000007990	ENSP00000405423
ENSCAFP00000002748	ENSP00000295448
ENSCAFP00000012622	ENSP00000366843
ENSCAFP00000025761	ENSP00000370031
