ENSTNIP00000004863	ENSTGUP00000008915
ENSTNIP00000005411	ENSTGUP00000012276
ENSTNIP00000022547	ENSTGUP00000017505
ENSTNIP00000012017	ENSTGUP00000004597
ENSTNIP00000007667	ENSTGUP00000002488
ENSTNIP00000000553	ENSTGUP00000009158
ENSTNIP00000009798	ENSTGUP00000005205
ENSTNIP00000020454	ENSTGUP00000013420
ENSTNIP00000005056	ENSTGUP00000013420
ENSTNIP00000012200	ENSTGUP00000006279
ENSTNIP00000016702	ENSTGUP00000006279
ENSTNIP00000006989	ENSTGUP00000006670
ENSTNIP00000022490	ENSTGUP00000014898
ENSTNIP00000019058	ENSTGUP00000012346
ENSTNIP00000011709	ENSTGUP00000016363
ENSTNIP00000019059	ENSTGUP00000012338
ENSTNIP00000015822	ENSTGUP00000002318
ENSTNIP00000021335	ENSTGUP00000003640
ENSTNIP00000011724	ENSTGUP00000006185
ENSTNIP00000015942	ENSTGUP00000001076
ENSTNIP00000005603	ENSTGUP00000002350
ENSTNIP00000012125	ENSTGUP00000008048
ENSTNIP00000013759	ENSTGUP00000010733
ENSTNIP00000008543	ENSTGUP00000010106
ENSTNIP00000016503	ENSTGUP00000005509
ENSTNIP00000006046	ENSTGUP00000005802
ENSTNIP00000010353	ENSTGUP00000000473
ENSTNIP00000018558	ENSTGUP00000008908
ENSTNIP00000005749	ENSTGUP00000000866
ENSTNIP00000013890	ENSTGUP00000011967
ENSTNIP00000021445	ENSTGUP00000017812
ENSTNIP00000019420	ENSTGUP00000011905
ENSTNIP00000011014	ENSTGUP00000011852
ENSTNIP00000016071	ENSTGUP00000011506
ENSTNIP00000015358	ENSTGUP00000013249
ENSTNIP00000021934	ENSTGUP00000017524
ENSTNIP00000012202	ENSTGUP00000006202
ENSTNIP00000016908	ENSTGUP00000013835
ENSTNIP00000016763	ENSTGUP00000006275
ENSTNIP00000014042	ENSTGUP00000010222
ENSTNIP00000011723	ENSTGUP00000011440
ENSTNIP00000020318	ENSTGUP00000011440
ENSTNIP00000021530	ENSTGUP00000001396
ENSTNIP00000016873	ENSTGUP00000006262
ENSTNIP00000014327	ENSTGUP00000010163
ENSTNIP00000012838	ENSTGUP00000013862
ENSTNIP00000015335	ENSTGUP00000009732
ENSTNIP00000013280	ENSTGUP00000011908
ENSTNIP00000014135	ENSTGUP00000011715
ENSTNIP00000000034	ENSTGUP00000008417
ENSTNIP00000005226	ENSTGUP00000005558
ENSTNIP00000008333	ENSTGUP00000002649
ENSTNIP00000011062	ENSTGUP00000013147
ENSTNIP00000021803	ENSTGUP00000013147
ENSTNIP00000005323	ENSTGUP00000007161
ENSTNIP00000006186	ENSTGUP00000013577
ENSTNIP00000012321	ENSTGUP00000009636
ENSTNIP00000018606	ENSTGUP00000000358
ENSTNIP00000021565	ENSTGUP00000001371
ENSTNIP00000020934	ENSTGUP00000012004
ENSTNIP00000014046	ENSTGUP00000007935
ENSTNIP00000008743	ENSTGUP00000003225
ENSTNIP00000022451	ENSTGUP00000005094
ENSTNIP00000002500	ENSTGUP00000007341
ENSTNIP00000002982	ENSTGUP00000008402
ENSTNIP00000003559	ENSTGUP00000011697
ENSTNIP00000015792	ENSTGUP00000003895
ENSTNIP00000001091	ENSTGUP00000011868
ENSTNIP00000005478	ENSTGUP00000015977
ENSTNIP00000020946	ENSTGUP00000012190
ENSTNIP00000005576	ENSTGUP00000007029
ENSTNIP00000017874	ENSTGUP00000003877
ENSTNIP00000007061	ENSTGUP00000003877
ENSTNIP00000022579	ENSTGUP00000003206
ENSTNIP00000007169	ENSTGUP00000003206
ENSTNIP00000010693	ENSTGUP00000004491
ENSTNIP00000010544	ENSTGUP00000006063
ENSTNIP00000003164	ENSTGUP00000004908
ENSTNIP00000004177	ENSTGUP00000006179
ENSTNIP00000011235	ENSTGUP00000015213
ENSTNIP00000009465	ENSTGUP00000011577
ENSTNIP00000014423	ENSTGUP00000007905
ENSTNIP00000003705	ENSTGUP00000003173
ENSTNIP00000008313	ENSTGUP00000000521
ENSTNIP00000010871	ENSTGUP00000013628
ENSTNIP00000011837	ENSTGUP00000000301
ENSTNIP00000015780	ENSTGUP00000007667
ENSTNIP00000011433	ENSTGUP00000014018
ENSTNIP00000019264	ENSTGUP00000014018
ENSTNIP00000017435	ENSTGUP00000011067
ENSTNIP00000015266	ENSTGUP00000013674
ENSTNIP00000003879	ENSTGUP00000013851
ENSTNIP00000001665	ENSTGUP00000010700
ENSTNIP00000012917	ENSTGUP00000007894
ENSTNIP00000007208	ENSTGUP00000007894
ENSTNIP00000009347	ENSTGUP00000003848
ENSTNIP00000014973	ENSTGUP00000003848
ENSTNIP00000008572	ENSTGUP00000012039
ENSTNIP00000019863	ENSTGUP00000008426
ENSTNIP00000007647	ENSTGUP00000006452
ENSTNIP00000014792	ENSTGUP00000006452
ENSTNIP00000019153	ENSTGUP00000005099
ENSTNIP00000009165	ENSTGUP00000008385
ENSTNIP00000012002	ENSTGUP00000008385
ENSTNIP00000013665	ENSTGUP00000012552
ENSTNIP00000011084	ENSTGUP00000015679
ENSTNIP00000009805	ENSTGUP00000015679
ENSTNIP00000021192	ENSTGUP00000004044
ENSTNIP00000011461	ENSTGUP00000016739
ENSTNIP00000013623	ENSTGUP00000013017
ENSTNIP00000017746	ENSTGUP00000010060
ENSTNIP00000018827	ENSTGUP00000006766
ENSTNIP00000005922	ENSTGUP00000007874
ENSTNIP00000014642	ENSTGUP00000002807
ENSTNIP00000018113	ENSTGUP00000015509
ENSTNIP00000017625	ENSTGUP00000015509
ENSTNIP00000020816	ENSTGUP00000008300
ENSTNIP00000008354	ENSTGUP00000000324
ENSTNIP00000011061	ENSTGUP00000013150
ENSTNIP00000012666	ENSTGUP00000015065
ENSTNIP00000015845	ENSTGUP00000015065
ENSTNIP00000015421	ENSTGUP00000002680
ENSTNIP00000015567	ENSTGUP00000015955
ENSTNIP00000018155	ENSTGUP00000015955
ENSTNIP00000008507	ENSTGUP00000017382
ENSTNIP00000008883	ENSTGUP00000007023
ENSTNIP00000012972	ENSTGUP00000000170
ENSTNIP00000012802	ENSTGUP00000012068
ENSTNIP00000015943	ENSTGUP00000001109
ENSTNIP00000019997	ENSTGUP00000013015
ENSTNIP00000005445	ENSTGUP00000014043
ENSTNIP00000000805	ENSTGUP00000011960
ENSTNIP00000010463	ENSTGUP00000003218
ENSTNIP00000018253	ENSTGUP00000002268
ENSTNIP00000017713	ENSTGUP00000007005
ENSTNIP00000011977	ENSTGUP00000003837
ENSTNIP00000005217	ENSTGUP00000009245
ENSTNIP00000014910	ENSTGUP00000008989
ENSTNIP00000014570	ENSTGUP00000005751
ENSTNIP00000012106	ENSTGUP00000001297
ENSTNIP00000012602	ENSTGUP00000013498
ENSTNIP00000021094	ENSTGUP00000003670
ENSTNIP00000017714	ENSTGUP00000003670
ENSTNIP00000012224	ENSTGUP00000009409
ENSTNIP00000021336	ENSTGUP00000003639
ENSTNIP00000008616	ENSTGUP00000003991
ENSTNIP00000016508	ENSTGUP00000006318
ENSTNIP00000020130	ENSTGUP00000011220
ENSTNIP00000002967	ENSTGUP00000011215
ENSTNIP00000018925	ENSTGUP00000015604
ENSTNIP00000011970	ENSTGUP00000015604
ENSTNIP00000011677	ENSTGUP00000005535
ENSTNIP00000010534	ENSTGUP00000005535
ENSTNIP00000009812	ENSTGUP00000007539
ENSTNIP00000013193	ENSTGUP00000013875
ENSTNIP00000009999	ENSTGUP00000009416
ENSTNIP00000021617	ENSTGUP00000008253
ENSTNIP00000012098	ENSTGUP00000008253
ENSTNIP00000022144	ENSTGUP00000008234
ENSTNIP00000006784	ENSTGUP00000006404
ENSTNIP00000021887	ENSTGUP00000006404
ENSTNIP00000013287	ENSTGUP00000002071
ENSTNIP00000004163	ENSTGUP00000007688
ENSTNIP00000007559	ENSTGUP00000003046
ENSTNIP00000019082	ENSTGUP00000005783
ENSTNIP00000021685	ENSTGUP00000005783
ENSTNIP00000022028	ENSTGUP00000010770
ENSTNIP00000007815	ENSTGUP00000010932
ENSTNIP00000015032	ENSTGUP00000006048
ENSTNIP00000006697	ENSTGUP00000012392
ENSTNIP00000017948	ENSTGUP00000000619
ENSTNIP00000005702	ENSTGUP00000000481
ENSTNIP00000021757	ENSTGUP00000004231
ENSTNIP00000019045	ENSTGUP00000001582
ENSTNIP00000015293	ENSTGUP00000010557
ENSTNIP00000009450	ENSTGUP00000007343
ENSTNIP00000020759	ENSTGUP00000000199
ENSTNIP00000002290	ENSTGUP00000011195
ENSTNIP00000004943	ENSTGUP00000001212
ENSTNIP00000011834	ENSTGUP00000002758
ENSTNIP00000003178	ENSTGUP00000006030
ENSTNIP00000012196	ENSTGUP00000006401
ENSTNIP00000005202	ENSTGUP00000011240
ENSTNIP00000009018	ENSTGUP00000007781
ENSTNIP00000007405	ENSTGUP00000013121
ENSTNIP00000012289	ENSTGUP00000010103
ENSTNIP00000017672	ENSTGUP00000011542
ENSTNIP00000003848	ENSTGUP00000013074
ENSTNIP00000019713	ENSTGUP00000007701
ENSTNIP00000016859	ENSTGUP00000001330
ENSTNIP00000019007	ENSTGUP00000006975
ENSTNIP00000015261	ENSTGUP00000012910
ENSTNIP00000013537	ENSTGUP00000004065
ENSTNIP00000009169	ENSTGUP00000005495
ENSTNIP00000001868	ENSTGUP00000009398
ENSTNIP00000014355	ENSTGUP00000012632
ENSTNIP00000015848	ENSTGUP00000009366
ENSTNIP00000021143	ENSTGUP00000009366
ENSTNIP00000018986	ENSTGUP00000010972
ENSTNIP00000008028	ENSTGUP00000002150
ENSTNIP00000020510	ENSTGUP00000011504
ENSTNIP00000007459	ENSTGUP00000011504
ENSTNIP00000016377	ENSTGUP00000003461
ENSTNIP00000017479	ENSTGUP00000003461
ENSTNIP00000014038	ENSTGUP00000014172
ENSTNIP00000015039	ENSTGUP00000007057
ENSTNIP00000013320	ENSTGUP00000004598
ENSTNIP00000022600	ENSTGUP00000007924
ENSTNIP00000002814	ENSTGUP00000007924
ENSTNIP00000008038	ENSTGUP00000012388
ENSTNIP00000001585	ENSTGUP00000001818
ENSTNIP00000008472	ENSTGUP00000008132
ENSTNIP00000013433	ENSTGUP00000009825
ENSTNIP00000008631	ENSTGUP00000003045
ENSTNIP00000018290	ENSTGUP00000001198
ENSTNIP00000016635	ENSTGUP00000001198
ENSTNIP00000005470	ENSTGUP00000007248
ENSTNIP00000013603	ENSTGUP00000000267
ENSTNIP00000006951	ENSTGUP00000000844
ENSTNIP00000007908	ENSTGUP00000000844
ENSTNIP00000002053	ENSTGUP00000010764
ENSTNIP00000022288	ENSTGUP00000004945
ENSTNIP00000014312	ENSTGUP00000010321
ENSTNIP00000020819	ENSTGUP00000008330
ENSTNIP00000011819	ENSTGUP00000005623
ENSTNIP00000017287	ENSTGUP00000011396
ENSTNIP00000007933	ENSTGUP00000004349
ENSTNIP00000016323	ENSTGUP00000011996
ENSTNIP00000012857	ENSTGUP00000013981
ENSTNIP00000020848	ENSTGUP00000013594
ENSTNIP00000013883	ENSTGUP00000012060
ENSTNIP00000014509	ENSTGUP00000012735
ENSTNIP00000008505	ENSTGUP00000005543
ENSTNIP00000018205	ENSTGUP00000003846
ENSTNIP00000000872	ENSTGUP00000010064
ENSTNIP00000002254	ENSTGUP00000010064
ENSTNIP00000022552	ENSTGUP00000011713
ENSTNIP00000022243	ENSTGUP00000005077
ENSTNIP00000005395	ENSTGUP00000004299
ENSTNIP00000007397	ENSTGUP00000009489
ENSTNIP00000011467	ENSTGUP00000009489
ENSTNIP00000003241	ENSTGUP00000003237
ENSTNIP00000020621	ENSTGUP00000001301
ENSTNIP00000017040	ENSTGUP00000001301
ENSTNIP00000005004	ENSTGUP00000013520
ENSTNIP00000010297	ENSTGUP00000015636
ENSTNIP00000020570	ENSTGUP00000012489
ENSTNIP00000016032	ENSTGUP00000008887
ENSTNIP00000021835	ENSTGUP00000008887
ENSTNIP00000012304	ENSTGUP00000012916
ENSTNIP00000014348	ENSTGUP00000012239
ENSTNIP00000011199	ENSTGUP00000006238
ENSTNIP00000009522	ENSTGUP00000001563
ENSTNIP00000013932	ENSTGUP00000010248
ENSTNIP00000021386	ENSTGUP00000000343
ENSTNIP00000004574	ENSTGUP00000006263
ENSTNIP00000010106	ENSTGUP00000005660
ENSTNIP00000015574	ENSTGUP00000005660
ENSTNIP00000002085	ENSTGUP00000009904
ENSTNIP00000022506	ENSTGUP00000011112
ENSTNIP00000008314	ENSTGUP00000000527
ENSTNIP00000012195	ENSTGUP00000006429
ENSTNIP00000021503	ENSTGUP00000017676
ENSTNIP00000020709	ENSTGUP00000017676
ENSTNIP00000009119	ENSTGUP00000004882
ENSTNIP00000022266	ENSTGUP00000009395
ENSTNIP00000015933	ENSTGUP00000000779
ENSTNIP00000020978	ENSTGUP00000016533
ENSTNIP00000012405	ENSTGUP00000007510
ENSTNIP00000006391	ENSTGUP00000010886
ENSTNIP00000022621	ENSTGUP00000011797
ENSTNIP00000016336	ENSTGUP00000011797
ENSTNIP00000016732	ENSTGUP00000012208
ENSTNIP00000016739	ENSTGUP00000008370
ENSTNIP00000012236	ENSTGUP00000008370
ENSTNIP00000018166	ENSTGUP00000001797
ENSTNIP00000009533	ENSTGUP00000012459
ENSTNIP00000014262	ENSTGUP00000001949
ENSTNIP00000017909	ENSTGUP00000010076
ENSTNIP00000022785	ENSTGUP00000009105
ENSTNIP00000015215	ENSTGUP00000011010
ENSTNIP00000009756	ENSTGUP00000006496
ENSTNIP00000008605	ENSTGUP00000006496
ENSTNIP00000000538	ENSTGUP00000001276
ENSTNIP00000012103	ENSTGUP00000001276
ENSTNIP00000006185	ENSTGUP00000013578
ENSTNIP00000022985	ENSTGUP00000009950
ENSTNIP00000010689	ENSTGUP00000009950
ENSTNIP00000002124	ENSTGUP00000010317
ENSTNIP00000007320	ENSTGUP00000009183
ENSTNIP00000012764	ENSTGUP00000004889
ENSTNIP00000005010	ENSTGUP00000012908
ENSTNIP00000019507	ENSTGUP00000012796
ENSTNIP00000001026	ENSTGUP00000004428
ENSTNIP00000011979	ENSTGUP00000003539
ENSTNIP00000006539	ENSTGUP00000003539
ENSTNIP00000009998	ENSTGUP00000009422
ENSTNIP00000019665	ENSTGUP00000008650
ENSTNIP00000018710	ENSTGUP00000000605
ENSTNIP00000003619	ENSTGUP00000008231
ENSTNIP00000009985	ENSTGUP00000001860
ENSTNIP00000002229	ENSTGUP00000011155
ENSTNIP00000001225	ENSTGUP00000008090
ENSTNIP00000014551	ENSTGUP00000008090
ENSTNIP00000000577	ENSTGUP00000012253
ENSTNIP00000020642	ENSTGUP00000007138
ENSTNIP00000018064	ENSTGUP00000007138
ENSTNIP00000010081	ENSTGUP00000017766
ENSTNIP00000010019	ENSTGUP00000006561
ENSTNIP00000010110	ENSTGUP00000003180
ENSTNIP00000018006	ENSTGUP00000003180
ENSTNIP00000005213	ENSTGUP00000010397
ENSTNIP00000020241	ENSTGUP00000006973
ENSTNIP00000009279	ENSTGUP00000003626
ENSTNIP00000005483	ENSTGUP00000003626
ENSTNIP00000006556	ENSTGUP00000010632
ENSTNIP00000013302	ENSTGUP00000010632
ENSTNIP00000004759	ENSTGUP00000004330
ENSTNIP00000021152	ENSTGUP00000004330
ENSTNIP00000009676	ENSTGUP00000012944
ENSTNIP00000022950	ENSTGUP00000006183
ENSTNIP00000019221	ENSTGUP00000006183
ENSTNIP00000016727	ENSTGUP00000003512
ENSTNIP00000019760	ENSTGUP00000010543
ENSTNIP00000007596	ENSTGUP00000012845
ENSTNIP00000018054	ENSTGUP00000014029
ENSTNIP00000022456	ENSTGUP00000011755
ENSTNIP00000006043	ENSTGUP00000011755
ENSTNIP00000016815	ENSTGUP00000005251
ENSTNIP00000022338	ENSTGUP00000009863
ENSTNIP00000014225	ENSTGUP00000005526
ENSTNIP00000014793	ENSTGUP00000005821
ENSTNIP00000013334	ENSTGUP00000005821
ENSTNIP00000007237	ENSTGUP00000001261
ENSTNIP00000020801	ENSTGUP00000007706
ENSTNIP00000020371	ENSTGUP00000012154
ENSTNIP00000015838	ENSTGUP00000004240
ENSTNIP00000008719	ENSTGUP00000004240
ENSTNIP00000019346	ENSTGUP00000000564
ENSTNIP00000014206	ENSTGUP00000001963
ENSTNIP00000015444	ENSTGUP00000007002
ENSTNIP00000021353	ENSTGUP00000016625
ENSTNIP00000010837	ENSTGUP00000016625
ENSTNIP00000009204	ENSTGUP00000006414
ENSTNIP00000011370	ENSTGUP00000006414
ENSTNIP00000016276	ENSTGUP00000010415
ENSTNIP00000016154	ENSTGUP00000010519
ENSTNIP00000009737	ENSTGUP00000010519
ENSTNIP00000019780	ENSTGUP00000000518
ENSTNIP00000008826	ENSTGUP00000016113
ENSTNIP00000015758	ENSTGUP00000000728
ENSTNIP00000018339	ENSTGUP00000008129
ENSTNIP00000017324	ENSTGUP00000008129
ENSTNIP00000007546	ENSTGUP00000009534
ENSTNIP00000012091	ENSTGUP00000011344
ENSTNIP00000012090	ENSTGUP00000001230
ENSTNIP00000012092	ENSTGUP00000001230
ENSTNIP00000009830	ENSTGUP00000004209
ENSTNIP00000014783	ENSTGUP00000005750
ENSTNIP00000008454	ENSTGUP00000011813
ENSTNIP00000007236	ENSTGUP00000001254
ENSTNIP00000016742	ENSTGUP00000008614
ENSTNIP00000007412	ENSTGUP00000010853
ENSTNIP00000007146	ENSTGUP00000005210
ENSTNIP00000009912	ENSTGUP00000005210
ENSTNIP00000012399	ENSTGUP00000007365
ENSTNIP00000018601	ENSTGUP00000000966
ENSTNIP00000023027	ENSTGUP00000010018
ENSTNIP00000007523	ENSTGUP00000010165
ENSTNIP00000006607	ENSTGUP00000010165
ENSTNIP00000006907	ENSTGUP00000015824
ENSTNIP00000003155	ENSTGUP00000015824
ENSTNIP00000022443	ENSTGUP00000014658
ENSTNIP00000016530	ENSTGUP00000007321
ENSTNIP00000022670	ENSTGUP00000014362
ENSTNIP00000011566	ENSTGUP00000001135
ENSTNIP00000010964	ENSTGUP00000001226
ENSTNIP00000010738	ENSTGUP00000000468
ENSTNIP00000015726	ENSTGUP00000000468
ENSTNIP00000010714	ENSTGUP00000008386
ENSTNIP00000020049	ENSTGUP00000008386
ENSTNIP00000021172	ENSTGUP00000006904
ENSTNIP00000014205	ENSTGUP00000010585
ENSTNIP00000014025	ENSTGUP00000009782
ENSTNIP00000015270	ENSTGUP00000012590
ENSTNIP00000012690	ENSTGUP00000001060
ENSTNIP00000008017	ENSTGUP00000001060
ENSTNIP00000011006	ENSTGUP00000011911
ENSTNIP00000007126	ENSTGUP00000012615
ENSTNIP00000014065	ENSTGUP00000009964
ENSTNIP00000020746	ENSTGUP00000005820
ENSTNIP00000010284	ENSTGUP00000000404
ENSTNIP00000018653	ENSTGUP00000001881
ENSTNIP00000013533	ENSTGUP00000010555
ENSTNIP00000016880	ENSTGUP00000010555
ENSTNIP00000018790	ENSTGUP00000011211
ENSTNIP00000015856	ENSTGUP00000009059
ENSTNIP00000003954	ENSTGUP00000005887
ENSTNIP00000007328	ENSTGUP00000011765
ENSTNIP00000021773	ENSTGUP00000005091
ENSTNIP00000022482	ENSTGUP00000000099
ENSTNIP00000013687	ENSTGUP00000008127
ENSTNIP00000017409	ENSTGUP00000008127
ENSTNIP00000020682	ENSTGUP00000009439
ENSTNIP00000020124	ENSTGUP00000008532
ENSTNIP00000022573	ENSTGUP00000006568
ENSTNIP00000007766	ENSTGUP00000010772
ENSTNIP00000021669	ENSTGUP00000002822
ENSTNIP00000018461	ENSTGUP00000009125
ENSTNIP00000001435	ENSTGUP00000005974
ENSTNIP00000015041	ENSTGUP00000008436
ENSTNIP00000016797	ENSTGUP00000004008
ENSTNIP00000012051	ENSTGUP00000013032
ENSTNIP00000013210	ENSTGUP00000011134
ENSTNIP00000021846	ENSTGUP00000011872
ENSTNIP00000011288	ENSTGUP00000003418
ENSTNIP00000011146	ENSTGUP00000005399
ENSTNIP00000023043	ENSTGUP00000007843
ENSTNIP00000005688	ENSTGUP00000013548
ENSTNIP00000020106	ENSTGUP00000000824
ENSTNIP00000018532	ENSTGUP00000000608
ENSTNIP00000018405	ENSTGUP00000000608
ENSTNIP00000018484	ENSTGUP00000002834
ENSTNIP00000019999	ENSTGUP00000011478
ENSTNIP00000018033	ENSTGUP00000012858
ENSTNIP00000020162	ENSTGUP00000012858
ENSTNIP00000007475	ENSTGUP00000008612
ENSTNIP00000017341	ENSTGUP00000005573
ENSTNIP00000017539	ENSTGUP00000012527
ENSTNIP00000016938	ENSTGUP00000013775
ENSTNIP00000014614	ENSTGUP00000003302
ENSTNIP00000019445	ENSTGUP00000012583
ENSTNIP00000019363	ENSTGUP00000012306
ENSTNIP00000002158	ENSTGUP00000012306
ENSTNIP00000007847	ENSTGUP00000008981
ENSTNIP00000007980	ENSTGUP00000013749
ENSTNIP00000017469	ENSTGUP00000016119
ENSTNIP00000004198	ENSTGUP00000014828
ENSTNIP00000009723	ENSTGUP00000012493
ENSTNIP00000012233	ENSTGUP00000008216
ENSTNIP00000015117	ENSTGUP00000012597
ENSTNIP00000014328	ENSTGUP00000010168
ENSTNIP00000005886	ENSTGUP00000010168
ENSTNIP00000020512	ENSTGUP00000013275
ENSTNIP00000021200	ENSTGUP00000003915
ENSTNIP00000011481	ENSTGUP00000004705
ENSTNIP00000008279	ENSTGUP00000004705
ENSTNIP00000007086	ENSTGUP00000001133
ENSTNIP00000016359	ENSTGUP00000005280
ENSTNIP00000013662	ENSTGUP00000012468
ENSTNIP00000020527	ENSTGUP00000012468
ENSTNIP00000007077	ENSTGUP00000012696
ENSTNIP00000005689	ENSTGUP00000013539
ENSTNIP00000016284	ENSTGUP00000012351
ENSTNIP00000021790	ENSTGUP00000008910
ENSTNIP00000012527	ENSTGUP00000008910
ENSTNIP00000007132	ENSTGUP00000000754
ENSTNIP00000011587	ENSTGUP00000006013
ENSTNIP00000005876	ENSTGUP00000005048
ENSTNIP00000005813	ENSTGUP00000005048
ENSTNIP00000015797	ENSTGUP00000003749
ENSTNIP00000004088	ENSTGUP00000008499
ENSTNIP00000007150	ENSTGUP00000007757
ENSTNIP00000005195	ENSTGUP00000011284
ENSTNIP00000005770	ENSTGUP00000014305
ENSTNIP00000001356	ENSTGUP00000007154
ENSTNIP00000019570	ENSTGUP00000007154
ENSTNIP00000012238	ENSTGUP00000008479
ENSTNIP00000021964	ENSTGUP00000010365
ENSTNIP00000011809	ENSTGUP00000006009
ENSTNIP00000017553	ENSTGUP00000005938
ENSTNIP00000018723	ENSTGUP00000005938
ENSTNIP00000018575	ENSTGUP00000000486
ENSTNIP00000007243	ENSTGUP00000004526
ENSTNIP00000013237	ENSTGUP00000013788
ENSTNIP00000016950	ENSTGUP00000013788
ENSTNIP00000012733	ENSTGUP00000009981
ENSTNIP00000005343	ENSTGUP00000010135
ENSTNIP00000014559	ENSTGUP00000004956
ENSTNIP00000021580	ENSTGUP00000006978
ENSTNIP00000012203	ENSTGUP00000006175
ENSTNIP00000009231	ENSTGUP00000001625
ENSTNIP00000019794	ENSTGUP00000001625
ENSTNIP00000018345	ENSTGUP00000005713
ENSTNIP00000014172	ENSTGUP00000004026
ENSTNIP00000009994	ENSTGUP00000003969
ENSTNIP00000016642	ENSTGUP00000001169
ENSTNIP00000011768	ENSTGUP00000012536
ENSTNIP00000022316	ENSTGUP00000008228
ENSTNIP00000019604	ENSTGUP00000007229
ENSTNIP00000016261	ENSTGUP00000007229
ENSTNIP00000022623	ENSTGUP00000008121
ENSTNIP00000013898	ENSTGUP00000011115
ENSTNIP00000020574	ENSTGUP00000011115
ENSTNIP00000021910	ENSTGUP00000005060
ENSTNIP00000011297	ENSTGUP00000003789
ENSTNIP00000007827	ENSTGUP00000005552
ENSTNIP00000020725	ENSTGUP00000005552
ENSTNIP00000003952	ENSTGUP00000005227
ENSTNIP00000015235	ENSTGUP00000011399
ENSTNIP00000000174	ENSTGUP00000010761
ENSTNIP00000002695	ENSTGUP00000005125
ENSTNIP00000014186	ENSTGUP00000005125
ENSTNIP00000020066	ENSTGUP00000008945
ENSTNIP00000005473	ENSTGUP00000002774
ENSTNIP00000011576	ENSTGUP00000000932
ENSTNIP00000009019	ENSTGUP00000007312
ENSTNIP00000009854	ENSTGUP00000016200
ENSTNIP00000014966	ENSTGUP00000016200
ENSTNIP00000022616	ENSTGUP00000011734
ENSTNIP00000018364	ENSTGUP00000017528
ENSTNIP00000020208	ENSTGUP00000000328
ENSTNIP00000019233	ENSTGUP00000000328
ENSTNIP00000022659	ENSTGUP00000004675
ENSTNIP00000016595	ENSTGUP00000004675
ENSTNIP00000017228	ENSTGUP00000007406
ENSTNIP00000012237	ENSTGUP00000008467
ENSTNIP00000006922	ENSTGUP00000008927
ENSTNIP00000013684	ENSTGUP00000008480
ENSTNIP00000014618	ENSTGUP00000006214
ENSTNIP00000009891	ENSTGUP00000005143
ENSTNIP00000003443	ENSTGUP00000005143
ENSTNIP00000012688	ENSTGUP00000001525
ENSTNIP00000009220	ENSTGUP00000004323
ENSTNIP00000008118	ENSTGUP00000014953
ENSTNIP00000011346	ENSTGUP00000011243
ENSTNIP00000022441	ENSTGUP00000016641
ENSTNIP00000014311	ENSTGUP00000016641
ENSTNIP00000014508	ENSTGUP00000009972
ENSTNIP00000010292	ENSTGUP00000005916
ENSTNIP00000014543	ENSTGUP00000009055
ENSTNIP00000014462	ENSTGUP00000009055
ENSTNIP00000008276	ENSTGUP00000009249
ENSTNIP00000021142	ENSTGUP00000009249
ENSTNIP00000013437	ENSTGUP00000011402
ENSTNIP00000003411	ENSTGUP00000002410
ENSTNIP00000007124	ENSTGUP00000008835
ENSTNIP00000006341	ENSTGUP00000008008
ENSTNIP00000001548	ENSTGUP00000008008
ENSTNIP00000005390	ENSTGUP00000010891
ENSTNIP00000003213	ENSTGUP00000013269
ENSTNIP00000016784	ENSTGUP00000010574
ENSTNIP00000018557	ENSTGUP00000008905
ENSTNIP00000019504	ENSTGUP00000012819
ENSTNIP00000010434	ENSTGUP00000001551
ENSTNIP00000015966	ENSTGUP00000004097
ENSTNIP00000012495	ENSTGUP00000006530
ENSTNIP00000010149	ENSTGUP00000006528
ENSTNIP00000014370	ENSTGUP00000009133
ENSTNIP00000001893	ENSTGUP00000010022
ENSTNIP00000018828	ENSTGUP00000006757
ENSTNIP00000017999	ENSTGUP00000002107
ENSTNIP00000021529	ENSTGUP00000001407
ENSTNIP00000003941	ENSTGUP00000000781
ENSTNIP00000001210	ENSTGUP00000007638
ENSTNIP00000018580	ENSTGUP00000001037
ENSTNIP00000001288	ENSTGUP00000001037
ENSTNIP00000014827	ENSTGUP00000005219
ENSTNIP00000012671	ENSTGUP00000005219
ENSTNIP00000013238	ENSTGUP00000013787
ENSTNIP00000016949	ENSTGUP00000013787
ENSTNIP00000017865	ENSTGUP00000015315
ENSTNIP00000002793	ENSTGUP00000003252
ENSTNIP00000011068	ENSTGUP00000003656
ENSTNIP00000021290	ENSTGUP00000003584
ENSTNIP00000006625	ENSTGUP00000005889
ENSTNIP00000006571	ENSTGUP00000008955
ENSTNIP00000017190	ENSTGUP00000007086
ENSTNIP00000010257	ENSTGUP00000011527
ENSTNIP00000020284	ENSTGUP00000012793
ENSTNIP00000015343	ENSTGUP00000013360
ENSTNIP00000011750	ENSTGUP00000003325
ENSTNIP00000015198	ENSTGUP00000003325
ENSTNIP00000015303	ENSTGUP00000004273
ENSTNIP00000018418	ENSTGUP00000004251
ENSTNIP00000007918	ENSTGUP00000010536
ENSTNIP00000015055	ENSTGUP00000010536
ENSTNIP00000008519	ENSTGUP00000009448
ENSTNIP00000012214	ENSTGUP00000008344
ENSTNIP00000005607	ENSTGUP00000004310
ENSTNIP00000003731	ENSTGUP00000003288
ENSTNIP00000017723	ENSTGUP00000006451
ENSTNIP00000015304	ENSTGUP00000004237
