ENSORLP00000017023	ENSGALP00000006197
ENSORLP00000003248	ENSGALP00000005381
ENSORLP00000018535	ENSGALP00000005381
ENSORLP00000002745	ENSGALP00000001096
ENSORLP00000008465	ENSGALP00000017170
ENSORLP00000022783	ENSGALP00000025880
ENSORLP00000000833	ENSGALP00000025880
ENSORLP00000020987	ENSGALP00000039913
ENSORLP00000010315	ENSGALP00000039913
ENSORLP00000020664	ENSGALP00000022616
ENSORLP00000010060	ENSGALP00000003891
ENSORLP00000022287	ENSGALP00000041204
ENSORLP00000018553	ENSGALP00000041204
ENSORLP00000018341	ENSGALP00000001262
ENSORLP00000013944	ENSGALP00000040623
ENSORLP00000016911	ENSGALP00000024627
ENSORLP00000002703	ENSGALP00000009047
ENSORLP00000011267	ENSGALP00000003646
ENSORLP00000012825	ENSGALP00000022108
ENSORLP00000023289	ENSGALP00000022108
ENSORLP00000003945	ENSGALP00000027552
ENSORLP00000013053	ENSGALP00000023284
ENSORLP00000012532	ENSGALP00000017952
ENSORLP00000020802	ENSGALP00000021824
ENSORLP00000006196	ENSGALP00000017115
ENSORLP00000006735	ENSGALP00000023190
ENSORLP00000002480	ENSGALP00000036966
ENSORLP00000002795	ENSGALP00000019366
ENSORLP00000005030	ENSGALP00000027492
ENSORLP00000012040	ENSGALP00000005475
ENSORLP00000012009	ENSGALP00000033677
ENSORLP00000016800	ENSGALP00000020426
ENSORLP00000013232	ENSGALP00000020426
ENSORLP00000021360	ENSGALP00000038334
ENSORLP00000017970	ENSGALP00000027391
ENSORLP00000020441	ENSGALP00000009970
ENSORLP00000005000	ENSGALP00000007314
ENSORLP00000019233	ENSGALP00000001312
ENSORLP00000009186	ENSGALP00000016076
ENSORLP00000012019	ENSGALP00000013681
ENSORLP00000008398	ENSGALP00000013190
ENSORLP00000018149	ENSGALP00000003342
ENSORLP00000002603	ENSGALP00000039305
ENSORLP00000016152	ENSGALP00000001702
ENSORLP00000012319	ENSGALP00000036860
ENSORLP00000021330	ENSGALP00000019012
ENSORLP00000012815	ENSGALP00000004490
ENSORLP00000002988	ENSGALP00000007139
ENSORLP00000024633	ENSGALP00000025348
ENSORLP00000015744	ENSGALP00000025348
ENSORLP00000000363	ENSGALP00000002228
ENSORLP00000006545	ENSGALP00000002228
ENSORLP00000017968	ENSGALP00000001051
ENSORLP00000013508	ENSGALP00000023938
ENSORLP00000005827	ENSGALP00000041541
ENSORLP00000015906	ENSGALP00000002189
ENSORLP00000007911	ENSGALP00000020696
ENSORLP00000014421	ENSGALP00000003111
ENSORLP00000017492	ENSGALP00000011635
ENSORLP00000022178	ENSGALP00000011635
ENSORLP00000023350	ENSGALP00000027988
ENSORLP00000001513	ENSGALP00000027988
ENSORLP00000017310	ENSGALP00000003371
ENSORLP00000004432	ENSGALP00000041951
ENSORLP00000005929	ENSGALP00000043342
ENSORLP00000017922	ENSGALP00000027954
ENSORLP00000000768	ENSGALP00000027954
ENSORLP00000002339	ENSGALP00000000971
ENSORLP00000012719	ENSGALP00000027436
ENSORLP00000020670	ENSGALP00000022613
ENSORLP00000019072	ENSGALP00000001658
ENSORLP00000001106	ENSGALP00000041630
ENSORLP00000011541	ENSGALP00000020491
ENSORLP00000024539	ENSGALP00000015287
ENSORLP00000010889	ENSGALP00000024623
ENSORLP00000010565	ENSGALP00000042077
ENSORLP00000006291	ENSGALP00000007246
ENSORLP00000024234	ENSGALP00000019534
ENSORLP00000022019	ENSGALP00000019534
ENSORLP00000005117	ENSGALP00000008383
ENSORLP00000013171	ENSGALP00000008383
ENSORLP00000017084	ENSGALP00000008417
ENSORLP00000011114	ENSGALP00000042275
ENSORLP00000004919	ENSGALP00000042481
ENSORLP00000018428	ENSGALP00000013730
ENSORLP00000012362	ENSGALP00000018081
ENSORLP00000012806	ENSGALP00000043426
ENSORLP00000012222	ENSGALP00000009161
ENSORLP00000003122	ENSGALP00000016142
ENSORLP00000008261	ENSGALP00000020819
ENSORLP00000014926	ENSGALP00000016521
ENSORLP00000000120	ENSGALP00000020312
ENSORLP00000025012	ENSGALP00000020312
ENSORLP00000008704	ENSGALP00000025229
ENSORLP00000004063	ENSGALP00000012961
ENSORLP00000012205	ENSGALP00000012961
ENSORLP00000012582	ENSGALP00000009899
ENSORLP00000015190	ENSGALP00000022298
ENSORLP00000016389	ENSGALP00000027609
ENSORLP00000002119	ENSGALP00000012750
ENSORLP00000017107	ENSGALP00000005649
ENSORLP00000006458	ENSGALP00000021516
ENSORLP00000025807	ENSGALP00000026030
ENSORLP00000013861	ENSGALP00000020927
ENSORLP00000022991	ENSGALP00000033974
ENSORLP00000002521	ENSGALP00000042361
ENSORLP00000015545	ENSGALP00000042361
ENSORLP00000004082	ENSGALP00000030056
ENSORLP00000016341	ENSGALP00000030056
ENSORLP00000013831	ENSGALP00000012678
ENSORLP00000004429	ENSGALP00000006494
ENSORLP00000022085	ENSGALP00000006494
ENSORLP00000022302	ENSGALP00000007102
ENSORLP00000020248	ENSGALP00000019779
ENSORLP00000003080	ENSGALP00000038747
ENSORLP00000003735	ENSGALP00000038747
ENSORLP00000005383	ENSGALP00000019969
ENSORLP00000011655	ENSGALP00000027022
ENSORLP00000011589	ENSGALP00000014376
ENSORLP00000007458	ENSGALP00000022268
ENSORLP00000009686	ENSGALP00000006474
ENSORLP00000023555	ENSGALP00000020364
ENSORLP00000023091	ENSGALP00000039652
ENSORLP00000010421	ENSGALP00000015051
ENSORLP00000019580	ENSGALP00000035888
ENSORLP00000006577	ENSGALP00000019178
ENSORLP00000019615	ENSGALP00000011711
ENSORLP00000019638	ENSGALP00000002699
ENSORLP00000023819	ENSGALP00000002030
ENSORLP00000011632	ENSGALP00000041622
ENSORLP00000000924	ENSGALP00000007181
ENSORLP00000012464	ENSGALP00000015485
ENSORLP00000020043	ENSGALP00000022199
ENSORLP00000001708	ENSGALP00000010910
ENSORLP00000000496	ENSGALP00000010140
ENSORLP00000017742	ENSGALP00000008427
ENSORLP00000006574	ENSGALP00000024723
ENSORLP00000006790	ENSGALP00000024723
ENSORLP00000009555	ENSGALP00000010929
ENSORLP00000018186	ENSGALP00000010929
ENSORLP00000004806	ENSGALP00000024142
ENSORLP00000004111	ENSGALP00000041636
ENSORLP00000017935	ENSGALP00000041636
ENSORLP00000021819	ENSGALP00000006431
ENSORLP00000025339	ENSGALP00000027264
ENSORLP00000020353	ENSGALP00000016926
ENSORLP00000021165	ENSGALP00000015071
ENSORLP00000017554	ENSGALP00000041185
ENSORLP00000006677	ENSGALP00000040722
ENSORLP00000009375	ENSGALP00000007382
ENSORLP00000018641	ENSGALP00000019231
ENSORLP00000005890	ENSGALP00000006671
ENSORLP00000014414	ENSGALP00000043246
ENSORLP00000009360	ENSGALP00000006365
ENSORLP00000022641	ENSGALP00000017201
ENSORLP00000020384	ENSGALP00000023169
ENSORLP00000020466	ENSGALP00000035839
ENSORLP00000004514	ENSGALP00000035839
ENSORLP00000017296	ENSGALP00000040812
ENSORLP00000004596	ENSGALP00000024377
ENSORLP00000015948	ENSGALP00000024377
ENSORLP00000013252	ENSGALP00000006378
ENSORLP00000019334	ENSGALP00000013993
ENSORLP00000021446	ENSGALP00000014741
ENSORLP00000020101	ENSGALP00000026933
ENSORLP00000008423	ENSGALP00000024760
ENSORLP00000005238	ENSGALP00000023916
ENSORLP00000009270	ENSGALP00000016204
ENSORLP00000017950	ENSGALP00000042038
ENSORLP00000006614	ENSGALP00000041380
ENSORLP00000021635	ENSGALP00000015559
ENSORLP00000019425	ENSGALP00000018802
ENSORLP00000003806	ENSGALP00000013782
ENSORLP00000003105	ENSGALP00000016146
ENSORLP00000007049	ENSGALP00000016146
ENSORLP00000020722	ENSGALP00000017392
ENSORLP00000014476	ENSGALP00000002144
ENSORLP00000014405	ENSGALP00000002109
ENSORLP00000013899	ENSGALP00000035933
ENSORLP00000021694	ENSGALP00000035933
ENSORLP00000015144	ENSGALP00000028353
ENSORLP00000005778	ENSGALP00000006798
ENSORLP00000018137	ENSGALP00000004473
ENSORLP00000023296	ENSGALP00000006162
ENSORLP00000005365	ENSGALP00000020574
ENSORLP00000014954	ENSGALP00000009323
ENSORLP00000016976	ENSGALP00000023825
ENSORLP00000017720	ENSGALP00000032851
ENSORLP00000002627	ENSGALP00000017255
ENSORLP00000025331	ENSGALP00000027189
ENSORLP00000024062	ENSGALP00000027658
ENSORLP00000004632	ENSGALP00000024921
ENSORLP00000005521	ENSGALP00000001485
ENSORLP00000002270	ENSGALP00000043116
ENSORLP00000002338	ENSGALP00000024006
ENSORLP00000014491	ENSGALP00000024006
ENSORLP00000022087	ENSGALP00000006352
ENSORLP00000015110	ENSGALP00000020005
ENSORLP00000009853	ENSGALP00000043142
ENSORLP00000006295	ENSGALP00000024696
ENSORLP00000011817	ENSGALP00000013147
ENSORLP00000012854	ENSGALP00000004609
ENSORLP00000011247	ENSGALP00000023859
ENSORLP00000001650	ENSGALP00000015059
ENSORLP00000006333	ENSGALP00000036014
ENSORLP00000011186	ENSGALP00000036014
ENSORLP00000022262	ENSGALP00000036811
ENSORLP00000014172	ENSGALP00000018382
ENSORLP00000019753	ENSGALP00000019417
ENSORLP00000020315	ENSGALP00000015303
ENSORLP00000019444	ENSGALP00000007553
ENSORLP00000013988	ENSGALP00000007415
ENSORLP00000012561	ENSGALP00000000694
ENSORLP00000022319	ENSGALP00000036465
ENSORLP00000016032	ENSGALP00000036465
ENSORLP00000012372	ENSGALP00000041070
ENSORLP00000001473	ENSGALP00000008938
ENSORLP00000007979	ENSGALP00000024815
ENSORLP00000001762	ENSGALP00000010707
ENSORLP00000006883	ENSGALP00000000494
ENSORLP00000008632	ENSGALP00000010010
ENSORLP00000019742	ENSGALP00000001221
ENSORLP00000011470	ENSGALP00000041851
ENSORLP00000008530	ENSGALP00000041851
ENSORLP00000010005	ENSGALP00000001055
ENSORLP00000016138	ENSGALP00000022126
ENSORLP00000004021	ENSGALP00000012980
ENSORLP00000022152	ENSGALP00000016315
ENSORLP00000013616	ENSGALP00000026904
ENSORLP00000014792	ENSGALP00000001832
ENSORLP00000019845	ENSGALP00000016398
ENSORLP00000001421	ENSGALP00000011947
ENSORLP00000021683	ENSGALP00000033069
ENSORLP00000007321	ENSGALP00000002091
ENSORLP00000011224	ENSGALP00000039428
ENSORLP00000017850	ENSGALP00000017056
ENSORLP00000002357	ENSGALP00000013675
ENSORLP00000006748	ENSGALP00000025503
ENSORLP00000002587	ENSGALP00000025502
ENSORLP00000021247	ENSGALP00000025502
ENSORLP00000005051	ENSGALP00000018269
ENSORLP00000003765	ENSGALP00000003731
ENSORLP00000007792	ENSGALP00000000545
ENSORLP00000000534	ENSGALP00000000545
ENSORLP00000025014	ENSGALP00000005794
ENSORLP00000023046	ENSGALP00000005794
ENSORLP00000004584	ENSGALP00000024208
ENSORLP00000023370	ENSGALP00000016102
ENSORLP00000005779	ENSGALP00000027276
ENSORLP00000019283	ENSGALP00000012035
ENSORLP00000000380	ENSGALP00000038139
ENSORLP00000016337	ENSGALP00000041715
ENSORLP00000011234	ENSGALP00000041715
ENSORLP00000000404	ENSGALP00000003277
ENSORLP00000010156	ENSGALP00000020417
ENSORLP00000019350	ENSGALP00000010467
ENSORLP00000020369	ENSGALP00000010467
ENSORLP00000006817	ENSGALP00000012899
ENSORLP00000013108	ENSGALP00000017306
ENSORLP00000011033	ENSGALP00000027569
ENSORLP00000010839	ENSGALP00000024954
ENSORLP00000018382	ENSGALP00000009213
ENSORLP00000012218	ENSGALP00000009213
ENSORLP00000017958	ENSGALP00000001412
ENSORLP00000000765	ENSGALP00000011399
ENSORLP00000022963	ENSGALP00000011399
ENSORLP00000005996	ENSGALP00000023225
ENSORLP00000014275	ENSGALP00000004917
ENSORLP00000012341	ENSGALP00000014328
ENSORLP00000001385	ENSGALP00000013850
ENSORLP00000008971	ENSGALP00000011677
ENSORLP00000012770	ENSGALP00000027438
ENSORLP00000011639	ENSGALP00000008268
ENSORLP00000014777	ENSGALP00000014383
ENSORLP00000011409	ENSGALP00000014935
ENSORLP00000022729	ENSGALP00000015358
ENSORLP00000009205	ENSGALP00000016156
ENSORLP00000006951	ENSGALP00000005982
ENSORLP00000023345	ENSGALP00000003428
ENSORLP00000007496	ENSGALP00000006999
ENSORLP00000005624	ENSGALP00000005059
ENSORLP00000025492	ENSGALP00000037170
ENSORLP00000013878	ENSGALP00000020620
ENSORLP00000001089	ENSGALP00000014001
ENSORLP00000001552	ENSGALP00000039758
ENSORLP00000017675	ENSGALP00000020138
ENSORLP00000006205	ENSGALP00000030175
ENSORLP00000006352	ENSGALP00000042161
ENSORLP00000010309	ENSGALP00000039891
ENSORLP00000005146	ENSGALP00000041744
ENSORLP00000012308	ENSGALP00000019095
ENSORLP00000011744	ENSGALP00000008440
ENSORLP00000014035	ENSGALP00000035739
ENSORLP00000020821	ENSGALP00000008879
ENSORLP00000012196	ENSGALP00000026281
ENSORLP00000015982	ENSGALP00000018518
ENSORLP00000022596	ENSGALP00000034451
ENSORLP00000009862	ENSGALP00000005887
ENSORLP00000006891	ENSGALP00000005887
ENSORLP00000012978	ENSGALP00000013813
ENSORLP00000002873	ENSGALP00000013813
ENSORLP00000003557	ENSGALP00000019952
ENSORLP00000007985	ENSGALP00000041920
ENSORLP00000021646	ENSGALP00000022533
ENSORLP00000006008	ENSGALP00000032457
ENSORLP00000004020	ENSGALP00000022193
ENSORLP00000025678	ENSGALP00000022193
ENSORLP00000019393	ENSGALP00000007200
ENSORLP00000020263	ENSGALP00000007200
ENSORLP00000020160	ENSGALP00000012655
ENSORLP00000020418	ENSGALP00000026600
ENSORLP00000017369	ENSGALP00000026342
ENSORLP00000018703	ENSGALP00000002206
ENSORLP00000003121	ENSGALP00000040717
ENSORLP00000010358	ENSGALP00000024834
ENSORLP00000010790	ENSGALP00000007799
ENSORLP00000018379	ENSGALP00000001472
ENSORLP00000008025	ENSGALP00000002825
ENSORLP00000004446	ENSGALP00000007323
ENSORLP00000024471	ENSGALP00000015277
ENSORLP00000021169	ENSGALP00000026127
ENSORLP00000008097	ENSGALP00000018767
ENSORLP00000000429	ENSGALP00000018767
ENSORLP00000004449	ENSGALP00000026611
ENSORLP00000001227	ENSGALP00000041323
ENSORLP00000020164	ENSGALP00000017341
ENSORLP00000010222	ENSGALP00000022058
ENSORLP00000005776	ENSGALP00000027791
ENSORLP00000008205	ENSGALP00000014739
ENSORLP00000018205	ENSGALP00000010935
ENSORLP00000009540	ENSGALP00000010935
ENSORLP00000023811	ENSGALP00000001381
ENSORLP00000017035	ENSGALP00000027769
ENSORLP00000020445	ENSGALP00000000002
ENSORLP00000019236	ENSGALP00000020656
ENSORLP00000008154	ENSGALP00000017216
ENSORLP00000005571	ENSGALP00000004993
ENSORLP00000007869	ENSGALP00000042047
ENSORLP00000006661	ENSGALP00000018472
ENSORLP00000004078	ENSGALP00000035061
ENSORLP00000000976	ENSGALP00000042643
ENSORLP00000020199	ENSGALP00000014616
ENSORLP00000007337	ENSGALP00000042723
ENSORLP00000001624	ENSGALP00000042723
ENSORLP00000018408	ENSGALP00000019662
ENSORLP00000001377	ENSGALP00000016032
ENSORLP00000003554	ENSGALP00000000272
ENSORLP00000015073	ENSGALP00000019045
ENSORLP00000004075	ENSGALP00000026206
ENSORLP00000010125	ENSGALP00000026206
ENSORLP00000005894	ENSGALP00000004298
ENSORLP00000016965	ENSGALP00000018391
ENSORLP00000005907	ENSGALP00000019540
ENSORLP00000019315	ENSGALP00000006521
ENSORLP00000024717	ENSGALP00000015128
ENSORLP00000020586	ENSGALP00000018692
ENSORLP00000007969	ENSGALP00000028721
ENSORLP00000001371	ENSGALP00000042443
ENSORLP00000019923	ENSGALP00000020972
ENSORLP00000000360	ENSGALP00000025312
ENSORLP00000002647	ENSGALP00000042650
ENSORLP00000010561	ENSGALP00000011997
ENSORLP00000015469	ENSGALP00000011997
ENSORLP00000014010	ENSGALP00000001890
ENSORLP00000019596	ENSGALP00000041330
ENSORLP00000012400	ENSGALP00000043238
ENSORLP00000014703	ENSGALP00000043238
ENSORLP00000011560	ENSGALP00000021949
ENSORLP00000015154	ENSGALP00000021949
ENSORLP00000012214	ENSGALP00000003498
ENSORLP00000011268	ENSGALP00000001555
ENSORLP00000006459	ENSGALP00000009493
ENSORLP00000004180	ENSGALP00000005409
ENSORLP00000009583	ENSGALP00000041455
ENSORLP00000025629	ENSGALP00000025753
ENSORLP00000018144	ENSGALP00000006796
ENSORLP00000020878	ENSGALP00000018646
ENSORLP00000012263	ENSGALP00000040798
ENSORLP00000007208	ENSGALP00000002536
ENSORLP00000022644	ENSGALP00000022913
ENSORLP00000019787	ENSGALP00000026980
ENSORLP00000024448	ENSGALP00000036453
ENSORLP00000024453	ENSGALP00000036460
ENSORLP00000010822	ENSGALP00000029836
ENSORLP00000019968	ENSGALP00000000796
ENSORLP00000020793	ENSGALP00000008844
ENSORLP00000019352	ENSGALP00000008844
ENSORLP00000014795	ENSGALP00000008248
ENSORLP00000021237	ENSGALP00000024352
ENSORLP00000017699	ENSGALP00000007897
ENSORLP00000010606	ENSGALP00000000140
ENSORLP00000018783	ENSGALP00000031301
ENSORLP00000020810	ENSGALP00000016730
ENSORLP00000005808	ENSGALP00000006852
ENSORLP00000012156	ENSGALP00000006852
ENSORLP00000013816	ENSGALP00000041228
ENSORLP00000009296	ENSGALP00000041228
ENSORLP00000014946	ENSGALP00000032624
ENSORLP00000012931	ENSGALP00000016263
ENSORLP00000016954	ENSGALP00000034599
ENSORLP00000020360	ENSGALP00000023177
ENSORLP00000005426	ENSGALP00000023177
ENSORLP00000006343	ENSGALP00000004850
ENSORLP00000021224	ENSGALP00000039752
ENSORLP00000021641	ENSGALP00000043280
ENSORLP00000018138	ENSGALP00000021121
ENSORLP00000019690	ENSGALP00000042551
ENSORLP00000019696	ENSGALP00000036623
ENSORLP00000007661	ENSGALP00000040476
ENSORLP00000012128	ENSGALP00000040476
ENSORLP00000002892	ENSGALP00000032253
ENSORLP00000011226	ENSGALP00000035860
ENSORLP00000024597	ENSGALP00000020160
ENSORLP00000002994	ENSGALP00000004601
ENSORLP00000025687	ENSGALP00000026381
ENSORLP00000015770	ENSGALP00000002514
ENSORLP00000004907	ENSGALP00000036411
ENSORLP00000014019	ENSGALP00000015086
ENSORLP00000015646	ENSGALP00000015086
ENSORLP00000004667	ENSGALP00000026759
ENSORLP00000007841	ENSGALP00000011212
ENSORLP00000008284	ENSGALP00000026288
ENSORLP00000019964	ENSGALP00000019655
ENSORLP00000006671	ENSGALP00000028008
ENSORLP00000003490	ENSGALP00000028008
ENSORLP00000010019	ENSGALP00000001243
ENSORLP00000015895	ENSGALP00000017976
ENSORLP00000022633	ENSGALP00000016230
ENSORLP00000011716	ENSGALP00000004554
ENSORLP00000003820	ENSGALP00000021749
ENSORLP00000016280	ENSGALP00000015840
ENSORLP00000010356	ENSGALP00000029511
ENSORLP00000012995	ENSGALP00000006522
ENSORLP00000001882	ENSGALP00000022073
ENSORLP00000016444	ENSGALP00000022081
ENSORLP00000023337	ENSGALP00000001840
ENSORLP00000005061	ENSGALP00000042809
ENSORLP00000019187	ENSGALP00000030970
ENSORLP00000022679	ENSGALP00000030970
ENSORLP00000010320	ENSGALP00000033816
ENSORLP00000006688	ENSGALP00000033816
ENSORLP00000005305	ENSGALP00000003444
ENSORLP00000024974	ENSGALP00000010661
ENSORLP00000003387	ENSGALP00000022924
ENSORLP00000023999	ENSGALP00000008717
ENSORLP00000010863	ENSGALP00000018435
ENSORLP00000003379	ENSGALP00000027746
ENSORLP00000018328	ENSGALP00000019982
ENSORLP00000013259	ENSGALP00000018206
ENSORLP00000001922	ENSGALP00000005241
ENSORLP00000006918	ENSGALP00000041632
ENSORLP00000021449	ENSGALP00000017133
ENSORLP00000010130	ENSGALP00000001024
ENSORLP00000022618	ENSGALP00000036655
ENSORLP00000020645	ENSGALP00000043006
ENSORLP00000010073	ENSGALP00000030247
ENSORLP00000017319	ENSGALP00000015342
ENSORLP00000015833	ENSGALP00000005141
ENSORLP00000010249	ENSGALP00000006652
ENSORLP00000011378	ENSGALP00000024554
ENSORLP00000017386	ENSGALP00000009676
ENSORLP00000002021	ENSGALP00000026689
ENSORLP00000010413	ENSGALP00000024129
ENSORLP00000000115	ENSGALP00000004163
ENSORLP00000011519	ENSGALP00000014240
ENSORLP00000005499	ENSGALP00000035996
ENSORLP00000024188	ENSGALP00000023211
ENSORLP00000010438	ENSGALP00000041899
ENSORLP00000012428	ENSGALP00000015904
ENSORLP00000009922	ENSGALP00000042103
ENSORLP00000019196	ENSGALP00000018368
ENSORLP00000024687	ENSGALP00000043060
ENSORLP00000004490	ENSGALP00000017179
ENSORLP00000015598	ENSGALP00000025937
ENSORLP00000022216	ENSGALP00000025937
ENSORLP00000003107	ENSGALP00000038618
ENSORLP00000012600	ENSGALP00000026563
ENSORLP00000014199	ENSGALP00000042862
ENSORLP00000021351	ENSGALP00000017702
ENSORLP00000005987	ENSGALP00000027103
ENSORLP00000006077	ENSGALP00000024809
ENSORLP00000009623	ENSGALP00000016361
ENSORLP00000018630	ENSGALP00000000894
ENSORLP00000025685	ENSGALP00000026394
ENSORLP00000021884	ENSGALP00000023039
ENSORLP00000006699	ENSGALP00000042134
ENSORLP00000013811	ENSGALP00000029937
ENSORLP00000010489	ENSGALP00000014205
ENSORLP00000016253	ENSGALP00000025363
ENSORLP00000022988	ENSGALP00000026776
ENSORLP00000020264	ENSGALP00000026776
ENSORLP00000004340	ENSGALP00000042772
ENSORLP00000021076	ENSGALP00000041476
ENSORLP00000006552	ENSGALP00000020536
ENSORLP00000010096	ENSGALP00000003966
ENSORLP00000005336	ENSGALP00000040567
ENSORLP00000007549	ENSGALP00000041215
ENSORLP00000017973	ENSGALP00000021432
ENSORLP00000019755	ENSGALP00000040769
ENSORLP00000019754	ENSGALP00000013176
ENSORLP00000002059	ENSGALP00000021249
ENSORLP00000009437	ENSGALP00000022893
ENSORLP00000020730	ENSGALP00000022592
ENSORLP00000016013	ENSGALP00000025609
ENSORLP00000005949	ENSGALP00000004831
ENSORLP00000016890	ENSGALP00000007671
ENSORLP00000022125	ENSGALP00000039286
ENSORLP00000017549	ENSGALP00000039286
ENSORLP00000021246	ENSGALP00000034141
ENSORLP00000008101	ENSGALP00000010268
ENSORLP00000017211	ENSGALP00000004056
ENSORLP00000013572	ENSGALP00000004056
ENSORLP00000005441	ENSGALP00000035077
ENSORLP00000015801	ENSGALP00000015633
ENSORLP00000004032	ENSGALP00000024919
ENSORLP00000018299	ENSGALP00000037834
ENSORLP00000009052	ENSGALP00000040085
ENSORLP00000015153	ENSGALP00000023627
ENSORLP00000007719	ENSGALP00000023627
ENSORLP00000011883	ENSGALP00000039032
ENSORLP00000008216	ENSGALP00000004480
ENSORLP00000009194	ENSGALP00000007644
ENSORLP00000006833	ENSGALP00000024722
ENSORLP00000006764	ENSGALP00000024722
ENSORLP00000014650	ENSGALP00000014293
ENSORLP00000016255	ENSGALP00000026854
ENSORLP00000008757	ENSGALP00000027915
ENSORLP00000011912	ENSGALP00000041768
ENSORLP00000008262	ENSGALP00000026457
ENSORLP00000003223	ENSGALP00000026457
ENSORLP00000016085	ENSGALP00000003263
ENSORLP00000004439	ENSGALP00000003263
ENSORLP00000013553	ENSGALP00000025413
ENSORLP00000018778	ENSGALP00000003447
ENSORLP00000012357	ENSGALP00000038853
ENSORLP00000024331	ENSGALP00000015166
ENSORLP00000021121	ENSGALP00000016723
ENSORLP00000011633	ENSGALP00000020756
ENSORLP00000011814	ENSGALP00000040703
ENSORLP00000012193	ENSGALP00000006684
ENSORLP00000005850	ENSGALP00000006684
ENSORLP00000008524	ENSGALP00000041711
ENSORLP00000007971	ENSGALP00000006037
ENSORLP00000021902	ENSGALP00000031018
ENSORLP00000001035	ENSGALP00000007927
ENSORLP00000015867	ENSGALP00000008290
ENSORLP00000005556	ENSGALP00000004979
ENSORLP00000009639	ENSGALP00000009605
ENSORLP00000025040	ENSGALP00000009605
ENSORLP00000000301	ENSGALP00000022788
ENSORLP00000004896	ENSGALP00000027526
ENSORLP00000004443	ENSGALP00000027526
ENSORLP00000006347	ENSGALP00000040427
ENSORLP00000015626	ENSGALP00000025936
ENSORLP00000009648	ENSGALP00000037676
ENSORLP00000004552	ENSGALP00000037676
ENSORLP00000017138	ENSGALP00000033359
ENSORLP00000024023	ENSGALP00000040875
ENSORLP00000014183	ENSGALP00000018379
ENSORLP00000005093	ENSGALP00000004532
ENSORLP00000020297	ENSGALP00000038829
ENSORLP00000004472	ENSGALP00000014459
ENSORLP00000008559	ENSGALP00000043100
ENSORLP00000004240	ENSGALP00000041581
ENSORLP00000021660	ENSGALP00000025582
ENSORLP00000018020	ENSGALP00000001366
ENSORLP00000021415	ENSGALP00000020879
ENSORLP00000003041	ENSGALP00000008498
ENSORLP00000011839	ENSGALP00000041609
ENSORLP00000012004	ENSGALP00000005497
ENSORLP00000021309	ENSGALP00000001249
ENSORLP00000016155	ENSGALP00000004710
ENSORLP00000007265	ENSGALP00000006084
ENSORLP00000019983	ENSGALP00000026511
ENSORLP00000014044	ENSGALP00000008419
ENSORLP00000002939	ENSGALP00000008419
ENSORLP00000018283	ENSGALP00000002837
ENSORLP00000016228	ENSGALP00000006734
ENSORLP00000007554	ENSGALP00000010855
ENSORLP00000002778	ENSGALP00000019363
ENSORLP00000005721	ENSGALP00000019363
ENSORLP00000009414	ENSGALP00000021566
ENSORLP00000010856	ENSGALP00000018434
ENSORLP00000004541	ENSGALP00000043107
ENSORLP00000016949	ENSGALP00000004327
ENSORLP00000023762	ENSGALP00000022452
ENSORLP00000021407	ENSGALP00000022453
ENSORLP00000014274	ENSGALP00000014793
ENSORLP00000009255	ENSGALP00000003899
ENSORLP00000016105	ENSGALP00000003899
ENSORLP00000002211	ENSGALP00000024750
ENSORLP00000017697	ENSGALP00000004113
ENSORLP00000007918	ENSGALP00000004113
ENSORLP00000016589	ENSGALP00000001464
ENSORLP00000014738	ENSGALP00000019543
ENSORLP00000016286	ENSGALP00000042948
ENSORLP00000012918	ENSGALP00000029389
ENSORLP00000008716	ENSGALP00000023120
ENSORLP00000008854	ENSGALP00000036276
ENSORLP00000017267	ENSGALP00000036276
ENSORLP00000024782	ENSGALP00000041901
ENSORLP00000001099	ENSGALP00000010969
ENSORLP00000020741	ENSGALP00000010969
ENSORLP00000024385	ENSGALP00000021782
ENSORLP00000008876	ENSGALP00000031763
ENSORLP00000004202	ENSGALP00000015455
ENSORLP00000012753	ENSGALP00000015455
ENSORLP00000013079	ENSGALP00000020042
ENSORLP00000013238	ENSGALP00000014460
ENSORLP00000014852	ENSGALP00000008211
ENSORLP00000016972	ENSGALP00000008211
ENSORLP00000003815	ENSGALP00000024358
ENSORLP00000018436	ENSGALP00000012170
ENSORLP00000009950	ENSGALP00000028055
ENSORLP00000016730	ENSGALP00000010942
ENSORLP00000019008	ENSGALP00000024210
ENSORLP00000003649	ENSGALP00000012547
ENSORLP00000022527	ENSGALP00000002007
ENSORLP00000006451	ENSGALP00000012332
ENSORLP00000002037	ENSGALP00000003974
ENSORLP00000015102	ENSGALP00000018342
ENSORLP00000014887	ENSGALP00000001845
ENSORLP00000015807	ENSGALP00000002196
ENSORLP00000004752	ENSGALP00000025639
ENSORLP00000018544	ENSGALP00000006574
ENSORLP00000022167	ENSGALP00000027249
ENSORLP00000004716	ENSGALP00000005453
ENSORLP00000017458	ENSGALP00000005453
ENSORLP00000008188	ENSGALP00000007113
ENSORLP00000018971	ENSGALP00000001190
ENSORLP00000007333	ENSGALP00000032932
ENSORLP00000010496	ENSGALP00000033782
ENSORLP00000010956	ENSGALP00000042472
ENSORLP00000010480	ENSGALP00000042331
ENSORLP00000007663	ENSGALP00000031379
ENSORLP00000011793	ENSGALP00000010650
