ENSTNIP00000006282	ENSACAP00000008923
ENSTNIP00000013673	ENSACAP00000004470
ENSTNIP00000011113	ENSACAP00000012849
ENSTNIP00000012574	ENSACAP00000012849
ENSTNIP00000006643	ENSACAP00000014874
ENSTNIP00000018526	ENSACAP00000011857
ENSTNIP00000009381	ENSACAP00000016361
ENSTNIP00000010021	ENSACAP00000000854
ENSTNIP00000022690	ENSACAP00000002833
ENSTNIP00000021706	ENSACAP00000012559
ENSTNIP00000022249	ENSACAP00000001157
ENSTNIP00000020784	ENSACAP00000008052
ENSTNIP00000004636	ENSACAP00000008052
ENSTNIP00000019079	ENSACAP00000016133
ENSTNIP00000021681	ENSACAP00000016133
ENSTNIP00000010157	ENSACAP00000014673
ENSTNIP00000015475	ENSACAP00000011215
ENSTNIP00000006079	ENSACAP00000011215
ENSTNIP00000022388	ENSACAP00000013467
ENSTNIP00000007037	ENSACAP00000008325
ENSTNIP00000011590	ENSACAP00000009634
ENSTNIP00000006206	ENSACAP00000016067
ENSTNIP00000012654	ENSACAP00000010067
ENSTNIP00000017059	ENSACAP00000010067
ENSTNIP00000020516	ENSACAP00000013997
ENSTNIP00000013268	ENSACAP00000001818
ENSTNIP00000002221	ENSACAP00000006381
ENSTNIP00000018765	ENSACAP00000007977
ENSTNIP00000006808	ENSACAP00000008692
ENSTNIP00000020184	ENSACAP00000009186
ENSTNIP00000014489	ENSACAP00000003603
ENSTNIP00000017463	ENSACAP00000017352
ENSTNIP00000005102	ENSACAP00000000869
ENSTNIP00000009918	ENSACAP00000015452
ENSTNIP00000022378	ENSACAP00000013246
ENSTNIP00000004621	ENSACAP00000012317
ENSTNIP00000015158	ENSACAP00000018347
ENSTNIP00000018069	ENSACAP00000005284
ENSTNIP00000020971	ENSACAP00000012888
ENSTNIP00000010098	ENSACAP00000002214
ENSTNIP00000004253	ENSACAP00000002183
ENSTNIP00000004043	ENSACAP00000006840
ENSTNIP00000019782	ENSACAP00000012684
ENSTNIP00000001685	ENSACAP00000016636
ENSTNIP00000006847	ENSACAP00000008175
ENSTNIP00000019481	ENSACAP00000006218
ENSTNIP00000021847	ENSACAP00000005622
ENSTNIP00000006178	ENSACAP00000006715
ENSTNIP00000007381	ENSACAP00000003171
ENSTNIP00000010404	ENSACAP00000016840
ENSTNIP00000021051	ENSACAP00000014480
ENSTNIP00000000642	ENSACAP00000006290
ENSTNIP00000000173	ENSACAP00000006290
ENSTNIP00000002698	ENSACAP00000000403
ENSTNIP00000003224	ENSACAP00000002005
ENSTNIP00000010303	ENSACAP00000009719
ENSTNIP00000020014	ENSACAP00000005096
ENSTNIP00000004382	ENSACAP00000002514
ENSTNIP00000000681	ENSACAP00000023298
ENSTNIP00000019395	ENSACAP00000005843
ENSTNIP00000006221	ENSACAP00000005277
ENSTNIP00000013775	ENSACAP00000010437
ENSTNIP00000005489	ENSACAP00000004829
ENSTNIP00000007115	ENSACAP00000011240
ENSTNIP00000020262	ENSACAP00000021866
ENSTNIP00000014275	ENSACAP00000005050
ENSTNIP00000014630	ENSACAP00000023397
ENSTNIP00000009558	ENSACAP00000020004
ENSTNIP00000009134	ENSACAP00000011387
ENSTNIP00000012377	ENSACAP00000011387
ENSTNIP00000019485	ENSACAP00000016535
ENSTNIP00000006110	ENSACAP00000005124
ENSTNIP00000012897	ENSACAP00000005124
ENSTNIP00000006690	ENSACAP00000009874
ENSTNIP00000003139	ENSACAP00000009501
ENSTNIP00000012382	ENSACAP00000009501
ENSTNIP00000001379	ENSACAP00000009866
ENSTNIP00000016902	ENSACAP00000009866
ENSTNIP00000018374	ENSACAP00000013770
ENSTNIP00000020462	ENSACAP00000013607
ENSTNIP00000013881	ENSACAP00000006294
ENSTNIP00000010547	ENSACAP00000013301
ENSTNIP00000014764	ENSACAP00000013301
ENSTNIP00000008446	ENSACAP00000022969
ENSTNIP00000007807	ENSACAP00000010250
ENSTNIP00000009663	ENSACAP00000020284
ENSTNIP00000020872	ENSACAP00000019824
ENSTNIP00000009771	ENSACAP00000011605
ENSTNIP00000020051	ENSACAP00000016335
ENSTNIP00000015967	ENSACAP00000002716
ENSTNIP00000008047	ENSACAP00000000790
ENSTNIP00000011545	ENSACAP00000000608
ENSTNIP00000016274	ENSACAP00000004750
ENSTNIP00000017987	ENSACAP00000004889
ENSTNIP00000022114	ENSACAP00000004889
ENSTNIP00000021320	ENSACAP00000012957
ENSTNIP00000008389	ENSACAP00000010965
ENSTNIP00000009013	ENSACAP00000015214
ENSTNIP00000011407	ENSACAP00000006978
ENSTNIP00000009266	ENSACAP00000005706
ENSTNIP00000020845	ENSACAP00000014821
ENSTNIP00000006538	ENSACAP00000008659
ENSTNIP00000002820	ENSACAP00000023073
ENSTNIP00000019632	ENSACAP00000011492
ENSTNIP00000007693	ENSACAP00000012724
ENSTNIP00000015291	ENSACAP00000005316
ENSTNIP00000000882	ENSACAP00000016125
ENSTNIP00000007382	ENSACAP00000003014
ENSTNIP00000005421	ENSACAP00000000948
ENSTNIP00000009803	ENSACAP00000002835
ENSTNIP00000009105	ENSACAP00000005183
ENSTNIP00000013239	ENSACAP00000013553
ENSTNIP00000014938	ENSACAP00000001746
ENSTNIP00000011293	ENSACAP00000003954
ENSTNIP00000019030	ENSACAP00000015240
ENSTNIP00000016205	ENSACAP00000015240
ENSTNIP00000022492	ENSACAP00000007951
ENSTNIP00000022331	ENSACAP00000007951
ENSTNIP00000007742	ENSACAP00000011929
ENSTNIP00000005833	ENSACAP00000011921
ENSTNIP00000012312	ENSACAP00000020027
ENSTNIP00000004989	ENSACAP00000007901
ENSTNIP00000004464	ENSACAP00000007901
ENSTNIP00000004014	ENSACAP00000012384
ENSTNIP00000019473	ENSACAP00000018222
ENSTNIP00000016190	ENSACAP00000014734
ENSTNIP00000018478	ENSACAP00000016355
ENSTNIP00000002291	ENSACAP00000006385
ENSTNIP00000021639	ENSACAP00000016285
ENSTNIP00000002645	ENSACAP00000014509
ENSTNIP00000016917	ENSACAP00000014509
ENSTNIP00000003722	ENSACAP00000019794
ENSTNIP00000015112	ENSACAP00000012305
ENSTNIP00000020486	ENSACAP00000014928
ENSTNIP00000010569	ENSACAP00000010637
ENSTNIP00000014763	ENSACAP00000010637
ENSTNIP00000003645	ENSACAP00000002362
ENSTNIP00000020468	ENSACAP00000013799
ENSTNIP00000020890	ENSACAP00000017492
ENSTNIP00000003310	ENSACAP00000019757
ENSTNIP00000006096	ENSACAP00000017699
ENSTNIP00000013682	ENSACAP00000017699
ENSTNIP00000006703	ENSACAP00000014025
ENSTNIP00000019969	ENSACAP00000007778
ENSTNIP00000022108	ENSACAP00000017645
ENSTNIP00000021429	ENSACAP00000016784
ENSTNIP00000017803	ENSACAP00000008491
ENSTNIP00000017726	ENSACAP00000008491
ENSTNIP00000001246	ENSACAP00000007551
ENSTNIP00000015619	ENSACAP00000003275
ENSTNIP00000007031	ENSACAP00000015876
ENSTNIP00000011484	ENSACAP00000001347
ENSTNIP00000008833	ENSACAP00000008888
ENSTNIP00000020940	ENSACAP00000002117
ENSTNIP00000020632	ENSACAP00000003788
ENSTNIP00000007526	ENSACAP00000017629
ENSTNIP00000013259	ENSACAP00000001540
ENSTNIP00000006531	ENSACAP00000001985
ENSTNIP00000018019	ENSACAP00000011135
ENSTNIP00000009446	ENSACAP00000007159
ENSTNIP00000012588	ENSACAP00000001526
ENSTNIP00000018692	ENSACAP00000004118
ENSTNIP00000000439	ENSACAP00000002773
ENSTNIP00000022632	ENSACAP00000006167
ENSTNIP00000006413	ENSACAP00000007864
ENSTNIP00000007624	ENSACAP00000014612
ENSTNIP00000006274	ENSACAP00000011654
ENSTNIP00000021395	ENSACAP00000011654
ENSTNIP00000019265	ENSACAP00000002298
ENSTNIP00000009667	ENSACAP00000004142
ENSTNIP00000003016	ENSACAP00000004142
ENSTNIP00000020927	ENSACAP00000002377
ENSTNIP00000013837	ENSACAP00000013541
ENSTNIP00000017694	ENSACAP00000013541
ENSTNIP00000007566	ENSACAP00000017452
ENSTNIP00000020867	ENSACAP00000003087
ENSTNIP00000001514	ENSACAP00000015783
ENSTNIP00000016045	ENSACAP00000011486
ENSTNIP00000021372	ENSACAP00000013178
ENSTNIP00000018651	ENSACAP00000011045
ENSTNIP00000012751	ENSACAP00000013082
ENSTNIP00000021450	ENSACAP00000003285
ENSTNIP00000020238	ENSACAP00000014465
ENSTNIP00000021578	ENSACAP00000009224
ENSTNIP00000018314	ENSACAP00000009443
ENSTNIP00000009752	ENSACAP00000008417
ENSTNIP00000009068	ENSACAP00000003130
ENSTNIP00000015686	ENSACAP00000003130
ENSTNIP00000015673	ENSACAP00000016581
ENSTNIP00000015460	ENSACAP00000005432
ENSTNIP00000006584	ENSACAP00000005432
ENSTNIP00000020401	ENSACAP00000010650
ENSTNIP00000005448	ENSACAP00000001158
ENSTNIP00000005517	ENSACAP00000000209
ENSTNIP00000009579	ENSACAP00000003194
ENSTNIP00000001917	ENSACAP00000010613
ENSTNIP00000017610	ENSACAP00000006239
ENSTNIP00000018131	ENSACAP00000006239
ENSTNIP00000013344	ENSACAP00000016553
ENSTNIP00000018785	ENSACAP00000011885
ENSTNIP00000017319	ENSACAP00000004440
ENSTNIP00000006390	ENSACAP00000003925
ENSTNIP00000020869	ENSACAP00000003245
ENSTNIP00000011748	ENSACAP00000019387
ENSTNIP00000006936	ENSACAP00000012378
ENSTNIP00000018690	ENSACAP00000016432
ENSTNIP00000018905	ENSACAP00000011300
ENSTNIP00000004994	ENSACAP00000007531
ENSTNIP00000014639	ENSACAP00000013439
ENSTNIP00000007558	ENSACAP00000002204
ENSTNIP00000004053	ENSACAP00000015211
ENSTNIP00000005280	ENSACAP00000005636
ENSTNIP00000008753	ENSACAP00000009010
ENSTNIP00000003867	ENSACAP00000006942
ENSTNIP00000022513	ENSACAP00000006942
ENSTNIP00000012501	ENSACAP00000008310
ENSTNIP00000002076	ENSACAP00000009760
ENSTNIP00000020981	ENSACAP00000002567
ENSTNIP00000012308	ENSACAP00000002567
ENSTNIP00000009416	ENSACAP00000013445
ENSTNIP00000018773	ENSACAP00000010829
ENSTNIP00000015709	ENSACAP00000006519
ENSTNIP00000018032	ENSACAP00000016514
ENSTNIP00000019658	ENSACAP00000008611
ENSTNIP00000020389	ENSACAP00000000162
ENSTNIP00000000320	ENSACAP00000014020
ENSTNIP00000004024	ENSACAP00000015230
ENSTNIP00000011915	ENSACAP00000009629
ENSTNIP00000018880	ENSACAP00000009629
ENSTNIP00000008243	ENSACAP00000009581
ENSTNIP00000011166	ENSACAP00000009581
ENSTNIP00000004424	ENSACAP00000001003
ENSTNIP00000002686	ENSACAP00000009082
ENSTNIP00000015907	ENSACAP00000007974
ENSTNIP00000018013	ENSACAP00000010810
ENSTNIP00000018177	ENSACAP00000002186
ENSTNIP00000015657	ENSACAP00000001328
ENSTNIP00000022081	ENSACAP00000020222
ENSTNIP00000003875	ENSACAP00000005197
ENSTNIP00000022264	ENSACAP00000005197
ENSTNIP00000007390	ENSACAP00000012024
ENSTNIP00000011204	ENSACAP00000012024
ENSTNIP00000015428	ENSACAP00000021444
ENSTNIP00000015203	ENSACAP00000005217
ENSTNIP00000015068	ENSACAP00000017512
ENSTNIP00000002065	ENSACAP00000010891
ENSTNIP00000005998	ENSACAP00000005176
ENSTNIP00000015670	ENSACAP00000016507
ENSTNIP00000020429	ENSACAP00000017549
ENSTNIP00000022178	ENSACAP00000011048
ENSTNIP00000000512	ENSACAP00000020484
ENSTNIP00000010537	ENSACAP00000014804
ENSTNIP00000000543	ENSACAP00000002297
ENSTNIP00000019149	ENSACAP00000008128
ENSTNIP00000005197	ENSACAP00000011289
ENSTNIP00000022198	ENSACAP00000016482
ENSTNIP00000010347	ENSACAP00000012510
ENSTNIP00000018657	ENSACAP00000012510
ENSTNIP00000002445	ENSACAP00000011524
ENSTNIP00000022207	ENSACAP00000003758
ENSTNIP00000001014	ENSACAP00000000852
ENSTNIP00000004635	ENSACAP00000004382
ENSTNIP00000009927	ENSACAP00000006891
ENSTNIP00000003539	ENSACAP00000009798
ENSTNIP00000001829	ENSACAP00000014377
ENSTNIP00000011836	ENSACAP00000013022
ENSTNIP00000011758	ENSACAP00000009139
ENSTNIP00000018065	ENSACAP00000005675
ENSTNIP00000013181	ENSACAP00000002150
ENSTNIP00000010607	ENSACAP00000002150
ENSTNIP00000006048	ENSACAP00000008993
ENSTNIP00000022797	ENSACAP00000008993
ENSTNIP00000011448	ENSACAP00000000191
ENSTNIP00000008995	ENSACAP00000013977
ENSTNIP00000011195	ENSACAP00000002235
ENSTNIP00000019186	ENSACAP00000022773
ENSTNIP00000019883	ENSACAP00000001548
ENSTNIP00000021201	ENSACAP00000008438
ENSTNIP00000014641	ENSACAP00000013492
ENSTNIP00000010821	ENSACAP00000000303
ENSTNIP00000017551	ENSACAP00000021843
ENSTNIP00000016430	ENSACAP00000009292
ENSTNIP00000022373	ENSACAP00000001938
ENSTNIP00000018121	ENSACAP00000015281
ENSTNIP00000005705	ENSACAP00000012211
ENSTNIP00000020430	ENSACAP00000010008
ENSTNIP00000014666	ENSACAP00000017201
ENSTNIP00000006522	ENSACAP00000017201
ENSTNIP00000009856	ENSACAP00000006228
ENSTNIP00000014965	ENSACAP00000006228
ENSTNIP00000007733	ENSACAP00000016135
ENSTNIP00000016829	ENSACAP00000012172
ENSTNIP00000005137	ENSACAP00000000188
ENSTNIP00000005975	ENSACAP00000019753
ENSTNIP00000019815	ENSACAP00000006009
ENSTNIP00000013165	ENSACAP00000007084
ENSTNIP00000020991	ENSACAP00000007084
ENSTNIP00000010660	ENSACAP00000004951
ENSTNIP00000021650	ENSACAP00000012308
ENSTNIP00000015111	ENSACAP00000012308
ENSTNIP00000004702	ENSACAP00000022172
ENSTNIP00000014264	ENSACAP00000013197
ENSTNIP00000015331	ENSACAP00000013197
ENSTNIP00000013025	ENSACAP00000015560
ENSTNIP00000013719	ENSACAP00000010705
ENSTNIP00000019565	ENSACAP00000009378
ENSTNIP00000010823	ENSACAP00000000272
ENSTNIP00000003650	ENSACAP00000018310
ENSTNIP00000022121	ENSACAP00000006742
ENSTNIP00000016740	ENSACAP00000009118
ENSTNIP00000011643	ENSACAP00000011307
ENSTNIP00000019616	ENSACAP00000012168
ENSTNIP00000015498	ENSACAP00000012185
ENSTNIP00000015724	ENSACAP00000009555
ENSTNIP00000010739	ENSACAP00000009555
ENSTNIP00000003245	ENSACAP00000007245
ENSTNIP00000011081	ENSACAP00000009591
ENSTNIP00000005182	ENSACAP00000002510
ENSTNIP00000009767	ENSACAP00000005650
ENSTNIP00000008120	ENSACAP00000016709
ENSTNIP00000015799	ENSACAP00000000216
ENSTNIP00000016241	ENSACAP00000004979
ENSTNIP00000020412	ENSACAP00000017570
ENSTNIP00000001339	ENSACAP00000015739
ENSTNIP00000010922	ENSACAP00000015739
ENSTNIP00000015654	ENSACAP00000002810
ENSTNIP00000011080	ENSACAP00000009527
ENSTNIP00000011787	ENSACAP00000006148
ENSTNIP00000009612	ENSACAP00000006936
ENSTNIP00000007856	ENSACAP00000011765
ENSTNIP00000018741	ENSACAP00000003461
ENSTNIP00000018296	ENSACAP00000002744
ENSTNIP00000017339	ENSACAP00000002744
ENSTNIP00000010001	ENSACAP00000004695
ENSTNIP00000015582	ENSACAP00000015864
ENSTNIP00000002314	ENSACAP00000001941
ENSTNIP00000013432	ENSACAP00000000871
ENSTNIP00000018079	ENSACAP00000022759
ENSTNIP00000015996	ENSACAP00000003421
ENSTNIP00000019474	ENSACAP00000006059
ENSTNIP00000020557	ENSACAP00000016512
ENSTNIP00000008257	ENSACAP00000008612
ENSTNIP00000011087	ENSACAP00000008612
ENSTNIP00000010919	ENSACAP00000016686
ENSTNIP00000017472	ENSACAP00000014672
ENSTNIP00000012682	ENSACAP00000014672
ENSTNIP00000019738	ENSACAP00000013916
ENSTNIP00000005144	ENSACAP00000002455
ENSTNIP00000013779	ENSACAP00000010380
ENSTNIP00000009655	ENSACAP00000022801
ENSTNIP00000014194	ENSACAP00000022801
ENSTNIP00000010935	ENSACAP00000015692
ENSTNIP00000008374	ENSACAP00000015692
ENSTNIP00000022970	ENSACAP00000014198
ENSTNIP00000008400	ENSACAP00000014198
ENSTNIP00000020053	ENSACAP00000016363
ENSTNIP00000015230	ENSACAP00000006169
ENSTNIP00000007452	ENSACAP00000015507
ENSTNIP00000007453	ENSACAP00000015501
ENSTNIP00000012899	ENSACAP00000020502
ENSTNIP00000001141	ENSACAP00000020502
ENSTNIP00000012763	ENSACAP00000005692
ENSTNIP00000008077	ENSACAP00000010210
ENSTNIP00000016913	ENSACAP00000014635
ENSTNIP00000022140	ENSACAP00000017193
ENSTNIP00000011154	ENSACAP00000010434
ENSTNIP00000022269	ENSACAP00000009252
ENSTNIP00000013251	ENSACAP00000006874
ENSTNIP00000022471	ENSACAP00000015764
ENSTNIP00000006262	ENSACAP00000015764
ENSTNIP00000007565	ENSACAP00000000798
ENSTNIP00000010432	ENSACAP00000004802
ENSTNIP00000011820	ENSACAP00000013769
ENSTNIP00000012919	ENSACAP00000019982
ENSTNIP00000022104	ENSACAP00000006145
ENSTNIP00000016691	ENSACAP00000001211
ENSTNIP00000001431	ENSACAP00000007739
ENSTNIP00000019769	ENSACAP00000002737
ENSTNIP00000005411	ENSACAP00000002501
ENSTNIP00000022547	ENSACAP00000013418
ENSTNIP00000005641	ENSACAP00000001620
ENSTNIP00000012017	ENSACAP00000009831
ENSTNIP00000022479	ENSACAP00000002341
ENSTNIP00000019984	ENSACAP00000000904
ENSTNIP00000017426	ENSACAP00000013079
ENSTNIP00000007667	ENSACAP00000013196
ENSTNIP00000000553	ENSACAP00000001316
ENSTNIP00000009798	ENSACAP00000001212
ENSTNIP00000020454	ENSACAP00000001499
ENSTNIP00000005056	ENSACAP00000001499
ENSTNIP00000012200	ENSACAP00000014756
ENSTNIP00000016702	ENSACAP00000014756
ENSTNIP00000006018	ENSACAP00000019366
ENSTNIP00000021350	ENSACAP00000006320
ENSTNIP00000000317	ENSACAP00000001855
ENSTNIP00000009794	ENSACAP00000001855
ENSTNIP00000010770	ENSACAP00000001848
ENSTNIP00000006989	ENSACAP00000008395
ENSTNIP00000022490	ENSACAP00000019628
ENSTNIP00000019058	ENSACAP00000020265
ENSTNIP00000011709	ENSACAP00000004692
ENSTNIP00000019059	ENSACAP00000015553
ENSTNIP00000015822	ENSACAP00000003165
ENSTNIP00000021335	ENSACAP00000005802
ENSTNIP00000011724	ENSACAP00000008185
ENSTNIP00000015942	ENSACAP00000015924
ENSTNIP00000005603	ENSACAP00000002165
ENSTNIP00000012125	ENSACAP00000000674
ENSTNIP00000013759	ENSACAP00000008076
ENSTNIP00000008543	ENSACAP00000002589
ENSTNIP00000016503	ENSACAP00000020093
ENSTNIP00000006046	ENSACAP00000021792
ENSTNIP00000010353	ENSACAP00000016244
ENSTNIP00000018558	ENSACAP00000007234
ENSTNIP00000007188	ENSACAP00000015680
ENSTNIP00000005749	ENSACAP00000017417
ENSTNIP00000013890	ENSACAP00000010430
ENSTNIP00000021445	ENSACAP00000017666
ENSTNIP00000019420	ENSACAP00000010135
ENSTNIP00000011014	ENSACAP00000001091
ENSTNIP00000016071	ENSACAP00000016763
ENSTNIP00000000933	ENSACAP00000019726
ENSTNIP00000015358	ENSACAP00000010403
ENSTNIP00000012202	ENSACAP00000014882
ENSTNIP00000016908	ENSACAP00000010563
ENSTNIP00000015176	ENSACAP00000014332
ENSTNIP00000016763	ENSACAP00000021742
ENSTNIP00000013158	ENSACAP00000002267
ENSTNIP00000014823	ENSACAP00000005746
ENSTNIP00000014042	ENSACAP00000010701
ENSTNIP00000011723	ENSACAP00000001208
ENSTNIP00000020318	ENSACAP00000001208
ENSTNIP00000021530	ENSACAP00000016198
ENSTNIP00000014809	ENSACAP00000011995
ENSTNIP00000005600	ENSACAP00000013746
ENSTNIP00000016873	ENSACAP00000002281
ENSTNIP00000014327	ENSACAP00000014763
ENSTNIP00000009636	ENSACAP00000019407
ENSTNIP00000012838	ENSACAP00000002450
ENSTNIP00000015335	ENSACAP00000000349
ENSTNIP00000015505	ENSACAP00000015178
ENSTNIP00000018791	ENSACAP00000014047
ENSTNIP00000013280	ENSACAP00000007292
ENSTNIP00000014135	ENSACAP00000007632
ENSTNIP00000000034	ENSACAP00000012095
ENSTNIP00000005226	ENSACAP00000008985
ENSTNIP00000008333	ENSACAP00000012375
ENSTNIP00000014406	ENSACAP00000017777
ENSTNIP00000011062	ENSACAP00000001792
ENSTNIP00000021803	ENSACAP00000001792
ENSTNIP00000005323	ENSACAP00000008142
ENSTNIP00000006186	ENSACAP00000011364
ENSTNIP00000017453	ENSACAP00000004481
ENSTNIP00000008055	ENSACAP00000020739
ENSTNIP00000012321	ENSACAP00000000748
ENSTNIP00000012320	ENSACAP00000000756
ENSTNIP00000005962	ENSACAP00000002905
ENSTNIP00000009983	ENSACAP00000003027
ENSTNIP00000006073	ENSACAP00000004545
ENSTNIP00000017151	ENSACAP00000006726
ENSTNIP00000020070	ENSACAP00000005377
ENSTNIP00000005106	ENSACAP00000003753
ENSTNIP00000018606	ENSACAP00000005662
ENSTNIP00000021565	ENSACAP00000016377
ENSTNIP00000021037	ENSACAP00000003511
ENSTNIP00000020934	ENSACAP00000013266
ENSTNIP00000014046	ENSACAP00000008628
ENSTNIP00000008743	ENSACAP00000001360
ENSTNIP00000022451	ENSACAP00000006286
ENSTNIP00000002500	ENSACAP00000007740
ENSTNIP00000002982	ENSACAP00000006972
ENSTNIP00000003559	ENSACAP00000016534
ENSTNIP00000016687	ENSACAP00000021975
ENSTNIP00000015792	ENSACAP00000001303
ENSTNIP00000001091	ENSACAP00000009992
ENSTNIP00000005478	ENSACAP00000007187
ENSTNIP00000020946	ENSACAP00000010395
ENSTNIP00000005576	ENSACAP00000000771
ENSTNIP00000017874	ENSACAP00000008559
ENSTNIP00000007061	ENSACAP00000008559
ENSTNIP00000008234	ENSACAP00000002421
ENSTNIP00000022579	ENSACAP00000011305
ENSTNIP00000007169	ENSACAP00000011305
ENSTNIP00000019848	ENSACAP00000006351
ENSTNIP00000010693	ENSACAP00000015016
ENSTNIP00000010544	ENSACAP00000000394
ENSTNIP00000003164	ENSACAP00000014010
ENSTNIP00000009465	ENSACAP00000005958
ENSTNIP00000003705	ENSACAP00000022252
ENSTNIP00000008313	ENSACAP00000006905
ENSTNIP00000013835	ENSACAP00000008343
ENSTNIP00000010871	ENSACAP00000007006
ENSTNIP00000000781	ENSACAP00000021584
ENSTNIP00000017174	ENSACAP00000004797
ENSTNIP00000016315	ENSACAP00000004797
ENSTNIP00000011837	ENSACAP00000014985
ENSTNIP00000011433	ENSACAP00000011939
ENSTNIP00000019264	ENSACAP00000011939
ENSTNIP00000017435	ENSACAP00000009813
ENSTNIP00000015573	ENSACAP00000016248
ENSTNIP00000015266	ENSACAP00000004984
ENSTNIP00000003879	ENSACAP00000013989
ENSTNIP00000001665	ENSACAP00000002705
ENSTNIP00000012917	ENSACAP00000012035
ENSTNIP00000007208	ENSACAP00000012035
ENSTNIP00000019374	ENSACAP00000003671
ENSTNIP00000009347	ENSACAP00000008728
ENSTNIP00000014973	ENSACAP00000008728
ENSTNIP00000008572	ENSACAP00000013544
ENSTNIP00000001096	ENSACAP00000011221
ENSTNIP00000019863	ENSACAP00000007484
ENSTNIP00000007647	ENSACAP00000012840
ENSTNIP00000014792	ENSACAP00000012840
ENSTNIP00000019153	ENSACAP00000007874
ENSTNIP00000009165	ENSACAP00000001610
ENSTNIP00000012002	ENSACAP00000001610
ENSTNIP00000013665	ENSACAP00000016515
ENSTNIP00000011084	ENSACAP00000020321
ENSTNIP00000009805	ENSACAP00000020321
ENSTNIP00000021192	ENSACAP00000008158
ENSTNIP00000011461	ENSACAP00000005466
ENSTNIP00000018827	ENSACAP00000008333
ENSTNIP00000005922	ENSACAP00000012671
ENSTNIP00000018113	ENSACAP00000004955
ENSTNIP00000017625	ENSACAP00000004955
ENSTNIP00000020816	ENSACAP00000006199
ENSTNIP00000019354	ENSACAP00000004767
ENSTNIP00000012806	ENSACAP00000004767
ENSTNIP00000011061	ENSACAP00000001745
ENSTNIP00000012666	ENSACAP00000014953
ENSTNIP00000015845	ENSACAP00000014953
ENSTNIP00000015113	ENSACAP00000012188
ENSTNIP00000015567	ENSACAP00000008971
ENSTNIP00000018155	ENSACAP00000008971
ENSTNIP00000015834	ENSACAP00000013336
ENSTNIP00000013495	ENSACAP00000015473
ENSTNIP00000008883	ENSACAP00000006367
ENSTNIP00000013355	ENSACAP00000016741
ENSTNIP00000012802	ENSACAP00000004945
ENSTNIP00000020392	ENSACAP00000010258
ENSTNIP00000019997	ENSACAP00000004941
ENSTNIP00000000805	ENSACAP00000003220
ENSTNIP00000008473	ENSACAP00000016742
ENSTNIP00000011607	ENSACAP00000006114
ENSTNIP00000007372	ENSACAP00000022735
ENSTNIP00000017713	ENSACAP00000010793
ENSTNIP00000011977	ENSACAP00000009743
ENSTNIP00000014910	ENSACAP00000012118
ENSTNIP00000010909	ENSACAP00000016312
ENSTNIP00000019849	ENSACAP00000004353
ENSTNIP00000014570	ENSACAP00000014823
ENSTNIP00000012106	ENSACAP00000002321
ENSTNIP00000012602	ENSACAP00000000926
ENSTNIP00000021094	ENSACAP00000001507
ENSTNIP00000017714	ENSACAP00000001507
ENSTNIP00000015481	ENSACAP00000012573
ENSTNIP00000022352	ENSACAP00000011855
ENSTNIP00000012526	ENSACAP00000003937
ENSTNIP00000012224	ENSACAP00000010146
ENSTNIP00000021336	ENSACAP00000008650
ENSTNIP00000008616	ENSACAP00000009733
ENSTNIP00000016508	ENSACAP00000011232
ENSTNIP00000014106	ENSACAP00000013364
ENSTNIP00000011512	ENSACAP00000004790
ENSTNIP00000014805	ENSACAP00000004790
ENSTNIP00000018925	ENSACAP00000012804
ENSTNIP00000011970	ENSACAP00000012804
ENSTNIP00000009812	ENSACAP00000000558
ENSTNIP00000004511	ENSACAP00000004620
ENSTNIP00000004520	ENSACAP00000013313
ENSTNIP00000013193	ENSACAP00000002648
ENSTNIP00000009999	ENSACAP00000006871
ENSTNIP00000021617	ENSACAP00000020058
ENSTNIP00000012098	ENSACAP00000020058
ENSTNIP00000022144	ENSACAP00000012352
ENSTNIP00000006784	ENSACAP00000012898
ENSTNIP00000021887	ENSACAP00000012898
ENSTNIP00000009481	ENSACAP00000011007
ENSTNIP00000013287	ENSACAP00000023366
ENSTNIP00000007559	ENSACAP00000002003
ENSTNIP00000019082	ENSACAP00000000005
ENSTNIP00000021685	ENSACAP00000000005
ENSTNIP00000022028	ENSACAP00000008308
ENSTNIP00000002905	ENSACAP00000014621
ENSTNIP00000000446	ENSACAP00000015945
ENSTNIP00000004874	ENSACAP00000015945
ENSTNIP00000007815	ENSACAP00000002009
ENSTNIP00000006928	ENSACAP00000010958
ENSTNIP00000021631	ENSACAP00000004014
ENSTNIP00000006697	ENSACAP00000011163
ENSTNIP00000019897	ENSACAP00000002610
ENSTNIP00000015997	ENSACAP00000015518
ENSTNIP00000005702	ENSACAP00000016219
ENSTNIP00000019045	ENSACAP00000009786
ENSTNIP00000015293	ENSACAP00000011378
ENSTNIP00000009450	ENSACAP00000007539
ENSTNIP00000020759	ENSACAP00000003156
ENSTNIP00000002290	ENSACAP00000008292
ENSTNIP00000004943	ENSACAP00000005218
ENSTNIP00000015979	ENSACAP00000017289
ENSTNIP00000014286	ENSACAP00000016702
ENSTNIP00000009398	ENSACAP00000016702
ENSTNIP00000000833	ENSACAP00000016827
ENSTNIP00000003178	ENSACAP00000015998
ENSTNIP00000012196	ENSACAP00000014347
ENSTNIP00000015560	ENSACAP00000016339
ENSTNIP00000005202	ENSACAP00000000384
ENSTNIP00000021602	ENSACAP00000006969
