ENSORLP00000017023	ENSTGUP00000008915
ENSORLP00000021801	ENSTGUP00000007138
ENSORLP00000010969	ENSTGUP00000007138
ENSORLP00000021473	ENSTGUP00000007064
ENSORLP00000019926	ENSTGUP00000017766
ENSORLP00000006329	ENSTGUP00000006561
ENSORLP00000017308	ENSTGUP00000003180
ENSORLP00000023681	ENSTGUP00000003180
ENSORLP00000016319	ENSTGUP00000010397
ENSORLP00000001961	ENSTGUP00000006973
ENSORLP00000019189	ENSTGUP00000003626
ENSORLP00000020842	ENSTGUP00000003626
ENSORLP00000000134	ENSTGUP00000010632
ENSORLP00000001955	ENSTGUP00000010632
ENSORLP00000001541	ENSTGUP00000010600
ENSORLP00000002420	ENSTGUP00000004330
ENSORLP00000011156	ENSTGUP00000004330
ENSORLP00000025612	ENSTGUP00000012944
ENSORLP00000010184	ENSTGUP00000006183
ENSORLP00000003209	ENSTGUP00000006183
ENSORLP00000024772	ENSTGUP00000003512
ENSORLP00000001480	ENSTGUP00000010543
ENSORLP00000012737	ENSTGUP00000012635
ENSORLP00000020121	ENSTGUP00000011755
ENSORLP00000012167	ENSTGUP00000005251
ENSORLP00000015366	ENSTGUP00000005251
ENSORLP00000000973	ENSTGUP00000005526
ENSORLP00000016991	ENSTGUP00000005526
ENSORLP00000015754	ENSTGUP00000005821
ENSORLP00000009169	ENSTGUP00000005821
ENSORLP00000012181	ENSTGUP00000001261
ENSORLP00000015779	ENSTGUP00000006144
ENSORLP00000000787	ENSTGUP00000007706
ENSORLP00000019275	ENSTGUP00000012154
ENSORLP00000004778	ENSTGUP00000004240
ENSORLP00000021717	ENSTGUP00000004240
ENSORLP00000005059	ENSTGUP00000000564
ENSORLP00000006163	ENSTGUP00000009468
ENSORLP00000001855	ENSTGUP00000001963
ENSORLP00000018886	ENSTGUP00000007002
ENSORLP00000008720	ENSTGUP00000016625
ENSORLP00000016266	ENSTGUP00000016625
ENSORLP00000002427	ENSTGUP00000006414
ENSORLP00000014301	ENSTGUP00000006414
ENSORLP00000003875	ENSTGUP00000010415
ENSORLP00000018848	ENSTGUP00000010519
ENSORLP00000013523	ENSTGUP00000010519
ENSORLP00000004905	ENSTGUP00000000518
ENSORLP00000013264	ENSTGUP00000000728
ENSORLP00000019921	ENSTGUP00000008129
ENSORLP00000011555	ENSTGUP00000008129
ENSORLP00000012290	ENSTGUP00000009534
ENSORLP00000011732	ENSTGUP00000002389
ENSORLP00000011087	ENSTGUP00000011344
ENSORLP00000016546	ENSTGUP00000001230
ENSORLP00000010499	ENSTGUP00000004209
ENSORLP00000011983	ENSTGUP00000005750
ENSORLP00000008683	ENSTGUP00000011813
ENSORLP00000012140	ENSTGUP00000001254
ENSORLP00000001409	ENSTGUP00000008614
ENSORLP00000024393	ENSTGUP00000010853
ENSORLP00000025052	ENSTGUP00000005210
ENSORLP00000010531	ENSTGUP00000005210
ENSORLP00000003410	ENSTGUP00000007365
ENSORLP00000006803	ENSTGUP00000000966
ENSORLP00000015489	ENSTGUP00000010165
ENSORLP00000010541	ENSTGUP00000010165
ENSORLP00000000353	ENSTGUP00000015824
ENSORLP00000008942	ENSTGUP00000015824
ENSORLP00000010248	ENSTGUP00000014658
ENSORLP00000021588	ENSTGUP00000007321
ENSORLP00000000830	ENSTGUP00000007321
ENSORLP00000022255	ENSTGUP00000002563
ENSORLP00000000250	ENSTGUP00000001226
ENSORLP00000012409	ENSTGUP00000000468
ENSORLP00000011562	ENSTGUP00000008386
ENSORLP00000021607	ENSTGUP00000008386
ENSORLP00000001822	ENSTGUP00000010585
ENSORLP00000017814	ENSTGUP00000009782
ENSORLP00000006786	ENSTGUP00000006832
ENSORLP00000016141	ENSTGUP00000006832
ENSORLP00000016149	ENSTGUP00000012590
ENSORLP00000018011	ENSTGUP00000001060
ENSORLP00000009913	ENSTGUP00000011911
ENSORLP00000010034	ENSTGUP00000009964
ENSORLP00000005660	ENSTGUP00000005820
ENSORLP00000016670	ENSTGUP00000011456
ENSORLP00000005902	ENSTGUP00000000404
ENSORLP00000001516	ENSTGUP00000001881
ENSORLP00000000036	ENSTGUP00000010555
ENSORLP00000015505	ENSTGUP00000010555
ENSORLP00000018914	ENSTGUP00000011211
ENSORLP00000004339	ENSTGUP00000009059
ENSORLP00000017247	ENSTGUP00000005887
ENSORLP00000012521	ENSTGUP00000011765
ENSORLP00000006128	ENSTGUP00000005091
ENSORLP00000009655	ENSTGUP00000000099
ENSORLP00000012568	ENSTGUP00000008127
ENSORLP00000023883	ENSTGUP00000009439
ENSORLP00000006117	ENSTGUP00000008532
ENSORLP00000016213	ENSTGUP00000012580
ENSORLP00000007072	ENSTGUP00000006568
ENSORLP00000023247	ENSTGUP00000010772
ENSORLP00000002883	ENSTGUP00000009125
ENSORLP00000007696	ENSTGUP00000005974
ENSORLP00000005952	ENSTGUP00000008436
ENSORLP00000016477	ENSTGUP00000008436
ENSORLP00000012805	ENSTGUP00000004008
ENSORLP00000023946	ENSTGUP00000013032
ENSORLP00000010542	ENSTGUP00000011134
ENSORLP00000012415	ENSTGUP00000011872
ENSORLP00000002371	ENSTGUP00000003418
ENSORLP00000023440	ENSTGUP00000005399
ENSORLP00000011411	ENSTGUP00000007843
ENSORLP00000015797	ENSTGUP00000013548
ENSORLP00000014384	ENSTGUP00000000824
ENSORLP00000021134	ENSTGUP00000000608
ENSORLP00000018505	ENSTGUP00000000608
ENSORLP00000011442	ENSTGUP00000002834
ENSORLP00000021673	ENSTGUP00000011478
ENSORLP00000014055	ENSTGUP00000012858
ENSORLP00000006836	ENSTGUP00000012858
ENSORLP00000014712	ENSTGUP00000008612
ENSORLP00000019305	ENSTGUP00000005573
ENSORLP00000007110	ENSTGUP00000012527
ENSORLP00000022469	ENSTGUP00000013775
ENSORLP00000020641	ENSTGUP00000003302
ENSORLP00000011359	ENSTGUP00000012583
ENSORLP00000004465	ENSTGUP00000012306
ENSORLP00000010395	ENSTGUP00000013749
ENSORLP00000013909	ENSTGUP00000016119
ENSORLP00000009242	ENSTGUP00000016119
ENSORLP00000003440	ENSTGUP00000014828
ENSORLP00000009089	ENSTGUP00000008216
ENSORLP00000016982	ENSTGUP00000012597
ENSORLP00000014294	ENSTGUP00000012597
ENSORLP00000000067	ENSTGUP00000010168
ENSORLP00000013309	ENSTGUP00000015555
ENSORLP00000020166	ENSTGUP00000013275
ENSORLP00000019684	ENSTGUP00000013275
ENSORLP00000008240	ENSTGUP00000003915
ENSORLP00000008496	ENSTGUP00000004705
ENSORLP00000011429	ENSTGUP00000004705
ENSORLP00000021365	ENSTGUP00000001133
ENSORLP00000003738	ENSTGUP00000005280
ENSORLP00000011789	ENSTGUP00000012468
ENSORLP00000020393	ENSTGUP00000012468
ENSORLP00000019400	ENSTGUP00000012696
ENSORLP00000015729	ENSTGUP00000013539
ENSORLP00000003623	ENSTGUP00000012351
ENSORLP00000016528	ENSTGUP00000012351
ENSORLP00000023474	ENSTGUP00000000241
ENSORLP00000021060	ENSTGUP00000008910
ENSORLP00000005711	ENSTGUP00000008910
ENSORLP00000023232	ENSTGUP00000000754
ENSORLP00000012669	ENSTGUP00000005048
ENSORLP00000004309	ENSTGUP00000005048
ENSORLP00000009573	ENSTGUP00000003749
ENSORLP00000009837	ENSTGUP00000008499
ENSORLP00000017794	ENSTGUP00000007757
ENSORLP00000011952	ENSTGUP00000011284
ENSORLP00000012676	ENSTGUP00000011284
ENSORLP00000013144	ENSTGUP00000014305
ENSORLP00000020648	ENSTGUP00000007154
ENSORLP00000008851	ENSTGUP00000008479
ENSORLP00000015092	ENSTGUP00000006400
ENSORLP00000007694	ENSTGUP00000006009
ENSORLP00000006724	ENSTGUP00000005938
ENSORLP00000021750	ENSTGUP00000000486
ENSORLP00000004680	ENSTGUP00000013788
ENSORLP00000022379	ENSTGUP00000013788
ENSORLP00000023893	ENSTGUP00000010135
ENSORLP00000025318	ENSTGUP00000004956
ENSORLP00000010152	ENSTGUP00000006978
ENSORLP00000010205	ENSTGUP00000006175
ENSORLP00000006339	ENSTGUP00000001625
ENSORLP00000004664	ENSTGUP00000001625
ENSORLP00000019778	ENSTGUP00000005713
ENSORLP00000024445	ENSTGUP00000004026
ENSORLP00000020660	ENSTGUP00000003969
ENSORLP00000016218	ENSTGUP00000001169
ENSORLP00000023579	ENSTGUP00000012536
ENSORLP00000006666	ENSTGUP00000008228
ENSORLP00000021179	ENSTGUP00000007229
ENSORLP00000012142	ENSTGUP00000008121
ENSORLP00000012691	ENSTGUP00000007502
ENSORLP00000022572	ENSTGUP00000011115
ENSORLP00000006959	ENSTGUP00000005060
ENSORLP00000002206	ENSTGUP00000003789
ENSORLP00000020952	ENSTGUP00000005552
ENSORLP00000002979	ENSTGUP00000005552
ENSORLP00000000476	ENSTGUP00000005227
ENSORLP00000013389	ENSTGUP00000010436
ENSORLP00000012909	ENSTGUP00000000598
ENSORLP00000009665	ENSTGUP00000005125
ENSORLP00000003879	ENSTGUP00000005125
ENSORLP00000021846	ENSTGUP00000008945
ENSORLP00000004928	ENSTGUP00000002774
ENSORLP00000017290	ENSTGUP00000012309
ENSORLP00000017275	ENSTGUP00000007312
ENSORLP00000006970	ENSTGUP00000016200
ENSORLP00000004789	ENSTGUP00000016200
ENSORLP00000011991	ENSTGUP00000011734
ENSORLP00000019470	ENSTGUP00000017528
ENSORLP00000009199	ENSTGUP00000000328
ENSORLP00000013724	ENSTGUP00000004675
ENSORLP00000000399	ENSTGUP00000004675
ENSORLP00000005646	ENSTGUP00000007406
ENSORLP00000008906	ENSTGUP00000008467
ENSORLP00000014213	ENSTGUP00000012905
ENSORLP00000009827	ENSTGUP00000008927
ENSORLP00000012551	ENSTGUP00000008480
ENSORLP00000004644	ENSTGUP00000006214
ENSORLP00000016943	ENSTGUP00000005143
ENSORLP00000014724	ENSTGUP00000005143
ENSORLP00000010268	ENSTGUP00000001525
ENSORLP00000024482	ENSTGUP00000004323
ENSORLP00000010926	ENSTGUP00000014953
ENSORLP00000021842	ENSTGUP00000011243
ENSORLP00000010322	ENSTGUP00000016641
ENSORLP00000015781	ENSTGUP00000016641
ENSORLP00000024665	ENSTGUP00000009972
ENSORLP00000003966	ENSTGUP00000005916
ENSORLP00000015403	ENSTGUP00000009055
ENSORLP00000025709	ENSTGUP00000009055
ENSORLP00000010818	ENSTGUP00000009249
ENSORLP00000022674	ENSTGUP00000011402
ENSORLP00000005530	ENSTGUP00000002410
ENSORLP00000017537	ENSTGUP00000008835
ENSORLP00000006541	ENSTGUP00000008008
ENSORLP00000018965	ENSTGUP00000010891
ENSORLP00000019717	ENSTGUP00000010574
ENSORLP00000021443	ENSTGUP00000008905
ENSORLP00000024312	ENSTGUP00000004143
ENSORLP00000014323	ENSTGUP00000012819
ENSORLP00000019437	ENSTGUP00000004097
ENSORLP00000006275	ENSTGUP00000006530
ENSORLP00000014447	ENSTGUP00000006528
ENSORLP00000019458	ENSTGUP00000009133
ENSORLP00000004547	ENSTGUP00000012155
ENSORLP00000021111	ENSTGUP00000010022
ENSORLP00000001051	ENSTGUP00000006757
ENSORLP00000003584	ENSTGUP00000002107
ENSORLP00000011558	ENSTGUP00000001407
ENSORLP00000023175	ENSTGUP00000001037
ENSORLP00000022535	ENSTGUP00000001037
ENSORLP00000014674	ENSTGUP00000004969
ENSORLP00000017442	ENSTGUP00000005219
ENSORLP00000009491	ENSTGUP00000005219
ENSORLP00000022393	ENSTGUP00000013787
ENSORLP00000006310	ENSTGUP00000015315
ENSORLP00000023115	ENSTGUP00000011843
ENSORLP00000009012	ENSTGUP00000003252
ENSORLP00000012796	ENSTGUP00000003656
ENSORLP00000011863	ENSTGUP00000003584
ENSORLP00000016807	ENSTGUP00000005889
ENSORLP00000025875	ENSTGUP00000008149
ENSORLP00000016964	ENSTGUP00000008955
ENSORLP00000023022	ENSTGUP00000007086
ENSORLP00000004897	ENSTGUP00000011527
ENSORLP00000004015	ENSTGUP00000012793
ENSORLP00000022605	ENSTGUP00000013360
ENSORLP00000023830	ENSTGUP00000003325
ENSORLP00000014444	ENSTGUP00000003325
ENSORLP00000015299	ENSTGUP00000004273
ENSORLP00000024201	ENSTGUP00000016791
ENSORLP00000016136	ENSTGUP00000010536
ENSORLP00000004277	ENSTGUP00000009448
ENSORLP00000009803	ENSTGUP00000008344
ENSORLP00000024932	ENSTGUP00000004310
ENSORLP00000006040	ENSTGUP00000003288
ENSORLP00000002840	ENSTGUP00000006451
ENSORLP00000015337	ENSTGUP00000004237
ENSORLP00000009711	ENSTGUP00000010621
ENSORLP00000021707	ENSTGUP00000010621
ENSORLP00000003381	ENSTGUP00000003038
ENSORLP00000020072	ENSTGUP00000002976
ENSORLP00000001078	ENSTGUP00000003561
ENSORLP00000017594	ENSTGUP00000001004
ENSORLP00000015690	ENSTGUP00000005639
ENSORLP00000000535	ENSTGUP00000004875
ENSORLP00000001011	ENSTGUP00000000720
ENSORLP00000007657	ENSTGUP00000009160
ENSORLP00000021056	ENSTGUP00000011784
ENSORLP00000004073	ENSTGUP00000010790
ENSORLP00000006190	ENSTGUP00000001378
ENSORLP00000013577	ENSTGUP00000001934
ENSORLP00000000490	ENSTGUP00000000877
ENSORLP00000020377	ENSTGUP00000010670
ENSORLP00000020253	ENSTGUP00000005335
ENSORLP00000011530	ENSTGUP00000005335
ENSORLP00000000832	ENSTGUP00000010769
ENSORLP00000002656	ENSTGUP00000013163
ENSORLP00000001830	ENSTGUP00000000166
ENSORLP00000007551	ENSTGUP00000000166
ENSORLP00000005772	ENSTGUP00000012963
ENSORLP00000004431	ENSTGUP00000009882
ENSORLP00000021353	ENSTGUP00000009882
ENSORLP00000009382	ENSTGUP00000003875
ENSORLP00000009929	ENSTGUP00000006146
ENSORLP00000015705	ENSTGUP00000006146
ENSORLP00000016802	ENSTGUP00000008548
ENSORLP00000015205	ENSTGUP00000008548
ENSORLP00000008665	ENSTGUP00000004593
ENSORLP00000014774	ENSTGUP00000008060
ENSORLP00000010165	ENSTGUP00000009340
ENSORLP00000017891	ENSTGUP00000009789
ENSORLP00000003423	ENSTGUP00000009789
ENSORLP00000004327	ENSTGUP00000003207
ENSORLP00000009276	ENSTGUP00000003914
ENSORLP00000012587	ENSTGUP00000004539
ENSORLP00000021211	ENSTGUP00000006861
ENSORLP00000017133	ENSTGUP00000003577
ENSORLP00000005722	ENSTGUP00000013260
ENSORLP00000010507	ENSTGUP00000007246
ENSORLP00000013460	ENSTGUP00000015415
ENSORLP00000020018	ENSTGUP00000010875
ENSORLP00000013085	ENSTGUP00000005295
ENSORLP00000017070	ENSTGUP00000005340
ENSORLP00000025710	ENSTGUP00000000745
ENSORLP00000016509	ENSTGUP00000007356
ENSORLP00000019610	ENSTGUP00000011649
ENSORLP00000025178	ENSTGUP00000003137
ENSORLP00000001391	ENSTGUP00000007451
ENSORLP00000014633	ENSTGUP00000016353
ENSORLP00000013518	ENSTGUP00000001263
ENSORLP00000022419	ENSTGUP00000001263
ENSORLP00000022413	ENSTGUP00000004933
ENSORLP00000022119	ENSTGUP00000010709
ENSORLP00000002612	ENSTGUP00000017093
ENSORLP00000024973	ENSTGUP00000012396
ENSORLP00000016577	ENSTGUP00000005995
ENSORLP00000014994	ENSTGUP00000011501
ENSORLP00000000708	ENSTGUP00000002679
ENSORLP00000003973	ENSTGUP00000008281
ENSORLP00000019360	ENSTGUP00000012235
ENSORLP00000011265	ENSTGUP00000003772
ENSORLP00000018803	ENSTGUP00000003872
ENSORLP00000020625	ENSTGUP00000003872
ENSORLP00000007111	ENSTGUP00000008269
ENSORLP00000004650	ENSTGUP00000008269
ENSORLP00000007171	ENSTGUP00000009925
ENSORLP00000021525	ENSTGUP00000002089
ENSORLP00000008289	ENSTGUP00000008900
ENSORLP00000004376	ENSTGUP00000008900
ENSORLP00000011583	ENSTGUP00000007573
ENSORLP00000024497	ENSTGUP00000013500
ENSORLP00000004423	ENSTGUP00000003853
ENSORLP00000013644	ENSTGUP00000006651
ENSORLP00000011462	ENSTGUP00000008069
ENSORLP00000003149	ENSTGUP00000002817
ENSORLP00000011614	ENSTGUP00000011210
ENSORLP00000016268	ENSTGUP00000013671
ENSORLP00000023794	ENSTGUP00000007979
ENSORLP00000008983	ENSTGUP00000004611
ENSORLP00000017604	ENSTGUP00000012430
ENSORLP00000018206	ENSTGUP00000013148
ENSORLP00000007150	ENSTGUP00000010966
ENSORLP00000015395	ENSTGUP00000011816
ENSORLP00000012519	ENSTGUP00000011816
ENSORLP00000025589	ENSTGUP00000001559
ENSORLP00000002417	ENSTGUP00000003517
ENSORLP00000014644	ENSTGUP00000013532
ENSORLP00000007465	ENSTGUP00000013532
ENSORLP00000016359	ENSTGUP00000017694
ENSORLP00000005097	ENSTGUP00000003313
ENSORLP00000014919	ENSTGUP00000000270
ENSORLP00000011826	ENSTGUP00000000270
ENSORLP00000007534	ENSTGUP00000000171
ENSORLP00000020585	ENSTGUP00000012801
ENSORLP00000004222	ENSTGUP00000010734
ENSORLP00000010324	ENSTGUP00000002412
ENSORLP00000015817	ENSTGUP00000009580
ENSORLP00000012109	ENSTGUP00000011795
ENSORLP00000009458	ENSTGUP00000000767
ENSORLP00000018157	ENSTGUP00000000767
ENSORLP00000019951	ENSTGUP00000003023
ENSORLP00000012686	ENSTGUP00000008766
ENSORLP00000012536	ENSTGUP00000007716
ENSORLP00000017374	ENSTGUP00000007369
ENSORLP00000021638	ENSTGUP00000008929
ENSORLP00000004050	ENSTGUP00000005986
ENSORLP00000016373	ENSTGUP00000005986
ENSORLP00000015523	ENSTGUP00000009033
ENSORLP00000007442	ENSTGUP00000017824
ENSORLP00000024424	ENSTGUP00000005216
ENSORLP00000002322	ENSTGUP00000008921
ENSORLP00000017495	ENSTGUP00000008921
ENSORLP00000011986	ENSTGUP00000000154
ENSORLP00000023525	ENSTGUP00000001828
ENSORLP00000010153	ENSTGUP00000006113
ENSORLP00000003168	ENSTGUP00000006113
ENSORLP00000011688	ENSTGUP00000003717
ENSORLP00000017289	ENSTGUP00000003717
ENSORLP00000002220	ENSTGUP00000013011
ENSORLP00000018679	ENSTGUP00000013011
ENSORLP00000009640	ENSTGUP00000009359
ENSORLP00000020407	ENSTGUP00000004202
ENSORLP00000014468	ENSTGUP00000010627
ENSORLP00000007992	ENSTGUP00000006807
ENSORLP00000015255	ENSTGUP00000003619
ENSORLP00000023119	ENSTGUP00000004792
ENSORLP00000017791	ENSTGUP00000010206
ENSORLP00000008785	ENSTGUP00000009542
ENSORLP00000007676	ENSTGUP00000010739
ENSORLP00000018856	ENSTGUP00000007160
ENSORLP00000017731	ENSTGUP00000001453
ENSORLP00000012492	ENSTGUP00000012759
ENSORLP00000017295	ENSTGUP00000016157
ENSORLP00000021992	ENSTGUP00000016255
ENSORLP00000008866	ENSTGUP00000007227
ENSORLP00000017626	ENSTGUP00000010350
ENSORLP00000014565	ENSTGUP00000008670
ENSORLP00000006759	ENSTGUP00000009413
ENSORLP00000025729	ENSTGUP00000013855
ENSORLP00000009206	ENSTGUP00000003143
ENSORLP00000004496	ENSTGUP00000014220
ENSORLP00000019291	ENSTGUP00000005438
ENSORLP00000021637	ENSTGUP00000002441
ENSORLP00000020408	ENSTGUP00000005275
ENSORLP00000008172	ENSTGUP00000002006
ENSORLP00000013692	ENSTGUP00000004680
ENSORLP00000002828	ENSTGUP00000007593
ENSORLP00000021869	ENSTGUP00000011277
ENSORLP00000014469	ENSTGUP00000009906
ENSORLP00000018016	ENSTGUP00000009698
ENSORLP00000001416	ENSTGUP00000005935
ENSORLP00000012939	ENSTGUP00000005565
ENSORLP00000005248	ENSTGUP00000011608
ENSORLP00000004876	ENSTGUP00000011533
ENSORLP00000004641	ENSTGUP00000013304
ENSORLP00000002599	ENSTGUP00000012906
ENSORLP00000021273	ENSTGUP00000012906
ENSORLP00000019886	ENSTGUP00000013933
ENSORLP00000006871	ENSTGUP00000010090
ENSORLP00000004566	ENSTGUP00000003852
ENSORLP00000001173	ENSTGUP00000009783
ENSORLP00000021852	ENSTGUP00000003803
ENSORLP00000022179	ENSTGUP00000012877
ENSORLP00000001782	ENSTGUP00000002696
ENSORLP00000011520	ENSTGUP00000007017
ENSORLP00000017812	ENSTGUP00000000860
ENSORLP00000010316	ENSTGUP00000000860
ENSORLP00000004675	ENSTGUP00000011179
ENSORLP00000013105	ENSTGUP00000011179
ENSORLP00000010294	ENSTGUP00000004224
ENSORLP00000018940	ENSTGUP00000004224
ENSORLP00000000164	ENSTGUP00000002360
ENSORLP00000022915	ENSTGUP00000009383
ENSORLP00000004540	ENSTGUP00000000778
ENSORLP00000005267	ENSTGUP00000017535
ENSORLP00000005688	ENSTGUP00000017535
ENSORLP00000020738	ENSTGUP00000005119
ENSORLP00000007856	ENSTGUP00000005187
ENSORLP00000008587	ENSTGUP00000004074
ENSORLP00000014721	ENSTGUP00000008338
ENSORLP00000010035	ENSTGUP00000011865
ENSORLP00000010564	ENSTGUP00000002549
ENSORLP00000003090	ENSTGUP00000007500
ENSORLP00000003353	ENSTGUP00000007500
ENSORLP00000005052	ENSTGUP00000011124
ENSORLP00000013436	ENSTGUP00000010144
ENSORLP00000001001	ENSTGUP00000009919
ENSORLP00000012210	ENSTGUP00000011892
ENSORLP00000004564	ENSTGUP00000003935
ENSORLP00000007011	ENSTGUP00000003935
ENSORLP00000009965	ENSTGUP00000011909
ENSORLP00000023677	ENSTGUP00000009082
ENSORLP00000021957	ENSTGUP00000001380
ENSORLP00000017785	ENSTGUP00000001380
ENSORLP00000020451	ENSTGUP00000015039
ENSORLP00000014945	ENSTGUP00000008196
ENSORLP00000018222	ENSTGUP00000008196
ENSORLP00000019005	ENSTGUP00000011227
ENSORLP00000011128	ENSTGUP00000006798
ENSORLP00000020231	ENSTGUP00000008866
ENSORLP00000002709	ENSTGUP00000006624
ENSORLP00000021749	ENSTGUP00000007428
ENSORLP00000006301	ENSTGUP00000014027
ENSORLP00000009974	ENSTGUP00000003766
ENSORLP00000015490	ENSTGUP00000003766
ENSORLP00000006708	ENSTGUP00000001634
ENSORLP00000003468	ENSTGUP00000005149
ENSORLP00000000722	ENSTGUP00000010151
ENSORLP00000002932	ENSTGUP00000000331
ENSORLP00000021741	ENSTGUP00000008794
ENSORLP00000008471	ENSTGUP00000016917
ENSORLP00000006965	ENSTGUP00000012686
ENSORLP00000018323	ENSTGUP00000007091
ENSORLP00000023676	ENSTGUP00000007105
ENSORLP00000002237	ENSTGUP00000017720
ENSORLP00000021821	ENSTGUP00000005419
ENSORLP00000006484	ENSTGUP00000007530
ENSORLP00000000270	ENSTGUP00000003486
ENSORLP00000009223	ENSTGUP00000016266
ENSORLP00000025023	ENSTGUP00000004463
ENSORLP00000018314	ENSTGUP00000000107
ENSORLP00000009412	ENSTGUP00000001246
ENSORLP00000004122	ENSTGUP00000002380
ENSORLP00000010024	ENSTGUP00000008529
ENSORLP00000000646	ENSTGUP00000009165
ENSORLP00000008618	ENSTGUP00000007092
ENSORLP00000007823	ENSTGUP00000009374
ENSORLP00000000914	ENSTGUP00000000992
ENSORLP00000021445	ENSTGUP00000004484
ENSORLP00000024579	ENSTGUP00000004484
ENSORLP00000009450	ENSTGUP00000003378
ENSORLP00000011271	ENSTGUP00000013544
ENSORLP00000002770	ENSTGUP00000000291
ENSORLP00000010807	ENSTGUP00000009935
ENSORLP00000025185	ENSTGUP00000009935
ENSORLP00000016816	ENSTGUP00000010592
ENSORLP00000013327	ENSTGUP00000010592
ENSORLP00000010621	ENSTGUP00000008778
ENSORLP00000013044	ENSTGUP00000008778
ENSORLP00000005007	ENSTGUP00000002342
ENSORLP00000003891	ENSTGUP00000005305
ENSORLP00000019168	ENSTGUP00000005305
ENSORLP00000003864	ENSTGUP00000016109
ENSORLP00000011297	ENSTGUP00000006133
ENSORLP00000016171	ENSTGUP00000006992
ENSORLP00000011188	ENSTGUP00000006992
ENSORLP00000011637	ENSTGUP00000007891
ENSORLP00000024394	ENSTGUP00000002712
ENSORLP00000007675	ENSTGUP00000003814
ENSORLP00000023374	ENSTGUP00000008255
ENSORLP00000006475	ENSTGUP00000004270
ENSORLP00000002591	ENSTGUP00000006933
ENSORLP00000015894	ENSTGUP00000012327
ENSORLP00000010068	ENSTGUP00000012327
ENSORLP00000016952	ENSTGUP00000005969
ENSORLP00000023385	ENSTGUP00000011321
ENSORLP00000000163	ENSTGUP00000003192
ENSORLP00000017340	ENSTGUP00000003192
ENSORLP00000009093	ENSTGUP00000002722
ENSORLP00000010772	ENSTGUP00000011857
ENSORLP00000003995	ENSTGUP00000009391
ENSORLP00000018217	ENSTGUP00000013151
ENSORLP00000014411	ENSTGUP00000013151
ENSORLP00000020438	ENSTGUP00000012664
ENSORLP00000021101	ENSTGUP00000007861
ENSORLP00000023103	ENSTGUP00000002869
ENSORLP00000023114	ENSTGUP00000008044
ENSORLP00000024731	ENSTGUP00000012135
ENSORLP00000018590	ENSTGUP00000013514
ENSORLP00000014524	ENSTGUP00000017427
ENSORLP00000007885	ENSTGUP00000006792
ENSORLP00000006523	ENSTGUP00000003226
ENSORLP00000020732	ENSTGUP00000001741
ENSORLP00000009649	ENSTGUP00000000487
ENSORLP00000006980	ENSTGUP00000008717
ENSORLP00000004137	ENSTGUP00000009763
ENSORLP00000003038	ENSTGUP00000003843
ENSORLP00000011372	ENSTGUP00000003843
ENSORLP00000001267	ENSTGUP00000003529
ENSORLP00000013686	ENSTGUP00000009799
ENSORLP00000005565	ENSTGUP00000012960
ENSORLP00000007970	ENSTGUP00000011281
ENSORLP00000018666	ENSTGUP00000013028
ENSORLP00000009183	ENSTGUP00000002391
ENSORLP00000002064	ENSTGUP00000004534
ENSORLP00000014257	ENSTGUP00000004534
ENSORLP00000023713	ENSTGUP00000004285
ENSORLP00000022598	ENSTGUP00000013342
ENSORLP00000011346	ENSTGUP00000008010
ENSORLP00000003460	ENSTGUP00000002972
ENSORLP00000025096	ENSTGUP00000013086
ENSORLP00000007418	ENSTGUP00000007996
ENSORLP00000001856	ENSTGUP00000006818
ENSORLP00000012399	ENSTGUP00000013215
ENSORLP00000010304	ENSTGUP00000006803
ENSORLP00000011257	ENSTGUP00000009520
ENSORLP00000013386	ENSTGUP00000010443
ENSORLP00000020314	ENSTGUP00000013436
ENSORLP00000004132	ENSTGUP00000006145
ENSORLP00000013202	ENSTGUP00000000711
ENSORLP00000015398	ENSTGUP00000007734
ENSORLP00000000965	ENSTGUP00000016187
ENSORLP00000003311	ENSTGUP00000003065
ENSORLP00000019015	ENSTGUP00000013608
ENSORLP00000022461	ENSTGUP00000013772
ENSORLP00000021333	ENSTGUP00000000976
ENSORLP00000025310	ENSTGUP00000004483
ENSORLP00000010409	ENSTGUP00000003220
ENSORLP00000005543	ENSTGUP00000003220
ENSORLP00000007925	ENSTGUP00000010236
ENSORLP00000006765	ENSTGUP00000003123
ENSORLP00000017583	ENSTGUP00000007541
ENSORLP00000007284	ENSTGUP00000001468
ENSORLP00000023489	ENSTGUP00000006541
ENSORLP00000009609	ENSTGUP00000003729
ENSORLP00000022074	ENSTGUP00000003437
ENSORLP00000017954	ENSTGUP00000008618
ENSORLP00000019100	ENSTGUP00000012420
ENSORLP00000011144	ENSTGUP00000011902
ENSORLP00000021055	ENSTGUP00000008221
ENSORLP00000001547	ENSTGUP00000008221
ENSORLP00000021160	ENSTGUP00000002194
ENSORLP00000006104	ENSTGUP00000003244
ENSORLP00000005971	ENSTGUP00000005412
ENSORLP00000001918	ENSTGUP00000001486
ENSORLP00000011491	ENSTGUP00000004818
ENSORLP00000012967	ENSTGUP00000000758
ENSORLP00000007322	ENSTGUP00000000353
ENSORLP00000009372	ENSTGUP00000000353
ENSORLP00000001530	ENSTGUP00000004904
ENSORLP00000025810	ENSTGUP00000004666
ENSORLP00000001674	ENSTGUP00000004666
