ENSTNIP00000004863	ENSMODP00000016222
ENSTNIP00000004739	ENSMODP00000019955
ENSTNIP00000013291	ENSMODP00000024785
ENSTNIP00000012474	ENSMODP00000024785
ENSTNIP00000022345	ENSMODP00000006094
ENSTNIP00000009346	ENSMODP00000003352
ENSTNIP00000016846	ENSMODP00000005549
ENSTNIP00000018845	ENSMODP00000038160
ENSTNIP00000000274	ENSMODP00000012491
ENSTNIP00000017535	ENSMODP00000006270
ENSTNIP00000022048	ENSMODP00000013153
ENSTNIP00000018560	ENSMODP00000037975
ENSTNIP00000018282	ENSMODP00000026862
ENSTNIP00000005846	ENSMODP00000026862
ENSTNIP00000016264	ENSMODP00000007017
ENSTNIP00000012087	ENSMODP00000021921
ENSTNIP00000018866	ENSMODP00000037746
ENSTNIP00000000215	ENSMODP00000037746
ENSTNIP00000004627	ENSMODP00000000381
ENSTNIP00000006684	ENSMODP00000003841
ENSTNIP00000022544	ENSMODP00000014567
ENSTNIP00000022293	ENSMODP00000022041
ENSTNIP00000013869	ENSMODP00000022041
ENSTNIP00000006962	ENSMODP00000015484
ENSTNIP00000006858	ENSMODP00000008872
ENSTNIP00000021950	ENSMODP00000039714
ENSTNIP00000016946	ENSMODP00000026271
ENSTNIP00000017848	ENSMODP00000007680
ENSTNIP00000009712	ENSMODP00000001556
ENSTNIP00000001443	ENSMODP00000011393
ENSTNIP00000018835	ENSMODP00000012779
ENSTNIP00000010921	ENSMODP00000000336
ENSTNIP00000020223	ENSMODP00000016928
ENSTNIP00000007713	ENSMODP00000018587
ENSTNIP00000014656	ENSMODP00000018587
ENSTNIP00000001055	ENSMODP00000004079
ENSTNIP00000001772	ENSMODP00000004079
ENSTNIP00000010202	ENSMODP00000005398
ENSTNIP00000018142	ENSMODP00000011241
ENSTNIP00000013945	ENSMODP00000019316
ENSTNIP00000016812	ENSMODP00000012150
ENSTNIP00000003231	ENSMODP00000000824
ENSTNIP00000005851	ENSMODP00000023312
ENSTNIP00000000194	ENSMODP00000011812
ENSTNIP00000014350	ENSMODP00000025627
ENSTNIP00000019943	ENSMODP00000005908
ENSTNIP00000021254	ENSMODP00000014225
ENSTNIP00000002341	ENSMODP00000022763
ENSTNIP00000010876	ENSMODP00000022763
ENSTNIP00000005087	ENSMODP00000025592
ENSTNIP00000004199	ENSMODP00000024040
ENSTNIP00000021940	ENSMODP00000016729
ENSTNIP00000021499	ENSMODP00000021388
ENSTNIP00000009153	ENSMODP00000012700
ENSTNIP00000010653	ENSMODP00000001785
ENSTNIP00000012929	ENSMODP00000015281
ENSTNIP00000001879	ENSMODP00000014354
ENSTNIP00000021208	ENSMODP00000004962
ENSTNIP00000011843	ENSMODP00000005900
ENSTNIP00000019494	ENSMODP00000035265
ENSTNIP00000007322	ENSMODP00000021455
ENSTNIP00000022096	ENSMODP00000007161
ENSTNIP00000011503	ENSMODP00000007161
ENSTNIP00000022036	ENSMODP00000011972
ENSTNIP00000023010	ENSMODP00000000544
ENSTNIP00000022025	ENSMODP00000011975
ENSTNIP00000021136	ENSMODP00000008222
ENSTNIP00000002031	ENSMODP00000008222
ENSTNIP00000014832	ENSMODP00000008442
ENSTNIP00000012676	ENSMODP00000008442
ENSTNIP00000021222	ENSMODP00000005705
ENSTNIP00000001853	ENSMODP00000008694
ENSTNIP00000005516	ENSMODP00000015844
ENSTNIP00000010228	ENSMODP00000008213
ENSTNIP00000015427	ENSMODP00000020481
ENSTNIP00000015972	ENSMODP00000035626
ENSTNIP00000018524	ENSMODP00000032675
ENSTNIP00000020327	ENSMODP00000032675
ENSTNIP00000000405	ENSMODP00000022002
ENSTNIP00000020707	ENSMODP00000021450
ENSTNIP00000021502	ENSMODP00000021450
ENSTNIP00000010641	ENSMODP00000026607
ENSTNIP00000018087	ENSMODP00000000546
ENSTNIP00000009580	ENSMODP00000000546
ENSTNIP00000018086	ENSMODP00000000474
ENSTNIP00000000204	ENSMODP00000021283
ENSTNIP00000020894	ENSMODP00000008527
ENSTNIP00000008668	ENSMODP00000020228
ENSTNIP00000013872	ENSMODP00000022087
ENSTNIP00000008870	ENSMODP00000025223
ENSTNIP00000011690	ENSMODP00000004255
ENSTNIP00000019831	ENSMODP00000029564
ENSTNIP00000004556	ENSMODP00000011211
ENSTNIP00000020841	ENSMODP00000003943
ENSTNIP00000004558	ENSMODP00000011968
ENSTNIP00000019786	ENSMODP00000011968
ENSTNIP00000015836	ENSMODP00000005501
ENSTNIP00000013782	ENSMODP00000007504
ENSTNIP00000006883	ENSMODP00000009233
ENSTNIP00000012862	ENSMODP00000000429
ENSTNIP00000019491	ENSMODP00000030288
ENSTNIP00000020562	ENSMODP00000032640
ENSTNIP00000012904	ENSMODP00000006020
ENSTNIP00000007567	ENSMODP00000038348
ENSTNIP00000009581	ENSMODP00000017177
ENSTNIP00000018174	ENSMODP00000017177
ENSTNIP00000006657	ENSMODP00000000694
ENSTNIP00000017333	ENSMODP00000023226
ENSTNIP00000014019	ENSMODP00000023226
ENSTNIP00000018206	ENSMODP00000011527
ENSTNIP00000022157	ENSMODP00000023002
ENSTNIP00000000689	ENSMODP00000024342
ENSTNIP00000002950	ENSMODP00000023757
ENSTNIP00000012777	ENSMODP00000009451
ENSTNIP00000016011	ENSMODP00000004684
ENSTNIP00000020953	ENSMODP00000025445
ENSTNIP00000001927	ENSMODP00000015469
ENSTNIP00000022566	ENSMODP00000023786
ENSTNIP00000008967	ENSMODP00000021940
ENSTNIP00000014603	ENSMODP00000021940
ENSTNIP00000013915	ENSMODP00000001437
ENSTNIP00000001404	ENSMODP00000023732
ENSTNIP00000012702	ENSMODP00000013457
ENSTNIP00000015315	ENSMODP00000025116
ENSTNIP00000000023	ENSMODP00000025116
ENSTNIP00000016112	ENSMODP00000033755
ENSTNIP00000019197	ENSMODP00000010724
ENSTNIP00000006931	ENSMODP00000002862
ENSTNIP00000011348	ENSMODP00000013262
ENSTNIP00000010320	ENSMODP00000015598
ENSTNIP00000019086	ENSMODP00000017667
ENSTNIP00000008899	ENSMODP00000017399
ENSTNIP00000001554	ENSMODP00000038519
ENSTNIP00000020105	ENSMODP00000021301
ENSTNIP00000008562	ENSMODP00000021025
ENSTNIP00000002214	ENSMODP00000030140
ENSTNIP00000005674	ENSMODP00000015233
ENSTNIP00000003283	ENSMODP00000013188
ENSTNIP00000008895	ENSMODP00000018821
ENSTNIP00000019109	ENSMODP00000018821
ENSTNIP00000003313	ENSMODP00000010847
ENSTNIP00000020007	ENSMODP00000010341
ENSTNIP00000021169	ENSMODP00000020125
ENSTNIP00000013922	ENSMODP00000019344
ENSTNIP00000022273	ENSMODP00000002481
ENSTNIP00000004542	ENSMODP00000002481
ENSTNIP00000002607	ENSMODP00000034155
ENSTNIP00000004154	ENSMODP00000025486
ENSTNIP00000004153	ENSMODP00000025486
ENSTNIP00000016621	ENSMODP00000009701
ENSTNIP00000001119	ENSMODP00000021469
ENSTNIP00000005408	ENSMODP00000023550
ENSTNIP00000003807	ENSMODP00000023550
ENSTNIP00000008139	ENSMODP00000020056
ENSTNIP00000005211	ENSMODP00000020056
ENSTNIP00000012894	ENSMODP00000018020
ENSTNIP00000007377	ENSMODP00000004384
ENSTNIP00000000838	ENSMODP00000026009
ENSTNIP00000016208	ENSMODP00000026009
ENSTNIP00000008808	ENSMODP00000027349
ENSTNIP00000007783	ENSMODP00000014557
ENSTNIP00000019071	ENSMODP00000023115
ENSTNIP00000017503	ENSMODP00000003743
ENSTNIP00000000928	ENSMODP00000026955
ENSTNIP00000020907	ENSMODP00000000944
ENSTNIP00000004149	ENSMODP00000032676
ENSTNIP00000004162	ENSMODP00000009813
ENSTNIP00000004161	ENSMODP00000009933
ENSTNIP00000004165	ENSMODP00000033980
ENSTNIP00000012769	ENSMODP00000012354
ENSTNIP00000018489	ENSMODP00000002565
ENSTNIP00000016481	ENSMODP00000002565
ENSTNIP00000002597	ENSMODP00000020280
ENSTNIP00000006031	ENSMODP00000008619
ENSTNIP00000011005	ENSMODP00000008619
ENSTNIP00000004185	ENSMODP00000005464
ENSTNIP00000007688	ENSMODP00000005464
ENSTNIP00000005414	ENSMODP00000025778
ENSTNIP00000002653	ENSMODP00000015401
ENSTNIP00000012529	ENSMODP00000018053
ENSTNIP00000016907	ENSMODP00000003470
ENSTNIP00000017923	ENSMODP00000012022
ENSTNIP00000008359	ENSMODP00000003356
ENSTNIP00000012844	ENSMODP00000003356
ENSTNIP00000001461	ENSMODP00000011738
ENSTNIP00000014259	ENSMODP00000018820
ENSTNIP00000021916	ENSMODP00000024477
ENSTNIP00000014846	ENSMODP00000030082
ENSTNIP00000012370	ENSMODP00000021354
ENSTNIP00000021982	ENSMODP00000034131
ENSTNIP00000021476	ENSMODP00000017409
ENSTNIP00000015546	ENSMODP00000017409
ENSTNIP00000020928	ENSMODP00000001778
ENSTNIP00000020438	ENSMODP00000022887
ENSTNIP00000021760	ENSMODP00000006007
ENSTNIP00000015898	ENSMODP00000006007
ENSTNIP00000006861	ENSMODP00000038040
ENSTNIP00000014479	ENSMODP00000010172
ENSTNIP00000014840	ENSMODP00000003064
ENSTNIP00000002801	ENSMODP00000003064
ENSTNIP00000014448	ENSMODP00000027239
ENSTNIP00000022023	ENSMODP00000027239
ENSTNIP00000008910	ENSMODP00000017220
ENSTNIP00000006887	ENSMODP00000011818
ENSTNIP00000004913	ENSMODP00000035890
ENSTNIP00000018073	ENSMODP00000005986
ENSTNIP00000021453	ENSMODP00000005986
ENSTNIP00000013939	ENSMODP00000002334
ENSTNIP00000006115	ENSMODP00000012158
ENSTNIP00000008378	ENSMODP00000011779
ENSTNIP00000022050	ENSMODP00000011779
ENSTNIP00000009414	ENSMODP00000009126
ENSTNIP00000013217	ENSMODP00000006925
ENSTNIP00000012775	ENSMODP00000023154
ENSTNIP00000016833	ENSMODP00000009691
ENSTNIP00000009740	ENSMODP00000001148
ENSTNIP00000014360	ENSMODP00000003121
ENSTNIP00000017343	ENSMODP00000010781
ENSTNIP00000005625	ENSMODP00000032776
ENSTNIP00000005889	ENSMODP00000021504
ENSTNIP00000019180	ENSMODP00000017677
ENSTNIP00000016965	ENSMODP00000021594
ENSTNIP00000017118	ENSMODP00000004536
ENSTNIP00000016006	ENSMODP00000004536
ENSTNIP00000010636	ENSMODP00000026635
ENSTNIP00000005047	ENSMODP00000025502
ENSTNIP00000009869	ENSMODP00000020364
ENSTNIP00000020374	ENSMODP00000001657
ENSTNIP00000002415	ENSMODP00000022572
ENSTNIP00000010840	ENSMODP00000022572
ENSTNIP00000017825	ENSMODP00000041088
ENSTNIP00000003278	ENSMODP00000012818
ENSTNIP00000022074	ENSMODP00000036499
ENSTNIP00000009344	ENSMODP00000002162
ENSTNIP00000011839	ENSMODP00000007706
ENSTNIP00000021601	ENSMODP00000019151
ENSTNIP00000020074	ENSMODP00000011885
ENSTNIP00000015572	ENSMODP00000020305
ENSTNIP00000010107	ENSMODP00000020305
ENSTNIP00000022339	ENSMODP00000029006
ENSTNIP00000006990	ENSMODP00000024282
ENSTNIP00000007225	ENSMODP00000011356
ENSTNIP00000013810	ENSMODP00000005643
ENSTNIP00000010182	ENSMODP00000002270
ENSTNIP00000005252	ENSMODP00000002561
ENSTNIP00000011187	ENSMODP00000002561
ENSTNIP00000010172	ENSMODP00000009463
ENSTNIP00000011579	ENSMODP00000008095
ENSTNIP00000016958	ENSMODP00000021801
ENSTNIP00000016467	ENSMODP00000024609
ENSTNIP00000012364	ENSMODP00000024173
ENSTNIP00000005550	ENSMODP00000028249
ENSTNIP00000019569	ENSMODP00000003242
ENSTNIP00000021189	ENSMODP00000025773
ENSTNIP00000018719	ENSMODP00000036015
ENSTNIP00000014771	ENSMODP00000005304
ENSTNIP00000021025	ENSMODP00000020382
ENSTNIP00000007071	ENSMODP00000005124
ENSTNIP00000011096	ENSMODP00000032525
ENSTNIP00000000663	ENSMODP00000022163
ENSTNIP00000019408	ENSMODP00000020953
ENSTNIP00000017256	ENSMODP00000031707
ENSTNIP00000007547	ENSMODP00000007792
ENSTNIP00000019986	ENSMODP00000015990
ENSTNIP00000017572	ENSMODP00000021643
ENSTNIP00000022869	ENSMODP00000002723
ENSTNIP00000007253	ENSMODP00000003570
ENSTNIP00000017227	ENSMODP00000003570
ENSTNIP00000006668	ENSMODP00000023866
ENSTNIP00000014242	ENSMODP00000002300
ENSTNIP00000011499	ENSMODP00000036542
ENSTNIP00000019099	ENSMODP00000020972
ENSTNIP00000016910	ENSMODP00000026388
ENSTNIP00000019977	ENSMODP00000014831
ENSTNIP00000001711	ENSMODP00000022588
ENSTNIP00000016319	ENSMODP00000013307
ENSTNIP00000019887	ENSMODP00000028789
ENSTNIP00000016537	ENSMODP00000033491
ENSTNIP00000018286	ENSMODP00000033491
ENSTNIP00000017618	ENSMODP00000019616
ENSTNIP00000018721	ENSMODP00000019188
ENSTNIP00000017552	ENSMODP00000019188
ENSTNIP00000013264	ENSMODP00000009994
ENSTNIP00000014274	ENSMODP00000022371
ENSTNIP00000009103	ENSMODP00000011041
ENSTNIP00000016072	ENSMODP00000011039
ENSTNIP00000002925	ENSMODP00000012196
ENSTNIP00000007645	ENSMODP00000003656
ENSTNIP00000007308	ENSMODP00000013054
ENSTNIP00000019399	ENSMODP00000013054
ENSTNIP00000003244	ENSMODP00000035379
ENSTNIP00000001590	ENSMODP00000004736
ENSTNIP00000017888	ENSMODP00000000452
ENSTNIP00000021246	ENSMODP00000000452
ENSTNIP00000017129	ENSMODP00000018859
ENSTNIP00000018623	ENSMODP00000000469
ENSTNIP00000018582	ENSMODP00000001220
ENSTNIP00000008914	ENSMODP00000028908
ENSTNIP00000012392	ENSMODP00000002563
ENSTNIP00000004282	ENSMODP00000003585
ENSTNIP00000007177	ENSMODP00000023213
ENSTNIP00000014020	ENSMODP00000023213
ENSTNIP00000010883	ENSMODP00000023428
ENSTNIP00000020691	ENSMODP00000023428
ENSTNIP00000014960	ENSMODP00000000249
ENSTNIP00000020091	ENSMODP00000000479
ENSTNIP00000013269	ENSMODP00000001016
ENSTNIP00000023023	ENSMODP00000026397
ENSTNIP00000012976	ENSMODP00000016123
ENSTNIP00000000505	ENSMODP00000016123
ENSTNIP00000018666	ENSMODP00000021880
ENSTNIP00000021929	ENSMODP00000021880
ENSTNIP00000021730	ENSMODP00000018797
ENSTNIP00000019546	ENSMODP00000023334
ENSTNIP00000021958	ENSMODP00000017975
ENSTNIP00000013634	ENSMODP00000017975
ENSTNIP00000005677	ENSMODP00000021307
ENSTNIP00000006988	ENSMODP00000021307
ENSTNIP00000011341	ENSMODP00000012044
ENSTNIP00000018977	ENSMODP00000030207
ENSTNIP00000017399	ENSMODP00000024010
ENSTNIP00000019926	ENSMODP00000019109
ENSTNIP00000001951	ENSMODP00000010652
ENSTNIP00000017557	ENSMODP00000010652
ENSTNIP00000000677	ENSMODP00000008555
ENSTNIP00000018933	ENSMODP00000027957
ENSTNIP00000010294	ENSMODP00000023830
ENSTNIP00000016068	ENSMODP00000010813
ENSTNIP00000018996	ENSMODP00000013424
ENSTNIP00000020369	ENSMODP00000016279
ENSTNIP00000020687	ENSMODP00000013384
ENSTNIP00000004752	ENSMODP00000013384
ENSTNIP00000012583	ENSMODP00000004565
ENSTNIP00000019703	ENSMODP00000028423
ENSTNIP00000007655	ENSMODP00000012942
ENSTNIP00000022358	ENSMODP00000011716
ENSTNIP00000006665	ENSMODP00000013466
ENSTNIP00000014671	ENSMODP00000016015
ENSTNIP00000001128	ENSMODP00000000437
ENSTNIP00000000801	ENSMODP00000022719
ENSTNIP00000014599	ENSMODP00000020014
ENSTNIP00000014806	ENSMODP00000013715
ENSTNIP00000022608	ENSMODP00000002105
ENSTNIP00000003799	ENSMODP00000002105
ENSTNIP00000001978	ENSMODP00000007274
ENSTNIP00000011494	ENSMODP00000002115
ENSTNIP00000022607	ENSMODP00000002115
ENSTNIP00000009425	ENSMODP00000008475
ENSTNIP00000022414	ENSMODP00000022909
ENSTNIP00000006362	ENSMODP00000021212
ENSTNIP00000017410	ENSMODP00000017819
ENSTNIP00000003643	ENSMODP00000024318
ENSTNIP00000011335	ENSMODP00000005376
ENSTNIP00000004387	ENSMODP00000020621
ENSTNIP00000001669	ENSMODP00000016034
ENSTNIP00000015959	ENSMODP00000020966
ENSTNIP00000007683	ENSMODP00000022491
ENSTNIP00000012104	ENSMODP00000022004
ENSTNIP00000020620	ENSMODP00000022004
ENSTNIP00000008770	ENSMODP00000021415
ENSTNIP00000012138	ENSMODP00000021822
ENSTNIP00000005993	ENSMODP00000021414
ENSTNIP00000006695	ENSMODP00000005123
ENSTNIP00000003167	ENSMODP00000013725
ENSTNIP00000016076	ENSMODP00000021523
ENSTNIP00000015282	ENSMODP00000013320
ENSTNIP00000001560	ENSMODP00000013320
ENSTNIP00000013752	ENSMODP00000015379
ENSTNIP00000020661	ENSMODP00000011548
ENSTNIP00000002423	ENSMODP00000022037
ENSTNIP00000013867	ENSMODP00000022037
ENSTNIP00000013857	ENSMODP00000030807
ENSTNIP00000021194	ENSMODP00000025787
ENSTNIP00000003318	ENSMODP00000028759
ENSTNIP00000000718	ENSMODP00000028759
ENSTNIP00000022452	ENSMODP00000024163
ENSTNIP00000022391	ENSMODP00000022841
ENSTNIP00000020436	ENSMODP00000022841
ENSTNIP00000020425	ENSMODP00000021988
ENSTNIP00000015244	ENSMODP00000022436
ENSTNIP00000002073	ENSMODP00000039129
ENSTNIP00000006837	ENSMODP00000037855
ENSTNIP00000012855	ENSMODP00000011440
ENSTNIP00000022221	ENSMODP00000011440
ENSTNIP00000016198	ENSMODP00000019202
ENSTNIP00000021273	ENSMODP00000001457
ENSTNIP00000004296	ENSMODP00000015719
ENSTNIP00000004741	ENSMODP00000025762
ENSTNIP00000013423	ENSMODP00000005094
ENSTNIP00000007250	ENSMODP00000023625
ENSTNIP00000006211	ENSMODP00000014093
ENSTNIP00000012819	ENSMODP00000012594
ENSTNIP00000014907	ENSMODP00000010237
ENSTNIP00000000028	ENSMODP00000010237
ENSTNIP00000015862	ENSMODP00000010248
ENSTNIP00000014447	ENSMODP00000000934
ENSTNIP00000022022	ENSMODP00000000934
ENSTNIP00000015162	ENSMODP00000019976
ENSTNIP00000020865	ENSMODP00000000399
ENSTNIP00000022233	ENSMODP00000005825
ENSTNIP00000003647	ENSMODP00000011531
ENSTNIP00000018937	ENSMODP00000011033
ENSTNIP00000009285	ENSMODP00000000838
ENSTNIP00000010418	ENSMODP00000014368
ENSTNIP00000006616	ENSMODP00000004844
ENSTNIP00000020339	ENSMODP00000004844
ENSTNIP00000018499	ENSMODP00000025340
ENSTNIP00000020603	ENSMODP00000017239
ENSTNIP00000007131	ENSMODP00000016300
ENSTNIP00000003332	ENSMODP00000026280
ENSTNIP00000016890	ENSMODP00000026280
ENSTNIP00000014709	ENSMODP00000006757
ENSTNIP00000019275	ENSMODP00000006642
ENSTNIP00000005979	ENSMODP00000022110
ENSTNIP00000012850	ENSMODP00000023187
ENSTNIP00000007505	ENSMODP00000006952
ENSTNIP00000010820	ENSMODP00000034906
ENSTNIP00000023038	ENSMODP00000029642
ENSTNIP00000003918	ENSMODP00000001893
ENSTNIP00000020343	ENSMODP00000023242
ENSTNIP00000016993	ENSMODP00000015362
ENSTNIP00000020906	ENSMODP00000001219
ENSTNIP00000007430	ENSMODP00000032729
ENSTNIP00000019942	ENSMODP00000006029
ENSTNIP00000018784	ENSMODP00000013337
ENSTNIP00000006403	ENSMODP00000020292
ENSTNIP00000019417	ENSMODP00000021849
ENSTNIP00000006305	ENSMODP00000040586
ENSTNIP00000018388	ENSMODP00000005066
ENSTNIP00000007118	ENSMODP00000039503
ENSTNIP00000014217	ENSMODP00000002547
ENSTNIP00000005118	ENSMODP00000007208
ENSTNIP00000019146	ENSMODP00000019745
ENSTNIP00000018469	ENSMODP00000019494
ENSTNIP00000003780	ENSMODP00000011937
ENSTNIP00000015330	ENSMODP00000023649
ENSTNIP00000014263	ENSMODP00000023649
ENSTNIP00000010263	ENSMODP00000000328
ENSTNIP00000009161	ENSMODP00000000328
ENSTNIP00000007379	ENSMODP00000039408
ENSTNIP00000022527	ENSMODP00000012595
ENSTNIP00000017004	ENSMODP00000019585
ENSTNIP00000020129	ENSMODP00000021741
ENSTNIP00000021038	ENSMODP00000029187
ENSTNIP00000017988	ENSMODP00000038904
ENSTNIP00000006366	ENSMODP00000012579
ENSTNIP00000019488	ENSMODP00000023619
ENSTNIP00000020306	ENSMODP00000003794
ENSTNIP00000008510	ENSMODP00000003794
ENSTNIP00000010947	ENSMODP00000008393
ENSTNIP00000008051	ENSMODP00000005230
ENSTNIP00000006331	ENSMODP00000009029
ENSTNIP00000014899	ENSMODP00000009029
ENSTNIP00000003764	ENSMODP00000001300
ENSTNIP00000006763	ENSMODP00000001300
ENSTNIP00000011077	ENSMODP00000008368
ENSTNIP00000013673	ENSMODP00000009421
ENSTNIP00000011113	ENSMODP00000011986
ENSTNIP00000012574	ENSMODP00000011986
ENSTNIP00000006643	ENSMODP00000002576
ENSTNIP00000018526	ENSMODP00000008240
ENSTNIP00000010021	ENSMODP00000001721
ENSTNIP00000022690	ENSMODP00000026291
ENSTNIP00000021706	ENSMODP00000017128
ENSTNIP00000022249	ENSMODP00000007108
ENSTNIP00000010157	ENSMODP00000004867
ENSTNIP00000015475	ENSMODP00000010692
ENSTNIP00000006079	ENSMODP00000010692
ENSTNIP00000001672	ENSMODP00000008673
ENSTNIP00000005451	ENSMODP00000008673
ENSTNIP00000021736	ENSMODP00000002763
ENSTNIP00000011094	ENSMODP00000002763
ENSTNIP00000022388	ENSMODP00000000301
ENSTNIP00000007037	ENSMODP00000010528
ENSTNIP00000011590	ENSMODP00000010073
ENSTNIP00000012654	ENSMODP00000032191
ENSTNIP00000017059	ENSMODP00000032191
ENSTNIP00000020516	ENSMODP00000009501
ENSTNIP00000013268	ENSMODP00000001101
ENSTNIP00000002221	ENSMODP00000023734
ENSTNIP00000014489	ENSMODP00000004406
ENSTNIP00000017463	ENSMODP00000009401
ENSTNIP00000005102	ENSMODP00000017551
ENSTNIP00000009918	ENSMODP00000001455
ENSTNIP00000022378	ENSMODP00000030254
ENSTNIP00000020971	ENSMODP00000025939
ENSTNIP00000010098	ENSMODP00000029725
ENSTNIP00000004253	ENSMODP00000007595
ENSTNIP00000004043	ENSMODP00000000448
ENSTNIP00000019782	ENSMODP00000000581
ENSTNIP00000001685	ENSMODP00000021756
ENSTNIP00000006847	ENSMODP00000008892
ENSTNIP00000019481	ENSMODP00000007535
ENSTNIP00000006166	ENSMODP00000021930
ENSTNIP00000015394	ENSMODP00000004307
ENSTNIP00000019973	ENSMODP00000031416
ENSTNIP00000007381	ENSMODP00000004279
ENSTNIP00000010404	ENSMODP00000017986
ENSTNIP00000003224	ENSMODP00000016550
ENSTNIP00000010303	ENSMODP00000002057
ENSTNIP00000007375	ENSMODP00000023903
ENSTNIP00000020325	ENSMODP00000023903
ENSTNIP00000020014	ENSMODP00000016112
ENSTNIP00000004382	ENSMODP00000011712
ENSTNIP00000000681	ENSMODP00000006821
ENSTNIP00000019395	ENSMODP00000007341
ENSTNIP00000014021	ENSMODP00000036418
ENSTNIP00000018224	ENSMODP00000031883
ENSTNIP00000006221	ENSMODP00000008755
ENSTNIP00000013775	ENSMODP00000022716
ENSTNIP00000007115	ENSMODP00000011249
ENSTNIP00000020262	ENSMODP00000011702
ENSTNIP00000014275	ENSMODP00000016105
ENSTNIP00000014630	ENSMODP00000005316
ENSTNIP00000009558	ENSMODP00000027542
ENSTNIP00000009134	ENSMODP00000021395
ENSTNIP00000012377	ENSMODP00000021395
ENSTNIP00000019485	ENSMODP00000021711
ENSTNIP00000006110	ENSMODP00000008261
ENSTNIP00000012897	ENSMODP00000008261
ENSTNIP00000006690	ENSMODP00000017293
ENSTNIP00000003139	ENSMODP00000002996
ENSTNIP00000012382	ENSMODP00000002996
ENSTNIP00000001379	ENSMODP00000022804
ENSTNIP00000016902	ENSMODP00000022804
ENSTNIP00000018374	ENSMODP00000040099
ENSTNIP00000008005	ENSMODP00000015049
ENSTNIP00000020462	ENSMODP00000000136
ENSTNIP00000010547	ENSMODP00000009833
ENSTNIP00000014764	ENSMODP00000009833
ENSTNIP00000008446	ENSMODP00000022549
ENSTNIP00000007807	ENSMODP00000025381
ENSTNIP00000009663	ENSMODP00000022552
ENSTNIP00000020872	ENSMODP00000000623
ENSTNIP00000020323	ENSMODP00000005965
ENSTNIP00000009771	ENSMODP00000000937
ENSTNIP00000020051	ENSMODP00000035585
ENSTNIP00000015967	ENSMODP00000018160
ENSTNIP00000008047	ENSMODP00000004313
ENSTNIP00000011545	ENSMODP00000004249
ENSTNIP00000016274	ENSMODP00000020356
ENSTNIP00000021320	ENSMODP00000003924
ENSTNIP00000008389	ENSMODP00000037223
ENSTNIP00000009013	ENSMODP00000023811
ENSTNIP00000011408	ENSMODP00000013896
ENSTNIP00000009266	ENSMODP00000019379
ENSTNIP00000020845	ENSMODP00000015068
ENSTNIP00000006538	ENSMODP00000000143
ENSTNIP00000019632	ENSMODP00000003046
ENSTNIP00000002584	ENSMODP00000013666
ENSTNIP00000007693	ENSMODP00000003297
ENSTNIP00000011095	ENSMODP00000032532
ENSTNIP00000015291	ENSMODP00000005883
ENSTNIP00000007382	ENSMODP00000004209
ENSTNIP00000005421	ENSMODP00000019311
ENSTNIP00000009803	ENSMODP00000007439
ENSTNIP00000013239	ENSMODP00000022689
ENSTNIP00000013035	ENSMODP00000009014
ENSTNIP00000011293	ENSMODP00000010999
ENSTNIP00000019030	ENSMODP00000024289
ENSTNIP00000016205	ENSMODP00000024289
ENSTNIP00000007742	ENSMODP00000025903
ENSTNIP00000005833	ENSMODP00000003590
ENSTNIP00000012312	ENSMODP00000037274
ENSTNIP00000004014	ENSMODP00000014386
ENSTNIP00000016190	ENSMODP00000016277
ENSTNIP00000018478	ENSMODP00000024593
ENSTNIP00000002291	ENSMODP00000012015
ENSTNIP00000002645	ENSMODP00000026268
ENSTNIP00000016917	ENSMODP00000026268
ENSTNIP00000003722	ENSMODP00000014292
ENSTNIP00000015112	ENSMODP00000011856
ENSTNIP00000020486	ENSMODP00000010718
ENSTNIP00000003645	ENSMODP00000005938
ENSTNIP00000020468	ENSMODP00000000563
ENSTNIP00000020890	ENSMODP00000017785
ENSTNIP00000006096	ENSMODP00000024110
ENSTNIP00000013682	ENSMODP00000024110
ENSTNIP00000006703	ENSMODP00000027725
ENSTNIP00000016583	ENSMODP00000013246
ENSTNIP00000020276	ENSMODP00000005484
ENSTNIP00000022108	ENSMODP00000032514
ENSTNIP00000017803	ENSMODP00000018198
ENSTNIP00000017726	ENSMODP00000018198
ENSTNIP00000001783	ENSMODP00000018796
ENSTNIP00000007031	ENSMODP00000003004
ENSTNIP00000011484	ENSMODP00000037026
ENSTNIP00000008833	ENSMODP00000000717
ENSTNIP00000020940	ENSMODP00000014686
ENSTNIP00000007526	ENSMODP00000018316
ENSTNIP00000013259	ENSMODP00000018999
ENSTNIP00000006531	ENSMODP00000016150
ENSTNIP00000018019	ENSMODP00000000153
ENSTNIP00000012588	ENSMODP00000015953
ENSTNIP00000018692	ENSMODP00000019118
ENSTNIP00000000439	ENSMODP00000000274
ENSTNIP00000022632	ENSMODP00000001583
ENSTNIP00000006413	ENSMODP00000016915
ENSTNIP00000007624	ENSMODP00000007245
ENSTNIP00000006274	ENSMODP00000020592
ENSTNIP00000021395	ENSMODP00000020592
ENSTNIP00000019265	ENSMODP00000032798
ENSTNIP00000009667	ENSMODP00000029853
ENSTNIP00000003016	ENSMODP00000029853
ENSTNIP00000020927	ENSMODP00000018200
ENSTNIP00000018184	ENSMODP00000002092
ENSTNIP00000013837	ENSMODP00000031808
ENSTNIP00000017694	ENSMODP00000031808
