ENSP00000262384	ENSORLP00000017023
ENSP00000416797	ENSORLP00000007590
ENSP00000379612	ENSORLP00000009476
ENSP00000379612	ENSORLP00000006431
ENSP00000396103	ENSORLP00000022342
ENSP00000396103	ENSORLP00000022706
ENSP00000327465	ENSORLP00000002798
ENSP00000327465	ENSORLP00000024992
ENSP00000276480	ENSORLP00000021882
ENSP00000228495	ENSORLP00000009396
ENSP00000455785	ENSORLP00000014029
ENSP00000359890	ENSORLP00000002711
ENSP00000267287	ENSORLP00000006825
ENSP00000414334	ENSORLP00000015496
ENSP00000327104	ENSORLP00000016652
ENSP00000327104	ENSORLP00000019293
ENSP00000356591	ENSORLP00000021565
ENSP00000301466	ENSORLP00000006589
ENSP00000332258	ENSORLP00000023996
ENSP00000332258	ENSORLP00000010826
ENSP00000265276	ENSORLP00000005572
ENSP00000355607	ENSORLP00000021994
ENSP00000337446	ENSORLP00000004265
ENSP00000422031	ENSORLP00000007929
ENSP00000467176	ENSORLP00000008583
ENSP00000467176	ENSORLP00000021000
ENSP00000366233	ENSORLP00000020059
ENSP00000366233	ENSORLP00000013116
ENSP00000340820	ENSORLP00000016114
ENSP00000361185	ENSORLP00000011790
ENSP00000361185	ENSORLP00000008666
ENSP00000469759	ENSORLP00000025515
ENSP00000361177	ENSORLP00000008677
ENSP00000361177	ENSORLP00000011801
ENSP00000259008	ENSORLP00000018580
ENSP00000365280	ENSORLP00000017208
ENSP00000367972	ENSORLP00000003195
ENSP00000391137	ENSORLP00000021920
ENSP00000321388	ENSORLP00000005559
ENSP00000361010	ENSORLP00000008673
ENSP00000351206	ENSORLP00000011650
ENSP00000351206	ENSORLP00000011106
ENSP00000362711	ENSORLP00000017701
ENSP00000358719	ENSORLP00000002640
ENSP00000440246	ENSORLP00000004314
ENSP00000321070	ENSORLP00000006054
ENSP00000212015	ENSORLP00000017142
ENSP00000202967	ENSORLP00000024755
ENSP00000354201	ENSORLP00000021295
ENSP00000323687	ENSORLP00000000884
ENSP00000237536	ENSORLP00000003248
ENSP00000237536	ENSORLP00000018535
ENSP00000362590	ENSORLP00000002745
ENSP00000273980	ENSORLP00000008465
ENSP00000321703	ENSORLP00000020987
ENSP00000321703	ENSORLP00000010315
ENSP00000299927	ENSORLP00000010060
ENSP00000358590	ENSORLP00000022287
ENSP00000358590	ENSORLP00000018553
ENSP00000361857	ENSORLP00000018341
ENSP00000253063	ENSORLP00000013944
ENSP00000393762	ENSORLP00000016911
ENSP00000262102	ENSORLP00000012825
ENSP00000262102	ENSORLP00000023289
ENSP00000392057	ENSORLP00000003945
ENSP00000298545	ENSORLP00000020802
ENSP00000296486	ENSORLP00000006196
ENSP00000310978	ENSORLP00000006735
ENSP00000368984	ENSORLP00000002480
ENSP00000265564	ENSORLP00000002795
ENSP00000374354	ENSORLP00000005030
ENSP00000216200	ENSORLP00000016800
ENSP00000216200	ENSORLP00000013232
ENSP00000363973	ENSORLP00000021360
ENSP00000381581	ENSORLP00000017970
ENSP00000222122	ENSORLP00000014290
ENSP00000302227	ENSORLP00000005000
ENSP00000348234	ENSORLP00000019233
ENSP00000262995	ENSORLP00000009186
ENSP00000399588	ENSORLP00000012019
ENSP00000350199	ENSORLP00000008398
ENSP00000358582	ENSORLP00000002603
ENSP00000346378	ENSORLP00000016152
ENSP00000376372	ENSORLP00000021330
ENSP00000360938	ENSORLP00000012815
ENSP00000255189	ENSORLP00000002988
ENSP00000299106	ENSORLP00000000363
ENSP00000299106	ENSORLP00000006545
ENSP00000363001	ENSORLP00000017968
ENSP00000357425	ENSORLP00000013508
ENSP00000340409	ENSORLP00000005827
ENSP00000316589	ENSORLP00000015906
ENSP00000011619	ENSORLP00000007911
ENSP00000341021	ENSORLP00000011705
ENSP00000362399	ENSORLP00000017492
ENSP00000362399	ENSORLP00000022178
ENSP00000259241	ENSORLP00000017310
ENSP00000414019	ENSORLP00000002342
ENSP00000275230	ENSORLP00000020670
ENSP00000384398	ENSORLP00000019072
ENSP00000385610	ENSORLP00000006290
ENSP00000408395	ENSORLP00000001106
ENSP00000339191	ENSORLP00000024539
ENSP00000308219	ENSORLP00000010889
ENSP00000452126	ENSORLP00000010565
ENSP00000297130	ENSORLP00000006291
ENSP00000306997	ENSORLP00000024234
ENSP00000306997	ENSORLP00000022019
ENSP00000352272	ENSORLP00000005117
ENSP00000352272	ENSORLP00000013171
ENSP00000354916	ENSORLP00000017084
ENSP00000406751	ENSORLP00000018428
ENSP00000473001	ENSORLP00000011673
ENSP00000279387	ENSORLP00000021689
ENSP00000331040	ENSORLP00000012806
ENSP00000371785	ENSORLP00000012811
ENSP00000359371	ENSORLP00000012222
ENSP00000240333	ENSORLP00000003122
ENSP00000368981	ENSORLP00000008261
ENSP00000377401	ENSORLP00000014926
ENSP00000454157	ENSORLP00000000120
ENSP00000454157	ENSORLP00000025012
ENSP00000430497	ENSORLP00000008704
ENSP00000245541	ENSORLP00000004063
ENSP00000245541	ENSORLP00000012205
ENSP00000341344	ENSORLP00000018253
ENSP00000311962	ENSORLP00000012582
ENSP00000356033	ENSORLP00000015190
ENSP00000349723	ENSORLP00000013576
ENSP00000349723	ENSORLP00000013143
ENSP00000338774	ENSORLP00000002119
ENSP00000283415	ENSORLP00000006458
ENSP00000344648	ENSORLP00000025807
ENSP00000340467	ENSORLP00000002521
ENSP00000340467	ENSORLP00000015545
ENSP00000384197	ENSORLP00000004082
ENSP00000384197	ENSORLP00000016341
ENSP00000263666	ENSORLP00000013831
ENSP00000164640	ENSORLP00000017916
ENSP00000413625	ENSORLP00000004429
ENSP00000413625	ENSORLP00000022085
ENSP00000260385	ENSORLP00000022302
ENSP00000386702	ENSORLP00000009810
ENSP00000386702	ENSORLP00000015279
ENSP00000267460	ENSORLP00000020248
ENSP00000351789	ENSORLP00000003080
ENSP00000351789	ENSORLP00000003735
ENSP00000360690	ENSORLP00000011589
ENSP00000381298	ENSORLP00000007458
ENSP00000368982	ENSORLP00000023091
ENSP00000424417	ENSORLP00000010421
ENSP00000380921	ENSORLP00000017680
ENSP00000313454	ENSORLP00000006577
ENSP00000290246	ENSORLP00000019615
ENSP00000377566	ENSORLP00000019638
ENSP00000362768	ENSORLP00000023819
ENSP00000250416	ENSORLP00000003778
ENSP00000364986	ENSORLP00000020043
ENSP00000294728	ENSORLP00000017742
ENSP00000270233	ENSORLP00000017617
ENSP00000264036	ENSORLP00000009555
ENSP00000264036	ENSORLP00000018186
ENSP00000296755	ENSORLP00000004806
ENSP00000325313	ENSORLP00000004111
ENSP00000325313	ENSORLP00000017935
ENSP00000363621	ENSORLP00000021819
ENSP00000261296	ENSORLP00000025339
ENSP00000298351	ENSORLP00000020353
ENSP00000355800	ENSORLP00000021165
ENSP00000384319	ENSORLP00000017554
ENSP00000287713	ENSORLP00000009375
ENSP00000475750	ENSORLP00000017309
ENSP00000337053	ENSORLP00000022641
ENSP00000444617	ENSORLP00000011990
ENSP00000369400	ENSORLP00000020466
ENSP00000369400	ENSORLP00000004514
ENSP00000164139	ENSORLP00000014905
ENSP00000164139	ENSORLP00000007598
ENSP00000216392	ENSORLP00000011230
ENSP00000354575	ENSORLP00000019172
ENSP00000345667	ENSORLP00000004596
ENSP00000345667	ENSORLP00000015948
ENSP00000324856	ENSORLP00000019300
ENSP00000312741	ENSORLP00000013252
ENSP00000260386	ENSORLP00000019334
ENSP00000263370	ENSORLP00000008162
ENSP00000371073	ENSORLP00000020101
ENSP00000420686	ENSORLP00000008423
ENSP00000367032	ENSORLP00000005238
ENSP00000358217	ENSORLP00000002644
ENSP00000368761	ENSORLP00000009270
ENSP00000215631	ENSORLP00000017950
ENSP00000360025	ENSORLP00000006614
ENSP00000364407	ENSORLP00000021635
ENSP00000407613	ENSORLP00000019425
ENSP00000216802	ENSORLP00000016814
ENSP00000376071	ENSORLP00000003806
ENSP00000223145	ENSORLP00000020722
ENSP00000332369	ENSORLP00000005923
ENSP00000347721	ENSORLP00000014476
ENSP00000333292	ENSORLP00000014405
ENSP00000309945	ENSORLP00000024763
ENSP00000271064	ENSORLP00000015144
ENSP00000307971	ENSORLP00000018137
ENSP00000334675	ENSORLP00000023296
ENSP00000288985	ENSORLP00000005365
ENSP00000359264	ENSORLP00000014954
ENSP00000359130	ENSORLP00000017720
ENSP00000368648	ENSORLP00000002627
ENSP00000315386	ENSORLP00000024062
ENSP00000295588	ENSORLP00000004632
ENSP00000311427	ENSORLP00000002270
ENSP00000317332	ENSORLP00000002338
ENSP00000317332	ENSORLP00000014491
ENSP00000273962	ENSORLP00000015110
ENSP00000312356	ENSORLP00000006295
ENSP00000361202	ENSORLP00000011817
ENSP00000376776	ENSORLP00000012854
ENSP00000423600	ENSORLP00000011247
ENSP00000249442	ENSORLP00000001650
ENSP00000284981	ENSORLP00000006333
ENSP00000284981	ENSORLP00000011186
ENSP00000296137	ENSORLP00000022262
ENSP00000317955	ENSORLP00000014172
ENSP00000397050	ENSORLP00000008629
ENSP00000397050	ENSORLP00000011484
ENSP00000284476	ENSORLP00000020315
ENSP00000267889	ENSORLP00000019444
ENSP00000312942	ENSORLP00000012372
ENSP00000312550	ENSORLP00000013987
ENSP00000392617	ENSORLP00000006883
ENSP00000378414	ENSORLP00000008632
ENSP00000349547	ENSORLP00000004669
ENSP00000349547	ENSORLP00000002783
ENSP00000347443	ENSORLP00000019742
ENSP00000378401	ENSORLP00000005416
ENSP00000362201	ENSORLP00000011470
ENSP00000362201	ENSORLP00000008530
ENSP00000315136	ENSORLP00000010005
ENSP00000259698	ENSORLP00000016138
ENSP00000261475	ENSORLP00000022152
ENSP00000396052	ENSORLP00000006816
ENSP00000355991	ENSORLP00000007321
ENSP00000358716	ENSORLP00000011224
ENSP00000377015	ENSORLP00000006748
ENSP00000400459	ENSORLP00000002587
ENSP00000400459	ENSORLP00000021247
ENSP00000306477	ENSORLP00000005051
ENSP00000313890	ENSORLP00000003765
ENSP00000364912	ENSORLP00000025014
ENSP00000364912	ENSORLP00000023046
ENSP00000358262	ENSORLP00000004584
ENSP00000283131	ENSORLP00000023370
ENSP00000366306	ENSORLP00000005779
ENSP00000302978	ENSORLP00000019283
ENSP00000344967	ENSORLP00000001843
ENSP00000302289	ENSORLP00000000380
ENSP00000307508	ENSORLP00000016337
ENSP00000307508	ENSORLP00000011234
ENSP00000469647	ENSORLP00000010522
ENSP00000388402	ENSORLP00000013931
ENSP00000462435	ENSORLP00000000404
ENSP00000353785	ENSORLP00000010156
ENSP00000361027	ENSORLP00000006817
ENSP00000473496	ENSORLP00000010839
ENSP00000362918	ENSORLP00000017958
ENSP00000376384	ENSORLP00000000765
ENSP00000376384	ENSORLP00000022963
ENSP00000217289	ENSORLP00000012341
ENSP00000331201	ENSORLP00000008971
ENSP00000298125	ENSORLP00000012770
ENSP00000233055	ENSORLP00000011639
ENSP00000359506	ENSORLP00000011409
ENSP00000296575	ENSORLP00000009205
ENSP00000365201	ENSORLP00000002583
ENSP00000308275	ENSORLP00000023345
ENSP00000312834	ENSORLP00000007496
ENSP00000246912	ENSORLP00000005624
ENSP00000370625	ENSORLP00000025492
ENSP00000228347	ENSORLP00000013878
ENSP00000263331	ENSORLP00000001089
ENSP00000349359	ENSORLP00000001552
ENSP00000356437	ENSORLP00000017675
ENSP00000475434	ENSORLP00000006205
ENSP00000226091	ENSORLP00000004588
ENSP00000245323	ENSORLP00000006352
ENSP00000204961	ENSORLP00000010309
ENSP00000310521	ENSORLP00000012308
ENSP00000264454	ENSORLP00000011744
ENSP00000343428	ENSORLP00000014035
ENSP00000375894	ENSORLP00000020821
ENSP00000349458	ENSORLP00000012196
ENSP00000245810	ENSORLP00000024929
ENSP00000302648	ENSORLP00000022596
ENSP00000409007	ENSORLP00000009862
ENSP00000409007	ENSORLP00000006891
ENSP00000216024	ENSORLP00000003557
ENSP00000358576	ENSORLP00000007985
ENSP00000367527	ENSORLP00000021646
ENSP00000355185	ENSORLP00000006008
ENSP00000323584	ENSORLP00000004020
ENSP00000323584	ENSORLP00000025678
ENSP00000240587	ENSORLP00000019393
ENSP00000240587	ENSORLP00000020263
ENSP00000360552	ENSORLP00000020160
ENSP00000233575	ENSORLP00000020418
ENSP00000328347	ENSORLP00000017369
ENSP00000363386	ENSORLP00000018703
ENSP00000354163	ENSORLP00000003121
ENSP00000355204	ENSORLP00000010358
ENSP00000363419	ENSORLP00000018379
ENSP00000440273	ENSORLP00000008025
ENSP00000345492	ENSORLP00000004446
ENSP00000354947	ENSORLP00000024471
ENSP00000012443	ENSORLP00000001596
ENSP00000286719	ENSORLP00000008097
ENSP00000286719	ENSORLP00000000429
ENSP00000354871	ENSORLP00000004449
ENSP00000283179	ENSORLP00000020164
ENSP00000302811	ENSORLP00000010222
ENSP00000257068	ENSORLP00000005776
ENSP00000366829	ENSORLP00000010859
ENSP00000264033	ENSORLP00000018205
ENSP00000264033	ENSORLP00000009540
ENSP00000270279	ENSORLP00000017078
ENSP00000284288	ENSORLP00000023811
ENSP00000227638	ENSORLP00000017035
ENSP00000379183	ENSORLP00000020445
ENSP00000386869	ENSORLP00000019236
ENSP00000442788	ENSORLP00000008154
ENSP00000304642	ENSORLP00000007869
ENSP00000395249	ENSORLP00000006661
ENSP00000268184	ENSORLP00000000212
ENSP00000296785	ENSORLP00000004078
ENSP00000305071	ENSORLP00000000976
ENSP00000367631	ENSORLP00000020199
ENSP00000266991	ENSORLP00000009519
ENSP00000367965	ENSORLP00000007337
ENSP00000367965	ENSORLP00000001624
ENSP00000273183	ENSORLP00000018408
ENSP00000327509	ENSORLP00000004345
ENSP00000327509	ENSORLP00000010374
ENSP00000329200	ENSORLP00000004805
ENSP00000413929	ENSORLP00000001377
ENSP00000339692	ENSORLP00000011375
ENSP00000368710	ENSORLP00000003554
ENSP00000340578	ENSORLP00000015073
ENSP00000418001	ENSORLP00000005894
ENSP00000306015	ENSORLP00000005907
ENSP00000347717	ENSORLP00000019315
ENSP00000339883	ENSORLP00000024717
ENSP00000279263	ENSORLP00000013410
ENSP00000273067	ENSORLP00000020586
ENSP00000266643	ENSORLP00000020760
ENSP00000266643	ENSORLP00000019029
ENSP00000333181	ENSORLP00000007969
ENSP00000402084	ENSORLP00000001371
ENSP00000380675	ENSORLP00000019923
ENSP00000404042	ENSORLP00000002647
ENSP00000278070	ENSORLP00000010561
ENSP00000278070	ENSORLP00000015469
ENSP00000312649	ENSORLP00000014010
ENSP00000228515	ENSORLP00000019596
ENSP00000379090	ENSORLP00000011560
ENSP00000379090	ENSORLP00000015154
ENSP00000261377	ENSORLP00000012214
ENSP00000363640	ENSORLP00000020274
ENSP00000289248	ENSORLP00000018488
ENSP00000363516	ENSORLP00000018144
ENSP00000407958	ENSORLP00000006400
ENSP00000407958	ENSORLP00000003599
ENSP00000365503	ENSORLP00000007535
ENSP00000365503	ENSORLP00000014285
ENSP00000429615	ENSORLP00000020878
ENSP00000313600	ENSORLP00000007208
ENSP00000273859	ENSORLP00000022644
ENSP00000349325	ENSORLP00000019787
ENSP00000313172	ENSORLP00000024448
ENSP00000254765	ENSORLP00000024453
ENSP00000264231	ENSORLP00000010822
ENSP00000314420	ENSORLP00000008703
ENSP00000356243	ENSORLP00000010606
ENSP00000366452	ENSORLP00000006785
ENSP00000452027	ENSORLP00000020810
ENSP00000258796	ENSORLP00000005808
ENSP00000258796	ENSORLP00000012156
ENSP00000365714	ENSORLP00000014236
ENSP00000269346	ENSORLP00000013816
ENSP00000269346	ENSORLP00000009296
ENSP00000366998	ENSORLP00000014946
ENSP00000465978	ENSORLP00000016954
ENSP00000371483	ENSORLP00000020360
ENSP00000371483	ENSORLP00000005426
ENSP00000321424	ENSORLP00000006343
ENSP00000376702	ENSORLP00000021224
ENSP00000319141	ENSORLP00000021641
ENSP00000323183	ENSORLP00000018138
ENSP00000476746	ENSORLP00000019690
ENSP00000269740	ENSORLP00000002892
ENSP00000367882	ENSORLP00000011226
ENSP00000254770	ENSORLP00000024597
ENSP00000388713	ENSORLP00000002994
ENSP00000259512	ENSORLP00000025687
ENSP00000158771	ENSORLP00000015770
ENSP00000411827	ENSORLP00000011728
ENSP00000315106	ENSORLP00000004907
ENSP00000286523	ENSORLP00000014019
ENSP00000286523	ENSORLP00000015646
ENSP00000370242	ENSORLP00000004667
ENSP00000362260	ENSORLP00000007841
ENSP00000353863	ENSORLP00000019964
ENSP00000294740	ENSORLP00000006671
ENSP00000294740	ENSORLP00000003490
ENSP00000252530	ENSORLP00000009679
ENSP00000367828	ENSORLP00000010356
ENSP00000362395	ENSORLP00000012995
ENSP00000330774	ENSORLP00000023550
ENSP00000400471	ENSORLP00000001882
ENSP00000343144	ENSORLP00000016444
ENSP00000219255	ENSORLP00000023337
ENSP00000274625	ENSORLP00000005305
ENSP00000386212	ENSORLP00000020385
ENSP00000364839	ENSORLP00000024974
ENSP00000384515	ENSORLP00000003387
ENSP00000379880	ENSORLP00000010863
ENSP00000291592	ENSORLP00000000069
ENSP00000291592	ENSORLP00000018084
ENSP00000434552	ENSORLP00000003379
ENSP00000382713	ENSORLP00000017949
ENSP00000386918	ENSORLP00000018328
ENSP00000417970	ENSORLP00000013259
ENSP00000366070	ENSORLP00000001922
ENSP00000365014	ENSORLP00000006918
ENSP00000262662	ENSORLP00000021449
ENSP00000377224	ENSORLP00000004798
ENSP00000356918	ENSORLP00000022618
ENSP00000356857	ENSORLP00000020645
ENSP00000321445	ENSORLP00000010073
ENSP00000358081	ENSORLP00000017319
ENSP00000287322	ENSORLP00000015833
ENSP00000369887	ENSORLP00000010249
ENSP00000441039	ENSORLP00000011378
ENSP00000298110	ENSORLP00000002058
ENSP00000430269	ENSORLP00000002021
ENSP00000296358	ENSORLP00000010413
ENSP00000304108	ENSORLP00000000115
ENSP00000367356	ENSORLP00000011519
ENSP00000293443	ENSORLP00000017738
ENSP00000436318	ENSORLP00000010084
ENSP00000270142	ENSORLP00000005499
ENSP00000371554	ENSORLP00000024188
ENSP00000243045	ENSORLP00000019051
ENSP00000326869	ENSORLP00000018921
ENSP00000269582	ENSORLP00000010438
ENSP00000357660	ENSORLP00000012428
ENSP00000424711	ENSORLP00000009922
ENSP00000261172	ENSORLP00000019196
ENSP00000262551	ENSORLP00000024687
ENSP00000360688	ENSORLP00000004490
ENSP00000387292	ENSORLP00000018660
ENSP00000418529	ENSORLP00000003107
ENSP00000269097	ENSORLP00000014199
ENSP00000364512	ENSORLP00000021351
ENSP00000369816	ENSORLP00000008096
ENSP00000331831	ENSORLP00000005987
ENSP00000290216	ENSORLP00000003518
ENSP00000272732	ENSORLP00000021884
ENSP00000362993	ENSORLP00000006699
ENSP00000472681	ENSORLP00000013527
ENSP00000266744	ENSORLP00000020661
ENSP00000345420	ENSORLP00000013811
ENSP00000277632	ENSORLP00000010489
ENSP00000354958	ENSORLP00000012557
ENSP00000331462	ENSORLP00000016253
ENSP00000340494	ENSORLP00000022988
ENSP00000340494	ENSORLP00000020264
ENSP00000337731	ENSORLP00000009320
ENSP00000320209	ENSORLP00000004340
ENSP00000253796	ENSORLP00000005336
ENSP00000242249	ENSORLP00000007549
ENSP00000227163	ENSORLP00000019754
ENSP00000343248	ENSORLP00000009437
ENSP00000356811	ENSORLP00000020730
ENSP00000376035	ENSORLP00000008146
ENSP00000300101	ENSORLP00000020784
ENSP00000246190	ENSORLP00000005949
ENSP00000356481	ENSORLP00000016890
ENSP00000362409	ENSORLP00000022125
ENSP00000362409	ENSORLP00000017549
ENSP00000419712	ENSORLP00000021246
ENSP00000401338	ENSORLP00000012224
ENSP00000320318	ENSORLP00000008101
ENSP00000261655	ENSORLP00000017211
ENSP00000261655	ENSORLP00000013572
ENSP00000368767	ENSORLP00000004032
ENSP00000215906	ENSORLP00000018299
ENSP00000308057	ENSORLP00000009052
ENSP00000373360	ENSORLP00000011883
ENSP00000358795	ENSORLP00000002871
ENSP00000358795	ENSORLP00000007584
ENSP00000358815	ENSORLP00000008216
ENSP00000307801	ENSORLP00000006833
ENSP00000307801	ENSORLP00000006764
ENSP00000358430	ENSORLP00000014650
ENSP00000182527	ENSORLP00000016255
ENSP00000263671	ENSORLP00000008757
ENSP00000297265	ENSORLP00000013553
ENSP00000396160	ENSORLP00000018778
ENSP00000368683	ENSORLP00000011633
ENSP00000337128	ENSORLP00000011814
ENSP00000456548	ENSORLP00000012193
ENSP00000456548	ENSORLP00000005850
ENSP00000285311	ENSORLP00000008524
ENSP00000363081	ENSORLP00000007971
ENSP00000359098	ENSORLP00000021902
ENSP00000320797	ENSORLP00000015867
ENSP00000387851	ENSORLP00000001327
ENSP00000351113	ENSORLP00000000301
ENSP00000334665	ENSORLP00000009648
ENSP00000334665	ENSORLP00000004552
ENSP00000439625	ENSORLP00000024023
ENSP00000380185	ENSORLP00000015348
ENSP00000344961	ENSORLP00000014183
ENSP00000359795	ENSORLP00000004472
ENSP00000319254	ENSORLP00000008559
ENSP00000369858	ENSORLP00000004240
ENSP00000450842	ENSORLP00000015829
ENSP00000230461	ENSORLP00000021660
ENSP00000362613	ENSORLP00000002441
ENSP00000474621	ENSORLP00000007201
ENSP00000380437	ENSORLP00000007687
ENSP00000391481	ENSORLP00000003041
ENSP00000346890	ENSORLP00000004326
ENSP00000346890	ENSORLP00000017619
ENSP00000297293	ENSORLP00000012004
ENSP00000270238	ENSORLP00000014045
ENSP00000362469	ENSORLP00000021309
ENSP00000360966	ENSORLP00000016155
ENSP00000370724	ENSORLP00000019983
ENSP00000349351	ENSORLP00000014044
ENSP00000349351	ENSORLP00000002939
ENSP00000348752	ENSORLP00000018283
ENSP00000328216	ENSORLP00000016228
ENSP00000250340	ENSORLP00000022025
ENSP00000296130	ENSORLP00000002778
ENSP00000296130	ENSORLP00000005721
ENSP00000299642	ENSORLP00000009414
ENSP00000280701	ENSORLP00000010856
ENSP00000304592	ENSORLP00000016949
ENSP00000296980	ENSORLP00000023762
ENSP00000314976	ENSORLP00000021407
ENSP00000249647	ENSORLP00000014274
ENSP00000361287	ENSORLP00000009255
ENSP00000361287	ENSORLP00000016105
ENSP00000303147	ENSORLP00000007913
ENSP00000303147	ENSORLP00000011580
ENSP00000377665	ENSORLP00000016589
ENSP00000219409	ENSORLP00000016286
ENSP00000064780	ENSORLP00000012918
ENSP00000398778	ENSORLP00000008716
ENSP00000257209	ENSORLP00000008854
ENSP00000257209	ENSORLP00000017267
ENSP00000384967	ENSORLP00000024782
ENSP00000380524	ENSORLP00000024385
ENSP00000361004	ENSORLP00000008876
ENSP00000333142	ENSORLP00000013079
ENSP00000388731	ENSORLP00000013238
ENSP00000400892	ENSORLP00000006554
ENSP00000252996	ENSORLP00000014852
ENSP00000252996	ENSORLP00000016972
ENSP00000348395	ENSORLP00000018436
ENSP00000357844	ENSORLP00000019008
ENSP00000465734	ENSORLP00000003649
ENSP00000367123	ENSORLP00000006767
ENSP00000343657	ENSORLP00000002037
ENSP00000419027	ENSORLP00000014887
ENSP00000377549	ENSORLP00000015807
ENSP00000473631	ENSORLP00000022167
ENSP00000406463	ENSORLP00000004716
ENSP00000406463	ENSORLP00000017458
ENSP00000384126	ENSORLP00000018971
ENSP00000328625	ENSORLP00000007333
ENSP00000310447	ENSORLP00000015644
ENSP00000369383	ENSORLP00000010956
ENSP00000469836	ENSORLP00000010480
ENSP00000321271	ENSORLP00000008957
ENSP00000387164	ENSORLP00000009387
ENSP00000292476	ENSORLP00000017236
ENSP00000400482	ENSORLP00000006905
ENSP00000413720	ENSORLP00000002598
ENSP00000384849	ENSORLP00000000343
ENSP00000378651	ENSORLP00000002465
ENSP00000378651	ENSORLP00000024657
ENSP00000265388	ENSORLP00000024969
ENSP00000450864	ENSORLP00000016411
ENSP00000263849	ENSORLP00000008538
ENSP00000294312	ENSORLP00000000352
ENSP00000237837	ENSORLP00000019815
ENSP00000287295	ENSORLP00000012070
ENSP00000392094	ENSORLP00000003876
ENSP00000230381	ENSORLP00000004175
ENSP00000230381	ENSORLP00000023475
ENSP00000278833	ENSORLP00000003204
ENSP00000278833	ENSORLP00000013513
ENSP00000380888	ENSORLP00000015443
ENSP00000370223	ENSORLP00000010582
ENSP00000311695	ENSORLP00000002539
ENSP00000384040	ENSORLP00000016525
ENSP00000215838	ENSORLP00000008268
ENSP00000359380	ENSORLP00000011565
ENSP00000359380	ENSORLP00000008592
ENSP00000358880	ENSORLP00000000538
ENSP00000278071	ENSORLP00000007799
ENSP00000357840	ENSORLP00000019004
ENSP00000318602	ENSORLP00000020910
ENSP00000318602	ENSORLP00000016386
ENSP00000359848	ENSORLP00000004125
ENSP00000237937	ENSORLP00000015408
ENSP00000237937	ENSORLP00000017086
ENSP00000326128	ENSORLP00000007642
ENSP00000393887	ENSORLP00000011437
ENSP00000369436	ENSORLP00000015096
ENSP00000410157	ENSORLP00000000077
ENSP00000344456	ENSORLP00000007357
ENSP00000268154	ENSORLP00000010332
ENSP00000268154	ENSORLP00000015793
ENSP00000264313	ENSORLP00000000319
ENSP00000370003	ENSORLP00000015175
ENSP00000370003	ENSORLP00000015347
ENSP00000357625	ENSORLP00000007433
ENSP00000328992	ENSORLP00000006101
ENSP00000318690	ENSORLP00000014059
ENSP00000376224	ENSORLP00000021480
ENSP00000463375	ENSORLP00000005262
ENSP00000306328	ENSORLP00000007236
ENSP00000364140	ENSORLP00000016251
ENSP00000364140	ENSORLP00000017415
ENSP00000426809	ENSORLP00000024936
ENSP00000426809	ENSORLP00000009890
ENSP00000325266	ENSORLP00000003500
ENSP00000311760	ENSORLP00000008389
ENSP00000364035	ENSORLP00000009579
ENSP00000273857	ENSORLP00000023715
ENSP00000303997	ENSORLP00000001111
ENSP00000303997	ENSORLP00000008168
ENSP00000346080	ENSORLP00000003642
ENSP00000235628	ENSORLP00000021536
ENSP00000235628	ENSORLP00000017085
ENSP00000331474	ENSORLP00000020886
ENSP00000375859	ENSORLP00000001200
ENSP00000366058	ENSORLP00000003803
ENSP00000316891	ENSORLP00000024880
ENSP00000316891	ENSORLP00000009819
ENSP00000346874	ENSORLP00000024042
ENSP00000341171	ENSORLP00000019333
ENSP00000341171	ENSORLP00000020327
ENSP00000429064	ENSORLP00000006228
ENSP00000429064	ENSORLP00000000819
ENSP00000256797	ENSORLP00000011199
ENSP00000381053	ENSORLP00000007453
ENSP00000418210	ENSORLP00000017104
ENSP00000418210	ENSORLP00000015086
ENSP00000367494	ENSORLP00000019038
ENSP00000387266	ENSORLP00000003933
ENSP00000387266	ENSORLP00000015587
ENSP00000377409	ENSORLP00000011596
ENSP00000377409	ENSORLP00000007965
ENSP00000424565	ENSORLP00000009075
ENSP00000271636	ENSORLP00000012135
ENSP00000271636	ENSORLP00000000561
ENSP00000357073	ENSORLP00000015258
ENSP00000357073	ENSORLP00000015318
ENSP00000299259	ENSORLP00000002921
ENSP00000368523	ENSORLP00000013095
ENSP00000338532	ENSORLP00000012127
ENSP00000338532	ENSORLP00000007060
ENSP00000262637	ENSORLP00000006783
ENSP00000350036	ENSORLP00000001239
ENSP00000315630	ENSORLP00000001350
ENSP00000315630	ENSORLP00000008946
ENSP00000319831	ENSORLP00000008348
ENSP00000262518	ENSORLP00000015638
ENSP00000251810	ENSORLP00000016486
ENSP00000409906	ENSORLP00000005898
ENSP00000378408	ENSORLP00000009160
ENSP00000378408	ENSORLP00000022172
ENSP00000356433	ENSORLP00000017636
ENSP00000361895	ENSORLP00000021519
ENSP00000361895	ENSORLP00000007351
ENSP00000385527	ENSORLP00000012642
ENSP00000363533	ENSORLP00000006645
ENSP00000322775	ENSORLP00000000928
ENSP00000254624	ENSORLP00000008163
ENSP00000340465	ENSORLP00000002277
ENSP00000272542	ENSORLP00000011949
ENSP00000272542	ENSORLP00000016514
ENSP00000254963	ENSORLP00000007349
ENSP00000428579	ENSORLP00000004489
ENSP00000364486	ENSORLP00000025765
ENSP00000422626	ENSORLP00000006276
