ENSACAP00000008923	ENSGACP00000024945
ENSACAP00000012955	ENSGACP00000002455
ENSACAP00000003322	ENSGACP00000026543
ENSACAP00000014414	ENSGACP00000017842
ENSACAP00000018929	ENSGACP00000009943
ENSACAP00000010559	ENSGACP00000018696
ENSACAP00000015463	ENSGACP00000016745
ENSACAP00000011293	ENSGACP00000018419
ENSACAP00000007007	ENSGACP00000005029
ENSACAP00000016818	ENSGACP00000010169
ENSACAP00000016818	ENSGACP00000010780
ENSACAP00000008189	ENSGACP00000016008
ENSACAP00000022031	ENSGACP00000004922
ENSACAP00000013091	ENSGACP00000022865
ENSACAP00000015580	ENSGACP00000009861
ENSACAP00000015210	ENSGACP00000020412
ENSACAP00000008969	ENSGACP00000009980
ENSACAP00000016005	ENSGACP00000002724
ENSACAP00000011086	ENSGACP00000014871
ENSACAP00000014735	ENSGACP00000020209
ENSACAP00000000961	ENSGACP00000016332
ENSACAP00000008418	ENSGACP00000005262
ENSACAP00000005880	ENSGACP00000021845
ENSACAP00000017504	ENSGACP00000021463
ENSACAP00000007523	ENSGACP00000027576
ENSACAP00000015500	ENSGACP00000006876
ENSACAP00000006158	ENSGACP00000024671
ENSACAP00000013012	ENSGACP00000000089
ENSACAP00000013012	ENSGACP00000017018
ENSACAP00000000293	ENSGACP00000009719
ENSACAP00000006127	ENSGACP00000008279
ENSACAP00000003589	ENSGACP00000023048
ENSACAP00000007155	ENSGACP00000024408
ENSACAP00000007155	ENSGACP00000023575
ENSACAP00000007102	ENSGACP00000023542
ENSACAP00000007102	ENSGACP00000021565
ENSACAP00000000379	ENSGACP00000013689
ENSACAP00000000267	ENSGACP00000022432
ENSACAP00000002535	ENSGACP00000016847
ENSACAP00000001448	ENSGACP00000024970
ENSACAP00000005579	ENSGACP00000024289
ENSACAP00000006748	ENSGACP00000023670
ENSACAP00000011741	ENSGACP00000016094
ENSACAP00000018517	ENSGACP00000021158
ENSACAP00000011730	ENSGACP00000005556
ENSACAP00000001927	ENSGACP00000023372
ENSACAP00000002053	ENSGACP00000010204
ENSACAP00000002053	ENSGACP00000025028
ENSACAP00000001574	ENSGACP00000017511
ENSACAP00000020361	ENSGACP00000003416
ENSACAP00000013359	ENSGACP00000023175
ENSACAP00000015296	ENSGACP00000015638
ENSACAP00000011756	ENSGACP00000023682
ENSACAP00000001253	ENSGACP00000009247
ENSACAP00000006080	ENSGACP00000015711
ENSACAP00000001578	ENSGACP00000009444
ENSACAP00000004214	ENSGACP00000016597
ENSACAP00000009400	ENSGACP00000007497
ENSACAP00000009400	ENSGACP00000002653
ENSACAP00000009203	ENSGACP00000007409
ENSACAP00000009203	ENSGACP00000026584
ENSACAP00000007206	ENSGACP00000018727
ENSACAP00000008682	ENSGACP00000021749
ENSACAP00000008682	ENSGACP00000018184
ENSACAP00000007347	ENSGACP00000007264
ENSACAP00000013267	ENSGACP00000005589
ENSACAP00000012980	ENSGACP00000013098
ENSACAP00000016466	ENSGACP00000014667
ENSACAP00000016466	ENSGACP00000025204
ENSACAP00000019958	ENSGACP00000001600
ENSACAP00000011840	ENSGACP00000022170
ENSACAP00000011840	ENSGACP00000018835
ENSACAP00000009903	ENSGACP00000022238
ENSACAP00000018247	ENSGACP00000027309
ENSACAP00000003336	ENSGACP00000017827
ENSACAP00000015337	ENSGACP00000015070
ENSACAP00000003049	ENSGACP00000025588
ENSACAP00000013715	ENSGACP00000027647
ENSACAP00000009895	ENSGACP00000000277
ENSACAP00000009895	ENSGACP00000023485
ENSACAP00000015439	ENSGACP00000008232
ENSACAP00000009871	ENSGACP00000017954
ENSACAP00000019684	ENSGACP00000001940
ENSACAP00000012253	ENSGACP00000001480
ENSACAP00000002933	ENSGACP00000005326
ENSACAP00000010353	ENSGACP00000020155
ENSACAP00000010296	ENSGACP00000019127
ENSACAP00000011749	ENSGACP00000018912
ENSACAP00000005926	ENSGACP00000019972
ENSACAP00000005926	ENSGACP00000008668
ENSACAP00000006103	ENSGACP00000013158
ENSACAP00000007298	ENSGACP00000024114
ENSACAP00000013879	ENSGACP00000023601
ENSACAP00000000936	ENSGACP00000010753
ENSACAP00000016986	ENSGACP00000015363
ENSACAP00000008495	ENSGACP00000013224
ENSACAP00000008495	ENSGACP00000020786
ENSACAP00000016460	ENSGACP00000015231
ENSACAP00000012836	ENSGACP00000019451
ENSACAP00000012836	ENSGACP00000003594
ENSACAP00000008089	ENSGACP00000023110
ENSACAP00000008089	ENSGACP00000000456
ENSACAP00000014986	ENSGACP00000012110
ENSACAP00000003264	ENSGACP00000009491
ENSACAP00000022442	ENSGACP00000004300
ENSACAP00000015467	ENSGACP00000022162
ENSACAP00000014741	ENSGACP00000010548
ENSACAP00000014741	ENSGACP00000027226
ENSACAP00000002600	ENSGACP00000005410
ENSACAP00000011189	ENSGACP00000025795
ENSACAP00000011189	ENSGACP00000021010
ENSACAP00000006020	ENSGACP00000003830
ENSACAP00000011677	ENSGACP00000019894
ENSACAP00000003114	ENSGACP00000022896
ENSACAP00000005111	ENSGACP00000017858
ENSACAP00000005111	ENSGACP00000011501
ENSACAP00000015756	ENSGACP00000026236
ENSACAP00000015599	ENSGACP00000006501
ENSACAP00000015599	ENSGACP00000004337
ENSACAP00000012122	ENSGACP00000008486
ENSACAP00000023392	ENSGACP00000025969
ENSACAP00000015176	ENSGACP00000012032
ENSACAP00000003583	ENSGACP00000018469
ENSACAP00000003583	ENSGACP00000005860
ENSACAP00000005286	ENSGACP00000011104
ENSACAP00000005286	ENSGACP00000006631
ENSACAP00000017212	ENSGACP00000002984
ENSACAP00000015232	ENSGACP00000018973
ENSACAP00000015232	ENSGACP00000014393
ENSACAP00000016360	ENSGACP00000015218
ENSACAP00000001831	ENSGACP00000012351
ENSACAP00000001831	ENSGACP00000016009
ENSACAP00000008324	ENSGACP00000011041
ENSACAP00000008324	ENSGACP00000026223
ENSACAP00000015451	ENSGACP00000020452
ENSACAP00000009071	ENSGACP00000025364
ENSACAP00000003352	ENSGACP00000012989
ENSACAP00000003352	ENSGACP00000006918
ENSACAP00000001825	ENSGACP00000006449
ENSACAP00000015252	ENSGACP00000026210
ENSACAP00000002708	ENSGACP00000004346
ENSACAP00000010722	ENSGACP00000001534
ENSACAP00000010722	ENSGACP00000006856
ENSACAP00000007884	ENSGACP00000002355
ENSACAP00000012247	ENSGACP00000016258
ENSACAP00000002602	ENSGACP00000016387
ENSACAP00000000537	ENSGACP00000008570
ENSACAP00000008329	ENSGACP00000005216
ENSACAP00000003939	ENSGACP00000026197
ENSACAP00000011055	ENSGACP00000021313
ENSACAP00000016371	ENSGACP00000026258
ENSACAP00000011004	ENSGACP00000007555
ENSACAP00000000977	ENSGACP00000015943
ENSACAP00000013007	ENSGACP00000004350
ENSACAP00000011348	ENSGACP00000027608
ENSACAP00000001870	ENSGACP00000005191
ENSACAP00000005624	ENSGACP00000021451
ENSACAP00000005624	ENSGACP00000021788
ENSACAP00000014494	ENSGACP00000018902
ENSACAP00000000984	ENSGACP00000013858
ENSACAP00000005993	ENSGACP00000002435
ENSACAP00000005993	ENSGACP00000012902
ENSACAP00000008112	ENSGACP00000009888
ENSACAP00000015449	ENSGACP00000022188
ENSACAP00000004057	ENSGACP00000008602
ENSACAP00000005689	ENSGACP00000004712
ENSACAP00000014961	ENSGACP00000024217
ENSACAP00000006995	ENSGACP00000010864
ENSACAP00000011308	ENSGACP00000006083
ENSACAP00000016172	ENSGACP00000020073
ENSACAP00000016172	ENSGACP00000013262
ENSACAP00000014888	ENSGACP00000003702
ENSACAP00000014888	ENSGACP00000023212
ENSACAP00000000770	ENSGACP00000008920
ENSACAP00000008545	ENSGACP00000016949
ENSACAP00000002967	ENSGACP00000005950
ENSACAP00000008791	ENSGACP00000012855
ENSACAP00000008791	ENSGACP00000020715
ENSACAP00000012319	ENSGACP00000014479
ENSACAP00000015625	ENSGACP00000025558
ENSACAP00000015625	ENSGACP00000017841
ENSACAP00000013710	ENSGACP00000004872
ENSACAP00000017131	ENSGACP00000023507
ENSACAP00000011839	ENSGACP00000011362
ENSACAP00000008104	ENSGACP00000023220
ENSACAP00000008104	ENSGACP00000002330
ENSACAP00000005828	ENSGACP00000011066
ENSACAP00000005828	ENSGACP00000000892
ENSACAP00000016946	ENSGACP00000000863
ENSACAP00000000557	ENSGACP00000005048
ENSACAP00000022779	ENSGACP00000013829
ENSACAP00000016469	ENSGACP00000020834
ENSACAP00000004662	ENSGACP00000019852
ENSACAP00000012859	ENSGACP00000018474
ENSACAP00000001246	ENSGACP00000005354
ENSACAP00000007643	ENSGACP00000008013
ENSACAP00000002636	ENSGACP00000003321
ENSACAP00000008364	ENSGACP00000026878
ENSACAP00000006594	ENSGACP00000003334
ENSACAP00000014580	ENSGACP00000024019
ENSACAP00000016992	ENSGACP00000018126
ENSACAP00000006556	ENSGACP00000014692
ENSACAP00000003870	ENSGACP00000026646
ENSACAP00000002228	ENSGACP00000010952
ENSACAP00000013096	ENSGACP00000004454
ENSACAP00000005404	ENSGACP00000009285
ENSACAP00000002786	ENSGACP00000026637
ENSACAP00000006035	ENSGACP00000024601
ENSACAP00000006035	ENSGACP00000024657
ENSACAP00000001468	ENSGACP00000019854
ENSACAP00000019736	ENSGACP00000024131
ENSACAP00000011958	ENSGACP00000024454
ENSACAP00000006749	ENSGACP00000019672
ENSACAP00000014963	ENSGACP00000010888
ENSACAP00000009047	ENSGACP00000005898
ENSACAP00000014481	ENSGACP00000004369
ENSACAP00000010030	ENSGACP00000012261
ENSACAP00000006130	ENSGACP00000024745
ENSACAP00000006130	ENSGACP00000012472
ENSACAP00000005830	ENSGACP00000017442
ENSACAP00000002374	ENSGACP00000007439
ENSACAP00000002374	ENSGACP00000017670
ENSACAP00000008018	ENSGACP00000000939
ENSACAP00000012696	ENSGACP00000011081
ENSACAP00000012696	ENSGACP00000019964
ENSACAP00000014814	ENSGACP00000015633
ENSACAP00000002063	ENSGACP00000019668
ENSACAP00000013130	ENSGACP00000002654
ENSACAP00000010109	ENSGACP00000023349
ENSACAP00000016750	ENSGACP00000004414
ENSACAP00000005383	ENSGACP00000005484
ENSACAP00000009618	ENSGACP00000008735
ENSACAP00000001532	ENSGACP00000001247
ENSACAP00000000317	ENSGACP00000021495
ENSACAP00000000317	ENSGACP00000017769
ENSACAP00000009031	ENSGACP00000005533
ENSACAP00000003841	ENSGACP00000000139
ENSACAP00000012771	ENSGACP00000022788
ENSACAP00000012771	ENSGACP00000008723
ENSACAP00000016060	ENSGACP00000025535
ENSACAP00000016060	ENSGACP00000008253
ENSACAP00000018066	ENSGACP00000012968
ENSACAP00000014429	ENSGACP00000017926
ENSACAP00000001106	ENSGACP00000022100
ENSACAP00000007441	ENSGACP00000013085
ENSACAP00000003479	ENSGACP00000007386
ENSACAP00000003479	ENSGACP00000020410
ENSACAP00000003057	ENSGACP00000015584
ENSACAP00000003057	ENSGACP00000004298
ENSACAP00000012969	ENSGACP00000008353
ENSACAP00000006667	ENSGACP00000006370
ENSACAP00000001956	ENSGACP00000019698
ENSACAP00000022585	ENSGACP00000006392
ENSACAP00000022146	ENSGACP00000021124
ENSACAP00000014647	ENSGACP00000013336
ENSACAP00000006068	ENSGACP00000011690
ENSACAP00000006068	ENSGACP00000019948
ENSACAP00000012201	ENSGACP00000018470
ENSACAP00000012201	ENSGACP00000021215
ENSACAP00000018507	ENSGACP00000013169
ENSACAP00000009980	ENSGACP00000008419
ENSACAP00000009980	ENSGACP00000020532
ENSACAP00000007068	ENSGACP00000010876
ENSACAP00000007068	ENSGACP00000009505
ENSACAP00000006207	ENSGACP00000005188
ENSACAP00000005659	ENSGACP00000017522
ENSACAP00000005659	ENSGACP00000015823
ENSACAP00000006146	ENSGACP00000017495
ENSACAP00000006146	ENSGACP00000016935
ENSACAP00000017685	ENSGACP00000023711
ENSACAP00000014147	ENSGACP00000016966
ENSACAP00000020674	ENSGACP00000007036
ENSACAP00000009403	ENSGACP00000022469
ENSACAP00000001011	ENSGACP00000005555
ENSACAP00000001011	ENSGACP00000019923
ENSACAP00000023242	ENSGACP00000011268
ENSACAP00000012748	ENSGACP00000020940
ENSACAP00000016873	ENSGACP00000004358
ENSACAP00000006458	ENSGACP00000013711
ENSACAP00000006458	ENSGACP00000007491
ENSACAP00000022750	ENSGACP00000014495
ENSACAP00000013337	ENSGACP00000005331
ENSACAP00000013337	ENSGACP00000011841
ENSACAP00000014598	ENSGACP00000017886
ENSACAP00000003397	ENSGACP00000021125
ENSACAP00000001635	ENSGACP00000011400
ENSACAP00000001558	ENSGACP00000016655
ENSACAP00000017164	ENSGACP00000006915
ENSACAP00000014074	ENSGACP00000007323
ENSACAP00000009970	ENSGACP00000008105
ENSACAP00000002410	ENSGACP00000009163
ENSACAP00000003764	ENSGACP00000011794
ENSACAP00000000450	ENSGACP00000023760
ENSACAP00000003546	ENSGACP00000012861
ENSACAP00000003546	ENSGACP00000006759
ENSACAP00000009483	ENSGACP00000022923
ENSACAP00000009483	ENSGACP00000011145
ENSACAP00000016567	ENSGACP00000010604
ENSACAP00000016567	ENSGACP00000008770
ENSACAP00000011263	ENSGACP00000004759
ENSACAP00000010759	ENSGACP00000017692
ENSACAP00000010759	ENSGACP00000000605
ENSACAP00000021596	ENSGACP00000003213
ENSACAP00000021596	ENSGACP00000011031
ENSACAP00000009943	ENSGACP00000021779
ENSACAP00000015119	ENSGACP00000011017
ENSACAP00000015119	ENSGACP00000003214
ENSACAP00000008582	ENSGACP00000022501
ENSACAP00000002287	ENSGACP00000005461
ENSACAP00000013146	ENSGACP00000018020
ENSACAP00000000050	ENSGACP00000014576
ENSACAP00000003711	ENSGACP00000004324
ENSACAP00000000038	ENSGACP00000017250
ENSACAP00000011974	ENSGACP00000017614
ENSACAP00000000912	ENSGACP00000017925
ENSACAP00000003085	ENSGACP00000004826
ENSACAP00000016894	ENSGACP00000012637
ENSACAP00000013739	ENSGACP00000008841
ENSACAP00000015174	ENSGACP00000023472
ENSACAP00000013626	ENSGACP00000023472
ENSACAP00000004223	ENSGACP00000016612
ENSACAP00000019520	ENSGACP00000011239
ENSACAP00000019520	ENSGACP00000008847
ENSACAP00000011139	ENSGACP00000012195
ENSACAP00000004781	ENSGACP00000017930
ENSACAP00000004781	ENSGACP00000015542
ENSACAP00000004556	ENSGACP00000012067
ENSACAP00000011319	ENSGACP00000019196
ENSACAP00000004426	ENSGACP00000006756
ENSACAP00000002618	ENSGACP00000004225
ENSACAP00000003466	ENSGACP00000006443
ENSACAP00000003466	ENSGACP00000017260
ENSACAP00000002561	ENSGACP00000001945
ENSACAP00000006186	ENSGACP00000007399
ENSACAP00000008191	ENSGACP00000025484
ENSACAP00000006980	ENSGACP00000007413
ENSACAP00000016608	ENSGACP00000017473
ENSACAP00000008246	ENSGACP00000023140
ENSACAP00000008730	ENSGACP00000011117
ENSACAP00000008730	ENSGACP00000012616
ENSACAP00000000330	ENSGACP00000014505
ENSACAP00000006393	ENSGACP00000014474
ENSACAP00000014941	ENSGACP00000016233
ENSACAP00000014941	ENSGACP00000012111
ENSACAP00000016656	ENSGACP00000012253
ENSACAP00000010835	ENSGACP00000007604
ENSACAP00000006007	ENSGACP00000011747
ENSACAP00000011013	ENSGACP00000022484
ENSACAP00000000248	ENSGACP00000014597
ENSACAP00000000810	ENSGACP00000020975
ENSACAP00000006482	ENSGACP00000024583
ENSACAP00000006482	ENSGACP00000021734
ENSACAP00000003967	ENSGACP00000027244
ENSACAP00000003967	ENSGACP00000015749
ENSACAP00000003520	ENSGACP00000023085
ENSACAP00000008631	ENSGACP00000009498
ENSACAP00000012376	ENSGACP00000025927
ENSACAP00000016666	ENSGACP00000023942
ENSACAP00000012500	ENSGACP00000024443
ENSACAP00000017384	ENSGACP00000027187
ENSACAP00000012031	ENSGACP00000016121
ENSACAP00000012031	ENSGACP00000012475
ENSACAP00000022848	ENSGACP00000016057
ENSACAP00000015971	ENSGACP00000011028
ENSACAP00000005251	ENSGACP00000006043
ENSACAP00000015396	ENSGACP00000014124
ENSACAP00000001244	ENSGACP00000005779
ENSACAP00000007629	ENSGACP00000000596
ENSACAP00000002918	ENSGACP00000022782
ENSACAP00000012148	ENSGACP00000016041
ENSACAP00000011691	ENSGACP00000026874
ENSACAP00000009061	ENSGACP00000011345
ENSACAP00000002167	ENSGACP00000017403
ENSACAP00000012892	ENSGACP00000027640
ENSACAP00000022695	ENSGACP00000013432
ENSACAP00000011125	ENSGACP00000008375
ENSACAP00000016558	ENSGACP00000020821
ENSACAP00000014653	ENSGACP00000019899
ENSACAP00000014653	ENSGACP00000004026
ENSACAP00000000996	ENSGACP00000026659
ENSACAP00000000996	ENSGACP00000014114
ENSACAP00000017376	ENSGACP00000018365
ENSACAP00000001503	ENSGACP00000016016
ENSACAP00000012304	ENSGACP00000027235
ENSACAP00000001349	ENSGACP00000004122
ENSACAP00000003529	ENSGACP00000023771
ENSACAP00000005833	ENSGACP00000008550
ENSACAP00000003761	ENSGACP00000023898
ENSACAP00000003761	ENSGACP00000004306
ENSACAP00000008371	ENSGACP00000004058
ENSACAP00000008371	ENSGACP00000019647
ENSACAP00000005206	ENSGACP00000002897
ENSACAP00000005206	ENSGACP00000018038
ENSACAP00000004846	ENSGACP00000013238
ENSACAP00000001051	ENSGACP00000005550
ENSACAP00000001051	ENSGACP00000018451
ENSACAP00000006134	ENSGACP00000007037
ENSACAP00000013341	ENSGACP00000009196
ENSACAP00000002346	ENSGACP00000008422
ENSACAP00000002346	ENSGACP00000026623
ENSACAP00000002151	ENSGACP00000027583
ENSACAP00000002151	ENSGACP00000017530
ENSACAP00000015029	ENSGACP00000022634
ENSACAP00000016412	ENSGACP00000015087
ENSACAP00000010115	ENSGACP00000014513
ENSACAP00000013571	ENSGACP00000024534
ENSACAP00000003630	ENSGACP00000017552
ENSACAP00000010055	ENSGACP00000009935
ENSACAP00000015877	ENSGACP00000002784
ENSACAP00000020876	ENSGACP00000014234
ENSACAP00000014434	ENSGACP00000025291
ENSACAP00000006449	ENSGACP00000012148
ENSACAP00000006424	ENSGACP00000012139
ENSACAP00000011574	ENSGACP00000012891
ENSACAP00000000087	ENSGACP00000017505
ENSACAP00000014523	ENSGACP00000023819
ENSACAP00000013188	ENSGACP00000023528
ENSACAP00000013188	ENSGACP00000025820
ENSACAP00000009727	ENSGACP00000014446
ENSACAP00000009727	ENSGACP00000003763
ENSACAP00000003139	ENSGACP00000017855
ENSACAP00000003139	ENSGACP00000019205
ENSACAP00000000517	ENSGACP00000015548
ENSACAP00000018406	ENSGACP00000008937
ENSACAP00000014443	ENSGACP00000003142
ENSACAP00000021844	ENSGACP00000021707
ENSACAP00000023069	ENSGACP00000004630
ENSACAP00000011046	ENSGACP00000009610
ENSACAP00000002608	ENSGACP00000023990
ENSACAP00000014738	ENSGACP00000007237
ENSACAP00000004858	ENSGACP00000012810
ENSACAP00000008700	ENSGACP00000003031
ENSACAP00000014499	ENSGACP00000017879
ENSACAP00000021654	ENSGACP00000020655
ENSACAP00000021654	ENSGACP00000000392
ENSACAP00000007230	ENSGACP00000002828
ENSACAP00000006279	ENSGACP00000025624
ENSACAP00000006279	ENSGACP00000016227
ENSACAP00000015534	ENSGACP00000025318
ENSACAP00000015534	ENSGACP00000009733
ENSACAP00000013532	ENSGACP00000025814
ENSACAP00000004470	ENSGACP00000013206
ENSACAP00000003754	ENSGACP00000027520
ENSACAP00000002925	ENSGACP00000009084
ENSACAP00000012849	ENSGACP00000017353
ENSACAP00000012849	ENSGACP00000007319
ENSACAP00000014874	ENSGACP00000017735
ENSACAP00000016361	ENSGACP00000022008
ENSACAP00000000854	ENSGACP00000011923
ENSACAP00000000854	ENSGACP00000008743
ENSACAP00000002833	ENSGACP00000001874
ENSACAP00000012559	ENSGACP00000025061
ENSACAP00000001157	ENSGACP00000003276
ENSACAP00000008052	ENSGACP00000018937
ENSACAP00000008052	ENSGACP00000018824
ENSACAP00000016133	ENSGACP00000005417
ENSACAP00000016133	ENSGACP00000024940
ENSACAP00000014673	ENSGACP00000015565
ENSACAP00000011215	ENSGACP00000016107
ENSACAP00000011215	ENSGACP00000000577
ENSACAP00000013467	ENSGACP00000016189
ENSACAP00000008325	ENSGACP00000003926
ENSACAP00000009634	ENSGACP00000002413
ENSACAP00000016067	ENSGACP00000025089
ENSACAP00000016067	ENSGACP00000023544
ENSACAP00000010067	ENSGACP00000014699
ENSACAP00000010067	ENSGACP00000025172
ENSACAP00000006082	ENSGACP00000025941
ENSACAP00000001818	ENSGACP00000019692
ENSACAP00000006381	ENSGACP00000008526
ENSACAP00000007977	ENSGACP00000001074
ENSACAP00000003106	ENSGACP00000024768
ENSACAP00000008692	ENSGACP00000023839
ENSACAP00000009186	ENSGACP00000024438
ENSACAP00000003603	ENSGACP00000011387
ENSACAP00000000869	ENSGACP00000023219
ENSACAP00000015452	ENSGACP00000022260
ENSACAP00000013246	ENSGACP00000005611
ENSACAP00000012317	ENSGACP00000007173
ENSACAP00000018347	ENSGACP00000018164
ENSACAP00000005284	ENSGACP00000013077
ENSACAP00000012888	ENSGACP00000021237
ENSACAP00000002214	ENSGACP00000000535
ENSACAP00000002183	ENSGACP00000018282
ENSACAP00000006840	ENSGACP00000000033
ENSACAP00000016121	ENSGACP00000010370
ENSACAP00000012684	ENSGACP00000008883
ENSACAP00000016636	ENSGACP00000017932
ENSACAP00000011424	ENSGACP00000001175
ENSACAP00000008175	ENSGACP00000023516
ENSACAP00000005622	ENSGACP00000016382
ENSACAP00000003690	ENSGACP00000001934
ENSACAP00000006715	ENSGACP00000003137
ENSACAP00000003171	ENSGACP00000017877
ENSACAP00000014480	ENSGACP00000003538
ENSACAP00000006290	ENSGACP00000026556
ENSACAP00000006290	ENSGACP00000013846
ENSACAP00000002005	ENSGACP00000011949
ENSACAP00000002005	ENSGACP00000027451
ENSACAP00000009719	ENSGACP00000021029
ENSACAP00000005096	ENSGACP00000009382
ENSACAP00000002514	ENSGACP00000018995
ENSACAP00000023298	ENSGACP00000010396
ENSACAP00000005843	ENSGACP00000017653
ENSACAP00000003394	ENSGACP00000009609
ENSACAP00000005277	ENSGACP00000002181
ENSACAP00000016539	ENSGACP00000015012
ENSACAP00000004829	ENSGACP00000026437
ENSACAP00000011240	ENSGACP00000018640
ENSACAP00000021866	ENSGACP00000005708
ENSACAP00000005050	ENSGACP00000002689
ENSACAP00000017196	ENSGACP00000017307
ENSACAP00000011387	ENSGACP00000018450
ENSACAP00000011387	ENSGACP00000019915
ENSACAP00000016535	ENSGACP00000015007
ENSACAP00000005124	ENSGACP00000001085
ENSACAP00000005124	ENSGACP00000027314
ENSACAP00000009874	ENSGACP00000016429
ENSACAP00000009501	ENSGACP00000004152
ENSACAP00000009501	ENSGACP00000019954
ENSACAP00000009866	ENSGACP00000019957
ENSACAP00000009866	ENSGACP00000004165
ENSACAP00000013770	ENSGACP00000020071
ENSACAP00000013607	ENSGACP00000011608
ENSACAP00000006294	ENSGACP00000017378
ENSACAP00000013301	ENSGACP00000013019
ENSACAP00000013301	ENSGACP00000026891
ENSACAP00000008973	ENSGACP00000022370
ENSACAP00000011641	ENSGACP00000018284
ENSACAP00000022969	ENSGACP00000003070
ENSACAP00000010250	ENSGACP00000009145
ENSACAP00000020284	ENSGACP00000006645
ENSACAP00000019824	ENSGACP00000022748
ENSACAP00000011605	ENSGACP00000005355
ENSACAP00000011605	ENSGACP00000020604
ENSACAP00000016335	ENSGACP00000006633
ENSACAP00000002716	ENSGACP00000002217
ENSACAP00000000790	ENSGACP00000002855
ENSACAP00000000608	ENSGACP00000002200
ENSACAP00000004750	ENSGACP00000018240
ENSACAP00000004889	ENSGACP00000012817
ENSACAP00000004889	ENSGACP00000009381
ENSACAP00000012957	ENSGACP00000017039
ENSACAP00000012957	ENSGACP00000000100
ENSACAP00000010965	ENSGACP00000009047
ENSACAP00000006978	ENSGACP00000026716
ENSACAP00000005706	ENSGACP00000019784
ENSACAP00000014821	ENSGACP00000021380
ENSACAP00000014821	ENSGACP00000013558
ENSACAP00000012225	ENSGACP00000006525
ENSACAP00000008659	ENSGACP00000018681
ENSACAP00000023073	ENSGACP00000020302
ENSACAP00000011492	ENSGACP00000009209
ENSACAP00000012724	ENSGACP00000009280
ENSACAP00000005316	ENSGACP00000007942
ENSACAP00000016125	ENSGACP00000023759
ENSACAP00000003014	ENSGACP00000017885
ENSACAP00000000948	ENSGACP00000014804
ENSACAP00000002835	ENSGACP00000009902
ENSACAP00000005183	ENSGACP00000003202
ENSACAP00000013553	ENSGACP00000018518
ENSACAP00000001746	ENSGACP00000008676
ENSACAP00000003954	ENSGACP00000009919
ENSACAP00000015240	ENSGACP00000006104
ENSACAP00000015240	ENSGACP00000023497
ENSACAP00000007951	ENSGACP00000015064
ENSACAP00000007951	ENSGACP00000009407
ENSACAP00000011929	ENSGACP00000001155
ENSACAP00000011921	ENSGACP00000025226
ENSACAP00000020027	ENSGACP00000020150
ENSACAP00000007901	ENSGACP00000026964
ENSACAP00000012384	ENSGACP00000024720
ENSACAP00000018222	ENSGACP00000013424
ENSACAP00000014734	ENSGACP00000022999
ENSACAP00000016355	ENSGACP00000013057
ENSACAP00000006385	ENSGACP00000015763
ENSACAP00000016285	ENSGACP00000010171
ENSACAP00000014509	ENSGACP00000019895
ENSACAP00000014509	ENSGACP00000004478
ENSACAP00000019794	ENSGACP00000022692
ENSACAP00000012305	ENSGACP00000015502
ENSACAP00000014928	ENSGACP00000011134
ENSACAP00000010637	ENSGACP00000012652
ENSACAP00000010637	ENSGACP00000026894
ENSACAP00000002362	ENSGACP00000005789
ENSACAP00000013799	ENSGACP00000011419
ENSACAP00000016188	ENSGACP00000014414
ENSACAP00000017492	ENSGACP00000003566
ENSACAP00000017699	ENSGACP00000018101
ENSACAP00000017699	ENSGACP00000026829
ENSACAP00000014025	ENSGACP00000016955
ENSACAP00000000522	ENSGACP00000018784
ENSACAP00000007778	ENSGACP00000022869
ENSACAP00000017645	ENSGACP00000009265
ENSACAP00000016784	ENSGACP00000007600
ENSACAP00000008491	ENSGACP00000001677
ENSACAP00000008491	ENSGACP00000002037
ENSACAP00000007551	ENSGACP00000000491
ENSACAP00000003275	ENSGACP00000026541
ENSACAP00000015876	ENSGACP00000023820
ENSACAP00000001347	ENSGACP00000003084
ENSACAP00000001347	ENSGACP00000011360
ENSACAP00000008888	ENSGACP00000011142
ENSACAP00000002117	ENSGACP00000006208
ENSACAP00000003788	ENSGACP00000000048
ENSACAP00000017629	ENSGACP00000024229
ENSACAP00000001540	ENSGACP00000018699
ENSACAP00000001985	ENSGACP00000016629
ENSACAP00000011135	ENSGACP00000002600
ENSACAP00000007159	ENSGACP00000014463
ENSACAP00000001526	ENSGACP00000006737
ENSACAP00000004118	ENSGACP00000018823
ENSACAP00000002773	ENSGACP00000004993
ENSACAP00000007864	ENSGACP00000013323
ENSACAP00000014612	ENSGACP00000027432
ENSACAP00000011654	ENSGACP00000027029
ENSACAP00000002298	ENSGACP00000026560
ENSACAP00000002298	ENSGACP00000013868
ENSACAP00000004142	ENSGACP00000006776
ENSACAP00000004142	ENSGACP00000017590
ENSACAP00000002377	ENSGACP00000008457
ENSACAP00000007519	ENSGACP00000002059
ENSACAP00000013541	ENSGACP00000007070
ENSACAP00000013541	ENSGACP00000001524
ENSACAP00000017452	ENSGACP00000018536
ENSACAP00000003087	ENSGACP00000022775
ENSACAP00000013178	ENSGACP00000027405
ENSACAP00000011045	ENSGACP00000018207
ENSACAP00000001457	ENSGACP00000012709
ENSACAP00000013082	ENSGACP00000015181
ENSACAP00000003285	ENSGACP00000006988
ENSACAP00000003285	ENSGACP00000013064
ENSACAP00000002258	ENSGACP00000023134
ENSACAP00000009224	ENSGACP00000011358
ENSACAP00000009443	ENSGACP00000004926
ENSACAP00000009443	ENSGACP00000018147
