ENSDARP00000074624	ENSMGAP00000004951
ENSDARP00000097750	ENSMGAP00000015271
ENSDARP00000070393	ENSMGAP00000006269
ENSDARP00000089792	ENSMGAP00000016150
ENSDARP00000003459	ENSMGAP00000015806
ENSDARP00000050527	ENSMGAP00000005467
ENSDARP00000073055	ENSMGAP00000005467
ENSDARP00000108179	ENSMGAP00000018956
ENSDARP00000062683	ENSMGAP00000009570
ENSDARP00000103850	ENSMGAP00000005050
ENSDARP00000089068	ENSMGAP00000017700
ENSDARP00000124182	ENSMGAP00000014526
ENSDARP00000107643	ENSMGAP00000002364
ENSDARP00000057421	ENSMGAP00000002364
ENSDARP00000021266	ENSMGAP00000010602
ENSDARP00000111237	ENSMGAP00000006180
ENSDARP00000099485	ENSMGAP00000000387
ENSDARP00000128445	ENSMGAP00000012958
ENSDARP00000127385	ENSMGAP00000012958
ENSDARP00000126876	ENSMGAP00000001649
ENSDARP00000079958	ENSMGAP00000006276
ENSDARP00000085613	ENSMGAP00000006276
ENSDARP00000042005	ENSMGAP00000001111
ENSDARP00000128910	ENSMGAP00000013186
ENSDARP00000122562	ENSMGAP00000013186
ENSDARP00000010990	ENSMGAP00000016301
ENSDARP00000076483	ENSMGAP00000016980
ENSDARP00000096012	ENSMGAP00000016615
ENSDARP00000065032	ENSMGAP00000016615
ENSDARP00000028958	ENSMGAP00000013589
ENSDARP00000045658	ENSMGAP00000000755
ENSDARP00000074466	ENSMGAP00000006819
ENSDARP00000121481	ENSMGAP00000006819
ENSDARP00000120614	ENSMGAP00000010447
ENSDARP00000037677	ENSMGAP00000002169
ENSDARP00000100688	ENSMGAP00000000891
ENSDARP00000040333	ENSMGAP00000011022
ENSDARP00000059343	ENSMGAP00000001218
ENSDARP00000050302	ENSMGAP00000014643
ENSDARP00000070898	ENSMGAP00000007805
ENSDARP00000003481	ENSMGAP00000013825
ENSDARP00000077802	ENSMGAP00000016158
ENSDARP00000028345	ENSMGAP00000000288
ENSDARP00000065082	ENSMGAP00000008771
ENSDARP00000110639	ENSMGAP00000015574
ENSDARP00000124776	ENSMGAP00000007086
ENSDARP00000058502	ENSMGAP00000007086
ENSDARP00000101197	ENSMGAP00000001898
ENSDARP00000102401	ENSMGAP00000004976
ENSDARP00000110866	ENSMGAP00000012968
ENSDARP00000124379	ENSMGAP00000005936
ENSDARP00000000618	ENSMGAP00000018182
ENSDARP00000084183	ENSMGAP00000006999
ENSDARP00000080722	ENSMGAP00000006999
ENSDARP00000096817	ENSMGAP00000002903
ENSDARP00000127379	ENSMGAP00000009699
ENSDARP00000055510	ENSMGAP00000001332
ENSDARP00000105911	ENSMGAP00000003291
ENSDARP00000094406	ENSMGAP00000011162
ENSDARP00000062291	ENSMGAP00000019437
ENSDARP00000102117	ENSMGAP00000004312
ENSDARP00000107210	ENSMGAP00000011971
ENSDARP00000045947	ENSMGAP00000014971
ENSDARP00000053508	ENSMGAP00000007592
ENSDARP00000107088	ENSMGAP00000011468
ENSDARP00000042754	ENSMGAP00000014504
ENSDARP00000048721	ENSMGAP00000006021
ENSDARP00000124263	ENSMGAP00000006021
ENSDARP00000093644	ENSMGAP00000002799
ENSDARP00000100886	ENSMGAP00000013655
ENSDARP00000100747	ENSMGAP00000013655
ENSDARP00000081653	ENSMGAP00000007739
ENSDARP00000100545	ENSMGAP00000008567
ENSDARP00000032054	ENSMGAP00000005610
ENSDARP00000056279	ENSMGAP00000005614
ENSDARP00000029635	ENSMGAP00000005614
ENSDARP00000027919	ENSMGAP00000007284
ENSDARP00000065037	ENSMGAP00000011069
ENSDARP00000079570	ENSMGAP00000015597
ENSDARP00000110330	ENSMGAP00000007875
ENSDARP00000111022	ENSMGAP00000000282
ENSDARP00000069555	ENSMGAP00000014075
ENSDARP00000093211	ENSMGAP00000001819
ENSDARP00000050602	ENSMGAP00000005758
ENSDARP00000116080	ENSMGAP00000011975
ENSDARP00000114236	ENSMGAP00000004779
ENSDARP00000015024	ENSMGAP00000009769
ENSDARP00000122666	ENSMGAP00000017322
ENSDARP00000095121	ENSMGAP00000005853
ENSDARP00000016210	ENSMGAP00000004944
ENSDARP00000128780	ENSMGAP00000003087
ENSDARP00000088447	ENSMGAP00000016033
ENSDARP00000099029	ENSMGAP00000012156
ENSDARP00000102225	ENSMGAP00000015583
ENSDARP00000099487	ENSMGAP00000009359
ENSDARP00000093187	ENSMGAP00000003720
ENSDARP00000099212	ENSMGAP00000001829
ENSDARP00000025776	ENSMGAP00000004557
ENSDARP00000023792	ENSMGAP00000015488
ENSDARP00000045808	ENSMGAP00000004036
ENSDARP00000000005	ENSMGAP00000015173
ENSDARP00000040034	ENSMGAP00000015173
ENSDARP00000040537	ENSMGAP00000011165
ENSDARP00000107582	ENSMGAP00000011165
ENSDARP00000099313	ENSMGAP00000002754
ENSDARP00000109004	ENSMGAP00000004483
ENSDARP00000122431	ENSMGAP00000004483
ENSDARP00000114828	ENSMGAP00000011939
ENSDARP00000112412	ENSMGAP00000011939
ENSDARP00000014106	ENSMGAP00000004030
ENSDARP00000093111	ENSMGAP00000016047
ENSDARP00000020522	ENSMGAP00000004032
ENSDARP00000089001	ENSMGAP00000008993
ENSDARP00000127037	ENSMGAP00000006749
ENSDARP00000122887	ENSMGAP00000011903
ENSDARP00000092857	ENSMGAP00000011566
ENSDARP00000107378	ENSMGAP00000018193
ENSDARP00000129564	ENSMGAP00000018530
ENSDARP00000116133	ENSMGAP00000018530
ENSDARP00000114217	ENSMGAP00000009932
ENSDARP00000092205	ENSMGAP00000017033
ENSDARP00000013643	ENSMGAP00000007277
ENSDARP00000109017	ENSMGAP00000007277
ENSDARP00000098991	ENSMGAP00000009267
ENSDARP00000063174	ENSMGAP00000009267
ENSDARP00000118341	ENSMGAP00000014360
ENSDARP00000076235	ENSMGAP00000014360
ENSDARP00000003485	ENSMGAP00000009285
ENSDARP00000119527	ENSMGAP00000017325
ENSDARP00000112471	ENSMGAP00000017064
ENSDARP00000104134	ENSMGAP00000014980
ENSDARP00000055563	ENSMGAP00000008096
ENSDARP00000080391	ENSMGAP00000019648
ENSDARP00000125700	ENSMGAP00000000880
ENSDARP00000100475	ENSMGAP00000005114
ENSDARP00000105604	ENSMGAP00000015495
ENSDARP00000084002	ENSMGAP00000005993
ENSDARP00000078392	ENSMGAP00000005993
ENSDARP00000118745	ENSMGAP00000002863
ENSDARP00000093418	ENSMGAP00000002863
ENSDARP00000076047	ENSMGAP00000012309
ENSDARP00000076200	ENSMGAP00000012309
ENSDARP00000040726	ENSMGAP00000011146
ENSDARP00000095151	ENSMGAP00000011146
ENSDARP00000127186	ENSMGAP00000007150
ENSDARP00000047088	ENSMGAP00000014781
ENSDARP00000106742	ENSMGAP00000014781
ENSDARP00000109320	ENSMGAP00000006634
ENSDARP00000120661	ENSMGAP00000006634
ENSDARP00000105074	ENSMGAP00000011306
ENSDARP00000122490	ENSMGAP00000006228
ENSDARP00000060934	ENSMGAP00000008782
ENSDARP00000101753	ENSMGAP00000002764
ENSDARP00000107016	ENSMGAP00000019156
ENSDARP00000124191	ENSMGAP00000006429
ENSDARP00000004823	ENSMGAP00000007501
ENSDARP00000089270	ENSMGAP00000010327
ENSDARP00000081987	ENSMGAP00000011955
ENSDARP00000103209	ENSMGAP00000001645
ENSDARP00000110364	ENSMGAP00000014601
ENSDARP00000053840	ENSMGAP00000014601
ENSDARP00000084303	ENSMGAP00000002252
ENSDARP00000014978	ENSMGAP00000011247
ENSDARP00000072775	ENSMGAP00000009244
ENSDARP00000092027	ENSMGAP00000008916
ENSDARP00000015974	ENSMGAP00000019006
ENSDARP00000087679	ENSMGAP00000005580
ENSDARP00000074579	ENSMGAP00000017324
ENSDARP00000103821	ENSMGAP00000011333
ENSDARP00000118422	ENSMGAP00000009109
ENSDARP00000103920	ENSMGAP00000012788
ENSDARP00000023907	ENSMGAP00000001676
ENSDARP00000055742	ENSMGAP00000005133
ENSDARP00000007948	ENSMGAP00000008770
ENSDARP00000066788	ENSMGAP00000012548
ENSDARP00000124963	ENSMGAP00000001526
ENSDARP00000043700	ENSMGAP00000001526
ENSDARP00000123809	ENSMGAP00000015110
ENSDARP00000096167	ENSMGAP00000015088
ENSDARP00000069236	ENSMGAP00000001553
ENSDARP00000105066	ENSMGAP00000001295
ENSDARP00000106770	ENSMGAP00000001295
ENSDARP00000036969	ENSMGAP00000017467
ENSDARP00000072289	ENSMGAP00000011518
ENSDARP00000114768	ENSMGAP00000001684
ENSDARP00000110288	ENSMGAP00000001684
ENSDARP00000006783	ENSMGAP00000013118
ENSDARP00000104974	ENSMGAP00000007224
ENSDARP00000102025	ENSMGAP00000002349
ENSDARP00000081631	ENSMGAP00000002349
ENSDARP00000075883	ENSMGAP00000009788
ENSDARP00000025514	ENSMGAP00000014126
ENSDARP00000105420	ENSMGAP00000006949
ENSDARP00000102589	ENSMGAP00000007741
ENSDARP00000119345	ENSMGAP00000000493
ENSDARP00000059212	ENSMGAP00000002432
ENSDARP00000048437	ENSMGAP00000009911
ENSDARP00000109366	ENSMGAP00000006555
ENSDARP00000107614	ENSMGAP00000014977
ENSDARP00000094300	ENSMGAP00000005506
ENSDARP00000011307	ENSMGAP00000005506
ENSDARP00000026640	ENSMGAP00000016907
ENSDARP00000115010	ENSMGAP00000014150
ENSDARP00000017195	ENSMGAP00000014150
ENSDARP00000026470	ENSMGAP00000004687
ENSDARP00000094918	ENSMGAP00000015558
ENSDARP00000088981	ENSMGAP00000003789
ENSDARP00000104727	ENSMGAP00000002403
ENSDARP00000103388	ENSMGAP00000002403
ENSDARP00000027611	ENSMGAP00000009092
ENSDARP00000128495	ENSMGAP00000007158
ENSDARP00000129239	ENSMGAP00000013997
ENSDARP00000123551	ENSMGAP00000013997
ENSDARP00000086285	ENSMGAP00000000161
ENSDARP00000113718	ENSMGAP00000000268
ENSDARP00000109057	ENSMGAP00000005942
ENSDARP00000112975	ENSMGAP00000014046
ENSDARP00000104916	ENSMGAP00000014046
ENSDARP00000085589	ENSMGAP00000001478
ENSDARP00000053533	ENSMGAP00000017942
ENSDARP00000080685	ENSMGAP00000000348
ENSDARP00000095560	ENSMGAP00000014463
ENSDARP00000005233	ENSMGAP00000014463
ENSDARP00000087373	ENSMGAP00000000706
ENSDARP00000127233	ENSMGAP00000014247
ENSDARP00000081388	ENSMGAP00000016118
ENSDARP00000096631	ENSMGAP00000007806
ENSDARP00000102765	ENSMGAP00000006229
ENSDARP00000108041	ENSMGAP00000012089
ENSDARP00000048854	ENSMGAP00000012089
ENSDARP00000084492	ENSMGAP00000007409
ENSDARP00000100524	ENSMGAP00000007409
ENSDARP00000116187	ENSMGAP00000005193
ENSDARP00000118870	ENSMGAP00000012418
ENSDARP00000043095	ENSMGAP00000006043
ENSDARP00000109106	ENSMGAP00000002788
ENSDARP00000051523	ENSMGAP00000005679
ENSDARP00000059368	ENSMGAP00000007921
ENSDARP00000005262	ENSMGAP00000011074
ENSDARP00000063617	ENSMGAP00000012215
ENSDARP00000090326	ENSMGAP00000015964
ENSDARP00000055063	ENSMGAP00000000945
ENSDARP00000096752	ENSMGAP00000000945
ENSDARP00000119857	ENSMGAP00000013352
ENSDARP00000113048	ENSMGAP00000013352
ENSDARP00000117214	ENSMGAP00000007480
ENSDARP00000054848	ENSMGAP00000002213
ENSDARP00000108316	ENSMGAP00000015905
ENSDARP00000127301	ENSMGAP00000018914
ENSDARP00000019368	ENSMGAP00000004432
ENSDARP00000092246	ENSMGAP00000009258
ENSDARP00000116730	ENSMGAP00000003211
ENSDARP00000099426	ENSMGAP00000016180
ENSDARP00000122116	ENSMGAP00000010278
ENSDARP00000050915	ENSMGAP00000003814
ENSDARP00000104864	ENSMGAP00000005459
ENSDARP00000070289	ENSMGAP00000007194
ENSDARP00000075348	ENSMGAP00000006755
ENSDARP00000003841	ENSMGAP00000009600
ENSDARP00000076426	ENSMGAP00000015342
ENSDARP00000102441	ENSMGAP00000015342
ENSDARP00000082979	ENSMGAP00000000979
ENSDARP00000105236	ENSMGAP00000000979
ENSDARP00000124218	ENSMGAP00000000551
ENSDARP00000069581	ENSMGAP00000014052
ENSDARP00000123657	ENSMGAP00000002420
ENSDARP00000081043	ENSMGAP00000002457
ENSDARP00000012776	ENSMGAP00000002412
ENSDARP00000074623	ENSMGAP00000003850
ENSDARP00000096363	ENSMGAP00000003850
ENSDARP00000065928	ENSMGAP00000018362
ENSDARP00000095919	ENSMGAP00000018362
ENSDARP00000082159	ENSMGAP00000002112
ENSDARP00000098433	ENSMGAP00000016228
ENSDARP00000099233	ENSMGAP00000016228
ENSDARP00000104323	ENSMGAP00000016196
ENSDARP00000008105	ENSMGAP00000015935
ENSDARP00000104821	ENSMGAP00000003982
ENSDARP00000053530	ENSMGAP00000013845
ENSDARP00000109215	ENSMGAP00000001888
ENSDARP00000098515	ENSMGAP00000016504
ENSDARP00000126058	ENSMGAP00000005567
ENSDARP00000107099	ENSMGAP00000008834
ENSDARP00000061075	ENSMGAP00000009220
ENSDARP00000027966	ENSMGAP00000009349
ENSDARP00000097622	ENSMGAP00000006497
ENSDARP00000107490	ENSMGAP00000006497
ENSDARP00000120440	ENSMGAP00000011210
ENSDARP00000049927	ENSMGAP00000011210
ENSDARP00000060575	ENSMGAP00000006603
ENSDARP00000096413	ENSMGAP00000006603
ENSDARP00000096458	ENSMGAP00000006926
ENSDARP00000010568	ENSMGAP00000006926
ENSDARP00000011527	ENSMGAP00000005400
ENSDARP00000111211	ENSMGAP00000005400
ENSDARP00000124791	ENSMGAP00000001402
ENSDARP00000109008	ENSMGAP00000005212
ENSDARP00000108464	ENSMGAP00000011577
ENSDARP00000033648	ENSMGAP00000007582
ENSDARP00000129552	ENSMGAP00000012496
ENSDARP00000042420	ENSMGAP00000008658
ENSDARP00000062145	ENSMGAP00000017712
ENSDARP00000054735	ENSMGAP00000006112
ENSDARP00000125087	ENSMGAP00000003413
ENSDARP00000020170	ENSMGAP00000011238
ENSDARP00000084452	ENSMGAP00000013319
ENSDARP00000105699	ENSMGAP00000013319
ENSDARP00000121593	ENSMGAP00000010125
ENSDARP00000076415	ENSMGAP00000010125
ENSDARP00000038214	ENSMGAP00000013261
ENSDARP00000106388	ENSMGAP00000013600
ENSDARP00000115296	ENSMGAP00000013600
ENSDARP00000116874	ENSMGAP00000000183
ENSDARP00000081860	ENSMGAP00000001342
ENSDARP00000096327	ENSMGAP00000002152
ENSDARP00000069449	ENSMGAP00000004099
ENSDARP00000094631	ENSMGAP00000007270
ENSDARP00000012087	ENSMGAP00000007270
ENSDARP00000105876	ENSMGAP00000015442
ENSDARP00000087964	ENSMGAP00000013941
ENSDARP00000123542	ENSMGAP00000018453
ENSDARP00000106132	ENSMGAP00000008706
ENSDARP00000067167	ENSMGAP00000009711
ENSDARP00000086185	ENSMGAP00000005094
ENSDARP00000060701	ENSMGAP00000002629
ENSDARP00000103159	ENSMGAP00000011659
ENSDARP00000101059	ENSMGAP00000012353
ENSDARP00000070556	ENSMGAP00000016358
ENSDARP00000049502	ENSMGAP00000014449
ENSDARP00000086415	ENSMGAP00000013142
ENSDARP00000123393	ENSMGAP00000015682
ENSDARP00000123656	ENSMGAP00000012213
ENSDARP00000098117	ENSMGAP00000005786
ENSDARP00000085308	ENSMGAP00000013416
ENSDARP00000112164	ENSMGAP00000002837
ENSDARP00000024623	ENSMGAP00000003265
ENSDARP00000054234	ENSMGAP00000000775
ENSDARP00000093386	ENSMGAP00000015116
ENSDARP00000129827	ENSMGAP00000010765
ENSDARP00000087335	ENSMGAP00000008918
ENSDARP00000061737	ENSMGAP00000002093
ENSDARP00000068355	ENSMGAP00000000511
ENSDARP00000067923	ENSMGAP00000004442
ENSDARP00000021737	ENSMGAP00000015916
ENSDARP00000026625	ENSMGAP00000003712
ENSDARP00000008364	ENSMGAP00000019530
ENSDARP00000057376	ENSMGAP00000012539
ENSDARP00000077706	ENSMGAP00000005435
ENSDARP00000099291	ENSMGAP00000009215
ENSDARP00000101429	ENSMGAP00000007916
ENSDARP00000084823	ENSMGAP00000006945
ENSDARP00000060004	ENSMGAP00000010629
ENSDARP00000104288	ENSMGAP00000019699
ENSDARP00000079577	ENSMGAP00000004549
ENSDARP00000080499	ENSMGAP00000003563
ENSDARP00000111239	ENSMGAP00000003563
ENSDARP00000117350	ENSMGAP00000005606
ENSDARP00000017119	ENSMGAP00000015805
ENSDARP00000128675	ENSMGAP00000013543
ENSDARP00000104030	ENSMGAP00000008204
ENSDARP00000102719	ENSMGAP00000004282
ENSDARP00000120270	ENSMGAP00000003898
ENSDARP00000004144	ENSMGAP00000001129
ENSDARP00000087188	ENSMGAP00000014612
ENSDARP00000055153	ENSMGAP00000002266
ENSDARP00000112058	ENSMGAP00000011390
ENSDARP00000120420	ENSMGAP00000005599
ENSDARP00000129811	ENSMGAP00000009573
ENSDARP00000007196	ENSMGAP00000013680
ENSDARP00000109081	ENSMGAP00000013095
ENSDARP00000076899	ENSMGAP00000001625
ENSDARP00000103061	ENSMGAP00000015554
ENSDARP00000103566	ENSMGAP00000015554
ENSDARP00000062531	ENSMGAP00000013685
ENSDARP00000071210	ENSMGAP00000013685
ENSDARP00000109804	ENSMGAP00000015156
ENSDARP00000059954	ENSMGAP00000015156
ENSDARP00000067735	ENSMGAP00000003648
ENSDARP00000062899	ENSMGAP00000011725
ENSDARP00000012557	ENSMGAP00000005957
ENSDARP00000128208	ENSMGAP00000015633
ENSDARP00000075472	ENSMGAP00000015235
ENSDARP00000071521	ENSMGAP00000003294
ENSDARP00000004889	ENSMGAP00000014296
ENSDARP00000029203	ENSMGAP00000003528
ENSDARP00000124409	ENSMGAP00000012584
ENSDARP00000063995	ENSMGAP00000012584
ENSDARP00000003665	ENSMGAP00000010532
ENSDARP00000093347	ENSMGAP00000011839
ENSDARP00000113461	ENSMGAP00000008310
ENSDARP00000084498	ENSMGAP00000008310
ENSDARP00000103558	ENSMGAP00000001577
ENSDARP00000098069	ENSMGAP00000001577
ENSDARP00000035581	ENSMGAP00000010161
ENSDARP00000005771	ENSMGAP00000002874
ENSDARP00000020361	ENSMGAP00000013133
ENSDARP00000051391	ENSMGAP00000002279
ENSDARP00000080999	ENSMGAP00000002325
ENSDARP00000071885	ENSMGAP00000015037
ENSDARP00000088034	ENSMGAP00000015037
ENSDARP00000109124	ENSMGAP00000004002
ENSDARP00000031031	ENSMGAP00000002399
ENSDARP00000063007	ENSMGAP00000013230
ENSDARP00000022107	ENSMGAP00000005107
ENSDARP00000099262	ENSMGAP00000008323
ENSDARP00000012447	ENSMGAP00000001619
ENSDARP00000109375	ENSMGAP00000015593
ENSDARP00000104233	ENSMGAP00000008039
ENSDARP00000068124	ENSMGAP00000004480
ENSDARP00000005251	ENSMGAP00000006878
ENSDARP00000060344	ENSMGAP00000011855
ENSDARP00000042296	ENSMGAP00000015770
ENSDARP00000003564	ENSMGAP00000016063
ENSDARP00000069982	ENSMGAP00000015292
ENSDARP00000109674	ENSMGAP00000001059
ENSDARP00000006712	ENSMGAP00000002527
ENSDARP00000126446	ENSMGAP00000014894
ENSDARP00000029456	ENSMGAP00000014894
ENSDARP00000109893	ENSMGAP00000011708
ENSDARP00000060953	ENSMGAP00000015210
ENSDARP00000070706	ENSMGAP00000016936
ENSDARP00000022483	ENSMGAP00000006631
ENSDARP00000110181	ENSMGAP00000006631
ENSDARP00000105872	ENSMGAP00000013867
ENSDARP00000091863	ENSMGAP00000006700
ENSDARP00000041857	ENSMGAP00000009971
ENSDARP00000029449	ENSMGAP00000015345
ENSDARP00000072374	ENSMGAP00000015345
ENSDARP00000085782	ENSMGAP00000011827
ENSDARP00000123249	ENSMGAP00000010593
ENSDARP00000011459	ENSMGAP00000010593
ENSDARP00000068639	ENSMGAP00000009112
ENSDARP00000105116	ENSMGAP00000003197
ENSDARP00000053767	ENSMGAP00000006417
ENSDARP00000022315	ENSMGAP00000000058
ENSDARP00000115118	ENSMGAP00000014287
ENSDARP00000124784	ENSMGAP00000014287
ENSDARP00000099634	ENSMGAP00000013437
ENSDARP00000102572	ENSMGAP00000013437
ENSDARP00000092960	ENSMGAP00000015254
ENSDARP00000120899	ENSMGAP00000003962
ENSDARP00000104597	ENSMGAP00000000409
ENSDARP00000009407	ENSMGAP00000010988
ENSDARP00000115000	ENSMGAP00000000904
ENSDARP00000074501	ENSMGAP00000003356
ENSDARP00000129617	ENSMGAP00000010665
ENSDARP00000093744	ENSMGAP00000001935
ENSDARP00000099375	ENSMGAP00000000345
ENSDARP00000122491	ENSMGAP00000008113
ENSDARP00000119471	ENSMGAP00000009718
ENSDARP00000099219	ENSMGAP00000019484
ENSDARP00000098390	ENSMGAP00000008083
ENSDARP00000064553	ENSMGAP00000013157
ENSDARP00000104429	ENSMGAP00000015629
ENSDARP00000103598	ENSMGAP00000001668
ENSDARP00000009633	ENSMGAP00000013185
ENSDARP00000008214	ENSMGAP00000013185
ENSDARP00000103896	ENSMGAP00000019410
ENSDARP00000095217	ENSMGAP00000006596
ENSDARP00000109055	ENSMGAP00000004114
ENSDARP00000118603	ENSMGAP00000004499
ENSDARP00000054592	ENSMGAP00000012448
ENSDARP00000114621	ENSMGAP00000010002
ENSDARP00000036958	ENSMGAP00000007071
ENSDARP00000041938	ENSMGAP00000007071
ENSDARP00000041034	ENSMGAP00000014518
ENSDARP00000118861	ENSMGAP00000014518
ENSDARP00000011585	ENSMGAP00000011278
ENSDARP00000121933	ENSMGAP00000011030
ENSDARP00000114195	ENSMGAP00000019266
ENSDARP00000098999	ENSMGAP00000005072
ENSDARP00000100192	ENSMGAP00000005072
ENSDARP00000022305	ENSMGAP00000015132
ENSDARP00000107618	ENSMGAP00000003271
ENSDARP00000023313	ENSMGAP00000007168
ENSDARP00000052422	ENSMGAP00000016490
ENSDARP00000097465	ENSMGAP00000016666
ENSDARP00000045189	ENSMGAP00000012493
ENSDARP00000060159	ENSMGAP00000001307
ENSDARP00000052801	ENSMGAP00000001307
ENSDARP00000009358	ENSMGAP00000001122
ENSDARP00000108432	ENSMGAP00000005806
ENSDARP00000117760	ENSMGAP00000019273
ENSDARP00000031737	ENSMGAP00000004318
ENSDARP00000088060	ENSMGAP00000001399
ENSDARP00000083347	ENSMGAP00000002576
ENSDARP00000114222	ENSMGAP00000002576
ENSDARP00000103338	ENSMGAP00000006260
ENSDARP00000049330	ENSMGAP00000016016
ENSDARP00000096703	ENSMGAP00000016016
ENSDARP00000109970	ENSMGAP00000011660
ENSDARP00000005746	ENSMGAP00000006137
ENSDARP00000107692	ENSMGAP00000001172
ENSDARP00000127308	ENSMGAP00000009622
ENSDARP00000101958	ENSMGAP00000013167
ENSDARP00000103078	ENSMGAP00000001400
ENSDARP00000069034	ENSMGAP00000006602
ENSDARP00000052788	ENSMGAP00000019564
ENSDARP00000056621	ENSMGAP00000005637
ENSDARP00000059208	ENSMGAP00000018229
ENSDARP00000006309	ENSMGAP00000004778
ENSDARP00000124192	ENSMGAP00000009956
ENSDARP00000104665	ENSMGAP00000008512
ENSDARP00000078537	ENSMGAP00000009254
ENSDARP00000079486	ENSMGAP00000003338
ENSDARP00000124069	ENSMGAP00000017600
ENSDARP00000098351	ENSMGAP00000005669
ENSDARP00000074739	ENSMGAP00000003901
ENSDARP00000057982	ENSMGAP00000004412
ENSDARP00000077137	ENSMGAP00000004420
ENSDARP00000108974	ENSMGAP00000019532
ENSDARP00000126347	ENSMGAP00000003634
ENSDARP00000105846	ENSMGAP00000008741
ENSDARP00000100185	ENSMGAP00000007191
ENSDARP00000008665	ENSMGAP00000001504
ENSDARP00000046840	ENSMGAP00000013258
ENSDARP00000076236	ENSMGAP00000013258
ENSDARP00000010432	ENSMGAP00000019100
ENSDARP00000024428	ENSMGAP00000000635
ENSDARP00000114891	ENSMGAP00000004610
ENSDARP00000098887	ENSMGAP00000012653
ENSDARP00000087023	ENSMGAP00000001832
ENSDARP00000129797	ENSMGAP00000016476
ENSDARP00000116263	ENSMGAP00000016922
ENSDARP00000101151	ENSMGAP00000001001
ENSDARP00000124666	ENSMGAP00000003033
ENSDARP00000084282	ENSMGAP00000008541
ENSDARP00000091125	ENSMGAP00000014674
ENSDARP00000072746	ENSMGAP00000013101
ENSDARP00000122101	ENSMGAP00000007189
ENSDARP00000053846	ENSMGAP00000012489
ENSDARP00000090466	ENSMGAP00000016613
ENSDARP00000067187	ENSMGAP00000017446
ENSDARP00000070357	ENSMGAP00000011508
ENSDARP00000023365	ENSMGAP00000008285
ENSDARP00000029663	ENSMGAP00000016540
ENSDARP00000112946	ENSMGAP00000016540
ENSDARP00000097577	ENSMGAP00000016502
ENSDARP00000040190	ENSMGAP00000014890
ENSDARP00000084963	ENSMGAP00000002153
ENSDARP00000104632	ENSMGAP00000016778
ENSDARP00000108672	ENSMGAP00000011675
ENSDARP00000018738	ENSMGAP00000001256
ENSDARP00000068132	ENSMGAP00000003167
ENSDARP00000121820	ENSMGAP00000005164
ENSDARP00000018938	ENSMGAP00000013545
ENSDARP00000104278	ENSMGAP00000010191
ENSDARP00000009463	ENSMGAP00000015545
ENSDARP00000054673	ENSMGAP00000011984
ENSDARP00000053915	ENSMGAP00000011984
ENSDARP00000106863	ENSMGAP00000008217
ENSDARP00000105848	ENSMGAP00000005117
ENSDARP00000108901	ENSMGAP00000002012
ENSDARP00000120825	ENSMGAP00000000216
ENSDARP00000034149	ENSMGAP00000016127
ENSDARP00000088509	ENSMGAP00000016127
ENSDARP00000101872	ENSMGAP00000008139
ENSDARP00000101295	ENSMGAP00000006078
ENSDARP00000105943	ENSMGAP00000003706
ENSDARP00000099481	ENSMGAP00000005641
ENSDARP00000086709	ENSMGAP00000012850
ENSDARP00000101531	ENSMGAP00000004782
ENSDARP00000123268	ENSMGAP00000001442
ENSDARP00000005892	ENSMGAP00000004252
ENSDARP00000127243	ENSMGAP00000006327
ENSDARP00000129098	ENSMGAP00000006327
ENSDARP00000100359	ENSMGAP00000012510
ENSDARP00000095271	ENSMGAP00000010204
ENSDARP00000094994	ENSMGAP00000014128
ENSDARP00000002041	ENSMGAP00000010590
ENSDARP00000124947	ENSMGAP00000015510
ENSDARP00000085784	ENSMGAP00000018685
ENSDARP00000116836	ENSMGAP00000011843
ENSDARP00000067433	ENSMGAP00000011843
ENSDARP00000061734	ENSMGAP00000002415
ENSDARP00000061712	ENSMGAP00000002415
ENSDARP00000098708	ENSMGAP00000011255
ENSDARP00000113396	ENSMGAP00000011255
ENSDARP00000112197	ENSMGAP00000006510
ENSDARP00000101967	ENSMGAP00000001982
ENSDARP00000015055	ENSMGAP00000008387
ENSDARP00000073397	ENSMGAP00000012220
ENSDARP00000081369	ENSMGAP00000012220
ENSDARP00000112667	ENSMGAP00000005685
ENSDARP00000109848	ENSMGAP00000013994
ENSDARP00000040382	ENSMGAP00000013824
ENSDARP00000107880	ENSMGAP00000010385
ENSDARP00000073535	ENSMGAP00000002868
ENSDARP00000088481	ENSMGAP00000013155
ENSDARP00000098109	ENSMGAP00000009678
ENSDARP00000103050	ENSMGAP00000011197
ENSDARP00000098740	ENSMGAP00000003620
ENSDARP00000041876	ENSMGAP00000003620
ENSDARP00000092287	ENSMGAP00000004253
ENSDARP00000066960	ENSMGAP00000004253
ENSDARP00000074070	ENSMGAP00000001849
ENSDARP00000109280	ENSMGAP00000008238
ENSDARP00000093819	ENSMGAP00000008109
ENSDARP00000106338	ENSMGAP00000010053
ENSDARP00000109831	ENSMGAP00000015389
ENSDARP00000017482	ENSMGAP00000015389
ENSDARP00000050201	ENSMGAP00000005912
ENSDARP00000058611	ENSMGAP00000015100
ENSDARP00000069025	ENSMGAP00000016463
ENSDARP00000066385	ENSMGAP00000016463
ENSDARP00000065670	ENSMGAP00000009389
ENSDARP00000100145	ENSMGAP00000002490
ENSDARP00000080960	ENSMGAP00000012661
