ENSLOCP00000009128	ENSMUSP00000034074
ENSLOCP00000020425	ENSMUSP00000078361
ENSLOCP00000013858	ENSMUSP00000070382
ENSLOCP00000012442	ENSMUSP00000078774
ENSLOCP00000002495	ENSMUSP00000025403
ENSLOCP00000012157	ENSMUSP00000022904
ENSLOCP00000020582	ENSMUSP00000020884
ENSLOCP00000006413	ENSMUSP00000082013
ENSLOCP00000000343	ENSMUSP00000027916
ENSLOCP00000014735	ENSMUSP00000030192
ENSLOCP00000010503	ENSMUSP00000027287
ENSLOCP00000011027	ENSMUSP00000044466
ENSLOCP00000010720	ENSMUSP00000027267
ENSLOCP00000010346	ENSMUSP00000119875
ENSLOCP00000017505	ENSMUSP00000105976
ENSLOCP00000000681	ENSMUSP00000041308
ENSLOCP00000004788	ENSMUSP00000113346
ENSLOCP00000004935	ENSMUSP00000128696
ENSLOCP00000004854	ENSMUSP00000069699
ENSLOCP00000016918	ENSMUSP00000043792
ENSLOCP00000011635	ENSMUSP00000001179
ENSLOCP00000020418	ENSMUSP00000097444
ENSLOCP00000009697	ENSMUSP00000003911
ENSLOCP00000020111	ENSMUSP00000005504
ENSLOCP00000015835	ENSMUSP00000058233
ENSLOCP00000019693	ENSMUSP00000110900
ENSLOCP00000004653	ENSMUSP00000099475
ENSLOCP00000016821	ENSMUSP00000085187
ENSLOCP00000011155	ENSMUSP00000090130
ENSLOCP00000015045	ENSMUSP00000093644
ENSLOCP00000017475	ENSMUSP00000057462
ENSLOCP00000021743	ENSMUSP00000059433
ENSLOCP00000018484	ENSMUSP00000080739
ENSLOCP00000017578	ENSMUSP00000064393
ENSLOCP00000013859	ENSMUSP00000071464
ENSLOCP00000011731	ENSMUSP00000046766
ENSLOCP00000005375	ENSMUSP00000108987
ENSLOCP00000009845	ENSMUSP00000062429
ENSLOCP00000016386	ENSMUSP00000000326
ENSLOCP00000004819	ENSMUSP00000110057
ENSLOCP00000007888	ENSMUSP00000116006
ENSLOCP00000000932	ENSMUSP00000027943
ENSLOCP00000012904	ENSMUSP00000040706
ENSLOCP00000009915	ENSMUSP00000032627
ENSLOCP00000010390	ENSMUSP00000072773
ENSLOCP00000014156	ENSMUSP00000037719
ENSLOCP00000009987	ENSMUSP00000113895
ENSLOCP00000010003	ENSMUSP00000016279
ENSLOCP00000015978	ENSMUSP00000109367
ENSLOCP00000002252	ENSMUSP00000031445
ENSLOCP00000013577	ENSMUSP00000060613
ENSLOCP00000018656	ENSMUSP00000020157
ENSLOCP00000021863	ENSMUSP00000102227
ENSLOCP00000018877	ENSMUSP00000032396
ENSLOCP00000004589	ENSMUSP00000114578
ENSLOCP00000018862	ENSMUSP00000107333
ENSLOCP00000000634	ENSMUSP00000038444
ENSLOCP00000017245	ENSMUSP00000119912
ENSLOCP00000008266	ENSMUSP00000061511
ENSLOCP00000002556	ENSMUSP00000030901
ENSLOCP00000015523	ENSMUSP00000029644
ENSLOCP00000010458	ENSMUSP00000068192
ENSLOCP00000013482	ENSMUSP00000071939
ENSLOCP00000022398	ENSMUSP00000064680
ENSLOCP00000021733	ENSMUSP00000092901
ENSLOCP00000021127	ENSMUSP00000027337
ENSLOCP00000019328	ENSMUSP00000068987
ENSLOCP00000006115	ENSMUSP00000034630
ENSLOCP00000016270	ENSMUSP00000062122
ENSLOCP00000016963	ENSMUSP00000057669
ENSLOCP00000004993	ENSMUSP00000047865
ENSLOCP00000018262	ENSMUSP00000103825
ENSLOCP00000014400	ENSMUSP00000068516
ENSLOCP00000008293	ENSMUSP00000027027
ENSLOCP00000011704	ENSMUSP00000023562
ENSLOCP00000004254	ENSMUSP00000091641
ENSLOCP00000017422	ENSMUSP00000032749
ENSLOCP00000006460	ENSMUSP00000031388
ENSLOCP00000016832	ENSMUSP00000033695
ENSLOCP00000001078	ENSMUSP00000027396
ENSLOCP00000020525	ENSMUSP00000047445
ENSLOCP00000011342	ENSMUSP00000043691
ENSLOCP00000006501	ENSMUSP00000030884
ENSLOCP00000001358	ENSMUSP00000088801
ENSLOCP00000000100	ENSMUSP00000004494
ENSLOCP00000007934	ENSMUSP00000125043
ENSLOCP00000005941	ENSMUSP00000132725
ENSLOCP00000009850	ENSMUSP00000096982
ENSLOCP00000008916	ENSMUSP00000034085
ENSLOCP00000016827	ENSMUSP00000034739
ENSLOCP00000013737	ENSMUSP00000026494
ENSLOCP00000019959	ENSMUSP00000020382
ENSLOCP00000007327	ENSMUSP00000111222
ENSLOCP00000009267	ENSMUSP00000055689
ENSLOCP00000009719	ENSMUSP00000062327
ENSLOCP00000004344	ENSMUSP00000009219
ENSLOCP00000020070	ENSMUSP00000098942
ENSLOCP00000015133	ENSMUSP00000028780
ENSLOCP00000012253	ENSMUSP00000106118
ENSLOCP00000017553	ENSMUSP00000109901
ENSLOCP00000002902	ENSMUSP00000008573
ENSLOCP00000009544	ENSMUSP00000033519
ENSLOCP00000014764	ENSMUSP00000084467
ENSLOCP00000007893	ENSMUSP00000137163
ENSLOCP00000010433	ENSMUSP00000113235
ENSLOCP00000009059	ENSMUSP00000099752
ENSLOCP00000014169	ENSMUSP00000021592
ENSLOCP00000001636	ENSMUSP00000089758
ENSLOCP00000008666	ENSMUSP00000028100
ENSLOCP00000000552	ENSMUSP00000035472
ENSLOCP00000005885	ENSMUSP00000018744
ENSLOCP00000007323	ENSMUSP00000026470
ENSLOCP00000012539	ENSMUSP00000104700
ENSLOCP00000013607	ENSMUSP00000029459
ENSLOCP00000019682	ENSMUSP00000105691
ENSLOCP00000002257	ENSMUSP00000036410
ENSLOCP00000011161	ENSMUSP00000020546
ENSLOCP00000018490	ENSMUSP00000014957
ENSLOCP00000015818	ENSMUSP00000047218
ENSLOCP00000004276	ENSMUSP00000081782
ENSLOCP00000007290	ENSMUSP00000042185
ENSLOCP00000006045	ENSMUSP00000099490
ENSLOCP00000005340	ENSMUSP00000099642
ENSLOCP00000004252	ENSMUSP00000104973
ENSLOCP00000007898	ENSMUSP00000006293
ENSLOCP00000003875	ENSMUSP00000030734
ENSLOCP00000019248	ENSMUSP00000037890
ENSLOCP00000019547	ENSMUSP00000013773
ENSLOCP00000007283	ENSMUSP00000023353
ENSLOCP00000020317	ENSMUSP00000066842
ENSLOCP00000017646	ENSMUSP00000103007
ENSLOCP00000007473	ENSMUSP00000133076
ENSLOCP00000011180	ENSMUSP00000044472
ENSLOCP00000014109	ENSMUSP00000052096
ENSLOCP00000010087	ENSMUSP00000033169
ENSLOCP00000016431	ENSMUSP00000099559
ENSLOCP00000010637	ENSMUSP00000092624
ENSLOCP00000012840	ENSMUSP00000002923
ENSLOCP00000008359	ENSMUSP00000017629
ENSLOCP00000015892	ENSMUSP00000068896
ENSLOCP00000008997	ENSMUSP00000112766
ENSLOCP00000018800	ENSMUSP00000076951
ENSLOCP00000014777	ENSMUSP00000070946
ENSLOCP00000016209	ENSMUSP00000021790
ENSLOCP00000010303	ENSMUSP00000027290
ENSLOCP00000011466	ENSMUSP00000099785
ENSLOCP00000014293	ENSMUSP00000021691
ENSLOCP00000005879	ENSMUSP00000035078
ENSLOCP00000015234	ENSMUSP00000018992
ENSLOCP00000001740	ENSMUSP00000105353
ENSLOCP00000018634	ENSMUSP00000020112
ENSLOCP00000010017	ENSMUSP00000016569
ENSLOCP00000015991	ENSMUSP00000031104
ENSLOCP00000014681	ENSMUSP00000023088
ENSLOCP00000018861	ENSMUSP00000033621
ENSLOCP00000014150	ENSMUSP00000021314
ENSLOCP00000012783	ENSMUSP00000080600
ENSLOCP00000011940	ENSMUSP00000125384
ENSLOCP00000004748	ENSMUSP00000005069
ENSLOCP00000007440	ENSMUSP00000052922
ENSLOCP00000007956	ENSMUSP00000029454
ENSLOCP00000002452	ENSMUSP00000003554
ENSLOCP00000008041	ENSMUSP00000028386
ENSLOCP00000006113	ENSMUSP00000035400
ENSLOCP00000018966	ENSMUSP00000044616
ENSLOCP00000001224	ENSMUSP00000061843
ENSLOCP00000003585	ENSMUSP00000059977
ENSLOCP00000001845	ENSMUSP00000035065
ENSLOCP00000019298	ENSMUSP00000024733
ENSLOCP00000003688	ENSMUSP00000041814
ENSLOCP00000018781	ENSMUSP00000046981
ENSLOCP00000002837	ENSMUSP00000026558
ENSLOCP00000019080	ENSMUSP00000019908
ENSLOCP00000012455	ENSMUSP00000106081
ENSLOCP00000021235	ENSMUSP00000016344
ENSLOCP00000002726	ENSMUSP00000032111
ENSLOCP00000004966	ENSMUSP00000034400
ENSLOCP00000018714	ENSMUSP00000106004
ENSLOCP00000007032	ENSMUSP00000048426
ENSLOCP00000007854	ENSMUSP00000024717
ENSLOCP00000005551	ENSMUSP00000036213
ENSLOCP00000004684	ENSMUSP00000027125
ENSLOCP00000012335	ENSMUSP00000020629
ENSLOCP00000004144	ENSMUSP00000022102
ENSLOCP00000018281	ENSMUSP00000051293
ENSLOCP00000004998	ENSMUSP00000108726
ENSLOCP00000017115	ENSMUSP00000034000
ENSLOCP00000005361	ENSMUSP00000058142
ENSLOCP00000006027	ENSMUSP00000105303
ENSLOCP00000018830	ENSMUSP00000064668
ENSLOCP00000004627	ENSMUSP00000030665
ENSLOCP00000005520	ENSMUSP00000093533
ENSLOCP00000010592	ENSMUSP00000066413
ENSLOCP00000008174	ENSMUSP00000109584
ENSLOCP00000015337	ENSMUSP00000136673
ENSLOCP00000011983	ENSMUSP00000126749
ENSLOCP00000015316	ENSMUSP00000064961
ENSLOCP00000012748	ENSMUSP00000093379
ENSLOCP00000010929	ENSMUSP00000025354
ENSLOCP00000019648	ENSMUSP00000036477
ENSLOCP00000014348	ENSMUSP00000068587
ENSLOCP00000010852	ENSMUSP00000112575
ENSLOCP00000019385	ENSMUSP00000025093
ENSLOCP00000012932	ENSMUSP00000025293
ENSLOCP00000017027	ENSMUSP00000017783
ENSLOCP00000003849	ENSMUSP00000113521
ENSLOCP00000007540	ENSMUSP00000043120
ENSLOCP00000004094	ENSMUSP00000133816
ENSLOCP00000008960	ENSMUSP00000003450
ENSLOCP00000004412	ENSMUSP00000104529
ENSLOCP00000012929	ENSMUSP00000029303
ENSLOCP00000010099	ENSMUSP00000031597
ENSLOCP00000016923	ENSMUSP00000078190
ENSLOCP00000011328	ENSMUSP00000114652
ENSLOCP00000002632	ENSMUSP00000110477
ENSLOCP00000015657	ENSMUSP00000041841
ENSLOCP00000013838	ENSMUSP00000041298
ENSLOCP00000008768	ENSMUSP00000001825
ENSLOCP00000018395	ENSMUSP00000033674
ENSLOCP00000014850	ENSMUSP00000047878
ENSLOCP00000009950	ENSMUSP00000032629
ENSLOCP00000020431	ENSMUSP00000105954
ENSLOCP00000000108	ENSMUSP00000000348
ENSLOCP00000002015	ENSMUSP00000037075
ENSLOCP00000004155	ENSMUSP00000131331
ENSLOCP00000000768	ENSMUSP00000034369
ENSLOCP00000006276	ENSMUSP00000028083
ENSLOCP00000018681	ENSMUSP00000020249
ENSLOCP00000006687	ENSMUSP00000027532
ENSLOCP00000015780	ENSMUSP00000103191
ENSLOCP00000013241	ENSMUSP00000028081
ENSLOCP00000008237	ENSMUSP00000044437
ENSLOCP00000001985	ENSMUSP00000129463
ENSLOCP00000006574	ENSMUSP00000104519
ENSLOCP00000011495	ENSMUSP00000021375
ENSLOCP00000006119	ENSMUSP00000031434
ENSLOCP00000016756	ENSMUSP00000061923
ENSLOCP00000015964	ENSMUSP00000047775
ENSLOCP00000000991	ENSMUSP00000113977
ENSLOCP00000014231	ENSMUSP00000031840
ENSLOCP00000004947	ENSMUSP00000051869
ENSLOCP00000012213	ENSMUSP00000025411
ENSLOCP00000012268	ENSMUSP00000056530
ENSLOCP00000015687	ENSMUSP00000030032
ENSLOCP00000006139	ENSMUSP00000080533
ENSLOCP00000020635	ENSMUSP00000028858
ENSLOCP00000015810	ENSMUSP00000037126
ENSLOCP00000014425	ENSMUSP00000075250
ENSLOCP00000014835	ENSMUSP00000022378
ENSLOCP00000008487	ENSMUSP00000030830
ENSLOCP00000016548	ENSMUSP00000057320
ENSLOCP00000006979	ENSMUSP00000030399
ENSLOCP00000004954	ENSMUSP00000069508
ENSLOCP00000007129	ENSMUSP00000030894
ENSLOCP00000000308	ENSMUSP00000124871
ENSLOCP00000017891	ENSMUSP00000131207
ENSLOCP00000021362	ENSMUSP00000020182
ENSLOCP00000001002	ENSMUSP00000042343
ENSLOCP00000002270	ENSMUSP00000026014
ENSLOCP00000015885	ENSMUSP00000026096
ENSLOCP00000014630	ENSMUSP00000135375
ENSLOCP00000021196	ENSMUSP00000044305
ENSLOCP00000001521	ENSMUSP00000072155
ENSLOCP00000009499	ENSMUSP00000041299
ENSLOCP00000013614	ENSMUSP00000100038
ENSLOCP00000009888	ENSMUSP00000032477
ENSLOCP00000002669	ENSMUSP00000124022
ENSLOCP00000019186	ENSMUSP00000046686
ENSLOCP00000011820	ENSMUSP00000035110
ENSLOCP00000015274	ENSMUSP00000031117
ENSLOCP00000012788	ENSMUSP00000078148
ENSLOCP00000018404	ENSMUSP00000026265
ENSLOCP00000001944	ENSMUSP00000025270
ENSLOCP00000014421	ENSMUSP00000021866
ENSLOCP00000009809	ENSMUSP00000033241
ENSLOCP00000002610	ENSMUSP00000054105
ENSLOCP00000013159	ENSMUSP00000058882
ENSLOCP00000019058	ENSMUSP00000110781
ENSLOCP00000017507	ENSMUSP00000006181
ENSLOCP00000020339	ENSMUSP00000028926
ENSLOCP00000016949	ENSMUSP00000091474
ENSLOCP00000005943	ENSMUSP00000002891
ENSLOCP00000002387	ENSMUSP00000023465
ENSLOCP00000005622	ENSMUSP00000063843
ENSLOCP00000012204	ENSMUSP00000098677
ENSLOCP00000019605	ENSMUSP00000094882
ENSLOCP00000012656	ENSMUSP00000058455
ENSLOCP00000003503	ENSMUSP00000085316
ENSLOCP00000014971	ENSMUSP00000031189
ENSLOCP00000005274	ENSMUSP00000095713
ENSLOCP00000006549	ENSMUSP00000017488
ENSLOCP00000001719	ENSMUSP00000128943
ENSLOCP00000006382	ENSMUSP00000096140
ENSLOCP00000008176	ENSMUSP00000046528
ENSLOCP00000021327	ENSMUSP00000101113
ENSLOCP00000003888	ENSMUSP00000033088
ENSLOCP00000005914	ENSMUSP00000112860
ENSLOCP00000020943	ENSMUSP00000118333
ENSLOCP00000002198	ENSMUSP00000025142
ENSLOCP00000014300	ENSMUSP00000023112
ENSLOCP00000019721	ENSMUSP00000114087
ENSLOCP00000013244	ENSMUSP00000066607
ENSLOCP00000011883	ENSMUSP00000040694
ENSLOCP00000009272	ENSMUSP00000017151
ENSLOCP00000019392	ENSMUSP00000025092
ENSLOCP00000010669	ENSMUSP00000050181
ENSLOCP00000007692	ENSMUSP00000119246
ENSLOCP00000016042	ENSMUSP00000026452
ENSLOCP00000003929	ENSMUSP00000068086
ENSLOCP00000008419	ENSMUSP00000041967
ENSLOCP00000014869	ENSMUSP00000044072
ENSLOCP00000005484	ENSMUSP00000107911
ENSLOCP00000002738	ENSMUSP00000081998
ENSLOCP00000009596	ENSMUSP00000134799
ENSLOCP00000003422	ENSMUSP00000101023
ENSLOCP00000015590	ENSMUSP00000090360
ENSLOCP00000009192	ENSMUSP00000048240
ENSLOCP00000015156	ENSMUSP00000066915
ENSLOCP00000010994	ENSMUSP00000036913
ENSLOCP00000006283	ENSMUSP00000029116
ENSLOCP00000007143	ENSMUSP00000059261
ENSLOCP00000016227	ENSMUSP00000031081
ENSLOCP00000003938	ENSMUSP00000015234
ENSLOCP00000022346	ENSMUSP00000098680
ENSLOCP00000022078	ENSMUSP00000065533
ENSLOCP00000022010	ENSMUSP00000053837
ENSLOCP00000016904	ENSMUSP00000111624
ENSLOCP00000019530	ENSMUSP00000031695
ENSLOCP00000017780	ENSMUSP00000033505
ENSLOCP00000013169	ENSMUSP00000034552
ENSLOCP00000021907	ENSMUSP00000045191
ENSLOCP00000021977	ENSMUSP00000137445
ENSLOCP00000012920	ENSMUSP00000004965
ENSLOCP00000006086	ENSMUSP00000045480
ENSLOCP00000001652	ENSMUSP00000035366
ENSLOCP00000015053	ENSMUSP00000004050
ENSLOCP00000015211	ENSMUSP00000133855
ENSLOCP00000006236	ENSMUSP00000002350
ENSLOCP00000014461	ENSMUSP00000099304
ENSLOCP00000022377	ENSMUSP00000092408
ENSLOCP00000022213	ENSMUSP00000038405
ENSLOCP00000021585	ENSMUSP00000098890
ENSLOCP00000004806	ENSMUSP00000099913
ENSLOCP00000002881	ENSMUSP00000004172
ENSLOCP00000007589	ENSMUSP00000099805
ENSLOCP00000001928	ENSMUSP00000041751
ENSLOCP00000011963	ENSMUSP00000025631
ENSLOCP00000013197	ENSMUSP00000035260
ENSLOCP00000007530	ENSMUSP00000038722
ENSLOCP00000015592	ENSMUSP00000029666
ENSLOCP00000010836	ENSMUSP00000093130
ENSLOCP00000019050	ENSMUSP00000052523
ENSLOCP00000017455	ENSMUSP00000021544
ENSLOCP00000001332	ENSMUSP00000122274
ENSLOCP00000003701	ENSMUSP00000104861
ENSLOCP00000003085	ENSMUSP00000099660
ENSLOCP00000010306	ENSMUSP00000117963
ENSLOCP00000021715	ENSMUSP00000076321
ENSLOCP00000009547	ENSMUSP00000089394
ENSLOCP00000016807	ENSMUSP00000033919
ENSLOCP00000009438	ENSMUSP00000033751
ENSLOCP00000016400	ENSMUSP00000042875
ENSLOCP00000002724	ENSMUSP00000110606
ENSLOCP00000018080	ENSMUSP00000055823
ENSLOCP00000013695	ENSMUSP00000110389
ENSLOCP00000020724	ENSMUSP00000053558
ENSLOCP00000014686	ENSMUSP00000134568
ENSLOCP00000012079	ENSMUSP00000058618
ENSLOCP00000018267	ENSMUSP00000032566
ENSLOCP00000003869	ENSMUSP00000022927
ENSLOCP00000007205	ENSMUSP00000094174
ENSLOCP00000015639	ENSMUSP00000108921
ENSLOCP00000016477	ENSMUSP00000107914
ENSLOCP00000016224	ENSMUSP00000028636
ENSLOCP00000014092	ENSMUSP00000021114
ENSLOCP00000010771	ENSMUSP00000039518
ENSLOCP00000004752	ENSMUSP00000048530
ENSLOCP00000014167	ENSMUSP00000112957
ENSLOCP00000019637	ENSMUSP00000106735
ENSLOCP00000016468	ENSMUSP00000098786
ENSLOCP00000005220	ENSMUSP00000034163
ENSLOCP00000006905	ENSMUSP00000104150
ENSLOCP00000005978	ENSMUSP00000061544
ENSLOCP00000016982	ENSMUSP00000036631
ENSLOCP00000018719	ENSMUSP00000107292
ENSLOCP00000012758	ENSMUSP00000029447
ENSLOCP00000020742	ENSMUSP00000027766
ENSLOCP00000009223	ENSMUSP00000067028
ENSLOCP00000014658	ENSMUSP00000082422
ENSLOCP00000020708	ENSMUSP00000105522
ENSLOCP00000004574	ENSMUSP00000026170
ENSLOCP00000014057	ENSMUSP00000000500
ENSLOCP00000001783	ENSMUSP00000075463
ENSLOCP00000010155	ENSMUSP00000044177
ENSLOCP00000021205	ENSMUSP00000079592
ENSLOCP00000016340	ENSMUSP00000021283
ENSLOCP00000016321	ENSMUSP00000052522
ENSLOCP00000019805	ENSMUSP00000033880
ENSLOCP00000006167	ENSMUSP00000020288
ENSLOCP00000015383	ENSMUSP00000039298
ENSLOCP00000007744	ENSMUSP00000037023
ENSLOCP00000008002	ENSMUSP00000038438
ENSLOCP00000006094	ENSMUSP00000088516
ENSLOCP00000006486	ENSMUSP00000064900
ENSLOCP00000000562	ENSMUSP00000081574
ENSLOCP00000002044	ENSMUSP00000081578
ENSLOCP00000007753	ENSMUSP00000043559
ENSLOCP00000014814	ENSMUSP00000029815
ENSLOCP00000000775	ENSMUSP00000020349
ENSLOCP00000013784	ENSMUSP00000097776
ENSLOCP00000009257	ENSMUSP00000023159
ENSLOCP00000019263	ENSMUSP00000093774
ENSLOCP00000008198	ENSMUSP00000022239
ENSLOCP00000007525	ENSMUSP00000034588
ENSLOCP00000000926	ENSMUSP00000026568
ENSLOCP00000009999	ENSMUSP00000021990
ENSLOCP00000016083	ENSMUSP00000037239
ENSLOCP00000009656	ENSMUSP00000071899
ENSLOCP00000000747	ENSMUSP00000019942
ENSLOCP00000003469	ENSMUSP00000032895
ENSLOCP00000012797	ENSMUSP00000067581
ENSLOCP00000014037	ENSMUSP00000042955
ENSLOCP00000017229	ENSMUSP00000049460
ENSLOCP00000020657	ENSMUSP00000130710
ENSLOCP00000014235	ENSMUSP00000072899
ENSLOCP00000017924	ENSMUSP00000026743
ENSLOCP00000019681	ENSMUSP00000030882
ENSLOCP00000011278	ENSMUSP00000104407
ENSLOCP00000013846	ENSMUSP00000047570
ENSLOCP00000010219	ENSMUSP00000000958
ENSLOCP00000021981	ENSMUSP00000055001
ENSLOCP00000007905	ENSMUSP00000045807
ENSLOCP00000019816	ENSMUSP00000003561
ENSLOCP00000010112	ENSMUSP00000029836
ENSLOCP00000016580	ENSMUSP00000031727
ENSLOCP00000012477	ENSMUSP00000027172
ENSLOCP00000007752	ENSMUSP00000028995
ENSLOCP00000011683	ENSMUSP00000045927
ENSLOCP00000007128	ENSMUSP00000070339
ENSLOCP00000018751	ENSMUSP00000075614
ENSLOCP00000003142	ENSMUSP00000037354
ENSLOCP00000005468	ENSMUSP00000097901
ENSLOCP00000018630	ENSMUSP00000040478
ENSLOCP00000008197	ENSMUSP00000046191
ENSLOCP00000011139	ENSMUSP00000137044
ENSLOCP00000010416	ENSMUSP00000009790
ENSLOCP00000013514	ENSMUSP00000069246
ENSLOCP00000019709	ENSMUSP00000039482
ENSLOCP00000012530	ENSMUSP00000021450
ENSLOCP00000004972	ENSMUSP00000036656
ENSLOCP00000008334	ENSMUSP00000113807
ENSLOCP00000005524	ENSMUSP00000036279
ENSLOCP00000000440	ENSMUSP00000085329
ENSLOCP00000019990	ENSMUSP00000037477
ENSLOCP00000001737	ENSMUSP00000107628
ENSLOCP00000013668	ENSMUSP00000073972
ENSLOCP00000018433	ENSMUSP00000026262
ENSLOCP00000013521	ENSMUSP00000022169
ENSLOCP00000017034	ENSMUSP00000047008
ENSLOCP00000015352	ENSMUSP00000058405
ENSLOCP00000009361	ENSMUSP00000023736
ENSLOCP00000020082	ENSMUSP00000073453
ENSLOCP00000005801	ENSMUSP00000056778
ENSLOCP00000001831	ENSMUSP00000044075
ENSLOCP00000014005	ENSMUSP00000106251
ENSLOCP00000008478	ENSMUSP00000077779
ENSLOCP00000009209	ENSMUSP00000110175
ENSLOCP00000014172	ENSMUSP00000024492
ENSLOCP00000011152	ENSMUSP00000025065
ENSLOCP00000010382	ENSMUSP00000022343
ENSLOCP00000019467	ENSMUSP00000020979
ENSLOCP00000002811	ENSMUSP00000093410
ENSLOCP00000017220	ENSMUSP00000126080
ENSLOCP00000012330	ENSMUSP00000079883
ENSLOCP00000018191	ENSMUSP00000033498
ENSLOCP00000001634	ENSMUSP00000043671
ENSLOCP00000004159	ENSMUSP00000026833
ENSLOCP00000015024	ENSMUSP00000029804
ENSLOCP00000009246	ENSMUSP00000048190
ENSLOCP00000021010	ENSMUSP00000040936
ENSLOCP00000004929	ENSMUSP00000031640
ENSLOCP00000017782	ENSMUSP00000032168
ENSLOCP00000019338	ENSMUSP00000100046
ENSLOCP00000008570	ENSMUSP00000031273
ENSLOCP00000004776	ENSMUSP00000084868
ENSLOCP00000008246	ENSMUSP00000101077
ENSLOCP00000006225	ENSMUSP00000065571
ENSLOCP00000015462	ENSMUSP00000099685
ENSLOCP00000017483	ENSMUSP00000092216
ENSLOCP00000001703	ENSMUSP00000113274
ENSLOCP00000001416	ENSMUSP00000096379
ENSLOCP00000011730	ENSMUSP00000023568
ENSLOCP00000010228	ENSMUSP00000102805
ENSLOCP00000010437	ENSMUSP00000015889
ENSLOCP00000004549	ENSMUSP00000058596
ENSLOCP00000014020	ENSMUSP00000113353
ENSLOCP00000013001	ENSMUSP00000022469
ENSLOCP00000012933	ENSMUSP00000131500
ENSLOCP00000021178	ENSMUSP00000124091
ENSLOCP00000014266	ENSMUSP00000128185
ENSLOCP00000004104	ENSMUSP00000033333
ENSLOCP00000020844	ENSMUSP00000096670
ENSLOCP00000014263	ENSMUSP00000035166
ENSLOCP00000008288	ENSMUSP00000091553
ENSLOCP00000001136	ENSMUSP00000025053
ENSLOCP00000004146	ENSMUSP00000057573
ENSLOCP00000016556	ENSMUSP00000099443
ENSLOCP00000014498	ENSMUSP00000077342
ENSLOCP00000020709	ENSMUSP00000023291
ENSLOCP00000019483	ENSMUSP00000000388
ENSLOCP00000003252	ENSMUSP00000103747
ENSLOCP00000008641	ENSMUSP00000029017
ENSLOCP00000003285	ENSMUSP00000003947
ENSLOCP00000011032	ENSMUSP00000046453
ENSLOCP00000021332	ENSMUSP00000020003
ENSLOCP00000003863	ENSMUSP00000016023
ENSLOCP00000005642	ENSMUSP00000106692
ENSLOCP00000018126	ENSMUSP00000034862
ENSLOCP00000008902	ENSMUSP00000098312
ENSLOCP00000019307	ENSMUSP00000016072
ENSLOCP00000013788	ENSMUSP00000022391
ENSLOCP00000010038	ENSMUSP00000046595
ENSLOCP00000007947	ENSMUSP00000029662
ENSLOCP00000016680	ENSMUSP00000031249
ENSLOCP00000014340	ENSMUSP00000018737
ENSLOCP00000003926	ENSMUSP00000099823
ENSLOCP00000005604	ENSMUSP00000046114
ENSLOCP00000015903	ENSMUSP00000038017
ENSLOCP00000002251	ENSMUSP00000005817
ENSLOCP00000005228	ENSMUSP00000032555
ENSLOCP00000019956	ENSMUSP00000068408
ENSLOCP00000016374	ENSMUSP00000021287
ENSLOCP00000004051	ENSMUSP00000078426
ENSLOCP00000019278	ENSMUSP00000032065
ENSLOCP00000011225	ENSMUSP00000025472
ENSLOCP00000021821	ENSMUSP00000058901
ENSLOCP00000021466	ENSMUSP00000090981
ENSLOCP00000004527	ENSMUSP00000020827
ENSLOCP00000004183	ENSMUSP00000112903
ENSLOCP00000019615	ENSMUSP00000001672
ENSLOCP00000017595	ENSMUSP00000010192
ENSLOCP00000020518	ENSMUSP00000019951
ENSLOCP00000000735	ENSMUSP00000124782
ENSLOCP00000012479	ENSMUSP00000029875
ENSLOCP00000010781	ENSMUSP00000120911
ENSLOCP00000008249	ENSMUSP00000034272
ENSLOCP00000001442	ENSMUSP00000048901
ENSLOCP00000014197	ENSMUSP00000124264
ENSLOCP00000005378	ENSMUSP00000056043
ENSLOCP00000005863	ENSMUSP00000031224
ENSLOCP00000002371	ENSMUSP00000044078
ENSLOCP00000010584	ENSMUSP00000106699
ENSLOCP00000020305	ENSMUSP00000028704
ENSLOCP00000013496	ENSMUSP00000029464
ENSLOCP00000004942	ENSMUSP00000083211
ENSLOCP00000000111	ENSMUSP00000001258
ENSLOCP00000010673	ENSMUSP00000020846
ENSLOCP00000014623	ENSMUSP00000023100
ENSLOCP00000001246	ENSMUSP00000110233
ENSLOCP00000013908	ENSMUSP00000035484
ENSLOCP00000018417	ENSMUSP00000108631
ENSLOCP00000017602	ENSMUSP00000072732
ENSLOCP00000002849	ENSMUSP00000026559
ENSLOCP00000014288	ENSMUSP00000044441
ENSLOCP00000003945	ENSMUSP00000066000
ENSLOCP00000019925	ENSMUSP00000020315
ENSLOCP00000008689	ENSMUSP00000027979
ENSLOCP00000009781	ENSMUSP00000005041
ENSLOCP00000010831	ENSMUSP00000133939
ENSLOCP00000015986	ENSMUSP00000026073
ENSLOCP00000007469	ENSMUSP00000108506
ENSLOCP00000001801	ENSMUSP00000115754
ENSLOCP00000007499	ENSMUSP00000101233
ENSLOCP00000016802	ENSMUSP00000021065
ENSLOCP00000000199	ENSMUSP00000138622
ENSLOCP00000020423	ENSMUSP00000125355
ENSLOCP00000010452	ENSMUSP00000020312
ENSLOCP00000015102	ENSMUSP00000029624
ENSLOCP00000020469	ENSMUSP00000067217
ENSLOCP00000004755	ENSMUSP00000039889
ENSLOCP00000019642	ENSMUSP00000048862
ENSLOCP00000010646	ENSMUSP00000089097
ENSLOCP00000005019	ENSMUSP00000097787
