ENSGALP00000006197	ENSMUSP00000034074
ENSGALP00000022108	ENSMUSP00000059503
ENSGALP00000027552	ENSMUSP00000082694
ENSGALP00000017952	ENSMUSP00000102559
ENSGALP00000021824	ENSMUSP00000073789
ENSGALP00000005423	ENSMUSP00000022858
ENSGALP00000017115	ENSMUSP00000072121
ENSGALP00000023190	ENSMUSP00000132190
ENSGALP00000036966	ENSMUSP00000029269
ENSGALP00000019366	ENSMUSP00000026891
ENSGALP00000027492	ENSMUSP00000029316
ENSGALP00000005475	ENSMUSP00000031622
ENSGALP00000020426	ENSMUSP00000005860
ENSGALP00000038334	ENSMUSP00000030551
ENSGALP00000009526	ENSMUSP00000033547
ENSGALP00000027391	ENSMUSP00000116271
ENSGALP00000037167	ENSMUSP00000023024
ENSGALP00000007314	ENSMUSP00000109291
ENSGALP00000001312	ENSMUSP00000001720
ENSGALP00000016076	ENSMUSP00000034150
ENSGALP00000013681	ENSMUSP00000041951
ENSGALP00000013190	ENSMUSP00000009234
ENSGALP00000039305	ENSMUSP00000044262
ENSGALP00000001702	ENSMUSP00000001415
ENSGALP00000023025	ENSMUSP00000125211
ENSGALP00000017502	ENSMUSP00000030367
ENSGALP00000019012	ENSMUSP00000067002
ENSGALP00000017453	ENSMUSP00000069326
ENSGALP00000004490	ENSMUSP00000099950
ENSGALP00000007139	ENSMUSP00000039663
ENSGALP00000002228	ENSMUSP00000034472
ENSGALP00000001051	ENSMUSP00000030709
ENSGALP00000023938	ENSMUSP00000020022
ENSGALP00000041541	ENSMUSP00000042187
ENSGALP00000002189	ENSMUSP00000040045
ENSGALP00000020696	ENSMUSP00000130636
ENSGALP00000041101	ENSMUSP00000121493
ENSGALP00000043364	ENSMUSP00000096874
ENSGALP00000011635	ENSMUSP00000089051
ENSGALP00000013911	ENSMUSP00000044049
ENSGALP00000003371	ENSMUSP00000085499
ENSGALP00000001973	ENSMUSP00000013559
ENSGALP00000042241	ENSMUSP00000104906
ENSGALP00000007155	ENSMUSP00000029196
ENSGALP00000022613	ENSMUSP00000043962
ENSGALP00000001658	ENSMUSP00000057962
ENSGALP00000022667	ENSMUSP00000134222
ENSGALP00000041630	ENSMUSP00000017576
ENSGALP00000011899	ENSMUSP00000049970
ENSGALP00000007931	ENSMUSP00000009538
ENSGALP00000015290	ENSMUSP00000000058
ENSGALP00000015287	ENSMUSP00000007799
ENSGALP00000013584	ENSMUSP00000074922
ENSGALP00000024623	ENSMUSP00000126177
ENSGALP00000042077	ENSMUSP00000091870
ENSGALP00000007246	ENSMUSP00000063108
ENSGALP00000019534	ENSMUSP00000029761
ENSGALP00000008383	ENSMUSP00000087955
ENSGALP00000008417	ENSMUSP00000087950
ENSGALP00000042481	ENSMUSP00000046003
ENSGALP00000020598	ENSMUSP00000020227
ENSGALP00000013730	ENSMUSP00000088047
ENSGALP00000022444	ENSMUSP00000057106
ENSGALP00000043426	ENSMUSP00000036797
ENSGALP00000009161	ENSMUSP00000104506
ENSGALP00000017478	ENSMUSP00000091846
ENSGALP00000016142	ENSMUSP00000021243
ENSGALP00000020819	ENSMUSP00000021870
ENSGALP00000016521	ENSMUSP00000037834
ENSGALP00000035454	ENSMUSP00000022257
ENSGALP00000020312	ENSMUSP00000069685
ENSGALP00000011738	ENSMUSP00000025081
ENSGALP00000025229	ENSMUSP00000026284
ENSGALP00000012961	ENSMUSP00000019135
ENSGALP00000009899	ENSMUSP00000033160
ENSGALP00000006172	ENSMUSP00000076459
ENSGALP00000012750	ENSMUSP00000105140
ENSGALP00000001660	ENSMUSP00000059864
ENSGALP00000021516	ENSMUSP00000022099
ENSGALP00000000478	ENSMUSP00000124569
ENSGALP00000026030	ENSMUSP00000128223
ENSGALP00000042361	ENSMUSP00000075587
ENSGALP00000030056	ENSMUSP00000133159
ENSGALP00000012678	ENSMUSP00000075376
ENSGALP00000006494	ENSMUSP00000109190
ENSGALP00000009387	ENSMUSP00000124947
ENSGALP00000007102	ENSMUSP00000092283
ENSGALP00000017154	ENSMUSP00000044543
ENSGALP00000019779	ENSMUSP00000072894
ENSGALP00000038747	ENSMUSP00000099018
ENSGALP00000019650	ENSMUSP00000107503
ENSGALP00000014376	ENSMUSP00000016383
ENSGALP00000022268	ENSMUSP00000066403
ENSGALP00000039652	ENSMUSP00000034239
ENSGALP00000015051	ENSMUSP00000114968
ENSGALP00000003964	ENSMUSP00000035216
ENSGALP00000019178	ENSMUSP00000035328
ENSGALP00000019726	ENSMUSP00000072334
ENSGALP00000011711	ENSMUSP00000071619
ENSGALP00000002699	ENSMUSP00000105000
ENSGALP00000002030	ENSMUSP00000029170
ENSGALP00000038901	ENSMUSP00000034091
ENSGALP00000027407	ENSMUSP00000022701
ENSGALP00000015000	ENSMUSP00000027777
ENSGALP00000015485	ENSMUSP00000021550
ENSGALP00000022199	ENSMUSP00000040853
ENSGALP00000008427	ENSMUSP00000029574
ENSGALP00000008546	ENSMUSP00000127566
ENSGALP00000010929	ENSMUSP00000034650
ENSGALP00000024142	ENSMUSP00000068374
ENSGALP00000013709	ENSMUSP00000092223
ENSGALP00000041636	ENSMUSP00000019405
ENSGALP00000006431	ENSMUSP00000099599
ENSGALP00000027264	ENSMUSP00000022727
ENSGALP00000027072	ENSMUSP00000119939
ENSGALP00000016926	ENSMUSP00000119872
ENSGALP00000015071	ENSMUSP00000027800
ENSGALP00000016706	ENSMUSP00000109151
ENSGALP00000041185	ENSMUSP00000035031
ENSGALP00000007382	ENSMUSP00000041110
ENSGALP00000016253	ENSMUSP00000034030
ENSGALP00000020022	ENSMUSP00000074518
ENSGALP00000041702	ENSMUSP00000048229
ENSGALP00000017201	ENSMUSP00000021347
ENSGALP00000035839	ENSMUSP00000080280
ENSGALP00000024377	ENSMUSP00000112539
ENSGALP00000002465	ENSMUSP00000090613
ENSGALP00000006378	ENSMUSP00000107297
ENSGALP00000013993	ENSMUSP00000028758
ENSGALP00000026933	ENSMUSP00000083892
ENSGALP00000024760	ENSMUSP00000114852
ENSGALP00000023916	ENSMUSP00000053553
ENSGALP00000024778	ENSMUSP00000101129
ENSGALP00000016204	ENSMUSP00000096214
ENSGALP00000042038	ENSMUSP00000015456
ENSGALP00000041380	ENSMUSP00000044034
ENSGALP00000041129	ENSMUSP00000021903
ENSGALP00000015559	ENSMUSP00000107804
ENSGALP00000000540	ENSMUSP00000021030
ENSGALP00000018802	ENSMUSP00000077138
ENSGALP00000013782	ENSMUSP00000041671
ENSGALP00000017392	ENSMUSP00000069444
ENSGALP00000002144	ENSMUSP00000090617
ENSGALP00000002109	ENSMUSP00000044418
ENSGALP00000035933	ENSMUSP00000006235
ENSGALP00000028353	ENSMUSP00000101620
ENSGALP00000026245	ENSMUSP00000034911
ENSGALP00000020315	ENSMUSP00000018313
ENSGALP00000004473	ENSMUSP00000026156
ENSGALP00000010093	ENSMUSP00000066256
ENSGALP00000006162	ENSMUSP00000050592
ENSGALP00000020574	ENSMUSP00000069488
ENSGALP00000009323	ENSMUSP00000029766
ENSGALP00000032851	ENSMUSP00000065254
ENSGALP00000017255	ENSMUSP00000136503
ENSGALP00000027658	ENSMUSP00000039313
ENSGALP00000024921	ENSMUSP00000038166
ENSGALP00000011836	ENSMUSP00000110965
ENSGALP00000043116	ENSMUSP00000060225
ENSGALP00000024006	ENSMUSP00000104864
ENSGALP00000016094	ENSMUSP00000113270
ENSGALP00000010704	ENSMUSP00000051830
ENSGALP00000020005	ENSMUSP00000125749
ENSGALP00000043142	ENSMUSP00000041052
ENSGALP00000024696	ENSMUSP00000058954
ENSGALP00000007937	ENSMUSP00000063795
ENSGALP00000027143	ENSMUSP00000038514
ENSGALP00000013147	ENSMUSP00000067085
ENSGALP00000004609	ENSMUSP00000000910
ENSGALP00000023859	ENSMUSP00000075526
ENSGALP00000015059	ENSMUSP00000028511
ENSGALP00000036014	ENSMUSP00000005406
ENSGALP00000036811	ENSMUSP00000133222
ENSGALP00000041000	ENSMUSP00000115873
ENSGALP00000018382	ENSMUSP00000061493
ENSGALP00000031284	ENSMUSP00000079107
ENSGALP00000019417	ENSMUSP00000021514
ENSGALP00000015303	ENSMUSP00000003035
ENSGALP00000007553	ENSMUSP00000037136
ENSGALP00000041070	ENSMUSP00000091532
ENSGALP00000000494	ENSMUSP00000021052
ENSGALP00000010010	ENSMUSP00000023759
ENSGALP00000001221	ENSMUSP00000027688
ENSGALP00000015985	ENSMUSP00000026902
ENSGALP00000015568	ENSMUSP00000112930
ENSGALP00000041851	ENSMUSP00000113115
ENSGALP00000006252	ENSMUSP00000032732
ENSGALP00000001055	ENSMUSP00000050995
ENSGALP00000022126	ENSMUSP00000106013
ENSGALP00000002794	ENSMUSP00000039966
ENSGALP00000039222	ENSMUSP00000133356
ENSGALP00000013618	ENSMUSP00000027186
ENSGALP00000019447	ENSMUSP00000044482
ENSGALP00000016315	ENSMUSP00000021410
ENSGALP00000002091	ENSMUSP00000040977
ENSGALP00000039428	ENSMUSP00000088176
ENSGALP00000012264	ENSMUSP00000080881
ENSGALP00000025503	ENSMUSP00000051092
ENSGALP00000025502	ENSMUSP00000074066
ENSGALP00000018269	ENSMUSP00000087608
ENSGALP00000003731	ENSMUSP00000059330
ENSGALP00000005794	ENSMUSP00000101412
ENSGALP00000024208	ENSMUSP00000029730
ENSGALP00000016102	ENSMUSP00000044361
ENSGALP00000013722	ENSMUSP00000086366
ENSGALP00000038601	ENSMUSP00000090710
ENSGALP00000027276	ENSMUSP00000022709
ENSGALP00000012035	ENSMUSP00000076219
ENSGALP00000002020	ENSMUSP00000070751
ENSGALP00000038139	ENSMUSP00000022242
ENSGALP00000002670	ENSMUSP00000082793
ENSGALP00000026395	ENSMUSP00000029876
ENSGALP00000041715	ENSMUSP00000003754
ENSGALP00000022085	ENSMUSP00000021770
ENSGALP00000019805	ENSMUSP00000028533
ENSGALP00000004015	ENSMUSP00000029450
ENSGALP00000003277	ENSMUSP00000135040
ENSGALP00000024504	ENSMUSP00000008957
ENSGALP00000020417	ENSMUSP00000022057
ENSGALP00000012899	ENSMUSP00000108455
ENSGALP00000024954	ENSMUSP00000103983
ENSGALP00000009213	ENSMUSP00000037808
ENSGALP00000001412	ENSMUSP00000120414
ENSGALP00000011399	ENSMUSP00000026548
ENSGALP00000006155	ENSMUSP00000069456
ENSGALP00000014328	ENSMUSP00000047616
ENSGALP00000043439	ENSMUSP00000129964
ENSGALP00000011677	ENSMUSP00000026900
ENSGALP00000027438	ENSMUSP00000014691
ENSGALP00000008268	ENSMUSP00000109140
ENSGALP00000014935	ENSMUSP00000085906
ENSGALP00000002348	ENSMUSP00000068790
ENSGALP00000016156	ENSMUSP00000078047
ENSGALP00000013598	ENSMUSP00000096876
ENSGALP00000013601	ENSMUSP00000096877
ENSGALP00000005199	ENSMUSP00000138433
ENSGALP00000003428	ENSMUSP00000102047
ENSGALP00000006999	ENSMUSP00000064943
ENSGALP00000005059	ENSMUSP00000017945
ENSGALP00000037170	ENSMUSP00000031167
ENSGALP00000020620	ENSMUSP00000076418
ENSGALP00000014001	ENSMUSP00000099494
ENSGALP00000025245	ENSMUSP00000109877
ENSGALP00000039758	ENSMUSP00000033427
ENSGALP00000020138	ENSMUSP00000015449
ENSGALP00000013914	ENSMUSP00000028854
ENSGALP00000030175	ENSMUSP00000025356
ENSGALP00000042161	ENSMUSP00000001319
ENSGALP00000039891	ENSMUSP00000050716
ENSGALP00000041744	ENSMUSP00000029476
ENSGALP00000019095	ENSMUSP00000039568
ENSGALP00000008440	ENSMUSP00000077628
ENSGALP00000035739	ENSMUSP00000061410
ENSGALP00000008879	ENSMUSP00000084196
ENSGALP00000020807	ENSMUSP00000129615
ENSGALP00000026281	ENSMUSP00000048234
ENSGALP00000034451	ENSMUSP00000046512
ENSGALP00000005887	ENSMUSP00000022744
ENSGALP00000011451	ENSMUSP00000050001
ENSGALP00000026180	ENSMUSP00000085650
ENSGALP00000019952	ENSMUSP00000023065
ENSGALP00000015437	ENSMUSP00000078490
ENSGALP00000041920	ENSMUSP00000029435
ENSGALP00000022533	ENSMUSP00000100053
ENSGALP00000032457	ENSMUSP00000138290
ENSGALP00000022193	ENSMUSP00000089388
ENSGALP00000007200	ENSMUSP00000021641
ENSGALP00000012655	ENSMUSP00000104785
ENSGALP00000001411	ENSMUSP00000102904
ENSGALP00000026600	ENSMUSP00000031029
ENSGALP00000026342	ENSMUSP00000041563
ENSGALP00000002206	ENSMUSP00000060143
ENSGALP00000040717	ENSMUSP00000105491
ENSGALP00000024834	ENSMUSP00000062734
ENSGALP00000022544	ENSMUSP00000129315
ENSGALP00000001472	ENSMUSP00000099609
ENSGALP00000002825	ENSMUSP00000005188
ENSGALP00000007323	ENSMUSP00000083490
ENSGALP00000021396	ENSMUSP00000038562
ENSGALP00000015277	ENSMUSP00000015877
ENSGALP00000003357	ENSMUSP00000079722
ENSGALP00000026433	ENSMUSP00000108083
ENSGALP00000018767	ENSMUSP00000031359
ENSGALP00000026611	ENSMUSP00000071191
ENSGALP00000017341	ENSMUSP00000047571
ENSGALP00000022058	ENSMUSP00000069872
ENSGALP00000027791	ENSMUSP00000053086
ENSGALP00000028027	ENSMUSP00000125912
ENSGALP00000007358	ENSMUSP00000138379
ENSGALP00000035504	ENSMUSP00000138400
ENSGALP00000010935	ENSMUSP00000041902
ENSGALP00000001381	ENSMUSP00000011262
ENSGALP00000027769	ENSMUSP00000126405
ENSGALP00000000002	ENSMUSP00000124354
ENSGALP00000017326	ENSMUSP00000043713
ENSGALP00000014069	ENSMUSP00000061546
ENSGALP00000020656	ENSMUSP00000087049
ENSGALP00000017216	ENSMUSP00000096203
ENSGALP00000027758	ENSMUSP00000127751
ENSGALP00000042047	ENSMUSP00000022881
ENSGALP00000018472	ENSMUSP00000095300
ENSGALP00000005227	ENSMUSP00000075916
ENSGALP00000035061	ENSMUSP00000022164
ENSGALP00000042643	ENSMUSP00000075140
ENSGALP00000014616	ENSMUSP00000113881
ENSGALP00000018493	ENSMUSP00000128056
ENSGALP00000010292	ENSMUSP00000002708
ENSGALP00000042723	ENSMUSP00000100561
ENSGALP00000037124	ENSMUSP00000055267
ENSGALP00000042644	ENSMUSP00000138351
ENSGALP00000042933	ENSMUSP00000058152
ENSGALP00000019662	ENSMUSP00000035083
ENSGALP00000016032	ENSMUSP00000073004
ENSGALP00000000272	ENSMUSP00000028814
ENSGALP00000019045	ENSMUSP00000031317
ENSGALP00000004298	ENSMUSP00000112717
ENSGALP00000004459	ENSMUSP00000025050
ENSGALP00000019540	ENSMUSP00000102034
ENSGALP00000041810	ENSMUSP00000095174
ENSGALP00000039554	ENSMUSP00000053176
ENSGALP00000006521	ENSMUSP00000073541
ENSGALP00000015128	ENSMUSP00000005003
ENSGALP00000018692	ENSMUSP00000042803
ENSGALP00000028721	ENSMUSP00000118729
ENSGALP00000042443	ENSMUSP00000033326
ENSGALP00000020972	ENSMUSP00000038754
ENSGALP00000025312	ENSMUSP00000004943
ENSGALP00000042650	ENSMUSP00000004508
ENSGALP00000011997	ENSMUSP00000107530
ENSGALP00000001890	ENSMUSP00000074771
ENSGALP00000023218	ENSMUSP00000117040
ENSGALP00000041330	ENSMUSP00000052144
ENSGALP00000017852	ENSMUSP00000117533
ENSGALP00000032046	ENSMUSP00000109630
ENSGALP00000021949	ENSMUSP00000086167
ENSGALP00000003498	ENSMUSP00000033218
ENSGALP00000025753	ENSMUSP00000060394
ENSGALP00000006796	ENSMUSP00000030606
ENSGALP00000018646	ENSMUSP00000033927
ENSGALP00000016416	ENSMUSP00000042796
ENSGALP00000002536	ENSMUSP00000076844
ENSGALP00000026980	ENSMUSP00000129811
ENSGALP00000036453	ENSMUSP00000093382
ENSGALP00000036460	ENSMUSP00000019994
ENSGALP00000029836	ENSMUSP00000023494
ENSGALP00000000140	ENSMUSP00000027687
ENSGALP00000016730	ENSMUSP00000019379
ENSGALP00000006852	ENSMUSP00000037447
ENSGALP00000041228	ENSMUSP00000037821
ENSGALP00000032624	ENSMUSP00000105657
ENSGALP00000019237	ENSMUSP00000085022
ENSGALP00000034599	ENSMUSP00000137895
ENSGALP00000021478	ENSMUSP00000073591
ENSGALP00000023177	ENSMUSP00000092380
ENSGALP00000004850	ENSMUSP00000059138
ENSGALP00000039752	ENSMUSP00000019734
ENSGALP00000043280	ENSMUSP00000028403
ENSGALP00000008402	ENSMUSP00000130680
ENSGALP00000021121	ENSMUSP00000097656
ENSGALP00000042551	ENSMUSP00000135853
ENSGALP00000011778	ENSMUSP00000060941
ENSGALP00000025812	ENSMUSP00000112801
ENSGALP00000032253	ENSMUSP00000113147
ENSGALP00000035860	ENSMUSP00000064516
ENSGALP00000020160	ENSMUSP00000052146
ENSGALP00000004601	ENSMUSP00000109612
ENSGALP00000026381	ENSMUSP00000022993
ENSGALP00000002514	ENSMUSP00000117052
ENSGALP00000037711	ENSMUSP00000009236
ENSGALP00000036411	ENSMUSP00000120015
ENSGALP00000016071	ENSMUSP00000077103
ENSGALP00000015086	ENSMUSP00000105923
ENSGALP00000017336	ENSMUSP00000056121
ENSGALP00000011212	ENSMUSP00000109036
ENSGALP00000019655	ENSMUSP00000126338
ENSGALP00000028008	ENSMUSP00000107677
ENSGALP00000042962	ENSMUSP00000113281
ENSGALP00000016230	ENSMUSP00000041874
ENSGALP00000007412	ENSMUSP00000046441
ENSGALP00000022772	ENSMUSP00000098096
ENSGALP00000016963	ENSMUSP00000108126
ENSGALP00000029511	ENSMUSP00000022704
ENSGALP00000006522	ENSMUSP00000033591
ENSGALP00000008871	ENSMUSP00000027425
ENSGALP00000022073	ENSMUSP00000069764
ENSGALP00000012963	ENSMUSP00000052619
ENSGALP00000022081	ENSMUSP00000069182
ENSGALP00000001840	ENSMUSP00000090886
ENSGALP00000032574	ENSMUSP00000026241
ENSGALP00000003444	ENSMUSP00000020507
ENSGALP00000010661	ENSMUSP00000105413
ENSGALP00000024470	ENSMUSP00000095260
ENSGALP00000036004	ENSMUSP00000117384
ENSGALP00000022924	ENSMUSP00000023072
ENSGALP00000022928	ENSMUSP00000131443
ENSGALP00000018435	ENSMUSP00000059463
ENSGALP00000009525	ENSMUSP00000059210
ENSGALP00000027746	ENSMUSP00000136866
ENSGALP00000013785	ENSMUSP00000106441
ENSGALP00000019982	ENSMUSP00000010974
ENSGALP00000018206	ENSMUSP00000054420
ENSGALP00000005241	ENSMUSP00000050014
ENSGALP00000004475	ENSMUSP00000037238
ENSGALP00000038678	ENSMUSP00000031347
ENSGALP00000041632	ENSMUSP00000021828
ENSGALP00000021693	ENSMUSP00000127094
ENSGALP00000007638	ENSMUSP00000021204
ENSGALP00000017133	ENSMUSP00000095534
ENSGALP00000036655	ENSMUSP00000020174
ENSGALP00000002437	ENSMUSP00000002298
ENSGALP00000006357	ENSMUSP00000117908
ENSGALP00000043006	ENSMUSP00000053178
ENSGALP00000030247	ENSMUSP00000027062
ENSGALP00000015342	ENSMUSP00000033136
ENSGALP00000005141	ENSMUSP00000044725
ENSGALP00000006652	ENSMUSP00000049112
ENSGALP00000024554	ENSMUSP00000136621
ENSGALP00000015655	ENSMUSP00000037586
ENSGALP00000026689	ENSMUSP00000069209
ENSGALP00000012620	ENSMUSP00000062109
ENSGALP00000042554	ENSMUSP00000019006
ENSGALP00000024129	ENSMUSP00000109734
ENSGALP00000004163	ENSMUSP00000062702
ENSGALP00000014240	ENSMUSP00000110751
ENSGALP00000038228	ENSMUSP00000101648
ENSGALP00000035996	ENSMUSP00000023707
ENSGALP00000023211	ENSMUSP00000098768
ENSGALP00000042461	ENSMUSP00000053056
ENSGALP00000041899	ENSMUSP00000035549
ENSGALP00000015904	ENSMUSP00000056245
ENSGALP00000042103	ENSMUSP00000058204
ENSGALP00000018368	ENSMUSP00000100922
ENSGALP00000043060	ENSMUSP00000021822
ENSGALP00000005614	ENSMUSP00000120568
ENSGALP00000017179	ENSMUSP00000030296
ENSGALP00000017577	ENSMUSP00000049212
ENSGALP00000018196	ENSMUSP00000057116
ENSGALP00000015374	ENSMUSP00000054053
ENSGALP00000038130	ENSMUSP00000068890
ENSGALP00000038618	ENSMUSP00000086542
ENSGALP00000024843	ENSMUSP00000029907
ENSGALP00000042862	ENSMUSP00000077995
ENSGALP00000017702	ENSMUSP00000005364
ENSGALP00000027103	ENSMUSP00000033828
ENSGALP00000023039	ENSMUSP00000088320
ENSGALP00000037005	ENSMUSP00000019268
ENSGALP00000042134	ENSMUSP00000123201
ENSGALP00000018564	ENSMUSP00000009392
ENSGALP00000029937	ENSMUSP00000137650
ENSGALP00000008319	ENSMUSP00000061221
ENSGALP00000014205	ENSMUSP00000028105
ENSGALP00000006280	ENSMUSP00000113680
ENSGALP00000025363	ENSMUSP00000041242
ENSGALP00000026776	ENSMUSP00000064422
ENSGALP00000042772	ENSMUSP00000025404
ENSGALP00000040567	ENSMUSP00000122072
ENSGALP00000006047	ENSMUSP00000095253
ENSGALP00000041215	ENSMUSP00000047518
ENSGALP00000040769	ENSMUSP00000004473
ENSGALP00000013176	ENSMUSP00000002180
ENSGALP00000042346	ENSMUSP00000122507
ENSGALP00000022893	ENSMUSP00000060907
ENSGALP00000022592	ENSMUSP00000020153
ENSGALP00000011332	ENSMUSP00000091374
ENSGALP00000005234	ENSMUSP00000095966
ENSGALP00000004831	ENSMUSP00000000895
ENSGALP00000007671	ENSMUSP00000115822
ENSGALP00000039286	ENSMUSP00000028135
ENSGALP00000034141	ENSMUSP00000009358
ENSGALP00000002307	ENSMUSP00000131409
ENSGALP00000010268	ENSMUSP00000051151
ENSGALP00000041437	ENSMUSP00000045222
ENSGALP00000004056	ENSMUSP00000106978
ENSGALP00000039929	ENSMUSP00000120649
ENSGALP00000014637	ENSMUSP00000130571
ENSGALP00000039355	ENSMUSP00000041941
ENSGALP00000024919	ENSMUSP00000077273
ENSGALP00000037834	ENSMUSP00000031291
ENSGALP00000016889	ENSMUSP00000109907
ENSGALP00000040085	ENSMUSP00000043074
ENSGALP00000003131	ENSMUSP00000023826
ENSGALP00000039032	ENSMUSP00000060194
ENSGALP00000004480	ENSMUSP00000051481
ENSGALP00000024722	ENSMUSP00000119774
ENSGALP00000014293	ENSMUSP00000025936
ENSGALP00000026854	ENSMUSP00000047992
ENSGALP00000027915	ENSMUSP00000032977
ENSGALP00000013090	ENSMUSP00000108499
ENSGALP00000025413	ENSMUSP00000029049
ENSGALP00000001729	ENSMUSP00000124027
ENSGALP00000003447	ENSMUSP00000063879
ENSGALP00000042015	ENSMUSP00000004913
ENSGALP00000003451	ENSMUSP00000027643
ENSGALP00000020756	ENSMUSP00000021796
ENSGALP00000040703	ENSMUSP00000029030
ENSGALP00000000940	ENSMUSP00000030384
ENSGALP00000042492	ENSMUSP00000102718
ENSGALP00000006684	ENSMUSP00000053869
ENSGALP00000020319	ENSMUSP00000085960
ENSGALP00000041711	ENSMUSP00000029665
ENSGALP00000006037	ENSMUSP00000025803
ENSGALP00000033072	ENSMUSP00000086342
ENSGALP00000010780	ENSMUSP00000086347
ENSGALP00000033070	ENSMUSP00000105379
ENSGALP00000031018	ENSMUSP00000034881
ENSGALP00000011217	ENSMUSP00000050684
ENSGALP00000038259	ENSMUSP00000018521
ENSGALP00000008290	ENSMUSP00000020821
ENSGALP00000018537	ENSMUSP00000048285
ENSGALP00000002726	ENSMUSP00000105248
ENSGALP00000022788	ENSMUSP00000098687
ENSGALP00000003704	ENSMUSP00000136914
ENSGALP00000040427	ENSMUSP00000137400
ENSGALP00000037676	ENSMUSP00000026445
ENSGALP00000033359	ENSMUSP00000031565
ENSGALP00000040875	ENSMUSP00000081132
ENSGALP00000003898	ENSMUSP00000125761
ENSGALP00000037101	ENSMUSP00000027639
ENSGALP00000000631	ENSMUSP00000034612
ENSGALP00000014459	ENSMUSP00000037328
ENSGALP00000043100	ENSMUSP00000049236
ENSGALP00000015927	ENSMUSP00000096705
ENSGALP00000041581	ENSMUSP00000071130
ENSGALP00000033663	ENSMUSP00000099833
ENSGALP00000042636	ENSMUSP00000130827
ENSGALP00000016911	ENSMUSP00000067496
ENSGALP00000024586	ENSMUSP00000023434
ENSGALP00000042142	ENSMUSP00000031650
ENSGALP00000009094	ENSMUSP00000025521
ENSGALP00000024153	ENSMUSP00000059212
ENSGALP00000027507	ENSMUSP00000074878
ENSGALP00000042247	ENSMUSP00000076729
ENSGALP00000008498	ENSMUSP00000022529
ENSGALP00000041609	ENSMUSP00000001185
ENSGALP00000005497	ENSMUSP00000048238
ENSGALP00000011162	ENSMUSP00000067181
ENSGALP00000001249	ENSMUSP00000028129
ENSGALP00000004710	ENSMUSP00000049103
ENSGALP00000026511	ENSMUSP00000065613
ENSGALP00000021066	ENSMUSP00000084039
ENSGALP00000008419	ENSMUSP00000039394
ENSGALP00000002837	ENSMUSP00000037137
ENSGALP00000006734	ENSMUSP00000113097
ENSGALP00000010855	ENSMUSP00000026590
ENSGALP00000019363	ENSMUSP00000026890
ENSGALP00000021566	ENSMUSP00000009018
ENSGALP00000018434	ENSMUSP00000022311
ENSGALP00000004327	ENSMUSP00000052872
ENSGALP00000041694	ENSMUSP00000031692
ENSGALP00000006701	ENSMUSP00000099605
ENSGALP00000022452	ENSMUSP00000042642
ENSGALP00000022453	ENSMUSP00000020185
ENSGALP00000014793	ENSMUSP00000112138
ENSGALP00000014636	ENSMUSP00000028727
ENSGALP00000003899	ENSMUSP00000044288
ENSGALP00000001464	ENSMUSP00000099864
ENSGALP00000019007	ENSMUSP00000042266
ENSGALP00000042948	ENSMUSP00000025019
ENSGALP00000029993	ENSMUSP00000032344
ENSGALP00000042776	ENSMUSP00000135556
ENSGALP00000029389	ENSMUSP00000008462
ENSGALP00000023120	ENSMUSP00000118125
ENSGALP00000036276	ENSMUSP00000041361
ENSGALP00000041901	ENSMUSP00000105272
ENSGALP00000000319	ENSMUSP00000025236
ENSGALP00000033490	ENSMUSP00000074872
ENSGALP00000021782	ENSMUSP00000035663
ENSGALP00000009697	ENSMUSP00000033418
ENSGALP00000031763	ENSMUSP00000033646
ENSGALP00000042767	ENSMUSP00000129781
ENSGALP00000018480	ENSMUSP00000128318
ENSGALP00000012705	ENSMUSP00000107579
ENSGALP00000020042	ENSMUSP00000134672
ENSGALP00000014460	ENSMUSP00000107415
ENSGALP00000021990	ENSMUSP00000029548
ENSGALP00000008211	ENSMUSP00000038610
ENSGALP00000012170	ENSMUSP00000042808
ENSGALP00000024210	ENSMUSP00000090227
ENSGALP00000012547	ENSMUSP00000037629
ENSGALP00000016193	ENSMUSP00000024944
ENSGALP00000008535	ENSMUSP00000029570
ENSGALP00000009853	ENSMUSP00000031227
ENSGALP00000003974	ENSMUSP00000022148
ENSGALP00000001845	ENSMUSP00000035116
ENSGALP00000002196	ENSMUSP00000020672
ENSGALP00000027249	ENSMUSP00000022734
ENSGALP00000005453	ENSMUSP00000014339
ENSGALP00000001190	ENSMUSP00000133205
ENSGALP00000032932	ENSMUSP00000110817
ENSGALP00000042472	ENSMUSP00000115292
ENSGALP00000042331	ENSMUSP00000037929
ENSGALP00000039157	ENSMUSP00000103012
ENSGALP00000011124	ENSMUSP00000017904
ENSGALP00000005274	ENSMUSP00000099510
ENSGALP00000007054	ENSMUSP00000097819
ENSGALP00000007498	ENSMUSP00000069243
ENSGALP00000038432	ENSMUSP00000034343
ENSGALP00000043020	ENSMUSP00000023829
ENSGALP00000036494	ENSMUSP00000065832
ENSGALP00000031994	ENSMUSP00000115704
ENSGALP00000021182	ENSMUSP00000139031
ENSGALP00000022392	ENSMUSP00000012679
ENSGALP00000017444	ENSMUSP00000129654
ENSGALP00000028211	ENSMUSP00000023760
ENSGALP00000012194	ENSMUSP00000061308
ENSGALP00000025328	ENSMUSP00000054734
ENSGALP00000016751	ENSMUSP00000051664
ENSGALP00000043371	ENSMUSP00000033389
