ENSMGAP00000004951	ENSMODP00000016222
ENSMGAP00000013297	ENSMODP00000008132
ENSMGAP00000014852	ENSMODP00000012268
ENSMGAP00000012743	ENSMODP00000008484
ENSMGAP00000012063	ENSMODP00000004058
ENSMGAP00000000317	ENSMODP00000023165
ENSMGAP00000013599	ENSMODP00000001056
ENSMGAP00000000076	ENSMODP00000004980
ENSMGAP00000007962	ENSMODP00000029171
ENSMGAP00000008674	ENSMODP00000025925
ENSMGAP00000017264	ENSMODP00000028833
ENSMGAP00000010049	ENSMODP00000020887
ENSMGAP00000017943	ENSMODP00000003098
ENSMGAP00000007370	ENSMODP00000018083
ENSMGAP00000018707	ENSMODP00000017708
ENSMGAP00000001627	ENSMODP00000013245
ENSMGAP00000016073	ENSMODP00000018360
ENSMGAP00000001880	ENSMODP00000003293
ENSMGAP00000006290	ENSMODP00000009692
ENSMGAP00000011160	ENSMODP00000024327
ENSMGAP00000004559	ENSMODP00000015299
ENSMGAP00000005979	ENSMODP00000014967
ENSMGAP00000012835	ENSMODP00000019124
ENSMGAP00000013274	ENSMODP00000002476
ENSMGAP00000008997	ENSMODP00000003772
ENSMGAP00000003017	ENSMODP00000040424
ENSMGAP00000010156	ENSMODP00000026631
ENSMGAP00000005418	ENSMODP00000018748
ENSMGAP00000011227	ENSMODP00000011825
ENSMGAP00000015131	ENSMODP00000006014
ENSMGAP00000006488	ENSMODP00000005375
ENSMGAP00000006201	ENSMODP00000008345
ENSMGAP00000008601	ENSMODP00000006473
ENSMGAP00000017456	ENSMODP00000033035
ENSMGAP00000001389	ENSMODP00000000954
ENSMGAP00000005189	ENSMODP00000034544
ENSMGAP00000000847	ENSMODP00000003978
ENSMGAP00000010993	ENSMODP00000025485
ENSMGAP00000000338	ENSMODP00000016813
ENSMGAP00000002135	ENSMODP00000017322
ENSMGAP00000006893	ENSMODP00000010609
ENSMGAP00000019132	ENSMODP00000022466
ENSMGAP00000006592	ENSMODP00000011489
ENSMGAP00000010754	ENSMODP00000037730
ENSMGAP00000001784	ENSMODP00000008296
ENSMGAP00000010185	ENSMODP00000008298
ENSMGAP00000002264	ENSMODP00000001947
ENSMGAP00000009623	ENSMODP00000023815
ENSMGAP00000017642	ENSMODP00000015164
ENSMGAP00000012636	ENSMODP00000026456
ENSMGAP00000002791	ENSMODP00000016842
ENSMGAP00000015490	ENSMODP00000026391
ENSMGAP00000013581	ENSMODP00000009507
ENSMGAP00000013518	ENSMODP00000039032
ENSMGAP00000008222	ENSMODP00000003113
ENSMGAP00000001415	ENSMODP00000004911
ENSMGAP00000012640	ENSMODP00000025793
ENSMGAP00000005335	ENSMODP00000023195
ENSMGAP00000004049	ENSMODP00000001214
ENSMGAP00000010198	ENSMODP00000011431
ENSMGAP00000010775	ENSMODP00000001552
ENSMGAP00000013373	ENSMODP00000004219
ENSMGAP00000006254	ENSMODP00000009442
ENSMGAP00000005754	ENSMODP00000008361
ENSMGAP00000004838	ENSMODP00000017113
ENSMGAP00000009379	ENSMODP00000020548
ENSMGAP00000015059	ENSMODP00000006423
ENSMGAP00000009301	ENSMODP00000019073
ENSMGAP00000004268	ENSMODP00000028969
ENSMGAP00000003361	ENSMODP00000007617
ENSMGAP00000000645	ENSMODP00000020948
ENSMGAP00000001675	ENSMODP00000014965
ENSMGAP00000009390	ENSMODP00000003476
ENSMGAP00000012140	ENSMODP00000023789
ENSMGAP00000005612	ENSMODP00000010707
ENSMGAP00000006287	ENSMODP00000009743
ENSMGAP00000014114	ENSMODP00000015766
ENSMGAP00000012823	ENSMODP00000025726
ENSMGAP00000010183	ENSMODP00000017637
ENSMGAP00000008193	ENSMODP00000003965
ENSMGAP00000006083	ENSMODP00000011057
ENSMGAP00000019665	ENSMODP00000013484
ENSMGAP00000003248	ENSMODP00000020221
ENSMGAP00000004524	ENSMODP00000012751
ENSMGAP00000007828	ENSMODP00000021994
ENSMGAP00000008130	ENSMODP00000007388
ENSMGAP00000014884	ENSMODP00000019587
ENSMGAP00000011236	ENSMODP00000012786
ENSMGAP00000007880	ENSMODP00000004733
ENSMGAP00000012311	ENSMODP00000013834
ENSMGAP00000002780	ENSMODP00000011180
ENSMGAP00000004445	ENSMODP00000024347
ENSMGAP00000009183	ENSMODP00000019879
ENSMGAP00000013461	ENSMODP00000029254
ENSMGAP00000015368	ENSMODP00000026309
ENSMGAP00000009602	ENSMODP00000008834
ENSMGAP00000008299	ENSMODP00000009642
ENSMGAP00000011956	ENSMODP00000033400
ENSMGAP00000015738	ENSMODP00000004716
ENSMGAP00000015289	ENSMODP00000022695
ENSMGAP00000011579	ENSMODP00000018703
ENSMGAP00000018762	ENSMODP00000016461
ENSMGAP00000004876	ENSMODP00000016288
ENSMGAP00000001528	ENSMODP00000016538
ENSMGAP00000011191	ENSMODP00000013377
ENSMGAP00000017385	ENSMODP00000023466
ENSMGAP00000015661	ENSMODP00000001273
ENSMGAP00000000657	ENSMODP00000036351
ENSMGAP00000011439	ENSMODP00000001492
ENSMGAP00000004523	ENSMODP00000006374
ENSMGAP00000014056	ENSMODP00000016405
ENSMGAP00000008500	ENSMODP00000006319
ENSMGAP00000012801	ENSMODP00000016670
ENSMGAP00000002876	ENSMODP00000011128
ENSMGAP00000014448	ENSMODP00000022825
ENSMGAP00000018732	ENSMODP00000018156
ENSMGAP00000007890	ENSMODP00000000202
ENSMGAP00000012179	ENSMODP00000006382
ENSMGAP00000015984	ENSMODP00000012039
ENSMGAP00000018335	ENSMODP00000025717
ENSMGAP00000017426	ENSMODP00000008741
ENSMGAP00000000082	ENSMODP00000014062
ENSMGAP00000008390	ENSMODP00000012628
ENSMGAP00000000993	ENSMODP00000000850
ENSMGAP00000008586	ENSMODP00000006372
ENSMGAP00000002872	ENSMODP00000038505
ENSMGAP00000015130	ENSMODP00000006048
ENSMGAP00000006258	ENSMODP00000012053
ENSMGAP00000004188	ENSMODP00000013229
ENSMGAP00000001746	ENSMODP00000024247
ENSMGAP00000002413	ENSMODP00000014118
ENSMGAP00000010158	ENSMODP00000007532
ENSMGAP00000000715	ENSMODP00000014688
ENSMGAP00000001639	ENSMODP00000018141
ENSMGAP00000011226	ENSMODP00000023615
ENSMGAP00000000208	ENSMODP00000001578
ENSMGAP00000004964	ENSMODP00000016213
ENSMGAP00000003835	ENSMODP00000008912
ENSMGAP00000013563	ENSMODP00000001994
ENSMGAP00000013434	ENSMODP00000010552
ENSMGAP00000015871	ENSMODP00000018475
ENSMGAP00000018540	ENSMODP00000010923
ENSMGAP00000010288	ENSMODP00000003162
ENSMGAP00000005380	ENSMODP00000040427
ENSMGAP00000002854	ENSMODP00000027961
ENSMGAP00000010748	ENSMODP00000014025
ENSMGAP00000008574	ENSMODP00000018564
ENSMGAP00000004347	ENSMODP00000008003
ENSMGAP00000011378	ENSMODP00000032537
ENSMGAP00000005317	ENSMODP00000015190
ENSMGAP00000007153	ENSMODP00000015375
ENSMGAP00000000026	ENSMODP00000014778
ENSMGAP00000007659	ENSMODP00000004882
ENSMGAP00000007302	ENSMODP00000001181
ENSMGAP00000010337	ENSMODP00000026081
ENSMGAP00000012694	ENSMODP00000000674
ENSMGAP00000006426	ENSMODP00000024532
ENSMGAP00000003004	ENSMODP00000018122
ENSMGAP00000012019	ENSMODP00000023755
ENSMGAP00000003385	ENSMODP00000019511
ENSMGAP00000006469	ENSMODP00000011628
ENSMGAP00000006590	ENSMODP00000020179
ENSMGAP00000000243	ENSMODP00000017992
ENSMGAP00000000519	ENSMODP00000041264
ENSMGAP00000014013	ENSMODP00000016232
ENSMGAP00000010274	ENSMODP00000035476
ENSMGAP00000014830	ENSMODP00000013995
ENSMGAP00000004666	ENSMODP00000015406
ENSMGAP00000005665	ENSMODP00000010779
ENSMGAP00000014127	ENSMODP00000016679
ENSMGAP00000012422	ENSMODP00000014201
ENSMGAP00000009098	ENSMODP00000006104
ENSMGAP00000015717	ENSMODP00000003217
ENSMGAP00000012798	ENSMODP00000023829
ENSMGAP00000002131	ENSMODP00000019604
ENSMGAP00000002340	ENSMODP00000018332
ENSMGAP00000001826	ENSMODP00000002197
ENSMGAP00000007905	ENSMODP00000018863
ENSMGAP00000010018	ENSMODP00000038725
ENSMGAP00000001811	ENSMODP00000013127
ENSMGAP00000003556	ENSMODP00000035551
ENSMGAP00000007751	ENSMODP00000011381
ENSMGAP00000009580	ENSMODP00000013016
ENSMGAP00000008366	ENSMODP00000023985
ENSMGAP00000019274	ENSMODP00000020813
ENSMGAP00000002721	ENSMODP00000013647
ENSMGAP00000009353	ENSMODP00000020553
ENSMGAP00000005932	ENSMODP00000016104
ENSMGAP00000008727	ENSMODP00000013103
ENSMGAP00000005330	ENSMODP00000020843
ENSMGAP00000010498	ENSMODP00000004266
ENSMGAP00000012544	ENSMODP00000022691
ENSMGAP00000001133	ENSMODP00000017194
ENSMGAP00000006398	ENSMODP00000005305
ENSMGAP00000004019	ENSMODP00000013463
ENSMGAP00000016147	ENSMODP00000003922
ENSMGAP00000009190	ENSMODP00000005499
ENSMGAP00000001545	ENSMODP00000013266
ENSMGAP00000015639	ENSMODP00000000669
ENSMGAP00000011967	ENSMODP00000022348
ENSMGAP00000006988	ENSMODP00000004346
ENSMGAP00000007001	ENSMODP00000021171
ENSMGAP00000008441	ENSMODP00000024644
ENSMGAP00000005146	ENSMODP00000001887
ENSMGAP00000001042	ENSMODP00000001935
ENSMGAP00000017580	ENSMODP00000019858
ENSMGAP00000005130	ENSMODP00000015840
ENSMGAP00000007505	ENSMODP00000011529
ENSMGAP00000014525	ENSMODP00000022938
ENSMGAP00000015396	ENSMODP00000026269
ENSMGAP00000010414	ENSMODP00000026854
ENSMGAP00000005651	ENSMODP00000020927
ENSMGAP00000013231	ENSMODP00000015028
ENSMGAP00000013671	ENSMODP00000002628
ENSMGAP00000001380	ENSMODP00000005367
ENSMGAP00000005318	ENSMODP00000026447
ENSMGAP00000008860	ENSMODP00000020002
ENSMGAP00000004044	ENSMODP00000023892
ENSMGAP00000007546	ENSMODP00000009819
ENSMGAP00000014094	ENSMODP00000022175
ENSMGAP00000007814	ENSMODP00000024170
ENSMGAP00000013959	ENSMODP00000016027
ENSMGAP00000010896	ENSMODP00000001241
ENSMGAP00000018144	ENSMODP00000020729
ENSMGAP00000009048	ENSMODP00000026767
ENSMGAP00000009227	ENSMODP00000002804
ENSMGAP00000004661	ENSMODP00000006426
ENSMGAP00000007535	ENSMODP00000004094
ENSMGAP00000006738	ENSMODP00000014926
ENSMGAP00000002484	ENSMODP00000028612
ENSMGAP00000003415	ENSMODP00000000684
ENSMGAP00000001559	ENSMODP00000016714
ENSMGAP00000012385	ENSMODP00000009977
ENSMGAP00000014587	ENSMODP00000032097
ENSMGAP00000003633	ENSMODP00000029287
ENSMGAP00000006114	ENSMODP00000033761
ENSMGAP00000006463	ENSMODP00000008335
ENSMGAP00000002447	ENSMODP00000022081
ENSMGAP00000014433	ENSMODP00000022790
ENSMGAP00000017646	ENSMODP00000041110
ENSMGAP00000001147	ENSMODP00000008131
ENSMGAP00000001591	ENSMODP00000005284
ENSMGAP00000008182	ENSMODP00000024621
ENSMGAP00000016098	ENSMODP00000000690
ENSMGAP00000011449	ENSMODP00000026582
ENSMGAP00000008012	ENSMODP00000024265
ENSMGAP00000013726	ENSMODP00000021759
ENSMGAP00000007138	ENSMODP00000004570
ENSMGAP00000015047	ENSMODP00000023470
ENSMGAP00000015472	ENSMODP00000026369
ENSMGAP00000007995	ENSMODP00000024180
ENSMGAP00000014206	ENSMODP00000022372
ENSMGAP00000014081	ENSMODP00000016455
ENSMGAP00000010048	ENSMODP00000026626
ENSMGAP00000014943	ENSMODP00000022630
ENSMGAP00000015612	ENSMODP00000000062
ENSMGAP00000007253	ENSMODP00000004720
ENSMGAP00000003548	ENSMODP00000000661
ENSMGAP00000009104	ENSMODP00000037165
ENSMGAP00000004839	ENSMODP00000003784
ENSMGAP00000014740	ENSMODP00000022407
ENSMGAP00000001927	ENSMODP00000006968
ENSMGAP00000002823	ENSMODP00000024457
ENSMGAP00000010253	ENSMODP00000003182
ENSMGAP00000012723	ENSMODP00000025757
ENSMGAP00000013738	ENSMODP00000003720
ENSMGAP00000001390	ENSMODP00000012464
ENSMGAP00000010441	ENSMODP00000026855
ENSMGAP00000003623	ENSMODP00000012483
ENSMGAP00000015734	ENSMODP00000004575
ENSMGAP00000006207	ENSMODP00000026539
ENSMGAP00000012235	ENSMODP00000020707
ENSMGAP00000000158	ENSMODP00000004768
ENSMGAP00000006680	ENSMODP00000021650
ENSMGAP00000008050	ENSMODP00000005891
ENSMGAP00000012257	ENSMODP00000012791
ENSMGAP00000002782	ENSMODP00000007791
ENSMGAP00000007132	ENSMODP00000010838
ENSMGAP00000004763	ENSMODP00000017120
ENSMGAP00000000430	ENSMODP00000022073
ENSMGAP00000001536	ENSMODP00000013687
ENSMGAP00000003910	ENSMODP00000019743
ENSMGAP00000008405	ENSMODP00000012648
ENSMGAP00000012967	ENSMODP00000000472
ENSMGAP00000009948	ENSMODP00000004805
ENSMGAP00000009732	ENSMODP00000011098
ENSMGAP00000011702	ENSMODP00000019187
ENSMGAP00000004659	ENSMODP00000001395
ENSMGAP00000009143	ENSMODP00000019719
ENSMGAP00000001654	ENSMODP00000014951
ENSMGAP00000009684	ENSMODP00000020435
ENSMGAP00000007310	ENSMODP00000007438
ENSMGAP00000002202	ENSMODP00000009625
ENSMGAP00000005584	ENSMODP00000024023
ENSMGAP00000000397	ENSMODP00000036128
ENSMGAP00000008982	ENSMODP00000000063
ENSMGAP00000016070	ENSMODP00000018345
ENSMGAP00000014101	ENSMODP00000022188
ENSMGAP00000015471	ENSMODP00000026366
ENSMGAP00000009373	ENSMODP00000020583
ENSMGAP00000000752	ENSMODP00000018044
ENSMGAP00000007160	ENSMODP00000024746
ENSMGAP00000002850	ENSMODP00000020546
ENSMGAP00000010298	ENSMODP00000026846
ENSMGAP00000016722	ENSMODP00000027077
ENSMGAP00000011766	ENSMODP00000025879
ENSMGAP00000012745	ENSMODP00000020692
ENSMGAP00000005987	ENSMODP00000021402
ENSMGAP00000013085	ENSMODP00000000146
ENSMGAP00000018933	ENSMODP00000020231
ENSMGAP00000003735	ENSMODP00000000827
ENSMGAP00000004658	ENSMODP00000021812
ENSMGAP00000014332	ENSMODP00000022340
ENSMGAP00000012379	ENSMODP00000022368
ENSMGAP00000006419	ENSMODP00000003284
ENSMGAP00000000694	ENSMODP00000018339
ENSMGAP00000009832	ENSMODP00000012113
ENSMGAP00000008278	ENSMODP00000038765
ENSMGAP00000005867	ENSMODP00000003389
ENSMGAP00000014202	ENSMODP00000022363
ENSMGAP00000012927	ENSMODP00000016335
ENSMGAP00000000117	ENSMODP00000023454
ENSMGAP00000003000	ENSMODP00000018982
ENSMGAP00000003020	ENSMODP00000018970
ENSMGAP00000015666	ENSMODP00000001497
ENSMGAP00000012250	ENSMODP00000025884
ENSMGAP00000011267	ENSMODP00000032561
ENSMGAP00000007109	ENSMODP00000018406
ENSMGAP00000017796	ENSMODP00000026929
ENSMGAP00000005051	ENSMODP00000021149
ENSMGAP00000005950	ENSMODP00000015693
ENSMGAP00000013774	ENSMODP00000005236
ENSMGAP00000001539	ENSMODP00000013345
ENSMGAP00000019494	ENSMODP00000009783
ENSMGAP00000012098	ENSMODP00000040027
ENSMGAP00000011285	ENSMODP00000012054
ENSMGAP00000010052	ENSMODP00000004817
ENSMGAP00000000157	ENSMODP00000021598
ENSMGAP00000009380	ENSMODP00000034569
ENSMGAP00000001269	ENSMODP00000011772
ENSMGAP00000005137	ENSMODP00000007596
ENSMGAP00000012046	ENSMODP00000019331
ENSMGAP00000011322	ENSMODP00000018250
ENSMGAP00000000178	ENSMODP00000015600
ENSMGAP00000016058	ENSMODP00000018154
ENSMGAP00000019441	ENSMODP00000010583
ENSMGAP00000016573	ENSMODP00000032823
ENSMGAP00000015301	ENSMODP00000021128
ENSMGAP00000006407	ENSMODP00000008520
ENSMGAP00000011715	ENSMODP00000019002
ENSMGAP00000003559	ENSMODP00000036354
ENSMGAP00000008590	ENSMODP00000018575
ENSMGAP00000005076	ENSMODP00000004074
ENSMGAP00000005438	ENSMODP00000020977
ENSMGAP00000003509	ENSMODP00000008851
ENSMGAP00000016638	ENSMODP00000029365
ENSMGAP00000005073	ENSMODP00000008574
ENSMGAP00000009491	ENSMODP00000008228
ENSMGAP00000011663	ENSMODP00000038078
ENSMGAP00000005522	ENSMODP00000015436
ENSMGAP00000006380	ENSMODP00000002384
ENSMGAP00000005602	ENSMODP00000015529
ENSMGAP00000013561	ENSMODP00000006753
ENSMGAP00000018199	ENSMODP00000015583
ENSMGAP00000001068	ENSMODP00000038120
ENSMGAP00000005855	ENSMODP00000025779
ENSMGAP00000008810	ENSMODP00000028344
ENSMGAP00000004506	ENSMODP00000017909
ENSMGAP00000016474	ENSMODP00000036738
ENSMGAP00000012791	ENSMODP00000006772
ENSMGAP00000006143	ENSMODP00000014961
ENSMGAP00000004240	ENSMODP00000004471
ENSMGAP00000012560	ENSMODP00000012425
ENSMGAP00000011742	ENSMODP00000019037
ENSMGAP00000012077	ENSMODP00000008825
ENSMGAP00000004579	ENSMODP00000020350
ENSMGAP00000004924	ENSMODP00000021708
ENSMGAP00000014879	ENSMODP00000019484
ENSMGAP00000005680	ENSMODP00000010115
ENSMGAP00000000523	ENSMODP00000023540
ENSMGAP00000001836	ENSMODP00000015303
ENSMGAP00000009629	ENSMODP00000020473
ENSMGAP00000007181	ENSMODP00000004650
ENSMGAP00000015569	ENSMODP00000021499
ENSMGAP00000006318	ENSMODP00000000103
ENSMGAP00000013613	ENSMODP00000002413
ENSMGAP00000001686	ENSMODP00000014994
ENSMGAP00000001361	ENSMODP00000016185
ENSMGAP00000003008	ENSMODP00000015143
ENSMGAP00000019584	ENSMODP00000003886
ENSMGAP00000003359	ENSMODP00000007992
ENSMGAP00000003370	ENSMODP00000007497
ENSMGAP00000011835	ENSMODP00000010363
ENSMGAP00000009411	ENSMODP00000026910
ENSMGAP00000013148	ENSMODP00000005086
ENSMGAP00000008199	ENSMODP00000030234
ENSMGAP00000011002	ENSMODP00000025488
ENSMGAP00000006251	ENSMODP00000016075
ENSMGAP00000002497	ENSMODP00000016151
ENSMGAP00000011791	ENSMODP00000018851
ENSMGAP00000007325	ENSMODP00000002948
ENSMGAP00000004641	ENSMODP00000009475
ENSMGAP00000005231	ENSMODP00000010860
ENSMGAP00000002061	ENSMODP00000016958
ENSMGAP00000005940	ENSMODP00000007575
ENSMGAP00000012263	ENSMODP00000008410
ENSMGAP00000019311	ENSMODP00000017739
ENSMGAP00000015323	ENSMODP00000026210
ENSMGAP00000014724	ENSMODP00000023441
ENSMGAP00000003665	ENSMODP00000012384
ENSMGAP00000009116	ENSMODP00000002952
ENSMGAP00000008912	ENSMODP00000034484
ENSMGAP00000003054	ENSMODP00000008961
ENSMGAP00000009892	ENSMODP00000012903
ENSMGAP00000012675	ENSMODP00000008669
ENSMGAP00000004311	ENSMODP00000017608
ENSMGAP00000005713	ENSMODP00000005790
ENSMGAP00000005898	ENSMODP00000035115
ENSMGAP00000005980	ENSMODP00000002985
ENSMGAP00000014541	ENSMODP00000039163
ENSMGAP00000014265	ENSMODP00000011942
ENSMGAP00000001241	ENSMODP00000010591
ENSMGAP00000008401	ENSMODP00000009706
ENSMGAP00000014224	ENSMODP00000022401
ENSMGAP00000001759	ENSMODP00000013493
ENSMGAP00000001391	ENSMODP00000017793
ENSMGAP00000000179	ENSMODP00000028270
ENSMGAP00000008692	ENSMODP00000024658
ENSMGAP00000007509	ENSMODP00000024154
ENSMGAP00000001281	ENSMODP00000029663
ENSMGAP00000002641	ENSMODP00000005622
ENSMGAP00000000863	ENSMODP00000020151
ENSMGAP00000011875	ENSMODP00000025849
ENSMGAP00000004020	ENSMODP00000010366
ENSMGAP00000001291	ENSMODP00000002290
ENSMGAP00000003478	ENSMODP00000024248
ENSMGAP00000002830	ENSMODP00000017245
ENSMGAP00000002809	ENSMODP00000017253
ENSMGAP00000012727	ENSMODP00000008602
ENSMGAP00000013639	ENSMODP00000021550
ENSMGAP00000007021	ENSMODP00000008697
ENSMGAP00000002120	ENSMODP00000003483
ENSMGAP00000011817	ENSMODP00000001683
ENSMGAP00000012503	ENSMODP00000032274
ENSMGAP00000010519	ENSMODP00000000617
ENSMGAP00000011505	ENSMODP00000023670
ENSMGAP00000014083	ENSMODP00000016460
ENSMGAP00000008101	ENSMODP00000007410
ENSMGAP00000013571	ENSMODP00000006695
ENSMGAP00000006817	ENSMODP00000016854
ENSMGAP00000006241	ENSMODP00000021485
ENSMGAP00000002289	ENSMODP00000017318
ENSMGAP00000003880	ENSMODP00000032069
ENSMGAP00000013145	ENSMODP00000001129
ENSMGAP00000017542	ENSMODP00000004986
ENSMGAP00000002398	ENSMODP00000020122
ENSMGAP00000009519	ENSMODP00000000612
ENSMGAP00000001366	ENSMODP00000013224
ENSMGAP00000016992	ENSMODP00000035169
ENSMGAP00000015438	ENSMODP00000026289
ENSMGAP00000009505	ENSMODP00000020523
ENSMGAP00000017676	ENSMODP00000026753
ENSMGAP00000017494	ENSMODP00000023931
ENSMGAP00000001524	ENSMODP00000024616
ENSMGAP00000007884	ENSMODP00000038186
ENSMGAP00000015728	ENSMODP00000003848
ENSMGAP00000009248	ENSMODP00000020646
ENSMGAP00000009783	ENSMODP00000012747
ENSMGAP00000015822	ENSMODP00000001919
ENSMGAP00000016071	ENSMODP00000018382
ENSMGAP00000002733	ENSMODP00000036183
ENSMGAP00000005462	ENSMODP00000000108
ENSMGAP00000005017	ENSMODP00000000890
ENSMGAP00000019365	ENSMODP00000021405
ENSMGAP00000014305	ENSMODP00000011302
ENSMGAP00000004476	ENSMODP00000035152
ENSMGAP00000004278	ENSMODP00000037817
ENSMGAP00000003638	ENSMODP00000033105
ENSMGAP00000011021	ENSMODP00000025497
ENSMGAP00000002968	ENSMODP00000007152
ENSMGAP00000014398	ENSMODP00000009661
ENSMGAP00000012526	ENSMODP00000010599
ENSMGAP00000000969	ENSMODP00000002170
ENSMGAP00000000842	ENSMODP00000002282
ENSMGAP00000018356	ENSMODP00000020010
ENSMGAP00000004909	ENSMODP00000006255
ENSMGAP00000008245	ENSMODP00000023516
ENSMGAP00000003258	ENSMODP00000002603
ENSMGAP00000011412	ENSMODP00000025609
ENSMGAP00000001872	ENSMODP00000011256
ENSMGAP00000014485	ENSMODP00000014235
ENSMGAP00000015108	ENSMODP00000022720
ENSMGAP00000006814	ENSMODP00000010533
ENSMGAP00000005558	ENSMODP00000000163
ENSMGAP00000010659	ENSMODP00000022094
ENSMGAP00000012166	ENSMODP00000023801
ENSMGAP00000006118	ENSMODP00000004840
ENSMGAP00000005303	ENSMODP00000000614
ENSMGAP00000000725	ENSMODP00000018318
ENSMGAP00000010084	ENSMODP00000020908
ENSMGAP00000011681	ENSMODP00000025913
ENSMGAP00000010365	ENSMODP00000011073
ENSMGAP00000014200	ENSMODP00000022354
ENSMGAP00000016021	ENSMODP00000033372
ENSMGAP00000007424	ENSMODP00000009941
ENSMGAP00000004511	ENSMODP00000020997
ENSMGAP00000000056	ENSMODP00000014626
ENSMGAP00000008457	ENSMODP00000025992
ENSMGAP00000011337	ENSMODP00000039175
ENSMGAP00000003364	ENSMODP00000021342
ENSMGAP00000014313	ENSMODP00000002618
ENSMGAP00000008282	ENSMODP00000025117
ENSMGAP00000015326	ENSMODP00000026254
ENSMGAP00000005252	ENSMODP00000010903
ENSMGAP00000000513	ENSMODP00000023480
ENSMGAP00000000021	ENSMODP00000023406
ENSMGAP00000014925	ENSMODP00000022579
ENSMGAP00000011078	ENSMODP00000034907
ENSMGAP00000002249	ENSMODP00000006597
ENSMGAP00000010473	ENSMODP00000023897
ENSMGAP00000013072	ENSMODP00000036220
ENSMGAP00000000581	ENSMODP00000014306
ENSMGAP00000015303	ENSMODP00000021123
ENSMGAP00000014123	ENSMODP00000022201
ENSMGAP00000001581	ENSMODP00000000210
ENSMGAP00000006383	ENSMODP00000009359
ENSMGAP00000012048	ENSMODP00000014606
ENSMGAP00000007103	ENSMODP00000012584
ENSMGAP00000014664	ENSMODP00000004365
ENSMGAP00000001193	ENSMODP00000002307
ENSMGAP00000007506	ENSMODP00000005563
ENSMGAP00000002205	ENSMODP00000015481
ENSMGAP00000011098	ENSMODP00000000625
ENSMGAP00000011565	ENSMODP00000024802
ENSMGAP00000002688	ENSMODP00000013288
ENSMGAP00000010966	ENSMODP00000023574
ENSMGAP00000007360	ENSMODP00000021989
ENSMGAP00000009330	ENSMODP00000020614
ENSMGAP00000008896	ENSMODP00000003283
ENSMGAP00000007886	ENSMODP00000008756
ENSMGAP00000015759	ENSMODP00000036998
ENSMGAP00000014092	ENSMODP00000022170
ENSMGAP00000013248	ENSMODP00000000960
ENSMGAP00000001086	ENSMODP00000011932
ENSMGAP00000015473	ENSMODP00000026371
ENSMGAP00000015475	ENSMODP00000026372
ENSMGAP00000003176	ENSMODP00000014958
ENSMGAP00000004941	ENSMODP00000014429
ENSMGAP00000006899	ENSMODP00000006724
ENSMGAP00000014446	ENSMODP00000032468
ENSMGAP00000001213	ENSMODP00000012295
ENSMGAP00000008249	ENSMODP00000009601
ENSMGAP00000011446	ENSMODP00000007104
ENSMGAP00000002917	ENSMODP00000011008
ENSMGAP00000013548	ENSMODP00000003776
ENSMGAP00000003136	ENSMODP00000007039
ENSMGAP00000017273	ENSMODP00000011253
ENSMGAP00000011932	ENSMODP00000036988
ENSMGAP00000003707	ENSMODP00000031628
ENSMGAP00000007975	ENSMODP00000024178
ENSMGAP00000010961	ENSMODP00000008836
ENSMGAP00000004742	ENSMODP00000033409
ENSMGAP00000002753	ENSMODP00000010392
ENSMGAP00000009998	ENSMODP00000034452
ENSMGAP00000013047	ENSMODP00000011720
ENSMGAP00000003266	ENSMODP00000014407
ENSMGAP00000002993	ENSMODP00000007184
ENSMGAP00000014226	ENSMODP00000018393
ENSMGAP00000016851	ENSMODP00000028493
ENSMGAP00000008171	ENSMODP00000019773
ENSMGAP00000007597	ENSMODP00000017872
ENSMGAP00000010360	ENSMODP00000019229
ENSMGAP00000009423	ENSMODP00000019861
ENSMGAP00000016114	ENSMODP00000000144
ENSMGAP00000014238	ENSMODP00000022431
ENSMGAP00000012519	ENSMODP00000009381
ENSMGAP00000015667	ENSMODP00000001594
ENSMGAP00000005255	ENSMODP00000005485
ENSMGAP00000008817	ENSMODP00000024698
ENSMGAP00000005667	ENSMODP00000004116
ENSMGAP00000005943	ENSMODP00000024146
ENSMGAP00000008600	ENSMODP00000015037
ENSMGAP00000018999	ENSMODP00000006956
ENSMGAP00000019279	ENSMODP00000021410
ENSMGAP00000006559	ENSMODP00000004954
ENSMGAP00000012326	ENSMODP00000010130
ENSMGAP00000010174	ENSMODP00000011220
ENSMGAP00000019637	ENSMODP00000008192
ENSMGAP00000008434	ENSMODP00000009798
ENSMGAP00000006104	ENSMODP00000001321
ENSMGAP00000007219	ENSMODP00000019033
ENSMGAP00000004340	ENSMODP00000037870
ENSMGAP00000012698	ENSMODP00000020735
ENSMGAP00000015245	ENSMODP00000040843
ENSMGAP00000015244	ENSMODP00000040262
ENSMGAP00000006411	ENSMODP00000003584
ENSMGAP00000009984	ENSMODP00000002817
ENSMGAP00000017970	ENSMODP00000040824
ENSMGAP00000000377	ENSMODP00000021648
ENSMGAP00000017254	ENSMODP00000038370
ENSMGAP00000002050	ENSMODP00000026476
ENSMGAP00000012738	ENSMODP00000020681
ENSMGAP00000014380	ENSMODP00000022618
ENSMGAP00000002745	ENSMODP00000041225
ENSMGAP00000010783	ENSMODP00000011148
ENSMGAP00000010622	ENSMODP00000007912
ENSMGAP00000003448	ENSMODP00000000578
ENSMGAP00000011626	ENSMODP00000012096
