ENSMGAP00000004951	ENSORLP00000017023
ENSMGAP00000002044	ENSORLP00000009169
ENSMGAP00000005591	ENSORLP00000012181
ENSMGAP00000002776	ENSORLP00000015779
ENSMGAP00000012297	ENSORLP00000000787
ENSMGAP00000013005	ENSORLP00000019275
ENSMGAP00000007129	ENSORLP00000004778
ENSMGAP00000007129	ENSORLP00000021717
ENSMGAP00000018271	ENSORLP00000005059
ENSMGAP00000013059	ENSORLP00000006163
ENSMGAP00000000896	ENSORLP00000001855
ENSMGAP00000008514	ENSORLP00000011718
ENSMGAP00000000489	ENSORLP00000018886
ENSMGAP00000004112	ENSORLP00000024901
ENSMGAP00000013456	ENSORLP00000002427
ENSMGAP00000013456	ENSORLP00000014301
ENSMGAP00000008472	ENSORLP00000003875
ENSMGAP00000012577	ENSORLP00000018848
ENSMGAP00000012577	ENSORLP00000013523
ENSMGAP00000009756	ENSORLP00000004905
ENSMGAP00000004981	ENSORLP00000013264
ENSMGAP00000004702	ENSORLP00000019921
ENSMGAP00000004702	ENSORLP00000011555
ENSMGAP00000009050	ENSORLP00000012290
ENSMGAP00000004914	ENSORLP00000011732
ENSMGAP00000013618	ENSORLP00000011087
ENSMGAP00000005684	ENSORLP00000016546
ENSMGAP00000013729	ENSORLP00000005467
ENSMGAP00000009571	ENSORLP00000010499
ENSMGAP00000005595	ENSORLP00000011983
ENSMGAP00000016026	ENSORLP00000008683
ENSMGAP00000005483	ENSORLP00000012140
ENSMGAP00000017941	ENSORLP00000001409
ENSMGAP00000011270	ENSORLP00000024393
ENSMGAP00000004122	ENSORLP00000025052
ENSMGAP00000004122	ENSORLP00000010531
ENSMGAP00000002666	ENSORLP00000010678
ENSMGAP00000006250	ENSORLP00000002440
ENSMGAP00000007023	ENSORLP00000003410
ENSMGAP00000000090	ENSORLP00000006803
ENSMGAP00000010333	ENSORLP00000015489
ENSMGAP00000010333	ENSORLP00000010541
ENSMGAP00000010501	ENSORLP00000000353
ENSMGAP00000010501	ENSORLP00000008942
ENSMGAP00000011872	ENSORLP00000019455
ENSMGAP00000016999	ENSORLP00000021588
ENSMGAP00000016999	ENSORLP00000000830
ENSMGAP00000009990	ENSORLP00000013800
ENSMGAP00000010990	ENSORLP00000022255
ENSMGAP00000007315	ENSORLP00000000250
ENSMGAP00000003641	ENSORLP00000012409
ENSMGAP00000010551	ENSORLP00000011562
ENSMGAP00000010551	ENSORLP00000021607
ENSMGAP00000006130	ENSORLP00000024175
ENSMGAP00000013038	ENSORLP00000001822
ENSMGAP00000007829	ENSORLP00000017814
ENSMGAP00000000006	ENSORLP00000006651
ENSMGAP00000001343	ENSORLP00000007097
ENSMGAP00000006175	ENSORLP00000006786
ENSMGAP00000006175	ENSORLP00000016141
ENSMGAP00000000112	ENSORLP00000019726
ENSMGAP00000014302	ENSORLP00000016149
ENSMGAP00000009761	ENSORLP00000018011
ENSMGAP00000008234	ENSORLP00000011701
ENSMGAP00000012081	ENSORLP00000009913
ENSMGAP00000009621	ENSORLP00000010034
ENSMGAP00000019167	ENSORLP00000005660
ENSMGAP00000011499	ENSORLP00000016670
ENSMGAP00000009494	ENSORLP00000014211
ENSMGAP00000015662	ENSORLP00000000036
ENSMGAP00000015662	ENSORLP00000015505
ENSMGAP00000006196	ENSORLP00000018914
ENSMGAP00000000855	ENSORLP00000004339
ENSMGAP00000000538	ENSORLP00000017247
ENSMGAP00000012414	ENSORLP00000012521
ENSMGAP00000000608	ENSORLP00000006128
ENSMGAP00000002496	ENSORLP00000009655
ENSMGAP00000007818	ENSORLP00000012568
ENSMGAP00000018062	ENSORLP00000023883
ENSMGAP00000012084	ENSORLP00000006240
ENSMGAP00000012000	ENSORLP00000006117
ENSMGAP00000014299	ENSORLP00000016213
ENSMGAP00000007992	ENSORLP00000007072
ENSMGAP00000011099	ENSORLP00000023247
ENSMGAP00000019712	ENSORLP00000002883
ENSMGAP00000005944	ENSORLP00000007696
ENSMGAP00000012045	ENSORLP00000005952
ENSMGAP00000012045	ENSORLP00000016477
ENSMGAP00000004015	ENSORLP00000012805
ENSMGAP00000013653	ENSORLP00000023946
ENSMGAP00000012545	ENSORLP00000012415
ENSMGAP00000003511	ENSORLP00000002371
ENSMGAP00000012107	ENSORLP00000023440
ENSMGAP00000003912	ENSORLP00000011411
ENSMGAP00000014854	ENSORLP00000015797
ENSMGAP00000019734	ENSORLP00000014384
ENSMGAP00000004137	ENSORLP00000011442
ENSMGAP00000013476	ENSORLP00000021673
ENSMGAP00000000885	ENSORLP00000002530
ENSMGAP00000015855	ENSORLP00000014055
ENSMGAP00000015855	ENSORLP00000006836
ENSMGAP00000005996	ENSORLP00000014712
ENSMGAP00000003941	ENSORLP00000019305
ENSMGAP00000015922	ENSORLP00000007110
ENSMGAP00000011388	ENSORLP00000020641
ENSMGAP00000013448	ENSORLP00000011359
ENSMGAP00000015961	ENSORLP00000004465
ENSMGAP00000008266	ENSORLP00000025383
ENSMGAP00000002214	ENSORLP00000001788
ENSMGAP00000015060	ENSORLP00000010395
ENSMGAP00000012149	ENSORLP00000019346
ENSMGAP00000005915	ENSORLP00000009089
ENSMGAP00000014461	ENSORLP00000016982
ENSMGAP00000014461	ENSORLP00000014294
ENSMGAP00000009531	ENSORLP00000000067
ENSMGAP00000016072	ENSORLP00000013082
ENSMGAP00000002541	ENSORLP00000019971
ENSMGAP00000014198	ENSORLP00000020166
ENSMGAP00000014198	ENSORLP00000019684
ENSMGAP00000006064	ENSORLP00000008240
ENSMGAP00000005271	ENSORLP00000008496
ENSMGAP00000005271	ENSORLP00000011429
ENSMGAP00000004791	ENSORLP00000021365
ENSMGAP00000007268	ENSORLP00000003738
ENSMGAP00000013297	ENSORLP00000011789
ENSMGAP00000013297	ENSORLP00000020393
ENSMGAP00000015896	ENSORLP00000019400
ENSMGAP00000014852	ENSORLP00000015729
ENSMGAP00000012743	ENSORLP00000003623
ENSMGAP00000012743	ENSORLP00000016528
ENSMGAP00000000076	ENSORLP00000023232
ENSMGAP00000017264	ENSORLP00000012669
ENSMGAP00000017264	ENSORLP00000004309
ENSMGAP00000010049	ENSORLP00000009573
ENSMGAP00000017943	ENSORLP00000009837
ENSMGAP00000007370	ENSORLP00000017794
ENSMGAP00000018707	ENSORLP00000025736
ENSMGAP00000011814	ENSORLP00000011952
ENSMGAP00000011814	ENSORLP00000012676
ENSMGAP00000001627	ENSORLP00000021628
ENSMGAP00000016073	ENSORLP00000013144
ENSMGAP00000001880	ENSORLP00000020648
ENSMGAP00000006290	ENSORLP00000008851
ENSMGAP00000004559	ENSORLP00000015092
ENSMGAP00000005979	ENSORLP00000007694
ENSMGAP00000012835	ENSORLP00000006724
ENSMGAP00000005418	ENSORLP00000021750
ENSMGAP00000015131	ENSORLP00000004680
ENSMGAP00000015131	ENSORLP00000022379
ENSMGAP00000008601	ENSORLP00000025318
ENSMGAP00000001389	ENSORLP00000010152
ENSMGAP00000005189	ENSORLP00000010205
ENSMGAP00000000847	ENSORLP00000006339
ENSMGAP00000000847	ENSORLP00000004664
ENSMGAP00000010993	ENSORLP00000017403
ENSMGAP00000000338	ENSORLP00000019778
ENSMGAP00000002135	ENSORLP00000024445
ENSMGAP00000005010	ENSORLP00000020660
ENSMGAP00000006893	ENSORLP00000016218
ENSMGAP00000019132	ENSORLP00000023579
ENSMGAP00000006592	ENSORLP00000006666
ENSMGAP00000011300	ENSORLP00000021179
ENSMGAP00000010754	ENSORLP00000012142
ENSMGAP00000004315	ENSORLP00000016285
ENSMGAP00000002264	ENSORLP00000012691
ENSMGAP00000009623	ENSORLP00000006959
ENSMGAP00000017642	ENSORLP00000002206
ENSMGAP00000012636	ENSORLP00000020952
ENSMGAP00000012636	ENSORLP00000002979
ENSMGAP00000002791	ENSORLP00000000476
ENSMGAP00000013518	ENSORLP00000013389
ENSMGAP00000008222	ENSORLP00000005639
ENSMGAP00000005335	ENSORLP00000012909
ENSMGAP00000004049	ENSORLP00000009665
ENSMGAP00000004049	ENSORLP00000003879
ENSMGAP00000010198	ENSORLP00000021846
ENSMGAP00000010775	ENSORLP00000004928
ENSMGAP00000013373	ENSORLP00000017290
ENSMGAP00000006254	ENSORLP00000002425
ENSMGAP00000004838	ENSORLP00000017275
ENSMGAP00000012170	ENSORLP00000011991
ENSMGAP00000015059	ENSORLP00000010462
ENSMGAP00000004268	ENSORLP00000019470
ENSMGAP00000003361	ENSORLP00000009199
ENSMGAP00000000645	ENSORLP00000013724
ENSMGAP00000000645	ENSORLP00000000399
ENSMGAP00000009390	ENSORLP00000005646
ENSMGAP00000006287	ENSORLP00000008906
ENSMGAP00000015837	ENSORLP00000014213
ENSMGAP00000012823	ENSORLP00000009827
ENSMGAP00000010183	ENSORLP00000003132
ENSMGAP00000008193	ENSORLP00000012551
ENSMGAP00000006083	ENSORLP00000009716
ENSMGAP00000019665	ENSORLP00000004644
ENSMGAP00000003248	ENSORLP00000016943
ENSMGAP00000003248	ENSORLP00000014724
ENSMGAP00000007828	ENSORLP00000013914
ENSMGAP00000019388	ENSORLP00000010268
ENSMGAP00000008130	ENSORLP00000024482
ENSMGAP00000014884	ENSORLP00000010926
ENSMGAP00000011236	ENSORLP00000021842
ENSMGAP00000007880	ENSORLP00000001749
ENSMGAP00000012311	ENSORLP00000009282
ENSMGAP00000012311	ENSORLP00000022421
ENSMGAP00000002780	ENSORLP00000023212
ENSMGAP00000002780	ENSORLP00000010299
ENSMGAP00000004445	ENSORLP00000010322
ENSMGAP00000004445	ENSORLP00000015781
ENSMGAP00000009183	ENSORLP00000024665
ENSMGAP00000015368	ENSORLP00000005492
ENSMGAP00000009602	ENSORLP00000015403
ENSMGAP00000009602	ENSORLP00000025709
ENSMGAP00000008299	ENSORLP00000010818
ENSMGAP00000011956	ENSORLP00000022674
ENSMGAP00000015738	ENSORLP00000005909
ENSMGAP00000011579	ENSORLP00000010828
ENSMGAP00000018762	ENSORLP00000005530
ENSMGAP00000004876	ENSORLP00000017537
ENSMGAP00000018248	ENSORLP00000006541
ENSMGAP00000001528	ENSORLP00000001539
ENSMGAP00000011191	ENSORLP00000018965
ENSMGAP00000015661	ENSORLP00000019717
ENSMGAP00000011439	ENSORLP00000021443
ENSMGAP00000008500	ENSORLP00000024312
ENSMGAP00000014448	ENSORLP00000014323
ENSMGAP00000018732	ENSORLP00000019437
ENSMGAP00000002091	ENSORLP00000006275
ENSMGAP00000007890	ENSORLP00000014447
ENSMGAP00000012179	ENSORLP00000019458
ENSMGAP00000015984	ENSORLP00000004547
ENSMGAP00000017426	ENSORLP00000021111
ENSMGAP00000009803	ENSORLP00000001051
ENSMGAP00000000082	ENSORLP00000003584
ENSMGAP00000008390	ENSORLP00000011558
ENSMGAP00000000993	ENSORLP00000023175
ENSMGAP00000000993	ENSORLP00000022535
ENSMGAP00000008586	ENSORLP00000014674
ENSMGAP00000002872	ENSORLP00000017442
ENSMGAP00000002872	ENSORLP00000009491
ENSMGAP00000015130	ENSORLP00000022393
ENSMGAP00000004188	ENSORLP00000024309
ENSMGAP00000001746	ENSORLP00000006310
ENSMGAP00000013768	ENSORLP00000023115
ENSMGAP00000002413	ENSORLP00000009012
ENSMGAP00000010158	ENSORLP00000012796
ENSMGAP00000000715	ENSORLP00000011863
ENSMGAP00000001639	ENSORLP00000016807
ENSMGAP00000011226	ENSORLP00000025875
ENSMGAP00000000208	ENSORLP00000003055
ENSMGAP00000004964	ENSORLP00000016964
ENSMGAP00000013563	ENSORLP00000014006
ENSMGAP00000002031	ENSORLP00000023022
ENSMGAP00000013434	ENSORLP00000004897
ENSMGAP00000015871	ENSORLP00000004015
ENSMGAP00000018540	ENSORLP00000022605
ENSMGAP00000010288	ENSORLP00000023830
ENSMGAP00000010288	ENSORLP00000014444
ENSMGAP00000005380	ENSORLP00000010851
ENSMGAP00000008498	ENSORLP00000024201
ENSMGAP00000010748	ENSORLP00000016136
ENSMGAP00000008419	ENSORLP00000004277
ENSMGAP00000008839	ENSORLP00000009803
ENSMGAP00000008574	ENSORLP00000001145
ENSMGAP00000004347	ENSORLP00000024932
ENSMGAP00000011378	ENSORLP00000006040
ENSMGAP00000018273	ENSORLP00000002840
ENSMGAP00000005317	ENSORLP00000015337
ENSMGAP00000000977	ENSORLP00000019341
ENSMGAP00000007153	ENSORLP00000025844
ENSMGAP00000007659	ENSORLP00000006470
ENSMGAP00000010337	ENSORLP00000008520
ENSMGAP00000012694	ENSORLP00000009711
ENSMGAP00000012694	ENSORLP00000021707
ENSMGAP00000006426	ENSORLP00000003381
ENSMGAP00000010194	ENSORLP00000015985
ENSMGAP00000012019	ENSORLP00000010154
ENSMGAP00000003385	ENSORLP00000020072
ENSMGAP00000006590	ENSORLP00000001078
ENSMGAP00000000243	ENSORLP00000017594
ENSMGAP00000015428	ENSORLP00000015690
ENSMGAP00000004666	ENSORLP00000022474
ENSMGAP00000005665	ENSORLP00000001011
ENSMGAP00000007458	ENSORLP00000007657
ENSMGAP00000012422	ENSORLP00000021056
ENSMGAP00000012798	ENSORLP00000004073
ENSMGAP00000002131	ENSORLP00000006190
ENSMGAP00000002340	ENSORLP00000013577
ENSMGAP00000001826	ENSORLP00000000490
ENSMGAP00000007905	ENSORLP00000020377
ENSMGAP00000010018	ENSORLP00000009559
ENSMGAP00000010018	ENSORLP00000014373
ENSMGAP00000001811	ENSORLP00000020253
ENSMGAP00000001811	ENSORLP00000011530
ENSMGAP00000010560	ENSORLP00000000832
ENSMGAP00000007751	ENSORLP00000002656
ENSMGAP00000009580	ENSORLP00000001830
ENSMGAP00000009580	ENSORLP00000007551
ENSMGAP00000015819	ENSORLP00000005772
ENSMGAP00000008366	ENSORLP00000004431
ENSMGAP00000008366	ENSORLP00000021353
ENSMGAP00000019274	ENSORLP00000009382
ENSMGAP00000002721	ENSORLP00000009929
ENSMGAP00000002721	ENSORLP00000015705
ENSMGAP00000009353	ENSORLP00000016802
ENSMGAP00000009353	ENSORLP00000015205
ENSMGAP00000005932	ENSORLP00000008665
ENSMGAP00000005330	ENSORLP00000014774
ENSMGAP00000010498	ENSORLP00000010165
ENSMGAP00000012544	ENSORLP00000017891
ENSMGAP00000012544	ENSORLP00000003423
ENSMGAP00000001133	ENSORLP00000004327
ENSMGAP00000006398	ENSORLP00000025556
ENSMGAP00000006398	ENSORLP00000010063
ENSMGAP00000004019	ENSORLP00000009276
ENSMGAP00000012568	ENSORLP00000012587
ENSMGAP00000011830	ENSORLP00000019413
ENSMGAP00000002568	ENSORLP00000021211
ENSMGAP00000016147	ENSORLP00000005722
ENSMGAP00000009190	ENSORLP00000010507
ENSMGAP00000001545	ENSORLP00000013460
ENSMGAP00000015639	ENSORLP00000020018
ENSMGAP00000001783	ENSORLP00000013085
ENSMGAP00000006988	ENSORLP00000017070
ENSMGAP00000001204	ENSORLP00000025710
ENSMGAP00000008441	ENSORLP00000016509
ENSMGAP00000013800	ENSORLP00000019610
ENSMGAP00000001042	ENSORLP00000025178
ENSMGAP00000017580	ENSORLP00000001391
ENSMGAP00000005130	ENSORLP00000014633
ENSMGAP00000007505	ENSORLP00000013518
ENSMGAP00000007505	ENSORLP00000022419
ENSMGAP00000015396	ENSORLP00000022413
ENSMGAP00000010414	ENSORLP00000022119
ENSMGAP00000005651	ENSORLP00000018658
ENSMGAP00000005651	ENSORLP00000020923
ENSMGAP00000013231	ENSORLP00000024973
ENSMGAP00000006717	ENSORLP00000016577
ENSMGAP00000013671	ENSORLP00000014994
ENSMGAP00000001380	ENSORLP00000000708
ENSMGAP00000007546	ENSORLP00000003973
ENSMGAP00000014094	ENSORLP00000019360
ENSMGAP00000007814	ENSORLP00000004161
ENSMGAP00000013959	ENSORLP00000020470
ENSMGAP00000010896	ENSORLP00000005945
ENSMGAP00000004497	ENSORLP00000018803
ENSMGAP00000004497	ENSORLP00000020625
ENSMGAP00000018144	ENSORLP00000007111
ENSMGAP00000018144	ENSORLP00000004650
ENSMGAP00000009048	ENSORLP00000007171
ENSMGAP00000004661	ENSORLP00000021525
ENSMGAP00000007535	ENSORLP00000008289
ENSMGAP00000007535	ENSORLP00000004376
ENSMGAP00000002484	ENSORLP00000011583
ENSMGAP00000014587	ENSORLP00000024497
ENSMGAP00000003633	ENSORLP00000004423
ENSMGAP00000009237	ENSORLP00000013644
ENSMGAP00000018129	ENSORLP00000009749
ENSMGAP00000018129	ENSORLP00000006533
ENSMGAP00000017646	ENSORLP00000011462
ENSMGAP00000001147	ENSORLP00000003149
ENSMGAP00000001591	ENSORLP00000020077
ENSMGAP00000016098	ENSORLP00000003377
ENSMGAP00000016098	ENSORLP00000007010
ENSMGAP00000013726	ENSORLP00000011614
ENSMGAP00000015047	ENSORLP00000016268
ENSMGAP00000015472	ENSORLP00000017233
ENSMGAP00000007995	ENSORLP00000023794
ENSMGAP00000014206	ENSORLP00000017604
ENSMGAP00000014081	ENSORLP00000018206
ENSMGAP00000010048	ENSORLP00000007150
ENSMGAP00000014943	ENSORLP00000015974
ENSMGAP00000011536	ENSORLP00000015395
ENSMGAP00000011536	ENSORLP00000012519
ENSMGAP00000009104	ENSORLP00000025589
ENSMGAP00000003477	ENSORLP00000002417
ENSMGAP00000004839	ENSORLP00000022974
ENSMGAP00000014740	ENSORLP00000014644
ENSMGAP00000014740	ENSORLP00000007465
ENSMGAP00000001927	ENSORLP00000016359
ENSMGAP00000010253	ENSORLP00000005097
ENSMGAP00000009557	ENSORLP00000007534
ENSMGAP00000013738	ENSORLP00000020585
ENSMGAP00000001390	ENSORLP00000002011
ENSMGAP00000010441	ENSORLP00000004222
ENSMGAP00000003623	ENSORLP00000010324
ENSMGAP00000015734	ENSORLP00000015817
ENSMGAP00000012235	ENSORLP00000012109
ENSMGAP00000000158	ENSORLP00000009458
ENSMGAP00000000158	ENSORLP00000018157
ENSMGAP00000009079	ENSORLP00000005124
ENSMGAP00000006680	ENSORLP00000019951
ENSMGAP00000008050	ENSORLP00000012686
ENSMGAP00000002782	ENSORLP00000012536
ENSMGAP00000004763	ENSORLP00000017374
ENSMGAP00000000430	ENSORLP00000021638
ENSMGAP00000009732	ENSORLP00000004050
ENSMGAP00000009732	ENSORLP00000016373
ENSMGAP00000011702	ENSORLP00000015523
ENSMGAP00000004659	ENSORLP00000007442
ENSMGAP00000009143	ENSORLP00000024424
ENSMGAP00000009684	ENSORLP00000002322
ENSMGAP00000009684	ENSORLP00000017495
ENSMGAP00000007310	ENSORLP00000011986
ENSMGAP00000002202	ENSORLP00000023525
ENSMGAP00000005584	ENSORLP00000010153
ENSMGAP00000005584	ENSORLP00000003168
ENSMGAP00000000397	ENSORLP00000011688
ENSMGAP00000000397	ENSORLP00000017289
ENSMGAP00000004169	ENSORLP00000016096
ENSMGAP00000008982	ENSORLP00000022188
ENSMGAP00000016070	ENSORLP00000002220
ENSMGAP00000016070	ENSORLP00000018679
ENSMGAP00000007160	ENSORLP00000009640
ENSMGAP00000002850	ENSORLP00000020407
ENSMGAP00000010298	ENSORLP00000014468
ENSMGAP00000016722	ENSORLP00000007992
ENSMGAP00000011766	ENSORLP00000015255
ENSMGAP00000008776	ENSORLP00000023119
ENSMGAP00000012745	ENSORLP00000017791
ENSMGAP00000005987	ENSORLP00000017143
ENSMGAP00000004980	ENSORLP00000021145
ENSMGAP00000013085	ENSORLP00000008785
ENSMGAP00000011084	ENSORLP00000007676
ENSMGAP00000003613	ENSORLP00000018856
ENSMGAP00000003735	ENSORLP00000009341
ENSMGAP00000004658	ENSORLP00000017731
ENSMGAP00000014332	ENSORLP00000012492
ENSMGAP00000006419	ENSORLP00000017295
ENSMGAP00000000694	ENSORLP00000023958
ENSMGAP00000008278	ENSORLP00000025218
ENSMGAP00000005867	ENSORLP00000008866
ENSMGAP00000012927	ENSORLP00000017626
ENSMGAP00000006121	ENSORLP00000014565
ENSMGAP00000013033	ENSORLP00000006759
ENSMGAP00000011267	ENSORLP00000009206
ENSMGAP00000007109	ENSORLP00000004496
ENSMGAP00000017796	ENSORLP00000019291
ENSMGAP00000005051	ENSORLP00000021637
ENSMGAP00000005950	ENSORLP00000020408
ENSMGAP00000000708	ENSORLP00000013692
ENSMGAP00000011285	ENSORLP00000021869
ENSMGAP00000010052	ENSORLP00000014469
ENSMGAP00000013124	ENSORLP00000018016
ENSMGAP00000009380	ENSORLP00000013168
ENSMGAP00000001269	ENSORLP00000001416
ENSMGAP00000005137	ENSORLP00000012939
ENSMGAP00000011322	ENSORLP00000020681
ENSMGAP00000011322	ENSORLP00000006151
ENSMGAP00000016058	ENSORLP00000005248
ENSMGAP00000019441	ENSORLP00000004876
ENSMGAP00000016573	ENSORLP00000004641
ENSMGAP00000018054	ENSORLP00000002629
ENSMGAP00000016872	ENSORLP00000002599
ENSMGAP00000016872	ENSORLP00000021273
ENSMGAP00000015301	ENSORLP00000019886
ENSMGAP00000006407	ENSORLP00000006871
ENSMGAP00000011715	ENSORLP00000004566
ENSMGAP00000008590	ENSORLP00000001173
ENSMGAP00000005076	ENSORLP00000021852
ENSMGAP00000019403	ENSORLP00000022179
ENSMGAP00000010796	ENSORLP00000001782
ENSMGAP00000005438	ENSORLP00000011520
ENSMGAP00000003509	ENSORLP00000024682
ENSMGAP00000016638	ENSORLP00000017812
ENSMGAP00000016638	ENSORLP00000010316
ENSMGAP00000005073	ENSORLP00000004921
ENSMGAP00000009884	ENSORLP00000004280
ENSMGAP00000013433	ENSORLP00000004675
ENSMGAP00000013433	ENSORLP00000013105
ENSMGAP00000009491	ENSORLP00000010294
ENSMGAP00000009491	ENSORLP00000018940
ENSMGAP00000011663	ENSORLP00000016986
ENSMGAP00000005522	ENSORLP00000022915
ENSMGAP00000006380	ENSORLP00000004540
ENSMGAP00000018199	ENSORLP00000020738
ENSMGAP00000001068	ENSORLP00000007856
ENSMGAP00000005855	ENSORLP00000008587
ENSMGAP00000008810	ENSORLP00000014721
ENSMGAP00000018743	ENSORLP00000010035
ENSMGAP00000004506	ENSORLP00000010564
ENSMGAP00000015521	ENSORLP00000003090
ENSMGAP00000015521	ENSORLP00000003353
ENSMGAP00000016474	ENSORLP00000005052
ENSMGAP00000012791	ENSORLP00000013436
ENSMGAP00000006143	ENSORLP00000001001
ENSMGAP00000004240	ENSORLP00000008017
ENSMGAP00000012560	ENSORLP00000012210
ENSMGAP00000011742	ENSORLP00000004564
ENSMGAP00000011742	ENSORLP00000007011
ENSMGAP00000012077	ENSORLP00000009965
ENSMGAP00000004579	ENSORLP00000023677
ENSMGAP00000004924	ENSORLP00000021957
ENSMGAP00000004924	ENSORLP00000017785
ENSMGAP00000014879	ENSORLP00000020451
ENSMGAP00000000523	ENSORLP00000001557
ENSMGAP00000016767	ENSORLP00000014945
ENSMGAP00000016767	ENSORLP00000018222
ENSMGAP00000016754	ENSORLP00000019005
ENSMGAP00000001836	ENSORLP00000011128
ENSMGAP00000009629	ENSORLP00000020231
ENSMGAP00000007181	ENSORLP00000002709
ENSMGAP00000006318	ENSORLP00000021749
ENSMGAP00000013613	ENSORLP00000003611
ENSMGAP00000001361	ENSORLP00000009440
ENSMGAP00000003008	ENSORLP00000009974
ENSMGAP00000003008	ENSORLP00000015490
ENSMGAP00000019584	ENSORLP00000006708
ENSMGAP00000003359	ENSORLP00000003468
ENSMGAP00000014546	ENSORLP00000011240
ENSMGAP00000014546	ENSORLP00000017953
ENSMGAP00000013342	ENSORLP00000000722
ENSMGAP00000003370	ENSORLP00000002932
ENSMGAP00000011835	ENSORLP00000021741
ENSMGAP00000009411	ENSORLP00000008471
ENSMGAP00000013148	ENSORLP00000006965
ENSMGAP00000008199	ENSORLP00000018323
ENSMGAP00000011002	ENSORLP00000023676
ENSMGAP00000006251	ENSORLP00000002237
ENSMGAP00000002497	ENSORLP00000021821
ENSMGAP00000007325	ENSORLP00000006484
ENSMGAP00000019363	ENSORLP00000000270
ENSMGAP00000005231	ENSORLP00000009223
ENSMGAP00000005940	ENSORLP00000025023
ENSMGAP00000019311	ENSORLP00000018314
ENSMGAP00000005544	ENSORLP00000009412
ENSMGAP00000014724	ENSORLP00000012323
ENSMGAP00000003665	ENSORLP00000004122
ENSMGAP00000009116	ENSORLP00000010024
ENSMGAP00000008912	ENSORLP00000000646
ENSMGAP00000018283	ENSORLP00000008618
ENSMGAP00000003054	ENSORLP00000000863
ENSMGAP00000009892	ENSORLP00000007823
ENSMGAP00000014491	ENSORLP00000012037
ENSMGAP00000005713	ENSORLP00000000914
ENSMGAP00000005898	ENSORLP00000021445
ENSMGAP00000005898	ENSORLP00000024579
ENSMGAP00000008473	ENSORLP00000009450
ENSMGAP00000014541	ENSORLP00000011271
ENSMGAP00000003157	ENSORLP00000002770
ENSMGAP00000014265	ENSORLP00000016816
ENSMGAP00000014265	ENSORLP00000013327
ENSMGAP00000001241	ENSORLP00000010621
ENSMGAP00000001241	ENSORLP00000013044
ENSMGAP00000003329	ENSORLP00000005007
ENSMGAP00000002634	ENSORLP00000003864
ENSMGAP00000001391	ENSORLP00000011297
ENSMGAP00000000179	ENSORLP00000016171
ENSMGAP00000000179	ENSORLP00000011188
ENSMGAP00000007509	ENSORLP00000011637
ENSMGAP00000001281	ENSORLP00000024394
ENSMGAP00000011875	ENSORLP00000007675
ENSMGAP00000004020	ENSORLP00000023374
ENSMGAP00000009458	ENSORLP00000006475
ENSMGAP00000002830	ENSORLP00000019715
ENSMGAP00000002406	ENSORLP00000002591
ENSMGAP00000012727	ENSORLP00000015894
ENSMGAP00000012727	ENSORLP00000010068
ENSMGAP00000013639	ENSORLP00000023385
ENSMGAP00000007021	ENSORLP00000008372
ENSMGAP00000007021	ENSORLP00000001612
ENSMGAP00000002120	ENSORLP00000000163
ENSMGAP00000002120	ENSORLP00000017340
ENSMGAP00000011817	ENSORLP00000009093
ENSMGAP00000012503	ENSORLP00000010772
ENSMGAP00000011505	ENSORLP00000003995
ENSMGAP00000014083	ENSORLP00000018217
ENSMGAP00000014083	ENSORLP00000014411
ENSMGAP00000013571	ENSORLP00000020438
ENSMGAP00000006817	ENSORLP00000021101
ENSMGAP00000006241	ENSORLP00000023103
ENSMGAP00000002289	ENSORLP00000022027
ENSMGAP00000003880	ENSORLP00000023114
ENSMGAP00000013145	ENSORLP00000024731
ENSMGAP00000017542	ENSORLP00000018590
ENSMGAP00000009519	ENSORLP00000007885
ENSMGAP00000016992	ENSORLP00000006523
ENSMGAP00000015860	ENSORLP00000005657
ENSMGAP00000010175	ENSORLP00000020732
ENSMGAP00000001507	ENSORLP00000009649
ENSMGAP00000009505	ENSORLP00000006980
ENSMGAP00000017676	ENSORLP00000004137
ENSMGAP00000001524	ENSORLP00000003038
ENSMGAP00000001524	ENSORLP00000011372
ENSMGAP00000007884	ENSORLP00000001267
ENSMGAP00000015728	ENSORLP00000013686
ENSMGAP00000009248	ENSORLP00000008550
ENSMGAP00000015822	ENSORLP00000005565
ENSMGAP00000013962	ENSORLP00000007970
ENSMGAP00000016071	ENSORLP00000018666
ENSMGAP00000002733	ENSORLP00000009183
ENSMGAP00000005462	ENSORLP00000002064
ENSMGAP00000005462	ENSORLP00000014257
ENSMGAP00000014305	ENSORLP00000022598
ENSMGAP00000004476	ENSORLP00000011346
ENSMGAP00000004278	ENSORLP00000003460
ENSMGAP00000014642	ENSORLP00000025096
ENSMGAP00000003638	ENSORLP00000007418
ENSMGAP00000009690	ENSORLP00000001856
ENSMGAP00000004608	ENSORLP00000008104
ENSMGAP00000014714	ENSORLP00000012399
ENSMGAP00000013521	ENSORLP00000013386
ENSMGAP00000014398	ENSORLP00000020314
ENSMGAP00000000969	ENSORLP00000008994
ENSMGAP00000000842	ENSORLP00000004132
ENSMGAP00000004909	ENSORLP00000013202
ENSMGAP00000008245	ENSORLP00000009552
ENSMGAP00000011412	ENSORLP00000015398
ENSMGAP00000001872	ENSORLP00000000965
