ENSDARP00000074624	ENSP00000262384
ENSDARP00000109375	ENSP00000288985
ENSDARP00000104233	ENSP00000359264
ENSDARP00000005251	ENSP00000359130
ENSDARP00000060344	ENSP00000368648
ENSDARP00000003564	ENSP00000315386
ENSDARP00000069982	ENSP00000295588
ENSDARP00000006712	ENSP00000311427
ENSDARP00000088296	ENSP00000317332
ENSDARP00000064965	ENSP00000317332
ENSDARP00000109893	ENSP00000273962
ENSDARP00000060953	ENSP00000312356
ENSDARP00000070706	ENSP00000304895
ENSDARP00000022483	ENSP00000361202
ENSDARP00000110181	ENSP00000361202
ENSDARP00000105872	ENSP00000356940
ENSDARP00000091863	ENSP00000376776
ENSDARP00000041857	ENSP00000249442
ENSDARP00000029449	ENSP00000284981
ENSDARP00000072374	ENSP00000284981
ENSDARP00000101724	ENSP00000296137
ENSDARP00000085782	ENSP00000317955
ENSDARP00000123249	ENSP00000282412
ENSDARP00000011459	ENSP00000282412
ENSDARP00000011222	ENSP00000397050
ENSDARP00000074081	ENSP00000397050
ENSDARP00000068639	ENSP00000284476
ENSDARP00000105116	ENSP00000267889
ENSDARP00000099634	ENSP00000312942
ENSDARP00000102572	ENSP00000312942
ENSDARP00000098597	ENSP00000312550
ENSDARP00000104597	ENSP00000392617
ENSDARP00000009407	ENSP00000378414
ENSDARP00000115000	ENSP00000349547
ENSDARP00000074501	ENSP00000347443
ENSDARP00000129617	ENSP00000443021
ENSDARP00000101212	ENSP00000378401
ENSDARP00000093744	ENSP00000349677
ENSDARP00000100863	ENSP00000362201
ENSDARP00000099375	ENSP00000315136
ENSDARP00000122491	ENSP00000259698
ENSDARP00000099219	ENSP00000334002
ENSDARP00000098390	ENSP00000328875
ENSDARP00000064553	ENSP00000261475
ENSDARP00000112103	ENSP00000396052
ENSDARP00000109055	ENSP00000355991
ENSDARP00000118603	ENSP00000358716
ENSDARP00000114621	ENSP00000265272
ENSDARP00000021165	ENSP00000377015
ENSDARP00000104119	ENSP00000377015
ENSDARP00000041034	ENSP00000400459
ENSDARP00000118861	ENSP00000400459
ENSDARP00000011585	ENSP00000306477
ENSDARP00000114195	ENSP00000313890
ENSDARP00000098999	ENSP00000364912
ENSDARP00000100192	ENSP00000364912
ENSDARP00000108259	ENSP00000382804
ENSDARP00000022305	ENSP00000358262
ENSDARP00000107618	ENSP00000283131
ENSDARP00000023313	ENSP00000360163
ENSDARP00000052422	ENSP00000366306
ENSDARP00000097465	ENSP00000377871
ENSDARP00000090302	ENSP00000344967
ENSDARP00000117091	ENSP00000302289
ENSDARP00000045189	ENSP00000265431
ENSDARP00000060159	ENSP00000307508
ENSDARP00000052801	ENSP00000307508
ENSDARP00000009358	ENSP00000416606
ENSDARP00000108432	ENSP00000256592
ENSDARP00000065198	ENSP00000469647
ENSDARP00000011150	ENSP00000388402
ENSDARP00000025205	ENSP00000388402
ENSDARP00000117760	ENSP00000462435
ENSDARP00000031737	ENSP00000317595
ENSDARP00000088060	ENSP00000353785
ENSDARP00000103338	ENSP00000361027
ENSDARP00000109970	ENSP00000473496
ENSDARP00000107692	ENSP00000362918
ENSDARP00000127308	ENSP00000376384
ENSDARP00000069034	ENSP00000217289
ENSDARP00000056621	ENSP00000331201
ENSDARP00000059208	ENSP00000298125
ENSDARP00000006309	ENSP00000233055
ENSDARP00000104665	ENSP00000359506
ENSDARP00000079486	ENSP00000296575
ENSDARP00000099105	ENSP00000246006
ENSDARP00000124069	ENSP00000366307
ENSDARP00000043775	ENSP00000365201
ENSDARP00000074739	ENSP00000343629
ENSDARP00000057982	ENSP00000308275
ENSDARP00000110998	ENSP00000256404
ENSDARP00000077137	ENSP00000312834
ENSDARP00000126347	ENSP00000246912
ENSDARP00000105846	ENSP00000370625
ENSDARP00000085899	ENSP00000228347
ENSDARP00000100185	ENSP00000263331
ENSDARP00000008665	ENSP00000349359
ENSDARP00000046840	ENSP00000356437
ENSDARP00000076236	ENSP00000356437
ENSDARP00000010432	ENSP00000245323
ENSDARP00000024428	ENSP00000204961
ENSDARP00000098887	ENSP00000310521
ENSDARP00000087023	ENSP00000264454
ENSDARP00000129797	ENSP00000343428
ENSDARP00000126242	ENSP00000387435
ENSDARP00000101151	ENSP00000302648
ENSDARP00000124666	ENSP00000409007
ENSDARP00000091125	ENSP00000262043
ENSDARP00000072746	ENSP00000216024
ENSDARP00000053846	ENSP00000419471
ENSDARP00000090466	ENSP00000358576
ENSDARP00000067187	ENSP00000367527
ENSDARP00000070357	ENSP00000355185
ENSDARP00000023365	ENSP00000323584
ENSDARP00000029663	ENSP00000240587
ENSDARP00000112946	ENSP00000240587
ENSDARP00000097577	ENSP00000360552
ENSDARP00000040190	ENSP00000233575
ENSDARP00000127760	ENSP00000328347
ENSDARP00000084963	ENSP00000363386
ENSDARP00000009879	ENSP00000354163
ENSDARP00000104632	ENSP00000355204
ENSDARP00000018738	ENSP00000363419
ENSDARP00000068132	ENSP00000440273
ENSDARP00000121820	ENSP00000345492
ENSDARP00000092872	ENSP00000012443
ENSDARP00000104278	ENSP00000286719
ENSDARP00000009463	ENSP00000354871
ENSDARP00000054673	ENSP00000302811
ENSDARP00000053915	ENSP00000302811
ENSDARP00000105848	ENSP00000335628
ENSDARP00000101483	ENSP00000366829
ENSDARP00000108901	ENSP00000264033
ENSDARP00000099237	ENSP00000270279
ENSDARP00000120825	ENSP00000284288
ENSDARP00000034149	ENSP00000227638
ENSDARP00000088509	ENSP00000227638
ENSDARP00000101872	ENSP00000379183
ENSDARP00000115297	ENSP00000386869
ENSDARP00000101295	ENSP00000442788
ENSDARP00000099481	ENSP00000304642
ENSDARP00000086709	ENSP00000395249
ENSDARP00000068393	ENSP00000268184
ENSDARP00000123268	ENSP00000296785
ENSDARP00000005892	ENSP00000305071
ENSDARP00000127243	ENSP00000367631
ENSDARP00000129098	ENSP00000367631
ENSDARP00000053870	ENSP00000266991
ENSDARP00000100797	ENSP00000367965
ENSDARP00000101276	ENSP00000367965
ENSDARP00000077390	ENSP00000365830
ENSDARP00000110269	ENSP00000340975
ENSDARP00000100359	ENSP00000273183
ENSDARP00000100517	ENSP00000329200
ENSDARP00000095271	ENSP00000413929
ENSDARP00000113433	ENSP00000339692
ENSDARP00000002041	ENSP00000340578
ENSDARP00000085784	ENSP00000418001
ENSDARP00000061734	ENSP00000476119
ENSDARP00000061712	ENSP00000476119
ENSDARP00000098708	ENSP00000306015
ENSDARP00000113396	ENSP00000306015
ENSDARP00000112197	ENSP00000377789
ENSDARP00000101967	ENSP00000347717
ENSDARP00000015055	ENSP00000339883
ENSDARP00000042161	ENSP00000279263
ENSDARP00000073397	ENSP00000273067
ENSDARP00000081369	ENSP00000273067
ENSDARP00000072702	ENSP00000266643
ENSDARP00000112667	ENSP00000333181
ENSDARP00000100899	ENSP00000262300
ENSDARP00000109848	ENSP00000380675
ENSDARP00000119402	ENSP00000404042
ENSDARP00000107880	ENSP00000278070
ENSDARP00000073535	ENSP00000312649
ENSDARP00000088481	ENSP00000264867
ENSDARP00000098109	ENSP00000228515
ENSDARP00000103050	ENSP00000318258
ENSDARP00000092287	ENSP00000379090
ENSDARP00000066960	ENSP00000379090
ENSDARP00000074509	ENSP00000363640
ENSDARP00000123618	ENSP00000289248
ENSDARP00000050201	ENSP00000363516
ENSDARP00000069025	ENSP00000407958
ENSDARP00000066385	ENSP00000407958
ENSDARP00000114015	ENSP00000365503
ENSDARP00000084810	ENSP00000365503
ENSDARP00000065670	ENSP00000429615
ENSDARP00000100145	ENSP00000313600
ENSDARP00000080960	ENSP00000273859
ENSDARP00000080968	ENSP00000349325
ENSDARP00000075860	ENSP00000313172
ENSDARP00000075872	ENSP00000254765
ENSDARP00000092923	ENSP00000264231
ENSDARP00000007258	ENSP00000314420
ENSDARP00000091241	ENSP00000314420
ENSDARP00000107045	ENSP00000356243
ENSDARP00000015938	ENSP00000366452
ENSDARP00000100510	ENSP00000452027
ENSDARP00000077546	ENSP00000258796
ENSDARP00000108518	ENSP00000258796
ENSDARP00000117502	ENSP00000365714
ENSDARP00000019488	ENSP00000269346
ENSDARP00000018866	ENSP00000269346
ENSDARP00000018231	ENSP00000366998
ENSDARP00000109939	ENSP00000405032
ENSDARP00000127650	ENSP00000465978
ENSDARP00000054407	ENSP00000394954
ENSDARP00000103592	ENSP00000371483
ENSDARP00000023797	ENSP00000371483
ENSDARP00000123760	ENSP00000321424
ENSDARP00000123811	ENSP00000321424
ENSDARP00000055658	ENSP00000376702
ENSDARP00000093650	ENSP00000319141
ENSDARP00000062147	ENSP00000476746
ENSDARP00000024699	ENSP00000357612
ENSDARP00000114912	ENSP00000254770
ENSDARP00000018694	ENSP00000388713
ENSDARP00000036613	ENSP00000259512
ENSDARP00000062174	ENSP00000158771
ENSDARP00000043250	ENSP00000384744
ENSDARP00000054182	ENSP00000411827
ENSDARP00000071038	ENSP00000411827
ENSDARP00000066603	ENSP00000315106
ENSDARP00000111755	ENSP00000362013
ENSDARP00000128560	ENSP00000286523
ENSDARP00000116549	ENSP00000286523
ENSDARP00000082575	ENSP00000370242
ENSDARP00000097432	ENSP00000362260
ENSDARP00000071856	ENSP00000353863
ENSDARP00000120960	ENSP00000294740
ENSDARP00000128940	ENSP00000294740
ENSDARP00000126905	ENSP00000469686
ENSDARP00000079776	ENSP00000291900
ENSDARP00000034301	ENSP00000434359
ENSDARP00000056644	ENSP00000434359
ENSDARP00000074306	ENSP00000252530
ENSDARP00000128597	ENSP00000238823
ENSDARP00000092244	ENSP00000367828
ENSDARP00000114403	ENSP00000330774
ENSDARP00000052139	ENSP00000379901
ENSDARP00000008287	ENSP00000360672
ENSDARP00000052392	ENSP00000343144
ENSDARP00000124147	ENSP00000343144
ENSDARP00000091677	ENSP00000219255
ENSDARP00000033747	ENSP00000352414
ENSDARP00000064544	ENSP00000274625
ENSDARP00000106596	ENSP00000274625
ENSDARP00000095608	ENSP00000364016
ENSDARP00000100342	ENSP00000386212
ENSDARP00000089043	ENSP00000386212
ENSDARP00000099755	ENSP00000355325
ENSDARP00000042943	ENSP00000364839
ENSDARP00000100263	ENSP00000391447
ENSDARP00000012119	ENSP00000384515
ENSDARP00000088293	ENSP00000391583
ENSDARP00000126719	ENSP00000367157
ENSDARP00000102231	ENSP00000367157
ENSDARP00000086615	ENSP00000379880
ENSDARP00000120615	ENSP00000291592
ENSDARP00000102289	ENSP00000292599
ENSDARP00000102172	ENSP00000382713
ENSDARP00000049327	ENSP00000417970
ENSDARP00000108755	ENSP00000366070
ENSDARP00000097554	ENSP00000301336
ENSDARP00000023608	ENSP00000365014
ENSDARP00000117529	ENSP00000262662
ENSDARP00000125910	ENSP00000377224
ENSDARP00000127159	ENSP00000356918
ENSDARP00000098839	ENSP00000308926
ENSDARP00000053538	ENSP00000356857
ENSDARP00000066697	ENSP00000321445
ENSDARP00000109774	ENSP00000296096
ENSDARP00000110569	ENSP00000455444
ENSDARP00000057688	ENSP00000358081
ENSDARP00000063395	ENSP00000287322
ENSDARP00000110737	ENSP00000369887
ENSDARP00000122329	ENSP00000453076
ENSDARP00000057295	ENSP00000298110
ENSDARP00000058889	ENSP00000430269
ENSDARP00000111654	ENSP00000332528
ENSDARP00000034453	ENSP00000296358
ENSDARP00000125629	ENSP00000304108
ENSDARP00000097987	ENSP00000367356
ENSDARP00000098927	ENSP00000293443
ENSDARP00000098040	ENSP00000293443
ENSDARP00000126216	ENSP00000353769
ENSDARP00000125217	ENSP00000410626
ENSDARP00000120216	ENSP00000436318
ENSDARP00000064375	ENSP00000270142
ENSDARP00000093532	ENSP00000371554
ENSDARP00000032009	ENSP00000377724
ENSDARP00000120650	ENSP00000243045
ENSDARP00000021751	ENSP00000326869
ENSDARP00000111633	ENSP00000357660
ENSDARP00000093865	ENSP00000424711
ENSDARP00000092235	ENSP00000261172
ENSDARP00000048890	ENSP00000262551
ENSDARP00000064800	ENSP00000262551
ENSDARP00000018034	ENSP00000356191
ENSDARP00000056898	ENSP00000360688
ENSDARP00000092177	ENSP00000420919
ENSDARP00000073041	ENSP00000320757
ENSDARP00000027964	ENSP00000269097
ENSDARP00000020485	ENSP00000369816
ENSDARP00000018668	ENSP00000331831
ENSDARP00000063856	ENSP00000290216
ENSDARP00000014414	ENSP00000272732
ENSDARP00000094302	ENSP00000362993
ENSDARP00000056004	ENSP00000266744
ENSDARP00000105052	ENSP00000345420
ENSDARP00000099151	ENSP00000265299
ENSDARP00000092798	ENSP00000454591
ENSDARP00000059034	ENSP00000277632
ENSDARP00000082792	ENSP00000266077
ENSDARP00000082791	ENSP00000331462
ENSDARP00000116662	ENSP00000340494
ENSDARP00000114051	ENSP00000340494
ENSDARP00000009075	ENSP00000337731
ENSDARP00000081635	ENSP00000320209
ENSDARP00000055236	ENSP00000253796
ENSDARP00000060320	ENSP00000254661
ENSDARP00000073232	ENSP00000343248
ENSDARP00000118572	ENSP00000356811
ENSDARP00000109076	ENSP00000376035
ENSDARP00000129217	ENSP00000376035
ENSDARP00000009683	ENSP00000300101
ENSDARP00000117814	ENSP00000307449
ENSDARP00000127670	ENSP00000246190
ENSDARP00000090464	ENSP00000356481
ENSDARP00000061631	ENSP00000356481
ENSDARP00000092973	ENSP00000362409
ENSDARP00000039105	ENSP00000419712
ENSDARP00000041848	ENSP00000401338
ENSDARP00000074848	ENSP00000320318
ENSDARP00000116378	ENSP00000261655
ENSDARP00000036330	ENSP00000303252
ENSDARP00000077501	ENSP00000215906
ENSDARP00000061012	ENSP00000308057
ENSDARP00000054292	ENSP00000364814
ENSDARP00000100748	ENSP00000373360
ENSDARP00000091853	ENSP00000358795
ENSDARP00000066100	ENSP00000358815
ENSDARP00000124521	ENSP00000307801
ENSDARP00000086992	ENSP00000307801
ENSDARP00000066577	ENSP00000358430
ENSDARP00000043937	ENSP00000182527
ENSDARP00000100035	ENSP00000263671
ENSDARP00000014221	ENSP00000297265
ENSDARP00000127394	ENSP00000348489
ENSDARP00000075507	ENSP00000396160
ENSDARP00000109240	ENSP00000311127
ENSDARP00000114926	ENSP00000311127
ENSDARP00000127609	ENSP00000451040
ENSDARP00000104659	ENSP00000451040
ENSDARP00000095917	ENSP00000368683
ENSDARP00000095299	ENSP00000337128
ENSDARP00000115695	ENSP00000337128
ENSDARP00000103641	ENSP00000456548
ENSDARP00000103370	ENSP00000456548
ENSDARP00000098754	ENSP00000285311
ENSDARP00000066476	ENSP00000363081
ENSDARP00000017197	ENSP00000363081
ENSDARP00000129407	ENSP00000266269
ENSDARP00000065237	ENSP00000387851
ENSDARP00000115658	ENSP00000351113
ENSDARP00000077372	ENSP00000334665
ENSDARP00000098380	ENSP00000334665
ENSDARP00000105764	ENSP00000439625
ENSDARP00000067077	ENSP00000439625
ENSDARP00000106435	ENSP00000344961
ENSDARP00000011878	ENSP00000400870
ENSDARP00000126688	ENSP00000346990
ENSDARP00000076803	ENSP00000318916
ENSDARP00000004582	ENSP00000359795
ENSDARP00000069534	ENSP00000319254
ENSDARP00000114342	ENSP00000265498
ENSDARP00000071476	ENSP00000369858
ENSDARP00000070742	ENSP00000450842
ENSDARP00000063943	ENSP00000230461
ENSDARP00000111935	ENSP00000230461
ENSDARP00000007727	ENSP00000402698
ENSDARP00000052708	ENSP00000362613
ENSDARP00000076430	ENSP00000231656
ENSDARP00000122707	ENSP00000358512
ENSDARP00000045887	ENSP00000391481
ENSDARP00000097932	ENSP00000265986
ENSDARP00000084540	ENSP00000346890
ENSDARP00000021653	ENSP00000346890
ENSDARP00000098121	ENSP00000297293
ENSDARP00000116726	ENSP00000270238
ENSDARP00000007492	ENSP00000362469
ENSDARP00000076098	ENSP00000360966
ENSDARP00000102654	ENSP00000349351
ENSDARP00000128388	ENSP00000349351
ENSDARP00000121457	ENSP00000348752
ENSDARP00000016951	ENSP00000328216
ENSDARP00000113086	ENSP00000355799
ENSDARP00000098493	ENSP00000250340
ENSDARP00000046343	ENSP00000296130
ENSDARP00000098343	ENSP00000296130
ENSDARP00000078553	ENSP00000299642
ENSDARP00000107945	ENSP00000280701
ENSDARP00000057618	ENSP00000296980
ENSDARP00000043625	ENSP00000314976
ENSDARP00000057868	ENSP00000361287
ENSDARP00000053962	ENSP00000303147
ENSDARP00000105782	ENSP00000303147
ENSDARP00000102755	ENSP00000377665
ENSDARP00000079535	ENSP00000377665
ENSDARP00000015397	ENSP00000219409
ENSDARP00000063558	ENSP00000297164
ENSDARP00000092468	ENSP00000064780
ENSDARP00000089381	ENSP00000398778
ENSDARP00000083251	ENSP00000257209
ENSDARP00000087713	ENSP00000257209
ENSDARP00000107760	ENSP00000335038
ENSDARP00000108200	ENSP00000384967
ENSDARP00000035566	ENSP00000384967
ENSDARP00000055676	ENSP00000296632
ENSDARP00000103526	ENSP00000304032
ENSDARP00000113301	ENSP00000380524
ENSDARP00000057612	ENSP00000361004
ENSDARP00000012597	ENSP00000295666
ENSDARP00000125120	ENSP00000333142
ENSDARP00000124900	ENSP00000388731
ENSDARP00000069820	ENSP00000400892
ENSDARP00000111773	ENSP00000395835
ENSDARP00000053361	ENSP00000252996
ENSDARP00000103064	ENSP00000252996
ENSDARP00000019981	ENSP00000348395
ENSDARP00000095532	ENSP00000357844
ENSDARP00000106117	ENSP00000465734
ENSDARP00000053796	ENSP00000367123
ENSDARP00000105716	ENSP00000359171
ENSDARP00000039571	ENSP00000340796
ENSDARP00000023819	ENSP00000343657
ENSDARP00000090113	ENSP00000419027
ENSDARP00000065447	ENSP00000377549
ENSDARP00000060245	ENSP00000473631
ENSDARP00000059477	ENSP00000384126
ENSDARP00000096527	ENSP00000328625
ENSDARP00000103340	ENSP00000299638
ENSDARP00000122270	ENSP00000310447
ENSDARP00000115549	ENSP00000310447
ENSDARP00000114374	ENSP00000369383
ENSDARP00000073314	ENSP00000469836
ENSDARP00000026766	ENSP00000321271
ENSDARP00000073441	ENSP00000387164
ENSDARP00000105458	ENSP00000354558
ENSDARP00000007713	ENSP00000292476
ENSDARP00000105060	ENSP00000262577
ENSDARP00000016900	ENSP00000400482
ENSDARP00000117888	ENSP00000384849
ENSDARP00000046439	ENSP00000378651
ENSDARP00000115935	ENSP00000378651
ENSDARP00000067160	ENSP00000265388
ENSDARP00000061842	ENSP00000450864
ENSDARP00000077125	ENSP00000294309
ENSDARP00000034439	ENSP00000263849
ENSDARP00000129857	ENSP00000435550
ENSDARP00000076455	ENSP00000294312
ENSDARP00000094287	ENSP00000471477
ENSDARP00000067387	ENSP00000237837
ENSDARP00000120028	ENSP00000287295
ENSDARP00000028033	ENSP00000392094
ENSDARP00000011326	ENSP00000230381
ENSDARP00000055414	ENSP00000230381
ENSDARP00000096234	ENSP00000278833
ENSDARP00000017853	ENSP00000278833
ENSDARP00000119911	ENSP00000380888
ENSDARP00000126727	ENSP00000380888
ENSDARP00000124593	ENSP00000370223
ENSDARP00000118959	ENSP00000311695
ENSDARP00000116404	ENSP00000384040
ENSDARP00000112758	ENSP00000384040
ENSDARP00000126389	ENSP00000398481
ENSDARP00000053000	ENSP00000215838
ENSDARP00000050005	ENSP00000359380
ENSDARP00000044008	ENSP00000359380
ENSDARP00000098402	ENSP00000358880
ENSDARP00000009775	ENSP00000278071
ENSDARP00000071393	ENSP00000370849
ENSDARP00000101496	ENSP00000357840
ENSDARP00000033806	ENSP00000279068
ENSDARP00000008181	ENSP00000318602
ENSDARP00000101177	ENSP00000318602
ENSDARP00000039104	ENSP00000359848
ENSDARP00000117816	ENSP00000237937
ENSDARP00000022273	ENSP00000237937
ENSDARP00000083939	ENSP00000326128
ENSDARP00000091498	ENSP00000393887
ENSDARP00000029899	ENSP00000369436
ENSDARP00000083546	ENSP00000410157
ENSDARP00000077824	ENSP00000410157
ENSDARP00000032935	ENSP00000344456
ENSDARP00000024217	ENSP00000268154
ENSDARP00000010177	ENSP00000268154
ENSDARP00000108359	ENSP00000264313
ENSDARP00000036535	ENSP00000370003
ENSDARP00000038022	ENSP00000370003
ENSDARP00000117263	ENSP00000357625
ENSDARP00000108413	ENSP00000357625
ENSDARP00000084529	ENSP00000328992
ENSDARP00000110163	ENSP00000318690
ENSDARP00000126735	ENSP00000376224
ENSDARP00000125833	ENSP00000428544
ENSDARP00000110357	ENSP00000463375
ENSDARP00000105934	ENSP00000463375
ENSDARP00000074299	ENSP00000241261
ENSDARP00000089126	ENSP00000239849
ENSDARP00000058406	ENSP00000306328
ENSDARP00000122740	ENSP00000364140
ENSDARP00000087948	ENSP00000364140
ENSDARP00000096190	ENSP00000426809
ENSDARP00000045367	ENSP00000426809
ENSDARP00000016595	ENSP00000325266
ENSDARP00000089728	ENSP00000311760
ENSDARP00000116371	ENSP00000256367
ENSDARP00000071507	ENSP00000364035
ENSDARP00000037509	ENSP00000364035
ENSDARP00000095598	ENSP00000303997
ENSDARP00000074434	ENSP00000346080
ENSDARP00000094606	ENSP00000235628
ENSDARP00000107097	ENSP00000235628
ENSDARP00000127179	ENSP00000331474
ENSDARP00000089791	ENSP00000375859
ENSDARP00000102952	ENSP00000366058
ENSDARP00000102678	ENSP00000316891
ENSDARP00000098825	ENSP00000316891
ENSDARP00000121945	ENSP00000346874
ENSDARP00000106001	ENSP00000341171
ENSDARP00000061469	ENSP00000341171
ENSDARP00000070219	ENSP00000307722
ENSDARP00000075798	ENSP00000256797
ENSDARP00000096546	ENSP00000381053
ENSDARP00000040234	ENSP00000418210
ENSDARP00000105974	ENSP00000418210
ENSDARP00000031129	ENSP00000367494
ENSDARP00000072529	ENSP00000387266
ENSDARP00000110897	ENSP00000237281
ENSDARP00000122408	ENSP00000377409
ENSDARP00000088025	ENSP00000377409
ENSDARP00000072463	ENSP00000271636
ENSDARP00000102223	ENSP00000271636
ENSDARP00000124312	ENSP00000299687
ENSDARP00000018103	ENSP00000357073
ENSDARP00000101911	ENSP00000357073
ENSDARP00000012359	ENSP00000299259
ENSDARP00000071943	ENSP00000355925
ENSDARP00000055871	ENSP00000368523
ENSDARP00000020465	ENSP00000338532
ENSDARP00000099960	ENSP00000262637
ENSDARP00000105407	ENSP00000350036
ENSDARP00000090877	ENSP00000315630
ENSDARP00000074350	ENSP00000315630
ENSDARP00000025016	ENSP00000319831
ENSDARP00000065376	ENSP00000319831
ENSDARP00000127209	ENSP00000262518
ENSDARP00000050749	ENSP00000251810
ENSDARP00000100689	ENSP00000409906
ENSDARP00000110581	ENSP00000309690
ENSDARP00000121415	ENSP00000378408
ENSDARP00000058706	ENSP00000267569
ENSDARP00000025170	ENSP00000356433
ENSDARP00000046114	ENSP00000361895
ENSDARP00000047460	ENSP00000361895
ENSDARP00000123567	ENSP00000385527
ENSDARP00000116491	ENSP00000363533
ENSDARP00000005265	ENSP00000418428
ENSDARP00000124436	ENSP00000340465
ENSDARP00000039968	ENSP00000272542
ENSDARP00000005218	ENSP00000272542
ENSDARP00000108671	ENSP00000254963
ENSDARP00000106960	ENSP00000358211
ENSDARP00000019407	ENSP00000364486
ENSDARP00000013520	ENSP00000422626
ENSDARP00000120315	ENSP00000380489
ENSDARP00000055793	ENSP00000293230
ENSDARP00000098392	ENSP00000456566
ENSDARP00000112413	ENSP00000369513
ENSDARP00000123191	ENSP00000369513
ENSDARP00000070307	ENSP00000386870
ENSDARP00000076266	ENSP00000376457
ENSDARP00000032745	ENSP00000297578
ENSDARP00000104898	ENSP00000297578
ENSDARP00000082671	ENSP00000390722
ENSDARP00000127076	ENSP00000426022
ENSDARP00000117694	ENSP00000426022
ENSDARP00000015948	ENSP00000238714
ENSDARP00000098005	ENSP00000378400
ENSDARP00000110778	ENSP00000378400
ENSDARP00000103348	ENSP00000259006
ENSDARP00000047551	ENSP00000381968
ENSDARP00000065584	ENSP00000355560
ENSDARP00000003845	ENSP00000302625
ENSDARP00000070658	ENSP00000265594
ENSDARP00000018692	ENSP00000298910
ENSDARP00000026919	ENSP00000307265
ENSDARP00000110461	ENSP00000402527
ENSDARP00000128862	ENSP00000402527
ENSDARP00000083972	ENSP00000377655
ENSDARP00000081302	ENSP00000377655
ENSDARP00000086954	ENSP00000416040
ENSDARP00000118005	ENSP00000416040
ENSDARP00000084830	ENSP00000315295
ENSDARP00000121615	ENSP00000230256
ENSDARP00000003032	ENSP00000333982
ENSDARP00000055681	ENSP00000333982
ENSDARP00000108775	ENSP00000324302
ENSDARP00000075137	ENSP00000324302
ENSDARP00000054352	ENSP00000262139
ENSDARP00000059532	ENSP00000262139
ENSDARP00000080300	ENSP00000300737
ENSDARP00000012749	ENSP00000417569
ENSDARP00000099365	ENSP00000417569
ENSDARP00000011600	ENSP00000344831
ENSDARP00000062715	ENSP00000217254
ENSDARP00000122561	ENSP00000263088
ENSDARP00000099015	ENSP00000267064
ENSDARP00000000514	ENSP00000365569
ENSDARP00000094800	ENSP00000365569
ENSDARP00000092565	ENSP00000378368
ENSDARP00000011656	ENSP00000378368
ENSDARP00000114888	ENSP00000350954
ENSDARP00000007173	ENSP00000364398
ENSDARP00000055263	ENSP00000084798
ENSDARP00000069454	ENSP00000350012
ENSDARP00000126873	ENSP00000350012
ENSDARP00000106182	ENSP00000377991
ENSDARP00000029876	ENSP00000181796
ENSDARP00000064699	ENSP00000002165
ENSDARP00000099285	ENSP00000329117
ENSDARP00000102405	ENSP00000426528
ENSDARP00000129625	ENSP00000392700
ENSDARP00000058490	ENSP00000394863
ENSDARP00000128680	ENSP00000263245
ENSDARP00000106936	ENSP00000395083
ENSDARP00000123337	ENSP00000397249
ENSDARP00000010986	ENSP00000420477
ENSDARP00000076941	ENSP00000316950
ENSDARP00000080000	ENSP00000219611
ENSDARP00000120378	ENSP00000401089
ENSDARP00000101974	ENSP00000314103
ENSDARP00000082574	ENSP00000339802
ENSDARP00000123438	ENSP00000339802
ENSDARP00000094438	ENSP00000287152
ENSDARP00000068664	ENSP00000333942
ENSDARP00000098032	ENSP00000298032
ENSDARP00000105520	ENSP00000313869
ENSDARP00000017335	ENSP00000234160
ENSDARP00000115792	ENSP00000363308
ENSDARP00000102537	ENSP00000344401
ENSDARP00000057265	ENSP00000355045
ENSDARP00000107576	ENSP00000419325
ENSDARP00000076958	ENSP00000269159
ENSDARP00000094151	ENSP00000272238
ENSDARP00000075369	ENSP00000262644
ENSDARP00000064143	ENSP00000446828
ENSDARP00000088265	ENSP00000259667
ENSDARP00000091535	ENSP00000074304
ENSDARP00000116716	ENSP00000074304
ENSDARP00000113043	ENSP00000425487
ENSDARP00000001250	ENSP00000406490
ENSDARP00000003298	ENSP00000379773
ENSDARP00000059375	ENSP00000387362
ENSDARP00000120032	ENSP00000325548
ENSDARP00000023582	ENSP00000412886
ENSDARP00000125930	ENSP00000352572
ENSDARP00000103810	ENSP00000358106
ENSDARP00000041264	ENSP00000467024
ENSDARP00000103303	ENSP00000384823
ENSDARP00000109536	ENSP00000285871
ENSDARP00000047815	ENSP00000055682
ENSDARP00000072602	ENSP00000362480
ENSDARP00000066255	ENSP00000376792
ENSDARP00000057378	ENSP00000450731
ENSDARP00000104354	ENSP00000328677
ENSDARP00000097702	ENSP00000328677
ENSDARP00000087095	ENSP00000261722
ENSDARP00000094307	ENSP00000362217
ENSDARP00000005001	ENSP00000362217
ENSDARP00000091844	ENSP00000304994
ENSDARP00000008927	ENSP00000304994
ENSDARP00000070818	ENSP00000382269
ENSDARP00000105446	ENSP00000258418
ENSDARP00000091581	ENSP00000293805
ENSDARP00000083309	ENSP00000401112
ENSDARP00000092405	ENSP00000399518
ENSDARP00000121111	ENSP00000243440
ENSDARP00000014497	ENSP00000286639
ENSDARP00000120432	ENSP00000283645
ENSDARP00000081505	ENSP00000369071
ENSDARP00000018627	ENSP00000369071
ENSDARP00000096711	ENSP00000416330
ENSDARP00000082092	ENSP00000261435
ENSDARP00000105810	ENSP00000448165
ENSDARP00000084654	ENSP00000301200
ENSDARP00000127185	ENSP00000338258
ENSDARP00000058039	ENSP00000338258
