ENSGACP00000003450	ENSMGAP00000004951
ENSGACP00000019899	ENSMGAP00000015342
ENSGACP00000004026	ENSMGAP00000015342
ENSGACP00000026659	ENSMGAP00000000979
ENSGACP00000014114	ENSMGAP00000000979
ENSGACP00000018365	ENSMGAP00000000551
ENSGACP00000016016	ENSMGAP00000014052
ENSGACP00000004122	ENSMGAP00000002420
ENSGACP00000023771	ENSMGAP00000002457
ENSGACP00000023898	ENSMGAP00000002412
ENSGACP00000004306	ENSMGAP00000002412
ENSGACP00000004058	ENSMGAP00000003850
ENSGACP00000019647	ENSMGAP00000003850
ENSGACP00000002897	ENSMGAP00000005722
ENSGACP00000018038	ENSMGAP00000005722
ENSGACP00000005550	ENSMGAP00000018362
ENSGACP00000018451	ENSMGAP00000018362
ENSGACP00000007037	ENSMGAP00000002112
ENSGACP00000009196	ENSMGAP00000010915
ENSGACP00000008422	ENSMGAP00000016228
ENSGACP00000026623	ENSMGAP00000016228
ENSGACP00000027583	ENSMGAP00000016196
ENSGACP00000017530	ENSMGAP00000016196
ENSGACP00000000322	ENSMGAP00000015935
ENSGACP00000015087	ENSMGAP00000003982
ENSGACP00000014513	ENSMGAP00000013845
ENSGACP00000020174	ENSMGAP00000001888
ENSGACP00000017552	ENSMGAP00000016504
ENSGACP00000002784	ENSMGAP00000005567
ENSGACP00000025291	ENSMGAP00000013477
ENSGACP00000012139	ENSMGAP00000009220
ENSGACP00000003913	ENSMGAP00000000475
ENSGACP00000012891	ENSMGAP00000007055
ENSGACP00000017505	ENSMGAP00000009349
ENSGACP00000023819	ENSMGAP00000006497
ENSGACP00000023528	ENSMGAP00000011210
ENSGACP00000025820	ENSMGAP00000011210
ENSGACP00000014446	ENSMGAP00000006603
ENSGACP00000003763	ENSMGAP00000006603
ENSGACP00000017855	ENSMGAP00000006926
ENSGACP00000019205	ENSMGAP00000006926
ENSGACP00000015548	ENSMGAP00000005400
ENSGACP00000008937	ENSMGAP00000001402
ENSGACP00000003142	ENSMGAP00000011577
ENSGACP00000009984	ENSMGAP00000007582
ENSGACP00000009610	ENSMGAP00000012496
ENSGACP00000023990	ENSMGAP00000008658
ENSGACP00000012810	ENSMGAP00000001623
ENSGACP00000003031	ENSMGAP00000003413
ENSGACP00000017879	ENSMGAP00000011238
ENSGACP00000020655	ENSMGAP00000013319
ENSGACP00000000392	ENSMGAP00000013319
ENSGACP00000025624	ENSMGAP00000010125
ENSGACP00000016227	ENSMGAP00000010125
ENSGACP00000025318	ENSMGAP00000013261
ENSGACP00000009733	ENSMGAP00000013261
ENSGACP00000025814	ENSMGAP00000017387
ENSGACP00000013206	ENSMGAP00000013600
ENSGACP00000009084	ENSMGAP00000016032
ENSGACP00000017735	ENSMGAP00000001342
ENSGACP00000022008	ENSMGAP00000004099
ENSGACP00000011923	ENSMGAP00000007270
ENSGACP00000008743	ENSMGAP00000007270
ENSGACP00000001874	ENSMGAP00000015442
ENSGACP00000025061	ENSMGAP00000013941
ENSGACP00000003276	ENSMGAP00000018453
ENSGACP00000018937	ENSMGAP00000008706
ENSGACP00000018824	ENSMGAP00000008706
ENSGACP00000005417	ENSMGAP00000009711
ENSGACP00000024940	ENSMGAP00000009711
ENSGACP00000015565	ENSMGAP00000010028
ENSGACP00000020989	ENSMGAP00000005094
ENSGACP00000016189	ENSMGAP00000002629
ENSGACP00000003926	ENSMGAP00000011659
ENSGACP00000002413	ENSMGAP00000012353
ENSGACP00000014699	ENSMGAP00000016358
ENSGACP00000025172	ENSMGAP00000016358
ENSGACP00000025941	ENSMGAP00000004587
ENSGACP00000019692	ENSMGAP00000013142
ENSGACP00000001074	ENSMGAP00000015682
ENSGACP00000024768	ENSMGAP00000015681
ENSGACP00000023839	ENSMGAP00000012213
ENSGACP00000024438	ENSMGAP00000005786
ENSGACP00000011387	ENSMGAP00000013416
ENSGACP00000023219	ENSMGAP00000003265
ENSGACP00000022260	ENSMGAP00000000775
ENSGACP00000005611	ENSMGAP00000015116
ENSGACP00000021237	ENSMGAP00000010765
ENSGACP00000000535	ENSMGAP00000008918
ENSGACP00000018282	ENSMGAP00000002093
ENSGACP00000000033	ENSMGAP00000000511
ENSGACP00000010370	ENSMGAP00000004442
ENSGACP00000001175	ENSMGAP00000003712
ENSGACP00000016382	ENSMGAP00000012539
ENSGACP00000014652	ENSMGAP00000005435
ENSGACP00000022886	ENSMGAP00000003936
ENSGACP00000001934	ENSMGAP00000009215
ENSGACP00000003137	ENSMGAP00000007916
ENSGACP00000017877	ENSMGAP00000006945
ENSGACP00000026059	ENSMGAP00000003455
ENSGACP00000003538	ENSMGAP00000010629
ENSGACP00000011949	ENSMGAP00000019699
ENSGACP00000027451	ENSMGAP00000019699
ENSGACP00000021029	ENSMGAP00000004549
ENSGACP00000017743	ENSMGAP00000003563
ENSGACP00000012899	ENSMGAP00000003563
ENSGACP00000009382	ENSMGAP00000005606
ENSGACP00000018995	ENSMGAP00000015805
ENSGACP00000010396	ENSMGAP00000013543
ENSGACP00000017653	ENSMGAP00000008204
ENSGACP00000020405	ENSMGAP00000004282
ENSGACP00000002181	ENSMGAP00000001129
ENSGACP00000026437	ENSMGAP00000003619
ENSGACP00000018640	ENSMGAP00000002266
ENSGACP00000005708	ENSMGAP00000011390
ENSGACP00000002689	ENSMGAP00000005599
ENSGACP00000017307	ENSMGAP00000013680
ENSGACP00000018450	ENSMGAP00000015554
ENSGACP00000019915	ENSMGAP00000015554
ENSGACP00000015007	ENSMGAP00000013685
ENSGACP00000019957	ENSMGAP00000015156
ENSGACP00000004165	ENSMGAP00000015156
ENSGACP00000020071	ENSMGAP00000003648
ENSGACP00000023162	ENSMGAP00000003990
ENSGACP00000011608	ENSMGAP00000011725
ENSGACP00000017378	ENSMGAP00000005957
ENSGACP00000024186	ENSMGAP00000009507
ENSGACP00000018284	ENSMGAP00000015633
ENSGACP00000003070	ENSMGAP00000015235
ENSGACP00000009145	ENSMGAP00000003294
ENSGACP00000022748	ENSMGAP00000003528
ENSGACP00000005355	ENSMGAP00000012584
ENSGACP00000020604	ENSMGAP00000012584
ENSGACP00000006633	ENSMGAP00000010532
ENSGACP00000002217	ENSMGAP00000011839
ENSGACP00000018240	ENSMGAP00000008310
ENSGACP00000012817	ENSMGAP00000001577
ENSGACP00000009381	ENSMGAP00000001577
ENSGACP00000017039	ENSMGAP00000010161
ENSGACP00000000100	ENSMGAP00000010161
ENSGACP00000026716	ENSMGAP00000002279
ENSGACP00000026715	ENSMGAP00000002325
ENSGACP00000021380	ENSMGAP00000015037
ENSGACP00000013558	ENSMGAP00000015037
ENSGACP00000006525	ENSMGAP00000004002
ENSGACP00000018681	ENSMGAP00000002399
ENSGACP00000000297	ENSMGAP00000013230
ENSGACP00000020302	ENSMGAP00000005107
ENSGACP00000009209	ENSMGAP00000008323
ENSGACP00000001414	ENSMGAP00000001619
ENSGACP00000009280	ENSMGAP00000015593
ENSGACP00000007942	ENSMGAP00000008039
ENSGACP00000023759	ENSMGAP00000004480
ENSGACP00000017885	ENSMGAP00000006878
ENSGACP00000014804	ENSMGAP00000011855
ENSGACP00000009902	ENSMGAP00000015770
ENSGACP00000003202	ENSMGAP00000016063
ENSGACP00000018518	ENSMGAP00000015292
ENSGACP00000008676	ENSMGAP00000001059
ENSGACP00000009919	ENSMGAP00000002527
ENSGACP00000015064	ENSMGAP00000014894
ENSGACP00000009407	ENSMGAP00000014894
ENSGACP00000001155	ENSMGAP00000011708
ENSGACP00000020150	ENSMGAP00000015210
ENSGACP00000024720	ENSMGAP00000006631
ENSGACP00000022999	ENSMGAP00000006700
ENSGACP00000013057	ENSMGAP00000009153
ENSGACP00000015763	ENSMGAP00000009971
ENSGACP00000019895	ENSMGAP00000015345
ENSGACP00000004478	ENSMGAP00000015345
ENSGACP00000015502	ENSMGAP00000011827
ENSGACP00000011134	ENSMGAP00000014351
ENSGACP00000005789	ENSMGAP00000009112
ENSGACP00000011419	ENSMGAP00000003197
ENSGACP00000014414	ENSMGAP00000006417
ENSGACP00000003566	ENSMGAP00000000058
ENSGACP00000017498	ENSMGAP00000014287
ENSGACP00000012562	ENSMGAP00000014287
ENSGACP00000018101	ENSMGAP00000013437
ENSGACP00000026829	ENSMGAP00000013437
ENSGACP00000018784	ENSMGAP00000015254
ENSGACP00000022869	ENSMGAP00000003962
ENSGACP00000009265	ENSMGAP00000000409
ENSGACP00000007600	ENSMGAP00000010988
ENSGACP00000001677	ENSMGAP00000000904
ENSGACP00000002037	ENSMGAP00000000904
ENSGACP00000000491	ENSMGAP00000003356
ENSGACP00000026541	ENSMGAP00000010665
ENSGACP00000023820	ENSMGAP00000001935
ENSGACP00000011142	ENSMGAP00000000345
ENSGACP00000006208	ENSMGAP00000008113
ENSGACP00000000048	ENSMGAP00000009718
ENSGACP00000024229	ENSMGAP00000019484
ENSGACP00000018699	ENSMGAP00000008083
ENSGACP00000016629	ENSMGAP00000013157
ENSGACP00000002600	ENSMGAP00000015629
ENSGACP00000014463	ENSMGAP00000001668
ENSGACP00000006737	ENSMGAP00000013185
ENSGACP00000018823	ENSMGAP00000019410
ENSGACP00000004993	ENSMGAP00000006596
ENSGACP00000013323	ENSMGAP00000012448
ENSGACP00000027432	ENSMGAP00000010002
ENSGACP00000027029	ENSMGAP00000007071
ENSGACP00000006776	ENSMGAP00000014518
ENSGACP00000017590	ENSMGAP00000014518
ENSGACP00000008457	ENSMGAP00000011278
ENSGACP00000002059	ENSMGAP00000019266
ENSGACP00000007070	ENSMGAP00000005072
ENSGACP00000001524	ENSMGAP00000005072
ENSGACP00000018536	ENSMGAP00000015132
ENSGACP00000022775	ENSMGAP00000003271
ENSGACP00000004018	ENSMGAP00000001307
ENSGACP00000020962	ENSMGAP00000001307
ENSGACP00000012709	ENSMGAP00000008022
ENSGACP00000006988	ENSMGAP00000005806
ENSGACP00000013064	ENSMGAP00000005806
ENSGACP00000023134	ENSMGAP00000019273
ENSGACP00000011358	ENSMGAP00000001399
ENSGACP00000004926	ENSMGAP00000002576
ENSGACP00000018147	ENSMGAP00000002576
ENSGACP00000026552	ENSMGAP00000006260
ENSGACP00000026190	ENSMGAP00000016016
ENSGACP00000004062	ENSMGAP00000016016
ENSGACP00000003924	ENSMGAP00000011660
ENSGACP00000015892	ENSMGAP00000006137
ENSGACP00000003433	ENSMGAP00000006137
ENSGACP00000012672	ENSMGAP00000001172
ENSGACP00000003731	ENSMGAP00000009622
ENSGACP00000020189	ENSMGAP00000009622
ENSGACP00000025831	ENSMGAP00000013167
ENSGACP00000014614	ENSMGAP00000001400
ENSGACP00000016502	ENSMGAP00000006602
ENSGACP00000023004	ENSMGAP00000019564
ENSGACP00000013976	ENSMGAP00000005637
ENSGACP00000000323	ENSMGAP00000018229
ENSGACP00000000293	ENSMGAP00000004778
ENSGACP00000008025	ENSMGAP00000009956
ENSGACP00000024785	ENSMGAP00000008512
ENSGACP00000022756	ENSMGAP00000003338
ENSGACP00000005778	ENSMGAP00000017600
ENSGACP00000021879	ENSMGAP00000005669
ENSGACP00000006808	ENSMGAP00000004412
ENSGACP00000010749	ENSMGAP00000004420
ENSGACP00000026730	ENSMGAP00000019532
ENSGACP00000018778	ENSMGAP00000003634
ENSGACP00000021461	ENSMGAP00000008741
ENSGACP00000003952	ENSMGAP00000007191
ENSGACP00000022936	ENSMGAP00000001504
ENSGACP00000015344	ENSMGAP00000013258
ENSGACP00000008840	ENSMGAP00000013178
ENSGACP00000002008	ENSMGAP00000019100
ENSGACP00000020264	ENSMGAP00000019100
ENSGACP00000024487	ENSMGAP00000000635
ENSGACP00000016443	ENSMGAP00000004610
ENSGACP00000001603	ENSMGAP00000012653
ENSGACP00000004400	ENSMGAP00000001832
ENSGACP00000002449	ENSMGAP00000016476
ENSGACP00000017795	ENSMGAP00000016918
ENSGACP00000008577	ENSMGAP00000014739
ENSGACP00000014042	ENSMGAP00000014119
ENSGACP00000022211	ENSMGAP00000001001
ENSGACP00000022306	ENSMGAP00000003033
ENSGACP00000010264	ENSMGAP00000003033
ENSGACP00000002753	ENSMGAP00000008541
ENSGACP00000018974	ENSMGAP00000008541
ENSGACP00000005959	ENSMGAP00000013101
ENSGACP00000000375	ENSMGAP00000007189
ENSGACP00000006597	ENSMGAP00000012489
ENSGACP00000010692	ENSMGAP00000016613
ENSGACP00000026519	ENSMGAP00000017446
ENSGACP00000008682	ENSMGAP00000011508
ENSGACP00000005161	ENSMGAP00000008285
ENSGACP00000007388	ENSMGAP00000008285
ENSGACP00000018795	ENSMGAP00000016540
ENSGACP00000017675	ENSMGAP00000016540
ENSGACP00000014721	ENSMGAP00000016502
ENSGACP00000014244	ENSMGAP00000014890
ENSGACP00000017970	ENSMGAP00000002153
ENSGACP00000019484	ENSMGAP00000016778
ENSGACP00000003903	ENSMGAP00000011675
ENSGACP00000012200	ENSMGAP00000001256
ENSGACP00000013135	ENSMGAP00000003167
ENSGACP00000008314	ENSMGAP00000005164
ENSGACP00000012097	ENSMGAP00000009162
ENSGACP00000001169	ENSMGAP00000013545
ENSGACP00000021543	ENSMGAP00000010191
ENSGACP00000018244	ENSMGAP00000010191
ENSGACP00000019901	ENSMGAP00000015545
ENSGACP00000006180	ENSMGAP00000011972
ENSGACP00000022296	ENSMGAP00000011984
ENSGACP00000027231	ENSMGAP00000016564
ENSGACP00000024211	ENSMGAP00000008217
ENSGACP00000017006	ENSMGAP00000005117
ENSGACP00000027452	ENSMGAP00000002012
ENSGACP00000011960	ENSMGAP00000002012
ENSGACP00000026588	ENSMGAP00000000216
ENSGACP00000025338	ENSMGAP00000016127
ENSGACP00000017793	ENSMGAP00000008139
ENSGACP00000023189	ENSMGAP00000006078
ENSGACP00000011177	ENSMGAP00000003706
ENSGACP00000023779	ENSMGAP00000005641
ENSGACP00000019973	ENSMGAP00000012850
ENSGACP00000020489	ENSMGAP00000004782
ENSGACP00000020897	ENSMGAP00000001442
ENSGACP00000017336	ENSMGAP00000004252
ENSGACP00000005991	ENSMGAP00000006327
ENSGACP00000012191	ENSMGAP00000012510
ENSGACP00000025880	ENSMGAP00000010204
ENSGACP00000007501	ENSMGAP00000000093
ENSGACP00000024109	ENSMGAP00000010590
ENSGACP00000018128	ENSMGAP00000015510
ENSGACP00000002043	ENSMGAP00000015510
ENSGACP00000020799	ENSMGAP00000018685
ENSGACP00000024862	ENSMGAP00000011843
ENSGACP00000015504	ENSMGAP00000011843
ENSGACP00000006537	ENSMGAP00000002415
ENSGACP00000025821	ENSMGAP00000011255
ENSGACP00000024304	ENSMGAP00000006510
ENSGACP00000018840	ENSMGAP00000001982
ENSGACP00000005377	ENSMGAP00000008387
ENSGACP00000008045	ENSMGAP00000012220
ENSGACP00000012896	ENSMGAP00000006184
ENSGACP00000018088	ENSMGAP00000013994
ENSGACP00000021688	ENSMGAP00000013824
ENSGACP00000009690	ENSMGAP00000010385
ENSGACP00000024244	ENSMGAP00000010385
ENSGACP00000014476	ENSMGAP00000009678
ENSGACP00000004716	ENSMGAP00000003620
ENSGACP00000016729	ENSMGAP00000003620
ENSGACP00000017021	ENSMGAP00000004253
ENSGACP00000025619	ENSMGAP00000004253
ENSGACP00000025783	ENSMGAP00000010772
ENSGACP00000010233	ENSMGAP00000001849
ENSGACP00000020670	ENSMGAP00000008238
ENSGACP00000025655	ENSMGAP00000008109
ENSGACP00000011918	ENSMGAP00000010053
ENSGACP00000020130	ENSMGAP00000015389
ENSGACP00000012509	ENSMGAP00000005912
ENSGACP00000018471	ENSMGAP00000016463
ENSGACP00000026513	ENSMGAP00000009389
ENSGACP00000025784	ENSMGAP00000010752
ENSGACP00000017404	ENSMGAP00000012661
ENSGACP00000018165	ENSMGAP00000015652
ENSGACP00000018515	ENSMGAP00000014301
ENSGACP00000001839	ENSMGAP00000019398
ENSGACP00000017830	ENSMGAP00000004057
ENSGACP00000007489	ENSMGAP00000004057
ENSGACP00000019920	ENSMGAP00000005308
ENSGACP00000017503	ENSMGAP00000010760
ENSGACP00000012970	ENSMGAP00000005234
ENSGACP00000013402	ENSMGAP00000009972
ENSGACP00000009954	ENSMGAP00000013415
ENSGACP00000018668	ENSMGAP00000002486
ENSGACP00000021805	ENSMGAP00000002486
ENSGACP00000004299	ENSMGAP00000006476
ENSGACP00000014369	ENSMGAP00000006476
ENSGACP00000006237	ENSMGAP00000018764
ENSGACP00000005443	ENSMGAP00000017967
ENSGACP00000002260	ENSMGAP00000013100
ENSGACP00000021060	ENSMGAP00000013100
ENSGACP00000023831	ENSMGAP00000004094
ENSGACP00000006965	ENSMGAP00000000982
ENSGACP00000011463	ENSMGAP00000013355
ENSGACP00000018198	ENSMGAP00000014269
ENSGACP00000018201	ENSMGAP00000016333
ENSGACP00000027317	ENSMGAP00000000442
ENSGACP00000024692	ENSMGAP00000000442
ENSGACP00000024629	ENSMGAP00000019656
ENSGACP00000004301	ENSMGAP00000004127
ENSGACP00000001254	ENSMGAP00000012977
ENSGACP00000019479	ENSMGAP00000003886
ENSGACP00000007449	ENSMGAP00000013259
ENSGACP00000024316	ENSMGAP00000002770
ENSGACP00000018636	ENSMGAP00000018043
ENSGACP00000014813	ENSMGAP00000012211
ENSGACP00000012940	ENSMGAP00000012211
ENSGACP00000018529	ENSMGAP00000015592
ENSGACP00000027515	ENSMGAP00000002007
ENSGACP00000024145	ENSMGAP00000004463
ENSGACP00000027346	ENSMGAP00000019101
ENSGACP00000009087	ENSMGAP00000016297
ENSGACP00000012574	ENSMGAP00000016297
ENSGACP00000020842	ENSMGAP00000019793
ENSGACP00000005505	ENSMGAP00000012581
ENSGACP00000024440	ENSMGAP00000004473
ENSGACP00000026276	ENSMGAP00000003508
ENSGACP00000015946	ENSMGAP00000004807
ENSGACP00000001938	ENSMGAP00000013791
ENSGACP00000006224	ENSMGAP00000013791
ENSGACP00000005037	ENSMGAP00000000027
ENSGACP00000013924	ENSMGAP00000012876
ENSGACP00000010599	ENSMGAP00000015915
ENSGACP00000024535	ENSMGAP00000001173
ENSGACP00000000649	ENSMGAP00000010235
ENSGACP00000005287	ENSMGAP00000004730
ENSGACP00000004652	ENSMGAP00000016376
ENSGACP00000011773	ENSMGAP00000014813
ENSGACP00000001902	ENSMGAP00000014813
ENSGACP00000020875	ENSMGAP00000005336
ENSGACP00000008119	ENSMGAP00000005336
ENSGACP00000023677	ENSMGAP00000001050
ENSGACP00000016946	ENSMGAP00000007747
ENSGACP00000015043	ENSMGAP00000014901
ENSGACP00000005110	ENSMGAP00000014586
ENSGACP00000004505	ENSMGAP00000005554
ENSGACP00000005117	ENSMGAP00000014588
ENSGACP00000011266	ENSMGAP00000016935
ENSGACP00000010662	ENSMGAP00000019724
ENSGACP00000022320	ENSMGAP00000016396
ENSGACP00000016051	ENSMGAP00000016112
ENSGACP00000011864	ENSMGAP00000006399
ENSGACP00000009673	ENSMGAP00000013078
ENSGACP00000021277	ENSMGAP00000012813
ENSGACP00000020609	ENSMGAP00000002909
ENSGACP00000011319	ENSMGAP00000005035
ENSGACP00000001851	ENSMGAP00000000506
ENSGACP00000017272	ENSMGAP00000013865
ENSGACP00000007140	ENSMGAP00000004858
ENSGACP00000014491	ENSMGAP00000013836
ENSGACP00000004396	ENSMGAP00000011907
ENSGACP00000015549	ENSMGAP00000001650
ENSGACP00000006310	ENSMGAP00000016328
ENSGACP00000020864	ENSMGAP00000005225
ENSGACP00000004308	ENSMGAP00000015186
ENSGACP00000010443	ENSMGAP00000012646
ENSGACP00000005665	ENSMGAP00000008509
ENSGACP00000020470	ENSMGAP00000019725
ENSGACP00000019099	ENSMGAP00000009555
ENSGACP00000012078	ENSMGAP00000013382
ENSGACP00000019681	ENSMGAP00000004401
ENSGACP00000012185	ENSMGAP00000008088
ENSGACP00000025799	ENSMGAP00000019471
ENSGACP00000015027	ENSMGAP00000009424
ENSGACP00000027215	ENSMGAP00000015369
ENSGACP00000023573	ENSMGAP00000013135
ENSGACP00000004951	ENSMGAP00000002489
ENSGACP00000014216	ENSMGAP00000007490
ENSGACP00000003479	ENSMGAP00000012357
ENSGACP00000006344	ENSMGAP00000011351
ENSGACP00000022496	ENSMGAP00000013257
ENSGACP00000026186	ENSMGAP00000011780
ENSGACP00000005348	ENSMGAP00000004285
ENSGACP00000021898	ENSMGAP00000019716
ENSGACP00000001718	ENSMGAP00000010528
ENSGACP00000022705	ENSMGAP00000013756
ENSGACP00000005711	ENSMGAP00000007108
ENSGACP00000016377	ENSMGAP00000014868
ENSGACP00000004496	ENSMGAP00000008611
ENSGACP00000020198	ENSMGAP00000015731
ENSGACP00000020186	ENSMGAP00000015252
ENSGACP00000022675	ENSMGAP00000004000
ENSGACP00000018588	ENSMGAP00000008120
ENSGACP00000007404	ENSMGAP00000013250
ENSGACP00000006246	ENSMGAP00000010146
ENSGACP00000013276	ENSMGAP00000002384
ENSGACP00000013384	ENSMGAP00000001221
ENSGACP00000011576	ENSMGAP00000008028
ENSGACP00000004506	ENSMGAP00000012193
ENSGACP00000005880	ENSMGAP00000014974
ENSGACP00000012787	ENSMGAP00000007754
ENSGACP00000014465	ENSMGAP00000000290
ENSGACP00000011240	ENSMGAP00000003868
ENSGACP00000002795	ENSMGAP00000001000
ENSGACP00000004027	ENSMGAP00000006830
ENSGACP00000026277	ENSMGAP00000013828
ENSGACP00000011227	ENSMGAP00000004636
ENSGACP00000014608	ENSMGAP00000013793
ENSGACP00000015554	ENSMGAP00000000676
ENSGACP00000006116	ENSMGAP00000012508
ENSGACP00000004049	ENSMGAP00000000248
ENSGACP00000008028	ENSMGAP00000001945
ENSGACP00000009057	ENSMGAP00000001945
ENSGACP00000019425	ENSMGAP00000000851
ENSGACP00000006710	ENSMGAP00000000851
ENSGACP00000023901	ENSMGAP00000002626
ENSGACP00000021583	ENSMGAP00000009083
ENSGACP00000013045	ENSMGAP00000003009
ENSGACP00000016188	ENSMGAP00000001474
ENSGACP00000023247	ENSMGAP00000001474
ENSGACP00000025517	ENSMGAP00000018847
ENSGACP00000016650	ENSMGAP00000007027
ENSGACP00000021837	ENSMGAP00000005405
ENSGACP00000024331	ENSMGAP00000004435
ENSGACP00000013671	ENSMGAP00000015007
ENSGACP00000002565	ENSMGAP00000015007
ENSGACP00000024214	ENSMGAP00000003264
ENSGACP00000011090	ENSMGAP00000004133
ENSGACP00000026558	ENSMGAP00000015215
ENSGACP00000013855	ENSMGAP00000015215
ENSGACP00000004675	ENSMGAP00000011344
ENSGACP00000012315	ENSMGAP00000015043
ENSGACP00000027370	ENSMGAP00000016256
ENSGACP00000027344	ENSMGAP00000015542
ENSGACP00000016919	ENSMGAP00000015542
ENSGACP00000004820	ENSMGAP00000008279
ENSGACP00000008108	ENSMGAP00000008279
ENSGACP00000005284	ENSMGAP00000012242
ENSGACP00000017040	ENSMGAP00000001321
ENSGACP00000018082	ENSMGAP00000010758
ENSGACP00000026828	ENSMGAP00000010758
ENSGACP00000011943	ENSMGAP00000009096
ENSGACP00000018502	ENSMGAP00000011352
ENSGACP00000017683	ENSMGAP00000011352
ENSGACP00000010404	ENSMGAP00000013417
ENSGACP00000021790	ENSMGAP00000016473
ENSGACP00000023120	ENSMGAP00000005859
ENSGACP00000015623	ENSMGAP00000014583
ENSGACP00000001925	ENSMGAP00000008656
ENSGACP00000023095	ENSMGAP00000009792
ENSGACP00000009306	ENSMGAP00000007524
ENSGACP00000011195	ENSMGAP00000003840
ENSGACP00000012169	ENSMGAP00000005571
ENSGACP00000016710	ENSMGAP00000001535
ENSGACP00000007461	ENSMGAP00000013762
ENSGACP00000014562	ENSMGAP00000006491
ENSGACP00000012791	ENSMGAP00000006491
ENSGACP00000010469	ENSMGAP00000003657
ENSGACP00000014777	ENSMGAP00000000773
ENSGACP00000015486	ENSMGAP00000011821
ENSGACP00000020101	ENSMGAP00000000524
ENSGACP00000011272	ENSMGAP00000000524
ENSGACP00000013031	ENSMGAP00000004047
ENSGACP00000010397	ENSMGAP00000005686
ENSGACP00000021892	ENSMGAP00000009715
ENSGACP00000013764	ENSMGAP00000017838
ENSGACP00000011635	ENSMGAP00000006722
ENSGACP00000027165	ENSMGAP00000015999
ENSGACP00000022321	ENSMGAP00000007487
ENSGACP00000015599	ENSMGAP00000014581
ENSGACP00000009111	ENSMGAP00000014581
ENSGACP00000003655	ENSMGAP00000015192
ENSGACP00000027443	ENSMGAP00000001164
ENSGACP00000017339	ENSMGAP00000003930
ENSGACP00000002082	ENSMGAP00000005656
ENSGACP00000022721	ENSMGAP00000011304
ENSGACP00000016053	ENSMGAP00000000995
ENSGACP00000019416	ENSMGAP00000008990
ENSGACP00000018866	ENSMGAP00000006651
ENSGACP00000011222	ENSMGAP00000018705
ENSGACP00000006296	ENSMGAP00000019034
ENSGACP00000000094	ENSMGAP00000005605
ENSGACP00000002078	ENSMGAP00000005605
ENSGACP00000027458	ENSMGAP00000003181
ENSGACP00000015698	ENSMGAP00000004139
ENSGACP00000007562	ENSMGAP00000009002
ENSGACP00000004036	ENSMGAP00000012207
ENSGACP00000009450	ENSMGAP00000012207
ENSGACP00000020765	ENSMGAP00000006713
ENSGACP00000010655	ENSMGAP00000011591
ENSGACP00000002882	ENSMGAP00000005011
ENSGACP00000020581	ENSMGAP00000004387
ENSGACP00000013745	ENSMGAP00000013718
ENSGACP00000017432	ENSMGAP00000013719
ENSGACP00000014668	ENSMGAP00000012080
ENSGACP00000010580	ENSMGAP00000000410
ENSGACP00000005565	ENSMGAP00000000410
ENSGACP00000020654	ENSMGAP00000007326
ENSGACP00000027493	ENSMGAP00000004464
ENSGACP00000013219	ENSMGAP00000004464
ENSGACP00000015861	ENSMGAP00000008763
ENSGACP00000010877	ENSMGAP00000017383
ENSGACP00000025518	ENSMGAP00000013039
ENSGACP00000023167	ENSMGAP00000001196
ENSGACP00000010597	ENSMGAP00000006635
ENSGACP00000010030	ENSMGAP00000006635
ENSGACP00000001112	ENSMGAP00000006620
ENSGACP00000006168	ENSMGAP00000003435
ENSGACP00000016481	ENSMGAP00000008227
ENSGACP00000027380	ENSMGAP00000002168
ENSGACP00000021416	ENSMGAP00000008686
ENSGACP00000005434	ENSMGAP00000009545
ENSGACP00000024965	ENSMGAP00000009545
ENSGACP00000026245	ENSMGAP00000013108
ENSGACP00000002687	ENSMGAP00000009396
ENSGACP00000008820	ENSMGAP00000019583
ENSGACP00000019908	ENSMGAP00000005176
ENSGACP00000013177	ENSMGAP00000005176
ENSGACP00000003850	ENSMGAP00000010764
ENSGACP00000000634	ENSMGAP00000009111
ENSGACP00000022492	ENSMGAP00000013255
ENSGACP00000025366	ENSMGAP00000007872
ENSGACP00000008597	ENSMGAP00000014186
ENSGACP00000023345	ENSMGAP00000005922
ENSGACP00000022364	ENSMGAP00000002307
ENSGACP00000018447	ENSMGAP00000009480
ENSGACP00000007859	ENSMGAP00000012609
ENSGACP00000014404	ENSMGAP00000001626
ENSGACP00000018947	ENSMGAP00000002577
ENSGACP00000008704	ENSMGAP00000013904
ENSGACP00000018027	ENSMGAP00000005699
ENSGACP00000005504	ENSMGAP00000015798
ENSGACP00000011616	ENSMGAP00000003045
ENSGACP00000008220	ENSMGAP00000003045
ENSGACP00000024206	ENSMGAP00000000651
ENSGACP00000027573	ENSMGAP00000016259
ENSGACP00000002720	ENSMGAP00000002908
ENSGACP00000020893	ENSMGAP00000005588
ENSGACP00000008121	ENSMGAP00000018853
ENSGACP00000023745	ENSMGAP00000013936
ENSGACP00000016840	ENSMGAP00000005135
ENSGACP00000026488	ENSMGAP00000005135
ENSGACP00000010328	ENSMGAP00000004009
ENSGACP00000020336	ENSMGAP00000006425
ENSGACP00000025058	ENSMGAP00000014659
ENSGACP00000004917	ENSMGAP00000014660
ENSGACP00000007066	ENSMGAP00000002728
ENSGACP00000014802	ENSMGAP00000012201
ENSGACP00000000923	ENSMGAP00000002495
