ENSGALP00000006197	ENSDARP00000074624
ENSGALP00000024210	ENSDARP00000095532
ENSGALP00000012547	ENSDARP00000106117
ENSGALP00000002007	ENSDARP00000027246
ENSGALP00000008535	ENSDARP00000105716
ENSGALP00000012332	ENSDARP00000068911
ENSGALP00000009853	ENSDARP00000039571
ENSGALP00000003974	ENSDARP00000023819
ENSGALP00000018342	ENSDARP00000071058
ENSGALP00000001845	ENSDARP00000090113
ENSGALP00000002196	ENSDARP00000065447
ENSGALP00000025639	ENSDARP00000003282
ENSGALP00000006574	ENSDARP00000056094
ENSGALP00000027249	ENSDARP00000060245
ENSGALP00000001190	ENSDARP00000059477
ENSGALP00000032932	ENSDARP00000096527
ENSGALP00000033782	ENSDARP00000101751
ENSGALP00000042472	ENSDARP00000114374
ENSGALP00000042331	ENSDARP00000073314
ENSGALP00000031379	ENSDARP00000069096
ENSGALP00000010650	ENSDARP00000025192
ENSGALP00000005274	ENSDARP00000105458
ENSGALP00000007498	ENSDARP00000007713
ENSGALP00000042829	ENSDARP00000105060
ENSGALP00000038432	ENSDARP00000016900
ENSGALP00000043020	ENSDARP00000117888
ENSGALP00000043153	ENSDARP00000109243
ENSGALP00000013443	ENSDARP00000103811
ENSGALP00000031994	ENSDARP00000094760
ENSGALP00000022392	ENSDARP00000067160
ENSGALP00000007680	ENSDARP00000091899
ENSGALP00000017444	ENSDARP00000061842
ENSGALP00000018695	ENSDARP00000123149
ENSGALP00000019678	ENSDARP00000113739
ENSGALP00000012194	ENSDARP00000077125
ENSGALP00000013593	ENSDARP00000118062
ENSGALP00000025328	ENSDARP00000034439
ENSGALP00000016751	ENSDARP00000129857
ENSGALP00000043371	ENSDARP00000076455
ENSGALP00000042002	ENSDARP00000067387
ENSGALP00000003014	ENSDARP00000094505
ENSGALP00000003914	ENSDARP00000005930
ENSGALP00000003914	ENSDARP00000015132
ENSGALP00000006366	ENSDARP00000120028
ENSGALP00000012503	ENSDARP00000085557
ENSGALP00000001456	ENSDARP00000028033
ENSGALP00000014944	ENSDARP00000003339
ENSGALP00000014944	ENSDARP00000002686
ENSGALP00000016098	ENSDARP00000011326
ENSGALP00000016098	ENSDARP00000055414
ENSGALP00000042526	ENSDARP00000124593
ENSGALP00000021030	ENSDARP00000051678
ENSGALP00000039539	ENSDARP00000116404
ENSGALP00000039539	ENSDARP00000112758
ENSGALP00000018146	ENSDARP00000097929
ENSGALP00000018146	ENSDARP00000095769
ENSGALP00000014492	ENSDARP00000126389
ENSGALP00000015506	ENSDARP00000053000
ENSGALP00000009207	ENSDARP00000050005
ENSGALP00000009207	ENSDARP00000044008
ENSGALP00000042292	ENSDARP00000009775
ENSGALP00000024202	ENSDARP00000101496
ENSGALP00000042771	ENSDARP00000120695
ENSGALP00000005425	ENSDARP00000098728
ENSGALP00000009956	ENSDARP00000089201
ENSGALP00000007884	ENSDARP00000021199
ENSGALP00000007884	ENSDARP00000104913
ENSGALP00000008218	ENSDARP00000033806
ENSGALP00000008592	ENSDARP00000103284
ENSGALP00000009829	ENSDARP00000111738
ENSGALP00000012455	ENSDARP00000008181
ENSGALP00000012455	ENSDARP00000101177
ENSGALP00000014651	ENSDARP00000039104
ENSGALP00000023475	ENSDARP00000031504
ENSGALP00000024389	ENSDARP00000117816
ENSGALP00000024389	ENSDARP00000022273
ENSGALP00000010777	ENSDARP00000083939
ENSGALP00000013991	ENSDARP00000091498
ENSGALP00000041043	ENSDARP00000029899
ENSGALP00000020594	ENSDARP00000086682
ENSGALP00000018936	ENSDARP00000083546
ENSGALP00000018936	ENSDARP00000077824
ENSGALP00000019402	ENSDARP00000032935
ENSGALP00000042166	ENSDARP00000024217
ENSGALP00000042166	ENSDARP00000010177
ENSGALP00000022807	ENSDARP00000108359
ENSGALP00000040953	ENSDARP00000032457
ENSGALP00000000309	ENSDARP00000036535
ENSGALP00000000309	ENSDARP00000038022
ENSGALP00000017040	ENSDARP00000117263
ENSGALP00000017040	ENSDARP00000108413
ENSGALP00000025633	ENSDARP00000084529
ENSGALP00000003577	ENSDARP00000126735
ENSGALP00000040299	ENSDARP00000125833
ENSGALP00000042741	ENSDARP00000110357
ENSGALP00000042741	ENSDARP00000105934
ENSGALP00000038659	ENSDARP00000074299
ENSGALP00000040713	ENSDARP00000089126
ENSGALP00000008458	ENSDARP00000004962
ENSGALP00000008458	ENSDARP00000045613
ENSGALP00000003960	ENSDARP00000058406
ENSGALP00000020568	ENSDARP00000122740
ENSGALP00000020568	ENSDARP00000087948
ENSGALP00000038609	ENSDARP00000092407
ENSGALP00000041684	ENSDARP00000096190
ENSGALP00000041684	ENSDARP00000045367
ENSGALP00000028292	ENSDARP00000116371
ENSGALP00000042500	ENSDARP00000071507
ENSGALP00000042500	ENSDARP00000037509
ENSGALP00000019783	ENSDARP00000053576
ENSGALP00000016774	ENSDARP00000095598
ENSGALP00000032433	ENSDARP00000074434
ENSGALP00000002822	ENSDARP00000055237
ENSGALP00000043234	ENSDARP00000003030
ENSGALP00000006041	ENSDARP00000094606
ENSGALP00000006041	ENSDARP00000107097
ENSGALP00000026524	ENSDARP00000039965
ENSGALP00000026524	ENSDARP00000115075
ENSGALP00000010653	ENSDARP00000110319
ENSGALP00000042683	ENSDARP00000120295
ENSGALP00000042683	ENSDARP00000017420
ENSGALP00000016509	ENSDARP00000041411
ENSGALP00000016615	ENSDARP00000127179
ENSGALP00000042035	ENSDARP00000102952
ENSGALP00000023016	ENSDARP00000102678
ENSGALP00000023016	ENSDARP00000098825
ENSGALP00000027304	ENSDARP00000027005
ENSGALP00000027304	ENSDARP00000115656
ENSGALP00000027893	ENSDARP00000125484
ENSGALP00000039164	ENSDARP00000121945
ENSGALP00000003885	ENSDARP00000106001
ENSGALP00000003885	ENSDARP00000061469
ENSGALP00000041037	ENSDARP00000070219
ENSGALP00000040818	ENSDARP00000075798
ENSGALP00000010636	ENSDARP00000096546
ENSGALP00000007220	ENSDARP00000040234
ENSGALP00000007220	ENSDARP00000105974
ENSGALP00000000716	ENSDARP00000031129
ENSGALP00000024440	ENSDARP00000066085
ENSGALP00000022437	ENSDARP00000072529
ENSGALP00000020039	ENSDARP00000110897
ENSGALP00000006826	ENSDARP00000104580
ENSGALP00000001352	ENSDARP00000072463
ENSGALP00000001352	ENSDARP00000102223
ENSGALP00000022203	ENSDARP00000124312
ENSGALP00000018557	ENSDARP00000004965
ENSGALP00000006604	ENSDARP00000121211
ENSGALP00000023615	ENSDARP00000112065
ENSGALP00000035402	ENSDARP00000018103
ENSGALP00000035402	ENSDARP00000101911
ENSGALP00000023673	ENSDARP00000024380
ENSGALP00000000549	ENSDARP00000012359
ENSGALP00000015910	ENSDARP00000071943
ENSGALP00000014367	ENSDARP00000065238
ENSGALP00000027365	ENSDARP00000055871
ENSGALP00000015801	ENSDARP00000020465
ENSGALP00000022963	ENSDARP00000105407
ENSGALP00000009219	ENSDARP00000090877
ENSGALP00000009219	ENSDARP00000074350
ENSGALP00000004108	ENSDARP00000025016
ENSGALP00000004108	ENSDARP00000065376
ENSGALP00000025808	ENSDARP00000050749
ENSGALP00000001483	ENSDARP00000070408
ENSGALP00000019532	ENSDARP00000100689
ENSGALP00000003481	ENSDARP00000110581
ENSGALP00000006600	ENSDARP00000104098
ENSGALP00000016784	ENSDARP00000058706
ENSGALP00000020141	ENSDARP00000025170
ENSGALP00000042738	ENSDARP00000083760
ENSGALP00000042738	ENSDARP00000083554
ENSGALP00000006158	ENSDARP00000046114
ENSGALP00000006158	ENSDARP00000047460
ENSGALP00000026564	ENSDARP00000123567
ENSGALP00000032354	ENSDARP00000078341
ENSGALP00000032354	ENSDARP00000115966
ENSGALP00000014374	ENSDARP00000023121
ENSGALP00000013910	ENSDARP00000116491
ENSGALP00000010925	ENSDARP00000112410
ENSGALP00000042645	ENSDARP00000005265
ENSGALP00000003920	ENSDARP00000076823
ENSGALP00000035959	ENSDARP00000053151
ENSGALP00000025411	ENSDARP00000040679
ENSGALP00000031600	ENSDARP00000124436
ENSGALP00000022289	ENSDARP00000039968
ENSGALP00000022289	ENSDARP00000005218
ENSGALP00000008118	ENSDARP00000119611
ENSGALP00000008118	ENSDARP00000114641
ENSGALP00000042026	ENSDARP00000104833
ENSGALP00000023121	ENSDARP00000104388
ENSGALP00000016069	ENSDARP00000006095
ENSGALP00000020562	ENSDARP00000019407
ENSGALP00000015735	ENSDARP00000041626
ENSGALP00000019653	ENSDARP00000013520
ENSGALP00000020457	ENSDARP00000120315
ENSGALP00000038356	ENSDARP00000055793
ENSGALP00000025667	ENSDARP00000120710
ENSGALP00000029073	ENSDARP00000053471
ENSGALP00000025131	ENSDARP00000112413
ENSGALP00000025131	ENSDARP00000123191
ENSGALP00000016144	ENSDARP00000108555
ENSGALP00000000906	ENSDARP00000074651
ENSGALP00000005116	ENSDARP00000070307
ENSGALP00000019134	ENSDARP00000116677
ENSGALP00000014900	ENSDARP00000076266
ENSGALP00000002312	ENSDARP00000018050
ENSGALP00000002312	ENSDARP00000112091
ENSGALP00000025846	ENSDARP00000032745
ENSGALP00000025846	ENSDARP00000104898
ENSGALP00000019576	ENSDARP00000082671
ENSGALP00000042931	ENSDARP00000127076
ENSGALP00000042931	ENSDARP00000117694
ENSGALP00000012736	ENSDARP00000015948
ENSGALP00000036764	ENSDARP00000053857
ENSGALP00000009946	ENSDARP00000098005
ENSGALP00000009946	ENSDARP00000110778
ENSGALP00000039699	ENSDARP00000103348
ENSGALP00000024592	ENSDARP00000097491
ENSGALP00000013649	ENSDARP00000097715
ENSGALP00000014693	ENSDARP00000047551
ENSGALP00000022566	ENSDARP00000065584
ENSGALP00000006394	ENSDARP00000003845
ENSGALP00000011491	ENSDARP00000002122
ENSGALP00000032512	ENSDARP00000070658
ENSGALP00000005783	ENSDARP00000041706
ENSGALP00000005783	ENSDARP00000065142
ENSGALP00000013413	ENSDARP00000094239
ENSGALP00000012838	ENSDARP00000073973
ENSGALP00000011585	ENSDARP00000018692
ENSGALP00000017886	ENSDARP00000023325
ENSGALP00000016899	ENSDARP00000011663
ENSGALP00000026303	ENSDARP00000053616
ENSGALP00000036118	ENSDARP00000083972
ENSGALP00000036118	ENSDARP00000081302
ENSGALP00000020850	ENSDARP00000086954
ENSGALP00000020850	ENSDARP00000118005
ENSGALP00000019590	ENSDARP00000084830
ENSGALP00000018482	ENSDARP00000121615
ENSGALP00000010488	ENSDARP00000055241
ENSGALP00000001751	ENSDARP00000003032
ENSGALP00000001751	ENSDARP00000055681
ENSGALP00000006218	ENSDARP00000020578
ENSGALP00000020731	ENSDARP00000067534
ENSGALP00000022336	ENSDARP00000093842
ENSGALP00000015991	ENSDARP00000108775
ENSGALP00000015991	ENSDARP00000075137
ENSGALP00000006690	ENSDARP00000054352
ENSGALP00000006690	ENSDARP00000059532
ENSGALP00000027982	ENSDARP00000080300
ENSGALP00000023141	ENSDARP00000012749
ENSGALP00000023141	ENSDARP00000099365
ENSGALP00000039598	ENSDARP00000005911
ENSGALP00000030590	ENSDARP00000011600
ENSGALP00000009982	ENSDARP00000062715
ENSGALP00000038884	ENSDARP00000092565
ENSGALP00000038884	ENSDARP00000011656
ENSGALP00000013788	ENSDARP00000004327
ENSGALP00000010894	ENSDARP00000114888
ENSGALP00000018295	ENSDARP00000109449
ENSGALP00000020585	ENSDARP00000007173
ENSGALP00000037894	ENSDARP00000111196
ENSGALP00000008346	ENSDARP00000069454
ENSGALP00000008346	ENSDARP00000126873
ENSGALP00000011549	ENSDARP00000106182
ENSGALP00000042363	ENSDARP00000029876
ENSGALP00000022328	ENSDARP00000064699
ENSGALP00000020744	ENSDARP00000013441
ENSGALP00000038731	ENSDARP00000099285
ENSGALP00000043401	ENSDARP00000102405
ENSGALP00000043289	ENSDARP00000129625
ENSGALP00000006259	ENSDARP00000058490
ENSGALP00000013410	ENSDARP00000088098
ENSGALP00000022839	ENSDARP00000128680
ENSGALP00000016414	ENSDARP00000106936
ENSGALP00000017553	ENSDARP00000123337
ENSGALP00000032837	ENSDARP00000002262
ENSGALP00000032837	ENSDARP00000022789
ENSGALP00000038278	ENSDARP00000010986
ENSGALP00000042855	ENSDARP00000119262
ENSGALP00000007834	ENSDARP00000076941
ENSGALP00000000509	ENSDARP00000121443
ENSGALP00000012348	ENSDARP00000107739
ENSGALP00000003137	ENSDARP00000080000
ENSGALP00000018823	ENSDARP00000043111
ENSGALP00000013442	ENSDARP00000120378
ENSGALP00000025075	ENSDARP00000082574
ENSGALP00000025075	ENSDARP00000123438
ENSGALP00000012646	ENSDARP00000064877
ENSGALP00000016333	ENSDARP00000094438
ENSGALP00000008837	ENSDARP00000068664
ENSGALP00000011983	ENSDARP00000071920
ENSGALP00000012748	ENSDARP00000098032
ENSGALP00000009699	ENSDARP00000105520
ENSGALP00000015596	ENSDARP00000017335
ENSGALP00000041366	ENSDARP00000057600
ENSGALP00000029968	ENSDARP00000003700
ENSGALP00000000170	ENSDARP00000061000
ENSGALP00000014375	ENSDARP00000115792
ENSGALP00000038292	ENSDARP00000058335
ENSGALP00000038292	ENSDARP00000041596
ENSGALP00000040862	ENSDARP00000102537
ENSGALP00000000528	ENSDARP00000089741
ENSGALP00000000528	ENSDARP00000015591
ENSGALP00000042469	ENSDARP00000078114
ENSGALP00000012380	ENSDARP00000107576
ENSGALP00000022380	ENSDARP00000076958
ENSGALP00000026483	ENSDARP00000094151
ENSGALP00000024137	ENSDARP00000080329
ENSGALP00000024827	ENSDARP00000075369
ENSGALP00000037772	ENSDARP00000064143
ENSGALP00000041243	ENSDARP00000088265
ENSGALP00000026998	ENSDARP00000091535
ENSGALP00000026998	ENSDARP00000116716
ENSGALP00000016043	ENSDARP00000113043
ENSGALP00000003693	ENSDARP00000001250
ENSGALP00000005417	ENSDARP00000099444
ENSGALP00000027247	ENSDARP00000108742
ENSGALP00000040466	ENSDARP00000107250
ENSGALP00000004959	ENSDARP00000003298
ENSGALP00000011182	ENSDARP00000059375
ENSGALP00000008491	ENSDARP00000018669
ENSGALP00000008491	ENSDARP00000006004
ENSGALP00000022235	ENSDARP00000120032
ENSGALP00000015502	ENSDARP00000044875
ENSGALP00000015502	ENSDARP00000124527
ENSGALP00000017386	ENSDARP00000028137
ENSGALP00000011342	ENSDARP00000125930
ENSGALP00000024803	ENSDARP00000103810
ENSGALP00000043242	ENSDARP00000041264
ENSGALP00000014526	ENSDARP00000103303
ENSGALP00000013696	ENSDARP00000091840
ENSGALP00000012561	ENSDARP00000047815
ENSGALP00000017440	ENSDARP00000115940
ENSGALP00000017440	ENSDARP00000076280
ENSGALP00000006624	ENSDARP00000072602
ENSGALP00000026015	ENSDARP00000033600
ENSGALP00000014415	ENSDARP00000066255
ENSGALP00000015493	ENSDARP00000057378
ENSGALP00000018640	ENSDARP00000128573
ENSGALP00000039995	ENSDARP00000005640
ENSGALP00000026539	ENSDARP00000081013
ENSGALP00000000832	ENSDARP00000105558
ENSGALP00000001940	ENSDARP00000104354
ENSGALP00000001940	ENSDARP00000097702
ENSGALP00000005762	ENSDARP00000082020
ENSGALP00000032234	ENSDARP00000117451
ENSGALP00000022157	ENSDARP00000059657
ENSGALP00000003331	ENSDARP00000087095
ENSGALP00000011141	ENSDARP00000094307
ENSGALP00000011141	ENSDARP00000005001
ENSGALP00000027322	ENSDARP00000091844
ENSGALP00000027322	ENSDARP00000008927
ENSGALP00000004614	ENSDARP00000082000
ENSGALP00000016152	ENSDARP00000070818
ENSGALP00000041816	ENSDARP00000105446
ENSGALP00000027417	ENSDARP00000053239
ENSGALP00000043071	ENSDARP00000083309
ENSGALP00000041108	ENSDARP00000092405
ENSGALP00000031296	ENSDARP00000121111
ENSGALP00000016785	ENSDARP00000014497
ENSGALP00000035686	ENSDARP00000081505
ENSGALP00000035686	ENSDARP00000018627
ENSGALP00000010201	ENSDARP00000096711
ENSGALP00000027522	ENSDARP00000127502
ENSGALP00000023052	ENSDARP00000082092
ENSGALP00000004568	ENSDARP00000002180
ENSGALP00000037437	ENSDARP00000105810
ENSGALP00000037704	ENSDARP00000127185
ENSGALP00000037704	ENSDARP00000058039
ENSGALP00000009832	ENSDARP00000068571
ENSGALP00000040227	ENSDARP00000124697
ENSGALP00000022657	ENSDARP00000118448
ENSGALP00000009023	ENSDARP00000128726
ENSGALP00000022696	ENSDARP00000108052
ENSGALP00000022696	ENSDARP00000067038
ENSGALP00000011120	ENSDARP00000027148
ENSGALP00000027679	ENSDARP00000079150
ENSGALP00000002583	ENSDARP00000093676
ENSGALP00000017330	ENSDARP00000014236
ENSGALP00000018883	ENSDARP00000029733
ENSGALP00000018883	ENSDARP00000012417
ENSGALP00000017202	ENSDARP00000007548
ENSGALP00000007055	ENSDARP00000040408
ENSGALP00000007055	ENSDARP00000107231
ENSGALP00000008018	ENSDARP00000101283
ENSGALP00000013932	ENSDARP00000037620
ENSGALP00000016566	ENSDARP00000118651
ENSGALP00000016566	ENSDARP00000069996
ENSGALP00000042618	ENSDARP00000110449
ENSGALP00000026537	ENSDARP00000006123
ENSGALP00000041648	ENSDARP00000052079
ENSGALP00000025684	ENSDARP00000116021
ENSGALP00000017221	ENSDARP00000120504
ENSGALP00000017221	ENSDARP00000086731
ENSGALP00000016953	ENSDARP00000109454
ENSGALP00000009263	ENSDARP00000031794
ENSGALP00000009263	ENSDARP00000014240
ENSGALP00000005362	ENSDARP00000051814
ENSGALP00000003923	ENSDARP00000061202
ENSGALP00000037931	ENSDARP00000070535
ENSGALP00000008220	ENSDARP00000092482
ENSGALP00000005129	ENSDARP00000010750
ENSGALP00000027682	ENSDARP00000108599
ENSGALP00000010742	ENSDARP00000039201
ENSGALP00000010742	ENSDARP00000093207
ENSGALP00000009322	ENSDARP00000102085
ENSGALP00000001108	ENSDARP00000065867
ENSGALP00000012615	ENSDARP00000085602
ENSGALP00000037478	ENSDARP00000086756
ENSGALP00000037478	ENSDARP00000123065
ENSGALP00000026558	ENSDARP00000079851
ENSGALP00000026359	ENSDARP00000098579
ENSGALP00000007187	ENSDARP00000123285
ENSGALP00000005972	ENSDARP00000084804
ENSGALP00000024186	ENSDARP00000028523
ENSGALP00000008227	ENSDARP00000107862
ENSGALP00000013268	ENSDARP00000127746
ENSGALP00000011700	ENSDARP00000129550
ENSGALP00000020415	ENSDARP00000023970
ENSGALP00000005996	ENSDARP00000112550
ENSGALP00000006621	ENSDARP00000101817
ENSGALP00000002707	ENSDARP00000128952
ENSGALP00000002707	ENSDARP00000099798
ENSGALP00000041034	ENSDARP00000067426
ENSGALP00000040443	ENSDARP00000103910
ENSGALP00000001997	ENSDARP00000100272
ENSGALP00000012210	ENSDARP00000040864
ENSGALP00000036474	ENSDARP00000005394
ENSGALP00000021359	ENSDARP00000018030
ENSGALP00000017999	ENSDARP00000106053
ENSGALP00000017999	ENSDARP00000126238
ENSGALP00000037663	ENSDARP00000127340
ENSGALP00000006919	ENSDARP00000066049
ENSGALP00000013307	ENSDARP00000050830
ENSGALP00000042685	ENSDARP00000094107
ENSGALP00000029342	ENSDARP00000107312
ENSGALP00000019816	ENSDARP00000038769
ENSGALP00000001850	ENSDARP00000039362
ENSGALP00000026170	ENSDARP00000067821
ENSGALP00000031152	ENSDARP00000067481
ENSGALP00000025015	ENSDARP00000012853
ENSGALP00000022832	ENSDARP00000124661
ENSGALP00000005392	ENSDARP00000101150
ENSGALP00000016394	ENSDARP00000080991
ENSGALP00000016394	ENSDARP00000110489
ENSGALP00000017586	ENSDARP00000117288
ENSGALP00000037084	ENSDARP00000100481
ENSGALP00000020328	ENSDARP00000016515
ENSGALP00000011428	ENSDARP00000066835
ENSGALP00000008079	ENSDARP00000069223
ENSGALP00000015741	ENSDARP00000127247
ENSGALP00000023837	ENSDARP00000030237
ENSGALP00000002564	ENSDARP00000088460
ENSGALP00000040201	ENSDARP00000073671
ENSGALP00000040201	ENSDARP00000111728
ENSGALP00000000495	ENSDARP00000011199
ENSGALP00000000495	ENSDARP00000075790
ENSGALP00000008696	ENSDARP00000089411
ENSGALP00000022159	ENSDARP00000087385
ENSGALP00000009312	ENSDARP00000102961
ENSGALP00000027305	ENSDARP00000095097
ENSGALP00000023022	ENSDARP00000034536
ENSGALP00000041318	ENSDARP00000055018
ENSGALP00000034072	ENSDARP00000122142
ENSGALP00000008073	ENSDARP00000083511
ENSGALP00000030426	ENSDARP00000071887
ENSGALP00000030426	ENSDARP00000094783
ENSGALP00000006237	ENSDARP00000098883
ENSGALP00000010305	ENSDARP00000037263
ENSGALP00000002338	ENSDARP00000073383
ENSGALP00000015045	ENSDARP00000043773
ENSGALP00000026615	ENSDARP00000127377
ENSGALP00000021034	ENSDARP00000058563
ENSGALP00000014959	ENSDARP00000128121
ENSGALP00000036782	ENSDARP00000099429
ENSGALP00000036782	ENSDARP00000099673
ENSGALP00000041152	ENSDARP00000107521
ENSGALP00000041152	ENSDARP00000084850
ENSGALP00000035366	ENSDARP00000027389
ENSGALP00000014317	ENSDARP00000023774
ENSGALP00000025508	ENSDARP00000099839
ENSGALP00000042044	ENSDARP00000105648
ENSGALP00000041646	ENSDARP00000054362
ENSGALP00000041646	ENSDARP00000052178
ENSGALP00000014608	ENSDARP00000100792
ENSGALP00000027115	ENSDARP00000060967
ENSGALP00000019395	ENSDARP00000108490
ENSGALP00000018410	ENSDARP00000108088
ENSGALP00000039270	ENSDARP00000096930
ENSGALP00000006115	ENSDARP00000078717
ENSGALP00000021290	ENSDARP00000083858
ENSGALP00000042060	ENSDARP00000025816
ENSGALP00000030997	ENSDARP00000112986
ENSGALP00000035804	ENSDARP00000073126
ENSGALP00000017131	ENSDARP00000104417
ENSGALP00000015178	ENSDARP00000104573
ENSGALP00000020011	ENSDARP00000010867
ENSGALP00000025439	ENSDARP00000095377
ENSGALP00000002862	ENSDARP00000107383
ENSGALP00000018816	ENSDARP00000006892
ENSGALP00000020659	ENSDARP00000031816
ENSGALP00000010883	ENSDARP00000094886
ENSGALP00000018826	ENSDARP00000122870
ENSGALP00000027519	ENSDARP00000081680
ENSGALP00000023059	ENSDARP00000109877
ENSGALP00000019396	ENSDARP00000110400
ENSGALP00000007923	ENSDARP00000114835
ENSGALP00000001254	ENSDARP00000105829
ENSGALP00000014278	ENSDARP00000024632
ENSGALP00000032179	ENSDARP00000055258
ENSGALP00000009194	ENSDARP00000063018
ENSGALP00000042202	ENSDARP00000099308
ENSGALP00000042202	ENSDARP00000088524
ENSGALP00000002039	ENSDARP00000074109
ENSGALP00000002039	ENSDARP00000009966
ENSGALP00000036165	ENSDARP00000020399
ENSGALP00000004335	ENSDARP00000116328
ENSGALP00000040974	ENSDARP00000080601
ENSGALP00000022567	ENSDARP00000124018
ENSGALP00000031757	ENSDARP00000079110
ENSGALP00000041413	ENSDARP00000086504
ENSGALP00000034260	ENSDARP00000104772
ENSGALP00000040835	ENSDARP00000003684
ENSGALP00000040835	ENSDARP00000022450
ENSGALP00000003043	ENSDARP00000120649
ENSGALP00000016505	ENSDARP00000113382
ENSGALP00000000670	ENSDARP00000096921
ENSGALP00000042641	ENSDARP00000112132
ENSGALP00000020604	ENSDARP00000012229
ENSGALP00000006648	ENSDARP00000107651
ENSGALP00000022101	ENSDARP00000078529
ENSGALP00000027347	ENSDARP00000048448
ENSGALP00000019323	ENSDARP00000044948
ENSGALP00000016050	ENSDARP00000113554
ENSGALP00000016050	ENSDARP00000045839
ENSGALP00000043300	ENSDARP00000120838
ENSGALP00000006735	ENSDARP00000110215
ENSGALP00000006735	ENSDARP00000071164
ENSGALP00000010221	ENSDARP00000126898
ENSGALP00000042802	ENSDARP00000009087
ENSGALP00000042802	ENSDARP00000044213
ENSGALP00000022250	ENSDARP00000072492
ENSGALP00000000933	ENSDARP00000070552
ENSGALP00000004887	ENSDARP00000097884
ENSGALP00000018335	ENSDARP00000122022
ENSGALP00000006954	ENSDARP00000086210
ENSGALP00000003968	ENSDARP00000096421
ENSGALP00000013042	ENSDARP00000073037
ENSGALP00000022312	ENSDARP00000071442
ENSGALP00000018421	ENSDARP00000013110
ENSGALP00000023793	ENSDARP00000113861
ENSGALP00000041373	ENSDARP00000040433
ENSGALP00000041373	ENSDARP00000007893
ENSGALP00000039153	ENSDARP00000115777
ENSGALP00000021328	ENSDARP00000115654
ENSGALP00000022856	ENSDARP00000016035
ENSGALP00000001315	ENSDARP00000005181
ENSGALP00000042479	ENSDARP00000100503
ENSGALP00000041427	ENSDARP00000077797
ENSGALP00000025766	ENSDARP00000053156
ENSGALP00000016578	ENSDARP00000007794
ENSGALP00000006364	ENSDARP00000005003
ENSGALP00000018530	ENSDARP00000094999
ENSGALP00000010114	ENSDARP00000095605
ENSGALP00000015334	ENSDARP00000127300
ENSGALP00000015282	ENSDARP00000032279
ENSGALP00000018552	ENSDARP00000090020
ENSGALP00000013334	ENSDARP00000075946
ENSGALP00000042365	ENSDARP00000128547
ENSGALP00000032826	ENSDARP00000108537
ENSGALP00000042234	ENSDARP00000114430
ENSGALP00000042234	ENSDARP00000084036
ENSGALP00000005501	ENSDARP00000074845
ENSGALP00000013659	ENSDARP00000118192
ENSGALP00000014829	ENSDARP00000116341
ENSGALP00000027279	ENSDARP00000094499
ENSGALP00000005100	ENSDARP00000125009
ENSGALP00000005100	ENSDARP00000070439
ENSGALP00000004190	ENSDARP00000013205
ENSGALP00000042563	ENSDARP00000100853
ENSGALP00000042182	ENSDARP00000092248
ENSGALP00000003384	ENSDARP00000096377
ENSGALP00000008280	ENSDARP00000109087
ENSGALP00000019276	ENSDARP00000086825
ENSGALP00000019276	ENSDARP00000128717
ENSGALP00000001307	ENSDARP00000063424
ENSGALP00000023031	ENSDARP00000093777
ENSGALP00000017299	ENSDARP00000102523
ENSGALP00000017299	ENSDARP00000122521
ENSGALP00000006542	ENSDARP00000105242
ENSGALP00000032339	ENSDARP00000005794
ENSGALP00000018789	ENSDARP00000095027
ENSGALP00000039621	ENSDARP00000041745
ENSGALP00000004363	ENSDARP00000105475
ENSGALP00000008805	ENSDARP00000048049
ENSGALP00000026957	ENSDARP00000095008
ENSGALP00000024184	ENSDARP00000055877
ENSGALP00000008450	ENSDARP00000023892
ENSGALP00000001447	ENSDARP00000125781
ENSGALP00000001655	ENSDARP00000055324
ENSGALP00000020794	ENSDARP00000066996
ENSGALP00000041050	ENSDARP00000100066
ENSGALP00000039342	ENSDARP00000118141
ENSGALP00000012907	ENSDARP00000078364
ENSGALP00000012907	ENSDARP00000104146
ENSGALP00000025787	ENSDARP00000072718
ENSGALP00000024140	ENSDARP00000083640
ENSGALP00000008556	ENSDARP00000116145
ENSGALP00000008556	ENSDARP00000034848
ENSGALP00000016481	ENSDARP00000116386
ENSGALP00000014280	ENSDARP00000017982
ENSGALP00000039553	ENSDARP00000002886
ENSGALP00000009709	ENSDARP00000049625
ENSGALP00000023968	ENSDARP00000115879
ENSGALP00000009632	ENSDARP00000111525
ENSGALP00000018041	ENSDARP00000128920
ENSGALP00000017800	ENSDARP00000085316
ENSGALP00000023540	ENSDARP00000107876
ENSGALP00000023540	ENSDARP00000046267
ENSGALP00000022404	ENSDARP00000020101
ENSGALP00000022405	ENSDARP00000128045
ENSGALP00000036383	ENSDARP00000129301
ENSGALP00000021551	ENSDARP00000073739
ENSGALP00000021551	ENSDARP00000056440
ENSGALP00000013385	ENSDARP00000117438
ENSGALP00000039721	ENSDARP00000099195
ENSGALP00000043450	ENSDARP00000003357
ENSGALP00000020229	ENSDARP00000015478
ENSGALP00000003917	ENSDARP00000124115
ENSGALP00000014139	ENSDARP00000111616
ENSGALP00000042542	ENSDARP00000015934
ENSGALP00000037968	ENSDARP00000124142
ENSGALP00000041860	ENSDARP00000112180
ENSGALP00000041860	ENSDARP00000125872
ENSGALP00000008398	ENSDARP00000007817
ENSGALP00000007286	ENSDARP00000120777
ENSGALP00000007286	ENSDARP00000085027
