ENSORLP00000017023	ENSMUSP00000034074
ENSORLP00000012308	ENSMUSP00000039568
ENSORLP00000011744	ENSMUSP00000077628
ENSORLP00000014035	ENSMUSP00000061410
ENSORLP00000020821	ENSMUSP00000084196
ENSORLP00000012196	ENSMUSP00000048234
ENSORLP00000024929	ENSMUSP00000002740
ENSORLP00000022596	ENSMUSP00000046512
ENSORLP00000009862	ENSMUSP00000022744
ENSORLP00000006891	ENSMUSP00000022744
ENSORLP00000003557	ENSMUSP00000023065
ENSORLP00000007985	ENSMUSP00000029435
ENSORLP00000021646	ENSMUSP00000100053
ENSORLP00000006008	ENSMUSP00000138290
ENSORLP00000004020	ENSMUSP00000089388
ENSORLP00000025678	ENSMUSP00000089388
ENSORLP00000019393	ENSMUSP00000021641
ENSORLP00000020263	ENSMUSP00000021641
ENSORLP00000020160	ENSMUSP00000104785
ENSORLP00000020418	ENSMUSP00000031029
ENSORLP00000017369	ENSMUSP00000041563
ENSORLP00000018703	ENSMUSP00000060143
ENSORLP00000003121	ENSMUSP00000105491
ENSORLP00000010358	ENSMUSP00000062734
ENSORLP00000018379	ENSMUSP00000099609
ENSORLP00000008025	ENSMUSP00000005188
ENSORLP00000004446	ENSMUSP00000083490
ENSORLP00000024471	ENSMUSP00000015877
ENSORLP00000001596	ENSMUSP00000003183
ENSORLP00000008097	ENSMUSP00000031359
ENSORLP00000000429	ENSMUSP00000031359
ENSORLP00000004449	ENSMUSP00000071191
ENSORLP00000020164	ENSMUSP00000047571
ENSORLP00000010222	ENSMUSP00000069872
ENSORLP00000005776	ENSMUSP00000053086
ENSORLP00000010859	ENSMUSP00000111032
ENSORLP00000018205	ENSMUSP00000041902
ENSORLP00000009540	ENSMUSP00000041902
ENSORLP00000017078	ENSMUSP00000039955
ENSORLP00000023811	ENSMUSP00000011262
ENSORLP00000017035	ENSMUSP00000126405
ENSORLP00000020445	ENSMUSP00000124354
ENSORLP00000019236	ENSMUSP00000087049
ENSORLP00000008154	ENSMUSP00000096203
ENSORLP00000007869	ENSMUSP00000022881
ENSORLP00000006661	ENSMUSP00000095300
ENSORLP00000000212	ENSMUSP00000113540
ENSORLP00000004078	ENSMUSP00000022164
ENSORLP00000000976	ENSMUSP00000075140
ENSORLP00000020199	ENSMUSP00000113881
ENSORLP00000009519	ENSMUSP00000023737
ENSORLP00000007337	ENSMUSP00000100561
ENSORLP00000001624	ENSMUSP00000100561
ENSORLP00000018408	ENSMUSP00000035083
ENSORLP00000004345	ENSMUSP00000017544
ENSORLP00000010374	ENSMUSP00000017544
ENSORLP00000004805	ENSMUSP00000048148
ENSORLP00000001377	ENSMUSP00000073004
ENSORLP00000011375	ENSMUSP00000048267
ENSORLP00000003554	ENSMUSP00000028814
ENSORLP00000015073	ENSMUSP00000031317
ENSORLP00000005894	ENSMUSP00000112717
ENSORLP00000005907	ENSMUSP00000102034
ENSORLP00000019315	ENSMUSP00000073541
ENSORLP00000024717	ENSMUSP00000005003
ENSORLP00000013410	ENSMUSP00000025713
ENSORLP00000020586	ENSMUSP00000042803
ENSORLP00000020760	ENSMUSP00000041581
ENSORLP00000019029	ENSMUSP00000041581
ENSORLP00000007969	ENSMUSP00000118729
ENSORLP00000001371	ENSMUSP00000033326
ENSORLP00000019923	ENSMUSP00000038754
ENSORLP00000000360	ENSMUSP00000004943
ENSORLP00000002647	ENSMUSP00000004508
ENSORLP00000010561	ENSMUSP00000107530
ENSORLP00000015469	ENSMUSP00000107530
ENSORLP00000014010	ENSMUSP00000074771
ENSORLP00000019596	ENSMUSP00000052144
ENSORLP00000011560	ENSMUSP00000086167
ENSORLP00000015154	ENSMUSP00000086167
ENSORLP00000012214	ENSMUSP00000033218
ENSORLP00000020274	ENSMUSP00000073402
ENSORLP00000018488	ENSMUSP00000054546
ENSORLP00000025629	ENSMUSP00000060394
ENSORLP00000018144	ENSMUSP00000030606
ENSORLP00000006400	ENSMUSP00000132646
ENSORLP00000003599	ENSMUSP00000132646
ENSORLP00000007535	ENSMUSP00000064886
ENSORLP00000014285	ENSMUSP00000064886
ENSORLP00000020878	ENSMUSP00000033927
ENSORLP00000007208	ENSMUSP00000076844
ENSORLP00000019787	ENSMUSP00000129811
ENSORLP00000024448	ENSMUSP00000093382
ENSORLP00000024453	ENSMUSP00000019994
ENSORLP00000010822	ENSMUSP00000023494
ENSORLP00000008703	ENSMUSP00000021271
ENSORLP00000010606	ENSMUSP00000027687
ENSORLP00000006785	ENSMUSP00000025702
ENSORLP00000020810	ENSMUSP00000019379
ENSORLP00000005808	ENSMUSP00000037447
ENSORLP00000012156	ENSMUSP00000037447
ENSORLP00000014236	ENSMUSP00000078384
ENSORLP00000013816	ENSMUSP00000037821
ENSORLP00000009296	ENSMUSP00000037821
ENSORLP00000014946	ENSMUSP00000105657
ENSORLP00000016954	ENSMUSP00000137895
ENSORLP00000020360	ENSMUSP00000092380
ENSORLP00000005426	ENSMUSP00000092380
ENSORLP00000006343	ENSMUSP00000059138
ENSORLP00000021224	ENSMUSP00000019734
ENSORLP00000021641	ENSMUSP00000028403
ENSORLP00000018138	ENSMUSP00000097656
ENSORLP00000019690	ENSMUSP00000135853
ENSORLP00000002892	ENSMUSP00000113147
ENSORLP00000011226	ENSMUSP00000064516
ENSORLP00000024597	ENSMUSP00000052146
ENSORLP00000002994	ENSMUSP00000109612
ENSORLP00000025687	ENSMUSP00000022993
ENSORLP00000015770	ENSMUSP00000117052
ENSORLP00000011728	ENSMUSP00000130969
ENSORLP00000004907	ENSMUSP00000120015
ENSORLP00000014019	ENSMUSP00000105923
ENSORLP00000015646	ENSMUSP00000105923
ENSORLP00000007841	ENSMUSP00000109036
ENSORLP00000019964	ENSMUSP00000126338
ENSORLP00000006671	ENSMUSP00000107677
ENSORLP00000003490	ENSMUSP00000107677
ENSORLP00000022633	ENSMUSP00000041874
ENSORLP00000009679	ENSMUSP00000131477
ENSORLP00000010356	ENSMUSP00000022704
ENSORLP00000012995	ENSMUSP00000033591
ENSORLP00000023550	ENSMUSP00000097971
ENSORLP00000001882	ENSMUSP00000069764
ENSORLP00000016444	ENSMUSP00000069182
ENSORLP00000023337	ENSMUSP00000090886
ENSORLP00000005305	ENSMUSP00000020507
ENSORLP00000020385	ENSMUSP00000132140
ENSORLP00000024974	ENSMUSP00000105413
ENSORLP00000003387	ENSMUSP00000023072
ENSORLP00000010863	ENSMUSP00000059463
ENSORLP00000000069	ENSMUSP00000059570
ENSORLP00000018084	ENSMUSP00000059570
ENSORLP00000003379	ENSMUSP00000136866
ENSORLP00000017949	ENSMUSP00000070906
ENSORLP00000018328	ENSMUSP00000010974
ENSORLP00000013259	ENSMUSP00000054420
ENSORLP00000001922	ENSMUSP00000050014
ENSORLP00000006918	ENSMUSP00000021828
ENSORLP00000021449	ENSMUSP00000095534
ENSORLP00000004798	ENSMUSP00000083561
ENSORLP00000022618	ENSMUSP00000020174
ENSORLP00000020645	ENSMUSP00000053178
ENSORLP00000010073	ENSMUSP00000027062
ENSORLP00000017319	ENSMUSP00000033136
ENSORLP00000015833	ENSMUSP00000044725
ENSORLP00000010249	ENSMUSP00000049112
ENSORLP00000011378	ENSMUSP00000136621
ENSORLP00000002058	ENSMUSP00000058183
ENSORLP00000002021	ENSMUSP00000069209
ENSORLP00000010413	ENSMUSP00000109734
ENSORLP00000000115	ENSMUSP00000062702
ENSORLP00000011519	ENSMUSP00000110751
ENSORLP00000017738	ENSMUSP00000038486
ENSORLP00000010084	ENSMUSP00000035486
ENSORLP00000005499	ENSMUSP00000023707
ENSORLP00000024188	ENSMUSP00000098768
ENSORLP00000019051	ENSMUSP00000026409
ENSORLP00000018921	ENSMUSP00000027266
ENSORLP00000010438	ENSMUSP00000035549
ENSORLP00000012428	ENSMUSP00000056245
ENSORLP00000009922	ENSMUSP00000058204
ENSORLP00000019196	ENSMUSP00000100922
ENSORLP00000024687	ENSMUSP00000021822
ENSORLP00000004490	ENSMUSP00000030296
ENSORLP00000018660	ENSMUSP00000063977
ENSORLP00000003107	ENSMUSP00000086542
ENSORLP00000014199	ENSMUSP00000077995
ENSORLP00000021351	ENSMUSP00000005364
ENSORLP00000008096	ENSMUSP00000005334
ENSORLP00000005987	ENSMUSP00000033828
ENSORLP00000003518	ENSMUSP00000021249
ENSORLP00000021884	ENSMUSP00000088320
ENSORLP00000006699	ENSMUSP00000123201
ENSORLP00000013527	ENSMUSP00000137746
ENSORLP00000020661	ENSMUSP00000020243
ENSORLP00000013811	ENSMUSP00000137650
ENSORLP00000010489	ENSMUSP00000028105
ENSORLP00000012557	ENSMUSP00000039261
ENSORLP00000016253	ENSMUSP00000041242
ENSORLP00000022988	ENSMUSP00000064422
ENSORLP00000020264	ENSMUSP00000064422
ENSORLP00000009320	ENSMUSP00000001497
ENSORLP00000004340	ENSMUSP00000025404
ENSORLP00000005336	ENSMUSP00000122072
ENSORLP00000007549	ENSMUSP00000047518
ENSORLP00000019755	ENSMUSP00000004473
ENSORLP00000007126	ENSMUSP00000035539
ENSORLP00000019754	ENSMUSP00000002180
ENSORLP00000009437	ENSMUSP00000060907
ENSORLP00000020730	ENSMUSP00000020153
ENSORLP00000008146	ENSMUSP00000103786
ENSORLP00000020784	ENSMUSP00000052717
ENSORLP00000005949	ENSMUSP00000000895
ENSORLP00000016890	ENSMUSP00000115822
ENSORLP00000022125	ENSMUSP00000028135
ENSORLP00000017549	ENSMUSP00000028135
ENSORLP00000021246	ENSMUSP00000009358
ENSORLP00000012224	ENSMUSP00000025010
ENSORLP00000008101	ENSMUSP00000051151
ENSORLP00000017211	ENSMUSP00000106978
ENSORLP00000013572	ENSMUSP00000106978
ENSORLP00000004032	ENSMUSP00000077273
ENSORLP00000018299	ENSMUSP00000031291
ENSORLP00000009052	ENSMUSP00000043074
ENSORLP00000011883	ENSMUSP00000060194
ENSORLP00000002871	ENSMUSP00000107439
ENSORLP00000007584	ENSMUSP00000107439
ENSORLP00000008216	ENSMUSP00000051481
ENSORLP00000006833	ENSMUSP00000119774
ENSORLP00000006764	ENSMUSP00000119774
ENSORLP00000014650	ENSMUSP00000025936
ENSORLP00000016255	ENSMUSP00000047992
ENSORLP00000008757	ENSMUSP00000032977
ENSORLP00000002679	ENSMUSP00000071292
ENSORLP00000013553	ENSMUSP00000029049
ENSORLP00000018778	ENSMUSP00000063879
ENSORLP00000011633	ENSMUSP00000021796
ENSORLP00000011814	ENSMUSP00000029030
ENSORLP00000012193	ENSMUSP00000053869
ENSORLP00000005850	ENSMUSP00000053869
ENSORLP00000008524	ENSMUSP00000029665
ENSORLP00000007971	ENSMUSP00000025803
ENSORLP00000021902	ENSMUSP00000034881
ENSORLP00000015867	ENSMUSP00000020821
ENSORLP00000000301	ENSMUSP00000098687
ENSORLP00000006347	ENSMUSP00000137400
ENSORLP00000009648	ENSMUSP00000026445
ENSORLP00000004552	ENSMUSP00000026445
ENSORLP00000017138	ENSMUSP00000031565
ENSORLP00000024023	ENSMUSP00000081132
ENSORLP00000015348	ENSMUSP00000037004
ENSORLP00000004472	ENSMUSP00000037328
ENSORLP00000008559	ENSMUSP00000049236
ENSORLP00000004240	ENSMUSP00000071130
ENSORLP00000015829	ENSMUSP00000037476
ENSORLP00000002441	ENSMUSP00000033689
ENSORLP00000007687	ENSMUSP00000049676
ENSORLP00000003041	ENSMUSP00000022529
ENSORLP00000011839	ENSMUSP00000001185
ENSORLP00000004326	ENSMUSP00000068328
ENSORLP00000017619	ENSMUSP00000068328
ENSORLP00000012004	ENSMUSP00000048238
ENSORLP00000014045	ENSMUSP00000112592
ENSORLP00000021309	ENSMUSP00000028129
ENSORLP00000016155	ENSMUSP00000049103
ENSORLP00000019983	ENSMUSP00000065613
ENSORLP00000014044	ENSMUSP00000039394
ENSORLP00000002939	ENSMUSP00000039394
ENSORLP00000018283	ENSMUSP00000037137
ENSORLP00000016228	ENSMUSP00000113097
ENSORLP00000007554	ENSMUSP00000026590
ENSORLP00000022025	ENSMUSP00000004587
ENSORLP00000002778	ENSMUSP00000026890
ENSORLP00000005721	ENSMUSP00000026890
ENSORLP00000009414	ENSMUSP00000009018
ENSORLP00000010856	ENSMUSP00000022311
ENSORLP00000016949	ENSMUSP00000052872
ENSORLP00000023762	ENSMUSP00000042642
ENSORLP00000021407	ENSMUSP00000020185
ENSORLP00000014274	ENSMUSP00000112138
ENSORLP00000009255	ENSMUSP00000044288
ENSORLP00000016105	ENSMUSP00000044288
ENSORLP00000007913	ENSMUSP00000087118
ENSORLP00000011580	ENSMUSP00000087118
ENSORLP00000016589	ENSMUSP00000099864
ENSORLP00000016286	ENSMUSP00000025019
ENSORLP00000012918	ENSMUSP00000008462
ENSORLP00000008716	ENSMUSP00000118125
ENSORLP00000008854	ENSMUSP00000041361
ENSORLP00000017267	ENSMUSP00000041361
ENSORLP00000024782	ENSMUSP00000105272
ENSORLP00000024385	ENSMUSP00000035663
ENSORLP00000008876	ENSMUSP00000033646
ENSORLP00000013079	ENSMUSP00000134672
ENSORLP00000013238	ENSMUSP00000107415
ENSORLP00000006554	ENSMUSP00000047284
ENSORLP00000014852	ENSMUSP00000038610
ENSORLP00000016972	ENSMUSP00000038610
ENSORLP00000018436	ENSMUSP00000042808
ENSORLP00000019008	ENSMUSP00000090227
ENSORLP00000003649	ENSMUSP00000037629
ENSORLP00000006767	ENSMUSP00000130194
ENSORLP00000024583	ENSMUSP00000118180
ENSORLP00000019090	ENSMUSP00000118180
ENSORLP00000002037	ENSMUSP00000022148
ENSORLP00000014887	ENSMUSP00000035116
ENSORLP00000015807	ENSMUSP00000020672
ENSORLP00000022167	ENSMUSP00000022734
ENSORLP00000004716	ENSMUSP00000014339
ENSORLP00000017458	ENSMUSP00000014339
ENSORLP00000018971	ENSMUSP00000133205
ENSORLP00000007333	ENSMUSP00000110817
ENSORLP00000015644	ENSMUSP00000047376
ENSORLP00000010956	ENSMUSP00000115292
ENSORLP00000010480	ENSMUSP00000037929
ENSORLP00000008957	ENSMUSP00000031472
ENSORLP00000009387	ENSMUSP00000131462
ENSORLP00000017236	ENSMUSP00000069243
ENSORLP00000006905	ENSMUSP00000034343
ENSORLP00000002598	ENSMUSP00000128828
ENSORLP00000000343	ENSMUSP00000023829
ENSORLP00000002465	ENSMUSP00000108508
ENSORLP00000024657	ENSMUSP00000108508
ENSORLP00000014042	ENSMUSP00000115704
ENSORLP00000024969	ENSMUSP00000012679
ENSORLP00000016411	ENSMUSP00000129654
ENSORLP00000008538	ENSMUSP00000054734
ENSORLP00000000352	ENSMUSP00000033389
ENSORLP00000019815	ENSMUSP00000000186
ENSORLP00000000673	ENSMUSP00000075762
ENSORLP00000012070	ENSMUSP00000041104
ENSORLP00000003876	ENSMUSP00000021306
ENSORLP00000004175	ENSMUSP00000024773
ENSORLP00000023475	ENSMUSP00000024773
ENSORLP00000003204	ENSMUSP00000093961
ENSORLP00000013513	ENSMUSP00000093961
ENSORLP00000015443	ENSMUSP00000044268
ENSORLP00000010582	ENSMUSP00000028892
ENSORLP00000002539	ENSMUSP00000137537
ENSORLP00000016525	ENSMUSP00000090941
ENSORLP00000008268	ENSMUSP00000105620
ENSORLP00000000538	ENSMUSP00000102267
ENSORLP00000007799	ENSMUSP00000093697
ENSORLP00000004125	ENSMUSP00000045351
ENSORLP00000015408	ENSMUSP00000025659
ENSORLP00000017086	ENSMUSP00000025659
ENSORLP00000007642	ENSMUSP00000089437
ENSORLP00000011437	ENSMUSP00000023583
ENSORLP00000015096	ENSMUSP00000052056
ENSORLP00000000077	ENSMUSP00000075566
ENSORLP00000007357	ENSMUSP00000007130
ENSORLP00000010332	ENSMUSP00000050577
ENSORLP00000015793	ENSMUSP00000050577
ENSORLP00000000319	ENSMUSP00000115871
ENSORLP00000015175	ENSMUSP00000022634
ENSORLP00000015347	ENSMUSP00000022634
ENSORLP00000007433	ENSMUSP00000101718
ENSORLP00000006101	ENSMUSP00000113835
ENSORLP00000014059	ENSMUSP00000035644
ENSORLP00000021480	ENSMUSP00000064080
ENSORLP00000005262	ENSMUSP00000137246
ENSORLP00000007236	ENSMUSP00000101311
ENSORLP00000016251	ENSMUSP00000099981
ENSORLP00000017415	ENSMUSP00000099981
ENSORLP00000024936	ENSMUSP00000073751
ENSORLP00000009890	ENSMUSP00000073751
ENSORLP00000003500	ENSMUSP00000094513
ENSORLP00000008389	ENSMUSP00000008088
ENSORLP00000023715	ENSMUSP00000005352
ENSORLP00000002937	ENSMUSP00000077074
ENSORLP00000001111	ENSMUSP00000024748
ENSORLP00000008168	ENSMUSP00000024748
ENSORLP00000003642	ENSMUSP00000043111
ENSORLP00000021536	ENSMUSP00000069422
ENSORLP00000017085	ENSMUSP00000069422
ENSORLP00000020886	ENSMUSP00000093206
ENSORLP00000001200	ENSMUSP00000078407
ENSORLP00000003803	ENSMUSP00000105560
ENSORLP00000024880	ENSMUSP00000098723
ENSORLP00000009819	ENSMUSP00000098723
ENSORLP00000024042	ENSMUSP00000033018
ENSORLP00000019333	ENSMUSP00000050211
ENSORLP00000020327	ENSMUSP00000050211
ENSORLP00000006228	ENSMUSP00000079239
ENSORLP00000000819	ENSMUSP00000079239
ENSORLP00000011199	ENSMUSP00000033153
ENSORLP00000007453	ENSMUSP00000106266
ENSORLP00000017104	ENSMUSP00000104889
ENSORLP00000015086	ENSMUSP00000104889
ENSORLP00000019038	ENSMUSP00000010298
ENSORLP00000003933	ENSMUSP00000049336
ENSORLP00000015587	ENSMUSP00000049336
ENSORLP00000011596	ENSMUSP00000066805
ENSORLP00000007965	ENSMUSP00000066805
ENSORLP00000009075	ENSMUSP00000043596
ENSORLP00000012135	ENSMUSP00000102894
ENSORLP00000000561	ENSMUSP00000102894
ENSORLP00000015258	ENSMUSP00000106866
ENSORLP00000015318	ENSMUSP00000106866
ENSORLP00000002921	ENSMUSP00000028635
ENSORLP00000013095	ENSMUSP00000022590
ENSORLP00000012127	ENSMUSP00000095608
ENSORLP00000007060	ENSMUSP00000095608
ENSORLP00000001239	ENSMUSP00000023068
ENSORLP00000001350	ENSMUSP00000033325
ENSORLP00000008946	ENSMUSP00000033325
ENSORLP00000008348	ENSMUSP00000002327
ENSORLP00000016486	ENSMUSP00000022901
ENSORLP00000005898	ENSMUSP00000087857
ENSORLP00000009160	ENSMUSP00000023203
ENSORLP00000022172	ENSMUSP00000023203
ENSORLP00000017636	ENSMUSP00000052017
ENSORLP00000006113	ENSMUSP00000043066
ENSORLP00000002792	ENSMUSP00000043066
ENSORLP00000021519	ENSMUSP00000030408
ENSORLP00000007351	ENSMUSP00000030408
ENSORLP00000012642	ENSMUSP00000045315
ENSORLP00000003632	ENSMUSP00000099938
ENSORLP00000003135	ENSMUSP00000099938
ENSORLP00000006645	ENSMUSP00000109728
ENSORLP00000000928	ENSMUSP00000099317
ENSORLP00000008163	ENSMUSP00000015146
ENSORLP00000002277	ENSMUSP00000065935
ENSORLP00000011949	ENSMUSP00000028880
ENSORLP00000016514	ENSMUSP00000028880
ENSORLP00000007349	ENSMUSP00000096950
ENSORLP00000005998	ENSMUSP00000019998
ENSORLP00000004489	ENSMUSP00000124804
ENSORLP00000025765	ENSMUSP00000021907
ENSORLP00000021533	ENSMUSP00000130313
ENSORLP00000005169	ENSMUSP00000125995
ENSORLP00000000821	ENSMUSP00000021166
ENSORLP00000015610	ENSMUSP00000021166
ENSORLP00000011634	ENSMUSP00000008626
ENSORLP00000021801	ENSMUSP00000105168
ENSORLP00000010969	ENSMUSP00000105168
ENSORLP00000006329	ENSMUSP00000063650
ENSORLP00000002906	ENSMUSP00000022908
ENSORLP00000016319	ENSMUSP00000023040
ENSORLP00000001961	ENSMUSP00000020513
ENSORLP00000019189	ENSMUSP00000073371
ENSORLP00000020842	ENSMUSP00000073371
ENSORLP00000015150	ENSMUSP00000048313
ENSORLP00000001541	ENSMUSP00000047880
ENSORLP00000002420	ENSMUSP00000051331
ENSORLP00000011156	ENSMUSP00000051331
ENSORLP00000024772	ENSMUSP00000052584
ENSORLP00000021651	ENSMUSP00000047220
ENSORLP00000020121	ENSMUSP00000130121
ENSORLP00000012167	ENSMUSP00000106756
ENSORLP00000015366	ENSMUSP00000106756
ENSORLP00000015754	ENSMUSP00000018880
ENSORLP00000009169	ENSMUSP00000018880
ENSORLP00000019275	ENSMUSP00000112551
ENSORLP00000004778	ENSMUSP00000099349
ENSORLP00000021717	ENSMUSP00000099349
ENSORLP00000005059	ENSMUSP00000033289
ENSORLP00000006163	ENSMUSP00000113174
ENSORLP00000011718	ENSMUSP00000067611
ENSORLP00000018886	ENSMUSP00000072961
ENSORLP00000010066	ENSMUSP00000018429
ENSORLP00000024901	ENSMUSP00000100868
ENSORLP00000008720	ENSMUSP00000001569
ENSORLP00000016266	ENSMUSP00000001569
ENSORLP00000002427	ENSMUSP00000072136
ENSORLP00000014301	ENSMUSP00000072136
ENSORLP00000003875	ENSMUSP00000113494
ENSORLP00000004905	ENSMUSP00000021929
ENSORLP00000019921	ENSMUSP00000045291
ENSORLP00000011555	ENSMUSP00000045291
ENSORLP00000012290	ENSMUSP00000114015
ENSORLP00000011732	ENSMUSP00000027965
ENSORLP00000011087	ENSMUSP00000113499
ENSORLP00000016546	ENSMUSP00000030434
ENSORLP00000010499	ENSMUSP00000006137
ENSORLP00000011983	ENSMUSP00000109502
ENSORLP00000008683	ENSMUSP00000022561
ENSORLP00000012140	ENSMUSP00000030412
ENSORLP00000025052	ENSMUSP00000122964
ENSORLP00000010531	ENSMUSP00000122964
ENSORLP00000010678	ENSMUSP00000049490
ENSORLP00000000353	ENSMUSP00000039528
ENSORLP00000008942	ENSMUSP00000039528
ENSORLP00000010248	ENSMUSP00000056787
ENSORLP00000021588	ENSMUSP00000054330
ENSORLP00000000830	ENSMUSP00000054330
ENSORLP00000022255	ENSMUSP00000124674
ENSORLP00000000250	ENSMUSP00000110287
ENSORLP00000012409	ENSMUSP00000035099
ENSORLP00000011562	ENSMUSP00000028509
ENSORLP00000021607	ENSMUSP00000028509
ENSORLP00000006651	ENSMUSP00000020640
ENSORLP00000007097	ENSMUSP00000112719
ENSORLP00000016149	ENSMUSP00000078361
ENSORLP00000021436	ENSMUSP00000070382
ENSORLP00000010034	ENSMUSP00000078774
ENSORLP00000016670	ENSMUSP00000082013
ENSORLP00000014211	ENSMUSP00000027916
ENSORLP00000001516	ENSMUSP00000030192
ENSORLP00000000036	ENSMUSP00000027287
ENSORLP00000015505	ENSMUSP00000027287
ENSORLP00000018914	ENSMUSP00000027267
ENSORLP00000004339	ENSMUSP00000119875
ENSORLP00000012521	ENSMUSP00000105976
ENSORLP00000006128	ENSMUSP00000041308
ENSORLP00000009655	ENSMUSP00000113346
ENSORLP00000023883	ENSMUSP00000128696
ENSORLP00000017141	ENSMUSP00000001179
ENSORLP00000016213	ENSMUSP00000097444
ENSORLP00000006449	ENSMUSP00000058233
ENSORLP00000007696	ENSMUSP00000085187
ENSORLP00000012805	ENSMUSP00000090130
ENSORLP00000010542	ENSMUSP00000093644
ENSORLP00000012415	ENSMUSP00000057462
ENSORLP00000021134	ENSMUSP00000059433
ENSORLP00000018505	ENSMUSP00000059433
ENSORLP00000002530	ENSMUSP00000080739
ENSORLP00000014055	ENSMUSP00000071464
ENSORLP00000006836	ENSMUSP00000071464
ENSORLP00000019305	ENSMUSP00000108987
ENSORLP00000014716	ENSMUSP00000062429
ENSORLP00000008358	ENSMUSP00000000326
ENSORLP00000008912	ENSMUSP00000071654
ENSORLP00000016709	ENSMUSP00000071654
ENSORLP00000020641	ENSMUSP00000116006
ENSORLP00000006994	ENSMUSP00000045744
ENSORLP00000011359	ENSMUSP00000040706
ENSORLP00000020051	ENSMUSP00000032627
ENSORLP00000004465	ENSMUSP00000072773
ENSORLP00000025383	ENSMUSP00000037719
ENSORLP00000001788	ENSMUSP00000031445
ENSORLP00000010395	ENSMUSP00000060613
ENSORLP00000019346	ENSMUSP00000020157
ENSORLP00000014145	ENSMUSP00000092508
ENSORLP00000013909	ENSMUSP00000102227
ENSORLP00000009242	ENSMUSP00000102227
ENSORLP00000008342	ENSMUSP00000133499
ENSORLP00000009089	ENSMUSP00000114578
ENSORLP00000016982	ENSMUSP00000107333
ENSORLP00000014294	ENSMUSP00000107333
ENSORLP00000000067	ENSMUSP00000038444
ENSORLP00000013082	ENSMUSP00000061511
ENSORLP00000019971	ENSMUSP00000030901
ENSORLP00000008240	ENSMUSP00000029644
ENSORLP00000021365	ENSMUSP00000068192
ENSORLP00000011789	ENSMUSP00000071939
ENSORLP00000020393	ENSMUSP00000071939
ENSORLP00000018212	ENSMUSP00000064680
ENSORLP00000019447	ENSMUSP00000064680
ENSORLP00000010525	ENSMUSP00000092901
ENSORLP00000021060	ENSMUSP00000068987
ENSORLP00000005711	ENSMUSP00000068987
ENSORLP00000023232	ENSMUSP00000034630
ENSORLP00000012669	ENSMUSP00000057669
ENSORLP00000004309	ENSMUSP00000057669
ENSORLP00000009837	ENSMUSP00000047865
ENSORLP00000025736	ENSMUSP00000103825
ENSORLP00000011952	ENSMUSP00000068516
ENSORLP00000012676	ENSMUSP00000068516
ENSORLP00000013144	ENSMUSP00000027027
ENSORLP00000020648	ENSMUSP00000023562
ENSORLP00000008851	ENSMUSP00000091641
ENSORLP00000015092	ENSMUSP00000031388
ENSORLP00000007694	ENSMUSP00000033695
ENSORLP00000006724	ENSMUSP00000027396
ENSORLP00000012589	ENSMUSP00000047445
ENSORLP00000021750	ENSMUSP00000004494
ENSORLP00000004680	ENSMUSP00000125043
ENSORLP00000022379	ENSMUSP00000125043
ENSORLP00000010152	ENSMUSP00000096982
ENSORLP00000010205	ENSMUSP00000034739
ENSORLP00000006339	ENSMUSP00000026494
ENSORLP00000004664	ENSMUSP00000026494
ENSORLP00000017403	ENSMUSP00000020382
ENSORLP00000019778	ENSMUSP00000111222
ENSORLP00000016218	ENSMUSP00000055689
ENSORLP00000012142	ENSMUSP00000062327
ENSORLP00000012691	ENSMUSP00000098942
ENSORLP00000022572	ENSMUSP00000028780
ENSORLP00000006959	ENSMUSP00000106118
ENSORLP00000002206	ENSMUSP00000109901
ENSORLP00000020952	ENSMUSP00000008573
ENSORLP00000002979	ENSMUSP00000008573
ENSORLP00000012909	ENSMUSP00000137163
ENSORLP00000009665	ENSMUSP00000113235
ENSORLP00000003879	ENSMUSP00000113235
ENSORLP00000021846	ENSMUSP00000099752
ENSORLP00000004928	ENSMUSP00000021592
ENSORLP00000017290	ENSMUSP00000089758
ENSORLP00000002425	ENSMUSP00000028100
ENSORLP00000017275	ENSMUSP00000018744
ENSORLP00000006970	ENSMUSP00000026470
ENSORLP00000004789	ENSMUSP00000026470
ENSORLP00000001170	ENSMUSP00000104700
ENSORLP00000010462	ENSMUSP00000029459
ENSORLP00000015088	ENSMUSP00000105691
ENSORLP00000019470	ENSMUSP00000036410
ENSORLP00000009199	ENSMUSP00000020546
ENSORLP00000013724	ENSMUSP00000014957
ENSORLP00000000399	ENSMUSP00000014957
ENSORLP00000005646	ENSMUSP00000047218
ENSORLP00000008906	ENSMUSP00000081782
ENSORLP00000006977	ENSMUSP00000042185
ENSORLP00000004744	ENSMUSP00000042185
ENSORLP00000012551	ENSMUSP00000099490
ENSORLP00000009716	ENSMUSP00000099642
ENSORLP00000016943	ENSMUSP00000104973
ENSORLP00000014724	ENSMUSP00000104973
ENSORLP00000013914	ENSMUSP00000006293
ENSORLP00000010268	ENSMUSP00000030734
ENSORLP00000024482	ENSMUSP00000037890
ENSORLP00000010926	ENSMUSP00000013773
ENSORLP00000021842	ENSMUSP00000023353
ENSORLP00000001749	ENSMUSP00000066842
ENSORLP00000010322	ENSMUSP00000103007
ENSORLP00000015781	ENSMUSP00000103007
ENSORLP00000005492	ENSMUSP00000044472
ENSORLP00000015403	ENSMUSP00000052096
