ENSTGUP00000008915	ENSGALP00000006197
ENSTGUP00000000857	ENSGALP00000042466
ENSTGUP00000000265	ENSGALP00000029046
ENSTGUP00000008251	ENSGALP00000010347
ENSTGUP00000002787	ENSGALP00000041483
ENSTGUP00000016120	ENSGALP00000006307
ENSTGUP00000006184	ENSGALP00000037987
ENSTGUP00000009635	ENSGALP00000012350
ENSTGUP00000012770	ENSGALP00000021338
ENSTGUP00000002626	ENSGALP00000016284
ENSTGUP00000012581	ENSGALP00000041340
ENSTGUP00000003890	ENSGALP00000034504
ENSTGUP00000006764	ENSGALP00000008924
ENSTGUP00000010355	ENSGALP00000027027
ENSTGUP00000007080	ENSGALP00000001944
ENSTGUP00000004362	ENSGALP00000003726
ENSTGUP00000004354	ENSGALP00000003823
ENSTGUP00000017594	ENSGALP00000005415
ENSTGUP00000007601	ENSGALP00000001434
ENSTGUP00000011185	ENSGALP00000022497
ENSTGUP00000017627	ENSGALP00000034427
ENSTGUP00000017521	ENSGALP00000004618
ENSTGUP00000002596	ENSGALP00000005315
ENSTGUP00000007146	ENSGALP00000018045
ENSTGUP00000013036	ENSGALP00000036777
ENSTGUP00000005987	ENSGALP00000010379
ENSTGUP00000006064	ENSGALP00000010257
ENSTGUP00000005059	ENSGALP00000007527
ENSTGUP00000001653	ENSGALP00000035245
ENSTGUP00000014012	ENSGALP00000036110
ENSTGUP00000015212	ENSGALP00000002650
ENSTGUP00000013760	ENSGALP00000023881
ENSTGUP00000003166	ENSGALP00000002233
ENSTGUP00000010673	ENSGALP00000024106
ENSTGUP00000009296	ENSGALP00000011722
ENSTGUP00000006383	ENSGALP00000024079
ENSTGUP00000005008	ENSGALP00000001501
ENSTGUP00000009939	ENSGALP00000018409
ENSTGUP00000013145	ENSGALP00000026174
ENSTGUP00000002179	ENSGALP00000005904
ENSTGUP00000006769	ENSGALP00000007997
ENSTGUP00000001338	ENSGALP00000010494
ENSTGUP00000007677	ENSGALP00000035475
ENSTGUP00000004320	ENSGALP00000029321
ENSTGUP00000017541	ENSGALP00000004854
ENSTGUP00000003285	ENSGALP00000039261
ENSTGUP00000001471	ENSGALP00000014653
ENSTGUP00000001469	ENSGALP00000014639
ENSTGUP00000004422	ENSGALP00000019020
ENSTGUP00000010819	ENSGALP00000013353
ENSTGUP00000013926	ENSGALP00000024926
ENSTGUP00000009736	ENSGALP00000029983
ENSTGUP00000004938	ENSGALP00000042221
ENSTGUP00000004752	ENSGALP00000005781
ENSTGUP00000004895	ENSGALP00000032903
ENSTGUP00000004487	ENSGALP00000000361
ENSTGUP00000009865	ENSGALP00000010352
ENSTGUP00000009012	ENSGALP00000012875
ENSTGUP00000011011	ENSGALP00000020372
ENSTGUP00000012496	ENSGALP00000036952
ENSTGUP00000000082	ENSGALP00000012163
ENSTGUP00000011988	ENSGALP00000017032
ENSTGUP00000003771	ENSGALP00000022674
ENSTGUP00000003290	ENSGALP00000020520
ENSTGUP00000000363	ENSGALP00000002398
ENSTGUP00000010000	ENSGALP00000013053
ENSTGUP00000004677	ENSGALP00000021907
ENSTGUP00000002985	ENSGALP00000001762
ENSTGUP00000001555	ENSGALP00000002927
ENSTGUP00000011324	ENSGALP00000025734
ENSTGUP00000015528	ENSGALP00000022701
ENSTGUP00000017572	ENSGALP00000002647
ENSTGUP00000009711	ENSGALP00000007738
ENSTGUP00000012551	ENSGALP00000025859
ENSTGUP00000010431	ENSGALP00000012805
ENSTGUP00000007411	ENSGALP00000008146
ENSTGUP00000003908	ENSGALP00000004884
ENSTGUP00000012209	ENSGALP00000035841
ENSTGUP00000008632	ENSGALP00000003091
ENSTGUP00000011489	ENSGALP00000020730
ENSTGUP00000017779	ENSGALP00000000948
ENSTGUP00000008589	ENSGALP00000018449
ENSTGUP00000010892	ENSGALP00000013816
ENSTGUP00000001406	ENSGALP00000010783
ENSTGUP00000013848	ENSGALP00000027922
ENSTGUP00000000385	ENSGALP00000041057
ENSTGUP00000014987	ENSGALP00000038925
ENSTGUP00000004654	ENSGALP00000008671
ENSTGUP00000005161	ENSGALP00000004761
ENSTGUP00000001744	ENSGALP00000018715
ENSTGUP00000010194	ENSGALP00000017873
ENSTGUP00000004211	ENSGALP00000013462
ENSTGUP00000006115	ENSGALP00000010165
ENSTGUP00000009735	ENSGALP00000032064
ENSTGUP00000007035	ENSGALP00000006733
ENSTGUP00000008116	ENSGALP00000016598
ENSTGUP00000002806	ENSGALP00000023713
ENSTGUP00000007124	ENSGALP00000008229
ENSTGUP00000006492	ENSGALP00000010903
ENSTGUP00000006266	ENSGALP00000011153
ENSTGUP00000007957	ENSGALP00000021276
ENSTGUP00000000070	ENSGALP00000042570
ENSTGUP00000008107	ENSGALP00000015983
ENSTGUP00000007976	ENSGALP00000030023
ENSTGUP00000001422	ENSGALP00000039912
ENSTGUP00000007977	ENSGALP00000043455
ENSTGUP00000009077	ENSGALP00000038684
ENSTGUP00000011910	ENSGALP00000027574
ENSTGUP00000005942	ENSGALP00000012535
ENSTGUP00000000989	ENSGALP00000022658
ENSTGUP00000013558	ENSGALP00000029867
ENSTGUP00000016344	ENSGALP00000008684
ENSTGUP00000001762	ENSGALP00000009309
ENSTGUP00000007513	ENSGALP00000009594
ENSTGUP00000011358	ENSGALP00000024609
ENSTGUP00000000953	ENSGALP00000041329
ENSTGUP00000008473	ENSGALP00000026714
ENSTGUP00000004060	ENSGALP00000007425
ENSTGUP00000006022	ENSGALP00000004899
ENSTGUP00000008117	ENSGALP00000009468
ENSTGUP00000005126	ENSGALP00000038735
ENSTGUP00000006875	ENSGALP00000008802
ENSTGUP00000011290	ENSGALP00000015220
ENSTGUP00000003040	ENSGALP00000001862
ENSTGUP00000010638	ENSGALP00000013862
ENSTGUP00000002212	ENSGALP00000016375
ENSTGUP00000008138	ENSGALP00000039068
ENSTGUP00000010538	ENSGALP00000041628
ENSTGUP00000006919	ENSGALP00000040737
ENSTGUP00000003784	ENSGALP00000003152
ENSTGUP00000001927	ENSGALP00000012914
ENSTGUP00000000862	ENSGALP00000000438
ENSTGUP00000006634	ENSGALP00000043346
ENSTGUP00000005957	ENSGALP00000020772
ENSTGUP00000008693	ENSGALP00000012540
ENSTGUP00000013915	ENSGALP00000024885
ENSTGUP00000013917	ENSGALP00000024898
ENSTGUP00000013916	ENSGALP00000024894
ENSTGUP00000005316	ENSGALP00000005486
ENSTGUP00000008937	ENSGALP00000017136
ENSTGUP00000004708	ENSGALP00000008685
ENSTGUP00000010851	ENSGALP00000024258
ENSTGUP00000001464	ENSGALP00000014599
ENSTGUP00000015597	ENSGALP00000005084
ENSTGUP00000008984	ENSGALP00000021816
ENSTGUP00000007434	ENSGALP00000001947
ENSTGUP00000008466	ENSGALP00000003376
ENSTGUP00000009531	ENSGALP00000011541
ENSTGUP00000013482	ENSGALP00000019918
ENSTGUP00000004194	ENSGALP00000015132
ENSTGUP00000001588	ENSGALP00000003008
ENSTGUP00000012128	ENSGALP00000036605
ENSTGUP00000007065	ENSGALP00000038599
ENSTGUP00000012279	ENSGALP00000025695
ENSTGUP00000005516	ENSGALP00000019831
ENSTGUP00000018064	ENSGALP00000009948
ENSTGUP00000012955	ENSGALP00000036803
ENSTGUP00000007934	ENSGALP00000013766
ENSTGUP00000011087	ENSGALP00000037440
ENSTGUP00000004962	ENSGALP00000025794
ENSTGUP00000016131	ENSGALP00000041954
ENSTGUP00000013639	ENSGALP00000023619
ENSTGUP00000010040	ENSGALP00000013212
ENSTGUP00000002015	ENSGALP00000005295
ENSTGUP00000001323	ENSGALP00000033423
ENSTGUP00000003451	ENSGALP00000014072
ENSTGUP00000006217	ENSGALP00000042178
ENSTGUP00000010287	ENSGALP00000024183
ENSTGUP00000000066	ENSGALP00000012232
ENSTGUP00000012029	ENSGALP00000032327
ENSTGUP00000002732	ENSGALP00000005154
ENSTGUP00000008903	ENSGALP00000042730
ENSTGUP00000011044	ENSGALP00000040762
ENSTGUP00000010999	ENSGALP00000025299
ENSTGUP00000000029	ENSGALP00000012349
ENSTGUP00000011819	ENSGALP00000015832
ENSTGUP00000005402	ENSGALP00000025949
ENSTGUP00000005120	ENSGALP00000019072
ENSTGUP00000010586	ENSGALP00000018376
ENSTGUP00000002755	ENSGALP00000023706
ENSTGUP00000013160	ENSGALP00000026187
ENSTGUP00000013071	ENSGALP00000025996
ENSTGUP00000004872	ENSGALP00000039371
ENSTGUP00000007984	ENSGALP00000017782
ENSTGUP00000002691	ENSGALP00000039853
ENSTGUP00000007349	ENSGALP00000016165
ENSTGUP00000001438	ENSGALP00000002841
ENSTGUP00000012415	ENSGALP00000023762
ENSTGUP00000001333	ENSGALP00000025280
ENSTGUP00000000667	ENSGALP00000036836
ENSTGUP00000008601	ENSGALP00000010297
ENSTGUP00000007460	ENSGALP00000008011
ENSTGUP00000000612	ENSGALP00000001966
ENSTGUP00000000470	ENSGALP00000017365
ENSTGUP00000004318	ENSGALP00000011095
ENSTGUP00000003665	ENSGALP00000042094
ENSTGUP00000008823	ENSGALP00000041616
ENSTGUP00000011436	ENSGALP00000035964
ENSTGUP00000008633	ENSGALP00000010434
ENSTGUP00000010014	ENSGALP00000013126
ENSTGUP00000010862	ENSGALP00000025256
ENSTGUP00000000437	ENSGALP00000041667
ENSTGUP00000012433	ENSGALP00000016543
ENSTGUP00000002762	ENSGALP00000015343
ENSTGUP00000000018	ENSGALP00000012399
ENSTGUP00000008952	ENSGALP00000041795
ENSTGUP00000009718	ENSGALP00000042010
ENSTGUP00000010608	ENSGALP00000019896
ENSTGUP00000009855	ENSGALP00000011575
ENSTGUP00000018138	ENSGALP00000011574
ENSTGUP00000008661	ENSGALP00000008845
ENSTGUP00000009593	ENSGALP00000003147
ENSTGUP00000009699	ENSGALP00000019223
ENSTGUP00000003033	ENSGALP00000033823
ENSTGUP00000011989	ENSGALP00000041743
ENSTGUP00000001302	ENSGALP00000034328
ENSTGUP00000009438	ENSGALP00000010387
ENSTGUP00000007659	ENSGALP00000016623
ENSTGUP00000009280	ENSGALP00000033461
ENSTGUP00000009382	ENSGALP00000022179
ENSTGUP00000016830	ENSGALP00000012634
ENSTGUP00000008381	ENSGALP00000040167
ENSTGUP00000016699	ENSGALP00000043083
ENSTGUP00000009523	ENSGALP00000023158
ENSTGUP00000005116	ENSGALP00000003993
ENSTGUP00000004179	ENSGALP00000041998
ENSTGUP00000000095	ENSGALP00000041190
ENSTGUP00000002204	ENSGALP00000038179
ENSTGUP00000010794	ENSGALP00000014119
ENSTGUP00000016172	ENSGALP00000039475
ENSTGUP00000007785	ENSGALP00000016759
ENSTGUP00000001340	ENSGALP00000000490
ENSTGUP00000009687	ENSGALP00000010627
ENSTGUP00000001365	ENSGALP00000000418
ENSTGUP00000013540	ENSGALP00000026538
ENSTGUP00000000822	ENSGALP00000000792
ENSTGUP00000005167	ENSGALP00000006255
ENSTGUP00000003576	ENSGALP00000009895
ENSTGUP00000012165	ENSGALP00000023914
ENSTGUP00000012000	ENSGALP00000025345
ENSTGUP00000007353	ENSGALP00000029249
ENSTGUP00000007342	ENSGALP00000038018
ENSTGUP00000008207	ENSGALP00000000701
ENSTGUP00000004267	ENSGALP00000007419
ENSTGUP00000016228	ENSGALP00000006488
ENSTGUP00000007708	ENSGALP00000016655
ENSTGUP00000008642	ENSGALP00000031243
ENSTGUP00000011191	ENSGALP00000025637
ENSTGUP00000010620	ENSGALP00000019900
ENSTGUP00000008795	ENSGALP00000005755
ENSTGUP00000004198	ENSGALP00000006638
ENSTGUP00000017674	ENSGALP00000006719
ENSTGUP00000000050	ENSGALP00000004243
ENSTGUP00000009257	ENSGALP00000007297
ENSTGUP00000011796	ENSGALP00000018361
ENSTGUP00000006736	ENSGALP00000016008
ENSTGUP00000011793	ENSGALP00000016972
ENSTGUP00000010224	ENSGALP00000011167
ENSTGUP00000008194	ENSGALP00000016511
ENSTGUP00000011332	ENSGALP00000015298
ENSTGUP00000000580	ENSGALP00000001820
ENSTGUP00000014036	ENSGALP00000024636
ENSTGUP00000001709	ENSGALP00000001306
ENSTGUP00000008743	ENSGALP00000010558
ENSTGUP00000005695	ENSGALP00000005028
ENSTGUP00000005729	ENSGALP00000002817
ENSTGUP00000008285	ENSGALP00000007002
ENSTGUP00000010927	ENSGALP00000020304
ENSTGUP00000007869	ENSGALP00000028002
ENSTGUP00000003849	ENSGALP00000003942
ENSTGUP00000006031	ENSGALP00000010315
ENSTGUP00000006674	ENSGALP00000026123
ENSTGUP00000013493	ENSGALP00000026509
ENSTGUP00000002631	ENSGALP00000038038
ENSTGUP00000003454	ENSGALP00000016092
ENSTGUP00000011530	ENSGALP00000015034
ENSTGUP00000008274	ENSGALP00000015644
ENSTGUP00000004697	ENSGALP00000014144
ENSTGUP00000010783	ENSGALP00000013312
ENSTGUP00000013083	ENSGALP00000025658
ENSTGUP00000006650	ENSGALP00000017419
ENSTGUP00000002537	ENSGALP00000014727
ENSTGUP00000006550	ENSGALP00000008333
ENSTGUP00000007462	ENSGALP00000022155
ENSTGUP00000001742	ENSGALP00000017404
ENSTGUP00000012200	ENSGALP00000040980
ENSTGUP00000004223	ENSGALP00000024116
ENSTGUP00000010751	ENSGALP00000013987
ENSTGUP00000016570	ENSGALP00000032036
ENSTGUP00000000693	ENSGALP00000006317
ENSTGUP00000008563	ENSGALP00000010254
ENSTGUP00000006098	ENSGALP00000015550
ENSTGUP00000005767	ENSGALP00000015440
ENSTGUP00000000238	ENSGALP00000024775
ENSTGUP00000015296	ENSGALP00000040821
ENSTGUP00000011154	ENSGALP00000035995
ENSTGUP00000006576	ENSGALP00000010754
ENSTGUP00000003201	ENSGALP00000000558
ENSTGUP00000008430	ENSGALP00000015569
ENSTGUP00000007383	ENSGALP00000009715
ENSTGUP00000015219	ENSGALP00000041643
ENSTGUP00000017605	ENSGALP00000005542
ENSTGUP00000005144	ENSGALP00000005911
ENSTGUP00000012816	ENSGALP00000021309
ENSTGUP00000010009	ENSGALP00000038677
ENSTGUP00000012170	ENSGALP00000031103
ENSTGUP00000007777	ENSGALP00000033347
ENSTGUP00000011578	ENSGALP00000042863
ENSTGUP00000009762	ENSGALP00000007758
ENSTGUP00000008964	ENSGALP00000012991
ENSTGUP00000009757	ENSGALP00000043098
ENSTGUP00000007666	ENSGALP00000035478
ENSTGUP00000008825	ENSGALP00000017248
ENSTGUP00000012172	ENSGALP00000016081
ENSTGUP00000006976	ENSGALP00000008657
ENSTGUP00000005436	ENSGALP00000034943
ENSTGUP00000005631	ENSGALP00000038463
ENSTGUP00000012795	ENSGALP00000026367
ENSTGUP00000012776	ENSGALP00000026389
ENSTGUP00000004955	ENSGALP00000041334
ENSTGUP00000010048	ENSGALP00000014166
ENSTGUP00000001166	ENSGALP00000014164
ENSTGUP00000002337	ENSGALP00000023927
ENSTGUP00000002037	ENSGALP00000038374
ENSTGUP00000001087	ENSGALP00000041435
ENSTGUP00000007565	ENSGALP00000026339
ENSTGUP00000013599	ENSGALP00000026940
ENSTGUP00000008361	ENSGALP00000012126
ENSTGUP00000010023	ENSGALP00000022345
ENSTGUP00000002032	ENSGALP00000039731
ENSTGUP00000008226	ENSGALP00000042770
ENSTGUP00000017672	ENSGALP00000040597
ENSTGUP00000006493	ENSGALP00000023180
ENSTGUP00000003481	ENSGALP00000043184
ENSTGUP00000006755	ENSGALP00000008955
ENSTGUP00000012548	ENSGALP00000036948
ENSTGUP00000000318	ENSGALP00000012815
ENSTGUP00000001996	ENSGALP00000013267
ENSTGUP00000004099	ENSGALP00000000135
ENSTGUP00000009148	ENSGALP00000032783
ENSTGUP00000006788	ENSGALP00000010405
ENSTGUP00000010143	ENSGALP00000011051
ENSTGUP00000013825	ENSGALP00000024514
ENSTGUP00000007965	ENSGALP00000002643
ENSTGUP00000006343	ENSGALP00000009774
ENSTGUP00000002883	ENSGALP00000017861
ENSTGUP00000008006	ENSGALP00000002668
ENSTGUP00000012058	ENSGALP00000019871
ENSTGUP00000004660	ENSGALP00000003253
ENSTGUP00000008078	ENSGALP00000009089
ENSTGUP00000001807	ENSGALP00000009383
ENSTGUP00000001806	ENSGALP00000040651
ENSTGUP00000009483	ENSGALP00000032659
ENSTGUP00000006335	ENSGALP00000024072
ENSTGUP00000005504	ENSGALP00000039162
ENSTGUP00000011922	ENSGALP00000025193
ENSTGUP00000007857	ENSGALP00000009289
ENSTGUP00000004090	ENSGALP00000017129
ENSTGUP00000005207	ENSGALP00000005856
ENSTGUP00000006784	ENSGALP00000007999
ENSTGUP00000009175	ENSGALP00000015090
ENSTGUP00000000995	ENSGALP00000001390
ENSTGUP00000013902	ENSGALP00000024849
ENSTGUP00000014630	ENSGALP00000040785
ENSTGUP00000013283	ENSGALP00000027812
ENSTGUP00000011576	ENSGALP00000035733
ENSTGUP00000004860	ENSGALP00000037537
ENSTGUP00000017687	ENSGALP00000007067
ENSTGUP00000003497	ENSGALP00000007744
ENSTGUP00000003464	ENSGALP00000011314
ENSTGUP00000001619	ENSGALP00000003296
ENSTGUP00000009009	ENSGALP00000041545
ENSTGUP00000005000	ENSGALP00000007651
ENSTGUP00000012404	ENSGALP00000022861
ENSTGUP00000014120	ENSGALP00000004423
ENSTGUP00000002682	ENSGALP00000017600
ENSTGUP00000012859	ENSGALP00000025477
ENSTGUP00000005190	ENSGALP00000004775
ENSTGUP00000010407	ENSGALP00000019596
ENSTGUP00000005984	ENSGALP00000040936
ENSTGUP00000003110	ENSGALP00000011192
ENSTGUP00000008914	ENSGALP00000005601
ENSTGUP00000004879	ENSGALP00000019837
ENSTGUP00000012313	ENSGALP00000043385
ENSTGUP00000000979	ENSGALP00000004030
ENSTGUP00000005147	ENSGALP00000019086
ENSTGUP00000003675	ENSGALP00000020041
ENSTGUP00000006200	ENSGALP00000043172
ENSTGUP00000010672	ENSGALP00000013528
ENSTGUP00000003924	ENSGALP00000004936
ENSTGUP00000003919	ENSGALP00000007663
ENSTGUP00000008408	ENSGALP00000023820
ENSTGUP00000003114	ENSGALP00000023822
ENSTGUP00000000409	ENSGALP00000005414
ENSTGUP00000013794	ENSGALP00000024272
ENSTGUP00000013088	ENSGALP00000025661
ENSTGUP00000009769	ENSGALP00000042784
ENSTGUP00000010476	ENSGALP00000032290
ENSTGUP00000010056	ENSGALP00000031203
ENSTGUP00000011156	ENSGALP00000024517
ENSTGUP00000014796	ENSGALP00000026672
ENSTGUP00000011695	ENSGALP00000020806
ENSTGUP00000013321	ENSGALP00000027828
ENSTGUP00000002376	ENSGALP00000014813
ENSTGUP00000013771	ENSGALP00000024100
ENSTGUP00000005954	ENSGALP00000015434
ENSTGUP00000001346	ENSGALP00000039251
ENSTGUP00000008437	ENSGALP00000026702
ENSTGUP00000006727	ENSGALP00000000160
ENSTGUP00000006551	ENSGALP00000031563
ENSTGUP00000006442	ENSGALP00000032099
ENSTGUP00000008073	ENSGALP00000026647
ENSTGUP00000017697	ENSGALP00000007158
ENSTGUP00000015248	ENSGALP00000041017
ENSTGUP00000011101	ENSGALP00000041645
ENSTGUP00000007250	ENSGALP00000016303
ENSTGUP00000005801	ENSGALP00000007750
ENSTGUP00000012144	ENSGALP00000015978
ENSTGUP00000005265	ENSGALP00000005791
ENSTGUP00000014450	ENSGALP00000042674
ENSTGUP00000000312	ENSGALP00000004508
ENSTGUP00000003052	ENSGALP00000018139
ENSTGUP00000017329	ENSGALP00000004798
ENSTGUP00000009163	ENSGALP00000032623
ENSTGUP00000009300	ENSGALP00000007263
ENSTGUP00000011821	ENSGALP00000025120
ENSTGUP00000014761	ENSGALP00000026768
ENSTGUP00000006705	ENSGALP00000010621
ENSTGUP00000011441	ENSGALP00000024806
ENSTGUP00000011365	ENSGALP00000022306
ENSTGUP00000016516	ENSGALP00000040698
ENSTGUP00000005742	ENSGALP00000012500
ENSTGUP00000002765	ENSGALP00000014298
ENSTGUP00000014588	ENSGALP00000017717
ENSTGUP00000001151	ENSGALP00000041389
ENSTGUP00000001026	ENSGALP00000003242
ENSTGUP00000008256	ENSGALP00000009070
ENSTGUP00000017794	ENSGALP00000001016
ENSTGUP00000008457	ENSGALP00000010066
ENSTGUP00000012016	ENSGALP00000027554
ENSTGUP00000001279	ENSGALP00000040780
ENSTGUP00000006137	ENSGALP00000005695
ENSTGUP00000000908	ENSGALP00000011232
ENSTGUP00000003673	ENSGALP00000042882
ENSTGUP00000006866	ENSGALP00000010012
ENSTGUP00000002093	ENSGALP00000020984
ENSTGUP00000010361	ENSGALP00000013824
ENSTGUP00000003509	ENSGALP00000028981
ENSTGUP00000000942	ENSGALP00000011458
ENSTGUP00000008787	ENSGALP00000021770
ENSTGUP00000011109	ENSGALP00000000703
ENSTGUP00000000566	ENSGALP00000040051
ENSTGUP00000003826	ENSGALP00000023872
ENSTGUP00000001115	ENSGALP00000004847
ENSTGUP00000006908	ENSGALP00000005096
ENSTGUP00000012204	ENSGALP00000031100
ENSTGUP00000014887	ENSGALP00000026633
ENSTGUP00000004121	ENSGALP00000025929
ENSTGUP00000006535	ENSGALP00000024869
ENSTGUP00000005711	ENSGALP00000018561
ENSTGUP00000015180	ENSGALP00000026599
ENSTGUP00000002638	ENSGALP00000011572
ENSTGUP00000012976	ENSGALP00000025563
ENSTGUP00000008996	ENSGALP00000012999
ENSTGUP00000011084	ENSGALP00000035999
ENSTGUP00000007961	ENSGALP00000011768
ENSTGUP00000005892	ENSGALP00000004246
ENSTGUP00000004903	ENSGALP00000041763
ENSTGUP00000002602	ENSGALP00000037475
ENSTGUP00000001592	ENSGALP00000003126
ENSTGUP00000000873	ENSGALP00000001030
ENSTGUP00000011672	ENSGALP00000020204
ENSTGUP00000011091	ENSGALP00000040587
ENSTGUP00000012028	ENSGALP00000020932
ENSTGUP00000004154	ENSGALP00000007982
ENSTGUP00000007844	ENSGALP00000013683
ENSTGUP00000006729	ENSGALP00000009042
ENSTGUP00000011751	ENSGALP00000027611
ENSTGUP00000007515	ENSGALP00000022180
ENSTGUP00000004575	ENSGALP00000006962
ENSTGUP00000008530	ENSGALP00000026733
ENSTGUP00000007345	ENSGALP00000036695
ENSTGUP00000010765	ENSGALP00000037232
ENSTGUP00000004873	ENSGALP00000041564
ENSTGUP00000003463	ENSGALP00000028857
ENSTGUP00000002251	ENSGALP00000005812
ENSTGUP00000002369	ENSGALP00000010977
ENSTGUP00000013821	ENSGALP00000024466
ENSTGUP00000010814	ENSGALP00000025213
ENSTGUP00000003793	ENSGALP00000041907
ENSTGUP00000000615	ENSGALP00000037978
ENSTGUP00000005794	ENSGALP00000037439
ENSTGUP00000007278	ENSGALP00000008824
ENSTGUP00000011650	ENSGALP00000035658
ENSTGUP00000001786	ENSGALP00000003954
ENSTGUP00000008429	ENSGALP00000000999
ENSTGUP00000007322	ENSGALP00000008530
ENSTGUP00000011503	ENSGALP00000015333
ENSTGUP00000011259	ENSGALP00000014623
ENSTGUP00000000272	ENSGALP00000040240
ENSTGUP00000010526	ENSGALP00000036444
ENSTGUP00000013477	ENSGALP00000026501
ENSTGUP00000001269	ENSGALP00000025195
ENSTGUP00000001274	ENSGALP00000025196
ENSTGUP00000005588	ENSGALP00000008724
ENSTGUP00000015037	ENSGALP00000022017
ENSTGUP00000017894	ENSGALP00000006772
ENSTGUP00000017833	ENSGALP00000041896
ENSTGUP00000007191	ENSGALP00000007631
ENSTGUP00000003750	ENSGALP00000004095
ENSTGUP00000013650	ENSGALP00000023600
ENSTGUP00000005281	ENSGALP00000008499
ENSTGUP00000004728	ENSGALP00000042582
ENSTGUP00000006419	ENSGALP00000010965
ENSTGUP00000008273	ENSGALP00000021401
ENSTGUP00000009318	ENSGALP00000011221
ENSTGUP00000005246	ENSGALP00000018686
ENSTGUP00000012105	ENSGALP00000019932
ENSTGUP00000005090	ENSGALP00000019608
ENSTGUP00000006611	ENSGALP00000043251
ENSTGUP00000004612	ENSGALP00000003359
ENSTGUP00000006595	ENSGALP00000002590
ENSTGUP00000005037	ENSGALP00000018799
ENSTGUP00000001929	ENSGALP00000018798
ENSTGUP00000003036	ENSGALP00000018109
ENSTGUP00000011296	ENSGALP00000024567
ENSTGUP00000007533	ENSGALP00000008235
ENSTGUP00000003107	ENSGALP00000041987
ENSTGUP00000011457	ENSGALP00000043009
ENSTGUP00000011692	ENSGALP00000016852
ENSTGUP00000010112	ENSGALP00000008433
ENSTGUP00000007895	ENSGALP00000034906
ENSTGUP00000001112	ENSGALP00000009571
ENSTGUP00000004959	ENSGALP00000005158
ENSTGUP00000013487	ENSGALP00000020284
ENSTGUP00000009896	ENSGALP00000019318
ENSTGUP00000004386	ENSGALP00000012171
ENSTGUP00000005833	ENSGALP00000014787
ENSTGUP00000012747	ENSGALP00000017195
ENSTGUP00000003763	ENSGALP00000023270
ENSTGUP00000010173	ENSGALP00000018176
ENSTGUP00000004923	ENSGALP00000005119
ENSTGUP00000002299	ENSGALP00000023510
ENSTGUP00000005807	ENSGALP00000019684
ENSTGUP00000001627	ENSGALP00000019031
ENSTGUP00000001377	ENSGALP00000000400
ENSTGUP00000009668	ENSGALP00000010605
ENSTGUP00000013774	ENSGALP00000024104
ENSTGUP00000008802	ENSGALP00000021529
ENSTGUP00000013641	ENSGALP00000041392
ENSTGUP00000016657	ENSGALP00000025762
ENSTGUP00000001161	ENSGALP00000041784
ENSTGUP00000001054	ENSGALP00000000503
ENSTGUP00000000110	ENSGALP00000007890
ENSTGUP00000001966	ENSGALP00000000885
ENSTGUP00000006178	ENSGALP00000040383
ENSTGUP00000004319	ENSGALP00000041005
ENSTGUP00000006173	ENSGALP00000003616
ENSTGUP00000012293	ENSGALP00000016266
ENSTGUP00000006165	ENSGALP00000014097
ENSTGUP00000007380	ENSGALP00000016189
ENSTGUP00000009045	ENSGALP00000009976
ENSTGUP00000003274	ENSGALP00000010189
ENSTGUP00000010377	ENSGALP00000038510
ENSTGUP00000004820	ENSGALP00000038764
ENSTGUP00000007113	ENSGALP00000014509
ENSTGUP00000013050	ENSGALP00000021127
ENSTGUP00000006474	ENSGALP00000006977
ENSTGUP00000000927	ENSGALP00000042729
ENSTGUP00000013384	ENSGALP00000036138
ENSTGUP00000000052	ENSGALP00000021740
ENSTGUP00000001632	ENSGALP00000015756
ENSTGUP00000005697	ENSGALP00000005007
ENSTGUP00000008584	ENSGALP00000010880
ENSTGUP00000000053	ENSGALP00000012552
ENSTGUP00000012879	ENSGALP00000026259
ENSTGUP00000001278	ENSGALP00000039774
ENSTGUP00000013495	ENSGALP00000036097
ENSTGUP00000011273	ENSGALP00000022390
ENSTGUP00000001432	ENSGALP00000005123
ENSTGUP00000008104	ENSGALP00000026648
ENSTGUP00000012913	ENSGALP00000025506
ENSTGUP00000003586	ENSGALP00000004350
ENSTGUP00000009802	ENSGALP00000011706
ENSTGUP00000008183	ENSGALP00000003058
ENSTGUP00000009149	ENSGALP00000017138
ENSTGUP00000012119	ENSGALP00000023887
ENSTGUP00000010197	ENSGALP00000021759
ENSTGUP00000004446	ENSGALP00000005381
ENSTGUP00000001659	ENSGALP00000001096
ENSTGUP00000003926	ENSGALP00000038449
ENSTGUP00000004017	ENSGALP00000017170
ENSTGUP00000011418	ENSGALP00000015127
ENSTGUP00000004848	ENSGALP00000004938
ENSTGUP00000010949	ENSGALP00000025287
ENSTGUP00000011652	ENSGALP00000015480
ENSTGUP00000005238	ENSGALP00000039913
ENSTGUP00000010136	ENSGALP00000036925
ENSTGUP00000013459	ENSGALP00000019812
ENSTGUP00000011899	ENSGALP00000022616
ENSTGUP00000006032	ENSGALP00000000539
ENSTGUP00000009172	ENSGALP00000041327
ENSTGUP00000012833	ENSGALP00000041204
ENSTGUP00000001491	ENSGALP00000001262
ENSTGUP00000013888	ENSGALP00000036086
ENSTGUP00000012482	ENSGALP00000024627
ENSTGUP00000007492	ENSGALP00000009047
ENSTGUP00000009708	ENSGALP00000012086
