ENSLOCP00000011371	ENSDARP00000122973
ENSLOCP00000008446	ENSDARP00000103647
ENSLOCP00000008100	ENSDARP00000109390
ENSLOCP00000014292	ENSDARP00000110556
ENSLOCP00000017693	ENSDARP00000070661
ENSLOCP00000016048	ENSDARP00000129867
ENSLOCP00000016048	ENSDARP00000101607
ENSLOCP00000009135	ENSDARP00000087453
ENSLOCP00000013389	ENSDARP00000123328
ENSLOCP00000015294	ENSDARP00000121285
ENSLOCP00000018282	ENSDARP00000128656
ENSLOCP00000019874	ENSDARP00000072078
ENSLOCP00000001620	ENSDARP00000082073
ENSLOCP00000013917	ENSDARP00000125714
ENSLOCP00000016983	ENSDARP00000094504
ENSLOCP00000001993	ENSDARP00000109037
ENSLOCP00000021139	ENSDARP00000074257
ENSLOCP00000015793	ENSDARP00000051806
ENSLOCP00000014911	ENSDARP00000107517
ENSLOCP00000003109	ENSDARP00000117320
ENSLOCP00000011469	ENSDARP00000029427
ENSLOCP00000003030	ENSDARP00000016596
ENSLOCP00000005987	ENSDARP00000126174
ENSLOCP00000007766	ENSDARP00000115088
ENSLOCP00000003512	ENSDARP00000049009
ENSLOCP00000008157	ENSDARP00000041589
ENSLOCP00000000511	ENSDARP00000046526
ENSLOCP00000016179	ENSDARP00000127387
ENSLOCP00000004306	ENSDARP00000128790
ENSLOCP00000011968	ENSDARP00000093332
ENSLOCP00000003269	ENSDARP00000050849
ENSLOCP00000007512	ENSDARP00000113661
ENSLOCP00000007512	ENSDARP00000112226
ENSLOCP00000010531	ENSDARP00000111960
ENSLOCP00000009883	ENSDARP00000024846
ENSLOCP00000021141	ENSDARP00000087416
ENSLOCP00000006762	ENSDARP00000012411
ENSLOCP00000011364	ENSDARP00000090999
ENSLOCP00000000702	ENSDARP00000094810
ENSLOCP00000011852	ENSDARP00000083866
ENSLOCP00000011852	ENSDARP00000083861
ENSLOCP00000016971	ENSDARP00000108772
ENSLOCP00000016971	ENSDARP00000082411
ENSLOCP00000002755	ENSDARP00000105921
ENSLOCP00000019564	ENSDARP00000007655
ENSLOCP00000012768	ENSDARP00000094772
ENSLOCP00000006944	ENSDARP00000103094
ENSLOCP00000005645	ENSDARP00000065138
ENSLOCP00000017680	ENSDARP00000051185
ENSLOCP00000009102	ENSDARP00000093927
ENSLOCP00000018564	ENSDARP00000064725
ENSLOCP00000000253	ENSDARP00000101129
ENSLOCP00000012957	ENSDARP00000109285
ENSLOCP00000012436	ENSDARP00000100462
ENSLOCP00000019962	ENSDARP00000018064
ENSLOCP00000020166	ENSDARP00000074190
ENSLOCP00000014800	ENSDARP00000123183
ENSLOCP00000007654	ENSDARP00000021253
ENSLOCP00000016433	ENSDARP00000054822
ENSLOCP00000004184	ENSDARP00000081199
ENSLOCP00000001591	ENSDARP00000094802
ENSLOCP00000009092	ENSDARP00000077256
ENSLOCP00000011580	ENSDARP00000073752
ENSLOCP00000011580	ENSDARP00000113323
ENSLOCP00000019949	ENSDARP00000100116
ENSLOCP00000002909	ENSDARP00000091365
ENSLOCP00000008090	ENSDARP00000103524
ENSLOCP00000016301	ENSDARP00000116609
ENSLOCP00000007075	ENSDARP00000013759
ENSLOCP00000003717	ENSDARP00000016201
ENSLOCP00000018648	ENSDARP00000039879
ENSLOCP00000013828	ENSDARP00000041608
ENSLOCP00000001155	ENSDARP00000037712
ENSLOCP00000020117	ENSDARP00000061913
ENSLOCP00000015882	ENSDARP00000017895
ENSLOCP00000015882	ENSDARP00000020770
ENSLOCP00000018924	ENSDARP00000104466
ENSLOCP00000014823	ENSDARP00000070824
ENSLOCP00000007183	ENSDARP00000032264
ENSLOCP00000007183	ENSDARP00000115900
ENSLOCP00000015386	ENSDARP00000041713
ENSLOCP00000015386	ENSDARP00000020867
ENSLOCP00000005237	ENSDARP00000087620
ENSLOCP00000005237	ENSDARP00000021697
ENSLOCP00000005794	ENSDARP00000087617
ENSLOCP00000011607	ENSDARP00000117820
ENSLOCP00000011607	ENSDARP00000100590
ENSLOCP00000003340	ENSDARP00000111996
ENSLOCP00000001670	ENSDARP00000122091
ENSLOCP00000012438	ENSDARP00000114440
ENSLOCP00000012438	ENSDARP00000062681
ENSLOCP00000020561	ENSDARP00000076045
ENSLOCP00000008873	ENSDARP00000018618
ENSLOCP00000008873	ENSDARP00000118078
ENSLOCP00000008920	ENSDARP00000108469
ENSLOCP00000008406	ENSDARP00000106624
ENSLOCP00000001934	ENSDARP00000073848
ENSLOCP00000010972	ENSDARP00000112460
ENSLOCP00000001672	ENSDARP00000100101
ENSLOCP00000014059	ENSDARP00000083454
ENSLOCP00000018435	ENSDARP00000075899
ENSLOCP00000012855	ENSDARP00000092445
ENSLOCP00000011571	ENSDARP00000092429
ENSLOCP00000004438	ENSDARP00000063524
ENSLOCP00000008166	ENSDARP00000052384
ENSLOCP00000008166	ENSDARP00000067158
ENSLOCP00000020039	ENSDARP00000074283
ENSLOCP00000018669	ENSDARP00000012808
ENSLOCP00000002134	ENSDARP00000040409
ENSLOCP00000010909	ENSDARP00000107633
ENSLOCP00000005187	ENSDARP00000105160
ENSLOCP00000003362	ENSDARP00000109436
ENSLOCP00000004900	ENSDARP00000109113
ENSLOCP00000009902	ENSDARP00000011293
ENSLOCP00000015286	ENSDARP00000124325
ENSLOCP00000015286	ENSDARP00000043677
ENSLOCP00000011762	ENSDARP00000063717
ENSLOCP00000002898	ENSDARP00000053684
ENSLOCP00000010949	ENSDARP00000115345
ENSLOCP00000005069	ENSDARP00000016209
ENSLOCP00000005363	ENSDARP00000080193
ENSLOCP00000017081	ENSDARP00000104762
ENSLOCP00000017078	ENSDARP00000093874
ENSLOCP00000015077	ENSDARP00000066052
ENSLOCP00000021772	ENSDARP00000109267
ENSLOCP00000011966	ENSDARP00000055394
ENSLOCP00000021548	ENSDARP00000104051
ENSLOCP00000004043	ENSDARP00000109556
ENSLOCP00000009868	ENSDARP00000097371
ENSLOCP00000002993	ENSDARP00000051798
ENSLOCP00000017801	ENSDARP00000077625
ENSLOCP00000014828	ENSDARP00000054625
ENSLOCP00000002253	ENSDARP00000054875
ENSLOCP00000011829	ENSDARP00000108280
ENSLOCP00000018321	ENSDARP00000070563
ENSLOCP00000018418	ENSDARP00000116605
ENSLOCP00000000529	ENSDARP00000107425
ENSLOCP00000001353	ENSDARP00000099886
ENSLOCP00000002331	ENSDARP00000051663
ENSLOCP00000012475	ENSDARP00000090052
ENSLOCP00000011687	ENSDARP00000097487
ENSLOCP00000015455	ENSDARP00000127272
ENSLOCP00000015429	ENSDARP00000058762
ENSLOCP00000015768	ENSDARP00000083666
ENSLOCP00000014609	ENSDARP00000090007
ENSLOCP00000018868	ENSDARP00000129621
ENSLOCP00000016818	ENSDARP00000100039
ENSLOCP00000004411	ENSDARP00000097836
ENSLOCP00000004411	ENSDARP00000103132
ENSLOCP00000006636	ENSDARP00000050017
ENSLOCP00000003339	ENSDARP00000061326
ENSLOCP00000003153	ENSDARP00000020679
ENSLOCP00000009886	ENSDARP00000058869
ENSLOCP00000018608	ENSDARP00000053517
ENSLOCP00000020190	ENSDARP00000015966
ENSLOCP00000009110	ENSDARP00000077794
ENSLOCP00000009110	ENSDARP00000102826
ENSLOCP00000016532	ENSDARP00000104446
ENSLOCP00000016532	ENSDARP00000025803
ENSLOCP00000001069	ENSDARP00000093902
ENSLOCP00000016472	ENSDARP00000068305
ENSLOCP00000010168	ENSDARP00000060813
ENSLOCP00000022379	ENSDARP00000043290
ENSLOCP00000022380	ENSDARP00000052294
ENSLOCP00000001930	ENSDARP00000101723
ENSLOCP00000001930	ENSDARP00000040277
ENSLOCP00000011160	ENSDARP00000092347
ENSLOCP00000011160	ENSDARP00000116412
ENSLOCP00000008265	ENSDARP00000107579
ENSLOCP00000008265	ENSDARP00000012943
ENSLOCP00000018952	ENSDARP00000068559
ENSLOCP00000001516	ENSDARP00000113026
ENSLOCP00000004814	ENSDARP00000105953
ENSLOCP00000012999	ENSDARP00000125884
ENSLOCP00000005990	ENSDARP00000024810
ENSLOCP00000014079	ENSDARP00000035593
ENSLOCP00000007639	ENSDARP00000027152
ENSLOCP00000019882	ENSDARP00000092538
ENSLOCP00000019882	ENSDARP00000089501
ENSLOCP00000017739	ENSDARP00000048675
ENSLOCP00000017739	ENSDARP00000115860
ENSLOCP00000019482	ENSDARP00000046625
ENSLOCP00000015285	ENSDARP00000121293
ENSLOCP00000001810	ENSDARP00000085946
ENSLOCP00000019646	ENSDARP00000113219
ENSLOCP00000005602	ENSDARP00000112978
ENSLOCP00000001994	ENSDARP00000128691
ENSLOCP00000004256	ENSDARP00000023151
ENSLOCP00000004256	ENSDARP00000041006
ENSLOCP00000020502	ENSDARP00000118416
ENSLOCP00000001537	ENSDARP00000111362
ENSLOCP00000006832	ENSDARP00000108392
ENSLOCP00000021020	ENSDARP00000082800
ENSLOCP00000012401	ENSDARP00000023794
ENSLOCP00000012401	ENSDARP00000058728
ENSLOCP00000010126	ENSDARP00000114402
ENSLOCP00000010126	ENSDARP00000080768
ENSLOCP00000017195	ENSDARP00000099884
ENSLOCP00000007394	ENSDARP00000114797
ENSLOCP00000003100	ENSDARP00000058092
ENSLOCP00000003100	ENSDARP00000009785
ENSLOCP00000020695	ENSDARP00000063702
ENSLOCP00000017851	ENSDARP00000110600
ENSLOCP00000016443	ENSDARP00000094127
ENSLOCP00000007858	ENSDARP00000014955
ENSLOCP00000012412	ENSDARP00000099510
ENSLOCP00000012794	ENSDARP00000123496
ENSLOCP00000018584	ENSDARP00000129200
ENSLOCP00000003007	ENSDARP00000070385
ENSLOCP00000003007	ENSDARP00000056537
ENSLOCP00000015733	ENSDARP00000105963
ENSLOCP00000008736	ENSDARP00000078434
ENSLOCP00000004474	ENSDARP00000018980
ENSLOCP00000019571	ENSDARP00000062907
ENSLOCP00000021738	ENSDARP00000002367
ENSLOCP00000016041	ENSDARP00000117664
ENSLOCP00000016041	ENSDARP00000127227
ENSLOCP00000020073	ENSDARP00000012869
ENSLOCP00000016392	ENSDARP00000006838
ENSLOCP00000016392	ENSDARP00000113944
ENSLOCP00000015763	ENSDARP00000107021
ENSLOCP00000009001	ENSDARP00000081714
ENSLOCP00000003025	ENSDARP00000022331
ENSLOCP00000003025	ENSDARP00000083997
ENSLOCP00000013336	ENSDARP00000101964
ENSLOCP00000012073	ENSDARP00000097114
ENSLOCP00000018477	ENSDARP00000109570
ENSLOCP00000010296	ENSDARP00000113730
ENSLOCP00000011431	ENSDARP00000120826
ENSLOCP00000019597	ENSDARP00000090291
ENSLOCP00000006145	ENSDARP00000071465
ENSLOCP00000002923	ENSDARP00000079654
ENSLOCP00000003881	ENSDARP00000044207
ENSLOCP00000019890	ENSDARP00000098627
ENSLOCP00000003343	ENSDARP00000115969
ENSLOCP00000004961	ENSDARP00000007237
ENSLOCP00000012361	ENSDARP00000113995
ENSLOCP00000017515	ENSDARP00000121746
ENSLOCP00000016868	ENSDARP00000105895
ENSLOCP00000022011	ENSDARP00000115355
ENSLOCP00000015036	ENSDARP00000110953
ENSLOCP00000017503	ENSDARP00000088990
ENSLOCP00000018736	ENSDARP00000009986
ENSLOCP00000001265	ENSDARP00000074034
ENSLOCP00000001265	ENSDARP00000103952
ENSLOCP00000002922	ENSDARP00000099224
ENSLOCP00000004711	ENSDARP00000045398
ENSLOCP00000004668	ENSDARP00000080406
ENSLOCP00000004342	ENSDARP00000075509
ENSLOCP00000019008	ENSDARP00000091924
ENSLOCP00000003892	ENSDARP00000050761
ENSLOCP00000016162	ENSDARP00000008140
ENSLOCP00000012000	ENSDARP00000047072
ENSLOCP00000012000	ENSDARP00000115525
ENSLOCP00000010039	ENSDARP00000110151
ENSLOCP00000014482	ENSDARP00000115217
ENSLOCP00000013133	ENSDARP00000110113
ENSLOCP00000003077	ENSDARP00000022077
ENSLOCP00000016984	ENSDARP00000030881
ENSLOCP00000015166	ENSDARP00000115067
ENSLOCP00000015166	ENSDARP00000001793
ENSLOCP00000019498	ENSDARP00000098590
ENSLOCP00000018183	ENSDARP00000082673
ENSLOCP00000018183	ENSDARP00000063095
ENSLOCP00000012703	ENSDARP00000054734
ENSLOCP00000012703	ENSDARP00000065012
ENSLOCP00000018901	ENSDARP00000038991
ENSLOCP00000012800	ENSDARP00000105722
ENSLOCP00000006183	ENSDARP00000088388
ENSLOCP00000015163	ENSDARP00000091083
ENSLOCP00000018533	ENSDARP00000104897
ENSLOCP00000019036	ENSDARP00000052551
ENSLOCP00000006308	ENSDARP00000007792
ENSLOCP00000002866	ENSDARP00000081313
ENSLOCP00000008338	ENSDARP00000073595
ENSLOCP00000004541	ENSDARP00000051413
ENSLOCP00000005495	ENSDARP00000054427
ENSLOCP00000005061	ENSDARP00000118711
ENSLOCP00000005061	ENSDARP00000105614
ENSLOCP00000008900	ENSDARP00000044837
ENSLOCP00000008900	ENSDARP00000049419
ENSLOCP00000003975	ENSDARP00000084170
ENSLOCP00000003197	ENSDARP00000085993
ENSLOCP00000020412	ENSDARP00000100420
ENSLOCP00000020412	ENSDARP00000097792
ENSLOCP00000005146	ENSDARP00000128169
ENSLOCP00000018326	ENSDARP00000111268
ENSLOCP00000018326	ENSDARP00000073887
ENSLOCP00000011723	ENSDARP00000107305
ENSLOCP00000015960	ENSDARP00000106793
ENSLOCP00000018356	ENSDARP00000062696
ENSLOCP00000018356	ENSDARP00000074879
ENSLOCP00000001102	ENSDARP00000073632
ENSLOCP00000001102	ENSDARP00000102997
ENSLOCP00000011666	ENSDARP00000082444
ENSLOCP00000002215	ENSDARP00000107355
ENSLOCP00000011773	ENSDARP00000104487
ENSLOCP00000019614	ENSDARP00000079959
ENSLOCP00000001764	ENSDARP00000080136
ENSLOCP00000017810	ENSDARP00000114111
ENSLOCP00000007471	ENSDARP00000103287
ENSLOCP00000011665	ENSDARP00000101246
ENSLOCP00000010074	ENSDARP00000020528
ENSLOCP00000010074	ENSDARP00000048135
ENSLOCP00000018588	ENSDARP00000050541
ENSLOCP00000008520	ENSDARP00000105488
ENSLOCP00000006214	ENSDARP00000114497
ENSLOCP00000006214	ENSDARP00000029204
ENSLOCP00000006189	ENSDARP00000105986
ENSLOCP00000009307	ENSDARP00000106755
ENSLOCP00000008547	ENSDARP00000102247
ENSLOCP00000012820	ENSDARP00000118143
ENSLOCP00000004869	ENSDARP00000115280
ENSLOCP00000013311	ENSDARP00000088711
ENSLOCP00000019031	ENSDARP00000122176
ENSLOCP00000019031	ENSDARP00000113716
ENSLOCP00000017806	ENSDARP00000080101
ENSLOCP00000017806	ENSDARP00000072349
ENSLOCP00000019282	ENSDARP00000041401
ENSLOCP00000013206	ENSDARP00000128619
ENSLOCP00000020592	ENSDARP00000013620
ENSLOCP00000014512	ENSDARP00000103000
ENSLOCP00000015167	ENSDARP00000038893
ENSLOCP00000009287	ENSDARP00000025057
ENSLOCP00000009287	ENSDARP00000128605
ENSLOCP00000004908	ENSDARP00000119495
ENSLOCP00000007803	ENSDARP00000115557
ENSLOCP00000016544	ENSDARP00000113004
ENSLOCP00000016544	ENSDARP00000118656
ENSLOCP00000014453	ENSDARP00000104621
ENSLOCP00000014466	ENSDARP00000123074
ENSLOCP00000021904	ENSDARP00000053220
ENSLOCP00000022450	ENSDARP00000040809
ENSLOCP00000021945	ENSDARP00000046422
ENSLOCP00000021620	ENSDARP00000066268
ENSLOCP00000004488	ENSDARP00000100307
ENSLOCP00000020024	ENSDARP00000090929
ENSLOCP00000020859	ENSDARP00000086538
ENSLOCP00000012948	ENSDARP00000013325
ENSLOCP00000005193	ENSDARP00000073869
ENSLOCP00000020428	ENSDARP00000107727
ENSLOCP00000017728	ENSDARP00000021237
ENSLOCP00000010194	ENSDARP00000004047
ENSLOCP00000010194	ENSDARP00000088503
ENSLOCP00000001695	ENSDARP00000073112
ENSLOCP00000001695	ENSDARP00000073184
ENSLOCP00000007926	ENSDARP00000022131
ENSLOCP00000010024	ENSDARP00000101463
ENSLOCP00000004964	ENSDARP00000083252
ENSLOCP00000012287	ENSDARP00000062236
ENSLOCP00000013672	ENSDARP00000000069
ENSLOCP00000013672	ENSDARP00000099565
ENSLOCP00000010787	ENSDARP00000108396
ENSLOCP00000004724	ENSDARP00000124778
ENSLOCP00000003898	ENSDARP00000102513
ENSLOCP00000003898	ENSDARP00000126197
ENSLOCP00000010927	ENSDARP00000102375
ENSLOCP00000009015	ENSDARP00000128564
ENSLOCP00000005707	ENSDARP00000105964
ENSLOCP00000018873	ENSDARP00000076935
ENSLOCP00000007270	ENSDARP00000106329
ENSLOCP00000001138	ENSDARP00000110922
ENSLOCP00000001138	ENSDARP00000103804
ENSLOCP00000002985	ENSDARP00000010482
ENSLOCP00000019135	ENSDARP00000091935
ENSLOCP00000017723	ENSDARP00000024354
ENSLOCP00000003444	ENSDARP00000050129
ENSLOCP00000011930	ENSDARP00000041699
ENSLOCP00000009598	ENSDARP00000040396
ENSLOCP00000007261	ENSDARP00000076104
ENSLOCP00000004135	ENSDARP00000090833
ENSLOCP00000013207	ENSDARP00000070056
ENSLOCP00000012976	ENSDARP00000020214
ENSLOCP00000012976	ENSDARP00000026086
ENSLOCP00000000415	ENSDARP00000128969
ENSLOCP00000006812	ENSDARP00000090804
ENSLOCP00000015890	ENSDARP00000101922
ENSLOCP00000008070	ENSDARP00000103259
ENSLOCP00000014590	ENSDARP00000105471
ENSLOCP00000017296	ENSDARP00000006859
ENSLOCP00000002959	ENSDARP00000118137
ENSLOCP00000012293	ENSDARP00000080453
ENSLOCP00000018998	ENSDARP00000072542
ENSLOCP00000008921	ENSDARP00000100323
ENSLOCP00000008921	ENSDARP00000102421
ENSLOCP00000004566	ENSDARP00000109963
ENSLOCP00000017647	ENSDARP00000103889
ENSLOCP00000013027	ENSDARP00000114452
ENSLOCP00000020958	ENSDARP00000068850
ENSLOCP00000020219	ENSDARP00000129299
ENSLOCP00000013329	ENSDARP00000105635
ENSLOCP00000020020	ENSDARP00000105547
ENSLOCP00000011815	ENSDARP00000023268
ENSLOCP00000018621	ENSDARP00000100785
ENSLOCP00000022330	ENSDARP00000111650
ENSLOCP00000014743	ENSDARP00000118027
ENSLOCP00000019986	ENSDARP00000127270
ENSLOCP00000004722	ENSDARP00000098280
ENSLOCP00000004722	ENSDARP00000126694
ENSLOCP00000014809	ENSDARP00000102423
ENSLOCP00000005776	ENSDARP00000120118
ENSLOCP00000017744	ENSDARP00000110624
ENSLOCP00000017744	ENSDARP00000074640
ENSLOCP00000009907	ENSDARP00000115546
ENSLOCP00000002141	ENSDARP00000044082
ENSLOCP00000002141	ENSDARP00000015104
ENSLOCP00000018547	ENSDARP00000051824
ENSLOCP00000018547	ENSDARP00000090035
ENSLOCP00000015111	ENSDARP00000114249
ENSLOCP00000012558	ENSDARP00000129238
ENSLOCP00000015214	ENSDARP00000109205
ENSLOCP00000017714	ENSDARP00000089922
ENSLOCP00000019071	ENSDARP00000093339
ENSLOCP00000005966	ENSDARP00000100026
ENSLOCP00000009450	ENSDARP00000083210
ENSLOCP00000009396	ENSDARP00000101354
ENSLOCP00000003000	ENSDARP00000108719
ENSLOCP00000010744	ENSDARP00000098767
ENSLOCP00000005744	ENSDARP00000117850
ENSLOCP00000015525	ENSDARP00000045108
ENSLOCP00000015525	ENSDARP00000019873
ENSLOCP00000013306	ENSDARP00000110829
ENSLOCP00000008853	ENSDARP00000105578
ENSLOCP00000004114	ENSDARP00000062985
ENSLOCP00000018527	ENSDARP00000102999
ENSLOCP00000008221	ENSDARP00000054091
ENSLOCP00000006200	ENSDARP00000114989
ENSLOCP00000011415	ENSDARP00000126363
ENSLOCP00000019579	ENSDARP00000107839
ENSLOCP00000011235	ENSDARP00000123814
ENSLOCP00000009153	ENSDARP00000099721
ENSLOCP00000020366	ENSDARP00000124057
ENSLOCP00000015030	ENSDARP00000106309
ENSLOCP00000019222	ENSDARP00000117685
ENSLOCP00000005304	ENSDARP00000013115
ENSLOCP00000012990	ENSDARP00000062550
ENSLOCP00000008430	ENSDARP00000041727
ENSLOCP00000001418	ENSDARP00000101543
ENSLOCP00000008449	ENSDARP00000072275
ENSLOCP00000006386	ENSDARP00000092344
ENSLOCP00000006552	ENSDARP00000042048
ENSLOCP00000004758	ENSDARP00000124888
ENSLOCP00000002795	ENSDARP00000039912
ENSLOCP00000006989	ENSDARP00000103727
ENSLOCP00000001720	ENSDARP00000111316
ENSLOCP00000001720	ENSDARP00000082779
ENSLOCP00000012908	ENSDARP00000082758
ENSLOCP00000005284	ENSDARP00000121534
ENSLOCP00000019998	ENSDARP00000070211
ENSLOCP00000005669	ENSDARP00000066654
ENSLOCP00000001526	ENSDARP00000109123
ENSLOCP00000001539	ENSDARP00000115602
ENSLOCP00000016467	ENSDARP00000100833
ENSLOCP00000017742	ENSDARP00000011601
ENSLOCP00000017742	ENSDARP00000024046
ENSLOCP00000007719	ENSDARP00000048865
ENSLOCP00000007719	ENSDARP00000113169
ENSLOCP00000011559	ENSDARP00000047190
ENSLOCP00000000905	ENSDARP00000106759
ENSLOCP00000006060	ENSDARP00000092015
ENSLOCP00000009159	ENSDARP00000076033
ENSLOCP00000016752	ENSDARP00000069995
ENSLOCP00000017033	ENSDARP00000006482
ENSLOCP00000017033	ENSDARP00000015078
ENSLOCP00000014189	ENSDARP00000046980
ENSLOCP00000012706	ENSDARP00000090750
ENSLOCP00000018401	ENSDARP00000109858
ENSLOCP00000020578	ENSDARP00000026811
ENSLOCP00000012140	ENSDARP00000069192
ENSLOCP00000012140	ENSDARP00000122392
ENSLOCP00000009819	ENSDARP00000107677
ENSLOCP00000021207	ENSDARP00000121728
ENSLOCP00000009711	ENSDARP00000065255
ENSLOCP00000011771	ENSDARP00000107238
ENSLOCP00000004489	ENSDARP00000004469
ENSLOCP00000013077	ENSDARP00000101848
ENSLOCP00000004508	ENSDARP00000105556
ENSLOCP00000013069	ENSDARP00000050532
ENSLOCP00000018070	ENSDARP00000101144
ENSLOCP00000009838	ENSDARP00000007440
ENSLOCP00000009838	ENSDARP00000013511
ENSLOCP00000013341	ENSDARP00000110201
ENSLOCP00000001575	ENSDARP00000115859
ENSLOCP00000004010	ENSDARP00000041370
ENSLOCP00000019355	ENSDARP00000115601
ENSLOCP00000006607	ENSDARP00000112656
ENSLOCP00000014941	ENSDARP00000023719
ENSLOCP00000018086	ENSDARP00000103421
ENSLOCP00000018086	ENSDARP00000128996
ENSLOCP00000012302	ENSDARP00000021876
ENSLOCP00000012302	ENSDARP00000056456
ENSLOCP00000019627	ENSDARP00000049862
ENSLOCP00000016678	ENSDARP00000090605
ENSLOCP00000006763	ENSDARP00000116421
ENSLOCP00000017157	ENSDARP00000054114
ENSLOCP00000002090	ENSDARP00000061314
ENSLOCP00000019443	ENSDARP00000074909
ENSLOCP00000014617	ENSDARP00000079665
ENSLOCP00000000952	ENSDARP00000012931
ENSLOCP00000014027	ENSDARP00000036825
ENSLOCP00000013123	ENSDARP00000060943
ENSLOCP00000002971	ENSDARP00000119275
ENSLOCP00000013438	ENSDARP00000102218
ENSLOCP00000017026	ENSDARP00000016888
ENSLOCP00000009222	ENSDARP00000128469
ENSLOCP00000007886	ENSDARP00000127769
ENSLOCP00000014078	ENSDARP00000121899
ENSLOCP00000003110	ENSDARP00000098697
ENSLOCP00000012819	ENSDARP00000117108
ENSLOCP00000017741	ENSDARP00000118036
ENSLOCP00000016302	ENSDARP00000117993
ENSLOCP00000016330	ENSDARP00000110043
ENSLOCP00000016335	ENSDARP00000122904
ENSLOCP00000005420	ENSDARP00000116800
ENSLOCP00000008462	ENSDARP00000099945
ENSLOCP00000009646	ENSDARP00000128004
ENSLOCP00000003587	ENSDARP00000120902
ENSLOCP00000016408	ENSDARP00000082162
ENSLOCP00000005132	ENSDARP00000009763
ENSLOCP00000005132	ENSDARP00000126239
ENSLOCP00000000129	ENSDARP00000106448
ENSLOCP00000007165	ENSDARP00000126711
ENSLOCP00000005492	ENSDARP00000012165
ENSLOCP00000003143	ENSDARP00000003715
ENSLOCP00000017530	ENSDARP00000035450
ENSLOCP00000017530	ENSDARP00000067326
ENSLOCP00000005502	ENSDARP00000101710
ENSLOCP00000007887	ENSDARP00000097906
ENSLOCP00000002180	ENSDARP00000004474
ENSLOCP00000018227	ENSDARP00000128798
ENSLOCP00000018983	ENSDARP00000032728
ENSLOCP00000019366	ENSDARP00000011882
ENSLOCP00000012323	ENSDARP00000027655
ENSLOCP00000010206	ENSDARP00000002127
ENSLOCP00000011350	ENSDARP00000098475
ENSLOCP00000014458	ENSDARP00000098293
ENSLOCP00000014458	ENSDARP00000081435
ENSLOCP00000011050	ENSDARP00000101163
ENSLOCP00000018762	ENSDARP00000104020
ENSLOCP00000010451	ENSDARP00000121750
ENSLOCP00000002062	ENSDARP00000024226
ENSLOCP00000005657	ENSDARP00000031677
ENSLOCP00000001751	ENSDARP00000099504
ENSLOCP00000001751	ENSDARP00000099596
ENSLOCP00000021334	ENSDARP00000119736
ENSLOCP00000013623	ENSDARP00000120629
ENSLOCP00000005307	ENSDARP00000067651
ENSLOCP00000005307	ENSDARP00000111412
ENSLOCP00000007240	ENSDARP00000058570
ENSLOCP00000005873	ENSDARP00000068039
ENSLOCP00000002617	ENSDARP00000053781
ENSLOCP00000010367	ENSDARP00000099142
ENSLOCP00000005491	ENSDARP00000083591
ENSLOCP00000015756	ENSDARP00000105619
ENSLOCP00000018367	ENSDARP00000112873
ENSLOCP00000020507	ENSDARP00000012094
ENSLOCP00000014486	ENSDARP00000098673
ENSLOCP00000014486	ENSDARP00000059238
ENSLOCP00000016551	ENSDARP00000096134
ENSLOCP00000003053	ENSDARP00000106591
ENSLOCP00000016190	ENSDARP00000024694
ENSLOCP00000018689	ENSDARP00000073453
ENSLOCP00000011299	ENSDARP00000123973
ENSLOCP00000005062	ENSDARP00000118433
ENSLOCP00000004745	ENSDARP00000117417
ENSLOCP00000007478	ENSDARP00000006502
ENSLOCP00000020015	ENSDARP00000115424
ENSLOCP00000015506	ENSDARP00000055889
ENSLOCP00000007755	ENSDARP00000059445
ENSLOCP00000008105	ENSDARP00000110557
ENSLOCP00000012129	ENSDARP00000063466
ENSLOCP00000009714	ENSDARP00000110633
ENSLOCP00000009714	ENSDARP00000044669
ENSLOCP00000001481	ENSDARP00000083101
ENSLOCP00000020021	ENSDARP00000116665
ENSLOCP00000004786	ENSDARP00000052292
ENSLOCP00000001794	ENSDARP00000126846
ENSLOCP00000018487	ENSDARP00000075601
ENSLOCP00000020023	ENSDARP00000053545
ENSLOCP00000012534	ENSDARP00000064994
ENSLOCP00000016466	ENSDARP00000066628
ENSLOCP00000020704	ENSDARP00000086486
ENSLOCP00000003149	ENSDARP00000060183
ENSLOCP00000018889	ENSDARP00000019763
ENSLOCP00000014646	ENSDARP00000093642
ENSLOCP00000003643	ENSDARP00000025329
ENSLOCP00000014965	ENSDARP00000112220
ENSLOCP00000019623	ENSDARP00000060860
ENSLOCP00000012262	ENSDARP00000109350
ENSLOCP00000017761	ENSDARP00000098158
ENSLOCP00000017761	ENSDARP00000080214
ENSLOCP00000003577	ENSDARP00000103434
ENSLOCP00000003577	ENSDARP00000080529
ENSLOCP00000000965	ENSDARP00000126391
ENSLOCP00000014874	ENSDARP00000033739
ENSLOCP00000022461	ENSDARP00000127636
ENSLOCP00000009670	ENSDARP00000103798
ENSLOCP00000004300	ENSDARP00000054019
ENSLOCP00000004300	ENSDARP00000115671
ENSLOCP00000000627	ENSDARP00000058501
ENSLOCP00000006023	ENSDARP00000019858
ENSLOCP00000019855	ENSDARP00000013130
ENSLOCP00000001909	ENSDARP00000103038
ENSLOCP00000019909	ENSDARP00000110664
ENSLOCP00000010432	ENSDARP00000107933
ENSLOCP00000021088	ENSDARP00000054070
ENSLOCP00000021088	ENSDARP00000071346
ENSLOCP00000018466	ENSDARP00000118970
