ENSGALP00000006197	ENSACAP00000005936
ENSGALP00000042302	ENSACAP00000008096
ENSGALP00000042526	ENSACAP00000005757
ENSGALP00000004185	ENSACAP00000004848
ENSGALP00000021030	ENSACAP00000011890
ENSGALP00000039539	ENSACAP00000003881
ENSGALP00000018146	ENSACAP00000012805
ENSGALP00000014492	ENSACAP00000006531
ENSGALP00000015506	ENSACAP00000009560
ENSGALP00000043143	ENSACAP00000009767
ENSGALP00000009207	ENSACAP00000010645
ENSGALP00000015833	ENSACAP00000001624
ENSGALP00000042544	ENSACAP00000007576
ENSGALP00000042292	ENSACAP00000005093
ENSGALP00000000981	ENSACAP00000014002
ENSGALP00000024202	ENSACAP00000011183
ENSGALP00000042771	ENSACAP00000003116
ENSGALP00000005425	ENSACAP00000009511
ENSGALP00000009956	ENSACAP00000016906
ENSGALP00000007884	ENSACAP00000019965
ENSGALP00000008218	ENSACAP00000015920
ENSGALP00000009829	ENSACAP00000006370
ENSGALP00000012455	ENSACAP00000008389
ENSGALP00000014651	ENSACAP00000005760
ENSGALP00000017556	ENSACAP00000008929
ENSGALP00000024389	ENSACAP00000012441
ENSGALP00000010498	ENSACAP00000011621
ENSGALP00000043267	ENSACAP00000006438
ENSGALP00000010777	ENSACAP00000002827
ENSGALP00000009937	ENSACAP00000016872
ENSGALP00000013991	ENSACAP00000007726
ENSGALP00000038974	ENSACAP00000007661
ENSGALP00000041043	ENSACAP00000002903
ENSGALP00000020594	ENSACAP00000014893
ENSGALP00000018936	ENSACAP00000013212
ENSGALP00000019402	ENSACAP00000004430
ENSGALP00000042166	ENSACAP00000009699
ENSGALP00000022807	ENSACAP00000006263
ENSGALP00000040953	ENSACAP00000015526
ENSGALP00000027290	ENSACAP00000000833
ENSGALP00000000309	ENSACAP00000006002
ENSGALP00000017040	ENSACAP00000007888
ENSGALP00000037229	ENSACAP00000013713
ENSGALP00000021944	ENSACAP00000019602
ENSGALP00000025633	ENSACAP00000003129
ENSGALP00000003577	ENSACAP00000013941
ENSGALP00000040299	ENSACAP00000003769
ENSGALP00000042741	ENSACAP00000009686
ENSGALP00000038659	ENSACAP00000016126
ENSGALP00000040713	ENSACAP00000001868
ENSGALP00000011699	ENSACAP00000006055
ENSGALP00000007705	ENSACAP00000014354
ENSGALP00000008458	ENSACAP00000013744
ENSGALP00000023610	ENSACAP00000007486
ENSGALP00000003960	ENSACAP00000009003
ENSGALP00000020568	ENSACAP00000009104
ENSGALP00000006909	ENSACAP00000010265
ENSGALP00000038609	ENSACAP00000020292
ENSGALP00000000297	ENSACAP00000003446
ENSGALP00000041684	ENSACAP00000012207
ENSGALP00000016970	ENSACAP00000002032
ENSGALP00000042500	ENSACAP00000000372
ENSGALP00000022844	ENSACAP00000006597
ENSGALP00000029967	ENSACAP00000007935
ENSGALP00000016774	ENSACAP00000009888
ENSGALP00000001013	ENSACAP00000002628
ENSGALP00000032433	ENSACAP00000019046
ENSGALP00000002822	ENSACAP00000006188
ENSGALP00000043234	ENSACAP00000007099
ENSGALP00000006041	ENSACAP00000002424
ENSGALP00000026524	ENSACAP00000006922
ENSGALP00000010653	ENSACAP00000009245
ENSGALP00000016509	ENSACAP00000002825
ENSGALP00000016615	ENSACAP00000016191
ENSGALP00000042035	ENSACAP00000001419
ENSGALP00000023016	ENSACAP00000020102
ENSGALP00000027304	ENSACAP00000002294
ENSGALP00000028022	ENSACAP00000013168
ENSGALP00000003885	ENSACAP00000001702
ENSGALP00000026298	ENSACAP00000009896
ENSGALP00000017672	ENSACAP00000006274
ENSGALP00000000025	ENSACAP00000009537
ENSGALP00000024159	ENSACAP00000010804
ENSGALP00000041037	ENSACAP00000014748
ENSGALP00000040818	ENSACAP00000012116
ENSGALP00000005493	ENSACAP00000016488
ENSGALP00000010636	ENSACAP00000002373
ENSGALP00000007220	ENSACAP00000016345
ENSGALP00000000716	ENSACAP00000014760
ENSGALP00000024440	ENSACAP00000021036
ENSGALP00000022640	ENSACAP00000006251
ENSGALP00000020039	ENSACAP00000007232
ENSGALP00000007593	ENSACAP00000016201
ENSGALP00000040376	ENSACAP00000015160
ENSGALP00000005187	ENSACAP00000006010
ENSGALP00000006826	ENSACAP00000014292
ENSGALP00000022203	ENSACAP00000003513
ENSGALP00000018557	ENSACAP00000019511
ENSGALP00000006604	ENSACAP00000009675
ENSGALP00000017667	ENSACAP00000008706
ENSGALP00000023615	ENSACAP00000007600
ENSGALP00000014497	ENSACAP00000004175
ENSGALP00000025837	ENSACAP00000005315
ENSGALP00000011539	ENSACAP00000014445
ENSGALP00000002203	ENSACAP00000015890
ENSGALP00000035402	ENSACAP00000008949
ENSGALP00000023673	ENSACAP00000015046
ENSGALP00000039931	ENSACAP00000016294
ENSGALP00000000549	ENSACAP00000015711
ENSGALP00000015910	ENSACAP00000006026
ENSGALP00000036955	ENSACAP00000016433
ENSGALP00000030672	ENSACAP00000006349
ENSGALP00000014367	ENSACAP00000003801
ENSGALP00000027365	ENSACAP00000001913
ENSGALP00000015801	ENSACAP00000014115
ENSGALP00000014145	ENSACAP00000013960
ENSGALP00000022963	ENSACAP00000014703
ENSGALP00000009219	ENSACAP00000009049
ENSGALP00000004108	ENSACAP00000002104
ENSGALP00000003675	ENSACAP00000020825
ENSGALP00000025808	ENSACAP00000008780
ENSGALP00000026474	ENSACAP00000000118
ENSGALP00000036121	ENSACAP00000011571
ENSGALP00000025572	ENSACAP00000004701
ENSGALP00000018671	ENSACAP00000014242
ENSGALP00000001483	ENSACAP00000000146
ENSGALP00000019532	ENSACAP00000013171
ENSGALP00000008393	ENSACAP00000009785
ENSGALP00000003481	ENSACAP00000004036
ENSGALP00000007662	ENSACAP00000002313
ENSGALP00000026095	ENSACAP00000017616
ENSGALP00000012193	ENSACAP00000014501
ENSGALP00000028374	ENSACAP00000003659
ENSGALP00000006600	ENSACAP00000013328
ENSGALP00000007109	ENSACAP00000014363
ENSGALP00000011381	ENSACAP00000017674
ENSGALP00000043167	ENSACAP00000006210
ENSGALP00000016784	ENSACAP00000016670
ENSGALP00000020141	ENSACAP00000006884
ENSGALP00000042738	ENSACAP00000001593
ENSGALP00000006158	ENSACAP00000004794
ENSGALP00000026564	ENSACAP00000023112
ENSGALP00000006023	ENSACAP00000010003
ENSGALP00000014374	ENSACAP00000005795
ENSGALP00000013910	ENSACAP00000009383
ENSGALP00000010925	ENSACAP00000023380
ENSGALP00000003004	ENSACAP00000008204
ENSGALP00000042645	ENSACAP00000016438
ENSGALP00000000018	ENSACAP00000001768
ENSGALP00000025411	ENSACAP00000014532
ENSGALP00000031600	ENSACAP00000009088
ENSGALP00000008118	ENSACAP00000014784
ENSGALP00000015031	ENSACAP00000009931
ENSGALP00000041681	ENSACAP00000016575
ENSGALP00000041592	ENSACAP00000023418
ENSGALP00000042026	ENSACAP00000015799
ENSGALP00000023121	ENSACAP00000006850
ENSGALP00000010397	ENSACAP00000013176
ENSGALP00000016069	ENSACAP00000003701
ENSGALP00000020563	ENSACAP00000013044
ENSGALP00000015735	ENSACAP00000016761
ENSGALP00000019653	ENSACAP00000010496
ENSGALP00000020457	ENSACAP00000016314
ENSGALP00000038356	ENSACAP00000023416
ENSGALP00000025667	ENSACAP00000022532
ENSGALP00000029073	ENSACAP00000007541
ENSGALP00000014341	ENSACAP00000006352
ENSGALP00000025131	ENSACAP00000010913
ENSGALP00000010150	ENSACAP00000010500
ENSGALP00000019832	ENSACAP00000002596
ENSGALP00000016144	ENSACAP00000004192
ENSGALP00000005116	ENSACAP00000019525
ENSGALP00000036541	ENSACAP00000002816
ENSGALP00000014900	ENSACAP00000016197
ENSGALP00000002312	ENSACAP00000006412
ENSGALP00000026146	ENSACAP00000010902
ENSGALP00000025846	ENSACAP00000009246
ENSGALP00000019576	ENSACAP00000005207
ENSGALP00000042931	ENSACAP00000020714
ENSGALP00000036764	ENSACAP00000013355
ENSGALP00000015788	ENSACAP00000007406
ENSGALP00000009946	ENSACAP00000016850
ENSGALP00000039699	ENSACAP00000012345
ENSGALP00000024592	ENSACAP00000007046
ENSGALP00000013649	ENSACAP00000005026
ENSGALP00000042073	ENSACAP00000016997
ENSGALP00000022566	ENSACAP00000001516
ENSGALP00000029054	ENSACAP00000002723
ENSGALP00000006394	ENSACAP00000001511
ENSGALP00000039265	ENSACAP00000001863
ENSGALP00000008338	ENSACAP00000017490
ENSGALP00000011491	ENSACAP00000011451
ENSGALP00000025531	ENSACAP00000017076
ENSGALP00000032512	ENSACAP00000007324
ENSGALP00000027209	ENSACAP00000003564
ENSGALP00000040735	ENSACAP00000003068
ENSGALP00000005783	ENSACAP00000011972
ENSGALP00000013413	ENSACAP00000006508
ENSGALP00000012838	ENSACAP00000008886
ENSGALP00000011551	ENSACAP00000011850
ENSGALP00000011585	ENSACAP00000008041
ENSGALP00000017886	ENSACAP00000021070
ENSGALP00000026303	ENSACAP00000009811
ENSGALP00000036118	ENSACAP00000011610
ENSGALP00000020850	ENSACAP00000016735
ENSGALP00000019590	ENSACAP00000003077
ENSGALP00000005384	ENSACAP00000008695
ENSGALP00000010488	ENSACAP00000021459
ENSGALP00000001751	ENSACAP00000017300
ENSGALP00000006218	ENSACAP00000004864
ENSGALP00000020731	ENSACAP00000003959
ENSGALP00000022336	ENSACAP00000009097
ENSGALP00000015991	ENSACAP00000001117
ENSGALP00000006690	ENSACAP00000013055
ENSGALP00000027982	ENSACAP00000022231
ENSGALP00000023141	ENSACAP00000014544
ENSGALP00000039598	ENSACAP00000017038
ENSGALP00000030590	ENSACAP00000022117
ENSGALP00000009982	ENSACAP00000010930
ENSGALP00000015041	ENSACAP00000016017
ENSGALP00000008082	ENSACAP00000010151
ENSGALP00000038884	ENSACAP00000007849
ENSGALP00000013788	ENSACAP00000004723
ENSGALP00000010894	ENSACAP00000003099
ENSGALP00000007043	ENSACAP00000001433
ENSGALP00000040832	ENSACAP00000001780
ENSGALP00000020585	ENSACAP00000012668
ENSGALP00000004733	ENSACAP00000017111
ENSGALP00000037894	ENSACAP00000011171
ENSGALP00000007118	ENSACAP00000014637
ENSGALP00000004924	ENSACAP00000014806
ENSGALP00000026816	ENSACAP00000009864
ENSGALP00000008346	ENSACAP00000004612
ENSGALP00000013111	ENSACAP00000012627
ENSGALP00000011549	ENSACAP00000011147
ENSGALP00000042363	ENSACAP00000000831
ENSGALP00000022328	ENSACAP00000007912
ENSGALP00000006529	ENSACAP00000005186
ENSGALP00000020744	ENSACAP00000015990
ENSGALP00000012445	ENSACAP00000012640
ENSGALP00000038731	ENSACAP00000002898
ENSGALP00000043401	ENSACAP00000003213
ENSGALP00000043289	ENSACAP00000004703
ENSGALP00000006259	ENSACAP00000004923
ENSGALP00000022839	ENSACAP00000015804
ENSGALP00000016414	ENSACAP00000015743
ENSGALP00000035598	ENSACAP00000010034
ENSGALP00000017553	ENSACAP00000012505
ENSGALP00000032837	ENSACAP00000016681
ENSGALP00000038278	ENSACAP00000004385
ENSGALP00000000187	ENSACAP00000011442
ENSGALP00000042855	ENSACAP00000008036
ENSGALP00000007834	ENSACAP00000004760
ENSGALP00000036514	ENSACAP00000008234
ENSGALP00000012348	ENSACAP00000012144
ENSGALP00000003137	ENSACAP00000003254
ENSGALP00000018823	ENSACAP00000002621
ENSGALP00000015499	ENSACAP00000016146
ENSGALP00000012646	ENSACAP00000014563
ENSGALP00000016333	ENSACAP00000002098
ENSGALP00000008837	ENSACAP00000005338
ENSGALP00000011983	ENSACAP00000007654
ENSGALP00000012748	ENSACAP00000008569
ENSGALP00000009699	ENSACAP00000009356
ENSGALP00000015596	ENSACAP00000016239
ENSGALP00000041366	ENSACAP00000000516
ENSGALP00000008744	ENSACAP00000008715
ENSGALP00000029968	ENSACAP00000007597
ENSGALP00000012069	ENSACAP00000006828
ENSGALP00000026277	ENSACAP00000006895
ENSGALP00000000170	ENSACAP00000011818
ENSGALP00000042251	ENSACAP00000019695
ENSGALP00000040862	ENSACAP00000003851
ENSGALP00000000528	ENSACAP00000017489
ENSGALP00000014621	ENSACAP00000009052
ENSGALP00000012380	ENSACAP00000014924
ENSGALP00000040662	ENSACAP00000013508
ENSGALP00000025836	ENSACAP00000009142
ENSGALP00000026483	ENSACAP00000012728
ENSGALP00000003908	ENSACAP00000007572
ENSGALP00000002063	ENSACAP00000006574
ENSGALP00000024137	ENSACAP00000001538
ENSGALP00000017926	ENSACAP00000008107
ENSGALP00000024827	ENSACAP00000006375
ENSGALP00000037772	ENSACAP00000001450
ENSGALP00000041243	ENSACAP00000002936
ENSGALP00000026998	ENSACAP00000012399
ENSGALP00000016043	ENSACAP00000002724
ENSGALP00000003693	ENSACAP00000004073
ENSGALP00000005417	ENSACAP00000013064
ENSGALP00000027247	ENSACAP00000001716
ENSGALP00000040466	ENSACAP00000005048
ENSGALP00000015318	ENSACAP00000004983
ENSGALP00000042781	ENSACAP00000015014
ENSGALP00000007247	ENSACAP00000014365
ENSGALP00000019488	ENSACAP00000004809
ENSGALP00000004959	ENSACAP00000005365
ENSGALP00000011182	ENSACAP00000007056
ENSGALP00000026595	ENSACAP00000021362
ENSGALP00000008491	ENSACAP00000015081
ENSGALP00000022235	ENSACAP00000003611
ENSGALP00000022230	ENSACAP00000003534
ENSGALP00000005291	ENSACAP00000008801
ENSGALP00000015502	ENSACAP00000017086
ENSGALP00000000860	ENSACAP00000005015
ENSGALP00000017386	ENSACAP00000004286
ENSGALP00000018960	ENSACAP00000011566
ENSGALP00000011342	ENSACAP00000009193
ENSGALP00000024803	ENSACAP00000003794
ENSGALP00000040816	ENSACAP00000015314
ENSGALP00000025005	ENSACAP00000003594
ENSGALP00000014526	ENSACAP00000013955
ENSGALP00000013696	ENSACAP00000005102
ENSGALP00000001981	ENSACAP00000002436
ENSGALP00000008236	ENSACAP00000012536
ENSGALP00000024199	ENSACAP00000011298
ENSGALP00000012561	ENSACAP00000002630
ENSGALP00000017440	ENSACAP00000005107
ENSGALP00000018995	ENSACAP00000011178
ENSGALP00000002310	ENSACAP00000000916
ENSGALP00000006624	ENSACAP00000009568
ENSGALP00000026015	ENSACAP00000000190
ENSGALP00000043388	ENSACAP00000005864
ENSGALP00000039995	ENSACAP00000012571
ENSGALP00000026539	ENSACAP00000010404
ENSGALP00000000832	ENSACAP00000000820
ENSGALP00000001940	ENSACAP00000008863
ENSGALP00000005762	ENSACAP00000003222
ENSGALP00000032234	ENSACAP00000008315
ENSGALP00000022157	ENSACAP00000005139
ENSGALP00000003331	ENSACAP00000011960
ENSGALP00000011141	ENSACAP00000013576
ENSGALP00000027322	ENSACAP00000000470
ENSGALP00000004614	ENSACAP00000005555
ENSGALP00000016152	ENSACAP00000014864
ENSGALP00000041816	ENSACAP00000002592
ENSGALP00000007164	ENSACAP00000017305
ENSGALP00000011884	ENSACAP00000006553
ENSGALP00000029838	ENSACAP00000003624
ENSGALP00000043071	ENSACAP00000009695
ENSGALP00000041108	ENSACAP00000007834
ENSGALP00000031296	ENSACAP00000006198
ENSGALP00000016785	ENSACAP00000016673
ENSGALP00000014085	ENSACAP00000002107
ENSGALP00000035686	ENSACAP00000017361
ENSGALP00000010201	ENSACAP00000001028
ENSGALP00000027522	ENSACAP00000004386
ENSGALP00000027523	ENSACAP00000004404
ENSGALP00000023052	ENSACAP00000011509
ENSGALP00000037606	ENSACAP00000014252
ENSGALP00000004568	ENSACAP00000014345
ENSGALP00000023833	ENSACAP00000008105
ENSGALP00000037437	ENSACAP00000012965
ENSGALP00000037704	ENSACAP00000014319
ENSGALP00000041543	ENSACAP00000015538
ENSGALP00000009832	ENSACAP00000001529
ENSGALP00000009023	ENSACAP00000008585
ENSGALP00000022696	ENSACAP00000000360
ENSGALP00000011120	ENSACAP00000014718
ENSGALP00000042657	ENSACAP00000008644
ENSGALP00000013803	ENSACAP00000008784
ENSGALP00000026443	ENSACAP00000001878
ENSGALP00000002583	ENSACAP00000013826
ENSGALP00000017330	ENSACAP00000011602
ENSGALP00000018883	ENSACAP00000010883
ENSGALP00000017202	ENSACAP00000008404
ENSGALP00000007055	ENSACAP00000001535
ENSGALP00000008018	ENSACAP00000003048
ENSGALP00000003682	ENSACAP00000006981
ENSGALP00000016566	ENSACAP00000015999
ENSGALP00000042618	ENSACAP00000006414
ENSGALP00000026537	ENSACAP00000014250
ENSGALP00000041648	ENSACAP00000015714
ENSGALP00000037247	ENSACAP00000006894
ENSGALP00000025684	ENSACAP00000008282
ENSGALP00000026064	ENSACAP00000011924
ENSGALP00000017221	ENSACAP00000001647
ENSGALP00000016953	ENSACAP00000000692
ENSGALP00000009263	ENSACAP00000005169
ENSGALP00000018477	ENSACAP00000012442
ENSGALP00000005362	ENSACAP00000022966
ENSGALP00000003923	ENSACAP00000000962
ENSGALP00000037931	ENSACAP00000008054
ENSGALP00000008220	ENSACAP00000012266
ENSGALP00000014129	ENSACAP00000019258
ENSGALP00000005129	ENSACAP00000015774
ENSGALP00000027682	ENSACAP00000010797
ENSGALP00000010742	ENSACAP00000007745
ENSGALP00000009322	ENSACAP00000009351
ENSGALP00000001108	ENSACAP00000004071
ENSGALP00000007052	ENSACAP00000001213
ENSGALP00000012615	ENSACAP00000001218
ENSGALP00000037478	ENSACAP00000012844
ENSGALP00000026558	ENSACAP00000011317
ENSGALP00000026359	ENSACAP00000022731
ENSGALP00000039697	ENSACAP00000007335
ENSGALP00000020149	ENSACAP00000000897
ENSGALP00000007187	ENSACAP00000007819
ENSGALP00000014578	ENSACAP00000004729
ENSGALP00000005972	ENSACAP00000001787
ENSGALP00000002508	ENSACAP00000020215
ENSGALP00000039941	ENSACAP00000011832
ENSGALP00000024186	ENSACAP00000003070
ENSGALP00000038832	ENSACAP00000012465
ENSGALP00000008227	ENSACAP00000000975
ENSGALP00000013268	ENSACAP00000013708
ENSGALP00000011700	ENSACAP00000014464
ENSGALP00000016205	ENSACAP00000015044
ENSGALP00000020415	ENSACAP00000009199
ENSGALP00000005996	ENSACAP00000014066
ENSGALP00000002707	ENSACAP00000012356
ENSGALP00000041034	ENSACAP00000004328
ENSGALP00000040443	ENSACAP00000004632
ENSGALP00000001997	ENSACAP00000000589
ENSGALP00000042034	ENSACAP00000011789
ENSGALP00000036474	ENSACAP00000005641
ENSGALP00000021359	ENSACAP00000008350
ENSGALP00000006919	ENSACAP00000011079
ENSGALP00000001689	ENSACAP00000000443
ENSGALP00000013307	ENSACAP00000012289
ENSGALP00000042685	ENSACAP00000003416
ENSGALP00000029342	ENSACAP00000002859
ENSGALP00000004348	ENSACAP00000011290
ENSGALP00000019816	ENSACAP00000007296
ENSGALP00000001850	ENSACAP00000019649
ENSGALP00000026170	ENSACAP00000014590
ENSGALP00000031152	ENSACAP00000004687
ENSGALP00000025015	ENSACAP00000001959
ENSGALP00000008736	ENSACAP00000014196
ENSGALP00000013682	ENSACAP00000005091
ENSGALP00000022832	ENSACAP00000006499
ENSGALP00000005392	ENSACAP00000011170
ENSGALP00000016394	ENSACAP00000002836
ENSGALP00000017586	ENSACAP00000006194
ENSGALP00000037084	ENSACAP00000013874
ENSGALP00000020328	ENSACAP00000003300
ENSGALP00000011596	ENSACAP00000006902
ENSGALP00000011428	ENSACAP00000001019
ENSGALP00000008079	ENSACAP00000008951
ENSGALP00000012383	ENSACAP00000015947
ENSGALP00000015741	ENSACAP00000017224
ENSGALP00000010447	ENSACAP00000002616
ENSGALP00000023837	ENSACAP00000008174
ENSGALP00000011911	ENSACAP00000003321
ENSGALP00000002564	ENSACAP00000012971
ENSGALP00000040201	ENSACAP00000022645
ENSGALP00000000495	ENSACAP00000011753
ENSGALP00000020602	ENSACAP00000001203
ENSGALP00000043228	ENSACAP00000023270
ENSGALP00000020603	ENSACAP00000021846
ENSGALP00000008696	ENSACAP00000011696
ENSGALP00000022159	ENSACAP00000006124
ENSGALP00000006287	ENSACAP00000003923
ENSGALP00000009312	ENSACAP00000009310
ENSGALP00000021094	ENSACAP00000012797
ENSGALP00000027305	ENSACAP00000002037
ENSGALP00000023022	ENSACAP00000011795
ENSGALP00000008073	ENSACAP00000009205
ENSGALP00000030426	ENSACAP00000003702
ENSGALP00000006237	ENSACAP00000011866
ENSGALP00000004174	ENSACAP00000008212
ENSGALP00000002338	ENSACAP00000016838
ENSGALP00000015045	ENSACAP00000005887
ENSGALP00000026615	ENSACAP00000000002
ENSGALP00000004647	ENSACAP00000010356
ENSGALP00000021034	ENSACAP00000012052
ENSGALP00000014959	ENSACAP00000000722
ENSGALP00000036782	ENSACAP00000004387
ENSGALP00000041152	ENSACAP00000004417
ENSGALP00000035366	ENSACAP00000009659
ENSGALP00000014317	ENSACAP00000009704
ENSGALP00000024167	ENSACAP00000009496
ENSGALP00000022143	ENSACAP00000005280
ENSGALP00000025508	ENSACAP00000002626
ENSGALP00000042044	ENSACAP00000005892
ENSGALP00000041646	ENSACAP00000012422
ENSGALP00000014608	ENSACAP00000015031
ENSGALP00000027115	ENSACAP00000000274
ENSGALP00000019395	ENSACAP00000021646
ENSGALP00000029762	ENSACAP00000013472
ENSGALP00000018410	ENSACAP00000009044
ENSGALP00000039270	ENSACAP00000002284
ENSGALP00000006115	ENSACAP00000013741
ENSGALP00000021290	ENSACAP00000000555
ENSGALP00000042060	ENSACAP00000009086
ENSGALP00000013870	ENSACAP00000006283
ENSGALP00000030997	ENSACAP00000008856
ENSGALP00000035804	ENSACAP00000012162
ENSGALP00000015005	ENSACAP00000015624
ENSGALP00000017131	ENSACAP00000007218
ENSGALP00000005262	ENSACAP00000006125
ENSGALP00000018264	ENSACAP00000013152
ENSGALP00000015178	ENSACAP00000005332
ENSGALP00000020011	ENSACAP00000009829
ENSGALP00000006137	ENSACAP00000015727
ENSGALP00000025439	ENSACAP00000014809
ENSGALP00000002862	ENSACAP00000004891
ENSGALP00000018816	ENSACAP00000002691
ENSGALP00000020659	ENSACAP00000002923
ENSGALP00000010883	ENSACAP00000004359
ENSGALP00000018826	ENSACAP00000012549
ENSGALP00000004352	ENSACAP00000001452
ENSGALP00000027519	ENSACAP00000004366
ENSGALP00000023059	ENSACAP00000011462
ENSGALP00000019396	ENSACAP00000003855
ENSGALP00000007923	ENSACAP00000008412
ENSGALP00000001254	ENSACAP00000007299
ENSGALP00000014278	ENSACAP00000016166
ENSGALP00000032179	ENSACAP00000005235
ENSGALP00000002039	ENSACAP00000017346
ENSGALP00000036165	ENSACAP00000003186
ENSGALP00000004335	ENSACAP00000002950
ENSGALP00000022567	ENSACAP00000009650
ENSGALP00000031757	ENSACAP00000004870
ENSGALP00000041413	ENSACAP00000006246
ENSGALP00000019313	ENSACAP00000003334
ENSGALP00000034260	ENSACAP00000012179
ENSGALP00000040835	ENSACAP00000001254
ENSGALP00000003043	ENSACAP00000002938
ENSGALP00000016505	ENSACAP00000014385
ENSGALP00000006273	ENSACAP00000014119
ENSGALP00000042641	ENSACAP00000008646
ENSGALP00000020604	ENSACAP00000015055
ENSGALP00000006648	ENSACAP00000017246
ENSGALP00000022101	ENSACAP00000005476
ENSGALP00000027347	ENSACAP00000000865
ENSGALP00000019323	ENSACAP00000015897
ENSGALP00000016050	ENSACAP00000001326
ENSGALP00000043300	ENSACAP00000012683
ENSGALP00000006735	ENSACAP00000001747
ENSGALP00000010221	ENSACAP00000000645
ENSGALP00000042802	ENSACAP00000004187
ENSGALP00000022250	ENSACAP00000003665
ENSGALP00000000933	ENSACAP00000003413
ENSGALP00000004887	ENSACAP00000002539
ENSGALP00000018335	ENSACAP00000007759
ENSGALP00000006954	ENSACAP00000012153
ENSGALP00000003968	ENSACAP00000008181
ENSGALP00000013042	ENSACAP00000009393
ENSGALP00000022312	ENSACAP00000016390
ENSGALP00000021513	ENSACAP00000001137
ENSGALP00000018421	ENSACAP00000013529
ENSGALP00000013213	ENSACAP00000017375
ENSGALP00000009420	ENSACAP00000006069
ENSGALP00000037111	ENSACAP00000012515
ENSGALP00000041373	ENSACAP00000006714
ENSGALP00000039153	ENSACAP00000015156
ENSGALP00000021328	ENSACAP00000008013
ENSGALP00000022856	ENSACAP00000001940
ENSGALP00000001315	ENSACAP00000016461
ENSGALP00000042479	ENSACAP00000000287
ENSGALP00000041427	ENSACAP00000021372
ENSGALP00000001949	ENSACAP00000017393
ENSGALP00000025766	ENSACAP00000018401
ENSGALP00000024043	ENSACAP00000007806
ENSGALP00000026495	ENSACAP00000000284
ENSGALP00000016578	ENSACAP00000011166
ENSGALP00000006364	ENSACAP00000004020
ENSGALP00000018530	ENSACAP00000000169
ENSGALP00000010114	ENSACAP00000000058
ENSGALP00000015334	ENSACAP00000005018
ENSGALP00000015282	ENSACAP00000002394
ENSGALP00000027076	ENSACAP00000002357
ENSGALP00000027775	ENSACAP00000014166
ENSGALP00000018552	ENSACAP00000010900
ENSGALP00000013334	ENSACAP00000007829
ENSGALP00000042365	ENSACAP00000014046
ENSGALP00000043243	ENSACAP00000012228
ENSGALP00000032826	ENSACAP00000001798
ENSGALP00000042234	ENSACAP00000021747
ENSGALP00000005501	ENSACAP00000000534
ENSGALP00000013659	ENSACAP00000014692
ENSGALP00000014829	ENSACAP00000000494
ENSGALP00000027279	ENSACAP00000022307
ENSGALP00000005100	ENSACAP00000009211
ENSGALP00000004190	ENSACAP00000002607
ENSGALP00000042563	ENSACAP00000003860
ENSGALP00000042182	ENSACAP00000015952
ENSGALP00000003384	ENSACAP00000006084
ENSGALP00000014689	ENSACAP00000015584
ENSGALP00000008280	ENSACAP00000015801
ENSGALP00000013527	ENSACAP00000004835
ENSGALP00000019276	ENSACAP00000010234
ENSGALP00000001307	ENSACAP00000000181
ENSGALP00000023031	ENSACAP00000011645
ENSGALP00000017299	ENSACAP00000002916
ENSGALP00000006542	ENSACAP00000009714
ENSGALP00000032339	ENSACAP00000004718
ENSGALP00000018789	ENSACAP00000002774
ENSGALP00000039621	ENSACAP00000003233
ENSGALP00000004363	ENSACAP00000010407
ENSGALP00000041804	ENSACAP00000014176
ENSGALP00000040448	ENSACAP00000011489
ENSGALP00000027951	ENSACAP00000002047
ENSGALP00000026957	ENSACAP00000012403
ENSGALP00000006043	ENSACAP00000003576
ENSGALP00000014656	ENSACAP00000015056
ENSGALP00000024184	ENSACAP00000003555
ENSGALP00000008450	ENSACAP00000003287
ENSGALP00000042139	ENSACAP00000011411
ENSGALP00000001447	ENSACAP00000010724
ENSGALP00000001655	ENSACAP00000019544
ENSGALP00000020794	ENSACAP00000016300
ENSGALP00000041050	ENSACAP00000006359
ENSGALP00000039342	ENSACAP00000003760
ENSGALP00000012907	ENSACAP00000009165
ENSGALP00000025521	ENSACAP00000017037
ENSGALP00000025787	ENSACAP00000012348
ENSGALP00000024140	ENSACAP00000000148
ENSGALP00000008556	ENSACAP00000019201
ENSGALP00000016481	ENSACAP00000015554
ENSGALP00000014280	ENSACAP00000007177
ENSGALP00000020733	ENSACAP00000015767
ENSGALP00000043425	ENSACAP00000008602
ENSGALP00000014006	ENSACAP00000003992
ENSGALP00000006646	ENSACAP00000001754
ENSGALP00000009709	ENSACAP00000007325
ENSGALP00000023968	ENSACAP00000017419
ENSGALP00000009632	ENSACAP00000021412
ENSGALP00000042049	ENSACAP00000016396
ENSGALP00000018041	ENSACAP00000013170
ENSGALP00000024404	ENSACAP00000000163
ENSGALP00000017800	ENSACAP00000013453
ENSGALP00000023540	ENSACAP00000005360
ENSGALP00000022404	ENSACAP00000000983
ENSGALP00000036383	ENSACAP00000011740
ENSGALP00000021551	ENSACAP00000001736
ENSGALP00000012565	ENSACAP00000006604
ENSGALP00000013385	ENSACAP00000012897
ENSGALP00000039721	ENSACAP00000014201
ENSGALP00000043450	ENSACAP00000015575
ENSGALP00000003917	ENSACAP00000008955
ENSGALP00000004762	ENSACAP00000009126
ENSGALP00000007225	ENSACAP00000011876
ENSGALP00000014139	ENSACAP00000012856
ENSGALP00000007149	ENSACAP00000014712
