ENSTGUP00000008915	ENSMUSP00000034074
ENSTGUP00000004058	ENSMUSP00000044418
ENSTGUP00000013685	ENSMUSP00000006235
ENSTGUP00000013227	ENSMUSP00000034911
ENSTGUP00000010941	ENSMUSP00000018313
ENSTGUP00000003778	ENSMUSP00000026156
ENSTGUP00000008484	ENSMUSP00000066256
ENSTGUP00000005133	ENSMUSP00000050592
ENSTGUP00000000540	ENSMUSP00000069488
ENSTGUP00000006057	ENSMUSP00000029766
ENSTGUP00000005208	ENSMUSP00000065254
ENSTGUP00000008780	ENSMUSP00000136503
ENSTGUP00000013923	ENSMUSP00000038166
ENSTGUP00000009686	ENSMUSP00000110965
ENSTGUP00000003827	ENSMUSP00000060225
ENSTGUP00000002518	ENSMUSP00000104864
ENSTGUP00000012179	ENSMUSP00000113270
ENSTGUP00000006612	ENSMUSP00000051830
ENSTGUP00000007351	ENSMUSP00000041052
ENSTGUP00000014026	ENSMUSP00000058954
ENSTGUP00000008383	ENSMUSP00000063795
ENSTGUP00000008946	ENSMUSP00000038514
ENSTGUP00000004400	ENSMUSP00000067085
ENSTGUP00000011978	ENSMUSP00000093460
ENSTGUP00000005813	ENSMUSP00000000910
ENSTGUP00000003732	ENSMUSP00000075526
ENSTGUP00000009260	ENSMUSP00000028511
ENSTGUP00000013958	ENSMUSP00000005406
ENSTGUP00000004648	ENSMUSP00000133222
ENSTGUP00000005312	ENSMUSP00000115873
ENSTGUP00000008495	ENSMUSP00000061493
ENSTGUP00000003910	ENSMUSP00000079107
ENSTGUP00000013385	ENSMUSP00000021514
ENSTGUP00000002733	ENSMUSP00000003035
ENSTGUP00000007509	ENSMUSP00000037136
ENSTGUP00000013899	ENSMUSP00000137452
ENSTGUP00000016237	ENSMUSP00000091532
ENSTGUP00000003319	ENSMUSP00000021052
ENSTGUP00000003735	ENSMUSP00000023759
ENSTGUP00000004787	ENSMUSP00000091301
ENSTGUP00000001139	ENSMUSP00000027688
ENSTGUP00000006707	ENSMUSP00000026902
ENSTGUP00000006190	ENSMUSP00000112930
ENSTGUP00000004646	ENSMUSP00000113115
ENSTGUP00000005798	ENSMUSP00000032732
ENSTGUP00000000146	ENSMUSP00000050995
ENSTGUP00000009281	ENSMUSP00000106013
ENSTGUP00000002474	ENSMUSP00000133356
ENSTGUP00000010619	ENSMUSP00000027186
ENSTGUP00000004883	ENSMUSP00000044482
ENSTGUP00000001540	ENSMUSP00000040977
ENSTGUP00000014093	ENSMUSP00000088176
ENSTGUP00000000044	ENSMUSP00000080881
ENSTGUP00000013366	ENSMUSP00000051092
ENSTGUP00000012902	ENSMUSP00000074066
ENSTGUP00000004988	ENSMUSP00000059330
ENSTGUP00000002494	ENSMUSP00000044361
ENSTGUP00000012964	ENSMUSP00000022709
ENSTGUP00000002098	ENSMUSP00000103742
ENSTGUP00000000161	ENSMUSP00000025295
ENSTGUP00000000624	ENSMUSP00000070751
ENSTGUP00000002419	ENSMUSP00000022242
ENSTGUP00000004212	ENSMUSP00000082793
ENSTGUP00000012186	ENSMUSP00000029876
ENSTGUP00000006154	ENSMUSP00000003754
ENSTGUP00000009179	ENSMUSP00000021770
ENSTGUP00000004916	ENSMUSP00000028533
ENSTGUP00000000984	ENSMUSP00000029450
ENSTGUP00000011844	ENSMUSP00000021552
ENSTGUP00000005927	ENSMUSP00000135040
ENSTGUP00000006987	ENSMUSP00000022057
ENSTGUP00000006276	ENSMUSP00000108455
ENSTGUP00000011591	ENSMUSP00000103983
ENSTGUP00000007793	ENSMUSP00000037808
ENSTGUP00000017625	ENSMUSP00000120414
ENSTGUP00000009404	ENSMUSP00000026548
ENSTGUP00000000687	ENSMUSP00000069456
ENSTGUP00000006643	ENSMUSP00000047616
ENSTGUP00000003542	ENSMUSP00000026900
ENSTGUP00000012441	ENSMUSP00000014691
ENSTGUP00000004890	ENSMUSP00000085906
ENSTGUP00000002801	ENSMUSP00000078047
ENSTGUP00000007738	ENSMUSP00000096876
ENSTGUP00000017570	ENSMUSP00000138433
ENSTGUP00000008483	ENSMUSP00000102047
ENSTGUP00000006331	ENSMUSP00000064943
ENSTGUP00000002781	ENSMUSP00000017945
ENSTGUP00000003037	ENSMUSP00000031167
ENSTGUP00000011390	ENSMUSP00000076418
ENSTGUP00000005426	ENSMUSP00000099494
ENSTGUP00000013944	ENSMUSP00000109877
ENSTGUP00000011026	ENSMUSP00000015449
ENSTGUP00000002248	ENSMUSP00000028854
ENSTGUP00000012710	ENSMUSP00000025356
ENSTGUP00000011135	ENSMUSP00000001319
ENSTGUP00000002777	ENSMUSP00000050716
ENSTGUP00000017506	ENSMUSP00000029476
ENSTGUP00000004464	ENSMUSP00000039568
ENSTGUP00000018050	ENSMUSP00000061410
ENSTGUP00000005598	ENSMUSP00000084196
ENSTGUP00000005911	ENSMUSP00000129615
ENSTGUP00000013257	ENSMUSP00000048234
ENSTGUP00000001042	ENSMUSP00000046512
ENSTGUP00000002177	ENSMUSP00000022744
ENSTGUP00000000937	ENSMUSP00000050001
ENSTGUP00000013154	ENSMUSP00000085650
ENSTGUP00000011847	ENSMUSP00000078490
ENSTGUP00000001610	ENSMUSP00000029435
ENSTGUP00000011209	ENSMUSP00000138290
ENSTGUP00000009384	ENSMUSP00000089388
ENSTGUP00000009284	ENSMUSP00000021641
ENSTGUP00000008805	ENSMUSP00000104785
ENSTGUP00000004541	ENSMUSP00000102904
ENSTGUP00000015174	ENSMUSP00000031029
ENSTGUP00000013329	ENSMUSP00000041563
ENSTGUP00000011460	ENSMUSP00000062734
ENSTGUP00000011163	ENSMUSP00000129315
ENSTGUP00000001110	ENSMUSP00000099609
ENSTGUP00000004571	ENSMUSP00000005188
ENSTGUP00000006667	ENSMUSP00000083490
ENSTGUP00000001660	ENSMUSP00000079722
ENSTGUP00000007767	ENSMUSP00000108083
ENSTGUP00000007985	ENSMUSP00000071191
ENSTGUP00000008611	ENSMUSP00000047571
ENSTGUP00000007185	ENSMUSP00000069872
ENSTGUP00000013253	ENSMUSP00000053086
ENSTGUP00000005637	ENSMUSP00000125912
ENSTGUP00000006630	ENSMUSP00000138379
ENSTGUP00000005165	ENSMUSP00000138400
ENSTGUP00000013207	ENSMUSP00000126405
ENSTGUP00000004068	ENSMUSP00000124354
ENSTGUP00000006749	ENSMUSP00000043713
ENSTGUP00000017600	ENSMUSP00000087049
ENSTGUP00000003897	ENSMUSP00000096203
ENSTGUP00000007590	ENSMUSP00000022881
ENSTGUP00000005902	ENSMUSP00000095300
ENSTGUP00000001096	ENSMUSP00000075916
ENSTGUP00000015463	ENSMUSP00000029545
ENSTGUP00000006059	ENSMUSP00000022164
ENSTGUP00000006333	ENSMUSP00000113881
ENSTGUP00000005861	ENSMUSP00000128056
ENSTGUP00000000707	ENSMUSP00000002708
ENSTGUP00000001758	ENSMUSP00000055267
ENSTGUP00000001746	ENSMUSP00000035083
ENSTGUP00000014629	ENSMUSP00000048148
ENSTGUP00000003293	ENSMUSP00000073004
ENSTGUP00000011493	ENSMUSP00000031317
ENSTGUP00000008744	ENSMUSP00000112717
ENSTGUP00000001843	ENSMUSP00000025050
ENSTGUP00000001940	ENSMUSP00000102034
ENSTGUP00000000885	ENSMUSP00000095174
ENSTGUP00000007226	ENSMUSP00000053176
ENSTGUP00000005417	ENSMUSP00000073541
ENSTGUP00000004208	ENSMUSP00000005003
ENSTGUP00000005218	ENSMUSP00000042803
ENSTGUP00000007613	ENSMUSP00000118729
ENSTGUP00000008396	ENSMUSP00000033326
ENSTGUP00000011968	ENSMUSP00000038754
ENSTGUP00000011012	ENSMUSP00000004943
ENSTGUP00000016561	ENSMUSP00000004508
ENSTGUP00000010160	ENSMUSP00000107530
ENSTGUP00000000240	ENSMUSP00000074771
ENSTGUP00000009798	ENSMUSP00000117040
ENSTGUP00000007483	ENSMUSP00000117533
ENSTGUP00000010304	ENSMUSP00000109630
ENSTGUP00000016558	ENSMUSP00000086167
ENSTGUP00000009507	ENSMUSP00000033218
ENSTGUP00000016048	ENSMUSP00000028232
ENSTGUP00000001179	ENSMUSP00000030606
ENSTGUP00000005215	ENSMUSP00000132646
ENSTGUP00000007842	ENSMUSP00000042796
ENSTGUP00000001470	ENSMUSP00000076844
ENSTGUP00000010665	ENSMUSP00000129811
ENSTGUP00000012587	ENSMUSP00000019994
ENSTGUP00000013778	ENSMUSP00000023494
ENSTGUP00000001455	ENSMUSP00000027687
ENSTGUP00000012550	ENSMUSP00000019379
ENSTGUP00000008364	ENSMUSP00000037447
ENSTGUP00000003030	ENSMUSP00000037821
ENSTGUP00000006119	ENSMUSP00000105657
ENSTGUP00000009726	ENSMUSP00000085022
ENSTGUP00000007752	ENSMUSP00000137895
ENSTGUP00000004682	ENSMUSP00000073591
ENSTGUP00000000400	ENSMUSP00000059138
ENSTGUP00000002033	ENSMUSP00000019734
ENSTGUP00000008469	ENSMUSP00000028403
ENSTGUP00000006683	ENSMUSP00000130680
ENSTGUP00000011625	ENSMUSP00000097656
ENSTGUP00000013317	ENSMUSP00000135853
ENSTGUP00000000184	ENSMUSP00000060941
ENSTGUP00000000843	ENSMUSP00000113147
ENSTGUP00000007049	ENSMUSP00000064516
ENSTGUP00000011790	ENSMUSP00000109612
ENSTGUP00000010615	ENSMUSP00000009236
ENSTGUP00000013502	ENSMUSP00000120015
ENSTGUP00000003353	ENSMUSP00000077103
ENSTGUP00000006743	ENSMUSP00000056121
ENSTGUP00000002542	ENSMUSP00000109036
ENSTGUP00000004134	ENSMUSP00000126338
ENSTGUP00000004560	ENSMUSP00000107677
ENSTGUP00000012276	ENSMUSP00000041874
ENSTGUP00000004290	ENSMUSP00000046441
ENSTGUP00000009335	ENSMUSP00000108126
ENSTGUP00000012595	ENSMUSP00000022704
ENSTGUP00000005595	ENSMUSP00000027425
ENSTGUP00000002488	ENSMUSP00000031556
ENSTGUP00000008924	ENSMUSP00000052619
ENSTGUP00000009158	ENSMUSP00000069182
ENSTGUP00000005205	ENSMUSP00000090886
ENSTGUP00000010279	ENSMUSP00000026241
ENSTGUP00000006670	ENSMUSP00000105413
ENSTGUP00000011114	ENSMUSP00000095260
ENSTGUP00000014898	ENSMUSP00000117384
ENSTGUP00000012346	ENSMUSP00000023072
ENSTGUP00000012338	ENSMUSP00000131443
ENSTGUP00000003640	ENSMUSP00000059463
ENSTGUP00000006185	ENSMUSP00000059570
ENSTGUP00000001076	ENSMUSP00000059210
ENSTGUP00000008048	ENSMUSP00000070906
ENSTGUP00000010733	ENSMUSP00000010974
ENSTGUP00000010106	ENSMUSP00000054420
ENSTGUP00000005509	ENSMUSP00000050014
ENSTGUP00000005802	ENSMUSP00000037238
ENSTGUP00000005514	ENSMUSP00000031347
ENSTGUP00000000473	ENSMUSP00000021828
ENSTGUP00000008908	ENSMUSP00000095534
ENSTGUP00000011967	ENSMUSP00000020174
ENSTGUP00000017812	ENSMUSP00000002298
ENSTGUP00000006289	ENSMUSP00000117908
ENSTGUP00000011905	ENSMUSP00000053178
ENSTGUP00000011852	ENSMUSP00000027062
ENSTGUP00000011506	ENSMUSP00000033136
ENSTGUP00000006202	ENSMUSP00000049112
ENSTGUP00000013835	ENSMUSP00000136621
ENSTGUP00000010222	ENSMUSP00000109734
ENSTGUP00000011440	ENSMUSP00000062702
ENSTGUP00000001396	ENSMUSP00000110751
ENSTGUP00000010163	ENSMUSP00000101648
ENSTGUP00000013862	ENSMUSP00000023707
ENSTGUP00000009732	ENSMUSP00000098768
ENSTGUP00000002324	ENSMUSP00000053056
ENSTGUP00000002302	ENSMUSP00000035549
ENSTGUP00000011908	ENSMUSP00000056245
ENSTGUP00000009982	ENSMUSP00000058204
ENSTGUP00000008417	ENSMUSP00000100922
ENSTGUP00000005558	ENSMUSP00000021822
ENSTGUP00000009162	ENSMUSP00000030296
ENSTGUP00000002654	ENSMUSP00000049212
ENSTGUP00000002923	ENSMUSP00000057116
ENSTGUP00000007161	ENSMUSP00000086542
ENSTGUP00000007832	ENSMUSP00000005364
ENSTGUP00000009636	ENSMUSP00000033828
ENSTGUP00000005765	ENSMUSP00000123201
ENSTGUP00000008571	ENSMUSP00000037702
ENSTGUP00000009565	ENSMUSP00000009392
ENSTGUP00000011294	ENSMUSP00000137650
ENSTGUP00000000358	ENSMUSP00000061221
ENSTGUP00000001371	ENSMUSP00000028105
ENSTGUP00000016950	ENSMUSP00000039261
ENSTGUP00000005806	ENSMUSP00000113680
ENSTGUP00000012004	ENSMUSP00000041242
ENSTGUP00000002853	ENSMUSP00000122072
ENSTGUP00000007341	ENSMUSP00000047518
ENSTGUP00000011697	ENSMUSP00000004473
ENSTGUP00000010747	ENSMUSP00000002180
ENSTGUP00000003895	ENSMUSP00000060907
ENSTGUP00000011868	ENSMUSP00000020153
ENSTGUP00000015977	ENSMUSP00000052717
ENSTGUP00000007029	ENSMUSP00000095966
ENSTGUP00000003877	ENSMUSP00000000895
ENSTGUP00000003206	ENSMUSP00000028135
ENSTGUP00000004491	ENSMUSP00000025010
ENSTGUP00000007556	ENSMUSP00000131409
ENSTGUP00000006063	ENSMUSP00000051151
ENSTGUP00000004908	ENSMUSP00000106978
ENSTGUP00000002232	ENSMUSP00000120649
ENSTGUP00000001466	ENSMUSP00000130571
ENSTGUP00000011498	ENSMUSP00000041941
ENSTGUP00000011577	ENSMUSP00000077273
ENSTGUP00000007905	ENSMUSP00000031291
ENSTGUP00000003173	ENSMUSP00000109907
ENSTGUP00000000521	ENSMUSP00000043074
ENSTGUP00000005906	ENSMUSP00000023826
ENSTGUP00000000301	ENSMUSP00000051481
ENSTGUP00000010852	ENSMUSP00000105312
ENSTGUP00000007667	ENSMUSP00000071914
ENSTGUP00000014018	ENSMUSP00000119774
ENSTGUP00000011067	ENSMUSP00000025936
ENSTGUP00000013674	ENSMUSP00000047992
ENSTGUP00000013851	ENSMUSP00000032977
ENSTGUP00000010702	ENSMUSP00000007171
ENSTGUP00000012039	ENSMUSP00000029049
ENSTGUP00000003608	ENSMUSP00000124027
ENSTGUP00000008426	ENSMUSP00000063879
ENSTGUP00000012552	ENSMUSP00000004913
ENSTGUP00000004509	ENSMUSP00000027643
ENSTGUP00000005994	ENSMUSP00000021796
ENSTGUP00000008244	ENSMUSP00000029030
ENSTGUP00000000838	ENSMUSP00000030384
ENSTGUP00000015679	ENSMUSP00000053869
ENSTGUP00000010942	ENSMUSP00000085960
ENSTGUP00000004044	ENSMUSP00000029665
ENSTGUP00000016739	ENSMUSP00000025803
ENSTGUP00000013017	ENSMUSP00000034881
ENSTGUP00000010060	ENSMUSP00000050684
ENSTGUP00000007874	ENSMUSP00000020821
ENSTGUP00000008701	ENSMUSP00000048285
ENSTGUP00000003690	ENSMUSP00000105248
ENSTGUP00000008300	ENSMUSP00000098687
ENSTGUP00000004849	ENSMUSP00000136914
ENSTGUP00000000324	ENSMUSP00000137400
ENSTGUP00000015065	ENSMUSP00000026445
ENSTGUP00000007888	ENSMUSP00000031565
ENSTGUP00000002680	ENSMUSP00000081132
ENSTGUP00000014950	ENSMUSP00000125761
ENSTGUP00000011925	ENSMUSP00000027639
ENSTGUP00000000799	ENSMUSP00000034612
ENSTGUP00000007023	ENSMUSP00000037328
ENSTGUP00000000170	ENSMUSP00000049236
ENSTGUP00000012068	ENSMUSP00000071130
ENSTGUP00000001072	ENSMUSP00000099833
ENSTGUP00000012669	ENSMUSP00000130827
ENSTGUP00000014043	ENSMUSP00000023434
ENSTGUP00000011960	ENSMUSP00000031650
ENSTGUP00000000961	ENSMUSP00000025521
ENSTGUP00000013784	ENSMUSP00000059212
ENSTGUP00000012213	ENSMUSP00000074878
ENSTGUP00000002625	ENSMUSP00000076729
ENSTGUP00000007005	ENSMUSP00000022529
ENSTGUP00000003837	ENSMUSP00000001185
ENSTGUP00000009245	ENSMUSP00000121358
ENSTGUP00000008989	ENSMUSP00000048238
ENSTGUP00000005751	ENSMUSP00000049103
ENSTGUP00000013498	ENSMUSP00000065613
ENSTGUP00000011838	ENSMUSP00000084039
ENSTGUP00000003670	ENSMUSP00000039394
ENSTGUP00000004595	ENSMUSP00000037137
ENSTGUP00000006197	ENSMUSP00000113097
ENSTGUP00000009922	ENSMUSP00000128250
ENSTGUP00000009831	ENSMUSP00000039699
ENSTGUP00000009910	ENSMUSP00000026590
ENSTGUP00000009409	ENSMUSP00000009018
ENSTGUP00000003639	ENSMUSP00000022311
ENSTGUP00000003991	ENSMUSP00000052872
ENSTGUP00000003151	ENSMUSP00000031692
ENSTGUP00000001191	ENSMUSP00000099605
ENSTGUP00000011220	ENSMUSP00000042642
ENSTGUP00000011215	ENSMUSP00000020185
ENSTGUP00000006316	ENSMUSP00000028727
ENSTGUP00000015604	ENSMUSP00000087118
ENSTGUP00000007539	ENSMUSP00000099864
ENSTGUP00000009506	ENSMUSP00000032344
ENSTGUP00000015412	ENSMUSP00000135556
ENSTGUP00000013875	ENSMUSP00000008462
ENSTGUP00000009416	ENSMUSP00000118125
ENSTGUP00000008253	ENSMUSP00000041361
ENSTGUP00000009212	ENSMUSP00000044002
ENSTGUP00000008234	ENSMUSP00000105272
ENSTGUP00000001027	ENSMUSP00000025236
ENSTGUP00000002071	ENSMUSP00000035663
ENSTGUP00000003326	ENSMUSP00000033418
ENSTGUP00000007688	ENSMUSP00000033646
ENSTGUP00000010508	ENSMUSP00000129781
ENSTGUP00000003046	ENSMUSP00000128318
ENSTGUP00000010351	ENSMUSP00000107579
ENSTGUP00000010770	ENSMUSP00000134672
ENSTGUP00000009781	ENSMUSP00000107415
ENSTGUP00000015737	ENSMUSP00000032179
ENSTGUP00000012392	ENSMUSP00000090227
ENSTGUP00000003936	ENSMUSP00000024944
ENSTGUP00000005463	ENSMUSP00000029570
ENSTGUP00000000481	ENSMUSP00000118180
ENSTGUP00000016134	ENSMUSP00000002699
ENSTGUP00000006382	ENSMUSP00000031227
ENSTGUP00000001582	ENSMUSP00000022148
ENSTGUP00000007343	ENSMUSP00000035116
ENSTGUP00000000199	ENSMUSP00000020672
ENSTGUP00000006030	ENSMUSP00000110817
ENSTGUP00000014376	ENSMUSP00000034720
ENSTGUP00000001047	ENSMUSP00000037929
ENSTGUP00000002543	ENSMUSP00000103012
ENSTGUP00000006306	ENSMUSP00000017904
ENSTGUP00000007781	ENSMUSP00000069243
ENSTGUP00000010103	ENSMUSP00000034343
ENSTGUP00000011542	ENSMUSP00000023829
ENSTGUP00000013074	ENSMUSP00000065832
ENSTGUP00000011547	ENSMUSP00000115704
ENSTGUP00000012977	ENSMUSP00000139031
ENSTGUP00000012910	ENSMUSP00000129654
ENSTGUP00000003703	ENSMUSP00000023760
ENSTGUP00000005495	ENSMUSP00000061308
ENSTGUP00000012575	ENSMUSP00000051664
ENSTGUP00000005527	ENSMUSP00000033389
ENSTGUP00000012632	ENSMUSP00000000186
ENSTGUP00000006453	ENSMUSP00000075762
ENSTGUP00000001031	ENSMUSP00000046101
ENSTGUP00000002150	ENSMUSP00000021306
ENSTGUP00000003461	ENSMUSP00000024773
ENSTGUP00000014172	ENSMUSP00000028892
ENSTGUP00000007057	ENSMUSP00000090941
ENSTGUP00000004598	ENSMUSP00000018122
ENSTGUP00000006359	ENSMUSP00000059913
ENSTGUP00000010762	ENSMUSP00000093697
ENSTGUP00000009716	ENSMUSP00000136409
ENSTGUP00000017798	ENSMUSP00000116282
ENSTGUP00000001675	ENSMUSP00000059404
ENSTGUP00000008123	ENSMUSP00000055036
ENSTGUP00000007248	ENSMUSP00000045351
ENSTGUP00000000844	ENSMUSP00000025659
ENSTGUP00000008322	ENSMUSP00000069228
ENSTGUP00000007941	ENSMUSP00000056008
ENSTGUP00000010764	ENSMUSP00000023583
ENSTGUP00000010774	ENSMUSP00000023587
ENSTGUP00000005869	ENSMUSP00000075566
ENSTGUP00000004945	ENSMUSP00000007130
ENSTGUP00000010321	ENSMUSP00000050577
ENSTGUP00000008330	ENSMUSP00000115871
ENSTGUP00000004349	ENSMUSP00000022634
ENSTGUP00000011996	ENSMUSP00000101718
ENSTGUP00000013981	ENSMUSP00000113835
ENSTGUP00000013594	ENSMUSP00000035644
ENSTGUP00000012060	ENSMUSP00000064080
ENSTGUP00000000753	ENSMUSP00000092253
ENSTGUP00000010288	ENSMUSP00000137246
ENSTGUP00000011151	ENSMUSP00000040271
ENSTGUP00000012735	ENSMUSP00000022592
ENSTGUP00000003846	ENSMUSP00000101311
ENSTGUP00000010064	ENSMUSP00000073751
ENSTGUP00000011713	ENSMUSP00000048590
ENSTGUP00000008598	ENSMUSP00000041543
ENSTGUP00000004299	ENSMUSP00000077074
ENSTGUP00000009489	ENSMUSP00000024748
ENSTGUP00000001301	ENSMUSP00000069422
ENSTGUP00000012489	ENSMUSP00000093206
ENSTGUP00000006219	ENSMUSP00000105560
ENSTGUP00000008887	ENSMUSP00000098723
ENSTGUP00000006238	ENSMUSP00000050211
ENSTGUP00000012854	ENSMUSP00000079239
ENSTGUP00000001563	ENSMUSP00000037970
ENSTGUP00000003961	ENSMUSP00000086948
ENSTGUP00000010248	ENSMUSP00000031009
ENSTGUP00000000343	ENSMUSP00000020537
ENSTGUP00000006263	ENSMUSP00000033153
ENSTGUP00000005660	ENSMUSP00000104889
ENSTGUP00000009904	ENSMUSP00000049336
ENSTGUP00000011112	ENSMUSP00000117687
ENSTGUP00000000527	ENSMUSP00000043596
ENSTGUP00000017676	ENSMUSP00000102894
ENSTGUP00000009403	ENSMUSP00000118361
ENSTGUP00000014237	ENSMUSP00000077353
ENSTGUP00000000678	ENSMUSP00000117017
ENSTGUP00000016533	ENSMUSP00000106866
ENSTGUP00000002230	ENSMUSP00000017572
ENSTGUP00000007510	ENSMUSP00000028635
ENSTGUP00000003063	ENSMUSP00000135703
ENSTGUP00000012534	ENSMUSP00000135881
ENSTGUP00000012726	ENSMUSP00000022590
ENSTGUP00000011797	ENSMUSP00000095608
ENSTGUP00000010968	ENSMUSP00000045539
ENSTGUP00000006069	ENSMUSP00000044026
ENSTGUP00000012208	ENSMUSP00000023068
ENSTGUP00000008370	ENSMUSP00000033325
ENSTGUP00000001797	ENSMUSP00000002327
ENSTGUP00000012459	ENSMUSP00000022901
ENSTGUP00000013430	ENSMUSP00000020980
ENSTGUP00000012987	ENSMUSP00000108876
ENSTGUP00000001949	ENSMUSP00000087857
ENSTGUP00000017832	ENSMUSP00000137871
ENSTGUP00000012582	ENSMUSP00000059724
ENSTGUP00000011010	ENSMUSP00000052017
ENSTGUP00000006496	ENSMUSP00000043066
ENSTGUP00000001276	ENSMUSP00000030408
ENSTGUP00000013578	ENSMUSP00000045315
ENSTGUP00000002234	ENSMUSP00000079689
ENSTGUP00000010317	ENSMUSP00000109728
ENSTGUP00000004627	ENSMUSP00000020524
ENSTGUP00000008150	ENSMUSP00000099317
ENSTGUP00000012908	ENSMUSP00000015146
ENSTGUP00000004241	ENSMUSP00000032071
ENSTGUP00000004428	ENSMUSP00000065935
ENSTGUP00000003539	ENSMUSP00000028880
ENSTGUP00000004741	ENSMUSP00000131904
ENSTGUP00000014088	ENSMUSP00000096950
ENSTGUP00000000597	ENSMUSP00000090564
ENSTGUP00000000605	ENSMUSP00000021907
ENSTGUP00000008231	ENSMUSP00000130313
ENSTGUP00000011155	ENSMUSP00000125995
ENSTGUP00000008090	ENSMUSP00000021166
ENSTGUP00000007138	ENSMUSP00000105168
ENSTGUP00000006561	ENSMUSP00000063650
ENSTGUP00000010397	ENSMUSP00000023040
ENSTGUP00000006973	ENSMUSP00000020513
ENSTGUP00000001213	ENSMUSP00000110274
ENSTGUP00000017432	ENSMUSP00000103222
ENSTGUP00000003626	ENSMUSP00000073371
ENSTGUP00000002013	ENSMUSP00000045357
ENSTGUP00000010600	ENSMUSP00000047880
ENSTGUP00000004330	ENSMUSP00000051331
ENSTGUP00000004469	ENSMUSP00000073974
ENSTGUP00000006648	ENSMUSP00000025649
ENSTGUP00000002737	ENSMUSP00000119841
ENSTGUP00000010843	ENSMUSP00000029259
ENSTGUP00000009927	ENSMUSP00000055475
ENSTGUP00000003512	ENSMUSP00000052584
ENSTGUP00000014029	ENSMUSP00000086779
ENSTGUP00000011755	ENSMUSP00000130121
ENSTGUP00000005251	ENSMUSP00000106756
ENSTGUP00000007698	ENSMUSP00000124272
ENSTGUP00000005821	ENSMUSP00000018880
ENSTGUP00000016631	ENSMUSP00000109121
ENSTGUP00000012154	ENSMUSP00000112551
ENSTGUP00000004240	ENSMUSP00000099349
ENSTGUP00000000564	ENSMUSP00000033289
ENSTGUP00000009468	ENSMUSP00000113174
ENSTGUP00000007002	ENSMUSP00000072961
ENSTGUP00000016625	ENSMUSP00000001569
ENSTGUP00000006414	ENSMUSP00000072136
ENSTGUP00000010415	ENSMUSP00000113494
ENSTGUP00000000518	ENSMUSP00000021929
ENSTGUP00000016113	ENSMUSP00000103495
ENSTGUP00000006980	ENSMUSP00000018645
ENSTGUP00000005230	ENSMUSP00000083250
ENSTGUP00000008129	ENSMUSP00000045291
ENSTGUP00000004473	ENSMUSP00000033634
ENSTGUP00000009534	ENSMUSP00000114015
ENSTGUP00000002389	ENSMUSP00000027965
ENSTGUP00000011344	ENSMUSP00000113499
ENSTGUP00000001230	ENSMUSP00000030434
ENSTGUP00000004209	ENSMUSP00000006137
ENSTGUP00000005750	ENSMUSP00000109502
ENSTGUP00000011813	ENSMUSP00000022561
ENSTGUP00000001254	ENSMUSP00000030412
ENSTGUP00000012609	ENSMUSP00000064893
ENSTGUP00000005210	ENSMUSP00000122964
ENSTGUP00000015146	ENSMUSP00000120387
ENSTGUP00000015959	ENSMUSP00000089680
ENSTGUP00000015824	ENSMUSP00000039528
ENSTGUP00000014658	ENSMUSP00000056787
ENSTGUP00000007321	ENSMUSP00000054330
ENSTGUP00000002563	ENSMUSP00000124674
ENSTGUP00000000164	ENSMUSP00000057896
ENSTGUP00000001226	ENSMUSP00000110287
ENSTGUP00000000468	ENSMUSP00000035099
ENSTGUP00000008386	ENSMUSP00000028509
ENSTGUP00000006904	ENSMUSP00000129325
ENSTGUP00000007384	ENSMUSP00000044280
ENSTGUP00000012590	ENSMUSP00000078361
ENSTGUP00000009964	ENSMUSP00000078774
ENSTGUP00000009984	ENSMUSP00000025403
ENSTGUP00000012502	ENSMUSP00000022904
ENSTGUP00000013443	ENSMUSP00000020884
ENSTGUP00000005462	ENSMUSP00000124548
ENSTGUP00000011456	ENSMUSP00000082013
ENSTGUP00000001881	ENSMUSP00000030192
ENSTGUP00000010555	ENSMUSP00000027287
ENSTGUP00000002453	ENSMUSP00000044466
ENSTGUP00000011211	ENSMUSP00000027267
ENSTGUP00000009059	ENSMUSP00000119875
ENSTGUP00000011765	ENSMUSP00000105976
ENSTGUP00000005091	ENSMUSP00000041308
ENSTGUP00000000099	ENSMUSP00000113346
ENSTGUP00000015134	ENSMUSP00000031032
ENSTGUP00000009439	ENSMUSP00000128696
ENSTGUP00000002644	ENSMUSP00000054804
ENSTGUP00000013285	ENSMUSP00000021726
ENSTGUP00000012580	ENSMUSP00000097444
ENSTGUP00000003947	ENSMUSP00000130967
ENSTGUP00000015328	ENSMUSP00000003911
ENSTGUP00000005776	ENSMUSP00000005504
ENSTGUP00000002822	ENSMUSP00000110900
ENSTGUP00000005974	ENSMUSP00000085187
ENSTGUP00000013291	ENSMUSP00000098580
ENSTGUP00000000665	ENSMUSP00000034470
ENSTGUP00000004008	ENSMUSP00000090130
ENSTGUP00000011134	ENSMUSP00000093644
ENSTGUP00000011872	ENSMUSP00000057462
ENSTGUP00000000608	ENSMUSP00000059433
ENSTGUP00000002501	ENSMUSP00000064393
ENSTGUP00000012858	ENSMUSP00000071464
ENSTGUP00000005573	ENSMUSP00000108987
ENSTGUP00000007980	ENSMUSP00000064539
ENSTGUP00000009713	ENSMUSP00000023151
ENSTGUP00000010818	ENSMUSP00000110057
