ENSMODP00000016222	ENSTGUP00000008915
ENSMODP00000025445	ENSTGUP00000006550
ENSMODP00000023786	ENSTGUP00000007462
ENSMODP00000021940	ENSTGUP00000001742
ENSMODP00000001437	ENSTGUP00000012200
ENSMODP00000013457	ENSTGUP00000010751
ENSMODP00000033667	ENSTGUP00000003713
ENSMODP00000025116	ENSTGUP00000016570
ENSMODP00000010724	ENSTGUP00000000693
ENSMODP00000002862	ENSTGUP00000006098
ENSMODP00000034611	ENSTGUP00000005767
ENSMODP00000012640	ENSTGUP00000000238
ENSMODP00000019652	ENSTGUP00000015296
ENSMODP00000013262	ENSTGUP00000011154
ENSMODP00000024259	ENSTGUP00000006576
ENSMODP00000012834	ENSTGUP00000003201
ENSMODP00000021258	ENSTGUP00000007383
ENSMODP00000001629	ENSTGUP00000017605
ENSMODP00000015598	ENSTGUP00000005144
ENSMODP00000017667	ENSTGUP00000012816
ENSMODP00000038519	ENSTGUP00000012170
ENSMODP00000021025	ENSTGUP00000007777
ENSMODP00000010310	ENSTGUP00000011578
ENSMODP00000030140	ENSTGUP00000009762
ENSMODP00000020391	ENSTGUP00000008964
ENSMODP00000015233	ENSTGUP00000009757
ENSMODP00000013188	ENSTGUP00000011171
ENSMODP00000018821	ENSTGUP00000016441
ENSMODP00000010341	ENSTGUP00000008825
ENSMODP00000021895	ENSTGUP00000012172
ENSMODP00000020125	ENSTGUP00000006976
ENSMODP00000019344	ENSTGUP00000005436
ENSMODP00000002481	ENSTGUP00000012795
ENSMODP00000000759	ENSTGUP00000004955
ENSMODP00000035740	ENSTGUP00000010048
ENSMODP00000010567	ENSTGUP00000001166
ENSMODP00000025374	ENSTGUP00000002337
ENSMODP00000025486	ENSTGUP00000002037
ENSMODP00000009701	ENSTGUP00000007565
ENSMODP00000030251	ENSTGUP00000013599
ENSMODP00000020714	ENSTGUP00000008361
ENSMODP00000021469	ENSTGUP00000008226
ENSMODP00000023550	ENSTGUP00000017672
ENSMODP00000020056	ENSTGUP00000006755
ENSMODP00000018020	ENSTGUP00000000318
ENSMODP00000027349	ENSTGUP00000009148
ENSMODP00000003743	ENSTGUP00000013825
ENSMODP00000032086	ENSTGUP00000007965
ENSMODP00000020434	ENSTGUP00000006343
ENSMODP00000000944	ENSTGUP00000002883
ENSMODP00000000829	ENSTGUP00000012058
ENSMODP00000029532	ENSTGUP00000008078
ENSMODP00000009813	ENSTGUP00000001807
ENSMODP00000009933	ENSTGUP00000001806
ENSMODP00000012354	ENSTGUP00000009483
ENSMODP00000002565	ENSTGUP00000006335
ENSMODP00000020280	ENSTGUP00000005504
ENSMODP00000008619	ENSTGUP00000011922
ENSMODP00000005464	ENSTGUP00000007857
ENSMODP00000025778	ENSTGUP00000004090
ENSMODP00000001039	ENSTGUP00000006784
ENSMODP00000000675	ENSTGUP00000003559
ENSMODP00000018053	ENSTGUP00000000995
ENSMODP00000003470	ENSTGUP00000013902
ENSMODP00000012022	ENSTGUP00000014630
ENSMODP00000003356	ENSTGUP00000013283
ENSMODP00000011738	ENSTGUP00000011576
ENSMODP00000018820	ENSTGUP00000004860
ENSMODP00000007107	ENSTGUP00000017687
ENSMODP00000030082	ENSTGUP00000009009
ENSMODP00000013888	ENSTGUP00000005000
ENSMODP00000017409	ENSTGUP00000014120
ENSMODP00000001778	ENSTGUP00000002682
ENSMODP00000022887	ENSTGUP00000012859
ENSMODP00000006007	ENSTGUP00000005190
ENSMODP00000038040	ENSTGUP00000010407
ENSMODP00000010172	ENSTGUP00000005984
ENSMODP00000003064	ENSTGUP00000003110
ENSMODP00000011818	ENSTGUP00000004879
ENSMODP00000035890	ENSTGUP00000012313
ENSMODP00000005986	ENSTGUP00000000979
ENSMODP00000012158	ENSTGUP00000005147
ENSMODP00000025871	ENSTGUP00000003675
ENSMODP00000011779	ENSTGUP00000015427
ENSMODP00000005644	ENSTGUP00000015674
ENSMODP00000002275	ENSTGUP00000003924
ENSMODP00000009126	ENSTGUP00000003919
ENSMODP00000002600	ENSTGUP00000008408
ENSMODP00000024566	ENSTGUP00000003114
ENSMODP00000002126	ENSTGUP00000000409
ENSMODP00000023154	ENSTGUP00000013088
ENSMODP00000001148	ENSTGUP00000010476
ENSMODP00000007001	ENSTGUP00000010056
ENSMODP00000039867	ENSTGUP00000011156
ENSMODP00000019710	ENSTGUP00000014796
ENSMODP00000003121	ENSTGUP00000011695
ENSMODP00000032776	ENSTGUP00000013321
ENSMODP00000021504	ENSTGUP00000002376
ENSMODP00000022725	ENSTGUP00000013771
ENSMODP00000017677	ENSTGUP00000001346
ENSMODP00000021594	ENSTGUP00000008437
ENSMODP00000014441	ENSTGUP00000006727
ENSMODP00000004536	ENSTGUP00000006551
ENSMODP00000025429	ENSTGUP00000006442
ENSMODP00000021409	ENSTGUP00000008073
ENSMODP00000008469	ENSTGUP00000015248
ENSMODP00000025502	ENSTGUP00000007250
ENSMODP00000020364	ENSTGUP00000005801
ENSMODP00000001657	ENSTGUP00000012144
ENSMODP00000041088	ENSTGUP00000014450
ENSMODP00000002162	ENSTGUP00000003078
ENSMODP00000007706	ENSTGUP00000000312
ENSMODP00000019151	ENSTGUP00000003052
ENSMODP00000011885	ENSTGUP00000009163
ENSMODP00000020305	ENSTGUP00000009300
ENSMODP00000029006	ENSTGUP00000014761
ENSMODP00000024282	ENSTGUP00000006705
ENSMODP00000011356	ENSTGUP00000011441
ENSMODP00000021528	ENSTGUP00000011365
ENSMODP00000002347	ENSTGUP00000001151
ENSMODP00000005643	ENSTGUP00000001026
ENSMODP00000002270	ENSTGUP00000017794
ENSMODP00000002561	ENSTGUP00000011471
ENSMODP00000011420	ENSTGUP00000012016
ENSMODP00000005927	ENSTGUP00000001279
ENSMODP00000024027	ENSTGUP00000006137
ENSMODP00000008095	ENSTGUP00000000908
ENSMODP00000024313	ENSTGUP00000006866
ENSMODP00000006458	ENSTGUP00000002093
ENSMODP00000017616	ENSTGUP00000001882
ENSMODP00000019932	ENSTGUP00000010361
ENSMODP00000008549	ENSTGUP00000000942
ENSMODP00000021801	ENSTGUP00000008787
ENSMODP00000024609	ENSTGUP00000003826
ENSMODP00000004619	ENSTGUP00000001115
ENSMODP00000028249	ENSTGUP00000006908
ENSMODP00000022136	ENSTGUP00000012204
ENSMODP00000019732	ENSTGUP00000014887
ENSMODP00000025773	ENSTGUP00000004121
ENSMODP00000018236	ENSTGUP00000006535
ENSMODP00000036015	ENSTGUP00000005711
ENSMODP00000019533	ENSTGUP00000015180
ENSMODP00000005304	ENSTGUP00000002638
ENSMODP00000026231	ENSTGUP00000012976
ENSMODP00000020382	ENSTGUP00000008996
ENSMODP00000005124	ENSTGUP00000007961
ENSMODP00000003400	ENSTGUP00000004903
ENSMODP00000019451	ENSTGUP00000002602
ENSMODP00000022163	ENSTGUP00000001592
ENSMODP00000013430	ENSTGUP00000000873
ENSMODP00000020953	ENSTGUP00000011672
ENSMODP00000000255	ENSTGUP00000011091
ENSMODP00000017114	ENSTGUP00000012028
ENSMODP00000007792	ENSTGUP00000004154
ENSMODP00000002562	ENSTGUP00000007844
ENSMODP00000010334	ENSTGUP00000011751
ENSMODP00000021643	ENSTGUP00000008530
ENSMODP00000003570	ENSTGUP00000007345
ENSMODP00000023866	ENSTGUP00000004873
ENSMODP00000020138	ENSTGUP00000003463
ENSMODP00000020972	ENSTGUP00000002251
ENSMODP00000014831	ENSTGUP00000002369
ENSMODP00000022588	ENSTGUP00000013821
ENSMODP00000004673	ENSTGUP00000010814
ENSMODP00000028789	ENSTGUP00000003793
ENSMODP00000033491	ENSTGUP00000000615
ENSMODP00000019188	ENSTGUP00000005794
ENSMODP00000005475	ENSTGUP00000007278
ENSMODP00000009994	ENSTGUP00000011650
ENSMODP00000022371	ENSTGUP00000001786
ENSMODP00000003194	ENSTGUP00000008429
ENSMODP00000011041	ENSTGUP00000007322
ENSMODP00000011039	ENSTGUP00000011503
ENSMODP00000012196	ENSTGUP00000011259
ENSMODP00000007141	ENSTGUP00000000272
ENSMODP00000003656	ENSTGUP00000010526
ENSMODP00000013054	ENSTGUP00000013477
ENSMODP00000030729	ENSTGUP00000005011
ENSMODP00000005922	ENSTGUP00000001274
ENSMODP00000004736	ENSTGUP00000005588
ENSMODP00000007891	ENSTGUP00000000648
ENSMODP00000018859	ENSTGUP00000015037
ENSMODP00000001220	ENSTGUP00000017894
ENSMODP00000016946	ENSTGUP00000017833
ENSMODP00000002563	ENSTGUP00000007191
ENSMODP00000003585	ENSTGUP00000003750
ENSMODP00000035688	ENSTGUP00000013650
ENSMODP00000023213	ENSTGUP00000005281
ENSMODP00000000249	ENSTGUP00000006419
ENSMODP00000000479	ENSTGUP00000008273
ENSMODP00000019401	ENSTGUP00000005246
ENSMODP00000001016	ENSTGUP00000012105
ENSMODP00000016123	ENSTGUP00000004612
ENSMODP00000021880	ENSTGUP00000006595
ENSMODP00000023334	ENSTGUP00000005037
ENSMODP00000012044	ENSTGUP00000011296
ENSMODP00000030207	ENSTGUP00000007533
ENSMODP00000019109	ENSTGUP00000003107
ENSMODP00000010652	ENSTGUP00000011457
ENSMODP00000019759	ENSTGUP00000011692
ENSMODP00000008555	ENSTGUP00000010112
ENSMODP00000027957	ENSTGUP00000007895
ENSMODP00000013424	ENSTGUP00000004959
ENSMODP00000016279	ENSTGUP00000013487
ENSMODP00000028423	ENSTGUP00000005833
ENSMODP00000004558	ENSTGUP00000012747
ENSMODP00000011716	ENSTGUP00000010173
ENSMODP00000013466	ENSTGUP00000004923
ENSMODP00000016015	ENSTGUP00000002299
ENSMODP00000041197	ENSTGUP00000005807
ENSMODP00000023917	ENSTGUP00000001627
ENSMODP00000000437	ENSTGUP00000001377
ENSMODP00000022719	ENSTGUP00000013774
ENSMODP00000002313	ENSTGUP00000008802
ENSMODP00000026322	ENSTGUP00000013641
ENSMODP00000026321	ENSTGUP00000016657
ENSMODP00000017431	ENSTGUP00000001161
ENSMODP00000017861	ENSTGUP00000000110
ENSMODP00000013715	ENSTGUP00000001966
ENSMODP00000002105	ENSTGUP00000006178
ENSMODP00000007274	ENSTGUP00000004319
ENSMODP00000002115	ENSTGUP00000006173
ENSMODP00000006703	ENSTGUP00000006165
ENSMODP00000008578	ENSTGUP00000000182
ENSMODP00000003752	ENSTGUP00000007380
ENSMODP00000008475	ENSTGUP00000009045
ENSMODP00000014960	ENSTGUP00000010377
ENSMODP00000015162	ENSTGUP00000004820
ENSMODP00000026022	ENSTGUP00000007113
ENSMODP00000022909	ENSTGUP00000013050
ENSMODP00000010326	ENSTGUP00000006474
ENSMODP00000015992	ENSTGUP00000000927
ENSMODP00000018263	ENSTGUP00000013384
ENSMODP00000014146	ENSTGUP00000006464
ENSMODP00000005376	ENSTGUP00000000052
ENSMODP00000020621	ENSTGUP00000001632
ENSMODP00000016034	ENSTGUP00000005697
ENSMODP00000024435	ENSTGUP00000008584
ENSMODP00000002125	ENSTGUP00000012879
ENSMODP00000022004	ENSTGUP00000001278
ENSMODP00000021415	ENSTGUP00000011273
ENSMODP00000021822	ENSTGUP00000001432
ENSMODP00000021414	ENSTGUP00000008104
ENSMODP00000013725	ENSTGUP00000016209
ENSMODP00000021523	ENSTGUP00000003586
ENSMODP00000011548	ENSTGUP00000008183
ENSMODP00000019299	ENSTGUP00000009149
ENSMODP00000022037	ENSTGUP00000012119
ENSMODP00000030807	ENSTGUP00000004446
ENSMODP00000016719	ENSTGUP00000001659
ENSMODP00000025787	ENSTGUP00000004017
ENSMODP00000011728	ENSTGUP00000011418
ENSMODP00000028759	ENSTGUP00000005238
ENSMODP00000006780	ENSTGUP00000010136
ENSMODP00000021852	ENSTGUP00000011899
ENSMODP00000025563	ENSTGUP00000017768
ENSMODP00000022841	ENSTGUP00000012833
ENSMODP00000021988	ENSTGUP00000001491
ENSMODP00000022436	ENSTGUP00000012482
ENSMODP00000004345	ENSTGUP00000009708
ENSMODP00000037855	ENSTGUP00000007374
ENSMODP00000019202	ENSTGUP00000005329
ENSMODP00000001457	ENSTGUP00000010324
ENSMODP00000025489	ENSTGUP00000002035
ENSMODP00000014093	ENSTGUP00000005122
ENSMODP00000012594	ENSTGUP00000012278
ENSMODP00000010237	ENSTGUP00000017871
ENSMODP00000010248	ENSTGUP00000008994
ENSMODP00000000934	ENSTGUP00000011042
ENSMODP00000003150	ENSTGUP00000010188
ENSMODP00000019976	ENSTGUP00000016885
ENSMODP00000006082	ENSTGUP00000003181
ENSMODP00000040702	ENSTGUP00000012655
ENSMODP00000020657	ENSTGUP00000010257
ENSMODP00000002766	ENSTGUP00000008637
ENSMODP00000000399	ENSTGUP00000002472
ENSMODP00000005825	ENSTGUP00000013395
ENSMODP00000011033	ENSTGUP00000015929
ENSMODP00000014368	ENSTGUP00000001737
ENSMODP00000025725	ENSTGUP00000008951
ENSMODP00000017239	ENSTGUP00000013296
ENSMODP00000008441	ENSTGUP00000008410
ENSMODP00000018248	ENSTGUP00000006432
ENSMODP00000016300	ENSTGUP00000005835
ENSMODP00000024624	ENSTGUP00000003923
ENSMODP00000013456	ENSTGUP00000000884
ENSMODP00000022110	ENSTGUP00000012182
ENSMODP00000023187	ENSTGUP00000016746
ENSMODP00000006952	ENSTGUP00000005437
ENSMODP00000034906	ENSTGUP00000006286
ENSMODP00000001893	ENSTGUP00000008030
ENSMODP00000016281	ENSTGUP00000001221
ENSMODP00000022210	ENSTGUP00000010711
ENSMODP00000023242	ENSTGUP00000005822
ENSMODP00000001219	ENSTGUP00000002872
ENSMODP00000003434	ENSTGUP00000006921
ENSMODP00000008501	ENSTGUP00000013882
ENSMODP00000032729	ENSTGUP00000013429
ENSMODP00000013337	ENSTGUP00000012456
ENSMODP00000023139	ENSTGUP00000003526
ENSMODP00000020292	ENSTGUP00000005556
ENSMODP00000021849	ENSTGUP00000011894
ENSMODP00000040586	ENSTGUP00000017097
ENSMODP00000005066	ENSTGUP00000000202
ENSMODP00000039503	ENSTGUP00000003799
ENSMODP00000035382	ENSTGUP00000008108
ENSMODP00000007208	ENSTGUP00000004720
ENSMODP00000007632	ENSTGUP00000004222
ENSMODP00000019745	ENSTGUP00000005395
ENSMODP00000005749	ENSTGUP00000010724
ENSMODP00000019494	ENSTGUP00000001219
ENSMODP00000035126	ENSTGUP00000014641
ENSMODP00000011937	ENSTGUP00000000881
ENSMODP00000023649	ENSTGUP00000001945
ENSMODP00000000328	ENSTGUP00000007234
ENSMODP00000039408	ENSTGUP00000005250
ENSMODP00000012595	ENSTGUP00000016740
ENSMODP00000001926	ENSTGUP00000011352
ENSMODP00000024807	ENSTGUP00000011066
ENSMODP00000002135	ENSTGUP00000005996
ENSMODP00000021741	ENSTGUP00000011226
ENSMODP00000038904	ENSTGUP00000001926
ENSMODP00000012579	ENSTGUP00000002445
ENSMODP00000023619	ENSTGUP00000008209
ENSMODP00000003794	ENSTGUP00000012270
ENSMODP00000033223	ENSTGUP00000001048
ENSMODP00000008393	ENSTGUP00000011962
ENSMODP00000009029	ENSTGUP00000008958
ENSMODP00000001300	ENSTGUP00000010906
ENSMODP00000008368	ENSTGUP00000006174
ENSMODP00000009421	ENSTGUP00000011381
ENSMODP00000010627	ENSTGUP00000000689
ENSMODP00000010403	ENSTGUP00000011764
ENSMODP00000011986	ENSTGUP00000013082
ENSMODP00000002576	ENSTGUP00000006982
ENSMODP00000008240	ENSTGUP00000000607
ENSMODP00000021761	ENSTGUP00000010454
ENSMODP00000001721	ENSTGUP00000008747
ENSMODP00000026291	ENSTGUP00000005848
ENSMODP00000017128	ENSTGUP00000012041
ENSMODP00000007108	ENSTGUP00000005815
ENSMODP00000004867	ENSTGUP00000014908
ENSMODP00000008673	ENSTGUP00000004692
ENSMODP00000005945	ENSTGUP00000006083
ENSMODP00000000301	ENSTGUP00000006837
ENSMODP00000010528	ENSTGUP00000009078
ENSMODP00000010073	ENSTGUP00000012124
ENSMODP00000032191	ENSTGUP00000003685
ENSMODP00000001101	ENSTGUP00000012127
ENSMODP00000023734	ENSTGUP00000016220
ENSMODP00000002815	ENSTGUP00000001763
ENSMODP00000002854	ENSTGUP00000011594
ENSMODP00000004406	ENSTGUP00000012363
ENSMODP00000009401	ENSTGUP00000005228
ENSMODP00000017551	ENSTGUP00000005043
ENSMODP00000001455	ENSTGUP00000005386
ENSMODP00000030254	ENSTGUP00000013604
ENSMODP00000015519	ENSTGUP00000005371
ENSMODP00000025939	ENSTGUP00000004674
ENSMODP00000029725	ENSTGUP00000005900
ENSMODP00000007595	ENSTGUP00000005650
ENSMODP00000000448	ENSTGUP00000003373
ENSMODP00000016476	ENSTGUP00000007689
ENSMODP00000013976	ENSTGUP00000012584
ENSMODP00000000581	ENSTGUP00000000529
ENSMODP00000021756	ENSTGUP00000011212
ENSMODP00000014791	ENSTGUP00000006583
ENSMODP00000007535	ENSTGUP00000004425
ENSMODP00000031416	ENSTGUP00000002345
ENSMODP00000014301	ENSTGUP00000016686
ENSMODP00000004279	ENSTGUP00000005261
ENSMODP00000022632	ENSTGUP00000018141
ENSMODP00000017986	ENSTGUP00000002014
ENSMODP00000016550	ENSTGUP00000000389
ENSMODP00000002057	ENSTGUP00000005844
ENSMODP00000023903	ENSTGUP00000015168
ENSMODP00000016112	ENSTGUP00000001233
ENSMODP00000011712	ENSTGUP00000011570
ENSMODP00000003168	ENSTGUP00000010026
ENSMODP00000006821	ENSTGUP00000012647
ENSMODP00000007341	ENSTGUP00000004309
ENSMODP00000023634	ENSTGUP00000008377
ENSMODP00000036418	ENSTGUP00000005293
ENSMODP00000000802	ENSTGUP00000002694
ENSMODP00000023352	ENSTGUP00000010754
ENSMODP00000011249	ENSTGUP00000008475
ENSMODP00000016105	ENSTGUP00000001236
ENSMODP00000005316	ENSTGUP00000002906
ENSMODP00000004548	ENSTGUP00000012753
ENSMODP00000000178	ENSTGUP00000009567
ENSMODP00000021711	ENSTGUP00000011244
ENSMODP00000022804	ENSTGUP00000013811
ENSMODP00000040099	ENSTGUP00000000924
ENSMODP00000025661	ENSTGUP00000004335
ENSMODP00000015049	ENSTGUP00000006106
ENSMODP00000005076	ENSTGUP00000000205
ENSMODP00000000410	ENSTGUP00000010970
ENSMODP00000022549	ENSTGUP00000014001
ENSMODP00000025381	ENSTGUP00000002294
ENSMODP00000022552	ENSTGUP00000012643
ENSMODP00000022480	ENSTGUP00000012569
ENSMODP00000000623	ENSTGUP00000002743
ENSMODP00000001469	ENSTGUP00000000440
ENSMODP00000035585	ENSTGUP00000008445
ENSMODP00000012855	ENSTGUP00000003210
ENSMODP00000018160	ENSTGUP00000004070
ENSMODP00000020356	ENSTGUP00000010422
ENSMODP00000003924	ENSTGUP00000001733
ENSMODP00000014627	ENSTGUP00000006254
ENSMODP00000023811	ENSTGUP00000010847
ENSMODP00000013896	ENSTGUP00000004058
ENSMODP00000015068	ENSTGUP00000013685
ENSMODP00000023432	ENSTGUP00000013227
ENSMODP00000000143	ENSTGUP00000008375
ENSMODP00000000708	ENSTGUP00000010941
ENSMODP00000003046	ENSTGUP00000008484
ENSMODP00000013666	ENSTGUP00000005133
ENSMODP00000003297	ENSTGUP00000000540
ENSMODP00000006859	ENSTGUP00000003731
ENSMODP00000005883	ENSTGUP00000006057
ENSMODP00000004209	ENSTGUP00000005208
ENSMODP00000019311	ENSTGUP00000008780
ENSMODP00000022689	ENSTGUP00000013923
ENSMODP00000018831	ENSTGUP00000009686
ENSMODP00000010999	ENSTGUP00000003827
ENSMODP00000024289	ENSTGUP00000002518
ENSMODP00000021901	ENSTGUP00000012179
ENSMODP00000024261	ENSTGUP00000006612
ENSMODP00000003590	ENSTGUP00000007351
ENSMODP00000037274	ENSTGUP00000014026
ENSMODP00000035224	ENSTGUP00000008383
ENSMODP00000036763	ENSTGUP00000008946
ENSMODP00000014386	ENSTGUP00000004400
ENSMODP00000021896	ENSTGUP00000011978
ENSMODP00000016277	ENSTGUP00000005813
ENSMODP00000024593	ENSTGUP00000003732
ENSMODP00000021325	ENSTGUP00000016567
ENSMODP00000012015	ENSTGUP00000009260
ENSMODP00000026268	ENSTGUP00000013958
ENSMODP00000014292	ENSTGUP00000004648
ENSMODP00000019360	ENSTGUP00000005312
ENSMODP00000011856	ENSTGUP00000008495
ENSMODP00000000810	ENSTGUP00000003910
ENSMODP00000010718	ENSTGUP00000013385
ENSMODP00000005938	ENSTGUP00000002733
ENSMODP00000000563	ENSTGUP00000007509
ENSMODP00000017785	ENSTGUP00000001061
ENSMODP00000024110	ENSTGUP00000016237
ENSMODP00000013246	ENSTGUP00000007898
ENSMODP00000021221	ENSTGUP00000007314
ENSMODP00000021193	ENSTGUP00000013893
ENSMODP00000032514	ENSTGUP00000003319
ENSMODP00000018198	ENSTGUP00000004787
ENSMODP00000003004	ENSTGUP00000006190
ENSMODP00000037026	ENSTGUP00000004646
ENSMODP00000014822	ENSTGUP00000005798
ENSMODP00000000717	ENSTGUP00000000146
ENSMODP00000003457	ENSTGUP00000001101
ENSMODP00000014686	ENSTGUP00000009281
ENSMODP00000018316	ENSTGUP00000002474
ENSMODP00000018999	ENSTGUP00000010619
ENSMODP00000013909	ENSTGUP00000004883
ENSMODP00000000153	ENSTGUP00000011015
ENSMODP00000015953	ENSTGUP00000012365
ENSMODP00000019118	ENSTGUP00000009503
ENSMODP00000000274	ENSTGUP00000007595
ENSMODP00000003057	ENSTGUP00000001540
ENSMODP00000001583	ENSTGUP00000014093
ENSMODP00000003418	ENSTGUP00000010357
ENSMODP00000007245	ENSTGUP00000000044
ENSMODP00000020592	ENSTGUP00000004120
ENSMODP00000032798	ENSTGUP00000013366
ENSMODP00000029853	ENSTGUP00000012902
ENSMODP00000000781	ENSTGUP00000002950
ENSMODP00000014920	ENSTGUP00000004988
ENSMODP00000002092	ENSTGUP00000000910
ENSMODP00000000470	ENSTGUP00000002494
ENSMODP00000001945	ENSTGUP00000012964
ENSMODP00000038091	ENSTGUP00000002098
ENSMODP00000031529	ENSTGUP00000000161
ENSMODP00000008086	ENSTGUP00000000624
ENSMODP00000025350	ENSTGUP00000002419
ENSMODP00000012346	ENSTGUP00000004212
ENSMODP00000009468	ENSTGUP00000012186
ENSMODP00000028132	ENSTGUP00000006154
ENSMODP00000014909	ENSTGUP00000009179
ENSMODP00000011901	ENSTGUP00000004916
ENSMODP00000005917	ENSTGUP00000000984
ENSMODP00000012674	ENSTGUP00000011844
ENSMODP00000007356	ENSTGUP00000005927
ENSMODP00000000841	ENSTGUP00000006987
ENSMODP00000006275	ENSTGUP00000006276
ENSMODP00000016942	ENSTGUP00000001196
ENSMODP00000000638	ENSTGUP00000009411
ENSMODP00000011165	ENSTGUP00000011938
ENSMODP00000019423	ENSTGUP00000001209
ENSMODP00000010254	ENSTGUP00000011591
ENSMODP00000021020	ENSTGUP00000007793
ENSMODP00000013732	ENSTGUP00000017625
ENSMODP00000018665	ENSTGUP00000009404
ENSMODP00000010615	ENSTGUP00000000687
ENSMODP00000004802	ENSTGUP00000006643
ENSMODP00000036056	ENSTGUP00000013490
ENSMODP00000003405	ENSTGUP00000003542
ENSMODP00000013195	ENSTGUP00000012441
ENSMODP00000026620	ENSTGUP00000010912
ENSMODP00000006868	ENSTGUP00000004890
ENSMODP00000016357	ENSTGUP00000013095
ENSMODP00000000517	ENSTGUP00000002801
ENSMODP00000007712	ENSTGUP00000007738
ENSMODP00000015558	ENSTGUP00000005073
ENSMODP00000004636	ENSTGUP00000017570
ENSMODP00000009652	ENSTGUP00000008483
ENSMODP00000019164	ENSTGUP00000009446
ENSMODP00000015248	ENSTGUP00000006331
ENSMODP00000017234	ENSTGUP00000003175
ENSMODP00000018653	ENSTGUP00000002781
ENSMODP00000040055	ENSTGUP00000003037
ENSMODP00000002305	ENSTGUP00000011390
ENSMODP00000008158	ENSTGUP00000005426
ENSMODP00000026206	ENSTGUP00000013944
ENSMODP00000021028	ENSTGUP00000011026
ENSMODP00000008944	ENSTGUP00000007532
ENSMODP00000008959	ENSTGUP00000002248
ENSMODP00000004935	ENSTGUP00000012710
ENSMODP00000006875	ENSTGUP00000011135
ENSMODP00000013643	ENSTGUP00000002777
ENSMODP00000023317	ENSTGUP00000017506
ENSMODP00000022857	ENSTGUP00000004464
ENSMODP00000009797	ENSTGUP00000018050
ENSMODP00000013278	ENSTGUP00000005598
ENSMODP00000034873	ENSTGUP00000005911
ENSMODP00000023457	ENSTGUP00000013257
ENSMODP00000027120	ENSTGUP00000001042
ENSMODP00000025432	ENSTGUP00000002177
ENSMODP00000019909	ENSTGUP00000010375
ENSMODP00000008380	ENSTGUP00000000937
ENSMODP00000023311	ENSTGUP00000013154
ENSMODP00000012669	ENSTGUP00000011847
ENSMODP00000025713	ENSTGUP00000009153
ENSMODP00000000804	ENSTGUP00000001610
ENSMODP00000012356	ENSTGUP00000011209
ENSMODP00000015429	ENSTGUP00000009384
ENSMODP00000015514	ENSTGUP00000009284
ENSMODP00000029130	ENSTGUP00000008805
ENSMODP00000023571	ENSTGUP00000004541
ENSMODP00000019547	ENSTGUP00000015174
ENSMODP00000017809	ENSTGUP00000013329
ENSMODP00000011099	ENSTGUP00000011460
ENSMODP00000021780	ENSTGUP00000011163
ENSMODP00000010129	ENSTGUP00000011607
ENSMODP00000017529	ENSTGUP00000001110
ENSMODP00000017003	ENSTGUP00000004571
ENSMODP00000031686	ENSTGUP00000006667
ENSMODP00000001228	ENSTGUP00000017817
ENSMODP00000034085	ENSTGUP00000012933
ENSMODP00000010160	ENSTGUP00000007767
ENSMODP00000021381	ENSTGUP00000007985
ENSMODP00000008088	ENSTGUP00000008611
ENSMODP00000006150	ENSTGUP00000007185
ENSMODP00000001206	ENSTGUP00000013253
ENSMODP00000015407	ENSTGUP00000006630
ENSMODP00000015423	ENSTGUP00000005165
ENSMODP00000021460	ENSTGUP00000008211
ENSMODP00000000334	ENSTGUP00000013207
ENSMODP00000006782	ENSTGUP00000004068
ENSMODP00000040798	ENSTGUP00000006749
ENSMODP00000027954	ENSTGUP00000017600
ENSMODP00000037282	ENSTGUP00000003897
ENSMODP00000036805	ENSTGUP00000007590
ENSMODP00000019134	ENSTGUP00000005902
ENSMODP00000004409	ENSTGUP00000001096
ENSMODP00000021609	ENSTGUP00000015463
ENSMODP00000002174	ENSTGUP00000006059
ENSMODP00000005870	ENSTGUP00000006333
ENSMODP00000019154	ENSTGUP00000005861
ENSMODP00000006183	ENSTGUP00000000707
ENSMODP00000014821	ENSTGUP00000001758
ENSMODP00000002716	ENSTGUP00000001746
ENSMODP00000003265	ENSTGUP00000003293
ENSMODP00000023937	ENSTGUP00000011493
ENSMODP00000026540	ENSTGUP00000008744
ENSMODP00000017421	ENSTGUP00000001843
ENSMODP00000023652	ENSTGUP00000001940
ENSMODP00000011928	ENSTGUP00000000885
ENSMODP00000000347	ENSTGUP00000007226
ENSMODP00000009129	ENSTGUP00000005417
ENSMODP00000035176	ENSTGUP00000004208
ENSMODP00000035948	ENSTGUP00000005218
ENSMODP00000004216	ENSTGUP00000007613
ENSMODP00000009872	ENSTGUP00000008396
ENSMODP00000017019	ENSTGUP00000011968
ENSMODP00000005420	ENSTGUP00000011012
ENSMODP00000014333	ENSTGUP00000010160
ENSMODP00000012383	ENSTGUP00000000240
ENSMODP00000000664	ENSTGUP00000009798
ENSMODP00000008004	ENSTGUP00000007483
ENSMODP00000026653	ENSTGUP00000010304
ENSMODP00000007138	ENSTGUP00000016558
ENSMODP00000008758	ENSTGUP00000009507
ENSMODP00000032264	ENSTGUP00000000260
ENSMODP00000024495	ENSTGUP00000016048
ENSMODP00000023936	ENSTGUP00000004987
ENSMODP00000016382	ENSTGUP00000001179
ENSMODP00000023575	ENSTGUP00000013635
ENSMODP00000005885	ENSTGUP00000005215
ENSMODP00000008720	ENSTGUP00000009526
ENSMODP00000003205	ENSTGUP00000007842
